
[00:00:00.000 --> 00:00:06.780]   [AUDIO OUT]
[00:19:37.180 --> 00:19:38.940]   what the effect is.
[00:19:38.940 --> 00:19:39.440]   Yeah.
[00:19:39.440 --> 00:19:41.240]   There's a question on Zoom.
[00:19:41.240 --> 00:19:43.140]   Are there two different versions of Palm?
[00:19:43.140 --> 00:19:45.680]   If not, why are there two lines for it?
[00:19:45.680 --> 00:19:51.060]   Oh, so I think the two lines here-- one is maybe three shot,
[00:19:51.060 --> 00:19:55.140]   and then one is zero shot, something like that.
[00:19:55.140 --> 00:19:58.240]   So it just refers to the way that we're
[00:19:58.240 --> 00:20:00.740]   using the language model, either with or without exemplars.
[00:20:00.740 --> 00:20:07.160]   Great.
[00:20:07.160 --> 00:20:11.080]   I'll talk about a small ablation here that shows this.
[00:20:11.080 --> 00:20:17.560]   So this is an ablation on a toy task, where basically,
[00:20:17.560 --> 00:20:20.040]   the language model has to know that in English,
[00:20:20.040 --> 00:20:22.560]   you have to use plural verbs with plural subjects
[00:20:22.560 --> 00:20:26.880]   and singular verbs with singular subjects.
[00:20:26.880 --> 00:20:30.640]   And what we're doing here is basically,
[00:20:30.640 --> 00:20:33.920]   we train these small BERT models from scratch,
[00:20:33.920 --> 00:20:39.080]   and then we fixed the frequency of certain verbs
[00:20:39.080 --> 00:20:41.920]   in the training data set, which basically says, OK,
[00:20:41.920 --> 00:20:45.320]   what's the effect of seeing a certain verb in the data
[00:20:45.320 --> 00:20:47.200]   more often?
[00:20:47.200 --> 00:20:50.840]   In this plot, the x-axis is the frequency of the verb,
[00:20:50.840 --> 00:20:53.200]   and the y-axis is the error rate.
[00:20:53.200 --> 00:20:56.680]   And what you basically see is that if you have more
[00:20:56.680 --> 00:21:00.000]   in-domain data, so if the model sees the verb more times,
[00:21:00.000 --> 00:21:02.160]   it does the task a lot better.
[00:21:02.160 --> 00:21:05.440]   So this is an example of having high-quality data or data
[00:21:05.440 --> 00:21:08.880]   that's more in-domain for the task that you're evaluating on
[00:21:08.880 --> 00:21:10.680]   can make a big difference, even if you're
[00:21:10.680 --> 00:21:13.440]   fixing the compute, the size of the model,
[00:21:13.440 --> 00:21:15.740]   and the rest of the data.
[00:21:15.740 --> 00:21:16.240]   Yeah?
[00:21:16.240 --> 00:21:17.080]   Question on Zoom.
[00:21:17.080 --> 00:21:18.720]   Someone asks, could there be a way
[00:21:18.720 --> 00:21:21.720]   to distill convergent abilities down to smaller models
[00:21:21.720 --> 00:21:24.560]   from larger teacher models?
[00:21:24.560 --> 00:21:25.560]   Yeah, I think so.
[00:21:25.560 --> 00:21:32.880]   So larger teacher models, you can use them, for example,
[00:21:32.880 --> 00:21:34.680]   to generate data.
[00:21:34.680 --> 00:21:38.760]   And then if you fine-tune the smaller model on data,
[00:21:38.760 --> 00:21:42.080]   it's pretty likely that you'll be able to get the ability
[00:21:42.080 --> 00:21:43.940]   to emerge in the smaller model.
[00:21:43.940 --> 00:21:46.440]   I'll talk about an example of this, too.
[00:21:46.440 --> 00:21:49.760]   Oh, actually, that's the next slide.
[00:21:49.760 --> 00:21:52.260]   Desired behaviors can be induced in smaller models
[00:21:52.260 --> 00:21:55.280]   once you know what behavior you want.
[00:21:55.280 --> 00:22:00.360]   So for example, here's the figure
[00:22:00.360 --> 00:22:02.840]   from the InstructGPT paper.
[00:22:02.840 --> 00:22:05.360]   And basically, the desired behavior here
[00:22:05.360 --> 00:22:07.920]   is instruction following.
[00:22:07.920 --> 00:22:10.800]   And you can see that there's multiple models.
[00:22:10.800 --> 00:22:13.080]   So on the left, you have these small models
[00:22:13.080 --> 00:22:15.200]   that are trained with RLHF.
[00:22:15.200 --> 00:22:17.560]   And they actually have better performance
[00:22:17.560 --> 00:22:21.240]   than larger models trained on weaker techniques.
[00:22:21.240 --> 00:22:22.760]   So basically, the point is, if you
[00:22:22.760 --> 00:22:26.160]   know that you want a certain behavior that you
[00:22:26.160 --> 00:22:30.840]   saw previously in an emergent way in a larger model,
[00:22:30.840 --> 00:22:34.280]   you can find a way to fine-tune on that behavior specifically
[00:22:34.280 --> 00:22:38.120]   and induce that behavior in a smaller model.
[00:22:38.120 --> 00:22:39.520]   I guess that one of the limitations
[00:22:39.520 --> 00:22:43.160]   is that unless you know all the behaviors that you want,
[00:22:43.160 --> 00:22:45.720]   you can't really get this natural emergent behavior.
[00:22:50.880 --> 00:22:52.800]   Yeah, another discussion point here
[00:22:52.800 --> 00:22:55.800]   is that there's this question of what's
[00:22:55.800 --> 00:22:57.800]   the right x-axis for emergence.
[00:22:57.800 --> 00:23:01.000]   So right now, we mostly talk about model parameters
[00:23:01.000 --> 00:23:02.160]   and training flops.
[00:23:02.160 --> 00:23:06.160]   But I guess if you ask deep mind people how they look at it,
[00:23:06.160 --> 00:23:09.640]   you'll get this argument that model parameters and training
[00:23:09.640 --> 00:23:13.840]   flops are really just a proxy for how good the model is.
[00:23:13.840 --> 00:23:15.440]   And how good the model is can really
[00:23:15.440 --> 00:23:18.280]   be measured by perplexity, or how well it's
[00:23:18.280 --> 00:23:22.960]   doing on some dev sets, such as Wikitext 103.
[00:23:22.960 --> 00:23:27.200]   So basically, you can also measure emergence
[00:23:27.200 --> 00:23:29.240]   in terms of perplexity.
[00:23:29.240 --> 00:23:33.640]   So here is Wikitext perplexity.
[00:23:33.640 --> 00:23:35.640]   And then you can see on a downstream task
[00:23:35.640 --> 00:23:38.120]   that, as the perplexity gets better,
[00:23:38.120 --> 00:23:39.580]   there's sort of this threshold where
[00:23:39.580 --> 00:23:44.600]   you're able to do a lot better on the downstream task.
[00:23:44.600 --> 00:23:47.400]   And there's sort of a strong correlation,
[00:23:47.400 --> 00:23:49.600]   at least right now, between perplexity and training
[00:23:49.600 --> 00:23:50.120]   compute.
[00:23:50.120 --> 00:23:53.200]   So you can see these two lines are pretty similar.
[00:23:53.200 --> 00:23:57.880]   And basically, I think in the future,
[00:23:57.880 --> 00:24:00.640]   if we have much better models that are a lot smaller,
[00:24:00.640 --> 00:24:02.840]   turn on much better data and better algorithms,
[00:24:02.840 --> 00:24:04.960]   then maybe Wikitext perplexity can
[00:24:04.960 --> 00:24:09.240]   show a different type of plot than using other metrics.
[00:24:09.240 --> 00:24:09.960]   Yeah, go ahead.
[00:24:09.960 --> 00:24:12.080]   [INAUDIBLE]
[00:24:12.080 --> 00:24:17.080]   So Wikitext is basically a--
[00:24:17.080 --> 00:24:19.640]   I think it's like a subset of Wikipedia.
[00:24:19.640 --> 00:24:21.160]   And then perplexity is like a measure
[00:24:21.160 --> 00:24:25.840]   of how well you can predict the next word in a data set.
[00:24:25.840 --> 00:24:27.840]   So basically, if you're really good at modeling
[00:24:27.840 --> 00:24:32.080]   the next word on this particular evaluation set,
[00:24:32.080 --> 00:24:37.160]   that's sort of a measure of how well you understand language.
[00:24:37.160 --> 00:24:38.360]   That make sense?
[00:24:38.360 --> 00:24:41.240]   [INAUDIBLE]
[00:24:41.240 --> 00:24:43.160]   Oh, this is like a held-out test set.
[00:24:43.160 --> 00:24:52.280]   And then a final thing that I think
[00:24:52.280 --> 00:24:54.960]   is pretty exciting about emergence
[00:24:54.960 --> 00:24:58.080]   is that there's sort of not just technical emergence
[00:24:58.080 --> 00:24:59.760]   that we've talked about, but there's
[00:24:59.760 --> 00:25:04.080]   sort of sociological changes in how the AI community views
[00:25:04.080 --> 00:25:07.760]   scaling and how to use language models.
[00:25:07.760 --> 00:25:12.280]   So here's some examples of where scaling up
[00:25:12.280 --> 00:25:15.200]   the size of the language model enables you to,
[00:25:15.200 --> 00:25:17.880]   in this sort of few-shot scenario,
[00:25:17.880 --> 00:25:21.120]   beat a task-specific fine-tuned language model that's
[00:25:21.120 --> 00:25:25.240]   usually fine-tuned on, say, thousands of examples.
[00:25:25.240 --> 00:25:28.360]   So basically, the green line is the prior state of the art
[00:25:28.360 --> 00:25:30.960]   achieved by fine-tuning.
[00:25:30.960 --> 00:25:34.120]   And then the blue dots basically show,
[00:25:34.120 --> 00:25:36.120]   if you take a pre-trained language model
[00:25:36.120 --> 00:25:38.720]   and you do few-shot prompting, which means the language model
[00:25:38.720 --> 00:25:40.760]   isn't intentionally trained to do the task,
[00:25:40.760 --> 00:25:42.520]   you can often get state-of-the-art results
[00:25:42.520 --> 00:25:45.960]   just by continuing to scale up the size of the language model.
[00:25:45.960 --> 00:25:47.920]   And obviously, there's limitations here.
[00:25:47.920 --> 00:25:49.720]   You don't want to just keep scaling up
[00:25:49.720 --> 00:25:51.720]   in order to get state-of-the-art.
[00:25:51.720 --> 00:25:54.600]   But I think it's a pretty big change in people's minds
[00:25:54.600 --> 00:25:56.880]   that you could actually get some of the best results
[00:25:56.880 --> 00:25:58.880]   just by scaling up the size of the language model
[00:25:58.880 --> 00:25:59.760]   and doing prompting.
[00:25:59.760 --> 00:26:03.400]   Question from Zoom.
[00:26:03.400 --> 00:26:06.120]   Someone asks, is that not a contradiction
[00:26:06.120 --> 00:26:08.600]   graph from two to three slides ago?
[00:26:08.600 --> 00:26:10.720]   What is that?
[00:26:10.720 --> 00:26:11.520]   Which one?
[00:26:11.520 --> 00:26:12.600]   This one?
[00:26:12.600 --> 00:26:14.160]   I'm not sure.
[00:26:14.160 --> 00:26:18.200]   Should we, in general, assume-- oh, he said yes.
[00:26:18.200 --> 00:26:19.400]   OK.
[00:26:19.400 --> 00:26:21.200]   He said, should we, in general, assume
[00:26:21.200 --> 00:26:24.640]   that scale trumps fine-tuning?
[00:26:24.640 --> 00:26:26.920]   Yeah, so that's a great question.
[00:26:26.920 --> 00:26:32.720]   So this plot is saying that you fine-tune and you can do--
[00:26:32.720 --> 00:26:33.400]   OK, yeah.
[00:26:33.400 --> 00:26:39.480]   So it depends on your particular task.
[00:26:39.480 --> 00:26:50.600]   But what this plot is saying is that fine-tuned smaller models
[00:26:50.600 --> 00:26:53.040]   can do well on some tasks if you target it well.
[00:26:53.040 --> 00:26:56.040]   But for tasks that are more complicated,
[00:26:56.040 --> 00:26:58.440]   often you can do better just by scaling.
[00:26:58.440 --> 00:27:01.240]   So there's sort of tasks that fall
[00:27:01.240 --> 00:27:03.120]   into both of these categories.
[00:27:03.120 --> 00:27:06.400]   And I wouldn't say that it's contradictory.
[00:27:06.400 --> 00:27:12.840]   I guess some tasks you would do a lot better just
[00:27:12.840 --> 00:27:14.440]   by scaling up the size of the model.
[00:27:14.440 --> 00:27:17.600]   And then other tasks, if it's a very narrow domain
[00:27:17.600 --> 00:27:20.080]   or the large language model might not
[00:27:20.080 --> 00:27:21.960]   be trained on that kind of data, then you
[00:27:21.960 --> 00:27:23.240]   would do better by fine-tuning.
[00:27:23.240 --> 00:27:29.040]   OK, great.
[00:27:29.040 --> 00:27:31.280]   So here's sort of a little summary slide.
[00:27:31.280 --> 00:27:33.000]   So basically, emergent abilities can only
[00:27:33.000 --> 00:27:34.640]   be observed in large models.
[00:27:34.640 --> 00:27:37.720]   And if you try to predict their emergence just
[00:27:37.720 --> 00:27:39.440]   by looking at the plots for small models,
[00:27:39.440 --> 00:27:42.760]   then you wouldn't be able to do it.
[00:27:42.760 --> 00:27:45.160]   And I sort of had a little reflection
[00:27:45.160 --> 00:27:46.920]   on how to look at this.
[00:27:46.920 --> 00:27:48.480]   So emergence is really this framing
[00:27:48.480 --> 00:27:52.920]   of how to view new abilities that are not intentionally
[00:27:52.920 --> 00:27:55.120]   built in to the pre-training.
[00:27:55.120 --> 00:27:57.560]   And I think the subtext for this is super important, which
[00:27:57.560 --> 00:28:01.120]   is you can see it as an implicit argument for why we should keep
[00:28:01.120 --> 00:28:03.760]   scaling up language models, because you
[00:28:03.760 --> 00:28:07.280]   get these abilities that are really hard to find otherwise.
[00:28:07.280 --> 00:28:09.240]   And the context around this is pretty important,
[00:28:09.240 --> 00:28:13.360]   because it's really expensive to continue scaling up
[00:28:13.360 --> 00:28:14.040]   these models.
[00:28:14.040 --> 00:28:17.800]   And even one year ago, a lot of people
[00:28:17.800 --> 00:28:20.320]   didn't believe that you could do better on certain tasks
[00:28:20.320 --> 00:28:23.920]   just by scaling up the size of the language model.
[00:28:23.920 --> 00:28:25.880]   They sort of-- if you work in industry at all,
[00:28:25.880 --> 00:28:29.800]   there's this interesting tension between emergence and also
[00:28:29.800 --> 00:28:30.920]   many production tasks.
[00:28:30.920 --> 00:28:34.760]   So emergence is sort of this task general phenomena
[00:28:34.760 --> 00:28:37.720]   where you scale up the model, and it's really expensive.
[00:28:37.720 --> 00:28:40.080]   But the single model can do a lot of tasks.
[00:28:40.080 --> 00:28:44.120]   This is sort of in the direction of AGI.
[00:28:44.120 --> 00:28:46.280]   And then for many production tasks,
[00:28:46.280 --> 00:28:48.960]   you have sort of the opposite, where
[00:28:48.960 --> 00:28:50.840]   you know what task it is, for example,
[00:28:50.840 --> 00:28:52.760]   translating to Spanish.
[00:28:52.760 --> 00:28:54.720]   And then you have these constraints on compute,
[00:28:54.720 --> 00:28:57.280]   because when you build Google Translate, for example,
[00:28:57.280 --> 00:28:59.680]   you don't want people to have to wait a couple of seconds
[00:28:59.680 --> 00:29:02.200]   just to get the translation.
[00:29:02.200 --> 00:29:05.320]   And then you also happen to have a lot of in-domain data.
[00:29:05.320 --> 00:29:08.720]   So you have, for example, a million pairs
[00:29:08.720 --> 00:29:12.200]   of English-Spanish sentences to train on.
[00:29:12.200 --> 00:29:15.560]   And this is sort of the opposite setting, where you don't really
[00:29:15.560 --> 00:29:18.720]   care about the model's emergence.
[00:29:18.720 --> 00:29:21.000]   You can just train a very small model on the data
[00:29:21.000 --> 00:29:25.880]   and do all of the tasks without having to use a lot of compute.
[00:29:25.880 --> 00:29:28.960]   And the final point is that I think
[00:29:28.960 --> 00:29:31.080]   a really promising research direction, if anyone
[00:29:31.080 --> 00:29:33.000]   is interested in doing research, is
[00:29:33.000 --> 00:29:36.840]   to work on predicting future emergent abilities.
[00:29:36.840 --> 00:29:38.840]   And I haven't seen a lot of work on it recently,
[00:29:38.840 --> 00:29:42.200]   just because I think maybe it's too hard, for example.
[00:29:42.200 --> 00:29:46.400]   You can only predict emergence for a specific task.
[00:29:46.400 --> 00:29:48.440]   Or one way of predicting emergence
[00:29:48.440 --> 00:29:49.720]   might not be super general.
[00:29:49.720 --> 00:29:52.160]   And so I haven't seen much work on that.
[00:29:52.160 --> 00:29:55.240]   But I think this is a pretty promising direction to work on.
[00:29:55.240 --> 00:29:56.800]   And maybe Anthropic is working on it.
[00:29:56.800 --> 00:29:57.400]   I don't know.
[00:29:57.400 --> 00:30:00.560]   OK, great.
[00:30:00.560 --> 00:30:02.240]   Any questions on that before I move on
[00:30:02.240 --> 00:30:04.680]   to chain of thought prompting?
[00:30:04.680 --> 00:30:07.320]   Yeah, go ahead.
[00:30:07.320 --> 00:30:10.280]   Do we have any theoretical basis to predict
[00:30:10.280 --> 00:30:13.800]   which parameters are best scaled to get related properties?
[00:30:13.800 --> 00:30:16.200]   Because obviously, there are many different options
[00:30:16.200 --> 00:30:19.640]   for where the actual parameters [INAUDIBLE]
[00:30:19.640 --> 00:30:22.760]   like GPT, for example, you could add more to the inventory.
[00:30:22.760 --> 00:30:26.240]   You could add more in [INAUDIBLE] or whatever.
[00:30:26.240 --> 00:30:27.880]   Is that mostly something we just test?
[00:30:27.880 --> 00:30:30.320]   And then we find out which ones scale better
[00:30:30.320 --> 00:30:32.320]   and give us better results?
[00:30:32.320 --> 00:30:37.240]   Yeah, I would say that we don't have very principled methods
[00:30:37.240 --> 00:30:41.920]   for how to scale up these architectures.
[00:30:41.920 --> 00:30:43.000]   I'm not an expert in this.
[00:30:43.000 --> 00:30:46.120]   But some of it has to deal with how many parameters you
[00:30:46.120 --> 00:30:50.360]   can fit onto a particular TPU.
[00:30:50.360 --> 00:30:52.440]   But in general, I think you scale up
[00:30:52.440 --> 00:30:55.760]   the number of intentions heads and embeddings
[00:30:55.760 --> 00:30:57.680]   somewhat proportionally.
[00:30:57.680 --> 00:30:59.800]   But yeah, I think this is an open research question.
[00:30:59.800 --> 00:31:03.440]   And because you can't really do ablations
[00:31:03.440 --> 00:31:06.600]   over these pre-training, you can't really
[00:31:06.600 --> 00:31:07.880]   do ablations over pre-training.
[00:31:07.880 --> 00:31:12.440]   It's hard to have any principled way of doing it,
[00:31:12.440 --> 00:31:15.480]   other than some engineers who are in charge of doing it,
[00:31:15.480 --> 00:31:17.560]   saying, OK, I think this is the right thing to do.
[00:31:17.560 --> 00:31:20.280]   And it kind of works, and you go with it.
[00:31:20.280 --> 00:31:21.280]   Yeah?
[00:31:21.280 --> 00:31:23.760]   Do you have any indication of the asymptotic behavior
[00:31:23.760 --> 00:31:24.880]   of this get thing?
[00:31:24.880 --> 00:31:26.840]   If you expect that, eventually, it
[00:31:26.840 --> 00:31:30.960]   would reach either some plateau of finite or non-zero loss,
[00:31:30.960 --> 00:31:35.000]   or it would just go all the way down to zero?
[00:31:35.000 --> 00:31:36.340]   Yeah, that's a great question.
[00:31:36.340 --> 00:31:45.120]   You mean on perplexity or on a particular task,
[00:31:45.120 --> 00:31:47.000]   or just in general on an export prediction?
[00:31:47.000 --> 00:31:49.240]   Well, it seems like these results are pretty general,
[00:31:49.240 --> 00:31:50.800]   pretty task-independent, right?
[00:31:50.800 --> 00:31:53.120]   It's emergent scaling.
[00:31:53.120 --> 00:31:55.680]   But if you take the limit of infinite parameters,
[00:31:55.680 --> 00:31:58.200]   then even analytically, is there any sense
[00:31:58.200 --> 00:32:00.720]   of how that converges?
[00:32:00.720 --> 00:32:02.120]   Yeah, I have no clue.
[00:32:02.120 --> 00:32:05.280]   I think, for most of these tasks,
[00:32:05.280 --> 00:32:08.680]   there's a limit to accuracy, like 100%, for example.
[00:32:08.680 --> 00:32:10.440]   So there's some sort of asymptote there.
[00:32:10.440 --> 00:32:13.800]   But I guess the deeper question that you might be asking
[00:32:13.800 --> 00:32:16.120]   is, can a language model perfectly
[00:32:16.120 --> 00:32:22.040]   know how to predict the next word for any given input?
[00:32:22.040 --> 00:32:23.960]   And maybe.
[00:32:23.960 --> 00:32:28.120]   I mean, I guess there's some limit to--
[00:32:28.120 --> 00:32:31.240]   if I say a sentence, there are two possible next words
[00:32:31.240 --> 00:32:31.840]   or something.
[00:32:31.840 --> 00:32:35.400]   And you might not be able to guess that perfectly.
[00:32:35.400 --> 00:32:37.440]   So I think there's some limit, but I think we're
[00:32:37.440 --> 00:32:38.640]   far from reaching that limit.
[00:32:38.640 --> 00:32:40.440]   And there's still a lot of unsolved tasks
[00:32:40.440 --> 00:32:45.120]   that sort of indicate that there's a lot of headroom.
[00:32:45.120 --> 00:32:45.640]   Yeah.
[00:32:45.640 --> 00:32:48.520]   If researchers are interested in studying emergence,
[00:32:48.520 --> 00:32:51.520]   what family of differently-sized models
[00:32:51.520 --> 00:32:55.960]   is publicly available or best for studying this?
[00:32:55.960 --> 00:32:58.520]   Yeah, good question.
[00:32:58.520 --> 00:33:03.620]   So I think the OpenAI API has a lot of language models.
[00:33:03.620 --> 00:33:04.920]   And we actually use that a lot.
[00:33:04.920 --> 00:33:07.880]   Even at Google, it's used to study emergence.
[00:33:07.880 --> 00:33:10.220]   And that's sort of one way of doing it.
[00:33:10.220 --> 00:33:13.760]   And actually, a lot of these models are currently free.
[00:33:13.760 --> 00:33:15.680]   They're rate-limited, but they're free.
[00:33:15.680 --> 00:33:18.520]   So we also use that.
[00:33:18.520 --> 00:33:22.840]   I think there's also smaller language models.
[00:33:22.840 --> 00:33:24.680]   Like, for example, there's a UL2 model
[00:33:24.680 --> 00:33:26.880]   that's 20 billion parameters.
[00:33:26.880 --> 00:33:28.080]   But I guess you're right.
[00:33:28.080 --> 00:33:30.520]   There is sort of this challenge where the small language
[00:33:30.520 --> 00:33:33.200]   models, you won't see a lot of these emergent behaviors.
[00:33:33.200 --> 00:33:37.120]   So you kind of have to either train--
[00:33:37.120 --> 00:33:41.500]   yeah, so you kind of have to either use OpenAI API for now
[00:33:41.500 --> 00:33:44.180]   or wait until people train larger models.
[00:33:44.180 --> 00:33:47.700]   I guess there's also the Bloom and, like, you guys probably
[00:33:47.700 --> 00:33:49.260]   know better than me, like, OPT models
[00:33:49.260 --> 00:33:51.500]   that are publicly available, but I haven't seen
[00:33:51.500 --> 00:33:53.420]   a lot of experiments on them.
[00:33:53.420 --> 00:33:56.100]   Yeah, yeah.
[00:33:56.100 --> 00:34:00.260]   So my question is, are there emergent abilities
[00:34:00.260 --> 00:34:03.620]   that are accessible in lower parameter regimes?
[00:34:03.620 --> 00:34:09.520]   I can think of, like, more of a speech technique or [INAUDIBLE]
[00:34:09.520 --> 00:34:11.900]   I would expect maybe there might be, like, some better--
[00:34:11.900 --> 00:34:13.360]   maybe not, like, chain of thought,
[00:34:13.360 --> 00:34:14.680]   but are there some that are, like--
[00:34:14.680 --> 00:34:15.360]   Yeah, definitely.
[00:34:15.360 --> 00:34:17.480]   I think in the paper, we had, like,
[00:34:17.480 --> 00:34:19.040]   the list of a couple dozen abilities
[00:34:19.040 --> 00:34:21.400]   that would be emergent at, like, 8 billion parameters
[00:34:21.400 --> 00:34:24.160]   or, like, 60 billion parameters, something like that, yeah.
[00:34:24.160 --> 00:34:25.320]   Yeah.
[00:34:25.320 --> 00:34:25.820]   Yeah.
[00:34:25.820 --> 00:34:27.200]   We have two questions from Zoom.
[00:34:27.200 --> 00:34:30.080]   The first question is, do you see strategy tactics
[00:34:30.080 --> 00:34:33.560]   between the larger tech firms differing systematically
[00:34:33.560 --> 00:34:36.320]   in studying these models, or is basically everyone
[00:34:36.320 --> 00:34:37.400]   taking the same approach?
[00:34:37.400 --> 00:34:48.800]   I wouldn't say that everyone is taking the same approach.
[00:34:48.800 --> 00:34:52.360]   I think, as one example, Anthropic
[00:34:52.360 --> 00:34:55.800]   takes, like, a very safety-centric approach.
[00:34:55.800 --> 00:34:59.080]   And they're super interested in, like, emergent abilities
[00:34:59.080 --> 00:35:02.920]   because there could be emergent abilities that are undesirable
[00:35:02.920 --> 00:35:06.560]   and they want to predict those types of things.
[00:35:06.560 --> 00:35:09.840]   I also don't know what happens at other companies
[00:35:09.840 --> 00:35:13.600]   other than at Google, so I can't really speak too much to that.
[00:35:13.600 --> 00:35:14.120]   Yeah.
[00:35:14.120 --> 00:35:17.120]   The second question, what are some examples of tasks
[00:35:17.120 --> 00:35:20.040]   or abilities that have not yet emerged, even in models
[00:35:20.040 --> 00:35:23.080]   like Lambda, ChatGPT, et cetera?
[00:35:23.080 --> 00:35:24.120]   Oh, yeah, I have--
[00:35:24.120 --> 00:35:25.660]   maybe I'll just show this real quick.
[00:35:25.660 --> 00:35:37.780]   Uh-- there's, like, a nice list somewhere.
[00:35:37.780 --> 00:35:47.500]   So-- yeah, so basically, what we did
[00:35:47.500 --> 00:35:51.100]   is there's, like, 200 tasks in BigBench.
[00:35:51.100 --> 00:35:52.660]   And then we basically classified them
[00:35:52.660 --> 00:35:58.380]   into, like, smoothly increasing, emergent with GPT-3 or Lambda,
[00:35:58.380 --> 00:36:00.740]   emergent with POM, and then flat, which is, like,
[00:36:00.740 --> 00:36:02.420]   no model better than random.
[00:36:02.420 --> 00:36:04.420]   So I think if you look at any of these tasks
[00:36:04.420 --> 00:36:08.820]   here, they should still not have emerged yet.
[00:36:08.820 --> 00:36:12.420]   And if you can get them to emerge, that'd be interesting.
[00:36:12.420 --> 00:36:14.980]   [INAUDIBLE]
[00:36:14.980 --> 00:36:16.060]   Sorry?
[00:36:16.060 --> 00:36:18.700]   I think ChatGPT should be 20 questions.
[00:36:18.700 --> 00:36:20.340]   Oh, OK, yeah, this is not a super--
[00:36:20.340 --> 00:36:22.260]   I think this is, like, a couple of months old.
[00:36:22.260 --> 00:36:23.420]   Sorry, [INAUDIBLE]
[00:36:23.420 --> 00:36:25.140]   Yeah, yeah.
[00:36:25.140 --> 00:36:26.300]   Oh, 20 questions?
[00:36:26.300 --> 00:36:26.900]   OK, yeah.
[00:36:26.900 --> 00:36:29.500]   [INAUDIBLE]
[00:36:29.500 --> 00:36:32.220]   Yeah, I think-- like, the cool thing
[00:36:32.220 --> 00:36:33.820]   is, like, you can see over time, right?
[00:36:33.820 --> 00:36:37.100]   Like, originally, like, maybe only these were emergent.
[00:36:37.100 --> 00:36:38.580]   And then when POM came out, you'd
[00:36:38.580 --> 00:36:40.700]   see a couple dozen more abilities became emergent.
[00:36:40.700 --> 00:36:45.620]   And then I suspect in a year or two, most of these
[00:36:45.620 --> 00:36:46.620]   will become emergent.
[00:36:46.620 --> 00:36:48.780]   And we'll need harder benchmarks.
[00:36:48.780 --> 00:36:49.500]   Yeah?
[00:36:49.500 --> 00:36:50.860]   There's another question on here.
[00:36:50.860 --> 00:36:54.100]   Why doesn't Google take as much of a safety-centered approach,
[00:36:54.100 --> 00:36:55.860]   like you said, in Prometheus?
[00:36:55.860 --> 00:36:58.660]   Are there reasons to believe harmful capabilities wouldn't
[00:36:58.660 --> 00:36:59.700]   be emergent?
[00:36:59.700 --> 00:37:05.580]   Yeah, I don't want to answer the question on behalf of Google.
[00:37:05.580 --> 00:37:10.540]   I just can only talk about my own opinions.
[00:37:10.540 --> 00:37:12.780]   But I think the reality is that Google--
[00:37:12.780 --> 00:37:14.820]   even if you look at, like, the amount of research
[00:37:14.820 --> 00:37:18.060]   that Google does, it might not be in the large language
[00:37:18.060 --> 00:37:19.260]   models very specifically.
[00:37:19.260 --> 00:37:22.540]   But the amount of safety research that we do, I think,
[00:37:22.540 --> 00:37:24.540]   is more than anthropic if you actually
[00:37:24.540 --> 00:37:26.540]   look at the number of papers published.
[00:37:26.540 --> 00:37:27.500]   Don't quote me on this.
[00:37:27.500 --> 00:37:28.860]   But I think that's correct.
[00:37:28.860 --> 00:37:34.920]   Great.
[00:37:34.920 --> 00:37:42.380]   Yeah, I'll talk about chain-of-thought prompting.
[00:37:42.380 --> 00:37:44.020]   So basically, chain-of-thought prompting
[00:37:44.020 --> 00:37:47.700]   is this way of doing reasoning, multi-step reasoning,
[00:37:47.700 --> 00:37:49.980]   with large language models.
[00:37:49.980 --> 00:37:53.980]   And yeah, I wanted to say that it's
[00:37:53.980 --> 00:37:57.020]   super exciting to see a lot of people at Google working
[00:37:57.020 --> 00:38:00.580]   on this, and also to see Sundar, our CEO,
[00:38:00.580 --> 00:38:04.220]   present this at our last year's Google I/O press event.
[00:38:04.220 --> 00:38:10.380]   And basically, the motivation for this
[00:38:10.380 --> 00:38:15.220]   is that we want language models to do more complicated tasks.
[00:38:15.220 --> 00:38:17.820]   For example, we know language models
[00:38:17.820 --> 00:38:20.980]   can do easy tasks like sentiment analysis or translation.
[00:38:20.980 --> 00:38:23.180]   But what about more complicated tasks
[00:38:23.180 --> 00:38:28.340]   that might even take a human a minute or more to do?
[00:38:28.340 --> 00:38:30.300]   And the goal here is to basically guide them
[00:38:30.300 --> 00:38:32.100]   with metadata.
[00:38:32.100 --> 00:38:35.260]   So for example, instead of just giving an input-output pair,
[00:38:35.260 --> 00:38:38.380]   we want to give them the entire reasoning process
[00:38:38.380 --> 00:38:41.460]   and have them mimic that.
[00:38:41.460 --> 00:38:45.100]   And basically, you can see here, in a standard prompt,
[00:38:45.100 --> 00:38:47.100]   you have the question and then the answer.
[00:38:47.100 --> 00:38:48.940]   And then you have a question, and the model
[00:38:48.940 --> 00:38:49.980]   gives a new answer.
[00:38:49.980 --> 00:38:52.940]   Unfortunately, it's wrong.
[00:38:52.940 --> 00:38:56.380]   And then with chain-of-thought prompting,
[00:38:56.380 --> 00:38:57.860]   you give the model a question.
[00:38:57.860 --> 00:39:00.140]   And then, kind of like how your teacher would
[00:39:00.140 --> 00:39:04.220]   ask you to show your work, you give the chain-of-thought,
[00:39:04.220 --> 00:39:06.820]   is what we call it, or basically a reasoning path.
