
[00:00:00.000 --> 00:00:05.500]   [no audio]
[00:25:11.800 --> 00:25:18.800]   So being familiar with the shapes that you understand what's the underlying output that you expect is important.
[00:25:18.800 --> 00:25:23.800]   In this case, for instance, we're slicing across the first and the second dimension,
[00:25:23.800 --> 00:25:27.800]   and we're keeping the first, the zeroth.
[00:25:27.800 --> 00:25:35.800]   And so we're going to end up getting essentially kind of the top left element of each of those three things in our tensor.
[00:25:35.800 --> 00:25:41.800]   If we scroll all the way up here, we'll get this one, we'll get this five, and we'll get this nine,
[00:25:41.800 --> 00:25:45.800]   because we go across all of the zeroth dimension,
[00:25:45.800 --> 00:25:53.800]   and then across the first and the second, we only take the first, the zeroth element in both of those positions.
[00:25:53.800 --> 00:26:00.800]   And so that's why we get one, five, nine.
[00:26:00.800 --> 00:26:11.800]   And also, of course, you can, you know, apply all of the colons to get back the original tensor.
[00:26:11.800 --> 00:26:17.800]   Okay, and then I think the last thing when it comes to indexing is conversions.
[00:26:17.800 --> 00:26:24.800]   So typically, when we're writing code with neural networks, ultimately we're going to, you know,
[00:26:24.800 --> 00:26:27.800]   process some data through a network, and we're going to get a loss.
[00:26:27.800 --> 00:26:32.800]   And that loss needs to be a scalar, and then we're going to compute gradients with respect to that loss.
[00:26:32.800 --> 00:26:37.800]   So one thing to keep in mind is that sometimes you might have an operation,
[00:26:37.800 --> 00:26:42.800]   and it fails because it was actually expecting a scalar value rather than a tensor.
[00:26:42.800 --> 00:26:50.800]   And so you can extract out the scalar from this one-by-one tensor by just calling dot item.
[00:26:50.800 --> 00:26:54.800]   So in this case, you know, if you have a tensor, which is just literally one,
[00:26:54.800 --> 00:27:00.800]   then you can actually get the Python scalar that corresponds to it by calling dot item.
[00:27:00.800 --> 00:27:02.800]   So now we can get into the more interesting stuff.
[00:27:02.800 --> 00:27:06.800]   One of the really cool things with PyTorch is Autograd.
[00:27:06.800 --> 00:27:14.800]   And what Autograd is, is PyTorch essentially provides an automatic differentiation package,
[00:27:14.800 --> 00:27:23.800]   where when you define your neural network, you're essentially defining many nodes that compute some function.
[00:27:23.800 --> 00:27:27.800]   And in the forward pass, you're kind of running your data through those nodes.
[00:27:27.800 --> 00:27:31.800]   But what PyTorch is doing on the back end is that at each of those points,
[00:27:31.800 --> 00:27:36.800]   it's going to actually store the gradients and accumulate them,
[00:27:36.800 --> 00:27:39.800]   so that every time you do your backwards pass,
[00:27:39.800 --> 00:27:43.800]   you apply the chain rule to be able to calculate all these different gradients,
[00:27:43.800 --> 00:27:46.800]   and PyTorch caches those gradients.
[00:27:46.800 --> 00:27:52.800]   And then you will have access to all of those gradients to be able to actually then run your favorite optimizer
[00:27:52.800 --> 00:27:59.800]   and optimize, you know, with SGD or with Atom or whichever optimizer you choose.
[00:27:59.800 --> 00:28:02.800]   And so that's kind of one of the great features.
[00:28:02.800 --> 00:28:06.800]   You don't have to worry about actually writing the code that computes all of these gradients
[00:28:06.800 --> 00:28:11.800]   and actually caches all of them properly, applies the chain rule, does all these steps.
[00:28:11.800 --> 00:28:16.800]   You can abstract all of that away with just one call to dot backward.
[00:28:16.800 --> 00:28:20.800]   And so in this case, we'll run through a little bit of an example
[00:28:20.800 --> 00:28:25.800]   where we'll see the gradients getting computed automatically.
[00:28:25.800 --> 00:28:32.800]   So in this case, we're going to initialize a tensor,
[00:28:32.800 --> 00:28:35.800]   and requires grad is true by default.
[00:28:35.800 --> 00:28:38.800]   It just means that by default for a given tensor,
[00:28:38.800 --> 00:28:44.800]   Python, PyTorch will store the gradient associated with it.
[00:28:44.800 --> 00:28:49.800]   And you might wonder, well, you know, why do we have this?
[00:28:49.800 --> 00:28:51.800]   You know, wouldn't we always want to store the gradient?
[00:28:51.800 --> 00:28:56.800]   And the answer is, at train time, you need the gradients in order to actually train your network.
[00:28:56.800 --> 00:29:00.800]   But at inference time, you'd actually want to disable your gradients,
[00:29:00.800 --> 00:29:04.800]   and you can actually do that because it's a lot of extra computation that's not needed
[00:29:04.800 --> 00:29:08.800]   since you're not making any updates to your network anymore.
[00:29:08.800 --> 00:29:13.800]   And so let's create this right now.
[00:29:13.800 --> 00:29:18.800]   We don't have any gradients being computed because we haven't actually called backwards
[00:29:18.800 --> 00:29:25.800]   to actually compute some quantity with respect to this particular tensor.
[00:29:25.800 --> 00:29:29.800]   We haven't actually computed those gradients yet.
[00:29:29.800 --> 00:29:36.800]   So right now, the dot grad feature, which will actually store the gradient associated with that tensor, is none.
[00:29:36.800 --> 00:29:39.800]   And so now let's just define a really simple function.
[00:29:39.800 --> 00:29:45.800]   We have x. We're going to define the function y equals 3x squared.
[00:29:45.800 --> 00:29:49.800]   And so now we're going to call y dot backward.
[00:29:49.800 --> 00:29:54.800]   And so now what happens is when we actually print out x dot grad,
[00:29:54.800 --> 00:29:58.800]   what we should expect to see is number 12.
[00:29:58.800 --> 00:30:03.800]   And the reason is that our function y is 3x squared.
[00:30:03.800 --> 00:30:11.800]   If we compute the gradient of that function, we're going to get 6x, and our actual value was 2.
[00:30:11.800 --> 00:30:15.800]   So the actual gradient is going to be 12.
[00:30:15.800 --> 00:30:20.800]   And we see that when we print out x dot grad, that's what we get.
[00:30:20.800 --> 00:30:23.800]   And now we'll just run it again.
[00:30:23.800 --> 00:30:25.800]   Let's set z equal to 3x squared.
[00:30:25.800 --> 00:30:29.800]   We call z dot backwards, and we print out x dot grad again.
[00:30:29.800 --> 00:30:35.800]   And now we see that- I may not run this in the right order.
[00:30:35.800 --> 00:30:42.800]   Okay. So here in the second one that I re-ran, we see that it says 24.
[00:30:42.800 --> 00:30:45.800]   And so you might be wondering, well, I just did the same thing twice.
[00:30:45.800 --> 00:30:47.800]   Shouldn't I see 12 again?
[00:30:47.800 --> 00:30:52.800]   And the answer is that by default, PyTorch will accumulate the gradients.
[00:30:52.800 --> 00:30:57.800]   So it won't actually rewrite the gradient each time you compute it.
[00:30:57.800 --> 00:30:58.800]   It will sum it.
[00:30:58.800 --> 00:31:02.800]   And the reason is because when you actually have backpropagation for your network,
[00:31:02.800 --> 00:31:06.800]   you want to accumulate the gradients, you know, across all of your examples,
[00:31:06.800 --> 00:31:08.800]   and then actually apply your update.
[00:31:08.800 --> 00:31:10.800]   You don't want to overwrite the gradient.
[00:31:10.800 --> 00:31:15.800]   But this also means that every time you have a training iteration for your network,
[00:31:15.800 --> 00:31:17.800]   you need to zero out the gradient,
[00:31:17.800 --> 00:31:21.800]   because you don't want the previous gradients from the last epoch,
[00:31:21.800 --> 00:31:23.800]   where you iterated through all of your training data,
[00:31:23.800 --> 00:31:27.800]   to mess with the current update that you're doing.
[00:31:27.800 --> 00:31:34.800]   So that's kind of one thing to note, which is that that's essentially why we will see
[00:31:34.800 --> 00:31:36.800]   when we actually write the training loop,
[00:31:36.800 --> 00:31:39.800]   you have to run zero grad in order to zero out the gradient.
[00:31:39.800 --> 00:31:44.800]   Yes, so I accidentally ran the cells in the wrong order.
[00:31:44.800 --> 00:31:48.800]   Maybe to make it more clear, let me put this one first.
[00:31:48.800 --> 00:31:53.800]   So this is actually what it should look like,
[00:31:53.800 --> 00:31:56.800]   which is that we ran it once, and I ran this cell first.
[00:31:56.800 --> 00:31:58.800]   And it has 12.
[00:31:58.800 --> 00:32:02.800]   And then we ran it a second time, and we get 24.
[00:32:02.800 --> 00:32:06.800]   Yes, so if you have all of your tensors defined,
[00:32:06.800 --> 00:32:08.800]   then when you actually call dot backwards,
[00:32:08.800 --> 00:32:10.800]   if it's a function of multiple variables,
[00:32:10.800 --> 00:32:14.800]   it's going to compute all of those partials, all of those gradients.
[00:32:14.800 --> 00:32:18.800]   Yes, so what's happening here is that the way PyTorch works is that
[00:32:18.800 --> 00:32:23.800]   it's storing the accumulated gradient at x.
[00:32:23.800 --> 00:32:28.800]   And so we've essentially made two different backwards passes.
[00:32:28.800 --> 00:32:33.800]   We've called it once on this function y, which is a function of x,
[00:32:33.800 --> 00:32:36.800]   and we've called it once on z, which is also a function of x.
[00:32:36.800 --> 00:32:40.800]   And so you're right, we can't actually disambiguate which came from what,
[00:32:40.800 --> 00:32:42.800]   we just see the accumulated gradient.
[00:32:42.800 --> 00:32:46.800]   But typically, that's actually exactly what we want,
[00:32:46.800 --> 00:32:49.800]   because what we want is to be able to run our network
[00:32:49.800 --> 00:32:53.800]   and accumulate the gradient across all of the training examples
[00:32:53.800 --> 00:32:57.800]   that define our loss, and then perform our optimizer step.
[00:32:57.800 --> 00:33:00.800]   So yes, even with respect to one thing, it doesn't matter,
[00:33:00.800 --> 00:33:03.800]   because in practice, each of those things is really a different example
[00:33:03.800 --> 00:33:05.800]   in our set of training examples.
[00:33:05.800 --> 00:33:09.800]   And so we're not interested in, you know, the gradient from one example,
[00:33:09.800 --> 00:33:12.800]   we're actually interested in the overall gradient.
[00:33:12.800 --> 00:33:14.800]   So going back to this example,
[00:33:14.800 --> 00:33:17.800]   what's happening here is that in the backwards pass,
[00:33:17.800 --> 00:33:22.800]   what it's doing is, you can imagine there's the x tensor,
[00:33:22.800 --> 00:33:24.800]   and then there's the dot grad attribute,
[00:33:24.800 --> 00:33:26.800]   which is another separate tensor.
[00:33:26.800 --> 00:33:28.800]   It's going to be the same shape as x.
[00:33:28.800 --> 00:33:32.800]   And what that is storing is it's storing the accumulated gradient
[00:33:32.800 --> 00:33:36.800]   from every single time that you've called dot backward
[00:33:36.800 --> 00:33:39.800]   on a quantity that, um,
[00:33:39.800 --> 00:33:43.800]   essentially has some dependency on x that will have a non-zero gradient.
[00:33:43.800 --> 00:33:46.800]   And so the first time we call it, the gradient will be 12,
[00:33:46.800 --> 00:33:49.800]   because 6x, 6 times 2, 12.
[00:33:49.800 --> 00:33:53.800]   The second time we do it with z, it's also still 12.
[00:33:53.800 --> 00:33:56.800]   But the point is that dot grad doesn't actually overwrite the gradient
[00:33:56.800 --> 00:34:00.800]   each time you call dot backwards, it simply adds them, it accumulates them.
[00:34:00.800 --> 00:34:04.800]   And kind of the intuition there is that ultimately,
[00:34:04.800 --> 00:34:09.800]   you're going to want to compute the gradient with respect to the loss,
[00:34:09.800 --> 00:34:12.800]   and that loss is going to be made up of many different examples.
[00:34:12.800 --> 00:34:15.800]   And so you need to accumulate the gradient from all of those
[00:34:15.800 --> 00:34:17.800]   in order to make a single update.
[00:34:17.800 --> 00:34:19.800]   And then of course, you'll have to zero that out
[00:34:19.800 --> 00:34:22.800]   because every time you make one pass through all of your data,
[00:34:22.800 --> 00:34:26.800]   you don't want that next batch of data to also be double counting
[00:34:26.800 --> 00:34:27.800]   the previous batch's update.
[00:34:27.800 --> 00:34:29.800]   You want to keep those separate.
[00:34:29.800 --> 00:34:32.800]   And so we'll see that in a second.
[00:34:32.800 --> 00:34:37.800]   Yeah.
[00:34:37.800 --> 00:34:41.800]   All right. So now we're going to move on to
[00:34:41.800 --> 00:34:44.800]   one of the final pieces of the puzzle, which is neural networks.
[00:34:44.800 --> 00:34:47.800]   How do we actually use them in PyTorch?
[00:34:47.800 --> 00:34:51.800]   And once we have that and we have our optimization,
[00:34:51.800 --> 00:34:54.800]   we'll finally be able to figure out how do we actually train a neural network?
[00:34:54.800 --> 00:34:58.800]   What does that look like and why it's so clean and efficient
[00:34:58.800 --> 00:35:01.800]   when you do it in PyTorch?
[00:35:01.800 --> 00:35:04.800]   So the first thing that you want to do is,
[00:35:04.800 --> 00:35:09.800]   we're going to be defining neural networks in terms of existing building blocks,
[00:35:09.800 --> 00:35:12.800]   in terms of existing APIs, which will implement,
[00:35:12.800 --> 00:35:17.800]   for instance, linear layers or different activation functions that we need.
[00:35:17.800 --> 00:35:22.800]   So we're going to import torch.nn because that is the neural network package
[00:35:22.800 --> 00:35:24.800]   that we're going to make use of.
[00:35:24.800 --> 00:35:27.800]   And so let's start with the linear layer.
[00:35:27.800 --> 00:35:31.800]   The way the linear layer works in PyTorch is it takes in two arguments.
[00:35:31.800 --> 00:35:36.800]   It takes in the input dimension and then the output dimension.
[00:35:36.800 --> 00:35:41.800]   And so pretty much what it does is it takes in some input,
[00:35:41.800 --> 00:35:45.800]   which has some arbitrary amount of dimensions,
[00:35:45.800 --> 00:35:48.800]   and then finally the input dimension.
[00:35:48.800 --> 00:35:52.800]   And it will essentially output it to that same set of dimensions
[00:35:52.800 --> 00:35:56.800]   except the output dimension in the very last place.
[00:35:56.800 --> 00:36:02.800]   And you can think of the linear layer as essentially just performing a simple AX plus B.
[00:36:02.800 --> 00:36:08.800]   By default, it's going to, um, it's going to apply a bias,
[00:36:08.800 --> 00:36:12.800]   but you can also disable that if you don't want a bias term.
[00:36:12.800 --> 00:36:14.800]   And so let's look at a small example.
[00:36:14.800 --> 00:36:25.800]   So- so here we have our input,
[00:36:25.800 --> 00:36:29.800]   and we're going to create a linear layer,
[00:36:29.800 --> 00:36:32.800]   in this case, as an input size of four,
[00:36:32.800 --> 00:36:35.800]   an output size of two.
[00:36:35.800 --> 00:36:41.800]   And all we're going to do is once we define it by instantiating with nn dot linear,
[00:36:41.800 --> 00:36:45.800]   whatever the name of our layer is, in this case, we called it linear,
[00:36:45.800 --> 00:36:50.800]   we just essentially apply it with parentheses as if it were a function to whatever input.
[00:36:50.800 --> 00:37:00.800]   And that actually does the actual forward pass through this linear layer to get our output.
[00:37:00.800 --> 00:37:06.800]   And so you can see that the original shape was two by three by four.
[00:37:06.800 --> 00:37:10.800]   Then we pass it through this linear layer which has an output dimension of size two.
[00:37:10.800 --> 00:37:15.800]   And so ultimately our output is two by three by two, which is good.
[00:37:15.800 --> 00:37:18.800]   That's what we expect. That's not shape error.
[00:37:18.800 --> 00:37:21.800]   But, you know, something common, um, that you'll see is, you know,
[00:37:21.800 --> 00:37:29.800]   maybe, uh, you decide to- you get a little confused and maybe you do, um,
[00:37:29.800 --> 00:37:34.800]   let's say, uh, two by two, you match the wrong dimension.
[00:37:34.800 --> 00:37:38.800]   And so here we're going to get, uh, shape error.
[00:37:38.800 --> 00:37:43.800]   And you see that the error message isn't as helpful because it's actually changed the shape of what we were working with.
[00:37:43.800 --> 00:37:46.800]   We said this was two by three by four under the hood,
[00:37:46.800 --> 00:37:48.800]   PyTorch has changed this to a six by four.
[00:37:48.800 --> 00:37:55.800]   But if we, you know, in this case it's obvious because we instantiated it with the shape.
[00:37:55.800 --> 00:38:01.800]   But if we didn't have the shape, then one simple thing we could do is actually just print out the shape.
[00:38:01.800 --> 00:38:03.800]   And we'd see, okay, this last dimension is size four,
[00:38:03.800 --> 00:38:14.800]   so I actually need to change my input dimension in my linear layer to be size four.
[00:38:14.800 --> 00:38:18.800]   And you'll also notice on this, um, output we have this grad function.
[00:38:18.800 --> 00:38:31.800]   And so that's because we're actually computing and storing the gradients here, uh, for our tensor.
[00:38:31.800 --> 00:38:36.800]   Yeah, so typically we think of the first dimension as the batch dimension.
[00:38:36.800 --> 00:38:37.800]   So in this case it's set n.
[00:38:37.800 --> 00:38:41.800]   This, you can think of as if you had a batch of images, it would be the number of images.
[00:38:41.800 --> 00:38:43.800]   If you had a training corpus of text,
[00:38:43.800 --> 00:38:48.800]   it would be essentially the number of sentences or sequences.
[00:38:48.800 --> 00:38:52.800]   Um, pretty much that is usually considered the batch dimension.
[00:38:52.800 --> 00:38:55.800]   The star indicates that there can be an arbitrary number of dimensions.
[00:38:55.800 --> 00:39:01.800]   So for instance, if we had images, this could be a four-dimensional tensor object.
[00:39:01.800 --> 00:39:06.800]   It could be the batch size by the number of channels, by the height, by the width.
[00:39:06.800 --> 00:39:10.800]   But in general, there's no fixed number of dimensions.
[00:39:10.800 --> 00:39:13.800]   Your input tensor can be any number of dimensions.
[00:39:13.800 --> 00:39:20.800]   The key is just that that last dimension needs to match up with the input dimension of your linear layer.
[00:39:20.800 --> 00:39:22.800]   The two is the output size.
[00:39:22.800 --> 00:39:28.800]   So essentially we're saying that we're going to map this last dimension,
[00:39:28.800 --> 00:39:31.800]   which is four-dimensional to now two-dimensional.
[00:39:31.800 --> 00:39:35.800]   Um, so in general, you know, you can think of this as if we're stacking a neural network,
[00:39:35.800 --> 00:39:43.800]   this is kind of the input dimension size, and this would be like the hidden dimension size.
[00:39:43.800 --> 00:39:46.800]   And so one thing we can do is we can actually print out the parameters,
[00:39:46.800 --> 00:39:49.800]   and we can actually see what are the values of our linear layer,
[00:39:49.800 --> 00:39:53.800]   or in general for any layer that we define in our neural network,
[00:39:53.800 --> 00:39:55.800]   what are the actual parameters.
[00:39:55.800 --> 00:40:00.800]   And in this case, we see that there's two sets of parameters,
[00:40:00.800 --> 00:40:07.800]   because we have a bias as well as the actual, um, the actual linear layer itself.
[00:40:07.800 --> 00:40:13.800]   And so both of them store the gradients, and in this case,
[00:40:13.800 --> 00:40:19.800]   um, you know, these are, these are what the current values of these parameters are,
[00:40:19.800 --> 00:40:23.800]   and they'll change as we train the network.
[00:40:23.800 --> 00:40:27.800]   Okay, so now let's go through some of the other module layers.
[00:40:27.800 --> 00:40:32.800]   Um, so in general,
[00:40:32.800 --> 00:40:35.800]   nn.linear is one of the layers you have access to.
[00:40:35.800 --> 00:40:38.800]   You have a couple of other different layers that are pretty common.
[00:40:38.800 --> 00:40:42.800]   You have 2D convolutions, you have transpose convolutions,
[00:40:42.800 --> 00:40:46.800]   you have batch norm layers when you need to do normalization in your network.
[00:40:46.800 --> 00:40:49.800]   You can do upsampling, you can do max pooling,
[00:40:49.800 --> 00:40:51.800]   you can do lots of different operators.
[00:40:51.800 --> 00:40:54.800]   But the main key here is that all of them are built-in building blocks
[00:40:54.800 --> 00:40:58.800]   that you can just call, just like we did with nn.linear.
[00:40:58.800 --> 00:41:03.800]   And so let's just go, I guess, I'm running out of time,
[00:41:03.800 --> 00:41:06.800]   but let's just try and go through these last few layers,
[00:41:06.800 --> 00:41:10.800]   and then I'll wrap up by kind of showing an example that puts it all together.
[00:41:10.800 --> 00:41:14.800]   So in this case, we can define an activation function,
[00:41:14.800 --> 00:41:16.800]   which is typical with our networks.
[00:41:16.800 --> 00:41:18.800]   We need to introduce nonlinearities.
[00:41:18.800 --> 00:41:20.800]   In this case, we use the sigmoid function.
[00:41:20.800 --> 00:41:23.800]   And so now we can define our, our network as this very simple thing,
[00:41:23.800 --> 00:41:28.800]   which had one linear layer and then an activation.
[00:41:28.800 --> 00:41:32.800]   And in general, when we compose these layers together,
[00:41:32.800 --> 00:41:37.800]   we don't need to actually write every single line by line applying the next layer.
[00:41:37.800 --> 00:41:39.800]   We can actually stack all of them together.
[00:41:39.800 --> 00:41:43.800]   In this case, we can use nn.sequential and list all of the layers.
[00:41:43.800 --> 00:41:47.800]   So here we have our linear layer followed by our sigmoid.
[00:41:47.800 --> 00:41:54.800]   And then now we're just essentially passing the input through this whole set of layers all at once.
[00:41:54.800 --> 00:42:00.800]   So we take our input, we call a block on the input, and we get the output.
[00:42:00.800 --> 00:42:03.800]   And so let's just kind of see putting it all together,
[00:42:03.800 --> 00:42:05.800]   what does it look like to define a network,
[00:42:05.800 --> 00:42:07.800]   and what does it look like when we train one?
[00:42:07.800 --> 00:42:11.800]   So here we're going to actually define a multilayer perceptron.
[00:42:11.800 --> 00:42:14.800]   And the way it works is to define a neural network,
[00:42:14.800 --> 00:42:17.800]   you extend the nn.module class.
[00:42:17.800 --> 00:42:21.800]   The key here is there's really two main things you have to define when you create your own network.
[00:42:21.800 --> 00:42:23.800]   One is the initialization.
[00:42:23.800 --> 00:42:27.800]   So in the init function, you actually initialize all the parameters you need.
[00:42:27.800 --> 00:42:31.800]   In this case, we initialize an input size, a hidden size,
[00:42:31.800 --> 00:42:34.800]   and we actually define the model itself.
[00:42:34.800 --> 00:42:41.800]   In this case, it's a simple model which consists of a linear layer followed by an activation,
[00:42:41.800 --> 00:42:45.800]   followed by another linear layer, followed by a final activation.
[00:42:45.800 --> 00:42:48.800]   And the second function we have to define is the forward,
[00:42:48.800 --> 00:42:51.800]   which actually does the forward pass of the network.
[00:42:51.800 --> 00:42:56.800]   And so here our forward function takes in our input x.
[00:42:56.800 --> 00:43:01.800]   In general, it could take in some arbitrary amount of inputs into this function,
[00:43:01.800 --> 00:43:05.800]   but essentially it needs to figure out how are you actually computing the output.
[00:43:05.800 --> 00:43:07.800]   And in this case, it's very simple.
[00:43:07.800 --> 00:43:14.800]   It just takes in the input x and returns it back into the network that we just defined and return the output.
[00:43:14.800 --> 00:43:19.800]   And again, you could do this more explicitly by kind of doing what we did earlier,
[00:43:19.800 --> 00:43:26.800]   where we could actually write out all of the layers individually instead of wrapping them into one object
[00:43:26.800 --> 00:43:33.800]   and then doing a line-by-line operation for each one of these layers.
[00:43:33.800 --> 00:43:36.800]   If we define our class, it's very simple to use it.
[00:43:36.800 --> 00:43:39.800]   We can now just instantiate some input,
[00:43:39.800 --> 00:43:43.800]   instantiate our model by calling multilayer perceptron with our parameters,
[00:43:43.800 --> 00:43:48.800]   and then just pass it through our model.
[00:43:48.800 --> 00:43:51.800]   So that's great, but this is all just the forward pass.
[00:43:51.800 --> 00:43:53.800]   How do we actually train the network?
[00:43:53.800 --> 00:43:55.800]   How do we actually make it better?
[00:43:55.800 --> 00:44:00.800]   And so this is the final step, which is we have optimization built in to PyTorch.
[00:44:00.800 --> 00:44:05.800]   So we have this backward function, which goes and computes all these gradients in the backward pass.
[00:44:05.800 --> 00:44:10.800]   And now the only step left is to actually update the parameters using those gradients.
[00:44:10.800 --> 00:44:18.800]   And so here, we'll import the torch.optim package, which contains all of the optimizers that you need.
[00:44:18.800 --> 00:44:25.800]   Essentially, this part is just creating some random data so that we can actually decide how to fit our data.
[00:44:25.800 --> 00:44:30.800]   But this is really the key here, which is we'll instantiate our model that we defined.
[00:44:30.800 --> 00:44:37.800]   We'll define the atom optimizer, and we'll define it with a particular learning rate.
[00:44:37.800 --> 00:44:41.800]   We'll define a loss function, which is again another built-in module.
[00:44:41.800 --> 00:44:44.800]   In this case, we're using the cross-entropy loss.
[00:44:44.800 --> 00:44:51.800]   And finally, to calculate our predictions, all we do simply is just call model on our actual input.
[00:44:51.800 --> 00:44:57.800]   And to calculate our loss, we just call our loss function on our predictions and our true labels.
[00:44:57.800 --> 00:45:00.800]   And we extract the scalar here.
[00:45:00.800 --> 00:45:05.800]   And now when we put it all together, this is what the training loop looks like.
[00:45:05.800 --> 00:45:08.800]   We have some number of epochs that we want to train our network.
[00:45:08.800 --> 00:45:13.800]   For each of these epochs, the first thing we do is we take our optimizer and we zero out the gradient.
[00:45:13.800 --> 00:45:19.800]   And the reason we do that is because, like many of you noted, we actually are accumulating the gradient.
[00:45:19.800 --> 00:45:21.800]   We're not resetting it every time we call dot backward.
[00:45:21.800 --> 00:45:23.800]   So we zero out the gradient.
[00:45:23.800 --> 00:45:27.800]   We get our model predictions by doing a forward pass.
[00:45:27.800 --> 00:45:33.800]   We then compute the loss between the predictions and the true values.
[00:45:33.800 --> 00:45:35.800]   Finally, we call loss dot backward.
[00:45:35.800 --> 00:45:41.800]   This is what actually computes all of the gradients in the backward pass from our loss.
[00:45:41.800 --> 00:45:44.800]   And the final step is we call dot step on our optimizer.
[00:45:44.800 --> 00:45:47.800]   In this case, we're using atom.
[00:45:47.800 --> 00:45:49.800]   And this will take a step on our loss function.
[00:45:49.800 --> 00:45:55.800]   And so if we run this code, we end up seeing that we're able to start with some training loss,
[00:45:55.800 --> 00:46:02.800]   which is relatively high, and in 10 epochs, we're able to essentially completely fit our data.
[00:46:02.800 --> 00:46:06.800]   And if we print out our model parameters and we printed them out from the start as well,
[00:46:06.800 --> 00:46:11.800]   we'd see that they've changed as we've actually done this optimization.
[00:46:11.800 --> 00:46:13.800]   And so I'll kind of wrap it up here.
[00:46:13.800 --> 00:46:19.800]   But I think the key takeaway is that a lot of the things that you're doing at the beginning of this class
[00:46:19.800 --> 00:46:23.800]   are really about understanding the basics of how neural networks work,
[00:46:23.800 --> 00:46:27.800]   how you actually implement them, how you implement the backward pass.
[00:46:27.800 --> 00:46:30.800]   The great thing about PyTorch is that once you get to the very next assignment,
[00:46:30.800 --> 00:46:34.800]   you'll see that now that you have a good underlying understanding of those things,
[00:46:34.800 --> 00:46:38.800]   you can abstract a lot of the complexity of how do you do backprop,
[00:46:38.800 --> 00:46:41.800]   how do you store all these gradients, how do you compute them,
[00:46:41.800 --> 00:46:45.800]   how do you actually run the optimizer, and let PyTorch handle all of that for you.
[00:46:45.800 --> 00:46:49.800]   And you can use all of these building blocks, all these different neural network layers,
[00:46:49.800 --> 00:46:54.800]   to now define your own networks that you can use to solve whatever problems you need.
[00:46:54.800 --> 00:46:56.800]   Thank you.
[00:46:56.800 --> 00:47:06.800]   [BLANK_AUDIO]

