
[00:00:00.000 --> 00:00:05.180]   So as someone who writes and talks a lot about producing meaningful stuff in a distracted world,
[00:23:37.980 --> 00:23:43.160]   with papers. I started doing this with my exams. They're taken in class, but I actually have the
[00:23:43.160 --> 00:23:47.640]   students, when they're done taking the exam right there before they leave, take photos with their
[00:23:47.640 --> 00:23:52.560]   phone of every page, which they can then later on my behalf upload into the online system. So we have
[00:23:52.560 --> 00:23:57.640]   digital copies, the simplified grading and comments and returning entering grades. And I can just keep the
[00:23:57.640 --> 00:24:02.520]   physical copies as a backup, just pick them up and put them in a drawer in my office, right? So I learned
[00:24:02.520 --> 00:24:11.320]   this rule. You have someone to do 10% more on their end can make your life 100% easier. Small addition to
[00:24:11.320 --> 00:24:18.000]   their work can make your life bigly more, that's not a real word, but much more easy because it aggregates
[00:24:18.000 --> 00:24:22.200]   over a lot of different people. All right. So with that in mind, Kelsey, my lesson here is I would have
[00:24:22.200 --> 00:24:27.500]   some sort of procedure page, you know, FAQ or systems or whatever. It's a website that you can
[00:24:27.500 --> 00:24:32.480]   easily update that you start building out your instructions for all the common things you do
[00:24:32.480 --> 00:24:36.060]   and handle as an administrator. And then you can just keep pointing students to this page.
[00:24:36.060 --> 00:24:42.320]   Oh, you need a external credit approval form. Look at this page. You need transfer credit approval.
[00:24:42.320 --> 00:24:47.140]   Look at this page. You need to declare like approval for a major declaration. Look at this page.
[00:24:47.300 --> 00:24:52.300]   So you're preventing everyone from just informally emailing you and you have to kind of explain or
[00:24:52.300 --> 00:24:56.880]   work with them informally to get done whatever thing they need to get done. You can then experiment on
[00:24:56.880 --> 00:25:02.220]   this page with giving them more work to do to make your life somewhat easier. Like for example, if there's
[00:25:02.220 --> 00:25:07.500]   a common type of form that you need to sign, which is like real easy for you to verify, but it's sort of
[00:25:07.500 --> 00:25:11.480]   annoying. People email you, you sign them, you email them back, you have to keep track and they're always
[00:25:11.480 --> 00:25:17.220]   coming in. You could have a procedure that says, here's a shared folder. What you need to do,
[00:25:17.220 --> 00:25:22.560]   it's called forms to be signed. You need to set up your whole form like in the PDF and you need to put
[00:25:22.560 --> 00:25:29.560]   it in that folder. And on Friday afternoons, I go through and I sign all of those forms in a row
[00:25:29.560 --> 00:25:36.340]   and move them to a nearby folder called signed forms. After Friday afternoon, you can find your signed
[00:25:36.340 --> 00:25:40.920]   form there whenever you want and move forward and submit it. You're giving them a little bit more work,
[00:25:40.920 --> 00:25:44.220]   but you've taken every one of those forms out of your inbox as something to react to.
[00:25:44.220 --> 00:25:51.180]   And instead you have 30 minutes on Friday where you do it all at once. Another type of thing you can do
[00:25:51.180 --> 00:25:55.740]   is if there's anything where information needs to be looked up, see if the student can look the
[00:25:55.740 --> 00:26:00.460]   information up for you and then they submit that along with what's going on. Like in my role as
[00:26:00.460 --> 00:26:04.580]   director of undergraduate studies, for example, one of the things I'm responsible for is approving
[00:26:04.580 --> 00:26:10.700]   requests of students who want to declare a major in computer science. When our department
[00:26:10.700 --> 00:26:14.460]   was smaller, the way the DUS would handle this is someone would say, hey, I'm thinking about
[00:26:14.460 --> 00:26:19.820]   declaring a major and he would load up using the backing systems, their schedule and see where
[00:26:19.820 --> 00:26:24.800]   they are and what they've taken already and kind of see like, is it reasonable? Is there a way they
[00:26:24.800 --> 00:26:29.240]   have enough, you know, enough semesters left to take the courses? Like, is there a path,
[00:26:29.240 --> 00:26:33.720]   a reasonable path forward for them to actually finish this major? But our department has grown and
[00:26:33.720 --> 00:26:38.600]   that takes a lot of time. And so now I just, the instructions for the students are, if you want to declare a
[00:26:38.600 --> 00:26:42.520]   major, that's great. You can send me a note, but here's what you need to send me. You tell me all
[00:26:42.520 --> 00:26:48.020]   the courses you've taken and then you need to give me at least a sample schedule for one way you plan
[00:26:48.020 --> 00:26:51.720]   to finish this major, what courses you're going to take in what semester. Now I can just see at a
[00:26:51.720 --> 00:26:59.400]   quick glance, is this reasonable or not? And this adds up, this saves me five or 10 minutes over 20
[00:26:59.400 --> 00:27:04.860]   or 30 students. That makes a big difference. The final thing I might argue here, Kelsey, if you have
[00:27:04.860 --> 00:27:09.280]   150 students is having a daily or every other day office hours from one hour. And basically when
[00:27:09.280 --> 00:27:13.320]   something comes in, that's one off, like you don't have a procedure for it, but it's going to require
[00:27:13.320 --> 00:27:19.160]   a more complicated discussion than just a one email message response, just keep telling people,
[00:27:19.160 --> 00:27:24.120]   here's my office hour schedule, come to the next one you can, and we'll get into it. And just have this
[00:27:24.120 --> 00:27:29.280]   hour, do it different times. So it doesn't over, you know, if someone has a course that conflicts,
[00:27:29.280 --> 00:27:33.360]   one of the times will work and just have people come to your office hours. So you just have this like
[00:27:33.360 --> 00:27:39.680]   hour most days where like a lot of this work gets done. So these type of procedures plus office hours
[00:27:39.680 --> 00:27:44.020]   can really reduce the amount of time you're reacting and get you a much more like efficient
[00:27:44.020 --> 00:27:49.480]   batching here. But the bigger picture thing here is my idea of make a lot of people do a little bit more
[00:27:49.480 --> 00:27:53.480]   work. It makes your life a lot easier. All right, who we got next?
[00:27:53.480 --> 00:27:55.320]   Do you always have a line at your office hours?
[00:27:55.320 --> 00:27:58.260]   Not always.
[00:27:58.260 --> 00:27:59.400]   A lot of times?
[00:27:59.400 --> 00:28:07.260]   Yeah. I mean, so I'm teaching a class there. It depends if there's a problem set due. So the way
[00:28:07.260 --> 00:28:13.100]   I run my class, I have about a hundred kids I'm teaching. I have four TAs. And so we've set things
[00:28:13.100 --> 00:28:18.380]   up. So there's an office hours five days a week. So it just kind of matters like when, if there's
[00:28:18.380 --> 00:28:22.640]   something due and I'm the nearest office hours to that thing being due, I'll get a lot of students.
[00:28:22.640 --> 00:28:27.740]   If it's not near me, whatever TA happens to have their office hours closest to that, they'll get
[00:28:27.740 --> 00:28:31.860]   more students. I think for like homework questions, they go to the TAs more than me.
[00:28:31.860 --> 00:28:36.280]   And I kind of set things up that way. But I get students who aren't on my classes coming to talk
[00:28:36.280 --> 00:28:42.020]   about my books or this or that. So it's not like a long line. But you know how I am. Like there's a lot
[00:28:42.020 --> 00:28:45.460]   of things where I've organized the amount of office hours. Like I've said, if you have questions about
[00:28:45.460 --> 00:28:50.340]   grading, I want to hear them. But here's how I, this is another example. Here's how I want to hear
[00:28:50.340 --> 00:28:56.120]   them. I want you to send me a screenshot from the online grading system. Here's your answer. And here's
[00:28:56.120 --> 00:29:01.560]   the TA's comment about here's the grade you got and why. Send me that. Because I can just look at that
[00:29:01.560 --> 00:29:05.700]   and I'll know immediately, like, is this a mistake or not? Most likely. Much more efficient than you
[00:29:05.700 --> 00:29:10.560]   coming to my office, loading up the thing, showing it to me. I can just go through those really quickly.
[00:29:11.380 --> 00:29:15.100]   And, but that's like a, that takes another common, you know, sorts of office hours,
[00:29:15.100 --> 00:29:17.140]   et cetera. So it's, it's not too bad.
[00:29:17.140 --> 00:29:23.560]   All right. Next question is from Kent. When I time block, I'm often unsure where to do deep work
[00:29:23.560 --> 00:29:28.420]   on days without meetings. Should I dive straight into deep work? I've been experimenting with delaying,
[00:29:28.420 --> 00:29:30.260]   even opening my email until 10 AM.
[00:29:30.260 --> 00:29:37.080]   Right. Do that. Yeah. First thing is better for almost everyone. That's what Sam Altman talked
[00:29:37.080 --> 00:29:40.960]   about in our deep dive. Yes. Don't check email before. If you're going to do a first thing,
[00:29:40.960 --> 00:29:45.000]   deep work block, don't check your email until it's done. Checking your email is just going to load up
[00:29:45.000 --> 00:29:49.360]   multiple different cognitive contexts in your mind that you're going to have to completely clear out
[00:29:49.360 --> 00:29:52.480]   again to do your deep work. It's going to take you a half hour. So just get right into the work
[00:29:52.480 --> 00:29:58.740]   and then move on to your email. If you're stressed about it, put aside more time at the end of the day
[00:29:58.740 --> 00:30:02.960]   to kind of get on top of anything urgent in your email. Because anything that arrives after that
[00:30:02.960 --> 00:30:07.320]   is people messaging you in the evening. So they don't have an expectation of an immediate response.
[00:30:07.320 --> 00:30:12.640]   So I would say, try it. I would, I mean, look, if I was in charge of the knowledge work world,
[00:30:12.640 --> 00:30:17.440]   I'd be like most knowledge workers, it should be, there's no, no email, no meetings before 11.
[00:30:17.440 --> 00:30:21.400]   Just take the most important thing you're working on and work on it each morning.
[00:30:21.400 --> 00:30:26.040]   I think that'd make a big difference. Or the other model I'd pitch is the hybrid attention model.
[00:30:26.040 --> 00:30:29.540]   Two days or three days a week, you're at home. Those days there's no meetings,
[00:30:29.620 --> 00:30:34.440]   no expectations of emails. Three days you're at the office, you answer emails and have meetings.
[00:30:34.440 --> 00:30:41.880]   So on the, at home days, all you're doing is deep work, no interruption. It really makes a difference.
[00:30:41.880 --> 00:30:46.120]   Deep work without interruption versus trying to do hard work with interruption. It's night and day.
[00:30:46.120 --> 00:30:50.140]   It's just two completely different cognitive states. All right. What do we got next?
[00:30:50.140 --> 00:30:54.760]   Next question is from Bradley. I live in Scotland and am a gardener. In my field,
[00:30:54.760 --> 00:30:56.940]   what would gaining career capital look like?
[00:30:57.960 --> 00:31:02.700]   Well, I don't know the answer to that, Bradley, but I would say there are specific answers.
[00:31:02.700 --> 00:31:09.020]   And what you want to avoid is guessing or writing your own story about what you want the answer to be.
[00:31:09.020 --> 00:31:13.420]   So most of my listeners are not gardeners, but I think the specificity of your field
[00:31:13.420 --> 00:31:17.440]   allows us to point to a more general point here, which is,
[00:31:17.440 --> 00:31:21.700]   it's not always obvious what skills are valuable in a given field.
[00:31:22.380 --> 00:31:25.640]   And it is worth actually going out there and doing some research to figure this out.
[00:31:25.640 --> 00:31:31.820]   And by research, I mean actually talking to real people and actually observing who in my field is at a place I would like to be at,
[00:31:31.820 --> 00:31:37.960]   has some attributes in their job that seem really appealing to me, be it just like status or income or flexibility or autonomy
[00:31:37.960 --> 00:31:43.640]   or specific types of projects to get a work on and figure out the reality of how they got there.
[00:31:43.640 --> 00:31:45.980]   Treat it like you're a business journalist or a how-to book writer.
[00:31:46.300 --> 00:31:47.120]   How did they get there?
[00:31:47.120 --> 00:31:47.720]   What mattered?
[00:31:47.720 --> 00:31:48.600]   Take them out to coffee.
[00:31:48.600 --> 00:31:49.540]   Talk about their career.
[00:31:49.540 --> 00:31:50.880]   Like, how did you get from here to here?
[00:31:50.880 --> 00:31:52.240]   What was the key thing?
[00:31:52.240 --> 00:31:54.040]   It's a question I always say to ask people.
[00:31:54.040 --> 00:31:56.900]   When you went from this step to that step, this impressive jump,
[00:31:56.900 --> 00:32:00.560]   what was the key thing you were doing that other people who would want to make that jump weren't doing
[00:32:00.560 --> 00:32:01.520]   or weren't doing enough of?
[00:32:01.520 --> 00:32:03.580]   So you want to really isolate the things that really matter.
[00:32:03.580 --> 00:32:05.800]   The answers aren't always what you want to hear,
[00:32:06.300 --> 00:32:11.340]   but it's always better to deal with reality than to guess or to write your own stories.
[00:32:11.340 --> 00:32:15.180]   Writing your own stories, I think, is the more dangerous possibility here because it's the more tempting.
[00:32:15.180 --> 00:32:21.100]   People like to create a story about what they think matters because it matches what they want to do.
[00:32:21.100 --> 00:32:26.340]   It has some vision of them working like an hour each day extra on whatever.
[00:32:26.340 --> 00:32:30.680]   Like, they have some vision for what they want the answer to be because it gives them a plan that's going to be fun to do
[00:32:30.680 --> 00:32:34.120]   that's like kind of hard but not too hard and everything works out well in the end.
[00:32:34.800 --> 00:32:37.860]   But the problem about writing your own stories is they rarely match reality.
[00:32:37.860 --> 00:32:41.820]   You write a fantasy, your goals are fantastical as well.
[00:32:41.820 --> 00:32:44.780]   If you instead study the reality, you might come away and say,
[00:32:44.780 --> 00:32:46.100]   shoot, I'm never going to achieve that.
[00:32:46.100 --> 00:32:47.080]   Like, that's way too hard.
[00:32:47.080 --> 00:32:48.940]   I already see I'm not in the right place to do it.
[00:32:48.940 --> 00:32:51.200]   Okay, I'm going to need a different type of goal.
[00:32:51.200 --> 00:32:55.100]   But it's better you figure that out than tell yourself a story.
[00:32:55.100 --> 00:32:59.580]   And maybe what you find out is, oh, there's an option here I wasn't thinking about,
[00:32:59.580 --> 00:33:02.120]   and now I see how to get there, and I never would have done this type of work,
[00:33:02.120 --> 00:33:04.440]   but now I know if I do this work, I have a good shot.
[00:33:04.440 --> 00:33:10.300]   But this reality check-in will happen a lot with people, more in my world would be with people
[00:33:10.300 --> 00:33:12.160]   that have like academic aspirations.
[00:33:12.160 --> 00:33:19.180]   And they might be, you know, in grad school somewhere like, yeah, I want to be like a professor
[00:33:19.180 --> 00:33:23.600]   at like a top 25 school and, you know, be done sabbatical and writing books and like,
[00:33:23.600 --> 00:33:24.240]   this sounds great.
[00:33:24.240 --> 00:33:24.900]   I want to do that.
[00:33:24.900 --> 00:33:26.620]   But the reality might be like, well, wait a second.
[00:33:26.620 --> 00:33:28.260]   Like, you didn't do that great in your undergraduate.
[00:33:28.500 --> 00:33:30.520]   You're in like a mid-tier grad school.
[00:33:30.520 --> 00:33:35.340]   You are not on that trajectory, and it's probably too late to fix that trajectory.
[00:33:35.340 --> 00:33:37.460]   And there's not like some easy thing you can do.
[00:33:37.460 --> 00:33:39.880]   The other place where people often tell stories about book writing.
[00:33:39.880 --> 00:33:44.560]   I want to be a successful writer, and I want to write my own story about how that works.
[00:33:44.560 --> 00:33:48.160]   And it's going to be some clever scheme I have for like marketing or building an audience.
[00:33:48.160 --> 00:33:51.980]   And then, you know, as opposed to just, here's the real story about how you become an author.
[00:33:51.980 --> 00:33:54.580]   Because they might not want to hear that story because it's not going to go well for them.
[00:33:54.580 --> 00:33:57.460]   So you got to be careful about writing your own story.
[00:33:57.460 --> 00:33:58.020]   Get evidence.
[00:33:58.020 --> 00:34:04.360]   The flip side is if you have real evidence about what matters, your return on investment in
[00:34:04.360 --> 00:34:06.180]   terms of your effort is way bigger than other people.
[00:34:06.180 --> 00:34:10.460]   You have a much higher chance of actually getting to cool places than if you're out there just
[00:34:10.460 --> 00:34:14.560]   trying to like hustle or follow some sort of like highly inventive plan.
[00:34:14.560 --> 00:34:18.020]   Gardening in Scotland sounds cool.
[00:34:18.020 --> 00:34:20.480]   Yeah, he probably works around some golf courses.
[00:34:20.480 --> 00:34:23.000]   Yeah, you think he's at St. Andrews?
[00:34:23.000 --> 00:34:23.440]   St. Andrews?
[00:34:23.440 --> 00:34:26.540]   Deep sand traps.
[00:34:26.540 --> 00:34:27.740]   All right, who we got next?
[00:34:27.740 --> 00:34:29.580]   Next question is from Andrew.
[00:34:29.580 --> 00:34:34.500]   How can I go from good performance to truly exceptional performance in my field of work?
[00:34:34.500 --> 00:34:39.000]   Well, the only way people become exceptional is with expert guided deliberate practice.
[00:34:39.000 --> 00:34:40.180]   That's it.
[00:34:40.180 --> 00:34:49.040]   You are having a real expert on how the field works, coaching you in the strategic stretching
[00:34:49.040 --> 00:34:51.160]   of your abilities where they're weak to improve them.
[00:34:51.160 --> 00:34:59.080]   So this sort of very systematic, expert guided, difficult to do training is a necessary condition
[00:34:59.080 --> 00:35:00.280]   for exceptional performance.
[00:35:00.280 --> 00:35:03.420]   This is more clear in things like chess or baseball.
[00:35:03.420 --> 00:35:07.740]   Chess players now, they're much better than they used to be because they have these very rigorous
[00:35:07.740 --> 00:35:12.940]   training programs built on playing against computer chess programs where they can really push at exactly,
[00:35:12.940 --> 00:35:16.320]   you know, a particular type of mid-game situation they're struggling in.
[00:35:16.320 --> 00:35:18.340]   They can just do those type of exact puzzles all day.
[00:35:18.340 --> 00:35:19.040]   It's very hard.
[00:35:19.040 --> 00:35:23.380]   If you're like a baseball player, you're working with hitting coaches that are, it's like very specific.
[00:35:23.380 --> 00:35:26.360]   Here is exactly what you need to improve on your swing.
[00:35:26.360 --> 00:35:28.140]   And we're working just on that.
[00:35:28.580 --> 00:35:29.960]   So that's the necessary condition.
[00:35:29.960 --> 00:35:32.980]   The problem is it's not necessarily a sufficient condition.
[00:35:32.980 --> 00:35:37.400]   You might not ever be able to become exceptional in your field, right?
[00:35:37.400 --> 00:35:43.200]   These are where other things come in place, circumstances, natural abilities, the capacity
[00:35:43.200 --> 00:35:48.720]   for drive, ability to go through hardship, physical capacities, genes, like all these other things
[00:35:48.720 --> 00:35:52.860]   come into play where you're going to sort of ultimately hit your limit.
[00:35:53.660 --> 00:35:57.000]   So, you know, if you want to get better, do expert guided deliberate practice, figure out
[00:35:57.000 --> 00:36:01.740]   how to do that in your field, but have the reality check that like most of us aren't going
[00:36:01.740 --> 00:36:02.860]   to become exceptional.
[00:36:02.860 --> 00:36:05.440]   So you don't necessarily want your plans to be built around.
[00:36:05.440 --> 00:36:07.980]   I'm going to be the very best person in the world doing this.
[00:36:07.980 --> 00:36:12.060]   Not a bad thing to make a run at that because even falling short of that is going to open
[00:36:12.060 --> 00:36:16.000]   up a lot of opportunities, but everyone can get good.
[00:36:16.000 --> 00:36:16.920]   This is what I always say.
[00:36:16.920 --> 00:36:19.400]   Everyone can get most skills, especially professional skills.
[00:36:19.400 --> 00:36:23.380]   Basically, everyone can get good enough at those skills to really gain some career capital.
[00:36:23.380 --> 00:36:25.300]   Not everyone can get great.
[00:36:25.300 --> 00:36:28.880]   In fact, like most things, most people can't get great.
[00:36:28.880 --> 00:36:35.120]   And when you're planning for, you know, your life, that's like something, that's something
[00:36:35.120 --> 00:36:35.740]   to keep in mind.
[00:36:35.740 --> 00:36:37.980]   All right.
[00:36:37.980 --> 00:36:39.900]   Who do we have next?
[00:36:39.900 --> 00:36:41.400]   Next question is from Alex.
[00:36:41.400 --> 00:36:44.460]   I'm interested in your take on multiple monitors.
[00:36:44.460 --> 00:36:48.440]   I'm an academic and there's definitely a move towards people having multiple monitors on
[00:36:48.440 --> 00:36:48.920]   their desks.
[00:36:48.920 --> 00:36:53.120]   Personally, I have two, but I've noticed that I write a lot better if I unplug my laptop from
[00:36:53.120 --> 00:36:56.960]   my multi-monitor docking station and go and just write with one screen open.
[00:36:56.960 --> 00:36:57.480]   Yeah.
[00:36:57.480 --> 00:36:59.120]   The monitor wars are getting kind of crazy.
[00:36:59.120 --> 00:37:04.560]   You now have people with like these giant curved ones and then multiple other monitors on top
[00:37:04.560 --> 00:37:04.920]   of them.
[00:37:04.920 --> 00:37:12.120]   It's unclear if like what they're doing is trying to debug their C++ code or launch a ballistic
[00:37:12.120 --> 00:37:17.700]   missile attack against Russia because they have a setup that would allow them really to do both
[00:37:17.700 --> 00:37:18.380]   of those things.
[00:37:18.500 --> 00:37:22.200]   The multiple monitor movement really came out of computer programmer.
[00:37:22.200 --> 00:37:25.700]   I think developers, they have, you know, here's my code window.
[00:37:25.700 --> 00:37:26.820]   Here's the thing I'm compiling.
[00:37:26.820 --> 00:37:27.740]   Here's my counsel.
[00:37:27.740 --> 00:37:31.600]   And here is like where I'm Googling Stack Overflow.
[00:37:31.600 --> 00:37:34.060]   And I don't want to switch between things.
[00:37:34.060 --> 00:37:34.980]   I want all things open.
[00:37:35.060 --> 00:37:36.420]   I think that's where that really came from.
[00:37:36.420 --> 00:37:42.240]   In terms of like its utility for most other people, I think it is useful in a lot of cases
[00:37:42.240 --> 00:37:46.840]   to have what I think of as like a double window width available.
[00:37:46.840 --> 00:37:51.840]   So to me, a double window width is you could have two windows open large enough that you
[00:37:51.840 --> 00:37:52.880]   can easily read them.
[00:37:53.400 --> 00:37:57.480]   That's useful because there are a lot of circumstances where you're moving back and
[00:37:57.480 --> 00:37:58.620]   forth between two things.
[00:37:58.620 --> 00:38:02.540]   So if you're an academic like mathematician writing a mathematical paper and something like
[00:38:02.540 --> 00:38:06.440]   LaTeX, you have the editor where you have the markup language and then you have the PDF
[00:38:06.440 --> 00:38:08.300]   compiled version next to it.
[00:38:08.300 --> 00:38:11.880]   So you can just edit here and see the changes over there without having to switch back and
[00:38:11.880 --> 00:38:12.260]   forth.
[00:38:12.680 --> 00:38:17.860]   Or if you're a writer, you know, when I'm using something like Scrivener, I have two
[00:38:17.860 --> 00:38:19.580]   and a half panes open.
[00:38:19.580 --> 00:38:23.980]   I have the pane where the main thing I'm writing and then next to it, a pane, the research I'm
[00:38:23.980 --> 00:38:24.360]   pulling up.
[00:38:24.360 --> 00:38:26.280]   I'm pulling up Spotify.
[00:38:26.280 --> 00:38:30.340]   I'm pulling up different research sources that I'm copying quotes over.
[00:38:30.340 --> 00:38:33.160]   And then there's a narrow column that has like my footnotes.
[00:38:33.160 --> 00:38:35.440]   That benefits from like a larger monitor.
[00:38:35.440 --> 00:38:38.400]   Calendar is another thing.
[00:38:38.400 --> 00:38:40.160]   I have a calendar open and email open.
[00:38:40.160 --> 00:38:43.860]   So like while I'm answering emails, I have to schedule, I can look through that without
[00:38:43.860 --> 00:38:45.640]   having to switch back and forth with my email.
[00:38:45.640 --> 00:38:50.400]   So I think being able to have two window widths open concurrently, easily readable, that's a
[00:38:50.400 --> 00:38:52.280]   boom that makes your life easier.
[00:38:52.280 --> 00:38:55.340]   Having like four or five, I think for most people doesn't matter.
[00:38:55.340 --> 00:39:00.400]   I also agree that when you're doing deep work, you don't need a lot of windows open because
[00:39:00.400 --> 00:39:02.220]   you only want to be working on one thing.
[00:39:02.220 --> 00:39:07.660]   Like sometimes when I'm writing, there's parts where I am copying over information.
[00:39:07.660 --> 00:39:09.860]   I want a big monitor because I have like my research here.
[00:39:09.920 --> 00:39:14.800]   There's other parts where I'm wrangling the language, especially if I'm doing like a New
[00:39:14.800 --> 00:39:15.320]   Yorker thing.
[00:39:15.320 --> 00:39:20.960]   And there, like you, I'm happier on my laptop because I can put Scrivener, which I use into
[00:39:20.960 --> 00:39:26.080]   composition mode where it just puts full screen, just the words, not even any menus.
[00:39:26.080 --> 00:39:28.200]   And that's fantastic for focusing on that.
[00:39:28.200 --> 00:39:29.660]   There's these cool tools.
[00:39:29.660 --> 00:39:32.040]   I've been wanting to experiment with some of these.
[00:39:32.040 --> 00:39:34.900]   I don't think they would quite work for me, but there's these cool writer tools.
[00:39:35.700 --> 00:39:41.480]   And I forgot what they're called, but it's a, it's a, it'll be a keyboard and then an
[00:39:41.480 --> 00:39:45.880]   ink screen like you'd have on a Kindle and not, and like kind of mounted on the end of
[00:39:45.880 --> 00:39:46.300]   the keyboard.
[00:39:46.940 --> 00:39:49.560]   And all it is, is for writing and all you can do is write.
[00:39:49.560 --> 00:39:51.680]   And it's just like, you could put words on it.
[00:39:51.680 --> 00:39:52.740]   There's barely any formatting.
[00:39:52.740 --> 00:39:54.040]   It's, you know, black and white.
[00:39:54.040 --> 00:39:58.480]   And the idea is you just bring this thing somewhere and all you can do on it is like, write and
[00:39:58.480 --> 00:39:59.700]   like edit your writing.
[00:39:59.700 --> 00:40:00.200]   That's it.
[00:40:00.200 --> 00:40:01.340]   Like produce one big file.
[00:40:01.340 --> 00:40:03.600]   I've heard people like novelists swear by that.
[00:40:03.600 --> 00:40:05.100]   They can just like disappear with this thing.
[00:40:05.100 --> 00:40:07.100]   And all you can do, it's like a typewriter with a memory.
[00:40:07.600 --> 00:40:08.460]   Kind of a cool idea.
[00:40:08.460 --> 00:40:16.780]   So yeah, different modes for different times, but one big monitor, I think for like 99%
[00:40:16.780 --> 00:40:18.460]   of us, that's probably enough.
[00:40:18.460 --> 00:40:19.840]   And we have, what do we have here in the HQ?
[00:40:19.840 --> 00:40:20.580]   We have two.
[00:40:20.580 --> 00:40:21.440]   We have two.
[00:40:21.440 --> 00:40:23.440]   But you do like video editing and stuff on there.
[00:40:23.440 --> 00:40:23.860]   Yeah.
[00:40:23.860 --> 00:40:24.580]   That's useful.
[00:40:26.520 --> 00:40:27.960]   I'll sometimes use both.
[00:40:27.960 --> 00:40:30.720]   Usually just like one is enough, but sometimes I'll use both.
[00:40:30.720 --> 00:40:33.820]   What, how are things going with your keyboard and your Remarkable?
[00:40:33.820 --> 00:40:37.080]   I've been loving the new Remarkable, the Paper Pro.
[00:40:37.080 --> 00:40:38.640]   I was just using it today.
[00:40:38.640 --> 00:40:40.180]   That's been going really good.
[00:40:40.180 --> 00:40:42.260]   I've been liking my mechanical keyboard.
[00:40:42.260 --> 00:40:44.580]   I have a really fast one here at the HQ.
[00:40:44.580 --> 00:40:45.480]   That one I really like.
[00:40:45.480 --> 00:40:47.300]   I can fly on that one.
[00:40:47.300 --> 00:40:51.820]   I got a quieter mechanical keyboard from my office at Georgetown because the walls are thin
[00:40:51.820 --> 00:40:53.280]   and I didn't want to clickety-clack everyone.
[00:40:53.280 --> 00:40:55.080]   And it's a little slower.
[00:40:55.540 --> 00:40:57.300]   Honestly, it feels a little muddy to me.
[00:40:57.300 --> 00:40:58.680]   So I don't like that one as well.
[00:40:58.680 --> 00:40:59.840]   The one here I love though.
[00:40:59.840 --> 00:41:01.480]   I'd have to look up what it is.
[00:41:01.480 --> 00:41:05.360]   I did a lot of research on it, but I really feel like I can fly out there.
[00:41:05.360 --> 00:41:09.360]   Like the springiness of the keys, like they really, they bounce up.
[00:41:09.360 --> 00:41:11.900]   I can ride at like the maximum speed of my hands on that thing.
[00:41:11.900 --> 00:41:13.400]   Do you have one of those at your house too?
[00:41:13.400 --> 00:41:15.160]   No, I took that one to my office.
[00:41:15.160 --> 00:41:17.940]   So I'm probably going to get another one of the ones we have here for my house.
[00:41:17.940 --> 00:41:18.340]   Got it.
[00:41:18.340 --> 00:41:19.200]   Yeah, for what I'm writing there.
[00:41:19.200 --> 00:41:21.220]   All right.
[00:41:21.220 --> 00:41:22.840]   We got some calls.
[00:41:22.840 --> 00:41:24.840]   We're doing two calls today, right?
[00:41:24.840 --> 00:41:25.320]   Yep.
[00:41:25.320 --> 00:41:25.800]   All right.
[00:41:25.800 --> 00:41:26.860]   Let's start with the first one.
[00:41:26.860 --> 00:41:41.740]   Spotify co-president Gustav Soderstrom argues in an interview that 99.9% of evolution took place in an environment where little changed within a single lifetime.
[00:41:41.740 --> 00:41:52.960]   And now in the 21st century with lots of macro changes in tech and culture, the first to accept and adapt wins.
[00:41:53.340 --> 00:42:00.960]   Can this worldview exist within a slow productivity framework that is predicated on minimizing reactive action?
[00:42:03.740 --> 00:42:04.340]   That's a good question.
[00:42:04.340 --> 00:42:04.620]   That's a good question.
[00:42:04.620 --> 00:42:04.620]   That's a good question.
[00:42:04.620 --> 00:42:04.620]   That's a good question.
[00:42:04.620 --> 00:42:07.940]   I hear this a lot, especially from those who are tech adjacent.
[00:42:08.360 --> 00:42:25.800]   This idea that you need to be like aggressively up to speed on like the latest tools and experimenting them in your personal life and probably therefore need to be like up to speed with chatter about tools and be on like social media and YouTube and trying to keep up with things because you are going to get left behind otherwise.
[00:42:26.680 --> 00:42:30.180]   I tend not to think that's true.
[00:42:30.180 --> 00:42:39.240]   I think on a macro scale, it can be true in the sense of major – if you're running a business, major business trends, you need to keep an eye on, right?
[00:42:39.240 --> 00:42:47.100]   Like the rise of the web was like a business trend that a lot of businesses needed to keep an eye on and cause a lot of disruption.
[00:42:47.100 --> 00:42:52.940]   The smartphone culture, that's a business trend that made a big difference.
[00:42:52.940 --> 00:42:54.760]   A lot of people need to keep an eye on.
[00:42:54.760 --> 00:43:04.960]   But in terms of individuals, I think it's more common to say, especially with technology that ends up playing a big role in people's lives or playing a big role in businesses.
[00:43:06.160 --> 00:43:16.120]   These type of technologies, these transformative technologies, make themselves unavoidable and they – so there's like a first adopter.
[00:43:16.120 --> 00:43:16.900]   It's kind of out there.
[00:43:16.900 --> 00:43:24.620]   People are keeping an eye on it and then they become kind of like unavoidable and it's like so obvious or inevitable that they're – how to use it and why you should use it.
[00:43:24.620 --> 00:43:27.040]   It's so easy to use it and then they spread really quickly.
[00:43:27.040 --> 00:43:29.840]   Like let's look at some examples of this.
[00:43:29.840 --> 00:43:34.940]   I think we could do email.
[00:43:34.940 --> 00:43:35.960]   It's a good example.
[00:43:36.740 --> 00:43:41.800]   Like when email really took off and I've documented this in my book, World Without Email, it was self-evident.
[00:43:41.800 --> 00:43:43.960]   It was, okay, here it is.
