
[00:00:00.000 --> 00:00:01.200]   Let's just make sure.
[00:21:18.800 --> 00:21:22.600]   both from the aspect of analyzing the data
[00:21:22.600 --> 00:21:26.520]   and also from the aspect of communicating the data.
[00:21:26.520 --> 00:21:30.160]   But then, of course, something you can do is to look at the way
[00:21:30.160 --> 00:21:35.200]   that I do things in R and then translate that, or parts of it,
[00:21:35.200 --> 00:21:41.160]   to Python, which is absolutely an option for you to learn.
[00:21:41.160 --> 00:21:45.400]   So here's a table that contains all the episodes.
[00:21:45.400 --> 00:21:47.280]   And I'm going to scroll very quickly.
[00:21:47.280 --> 00:21:48.560]   And it's not going to be pretty.
[00:21:48.560 --> 00:21:52.000]   But I want to end up here at volume 100.
[00:21:52.000 --> 00:21:53.240]   So it's up to date.
[00:21:53.240 --> 00:21:55.960]   It has the name of the number of the episode.
[00:21:55.960 --> 00:21:56.760]   It has the date.
[00:21:56.760 --> 00:22:00.080]   And it has the link to the notebook itself
[00:22:00.080 --> 00:22:05.160]   and to the profile of the author on Kaggle.
[00:22:05.160 --> 00:22:10.240]   And this is kind of the input that you're working with.
[00:22:10.240 --> 00:22:13.760]   And already from that, you can do some overview visuals.
[00:22:17.880 --> 00:22:19.280]   Excuse me.
[00:22:19.280 --> 00:22:21.200]   So you can look at the notebook titles, right?
[00:22:21.200 --> 00:22:23.720]   Which kind of words come up on those titles?
[00:22:23.720 --> 00:22:25.200]   How long are the titles?
[00:22:25.200 --> 00:22:26.960]   What are the shortest and the longest?
[00:22:26.960 --> 00:22:29.680]   So if you're using Kaggle, you might
[00:22:29.680 --> 00:22:32.680]   know that there is a kind of limitation
[00:22:32.680 --> 00:22:35.160]   in terms of how short and how long
[00:22:35.160 --> 00:22:36.400]   a title of a notebook can be.
[00:22:36.400 --> 00:22:39.080]   It's between 5 and 50 characters.
[00:22:39.080 --> 00:22:43.080]   And we haven't really had a title
[00:22:43.080 --> 00:22:45.400]   that's only five characters in the hidden gems yet,
[00:22:45.400 --> 00:22:48.000]   but plenty that go up to 50.
[00:22:48.000 --> 00:22:51.320]   And this one, the very kind of cleverly named
[00:22:51.320 --> 00:22:55.120]   Afrika.ai, remains the shortest title so far
[00:22:55.120 --> 00:22:57.960]   with seven characters.
[00:22:57.960 --> 00:23:00.120]   Yeah, seven.
[00:23:00.120 --> 00:23:01.960]   And that's interesting, right?
[00:23:01.960 --> 00:23:06.520]   So people kind of gravitate towards longer titles
[00:23:06.520 --> 00:23:07.720]   for their notebooks.
[00:23:07.720 --> 00:23:10.280]   But is that something that's useful?
[00:23:10.280 --> 00:23:14.440]   Is that maybe that contributes to those notebooks being
[00:23:14.440 --> 00:23:17.320]   overlooked because people think, OK, the titles are too long
[00:23:17.320 --> 00:23:18.800]   or something like this?
[00:23:18.800 --> 00:23:20.480]   That's an interesting aspect.
[00:23:20.480 --> 00:23:24.000]   And then you can look at the authors themselves, right?
[00:23:24.000 --> 00:23:26.040]   One interesting thing that came up
[00:23:26.040 --> 00:23:28.880]   is that on your Kaggle profile, you
[00:23:28.880 --> 00:23:39.080]   can link your socials like this.
[00:23:39.080 --> 00:23:43.520]   I have both my LinkedIn and my Twitter on there.
[00:23:43.520 --> 00:23:46.360]   And you can also link your GitHub, if you like,
[00:23:46.360 --> 00:23:50.080]   and some other kind of personal web pages.
[00:23:50.080 --> 00:23:54.520]   And interestingly enough, only about half of people,
[00:23:54.520 --> 00:23:57.440]   half of the authors in our kind of hidden gems,
[00:23:57.440 --> 00:23:59.120]   they have their LinkedIn on there
[00:23:59.120 --> 00:24:01.320]   or they have a LinkedIn in the first place.
[00:24:01.320 --> 00:24:05.480]   But more than 90% have their--
[00:24:05.480 --> 00:24:07.240]   I did it wrong again.
[00:24:07.240 --> 00:24:10.240]   Only half have their Twitter or have a Twitter account
[00:24:10.240 --> 00:24:11.080]   in the first place.
[00:24:11.080 --> 00:24:12.720]   And more than 90% have their LinkedIn,
[00:24:12.720 --> 00:24:17.520]   which gives you an interesting insight into how people use
[00:24:17.520 --> 00:24:22.000]   that Kaggle profile possibly and what kind of information
[00:24:22.000 --> 00:24:24.920]   they find important to put on there.
[00:24:24.920 --> 00:24:27.280]   May I just throw a note, suggestion out there?
[00:24:27.280 --> 00:24:28.240]   Maybe you've thought about this.
[00:24:28.240 --> 00:24:29.200]   Maybe the audience will.
[00:24:29.200 --> 00:24:31.120]   But I'd also be curious to see how
[00:24:31.120 --> 00:24:35.480]   are people who are really doing well on non-GEM kernels,
[00:24:35.480 --> 00:24:38.480]   so whose kernels have higher ports,
[00:24:38.480 --> 00:24:41.280]   and do they have a different split?
[00:24:41.280 --> 00:24:43.080]   I'd be curious to check out.
[00:24:43.080 --> 00:24:44.880]   That's why it's a hidden gem.
[00:24:44.880 --> 00:24:46.480]   Maybe they should be sharing on Twitter
[00:24:46.480 --> 00:24:49.400]   or some other platform.
[00:24:49.400 --> 00:24:50.720]   Yeah, maybe.
[00:24:50.720 --> 00:24:51.280]   Yeah.
[00:24:51.280 --> 00:24:54.240]   Maybe it's more likely general, that kind of notebooks
[00:24:54.240 --> 00:24:56.200]   that are getting a lot of engagement.
[00:24:56.200 --> 00:24:58.040]   The authors have Twitter accounts
[00:24:58.040 --> 00:25:00.040]   and they're sharing their work on Twitter.
[00:25:00.040 --> 00:25:01.160]   That's entirely possible.
[00:25:01.160 --> 00:25:03.080]   And these kind of ideas--
[00:25:03.080 --> 00:25:08.240]   so I'm always a big advocate in when
[00:25:08.240 --> 00:25:11.440]   you're putting a visual like this to document
[00:25:11.440 --> 00:25:13.440]   your insights from it.
[00:25:13.440 --> 00:25:16.480]   And this is what I'm doing consistently
[00:25:16.480 --> 00:25:17.720]   in the starter notebook.
[00:25:17.720 --> 00:25:20.880]   And I wrote down after 50 episodes the insights
[00:25:20.880 --> 00:25:21.600]   that I found.
[00:25:21.600 --> 00:25:24.680]   And then I also wrote down after 100 episodes.
[00:25:24.680 --> 00:25:29.040]   And then-- this is interesting for this competition--
[00:25:29.040 --> 00:25:32.640]   I always include some suggestions for further
[00:25:32.640 --> 00:25:35.240]   analysis and further steps.
[00:25:35.240 --> 00:25:37.560]   And that includes some of the ideas
[00:25:37.560 --> 00:25:40.200]   that we just talked about, or includes
[00:25:40.200 --> 00:25:42.720]   other common features among the Twitter users.
[00:25:42.720 --> 00:25:46.120]   And what's the percentage of LinkedIn users among them?
[00:25:46.120 --> 00:25:49.840]   How do they compare, which is what we just touched on?
[00:25:49.840 --> 00:25:52.920]   How do you compare to the Kaggle community as a whole?
[00:25:52.920 --> 00:25:55.800]   And maybe there's a difference by the tiers,
[00:25:55.800 --> 00:26:00.080]   like expert and master and grandmaster.
[00:26:00.080 --> 00:26:04.120]   So all the kind of visuals that I have in this notebook,
[00:26:04.120 --> 00:26:07.320]   they have these suggestions for further analysis
[00:26:07.320 --> 00:26:09.840]   attached to them, which I think are
[00:26:09.840 --> 00:26:13.800]   kind of a great stepping stone for getting started
[00:26:13.800 --> 00:26:15.160]   with your own analysis.
[00:26:15.160 --> 00:26:18.680]   And then I can guarantee you that if you're
[00:26:18.680 --> 00:26:21.120]   starting to look at the data, if you start to follow
[00:26:21.120 --> 00:26:23.320]   these hints and ideas, then you'll
[00:26:23.320 --> 00:26:25.560]   get more ideas of your own.
[00:26:25.560 --> 00:26:30.320]   And you get more thoughts about which aspects to follow
[00:26:30.320 --> 00:26:32.680]   and which aspects to study more deeply.
[00:26:32.680 --> 00:26:36.440]   And this will then determine the direction of your analysis.
[00:26:37.440 --> 00:26:40.280]   And some of the authors are kind of--
[00:26:40.280 --> 00:26:44.640]   they are featured more than once in my Hidden Gems series,
[00:26:44.640 --> 00:26:46.960]   which I kind of--
[00:26:46.960 --> 00:26:52.120]   I think it's fine, because they have put out a lot of content.
[00:26:52.120 --> 00:26:55.400]   And if even after multiple mentions,
[00:26:55.400 --> 00:26:57.880]   the other notebooks are still underrated,
[00:26:57.880 --> 00:27:02.000]   then I think those other notebooks
[00:27:02.000 --> 00:27:03.800]   deserve mention as well.
[00:27:03.800 --> 00:27:07.240]   And again, there's some ideas how you can follow this up.
[00:27:07.240 --> 00:27:10.360]   And then ultimately, there are my reviews,
[00:27:10.360 --> 00:27:12.920]   so the kind of the brief explanations
[00:27:12.920 --> 00:27:16.600]   that I put together as to why I'm picking this notebook
[00:27:16.600 --> 00:27:17.880]   for the Hidden Gems.
[00:27:17.880 --> 00:27:22.240]   And you see that some certain kind of words
[00:27:22.240 --> 00:27:24.360]   occur very frequently in my reviews.
[00:27:24.360 --> 00:27:28.000]   Like, I'm a big fan of visuals and of exploration.
[00:27:28.000 --> 00:27:31.040]   Data and Calculus, of course, they are kind of my favorites.
[00:27:31.040 --> 00:27:34.040]   Exploration, Data and Calculus, of course, they are--
[00:27:34.040 --> 00:27:36.360]   narration is important to me.
[00:27:36.360 --> 00:27:39.880]   And I think that kind of appears as well.
[00:27:39.880 --> 00:27:41.680]   A very clean analysis is something
[00:27:41.680 --> 00:27:45.960]   that's useful, structured, and exploration, interpretation.
[00:27:45.960 --> 00:27:49.680]   So those shouldn't be too surprising,
[00:27:49.680 --> 00:27:54.000]   that those are the names that I'm bringing up in my reviews
[00:27:54.000 --> 00:27:59.280]   when I'm talking about why I included these notebooks.
[00:27:59.280 --> 00:28:03.520]   And then, after we looked at the data set itself,
[00:28:03.520 --> 00:28:06.800]   there is a very interesting connection
[00:28:06.800 --> 00:28:12.760]   to the larger body of data that exists on Kaggle,
[00:28:12.760 --> 00:28:15.560]   on the contributions that Kagglers are making.
[00:28:15.560 --> 00:28:19.840]   And this is the Meta Kaggle data set.
[00:28:19.840 --> 00:28:22.960]   And maybe we can have a little dialogue about it.
[00:28:22.960 --> 00:28:27.240]   Tell me, Sanyam, what do you know about Meta Kaggle?
[00:28:27.240 --> 00:28:32.080]   I know it's used to check for a lot of flaggy activity as well.
[00:28:32.080 --> 00:28:33.720]   So legends use it for that.
[00:28:33.720 --> 00:28:36.120]   But I know you can do a lot of interesting stuff there.
[00:28:36.120 --> 00:28:38.120]   So I know people in the Chai competition
[00:28:38.120 --> 00:28:41.840]   figured out how many grandmasters
[00:28:41.840 --> 00:28:44.320]   I've interviewed on the podcast using Meta Kaggle.
[00:28:44.320 --> 00:28:46.480]   You can do different stuff, like figure out
[00:28:46.480 --> 00:28:48.200]   how active people are.
[00:28:48.200 --> 00:28:55.440]   So it's really all the info on different Kagglers you can find.
[00:28:55.440 --> 00:28:57.880]   Yes, and it's really fantastic.
[00:28:57.880 --> 00:29:00.320]   And it's really comprehensive.
[00:29:00.320 --> 00:29:03.480]   So Kaggle is kind of true to its form
[00:29:03.480 --> 00:29:09.160]   here as a great platform for data scientists and machine
[00:29:09.160 --> 00:29:10.520]   learning practitioners.
[00:29:10.520 --> 00:29:15.840]   Collects all the data on what we all do on the platform, right?
[00:29:15.840 --> 00:29:20.800]   Data on competitions, data on which data sets are published,
[00:29:20.800 --> 00:29:23.880]   on forum activity, on the notebooks
[00:29:23.880 --> 00:29:28.560]   themselves, which warms my heart that they are still
[00:29:28.560 --> 00:29:35.920]   called kernels here, which is great, and on the users,
[00:29:35.920 --> 00:29:41.200]   right, on all of us on this platform, what our progression
[00:29:41.200 --> 00:29:44.680]   was through the tiers and what our achievements are, right?
[00:29:44.680 --> 00:29:50.800]   So it's also a history of all of our journey
[00:29:50.800 --> 00:29:53.400]   here on Kaggle, which is great.
[00:29:53.400 --> 00:29:56.200]   And this Meta Kaggle data set now
[00:29:56.200 --> 00:30:02.200]   allows us to widen and deepen our analysis of the gems
[00:30:02.200 --> 00:30:02.920]   considerably.
[00:30:02.920 --> 00:30:07.240]   So the gem data set itself, it has these 300 notebooks.
[00:30:07.240 --> 00:30:10.440]   And it already has quite a lot of interesting insights.
[00:30:10.440 --> 00:30:14.760]   You can kind of think of it as a swimming pool that's
[00:30:14.760 --> 00:30:16.640]   next to the ocean, right?
[00:30:16.640 --> 00:30:18.880]   So you can do some great stuff in there.
[00:30:18.880 --> 00:30:22.160]   You can do some swimming techniques.
[00:30:22.160 --> 00:30:24.080]   And you can practice this and that.
[00:30:24.080 --> 00:30:27.960]   And then Meta Kaggle kind of opens up the pool
[00:30:27.960 --> 00:30:29.320]   into the ocean itself.
[00:30:29.320 --> 00:30:31.880]   And you can go anywhere.
[00:30:31.880 --> 00:30:38.120]   You can kind of explore the different fish that
[00:30:38.120 --> 00:30:39.400]   live in the ocean.
[00:30:39.400 --> 00:30:42.000]   Maybe there's a coral reef or so.
[00:30:42.000 --> 00:30:45.040]   That's very exciting.
[00:30:45.040 --> 00:30:48.400]   So it's a very healthy and well-populated ocean,
[00:30:48.400 --> 00:30:49.680]   is what I'm saying.
[00:30:49.680 --> 00:30:54.880]   And it allows you to kind of go anywhere with your analysis,
[00:30:54.880 --> 00:30:55.600]   really.
[00:30:55.600 --> 00:31:02.440]   And this is something that I've touched on in my notebook,
[00:31:02.440 --> 00:31:04.760]   wherever it is here.
[00:31:04.760 --> 00:31:08.880]   So we can now enrich those gems with all the information
[00:31:08.880 --> 00:31:10.360]   from Meta Kaggle.
[00:31:10.360 --> 00:31:12.480]   So we can look at the authors.
[00:31:12.480 --> 00:31:17.720]   We can look at this user's CSV file, which we had--
[00:31:17.720 --> 00:31:19.480]   no, it's one of the two.
[00:31:19.480 --> 00:31:23.080]   But it's not shown by default, which is here.
[00:31:23.080 --> 00:31:33.400]   And we can pull that in to get the user tiers of the authors.
[00:31:33.400 --> 00:31:36.240]   So Kaggle is arranged from novice to grandmaster.
[00:31:36.240 --> 00:31:37.800]   And then we have a special category
[00:31:37.800 --> 00:31:40.280]   for the Kaggle team itself.
[00:31:40.280 --> 00:31:44.440]   And we can see how those contributed over time
[00:31:44.440 --> 00:31:46.040]   through the hidden gems.
[00:31:46.040 --> 00:31:49.240]   And I'm quite happy with the way that this plot looks like.
[00:31:49.240 --> 00:31:51.680]   We have more than 10% contributions
[00:31:51.680 --> 00:31:54.160]   from novices, which is something that I'm aiming for,
[00:31:54.160 --> 00:31:56.720]   is to kind of highlight people who might just
[00:31:56.720 --> 00:31:59.160]   be making their first steps into Kaggle
[00:31:59.160 --> 00:32:01.760]   and already contributing something great.
[00:32:01.760 --> 00:32:05.800]   And not overweigh the masters and the grandmasters,
[00:32:05.800 --> 00:32:10.920]   but also not discount their hidden contributions
[00:32:10.920 --> 00:32:12.040]   if they--
[00:32:12.040 --> 00:32:15.160]   discard the hidden contributions if they occur.
[00:32:15.160 --> 00:32:18.200]   And the user's data set also includes the date
[00:32:18.200 --> 00:32:21.640]   at which somebody joined Kaggle.
[00:32:21.640 --> 00:32:24.000]   So we can plot that as well.
[00:32:24.000 --> 00:32:27.760]   And we can see that Kaggle has seen a lot of growth
[00:32:27.760 --> 00:32:29.560]   over the last couple of years.
[00:32:29.560 --> 00:32:34.640]   And we see that the single largest cohort of gem authors,
[00:32:34.640 --> 00:32:37.120]   they joined in 2020.
[00:32:37.120 --> 00:32:40.800]   So they are pretty recent.
[00:32:40.800 --> 00:32:45.840]   And all that information you can get by joining onto MetaKaggle.
[00:32:45.840 --> 00:32:48.120]   And then there are some other suggestions
[00:32:48.120 --> 00:32:49.120]   for further analysis.
[00:32:49.120 --> 00:32:51.960]   You can look at the notebook metrics themselves, right?
[00:32:51.960 --> 00:32:58.720]   So there is a table called Kernel Languages that
[00:32:58.720 --> 00:33:02.560]   unsurprisingly tells you about the programming languages
[00:33:02.560 --> 00:33:04.840]   that certain kernels were using.
[00:33:04.840 --> 00:33:08.400]   And here is a kind of breakdown between Python and R
[00:33:08.400 --> 00:33:12.600]   that is 75% and 25%.
[00:33:12.600 --> 00:33:15.640]   And I think this is a larger R percentage
[00:33:15.640 --> 00:33:17.760]   than in the overall Kaggle.
[00:33:17.760 --> 00:33:19.680]   I was going to say that.
[00:33:19.680 --> 00:33:20.400]   Yeah, yeah, yeah.
[00:33:20.400 --> 00:33:23.280]   Maybe it's because of your bias towards R.
[00:33:23.280 --> 00:33:24.080]   I might be.
[00:33:24.080 --> 00:33:25.880]   I'm very open about my bias.
[00:33:25.880 --> 00:33:31.240]   I like R. But then also, when it comes to data presentation
[00:33:31.240 --> 00:33:36.920]   and data visualization, R still has an edge in many aspects.
[00:33:36.920 --> 00:33:40.520]   And I think this is the way that people are using it.
[00:33:40.520 --> 00:33:42.440]   And this is the way that I really
[00:33:42.440 --> 00:33:47.360]   want more people who have fun working with R
[00:33:47.360 --> 00:33:53.720]   to join the Kaggle community and to start sharing their R
[00:33:53.720 --> 00:33:59.000]   skills with us and show us what the most recent developments
[00:33:59.000 --> 00:34:04.240]   are and show us what R can do for interesting data sets
[00:34:04.240 --> 00:34:07.680]   and for interesting questions.
[00:34:07.680 --> 00:34:10.000]   So I'm absolutely supporting that.
[00:34:10.000 --> 00:34:12.640]   And I don't dislike Python.
[00:34:12.640 --> 00:34:13.320]   I like Python.
[00:34:13.320 --> 00:34:14.360]   I think it's a great language.
[00:34:14.360 --> 00:34:15.200]   And I'm using both.
[00:34:15.200 --> 00:34:18.200]   So personally, I'm using both R and Python.
[00:34:18.200 --> 00:34:22.040]   And I think it's always a good thing
[00:34:22.040 --> 00:34:26.680]   not to limit yourself too narrowly to just one thing.
[00:34:26.680 --> 00:34:29.800]   And maybe it doesn't have to be Python and R.
[00:34:29.800 --> 00:34:33.560]   It could be Python and Rust or R and Julia.
[00:34:33.560 --> 00:34:35.560]   Or there are a lot of things out there
[00:34:35.560 --> 00:34:37.760]   that could be interesting and that
[00:34:37.760 --> 00:34:41.360]   can give you new ideas and fresh ideas
[00:34:41.360 --> 00:34:43.600]   about your favorite programming language itself.
[00:34:43.600 --> 00:34:47.960]   So don't be too narrow.
[00:34:47.960 --> 00:34:51.520]   And yeah, we can look also at the metals.
[00:34:51.520 --> 00:34:53.200]   So this is now about the notebooks,
[00:34:53.200 --> 00:34:58.440]   which is this kernels CSV that we just talked about.
[00:34:58.440 --> 00:35:02.000]   And we can look at the metals.
[00:35:02.000 --> 00:35:03.920]   This information is in metakaggle.
[00:35:03.920 --> 00:35:07.600]   The views and the votes is in metakaggle as well.
[00:35:07.600 --> 00:35:11.040]   As well as the creation date and the number of comments
[00:35:11.040 --> 00:35:12.840]   that the notebook received.
[00:35:12.840 --> 00:35:16.760]   And there's a lot of information there
[00:35:16.760 --> 00:35:19.080]   that could tell us something maybe about what
[00:35:19.080 --> 00:35:22.720]   makes a gem a gem and could even allow
[00:35:22.720 --> 00:35:26.920]   some small predictive model that somebody could
[00:35:26.920 --> 00:35:32.120]   build to help me find and explore and pick future gems.
[00:35:32.120 --> 00:35:37.120]   So this might be a potential topic for a notebook.
[00:35:37.120 --> 00:35:42.000]   And then you can go as meta as you like, really.
[00:35:42.000 --> 00:35:47.320]   Because now the metakaggle also contains this data
[00:35:47.320 --> 00:35:50.320]   set called forum topics.
[00:35:50.320 --> 00:35:57.200]   And forum topics contains the hidden gems posts.
[00:35:57.200 --> 00:36:02.080]   So this post, for instance, is contained in forum topics.
[00:36:02.080 --> 00:36:05.080]   So within the hidden gems data set,
[00:36:05.080 --> 00:36:07.720]   we now have the hidden gems--
[00:36:07.720 --> 00:36:09.840]   or within the hidden gems analysis,
[00:36:09.840 --> 00:36:15.560]   we now have the data about the gems.
[00:36:15.560 --> 00:36:17.360]   So you see, it gets a little kind
[00:36:17.360 --> 00:36:21.040]   of Inception-like mind-bending.
[00:36:21.040 --> 00:36:25.560]   But you can now see the engagements
[00:36:25.560 --> 00:36:28.360]   that the hidden gems posts got over time.
[00:36:28.360 --> 00:36:32.960]   So all the 100 posts are on here, almost all of them,
[00:36:32.960 --> 00:36:37.800]   from the first one through the time through today.
[00:36:37.800 --> 00:36:42.920]   And you can study what kind of circumstances
[00:36:42.920 --> 00:36:47.520]   might bring more engagement to a post
[00:36:47.520 --> 00:36:50.400]   and what could lead to a post getting less engagement.
[00:36:50.400 --> 00:36:52.560]   Because essentially, the posts always
[00:36:52.560 --> 00:36:53.520]   have the same structure.
[00:36:53.520 --> 00:36:56.480]   It's three notebooks that I'm publishing.
[00:36:56.480 --> 00:37:00.880]   And they have the reviews attached to them.
[00:37:00.880 --> 00:37:05.120]   And the structure itself doesn't really change that much.
[00:37:05.120 --> 00:37:07.440]   And that is it, really.
[00:37:07.440 --> 00:37:12.760]   So this, I really intend this to be
[00:37:12.760 --> 00:37:16.000]   kind of a jumping board, a starting point for lots
[00:37:16.000 --> 00:37:19.680]   of people to look through, to get ideas about what they can
[00:37:19.680 --> 00:37:22.640]   do with this data set and what they can do when they combine
[00:37:22.640 --> 00:37:24.680]   this data set with metakaggle.
[00:37:24.680 --> 00:37:28.800]   And just go crazy, go wild.
[00:37:28.800 --> 00:37:31.560]   Explore what you find interesting
[00:37:31.560 --> 00:37:33.520]   and share your explorations with us.
[00:37:33.520 --> 00:37:38.280]   And then maybe win a prize.
[00:37:38.280 --> 00:37:41.880]   Do you have any general suggestions of things
[00:37:41.880 --> 00:37:43.680]   people could start off?
[00:37:43.680 --> 00:37:47.480]   I know it's a hard question, because I was trying to think--
[00:37:47.480 --> 00:37:49.720]   looking back, I was trying to think of similar things.
[00:37:49.720 --> 00:37:51.560]   And I was trying to host a chat competition.
[00:37:51.560 --> 00:37:52.840]   And I just didn't have ideas.
[00:37:52.840 --> 00:37:55.380]   And Kaggle, of course, blew me away with the analysis.
[00:37:55.380 --> 00:37:58.480]   But maybe you have any suggestions for people
[00:37:58.480 --> 00:38:01.440]   to look into?
[00:38:01.440 --> 00:38:04.960]   Well, like I said, there are suggestions.
[00:38:04.960 --> 00:38:08.240]   There are ideas throughout this notebook.
[00:38:08.240 --> 00:38:11.520]   So Kernel's data set contains the date
[00:38:11.520 --> 00:38:13.240]   that the medal was awarded.
[00:38:13.240 --> 00:38:17.200]   So you could be comparing that date
[00:38:17.200 --> 00:38:21.960]   to the date at which the Hidden Gems episode was published.
[00:38:21.960 --> 00:38:27.240]   And then see whether this episode being published
[00:38:27.240 --> 00:38:29.480]   had an impact and how much of an impact
[00:38:29.480 --> 00:38:33.480]   it might have on the vote count and on the medals,
[00:38:33.480 --> 00:38:39.520]   on the engagement in general that the notebook got.
[00:38:39.520 --> 00:38:43.640]   Then another thing is what distinguishes
[00:38:43.640 --> 00:38:45.240]   the Python and the R notebooks.
[00:38:45.240 --> 00:38:49.200]   Notebooks have tags attached to them.
[00:38:49.200 --> 00:38:52.720]   You maybe can get the number of visuals or something like this.
[00:38:52.720 --> 00:38:56.080]   Are there any-- other than the language itself,
[00:38:56.080 --> 00:39:00.480]   are there any substantial, significant differences?
[00:39:00.480 --> 00:39:03.720]   And then I also have some suggestions and ideas.
[00:39:03.720 --> 00:39:08.840]   Ultimately, I want you to just surprise us.
[00:39:08.840 --> 00:39:11.440]   Pick an aspect of the gems that interest you
[00:39:11.440 --> 00:39:14.320]   and just follow it down at Robert Hall
[00:39:14.320 --> 00:39:19.240]   and surprise us with great insights
[00:39:19.240 --> 00:39:23.160]   and interesting and creative presentations.
[00:39:23.160 --> 00:39:26.640]   Did the style of the Hidden Gems change over time?
[00:39:26.640 --> 00:39:28.120]   This is a very meta thing here.
[00:39:28.120 --> 00:39:33.360]   How many gems authors interacted with my posts about them?
[00:39:33.360 --> 00:39:34.960]   This is no judgment.
[00:39:34.960 --> 00:39:38.280]   Either way, as a gems author, you can do whatever you like.
[00:39:38.280 --> 00:39:43.040]   But it would be interesting to see how many people came back
[00:39:43.040 --> 00:39:46.920]   and commented in the post something.
[00:39:46.920 --> 00:39:49.920]   Are there maybe distinct categories of gems?
[00:39:49.920 --> 00:39:52.880]   Do they cluster around certain aspects
[00:39:52.880 --> 00:39:54.360]   that are particularly interesting?
[00:39:54.360 --> 00:39:56.400]   And I actually don't know the answer to that.
[00:39:56.400 --> 00:39:59.280]   I have a very intuitive approach to them.
[00:39:59.280 --> 00:40:03.240]   And do you want to explore all the links to MetaKaggle?
[00:40:03.240 --> 00:40:04.640]   Yeah, just do it.
[00:40:04.640 --> 00:40:08.400]   Do you maybe want to build an NLP bot that
[00:40:08.400 --> 00:40:10.760]   helps me write my reviews?
[00:40:10.760 --> 00:40:11.520]   Sure.
[00:40:11.520 --> 00:40:13.920]   If you share it with me afterwards,
[00:40:13.920 --> 00:40:17.240]   things could get much simpler for me.
[00:40:17.240 --> 00:40:21.360]   And maybe you could even create a model to predict future gems.
[00:40:21.360 --> 00:40:25.120]   And we talked a little bit about this, not the two of us,
[00:40:25.120 --> 00:40:28.920]   but within the comments of the gems,
[00:40:28.920 --> 00:40:30.920]   somebody occasionally would bring up,
[00:40:30.920 --> 00:40:33.280]   maybe you could just train a machine learning model
[00:40:33.280 --> 00:40:35.080]   to find those gems.
[00:40:35.080 --> 00:40:37.400]   And you don't have to do it yourself.
[00:40:37.400 --> 00:40:40.920]   And I want it to be even easier for me.
[00:40:40.920 --> 00:40:44.720]   I want you, the participants, to train such a model
[00:40:44.720 --> 00:40:46.680]   so that I don't have to do it myself.
[00:40:46.680 --> 00:40:50.160]   But any of these aspects, any of these approaches,
[00:40:50.160 --> 00:40:52.320]   are possible and anything beyond.
[00:40:52.320 --> 00:40:54.400]   But here's some ideas.
[00:40:54.400 --> 00:40:57.280]   Here's some suggestions for you to get started.
[00:40:57.280 --> 00:41:00.800]   And you can take them or leave them.
[00:41:00.800 --> 00:41:03.040]   Just surprise us.
[00:41:03.040 --> 00:41:04.720]   Let's automate heads or tails.
[00:41:04.720 --> 00:41:07.720]   And let's create a bot that finds gems every week.
[00:41:07.720 --> 00:41:12.280]   You can run it weekly on a Kaggle kernel.
[00:41:12.280 --> 00:41:12.800]   Awesome.
[00:41:12.800 --> 00:41:13.720]   I don't see any questions.
[00:41:13.720 --> 00:41:14.920]   People are just joining in.
[00:41:14.920 --> 00:41:17.600]   And they're quite excited about the competition.
[00:41:17.600 --> 00:41:19.080]   That's what the chat's been saying.
[00:41:19.080 --> 00:41:22.000]   Again, as a reminder to everyone,
[00:41:22.000 --> 00:41:26.400]   bondb.me/hidden-gems-comp is where
[00:41:26.400 --> 00:41:29.760]   you want to go to find all of these details.
[00:41:29.760 --> 00:41:32.040]   Anything else you want to highlight, Martin,
[00:41:32.040 --> 00:41:36.080]   before I give an intro to Weights and Biases?
[00:41:36.080 --> 00:41:38.000]   Tell us about Weights and Biases.
[00:41:38.000 --> 00:41:38.800]   Awesome.
[00:41:38.800 --> 00:41:42.440]   Let me share my screen and point everyone to the discussion post
[00:41:42.440 --> 00:41:45.080]   and go from there.
[00:41:45.080 --> 00:41:46.600]   So while you were giving the demo,
[00:41:46.600 --> 00:41:48.060]   I was on the scratch pad and trying
[00:41:48.060 --> 00:41:51.640]   to put something together for how people can get started.
[00:41:51.640 --> 00:41:55.160]   So just on a very two-minute note,
[00:41:55.160 --> 00:41:58.000]   you can pip install the WANDB API.
[00:41:58.000 --> 00:42:01.600]   And you can import it as a Python framework.
[00:42:01.600 --> 00:42:03.200]   And from there, you can do two things.
[00:42:03.200 --> 00:42:05.840]   If you're running your code interactively,
[00:42:05.840 --> 00:42:10.200]   you could either log in via the prompt that shows up.
[00:42:10.200 --> 00:42:14.000]   Or Kaggle has this neat secret feature, which I can show.
[00:42:14.000 --> 00:42:16.320]   And I can later delete this value.
[00:42:16.320 --> 00:42:18.160]   I don't have to, because it's already hidden.
[00:42:18.160 --> 00:42:19.280]   So that's nice.
[00:42:19.280 --> 00:42:20.880]   But you can add your secrets here,
[00:42:20.880 --> 00:42:25.080]   where I can add in my API and import it like so,
[00:42:25.080 --> 00:42:27.880]   which means whatever logging I do here
[00:42:27.880 --> 00:42:29.400]   will go to my dashboard.
[00:42:29.400 --> 00:42:31.920]   So why would you want to do this in the first place?
[00:42:31.920 --> 00:42:33.600]   I'll show some examples.
