
[00:00:00.000 --> 00:00:05.980]   For me, today is, in some sense, the first day of summer. I'm a college professor and my final
[00:24:03.160 --> 00:24:11.580]   type of, uh, stuck in the mud, mired in time mentality can really be relaxing for a day, but over
[00:24:11.580 --> 00:24:15.660]   eight weeks, I think is really going to be a bummer. So you want to have some notion of a
[00:24:15.660 --> 00:24:19.460]   schedule or plan, whatever those details are. This is what I'm doing this summer. And this should
[00:24:19.460 --> 00:24:23.780]   probably involve some sort of project or projects you're working on. And these might be more intellectual,
[00:24:23.780 --> 00:24:29.400]   cognitive than physical, preferably things you can work on outside of your house. I mean,
[00:24:29.400 --> 00:24:32.900]   you say you can't leave your house, but you can leave your house and go different places. Start
[00:24:32.900 --> 00:24:36.260]   your morning with the paper at the coffee shop. Then you're going to the woodshed because you're
[00:24:36.260 --> 00:24:42.020]   working on mastering some sort of new woodworking tool, you know? Uh, yeah, your knee is hurt. You
[00:24:42.020 --> 00:24:47.020]   can't walk all day, but it's not going to be something where you can't walk on it. I mean, even
[00:24:47.020 --> 00:24:51.980]   people with knee replacements, they want you up and around. So I want you up and around working on some
[00:24:51.980 --> 00:24:56.320]   sort of projects that is not just in your house. It could be cognitive. It could be physical. Some
[00:24:56.320 --> 00:25:00.680]   mix of the two have some initiatives you're going on. I'm going to read all these books. I'm going to
[00:25:00.680 --> 00:25:06.740]   watch every movie that, uh, you know, every Ford movie between this 10 year period and like read
[00:25:06.740 --> 00:25:12.140]   books about or whatever it is, but have things to do that feels like they're rewarding. That's what
[00:25:12.140 --> 00:25:17.000]   the long hikes were. So you want something that's similarly ambitious, but just not something that
[00:25:17.000 --> 00:25:21.680]   makes such a big demand on your knee. And there needs to be a plan here. I think we tell ourselves,
[00:25:21.680 --> 00:25:26.840]   this was kind of my pushback against the sort of Ginny O'Dell hypothesis about doing nothing.
[00:25:27.020 --> 00:25:34.280]   We tell ourselves that some sort of Rousseauian platonic ideal that doing things is a internalization
[00:25:34.280 --> 00:25:37.940]   of capitalist narratives and doing nothing is a brave resistance. And that's where we're going
[00:25:37.940 --> 00:25:45.160]   to rediscover ourselves. But there's only so much of literally doing nothing that we can put up with
[00:25:45.160 --> 00:25:50.880]   before we get antsy. And then what happens is, is we have all these highly polished attention economy
[00:25:50.880 --> 00:25:55.140]   tools that are very much happy to solve our problem for us. Like you're antsy about doing nothing.
[00:25:55.140 --> 00:26:01.020]   look at this screen. Your eyeballs bleed. We can give you something to do. And then time just
[00:26:01.020 --> 00:26:06.080]   disappears and you come out of it feeling depressed. I was just looking at a study that was featured on
[00:26:06.080 --> 00:26:12.520]   NPR clip a couple months ago that was showing these connections between looking at algorithmic content
[00:26:12.520 --> 00:26:18.140]   and your mood. And as they, in an experiment, took people off of their phones, essentially, they found
[00:26:18.140 --> 00:26:25.240]   this steady increase in their actual psychological wellbeing. So it's, you know, doing nothing.
[00:26:25.240 --> 00:26:31.220]   It's not at, we think it is very appealing, but really what we don't like is being overloaded,
[00:26:31.220 --> 00:26:37.820]   burnt out, overworked, but we're not looking for the opposite of that. Or if we are, the opposite of
[00:26:37.820 --> 00:26:51.580]   grueling efforts that feel meaningless and, and pointless is efforts that are meaningful and have a
[00:26:51.580 --> 00:26:57.440]   point, right? So the, the, the, the, the opposite of these things that wear us out is not sitting there
[00:26:57.440 --> 00:27:01.380]   on your phone doing nothing all day. It's doing less things and doing those things better, more meaningful
[00:27:01.380 --> 00:27:07.260]   things. So just keep that in mind quiz and then keep, keep active, get that knee healed. Maybe PT is a big
[00:27:07.260 --> 00:27:10.700]   part of the something you're doing this summer and then get back to those hikes as soon as you
[00:27:10.700 --> 00:27:12.860]   can. All right. Who do we have next?
[00:27:12.860 --> 00:27:18.440]   Next is from Martin. In episode 352, you answered the question, am I working hard enough to get
[00:27:18.440 --> 00:27:25.080]   tenure? I'm a postdoc myself in computer science, but not at an R1 university. A few faculty members here at the,
[00:27:25.080 --> 00:27:28.660]   are at the top of their respective fields, but we do not learn the same toolbox to publish
[00:27:28.660 --> 00:27:34.300]   consistently as a top venues. How do I discover these secrets if the faculty don't even know my name?
[00:27:34.920 --> 00:27:39.800]   I mean, honestly, Martin, like if that's what you want to do, right? You want to publish, uh,
[00:27:39.800 --> 00:27:46.700]   at the top of your field and gun for top academic positions, you need to work for those people. So if
[00:27:46.700 --> 00:27:51.340]   there's a few of those people at your school, like you want to find a way to actually collaborate with
[00:27:51.340 --> 00:27:55.300]   them. Now you might not be able to change your postdoc advisor this far into game, but if you can
[00:27:55.300 --> 00:27:59.280]   find a way to collaborate with them, Hey, I'm making your life useful. I'm writing a paper with you and
[00:27:59.280 --> 00:28:03.780]   doing a lot of the work. That's what you have to do. I mean, it's an apprenticeship system.
[00:28:03.780 --> 00:28:09.380]   High-end academia is an apprenticeship system. You have to find an apprenticeship. It is very hard
[00:28:09.380 --> 00:28:13.940]   otherwise to make your way into this sort of metaphorical guild. So see if there's a way you
[00:28:13.940 --> 00:28:18.480]   can write a paper with these top of the line faculties. I mean, good for you for noticing based
[00:28:18.480 --> 00:28:23.520]   on last week's answer, that's who you need to be allied with. If you have this very narrow goal
[00:28:23.520 --> 00:28:27.980]   of publishing the top places and getting access to these types of jobs. So you got to find a way to
[00:28:27.980 --> 00:28:33.460]   actually work with them. It's very difficult to learn these things from afar. All right, who do we got
[00:28:33.460 --> 00:28:39.680]   next? Next question is from Will. Even if the short form content topics are still relatively deep,
[00:28:39.680 --> 00:28:44.360]   do you still caution against short form content creation and encourage long form writing as a way
[00:28:44.360 --> 00:28:49.340]   to sustainably build an audience? Or do you think today's attention economy is too focused on social
[00:28:49.340 --> 00:28:54.480]   media to the point where the barrier to entry is too high for a new successful blog or sub stack?
[00:28:54.480 --> 00:28:59.900]   So I was questioning a little bit his use of the word short and long. Maybe you have a better sense
[00:28:59.900 --> 00:29:04.920]   here, Jesse. When he's saying short form versus long form, is long form books?
[00:29:04.920 --> 00:29:10.700]   No, long forms is a blog or a sub stack and short form is like a YouTube short or something like that.
[00:29:10.700 --> 00:29:19.220]   Oh, I see. So he's saying, is it, is it too hard to the long form stuff that I talked about before?
[00:29:19.220 --> 00:29:20.700]   Is it too hard now to start with that?
[00:29:20.700 --> 00:29:22.860]   Yeah. Like to start your website and stuff like that.
[00:29:22.860 --> 00:29:30.060]   Um, okay. So it's always been hard. Here's what I think has happened. And I don't know this,
[00:29:30.060 --> 00:29:38.620]   this is maybe a curmudgeonly way of looking at the media landscape. But if you look back 30 years ago,
[00:29:38.620 --> 00:29:44.700]   where what's dominating the, in the printed word media landscape is going to be, you know, books and
[00:29:44.700 --> 00:29:52.020]   the, the big glossy Conde Nast magazines that you, you find on the newsstand, there wasn't a lot of
[00:29:52.020 --> 00:29:57.200]   people who were like, Hey, I kind of want to be in that game, right? Like you didn't have to sort of
[00:29:57.200 --> 00:30:01.340]   like the average person being like, yeah, I want to be one of the authors on the shelf there at Barnes and
[00:30:01.340 --> 00:30:06.220]   Noble or in the van, you know, with my articles and vanity fair, you had like a relatively narrow group of
[00:30:06.220 --> 00:30:09.900]   people who wanted to be professional writers. And that was a vocation. It was kind of competitive,
[00:30:09.900 --> 00:30:15.080]   but sort of cool if you could get there. But the average person was content to be like, yeah,
[00:30:15.080 --> 00:30:20.980]   I read that stuff. I think a lot of this changed with web two. And then particularly after web two
[00:30:20.980 --> 00:30:27.560]   gave way to social media where a big part of the pitch of phase one, social media, and I'll tell you
[00:30:27.560 --> 00:30:36.700]   what phase one means in a second was you can try on, you can cause play producing content for an
[00:30:36.700 --> 00:30:42.860]   audience. I'm convinced that this was the original sales pitch of phase one. Social media was that
[00:30:42.860 --> 00:30:47.820]   Facebook, which was the first big player, uh, they emerged in, in, in Oh four and they're generally
[00:30:47.820 --> 00:30:52.980]   public in Oh six. You have to remember at this point, web two, which had been around since like the
[00:30:52.980 --> 00:30:59.340]   early two thousands, which was blogs basically was pretty brutal. This technology came along is that,
[00:30:59.340 --> 00:31:04.920]   Hey, anyone now can publish something. You don't have to, there's not a gatekeeper at a magazine or
[00:31:04.920 --> 00:31:09.760]   a newspaper or like a web developer. You need this sort of put content. Uh, you can set up an account
[00:31:09.760 --> 00:31:14.880]   and publish something and it's on the web and anyone can read it. And what happened is a lot of people
[00:31:14.880 --> 00:31:20.000]   tried it and no one cared because it's really hard to write things as it always has been that people
[00:31:20.000 --> 00:31:24.480]   care about. And so a lot of people were disillusioned by blogs. It was, it was embarrassing.
[00:31:24.480 --> 00:31:32.620]   It was, um, uh, it was whatever it was demotivating. I, I, I wrote and no one came.
[00:31:32.620 --> 00:31:38.180]   Then Facebook came along and said, okay, here's our deal. You write on here, people will come.
[00:31:38.180 --> 00:31:41.640]   Here's the social contact. You're going to go through the contract. You're going to go through
[00:31:41.640 --> 00:31:44.620]   and you're going to indicate all these other Facebook users who know you, and we're going to
[00:31:44.620 --> 00:31:48.700]   tell them about stuff when you publish it. And yeah, the stuff doesn't matter, but there's going to be
[00:31:48.700 --> 00:31:52.180]   a social contract that they'll come over and they'll click like and poke and write comments
[00:31:52.180 --> 00:31:56.720]   and you'll do the same for them. And we can all sort of, uh, feel what it's like
[00:31:56.720 --> 00:32:03.460]   to be producing, you know, ideas and commentary and have an audience that cares about it.
[00:32:03.460 --> 00:32:07.900]   So we all can kind of cosplay in a lightweight way what it would feel like to actually be
[00:32:07.900 --> 00:32:12.960]   Michael Lewis writing these pieces for Vanity Fair, right? Or Malcolm Gladwell producing these
[00:32:12.960 --> 00:32:16.500]   books that are getting all, you know, these readers. And that was a big appeal of phase one
[00:32:16.500 --> 00:32:21.800]   social media. Now that changed, we got the phase two, TikTok brought us into the phase
[00:32:21.800 --> 00:32:25.260]   two where we said, you know, forget publishing your own stuff. What really matters is just
[00:32:25.260 --> 00:32:30.620]   like put it right into my veins, algorithmic distraction. And we kind of gave up caring
[00:32:30.620 --> 00:32:35.440]   about posting stuff and what people thought about us and was just like, put it right in my veins
[00:32:35.440 --> 00:32:39.200]   until my eyes bleed. That's phase two where we are now. I think that was the original pitch
[00:32:39.200 --> 00:32:47.260]   of phase one social media. And so it really traded on this idea that like, yeah, not only is the ability
[00:32:47.260 --> 00:32:51.940]   to publish words accessible to a lot of people now, but like, it's, it's really like kind of right
[00:32:51.940 --> 00:32:56.900]   there. You get a couple of right breaks and some stuff goes viral and, and, and you just feels like
[00:32:56.900 --> 00:33:00.360]   you're right there. You're posting stuff and people, you know, you have this built-in audience that'll
[00:33:00.360 --> 00:33:04.360]   look at it a little bit and anything could go viral at any time. And you hear stories about it.
[00:33:04.540 --> 00:33:09.920]   And suddenly now this became something that it was like running triathlons or something that like a
[00:33:09.920 --> 00:33:15.680]   lot of people could do. And I think it changed our, our approach to things like professional content
[00:33:15.680 --> 00:33:20.020]   production to like, Hey, maybe I should do this, which again, you don't hear a lot of people in
[00:33:20.020 --> 00:33:24.840]   1985, just casually be like, walk by and see someone reading, you know, the New Yorker and be like, Hey,
[00:33:24.840 --> 00:33:28.240]   I should write for that. That might be fun. Like I can start doing that because there was just like
[00:33:28.240 --> 00:33:34.120]   less venues and they're really hard. So this has been curmudgeonly, but I'm coming back to this and
[00:33:34.120 --> 00:33:38.560]   saying, well, what content are you producing? Like, do you want to be a professional writer?
[00:33:38.560 --> 00:33:44.780]   Then like, you should go down the path of becoming a professional writer. Don't be seduced into this
[00:33:44.780 --> 00:33:49.540]   idea that there's some sort of shortcut into that that requires a lot less effort and a lot less
[00:33:49.540 --> 00:33:54.420]   hard hoops to make it through where I'm posting short-term content and something takes off. And,
[00:33:54.420 --> 00:33:58.180]   and, you know, next thing you know, I'm a writer on SNL or whatever, like, yeah, that happens,
[00:33:58.260 --> 00:34:06.200]   but really not that often. So, um, is the media attention economy too focused for things like a
[00:34:06.200 --> 00:34:10.240]   successful blog or sub stack or a podcast or books? No, I think it's like, it's always been. It's very
[00:34:10.240 --> 00:34:15.700]   hard. It's, it's, it's no easier, no harder than it's always been. If you want people to read your
[00:34:15.700 --> 00:34:19.820]   articles or books or listen to your podcast, which is kind of like an audio version of like long
[00:34:19.820 --> 00:34:24.380]   articles, it's like, like it was 30 years ago. It's hard. You have to have like an extra expertise and a
[00:34:24.380 --> 00:34:29.300]   voice and, and, and like find, you know, your audience and what you offer and have a couple
[00:34:29.300 --> 00:34:33.280]   swings that finally connect and then build on those as the same thing that professional writers have
[00:34:33.280 --> 00:34:37.180]   been doing all the time. And I don't think it's any harder, any easier than it's been before.
[00:34:37.180 --> 00:34:42.460]   We just have this other thing over here, which is the, the, the cause plane that you get in
[00:34:42.460 --> 00:34:47.420]   attention economy, social media, where everyone feels like they're pretty good. And there are,
[00:34:47.420 --> 00:34:52.780]   there are one lucky break away from being the next Kim Kardashian that I think has warped how we
[00:34:52.780 --> 00:34:57.860]   think about content creation, but I'm a big believer in writing professionally.
[00:34:57.860 --> 00:35:04.540]   I just put these reality checks on it that it's like very hard, right? There's the digital technology
[00:35:04.540 --> 00:35:09.080]   did not make this something that is easier for like a huge number of more people to succeed at.
[00:35:09.080 --> 00:35:13.760]   It changed the forms in which you can do it. It changed the economic for the people who are good
[00:35:13.760 --> 00:35:18.380]   at it. Now you have more control over how you reach and get to your audience, but it doesn't
[00:35:18.380 --> 00:35:22.760]   actually give you a big audience that is still earned. I think the ways that it always was.
[00:35:22.760 --> 00:35:25.980]   So I don't know. I feel like I'm going on a rant here, Jesse, but it's something I've been thinking
[00:35:25.980 --> 00:35:32.580]   about recently is that again, 30, 40 years ago, it would be more rare that someone just be like,
[00:35:32.580 --> 00:35:37.060]   I want to be publishing stuff that people read. It was like the people who really want to be a writer.
[00:35:37.100 --> 00:35:44.000]   And now I think it feels more accessible in a way in part because social media like plays on this idea
[00:35:44.000 --> 00:35:49.200]   of like people are listening to you and like you're, you're like one or two good quips away from like a
[00:35:49.200 --> 00:35:55.360]   retweet storm that's going to make you famous. And so I guess my answer is like the entry, the entry
[00:35:55.360 --> 00:36:00.640]   level is not too high. It's as high as it's always been, which is pretty high. It is hard. I was having
[00:36:00.640 --> 00:36:03.780]   this conversation with someone recently, like, well, how do you succeed with a podcast? It's like,
[00:36:03.780 --> 00:36:06.820]   it's hard. Like typically you have to have something else going that's already big.
[00:36:06.820 --> 00:36:11.120]   All these things. It's like sub stack. It really helps if you're already well-known. You're already
[00:36:11.120 --> 00:36:14.840]   a journalist who's well-known. Then like you could maybe build a successful sub stack.
[00:36:14.840 --> 00:36:16.780]   Do you read a lot of people's sub stacks?
[00:36:16.780 --> 00:36:19.380]   Um, some.
[00:36:19.380 --> 00:36:21.400]   Do you get the email notifications?
[00:36:21.400 --> 00:36:26.940]   I just look at my inbox. Yeah. Yeah. I don't use the app or sometimes it takes me over to the app,
[00:36:26.940 --> 00:36:31.400]   but I just look for my email inbox. I like that form. I mean, email newsletters,
[00:36:31.400 --> 00:36:33.360]   I think is a great form. Podcast is a great form.
[00:36:33.360 --> 00:36:38.900]   Um, I like these forms cause they're independent and you're not beholden. You're not beholden to
[00:36:38.900 --> 00:36:43.420]   like a super large companies that are using your content. I mean, sub stack does a little bit of
[00:36:43.420 --> 00:36:46.940]   this, but like email newsletters and podcasts, I think it's like a golden age of content production,
[00:36:46.940 --> 00:36:51.480]   but the people succeeding in these, it's the same people that were succeeding in like the
[00:36:51.480 --> 00:36:55.820]   magazine industry in the 1990s. It's like kind of the same number of people and some of the actual
[00:36:55.820 --> 00:37:04.000]   very same people, you know, like Gladwell and Lewis podcast. Uh, so the forms are different,
[00:37:04.000 --> 00:37:08.380]   but I don't think this is like the misnomer about media revolutions is they don't make it easier to
[00:37:08.380 --> 00:37:13.760]   be successful. They just sort of change the terms of success. That's kind of my growing theory.
[00:37:15.040 --> 00:37:19.820]   Now that we'll have our new weekly, our newsletter every week, it's going to be good. It's going to
[00:37:19.820 --> 00:37:22.860]   have a logo. It's going to have some good links. Got some good links in it. We're going to have
[00:37:22.860 --> 00:37:27.600]   links every week. I might eventually bring in a, from an archive piece at the end where just sort of
[00:37:27.600 --> 00:37:31.560]   pull out some classic stuff from the decade or so I've been writing about this stuff. It'll be good.
[00:37:31.560 --> 00:37:37.400]   Got to hone in on my topics though. Oh, the video for the podcast. Uh, there is going to be like
[00:37:37.400 --> 00:37:43.260]   featuring the, that week's podcast episode will be right there. So like people who are email
[00:37:43.260 --> 00:37:46.160]   subscribing will always hear like, Oh, here's what's going on in the podcast this week.
[00:37:46.160 --> 00:37:50.740]   Should be good. Yeah. And then on the podcast, what I'm going to do is in a monotone,
[00:37:50.740 --> 00:37:57.260]   read the entire newsletter word to word every week, just all the way through page break. Uh, I'll,
[00:37:57.260 --> 00:38:01.400]   I'll read the punctuation as well because yeah, how else is I going to know? Semicolon space.
[00:38:01.400 --> 00:38:06.840]   Just be like that. And that's really what the podcast is going to become. Uh, instead of me,
[00:38:06.840 --> 00:38:11.980]   I'm going to have a 1980s era Macintosh. Remember how they could talk with that robot voice,
[00:38:11.980 --> 00:38:17.240]   just reading out my newsletter. I think it'll be just as successful with an occasional throwing of
[00:38:17.240 --> 00:38:21.900]   your, uh, French accent with the pipe. Yeah. And then I'll come in and do a bad French accent.
[00:38:21.900 --> 00:38:27.340]   Yeah. I think we've got this all clued in. I think, I think we are about to explode. This world is so
[00:38:27.340 --> 00:38:31.160]   hard by the way. It's so hard to grow podcasts and newsletters speaking to which, I mean, that would
[00:38:31.160 --> 00:38:35.500]   grow it, but what a hard world. All right. What else do we have here? All right. We have Mark.
[00:38:35.500 --> 00:38:40.780]   Mark. I'm an actuary with a job that leads to adversarial interactions with regulators who are
[00:38:40.780 --> 00:38:45.960]   often challenging our assumptions in rejecting proposals. Since filings are infrequent and
[00:38:45.960 --> 00:38:51.120]   mistakes are highly visible, it's tough to design a deliberate practice routine to reduce pushback.
[00:38:51.120 --> 00:38:56.100]   Well, Mark, you're actually in a situation that's really right for deliberate practice because you're
[00:38:56.100 --> 00:39:02.800]   getting super clear feedback. We are really mad because of X. That's great feedback on like, okay,
[00:39:02.800 --> 00:39:09.000]   how do I never do X again? So you, you probably are in a cycle of deliberate practice here that is
[00:39:09.000 --> 00:39:15.160]   making you better. It's not fast in the sense of you're doing 20 reps a day, but like, you know,
[00:39:15.160 --> 00:39:22.480]   each year you're getting probably a dozen or two great pushbacks, right? So great teaching signals
[00:39:22.480 --> 00:39:27.100]   about what's working and what's not working. And the rate at which you are improving at writing these
[00:39:27.100 --> 00:39:31.920]   types of reports that you're filing is probably impressive. If you're looking at the right time
[00:39:31.920 --> 00:39:37.400]   scale, I will throw in, however, if this job is stressing you out and it sounds like it might be,
[00:39:37.400 --> 00:39:41.780]   I mean, it was stress me out. Like you're just constantly being yelled at by people who are mad
[00:39:41.780 --> 00:39:47.980]   with by default are mad about what you're going to send them. You might think about getting another job.
[00:39:47.980 --> 00:39:53.640]   The key, however, is if doing so, take your career capital with you. Don't quit this job to become
[00:39:53.640 --> 00:39:59.240]   a yoga instructor, quit this job to become an actuary somewhere else, but in a non-adversarial
[00:39:59.240 --> 00:40:03.000]   environment, right? So if there's something that's emotionally draining about a position,
[00:40:03.000 --> 00:40:07.460]   see if you can pick up your skills and take them somewhere else that removes that thing that is
[00:40:07.460 --> 00:40:10.400]   emotionally draining. Cause I'm suspecting that might actually be the real problem here.
[00:40:10.400 --> 00:40:15.420]   You know, the sparring, I wouldn't like that either. All right, who do we got next?
[00:40:15.800 --> 00:40:20.700]   Next up is Kayla. As someone who excelled in humanities and liberal arts, I appreciated
[00:40:20.700 --> 00:40:25.640]   your suggestions to read books with opposing views to grapple with different theories and
[00:40:25.640 --> 00:40:29.420]   perspectives. However, I'm curious if you have any recommendations for how to improve
[00:40:29.420 --> 00:40:33.300]   quantitative and technical skills as a way to get smarter in a dumb world.
[00:40:33.300 --> 00:40:38.900]   I would focus on specific projects that require you to master a new technical or quantitative skill
[00:40:38.900 --> 00:40:44.060]   to make progress. The two types of projects that you'll actually return to is either one that has
[00:40:44.060 --> 00:40:48.860]   a professional salient. So you volunteered to do this thing and your organization's like,
[00:40:48.860 --> 00:40:53.300]   yeah, that's good. Do this thing. And now they're waiting for an answer. And to get them an answer,
[00:40:53.300 --> 00:40:58.280]   you have to pick up the new skills. That'll focus your mind or something that's really fun. I think
[00:40:58.280 --> 00:41:03.540]   there'll be really fun to, you know, build this thing that's going to require me to learn circuit
[00:41:03.540 --> 00:41:07.160]   design or I'm going to have to learn computer programming. Maybe I'm doing it with my kids,
[00:41:07.160 --> 00:41:12.660]   but have a project that you either are interested in for professional financial reasons or for fun
[00:41:12.660 --> 00:41:17.680]   sort of like family connection reasons and let that drive you to have to pick up new quantitative
[00:41:17.680 --> 00:41:21.920]   skills. Don't just sit with a textbook and say, all right, guys, it's coming to Torx day and just like
[00:41:21.920 --> 00:41:27.060]   sit there and try to memorize theorems. Like that's not going to be very fun, but having a project is going
[00:41:27.060 --> 00:41:32.240]   to make that easier. I like, by the way, that you brought up my suggestion from before because I always
[00:41:32.240 --> 00:41:37.540]   like to underscore that read two books that have, that are very smart and have the opposite view on
[00:41:37.540 --> 00:41:44.020]   something. Even independent of the content, the dialectical clash of two opposing opinions on something
[00:41:44.020 --> 00:41:49.300]   adds like just a new layer of nuance to your mind. It just makes you smarter. It makes you see the world
[00:41:49.300 --> 00:41:54.680]   in more interesting shades of gray and not black and white. It's a really interesting experience. Even if you
[00:41:54.680 --> 00:42:00.720]   don't care about the topic, seeing that clash just adds like a more sophisticated layer to your brain. And if it's a
[00:42:00.720 --> 00:42:06.460]   topic you really care about, then you extra sure want to read the opposing view as well because that's where you're
[00:42:06.460 --> 00:42:10.760]   really going to figure out why you care about it. It's going to strengthen your conviction. It's going to make you a
[00:42:10.760 --> 00:42:16.880]   better advocate for that. Do not try to avoid stuff that you think is going to be contradicting stuff that you care about
[00:42:16.880 --> 00:42:25.420]   because that's not a belief, right? If it's I'm avoiding contradictory information, that's not a belief acquired in good
[00:42:25.420 --> 00:42:30.000]   faith. It's a, an idol that you're worshiping. It's you, you like the idea of being a part of that cult.
[00:42:30.000 --> 00:42:35.420]   So it's great. The challenge ideas, it's going to make them stronger. It's also great just to make you a smarter
[00:42:35.420 --> 00:42:41.500]   thinker to see what it looks like when you read two very opposing views. All right. Ooh, we got a case study
[00:42:41.500 --> 00:42:45.640]   this week. It's where people send in their accounts of applying the type of things we talked about on this
[00:42:45.640 --> 00:42:49.420]   show in their own life. If you have a case study, you can send it to Jesse at calnewport.com.
[00:42:49.420 --> 00:42:57.800]   do we have a name for this week? I guess not. We'll just call this Peter. All right. Peter said
[00:42:57.800 --> 00:43:03.320]   at the end of 2022, my life reached a turning point. I had just become a father, father for the first
[00:43:03.320 --> 00:43:08.860]   time, released my own music after years of supporting other artists and was deeply involved in serving my
[00:43:08.860 --> 00:43:14.540]   local Baha'i community. On paper, I had achieved, his name is probably not Peter. On paper, I achieved
[00:43:14.540 --> 00:43:19.880]   many of my life goals, but something still felt off. I realized after talking with my wife that I was
[00:43:19.880 --> 00:43:23.960]   constantly distracted thinking about music and work while at home and feeling guilty for not being
[00:43:23.960 --> 00:43:31.120]   fully present with my family or in my community service. Social media, I suspected was a big part
[00:43:31.120 --> 00:43:38.920]   of the problem. It'd be funny here if the case study said, so I got rid of my family and now have many,
[00:43:38.920 --> 00:43:41.780]   much more time for my social media and I've never looked back.
[00:43:42.020 --> 00:43:42.700]   His name is Cyril.
[00:43:42.700 --> 00:43:47.560]   Cyril. Okay. Social media, I suspected, was a big part of the problem. Discovering your TED Talk and
[00:43:47.560 --> 00:43:52.080]   then diving into your books, especially deep work, was a revelation. It helped me see that my habits
[00:43:52.080 --> 00:43:57.340]   needed to change if I wanted to be truly present and effective in all areas of my life. Over the past
[00:43:57.340 --> 00:44:01.880]   two years, I've worked hard to put your ideas into practice. I've become much more intentional about
[00:44:01.880 --> 00:44:06.360]   how I organize my days, treating my music career like a knowledge work job with clear boundaries.
[00:44:06.360 --> 00:44:11.160]   Deep work sessions are now a priority, allowing me to focus on improving my core musical skills,
[00:44:11.360 --> 00:44:15.460]   which are composing, producing, singing, and playing instruments. I'm also more disciplined
[00:44:15.460 --> 00:44:20.560]   with my time. I keep social media off my phone, stick to fixed work hours, and reserve evenings
[00:44:20.560 --> 00:44:25.180]   and weekends for my family. This structure has actually made me more flexible, letting me step
[00:44:25.180 --> 00:44:29.880]   away from work when needed for family or community projects. I've also picked up new habits like boxing
[00:44:29.880 --> 00:44:35.480]   and reading more books, which have brought a steady sense of well-being. All right. What I really like
[00:44:35.480 --> 00:44:40.780]   about this case study is this sometimes paradoxical sounding idea that having some more structured
[00:44:40.780 --> 00:44:46.000]   intentionality and control of your time makes your life slower and more full and more meaningful.
[00:44:46.000 --> 00:44:51.220]   There is sometimes this idea that's out there that once you begin to think more intentionally about
[00:44:51.220 --> 00:44:55.500]   your time, that necessarily means what you're doing is internalizing capitalist narratives and you're
[00:44:55.500 --> 00:45:00.120]   building your life into like a stressful scramble of trying to produce, produce, produce. But that's not
[00:45:00.120 --> 00:45:04.440]   always what's going on. An unstructured life can be busy and exhausting. An unstructured life can be
[00:45:04.440 --> 00:45:08.400]   intentional and more relaxed. And I think that's what we see in Surreal's story here.
[00:45:08.400 --> 00:45:11.900]   I'm going to go back and show you a couple of things that I think are important here.
[00:45:11.900 --> 00:45:18.380]   His job was flexible, right? It's a music production. He's not at an office working for a boss.
[00:45:18.380 --> 00:45:23.160]   Adding clear boundaries made it much better. Here's when I work and here's when I'm done. Without that,
[00:45:23.200 --> 00:45:30.600]   it just bled over into the rest of his life and it was causing real distress and problems. He makes deep
[00:45:30.600 --> 00:45:35.120]   work a priority. There's lots of stuff he could be doing that's probably more fun and maybe I should
[00:45:35.120 --> 00:45:39.060]   be working on the social media pages of the bands that I'm repping and try to make sure that they're
[00:45:39.060 --> 00:45:44.300]   getting attention. But he says, no, on a regular basis, I want a deep work on getting better at music.
[00:45:44.300 --> 00:45:50.140]   Long-term is probably making it much more successful. Short-term is giving him a lot more
[00:45:50.140 --> 00:45:54.980]   psychological satisfaction out of his job because it continually connects him back to the core
[00:45:54.980 --> 00:46:00.520]   artistic element of what he's doing and why he values it. He keeps social media off his phone
[00:46:00.520 --> 00:46:07.300]   and weekends and evenings are just for family. That really helps. I'm not working. I'm not on my phone.
[00:46:07.300 --> 00:46:11.540]   You're going to connect to your family much more. So these seem like simple ideas, but these little
[00:46:11.540 --> 00:46:16.500]   rules and structures made a really big difference in Surreal's life. And so I think it is a fantastic case
[00:46:16.500 --> 00:46:20.820]   study. All right, let's do a call.
[00:46:21.340 --> 00:46:28.360]   Hey, Alex Sorto here. I'm a commercial real estate appraiser. And my question has to do with
[00:46:28.360 --> 00:46:36.640]   the topic of side hustles. So there's a lot of random and conflicting advice on the internet about
[00:46:36.640 --> 00:46:43.240]   side hustles. And maybe some of it is unrealistic and some of it is not. But I would love it if I
[00:46:43.240 --> 00:46:49.620]   could create and develop a side hustle this year to keep me up float during downtimes. And I could be
[00:46:49.620 --> 00:46:56.300]   something that I actually particularly enjoy, like fashion or something along that line where it could
[00:46:56.300 --> 00:47:03.820]   be a passion as well. So I just wanted to see what were some of your ideas or best practices for
[00:47:03.820 --> 00:47:08.720]   creating a side hustle and implementing it into your regular schedule.
[00:47:09.720 --> 00:47:14.460]   seem to be like Alex referred to me as Al. Yeah, but I think he knows your name's Cal.
[00:47:14.460 --> 00:47:21.460]   You think it's because his name, he was queued up to say Alex. Yeah. And then, yeah. He definitely
[00:47:21.460 --> 00:47:27.480]   knows your name's Cal. Yeah. All right. I was going to say Alex. I'll see you in hell, buddy. But I'm
[00:47:27.480 --> 00:47:31.900]   going to, I'm going to assume that was a, that was a runtime error. I was somewhere where I was
[00:47:31.900 --> 00:47:38.320]   recently where I was continually introduced as Kyle. So would you rather be introduced by Al?
