
[00:00:00.040 --> 00:00:09.520]   embroidery
[00:53:51.020 --> 00:53:51.020]   -- . -- . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . a $ the interest in the personal protection of the series to protect the series in the series.
[00:53:51.020 --> 00:53:51.020]   in the series.
[00:53:51.040 --> 00:53:52.060]   So,
[00:53:52.060 --> 00:53:52.060]   So,
[00:53:52.060 --> 00:53:53.060]   Homestead exemption is thing number one.
[00:53:53.060 --> 00:53:54.060]   Homestead exemption is thing number one.
[00:53:54.060 --> 00:53:55.060]   Thing number two,
[00:53:55.060 --> 00:53:59.060]   Thing number two, you would consider titling the asset as tenancy by the entirety.
[00:53:59.060 --> 00:54:00.060]   That's helpful as well.
[00:54:00.060 --> 00:54:01.060]   That's helpful as well.
[00:54:01.060 --> 00:54:02.060]   So,
[00:54:02.060 --> 00:54:07.060]   So, but that only helps you if you are married and you're living in the house with your spouse.
[00:54:07.060 --> 00:54:07.060]   So,
[00:54:07.060 --> 00:54:08.060]   So, first is homestead exemption.
[00:54:08.060 --> 00:54:09.060]   So, first is homestead exemption.
[00:54:09.060 --> 00:54:11.060]   Second is tenancy by the entirety.
[00:54:11.060 --> 00:54:12.060]   With that,
[00:54:12.060 --> 00:54:12.060]   With that,
[00:54:12.060 --> 00:54:13.060]   some states is perfectly fine.
[00:54:13.060 --> 00:54:14.060]   Some states is perfectly fine.
[00:54:14.060 --> 00:54:15.060]   That's all you need.
[00:54:15.060 --> 00:54:16.060]   For example,
[00:54:16.060 --> 00:54:16.060]   For example,
[00:54:16.060 --> 00:54:21.060]   Florida has unlimited homestead exemption and the default titling for real estate only has unlimited homestead exemption.
[00:54:21.060 --> 00:54:21.060]   For example,
[00:54:21.100 --> 00:54:24.100]   as
[00:54:24.100 --> 00:54:37.140]   for care actual doesn but would Привет didnt
[00:54:37.140 --> 00:54:46.700]  , and, and, and, but, W.., people, free.lling, g. in, bit, thin, not, Iran, my, funny,視, grab, �. Not. consider the category, nhất, attentive Hawai'ż.訂. enslaved, letter Está, За.싸, ví. помог, provide,네요,ез. Star.
[00:54:46.700 --> 00:54:48.500]   It's. contain the.
[00:54:48.500 --> 00:54:50.000]   in a....pal.
[00:54:50.160 --> 00:55:00.360]  've
[00:55:00.360 --> 00:55:01.360]   won,
[00:55:01.360 --> 00:55:01.780]   steal anyway Ved Pot She convince, ,,,,,,, then que behave Period ول doin
[00:56:15.660 --> 00:56:25.860]   call
[00:56:25.860 --> 00:56:45.020]   보여드�ah,,,,,這 decline количе Ald but� bell good go change to just co end�U,V,T,T,G, realidad,G,P,P,B,T,G,D,V, portions H, wanna concentrate the house. is only the trust. I got the fact that is a process. And if you are the trust
[00:56:45.260 --> 00:57:14.860]   thing to consider. Other strategies just to kind of finish our list off on protecting your house. Then the next would be titling the house in a low-risk spouse�s name for the reasons discussed. It�s probably less effective than a domestic asset protection trust but worth considering. And then of course making sure that things are properly insured. So those are some useful strategies for a domestic asset protection trust. Now there are other kinds of trusts. And in many ways the other trusts are probably
[00:57:14.860 --> 00:57:44.480]  . The big name here would be an offshore asset protection trust. That�s probably the sexiest sounding and in many ways an extremely effective way to protect assets. An offshore asset protection trust is created with the goal of asset protection. How do you protect a big pot of money? It�s an offshore asset protection trust. That�s the goal for it. An offshore asset protection
[00:57:45.300 --> 00:58:14.100]  , a self-settled trust that lives offshore. And it has to live offshore to get the benefits of the foreign jurisdiction. Frequently as you move the assets offshore, the first thing is you start to bring in other governments involved, other sets of legislation. For the sake of brevity I�m going to read you two pages from the ABA Consumer Guide to Asset Protection on an Offshore Asset Protection.
[00:59:13.340 --> 00:59:13.340]   The ABA Consumer Guide to Asset Protection on an Offshore Asset Protection.
[00:59:13.340 --> 00:59:13.340]   The ABA Consumer Guide to Asset Protection.
[00:59:13.340 --> 00:59:13.340]   The ABA Consumer Guide to Asset Protection.
[00:59:13.340 --> 00:59:13.340]   The ABA Consumer Guide to Asset Protection.
[00:59:13.340 --> 00:59:13.340]   The ABA Consumer Guide to Asset Protection.
[00:59:13.340 --> 00:59:13.340]   The ABA Consumer Guide to Asset Protection.
[00:59:13.340 --> 00:59:13.340]   The ABA Consumer Guide to Asset Protection.
[00:59:13.340 --> 00:59:13.340]   The ABA Consumer Guide to Asset Protection.
[00:59:13.340 --> 00:59:13.340]   The ABA Consumer Guide to Asset Protection.
[00:59:13.340 --> 00:59:13.340]   The ABA Consumer Guide to Asset Protection.
[00:59:13.340 --> 00:59:13.340]   The ABA Consumer Guide to Asset Protection.
[00:59:13.340 --> 00:59:13.340]   The ABA Consumer Guide to Asset Protection.
[00:59:13.340 --> 00:59:13.340]   The ABA Consumer Guide to Asset Protection.
[00:59:13.340 --> 00:59:13.440]   The ABA Consumer Guide to Asset Protection.
[00:59:13.440 --> 00:59:13.460]   The ABA Consumer Guide to Asset Protection.
[00:59:13.460 --> 00:59:13.540]   The ABA Consumer Guide to Asset Protection.
[00:59:41.660 --> 00:59:41.700]   of proceeding against the transferee trust of the FAPT.
[00:59:41.700 --> 00:59:43.540]   Fees and expenses in litigating in foreign jurisdictions are substantial, thereby serving as a strong deterrent to foreign litigation. The foreign asset protection trust minimizes the likelihood of a fraudulent conveyance charge because of the difficulty to a creditor of proceeding against the transferee trust.
[00:59:43.540 --> 00:59:43.560]   The ABA Consumer Guide to Asset Protection.
[00:59:43.560 --> 01:00:13.180]   in the offshore structure outside of US jurisdiction. The foreign structure makes any type of an injunction against further disposition of assets extremely unlikely. The FAPT practically eliminates the possibility of the appointment of a receiver over the transferred assets. The foreign structure places the assets in a jurisdiction whose laws are favorable to debtors and hostile to creditors. An offshore structure makes any type of an injunction against further disposition of assets extremely unlikely. The FAPT practically eliminates the possibility of the appointment of a receiver over the transferred assets. The foreign structure places the assets in a jurisdiction whose laws are favorable to debtors and hostile to creditors. An
[01:00:13.180 --> 01:00:13.180]   FAPT practically eliminates the possibility of the appointment of a receiver over the transferred assets. The foreign structure places the assets in a jurisdiction whose laws are favorable to debtors and hostile to creditors. An
[01:00:13.220 --> 01:00:23.500]   Anton
[01:00:23.500 --> 01:00:42.160]   sunk E I in make
[01:00:43.240 --> 01:01:13.240]   E I in make
[01:01:13.240 --> 01:01:13.260]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:13.260 --> 01:01:13.260]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:13.260 --> 01:01:13.260]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:13.260 --> 01:01:13.260]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:13.260 --> 01:01:13.260]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:13.260 --> 01:01:13.260]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:13.260 --> 01:01:13.260]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:13.260 --> 01:01:13.260]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:13.260 --> 01:01:13.260]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:13.260 --> 01:01:13.260]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:13.260 --> 01:01:13.260]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:13.300 --> 01:01:43.300]  ,
[01:01:43.300 --> 01:01:43.300]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:43.300 --> 01:01:43.300]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:43.300 --> 01:01:43.300]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:43.300 --> 01:01:43.300]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:43.300 --> 01:01:43.300]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:01:43.300 --> 01:01:43.300]   The foreign asset protection trust places assets out of the trust's creditors.
[01:01:43.300 --> 01:01:43.300]   The foreign asset protection trust places out of the trust's creditors.
[01:01:43.320 --> 01:02:13.340]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:13.340 --> 01:02:13.340]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:13.340 --> 01:02:13.340]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:13.340 --> 01:02:13.340]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:13.340 --> 01:02:13.340]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:13.340 --> 01:02:13.340]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:13.340 --> 01:02:13.340]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:13.340 --> 01:02:13.340]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:13.340 --> 01:02:13.340]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:13.340 --> 01:02:13.340]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:13.340 --> 01:02:13.340]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:13.480 --> 01:02:43.380]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:43.380 --> 01:02:43.380]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:43.380 --> 01:02:43.380]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:43.380 --> 01:02:43.380]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:43.380 --> 01:02:43.380]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:43.380 --> 01:02:43.380]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:43.380 --> 01:02:43.380]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:43.380 --> 01:02:43.380]   The foreign asset protection trust places assets out of reach of the trust's creditors.
[01:02:43.380 --> 01:02:43.380]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:02:43.380 --> 01:02:43.380]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:02:43.380 --> 01:02:43.380]   The foreign asset protection trust places out of the trust's creditors.
[01:02:43.400 --> 01:03:13.400]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:13.400 --> 01:03:13.420]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:13.420 --> 01:03:13.420]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:13.420 --> 01:03:13.420]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:13.420 --> 01:03:13.420]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:13.420 --> 01:03:13.420]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:13.420 --> 01:03:13.420]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:13.420 --> 01:03:13.420]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:13.420 --> 01:03:13.420]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:13.420 --> 01:03:13.420]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:13.420 --> 01:03:13.420]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:13.420 --> 01:03:13.420]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:13.420 --> 01:03:43.460]  ,
[01:03:43.460 --> 01:03:43.460]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:43.460 --> 01:03:43.460]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:43.460 --> 01:03:43.460]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:43.460 --> 01:03:43.460]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:43.460 --> 01:03:43.460]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:43.460 --> 01:03:43.460]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:43.460 --> 01:03:43.460]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:43.460 --> 01:03:43.460]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:03:43.480 --> 01:04:13.500]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:13.500 --> 01:04:13.500]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:13.500 --> 01:04:13.500]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:13.500 --> 01:04:13.500]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:13.500 --> 01:04:13.500]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:13.500 --> 01:04:13.500]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:13.500 --> 01:04:13.500]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:13.500 --> 01:04:13.500]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:13.500 --> 01:04:13.500]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:13.500 --> 01:04:13.500]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:13.500 --> 01:04:13.500]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:13.500 --> 01:04:13.500]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:13.500 --> 01:04:43.540]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:43.540 --> 01:04:43.540]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:43.540 --> 01:04:43.540]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:43.540 --> 01:04:43.540]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:43.540 --> 01:04:43.540]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:43.540 --> 01:04:43.540]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:43.540 --> 01:04:43.540]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:43.540 --> 01:04:43.540]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:04:43.560 --> 01:05:13.580]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:13.580 --> 01:05:13.580]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:13.580 --> 01:05:13.580]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:13.580 --> 01:05:13.580]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:13.580 --> 01:05:13.580]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:13.580 --> 01:05:13.580]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:13.580 --> 01:05:13.580]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:13.580 --> 01:05:13.580]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:13.580 --> 01:05:13.580]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:13.580 --> 01:05:13.580]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:13.580 --> 01:05:13.580]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:13.580 --> 01:05:13.580]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:43.620 --> 01:05:43.620]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:43.620 --> 01:05:43.620]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:43.620 --> 01:05:43.620]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:43.620 --> 01:05:43.620]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:43.620 --> 01:05:43.620]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:43.620 --> 01:05:43.620]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:43.620 --> 01:05:43.620]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:43.620 --> 01:05:43.620]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:05:43.640 --> 01:06:13.660]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:13.660 --> 01:06:13.660]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:13.660 --> 01:06:13.660]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:13.660 --> 01:06:13.660]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:13.660 --> 01:06:13.660]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:13.660 --> 01:06:13.660]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:13.660 --> 01:06:13.660]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:13.660 --> 01:06:13.660]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:13.660 --> 01:06:13.660]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:13.660 --> 01:06:13.660]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:13.660 --> 01:06:13.660]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:13.660 --> 01:06:13.660]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:13.660 --> 01:06:43.700]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:43.700 --> 01:06:43.700]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:43.700 --> 01:06:43.700]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:43.700 --> 01:06:43.700]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:43.700 --> 01:06:43.700]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:43.700 --> 01:06:43.700]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:43.700 --> 01:06:43.700]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:43.700 --> 01:06:43.700]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:43.700 --> 01:06:43.700]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:43.700 --> 01:06:43.700]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:06:43.720 --> 01:07:13.720]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:07:13.720 --> 01:07:13.740]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:07:13.740 --> 01:07:13.740]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:07:13.740 --> 01:07:13.740]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:07:13.740 --> 01:07:13.740]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:07:13.740 --> 01:07:13.740]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:07:13.740 --> 01:07:13.740]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:07:13.740 --> 01:07:13.740]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:07:13.740 --> 01:07:13.740]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:07:13.740 --> 01:07:13.740]   The foreign asset protection trust places out of reach of the trust's creditors.
[01:07:13.740 --> 01:07:13.740]   The foreign asset protection trust places out of the trust's creditors.
[01:07:13.740 --> 01:07:13.740]   The foreign asset protection of the trust's creditors.
[01:07:13.740 --> 01:07:43.780]   and the foreign asset protection of the trust's creditors.
[01:07:43.780 --> 01:07:43.780]   The foreign asset protection of the trust's creditors.
[01:07:43.780 --> 01:07:43.780]   The foreign asset protection of the trust's creditors.
[01:07:43.780 --> 01:07:43.780]   The foreign asset protection of the trust's creditors.
[01:07:43.780 --> 01:07:43.780]   The foreign asset protection of the trust's creditors.
[01:07:43.780 --> 01:07:43.780]   The foreign asset protection of the trust's creditors.
[01:07:43.780 --> 01:07:43.780]   The foreign asset protection of the trust's creditors.
[01:07:43.780 --> 01:07:43.780]   The foreign asset protection of the trust's creditors.
[01:07:43.800 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:13.820]   The foreign asset protection of the trust's creditors.
[01:08:13.820 --> 01:08:43.860]   The foreign asset protection of the trust's creditors.
[01:08:43.860 --> 01:08:43.860]   The foreign asset protection of the trust's creditors.
[01:08:43.860 --> 01:08:43.860]   The foreign asset protection of the trust's creditors.
[01:08:43.860 --> 01:08:43.860]   The foreign asset protection of the trust's creditors.
[01:08:43.860 --> 01:08:43.860]   The foreign asset protection of the trust's creditors.
[01:08:43.860 --> 01:08:43.860]   The foreign asset protection of the trust's creditors.
[01:08:43.860 --> 01:08:43.860]   The foreign asset protection of the trust's creditors.
[01:08:43.860 --> 01:08:43.860]   The foreign asset protection of the trust's creditors.
[01:08:43.860 --> 01:08:43.860]   The foreign asset protection of the trust's creditors.
[01:08:43.860 --> 01:08:43.860]   The foreign asset protection of the trust's creditors.
[01:08:43.880 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:13.900]   The foreign asset protection of the trust's creditors.
[01:09:13.900 --> 01:09:43.940]   the foreign asset protection of the trust's creditors.
[01:09:43.940 --> 01:09:43.940]   The foreign asset protection of the trust's creditors.
[01:09:43.940 --> 01:09:43.940]   The foreign asset protection of the trust's creditors.
[01:09:43.940 --> 01:09:43.940]   The foreign asset protection of the trust's creditors.
[01:09:43.940 --> 01:09:43.940]   The foreign asset protection of the trust's creditors.
[01:09:43.940 --> 01:09:43.940]   The foreign asset protection of the trust's creditors.
[01:09:43.940 --> 01:09:43.940]   The foreign asset protection of the trust's creditors.
[01:09:43.940 --> 01:09:43.940]   The foreign asset protection of the trust's creditors.
[01:09:43.940 --> 01:09:43.940]   The foreign asset protection of the trust's creditors.
[01:09:43.940 --> 01:09:43.940]   The foreign asset protection of the trust's creditors.
[01:09:43.960 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:13.980]   The foreign asset protection of the trust's creditors.
[01:10:13.980 --> 01:10:44.020]   the foreign asset protection of the trust's creditors.
[01:10:44.020 --> 01:10:44.020]   The foreign asset protection of the trust's creditors.
[01:10:44.020 --> 01:10:44.020]   The foreign asset protection of the trust's creditors.
[01:10:44.020 --> 01:10:44.020]   The foreign asset protection of the trust's creditors.
[01:10:44.020 --> 01:10:44.020]   The foreign asset protection of the trust's creditors.
[01:10:44.020 --> 01:10:44.020]   The foreign asset protection of the trust's creditors.
[01:10:44.020 --> 01:10:44.020]   The foreign asset protection of the trust's creditors.
[01:10:44.020 --> 01:10:44.020]   The foreign asset protection of the trust's creditors.
[01:10:44.020 --> 01:10:44.020]   The foreign asset protection of the trust's creditors.
[01:10:44.020 --> 01:10:44.020]   The foreign asset protection of the trust's creditors.
[01:10:44.020 --> 01:10:44.020]   The foreign asset protection of the trust's creditors.
[01:10:44.020 --> 01:10:44.020]   The foreign asset protection of the trust's creditors.
[01:10:44.020 --> 01:10:44.020]   The foreign asset protection of the trust's creditors. The foreign asset protection of the trust's creditors.
[01:10:44.060 --> 01:10:53.780]   endure
[01:10:53.780 --> 01:10:54.400]   un Hel "
[01:10:54.400 --> 01:10:55.200]   as, the, the,,,,,,,,. 100
[01:12:13.600 --> 01:12:13.600]   ------
[01:12:13.600 --> 01:12:13.600]   ------
[01:12:13.600 --> 01:12:13.600]   thought of the show, is that you can use different business entities to segment out risk and liability and to segment out assets. So you can own valuable assets in businesses that have very low liability. You can segregate your liability into businesses that have very low assets. You can do what I talked about. You can have an operations company and a holding company. You can even do things like making sure that you, you can have an employee, what's it called?
[01:12:13.640 --> 01:12:23.620]  다
[01:12:23.620 --> 01:12:24.460]   un life эти
[01:12:24.460 --> 01:12:40.040]  ; mean that is very neither
[01:13:34.900 --> 01:13:34.900]   The
[01:14:29.160 --> 01:14:56.220]  hängs of the company. I'm thinking about protecting my assets that I own personally. Perhaps I own a portfolio of rental real estate assets and I own a company. Why don't my rental properties be exposed to the claims of a creditor because of my company that has nothing to do with the rental properties? And so I run the company through a business entity. But business entities, specifically, very importantly, LLCs can also protect you the other way. Because now you can hold an asset in a company that you own.
[01:14:56.220 --> 01:14:56.220]   Un
[01:14:56.220 --> 01:14:56.220]   un
[01:14:56.220 --> 01:14:56.220]  un
[01:14:56.220 --> 01:14:56.220]  un
[01:14:56.220 --> 01:14:56.220]  un
[01:14:56.260 --> 01:15:06.340]   however
[01:15:06.340 --> 01:15:06.580]   this que
[01:15:06.580 --> 01:15:07.020]   real de the, the,,,,,,,
[01:15:07.020 --> 01:15:10.000]   физ
[01:15:10.000 --> 01:15:25.180]  �
[01:15:55.300 --> 01:15:55.300]   ...
[01:15:55.300 --> 01:15:55.300]   ...
[01:16:24.820 --> 01:16:24.840]   ...
[01:16:24.880 --> 01:16:34.740]   em
[01:16:34.740 --> 01:16:36.400]   next, cel,
[01:16:36.400 --> 01:16:51.900]   bed� И I know the
