
[00:00:00.000 --> 00:00:03.000]   The friend ship recession.
[00:18:26.220 --> 00:18:28.780]   example, you got back in the jujitsu, which is something you had done very
[00:18:28.780 --> 00:18:30.900]   seriously, um, earlier in your life.
[00:18:30.900 --> 00:18:31.420]   Yeah.
[00:18:31.420 --> 00:18:35.140]   And then, uh, then church after that, which again was coming out of self-reflection.
[00:18:35.140 --> 00:18:36.060]   You were now very familiar.
[00:18:36.060 --> 00:18:39.500]   You were familiar enough with yourself that when you were sort of looking around
[00:18:39.500 --> 00:18:42.660]   and hanging out with the sort of spiritual, not religious types, like this
[00:18:42.660 --> 00:18:45.860]   isn't quite right, I think a church, but this church that required self.
[00:18:46.180 --> 00:18:47.180]   Knowledge, right.
[00:18:47.180 --> 00:18:47.380]   Yeah.
[00:18:47.380 --> 00:18:50.500]   You actually, I think of the church and was like, do I hate Moby?
[00:18:50.500 --> 00:18:56.580]   Um, but yeah, no, I mean like, dude, the, my superpower and the reason I'm not
[00:18:56.580 --> 00:19:04.340]   dead is like being able to like be self analytical, it started as self hate,
[00:19:04.340 --> 00:19:05.740]   which sometimes can backfire.
[00:19:05.740 --> 00:19:09.100]   Um, but yeah, just being like, why am I here?
[00:19:09.100 --> 00:19:09.300]   What?
[00:19:09.300 --> 00:19:15.260]   Because I also want to add that if you're looking for friends or a girl going to a
[00:19:15.260 --> 00:19:19.100]   bar every night, just like screens also isn't the answer, right?
[00:19:19.100 --> 00:19:23.900]   Because you feel like, well, I'm surrounded by people, but you're numbing yourself
[00:19:23.900 --> 00:19:26.020]   out, you're having vapid conversations.
[00:19:26.020 --> 00:19:28.300]   If you can even have a conversation over the music.
[00:19:28.300 --> 00:19:32.180]   Like, I always joke that I want to meet my next girlfriend, just like at a bookstore.
[00:19:32.180 --> 00:19:32.580]   Yeah.
[00:19:32.580 --> 00:19:36.140]   Um, like, I just want to like, we accidentally both reach for like the
[00:19:36.140 --> 00:19:39.900]   same, the graphic novel, the same Calvin and Hobbes book or something.
[00:19:40.180 --> 00:19:47.300]   Um, and, but I think that, and when we, when we were talking, you know, right
[00:19:47.300 --> 00:19:52.620]   before we went on air, um, about this, I did not think that this is where this was
[00:19:52.620 --> 00:19:55.580]   nowhere in my head that I was going to veer in this direction.
[00:19:55.580 --> 00:20:01.380]   Um, but as I talk about it, I realize, oh my God, this is the most important
[00:20:01.380 --> 00:20:05.580]   thing you can do, which sounds, um, uh, counterintuitive because we're
[00:20:05.580 --> 00:20:07.380]   talking about being lonely.
[00:20:07.460 --> 00:20:10.020]   So it's like, why would you want to spend more time with yourself?
[00:20:10.020 --> 00:20:16.860]   There is such a difference between, you know, if I stayed at home all day and
[00:20:16.860 --> 00:20:23.260]   just scrolled on Instagram and watched porn and, you know, texted my ex like,
[00:20:23.260 --> 00:20:25.580]   yeah, dude, that's a real lonely day by myself.
[00:20:25.580 --> 00:20:30.140]   But if I write and I go to the gym and maybe instead of having coffee here, I go
[00:20:30.140 --> 00:20:34.100]   to Starbucks and I asked the, the, the barista how they're doing, and I have
[00:20:34.100 --> 00:20:36.980]   that interaction and then I meditate and then I journal what I've.
[00:20:37.340 --> 00:20:40.460]   Like I'm waking up early, not sleep at the, I wake up at five 15.
[00:20:40.460 --> 00:20:41.220]   I don't have a job.
[00:20:41.220 --> 00:20:41.780]   I'm an artist.
[00:20:41.780 --> 00:20:42.380]   I'm a comic.
[00:20:42.380 --> 00:20:46.260]   I wake up at five 15 every day so that I can have that time to myself.
[00:20:46.260 --> 00:20:52.660]   Um, man, when I'm around people, that's how I can be my authentic self.
[00:20:52.660 --> 00:20:57.020]   And then when you're being your authentic self, you will attract, um, people who
[00:20:57.020 --> 00:20:58.220]   are like, oh, I like that guy.
[00:20:58.220 --> 00:21:04.580]   And you will also be able to walk away from, um, a circle of friends that
[00:21:04.580 --> 00:21:09.380]   maybe that's just, you know, whatever, whatever the hookup version is of, of
[00:21:09.380 --> 00:21:09.980]   friends.
[00:21:09.980 --> 00:21:10.420]   Yeah.
[00:21:10.420 --> 00:21:10.820]   Yeah.
[00:21:10.820 --> 00:21:11.300]   Okay.
[00:21:11.300 --> 00:21:14.540]   So then there's one final step here to get out the, the, the touch on.
[00:21:14.540 --> 00:21:17.820]   So we have the self-reflection leads to activities that are deeply meaningful.
[00:21:17.820 --> 00:21:20.900]   You're meeting people through those activities.
[00:21:20.900 --> 00:21:24.380]   So you're, you're now surrounded by people who are on the same wavelength.
[00:21:24.380 --> 00:21:27.780]   So this is clearly going to be a source of, uh, high quality friendships.
[00:21:27.780 --> 00:21:30.420]   I guess the final piece then is there's still a little bit of trigger polling
[00:21:30.420 --> 00:21:31.980]   that requires a little strategizing.
[00:21:31.980 --> 00:21:34.420]   We hinted at this earlier, but now it's like, I
[00:21:34.420 --> 00:21:35.220]   really like these guys.
[00:21:35.220 --> 00:21:39.420]   And we're on the same wavelength and, uh, they make me better.
[00:21:39.420 --> 00:21:40.540]   And I really like hanging out with them.
[00:21:40.540 --> 00:21:42.340]   So then there's that final piece, right?
[00:21:42.340 --> 00:21:42.660]   Okay.
[00:21:42.660 --> 00:21:46.940]   Now I have to just have the courage to say, and this is the dating analogy, but.
[00:21:46.940 --> 00:21:50.540]   Hey, you want to come watch the fight or do you want to come do whatever?
[00:21:50.540 --> 00:21:52.140]   So, so what did you discover about that?
[00:21:52.140 --> 00:21:56.900]   Is that as bad as men fear or is it just something you got to just go for?
[00:21:56.900 --> 00:21:57.100]   Yeah.
[00:21:57.100 --> 00:22:01.580]   I'm like, I'm running through because I'm also, um, I'm an introvert and so I'm
[00:22:01.580 --> 00:22:02.300]   not good at it.
[00:22:02.380 --> 00:22:06.740]   I seem very like bubbly and social in social settings.
[00:22:06.740 --> 00:22:08.820]   It's just cause I'm projecting and I'm terrified.
[00:22:08.820 --> 00:22:09.420]   Yeah.
[00:22:09.420 --> 00:22:16.460]   Um, so I definitely haven't been like, you know, Hey, do you want to go get
[00:22:16.460 --> 00:22:17.060]   coffee?
[00:22:17.060 --> 00:22:19.260]   I mean, I have my pastors, but that's like their job.
[00:22:19.260 --> 00:22:22.980]   Um, I feel like when my pastor's hanging out with me, that's like, if I was like,
[00:22:22.980 --> 00:22:26.100]   I had sex, but like I paid an escort, it's like, what is she supposed to do that?
[00:22:26.100 --> 00:22:29.820]   Um, my pastor see him sad, but like, okay.
[00:22:29.860 --> 00:22:37.180]   So be someone you would want to hang out with is number one, right?
[00:22:37.180 --> 00:22:44.660]   So if I go to jujitsu and I sit in the corner and scowl at everybody, um, I'm
[00:22:44.660 --> 00:22:46.460]   probably not going to get an invite to hang out.
[00:22:46.460 --> 00:22:51.300]   But if every time I go to spar with someone, I go, Hey man, what's your name?
[00:22:51.300 --> 00:22:52.020]   Great.
[00:22:52.020 --> 00:22:55.220]   And then we roll and I go, Hey, when you did this, that was really good.
[00:22:55.220 --> 00:22:55.980]   You know, blah, blah, blah.
[00:22:55.980 --> 00:22:58.700]   And then maybe they start coming and asking me for advice, you know, whatever.
[00:22:59.060 --> 00:23:03.420]   Um, maybe everyone, maybe you're the funny person.
[00:23:03.420 --> 00:23:06.140]   Maybe you're the person who just asked people how their day is.
[00:23:06.140 --> 00:23:11.260]   Maybe you just, you know, my, uh, my main jujitsu coach is this guy,
[00:23:11.260 --> 00:23:13.380]   Marcelo Garcia, who is the best in the world.
[00:23:13.380 --> 00:23:18.580]   So his gym was like packed, but every day he would go up and he would walk around
[00:23:18.580 --> 00:23:20.820]   while people were chatting and he would shake everyone's hand.
[00:23:20.820 --> 00:23:25.260]   Um, and so I try to do that when I go to a gym, I try to like, you know, if I'm
[00:23:25.260 --> 00:23:27.740]   teaching the kids class, I'll shake the parents hand, stuff like that.
[00:23:28.140 --> 00:23:32.540]   Um, and then through that, people just feel comfortable around you and maybe
[00:23:32.540 --> 00:23:35.540]   they start asking you questions and maybe they just become your gym buddy.
[00:23:35.540 --> 00:23:39.900]   I have dozens of gym buddies who I've never hung out with, but there are also
[00:23:39.900 --> 00:23:42.540]   people that if I show up and they go, Hey, how are you doing?
[00:23:42.540 --> 00:23:44.540]   I can tell them, Hey man, I'm struggling.
[00:23:44.540 --> 00:23:49.220]   I got this breakup and they will give me amazing advice before class.
[00:23:49.220 --> 00:23:53.540]   Um, then usually in these places, there are like group activities.
[00:23:53.540 --> 00:23:57.900]   So if you're going to a CrossFit gym or a jujitsu place, chances are, yeah,
[00:23:57.900 --> 00:24:01.700]   when there's a big pay-per-view, they're going to watch the fights and.
[00:24:01.700 --> 00:24:07.820]   You know, you can be so likable that they invite you.
[00:24:07.820 --> 00:24:11.820]   There have definitely been times where I'm like, I just have a good enough
[00:24:11.820 --> 00:24:15.020]   sense that I'm like, these guys like me, like they follow me on Instagram.
[00:24:15.020 --> 00:24:19.260]   Even if I don't follow them, like, I think they like me that I'll even be like,
[00:24:19.260 --> 00:24:22.100]   Hey guys, if there's ever room, like I'd love to watch the fights with you.
[00:24:22.100 --> 00:24:25.460]   You don't have to say, can I come and watch Izzy fight this Saturday?
[00:24:25.580 --> 00:24:28.940]   But you can go like, Hey, if there's ever, or if you're ever going out, um,
[00:24:28.940 --> 00:24:31.740]   one of my church friends, uh, this girl, AJ.
[00:24:31.740 --> 00:24:36.420]   The day after the breakup I go, Hey man, I gotta be more social.
[00:24:36.420 --> 00:24:36.780]   I know.
[00:24:36.780 --> 00:24:40.540]   Like, I usually say no when you guys like invite me out, but like, if there's
[00:24:40.540 --> 00:24:43.140]   ever anything going on, can you at least like float it to me?
[00:24:43.140 --> 00:24:46.340]   And she goes, Oh my God, I'm having a birthday dinner tonight.
[00:24:46.340 --> 00:24:47.940]   I was like, didn't want to invite.
[00:24:47.940 --> 00:24:49.140]   I figured you wouldn't want to go.
[00:24:49.140 --> 00:24:50.140]   Do you want to go?
[00:24:50.140 --> 00:24:54.140]   And I went and then I met a bunch of different church friends and now they've
[00:24:54.140 --> 00:24:59.540]   hit me up, um, the one piece of advice I really want to give, cause I know you
[00:24:59.540 --> 00:25:04.460]   won't give it on another piece, uh, on another episode is this is where social
[00:25:04.460 --> 00:25:06.620]   media can actually be kind of good.
[00:25:06.620 --> 00:25:12.020]   Um, and maybe I don't know if it's this, I think it's for normie people.
[00:25:12.020 --> 00:25:13.380]   Cause I have a bit of like an audience.
[00:25:13.380 --> 00:25:16.420]   So people think it's in my real life.
[00:25:16.420 --> 00:25:18.180]   If they don't know what I do, they think it's cool.
[00:25:18.180 --> 00:25:18.860]   And they follow me.
[00:25:18.860 --> 00:25:24.620]   But, um, I have had a couple people that I've met from jujitsu or church or
[00:25:24.620 --> 00:25:27.900]   whatever, that they'll find me on Instagram.
[00:25:27.900 --> 00:25:33.300]   And that kind of tells me, Oh, this person like likes me.
[00:25:33.300 --> 00:25:38.180]   And maybe when they write me on Instagram, you know, I can't write like
[00:25:38.180 --> 00:25:42.300]   every like random person back, but like when they write me, I go, Oh shit.
[00:25:42.300 --> 00:25:44.540]   Nehemiah from church is hitting me up.
[00:25:44.540 --> 00:25:45.660]   Like about my story.
[00:25:45.660 --> 00:25:48.380]   Like maybe I actually have more in common with him than I thought.
[00:25:48.380 --> 00:25:53.260]   And that will kind of like, um, that'll be an icebreaker for, cause I don't want
[00:25:53.260 --> 00:25:55.340]   to just, I have very low self-confidence.
[00:25:55.340 --> 00:25:57.660]   Um, so I don't assume people like me.
[00:25:57.660 --> 00:26:02.820]   Um, but if I see someone's like followed me on Instagram, I'm like, Oh, okay.
[00:26:02.820 --> 00:26:06.620]   But then where you will agree is then it's your job to not keep
[00:26:06.620 --> 00:26:08.580]   that relationship in Instagram.
[00:26:08.580 --> 00:26:09.060]   Right.
[00:26:09.060 --> 00:26:13.220]   I mean, you're describing like 2010 social media where it really was.
[00:26:13.220 --> 00:26:13.540]   Okay.
[00:26:13.540 --> 00:26:15.300]   My, my friends follow this.
[00:26:15.300 --> 00:26:16.620]   We keep up with each other.
[00:26:17.020 --> 00:26:20.380]   And sometimes I get a second order connection, like a friend of a friend
[00:26:20.380 --> 00:26:23.380]   who I sort of know is a way for them to interact with me.
[00:26:23.380 --> 00:26:24.780]   And that was the heyday of social media.
[00:26:24.780 --> 00:26:26.340]   It was just, yeah.
[00:26:26.340 --> 00:26:26.700]   Yes.
[00:26:26.700 --> 00:26:29.820]   That's different than being like, I'm friends with Tucker Carlson because we
[00:26:29.820 --> 00:26:31.700]   both hate the same people on Twitter.
[00:26:31.700 --> 00:26:32.860]   It was like, yeah, yeah.
[00:26:32.860 --> 00:26:33.980]   He liked a tweet of mine.
[00:26:33.980 --> 00:26:34.660]   Uh, all right.
[00:26:34.660 --> 00:26:35.260]   This is excellent.
[00:26:35.260 --> 00:26:38.820]   So I'm going to do what I do, which is try to reduce this all down to, uh,
[00:26:38.820 --> 00:26:42.060]   step-by-step advice for my listeners.
[00:26:42.060 --> 00:26:44.820]   So this is the Jamie Kilstein prescription.
[00:26:45.260 --> 00:26:48.860]   Um, well, first of all, the, the setup here is that especially for males, uh,
[00:26:48.860 --> 00:26:52.660]   friendships are really important, especially, uh, as you're getting to
[00:26:52.660 --> 00:26:57.380]   your thirties and forties, as we, as Jamie was talking about, it is, if
[00:26:57.380 --> 00:27:00.180]   anything, like a buffer against hard things that happen in your life,
[00:27:00.180 --> 00:27:02.820]   a, a, a source of motivation, et cetera.
[00:27:02.820 --> 00:27:03.380]   So you need them.
[00:27:03.380 --> 00:27:08.060]   Don't, don't just have, uh, don't just keep in touch with your high school
[00:27:08.060 --> 00:27:09.420]   buddies or just know like,
[00:27:09.420 --> 00:27:13.460]   I don't want to mess up your list, but I didn't go into nearly as much
[00:27:13.460 --> 00:27:18.700]   detail on that I was trying to get to the how to, but like, it has saved my life.
[00:27:18.700 --> 00:27:19.700]   A hundred percent.
[00:27:19.700 --> 00:27:25.620]   I have been going through so much for the last decade, 15 years of my life.
[00:27:25.620 --> 00:27:32.340]   That having strong male friends who I look up to be able to like, when I'm
[00:27:32.340 --> 00:27:36.020]   struggling, like this sounds so cheesy, but like put a hand on my shoulder and
[00:27:36.020 --> 00:27:38.620]   be like, dude, I see how hard you're working.
[00:27:38.620 --> 00:27:40.820]   You are going to be like, so good.
[00:27:40.820 --> 00:27:45.500]   You have no idea how far you've come since even the first day I met you and
[00:27:45.500 --> 00:27:51.540]   having another man tell you that you just go, Oh, like that's so much different
[00:27:51.540 --> 00:27:54.540]   than even like your wife being like, babe, you got this.
[00:27:54.540 --> 00:27:56.300]   It's just, it's different.
[00:27:56.300 --> 00:27:58.940]   Um, yeah, it's, it's, it's been.
[00:27:58.940 --> 00:27:59.860]   Yeah.
[00:27:59.860 --> 00:28:00.540]   Right.
[00:28:00.540 --> 00:28:03.180]   So, uh, fundamental, it's saved Jamie's life.
[00:28:03.180 --> 00:28:03.660]   Fundamental.
[00:28:03.660 --> 00:28:04.020]   Okay.
[00:28:04.020 --> 00:28:06.340]   Um, so, so how do we do this?
[00:28:06.340 --> 00:28:08.620]   Well, if we're going to, if we're going to make a prescription here, one, I
[00:28:08.620 --> 00:28:12.700]   would say go back to, you know, my digital declutter is a good starting place.
[00:28:12.700 --> 00:28:16.500]   The thing we talk about in digital minimalism, where you take 30 days away
[00:28:16.500 --> 00:28:20.180]   from all this optional technology, do self-reflection experimentation.
[00:28:20.180 --> 00:28:23.900]   We usually talk about the digital declutter just as a way of figuring
[00:28:23.900 --> 00:28:25.940]   out how to update your technology use.
[00:28:25.940 --> 00:28:30.300]   But now let's add that on as the first step towards upgrading your
[00:28:30.300 --> 00:28:34.900]   friendship situation, because during that 30 days of reflection experimentation,
[00:28:34.900 --> 00:28:36.500]   you get to know yourself better.
[00:28:37.060 --> 00:28:40.500]   Now, typically we say at the end of that 30 days, I look at your tech use fine,
[00:28:40.500 --> 00:28:45.260]   but let's add a new obligation here at the end of that 30 days, join something.
[00:28:45.260 --> 00:28:46.140]   Yeah.
[00:28:46.140 --> 00:28:50.900]   Join something based on what you discovered during that 30 day declutter
[00:28:50.900 --> 00:28:54.460]   that is going to surround you with other people who are on the same
[00:28:54.460 --> 00:28:56.140]   wavelength with your values.
[00:28:56.140 --> 00:28:57.740]   Um, and I would add to that.
[00:28:57.740 --> 00:29:01.340]   Being around those people will probably also bring other
[00:29:01.340 --> 00:29:03.340]   things into your radar to join.
[00:29:03.340 --> 00:29:06.180]   I mean, Jamie, correct me if I'm wrong, but there's, there's a synergy between
[00:29:06.540 --> 00:29:09.100]   uh, you getting back in the jujitsu and the church because there's,
[00:29:09.100 --> 00:29:10.140]   there's crossovers, right?
[00:29:10.140 --> 00:29:14.420]   Some of the people that the fighters you were meeting were also religious.
[00:29:14.420 --> 00:29:17.260]   And so these things cross pollinate, they weren't two separate thoughts.
[00:29:17.260 --> 00:29:20.460]   It was like, once you're in the world of people you admire and like to be
[00:29:20.460 --> 00:29:22.580]   around other meaningful things emerge.
[00:29:22.580 --> 00:29:23.580]   I mean, I got that right.
[00:29:23.580 --> 00:29:23.780]   Right.
[00:29:23.780 --> 00:29:25.620]   It was all these things sort of mixed together.
[00:29:25.620 --> 00:29:26.420]   Yeah.
[00:29:26.420 --> 00:29:30.620]   And that actually, that, that, that's another great tip, which is like, once
[00:29:30.620 --> 00:29:33.620]   you know yourself and you have these interests and these things that you
[00:29:33.620 --> 00:29:36.500]   love that are kind of different or whatever, you're going to be able to
[00:29:36.500 --> 00:29:39.540]   connect with these people and then you're going to be able to like, you know,
[00:29:39.540 --> 00:29:41.660]   like, you're going to be able to connect with these people.
[00:29:41.660 --> 00:29:43.780]   You know, like, you're going to be able to connect with these people.
[00:29:43.780 --> 00:29:45.820]   And then you're going to be able to connect with these people.
[00:29:45.820 --> 00:29:47.580]   And then you're going to be able to connect with these people.
[00:29:47.580 --> 00:29:49.420]   And then you're going to be able to connect with these people.
[00:29:49.420 --> 00:29:51.020]   And then you're going to be able to connect with these people.
[00:29:51.020 --> 00:29:52.300]   And then you're going to be able to connect with these people.
[00:29:52.300 --> 00:29:53.340]   And then you're going to be able to connect with these people.
[00:29:53.340 --> 00:29:54.940]   And then you're going to be able to connect with these people.
[00:29:54.940 --> 00:29:56.100]   And then you're going to be able to connect with these people.
[00:29:56.100 --> 00:29:58.020]   And then you're going to be able to connect with these people.
[00:29:58.020 --> 00:29:59.940]   And then you're going to be able to connect with these people.
[00:29:59.940 --> 00:30:01.140]   And then you're going to be able to connect with these people.
[00:30:01.140 --> 00:30:02.420]   And then you're going to be able to connect with these people.
[00:30:02.420 --> 00:30:03.620]   And then you're going to be able to connect with these people.
[00:30:03.620 --> 00:30:05.020]   And then you're going to be able to connect with these people.
[00:30:05.020 --> 00:30:06.420]   And then you're going to be able to connect with these people.
[00:30:06.420 --> 00:30:07.780]   And then you're going to be able to connect with these people.
[00:30:07.780 --> 00:30:09.460]   And then you're going to be able to connect with these people.
[00:30:09.460 --> 00:30:11.020]   And then you're going to be able to connect with these people.
[00:30:11.020 --> 00:30:12.420]   And then you're going to be able to connect with these people.
[00:30:12.420 --> 00:30:13.940]   And then you're going to be able to connect with these people.
[00:30:13.940 --> 00:30:16.100]   And then you're going to be able to connect with these people.
[00:30:16.100 --> 00:30:17.620]   And then you're going to be able to connect with these people.
[00:30:17.620 --> 00:30:18.860]   And then you're going to be able to connect with these people.
[00:30:18.860 --> 00:30:42.860]   And then you're going to be able to connect with these people.
[00:30:42.860 --> 00:30:43.860]   And let me know.
[00:30:43.860 --> 00:30:50.260]   I mean, I have like this civilian commando gear.
[00:30:50.260 --> 00:30:55.020]   I've got this bear shaman, you know, mask helmet.
[00:30:55.020 --> 00:30:57.340]   Look, I have it, you know, whatever.
[00:30:57.340 --> 00:30:58.340]   You're raiding a building.
[00:30:58.340 --> 00:30:59.340]   Just let me know.
[00:30:59.340 --> 00:31:00.340]   Just going to collect dust.
[00:31:00.340 --> 00:31:01.340]   Just going to collect.
[00:31:01.340 --> 00:31:02.540]   I'm not using it, you know.
[00:31:02.540 --> 00:31:03.700]   I'm not using it.
[00:31:03.700 --> 00:31:05.660]   Let me know what could go wrong.
[00:31:05.660 --> 00:31:07.140]   I think everyone will forgive us.
[00:31:07.140 --> 00:31:09.220]   Yeah, that's a good turn.
[00:31:09.220 --> 00:31:10.220]   Yeah, good turn.
[00:31:10.220 --> 00:31:12.540]   Okay, so that, but here's what's cool about that advice though.
[00:31:12.540 --> 00:31:16.100]   Is like right now, if you're listening to this and you're thinking, you know what, this
[00:31:16.100 --> 00:31:17.460]   is me, I'm lonely.
[00:31:17.460 --> 00:31:20.460]   I'm online all the time and I'm feeling lonely.
[00:31:20.460 --> 00:31:21.500]   I have no backstop.
[00:31:21.500 --> 00:31:25.980]   This plan we're talking about, this is six months from right now, potentially to a very
[00:31:25.980 --> 00:31:27.100]   upgraded friend relationship.
[00:31:27.100 --> 00:31:31.580]   A month or so of self-reflection, you join things, get involved for a few months.
[00:31:31.580 --> 00:31:32.580]   That's it.
[00:31:32.580 --> 00:31:34.000]   Yeah, you do that.
[00:31:34.000 --> 00:31:37.460]   You're going to have at least a few new friends and then it's going to snowball from there,
[00:31:37.460 --> 00:31:40.820]   you know, and then like, well, this and some, you're going to tighten some friendships and
[00:31:40.820 --> 00:31:41.820]   others will loose.
[00:31:41.820 --> 00:31:43.300]   But that's it like six months from now.
[00:31:43.300 --> 00:31:45.500]   Uh, because it went fast for you, Jamie.
[00:31:45.500 --> 00:31:48.700]   So like give, give our listeners hope like six months from now, you really could be in
[00:31:48.700 --> 00:31:52.580]   a, a very positive social situation.
[00:31:52.580 --> 00:31:57.140]   Friendlines everything else, you know, it's like that builds you up.
[00:31:57.140 --> 00:31:59.780]   Um, so you become a more confident person.
[00:31:59.780 --> 00:32:02.960]   You being a more confident person leads to other things in your life.
[00:32:02.960 --> 00:32:07.700]   You know, I, this is very hard for me to say because I've been flamed by a lot of like
[00:32:07.700 --> 00:32:09.780]   constantly online people.
[00:32:09.780 --> 00:32:18.620]   But what I will say is like, while it is not healthy to only have these relationships online,
[00:32:18.620 --> 00:32:25.140]   clearly you're in, if you're listening to this, like you're intelligent, you're funny,
[00:32:25.140 --> 00:32:26.140]   right?
[00:32:26.140 --> 00:32:30.340]   Like, um, you make people laugh on Twitter or Reddit or whatever.
[00:32:30.340 --> 00:32:38.340]   Um, those skills that you have online, it's going to be nerve wracking at first, but they
[00:32:38.340 --> 00:32:44.500]   do translate, they do tra like if you can make people laugh online, you can make people
[00:32:44.500 --> 00:32:47.740]   laugh, um, in real life.
[00:32:47.740 --> 00:32:51.980]   It's just about building up that confidence and that's going to be a, you know, a step
[00:32:51.980 --> 00:32:54.840]   by step process and then show yourself grace.
[00:32:54.840 --> 00:32:59.840]   You know, um, if you do get nervous and you're like, oh, this is so stupid, you know, ever
[00:32:59.840 --> 00:33:04.060]   since I started reading, they were listening to self development podcasts or even with
[00:33:04.060 --> 00:33:10.860]   religion, um, the worst you can feel sometimes is before the breakthrough where you go, I'm
[00:33:10.860 --> 00:33:12.580]   doing the right stuff.
[00:33:12.580 --> 00:33:16.040]   Like I go to church now, why would I have a breakup?
[00:33:16.040 --> 00:33:17.040]   You know?
[00:33:17.040 --> 00:33:19.740]   Um, or I'm trying to make friends.
[00:33:19.740 --> 00:33:24.260]   I did everything Cal said and I showed up at the fights and I was too nervous and didn't
[00:33:24.260 --> 00:33:25.260]   say anything.
[00:33:25.260 --> 00:33:26.420]   I guess there's no hope.
[00:33:26.420 --> 00:33:27.420]   Nope.
[00:33:27.420 --> 00:33:28.420]   That's just the first step.
[00:33:28.420 --> 00:33:30.700]   And then the next time you're like, I'm going to talk a little more.
[00:33:30.700 --> 00:33:34.060]   And then the next time and you just keep piling on wins.
[00:33:34.060 --> 00:33:35.060]   Yep.
[00:33:35.060 --> 00:33:37.060]   And you look back and say, I'm glad I started right.
[00:33:37.060 --> 00:33:38.060]   Exactly.
[00:33:38.060 --> 00:33:39.060]   We did there.
[00:33:39.060 --> 00:33:40.060]   All right.
[00:33:40.060 --> 00:33:41.060]   Well, excellent.
[00:33:41.060 --> 00:33:42.060]   Well, this was great, Jamie.
[00:33:42.060 --> 00:33:46.060]   Um, just reminder for the audience, your podcast is the back row with Jamie Kilstein.
[00:33:46.060 --> 00:33:47.060]   What's that website, Jamie?
[00:33:47.060 --> 00:33:50.060]   Yeah, you can go to back row pod.com.
[00:33:50.060 --> 00:33:55.340]   Um, and there's the, the YouTube channel and I have a, I have a newsletter I do every week
[00:33:55.340 --> 00:33:58.460]   now where I'm writing about mental health and stuff like that.
[00:33:58.460 --> 00:34:03.020]   And, uh, yeah, we're talking about like the mental health spiritual journey, but also,
[00:34:03.020 --> 00:34:07.780]   um, they're getting a little more into like culture politics and trying to bring people
[00:34:07.780 --> 00:34:11.300]   together and laugh at the ridiculousness of it all.
[00:34:11.300 --> 00:34:12.300]   Yeah.
[00:34:12.300 --> 00:34:14.540]   Sounds, uh, with something to do with friends.
[00:34:14.540 --> 00:34:15.540]   All right, Jamie.
[00:34:15.540 --> 00:34:16.540]   Well, thanks for joining me.
[00:34:16.540 --> 00:34:20.500]   I look forward to talking to you again in four months.
[00:34:20.500 --> 00:34:21.500]   That's the way we do it.
[00:34:21.500 --> 00:34:22.500]   Bye old friend.
[00:34:22.500 --> 00:34:27.300]   Hey, if you liked this video, I think you'll really like this one as well.

