
[00:00:00.000 --> 00:00:01.080]   That's today's deep question.
[00:16:32.920 --> 00:16:37.560]   but it is a critical idea nonetheless.
[00:16:37.560 --> 00:16:38.960]   Your number one enemy
[00:16:38.960 --> 00:16:41.200]   to significantly decreasing your time
[00:16:41.200 --> 00:16:45.280]   is the need to have to monitor back and forth communication
[00:16:45.280 --> 00:16:47.560]   throughout all your business hours.
[00:16:47.560 --> 00:16:49.760]   So if the way your collaboration unfolds
[00:16:49.760 --> 00:16:51.580]   is through back and forth Slack and email,
[00:16:51.580 --> 00:16:54.080]   it is very difficult, for example,
[00:16:54.080 --> 00:16:55.560]   for you to stop work at two
[00:16:55.560 --> 00:16:57.200]   to go work on your giant animatronics
[00:16:57.200 --> 00:16:59.300]   because there's all of these ongoing conversations
[00:16:59.300 --> 00:17:01.060]   that you keep having to dip back into.
[00:17:01.060 --> 00:17:03.080]   In fact, you probably have to keep dipping back
[00:17:03.080 --> 00:17:05.540]   into those beyond normal work hours and into the weekend.
[00:17:05.540 --> 00:17:07.780]   So we have to kill as much as possible
[00:17:07.780 --> 00:17:09.680]   the need to have these unscheduled
[00:17:09.680 --> 00:17:10.900]   back and forth conversations
[00:17:10.900 --> 00:17:13.440]   at the core of your collaboration.
[00:17:13.440 --> 00:17:18.440]   You need to defer these asynchronous conversations
[00:17:18.440 --> 00:17:22.100]   to easy to access synchrony.
[00:17:22.100 --> 00:17:24.360]   A few ideas I've mentioned before,
[00:17:24.360 --> 00:17:26.260]   number one, office hours.
[00:17:26.260 --> 00:17:28.320]   You know I'm a huge advocate of this.
[00:17:28.320 --> 00:17:32.200]   Every day this hour, my phone is on, Zoom is on,
[00:17:32.200 --> 00:17:34.040]   I monitor this very specific Slack channel.
[00:17:34.040 --> 00:17:37.160]   It's like my name, office hours.
[00:17:37.160 --> 00:17:39.720]   And you just tell people as soon as an email
[00:17:39.720 --> 00:17:43.560]   or a conversation looks like it's about to instigate
[00:17:43.560 --> 00:17:45.240]   a long back and forth discussion
[00:17:45.240 --> 00:17:48.200]   that's just gonna happen asynchronously and haphazardly,
[00:17:48.200 --> 00:17:50.480]   you say, let's get into this.
[00:17:50.480 --> 00:17:52.000]   Any one of my upcoming office hours,
[00:17:52.000 --> 00:17:55.080]   just swing by, shoot me a call, jump on Zoom,
[00:17:55.080 --> 00:17:56.880]   and we'll go back and forth and figure this out.
[00:17:56.880 --> 00:17:58.640]   You could probably defer 50%
[00:17:58.640 --> 00:18:02.680]   of what would otherwise be ongoing asynchronous conversations.
[00:18:02.680 --> 00:18:05.880]   50% you could defer to these pre-scheduled office hours
[00:18:05.880 --> 00:18:07.720]   and dispatch with them.
[00:18:07.720 --> 00:18:10.080]   And again, if we wanna clear up a lot of time,
[00:18:10.080 --> 00:18:12.720]   we have to concentrate when this interaction happens.
[00:18:12.720 --> 00:18:16.240]   Standing group meetings is also important.
[00:18:16.240 --> 00:18:19.440]   This is an idea that's adapted from agile methodologies
[00:18:19.440 --> 00:18:21.880]   where they have this standing meeting every single morning.
[00:18:21.880 --> 00:18:24.240]   You don't need that, but if you work in a team or a group,
[00:18:24.240 --> 00:18:28.120]   have twice a week, a standing meeting, one hour long,
[00:18:28.120 --> 00:18:29.600]   where you deal with all your group issues,
[00:18:29.600 --> 00:18:32.160]   and you should have a shared document
[00:18:32.160 --> 00:18:34.960]   where people write down as it occurs to them,
[00:18:34.960 --> 00:18:36.160]   things that need to be discussed,
[00:18:36.160 --> 00:18:37.760]   decisions that need to be made,
[00:18:37.760 --> 00:18:39.120]   questions that need to be answered.
[00:18:39.120 --> 00:18:40.760]   They write it into the shared doc.
[00:18:40.760 --> 00:18:44.720]   And when you get to your next standing group meeting,
[00:18:44.720 --> 00:18:46.120]   you just go through that thing.
[00:18:46.120 --> 00:18:47.920]   All right, I wanna ask you about this, and what about this?
[00:18:47.920 --> 00:18:48.800]   And what are we doing about this?
[00:18:48.800 --> 00:18:49.680]   Can we check in on this?
[00:18:49.680 --> 00:18:51.600]   And I'm worried about that, and what happened to this report?
[00:18:51.600 --> 00:18:53.680]   And who's working on this, and what do you need?
[00:18:53.680 --> 00:18:56.120]   And everything gets taken care of.
[00:18:56.120 --> 00:19:00.400]   That's like another 30% of your otherwise
[00:19:00.400 --> 00:19:02.720]   asynchronous haphazard back and forth email conversations.
[00:19:02.720 --> 00:19:04.760]   Another 30% are out of your inbox,
[00:19:04.760 --> 00:19:06.280]   out of your chat channels,
[00:19:06.280 --> 00:19:09.960]   if you have a standing group meeting twice a week.
[00:19:09.960 --> 00:19:11.600]   Finally, ad hoc processes.
[00:19:11.600 --> 00:19:16.600]   This is the core idea in my book, "A World Without Email."
[00:19:16.600 --> 00:19:19.760]   Collaboration happens on a regular basis.
[00:19:19.760 --> 00:19:22.640]   You should have a process that everyone agrees on,
[00:19:22.640 --> 00:19:25.520]   and everyone will have a part in constructing
[00:19:25.520 --> 00:19:26.960]   that explains how information moves,
[00:19:26.960 --> 00:19:28.320]   and how you communicate,
[00:19:28.320 --> 00:19:30.640]   and prevents you from having to have unscheduled messages.
[00:19:30.640 --> 00:19:31.880]   So if something happens a lot,
[00:19:31.880 --> 00:19:34.200]   you eventually have to bite the bullet,
[00:19:34.200 --> 00:19:35.560]   and figure out that system
[00:19:35.560 --> 00:19:37.120]   where there's a shared spreadsheet,
[00:19:37.120 --> 00:19:39.640]   and you update the cell when you've updated the file,
[00:19:39.640 --> 00:19:42.320]   and the file goes into Google Drive somewhere,
[00:19:42.320 --> 00:19:45.120]   and on Wednesdays is when the designer takes the file,
[00:19:45.120 --> 00:19:47.040]   and edits it, and whatever.
[00:19:47.040 --> 00:19:49.080]   You figure out those processes that prevent you
[00:19:49.080 --> 00:19:51.600]   from having to wait until a message comes in,
[00:19:51.600 --> 00:19:54.160]   and then send a response.
[00:19:54.160 --> 00:19:57.120]   So synchrony traps, critical.
[00:19:57.120 --> 00:19:58.480]   All right, idea number two.
[00:19:59.440 --> 00:20:02.240]   Control your meeting availability.
[00:20:02.240 --> 00:20:05.640]   You are still, in most knowledge work jobs,
[00:20:05.640 --> 00:20:08.440]   even after you put in place sufficient quantity
[00:20:08.440 --> 00:20:11.160]   of synchrony traps, are gonna have one-off meetings.
[00:20:11.160 --> 00:20:14.480]   Hey, we need to talk about this new initiative.
[00:20:14.480 --> 00:20:17.400]   This client wants to have a conversation.
[00:20:17.400 --> 00:20:20.840]   Your boss needs to go over the new marketing request.
[00:20:20.840 --> 00:20:24.400]   I mean, these one-off meetings are, of course, unavoidable.
[00:20:24.400 --> 00:20:27.400]   If they can just metastasize all over your schedule,
[00:20:27.400 --> 00:20:31.000]   all over the place, that is the other major killer
[00:20:31.000 --> 00:20:34.020]   of the ability to reduce the footprint of your job.
[00:20:34.020 --> 00:20:36.260]   You'll wanna leave at two to work on those animatronics,
[00:20:36.260 --> 00:20:38.180]   but there's always that stupid three o'clock meeting
[00:20:38.180 --> 00:20:39.020]   that shows up.
[00:20:39.020 --> 00:20:40.160]   So we have to control the meetings,
[00:20:40.160 --> 00:20:44.140]   but we have to do so in a way that does not make you seem
[00:20:44.140 --> 00:20:46.000]   like a time miser or a curmudgeon,
[00:20:46.000 --> 00:20:47.160]   because that just annoys people,
[00:20:47.160 --> 00:20:48.560]   and then they're gonna throw more meetings at you
[00:20:48.560 --> 00:20:51.000]   just because you're on their nerves.
[00:20:51.000 --> 00:20:52.880]   So how do we do this?
[00:20:52.880 --> 00:20:54.640]   How do we control when our meetings happen
[00:20:54.640 --> 00:20:55.980]   without being annoying?
[00:20:57.120 --> 00:21:02.120]   You become overly helpful in setting up meetings.
[00:21:02.120 --> 00:21:07.840]   You have a scheduling system that's incredibly easy to use,
[00:21:07.840 --> 00:21:09.880]   and all of your availabilities are in it,
[00:21:09.880 --> 00:21:11.280]   and you just have to click a button,
[00:21:11.280 --> 00:21:12.860]   and you're good to go.
[00:21:12.860 --> 00:21:13.840]   That meeting, you'll be there.
[00:21:13.840 --> 00:21:15.080]   That meeting is booked.
[00:21:15.080 --> 00:21:18.640]   And you act incredibly felicitous when people ask you,
[00:21:18.640 --> 00:21:19.480]   like, "Hey, can we do a meeting?"
[00:21:19.480 --> 00:21:20.320]   You're like, "Of course.
[00:21:20.320 --> 00:21:22.840]   In fact, I have all of my availabilities in this system."
[00:21:22.840 --> 00:21:24.600]   You just, any time that works for you,
[00:21:24.600 --> 00:21:27.680]   you just click on whenever it's gonna work best for you.
[00:21:27.680 --> 00:21:29.040]   And if you need to coordinate with Bob,
[00:21:29.040 --> 00:21:30.400]   you guys just pick any of these things.
[00:21:30.400 --> 00:21:31.640]   I'm open all these times.
[00:21:31.640 --> 00:21:33.200]   I wanna, let's definitely meet.
[00:21:33.200 --> 00:21:34.200]   I've got the best system.
[00:21:34.200 --> 00:21:36.080]   I'm Mr. Bring me to a meeting.
[00:21:36.080 --> 00:21:37.240]   Here's the thing, though.
[00:21:37.240 --> 00:21:40.600]   You control, then, what those available times are
[00:21:40.600 --> 00:21:41.920]   from the outset.
[00:21:41.920 --> 00:21:44.840]   So then you seed this meeting system
[00:21:44.840 --> 00:21:49.500]   to keep major swaths of your day protected from meetings.
[00:21:49.500 --> 00:21:53.040]   Now, what you have to do, and here's the stealthness,
[00:21:53.040 --> 00:21:55.320]   if you're too consistent,
[00:21:55.320 --> 00:21:57.680]   if it doesn't look sufficiently random,
[00:21:57.680 --> 00:21:59.720]   it will attract a red flag.
[00:21:59.720 --> 00:22:02.440]   So if you say, and this is a simple rule,
[00:22:02.440 --> 00:22:05.120]   meetings until one, no meetings after one,
[00:22:05.120 --> 00:22:08.320]   because I'm training for my marathon
[00:22:08.320 --> 00:22:10.240]   or building my Halloween animatronic,
[00:22:10.240 --> 00:22:12.260]   that's too noticeable of a pattern.
[00:22:12.260 --> 00:22:14.040]   So now I'm your boss.
[00:22:14.040 --> 00:22:15.360]   I'm always suspicious people are trying
[00:22:15.360 --> 00:22:16.840]   to pull one over on me.
[00:22:16.840 --> 00:22:18.600]   And you say, "Oh yeah, please, I'd love to meet you.
[00:22:18.600 --> 00:22:19.440]   Pick a time."
[00:22:19.440 --> 00:22:21.560]   You say, "Wait a second.
[00:22:21.560 --> 00:22:24.320]   Every single afternoon has no times.
[00:22:24.320 --> 00:22:25.720]   I call shenanigans.
[00:22:25.720 --> 00:22:27.120]   I am in meetings in the afternoon.
[00:22:27.120 --> 00:22:29.180]   You should be too, you know, what is this?"
[00:22:29.180 --> 00:22:32.200]   So what you do is you take two days and you flip it.
[00:22:32.200 --> 00:22:34.820]   So maybe Monday, Wednesday, Fridays,
[00:22:34.820 --> 00:22:36.680]   you only show availabilities in the morning.
[00:22:36.680 --> 00:22:39.020]   Tuesday, Thursdays, you show availabilities
[00:22:39.020 --> 00:22:40.180]   mainly in the afternoon.
[00:22:40.180 --> 00:22:43.020]   You throw a rogue meeting here and there.
[00:22:43.020 --> 00:22:44.880]   Maybe on a morning where you're not scheduling meetings,
[00:22:44.880 --> 00:22:47.500]   you throw a rogue one kind of later in the morning.
[00:22:47.500 --> 00:22:49.120]   That looks sufficiently random that it's,
[00:22:49.120 --> 00:22:51.000]   "Hey, this guy's got a lot of availability
[00:22:51.000 --> 00:22:52.320]   and there's no particular pattern here."
[00:22:52.320 --> 00:22:53.880]   But you are absolutely controlling it.
[00:22:53.880 --> 00:22:57.360]   So by taking control of getting out in front of,
[00:22:57.360 --> 00:22:58.440]   "I wanna schedule this.
[00:22:58.440 --> 00:22:59.280]   I love it.
[00:22:59.280 --> 00:23:00.100]   Let's meet.
[00:23:00.100 --> 00:23:02.800]   I love meetings, you know, and here's all my availability.
[00:23:02.800 --> 00:23:04.200]   I'll just show you for the next month."
[00:23:04.200 --> 00:23:05.720]   And you just choose all the times you want.
[00:23:05.720 --> 00:23:07.840]   It actually gives you, ironically,
[00:23:07.840 --> 00:23:10.400]   allows you to way reduce the impact of meetings
[00:23:10.400 --> 00:23:13.120]   if you make it easier to schedule one with you.
[00:23:13.120 --> 00:23:15.000]   All right, idea number three,
[00:23:15.000 --> 00:23:18.840]   you really have to sell processes.
[00:23:18.840 --> 00:23:20.320]   So we mentioned this in the synchrony trap
[00:23:20.320 --> 00:23:22.960]   that any type of collaborative work you do regularly
[00:23:22.960 --> 00:23:25.480]   should have some sort of system or process in place.
[00:23:25.480 --> 00:23:27.640]   Well, idea three says you should really focus
[00:23:27.640 --> 00:23:32.120]   on selling this to the people you work with.
[00:23:32.120 --> 00:23:36.840]   It is easier to just rock and roll on email and Slack.
[00:23:36.840 --> 00:23:38.880]   In the moment, that is always easier
[00:23:38.880 --> 00:23:41.680]   because if I just type this nonsense,
[00:23:41.680 --> 00:23:46.240]   ambiguous soup of email annoyance and hit send,
[00:23:46.240 --> 00:23:49.000]   this may be injecting, you know,
[00:23:49.000 --> 00:23:51.280]   a syringe full of headache into everyone else's life
[00:23:51.280 --> 00:23:52.720]   for the next week, but in the moment,
[00:23:52.720 --> 00:23:54.600]   it gets the thing off my plate.
[00:23:54.600 --> 00:23:56.000]   It's out of my mind.
[00:23:56.000 --> 00:23:59.440]   You know, it's, "Uh, client bad meeting.
[00:23:59.440 --> 00:24:04.360]   No good thoughts, question mark, lol, emoticon, send."
[00:24:04.360 --> 00:24:06.360]   And like that thing is out of my head,
[00:24:06.360 --> 00:24:07.680]   even though I've just created a huge headache
[00:24:07.680 --> 00:24:08.520]   for everyone else.
[00:24:08.520 --> 00:24:09.360]   'Cause like, I don't know what to do with this.
[00:24:09.360 --> 00:24:11.120]   I mean, are we gonna do a meeting?
[00:24:11.120 --> 00:24:11.960]   When are we gonna do a meeting?
[00:24:11.960 --> 00:24:13.040]   What's the actual issue?
[00:24:13.040 --> 00:24:15.200]   And so it's always easier for everyone in the moment
[00:24:15.200 --> 00:24:17.720]   to just, let's just rock and roll on Slack, come on.
[00:24:17.720 --> 00:24:21.040]   So you have to sell processes as an alternative.
[00:24:21.040 --> 00:24:23.600]   You gotta get buy-in from people.
[00:24:23.600 --> 00:24:24.800]   Let's work on this together.
[00:24:24.800 --> 00:24:25.640]   Here's what I think.
[00:24:25.640 --> 00:24:27.840]   If we use the shared doc and agree that Wednesday nights
[00:24:27.840 --> 00:24:29.840]   is when we review the documents, whatever.
[00:24:29.840 --> 00:24:32.520]   You gotta get buy-in from everyone involved.
[00:24:32.520 --> 00:24:34.520]   Make it seem like they were a part of that process.
[00:24:34.520 --> 00:24:37.160]   Do not just come in and say, "This is what we're doing now.
[00:24:37.160 --> 00:24:38.640]   This would be better."
[00:24:38.640 --> 00:24:41.200]   Don't brandish my book and just say, you know,
[00:24:41.200 --> 00:24:44.080]   "Father Cowell says that we should use Trello."
[00:24:44.080 --> 00:24:45.520]   Get buy-in.
[00:24:45.520 --> 00:24:47.280]   That's part of selling processes.
[00:24:47.280 --> 00:24:50.240]   Two, offer escape valves.
[00:24:50.240 --> 00:24:52.400]   Psychology 101.
[00:24:52.400 --> 00:24:55.320]   People are worried about processes that move them away
[00:24:55.320 --> 00:24:56.720]   from the hyperactive hive mind
[00:24:56.720 --> 00:25:00.560]   because they will come up with scenarios.
[00:25:00.560 --> 00:25:04.640]   Hey, we have this system now where we process client requests
[00:25:04.640 --> 00:25:06.520]   on Tuesdays and Thursdays.
[00:25:06.520 --> 00:25:10.520]   But what if a request comes in on a client on Monday
[00:25:10.520 --> 00:25:14.800]   that says, you know, "I'm being held hostage by a terrorist
[00:25:14.800 --> 00:25:18.040]   that has surrounded the local orphanage with a bomb
[00:25:18.040 --> 00:25:21.160]   and will explode it unless within the next hour
[00:25:21.160 --> 00:25:24.600]   we get responses to this doodle pool."
[00:25:24.600 --> 00:25:26.040]   And they're really worried about these scenarios.
[00:25:26.040 --> 00:25:27.160]   And if we have to wait till Tuesday,
[00:25:27.160 --> 00:25:29.080]   the orphanage blows up and all the kids die.
[00:25:29.080 --> 00:25:32.200]   So what you do is you say, "Yeah, but we have an escape valve.
[00:25:32.200 --> 00:25:34.240]   Here's my number. It's my cell number.
[00:25:34.240 --> 00:25:36.040]   It's with me all the time."
[00:25:36.040 --> 00:25:38.760]   You just call that if there's something that we can't --
[00:25:38.760 --> 00:25:40.040]   we have to get out of the process.
[00:25:40.040 --> 00:25:41.640]   Something is urgent. We gotta get out of here.
[00:25:41.640 --> 00:25:43.520]   You just call that number and I'll answer it.
[00:25:43.520 --> 00:25:45.960]   You don't have to worry. We will save those kids.
[00:25:45.960 --> 00:25:47.880]   They will never call it.
[00:25:47.880 --> 00:25:49.280]   No one wants to call, like,
[00:25:49.280 --> 00:25:50.600]   "I'll just wait till the next meeting."
[00:25:50.600 --> 00:25:53.240]   But it gives psychological cover.
[00:25:53.240 --> 00:25:55.000]   Even if something bad happens,
[00:25:55.000 --> 00:25:58.800]   this process won't force us into an unforced error.
[00:25:58.800 --> 00:26:01.400]   So escape valves are a great part of selling processes.
[00:26:01.400 --> 00:26:04.120]   So you don't just need alternatives
[00:26:04.120 --> 00:26:04.960]   to the hyperactive hive mind.
[00:26:04.960 --> 00:26:06.760]   You got to put in a lot of effort
[00:26:06.760 --> 00:26:08.240]   to sell them to the people around you,
[00:26:08.240 --> 00:26:10.800]   the people who are going to use them with you.
[00:26:10.800 --> 00:26:12.960]   All right, idea four,
[00:26:12.960 --> 00:26:17.880]   trade accountability for accessibility.
[00:26:17.880 --> 00:26:20.200]   All right, so this is where
[00:26:20.200 --> 00:26:22.120]   you are essentially making a trade,
[00:26:22.120 --> 00:26:23.280]   and it's not a costless trade.
[00:26:23.280 --> 00:26:24.440]   There's some risk here.
[00:26:24.440 --> 00:26:26.720]   But you're making a trade with your employer
[00:26:26.720 --> 00:26:30.360]   where you say, "I'm going to work on this important thing.
[00:26:30.360 --> 00:26:32.160]   My success or failure on this effort
[00:26:32.160 --> 00:26:33.600]   is going to be easy to measure.
[00:26:33.600 --> 00:26:36.040]   So if I fail, you know it, and we'll have a problem.
[00:26:36.040 --> 00:26:38.040]   But if I succeed, it'll be good.
[00:26:38.040 --> 00:26:39.960]   And so I will be accountable for this,
[00:26:39.960 --> 00:26:43.200]   but you're going to have to give up some accessibility.
[00:26:43.200 --> 00:26:46.040]   I'm going away to work on this big, important thing.
[00:26:46.040 --> 00:26:47.040]   And if I fail at it,
[00:26:47.040 --> 00:26:51.000]   then maybe I'm going to have some issues at this job.
[00:26:51.000 --> 00:26:52.640]   But as long as I'm succeeding,
[00:26:52.640 --> 00:26:55.400]   you're going to let me go off and do this thing."
[00:26:55.400 --> 00:26:57.120]   So one of the nice things about the alternative
[00:26:57.120 --> 00:26:58.920]   of just being plugged into the hyperactive hive mind
[00:26:58.920 --> 00:27:00.760]   is you don't really have that accountability.
[00:27:00.760 --> 00:27:02.360]   You have the sense of stability.
[00:27:02.360 --> 00:27:03.320]   As long as you're willing to just,
[00:27:03.320 --> 00:27:05.720]   I'm in here, I'm jumping on Zoom, I'm doing doodle polls,
[00:27:05.720 --> 00:27:07.120]   I'm answering emails in Slack,
[00:27:07.120 --> 00:27:10.640]   and it just seems like, look, Cal is here, he's busy,
[00:27:10.640 --> 00:27:12.200]   he's always involved in things.
[00:27:12.200 --> 00:27:13.920]   So I guess he's doing fine.
[00:27:13.920 --> 00:27:16.120]   Like your job feels secure.
[00:27:16.120 --> 00:27:18.320]   When you instead say, "I'm going to give that all up,
[00:27:18.320 --> 00:27:19.520]   but hold me accountable
[00:27:19.520 --> 00:27:22.240]   on actually producing something that sells,"
[00:27:22.240 --> 00:27:27.240]   you're leaving the obfuscating comfort of the hyperactivity
[00:27:27.240 --> 00:27:29.600]   to make you and your activity very clear.
[00:27:29.600 --> 00:27:31.280]   And you're trading that.
[00:27:31.280 --> 00:27:33.520]   You're trading the risk involved in that
[00:27:33.520 --> 00:27:36.520]   for less accessibility.
[00:27:36.520 --> 00:27:37.680]   So a couple advanced tips
[00:27:37.680 --> 00:27:40.120]   about how you trade accountability for accessibility.
[00:27:40.120 --> 00:27:44.360]   This is often a good parry of a potential promotion.
[00:27:44.360 --> 00:27:46.040]   So if you've been doing really well,
[00:27:46.040 --> 00:27:47.960]   maybe you've read my book, "So Good They Can't Ignore You,"
[00:27:47.960 --> 00:27:49.200]   and you're deliberately practicing
[00:27:49.200 --> 00:27:51.000]   and building up career capital.
[00:27:51.000 --> 00:27:51.840]   If you've been doing really well and like,
[00:27:51.840 --> 00:27:52.960]   "Look, we want to promote you.
[00:27:52.960 --> 00:27:54.600]   Like, you're killing it."
[00:27:54.600 --> 00:27:57.200]   That's a great time to parry into an accountability play.
[00:27:57.200 --> 00:27:58.600]   You say, "Actually, I don't want to move up
[00:27:58.600 --> 00:28:02.680]   to the next level and put up to three people
[00:28:02.680 --> 00:28:03.520]   working under you."
[00:28:03.520 --> 00:28:04.520]   That's an OfficeSpace reference
[00:28:04.520 --> 00:28:08.600]   for those who recognize the movie.
[00:28:08.600 --> 00:28:11.200]   You don't want to move up and have more responsibility,
[00:28:11.200 --> 00:28:12.920]   but you do want to get some return
[00:28:12.920 --> 00:28:15.200]   off of this career capital that you've acquired.
[00:28:15.200 --> 00:28:16.360]   This is a great parry.
[00:28:16.360 --> 00:28:18.440]   No, I don't want to take that next management role.
[00:28:18.440 --> 00:28:20.640]   What I want to do instead is really focus my attention
[00:28:20.640 --> 00:28:23.640]   on this type of work that we do,
[00:28:23.640 --> 00:28:26.080]   and we'll set up a one-on-one relationship
[00:28:26.080 --> 00:28:27.480]   with one particular supervisor.
[00:28:27.480 --> 00:28:28.360]   I'll check in every week,
[00:28:28.360 --> 00:28:29.320]   and here's how it's going to happen.
[00:28:29.320 --> 00:28:32.000]   And you've just freed yourself from the normal flow
[00:28:32.000 --> 00:28:33.520]   of seven different projects
[00:28:33.520 --> 00:28:35.080]   and all the different meetings and communication
[00:28:35.080 --> 00:28:36.840]   that comes with it.
[00:28:36.840 --> 00:28:41.480]   Another advanced tip ties extra salary to performance.
[00:28:41.480 --> 00:28:42.880]   So it's a way of saying,
[00:28:42.880 --> 00:28:44.640]   "If I do really well, I get paid better."
[00:28:44.640 --> 00:28:46.640]   That's a better way for your salary to go up
[00:28:46.640 --> 00:28:48.840]   in some circumstances than instead just, again,
[00:28:48.840 --> 00:28:50.640]   doing a generic promotion where you have to,
[00:28:50.640 --> 00:28:53.680]   I have to work up this ladder and have the salary increase
[00:28:53.680 --> 00:28:55.640]   with the hyperactivity of my life.
[00:28:55.640 --> 00:28:58.520]   Instead, you say, "If I kill it, I'll kill it in my salary.
[00:28:58.520 --> 00:29:01.520]   And if I don't, I might have a tough year."
[00:29:01.520 --> 00:29:02.360]   People like that.
[00:29:02.360 --> 00:29:04.080]   They feel like skin's in the game.
[00:29:04.080 --> 00:29:06.080]   Somehow from the employer's perspective,
[00:29:06.080 --> 00:29:07.600]   risk seems mitigated.
[00:29:07.600 --> 00:29:09.480]   Advanced tip number three,
[00:29:09.480 --> 00:29:14.280]   you might even consider the management consultant schedule.
[00:29:14.280 --> 00:29:16.040]   So the management consultant schedule
[00:29:16.040 --> 00:29:18.640]   is typically you're on site Monday to Thursday,
[00:29:18.640 --> 00:29:21.880]   and then you're back at the mothership office on Fridays.
[00:29:21.880 --> 00:29:24.800]   That's what if you work at McKinsey, for example,
[00:29:24.800 --> 00:29:26.820]   is what your schedule's often like.
[00:29:26.820 --> 00:29:28.360]   If you've made one of these plays,
[00:29:28.360 --> 00:29:30.300]   I want to trade accountability for accessibility,
[00:29:30.300 --> 00:29:32.840]   this could be part of what you offer.
[00:29:32.840 --> 00:29:35.480]   On Fridays, I'll be around at the office.
[00:29:35.480 --> 00:29:37.080]   Any type of meetings that need to happen
[00:29:37.080 --> 00:29:38.960]   that might be tangentially relevant,
[00:29:38.960 --> 00:29:40.160]   like we can do them on Fridays,
[00:29:40.160 --> 00:29:41.760]   you can come chat with me in my office.
[00:29:41.760 --> 00:29:43.880]   I'll be there on Fridays.
[00:29:43.880 --> 00:29:46.000]   But Monday through Thursdays, don't really expect much.
[00:29:46.000 --> 00:29:47.560]   I'm working on whatever,
[00:29:47.560 --> 00:29:50.360]   building out the new marketing engine
[00:29:50.360 --> 00:29:51.600]   for our Halloween animatronics.
[00:29:51.600 --> 00:29:53.960]   Leave me alone, but I'll be here on Friday.
[00:29:53.960 --> 00:29:58.440]   So you might even suggest a very specific schedule
[00:29:58.440 --> 00:30:01.680]   of accessibility, make that all really plain.
[00:30:01.680 --> 00:30:04.380]   All right, now idea number five
[00:30:04.380 --> 00:30:05.900]   for significantly decreasing the footprint
[00:30:05.900 --> 00:30:10.040]   of your remote work job, crush one thing per month.
[00:30:10.040 --> 00:30:16.100]   Systematic, deliberate, relentless, deep work day after day,
[00:30:16.100 --> 00:30:17.860]   maybe just one or two hours a day
[00:30:17.860 --> 00:30:19.360]   on something really valuable.
[00:30:19.360 --> 00:30:21.420]   So on a regular basis,
[00:30:21.420 --> 00:30:23.900]   you're actually producing something great.
[00:30:23.900 --> 00:30:26.620]   Why is this important for gaining more time?
[00:30:26.620 --> 00:30:30.060]   Because you get so much breathing room.
[00:30:30.060 --> 00:30:33.420]   They give you so much rope to work with
[00:30:33.420 --> 00:30:35.580]   when you're crushing it.
[00:30:35.580 --> 00:30:38.580]   When you're producing really great stuff,
[00:30:38.580 --> 00:30:42.820]   you gain much more autonomy over how your job unfolds.
[00:30:42.820 --> 00:30:45.300]   If you're, by contrast, unreliable,
[00:30:45.300 --> 00:30:46.700]   if things fall through the cracks
[00:30:46.700 --> 00:30:48.160]   when they hand them to you,
[00:30:48.160 --> 00:30:49.740]   if you haven't really done anything of note
[00:30:49.740 --> 00:30:51.340]   in the last two or three years,
[00:30:51.340 --> 00:30:53.080]   you're under suspicion,
[00:30:53.080 --> 00:30:55.340]   and the leash is gonna be tightened.
[00:30:55.340 --> 00:30:57.500]   And every time you're late answering an email,
[00:30:57.500 --> 00:30:58.660]   every time you go an afternoon
[00:30:58.660 --> 00:30:59.500]   without them hearing from you,
[00:30:59.500 --> 00:31:01.100]   they get more and more worried and suspicious.
[00:31:01.100 --> 00:31:02.020]   And what is this guy doing?
[00:31:02.020 --> 00:31:03.060]   Is he building animatronics?
[00:31:03.060 --> 00:31:03.940]   What's happening here?
[00:31:03.940 --> 00:31:05.180]   But if you're crushing it every month,
[00:31:05.180 --> 00:31:08.540]   they're like, this is great, Cal's on it.
[00:31:08.540 --> 00:31:10.820]   So ironically, by working harder,
[00:31:10.820 --> 00:31:13.020]   at least on one project a month
[00:31:13.020 --> 00:31:14.320]   and giving intense attention,
[00:31:14.320 --> 00:31:16.660]   you can actually reduce the total amount of time
[00:31:16.660 --> 00:31:18.100]   you have to work.
[00:31:18.100 --> 00:31:18.980]   My friend Adam Grant,
[00:31:18.980 --> 00:31:20.620]   the Wharton professor and business author,
[00:31:20.620 --> 00:31:23.500]   calls these idiosyncrasy credits.
[00:31:23.500 --> 00:31:25.100]   If you do things really well,
[00:31:25.100 --> 00:31:29.100]   you gain the ability to be more idiosyncratic
[00:31:29.100 --> 00:31:30.860]   about how you work.
[00:31:30.860 --> 00:31:32.740]   If you're not doing things really well,
[00:31:32.740 --> 00:31:34.020]   you lose those credits.
[00:31:34.020 --> 00:31:37.460]   And so if I'm super valuable,
[00:31:37.460 --> 00:31:39.900]   and I wanna focus on just one area
[00:31:39.900 --> 00:31:41.340]   and only come in on Fridays
[00:31:41.340 --> 00:31:43.540]   and have these weird processes
[00:31:43.540 --> 00:31:45.060]   for the few other things we do,
[00:31:45.060 --> 00:31:46.820]   if I'm killing it, like whatever.
[00:31:46.820 --> 00:31:49.380]   If I'm not, you say, yeah, right.
[00:31:49.380 --> 00:31:52.100]   So you kinda earn your way,
[00:31:52.100 --> 00:31:54.060]   you'll work your way into working less.
[00:31:55.020 --> 00:31:57.420]   Now, I think the issue people often have here
