
[00:00:00.040 --> 00:00:10.500]   Bou just in the
[00:23:15.080 --> 00:23:15.080]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:15.080 --> 00:23:15.080]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:15.080 --> 00:23:15.080]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:15.080 --> 00:23:15.080]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:15.080 --> 00:23:15.080]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:15.080 --> 00:23:15.080]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:15.080 --> 00:23:15.080]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:15.100 --> 00:23:45.100]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:45.100 --> 00:23:45.100]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:45.100 --> 00:23:45.100]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:45.100 --> 00:23:45.100]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:45.100 --> 00:23:45.100]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:45.100 --> 00:23:45.100]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:45.100 --> 00:23:45.100]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:45.100 --> 00:23:45.100]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:45.100 --> 00:23:45.100]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:45.100 --> 00:23:45.100]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:45.100 --> 00:23:45.100]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:45.100 --> 00:23:45.100]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:45.140 --> 00:24:15.120]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:15.120 --> 00:24:15.120]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:15.120 --> 00:24:15.120]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:15.120 --> 00:24:15.120]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:15.120 --> 00:24:15.120]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:15.120 --> 00:24:15.120]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:15.120 --> 00:24:15.120]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:15.120 --> 00:24:15.120]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:15.120 --> 00:24:15.120]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:15.140 --> 00:24:45.140]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:45.140 --> 00:24:45.140]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:45.140 --> 00:24:45.140]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:45.140 --> 00:24:45.140]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:45.140 --> 00:24:45.140]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:45.140 --> 00:24:45.140]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:45.140 --> 00:24:45.140]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:45.140 --> 00:24:45.140]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:45.140 --> 00:24:45.140]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:45.140 --> 00:24:45.140]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:45.140 --> 00:24:45.140]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:45.140 --> 00:24:45.140]   You can buy a cheap AR-15 as an entry-level weapon.
[00:24:45.180 --> 00:25:15.160]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:15.160 --> 00:25:15.160]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:15.160 --> 00:25:15.160]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:15.160 --> 00:25:15.160]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:15.160 --> 00:25:15.160]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:15.160 --> 00:25:15.160]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:15.160 --> 00:25:15.160]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:15.160 --> 00:25:15.160]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:15.160 --> 00:25:15.160]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:15.180 --> 00:25:45.180]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:45.180 --> 00:25:45.180]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:45.180 --> 00:25:45.180]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:45.180 --> 00:25:45.180]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:45.180 --> 00:25:45.180]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:45.180 --> 00:25:45.180]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:45.180 --> 00:25:45.180]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:45.180 --> 00:25:45.180]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:45.180 --> 00:25:45.180]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:45.180 --> 00:25:45.180]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:45.180 --> 00:25:45.180]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:45.180 --> 00:25:45.180]   You can buy a cheap AR-15 as an entry-level weapon.
[00:25:45.200 --> 00:26:15.200]   You can buy a cheap AR-15 as an entry-level weapon.
[00:26:15.200 --> 00:26:15.200]   You can buy a cheap AR-15 as an entry-level weapon.
[00:26:15.200 --> 00:26:15.200]   You can buy a cheap AR-15 as an entry-level weapon.
[00:26:15.200 --> 00:26:15.200]   You can buy a cheap AR-15 as an entry-level weapon.
[00:26:15.200 --> 00:26:15.200]   You can buy a cheap AR-15 as an entry-level weapon.
[00:26:15.200 --> 00:26:15.200]   You can buy a cheap AR-15 as an entry-level weapon.
[00:26:15.200 --> 00:26:15.200]   You can buy a cheap AR-15 as an entry-level weapon.
[00:26:15.200 --> 00:26:15.200]   You can buy a cheap AR-15 as an entry-level weapon.
[00:26:15.200 --> 00:26:15.200]   You can buy a cheap AR-15 as an entry-level weapon.
[00:26:15.200 --> 00:26:45.220]  ,
[00:26:45.220 --> 00:26:45.220]   and you've got a completely different gun that doesn't require any tools to set up
[00:26:45.220 --> 00:26:45.220]   and you've got a completely different gun that doesn't require any tools to set up
[00:26:45.220 --> 00:26:45.220]   and you've got a completely different gun that doesn't require any tools to set up
[00:26:45.220 --> 00:26:45.220]   and you've got a completely different gun that doesn't require any tools to set up
[00:26:45.220 --> 00:26:45.220]   and you've got a completely different gun that doesn't require any tools to set up
[00:26:45.220 --> 00:26:45.220]   and you've got a completely different gun that doesn't require any tools to set up
[00:26:45.220 --> 00:26:45.220]   and you've got a completely different gun that doesn't require any tools to set up
[00:26:45.220 --> 00:26:45.220]   and you've got a completely different weapon that doesn't require any tools to set up
[00:26:45.240 --> 00:27:15.240]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:15.240 --> 00:27:15.240]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:15.240 --> 00:27:15.240]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:15.240 --> 00:27:15.240]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:15.240 --> 00:27:15.240]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:15.240 --> 00:27:15.240]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:15.240 --> 00:27:15.240]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:15.240 --> 00:27:15.240]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:15.240 --> 00:27:15.240]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:15.240 --> 00:27:15.240]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:15.240 --> 00:27:15.240]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:15.240 --> 00:27:15.240]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:15.280 --> 00:27:45.260]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:45.260 --> 00:27:45.260]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:45.260 --> 00:27:45.260]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:45.260 --> 00:27:45.260]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:45.260 --> 00:27:45.260]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:45.260 --> 00:27:45.260]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:45.260 --> 00:27:45.260]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:45.260 --> 00:27:45.260]   You can buy a cheap AR-15 as an entry-level weapon.
[00:27:45.280 --> 00:28:15.280]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:15.280 --> 00:28:15.280]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:15.280 --> 00:28:15.280]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:15.280 --> 00:28:15.280]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:15.280 --> 00:28:15.280]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:15.280 --> 00:28:15.280]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:15.280 --> 00:28:15.280]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:15.280 --> 00:28:15.280]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:15.280 --> 00:28:15.280]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:15.280 --> 00:28:15.280]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:15.280 --> 00:28:15.280]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:15.280 --> 00:28:15.280]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:15.300 --> 00:28:45.300]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:45.300 --> 00:28:45.300]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:45.300 --> 00:28:45.300]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:45.300 --> 00:28:45.300]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:45.300 --> 00:28:45.300]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:45.300 --> 00:28:45.300]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:45.300 --> 00:28:45.300]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:45.300 --> 00:28:45.300]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:45.300 --> 00:28:45.300]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:45.300 --> 00:28:45.300]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:45.300 --> 00:28:45.300]   You can buy a cheap AR-15 as an entry-level weapon.
[00:28:45.300 --> 00:29:15.320]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:15.320 --> 00:29:15.320]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:15.320 --> 00:29:15.320]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:15.320 --> 00:29:15.320]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:15.320 --> 00:29:15.320]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:15.320 --> 00:29:15.320]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:15.320 --> 00:29:15.320]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:15.320 --> 00:29:15.320]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:15.320 --> 00:29:15.320]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:15.340 --> 00:29:45.340]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:45.340 --> 00:29:45.340]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:45.340 --> 00:29:45.340]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:45.340 --> 00:29:45.340]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:45.340 --> 00:29:45.340]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:45.340 --> 00:29:45.340]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:45.340 --> 00:29:45.340]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:45.340 --> 00:29:45.340]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:45.340 --> 00:29:45.340]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:45.340 --> 00:29:45.340]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:45.340 --> 00:29:45.340]   You can buy a cheap AR-15 as an entry-level weapon.
[00:29:45.340 --> 00:29:45.340]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:15.360 --> 00:30:15.360]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:15.360 --> 00:30:15.360]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:15.360 --> 00:30:15.360]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:15.360 --> 00:30:15.360]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:15.360 --> 00:30:15.360]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:15.360 --> 00:30:15.360]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:15.360 --> 00:30:15.360]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:15.360 --> 00:30:15.360]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:15.360 --> 00:30:15.360]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:45.360 --> 00:30:45.380]  Mm.
[00:30:45.380 --> 00:30:45.380]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:45.380 --> 00:30:45.380]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:45.380 --> 00:30:45.380]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:45.380 --> 00:30:45.380]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:45.380 --> 00:30:45.380]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:45.380 --> 00:30:45.380]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:45.380 --> 00:30:45.380]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:45.380 --> 00:30:45.380]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:45.380 --> 00:30:45.380]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:45.380 --> 00:30:45.380]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:45.380 --> 00:30:45.380]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:45.380 --> 00:30:45.380]   You can buy a cheap AR-15 as an entry-level weapon.
[00:30:45.380 --> 00:31:15.400]   You can buy a cheap AR-15 as an entry-level weapon.
[00:31:15.400 --> 00:31:15.400]   You can buy a cheap AR-15 as an entry-level weapon.
[00:31:15.400 --> 00:31:15.400]   You can buy a cheap AR-15 as an entry-level weapon.
[00:31:15.400 --> 00:31:15.400]   You can buy a cheap AR-15 as an entry-level weapon.
[00:31:15.400 --> 00:31:15.400]   You can buy a cheap AR-15 as an entry-level weapon.
[00:31:15.400 --> 00:31:15.400]   You can buy a cheap AR-15 as an entry-level weapon.
[00:31:15.400 --> 00:31:15.400]   You can buy a cheap AR-15 as an entry-level weapon.
[00:31:15.420 --> 00:31:45.420]   It's much more likely, if you survey the political landscape,
[00:31:45.420 --> 00:31:45.420]   It's much more likely that there's going to be more restrictions in the future than less.
[00:31:45.420 --> 00:31:45.420]   It's much more likely that there's going to be more restrictions in the future than less.
[00:31:45.420 --> 00:31:45.420]   It's much more likely that there's going to be more restrictions in the future than less.
[00:31:45.420 --> 00:31:45.420]   It's much more likely that there's going to be more restrictions in the future than less.
[00:31:45.420 --> 00:31:45.420]   It's much more likely that there's going to be more restrictions in the future than less.
[00:31:45.420 --> 00:31:45.420]   It's much more likely that there's going to be more restrictions in the future than less.
[00:31:45.420 --> 00:31:45.420]   Even if there are less, it's not really going to change the value.
[00:31:45.420 --> 00:31:45.420]   Even if there are less, it's not really going to change the value.
[00:31:45.420 --> 00:31:45.420]   And so in many ways you can look at this as simply future-proofing yourself,
[00:31:45.420 --> 00:31:45.420]   And so in many ways you can look at this as simply future-proofing yourself,
[00:31:45.440 --> 00:32:15.440]   in which case you can go buy these lower receivers.
[00:32:15.440 --> 00:32:15.440]   And so in many ways you can look at this as simply future-proofing yourself,
[00:32:15.440 --> 00:32:15.440]   And so in many ways you can look at this as simply future-proofing yourself,
[00:32:15.440 --> 00:32:15.440]   And so in many ways you can look at this as simply future-proofing yourself,
[00:32:15.440 --> 00:32:15.440]   And so in many ways you can look at this as simply future-proofing yourself,
[00:32:15.440 --> 00:32:15.440]   And so in many ways you can look at this as simply future-proofing yourself,
[00:32:15.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:32:45.460]   You can look at this as simply future-proofing yourself,
[00:32:45.460 --> 00:33:15.480]   You can look at this as simply future-proofing yourself,
[00:33:15.480 --> 00:33:15.480]   You can look at this as simply future-proofing yourself,
[00:33:15.480 --> 00:33:15.480]   You can look at this as simply future-proofing yourself,
[00:33:15.480 --> 00:33:15.480]   You can look at this as simply future-proofing yourself,
[00:33:15.480 --> 00:33:15.480]   You can look at this as simply future-proofing yourself,
[00:33:15.480 --> 00:33:15.480]   You can look at this as simply future-proofing yourself,
[00:33:15.480 --> 00:33:15.480]   You can look at this as simply future-proofing yourself,
[00:33:15.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.500 --> 00:33:45.500]   You can look at this as simply future-proofing yourself,
[00:33:45.540 --> 00:34:15.520]   You can look at this as simply future-proofing yourself,
[00:34:15.520 --> 00:34:15.520]   You can look at this as simply future-proofing yourself,
[00:34:15.520 --> 00:34:15.520]   You can look at this as simply future-proofing yourself,
[00:34:15.520 --> 00:34:15.520]   You can look at this as simply future-proofing yourself,
[00:34:15.520 --> 00:34:15.520]   You can look at this as simply future-proofing yourself,
[00:34:15.520 --> 00:34:15.520]   You can look at this as simply future-proofing yourself,
[00:34:15.520 --> 00:34:15.520]   You can look at this as simply future-proofing yourself,
[00:34:15.520 --> 00:34:15.520]   You can look at this as simply future-proofing yourself,
[00:34:15.520 --> 00:34:15.520]   You can look at this as simply future-proofing yourself,
[00:34:15.520 --> 00:34:15.520]   You can look at this as simply future-proofing yourself,
[00:34:15.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:34:45.540]   You can look at this as simply future-proofing yourself,
[00:34:45.540 --> 00:35:15.560]   You can look at this as simply future-proofing yourself,
[00:35:15.560 --> 00:35:15.560]   You can look at this as simply future-proofing yourself,
[00:35:15.560 --> 00:35:15.560]   You can look at this as simply future-proofing yourself,
[00:35:15.560 --> 00:35:15.560]   You can look at this as simply future-proofing yourself,
[00:35:15.560 --> 00:35:15.560]   You can look at this as simply future-proofing yourself,
[00:35:15.560 --> 00:35:15.560]   You can look at this as simply future-proofing yourself,
[00:35:15.560 --> 00:35:15.560]   You can look at this as simply future-proofing yourself,
[00:35:15.560 --> 00:35:15.560]   You can look at this as simply future-proofing yourself,
[00:35:15.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:35:45.580]   I'm not sure if you're listening to me or not.
[00:35:45.580 --> 00:36:15.600]   I'm not sure if you're listening to me or not.
[00:36:15.600 --> 00:36:15.600]   I'm not sure if you're listening to me or not.
[00:36:15.600 --> 00:36:15.600]   I'm not sure if you're listening to me or not.
[00:36:15.600 --> 00:36:15.600]   I'm not sure if you're listening to me or not.
[00:36:15.600 --> 00:36:15.600]   I'm not sure if you're listening to me or not.
[00:36:15.600 --> 00:36:15.600]   I'm not sure if you're listening to me or not.
[00:36:15.600 --> 00:36:15.600]   I'm not sure if you're listening to me or not.
[00:36:15.600 --> 00:36:15.600]   I'm not sure if you're listening to me or not.
[00:36:15.600 --> 00:36:15.600]   I'm not sure if you're listening to me or not.
[00:36:15.600 --> 00:36:15.600]   I'm not sure if you're listening to me or not.
[00:36:15.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:36:45.620]   I'm not sure if you're listening to me or not.
[00:36:45.620 --> 00:37:15.640]   I'm not sure if you're listening to me or not.
[00:37:15.640 --> 00:37:15.640]   I'm not sure if you're listening to me or not.
[00:37:15.640 --> 00:37:15.640]   I'm not sure if you're listening to me or not.
[00:37:15.640 --> 00:37:15.640]   I'm not sure if you're listening to me or not.
[00:37:15.640 --> 00:37:15.640]   I'm not sure if you're listening to me or not.
[00:37:15.640 --> 00:37:15.640]   I'm not sure if you're listening to me or not.
[00:37:15.640 --> 00:37:15.640]   I'm not sure if you're listening to me or not.
[00:37:15.640 --> 00:37:15.640]   I'm not sure if you're listening to me or not.
[00:37:15.640 --> 00:37:15.640]   I'm not sure if you're listening to me or not.
[00:37:15.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:37:45.660]   I'm not sure if you're listening to me or not.
[00:37:45.660 --> 00:38:15.680]  ,
[00:38:15.680 --> 00:38:15.680]   I'm not sure if you're listening to me or not.
[00:38:15.680 --> 00:38:15.680]   I'm not sure if you're listening to me or not.
[00:38:15.680 --> 00:38:15.680]   I'm not sure if you're listening to me or not.
[00:38:15.680 --> 00:38:15.680]   I'm not sure if you're listening to me or not.
[00:38:15.680 --> 00:38:15.680]   I'm not sure if you're listening to me or not.
[00:38:15.680 --> 00:38:15.680]   I'm not sure if you're listening to me or not.
[00:38:15.680 --> 00:38:15.680]   I'm not sure if you're listening to me or not.
[00:38:15.680 --> 00:38:15.680]   I'm not sure if you're listening to me or not.
[00:38:15.680 --> 00:38:15.680]   I'm not sure if you're listening to me or not.
[00:38:15.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
[00:38:45.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
[00:38:45.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
[00:38:45.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
[00:38:45.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
[00:38:45.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
