
[00:00:00.000 --> 00:00:01.880]   Hey, everybody, welcome back.
[00:16:41.840 --> 00:16:46.800]   supplies or what have you and they would call the administration and they would you know make it
[00:16:46.800 --> 00:16:52.720]   happen and then finally the administration didn't do anything to to kind of mess with the science
[00:16:52.720 --> 00:16:54.760]   you know in fact
[00:16:54.760 --> 00:17:02.720]   they describe how this the this new experimental mRNA technique that they used to generate the
[00:17:02.720 --> 00:17:08.820]   vaccine they had the code for that within two days they actually had the vaccine sort of printed
[00:17:08.820 --> 00:17:14.200]   if you will within weeks and really what took all this time were the human trials
[00:17:14.200 --> 00:17:18.960]   what you know the three-stage human trials which the administration did not do anything to speed up
[00:17:18.960 --> 00:17:23.500]   and probably the irony of ironies the supreme irony is there's a story there's a
[00:17:23.500 --> 00:17:24.740]   there's a bit in the story that's not true but there's a bit in the story that's not true but
[00:17:24.740 --> 00:17:26.740]   there's a bit in the story that's not true but there's a bit in the story it actually begins with
[00:17:26.740 --> 00:17:26.740]   there's a bit in the story that's not true but there's a bit in the story it actually begins with
[00:17:26.740 --> 00:17:30.260]   there's a bit in the story it actually begins with the uh this guy Slaoui who's the head of the
[00:17:30.260 --> 00:17:30.260]   the uh this guy Slaoui who's the head of the
[00:17:30.260 --> 00:17:32.820]   the uh this guy Slaoui who's the head of the Trump administration's effort to produce the vaccine
[00:17:32.820 --> 00:17:32.820]   Trump administration's effort to produce the vaccine
[00:17:32.820 --> 00:17:36.020]   Trump administration's effort to produce the vaccine he actually slowed down the Moderna human
[00:17:36.020 --> 00:17:36.020]   he actually slowed down the Moderna human
[00:17:36.020 --> 00:17:38.660]   he actually slowed down the Moderna human trials by about three weeks because they weren't
[00:17:38.660 --> 00:17:38.660]   trials by about three weeks because they weren't
[00:17:38.660 --> 00:17:40.580]   trials by about three weeks because they weren't including enough minorities
[00:17:40.580 --> 00:17:40.580]   including enough minorities
[00:17:40.580 --> 00:17:43.460]   including enough minorities in the you know in the in the trial
[00:17:43.460 --> 00:17:43.480]   in the you know in the trial
[00:17:43.480 --> 00:17:45.220]   in the you know in the trial and that cost him three weeks if it
[00:17:45.220 --> 00:17:45.240]   and that cost him three weeks if it
[00:17:45.240 --> 00:17:47.300]   and that cost him three weeks if it weren't for those three weeks
[00:17:47.300 --> 00:17:47.320]   weren't for those three weeks
[00:17:47.320 --> 00:17:48.820]   weren't for those three weeks Moderna's vaccine would have happened
[00:17:48.820 --> 00:17:48.840]   Moderna's vaccine would have happened
[00:17:48.840 --> 00:17:50.500]   Moderna's vaccine would have happened before Pfizer and it would have come out
[00:17:50.500 --> 00:17:50.520]   before Pfizer and it would have come out
[00:17:50.520 --> 00:17:52.820]   before Pfizer and it would have come out about a week before the election
[00:17:52.820 --> 00:17:52.840]   about a week before the election
[00:17:52.840 --> 00:17:55.700]   about a week before the election so you gotta wonder like Trump has got
[00:17:55.700 --> 00:17:55.720]   so you gotta wonder like Trump has got
[00:17:55.720 --> 00:17:56.420]   so you gotta wonder like Trump has got to be
[00:17:56.420 --> 00:17:56.440]   to be
[00:17:56.440 --> 00:17:59.860]   to be pulling out his hair about um what about
[00:17:59.860 --> 00:17:59.880]   pulling out his hair about um what about
[00:17:59.880 --> 00:18:01.940]   pulling out his hair about um what about about about this twist of fate David
[00:18:01.940 --> 00:18:01.960]   about this twist of fate David
[00:18:01.960 --> 00:18:04.100]   about this twist of fate David how does it attribute credit for warp
[00:18:04.100 --> 00:18:04.120]   how does it attribute credit for warp
[00:18:04.120 --> 00:18:05.780]   how does it attribute credit for warp speed
[00:18:05.780 --> 00:18:05.800]   speed
[00:18:05.800 --> 00:18:07.540]   speed and I'm going someplace with this so I'm
[00:18:07.540 --> 00:18:07.560]   and I'm going someplace with this so I'm
[00:18:07.560 --> 00:18:08.980]   and I'm going someplace with this so I'm just asking you the question
[00:18:08.980 --> 00:18:09.000]   just asking you the question
[00:18:09.000 --> 00:18:10.820]   just asking you the question well I don't the article's not trying to
[00:18:10.820 --> 00:18:10.840]   well I don't the article's not trying to
[00:18:10.840 --> 00:18:12.660]   well I don't the article's not trying to attribute credit they're just kind of
[00:18:12.660 --> 00:18:12.680]   attribute credit they're just kind of
[00:18:12.680 --> 00:18:14.820]   attribute credit they're just kind of describing the behind the scenes of of
[00:18:14.820 --> 00:18:14.840]   describing the behind the scenes of of
[00:18:14.840 --> 00:18:16.500]   describing the behind the scenes of of how Pfizer Moderna came up with their
[00:18:16.500 --> 00:18:16.520]   how Pfizer Moderna came up with their
[00:18:16.520 --> 00:18:18.500]   how Pfizer Moderna came up with their vaccines and um
[00:18:18.500 --> 00:18:18.520]   vaccines and um
[00:18:18.520 --> 00:18:21.460]   vaccines and um it just but but in in describing
[00:18:21.460 --> 00:18:21.480]   it just but but in in describing
[00:18:21.480 --> 00:18:23.780]   it just but but in in describing you know Pfizer Moderna did the work of
[00:18:23.780 --> 00:18:23.800]   you know Pfizer Moderna did the work of
[00:18:23.800 --> 00:18:25.380]   you know Pfizer Moderna did the work of creating the vaccine but in describing
[00:18:25.380 --> 00:18:25.400]   creating the vaccine but in describing
[00:18:25.400 --> 00:18:27.700]   creating the vaccine but in describing the ways that warp speed contributed
[00:18:27.700 --> 00:18:27.720]   the ways that warp speed contributed
[00:18:27.720 --> 00:18:29.620]   the ways that warp speed contributed they did things that were only helpful
[00:18:29.620 --> 00:18:29.640]   they did things that were only helpful
[00:18:29.640 --> 00:18:31.380]   they did things that were only helpful and nothing that was harmful and so in
[00:18:31.380 --> 00:18:31.400]   and nothing that was harmful and so in
[00:18:31.400 --> 00:18:32.260]   and nothing that was harmful and so in that sense it made the Trump
[00:18:32.260 --> 00:18:32.280]   that sense it made the Trump
[00:18:32.280 --> 00:18:34.020]   that sense it made the Trump administration look quite good
[00:18:34.020 --> 00:18:34.040]   administration look quite good
[00:18:34.040 --> 00:18:36.260]   administration look quite good yeah I I think the point is that the
[00:18:36.260 --> 00:18:36.280]   yeah I I think the point is that the
[00:18:36.280 --> 00:18:38.820]   yeah I I think the point is that the the warp speed folks which is probably
[00:18:38.820 --> 00:18:38.840]   the warp speed folks which is probably
[00:18:38.840 --> 00:18:40.580]   the warp speed folks which is probably the least well-known working group
[00:18:40.580 --> 00:18:40.600]   the least well-known working group
[00:18:40.600 --> 00:18:42.100]   the least well-known working group working on coronavirus to the rest of
[00:18:42.100 --> 00:18:42.120]   working on coronavirus to the rest of
[00:18:42.120 --> 00:18:44.020]   working on coronavirus to the rest of the public is because it was a lot of
[00:18:44.020 --> 00:18:44.040]   the public is because it was a lot of
[00:18:44.040 --> 00:18:46.020]   the public is because it was a lot of wonky insiders it was sign of almost
[00:18:46.020 --> 00:18:46.040]   wonky insiders it was sign of almost
[00:18:46.040 --> 00:18:48.260]   wonky insiders it was sign of almost proving the exact opposite of what
[00:18:48.260 --> 00:18:48.280]   proving the exact opposite of what
[00:18:48.280 --> 00:18:50.340]   proving the exact opposite of what Trump typically does which is you know
[00:18:50.340 --> 00:18:50.360]   Trump typically does which is you know
[00:18:50.360 --> 00:18:52.580]   Trump typically does which is you know some idiotic nepotistic leaning where
[00:18:52.580 --> 00:18:52.600]   some idiotic nepotistic leaning where
[00:18:52.600 --> 00:18:54.260]   some idiotic nepotistic leaning where it's his daughter or it's his son-in-law
[00:18:54.260 --> 00:18:54.280]   it's his daughter or it's his son-in-law
[00:18:54.280 --> 00:18:56.820]   it's his daughter or it's his son-in-law running around you know completely
[00:18:56.820 --> 00:18:56.820]   running around you know completely
[00:18:56.820 --> 00:19:00.420]   running around you know completely and effectively you know doing something
[00:19:00.420 --> 00:19:00.440]   and effectively you know doing something
[00:19:00.440 --> 00:19:02.660]   and effectively you know doing something where they become sort of front and
[00:19:02.660 --> 00:19:02.680]   where they become sort of front and
[00:19:02.680 --> 00:19:05.460]   where they become sort of front and center for taking credit in this case it
[00:19:05.460 --> 00:19:05.480]   center for taking credit in this case it
[00:19:05.480 --> 00:19:06.820]   center for taking credit in this case it was just a bunch of policy walks you
[00:19:06.820 --> 00:19:06.840]   was just a bunch of policy walks you
[00:19:06.840 --> 00:19:08.260]   was just a bunch of policy walks you never heard about the project we only
[00:19:08.260 --> 00:19:08.280]   never heard about the project we only
[00:19:08.280 --> 00:19:09.620]   never heard about the project we only know about work speed because a handful
[00:19:09.620 --> 00:19:14.600]   handful of us have talked about it. And it turns out to actually have been good because they knew
[00:19:14.600 --> 00:19:18.240]   what they were doing and they knew enough to not try to seek the credit and just got out of the
[00:19:18.240 --> 00:19:22.860]   way. I mean, it proves almost the antithesis of how the Trump campaign, you know, managed their
[00:19:22.860 --> 00:19:27.820]   time in the White House. Well, I mean, you have a point where I was kind of reading this article
[00:19:27.820 --> 00:19:32.960]   wondering, you know, where was Jared Kushner? Because if Kushner knew about this, there's no
[00:19:32.960 --> 00:19:39.020]   way he slows down the Moderna vaccine by three weeks. I mean, that might have made the difference
[00:19:39.020 --> 00:19:43.260]   right there and whether Trump wins or not. Can you imagine the effect on the election if the
[00:19:43.260 --> 00:19:48.880]   vaccine had come out one week before November 3rd? I think Trump would have won decidedly if
[00:19:48.880 --> 00:19:56.160]   he had a vaccine or two out with 90%. But I think he had no credibility, even though Moderna and
[00:19:56.160 --> 00:20:01.940]   Pfizer were saying late November, and he said the vaccines are around the corner. His whole tenure
[00:20:01.940 --> 00:20:07.700]   was based on so much lying. He was the boy who cried wolf. He was the president who cried wolf.
[00:20:08.420 --> 00:20:14.660]   He was the president who told the truth. And he was telling the truth about the vaccines. It was
[00:20:14.660 --> 00:20:18.620]   like, oh, my Lord, he told the truth in the final three months.
[00:20:18.620 --> 00:20:23.420]   Can I give you the opposite, David, of that, which is that if Moderna basically says,
[00:20:23.420 --> 00:20:28.160]   hey, guys, we have a vaccine that works for white people, and a disease that's, you know,
[00:20:28.160 --> 00:20:35.760]   disproportionately killing blacks and, you know, Hispanics and brown people, Native Americans, and
[00:20:35.760 --> 00:20:37.820]   all of a sudden, people are like, wait, what the fuck?
[00:20:37.820 --> 00:20:58.820]   David Morgan: Yeah, I mean, I think it's ironic that an administration that was constantly accused
[00:20:58.820 --> 00:21:05.420]   of white supremacy, probably lost the election, because they slowed down this vaccine trial group
[00:21:05.420 --> 00:21:06.600]   to include more minorities.
[00:21:07.220 --> 00:21:10.460]   David Morgan: No, I know. But I think what we're saying is it wasn't the actual administration.
[00:21:10.460 --> 00:21:14.120]   It was somebody that actually knows what they were doing.
[00:21:14.120 --> 00:21:18.980]   David Morgan: We call that redemption in the movie when the person actually loses because they did
[00:21:18.980 --> 00:21:24.080]   the right thing. It's kind of redemption. Freeberg, when you look at these mRNA vaccines, you were
[00:21:24.080 --> 00:21:33.380]   educating us about them last night, and also for a long time. Tell the audience just one more time
[00:21:33.380 --> 00:21:36.620]   how these work briefly. David Morgan:
[00:21:36.620 --> 00:21:42.060]   and what the potential for them is in the future because I think a lot of us now are starting to
[00:21:42.060 --> 00:21:46.740]   see the light at the end of the tunnel this is gonna be over we're gonna be at conferences or
[00:21:46.740 --> 00:21:52.320]   going traveling to Europe or whatever it is next summer but we are all gonna be scarred for life
[00:21:52.320 --> 00:21:57.460]   thinking you know when is the next coronavirus just like for a decade we we were on pins and
[00:21:57.460 --> 00:22:03.800]   needles when is the next 9/11 so this is gonna be scar tissue for a generation or two of people
[00:22:03.800 --> 00:22:11.400]   when the next Cove it comes how quickly will warp speed 2.0 go yeah it's it's a it's the right
[00:22:11.400 --> 00:22:18.500]   question because our approach to doing vaccines may have just changed permanently so you know
[00:22:18.500 --> 00:22:26.040]   every cell has your DNA and DNA basically codes proteins every three letters of DNA makes an amino
[00:22:26.040 --> 00:22:32.840]   acid codes for a specific amino acid there's 20 amino acids the way that DNA turns into proteins
[00:22:32.840 --> 00:22:33.780]   is through RNA so you're gonna be able to get the DNA from your DNA and you're gonna be able to get
[00:22:33.780 --> 00:22:38.460]   the DNA so RNA is kind of like a mirror copy of your DNA it floats into these things called
[00:22:38.460 --> 00:22:43.260]   ribosomes in your cells and outcome proteins and those it's like a printer right and so those those
[00:22:43.260 --> 00:22:48.960]   ribosomes make your proteins using those amino acid sequences coded by the RNA so the way that
[00:22:48.960 --> 00:22:55.260]   the vaccines work historically is you'll get a dead virus which is basically the protein of a
[00:22:55.260 --> 00:23:03.760]   virus your immune system then learns to kill that or to remove that protein oh man Jesus my dog your
[00:23:03.760 --> 00:23:08.860]   immune system then learns to remove that protein from your body and that's how you develop this
[00:23:08.860 --> 00:23:14.560]   memory your immune memory to a specific protein and so they put this dead art vaccine but virus
[00:23:14.560 --> 00:23:19.480]   in your body and hopefully your immune system learns a good response to it mRNA basically puts
[00:23:19.480 --> 00:23:26.320]   the RNA in your body that codes for that protein your cells then make that protein and because it's
[00:23:26.320 --> 00:23:31.300]   making a lot more of the protein in a more consistent you know way theoretically the idea is
[00:23:31.300 --> 00:23:33.740]   your body develops a much more robust immune memory than your immune system so you're going to be able to
[00:23:33.740 --> 00:23:36.800]   have a much more robust immune memory and immune response without it overloading your system where
[00:23:36.800 --> 00:23:41.420]   all the immune cells try and wipe that protein out right away and so on the challenge is you're
[00:23:41.420 --> 00:23:44.960]   putting RNA in your body and we've always been worried about we don't know what the side effects
[00:23:44.960 --> 00:23:48.680]   of mixing RNA in your body would be is it going to change your DNA is it going to change your genetic
[00:23:48.680 --> 00:23:53.120]   makeup is it going to cause other deleterious side effects so this technology this capability
[00:23:53.120 --> 00:23:57.140]   this knowledge has been around forever I'm not forever but for you know a long time and the idea
[00:23:57.140 --> 00:24:01.760]   has always been we could use RNA in this way but you know no one wanted and we've used it in animals
[00:24:01.760 --> 00:24:03.720]   and we've used it in plants and we've seen the capability
[00:24:03.720 --> 00:24:10.800]   of using RNA to do different things like this but this is a big leap and so you know we kind of leapt
[00:24:10.800 --> 00:24:15.240]   forward here getting to the point that we felt comfortable with you know RNA as a as a treatment
[00:24:15.240 --> 00:24:19.740]   like this and it's it's working so in theory in the future as fax points out you could take any
[00:24:19.740 --> 00:24:24.480]   virus or any bacteria you could read its DNA you could do that in an hour then you could take chunks
[00:24:24.480 --> 00:24:28.800]   of that DNA and code RNA for it so your body makes those proteins that theoretically produce an immune
[00:24:28.800 --> 00:24:33.700]   response so that that's the that's the science of like how do you how do you create a new vaccine I
[00:24:33.700 --> 00:24:38.860]   think that's the amazing part is the way it's described you know in this article is that's
[00:24:38.860 --> 00:24:43.780]   almost like laser printing or 3D printing a vaccine it's kind of like the equivalent of
[00:24:43.780 --> 00:24:49.900]   that you just take the genome of the virus and you know boom you've got the vaccine and then
[00:24:49.900 --> 00:24:56.320]   all the other delay is about human trials and testing of it but imagine if that there there
[00:24:56.320 --> 00:25:03.520]   was the next coronavirus is 10 times as deadly you know something that's as spreads as contagiously as
[00:25:03.520 --> 00:25:09.160]   smallpox and as you know as deadly as Ebola or something like that we could have a vaccine the
[00:25:09.160 --> 00:25:14.560]   next day you know like you could we could have a very challenge David would be is we'd have it
[00:25:14.560 --> 00:25:19.540]   the next day like we did here but we would be going through this three-phase trial and so I
[00:25:19.540 --> 00:25:23.920]   want to take a moment here and talk to Chamath about something which is challenge trials
[00:25:23.920 --> 00:25:28.000]   um in the UK they will start doing challenge trials for those people who don't know what
[00:25:28.000 --> 00:25:33.500]   a challenge trial is essentially they expose you to something dangerous i.e a virus like
[00:25:33.500 --> 00:25:41.120]   covid and then uh they give you the uh vaccine and then they give you uh the virus as opposed to
[00:25:41.120 --> 00:25:47.720]   how we do a three-phase trial which is you give the vaccine to 30 000 people and a placebo to 30
[00:25:47.720 --> 00:25:51.500]   000 and then you come back three months later and see how many people got affected and it takes time
[00:25:51.500 --> 00:25:58.160]   and money whereas challenge trials only take risk on the individuals who are part of it Chamath
[00:25:58.160 --> 00:26:03.480]   hundreds of people in the science community signed a letter and in the UK they're going to be doing the
[00:26:03.480 --> 00:26:07.740]   reverse challenge trials in January the United States is not doing these I'm certain China is
[00:26:07.740 --> 00:26:15.120]   um do you think it's a moment in time where we need to think about the ethics and morality of
[00:26:15.120 --> 00:26:20.880]   challenge trials specifically and then if so how do you execute them with that how do you
[00:26:20.880 --> 00:26:26.220]   execute a challenge trial without it being unfair um or too dangerous for people obviously you're
[00:26:26.220 --> 00:26:29.520]   not going to just go into a prison and say hey anybody want to get 10 years off the sentence
[00:26:29.520 --> 00:26:33.460]   during the challenge trial that seems morally bankrupt but we let people
[00:26:33.460 --> 00:26:39.760]   climb mountains without ropes so right well I think this speaks to a whole bunch of other issues that
[00:26:39.760 --> 00:26:44.380]   we've talked about on the pod before you know another example of this was section 230 before
[00:26:44.380 --> 00:26:51.100]   when we talked about it we had a body of law that was created in a moment of time that essentially
[00:26:51.100 --> 00:26:56.560]   was about framing and understanding a specific pathway and a way to use Technologies that today
[00:26:56.560 --> 00:27:03.440]   look archaic and we have to rewrite the laws in order to just compensate and understand for where
[00:27:03.440 --> 00:27:08.780]   we are so if I if you double click on trials as an example you know if you have a solution for a rare
[00:27:08.780 --> 00:27:13.580]   disease you can go in a specific pathway with the FDA and get breakthrough and fast track approval
[00:27:13.580 --> 00:27:19.700]   but if you for example have uh you know a novel immunotherapy cancer drug you probably you cannot
[00:27:19.700 --> 00:27:24.140]   you know you have to do a multi-phase trial a typical three-phase trial you have to solve for
[00:27:24.140 --> 00:27:32.780]   very typical things like fatigue Etc Etc all these things slow progress down now in a world where we
[00:27:32.780 --> 00:27:33.420]   were somewhat
[00:27:33.420 --> 00:27:39.780]   lying blind 40 or 50 years ago we didn't have you know things like crisper we didn't have you know a
[00:27:39.780 --> 00:27:44.820]   real understanding of the genome we didn't have delivery mechanisms like cart you would say okay
[00:27:44.820 --> 00:27:51.120]   yeah we should be really really careful but I would say that the more you know
[00:27:51.120 --> 00:27:57.000]   um the more you can ease up on the rules because you can actually empower people with a lot of
[00:27:57.000 --> 00:28:03.400]   information and it shouldn't take a disaster scenario for us to be iterative and experimental
[00:28:03.400 --> 00:28:09.340]   so I think the challenge trial is really important I think the concept of them make a lot of sense I
[00:28:09.340 --> 00:28:16.420]   think a lot of government should employ incentives to figure out who is eligible and why but if you're
[00:28:16.420 --> 00:28:22.060]   a healthy adult male or female and you want to participate in a trial for whatever set of reasons
[00:28:22.060 --> 00:28:27.700]   um you should be allowed to do so and companies that want to run those trials should be allowed
[00:28:27.700 --> 00:28:33.380]   to run them similarly if you want to find a complementary pathway through regulatory
[00:28:33.380 --> 00:28:38.240]   agencies to get drugs to the starting line you should be able to do those too and I think what
[00:28:38.240 --> 00:28:44.040]   we have to do is multi-path um these compounds going forward because I think that's where you
[00:28:44.040 --> 00:28:47.360]   accelerate all these technologies ability to actually solve these diseases
[00:28:47.360 --> 00:28:53.720]   Freberg why is it so controversial that um a rocket ship company uh or
[00:28:53.720 --> 00:28:59.000]   you know uh people who want to climb on mountains without ropes or a rocket ship
[00:28:59.000 --> 00:29:03.360]   company like there are experimental pilots we have astronauts they take unbelievable
[00:29:03.360 --> 00:29:11.340]   risk we send thousands of troops into harm's way for many different reasons many of which
[00:29:11.340 --> 00:29:17.100]   sadly die and they volunteer for those activities those people are volunteering and compensated
[00:29:17.100 --> 00:29:23.760]   but when we look at science and we look at a challenge trial scientists say this is morally
[00:29:23.760 --> 00:29:29.100]   reprehensible to compensate somebody for taking risk when it that's exactly what we do in the
[00:29:29.100 --> 00:29:33.340]   army we do it with police offers and we do it with astronauts help us understand
[00:29:33.340 --> 00:29:39.760]   how scientists think so differently than say war I don't know if it's scientists as much as it is
[00:29:39.760 --> 00:29:47.680]   you know regulatory framework like the some people would call it a nanny state and you know there are
[00:29:47.680 --> 00:29:53.920]   things that the nanny state assumes individuals uh don't have the capacity to understand the
[00:29:53.920 --> 00:29:59.320]   extent of the potential loss or the or the nature of the risk this is true for Angel investing right
[00:29:59.320 --> 00:30:03.320]   you have to be a qualified investor to invest in a private company without appropriate disclosures
[00:30:03.320 --> 00:30:09.980]   and uh it's true in a lot of other contexts so um you know to to give people the authority to make
[00:30:09.980 --> 00:30:15.440]   decisions like this it seems like my I have no point of view that I'm kind of making here but
[00:30:15.440 --> 00:30:21.020]   it seems like the the the the the government assumes or the the elected officials assume or
[00:30:21.020 --> 00:30:24.740]   the populace assumes that there are things that people aren't really equipped to make decisions
[00:30:24.740 --> 00:30:29.540]   on because they can't understand the risk because they're not qualified and uh that and they get
[00:30:29.540 --> 00:30:33.300]   excluded from those activities but Saks is the uh it's just how should we
[00:30:33.300 --> 00:30:39.960]   frame this yeah yeah well I think how should we frame it yeah I think assumption of risk is is a
[00:30:39.960 --> 00:30:48.360]   is a really good principle and it is a way for people to engage in potentially harmful behavior
[00:30:48.360 --> 00:30:51.660]   just because a behavior is is potentially harmful doesn't mean you don't get to do it
[00:30:51.660 --> 00:30:56.820]   um in the United States you're allowed to do things that are manifestly harmful to yourself
[00:30:56.820 --> 00:31:03.280]   like smoking well you know even worse if you're in Oregon you can now do all kinds of hard
[00:31:03.280 --> 00:31:09.160]   drugs I mean you can assume that risk for yourself so you know if in Portland Oregon you can now take
[00:31:09.160 --> 00:31:14.320]   heroin openly in the street with no consequence but you can't participate in a trial that could
[00:31:14.320 --> 00:31:21.280]   basically cure a cancer that's insane to me I'll tell you yeah I'll tell you I'll tell you the flip
[00:31:21.280 --> 00:31:27.460]   side of it um you're allowed in Nevada to play roulette I mean what the like you know it's
[00:31:27.460 --> 00:31:32.200]   got a negative expected value statistically factually for individuals but the individual
[00:31:32.200 --> 00:31:33.260]   doesn't have the capacity to do it so I think that's a really good point and I think that's a
[00:31:33.260 --> 00:31:33.320]   really good point and I think that's a really good point and I think that's a really good point
[00:31:33.320 --> 00:31:36.920]   generally speaking that's playing roulette to recognize that every dollar they're spending at
[00:31:36.920 --> 00:31:40.820]   the roulette table is likely going to be to you know taken away from them like there's some
[00:31:40.820 --> 00:31:44.480]   percentage of that that's going to be taken away there's a five percentage for the house on that
[00:31:44.480 --> 00:31:50.000]   uh on that game and um and so we make the argument in some cases that people don't have the capacity
[00:31:50.000 --> 00:31:54.920]   to understand risk but in other cases it's okay for them to not have the capacity to to take risk
[00:31:54.920 --> 00:31:59.000]   and I think that there is this notion of what some people call regulatory capture that probably
[00:31:59.000 --> 00:32:03.240]   encompasses both of these which is that there is some degree of profiteering that has created
[00:32:03.240 --> 00:32:09.780]   some set of laws that kind of manifestly capture that system in a certain way so there are profitable
[00:32:09.780 --> 00:32:13.860]   Casino enterprises that say let's get people to spend their money in a risky way that they don't
[00:32:13.860 --> 00:32:18.060]   understand and that becomes the law and then people in Nevada are allowed to do that there
[00:32:18.060 --> 00:32:22.620]   are also pharmaceutical companies that will say we need to have huge regulatory burdens so once we
[00:32:22.620 --> 00:32:26.280]   make that big investment and we get patent approval and we can lock in that drug we can
[00:32:26.280 --> 00:32:31.440]   charge a lot of money for it so I would argue to some extent that the regulatory capture associated
[00:32:31.440 --> 00:32:33.220]   with the profit hearing that happens on the back end of the system is that we're not going to be
[00:32:33.220 --> 00:32:35.380]   able to do that and that's why I think that the way that we're going to be able to do that is
[00:32:35.380 --> 00:32:37.620]   that we're going to be able to do that is by making sure that we're not going to be able to
[00:32:37.620 --> 00:32:39.700]   do that and that's why I think that the way that we're going to be able to do that is by making sure
[00:32:39.700 --> 00:32:42.340]   that we're not going to be able to do that is by making sure that we're not going to be able to do that
[00:32:42.340 --> 00:32:44.440]   and that's why I think that the way that we're going to be able to do that is by making sure
[00:32:44.440 --> 00:32:46.540]   that we're not going to be able to do that is by making sure that we're not going to be able to do that
[00:32:46.540 --> 00:32:48.700]   and that's why I think that the way that we're going to be able to do that is by making sure
[00:32:48.700 --> 00:32:51.400]   that we're not going to be able to do that is by making sure that we're not going to be able to do that
[00:32:51.400 --> 00:32:54.460]   and the rationale is well, you're the most protected, right?
[00:32:54.460 --> 00:32:58.800]   Well, the drug infrastructure here has created to your point because of regulation the entire
[00:32:58.800 --> 00:33:04.120]   you know, CRO industry which is a multi-multi-billion dollar industry which
[00:33:04.120 --> 00:33:12.160]   basically is essentially a retardant of R&D velocity, right? Its entire job is to slow
[00:33:12.160 --> 00:33:18.040]   things down, create these double-blinded studies. By the way, and so many of these studies are not
[00:33:18.040 --> 00:33:21.380]   even double-blinded, they're not even actually scientifically rigorous, they get basically
[00:33:21.380 --> 00:33:25.940]   blown apart after the fact. So what are they really in the business of doing? It's because
[00:33:25.940 --> 00:33:29.960]   they're exploiting a business model that was created by laws, laws that were written by
[00:33:29.960 --> 00:33:34.560]   regulators, regulators that were in the hands of lobbyists. None of those folks truly understood
[00:33:34.560 --> 00:33:41.180]   at the time but especially today what's really possible. So you know, it does not make sense
[00:33:41.180 --> 00:33:46.760]   in the United States of America, just writ large simply put that you can buy alcohol and drink
[00:33:46.760 --> 00:33:51.360]   yourself into the ground, buy cigarettes and smoke yourself to death, you know, jump out
[00:33:51.360 --> 00:33:57.740]   of a car and gamble away your money where you're negative EV or open, you know, openly do illicit
[00:33:57.740 --> 00:34:02.940]   drugs but you can't participate in a thoughtful trial backed by scientific research.
[00:34:02.940 --> 00:34:10.020]   In fairness, Jamath, you can get away with smoking fentanyl in San Francisco and Oregon
[00:34:10.020 --> 00:34:15.860]   but it is illegal to use that plastic straw. So be careful folks, the laws are very clear here.
[00:34:15.860 --> 00:34:21.340]   That plastic straw is going to get you in a lot of trouble. I don't know what the fine is, but
[00:34:21.340 --> 00:34:23.840]   it is completely illegal.
[00:34:23.840 --> 00:34:28.560]   It wouldn't be so crazy if it were true but to your point, like you would actually get arrested
[00:34:28.560 --> 00:34:32.800]   for having a plastic bag than you will for having fentanyl in San Francisco.
[00:34:32.800 --> 00:34:37.380]   Absolutely. They'll arrest you for the bag that the fentanyl is in but Chesa
[00:34:37.380 --> 00:34:43.160]   Budin will not arrest you for the fentanyl in the plastic bag. Sacks, we've totally lost the script
[00:34:43.160 --> 00:34:51.320]   but Jamath sort of bridged this with the 230 discussion of common carrier and
[00:34:51.320 --> 00:34:57.960]   said, hey, you know, we had great intent with this law but nobody saw social networks becoming
[00:34:57.960 --> 00:35:03.000]   this dominant, addictive, et cetera. So we need to be more nimble as a government in changing these
[00:35:03.000 --> 00:35:07.960]   regulations whether it's straws, fentanyl, challenge trials, or 230. You wrote a blog
[00:35:07.960 --> 00:35:12.040]   post about it. After we had our 230 discussion, a lot of people started talking about it.
[00:35:12.040 --> 00:35:18.520]   Have you come to some conclusion as to an exit ramp for 230 or a way to maintain it without,
[00:35:18.520 --> 00:35:21.300]   you know, throwing the baby with the bathwater? Yeah, yeah.
[00:35:21.300 --> 00:35:24.980]   Well, okay, just kind of make one concluding thought on this last topic.
[00:35:24.980 --> 00:35:30.500]   Sure, of course. So the reason why innovation has happened so fast on the internet is because of,
[00:35:30.500 --> 00:35:34.900]   you know, one word, permissionless, right? Permissionless innovation. Nobody who has an idea
[00:35:34.900 --> 00:35:39.380]   for a startup needs to go get permission from someone in the government, you know, repeatedly.
[00:35:39.380 --> 00:35:45.300]   That's really what makes a difference. You know, Mark Zuckerberg as a, you know, sophomore in college can just build his project.
[00:35:45.300 --> 00:35:51.280]   Larry and Sergey as PhD students can just build their project, ship it, start, you know, getting used
[00:35:51.280 --> 00:35:57.520]   to it. And they don't have to get the permission of a regulator whose incentive, by the way, is just
[00:35:57.520 --> 00:36:02.880]   typically not to get fired by approving something that might rebound on them in some, you know,
[00:36:02.880 --> 00:36:06.880]   in some bad way. And to keep their job. Yeah. Keep their job. I mean, imagine if, you know,
[00:36:06.880 --> 00:36:12.640]   imagine just to take like a random example, when Elon launched Starman, remember when he put the,
[00:36:12.640 --> 00:36:18.080]   like, he launched the Tesla into space and there was like a astronaut in there and it was like this
[00:36:18.080 --> 00:36:21.260]   kind of really cool moment. I assume he just, you know, he just, you know, he just, you know, he just
