
[00:00:00.000 --> 00:00:02.600]   Yeah.
[00:24:38.200 --> 00:24:39.200]   We increase the number of vocab.
[00:24:39.200 --> 00:24:40.200]   We increase the number of vocab.
[00:24:40.200 --> 00:24:41.200]   We increase the number of vocab.
[00:24:41.200 --> 00:24:42.200]   We increase the number of vocab.
[00:24:42.200 --> 00:24:43.200]   We increase the number of vocab.
[00:24:43.200 --> 00:24:44.200]   We increase the number of vocab.
[00:24:44.200 --> 00:24:45.200]   We increase the number of vocab.
[00:24:45.200 --> 00:24:46.200]   We increase the number of vocab.
[00:24:46.200 --> 00:24:47.200]   We increase the number of vocab.
[00:24:47.200 --> 00:24:48.200]   We increase the number of vocab.
[00:24:48.200 --> 00:24:49.200]   We increase the number of vocab.
[00:24:49.200 --> 00:24:50.200]   We increase the number of vocab.
[00:24:50.200 --> 00:24:51.200]   We increase the number of vocab.
[00:24:51.200 --> 00:24:52.200]   We increase the number of vocab.
[00:24:52.200 --> 00:24:53.200]   We increase the number of vocab.
[00:24:53.200 --> 00:24:54.200]   We increase the number of vocab.
[00:24:54.200 --> 00:24:55.200]   We increase the number of vocab.
[00:24:55.200 --> 00:24:56.200]   We increase the number of vocab.
[00:24:56.200 --> 00:24:57.200]   We increase the number of vocab.
[00:24:57.200 --> 00:24:58.200]   We increase the number of vocab.
[00:24:58.200 --> 00:24:59.200]   We increase the number of vocab.
[00:24:59.200 --> 00:25:00.200]   We increase the number of vocab.
[00:25:00.200 --> 00:25:01.200]   We increase the number of vocab.
[00:25:01.200 --> 00:25:02.200]   We increase the number of vocab.
[00:25:02.200 --> 00:25:03.200]   We increase the number of vocab.
[00:25:03.200 --> 00:25:04.200]   We increase the number of vocab.
[00:25:04.200 --> 00:25:05.200]   We increase the number of vocab.
[00:25:05.200 --> 00:25:06.200]   We increase the number of vocab.
[00:25:06.200 --> 00:25:07.200]   We increase the number of vocab.
[00:25:07.200 --> 00:25:08.200]   We increase the number of vocab.
[00:25:08.200 --> 00:25:09.200]   We increase the number of vocab.
[00:25:09.200 --> 00:25:10.200]   We increase the number of vocab.
[00:25:10.200 --> 00:25:11.200]   We increase the number of vocab.
[00:25:11.200 --> 00:25:12.200]   We increase the number of vocab.
[00:25:12.200 --> 00:25:13.200]   We increase the number of vocab.
[00:25:13.200 --> 00:25:14.200]   We increase the number of vocab.
[00:25:14.200 --> 00:25:15.200]   We increase the number of vocab.
[00:25:15.200 --> 00:25:16.200]   We increase the number of vocab.
[00:25:16.200 --> 00:25:17.200]   We increase the number of vocab.
[00:25:17.200 --> 00:25:18.200]   We increase the number of vocab.
[00:25:18.200 --> 00:25:19.200]   We increase the number of vocab.
[00:25:19.200 --> 00:25:20.200]   We increase the number of vocab.
[00:25:20.200 --> 00:25:21.200]   We increase the number of vocab.
[00:25:21.200 --> 00:25:22.200]   We increase the number of vocab.
[00:25:22.200 --> 00:25:23.200]   We increase the number of vocab.
[00:25:23.200 --> 00:25:24.200]   We increase the number of vocab.
[00:25:24.200 --> 00:25:25.200]   We increase the number of vocab.
[00:25:25.200 --> 00:25:26.200]   We increase the number of vocab.
[00:25:26.200 --> 00:25:27.200]   We increase the number of vocab.
[00:25:27.200 --> 00:25:28.200]   We increase the number of vocab.
[00:25:28.200 --> 00:25:29.200]   We increase the number of vocab.
[00:25:29.200 --> 00:25:30.200]   We increase the number of vocab.
[00:25:30.200 --> 00:25:31.200]   We increase the number of vocab.
[00:25:31.200 --> 00:25:32.200]   We increase the number of vocab.
[00:25:32.200 --> 00:25:33.200]   We increase the number of vocab.
[00:25:33.200 --> 00:25:34.200]   We increase the number of vocab.
[00:25:34.200 --> 00:25:35.200]   We increase the number of vocab.
[00:25:35.200 --> 00:25:36.200]   We increase the number of vocab.
[00:25:36.200 --> 00:25:37.200]   We increase the number of vocab.
[00:25:37.200 --> 00:25:38.200]   We increase the number of vocab.
[00:25:38.200 --> 00:25:39.200]   We increase the number of vocab.
[00:25:39.200 --> 00:25:40.200]   We increase the number of vocab.
[00:25:40.200 --> 00:25:41.200]   We increase the number of vocab.
[00:25:41.200 --> 00:25:42.200]   We increase the number of vocab.
[00:25:42.200 --> 00:25:43.200]   We increase the number of vocab.
[00:25:43.200 --> 00:25:44.200]   We increase the number of vocab.
[00:25:44.200 --> 00:25:45.200]   We increase the number of vocab.
[00:25:45.200 --> 00:25:46.200]   We increase the number of vocab.
[00:25:46.200 --> 00:25:47.200]   We increase the number of vocab.
[00:25:47.200 --> 00:25:48.200]   We increase the number of vocab.
[00:25:48.200 --> 00:25:49.200]   We increase the number of vocab.
[00:25:49.200 --> 00:25:50.200]   We increase the number of vocab.
[00:25:50.200 --> 00:25:51.200]   We increase the number of vocab.
[00:25:51.200 --> 00:25:52.200]   We increase the number of vocab.
[00:25:52.200 --> 00:25:53.200]   We increase the number of vocab.
[00:25:53.200 --> 00:25:54.200]   We increase the number of vocab.
[00:25:54.200 --> 00:25:57.200]   We have not significantly introduced a lot more weights.
[00:25:57.200 --> 00:25:58.200]   As you can probably notice.
[00:25:58.200 --> 00:26:01.200]   But if we add a new layer.
[00:26:01.200 --> 00:26:04.200]   What's going to happen is.
[00:26:04.200 --> 00:26:07.200]   They just mark what the layers are.
[00:26:07.200 --> 00:26:08.200]   So layers come from here.
[00:26:08.200 --> 00:26:09.200]   From norm.
[00:26:09.200 --> 00:26:11.200]   To self-attention.
[00:26:11.200 --> 00:26:13.200]   To multi-header attention.
[00:26:13.200 --> 00:26:15.200]   Actually.
[00:26:15.200 --> 00:26:18.200]   And to all the way to here.
[00:26:18.200 --> 00:26:19.200]   Right before the output layer.
[00:26:19.200 --> 00:26:22.200]   So there's one encoder or decoder block.
[00:26:22.200 --> 00:26:25.200]   So if I select this whole thing.
[00:26:25.200 --> 00:26:27.200]   Can I select this?
[00:26:27.200 --> 00:26:28.200]   Too small.
[00:26:28.200 --> 00:26:29.200]   Okay.
[00:26:29.200 --> 00:26:30.200]   And I'm going to select all this row.
[00:26:30.200 --> 00:26:31.200]   Going up, up, up.
[00:26:31.200 --> 00:26:36.200]   Okay.
[00:26:36.200 --> 00:26:40.200]   It's kind of slow.
[00:26:40.200 --> 00:26:41.200]   But let's do it slowly.
[00:26:41.200 --> 00:26:42.200]   So I don't break anything.
[00:26:42.200 --> 00:26:44.200]   So now a quick review of.
[00:26:44.200 --> 00:26:46.200]   You can now see in group query attention.
[00:26:46.200 --> 00:26:48.200]   You're seeing self-attention.
[00:26:48.200 --> 00:26:49.200]   Multi-head attention.
[00:26:49.200 --> 00:26:50.200]   Right here.
[00:26:50.200 --> 00:26:51.200]   So this is my one block.
[00:26:51.200 --> 00:26:52.200]   Okay.
[00:26:52.200 --> 00:26:53.200]   And then copy.
[00:26:53.200 --> 00:26:57.200]   And now going to just reinsert right here.
[00:26:57.200 --> 00:26:59.200]   Insert my copy cell.
[00:26:59.200 --> 00:27:01.200]   Now all of a sudden I have two blocks.
[00:27:01.200 --> 00:27:03.200]   So I just have to connect them a little bit.
[00:27:03.200 --> 00:27:04.200]   Let's just say.
[00:27:04.200 --> 00:27:05.200]   What do I do?
[00:27:05.200 --> 00:27:06.200]   Let's go.
[00:27:06.200 --> 00:27:07.200]   Maybe coloring a little bit.
[00:27:07.200 --> 00:27:08.200]   So I can distinguish them.
[00:27:08.200 --> 00:27:10.200]   So I'm going to color the first row.
[00:27:10.200 --> 00:27:13.200]   First column of the second block here.
[00:27:13.200 --> 00:27:14.200]   Is a different color.
[00:27:14.200 --> 00:27:15.200]   Is a different color.
[00:27:15.200 --> 00:27:16.200]   So let's use.
[00:27:16.200 --> 00:27:17.200]   Maybe use.
[00:27:17.200 --> 00:27:18.200]   Use.
[00:27:18.200 --> 00:27:19.200]   Use this.
[00:27:19.200 --> 00:27:20.200]   Pink.
[00:27:20.200 --> 00:27:21.200]   Okay.
[00:27:21.200 --> 00:27:22.200]   So this is my second block.
[00:27:22.200 --> 00:27:23.200]   Let's just connect them a little bit.
[00:27:23.200 --> 00:27:24.200]   So yeah.
[00:27:24.200 --> 00:27:25.200]   This is actually ultimately connected.
[00:27:25.200 --> 00:27:27.200]   Because they're relatively positioning.
[00:27:27.200 --> 00:27:28.200]   So this.
[00:27:28.200 --> 00:27:29.200]   That's.
[00:27:29.200 --> 00:27:31.200]   Output from the last encoded block.
[00:27:31.200 --> 00:27:32.200]   Get.
[00:27:32.200 --> 00:27:33.200]   Add to the norm.
[00:27:33.200 --> 00:27:34.200]   About normal.
[00:27:34.200 --> 00:27:35.200]   I miss norm.
[00:27:35.200 --> 00:27:36.200]   Later.
[00:27:36.200 --> 00:27:37.200]   So this is layer norm.
[00:27:37.200 --> 00:27:38.200]   It's being implemented over here.
[00:27:38.200 --> 00:27:39.200]   By the way.
[00:27:39.200 --> 00:27:41.200]   So, but this is going to be the same.
[00:27:41.200 --> 00:27:43.200]   And this only thing different is that.
[00:27:43.200 --> 00:27:44.200]   So this will be taking.
[00:27:44.200 --> 00:27:46.200]   First token from here.
[00:27:46.200 --> 00:27:47.200]   Instead.
[00:27:47.200 --> 00:27:49.200]   Instead of all the way in the top.
[00:27:49.200 --> 00:27:50.200]   So right now is.
[00:27:50.200 --> 00:27:52.200]   All the way at the top of here.
[00:27:52.200 --> 00:27:53.200]   So I could.
[00:27:53.200 --> 00:27:54.200]   Move is down.
[00:27:54.200 --> 00:27:55.200]   But it's kind of hard to move this.
[00:27:55.200 --> 00:27:56.200]   I just made you do it.
[00:27:56.200 --> 00:27:57.200]   It's not that hard.
[00:27:57.200 --> 00:27:58.200]   Move.
[00:27:58.200 --> 00:27:59.200]   Move.
[00:27:59.200 --> 00:28:00.200]   Move.
[00:28:00.200 --> 00:28:01.200]   Move.
[00:28:01.200 --> 00:28:02.200]   Move.
[00:28:02.200 --> 00:28:03.200]   Come on.
[00:28:03.200 --> 00:28:04.200]   I just lost it.
[00:28:04.200 --> 00:28:05.200]   It's just re-implement this then.
[00:28:05.200 --> 00:28:06.200]   Okay.
[00:28:06.200 --> 00:28:07.200]   So I want to implement linear layer.
[00:28:07.200 --> 00:28:08.200]   Linear layer.
[00:28:08.200 --> 00:28:09.200]   I just do a metric multiplication.
[00:28:09.200 --> 00:28:14.200]   And select all my ways and biases here.
[00:28:14.200 --> 00:28:17.200]   And then select my first token.
[00:28:17.200 --> 00:28:20.200]   So I have an actual one to take care of bias.
[00:28:20.200 --> 00:28:21.200]   So this is.
[00:28:21.200 --> 00:28:22.200]   I just re-implemented the linear layer.
[00:28:22.200 --> 00:28:23.200]   And the soft max is the same.
[00:28:23.200 --> 00:28:24.200]   So do not change the soft max layer.
[00:28:24.200 --> 00:28:25.200]   So.
[00:28:25.200 --> 00:28:26.200]   So surprisingly this only thing I had to change.
[00:28:26.200 --> 00:28:27.200]   And I will able to add another layer.
[00:28:27.200 --> 00:28:28.200]   And everything's the same.
[00:28:28.200 --> 00:28:29.200]   But he said.
[00:28:29.200 --> 00:28:30.200]   He said that all this way is going to be different.
[00:28:30.200 --> 00:28:31.200]   Even though I copy and paste are same weights.
[00:28:31.200 --> 00:28:32.200]   But ever you back propagate and stuff.
[00:28:32.200 --> 00:28:33.200]   They were going to have different weights.
[00:28:33.200 --> 00:28:34.200]   Let's just look at that.
[00:28:34.200 --> 00:28:35.200]   What happened here.
[00:28:35.200 --> 00:28:36.200]   If you zoom out now.
[00:28:36.200 --> 00:28:36.200]   We have.
[00:28:36.200 --> 00:28:37.200]   Let me zoom out now.
[00:28:37.200 --> 00:28:38.200]   Now I have two.
[00:28:38.200 --> 00:28:39.200]   Two encoder blocks.
[00:28:39.200 --> 00:28:42.200]   So you can visualize that the weights just increased by two times.
[00:28:42.200 --> 00:28:44.200]   And that was just increased by two times.
[00:28:44.200 --> 00:28:46.200]   And that was just increased by two times.
[00:28:46.200 --> 00:28:48.200]   And that was just increased by two times.
[00:28:48.200 --> 00:28:51.200]   And that was just increased by two times.
[00:28:51.200 --> 00:28:53.200]   And that was just increased by two times.
[00:28:53.200 --> 00:28:56.200]   And that was just increased by two times.
[00:28:56.200 --> 00:28:58.200]   And that was just increased by two times.
[00:28:58.200 --> 00:29:00.200]   And that was just increased by two times.
[00:29:00.200 --> 00:29:03.200]   And that was just increased by two times.
[00:29:03.200 --> 00:29:04.200]   And that was just increased.
[00:29:04.200 --> 00:29:06.200]   And that was just make it prettier.
[00:29:06.200 --> 00:29:09.200]   I'm going to color this into a different color.
[00:29:09.200 --> 00:29:11.200]   So to show that we have two different block.
[00:29:11.200 --> 00:29:12.200]   Maybe this is faster here.
[00:29:12.200 --> 00:29:13.200]   So this is another.
[00:29:13.200 --> 00:29:14.200]   Another block.
[00:29:14.200 --> 00:29:15.200]   The first block.
[00:29:15.200 --> 00:29:16.200]   And second block now.
[00:29:16.200 --> 00:29:17.200]   Okay.
[00:29:17.200 --> 00:29:19.200]   So you can see how that they grow.
[00:29:19.200 --> 00:29:20.200]   Okay.
[00:29:20.200 --> 00:29:21.200]   Blue.
[00:29:21.200 --> 00:29:22.200]   Is it blue?
[00:29:22.200 --> 00:29:23.200]   Okay.
[00:29:23.200 --> 00:29:24.200]   Fine.
[00:29:24.200 --> 00:29:25.200]   Blue is fine.
[00:29:25.200 --> 00:29:26.200]   So we'll have.
[00:29:26.200 --> 00:29:27.200]   Now visualize it.
[00:29:27.200 --> 00:29:29.200]   We have two blocks.
[00:29:29.200 --> 00:29:31.200]   And we also have.
[00:29:31.200 --> 00:29:33.200]   One group.
[00:29:33.200 --> 00:29:34.200]   Attention head.
[00:29:34.200 --> 00:29:36.200]   And each block has four attention.
[00:29:36.200 --> 00:29:37.200]   But it doesn't have to be.
[00:29:37.200 --> 00:29:40.200]   For instance, I could totally just remove this.
[00:29:40.200 --> 00:29:42.200]   If I want to.
[00:29:42.200 --> 00:29:44.200]   What's most important in my opinion.
[00:29:44.200 --> 00:29:48.200]   Is the fact that they all have a fixed dimension of five.
[00:29:48.200 --> 00:29:51.200]   That's how you can stack them up very easily.
[00:29:51.200 --> 00:29:55.200]   It's not a lot of dimension changes between the block.
[00:29:55.200 --> 00:29:59.200]   But they have dimension changes internally in the attention layer.
[00:29:59.200 --> 00:30:02.200]   For instance, you can see that from five to three, three, four.
[00:30:02.200 --> 00:30:06.200]   And one of the other heads from five to three, three, three.
[00:30:06.200 --> 00:30:07.200]   And then concatenate.
[00:30:07.200 --> 00:30:08.200]   You get this bigger one.
[00:30:08.200 --> 00:30:10.200]   And you have to project back again.
[00:30:10.200 --> 00:30:11.200]   So this is necessary.
[00:30:11.200 --> 00:30:14.200]   Because you like them to have the same five dimension.
[00:30:14.200 --> 00:30:15.200]   Now, okay.
[00:30:15.200 --> 00:30:17.200]   Pay attention to the linear layer.
[00:30:17.200 --> 00:30:18.200]   So this is the linear layer.
[00:30:18.200 --> 00:30:19.200]   Maybe we can talk about.
[00:30:19.200 --> 00:30:20.200]   Multi.
[00:30:20.200 --> 00:30:22.200]   But make sure the expert right now.
[00:30:22.200 --> 00:30:23.200]   So this is one.
[00:30:23.200 --> 00:30:25.200]   You can see the one attention layer over here.
[00:30:25.200 --> 00:30:26.200]   Okay.
[00:30:26.200 --> 00:30:29.200]   Do you need skip connection for the residual stream?
[00:30:29.200 --> 00:30:30.200]   Good question.
[00:30:30.200 --> 00:30:32.200]   So this is actually building already.
[00:30:32.200 --> 00:30:33.200]   You can see skip connection.
[00:30:33.200 --> 00:30:34.200]   This purple.
[00:30:34.200 --> 00:30:35.200]   This orange thing.
[00:30:35.200 --> 00:30:38.200]   So that allow means to float all the way down.
[00:30:38.200 --> 00:30:39.200]   Skip over here.
[00:30:39.200 --> 00:30:42.200]   And add it over here.
[00:30:42.200 --> 00:30:44.200]   So this is things that are being added.
[00:30:44.200 --> 00:30:46.200]   You can check the equation.
[00:30:46.200 --> 00:30:49.200]   So I'm adding the blue thing with this orange.
[00:30:49.200 --> 00:30:52.200]   Red thing coming all the way from the above here.
[00:30:52.200 --> 00:30:54.200]   So without skip connection.
[00:30:54.200 --> 00:30:56.200]   When we remove skip connection.
[00:30:56.200 --> 00:30:59.200]   It's basically just not doing anything.
[00:30:59.200 --> 00:31:00.200]   Just delete this.
[00:31:00.200 --> 00:31:02.200]   Now I don't have skip connection anymore.
[00:31:02.200 --> 00:31:03.200]   Okay.
[00:31:03.200 --> 00:31:04.200]   So if I do that.
[00:31:04.200 --> 00:31:07.200]   I'm going to show you a feature of Excel.
[00:31:07.200 --> 00:31:08.200]   You probably.
[00:31:08.200 --> 00:31:09.200]   A lot of people don't know.
[00:31:09.200 --> 00:31:10.200]   But I found it very useful.
[00:31:10.200 --> 00:31:13.200]   For teaching and for research.
[00:31:13.200 --> 00:31:16.200]   Is this thing called.
[00:31:16.200 --> 00:31:17.200]   What else I did?
[00:31:17.200 --> 00:31:19.200]   I just removed the skip connection, right?
[00:31:19.200 --> 00:31:20.200]   So let's see.
[00:31:20.200 --> 00:31:23.200]   If I do a trace precedent.
[00:31:23.200 --> 00:31:24.200]   You can see that.
[00:31:24.200 --> 00:31:26.200]   I'm going to see that.
[00:31:26.200 --> 00:31:27.200]   Oh, actually.
[00:31:27.200 --> 00:31:28.200]   Actually.
[00:31:28.200 --> 00:31:29.200]   Let's just zoom in a little bit.
[00:31:29.200 --> 00:31:30.200]   You can see the error.
[00:31:30.200 --> 00:31:31.200]   So if we do trace precedent.
[00:31:31.200 --> 00:31:33.200]   That Excel has a building.
[00:31:33.200 --> 00:31:35.200]   Building way to show.
[00:31:35.200 --> 00:31:36.200]   Show this kind of.
[00:31:36.200 --> 00:31:37.200]   Pretty cool.
[00:31:37.200 --> 00:31:41.200]   Pretty cool.
[00:31:41.200 --> 00:31:44.200]   This back propagation.
[00:31:44.200 --> 00:31:45.200]   Sort of visualization.
[00:31:45.200 --> 00:31:46.200]   You can see.
[00:31:46.200 --> 00:31:47.200]   How now.
[00:31:47.200 --> 00:31:48.200]   This concatenation.
[00:31:48.200 --> 00:31:50.200]   Project back.
[00:31:50.200 --> 00:31:51.200]   It tell you.
[00:31:51.200 --> 00:31:52.200]   They came from.
[00:31:52.200 --> 00:31:53.200]   Four different attention heads.
[00:31:53.200 --> 00:31:54.200]   And this attention head.
[00:31:54.200 --> 00:31:55.200]   If you trace back.
[00:31:55.200 --> 00:31:57.200]   And came from.
[00:31:57.200 --> 00:31:58.200]   This.
[00:31:58.200 --> 00:31:59.200]   Dot product.
[00:31:59.200 --> 00:32:00.200]   And then came from this.
[00:32:00.200 --> 00:32:01.200]   Eventually.
[00:32:01.200 --> 00:32:02.200]   Came from this input here.
[00:32:02.200 --> 00:32:03.200]   Do you see this?
[00:32:03.200 --> 00:32:05.200]   Kind of cool, huh?
[00:32:05.200 --> 00:32:06.200]   But you remove.
[00:32:06.200 --> 00:32:07.200]   Let's remove the arrow.
[00:32:07.200 --> 00:32:08.200]   Now.
[00:32:08.200 --> 00:32:09.200]   What if we add.
[00:32:09.200 --> 00:32:10.200]   This skip cognition back.
[00:32:10.200 --> 00:32:11.200]   Add.
[00:32:11.200 --> 00:32:13.200]   And go all the way back up.
[00:32:13.200 --> 00:32:14.200]   To select this.
[00:32:14.200 --> 00:32:16.200]   Select this one.
[00:32:16.200 --> 00:32:17.200]   Okay.
[00:32:17.200 --> 00:32:18.200]   Now I've just.
[00:32:18.200 --> 00:32:20.200]   Restore my skip cognition.
[00:32:20.200 --> 00:32:21.200]   And all of a sudden.
[00:32:21.200 --> 00:32:22.200]   You have this.
[00:32:22.200 --> 00:32:23.200]   Shortcut.
[00:32:23.200 --> 00:32:24.200]   To allow your gradient.
[00:32:24.200 --> 00:32:25.200]   To flow.
[00:32:25.200 --> 00:32:26.200]   Directly back.
[00:32:26.200 --> 00:32:28.200]   Here.
[00:32:28.200 --> 00:32:29.200]   Right.
[00:32:29.200 --> 00:32:32.200]   And then to avoid.
[00:32:32.200 --> 00:32:33.200]   Gradient.
[00:32:33.200 --> 00:32:34.200]   Exploding.
[00:32:34.200 --> 00:32:35.200]   Gradient.
[00:32:35.200 --> 00:32:36.200]   Diminishing.
[00:32:36.200 --> 00:32:37.200]   Gradient.
[00:32:37.200 --> 00:32:38.200]   The question.
[00:32:38.200 --> 00:32:39.200]   Also.
[00:32:39.200 --> 00:32:40.200]   Increase the performance.
[00:32:40.200 --> 00:32:41.200]   And.
[00:32:41.200 --> 00:32:42.200]   You can also do.
[00:32:42.200 --> 00:32:43.200]   Play the opposite.
[00:32:43.200 --> 00:32:44.200]   Where did this go?
[00:32:44.200 --> 00:32:45.200]   So you can do.
[00:32:45.200 --> 00:32:46.200]   Dependence.
[00:32:46.200 --> 00:32:47.200]   So you can go.
[00:32:47.200 --> 00:32:48.200]   Down.
[00:32:48.200 --> 00:32:49.200]   Actually.
[00:32:49.200 --> 00:32:50.200]   Doesn't show me.
[00:32:50.200 --> 00:32:51.200]   How come.
[00:32:51.200 --> 00:32:52.200]   One more time.
[00:32:52.200 --> 00:32:53.200]   Dependent.
[00:32:53.200 --> 00:32:54.200]   Okay.
[00:32:54.200 --> 00:32:55.200]   See.
[00:32:55.200 --> 00:32:56.200]   Go all the way down.
[00:32:56.200 --> 00:32:57.200]   And dependent.
[00:32:57.200 --> 00:32:57.200]   Dependent.
[00:32:57.200 --> 00:32:58.200]   Dependent.
[00:32:58.200 --> 00:32:59.200]   Dependent.
[00:32:59.200 --> 00:33:00.200]   And see this.
[00:33:00.200 --> 00:33:01.200]   Visualization.
[00:33:01.200 --> 00:33:02.200]   Kind of cool.
[00:33:02.200 --> 00:33:03.200]   I like this.
[00:33:03.200 --> 00:33:05.200]   Can we have different.
[00:33:05.200 --> 00:33:06.200]   Model dimension.
[00:33:06.200 --> 00:33:07.200]   After each.
[00:33:07.200 --> 00:33:08.200]   Transforming block.
[00:33:08.200 --> 00:33:09.200]   Instead of constant.
[00:33:09.200 --> 00:33:10.200]   Yes.
[00:33:10.200 --> 00:33:11.200]   In theory.
[00:33:11.200 --> 00:33:12.200]   You can.
[00:33:12.200 --> 00:33:13.200]   They cannot prevent you.
[00:33:13.200 --> 00:33:14.200]   From doing it.
[00:33:14.200 --> 00:33:15.200]   But.
[00:33:15.200 --> 00:33:16.200]   So let's see.
[00:33:16.200 --> 00:33:17.200]   If I just.
[00:33:17.200 --> 00:33:19.200]   Purposely.
[00:33:19.200 --> 00:33:21.200]   Purposely add this.
[00:33:21.200 --> 00:33:22.200]   It would.
[00:33:22.200 --> 00:33:23.200]   Purposely have.
[00:33:23.200 --> 00:33:25.200]   Another dimension here.
[00:33:25.200 --> 00:33:26.200]   Okay.
[00:33:26.200 --> 00:33:27.200]   Um.
[00:33:27.200 --> 00:33:29.200]   So this is my multi.
[00:33:29.200 --> 00:33:30.200]   Layer perceptron.
[00:33:30.200 --> 00:33:31.200]   Before.
[00:33:31.200 --> 00:33:32.200]   Or positional white.
[00:33:32.200 --> 00:33:33.200]   Before network.
[00:33:33.200 --> 00:33:34.200]   And so.
[00:33:34.200 --> 00:33:35.200]   Usually.
[00:33:35.200 --> 00:33:36.200]   You take.
[00:33:36.200 --> 00:33:37.200]   This input.
[00:33:37.200 --> 00:33:38.200]   From previous layer.
[00:33:38.200 --> 00:33:39.200]   Five.
[00:33:39.200 --> 00:33:40.200]   And then you project.
[00:33:40.200 --> 00:33:41.200]   Up.
[00:33:41.200 --> 00:33:42.200]   Higher dimensional space.
[00:33:42.200 --> 00:33:43.200]   To capture some.
[00:33:43.200 --> 00:33:44.200]   High.
[00:33:44.200 --> 00:33:45.200]   High.
[00:33:45.200 --> 00:33:46.200]   Higher.
[00:33:46.200 --> 00:33:47.200]   Other logic.
[00:33:47.200 --> 00:33:48.200]   But I had to project.
[00:33:48.200 --> 00:33:49.200]   Back to five.
[00:33:49.200 --> 00:33:51.200]   So they'd be consistent.
[00:33:51.200 --> 00:33:52.200]   And just.
[00:33:52.200 --> 00:33:53.200]   For the argument's sake.
[00:33:53.200 --> 00:33:54.200]   That's what.
[00:33:54.200 --> 00:33:55.200]   Why won't project.
[00:33:55.200 --> 00:33:56.200]   Back to six.
[00:33:56.200 --> 00:33:57.200]   Instead.
[00:33:57.200 --> 00:33:58.200]   So what I have to do.
[00:33:58.200 --> 00:33:59.200]   Is just have one.
[00:33:59.200 --> 00:34:00.200]   Extra layer.
[00:34:00.200 --> 00:34:01.200]   Of weight.
[00:34:01.200 --> 00:34:02.200]   Okay.
[00:34:02.200 --> 00:34:03.200]   One.
[00:34:03.200 --> 00:34:04.200]   Okay.
[00:34:04.200 --> 00:34:05.200]   And then we'll.
[00:34:05.200 --> 00:34:06.200]   Fit.
[00:34:06.200 --> 00:34:07.200]   Now.
[00:34:07.200 --> 00:34:07.200]   Could just review.
[00:34:07.200 --> 00:34:08.200]   Five.
[00:34:08.200 --> 00:34:09.200]   To ten.
[00:34:09.200 --> 00:34:10.200]   And ten.
[00:34:10.200 --> 00:34:11.200]   To six.
[00:34:11.200 --> 00:34:11.200]   Okay.
[00:34:11.200 --> 00:34:12.200]   So this had.
[00:34:12.200 --> 00:34:13.200]   This.
[00:34:13.200 --> 00:34:14.200]   This block has a different.
[00:34:14.200 --> 00:34:15.200]   The D model.
[00:34:15.200 --> 00:34:16.200]   So I have six.
[00:34:16.200 --> 00:34:17.200]   But the thing is.
[00:34:17.200 --> 00:34:18.200]   It doesn't fit here.
[00:34:18.200 --> 00:34:19.200]   How do you.
[00:34:19.200 --> 00:34:20.200]   You have to get six from five.
[00:34:20.200 --> 00:34:21.200]   What can you do?
[00:34:21.200 --> 00:34:22.200]   What are your options?
[00:34:22.200 --> 00:34:23.200]   Go from six.
[00:34:23.200 --> 00:34:24.200]   To five.
[00:34:24.200 --> 00:34:25.200]   The easiest option to.
[00:34:25.200 --> 00:34:26.200]   And then you introduce.
[00:34:26.200 --> 00:34:27.200]   Another linear projection.
[00:34:27.200 --> 00:34:28.200]   In the middle.
[00:34:28.200 --> 00:34:29.200]   Which will be.
[00:34:29.200 --> 00:34:30.200]   Five by six.
[00:34:30.200 --> 00:34:31.200]   Matrix here.
[00:34:31.200 --> 00:34:32.200]   As you can visualize here.
[00:34:32.200 --> 00:34:33.200]   You can just.
[00:34:33.200 --> 00:34:34.200]   If you put this matrix.
[00:34:34.200 --> 00:34:35.200]   Over here.
[00:34:35.200 --> 00:34:36.200]   And do a linear projection.
[00:34:36.200 --> 00:34:37.200]   Then you can allow.
[00:34:37.200 --> 00:34:38.200]   To match.
[00:34:38.200 --> 00:34:39.200]   Another problem.
[00:34:39.200 --> 00:34:40.200]   With this.
[00:34:40.200 --> 00:34:41.200]   Mismatch dimension.
[00:34:41.200 --> 00:34:42.200]   Is that.
[00:34:42.200 --> 00:34:43.200]   How do you even.
[00:34:43.200 --> 00:34:44.200]   Skip connection.
[00:34:44.200 --> 00:34:45.200]   Even on the brain.
[00:34:45.200 --> 00:34:46.200]   Input from the.
[00:34:46.200 --> 00:34:47.200]   Preview.
[00:34:47.200 --> 00:34:48.200]   Input from the.
[00:34:48.200 --> 00:34:49.200]   Preview layer.
[00:34:49.200 --> 00:34:50.200]   And it just.
[00:34:50.200 --> 00:34:51.200]   Doesn't match.
[00:34:51.200 --> 00:34:52.200]   You have to.
[00:34:52.200 --> 00:34:53.200]   Project in the game.
[00:34:53.200 --> 00:34:54.200]   So it's.
[00:34:54.200 --> 00:34:55.200]   That's what.
[00:34:55.200 --> 00:34:56.200]   Used to be the case.
[00:34:56.200 --> 00:34:57.200]   For.
[00:34:57.200 --> 00:34:58.200]   Before.
[00:34:58.200 --> 00:34:59.200]   Transformer.
[00:34:59.200 --> 00:35:00.200]   When we.
[00:35:00.200 --> 00:35:01.200]   When that.
[00:35:01.200 --> 00:35:02.200]   We were dealing with.
[00:35:02.200 --> 00:35:03.200]   Convolution neural network.
[00:35:03.200 --> 00:35:04.200]   The.
