
[00:00:00.000 --> 00:00:01.080]   It looks really fun.
[00:18:46.520 --> 00:18:50.480]   open about, you know, explaining their code as well, teaching concepts.
[00:18:50.480 --> 00:18:54.480]   Like I didn't know if I remember label encoding also at that time.
[00:18:54.480 --> 00:18:58.160]   And someone was like, just my teammate just sat me down and explained it very nicely.
[00:18:58.160 --> 00:18:58.520]   Yeah.
[00:18:58.520 --> 00:18:58.880]   Yeah.
[00:18:58.880 --> 00:18:59.080]   Yeah.
[00:18:59.080 --> 00:19:01.800]   It's a super valuable experience teaming up.
[00:19:01.800 --> 00:19:02.600]   Uh, yeah.
[00:19:02.600 --> 00:19:05.760]   And it's something I'm going to try to do more often going forward.
[00:19:05.760 --> 00:19:07.840]   Yeah.
[00:19:07.840 --> 00:19:11.440]   I look forward to more gold medals and then we can invite you for more talks.
[00:19:11.440 --> 00:19:13.960]   Absolutely.
[00:19:13.960 --> 00:19:19.960]   So how's, uh, and this will allow me to transition back to the competition.
[00:19:19.960 --> 00:19:23.280]   How do you usually approach, uh, competitions once you sign up?
[00:19:23.280 --> 00:19:29.840]   So I normally pick competitions wherever there's a sort of gap in my knowledge.
[00:19:29.840 --> 00:19:35.640]   So, uh, you know, if I want to learn about NLP, I'll join an L NLP competition.
[00:19:35.640 --> 00:19:40.520]   Um, so I try to pick competitions that have a gap in my knowledge.
[00:19:40.520 --> 00:19:43.840]   Um, and also quite, quite like the science-y based ones.
[00:19:43.840 --> 00:19:47.960]   So I really enjoyed the one with predicting molecular properties.
[00:19:47.960 --> 00:19:48.760]   That was pretty cool.
[00:19:48.760 --> 00:19:49.960]   So it's quite physics-y.
[00:19:49.960 --> 00:19:53.760]   Um, I'm really enjoying the gravitational waves one at the moment.
[00:19:53.760 --> 00:19:55.800]   So I like, I like those sorts of things.
[00:19:55.800 --> 00:20:01.520]   Um, and the other thing is whenever you're, if you're working on a problem
[00:20:01.520 --> 00:20:06.040]   and you, you always get a little bit of an edge if you research the problem.
[00:20:06.040 --> 00:20:09.520]   And I really like researching the science-y stuff because, you know, you
[00:20:09.520 --> 00:20:13.640]   learn a little bit about the world around you then, so that's kind of, kind of like,
[00:20:13.640 --> 00:20:17.600]   I always go for this more science-y based, um, competitions.
[00:20:18.480 --> 00:20:26.240]   Um, but yeah, but what's my sort of a general approach is, uh, yeah, have a look around.
[00:20:26.240 --> 00:20:32.680]   Um, I'd usually open up someone else's EDA notebook, cause I'm terrible at EDA.
[00:20:32.680 --> 00:20:34.600]   It takes me 20 minutes to make a plot.
[00:20:34.600 --> 00:20:38.000]   I take five hours.
[00:20:38.000 --> 00:20:43.360]   So you're like, I'm pretty sure I've Googled 10 times this week, how to make, how to
[00:20:43.360 --> 00:20:44.800]   change a figure size in my plot.
[00:20:44.800 --> 00:20:49.360]   I'm happy to know I'm not the only one.
[00:20:49.360 --> 00:20:55.080]   So I normally fire up someone else's notebook and if the data looks really
[00:20:55.080 --> 00:21:02.720]   interesting and the competition has like lots of scope for crazy ideas, um, then I'll jump in.
[00:21:02.720 --> 00:21:10.320]   Um, so then my normal approach is download the data and then I'll try to do my own
[00:21:10.320 --> 00:21:16.360]   data exploration, um, mostly not really getting into the nitty gritty of the data,
[00:21:16.360 --> 00:21:21.280]   but the first question I've tried to answer is how, how can I build a cross
[00:21:21.280 --> 00:21:24.240]   validation scheme that's robust for this dataset?
[00:21:24.240 --> 00:21:29.360]   So for example, I, you know, if it was for say medical data, you might want to
[00:21:29.360 --> 00:21:31.520]   group by patient ID and stuff like that.
[00:21:31.520 --> 00:21:37.080]   So I would try to really quickly explore the data, see how I can get a robust
[00:21:37.080 --> 00:21:41.160]   cross validation scheme, because if you don't have a good cross validation
[00:21:41.160 --> 00:21:45.440]   scheme, you're blind, um, ideally you don't want to be relying on a
[00:21:45.440 --> 00:21:46.880]   public leaderboard for anything.
[00:21:46.880 --> 00:21:51.160]   So I kind of treat the public leaderboard, if you're doing five fold cross
[00:21:51.160 --> 00:21:55.880]   validation, treat that as a six fold, not as your private leaderboard.
[00:21:55.880 --> 00:22:03.520]   Um, so the, I try to do a little bit of exploration, not, not too deep, try to
[00:22:03.520 --> 00:22:08.680]   finalize my validation scheme and then try to get a baseline submission on the
[00:22:08.680 --> 00:22:12.200]   leaderboard within 48 to 72 hours.
[00:22:12.200 --> 00:22:15.680]   The reason I tried to do it too quickly is because I might get distracted by
[00:22:15.680 --> 00:22:19.200]   something else and go somewhere, you know, when you, when you fire up a new dataset,
[00:22:19.200 --> 00:22:21.080]   you get excited and you want to do it quickly.
[00:22:21.080 --> 00:22:24.960]   If I don't do it in that timeframe, I'll probably lose interest and do something
[00:22:24.960 --> 00:22:25.240]   else.
[00:22:25.240 --> 00:22:31.680]   So I tried to get on the leaderboard, get a baseline model on, um, with, and I tried
[00:22:31.680 --> 00:22:35.400]   to do that without looking at any of the existing public notebooks.
[00:22:35.400 --> 00:22:42.240]   So, cause, um, yeah, it's that way you've done everything originally and you're not
[00:22:42.240 --> 00:22:44.240]   biased by any other people's thoughts.
[00:22:44.240 --> 00:22:47.320]   And even if it's, you know, right at the bottom of the leaderboard, you've already
[00:22:47.320 --> 00:22:50.400]   got your pipeline in shape and you can start tweaking ideas.
[00:22:50.400 --> 00:22:57.160]   And then normally once I've done that, I usually have, I have probably four rules
[00:22:57.160 --> 00:22:59.800]   I try to stick to when I'm doing a competition.
[00:22:59.800 --> 00:23:02.520]   The first three rules are pretty, pretty standard.
[00:23:02.520 --> 00:23:06.720]   It was the fourth one I probably picked up probably a year and a half ago.
[00:23:06.720 --> 00:23:09.520]   And that really helped me boost my leaderboard position.
[00:23:09.520 --> 00:23:16.200]   So the first one, um, and I've all, since I started competing in Kaggle, I've never
[00:23:16.200 --> 00:23:17.880]   forked a public notebook.
[00:23:17.880 --> 00:23:19.000]   Never.
[00:23:19.000 --> 00:23:23.520]   Um, so if I like a notebook, I'd always upvote it, always upvote the notebook.
[00:23:23.520 --> 00:23:24.440]   It helps the authors.
[00:23:25.400 --> 00:23:28.960]   And then I, if there's something I like in there, I'll always
[00:23:28.960 --> 00:23:30.600]   reimplement it from scratch.
[00:23:30.600 --> 00:23:35.920]   Um, and that way you really understand what's going on in the code.
[00:23:35.920 --> 00:23:38.000]   And if there's any bugs, you'll catch it.
[00:23:38.000 --> 00:23:42.720]   You know, um, Abhishek, um, his, his thing is if you didn't code, you didn't learn.
[00:23:42.720 --> 00:23:48.480]   Cause if you just hit the fork button, you, you don't know, you, you, you might
[00:23:48.480 --> 00:23:51.640]   scan through the code, but you may not, might not comprehend what it is.
[00:23:52.560 --> 00:23:56.680]   It's like this weird, uh, you nod to the cell and you press shift enter.
[00:23:56.680 --> 00:24:00.400]   But when you try to replicate, like, then you realize, ah, I'm not that good.
[00:24:00.400 --> 00:24:02.840]   I don't feel as smart as I was like doing earlier.
[00:24:02.840 --> 00:24:05.280]   At least for me, that's what that's like.
[00:24:05.280 --> 00:24:09.640]   Just cause just going through the motions and re implementing something from scratch
[00:24:09.640 --> 00:24:13.120]   helps really cement it, cement an idea and a concept in your head.
[00:24:13.120 --> 00:24:16.960]   And the other thing with public notebooks is that people publish
[00:24:16.960 --> 00:24:18.760]   notebooks for different reasons.
[00:24:18.880 --> 00:24:22.640]   So, um, last week I was trying to learn something new in, in the
[00:24:22.640 --> 00:24:24.880]   gravitational waves, um, competition.
[00:24:24.880 --> 00:24:29.400]   So I published a notebook on wavelet transforms just because I wanted to
[00:24:29.400 --> 00:24:32.680]   better understand it and I wanted to get feedback from other people.
[00:24:32.680 --> 00:24:36.760]   Um, just because I published it, I did, I wasn't saying you need, you need
[00:24:36.760 --> 00:24:38.320]   to use this on your pipeline.
[00:24:38.320 --> 00:24:41.520]   It was mostly to get feedback and probably definitely bugs in there.
[00:24:41.520 --> 00:24:45.320]   It's probably definitely better ways of implementing that thing.
[00:24:45.560 --> 00:24:49.920]   But, um, you know, so you just, just be aware that people publish
[00:24:49.920 --> 00:24:51.160]   notebooks for different reasons.
[00:24:51.160 --> 00:24:54.080]   A lot of the time is because they want to learn as well.
[00:24:54.080 --> 00:24:54.840]   Yeah.
[00:24:54.840 --> 00:24:58.720]   Um, so that's, that's when I started Kaggle, that's the number one rule I
[00:24:58.720 --> 00:25:02.280]   tried to stick to, which I kind of, kind of do.
[00:25:02.280 --> 00:25:07.480]   Um, the other thing was never to use ideas from the discussion
[00:25:07.480 --> 00:25:08.640]   boards without testing them.
[00:25:08.640 --> 00:25:13.240]   Because, um, there's a lot of really good ideas on the discussion boards.
[00:25:13.320 --> 00:25:16.600]   Um, and you know, if someone says, Hey, we, I did this and I boosted my
[00:25:16.600 --> 00:25:22.600]   leaderboard position by this, um, They, they might be right and they might be wrong.
[00:25:22.600 --> 00:25:26.600]   You know, um, the, the Kaggle boards have really, it's probably the
[00:25:26.600 --> 00:25:28.160]   friendliest place on the internet.
[00:25:28.160 --> 00:25:28.960]   I love it.
[00:25:28.960 --> 00:25:30.320]   It's a really good community.
[00:25:30.320 --> 00:25:35.280]   And there's, I don't think people share malicious knowledge on that intentionally,
[00:25:35.280 --> 00:25:40.680]   but if there's an idea shared on there and someone gets a leaderboard boost, it might
[00:25:40.680 --> 00:25:44.080]   not translate in a leaderboard boost for you, and there's a whole number of reasons
[00:25:44.080 --> 00:25:48.080]   for that, maybe they, they using a different validation scheme, maybe they
[00:25:48.080 --> 00:25:52.160]   only tested it on a single fold, or maybe they have a leakage in the cross validation.
[00:25:52.160 --> 00:25:57.960]   So it's always don't, don't take an idea from the discussion board and
[00:25:57.960 --> 00:26:00.600]   then just go with it blindly, always test it.
[00:26:00.600 --> 00:26:09.400]   Um, and then the third thing I tried to stick to when I, um, in, when I'm doing
[00:26:09.400 --> 00:26:13.760]   my sort of experiments is it sounds really simple, um, and it's really hard
[00:26:13.760 --> 00:26:17.400]   for me because I'm a very impatient person, but just, just to change one thing
[00:26:17.400 --> 00:26:25.920]   at a time, um, so, you know, in science, in science, if you're trying to figure
[00:26:25.920 --> 00:26:31.000]   out if changing something actually made a difference, you can only tell, tell, if
[00:26:31.000 --> 00:26:32.360]   you only change one thing at a time.
[00:26:32.360 --> 00:26:36.520]   And one thing you see quite commonly on, on the discussion boards is, uh, you
[00:26:36.520 --> 00:26:42.080]   know, let's say you're in an image competition and someone says, Oh, I got
[00:26:42.080 --> 00:26:47.560]   this much of a leaderboard boost by going from efficient net B0 to B7, but
[00:26:47.560 --> 00:26:52.200]   obviously you're going to have to reduce your batch size to fit a B7 model on your
[00:26:52.200 --> 00:26:52.720]   GPU.
[00:26:52.720 --> 00:26:54.120]   So you've changed two things there.
[00:26:54.120 --> 00:26:56.960]   So how do you know if your batch size has made the difference or
[00:26:56.960 --> 00:26:58.400]   the model has made a difference?
[00:26:58.400 --> 00:27:02.400]   So you just got to be very careful around changing one thing at a time.
[00:27:02.400 --> 00:27:05.800]   It's very difficult, especially with deep learning, because things take a long
[00:27:05.800 --> 00:27:06.720]   time to do.
[00:27:06.720 --> 00:27:10.360]   And if you're impatient like me, it's very hard to, Oh, maybe I'll change
[00:27:10.360 --> 00:27:11.560]   this and this at the same time.
[00:27:11.560 --> 00:27:16.120]   Um, it's just going to be patient and change one thing at a time.
[00:27:16.120 --> 00:27:21.840]   And then the last thing that I tried to, I've really tried to focus on in the
[00:27:21.840 --> 00:27:24.800]   last few years, and I think it's, I think it's been working okay for me.
[00:27:24.800 --> 00:27:32.600]   And I think maybe, um, CPMC said it, um, one day, but he said that the best
[00:27:32.600 --> 00:27:37.440]   Kagglers, um, don't know, always have the best idea that people at the top of
[00:27:37.440 --> 00:27:38.960]   leaderboard don't always have the best ideas.
[00:27:38.960 --> 00:27:43.000]   They just have the ability to test them most amount of ideas in the shortest
[00:27:43.000 --> 00:27:43.520]   amount of time.
[00:27:43.520 --> 00:27:46.280]   And I really tried to focus on that.
[00:27:46.280 --> 00:27:52.400]   So, um, you know, if you read a lot of the previous solutions, unless there's a
[00:27:52.400 --> 00:27:56.360]   problem with the data set, like a leakage, or there's some sort of difference
[00:27:56.360 --> 00:28:01.280]   between the train train and, and the test they've set a lot of the top solutions.
[00:28:01.320 --> 00:28:04.440]   Aren't there's not one magic, right?
[00:28:04.440 --> 00:28:07.680]   There's not one thing that makes it a top solution.
[00:28:07.680 --> 00:28:10.640]   I mean, unless there's a leak and those are common anymore.
[00:28:10.640 --> 00:28:12.000]   Yeah.
[00:28:12.000 --> 00:28:18.400]   So I would say 90, 90% of the competitions, the best solutions are just a really good
[00:28:18.400 --> 00:28:20.640]   culmination of lots of small ideas, right.
[00:28:20.640 --> 00:28:22.040]   That work well together.
[00:28:22.040 --> 00:28:28.640]   So if you're able to test lots of ideas quickly, that's going to really help you.
[00:28:29.160 --> 00:28:35.560]   So one thing I've tried to do is just, um, work with a small model.
[00:28:35.560 --> 00:28:39.120]   You know, if you have a really big data set, maybe work with half of the data set
[00:28:39.120 --> 00:28:41.440]   or 10% of the data set.
[00:28:41.440 --> 00:28:45.600]   And, um, you know, if you see in the discussion board, someone's got a great
[00:28:45.600 --> 00:28:50.640]   score with an efficient net B7, stay with B0 for as long as possible.
[00:28:50.640 --> 00:28:51.000]   Right.
[00:28:51.000 --> 00:28:57.000]   And it allows you to get your idea iteration down rather than days, get
[00:28:57.000 --> 00:28:58.560]   it down to hours and minutes.
[00:28:58.960 --> 00:29:03.760]   And you can just test so many more ideas and it, that kind of philosophy
[00:29:03.760 --> 00:29:06.000]   works well in real life, right?
[00:29:06.000 --> 00:29:10.160]   You know, like a formula one team, they, they don't build full scale
[00:29:10.160 --> 00:29:11.840]   cars to put in a wind tunnel.
[00:29:11.840 --> 00:29:16.400]   They, they, they have model cars or, um, there's a guy called Gordon Murray.
[00:29:16.400 --> 00:29:20.440]   He used to build formula one cars and he's building a new car called the T50.
[00:29:20.440 --> 00:29:22.920]   And it's got this brand new V12 engine in it.
[00:29:22.920 --> 00:29:25.640]   He went to the company called Cosworth to build it.
[00:29:26.360 --> 00:29:29.600]   And they, they didn't bother developing a V12 engine because that would be
[00:29:29.600 --> 00:29:31.440]   too big and expensive to make every time.
[00:29:31.440 --> 00:29:35.440]   So they built a three cylinder engine, did all the development on that, and
[00:29:35.440 --> 00:29:38.560]   then scaled it up because it's one quarter of the size and one quarter of the cost.
[00:29:38.560 --> 00:29:42.960]   So I tried to approach my experimentation that way.
[00:29:42.960 --> 00:29:45.760]   So stay small for as long as possible.
[00:29:45.760 --> 00:29:49.600]   Try to iterate your ideas in minutes or hours rather than days.
[00:29:49.600 --> 00:29:52.560]   And then once you get towards the end of the competition, then
[00:29:52.560 --> 00:29:54.400]   train, start training your bigger models.
[00:29:54.480 --> 00:29:57.080]   And it seems to be working all right for me.
[00:29:57.080 --> 00:29:59.880]   So far, that's, that's probably when I started to see the
[00:29:59.880 --> 00:30:01.760]   biggest change in my performance.
[00:30:01.760 --> 00:30:06.280]   I want to highlight like how incredibly difficult that is because like I've
[00:30:06.280 --> 00:30:09.760]   recently started competing again and I found my old posts, which was from my
[00:30:09.760 --> 00:30:14.200]   first competition and that's how I recall this, but like my intuition at that time.
[00:30:14.200 --> 00:30:17.680]   And I'm sure this might be for a few people is to just like throw the biggest
[00:30:17.680 --> 00:30:22.040]   model, because if I throw a ResNet at an image classification problem, it should
[00:30:22.040 --> 00:30:25.440]   work, right? Maybe not ResNet, maybe a FishNet B5, like it should work.
[00:30:25.440 --> 00:30:26.600]   That's the best model.
[00:30:26.600 --> 00:30:28.560]   Like I should just throw the complete data.
[00:30:28.560 --> 00:30:29.320]   No, no, no, no.
[00:30:29.320 --> 00:30:31.000]   You'll, you'll find out the hard way.
[00:30:31.000 --> 00:30:32.480]   Three days later.
[00:30:32.480 --> 00:30:33.560]   Exactly.
[00:30:33.560 --> 00:30:34.000]   Exactly.
[00:30:34.000 --> 00:30:36.960]   And it's always tempting because you always see that one guy in the discussion
[00:30:36.960 --> 00:30:41.520]   board saying, I've got this score with a B7 or whatever, and you're like, Oh, and
[00:30:41.520 --> 00:30:43.440]   it feels good to get up to the leaderboard, right?
[00:30:43.440 --> 00:30:48.240]   If it feels really good when you train a big model and you get up, but it feels
[00:30:48.240 --> 00:30:52.880]   even better if you can match that score with a tiny model, with a bunch of really
[00:30:52.880 --> 00:30:53.600]   good ideas.
[00:30:53.600 --> 00:30:56.480]   And then when you train the big model, it's even better.
[00:30:56.480 --> 00:30:59.000]   Um, and it's also good.
[00:30:59.000 --> 00:31:03.120]   Usually in the competition, there's a thread that says best single model.
[00:31:03.120 --> 00:31:07.200]   And if you can put a post up there saying, Oh, I've got this score with a
[00:31:07.200 --> 00:31:09.760]   ResNet 34 or something like that.
[00:31:09.760 --> 00:31:13.960]   It really helps if you want to team up and stuff like that, because, um, people
[00:31:13.960 --> 00:31:15.400]   see that and it's good.
[00:31:15.400 --> 00:31:18.560]   And it's just, it's just easier to iterate ideas.
[00:31:18.560 --> 00:31:20.160]   You can test more stuff quicker.
[00:31:20.160 --> 00:31:25.280]   Uh, and yeah, the, my mantra is test, test most of my ideas in the shortest
[00:31:25.280 --> 00:31:25.920]   amount of time.
[00:31:25.920 --> 00:31:30.640]   Um, and that I tried to write my code to help that.
[00:31:30.640 --> 00:31:35.560]   So I can just line up experiments one after another and do it quickly.
[00:31:35.560 --> 00:31:37.080]   So we can get into that later on.
[00:31:37.080 --> 00:31:37.320]   Yeah.
[00:31:37.320 --> 00:31:38.280]   Yeah.
[00:31:38.280 --> 00:31:40.920]   We'll definitely be diving into, into the code base.
[00:31:40.920 --> 00:31:45.440]   And you must agree to do walkthrough for us so that like no one is upset with that.
[00:31:45.440 --> 00:31:50.200]   But, uh, I'll, I'll, what I'll do is I'll start by describing the problem and
[00:31:50.200 --> 00:31:52.520]   Anjum, you can help me out if I miss out on any points.
[00:31:52.520 --> 00:31:57.720]   So what I like to do is I usually just, uh, head over to the page, try to read
[00:31:57.720 --> 00:32:01.840]   around a bit, try to understand sometimes like my biggest mistake has not, has been
[00:32:01.840 --> 00:32:03.400]   like not to read this thoroughly.
[00:32:03.400 --> 00:32:07.560]   And then 15 days into the competition, I'd come back and realize I should
[00:32:07.560 --> 00:32:08.680]   have just read this.
[00:32:08.680 --> 00:32:09.640]   Yeah.
[00:32:09.640 --> 00:32:13.800]   There's obviously quite a lot of little subtle things in here that you can just,
[00:32:13.800 --> 00:32:15.120]   if you scan through, you might miss.
[00:32:15.120 --> 00:32:16.640]   And then you read it again.
[00:32:16.640 --> 00:32:19.480]   It's like, oh, that's why the data looks like this or something like that.
[00:32:19.480 --> 00:32:20.760]   Yeah.
[00:32:20.760 --> 00:32:24.880]   So I've already read through this, but the problem statement here is, uh, usually
[00:32:24.880 --> 00:32:29.040]   people use, uh, tools like, I don't know how to pronounce this, so I won't.
[00:32:29.040 --> 00:32:31.880]   And, uh, I haven't studied literature in a long time.
[00:32:31.880 --> 00:32:36.240]   So I had to look up what syllables are, but, uh, for different grades, they have
[00:32:36.240 --> 00:32:42.640]   this score of understanding how, uh, difficult or easy a passages and the
[00:32:42.640 --> 00:32:44.360]   argument by the organizers.
[00:32:44.360 --> 00:32:51.200]   So organizers here is common lit, which is an organization that
[00:32:51.200 --> 00:32:53.720]   makes, uh, students better readers.
[00:32:53.720 --> 00:32:57.280]   So they're trying to help them, uh, through this competition and other
[00:32:57.280 --> 00:33:02.800]   softwares, so their argument is this isn't the best way and they want, uh,
[00:33:02.800 --> 00:33:06.280]   they wanted the competitors to use, uh, machine learning to help them.
[00:33:06.280 --> 00:33:11.720]   After this, I usually hover over to evaluation because sometimes the
[00:33:11.720 --> 00:33:14.560]   metrics are weird and then I have to like find a kernel where it's
[00:33:14.560 --> 00:33:16.440]   implemented so that I can copy it.
[00:33:16.440 --> 00:33:21.760]   But luckily here was the RMSE, uh, which is pretty straightforward.
[00:33:21.760 --> 00:33:27.440]   The reason it's RMSE is, uh, for this problem, uh, remember, I just said about
[00:33:27.440 --> 00:33:32.880]   this code, uh, you need to target the targets are these scores and you
[00:33:32.880 --> 00:33:35.000]   need to predict this number.
[00:33:35.000 --> 00:33:37.000]   So that's why it's a regression problem.
[00:33:37.000 --> 00:33:40.160]   And for regression problems, you have root mean squared error.
[00:33:40.160 --> 00:33:43.520]   I'm not going to describe that, but please feel free to ask if you're not clear on that.
[00:33:43.520 --> 00:33:49.080]   Uh, and this is quite unusual for an NLP problem, because normally with NLP, you
[00:33:49.080 --> 00:33:53.560]   might be classifying something or trying to extract a sequence in this case.
[00:33:53.560 --> 00:33:58.760]   It's a regression problem, which is I've not seen an NLP before, but, um, it's quite
[00:33:58.760 --> 00:33:59.240]   unusual.
[00:33:59.240 --> 00:34:06.440]   So yeah, it, it really, and the other thing with RMSE, you can, if for a loss
[00:34:06.440 --> 00:34:09.120]   function, you can directly optimize that as well.
[00:34:09.120 --> 00:34:12.160]   So this is in a lot of competitions.
[00:34:12.160 --> 00:34:17.400]   If the metric, the metric is not directly optimized, like AUC or something like
[00:34:17.400 --> 00:34:19.920]   that, you have to use a proxy loss function.
[00:34:20.560 --> 00:34:24.400]   But for RMSE, you can directly optimize that, which is just handy.
[00:34:24.400 --> 00:34:25.720]   It makes things easier for us.
[00:34:25.720 --> 00:34:31.240]   Well, AUC, I remember you can just like make 0.5 predictions and then you get a nice
[00:34:31.240 --> 00:34:34.320]   score and you get deceived as if you're doing a nice prediction, but you really
[00:34:34.320 --> 00:34:34.560]   know it.
[00:34:34.560 --> 00:34:38.040]   So you have to come up with tricks there.
[00:34:38.040 --> 00:34:43.880]   Um, but yeah, like I was looking at the data and it's this incredibly small data
[00:34:43.880 --> 00:34:46.480]   set of, I think about 2,500 rows.
[00:34:46.600 --> 00:34:49.680]   Uh, switch over to column.
[00:34:49.680 --> 00:34:55.440]   So the columns here, uh, and I've already gone ahead and written about these, please
[00:34:55.440 --> 00:35:00.760]   excuse this writing, but these are the columns you have the ID, which is the ID of
[00:35:00.760 --> 00:35:01.280]   the text.
[00:35:01.280 --> 00:35:03.200]   The URL is there for source.
[00:35:03.200 --> 00:35:08.440]   Uh, I'm assuming people might have crawled websites, uh, Kagglers do like fancy stuff.
[00:35:08.440 --> 00:35:10.120]   So maybe that's why they left in there.
[00:35:10.880 --> 00:35:19.240]   Licenses talk about, uh, for example, is it by CC, CC by four, which means that can
[00:35:19.240 --> 00:35:23.760]   you just use this and like build upon it as long as you give credit licenses are like
[00:35:23.760 --> 00:35:26.280]   quite a nitty gritty.
[00:35:26.280 --> 00:35:29.920]   I don't want to get in them, but like these usually give you the freedom to work with
[00:35:29.920 --> 00:35:30.280]   data.
[00:35:30.280 --> 00:35:35.360]   Then there's the excerpt, which is the main NLP need.
[00:35:35.360 --> 00:35:39.320]   Uh, and there's, there's the like words of the paragraphs that you need to
[00:35:39.320 --> 00:35:42.560]   understand your model needs to understand and predict the target.
[00:35:42.560 --> 00:35:44.720]   And then there are the errors.
[00:35:44.720 --> 00:35:49.200]   Now these, again, the one thing I learned after a while was there were different
[00:35:49.200 --> 00:35:51.520]   reviewers which had given these errors.
[00:35:51.520 --> 00:35:55.480]   So that's why like there's a spread of errors out in here.
[00:35:55.480 --> 00:35:59.000]   Awesome.
[00:35:59.000 --> 00:35:59.800]   Did I miss anything?
[00:35:59.800 --> 00:36:01.520]   No, no, that's it.
[00:36:01.520 --> 00:36:01.880]   Yeah.
[00:36:01.880 --> 00:36:03.360]   Yeah.
[00:36:03.360 --> 00:36:08.640]   So I guess if you expand this, you can kind of see the distribution of the target
[00:36:08.640 --> 00:36:09.040]   variable.
[00:36:09.040 --> 00:36:09.520]   There you go.
[00:36:09.520 --> 00:36:14.880]   So it looks like it's almost like a Gaussian distribution, but not quite.
[00:36:14.880 --> 00:36:19.800]   And you get, you get scores from say minus three to plus two.
[00:36:19.800 --> 00:36:24.000]   Um, and relating to how difficult the passage is to reading.
[00:36:24.000 --> 00:36:30.920]   And I think, um, yeah, so the scores were, I think they were derived to using
[00:36:30.920 --> 00:36:32.840]   something called a Bradley Terry model.
[00:36:33.840 --> 00:36:40.480]   And, um, there were, I think they asked lots of teachers to, um, with pairs of
[00:36:40.480 --> 00:36:43.880]   combinations of these experts and try to ask them which one is harder.
[00:36:43.880 --> 00:36:50.360]   And then they used, um, those sort of put all of those ratings in a matrix.
[00:36:50.360 --> 00:36:53.280]   And then there's a, there's some sort of model that converts those
[00:36:53.280 --> 00:36:55.120]   ratios to a score like this.
[00:36:55.120 --> 00:37:01.120]   And because not all of the teachers saw all of the experts, they were able to
[00:37:01.120 --> 00:37:03.480]   calculate a standard error on that prediction.
[00:37:03.960 --> 00:37:05.600]   Which I thought was an interesting feature.
[00:37:05.600 --> 00:37:08.680]   I, and what is one of the reasons I jumped into the competition, because I
[00:37:08.680 --> 00:37:13.560]   work with uncertain data all the time with work and how you treat errors is
[00:37:13.560 --> 00:37:18.720]   that to be quite careful, but in the end, the standard error was, didn't come in
[00:37:18.720 --> 00:37:22.280]   that useful, but we can talk about that later, but it was an interesting feature,
[00:37:22.280 --> 00:37:24.280]   interesting thing to add to the dataset.
[00:37:24.280 --> 00:37:25.320]   Yeah.
[00:37:25.320 --> 00:37:26.760]   Sounds interesting for sure.
[00:37:26.760 --> 00:37:29.520]   And yeah, it does look like a Gaussian distribution.
[00:37:29.520 --> 00:37:31.360]   Uh, again, we'll not go into that depth.
[00:37:31.360 --> 00:37:33.000]   If you're not clear why those are important.
[00:37:33.000 --> 00:37:33.680]   Feel free to ask.
[00:37:33.680 --> 00:37:37.000]   We'd be happy to go into that, but this is a slightly advanced discussion.
[00:37:37.000 --> 00:37:38.600]   So I'm just skipping over those details.
[00:37:38.600 --> 00:37:41.480]   Please don't feel like you're not welcome to ask questions as a reminder.
[00:37:41.480 --> 00:37:46.800]   The thing I like to do, uh, here afterwards is I just usually hop over to
[00:37:46.800 --> 00:37:53.200]   code, I sort by best score, some hyper parameter tuning and submit, but that's
[00:37:53.200 --> 00:37:56.280]   not, that's not why I wanted to point these out.
[00:37:56.280 --> 00:38:01.440]   We have a few Kaggle grandmaster who's also the, who are also our ambassadors
[00:38:01.440 --> 00:38:04.120]   who've created these nice dashboards for us.
[00:38:04.120 --> 00:38:07.600]   So I'm just going to go through those to again, highlight a few details
[00:38:07.600 --> 00:38:10.840]   about the data since they've done the ED and I didn't want to butcher their work.
[00:38:10.840 --> 00:38:14.520]   So this is by Andrada Altiano.
[00:38:14.520 --> 00:38:17.080]   Uh, yeah, I love Andrada's notebooks.
[00:38:17.080 --> 00:38:18.080]   They're always so good.
[00:38:18.080 --> 00:38:23.160]   Her notebooks are just like this incredible artist, the ones where you get to like,
[00:38:23.160 --> 00:38:25.560]   it's just a different definition.
[00:38:25.560 --> 00:38:28.360]   Yeah, exactly.
[00:38:30.000 --> 00:38:31.600]   I think this is more of a baseline.
[00:38:31.600 --> 00:38:33.800]   So I, I'm, I'm confusing myself.
[00:38:33.800 --> 00:38:36.120]   I wanted to show Ruchi's dashboard.
[00:38:36.120 --> 00:38:42.200]   Ruchi is also, she's a 2x Kaggle grandmaster and she did this ED inside of
[00:38:42.200 --> 00:38:45.080]   her kernel, which is, you can find this up.
[00:38:45.080 --> 00:38:50.160]   Uh, I request Andrea to share this as well, but the nice thing we can do is
[00:38:50.160 --> 00:38:53.600]   since she's created a dashboard, I don't have to go through a notebook.
[00:38:53.600 --> 00:38:56.760]   I just get all of the details right here and we can glance over those.
[00:38:56.760 --> 00:38:58.360]   Yeah, this is really cool.
[00:38:58.360 --> 00:39:02.920]   So I, I, I didn't know that you could do this with weights and biases, because
[00:39:02.920 --> 00:39:07.640]   this is kind of like a Power BI or Tableau sort of dashboard view.
[00:39:07.640 --> 00:39:10.880]   I've only used it for sort of model logging, but this is super cool.
