
[00:00:00.000 --> 00:00:18.840]   welcome everybody thanks for showing up bright and early this morning we're gonna make your
[00:33:27.200 --> 00:33:32.480]   them in and especially there's the overall compute cost of trying to use those long contexts fully
[00:33:33.440 --> 00:33:38.720]   so we create chunks we use some of that metadata that we've created inject that in like knowing
[00:33:38.720 --> 00:33:45.280]   the hierarchical structure of that along the way we set bounding boxes this is one reason when we do
[00:33:45.280 --> 00:33:50.880]   image captioning for example we don't want to take the entire whole page and do that we like to know
[00:33:50.880 --> 00:33:56.800]   where the images are so we can do bounding box so the user knows when we say sales went up by you
[00:33:56.800 --> 00:34:00.640]   know 10 10 10 they know where on the page exactly it was
[00:34:00.640 --> 00:34:09.360]   so within the platform and i know you can't get to it right now we have what the components you can see
[00:34:09.360 --> 00:34:19.040]   on the left side let me see if i can kind of right there all the individual parts of our platform you can
[00:34:19.040 --> 00:34:24.480]   work with individually and we have a playground for that so this is the parse piece here where you can just
[00:34:24.480 --> 00:34:30.720]   take a pdf document decide how you want the extraction i just want text or hey i want the full works where
[00:34:30.720 --> 00:34:36.880]   i want image captioning as well or i have long tables i want the table extraction mode and you can do that
[00:34:36.880 --> 00:34:43.360]   right inside the ui see what the results look like now of course right when developers we also have an api
[00:34:43.360 --> 00:34:52.000]   python sdks javascript sdks as well so you can do this programmatically as well but that's the first step
[00:34:52.000 --> 00:34:59.680]   that's the first step here is the first step here is the query reformulation and so here depending on if
[00:34:59.680 --> 00:35:20.560]   you're doing multi-turn we need to take into account the previous conversations query expansion maybe the
[00:35:20.560 --> 00:35:34.240]   types of users are doing lots of abbreviations inside your company so we need to take that query make it
[00:35:34.240 --> 00:35:40.640]   a little richer and fuller before we pass that in to get good results or on the other hand maybe your
[00:35:40.640 --> 00:35:47.280]   folks are putting in long complex queries where what we want to do is take that query break it up into smaller
[00:35:47.280 --> 00:35:52.720]   sub queries answer each of those so this is where you have the flexibility you can turn these knobs
[00:35:52.720 --> 00:35:59.120]   on and off as you want as nina was showing you in the edit to use those now once you've gone through
[00:35:59.120 --> 00:36:05.680]   that process that long query might that you have might break into three sub queries each of those
[00:36:05.680 --> 00:36:12.320]   reformulated queries then passes through your semantic search and lexical search so hybrid search kind of
[00:36:12.320 --> 00:36:19.120]   classic best practices there and then we give you the option of using a what we call a data store filter
[00:36:19.120 --> 00:36:25.840]   because maybe your query is asking what's the revenue of apple computer and your data store has
[00:36:25.840 --> 00:36:32.080]   apple microsoft tesla all those documents well if you already know they they're interested in the apple
[00:36:32.080 --> 00:36:36.720]   company why not just filter out all the other documents so you don't have to worry about that
[00:36:36.720 --> 00:36:42.160]   that's where that data store filter comes into play now typically for retriever our defaults are
[00:36:42.160 --> 00:36:49.360]   something like a hundred chunks that will come back retrieval's fast you can do that but then to get
[00:36:49.360 --> 00:36:54.560]   better accuracy we like to use a re-ranker and again this is best practices around rag we've trained our
[00:36:54.560 --> 00:37:00.480]   own the instruction following re-ranker and that helps you go from that 80 and like the default is 15 but
[00:37:00.480 --> 00:37:06.960]   again you can change it for your application and give you let's say 15 high quality results that you
[00:37:06.960 --> 00:37:12.160]   can then pass all the way through to the end we have another filter stage if you want to for example drop
[00:37:12.160 --> 00:37:19.200]   out some of those as well so this is all of these pieces are orchestrated with lots of different machine
[00:37:19.200 --> 00:37:24.320]   learning models like this so this is where it's like a pain to build this for yourself but we've built this
[00:37:24.320 --> 00:37:29.600]   like this now if i had the time i'd go into all those pieces in depth but i want to highlight a
[00:37:29.600 --> 00:37:35.520]   couple of things i like our re-ranker i think is interesting where you have the ability to provide
[00:37:35.520 --> 00:37:41.120]   it instructions so a common one might be for example if you're asking questions about apple and you want
[00:37:41.120 --> 00:37:47.120]   to get the most recent documents so you can give it a prompt and then when it re-ranks those it's going
[00:37:47.120 --> 00:37:53.120]   to look at the contents of the chunks and use that prompt to help re-rank it so a lot of possibilities
[00:37:53.120 --> 00:38:01.520]   kind of with this and we're kind of excited to have this piece there now the last step is generation
[00:38:01.520 --> 00:38:09.040]   so we've retrieved back all of the query next we're taking it to our grounded large language model again
[00:38:09.040 --> 00:38:16.480]   the notion here is we want a large language model that's been specifically fine-tuned on to to respect
[00:38:16.480 --> 00:38:22.800]   the knowledge that it's given not give its own knowledge like that besides that we have the two
[00:38:22.800 --> 00:38:26.160]   pieces that i've talked about earlier the groundness and the attributions you've already seen the
[00:38:26.160 --> 00:38:31.680]   attributions and i'll talk a little bit more kind of about groundness now the grounded language model
[00:38:31.680 --> 00:38:36.560]   since we trained it ourselves we got to kind of do some different things with it so one thing we've done
[00:38:36.560 --> 00:38:44.560]   is the language model will tell you the difference between facts and commentary so when you have some
[00:38:44.560 --> 00:38:50.720]   text it will look at that answer and see hey this is the important facts in here the rest is just other
[00:38:50.720 --> 00:38:56.080]   commentary so this is where when you're working with this if you want i need a super grounded
[00:38:56.080 --> 00:39:01.600]   model like i just want the facts in my rag system i don't want any of the superfluous stuff like you
[00:39:01.600 --> 00:39:08.560]   can turn the setting on to eliminate the commentary and just focus on the facts for example so this is
[00:39:08.560 --> 00:39:11.920]   where kind of training our own gives us flexibility to do this kind of thing
[00:39:11.920 --> 00:39:20.880]   the second thing is is the groundness check we have so the groundness check works directly in our ui
[00:39:20.880 --> 00:39:27.520]   you can also use this through the api where for every response that comes back what we do is we look
[00:39:28.400 --> 00:39:35.120]   sentence by sentence essentially and see is the claim that's mated found in the documents that were
[00:39:35.120 --> 00:39:42.560]   given so here if you look you'll see the bottom sentence is in yellow and it's in yellow because
[00:39:42.560 --> 00:39:49.200]   the claim it's making is a totally bs claim that it just made up right it's not actually in the source
[00:39:49.200 --> 00:39:55.680]   documents i literally prompted it to make up something and so here we'll automatically in the ui highlight
[00:39:55.680 --> 00:40:00.720]   that's yellow so if you have users that you're worried about like they keep falling for these
[00:40:00.720 --> 00:40:08.000]   hallucinations this is kind of a helper feature inside there and the and the way it works is when
[00:40:08.000 --> 00:40:12.720]   we retrieve all the context and again you have access to all the chunks all the things that are retrieved
[00:40:12.720 --> 00:40:20.320]   that answer is going to be generated but then we're going to decompose that answer into specific claims
[00:40:20.320 --> 00:40:25.600]   so we have a model that just does this decomposition and looks and sees is this claim
[00:40:25.600 --> 00:40:32.560]   grounded back in that context or not so we can run this live at time be able to get those groundness
[00:40:32.560 --> 00:40:53.600]   scores show you that with the response as well all right nina has got more on evaluation like that
[00:40:55.520 --> 00:41:09.840]   so for our last step of setting up our rag agent we will get to the evaluation step so we're going
[00:41:09.840 --> 00:41:15.200]   to use our lm unit model for natural language unit tests which may be a little bit different from how
[00:41:15.200 --> 00:41:21.360]   you've been doing evaluation of your rag system before so we have a fine-tuned model as a judge and
[00:41:21.360 --> 00:41:27.280]   that has state-of-the-art performance on flask and big gen bench and the way that it works as we'll get
[00:41:27.280 --> 00:41:35.040]   into in the notebook shortly is that you'll put in um the prompt and get the model response as your rag
[00:41:35.040 --> 00:41:42.640]   system would generate and then we're going to create unit tests for the prompt that will ask specific
[00:41:42.640 --> 00:41:49.280]   questions that you want tested about those responses then we're going to use the lm unit model to evaluate
[00:41:49.280 --> 00:41:55.440]   these unit tests and then we can look at those scores so we'll be fully in the notebook now and
[00:41:55.440 --> 00:42:01.680]   i've just given up on the wi-fi now i'm just going to go through what i ran earlier so we can just look
[00:42:01.680 --> 00:42:06.160]   at the results uh if you had internet and could run this all on your own so
[00:42:08.240 --> 00:42:17.280]   so in this section we have uh we have commented out the code that we used to generate the data set
[00:42:17.280 --> 00:42:25.520]   so that has our set of questions about the data set uh six questions and then this is the section that
[00:42:25.520 --> 00:42:33.040]   will generate those results from those queries so to save some trees we just ran this ahead of time
[00:42:33.040 --> 00:42:42.080]   and saved it in our github so you could load it directly um and uh that's uh at this file here we
[00:42:42.080 --> 00:42:51.360]   have this eval input csv um and then that just has prompts and responses for six queries from that same agent
[00:42:51.360 --> 00:42:58.320]   that we set up earlier and the unit tests we're going to ask i thought these would be interesting
[00:42:58.320 --> 00:43:05.680]   ones for this uh for this document set and the queries does the response accurately extract
[00:43:05.680 --> 00:43:14.000]   specific numerical data from the documents does the agent properly distinguish between correlation and
[00:43:14.000 --> 00:43:19.840]   causation that could be useful if you have some sort of statistical analysis in your documents our
[00:43:19.840 --> 00:43:26.560]   multi-document comparisons performed correctly with accurate calculations our potential limitations or
[00:43:26.560 --> 00:43:33.760]   uncertainties and the data clearly acknowledged our quantitative claims properly supported with specific
[00:43:33.760 --> 00:43:39.760]   evidence from the source documents and does the response avoid unnecessary information
[00:43:40.640 --> 00:43:48.160]   we know that uh llms like to blab on and on in their response so this is a good unit test i think overall
[00:43:48.160 --> 00:43:53.520]   some of the other ones you can set based on your own documents if you want to try this out later
[00:43:53.520 --> 00:44:03.840]   and so we just set up our unit tests here um and then the lm unit model will score on a one to five
[00:44:03.840 --> 00:44:11.360]   scale and it's been fine tuned for this specific task and so then the next block of code that you would run
[00:44:11.360 --> 00:44:19.200]   would be this uh response generation so we put in our query what was nvidia's data center revenue in q4
[00:44:19.200 --> 00:44:28.960]   fiscal year 25 and then you get your response and that does have the uh the correct amount the citation
[00:44:29.600 --> 00:44:35.840]   but then it has a lot of other information and so the unit test we used was does the response avoid our
[00:44:35.840 --> 00:44:42.720]   necessary information and the score was 2.2 out of five so for example if we wanted to if this was an
[00:44:42.720 --> 00:44:47.760]   important criteria for us then we could later update the system prompt or change some of those other
[00:44:47.760 --> 00:44:54.240]   settings to specifically target this um the results from this unit test of course we don't want to operate
[00:44:54.240 --> 00:45:00.720]   from an n of one so um we're now testing this batch of six which of course again is a small batch this
[00:45:00.720 --> 00:45:09.520]   was meant to run in uh real time if we had internet um and this would just run through all of those six
[00:45:09.520 --> 00:45:17.520]   queries and all of those six unit tests to get the results then this is the line here um run unit tests
[00:45:17.520 --> 00:45:25.280]   with progress this uh will give you the results from those unit tests and so here we can look at those
[00:45:25.280 --> 00:45:36.800]   results we can see the prompt response and um and then we can see the scores here for each of our six
[00:45:36.800 --> 00:45:45.840]   unit tests and those are going to be from one to five um and then we can also then map those long sentences
[00:45:45.840 --> 00:45:53.600]   to just a one word category so just accuracy causation synthesis limitations evidence and relevance you
[00:45:53.600 --> 00:46:00.000]   can set these as you'd like and we're going to create polar plots that show us for example for our second
[00:46:00.000 --> 00:46:07.120]   question what is the coefficient between neptune's distance from the sun and u.s burglary rates we can
[00:46:07.120 --> 00:46:14.800]   see in the polar plot that the causation was very well addressed by our model the accuracy and limitations
[00:46:14.800 --> 00:46:22.320]   also scored high on the unit test but the synthesis was not as highly scored um and these other factors
[00:46:22.320 --> 00:46:28.640]   were not as highly scored so we can look at all six and uh we can kind of see some of these queries
[00:46:28.640 --> 00:46:35.360]   scored really well across all our unit tests others may point to areas to improve we linked earlier to
[00:46:35.360 --> 00:46:42.640]   the full lm unit notebook where you can look at these categories and cluster them so for a larger scale
[00:46:42.640 --> 00:46:49.600]   evaluation data set you could actually like look for um for meaningful insights insights from this unit test
[00:46:49.600 --> 00:46:58.240]   um and so uh your first homework if you've made it this far is to improve the agent based on the unit test
[00:46:58.240 --> 00:47:05.600]   results and so one way that you could do that in the api would be uh here to update the system prompt so i
[00:47:05.600 --> 00:47:11.360]   have our original one and you could you know change something here like hey keep the responses really
[00:47:11.360 --> 00:47:20.400]   brief only answer um uh the direct question and then you can run this line of code here to update the agent
[00:47:20.400 --> 00:47:28.640]   and um and yeah that's our that's our end-to-end pipeline and now for a bonus raj is going to show
[00:47:28.640 --> 00:47:36.560]   you how you can connect your agent to claw desktop via mcp and for that we have links to our github
[00:47:36.560 --> 00:47:44.560]   here and the youtube how-to if you want to try this out yourself um okay yeah yeah
[00:47:51.440 --> 00:47:57.280]   i'm dealing with the challenges of the wi-fi and working around that so let's talk about this see
[00:47:57.280 --> 00:47:58.320]   if we can get this running
[00:47:58.320 --> 00:48:08.480]   so for lucky for all of you i spend way too much time making videos so i have a copy of the video
[00:48:08.480 --> 00:48:14.400]   integration that i want to show so we built a rag agent you can ask questions right you want to be
[00:48:14.400 --> 00:48:19.920]   able to use it one of the most common ways of being able to use it right that was introduced like six
[00:48:19.920 --> 00:48:27.200]   months ago here um at ai engineer was mcp server so one of the things i like to do is kind of show
[00:48:27.200 --> 00:48:33.520]   people how i can connect the rag agents that we built a contextual and you can use them inside of other mcp
[00:48:33.520 --> 00:48:40.960]   clients and so here's an example of using it inside of claw desktop where now when it has this particular
[00:48:40.960 --> 00:48:47.680]   topic it's going out to the contextual rag agent to be able to get the answer to do that so you can do this
[00:48:48.400 --> 00:48:53.280]   working inside of clients like claude you can also be able to do this for example if you're working
[00:48:53.280 --> 00:48:57.680]   with code you want to be able to do this in something like cursor that works as well
[00:48:57.680 --> 00:49:05.440]   so to do this if you're like hey i want to do this i want to be able to use this rag agent everywhere else
[00:49:05.440 --> 00:49:12.320]   to do that we have a repo that's out there so the contextual mcp server it's the link is in the notebook
[00:49:12.800 --> 00:49:18.400]   as well so you can grab that it's a neat it's a very basic mcp server you could probably build your
[00:49:18.400 --> 00:49:26.320]   own let us know um like that but the workflow is you clone that repo and then inside that repo there's
[00:49:26.320 --> 00:49:34.640]   a server.py file and we're just using our contextual um our contextual apis and just pointing to that so
[00:49:34.640 --> 00:49:39.360]   the important thing of course is that doc string that you kind of describe what your rag agent is about
[00:49:39.360 --> 00:49:44.560]   because that's what your client whether it's claude or cursor is going to be able to use that so to make
[00:49:44.560 --> 00:49:52.000]   make this a little bit more here's a copy for example inside of mine where
[00:49:52.000 --> 00:50:01.600]   you can see in my local environment i have that mcp server locally hosted this is what my server.py file
[00:50:01.600 --> 00:50:09.040]   looks like where you can see i've got two different one set up one for technical queries one for financial
[00:50:09.040 --> 00:50:15.120]   queries depending on who i demo to and it can have the client then pull in to that piece there
[00:50:15.120 --> 00:50:19.680]   so that's the the server that's sitting in the middle
[00:50:19.680 --> 00:50:26.320]   the next piece is configuring it with your client every client's a little bit different like that but
[00:50:26.320 --> 00:50:32.000]   you just want to be able to have that client point to where that server file is so if we look at for
[00:50:32.000 --> 00:50:38.080]   example in the case of claude desktop which is not running now but luckily we can still do this
[00:50:38.080 --> 00:50:47.120]   in claude desktop has a developer piece where you can edit the config for where it should look for mcp
[00:50:47.120 --> 00:50:53.440]   servers and if i click here edit config i can go see the file that it's there we can open that up
[00:50:54.720 --> 00:50:59.280]   we're not going to open it up in cursor but you get a sense that's the config file that's going to
[00:50:59.280 --> 00:51:05.040]   point towards where my server location is so again if you're not sure about this i have all the directions
[00:51:05.040 --> 00:51:10.720]   on the github there's an accompanying video as well but it just allows you to use that rag agent now in
[00:51:10.720 --> 00:51:16.800]   lots of other ways as well for example if you're building your own deep research tool you want to be
[00:51:16.800 --> 00:51:23.360]   able to do that you can do that all right we're going to open it up for questions here in a couple
[00:51:23.360 --> 00:51:27.440]   of minutes and again if you're having any issues raise your hand we got a couple of people in the
[00:51:27.440 --> 00:51:33.920]   back that can help out so one question often is is like what is this going to cost me like you give me
[00:51:33.920 --> 00:51:40.400]   the sales pitch what is it going to cost me well if you use our individual components the parse the re-rank
[00:51:40.400 --> 00:51:47.520]   the generate lm unit we've made that all consumption based you pay by the token for those so the pricing
[00:51:47.520 --> 00:51:52.960]   is up on the website it's pretty straightforward like that when you've signed up today you started
[00:51:52.960 --> 00:51:59.600]   off with a 25 credit so you should be able to go start playing around with it as well so those are the
[00:51:59.600 --> 00:52:07.520]   individual components we're also making our rag platform consumption-based pricing as well so the
[00:52:07.520 --> 00:52:13.840]   pricing will be based on the number of documents you ingest and how many queries you do so based on
[00:52:13.840 --> 00:52:19.520]   that you'll be able to kind of calculate out know what your workload is like that now some we i work
[00:52:19.520 --> 00:52:24.800]   with some enterprise customers for some sensitive places they're like hey we really need a guarantee
[00:52:24.800 --> 00:52:31.200]   on latency or amount of queries per second like that this is where we can work with that team do a
[00:52:31.200 --> 00:52:36.640]   provision throughput so that way you have dedicated kind of hardware for your particular use case like
[00:52:36.640 --> 00:52:40.400]   that but i think one of the great things that's going to really open it up to developers is the
[00:52:40.400 --> 00:52:44.960]   consumption base because just like you're doing today you're going to be able to sign up pass
[00:52:44.960 --> 00:52:48.560]   documents through that and just pay for what you use like that
[00:52:48.560 --> 00:52:57.760]   all right so some final takeaways i'm hoping that you got out of this that how you can treat rag just as
[00:52:57.760 --> 00:53:03.600]   any other managed service you don't have to go through build out all those pipelines yourself like that
[00:53:03.600 --> 00:53:09.760]   you've got the code you can get started now building this pipeline individually or if you just need parts
[00:53:09.760 --> 00:53:14.880]   of it just the components try them out as well you your re-ranker you're not happy with give it a shot
[00:53:14.880 --> 00:53:23.120]   so go try out the app to do that all of this stuff is documented over in docs we have kind of full api docs
[00:53:23.680 --> 00:53:28.960]   over there we also have a bunch of example notebooks showing for example integrations with things like
[00:53:28.960 --> 00:53:34.400]   ragas as well if you want to use that for evaluation so those example notebooks will walk you through hey
[00:53:34.400 --> 00:53:40.000]   how do i improve an agent how would i use all of these settings if you need other example notebooks let
[00:53:40.000 --> 00:53:46.720]   us know nina and i will work on that as well so finally fill out our survey kind of share your feedback as
[00:53:46.720 --> 00:53:52.480]   well we've got some nice kind of merch we can hand out to people who have good questions
[00:53:52.480 --> 00:53:55.840]   as well i think we got a little bit of time for that how does that sound
[00:53:55.840 --> 00:54:06.960]   i've thrown this rag platform at you are you all ready to sign up okay yeah
[00:54:08.000 --> 00:54:27.600]   go ahead there's a q a mic or i'll try to repeat back the question to the wider audience so if you
[00:54:27.600 --> 00:54:37.120]   want my interpretation of the question or i can't massage it then is that on yes yeah um so there's a
[00:54:37.120 --> 00:54:43.600]   really interesting feedback you're defining here around you can define evals via prompt you can see
[00:54:43.600 --> 00:54:47.520]   how they're doing you can let people change the system prompt do you find that your users of like
[00:54:47.520 --> 00:54:51.760]   the platform or the enterprise customers like who is it that's doing that is it like technical people
[00:54:51.760 --> 00:54:57.760]   or is it the people that's using it day to day so one of the things by putting it in the ui what you
[00:54:57.760 --> 00:55:03.040]   have is you have some of the business users will try to mess around and play with it and some pieces
[00:55:03.040 --> 00:55:08.320]   like a system prompt like non-technical people have a sense of using chat gpt and doing that
[00:55:08.320 --> 00:55:14.080]   but when you get to what's your my top k for my retrieval or using query reformulation those business
[00:55:14.080 --> 00:55:19.040]   users are just going to mess up and their agents are going to kind of not stop work well like that so
[00:55:19.040 --> 00:55:25.200]   a lot of the settings there as you get to the advanced hill climbing because a lot of that stuff
[00:55:25.200 --> 00:55:30.560]   comes into like i've built a good rag agent it's hitting 80 percent but the business wants us to
[00:55:30.560 --> 00:55:35.440]   get to 90 now i have to build the evaluation now i have to see where are my errors are they on the
[00:55:35.440 --> 00:55:40.160]   retrieval side are they on the generator side and this is where having that developer perspective of
[00:55:40.160 --> 00:55:45.040]   understanding and being able to do that error analysis is important to figure out which of those
[00:55:45.040 --> 00:55:49.760]   settings to do it because we give you a lot of settings but you still have to have some sense of
[00:55:49.760 --> 00:55:57.520]   like which settings are appropriate to change for what outcomes like that um company i work for is
[00:55:57.520 --> 00:56:02.800]   relatively new to ai we're loving what we're discovering but uh it's also pretty overwhelming
[00:56:02.800 --> 00:56:11.680]   the information you presented uh hints at some of the answers to to our major questions which are
[00:56:11.680 --> 00:56:18.800]   we have thousands of pdf documents we have thousands of uh you know excel documents we have an mrp system with
[00:56:18.800 --> 00:56:24.400]   the nescue ball back end we need to be writing custom queries for this environment to consume
[00:56:24.400 --> 00:56:32.640]   i guess does your environment have a checklist of the approach for different data types and how to
[00:56:32.640 --> 00:56:38.320]   package this information for your environment yeah i i can repeat back the question like that so
[00:56:38.320 --> 00:56:43.760]   so the question is is you know and i'll paraphrase here getting into it we have lots of documents we have
[00:56:43.760 --> 00:56:48.640]   excel documents pdf documents structured data like how am i going to make sense of that
[00:56:48.640 --> 00:56:54.320]   and figure out what the best way to kind of use your platform is is that fair yes and so this is
[00:56:54.320 --> 00:56:59.760]   where as a startup we have a couple of different levels we have we have the developer go figure it
[00:56:59.760 --> 00:57:04.960]   out yourself we've given you the buttons the api commands to do that but this is where we've grown
[00:57:04.960 --> 00:57:10.160]   and we have a dedicated team that we call customer machine learning engineers that all they do is work
[00:57:10.160 --> 00:57:16.240]   with customers and they do that process of hey let's walk you through building your evaluation data sets let's
[00:57:16.240 --> 00:57:21.920]   help you kind of hill climb and improve that so depending on what you need we have a team that's
[00:57:21.920 --> 00:57:26.880]   just focused on helping customers through that process as well and in the meantime nina and i
[00:57:26.880 --> 00:57:32.560]   are trying to document it and make it more available for the rest of the users but there is that gap of like
[00:57:32.560 --> 00:57:38.560]   there's a lot of knowledge to effectively use these systems to be able to do that is that fair
[00:57:38.560 --> 00:57:44.560]   and it's a consulting fee or a startup package yeah talk to us we we can we got we'll find a way to take
[00:57:44.560 --> 00:57:58.800]   your money a little bit uh go ahead hey rajim um um we've built a few agents and i'm very interested in
[00:57:58.800 --> 00:58:04.720]   exploring the rag only part of like what you described is there a way to integrate these into
[00:58:04.720 --> 00:58:11.440]   our agents that we're building in typescript javascript absolutely so each of the okay yes
[00:58:11.440 --> 00:58:17.600]   i don't have to repeat so each of the pieces here we have kind of apis we have a we have a javascript
[00:58:17.600 --> 00:58:22.960]   sdk like that so if you just want to use the components of this this is where when the company
[00:58:22.960 --> 00:58:26.640]   first started about a year ago if you'd asked to kind of do a demo we would have sold you like you have
[00:58:26.640 --> 00:58:30.800]   to buy the entire platform you have to get the end to end but we've realized like if we want
[00:58:30.800 --> 00:58:35.280]   to appeal to developers that lots of times you've built stuff out that you just want some components
[00:58:35.280 --> 00:58:41.440]   of it so yes we we've kind of modularized that out so if you just want to use parts of it you can and
[00:58:41.440 --> 00:58:46.560]   integrate with others like that so and in fact you know most of our customers don't use like the ui that
[00:58:46.560 --> 00:58:51.600]   we've showed most of them have other uis that they're integrating their applications with like that so
[00:58:54.240 --> 00:59:00.960]   well in response in addition to the costing or pricing um how far can the 25 dollars go like
[00:59:00.960 --> 00:59:06.480]   because we weren't able to test it right now like how many documents can we you know experiment in it
[00:59:06.480 --> 00:59:17.920]   so the question is like how far will your 25 go i i i don't know exactly i get unlimited use of it um but
[00:59:17.920 --> 00:59:22.720]   try it out if if you run into issues just let us know we can we can talk to sales we can figure out
[00:59:22.720 --> 00:59:27.440]   something like that if depending on what you're doing like that so don't let the 25 dollars be an
[00:59:27.440 --> 00:59:31.920]   issue we want the we want you to use it we want to hear your feedback if you need help let we can
[00:59:31.920 --> 00:59:39.040]   talk to you and figure out something to do like that so yes do people like the idea of a managed rag
[00:59:39.040 --> 00:59:45.840]   service does this feel like something okay okay okay yes well to that point i guess i'm wondering how
[00:59:45.840 --> 00:59:50.480]   managed is it so at my company we build rag applications for government and other clients
[00:59:50.480 --> 00:59:58.080]   who have really strict data sovereignty data residency questions uh or requirements so are you in either of
[00:59:58.080 --> 01:00:06.800]   the big clouds where i can decide to be in like a gov cloud or some other sovereign data service like
[01:00:06.800 --> 01:00:13.040]   how much control do i have over where stuff lives yeah so again we're early stage startup we're starting
[01:00:13.040 --> 01:00:18.160]   out right now we have our own cloud which doesn't help you like that we have partnered with snowflake so
[01:00:18.160 --> 01:00:25.360]   we are on snowflake if that can work for you we can also install in vpc but right now we're limiting
[01:00:25.360 --> 01:00:31.120]   it to vpc we're not doing kind of custom on-premises deployment just because that takes a lot of
[01:00:31.120 --> 01:00:39.040]   upfront work to be able to do like that does that help yeah can you do vpc and say like aws gov cloud
[01:00:39.040 --> 01:00:45.760]   or azura's government solution we have not yet done like aws in kind of golf cloud like that like if you
[01:00:45.760 --> 01:00:49.680]   have a strong demand for that let us know we can we can work and try to figure out something like that
[01:00:49.680 --> 01:00:52.720]   but we haven't taken on that yet okay i'll come find you thanks yes thanks
[01:00:52.720 --> 01:00:56.560]   hello hi
[01:00:56.560 --> 01:01:05.920]   hey yeah go ahead i don't know hi i was curious you know like how does the performance of your
[01:01:05.920 --> 01:01:12.000]   rack platform vary as a number of documents vary for example like do you have like recommendations of
[01:01:12.000 --> 01:01:15.600]   best practices when you're working with millions of documents as compared to hundreds of documents
[01:01:15.600 --> 01:01:20.640]   what kind of you know configurations and knobs work better would be curious to learn yeah so i'm
[01:01:20.640 --> 01:01:25.440]   going to give the hand wavy answer of we have customers like qualcomm for example that have tens
[01:01:25.440 --> 01:01:30.240]   of thousands of documents their documents have hundreds of pages in them and we handle that fine
[01:01:30.240 --> 01:01:36.400]   all i know is that i have engineers like matthew in the back that works the platform that makes sure
[01:01:36.400 --> 01:01:42.160]   it kind of scales up like that so i would say go grab him if you have questions about scalability right now
[01:01:42.160 --> 01:01:46.320]   we've been able to kind of scale with our customers um along those lines like that so
[01:01:46.320 --> 01:01:53.440]   let me get take this and then i'll come back over here hey this is specifically about the lm unit
[01:01:53.440 --> 01:01:59.200]   um tool um how deterministic and repeatable are the are the is the scoring from that
[01:01:59.200 --> 01:02:09.360]   i'm looking to see if they have i i mean it's still a large language model so i think there might
[01:02:09.360 --> 01:02:17.280]   be a little bit but i think it's fairly good is that uh it's pretty repeatable there's actually a paper
[01:02:17.280 --> 01:02:23.200]   release there's a lot more details in there too but like there was a lot of analysis done about the
[01:02:23.200 --> 01:02:30.240]   correlation with other trusted metrics and you know how you know running sorry run it running the lm unit
[01:02:30.240 --> 01:02:36.480]   tests repeatedly making like um we use kind of a random seed to make sure it's repeatable so like
[01:02:36.480 --> 01:02:42.720]   like all of our testing has suggested that uh it is repeatable of course like
[01:02:42.720 --> 01:02:48.240]   you're if you're like altering the prompt you're altering kind of the natural language unit test that
[01:02:48.240 --> 01:02:55.600]   can have you know unforeseen impacts on the results but i think keeping the prompt consistent it should be
[01:02:55.600 --> 01:03:01.360]   pretty consistent with different types of queries awesome thank you yeah check out the paper as as matthew said
[01:03:01.360 --> 01:03:04.080]   that it goes into a lot of those pieces like that so thanks
[01:03:04.080 --> 01:03:16.480]   question here no so is this already integrated with uh microsoft copilot and azure and the second
[01:03:16.480 --> 01:03:23.120]   question is uh are there any apis that you guys expose and get meaning if we are developing our own custom
[01:03:23.120 --> 01:03:30.080]   code but we want to you know use your rack and what's approach so we have the api so if you're developing your own
[01:03:30.080 --> 01:03:36.160]   custom solutions you can easily integrate kind of what we have to do that in terms of installing
[01:03:36.160 --> 01:03:43.920]   inside of kind of um azure like that that's one of those custom vpcs that we can support like that in
[01:03:43.920 --> 01:03:48.160]   terms of integrations with copilot i don't know if we've really done anything usually like people are
[01:03:48.160 --> 01:03:54.080]   like i'm sick of copilot and that's why they come to our rag solution like that so again we have the apis
[01:03:54.080 --> 01:03:58.160]   though so i don't know what the integrations would require for something like copilot like that
[01:03:58.160 --> 01:04:07.200]   thank you hi first of all a great presentation because i have used your product and the other
[01:04:07.200 --> 01:04:14.320]   thing is like regarding rag i have a question like uh you as a company what are the challenges that you're
[01:04:14.320 --> 01:04:21.040]   facing in the rag and where do you see that would go in future so what are the challenges we're facing
[01:04:21.040 --> 01:04:26.800]   in rag apart from hallucination internet search or things like that apart from that what are the
[01:04:26.800 --> 01:04:32.880]   different challenges that you're facing matthew i might have you chime in on this too i think
[01:04:32.880 --> 01:04:39.680]   one of the big challenges right now is around the extraction where we've spent a lot of time and energy
[01:04:39.680 --> 01:04:45.280]   and there's still i think room for improvement when we're talking about working with complex tables
[01:04:45.280 --> 01:04:51.680]   along charts i think there's one there i think scalability is always a piece like that because
[01:04:51.680 --> 01:04:56.720]   everybody wants to ingest more documents in a in a faster amount of speed like that
[01:04:56.720 --> 01:05:05.840]   i think if you talk about doing generated um working with structured data i think that's a challenge for
[01:05:05.840 --> 01:05:10.640]   everybody in the industry when you're trying to do those queries of like text to sql type queries like
[01:05:10.640 --> 01:05:16.720]   that so those are some of the top ones on my list like that do you have yeah i agree i think document
[01:05:16.720 --> 01:05:22.400]   understanding like making sure that you are correctly understanding long complex documents with hierarchy
