
[00:00:00.040 --> 00:00:09.380]  的话
[00:29:13.600 --> 00:29:13.600]   I'm not sure if I'm going to be able to do this.
[00:29:13.600 --> 00:29:13.600]   I'm not sure if I'm going to be able to do this.
[00:29:13.600 --> 00:29:13.600]   I'm not sure if I'm going to be able to do this.
[00:29:13.600 --> 00:29:13.600]   I'm not sure if I'm going to be able to do this.
[00:29:13.600 --> 00:29:13.600]   I'm not sure if I'm going to be able to do this.
[00:29:13.600 --> 00:29:13.600]   I'm not sure if I'm going to be able to do this.
[00:29:13.600 --> 00:29:13.600]   I'm not sure if I'm going to be able to do this.
[00:29:13.620 --> 00:29:43.620]   I'm not sure if I'm going to be able to do this.
[00:29:43.620 --> 00:29:43.620]   I'm not sure if I'm going to be able to do this.
[00:29:43.620 --> 00:29:43.620]   I'm not sure if I'm going to be able to do this.
[00:29:43.620 --> 00:29:43.620]   I'm not sure if I'm going to be able to do this.
[00:29:43.620 --> 00:29:43.620]   I'm not sure if I'm going to be able to do this.
[00:29:43.620 --> 00:29:43.620]   I'm not sure if I'm going to be able to do this.
[00:29:43.620 --> 00:29:43.620]   I'm not sure if I'm going to be able to do this.
[00:29:43.620 --> 00:29:43.620]   I'm not sure if I'm going to be able to do this.
[00:29:43.620 --> 00:29:43.620]   I'm not sure if I'm going to be able to do this.
[00:29:43.620 --> 00:29:43.620]   I'm not sure if I'm going to be able to do this.
[00:29:43.620 --> 00:29:43.620]   I'm not sure if I'm going to be able to do this.
[00:29:43.620 --> 00:29:43.620]   I'm not sure if I'm going to be able to do this.
[00:29:43.640 --> 00:30:13.640]   I'm not sure if I'm going to be able to do this.
[00:30:13.640 --> 00:30:13.640]   I'm not sure if I'm going to be able to do this.
[00:30:13.640 --> 00:30:13.640]   I'm not sure if I'm going to be able to do this.
[00:30:13.640 --> 00:30:13.640]   I'm not sure if I'm going to be able to do this.
[00:30:13.640 --> 00:30:13.640]   I'm not sure if I'm going to be able to do this.
[00:30:13.640 --> 00:30:13.640]   I'm not sure if I'm going to be able to do this.
[00:30:13.640 --> 00:30:13.640]   I'm not sure if I'm going to be able to do this.
[00:30:13.640 --> 00:30:13.640]   I'm not sure if I'm going to be able to do this.
[00:30:13.640 --> 00:30:13.640]   I'm not sure if I'm going to be able to do this.
[00:30:13.640 --> 00:30:13.640]   I'm not sure if I'm going to be able to do this.
[00:30:13.640 --> 00:30:13.640]   I'm not sure if I'm going to be able to do this.
[00:30:13.640 --> 00:30:13.640]   I'm not sure if I'm going to be able to do this.
[00:30:13.660 --> 00:30:43.660]   I'm not sure if I'm going to be able to do this.
[00:30:43.660 --> 00:30:43.660]   I'm not sure if I'm going to be able to do this.
[00:30:43.660 --> 00:30:43.660]   I'm not sure if I'm going to be able to do this.
[00:30:43.660 --> 00:30:43.660]   I'm not sure if I'm going to be able to do this.
[00:30:43.660 --> 00:30:43.660]   I'm not sure if I'm going to be able to do this.
[00:30:43.660 --> 00:30:43.660]   I'm not sure if I'm going to be able to do this.
[00:30:43.660 --> 00:30:43.660]   I'm not sure if I'm going to be able to do this.
[00:30:43.660 --> 00:30:43.660]   I'm not sure if I'm going to be able to do this.
[00:30:43.660 --> 00:30:43.660]   I'm not sure if I'm going to be able to do this.
[00:30:43.660 --> 00:30:43.660]   I'm not sure if I'm going to be able to do this.
[00:30:43.660 --> 00:30:43.660]   I'm not sure if I'm going to be able to do this.
[00:30:43.660 --> 00:30:43.660]   I'm not sure if I'm going to be able to do this.
[00:31:13.680 --> 00:31:13.680]   I'm not sure if I'm going to be able to do this.
[00:31:13.680 --> 00:31:13.680]   I'm not sure if I'm going to be able to do this.
[00:31:13.680 --> 00:31:13.680]   I'm not sure if I'm going to be able to do this.
[00:31:13.680 --> 00:31:13.680]   I'm not sure if I'm going to be able to do this.
[00:31:13.680 --> 00:31:13.680]   I'm not sure if I'm going to be able to do this.
[00:31:13.680 --> 00:31:13.680]   I'm not sure if I'm going to be able to do this.
[00:31:13.680 --> 00:31:13.680]   I'm not sure if I'm going to be able to do this.
[00:31:13.680 --> 00:31:13.680]   I'm not sure if I'm going to be able to do this.
[00:31:13.680 --> 00:31:13.680]   I'm not sure if I'm going to be able to do this.
[00:31:13.680 --> 00:31:13.680]   I'm not sure if I'm going to be able to do this.
[00:31:13.680 --> 00:31:13.680]   I'm not sure if I'm going to be able to do this.
[00:31:13.680 --> 00:31:13.680]   I'm not sure if I'm going to be able to do this.
[00:31:43.700 --> 00:31:43.700]   I'm not sure if I'm going to be able to do this.
[00:31:43.700 --> 00:31:43.700]   I'm not sure if I'm going to be able to do this.
[00:31:43.700 --> 00:31:43.700]   I'm not sure if I'm going to be able to do this.
[00:31:43.700 --> 00:31:43.700]   I'm not sure if I'm going to be able to do this.
[00:31:43.700 --> 00:31:43.700]   I'm not sure if I'm going to be able to do this.
[00:31:43.700 --> 00:31:43.700]   I'm not sure if I'm going to be able to do this.
[00:31:43.700 --> 00:31:43.700]   I'm not sure if I'm going to be able to do this.
[00:31:43.700 --> 00:31:43.700]   I'm not sure if I'm going to be able to do this.
[00:31:43.700 --> 00:31:43.700]   I'm not sure if I'm going to be able to do this.
[00:31:43.720 --> 00:32:13.720]   I'm not sure if I'm going to be able to do this.
[00:32:13.720 --> 00:32:13.720]   I'm not sure if I'm going to be able to do this.
[00:32:13.720 --> 00:32:13.720]   I'm not sure if I'm going to be able to do this.
[00:32:13.720 --> 00:32:13.720]   I'm not sure if I'm going to be able to do this.
[00:32:13.720 --> 00:32:13.720]   I'm not sure if I'm going to be able to do this.
[00:32:13.720 --> 00:32:13.720]   I'm not sure if I'm going to be able to do this.
[00:32:13.720 --> 00:32:13.720]   I'm not sure if I'm going to be able to do this.
[00:32:13.720 --> 00:32:13.720]   I'm not sure if I'm going to be able to do this.
[00:32:13.720 --> 00:32:13.720]   I'm not sure if I'm going to be able to do this.
[00:32:13.720 --> 00:32:13.720]   I'm not sure if I'm going to be able to do this.
[00:32:13.720 --> 00:32:13.720]   I'm not sure if I'm going to be able to do this.
[00:32:13.720 --> 00:32:13.720]   I'm not sure if I'm going to be able to do this.
[00:32:13.740 --> 00:32:43.740]   I'm not sure if I'm going to be able to do this.
[00:32:43.740 --> 00:32:43.740]   I'm not sure if I'm going to be able to do this.
[00:32:43.740 --> 00:32:43.740]   I'm not sure if I'm going to be able to do this.
[00:32:43.740 --> 00:32:43.740]   I'm not sure if I'm going to be able to do this.
[00:32:43.740 --> 00:32:43.740]   I'm not sure if I'm going to be able to do this.
[00:32:43.740 --> 00:32:43.740]   I'm not sure if I'm going to be able to do this.
[00:32:43.740 --> 00:32:43.740]   I'm not sure if I'm going to be able to do this.
[00:32:43.740 --> 00:32:43.740]   I'm not sure if I'm going to be able to do this.
[00:32:43.740 --> 00:32:43.740]   I'm not sure if I'm going to be able to do this.
[00:32:43.740 --> 00:32:43.740]   I'm not sure if I'm going to be able to do this.
[00:32:43.740 --> 00:32:43.740]   I'm not sure if I'm going to be able to do this.
[00:32:43.740 --> 00:32:43.740]   I'm not sure if I'm going to be able to do this.
[00:32:43.780 --> 00:33:13.760]   I'm not sure if I'm going to be able to do this.
[00:33:13.760 --> 00:33:13.760]   I'm not sure if I'm going to be able to do this.
[00:33:13.760 --> 00:33:13.760]   I'm not sure if I'm going to be able to do this.
[00:33:13.760 --> 00:33:13.760]   I'm not sure if I'm going to be able to do this.
[00:33:13.760 --> 00:33:13.760]   I'm not sure if I'm going to be able to do this.
[00:33:13.760 --> 00:33:13.760]   I'm not sure if I'm going to be able to do this.
[00:33:13.760 --> 00:33:13.760]   I'm not sure if I'm going to be able to do this.
[00:33:13.760 --> 00:33:13.760]   I'm not sure if I'm going to be able to do this.
[00:33:13.760 --> 00:33:13.760]   I'm not sure if I'm going to be able to do this.
[00:33:13.760 --> 00:33:13.760]   I'm not sure if I'm going to be able to do this.
[00:33:13.760 --> 00:33:13.760]   I'm not sure if I'm going to be able to do this.
[00:33:13.760 --> 00:33:13.760]   I'm not sure if I'm going to be able to do this.
[00:33:13.760 --> 00:33:13.760]   I'm not sure if I'm going to be able to do this.
[00:33:13.780 --> 00:33:43.780]   It's just as appropriate as the average person going out and buying gold coins.
[00:33:43.780 --> 00:33:43.780]   You can buy gold coins anonymously and you can bury them in a coffee can in somebody's
[00:33:43.780 --> 00:33:43.780]   backyard and it gives you tremendous benefit.
[00:33:43.780 --> 00:33:43.780]   It's just as appropriate as the average person going out and buying gold coins.
[00:33:43.780 --> 00:33:43.780]   It's just as appropriate as the average person going out and buying gold coins.
[00:33:43.780 --> 00:33:43.780]   It's just as appropriate as the average person going out and buying gold coins.
[00:33:43.780 --> 00:33:43.780]   It's just as appropriate as the average person going out and buying gold coins.
[00:33:43.780 --> 00:33:43.780]   It's just as appropriate as the average person going out and buying gold coins.
[00:33:43.780 --> 00:33:43.780]   It's just as appropriate as the average person going out and buying gold coins.
[00:33:43.780 --> 00:33:43.780]   It's just as appropriate as the average person going out and buying gold coins.
[00:33:43.780 --> 00:33:43.780]   It's just as appropriate as the average person going out and buying gold coins.
[00:33:43.780 --> 00:33:43.780]   It's just as appropriate as the average person going out and buying gold coins.
[00:33:43.780 --> 00:34:13.800]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:13.800 --> 00:34:13.800]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:13.800 --> 00:34:13.800]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:13.800 --> 00:34:13.800]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:13.800 --> 00:34:13.800]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:13.800 --> 00:34:13.800]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:13.800 --> 00:34:13.800]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:13.800 --> 00:34:13.800]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:13.820 --> 00:34:43.820]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:43.820 --> 00:34:43.820]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:43.820 --> 00:34:43.820]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:43.820 --> 00:34:43.820]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:43.820 --> 00:34:43.820]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:43.820 --> 00:34:43.820]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:43.820 --> 00:34:43.820]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:43.820 --> 00:34:43.820]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:43.820 --> 00:34:43.820]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:43.820 --> 00:34:43.820]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:43.820 --> 00:34:43.820]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:43.820 --> 00:34:43.820]   It's just as appropriate as the average person going out and buying gold coins.
[00:34:43.820 --> 00:35:13.840]  ,
[00:35:13.840 --> 00:35:13.840]   It's just as appropriate as the average person going out and buying gold coins.
[00:35:13.840 --> 00:35:13.840]   It's just as appropriate as the average person going out and buying gold coins.
[00:35:13.840 --> 00:35:13.840]   It's just as appropriate as the average person going out and buying gold coins.
[00:35:13.840 --> 00:35:13.840]   It's just as appropriate as the average person going out and buying gold coins.
[00:35:13.840 --> 00:35:13.840]   It's just as appropriate as the average person going out and buying gold coins.
[00:35:13.840 --> 00:35:13.840]   It's just as appropriate as the average person going out and buying gold coins.
[00:35:13.860 --> 00:35:43.860]   I do have a bachelor's degree, so I just need a certified financial planner-specific
[00:35:43.860 --> 00:35:43.860]   If I want to move abroad for two years, in the next three years, does it even make sense to start now?
[00:35:43.860 --> 00:35:43.860]   Thanks so much. Love your show. Christina.
[00:35:43.860 --> 00:35:43.860]   Christina, thank you for the nice words.
[00:35:43.860 --> 00:35:43.860]   To begin, yes, you can work as a financial planner without being a certified financial planner.
[00:35:43.860 --> 00:35:43.860]   I am currently talking about financial planning.
[00:35:43.860 --> 00:35:43.860]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:35:43.860 --> 00:35:43.860]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:35:43.860 --> 00:35:43.860]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:35:43.860 --> 00:35:43.860]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:35:43.860 --> 00:35:43.860]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:35:43.860 --> 00:36:13.880]  , I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:13.880 --> 00:36:13.880]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:13.880 --> 00:36:13.880]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:13.880 --> 00:36:13.880]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:13.880 --> 00:36:13.880]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:13.900 --> 00:36:43.900]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:43.900 --> 00:36:43.900]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:43.900 --> 00:36:43.900]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:43.900 --> 00:36:43.900]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:43.900 --> 00:36:43.900]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:43.900 --> 00:36:43.900]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:43.900 --> 00:36:43.900]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:43.900 --> 00:36:43.900]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:43.900 --> 00:36:43.900]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:36:43.900 --> 00:37:13.920]  , I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:13.920 --> 00:37:13.920]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:13.920 --> 00:37:13.920]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:13.920 --> 00:37:13.920]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:13.920 --> 00:37:13.920]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:13.920 --> 00:37:13.920]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:13.920 --> 00:37:13.920]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:13.940 --> 00:37:43.940]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:43.940 --> 00:37:43.940]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:43.940 --> 00:37:43.940]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:43.940 --> 00:37:43.940]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:43.940 --> 00:37:43.940]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:43.940 --> 00:37:43.940]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:43.940 --> 00:37:43.940]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:43.940 --> 00:37:43.940]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:43.940 --> 00:37:43.940]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:37:43.940 --> 00:38:13.960]  ,
[00:38:13.960 --> 00:38:13.960]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:13.960 --> 00:38:13.960]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:13.960 --> 00:38:13.960]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:13.960 --> 00:38:13.960]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:13.960 --> 00:38:13.960]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:13.960 --> 00:38:13.960]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:13.980 --> 00:38:43.980]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:43.980 --> 00:38:43.980]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:43.980 --> 00:38:43.980]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:43.980 --> 00:38:43.980]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:43.980 --> 00:38:43.980]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:43.980 --> 00:38:43.980]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:43.980 --> 00:38:43.980]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:43.980 --> 00:38:43.980]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:43.980 --> 00:38:43.980]   I am a financial planner, but I no longer have the ability to work as a financial planner.
[00:38:43.980 --> 00:39:14.000]  ,
[00:39:14.000 --> 00:39:14.000]   You could write a blog. You could help people plan their life.
[00:39:14.000 --> 00:39:14.000]   You could write a blog. You could help people plan their life.
[00:39:14.000 --> 00:39:14.000]   You could write a blog. You could help people plan their life.
[00:39:14.000 --> 00:39:14.000]   You could write a blog. You could help people plan their life.
[00:39:14.000 --> 00:39:14.000]   You could write a blog. You could help people plan their life.
[00:39:14.000 --> 00:39:14.000]   You could write a blog. You could write a blog. You could help people plan their life.
[00:39:14.020 --> 00:39:19.700]   You could create a podcast. You could create a YouTube channel.
[00:39:19.700 --> 00:39:22.740]   You could write books and help people to plan their finances.
[00:39:22.740 --> 00:39:26.740]   That route wouldn't involve any kind of insurance licenses.
[00:39:26.740 --> 00:39:29.580]   It doesn't involve any kind of investment licenses.
[00:39:29.580 --> 00:39:31.920]   It's just you giving out personal financial information.
[00:39:31.920 --> 00:39:33.180]   You could be the next Gene Chotsky.
[00:39:33.180 --> 00:39:37.760]   You could also move in a direction where you sold some kind of financial product.
[00:39:37.760 --> 00:39:42.660]   And that's usually the most profitable way to be a financial advisor.
[00:39:42.660 --> 00:39:44.020]   Selling some version of your financial product to someone who's not a financial advisor.
[00:39:44.020 --> 00:39:44.020]   You could also move in a direction where you sold some kind of financial product.
[00:39:44.020 --> 00:39:44.020]   That's usually the most profitable way to be a financial advisor.
[00:39:44.020 --> 00:39:44.020]   Selling some version of your financial product to someone who's not a financial advisor.
[00:39:44.020 --> 00:39:44.020]   You could also move in a direction where you sold some kind of financial product to someone who's not a financial advisor.
[00:39:44.020 --> 00:39:44.020]  ,
[00:39:44.060 --> 00:40:14.040]   in the financial advice industry.
[00:40:14.040 --> 00:40:14.040]   Those are more profitable ways for people to give financial advice and yet be able to make a living and build a business.
[00:40:14.040 --> 00:40:14.040]   Now if you don't want to sell financial products and if you want to do pure financial planning then in that case you will be able to do the opposite.
[00:40:14.040 --> 00:40:14.040]   If you don't want to sell financial products and if you want to do pure financial planning then in that case you will be able to do the opposite.
[00:40:14.040 --> 00:40:14.040]   If you don't want to sell financial products and if you want to do pure financial planning then in that case you will be able to do the opposite.
[00:40:14.040 --> 00:40:14.040]   if you don't want to sell financial products and if you want to do pure financial planning then you will be able to do the opposite.
[00:40:14.040 --> 00:40:14.040]  , if you want to sell financial advice then you will be able to sell financial advice and if you want to do the opposite.
[00:40:14.040 --> 00:40:14.040]  , you want to sell financial advice you can be able to make financial advice.
[00:40:14.060 --> 00:40:44.060]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:40:44.060 --> 00:40:44.060]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:40:44.060 --> 00:40:44.060]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:40:44.060 --> 00:40:44.060]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:40:44.060 --> 00:40:44.060]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:40:44.060 --> 00:40:44.060]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:40:44.060 --> 00:40:44.060]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:40:44.060 --> 00:40:44.060]   You're going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:40:44.080 --> 00:41:14.080]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:41:14.080 --> 00:41:14.080]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:41:14.080 --> 00:41:14.080]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:41:14.080 --> 00:41:14.080]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:41:14.080 --> 00:41:14.080]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:41:14.080 --> 00:41:14.080]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:41:14.120 --> 00:41:44.100]  ,
[00:41:44.100 --> 00:41:44.100]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:41:44.100 --> 00:41:44.100]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:41:44.100 --> 00:41:44.100]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:41:44.100 --> 00:41:44.100]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:41:44.100 --> 00:41:44.100]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:41:44.100 --> 00:41:44.100]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:41:44.120 --> 00:42:14.120]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:14.120 --> 00:42:14.120]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:14.120 --> 00:42:14.120]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:14.120 --> 00:42:14.120]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:14.120 --> 00:42:14.120]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:14.120 --> 00:42:14.120]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:14.120 --> 00:42:14.120]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:14.120 --> 00:42:14.120]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:14.140 --> 00:42:44.140]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:44.140 --> 00:42:44.140]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:44.140 --> 00:42:44.140]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:44.140 --> 00:42:44.140]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:44.140 --> 00:42:44.140]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:44.140 --> 00:42:44.140]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:44.140 --> 00:42:44.140]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:44.140 --> 00:42:44.140]   You are going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:42:44.180 --> 00:43:14.160]  ,
[00:43:14.160 --> 00:43:14.160]   and you're going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:14.160 --> 00:43:14.160]   and you're going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:14.160 --> 00:43:14.160]   and you're going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:14.160 --> 00:43:14.160]   and you're going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:14.160 --> 00:43:14.160]   and you're going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:14.160 --> 00:43:14.160]   and you're going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:14.160 --> 00:43:14.160]   and you're going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:14.180 --> 00:43:44.180]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:44.180 --> 00:43:44.180]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:44.180 --> 00:43:44.180]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:44.180 --> 00:43:44.180]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:44.180 --> 00:43:44.180]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:44.180 --> 00:43:44.180]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:44.180 --> 00:43:44.180]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:44.180 --> 00:43:44.180]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:43:44.200 --> 00:44:14.200]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:14.200 --> 00:44:14.200]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:14.200 --> 00:44:14.200]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:14.200 --> 00:44:14.200]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:14.200 --> 00:44:14.200]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:14.200 --> 00:44:14.200]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:14.200 --> 00:44:14.200]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:14.220 --> 00:44:44.220]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:44.220 --> 00:44:44.220]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:44.220 --> 00:44:44.220]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:44.220 --> 00:44:44.220]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:44.220 --> 00:44:44.220]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:44.220 --> 00:44:44.220]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:44.220 --> 00:44:44.220]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:44:44.240 --> 00:45:14.240]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:14.240 --> 00:45:14.240]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:14.240 --> 00:45:14.240]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:14.240 --> 00:45:14.240]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:14.240 --> 00:45:14.240]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:14.240 --> 00:45:14.240]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:14.240 --> 00:45:14.240]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:14.280 --> 00:45:44.260]  ,
[00:45:44.260 --> 00:45:44.260]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:44.260 --> 00:45:44.260]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:44.260 --> 00:45:44.260]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:44.260 --> 00:45:44.260]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:44.260 --> 00:45:44.260]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
