
[00:00:00.000 --> 00:00:02.600]   from Loyad from India.
[00:14:43.100 --> 00:14:46.100]   I think of it as a sort of nerd version
[00:14:46.100 --> 00:14:50.380]   of David Blaine productivity endurance challenges.
[00:14:50.380 --> 00:14:54.260]   I guess it's time-lapse, but 10 hours studying straight.
[00:14:54.260 --> 00:14:56.660]   And they make it sort of heroic.
[00:14:56.660 --> 00:14:58.340]   This often works well on YouTube.
[00:14:58.340 --> 00:15:01.100]   If the thing you're doing is over the top,
[00:15:01.100 --> 00:15:03.940]   you take whatever emotional reaction
[00:15:03.940 --> 00:15:05.380]   that is relevant to that topic.
[00:15:05.380 --> 00:15:07.580]   So you see someone well-organized and studying well,
[00:15:07.580 --> 00:15:09.900]   and you're like, "Oh, I kind of have an affinity for that.
[00:15:09.900 --> 00:15:11.100]   I wanna be a better student."
[00:15:11.100 --> 00:15:12.940]   And then you show someone doing it for 10 hours,
[00:15:12.940 --> 00:15:14.300]   you push it over the top,
[00:15:14.300 --> 00:15:15.700]   it takes that emotional response
[00:15:15.700 --> 00:15:18.700]   and pushes over the top, that's engagement.
[00:15:18.700 --> 00:15:20.860]   And people watch these videos and get really into it.
[00:15:20.860 --> 00:15:23.180]   So it's a classic YouTube strategy
[00:15:23.180 --> 00:15:26.820]   being applied to the topic of productivity.
[00:15:26.820 --> 00:15:28.900]   So why not study for 10 hours a day?
[00:15:28.900 --> 00:15:31.500]   You can see in the student's question,
[00:15:31.500 --> 00:15:32.980]   these are big names on YouTube.
[00:15:32.980 --> 00:15:34.820]   These people are YouTube famous.
[00:15:34.820 --> 00:15:36.860]   They seem like they're really good students.
[00:15:36.860 --> 00:15:38.100]   Why? There's a clarity to it.
[00:15:38.100 --> 00:15:41.020]   There's an extremeness to it, a sort of monastic discipline
[00:15:41.020 --> 00:15:43.020]   to all I do is study all day.
[00:15:43.020 --> 00:15:44.660]   And I guess my answer to the CS student,
[00:15:44.660 --> 00:15:48.580]   it would be to turn the question back on you
[00:15:48.580 --> 00:15:50.540]   and say, "To what end?"
[00:15:50.540 --> 00:15:54.700]   So what are you trying to accomplish
[00:15:54.700 --> 00:15:57.580]   if you're working 10 hours a day on schoolwork?
[00:15:57.580 --> 00:15:59.700]   Well, you might say, "Well,
[00:15:59.700 --> 00:16:01.380]   then for sure I'll get into med school."
[00:16:01.380 --> 00:16:02.940]   Okay, so then what?
[00:16:02.940 --> 00:16:06.140]   Well, okay, I guess I would study 10 hours a day
[00:16:06.140 --> 00:16:08.620]   in med school so that I could graduate top my class
[00:16:08.620 --> 00:16:10.580]   and get a really good residency.
[00:16:10.580 --> 00:16:11.460]   Okay, well, then what?
[00:16:11.460 --> 00:16:13.300]   Well, then I would work 10 hours a day
[00:16:13.300 --> 00:16:14.420]   so I could do research.
[00:16:14.420 --> 00:16:16.860]   I could be the very best resident
[00:16:16.860 --> 00:16:20.260]   and get sort of an academic clinical position.
[00:16:20.260 --> 00:16:21.100]   Okay, well, then what?
[00:16:21.100 --> 00:16:22.260]   Well, then I'd really wanna do 10 hours
[00:16:22.260 --> 00:16:24.100]   because if I could fill every hour
[00:16:24.100 --> 00:16:27.900]   working on my medical research and clinician practice,
[00:16:27.900 --> 00:16:30.500]   I could move up really quickly and become an attending
[00:16:30.500 --> 00:16:32.980]   and get tenure at the associate university very quickly.
[00:16:32.980 --> 00:16:33.900]   It was like, all right, well, then what?
[00:16:34.500 --> 00:16:36.780]   If I really worked 10 hours all day long,
[00:16:36.780 --> 00:16:40.980]   then I could probably become chair
[00:16:40.980 --> 00:16:43.300]   of this particular medical department
[00:16:43.300 --> 00:16:44.740]   and bring in all this different money
[00:16:44.740 --> 00:16:46.700]   and we could really expand the hospitals.
[00:16:46.700 --> 00:16:47.580]   And then what?
[00:16:47.580 --> 00:16:50.980]   You keep following this out and you look back and say,
[00:16:50.980 --> 00:16:55.500]   "All I've done is just work really hard."
[00:16:55.500 --> 00:16:57.600]   What about all the other elements of life?
[00:16:57.600 --> 00:17:03.340]   So where is there in this point some sort of victory
[00:17:03.340 --> 00:17:06.340]   where you say now I can have a full rich experience of life?
[00:17:06.340 --> 00:17:09.100]   It's just working for the sake of working
[00:17:09.100 --> 00:17:10.580]   because of what's next.
[00:17:10.580 --> 00:17:12.740]   Putting aside the fact that it's completely unsustainable
[00:17:12.740 --> 00:17:14.940]   and these YouTubers don't work 10 hours all the time.
[00:17:14.940 --> 00:17:16.780]   Again, it's like looking at David Blaine
[00:17:16.780 --> 00:17:18.460]   freezing himself into a block of ice.
[00:17:18.460 --> 00:17:20.820]   He doesn't spend most days frozen to a block of ice,
[00:17:20.820 --> 00:17:22.580]   but it got a lot of engagement when he did that
[00:17:22.580 --> 00:17:25.340]   as a stunt for a television special.
[00:17:25.340 --> 00:17:27.420]   They're not spending their day doing this all the time.
[00:17:27.420 --> 00:17:28.580]   It's not a sustainable way to live,
[00:17:28.580 --> 00:17:30.020]   but even if it was, in general,
[00:17:30.020 --> 00:17:32.260]   this is like let me grind and work all of my hours
[00:17:32.260 --> 00:17:37.260]   so I can get to the next level at the very highest level.
[00:17:37.260 --> 00:17:40.780]   It's not sustainable because it keeps going.
[00:17:40.780 --> 00:17:42.100]   Now, there are some exceptions to this.
[00:17:42.100 --> 00:17:44.780]   Like sure, some professional caliber
[00:17:44.780 --> 00:17:46.460]   Olympic athletes do this,
[00:17:46.460 --> 00:17:48.340]   but they're doing this for a very narrow window
[00:17:48.340 --> 00:17:50.460]   because they have until they're, what, 33
[00:17:50.460 --> 00:17:52.500]   before they have to move on and live the rest of your life.
[00:17:52.500 --> 00:17:54.180]   It's very different if you're training
[00:17:54.180 --> 00:17:56.380]   for the Olympics like this with this level of intensity
[00:17:56.380 --> 00:17:58.860]   because it's a in-dated thing.
[00:17:58.860 --> 00:18:01.420]   But if you're talking about your career as a student
[00:18:01.420 --> 00:18:02.260]   to your professional career,
[00:18:02.260 --> 00:18:06.820]   there's no place where that ends essentially until you die.
[00:18:06.820 --> 00:18:07.900]   What type of life is that?
[00:18:07.900 --> 00:18:09.420]   So why don't you work for 10 hours a day
[00:18:09.420 --> 00:18:10.620]   because it's not living.
[00:18:10.620 --> 00:18:14.980]   It's a sort of parody of workism
[00:18:14.980 --> 00:18:19.460]   if I'm gonna take a term from Derek Thompson.
[00:18:19.460 --> 00:18:21.460]   So what works better?
[00:18:21.460 --> 00:18:22.500]   Slow productivity.
[00:18:22.500 --> 00:18:26.700]   Working with good focus and good organization
[00:18:26.700 --> 00:18:28.940]   on things that matter consistently
[00:18:28.940 --> 00:18:30.380]   and systematically over time.
[00:18:31.300 --> 00:18:34.180]   This can produce work of real impact, of real meaning.
[00:18:34.180 --> 00:18:36.140]   It can open up all sorts of interesting opportunities
[00:18:36.140 --> 00:18:36.980]   in your life.
[00:18:36.980 --> 00:18:37.820]   It can allow you to do
[00:18:37.820 --> 00:18:39.660]   and accomplish very competitive things.
[00:18:39.660 --> 00:18:41.660]   And it's compatible with a well-rounded life.
[00:18:41.660 --> 00:18:43.620]   And it's compatible with, I don't just work all the time.
[00:18:43.620 --> 00:18:45.060]   I'm not just always stressed out.
[00:18:45.060 --> 00:18:47.980]   I'm not just always overwhelmed and trying to keep up
[00:18:47.980 --> 00:18:50.380]   or compete with someone else.
[00:18:50.380 --> 00:18:55.100]   It often also produces, in a lot of fields, better results.
[00:18:55.100 --> 00:18:59.740]   You don't see the very best novelists
[00:18:59.740 --> 00:19:00.980]   that are winning all the awards
[00:19:00.980 --> 00:19:03.580]   getting there because they spend more hours
[00:19:03.580 --> 00:19:04.940]   working on their novel every day.
[00:19:04.940 --> 00:19:08.100]   No, it's this sort of slow and steady work on their writing.
[00:19:08.100 --> 00:19:11.540]   They're very careful and intentional about their time.
[00:19:11.540 --> 00:19:14.060]   They think, they read, they walk, they integrate,
[00:19:14.060 --> 00:19:15.900]   and they come back and write.
[00:19:15.900 --> 00:19:17.340]   And you get really great,
[00:19:17.340 --> 00:19:18.180]   you know, it's where you're gonna get
[00:19:18.180 --> 00:19:19.020]   a sort of wholesome whitehead,
[00:19:19.020 --> 00:19:21.740]   is out of the slow development of real talent,
[00:19:21.740 --> 00:19:24.260]   not out of, I wrote 12 hours each day
[00:19:24.260 --> 00:19:26.500]   and the other writers are only writing six hours each day.
[00:19:26.500 --> 00:19:27.740]   Now, I think there's a comfort in this
[00:19:27.780 --> 00:19:30.380]   for very ambitious young people,
[00:19:30.380 --> 00:19:32.580]   because it makes you think,
[00:19:32.580 --> 00:19:33.780]   it gives you a very simple framework.
[00:19:33.780 --> 00:19:35.700]   I turn this knob of hours.
[00:19:35.700 --> 00:19:37.300]   The higher the knob you turn up on hours,
[00:19:37.300 --> 00:19:38.900]   the more successful you'll be.
[00:19:38.900 --> 00:19:40.900]   Most people aren't gonna turn the knob past this point
[00:19:40.900 --> 00:19:41.860]   because they're weak.
[00:19:41.860 --> 00:19:42.740]   I'm not weak.
[00:19:42.740 --> 00:19:44.180]   If I'm willing to take the pain,
[00:19:44.180 --> 00:19:45.580]   it's very simple what I need to do.
[00:19:45.580 --> 00:19:46.420]   It's just hard.
[00:19:46.420 --> 00:19:48.580]   It's just keeping my hand in a metaphorical ice bucket
[00:19:48.580 --> 00:19:49.580]   longer than you did.
[00:19:49.580 --> 00:19:51.140]   I like this.
[00:19:51.140 --> 00:19:52.140]   I'm gonna do 10 hours.
[00:19:52.140 --> 00:19:53.300]   You're only gonna do four.
[00:19:53.300 --> 00:19:54.260]   I'll be more successful.
[00:19:54.260 --> 00:19:57.780]   So it makes success seem much more controllable.
[00:19:57.780 --> 00:20:00.540]   It's just a matter of raw will.
[00:20:00.540 --> 00:20:03.380]   But again, that's not the reality.
[00:20:03.380 --> 00:20:05.940]   Great work, innovative work in academia,
[00:20:05.940 --> 00:20:08.580]   in the arts, in business or business strategy
[00:20:08.580 --> 00:20:12.180]   has its busy periods, but is not built upon,
[00:20:12.180 --> 00:20:13.660]   I have to be working all the time.
[00:20:13.660 --> 00:20:16.140]   So I just think it's no real way to live.
[00:20:16.140 --> 00:20:17.300]   I just say, this is why I come back
[00:20:17.300 --> 00:20:19.860]   to my original question, to what end?
[00:20:19.860 --> 00:20:23.500]   What comes next after your 10 hours a day as a student?
[00:20:23.500 --> 00:20:25.420]   What comes next after your 10 hours a day
[00:20:25.420 --> 00:20:28.460]   as the investment banker junior associate?
[00:20:28.460 --> 00:20:29.300]   Because you took that job
[00:20:29.300 --> 00:20:30.300]   because it was the most competitive,
[00:20:30.300 --> 00:20:31.460]   the hardest one to get.
[00:20:31.460 --> 00:20:33.540]   What comes next after you get managing director
[00:20:33.540 --> 00:20:34.740]   at the investment bank?
[00:20:34.740 --> 00:20:36.620]   What comes next after you go off
[00:20:36.620 --> 00:20:37.660]   to start your own hedge fund?
[00:20:37.660 --> 00:20:40.340]   What comes next after you hit the billion dollar valuation?
[00:20:40.340 --> 00:20:41.900]   I mean, there's always things
[00:20:41.900 --> 00:20:44.060]   you could be overworking yourself towards,
[00:20:44.060 --> 00:20:46.340]   but again, to what end?
[00:20:46.340 --> 00:20:47.180]   What comes next?
[00:20:47.180 --> 00:20:48.260]   These are the questions I always come back to.
[00:20:48.260 --> 00:20:49.580]   So I think it's a stunt
[00:20:49.580 --> 00:20:51.900]   what these productivity YouTubers are doing.
[00:20:51.900 --> 00:20:54.060]   I've spent my entire life in professional academia.
[00:20:54.060 --> 00:20:56.060]   The smartest people don't do that.
[00:20:56.060 --> 00:20:58.660]   They work hard, and undergraduate, they don't, right?
[00:20:58.660 --> 00:21:00.340]   I mean, because it's not that hard.
[00:21:00.340 --> 00:21:01.900]   They work hard in periods and other periods.
[00:21:01.900 --> 00:21:02.820]   They're in thinking periods.
[00:21:02.820 --> 00:21:04.660]   They have other types of things going on.
[00:21:04.660 --> 00:21:07.700]   So I'm just not, this idea that you're gonna somehow just,
[00:21:07.700 --> 00:21:08.740]   I love the simplicity of it,
[00:21:08.740 --> 00:21:09.860]   but this idea that you're gonna somehow
[00:21:09.860 --> 00:21:12.540]   just out-raw number everyone else
[00:21:12.540 --> 00:21:13.980]   and that's where your success is gonna come from.
[00:21:13.980 --> 00:21:16.260]   It just is not sustainable.
[00:21:16.260 --> 00:21:19.580]   It goes against the deep life that we talk about here.
[00:21:19.660 --> 00:21:22.940]   It's way out of balance, over the top,
[00:21:22.940 --> 00:21:25.900]   and really not the right way in my mind
[00:21:25.900 --> 00:21:28.500]   to build a life of intentionality and depth.
[00:21:28.500 --> 00:21:32.180]   All that's new, Jesse, this like work 10 hours thing,
[00:21:32.180 --> 00:21:34.420]   it's because it worked on YouTube.
[00:21:34.420 --> 00:21:35.260]   - Yeah.
[00:21:35.260 --> 00:21:37.020]   - And I think for young people, they see it,
[00:21:37.020 --> 00:21:38.140]   they don't realize how new it is.
[00:21:38.140 --> 00:21:39.860]   If someone just figured this out a few years ago,
[00:21:39.860 --> 00:21:42.460]   that it's very compelling content to be like,
[00:21:42.460 --> 00:21:44.100]   man, I just studied 10 hours.
[00:21:44.100 --> 00:21:46.060]   You watch them doing it, you're like, man, they did it.
[00:21:46.060 --> 00:21:46.900]   They stuck with it.
[00:21:46.900 --> 00:21:48.700]   And look at, that's great.
[00:21:48.700 --> 00:21:49.700]   It just seems so simple.
[00:21:49.700 --> 00:21:50.540]   I don't know.
[00:21:50.540 --> 00:21:52.100]   It's like the productivity equivalent of David Goggins
[00:21:52.100 --> 00:21:54.100]   doing, just ran all day long
[00:21:54.100 --> 00:21:56.020]   or did pushups till my arm fell off.
[00:21:56.020 --> 00:21:58.620]   - It's like when we heard Mr. Beast talk about,
[00:21:58.620 --> 00:21:59.740]   if you want a compelling video
[00:21:59.740 --> 00:22:00.580]   and you don't have a lot of money,
[00:22:00.580 --> 00:22:02.260]   you can put together paperclips
[00:22:02.260 --> 00:22:04.900]   for multiple football fields and people will watch it.
[00:22:04.900 --> 00:22:05.740]   - Yep.
[00:22:05.740 --> 00:22:07.660]   Or what was his, how high can he count?
[00:22:07.660 --> 00:22:08.500]   - Yeah.
[00:22:08.500 --> 00:22:09.820]   - He counted to like a million or something
[00:22:09.820 --> 00:22:11.700]   and it took him 12 hours.
[00:22:11.700 --> 00:22:13.620]   Yeah, it works on YouTube.
[00:22:13.620 --> 00:22:16.380]   It's not actually a strategy for productivity.
[00:22:16.380 --> 00:22:19.820]   It's a strategy for getting good views on a YouTube video.
[00:22:19.820 --> 00:22:20.660]   So I don't know.
[00:22:20.660 --> 00:22:23.380]   Maybe our YouTube videos will be the counterpoint
[00:22:23.380 --> 00:22:26.500]   for the youth out there or old man videos.

