
[00:00:00.160 --> 00:00:04.640]   Capital One might not be the first issuer you think of when it comes to premium rewards,
[00:24:40.560 --> 00:24:45.520]   No TSA Pre and Global Entry credit as well. So those are the two Spark Miles cards on the
[00:24:45.520 --> 00:24:50.880]   business side. That 2x miles card, I'm going to put up in the S tier as well. If you're asking why
[00:24:50.880 --> 00:24:57.600]   the Spark Miles 2x card is in the S tier and the VentureCard is not, I think the main thing for me
[00:24:57.600 --> 00:25:02.400]   is that there are just so many consumer cards that can reward you on tons of different categories.
[00:25:02.400 --> 00:25:07.840]   Whereas on the business side, there are not a lot of business cards that get you uncapped 2x on
[00:25:07.840 --> 00:25:14.560]   everything. And a lot of business purchases don't fall into bonus categories on cards. A lot of
[00:25:14.560 --> 00:25:19.920]   business services, lots of spending in places that aren't restaurants and dining and travel.
[00:25:19.920 --> 00:25:26.640]   So that's why I put this in the S tier, because as a business owner, being able to get 2x transferable
[00:25:26.640 --> 00:25:32.320]   miles on all purchases is just really incredible and differentiated amongst a lot of other cards.
[00:25:32.320 --> 00:25:38.800]   That said, if I'm looking at the Spark Business 1.5x miles card, I'm putting that down in the B tier,
[00:25:38.800 --> 00:25:45.120]   because getting 1.5x is pretty comparable to a lot of other options. Maybe there aren't that many
[00:25:45.120 --> 00:25:51.440]   business cards, like there are personal cards that earn 1.5x or 1.5% back, but that definitely doesn't
[00:25:51.440 --> 00:25:53.040]   feel as differentiated.
[00:25:53.040 --> 00:25:57.760]   So that's Capital One's miles cards. Let's talk about Capital One's cashback cards.
[00:25:57.760 --> 00:26:04.880]   Though, technically, if you have a Capital One miles card, then if you have a cashback card, you can
[00:26:04.880 --> 00:26:11.760]   transfer the cashback you earn at a rate of one penny to one point to your rewards balance on your miles
[00:26:11.760 --> 00:26:17.680]   earning card. So I have a Capital One cashback business card, the Spark Cash Plus. And if I earned
[00:26:17.680 --> 00:26:26.160]   $100 of cashback, I can transfer that to be 10,000 miles in my personal VentureX card balance. So yes,
[00:26:26.160 --> 00:26:30.640]   these are all cashback cards if you have them on your own. If you pair them with any of the Venture or
[00:26:30.640 --> 00:26:36.800]   Spark Miles cards, you can turn them into miles, which makes them even more valuable in my opinion.
[00:26:36.800 --> 00:26:40.800]   So the first one we're going to talk about is a Capital One Saver Rewards card. This is a card that
[00:26:40.800 --> 00:26:48.880]   earns 3% back on grocery, dining, entertainment, and streaming. So this is Capital One's consumer card
[00:26:48.880 --> 00:26:54.400]   to reward you elevated amounts on your regular consumer spending. I really like this card.
[00:26:54.400 --> 00:26:58.640]   I have other cards that hit these categories, but if I were going to go all in on the Capital One
[00:26:58.640 --> 00:27:03.040]   ecosystem, which we'll talk about later, I would absolutely be getting this card and pairing it with
[00:27:03.040 --> 00:27:09.440]   a VentureX. It also earns 5% back on hotels and rental cars, and then it earns 1% back on all other
[00:27:09.440 --> 00:27:15.600]   purchases. It has no foreign transaction fees, has no annual fee. Right now, the welcome bonus is only $200
[00:27:15.600 --> 00:27:24.240]   on $500 spend in three months, but you do get a 0% intro APR for 15 months, and as of a few days ago,
[00:27:24.240 --> 00:27:30.720]   a $100 Capital One travel credit. So not the best welcome offer in terms of dollars, or if you took
[00:27:30.720 --> 00:27:37.280]   those $200 and turned them into miles, it would be 20,000 miles. But 0% intro APR is interesting,
[00:27:37.280 --> 00:27:41.920]   a free travel credit is interesting, but the elevated earnings are, I think, what sets this card apart.
[00:27:41.920 --> 00:27:47.600]   There are some variations of this. There is the for good credit version, which is the same except
[00:27:47.600 --> 00:27:53.520]   there's no welcome offer, and there's no 0% intro APR. Then there is a student version of the card with
[00:27:53.520 --> 00:28:00.080]   a lower welcome offer of only $100 on $300 spend in three months. Also doesn't have the 0% intro APR,
[00:28:00.080 --> 00:28:05.040]   but you do need to be enrolled, admitted, or planning to enroll in the next three months at an accredited
[00:28:05.040 --> 00:28:09.920]   university, community college, or other higher education institution. So those are the three
[00:28:09.920 --> 00:28:14.960]   variations. Like I said, I'm only going to review the primary personal one, and I'm going to put this in
[00:28:14.960 --> 00:28:20.640]   the A tier. This is a card I really like. While the welcome offer isn't as compelling as a lot of other
[00:28:20.640 --> 00:28:27.600]   cards out there, I do think being able to get 3% back or 3x miles if you pair it with a miles card
[00:28:27.600 --> 00:28:33.760]   on grocery, dining, entertainment, and streaming covers a ton of the categories that are both competitive
[00:28:33.760 --> 00:28:38.960]   with other cards and areas where I think a lot of people spend money. So love this card, even though I
[00:28:38.960 --> 00:28:44.960]   don't have it. There used to be a saver one version of this card that went up to 4% back on groceries.
[00:28:44.960 --> 00:28:51.040]   And I know there's been some surveys going out from Capital One about maybe an elevated kind of venture
[00:28:51.040 --> 00:28:57.200]   X version, maybe the saver X card, but it hasn't come out yet. There's no details out there. Who knows if
[00:28:57.200 --> 00:29:03.600]   it ever will. This episode is brought to you by Trust and Will. It is so easy to overcomplicate
[00:29:03.600 --> 00:29:09.280]   simple tasks, especially for me when I love doing all the research, but some things don't always need
[00:29:09.280 --> 00:29:15.440]   to be complicated and put off like creating a will or trust. So check out Trust and Will because they
[00:29:15.440 --> 00:29:21.280]   make estate planning so straightforward and simple you can do it from your couch. The platform is attorney
[00:29:21.280 --> 00:29:27.760]   designed specific to each state and most important customized by you at every step. I can tell you
[00:29:27.760 --> 00:29:33.520]   firsthand how great Trust and Will is because we use them to set up our estate plan years ago long before
[00:29:33.520 --> 00:29:39.520]   they were a sponsor because it was quick, easy, and way less intimidating than it seems. In a few guided
[00:29:39.520 --> 00:29:45.360]   steps, we had a solid plan in place to protect our family and we were able to customize it to match all our
[00:29:45.360 --> 00:29:50.160]   nuanced preferences about what happens to our savings, who's going to be the guardian for our kids, and
[00:29:50.160 --> 00:29:55.840]   much more. I can't tell you how much peace of mind we have knowing that all of this is taken care of and
[00:29:55.840 --> 00:30:02.480]   it was so easy to update it online after we had our second child. So let Trust and Will uncomplicate the
[00:30:02.480 --> 00:30:10.000]   process for you. Protect what matters most in minutes at allthehacks.com/trustandwill and get
[00:30:10.000 --> 00:30:19.120]   20% off plus free shipping. That's 20% off and free shipping at allthehacks.com/trustandwill.
[00:30:19.120 --> 00:30:23.760]   This episode is brought to you by Element. If you've listened to this show, you know I'm always
[00:30:23.760 --> 00:30:29.040]   searching for ways to optimize my life and Element is genuinely one of the simplest, most impactful
[00:30:29.040 --> 00:30:35.200]   upgrades I've made. I drink Element almost every day and bring it with me every time I travel. Here's why:
[00:30:35.200 --> 00:30:39.920]   Staying hydrated isn't just about drinking water. Electrolyte imbalances can lead to headaches,
[00:30:39.920 --> 00:30:45.520]   fatigue, brain fog, poor sleep, and most electrolyte drinks out there are packed with sugar and other
[00:30:45.520 --> 00:30:51.680]   dodgy ingredients. But Element is different. It's zero sugar, zero artificial junk, just a perfectly
[00:30:51.680 --> 00:30:57.600]   balanced mix of electrolytes and sodium that is backed by science and tastes great. Since I started
[00:30:57.600 --> 00:31:01.680]   drinking Element, I've noticed clearer focus throughout the day, better sleep at night, and I
[00:31:01.680 --> 00:31:07.920]   am more energized for workouts and recovery. Honestly, it is hard to imagine going back. So whether you're an
[00:31:07.920 --> 00:31:13.200]   athlete or just someone like me trying to get the most out of every day, you've got to try Element,
[00:31:13.200 --> 00:31:17.760]   and they're so confident you'll love it that they offer no questions asked refunds so you can try it
[00:31:17.760 --> 00:31:23.920]   risk-free. And for All The Hacks listeners, you can get a free eight-count sample pack of Element's most
[00:31:23.920 --> 00:31:31.920]   popular drink mix flavors with any purchase at allthehacks.com/elementlmnt. Find your favorite
[00:31:31.920 --> 00:31:37.200]   Element flavor or share with a friend. That's allthehacks.com/elementlmnt.
[00:31:37.200 --> 00:31:42.480]   Okay, so the next cashback card is the Quicksilver card. Samuel L. Jackson's been talking about
[00:31:42.480 --> 00:31:47.920]   this card for years. You've probably seen ads. It is a one and a half percent cashback card on all your
[00:31:47.920 --> 00:31:53.840]   purchases. Right now, the welcome offer is $200 on $500 spend in three months, but you do also get a
[00:31:53.840 --> 00:31:59.120]   zero percent intro APR for 15 months and $100 Capital One travel credit. No annual fee, no foreign
[00:31:59.120 --> 00:32:04.480]   transaction fees, but the note says you do need excellent credit to get this card. There are some variations of
[00:32:04.480 --> 00:32:11.040]   this. So there is the Quicksilver for good credit version, which is the same card, but no welcome
[00:32:11.040 --> 00:32:16.080]   offer and no zero percent intro APR. And then there is the for student version of this card, which has
[00:32:16.080 --> 00:32:21.600]   similar requirements to the saver card for students, also no intro APR, but it does have a small welcome
[00:32:21.600 --> 00:32:28.480]   offer of $100 on $300 spend in three months. Then there is the Quicksilver One card, which you'd think
[00:32:28.480 --> 00:32:34.000]   might be different given that there was a saver and a saver one card and they had different earnings. No,
[00:32:34.000 --> 00:32:40.800]   this one's the same earnings, no welcome offer, no intro APR, but this one actually has a $39 annual fee.
[00:32:40.800 --> 00:32:45.280]   They do say they do credit line reviews, but it says this is for fair credit. Still, again,
[00:32:45.280 --> 00:32:51.200]   with Capital One and the naming, I'm always confused. Instead of calling this the for fair credit version,
[00:32:51.200 --> 00:32:56.400]   they give it a different name called Quicksilver One. So I'll treat it like a separate card, but it's not
[00:32:56.400 --> 00:33:01.360]   really that different. And then there's also a Quicksilver secured card, which actually isn't a credit card,
[00:33:01.360 --> 00:33:06.480]   that has no welcome offer, no intro APR, no annual fee, but you have to make a refundable deposit.
[00:33:06.480 --> 00:33:10.720]   So when I look at these cards, I think about the Quicksilver card. I'm putting that at the C tier.
[00:33:10.720 --> 00:33:15.360]   And by the way, this tier list goes from S at the top all the way down to D tier. Think of it as a
[00:33:15.360 --> 00:33:21.440]   grading system with S for, I don't know, star, special. I don't actually know the origin of the S.
[00:33:21.440 --> 00:33:25.600]   And putting a card out there like the Quicksilver card that earns one and a half percent on everything,
[00:33:25.600 --> 00:33:31.920]   it's just not that compelling. It's a C tier card for me. But putting it out there with a annual fee,
[00:33:31.920 --> 00:33:37.040]   the Quicksilver One card, obviously the card is not targeting someone who could be eligible for these
[00:33:37.040 --> 00:33:42.240]   other cards. But even the secured version of this card has no annual fee and the same earnings. So I
[00:33:42.240 --> 00:33:46.800]   think the Capital One Quicksilver One card is a D tier card for me. Now, moving over to the business
[00:33:46.800 --> 00:33:51.360]   side of cash back, you've got the Spark Cash cards. These are similar to the Quicksilver cards,
[00:33:51.360 --> 00:33:56.560]   except they actually go all the way up to 2%. There is no 2% cash back card on the personal side.
[00:33:56.560 --> 00:34:03.040]   So the one I'll start with is the Spark Cash card. It's the Spark 2% cash version. You get 2% back on all
[00:34:03.040 --> 00:34:09.360]   purchases. You also get 5% back on hotels and rental cars through Capital One Travel. There is a bonus
[00:34:09.360 --> 00:34:16.480]   right now of $1,000 when you spend $10,000 in the first three months. So reasonable bonus there,
[00:34:16.480 --> 00:34:22.000]   right? You're getting 10% back on that spend. I like that. The annual fee is $95, but it's waived
[00:34:22.000 --> 00:34:27.360]   for the first year. There's no foreign transaction fees and you get free employee cards. So overall,
[00:34:27.360 --> 00:34:33.680]   as a business owner, a 2% back card on everything is pretty good. I would rather have 2X Miles. But if
[00:34:33.680 --> 00:34:38.480]   you already have a personal venture or VentureX card, then all of a sudden you don't need a Spark
[00:34:38.480 --> 00:34:44.320]   Miles card or a VentureX business card to be able to earn transferable miles with a business card.
[00:34:44.320 --> 00:34:51.920]   Now, similar to the Spark Cash 2% card, there is the Spark Cash Plus card, which is also a 2% card.
[00:34:51.920 --> 00:34:57.680]   And the main difference between this card is that unlike the Spark Cash, the Spark Cash Plus is a
[00:34:57.680 --> 00:35:01.840]   charge card. And so like I mentioned, when I was talking about the VentureX business, the Spark Cash
[00:35:01.840 --> 00:35:07.520]   Plus has no preset limit. You do have to pay it in full each month, but as you spend, that limit would go
[00:35:07.520 --> 00:35:12.080]   up and up over time and match your spending, or at least that's how it's supposed to work.
[00:35:12.080 --> 00:35:18.000]   And so it would be better than the Spark Cash card if you spend a ton of money in terms of needing a
[00:35:18.000 --> 00:35:23.360]   higher limit and not having to request credit line increases or be limited by whatever your limit is.
[00:35:23.360 --> 00:35:27.120]   It also has a much higher welcome offer. So right now, you earn $2,000
[00:35:27.120 --> 00:35:34.720]   on $30,000 of spend in the first three months. And then you earn another $2,000 for every
[00:35:34.720 --> 00:35:42.160]   $500,000 you spend in the first year. Now, that second bonus equates to about 0.4%.
[00:35:42.160 --> 00:35:48.240]   So I'm not really excited about that. Obviously, if you're spending a ton of money on your business,
[00:35:48.240 --> 00:35:52.880]   and you're going to spend $4 million in the first year, this card could be more rewarding because I
[00:35:52.880 --> 00:35:58.560]   guess in that first year, it would kind of average out if you spent right at $500,000 increments to be
[00:35:58.560 --> 00:36:05.440]   a 2.4% cashback card. But I think very few people are going to be spending $500,000 or more dollars on
[00:36:05.440 --> 00:36:09.440]   this card in the first 12 months. Now, you might look at this and say, okay, well, this welcome offer
[00:36:09.440 --> 00:36:14.640]   does seem like it could be more competitive than the VentureX business card in that if you paired it with a
[00:36:14.640 --> 00:36:21.280]   miles earning card, it would effectively be 200,000 miles for the same $30,000 of spend.
[00:36:21.280 --> 00:36:28.160]   The main difference here is that this card does have an annual fee of $150. And the only real
[00:36:28.160 --> 00:36:33.840]   benefits that it has that could offset that fee are that if you spend $150,000, it gets refunded.
[00:36:33.840 --> 00:36:37.840]   And there's not a lot of benefits. So you don't get lounge access, you don't get global entry
[00:36:37.840 --> 00:36:41.680]   reimbursed, you don't get the extra elevated earnings on Capital One Travel, you do get the
[00:36:41.680 --> 00:36:48.960]   5% back on hotels and rental cars, but not 10% or 10x on hotels and rental cars, or 5x on flights
[00:36:48.960 --> 00:36:53.840]   and vacation rentals that you would on the VentureX side. So to me, it kind of comes down to whether you
[00:36:53.840 --> 00:37:00.160]   want to pay that annual fee of $150 for the extra points, whether the benefits mean anything to you,
[00:37:00.160 --> 00:37:05.360]   how you think about the card long term. I do have this card, I did open this card when there was a really
[00:37:05.360 --> 00:37:10.560]   large welcome bonus. But as far as which card I'm keeping for a longer period of time, it's the
[00:37:10.560 --> 00:37:15.840]   VentureX business card. And you can only have one charge card with Capital One. So you can't have the
[00:37:15.840 --> 00:37:20.800]   Spark Cash Plus and the VentureX business card at the same time either. So keep that in mind if you're
[00:37:20.800 --> 00:37:24.960]   applying for one, and then you're thinking about the other, you definitely won't get approved for both.
[00:37:24.960 --> 00:37:31.760]   There are two other variations of the Spark cards. There's the Spark 1.5% cash select, and that is a
[00:37:31.760 --> 00:37:38.960]   one and a half percent back on everything card with no annual fee. The welcome bonus is $500 on $4,500
[00:37:38.960 --> 00:37:47.280]   in the first three months. And then there's the Spark 1% cash classic card, which is for fair credit,
[00:37:47.280 --> 00:37:52.800]   has no welcome offer, just earns a flat 1% back, but has no annual fee. So when I think about these on
[00:37:52.800 --> 00:38:00.000]   the tier list, I think the Spark business 2% cash plus is an A tier card. Because it's a charge card,
[00:38:00.000 --> 00:38:05.360]   you're able to get a much higher limit, and there's a much more lucrative welcome offer.
[00:38:05.360 --> 00:38:10.720]   So I like that. I think if paired with a miles earning card, that's great. There aren't a ton
[00:38:10.720 --> 00:38:17.920]   of 2% everything cards out there for businesses, but there are some. So the Spark 2% cash card that is
[00:38:17.920 --> 00:38:23.120]   very similar, but has a lower welcome offer and not a charge card, I'll put it the B tier. I think if there
[00:38:23.120 --> 00:38:28.960]   was a A minus B plus tier, those cards would be a lot closer. But if I compare them head to head,
[00:38:28.960 --> 00:38:33.040]   I'd prefer to have the higher welcome offer. And I think I'd prefer to have a charge card over a credit
[00:38:33.040 --> 00:38:39.440]   card. Then the Spark 1.5% cash card would be a C tier. And then the Spark classic card earning 1%
[00:38:39.440 --> 00:38:43.920]   would be a D tier. I think those speak for themselves. They're not earning a ton. There are better cards out
[00:38:43.920 --> 00:38:49.680]   there. I'm not interested in them. So that's the majority of the Capital One cards that aren't
[00:38:49.680 --> 00:38:53.920]   co-branded. There is one card that for whatever reason, when you go to look at cards on their
[00:38:53.920 --> 00:38:59.040]   website, it is the top card. It's the first one they show you. And it's the Platinum Master card.
[00:38:59.040 --> 00:39:05.840]   It has no annual fee and best I can tell it earns no rewards. And so I feel like it's at least worth
[00:39:05.840 --> 00:39:10.160]   mentioning this card, even though normally I wouldn't include it only because Capital One puts
[00:39:10.160 --> 00:39:15.600]   it at the top of their list. But for me, that is a D tier card that earns nothing. And I don't know
[00:39:15.600 --> 00:39:21.120]   why it's promoted so heavily, but I do know that it is a for fair credit card. So I assume it's probably
[00:39:21.120 --> 00:39:25.920]   for people who can't earn cards with more rewards. But if you look at the Capital One lineup, there are
[00:39:25.920 --> 00:39:31.200]   other cards for people with fair credit that do earn rewards. So this has got to be the worst of
[00:39:31.200 --> 00:39:36.400]   all of them. But if someone knows what I'm missing, I would love to know. Capital One also has a ton of
[00:39:36.400 --> 00:39:41.440]   co-branded cards with a lot of different retailers. And I was going to exclude all of them because none
[00:39:41.440 --> 00:39:46.240]   of them really stood out as interesting ones that would make sense to get if you weren't really,
[00:39:46.240 --> 00:39:51.440]   really tied into that retailer's ecosystem. But I do think it's worth mentioning just one of them.
[00:39:51.440 --> 00:39:55.200]   And technically, it's probably worth mentioning four of them. There is the Williams-Sonoma card,
[00:39:55.200 --> 00:40:00.160]   the Pottery Barn card, the West Elm card, and the key rewards card. And the most interesting
[00:40:00.160 --> 00:40:04.560]   thing about the fact that there are four of them is that best I can tell, they are all pretty much
[00:40:04.560 --> 00:40:09.760]   identical. I imagine the reason they're different is maybe they're opened in those individual stores,
[00:40:09.760 --> 00:40:13.840]   and maybe those stores get different bonuses based on how many cards they open. I have no idea.
[00:40:13.840 --> 00:40:18.800]   I can't tell what's different about any of them. So I'm just going to focus on the Williams-Sonoma
[00:40:18.800 --> 00:40:23.920]   one, but assume the same thing applies to Pottery Barn, West Elm, and the generic key rewards card.
[00:40:23.920 --> 00:40:30.960]   The reason I bring it up is that it is a 4% back on groceries, food delivery, and restaurants,
[00:40:30.960 --> 00:40:37.280]   which is actually not a bad rate of return. It also earns 5% back at Williams-Sonoma brands. So
[00:40:37.280 --> 00:40:41.760]   everything I mentioned, plus Mark and Graham, rejuvenation, maybe there's a couple other ones,
[00:40:41.760 --> 00:40:47.520]   like Pottery Barn Kids in there, and then 1% back on everything else. So I don't want to spend a lot of
[00:40:47.520 --> 00:40:53.280]   time on this card, but 4% cash back on groceries, restaurants, and food delivery is pretty interesting.
[00:40:53.280 --> 00:40:58.800]   With one caveat, you earn key rewards. You don't actually earn direct cash back.
[00:40:58.800 --> 00:41:04.000]   So if you're spending $20,000 a year on these categories, groceries, dining, you'd have to be
[00:41:04.000 --> 00:41:10.880]   spending $800 a year at Williams-Sonoma Pottery Barn, West Elm to be able to truly cash out that $800.
[00:41:11.040 --> 00:41:16.800]   It's actually $825 because every year on your birthday, you get $25 on top of that and free
[00:41:16.800 --> 00:41:23.120]   shipping. So if you spend money at those stores, it's not just rewarding to those stores, it's also
[00:41:23.120 --> 00:41:29.280]   rewarding to groceries, food, and restaurants, which is rare for a co-branded card. I think the Verizon
[00:41:29.280 --> 00:41:34.000]   Visa is a similar card that actually has really elevated good earnings. I think it's groceries also,
[00:41:34.000 --> 00:41:40.000]   4%, but I could be wrong there. So for that card, I'll put it at the B tier because 4% on categories
[00:41:40.000 --> 00:41:46.000]   like that is really compelling. It can't be any higher because that cash back only works if you
[00:41:46.000 --> 00:41:51.360]   spend 4% of your spend on those categories shopping at those Williams-Sonoma stores.
[00:41:51.360 --> 00:41:57.280]   So the other co-branded cards that I left out, the REI, Kohl's, Cabela's, Bass Pro, BJ's,
[00:41:57.280 --> 00:42:02.320]   they all have little to no signup bonus. The Williams-Sonoma card does have a welcome offer of 10%
[00:42:02.320 --> 00:42:06.960]   back on the Williams-Sonoma purchases in your first 30 days. So interesting if you're about
[00:42:06.960 --> 00:42:11.520]   to spend a ton of money at any of those stores, could make sense, could even keep it around for
[00:42:11.520 --> 00:42:16.320]   grocery, food, and delivery as long as you're spending enough on a regular basis at those stores
[00:42:16.320 --> 00:42:22.960]   to make use of that cash back. On all the other cards, they all earn about 1% to 7.5% at their
[00:42:22.960 --> 00:42:30.400]   respective stores, but only 1% to 1.5% everywhere else. So they really only make sense at those stores,
[00:42:30.400 --> 00:42:34.720]   which is why I separated the Williams-Sonoma card because it could make sense for other purchases.
[00:42:34.720 --> 00:42:41.280]   But some of them, notably the Cabela's and Bass Pro cards, they only go up to 5% off at their own
[00:42:41.280 --> 00:42:49.280]   store if you spend $25,000 a year. If you don't, they're 3% off if you spend $10,000. Otherwise,
[00:42:49.280 --> 00:42:54.800]   it's just a 2% off card at those stores and 1% everywhere else. To me, that seems absolutely
[00:42:54.800 --> 00:43:00.160]   crazy, right? You could get just a 2% everything card. And then if you go above and beyond and spend
[00:43:00.160 --> 00:43:07.840]   $10,000 at the retailer, you only get an extra 1% back on the spend at that store. So $100. If you
[00:43:07.840 --> 00:43:13.200]   spend $25,000, you could get an extra 3% back. So it's starting to be a little bit more interesting,
[00:43:13.200 --> 00:43:20.640]   but really for a small niche of people who spend well over $25,000 a year at Cabela's or Bass Pro. So
[00:43:20.640 --> 00:43:24.560]   I think there are people in that camp, but there are a lot of other cards that I think are more
[00:43:24.560 --> 00:43:29.120]   rewarding, which is why I'm not talking about them here. That's a lot of cards. Let's jump in to talk
[00:43:29.120 --> 00:43:34.080]   about the Capital One ecosystem. So a few things to know about all cards in general. So I didn't talk
[00:43:34.080 --> 00:43:40.560]   a ton about travel and purchase protections for those cards for a couple reasons. Mainly that Capital One
[00:43:40.560 --> 00:43:46.000]   doesn't always specify whether they're cards or visas or MasterCards. And this is kind of interesting,
[00:43:46.000 --> 00:43:49.120]   but if you go on the website and you look at all the pictures of the cards,
[00:43:49.120 --> 00:43:52.800]   you'll notice that it's not specified. And if you look up what are the travel purchase
[00:43:52.800 --> 00:43:58.400]   protections on certain cards, they'll send you to a link which says for Visa signature cards,
[00:43:58.400 --> 00:44:02.960]   here's the travel benefits. For World Elite MasterCard, click here. But they don't actually
[00:44:02.960 --> 00:44:08.160]   say which one you're going to get in advance. And I've heard stories of people getting a MasterCard
[00:44:08.160 --> 00:44:12.560]   version and then later changing it to a Visa version. And so I don't want to talk a lot about
[00:44:12.560 --> 00:44:17.760]   the travel and purchase protections. That said, almost all the cards I mentioned do have an extended warranty
[00:44:17.760 --> 00:44:24.960]   protection and not much else. However, the Venture X card does link out to the Visa Infinite benefits.
[00:44:24.960 --> 00:44:29.520]   So I have one, you are getting a Visa Infinite card, at least that's what it says on the website. It makes
[00:44:29.520 --> 00:44:33.920]   it pretty clear, which means you do get a lot more coverage for the Venture X card. You're getting
[00:44:33.920 --> 00:44:39.200]   primary rental coverage, trip delay and cancellation, lost luggage, purchase protection, extended warranty,
[00:44:39.200 --> 00:44:44.240]   cell phone protection. So that's great. But as for the other cards, I think you really have to go look
[00:44:44.240 --> 00:44:49.520]   at the guide to benefits. And I wouldn't be opening any of these Capital One cards except a Venture X card,
[00:44:49.520 --> 00:44:54.320]   primarily for their purchase protections and travel protections, because it's just hard to know what
[00:44:54.320 --> 00:44:57.920]   you're going to get. One thing you are going to get with all your Capital One cards, at least all the
[00:44:57.920 --> 00:45:03.120]   ones I've used, is virtual card numbers, which is awesome. So if you're checking out on some website and
[00:45:03.120 --> 00:45:07.520]   you feel like it's a little sketchy, you can go create a virtual card on the website, or you can use their
[00:45:07.520 --> 00:45:13.200]   Eno browser extension. And that lets you create virtual card numbers on the fly. I've done that a ton of
[00:45:13.200 --> 00:45:18.480]   times. Or for sites where you're getting a seven day trial, and you're not sure how easy it'll be to
[00:45:18.480 --> 00:45:25.280]   cancel, you can use a virtual card and set that card to expire the next day. So that if that trial is hard to
[00:45:25.280 --> 00:45:31.440]   cancel, you could just leave it go and not worry about it hitting your card. Another cool benefit is that in 19
[00:45:31.440 --> 00:45:37.840]   different states and pretty much most major cities in America, Capital One has cafes, they have 55 of
[00:45:37.840 --> 00:45:42.720]   them. And they're like coffee shops, except that if you have a Capital One debit or credit card, you get
[00:45:42.720 --> 00:45:51.280]   50% off all beverages. And there is semi private kind of nooks available to work out of at almost every cafe,
[00:45:51.280 --> 00:45:55.680]   and you can actually reserve them. I haven't figured out how to reserve them. But it says you can reserve
[00:45:55.680 --> 00:46:01.520]   these semi private nooks at almost every cafe. This episode is brought to you by Viore. Now,
[00:46:01.520 --> 00:46:05.600]   there is nothing better than finding a brand of clothing that's comfortable, functional and looks
[00:46:05.600 --> 00:46:10.400]   good. And that's how I feel about Viore. If you're looking at me in person, you'd know I believe it,
[00:46:10.400 --> 00:46:16.160]   because there are very few days that go by where I'm not wearing one, two or even three pieces of Viore
[00:46:16.160 --> 00:46:21.680]   clothing. They make performance apparel for men and women that's incredibly versatile. Everything is
[00:46:21.680 --> 00:46:26.720]   designed to work out in, but it doesn't look or feel like it at all. And it's so comfortable, you will
[00:46:26.720 --> 00:46:32.080]   want to wear it all the time. My personal favorite is the Sunday performance joggers, but I wear strato
[00:46:32.080 --> 00:46:38.240]   tech tees almost every day, I run and work out in their core shorts, and the meta pants and polos are what I
[00:46:38.240 --> 00:46:44.080]   wear out to a nice dinner. And for our listeners, they're offering 20% off your first purchase plus
[00:46:44.080 --> 00:46:50.560]   free shipping on us orders over $75 and free returns. So get yourself some of the most comfortable and
[00:46:50.560 --> 00:46:58.800]   versatile clothing on the planet at all the hacks.com slash Viore. That's V U O R I. Again, that's all the
[00:46:58.800 --> 00:47:06.800]   hacks.com slash Viore V U O R I to discover the versatility of Viore clothing. Exclusions apply. Visit
[00:47:06.800 --> 00:47:12.560]   the website for full terms and conditions. Thank you for being here today. You can find all the links,
[00:47:12.560 --> 00:47:19.040]   promo codes and discounts from all our partners at all the hacks.com slash deals. They're all brands I
[00:47:19.040 --> 00:47:24.880]   love and use. So please consider supporting those who support us. Next, I'm going to talk about Capital One
[00:47:24.880 --> 00:47:30.560]   offers. Now this used to be just cashback offers for your cards. But now it's actually turned into
[00:47:30.560 --> 00:47:36.160]   a miles portal, which is pretty cool if you have a miles earning card. So right now, when I look, I see
[00:47:36.160 --> 00:47:43.840]   3556 offers, which is a ton. But unlike Chase and Amex, where these are mostly card linked offers,
[00:47:43.840 --> 00:47:50.080]   all but 30 of them are actually all online offers. So they're much more like a shopping portal with
[00:47:50.080 --> 00:47:54.320]   Rakuten than they are like the kind of card linked offers you might be used to.
[00:47:54.320 --> 00:48:01.120]   That said, when I'm looking at some of the in-store ones, they do have CVS for in-store at 15x miles.
[00:48:01.120 --> 00:48:06.320]   Now, if you click into it, you can see what that is. It says three activations. You can only use them
[00:48:06.320 --> 00:48:13.120]   one time every 30 days for up to 1000 miles. But 15x miles on purchases up to, I guess, $66,
[00:48:13.120 --> 00:48:19.680]   $67 in-store is pretty cool if you're regularly going to CVS. That brings up one thing that I'm going to
[00:48:19.680 --> 00:48:24.960]   throw out there in case anyone's tested this or tried this. I've been noticing that I have really,
[00:48:24.960 --> 00:48:29.360]   really high medical bills when I'm looking at what the actual cost insurance pays.
[00:48:29.360 --> 00:48:35.120]   And I'm wondering if when I'm picking up a prescription, when I'm going for treatment with a
[00:48:35.120 --> 00:48:40.240]   doctor, or even if I'm having a surgery like my daughter had, could I actually just start paying
[00:48:40.240 --> 00:48:45.040]   for all that out of pocket and then submitting for reimbursement? I'm not sure how that process
[00:48:45.040 --> 00:48:50.080]   works because I know there's pre-negotiated rates, but it would be really cool if I could use my credit
[00:48:50.080 --> 00:48:55.360]   card to pay for a thousand dollar prescription and then submit it for reimbursement with my insurance
[00:48:55.360 --> 00:48:59.360]   company instead of just having them pay for it because then I'd get the points and miles.
[00:48:59.360 --> 00:49:04.480]   So that kind of crossed my mind when I saw 15x miles at CVS because I thought, wow,
[00:49:04.480 --> 00:49:07.440]   I have a couple of prescriptions that I pick up regularly. That could be pretty lucrative.
