
[00:00:00.000 --> 00:00:09.920]   Well, hi, everyone. Welcome back to another episode of The Everyday Educator. I am so
[00:30:53.300 --> 00:30:59.460]   is there's an order to your home that's lovely and inviting, but then there is that,
[00:31:00.100 --> 00:31:08.580]   uh, clean, you know, you know what I mean? That he kind of, if we, you know, things are out of order,
[00:31:08.580 --> 00:31:15.300]   uh, I, you know, something's off then that that's a little, that, that doesn't work very well. So,
[00:31:15.300 --> 00:31:22.260]   and also remember that my home is not my home. It's everyone. So it's, that's good. So.
[00:31:22.260 --> 00:31:28.820]   Hey everybody. We want to interrupt the show to let you know that national memory master and national
[00:31:28.820 --> 00:31:37.300]   commencement are moving to the classical conversations, family cruise in 2026. That's right.
[00:31:37.300 --> 00:31:45.140]   This cruise isn't just about celebrating CC graduates and memory masters. It's about all CC families. You
[00:31:45.140 --> 00:31:51.540]   you can connect with CC leaders and families at all sages in their journey and turn education into a
[00:31:51.540 --> 00:31:58.420]   memorable family adventure. As you explore the Bahamas aboard Royal Caribbean's freedom of the seas,
[00:31:58.420 --> 00:32:06.340]   Check out our landing page to find out more at classical conversations.com forward slash cruise dash
[00:32:06.340 --> 00:32:10.500]   2026. Let's get back to the show. We hope to see you there.
[00:32:10.500 --> 00:32:12.900]   That's so good. I feel like you,
[00:32:12.900 --> 00:32:19.940]   you may or may not realize the nuggets that you're dropping to the next generation, but let me just let you know,
[00:32:19.940 --> 00:32:28.100]   these are things that the moms who are coming behind you need to hear. Um, because, because we live in a
[00:32:28.100 --> 00:32:34.420]   Pinterest generation and we live in a social media generation. And so what we think we see of other
[00:32:34.420 --> 00:32:41.460]   people's homes isn't how their homes look, but that's our perception. So we're thinking, okay, what's wrong with
[00:32:41.460 --> 00:32:48.420]   me? Why is my house always a mess? You know, why can we not get it together? What's wrong with our
[00:32:48.420 --> 00:32:54.500]   routines? All of these false narratives that are being perpetuated by what we see. Like, and the truth
[00:32:54.500 --> 00:33:01.620]   is it's a picture. It's a real picture. Half of them now with AI, you know, are real pictures. So we're not
[00:33:01.620 --> 00:33:08.100]   basing it off of nothing, but it's still just a false expectation. And what you made me think of,
[00:33:08.100 --> 00:33:12.900]   I'll never forget hearing a dad say, he was talking about his lawn and you know,
[00:33:12.900 --> 00:33:20.500]   men tend to be very, um, attached to their lawn. And he said that he had to kind of let that go for
[00:33:20.500 --> 00:33:27.780]   a while because he said, look, I can either raise grass or I can raise my boys. And right now I'm raising
[00:33:27.780 --> 00:33:34.660]   boys and later I'll raise this grass. Yes. And that's kind of, I mean, obviously restoring order
[00:33:34.660 --> 00:33:41.780]   and being respectful and having a routine and a plan has its place in this conversation,
[00:33:41.780 --> 00:33:49.220]   but knowing what's more valuable, um, is the key. And that's what I'm hearing from you. So I just,
[00:33:49.220 --> 00:33:54.100]   I love what you shared and I'm just telling you, that's what we need to hear because you would be
[00:33:54.100 --> 00:34:00.660]   surprised. I've spoken to many parents with all age children who said, I'm quoting them exactly what I
[00:34:00.660 --> 00:34:08.180]   just said. Um, so you know, what are some unconventional ways to, to integrate science
[00:34:08.180 --> 00:34:14.420]   into our, our daily rhythms? How can we make this not an extra thing?
[00:34:14.420 --> 00:34:20.980]   Oh yeah. Uh, well, I think part of it is asking the Lord to open your eyes, your own eyes, you know,
[00:34:20.980 --> 00:34:28.740]   just attending to things and, and just asking questions out loud and, um, and then being grateful, like,
[00:34:28.740 --> 00:34:35.620]   okay, for example, um, you might say, you know, it's funny that, uh, you know, if you're mixing your
[00:34:35.620 --> 00:34:40.420]   iced tea, this sugar never just, have you noticed that sugar doesn't dissolve here, but
[00:34:40.420 --> 00:34:46.340]   when I have my hot tea, it's fine. I wonder why that's the truth. And why is it that my nose gets
[00:34:46.340 --> 00:34:53.540]   itchy when I go outside or how does, how does soap work? Do you know how soap works? I don't know how
[00:34:53.540 --> 00:34:59.540]   soap works. You know, just getting them like, did you notice that ice, when you put in a glass of water,
[00:34:59.540 --> 00:35:04.740]   water, it floats. Now that's funny because most things you put in water sink. I wonder why that's
[00:35:04.740 --> 00:35:12.820]   true, you know, or have you tried, try to drink out of a straw and now let's put a hole in it,
[00:35:12.820 --> 00:35:22.500]   or is it this? I think just breath, just at breakfast, there's like a million things that are going on
[00:35:22.500 --> 00:35:30.980]   in a very scientific way. Yeah. And, um, that we just do like, why does toast turn brown?
[00:35:30.980 --> 00:35:38.500]   Do you know why toast turns brown? I think just having questions about things and being,
[00:35:38.500 --> 00:35:44.100]   and asking the Lord to really ignite your own curiosity about the world and just ask questions.
[00:35:44.100 --> 00:35:48.820]   You don't have to know the answers and you don't even have to, please don't spend hours finding.
[00:35:48.820 --> 00:35:59.940]   Yeah. Well, let's try it out or ask your kids, listen for them. And, and if, when they notice
[00:35:59.940 --> 00:36:07.540]   something go, you know, what do you notice and listen for them? Like mom, why, you know,
[00:36:07.540 --> 00:36:15.700]   why does this work or how does this work? Um, we always had, you know, people, kids that tinkered,
[00:36:15.700 --> 00:36:23.460]   like giving them opportunities to just roll a ball around the house or make a ramp or, and just,
[00:36:23.460 --> 00:36:29.380]   I think for me, it was noticing the natural world that was around me, whether it was in my kitchen
[00:36:29.380 --> 00:36:35.220]   or at my back door, it didn't matter because there are wonders everywhere. And there, and there are
[00:36:35.220 --> 00:36:42.180]   questions that I don't know the answer to that are fairly complicated. Like why I floats is a very
[00:36:42.180 --> 00:36:49.780]   complicated. It took people a long time to figure that out. And so I think just even showing your
[00:36:49.780 --> 00:36:57.620]   children that it it's science. I just keep thinking science, but the world is accessible to you.
[00:36:57.620 --> 00:37:06.020]   And the world is an invitation by God to you to ask questions. And some of your children are good
[00:37:06.020 --> 00:37:10.660]   question askers. They're going to always, you know, you have that one, but why, but why, but why?
[00:37:10.660 --> 00:37:17.540]   And some are just going to be more introspective, but you can be a good question asker and, and notice.
[00:37:17.540 --> 00:37:24.180]   And, uh, you don't, that's not a lab. Breakfast isn't a lab, but it can be a lab. So I just
[00:37:24.180 --> 00:37:31.140]   noticing and integrating, you know, um, and then just saying, Hey, let's, let's look at that. I'm
[00:37:31.140 --> 00:37:37.220]   curious. What are you curious about? I think part of the things that excited me is that I think, well,
[00:37:37.220 --> 00:37:45.060]   gee, I don't know. I think it's kind of cool that, um, that the tea bag turns the whole thing
[00:37:45.060 --> 00:37:50.980]   brown. How does that work? You know, how fast can it go? Does the water have to be super hot
[00:37:50.980 --> 00:37:57.380]   or can it be cold or why does it change? I just, you know, kind of shoving the kids aside and say,
[00:37:57.380 --> 00:38:03.060]   no, let me figure it out. No, let me see. Let me see. Give me one. You have yours and I'll do this.
[00:38:03.060 --> 00:38:12.980]   Yeah. Yeah. Yeah. I love that. And you're making me think of my sister-in-law. I'm the third of four
[00:38:12.980 --> 00:38:17.460]   children. So I have a lot of, you know, people who've gone before me who are still in close
[00:38:17.460 --> 00:38:23.300]   proximity to me. And my sister-in-law would always tell me, Oh, it's just baby science whenever the
[00:38:23.300 --> 00:38:30.820]   kids are doing things. And I loved that phrase because I never, I never had, had anyone describe
[00:38:30.820 --> 00:38:38.740]   to me the things that an infant does as science, but it is. And if you're watching them and you're
[00:38:38.740 --> 00:38:43.780]   paying attention to the way that they're exploring, sometimes that kid dropping the thing on the floor
[00:38:43.780 --> 00:38:49.060]   over and over and over again has absolutely nothing to do with them teasing you, or that's part of the
[00:38:49.060 --> 00:38:56.420]   science experience. They're testing something. They're trying to figure out what velocity, you know, like
[00:38:56.420 --> 00:39:02.740]   which one is flying down faster and why. And when they're, they seem to be making a mess and they spread
[00:39:02.740 --> 00:39:08.660]   something out all over the floor. They want to know how far does it go? They have a question.
[00:39:08.660 --> 00:39:14.500]   And even when your children are small and they can't necessarily articulate the question, I think
[00:39:14.500 --> 00:39:21.460]   it's easy for us, um, who are not necessarily still in that mindset to assume, Oh, well, you're just
[00:39:21.460 --> 00:39:28.260]   making a mess or you're just, you know, being foolish or, but maybe they're being curious. And if you can get
[00:39:28.260 --> 00:39:33.700]   down on their level and slow down and figure out why, well, why your, your turn to ask why, you know,
[00:39:33.700 --> 00:39:37.940]   why did you do that thing? What were you trying to figure out? The kid who's throwing things in the
[00:39:37.940 --> 00:39:42.820]   toilet isn't just throwing stuff in the toilet. They're trying to figure out what's down there
[00:39:42.820 --> 00:39:47.700]   and how does it work? And what's it connected to? And does it ever stop? And why does the water keep
[00:39:47.700 --> 00:39:54.580]   coming? And, you know, they've got questions. Exactly. So, I mean, obviously you want to help
[00:39:54.580 --> 00:40:01.220]   direct it to a productive place, but, but I love that you're saying it's really just as simple as
[00:40:01.220 --> 00:40:09.940]   slowing down and, and being curious. Um, and you can do that anywhere at any time and, and you never know
[00:40:09.940 --> 00:40:15.780]   where it's going to take you because the answers are complex. Yes. So, and it's not stagnant. You're not
[00:40:15.780 --> 00:40:21.940]   going to say, okay, today we're going to learn about the properties of water. Right. Um, your child
[00:40:21.940 --> 00:40:26.740]   has already been learning about the properties of water when they have spilled something, when they
[00:40:26.740 --> 00:40:33.300]   drink something, when they watch it come from the faucet, when they see you cooking with the stove,
[00:40:33.300 --> 00:40:41.060]   when you water your plants, when you, so they, they are assimilating. And if, if it makes you feel any
[00:40:41.060 --> 00:40:49.860]   better, um, they are assimilating in their mind, a library of this is what the world is about.
[00:40:49.860 --> 00:40:58.740]   And so they're categorized. They're constantly, uh, if you watch a child, a toddler, um, sometimes we
[00:40:58.740 --> 00:41:05.060]   think it's kind of cute and silly, but they'll do the same thing over and over again. And that's,
[00:41:05.060 --> 00:41:12.020]   but that's what, you know, scientists and Johns Hopkins are doing. They do this same experiment
[00:41:12.020 --> 00:41:17.460]   over and over because they're looking for, um, they're looking for that cause and effect.
[00:41:17.460 --> 00:41:24.020]   Does it always happen this way? Does the cheerio always drop on the floor? Just, uh, our, our,
[00:41:24.020 --> 00:41:29.540]   one of our children in a high chair would drop a cheerio and our dog would just learn to sleep
[00:41:29.540 --> 00:41:35.620]   under his high chair because he loved that, but there was this nice little cause and effect that he was
[00:41:35.620 --> 00:41:43.220]   figuring out or even watching you. Like when mommy opens the refrigerator, I get something good to drink
[00:41:43.220 --> 00:41:50.580]   or the ice maker. You know, like I have one of my grandchildren is fascinated right now by our ice maker.
[00:41:50.580 --> 00:41:58.820]   So when he comes, we have lots of ice all over the place because he loves watching the ice come out of
[00:41:58.820 --> 00:42:06.260]   the ice maker. Now it's, it's because he's curious and he wants to learn something about that. Now, when you're 12,
[00:42:06.260 --> 00:42:11.940]   you don't do that anymore, but when you're little, you do. And I think we do need to take some of our cues
[00:42:11.940 --> 00:42:18.900]   from our youngest because I think they're, they haven't learned what is right and what is the
[00:42:18.900 --> 00:42:23.940]   right way to explore and the wrong way to explore. They just, they're just, they're just driven by
[00:42:23.940 --> 00:42:30.660]   their appetite. And I would even flip it too and say, you're, you're right that a toddler does it that
[00:42:30.660 --> 00:42:35.780]   way. And a 12 year old does it differently. But something that a 12 year old boy often does is bug
[00:42:35.780 --> 00:42:42.260]   his sister. He's doing social science, you know, like he's still doing science. He's still
[00:42:42.260 --> 00:42:48.340]   leaving things. He's testing you, you know, he's still getting up and not making his bed every day
[00:42:48.340 --> 00:42:54.820]   because he wants to know where is the limit? What do you mean? You know, when you say a consequence,
[00:42:54.820 --> 00:43:01.940]   you know, that's just a different type of science, but they're still trying to figure out how does the
[00:43:01.940 --> 00:43:06.980]   world work when your parents say, you know, bad company corrupts good character? Well, what does
[00:43:06.980 --> 00:43:14.820]   that mean? You know, like what kind and how much time with that bad company? It's science. Everyone's
[00:43:14.820 --> 00:43:21.220]   trying to figure it out. And, and that, yeah, that's a good point. They, they shift because then they learn
[00:43:21.220 --> 00:43:27.380]   the science of soccer or they learn the science of ballet and, um, you don't see it, but they're
[00:43:27.380 --> 00:43:36.500]   constantly, um, engaging with your, that passion and interest draws them along. So they're constantly
[00:43:36.500 --> 00:43:42.100]   trying it out. And that's where I think as a parent to be a good observer of your children,
[00:43:42.100 --> 00:43:45.940]   um, you can be that, that student. So it's nice.
[00:43:45.940 --> 00:43:50.100]   Yes. That's great. So I bet you, there are lots of people listening who are like, okay,
[00:43:50.100 --> 00:43:54.020]   I love that. You guys are curious. Um, did you have a list of ideas for me?
[00:43:54.020 --> 00:44:03.460]   So maybe we can give them some really good places to start before we close this conversation. What
[00:44:03.460 --> 00:44:10.820]   are maybe your top five science exploration activity ideas? Yeah, this is, uh, for the outside,
[00:44:10.820 --> 00:44:18.020]   uh, first of all, I like a structure. It really helps me. So I would say that one of the things
[00:44:18.020 --> 00:44:23.060]   that we did is that we just followed the days of creation. So one day we looked at, we experimented
[00:44:23.060 --> 00:44:28.580]   with light. We found, we did a light inventory, like, look, and this is for little guys. They love this.
[00:44:28.580 --> 00:44:35.540]   Look at all, uh, find all the ways that light happens in your house, uh, live an evening without light.
[00:44:35.540 --> 00:44:41.300]   Now it's a little trickier in the summer because it goes late, but see if you can go without light,
[00:44:41.300 --> 00:44:48.900]   uh, use candles, um, look at, compare, um, how, um, the light of a candle is different from the light
[00:44:48.900 --> 00:44:53.780]   of a flashlight. Look at different kinds of light, like ultraviolet light and infrared light, you know,
[00:44:53.780 --> 00:44:59.780]   So each day you could pick or each week, you could pick something that you can like,
[00:44:59.780 --> 00:45:06.020]   we're going to focus our attention on this. I think sometimes what we can get overwhelmed with is,
[00:45:06.020 --> 00:45:11.220]   you know, we go on the internet, we go to science activities for kids, and there's, uh, probably there
[00:45:11.220 --> 00:45:17.620]   are hundreds of thousands. Now they're like videos and this and this, and I think it helps me to narrow.
[00:45:17.620 --> 00:45:24.260]   So I would say either pick, um, like you could go through the days of creation or pick one thing
[00:45:24.260 --> 00:45:30.260]   that's really accessible to you, like water. You can do a thousand things with water. It's cheap.
[00:45:30.260 --> 00:45:39.060]   It's right there in your home. And you probably have about a hundred experiments without even leaving
[00:45:39.060 --> 00:45:47.940]   the house. So I would just say that like a theme or a topic, and then this is where you're, um,
[00:45:47.940 --> 00:45:54.740]   get your catalog. If you have a CC catalog and look at those, um, core habits and look at those common
[00:45:54.740 --> 00:46:00.420]   topics, especially comparison and definition and go, okay, put them up somewhere where you can see
[00:46:00.420 --> 00:46:06.580]   and go, we're going to just attend. Like one of my favorite things to do outside is,
[00:46:06.580 --> 00:46:13.700]   and that's might be okay with this. So, so just, just put a little square, choose a square
[00:46:13.700 --> 00:46:20.340]   place outside and just put some little, you know, like string up around it and don't do anything to it.
[00:46:20.340 --> 00:46:28.660]   Just observe it and don't cut the grass, don't do it. And just, okay, count how many different kinds of
[00:46:28.660 --> 00:46:36.500]   grasses collect, like the little tiny flowers, look for, have them go, okay, try to discover it.
[00:46:36.500 --> 00:46:42.100]   Are there any critters in here? There's usually some kind of beetle, some kind of bug, some kind of fly,
[00:46:42.100 --> 00:46:49.220]   really help them attend to certain area, like help them close that off, uh, cover half of it with a
[00:46:49.220 --> 00:46:55.780]   cardboard and not to let the sun go and then compare it two weeks later, see what happens.
[00:46:55.780 --> 00:47:03.540]   So, um, or, or go and look at like, we're going to study this tree this summer, or we're going to plant
[00:47:03.540 --> 00:47:11.060]   these plants. It is so easy to do. I was thinking, okay, you can get a sponge, like a sponge and you can
[00:47:11.060 --> 00:47:18.100]   put like, um, I, these are broccoli seeds or alfalfa seeds or radish seeds on them. And you can just watch
[00:47:18.100 --> 00:47:22.820]   them grow in your house. So you don't have to be outside. If you don't want to be outside, you can be,
[00:47:22.820 --> 00:47:29.780]   you can grow things inside, you can do with seeds. And I would, so let's see. So I would say, first of all,
[00:47:29.780 --> 00:47:37.540]   pick some kind of theme or some kind of focus and go, okay. And then come up in your mind, gather some supplies
[00:47:37.540 --> 00:47:44.180]   that you can have either something you can lead through like an experiment, like, okay,
[00:47:44.180 --> 00:47:50.660]   I'm going to show you how to do this, make a bubble mixture and then have another thing that they can do.
[00:47:50.660 --> 00:47:58.740]   For example, kids love to pour water. So just buy some, uh, don't do anything really deep because
[00:47:58.740 --> 00:48:05.980]   that's not safe, but like a shallow pool, or if you have a dishpan and stick it in the floor of the
[00:48:05.980 --> 00:48:12.080]   kitchen with a towel and just say, okay, I'm one of the, one of the things that I do with my grandchildren,
[00:48:12.080 --> 00:48:20.160]   my kids had braces. I had a ton of that, like, um, you know, those denture cleansers that you would, you know,
[00:48:20.160 --> 00:48:24.940]   use yourself. I just got a big box of that and gave it to them. And they were there for like an hour and a half,
[00:48:24.940 --> 00:48:33.060]   like, Oh, let's put this in. Let's try this. Let's do this. And so giving them things they can do and explore on
[00:48:33.060 --> 00:48:39.920]   their own and making that available and then choosing a one or two things that you want to say,
[00:48:39.920 --> 00:48:47.820]   Hey, let's, let's look at, like, I want to look at how water is, um, is a solvent. What dissolves in
[00:48:47.820 --> 00:48:53.060]   water? What doesn't dissolve in water? What floats? What doesn't float? Just the, just those basic questions
[00:48:53.060 --> 00:48:59.060]   and then give it to them and let them, uh, experiment experiment. And then what I would do
[00:48:59.060 --> 00:49:07.060]   is make some kind of list, like stick a thing up on the wall. Like if you're doing water, but water,
[00:49:07.060 --> 00:49:14.020]   word water, what do we, what do we know? And what did we find out? And just like, I'm not saying anything
[00:49:14.020 --> 00:49:20.640]   fancy, don't buy any pens, just write it down, you know, just jot it down. And then at the end of the
[00:49:20.640 --> 00:49:26.600]   week, if you did it for a week, go back and look and ask, what was your favorite thing? And, or what did
[00:49:26.600 --> 00:49:34.300]   you recognize? Make like, even making my grandchildren had never eaten Jell-O. Um, so we made Jell-O,
[00:49:34.480 --> 00:49:40.960]   but then we, it's a science because you have hot water to activate the gelatin and, and then it,
[00:49:40.960 --> 00:49:47.240]   and then it kind of, you know, becomes more solid and like, yeah, for them that was magic. So,
[00:49:47.240 --> 00:49:55.620]   so think of some things like, um, a theme like water and then choose things that they can do set aside.
[00:49:55.620 --> 00:50:01.120]   I want you to hear some stuff, try it, tell me what you think, and then choose one or two activities
[00:50:01.120 --> 00:50:06.180]   that you think, okay, I'm going to try this. For example, if you had two straws and you put,
[00:50:06.180 --> 00:50:12.840]   have them sip water with using one straw and then have them sip water, put a straw on the outside of
[00:50:12.840 --> 00:50:17.820]   the cup and a straw on the inside of the cup and then drink water. Well, they can't because water it.
[00:50:17.820 --> 00:50:24.000]   So those little things are really super easy to do along with like making Play-Doh and go,
[00:50:24.000 --> 00:50:31.100]   how did that work? Or use like cornstarch and water. It makes this new, it's so fascinating.
[00:50:31.100 --> 00:50:36.500]   Yeah. And be prepared because they'll want to do it more than one time.
[00:50:36.500 --> 00:50:41.780]   Uh-huh. And it's okay. Let them do a thousand times. It's fine. Just buy more cornstarch. It's
[00:50:41.780 --> 00:50:48.420]   really not that bad. So I would just say, uh, pick either a topic like that, like go outside and
[00:50:48.420 --> 00:50:55.340]   choose an area that you're going to investigate fully. And then you can keep track of it, or you
[00:50:55.340 --> 00:51:00.000]   can do something inside, like choose a topic, like we're going to explore water and here's
[00:51:00.000 --> 00:51:05.320]   some ideas that we're going to do, or we're going to explore light, or we're going to look
[00:51:05.320 --> 00:51:12.660]   at critters. You know, um, I, we did, I, oh goodness, we had so many critters, but you don't
[00:51:12.660 --> 00:51:19.700]   have to do that, but you can have, um, if you just go and get some crickets from, you can
[00:51:19.700 --> 00:51:25.340]   have a little cricket container and, and watch them not forever. Um, because sometimes they
[00:51:25.340 --> 00:51:31.820]   get like, well, um, but it's fun to see. And I think that that's the thing. Uh, another thing
[00:51:31.820 --> 00:51:40.900]   that you can do is take just some clear contact paper and go and get harvest, um, samples of just
[00:51:40.900 --> 00:51:47.980]   weeds, different weeds and make us, it's like a giant slide basically. So put them on, cover
[00:51:47.980 --> 00:51:53.100]   it with clear contact paper, and then use your magnifying glass to like, look at the different
[00:51:53.100 --> 00:52:00.580]   ways and cut out each one, uh, and have them categorize it. Is this green? Another thing that
[00:52:00.580 --> 00:52:06.420]   I do, and okay, I'm giving you too many things, but you go to, uh, Lowe's or someplace, you know
[00:52:06.420 --> 00:52:13.020]   how they have these free samples? Uh-huh. Yeah. So what you do is go get a bunch of green
[00:52:13.020 --> 00:52:17.060]   samples, just have your kids just, you know, and they're okay if you don't get hundreds
[00:52:17.060 --> 00:52:24.420]   of them. And then go out and cut them in little strips and go out and see if you can match the
[00:52:24.420 --> 00:52:31.000]   greens outside. And then bring it inside and do some painting or coloring. If you have an art
[00:52:31.000 --> 00:52:38.080]   person, you bring in some samples and go, okay, I want you to try to match the green of this dandelion
[00:52:38.080 --> 00:52:47.220]   leaf with a green and then try to match them. And what that helps kids see is that, wow, what it helps
[00:52:47.220 --> 00:52:56.840]   me see is like, wow, God is so in what an artist. Yeah. What an artist. He has just in this little
[00:52:56.840 --> 00:53:02.140]   square, he has put this color green, this color green, this color green, this color green. And,
[00:53:02.140 --> 00:53:09.240]   and I can't match it. I can't do that. Only God can do that. And so that's where it brings you
[00:53:09.240 --> 00:53:16.340]   naturally to wonder. And that brings you to real thankfulness and worship because that God is going
[00:53:16.340 --> 00:53:23.320]   to take a, this is what impresses me is that that's the same God that says, you know, are you worried?
[00:53:23.320 --> 00:53:30.340]   What does he tell you to do? He says, go look at the flowers and go look at the birds. That's a very
[00:53:30.340 --> 00:53:37.820]   unusual answer, right? But the reason is, is he knows that once we do that, once we see his world,
[00:53:38.140 --> 00:53:42.940]   we are so reassured, like, well, if God can make 50 kinds of green,
[00:53:42.940 --> 00:53:52.160]   then he can take care of me. And I, and I think ultimately that does lead me, it always reassures
[00:53:52.160 --> 00:53:58.320]   me like, okay, I can relax. If he can do that, I think he can handle what I'm worried about today.
[00:53:58.320 --> 00:54:07.120]   So I think it just helps you. And so those are just some ideas. There are tons of things. And I would
[00:54:07.120 --> 00:54:13.160]   also, one of the things I would try, I tried to do at the beginning of summer is just put in some kind
[00:54:13.160 --> 00:54:21.360]   of box, like science-y stuff. And that way it's in one place. I'm not going, you know, hither and
[00:54:21.360 --> 00:54:27.280]   yon to do that. So anyway, that would be, and there's, there's just, I mean, I've got a table full
[00:54:27.280 --> 00:54:35.980]   jello and orange arch and baking soda and, and sponges and yeah, containers, freeze a bunch of
[00:54:35.980 --> 00:54:46.360]   water and let them, let them melt. Like, yeah, I would love that. Just get containers and try to melt
[00:54:46.360 --> 00:54:53.000]   get his little, put little things in it, little Legos or something in there and try to race with
[00:54:53.000 --> 00:54:58.520]   dad. It's out fastest. Yep. It's just so fun. So fun.
[00:54:58.520 --> 00:55:07.300]   You are really, you're really making me want to, to be a scientist. Not that I'm not a scientist in
[00:55:07.300 --> 00:55:13.180]   self-regard. We all are, but to lean into it more and you're just such a wealth of information. And
[00:55:13.180 --> 00:55:20.120]   you're reminding me actually that I, it's the label that has thrown me off over the years
[00:55:20.120 --> 00:55:24.920]   because I loved this. So many of the things that you mentioned, I'm like, I have a,
[00:55:24.920 --> 00:55:30.760]   cause you all know listening that I was homeschooled through high school. So I have a memory attached to
[00:55:30.760 --> 00:55:35.740]   a lot of the different experiences that you just described. When you use the corn, starch and water,
[00:55:35.740 --> 00:55:41.440]   I'm like, that's the best. And it's true that I think it's the best because we called it OOBLEC.
[00:55:41.440 --> 00:55:46.480]   We did it with the book, um, that Dr. Seuss book. And I remember that was actually the experiment
[00:55:46.480 --> 00:55:53.020]   that my aunt did with us. She was a teacher when my brother was born at the hospital. That's when it
[00:55:53.020 --> 00:55:57.640]   was introduced to us, but we did it from that point forward and we put some green dye in it to make it
[00:55:57.640 --> 00:56:05.040]   look like a book. But, but you're so correct that there are so many accessible ways for us to just go
[00:56:05.040 --> 00:56:12.080]   deep on one topic. You don't have to feel that you need to explore everything. Um, I'm going to try to
[00:56:12.080 --> 00:56:18.380]   package some of that list so that people can refer to it, um, over on our social media channels,
[00:56:18.380 --> 00:56:23.020]   just so that, so that people can go back to it because you, you really did give us so many great
[00:56:23.020 --> 00:56:26.800]   ideas and I know you have a million more. So we'll have to talk about this again.
[00:56:26.800 --> 00:56:31.920]   There are tons, uh, and, and they're just repeats of all the things that, like you said,
[00:56:31.920 --> 00:56:36.320]   that have hold good memories, but yeah, it was that it was just fun to,
[00:56:36.420 --> 00:56:42.580]   to resurrect some of those ideas. It's great. It's so great. Well, thank you for talking with
[00:56:42.580 --> 00:56:50.200]   us today and listeners. Thank you for, for coming along on this ride with us. I hope that you enjoyed
[00:56:50.200 --> 00:56:58.800]   it. I know that you enjoyed Amy. Um, she's such a blessing and your, your, your appreciation for life
[00:56:58.800 --> 00:57:04.940]   and those details. Um, those things are, are contagious about you. And I, it's just such a gift
[00:57:04.940 --> 00:57:10.220]   that the Lord has given us in the body of Christ. And so I'm really encouraged by this conversation
[00:57:10.220 --> 00:57:15.860]   and I pray that it encourages you to, if you know a mom who maybe thinks, oh my goodness, everything's
[00:57:15.860 --> 00:57:22.180]   such a mess to be inspired. She loves science, but she needs more ideas. Would you send this episode to
[00:57:22.180 --> 00:57:29.940]   them, um, and go let us know what you thought in a comment on social media or in a review? Um, because
[00:57:29.940 --> 00:57:34.940]   your feedback really is valuable to us and we want to make sure that we're making content that encourages
[00:57:34.940 --> 00:57:39.260]   you. So thanks again for listening and we will see you again next week.
[00:57:39.260 --> 00:57:45.020]   you. So thanks again for listening.

