
[00:00:00.000 --> 00:00:02.000]   Welcome back
[00:26:53.380 --> 00:27:00.580]   So again, you know here's where we get our model data object from CSB
[00:27:00.580 --> 00:27:05.380]   Passing in that ratings file which remember
[00:27:05.380 --> 00:27:13.620]   Looks like that okay, so you'll see like stuff tends to look pretty familiar after a while
[00:27:13.620 --> 00:27:17.820]   And then you just have to pass in
[00:27:19.860 --> 00:27:21.820]   the
[00:27:21.820 --> 00:27:29.580]   What are your rows effectively? What are your columns effectively, and what are your values effectively right so any any collaborative filtering?
[00:27:29.580 --> 00:27:33.440]   Recommendation system approach. There's basically a concept of like
[00:27:33.440 --> 00:27:36.140]   You know a user and an item
[00:27:36.140 --> 00:27:42.680]   Now they might not be users and items like if you're doing the Ecuadorian groceries competition
[00:27:42.680 --> 00:27:47.780]   There are stores and items and you're trying to predict. How many things are you going to sell at?
[00:27:48.540 --> 00:27:50.900]   This store of this type
[00:27:50.900 --> 00:27:57.660]   But generally speaking just this idea of like you've got a couple of kind of high cardinality
[00:27:57.660 --> 00:28:04.540]   Categorical variables and something that you're measuring and you're kind of conceptualizing and saying okay, we could predict
[00:28:04.540 --> 00:28:09.140]   The rating we can predict the value by doing this this dot product
[00:28:09.140 --> 00:28:15.460]   Interestingly this is kind of relevant to that that last question or suggestion an
[00:28:16.660 --> 00:28:20.460]   Identical way to think about this or to express this is to say
[00:28:20.460 --> 00:28:23.140]   when we're deciding
[00:28:23.140 --> 00:28:29.500]   Whether user 72 will like movie 27 is basically saying
[00:28:29.500 --> 00:28:31.940]   which other
[00:28:31.940 --> 00:28:36.580]   users liked movies that 72 liked and
[00:28:36.580 --> 00:28:41.720]   Which other movies were liked by people like?
[00:28:43.140 --> 00:28:50.160]   User 72 it turns out that these are basically two ways of saying the exact same thing
[00:28:50.160 --> 00:28:52.300]   So basically what collaborative filtering is doing?
[00:28:52.300 --> 00:28:58.420]   You know kind of conceptually is to say okay this movie and this user
[00:28:58.420 --> 00:29:02.160]   Which other movies are similar to it in terms of like?
[00:29:02.160 --> 00:29:09.340]   Similar people enjoyed them and which people are similar to this person based on people that like the same kind of movies
[00:29:09.340 --> 00:29:11.420]   so that's kind of the
[00:29:11.580 --> 00:29:12.900]   underlying
[00:29:12.900 --> 00:29:18.840]   Structure and anytime there's an underlying structure like this that kind of collaborative filtering approach is likely to be useful
[00:29:18.840 --> 00:29:21.860]   okay, so
[00:29:21.860 --> 00:29:29.120]   So you yeah, so there's basically two parts the two bits of your thing that you're factoring and then the value the dependent variable
[00:29:29.120 --> 00:29:35.420]   So as per usual we can take our model data and ask for a learner from it
[00:29:35.420 --> 00:29:37.820]   And we need to tell it what size embedding matrix to use
[00:29:38.940 --> 00:29:45.740]   How many sorry what validation set indexes to use what batch size to use and what optimizer?
[00:29:45.740 --> 00:29:49.100]   To use and we're going to be talking more about optimizers
[00:29:49.100 --> 00:29:50.820]   shortly
[00:29:50.820 --> 00:29:53.120]   We won't do Adam today, but we'll do Adam
[00:29:53.120 --> 00:29:55.780]   next week or the week after
[00:29:55.780 --> 00:29:58.060]   And then we can go ahead and say fit
[00:29:58.060 --> 00:30:04.020]   Right, and it all looks pretty similar interest. It's usual interestingly
[00:30:04.020 --> 00:30:09.620]   I only had to do three epochs like this kind of models into train super quickly
[00:30:09.620 --> 00:30:14.780]   You can use the learning rate finder as per usual all the stuff you're familiar with will work fine
[00:30:14.780 --> 00:30:22.340]   And that was it so this took you know about two seconds the train. There's no pre trained anythings here
[00:30:22.340 --> 00:30:24.500]   This is from random scratch, right?
[00:30:24.500 --> 00:30:31.140]   So this is our validation set and we can compare it we have this is a mean squared error
[00:30:31.140 --> 00:30:33.860]   Not a root mean squared error, so we can take the square root
[00:30:33.860 --> 00:30:43.980]   So that last time I ran it was 0.776 and that's 0.88 and there's some benchmarks available for this data set
[00:30:43.980 --> 00:30:48.560]   And when I scrolled through and found the bench the best benchmark I could find here from this
[00:30:48.560 --> 00:30:57.220]   Recommendation system specific library they had 0.91. So we've got a better loss in two seconds
[00:30:59.420 --> 00:31:01.420]   Already, so that's good
[00:31:01.420 --> 00:31:06.060]   So that's basically how you can do collaborative filtering
[00:31:06.060 --> 00:31:09.740]   with the fast AI library without
[00:31:09.740 --> 00:31:16.980]   Thinking too much, but so now we're going to dig in and try and rebuild that we'll try and get to the point that we're getting
[00:31:16.980 --> 00:31:19.300]   something around
[00:31:19.300 --> 00:31:21.300]   0.77 0.78 from scratch
[00:31:21.300 --> 00:31:27.700]   But if you want to do this yourself at home, you know without worrying about the detail
[00:31:28.340 --> 00:31:31.460]   That's you know, those three lines of code is all you need
[00:31:31.460 --> 00:31:37.540]   Okay, so we can get the predictions in the usual way and you know, we could for example plot
[00:31:37.540 --> 00:31:43.220]   SNS is seaborne seaborne is a really great flooding library. It sits on top of matplotlib
[00:31:43.220 --> 00:31:45.940]   It actually leverages matplotlib
[00:31:45.940 --> 00:31:51.340]   So anything you learn about matplotlib will help you with seaborne. It's got a few like nice little plots like this joint plot
[00:31:51.340 --> 00:31:54.140]   Here is I'm doing
[00:31:54.140 --> 00:31:56.020]   predictions
[00:31:56.020 --> 00:31:57.340]   against
[00:31:57.340 --> 00:31:59.680]   Against actuals. So these are my actuals
[00:31:59.680 --> 00:32:05.180]   These are my predictions and you can kind of see the the shape here is that as we predict higher numbers
[00:32:05.180 --> 00:32:09.360]   they actually are higher numbers and you can also see the histogram of the
[00:32:09.360 --> 00:32:16.020]   Predictions and a histogram of the actions. So I'm just kind of plotting that just to show you another interesting visualization
[00:32:16.020 --> 00:32:20.780]   Could you please explain the n-factors
[00:32:20.780 --> 00:32:26.180]   Why it's set to 15? It's set to 50 because I tried a few things that's in the work
[00:32:26.460 --> 00:32:31.040]   That's all. What does it mean? It's this it's the dimensionality of the embedding matrix
[00:32:31.040 --> 00:32:37.140]   Or to think of it in another way. It's like how you know rather than being five. It's
[00:32:37.140 --> 00:32:46.300]   Jeremy I have a question about suppose that your
[00:32:46.300 --> 00:32:54.100]   Recommendation system is more implicit. So you have zeros or ones instead of just
[00:32:55.140 --> 00:32:57.700]   Actual numbers, right? So basically we would then
[00:32:57.700 --> 00:33:01.420]   Need to use a classifier instead of a regressor
[00:33:01.420 --> 00:33:06.140]   Have to sample the negative for something like that
[00:33:06.140 --> 00:33:11.380]   So if you don't have it, we just have once let's say like just kind of implicit feedback. Oh
[00:33:11.380 --> 00:33:14.260]   I'm not sure we'll get to that one in this class
[00:33:14.260 --> 00:33:18.740]   But what I will say is like in the case that you're just doing classification rather than regression
[00:33:18.740 --> 00:33:22.100]   We haven't actually built that in the library yet
[00:33:22.100 --> 00:33:27.780]   Maybe somebody this week wants to try adding it. It would only be a small number of lines of code. You basically have to change the
[00:33:27.780 --> 00:33:32.380]   activation function to be a sigmoid and you would have to change the
[00:33:32.380 --> 00:33:36.700]   Criterion or the loss function to be cross entropy
[00:33:36.700 --> 00:33:39.540]   rather than
[00:33:39.540 --> 00:33:41.880]   RMSE and that will give you a
[00:33:41.880 --> 00:33:46.180]   Classifier rather than a regressor. Those are the only things you'd have to change
[00:33:46.180 --> 00:33:51.660]   So hopefully somebody this week will take up that challenge and by the time we come back next week. We will have that working
[00:33:52.140 --> 00:33:54.140]   Okay
[00:33:54.140 --> 00:34:03.460]   So I said that we're basically doing a dot product right or you know a dot product is kind of the vector version
[00:34:03.460 --> 00:34:05.620]   I guess of this matrix product
[00:34:05.620 --> 00:34:11.700]   So we're basically doing each of these things times each of these things and then add it together
[00:34:11.700 --> 00:34:17.020]   That's a dot product. So let's just have a look at how we do that in PyTorch
[00:34:17.300 --> 00:34:22.380]   So we can create a tensor in PyTorch just using this little capital T thing
[00:34:22.380 --> 00:34:28.780]   You can just say that's the fast AI version the full version is torch dot from NumPy or something
[00:34:28.780 --> 00:34:33.260]   But I've got it set up so you can pass it through pass in even a list of lists
[00:34:33.260 --> 00:34:41.440]   So this is going to create a torch tensor with 1 2 3 4 and then here's a torch tensor with 2 2 10 10
[00:34:41.440 --> 00:34:43.860]   Okay, so here are two
[00:34:44.260 --> 00:34:50.340]   Torch tensors, I didn't say dot CUDA. So they're not on the GPU. They're sitting on the CPU
[00:34:50.340 --> 00:34:52.820]   just FYI
[00:34:52.820 --> 00:34:54.860]   We can multiply them together
[00:34:54.860 --> 00:35:02.420]   Right and so anytime you have a mathematical operator between tensors in NumPy or PyTorch
[00:35:02.420 --> 00:35:05.100]   It will do element wise
[00:35:05.100 --> 00:35:08.720]   Assuming that they're the same dimensionality, which they are they're both 2 by 2
[00:35:08.720 --> 00:35:11.460]   Okay, and so here we've got
[00:35:11.460 --> 00:35:14.060]   2 by 2 is 4
[00:35:14.140 --> 00:35:17.940]   3 by 10 is 30 and so forth. Okay, so there's our A times B
[00:35:17.940 --> 00:35:23.540]   So if you think about basically what we want to do here is we want to take
[00:35:23.540 --> 00:35:31.580]   Okay, so I've got 1
[00:35:31.580 --> 00:35:36.460]   Times 2 is 2 2 times 2 is 4
[00:35:37.100 --> 00:35:44.380]   2 plus 4 is 6 and so that is actually the dot product between 1 2 and 2 4 and
[00:35:44.380 --> 00:35:48.900]   Then here we've got 3 by 10 is 30 4 by 40
[00:35:48.900 --> 00:35:52.220]   Sorry 4 by 10 is 40 30 and 40 is 70
[00:35:52.220 --> 00:35:57.860]   So in other words a times B dot sum along the first dimension
[00:35:57.860 --> 00:36:01.260]   So that's summing up the columns. In other words across a row
[00:36:01.260 --> 00:36:05.500]   Okay, this thing here is doing the dot product of
[00:36:06.980 --> 00:36:09.740]   Each of these rows with each of these rows
[00:36:09.740 --> 00:36:13.540]   That makes sense and obviously we could do that with
[00:36:13.540 --> 00:36:19.860]   You know some kind of matrix modification approach, but I'm trying to really do things with as little
[00:36:19.860 --> 00:36:22.820]   special case stuff as possible
[00:36:22.820 --> 00:36:29.660]   Okay, so that's what we're going to use for our dot products from now on so basically all we need to do now is
[00:36:29.660 --> 00:36:35.420]   Remember we have the data we have is not in that crosstab format
[00:36:35.420 --> 00:36:39.940]   So in Excel we've got it in this crosstab format, but we've got it here in this
[00:36:39.940 --> 00:36:43.340]   Listed format use a movie rating use a movie
[00:36:43.340 --> 00:36:47.300]   So conceptually we want to be like looking up this user
[00:36:47.300 --> 00:36:54.780]   Into our embedding matrix to find their 50 factors looking up that movie to find their 50 factors and then take the dot product
[00:36:54.780 --> 00:36:57.500]   of those two 50 long vectors
[00:36:57.500 --> 00:37:02.060]   So let's do that
[00:37:04.220 --> 00:37:09.100]   To do it we're going to build a layer our own custom
[00:37:09.100 --> 00:37:11.860]   neural net layer
[00:37:11.860 --> 00:37:18.980]   So the the more generic vocabulary we call this is we're going to build a pytorch module
[00:37:18.980 --> 00:37:23.500]   Okay, so a pytorch module is a very specific thing
[00:37:23.500 --> 00:37:29.580]   It's something that you can use as a layer and a neural net once you've created your own pytorch module
[00:37:29.580 --> 00:37:31.580]   You can throw it into a neural net
[00:37:31.700 --> 00:37:36.940]   And a module works by assuming we've already got one say called model
[00:37:36.940 --> 00:37:45.460]   You can pass in some things in parentheses, and it will calculate it right so assuming that we already have a module called dot product
[00:37:45.460 --> 00:37:48.940]   We can instantiate it like so
[00:37:48.940 --> 00:37:55.500]   To create our dot product object, and we can basically now treat that like a function
[00:37:56.100 --> 00:38:02.620]   All right, but the thing is it's not just a function because we'll be able to do things like take derivatives of it
[00:38:02.620 --> 00:38:05.100]   Stack them up together into a big
[00:38:05.100 --> 00:38:13.460]   Stack of neural network layers blah blah blah, right, so it's basically a function that we can kind of compose very conveniently
[00:38:13.460 --> 00:38:20.700]   So here how do we define a module which as you can see here returns a dot product well
[00:38:20.700 --> 00:38:26.500]   We have to create a Python class and so if you haven't done Python OO before
[00:38:26.500 --> 00:38:32.260]   You're going to have to learn because all pytorch modules are written in Python OO
[00:38:32.260 --> 00:38:36.020]   And it's one of the things I really like about pytorch is that it doesn't
[00:38:36.020 --> 00:38:44.220]   Reinvent totally new ways of doing things like TensorFlow does all the time in pytorch that you know really tend to use
[00:38:44.780 --> 00:38:52.220]   Pythonic ways to do things so in this case. How do you create you know some kind of new behavior you create a Python class?
[00:38:52.220 --> 00:38:58.600]   So Jeremy suppose that you have a lot of data
[00:38:58.600 --> 00:39:05.740]   Not just a little bit of data. You can have a memory. Will you be able to use fast AI to solve corollary filtering?
[00:39:05.740 --> 00:39:08.460]   Yes, absolutely
[00:39:08.460 --> 00:39:10.620]   It's it uses
[00:39:12.780 --> 00:39:19.180]   mini batch stochastic gradient descent which does it a batch at a time the
[00:39:19.180 --> 00:39:27.660]   This particular version is going to create a
[00:39:27.660 --> 00:39:32.740]   Pandas data frame and a pandas data frame has to live in memory
[00:39:32.740 --> 00:39:37.860]   Having said that you can get easily 512 gig
[00:39:38.460 --> 00:39:43.660]   You know instances on Amazon so like if you had a CSV that was bigger than 512 gig
[00:39:43.660 --> 00:39:48.140]   You know that would be impressive if that did happen
[00:39:48.140 --> 00:39:51.780]   I guess you would have to instead save that as a B calls array and
[00:39:51.780 --> 00:39:58.380]   Create a slightly different version that reads from a B calls array to streaming in or maybe from a desk
[00:39:58.380 --> 00:40:01.100]   data frame which also so
[00:40:01.100 --> 00:40:04.520]   It would be easy to do I don't think I've seen
[00:40:05.380 --> 00:40:12.940]   Real world situations where you have 512 gigabyte collaborative filtering matrices, but yeah, we can do it
[00:40:12.940 --> 00:40:16.540]   Okay now
[00:40:16.540 --> 00:40:24.780]   This is PyTorch specific this next bit is that when you define like the actual work to be done which is here return
[00:40:24.780 --> 00:40:27.300]   user times movie dot sum
[00:40:27.300 --> 00:40:31.580]   You have to put it in a special method called forward
[00:40:31.860 --> 00:40:37.820]   Okay, and this is this idea that like it's very likely you're pretty neural net right and in a neural net the thing where you
[00:40:37.820 --> 00:40:39.980]   calculate the next
[00:40:39.980 --> 00:40:45.900]   Set of activations is called the forward pass and so that's doing a forward calculation
[00:40:45.900 --> 00:40:49.620]   The gradients is called the backward calculation
[00:40:49.620 --> 00:40:54.500]   We don't have to do that because PyTorch calculates that automatically so we just have to define
[00:40:54.500 --> 00:41:01.480]   Forward so we create a new class we define forward and here we write in our definition of dot product
[00:41:01.800 --> 00:41:09.100]   Okay, so that's it. So now that we've created this class definition. We can instantiate our
[00:41:09.100 --> 00:41:16.120]   Model right and we can call our model and get back the numbers we expected. Okay, so that's it
[00:41:16.120 --> 00:41:18.120]   That's how we create a custom
[00:41:18.120 --> 00:41:23.080]   PyTorch layer and if you compare that to like any other
[00:41:23.080 --> 00:41:26.080]   Library around pretty much. This is way easier
[00:41:26.080 --> 00:41:28.960]   Basically, I guess because we're leveraging
[00:41:28.960 --> 00:41:31.400]   What's already in Python?
[00:41:31.720 --> 00:41:35.080]   So let's go ahead and now create a more complex
[00:41:35.080 --> 00:41:41.720]   Module and we're going to basically do the same thing. We're going to have a forward again
[00:41:41.720 --> 00:41:44.960]   We're going to have our users times movies dot sum
[00:41:44.960 --> 00:41:49.520]   But we're going to do one more thing beforehand, which is we're going to create two
[00:41:49.520 --> 00:41:56.360]   Embedding matrices and then we're going to look up our users and our movies in those embedding matrices
[00:41:56.360 --> 00:41:59.440]   So let's go through and and do that
[00:42:00.640 --> 00:42:02.840]   so the first thing to realize is that
[00:42:02.840 --> 00:42:09.680]   The users the user IDs and the movie IDs may not be contiguous
[00:42:09.680 --> 00:42:18.240]   You know like they may be they start at a million and go to a million one thousand say, right? So if we just used
[00:42:18.240 --> 00:42:23.080]   Those IDs directly to look up into an embedding matrix
[00:42:23.080 --> 00:42:27.800]   We would have to create an embedding matrix of size one million one thousand right which we don't want to do
[00:42:28.080 --> 00:42:31.800]   so the first thing I do is to get a list of the
[00:42:31.800 --> 00:42:34.520]   unique user IDs and
[00:42:34.520 --> 00:42:39.360]   then I create a mapping from every user ID to a
[00:42:39.360 --> 00:42:44.900]   Contiguous integer this thing I've done here where I've created a
[00:42:44.900 --> 00:42:50.960]   dictionary which maps from every unique thing to a unique index is
[00:42:50.960 --> 00:42:55.440]   Well worth studying during the week because like it's super super handy
[00:42:55.440 --> 00:42:59.400]   It's something you very very often have to do in all kinds of machine learning
[00:42:59.400 --> 00:43:01.680]   All right, and so I won't go through it here
[00:43:01.680 --> 00:43:04.920]   It's easy enough to figure out if you can't figure it out just ask on the forum
[00:43:04.920 --> 00:43:11.480]   Anyway, so once we've got the mapping from user to a contiguous index
[00:43:11.480 --> 00:43:17.480]   We then can say let's now replace the user ID column
[00:43:17.480 --> 00:43:24.240]   With that contiguous index right so pandas dot apply applies an arbitrary function
[00:43:24.680 --> 00:43:32.560]   In Python Lambda is how you create an anonymous function on the fly and this anonymous function simply returns the index
[00:43:32.560 --> 00:43:39.720]   through the same thing for movies and so after that we now have the same ratings table we had before but our
[00:43:39.720 --> 00:43:42.600]   IDs have been matched to contiguous
[00:43:42.600 --> 00:43:47.480]   Integers and therefore there are things that we can look up into an embedding matrix
[00:43:47.480 --> 00:43:51.940]   So let's get the count of our users in our movies
[00:43:52.760 --> 00:43:55.520]   And let's now go ahead and try and create our
[00:43:55.520 --> 00:43:58.800]   Python version of this
[00:43:58.800 --> 00:44:01.920]   Okay, so
[00:44:01.920 --> 00:44:06.840]   Earlier on when we created our simplest possible
[00:44:06.840 --> 00:44:12.280]   Pytorch module there was no like
[00:44:12.280 --> 00:44:15.040]   State we didn't need a constructor
[00:44:15.040 --> 00:44:20.320]   Because we weren't like saying how many users are there or how many movies are there or how many factors?
[00:44:20.320 --> 00:44:24.440]   Do we want or whatever right anytime we want to do something like?
[00:44:24.440 --> 00:44:29.800]   This where we're passing in and saying we want to construct our
[00:44:29.800 --> 00:44:37.000]   Module with this number of users and this number of movies then we need a constructor
[00:44:37.000 --> 00:44:42.600]   for our class and you create a constructor in Python by defining a
[00:44:42.600 --> 00:44:45.720]   Dunder in it underscore underscore in it underscore underscore
[00:44:45.720 --> 00:44:49.120]   special name so this just creates a
[00:44:49.840 --> 00:44:51.920]   Constructor then if you haven't done over before
[00:44:51.920 --> 00:44:57.160]   You wanted to do some study during the week, but it's a pretty simple idea
[00:44:57.160 --> 00:45:01.680]   This is just the thing that when we create this object. This is what gets run, okay?
[00:45:01.680 --> 00:45:06.920]   Again special Python thing when you create your own constructor
[00:45:06.920 --> 00:45:08.800]   You have to call the parent class constructor
[00:45:08.800 --> 00:45:15.080]   And if you want to have all of the cool behavior of a Pytorch module you get that by inheriting
[00:45:15.600 --> 00:45:23.560]   From an end up module neural net module okay, so basically by inheriting here and calling the superclass constructor
[00:45:23.560 --> 00:45:29.760]   We now have a fully functioning Pytorch layer, okay, so now we have to give it some behavior
[00:45:29.760 --> 00:45:37.400]   And so we give it some behavior by storing some things in it all right, so here. We're going to create something called
[00:45:37.400 --> 00:45:42.200]   self dot you users and that is going to be an
[00:45:42.200 --> 00:45:44.160]   embedding layer
[00:45:44.160 --> 00:45:48.440]   Number of rows is and users number of columns is n factors
[00:45:48.440 --> 00:45:56.920]   So that is exactly this right the number of rows is n uses number of columns is n factors
[00:45:56.920 --> 00:46:00.120]   And then we'll have to do the same thing for movies
[00:46:00.120 --> 00:46:04.800]   All right, so that's going to go ahead and create these two
[00:46:04.800 --> 00:46:08.360]   randomly initialized arrays
[00:46:10.400 --> 00:46:16.040]   However when you randomly initialize or an array it's important to randomly initialize it to a
[00:46:16.040 --> 00:46:23.040]   Reasonable set of numbers like a reasonable scale, right if we randomly initialize them from like naught to a million
[00:46:23.040 --> 00:46:27.720]   Then we would start out and you know these things would start out being like
[00:46:27.720 --> 00:46:33.600]   You know billions and billions of size rotating and that's going to be very hard to do gradient descent on
[00:46:33.600 --> 00:46:38.600]   So I just kind of manually figured here like okay about what size
[00:46:39.800 --> 00:46:45.920]   Numbers that are going to give me about the right ratings, and so we don't we know we did ratings between about naught and five
[00:46:45.920 --> 00:46:54.160]   So if we start out with stuff between about naught and 0.05, then we're going to get ratings of about the right level
[00:46:54.160 --> 00:47:01.880]   You can easily enough like that calculate that in neural nets. There are standard algorithms for
[00:47:01.880 --> 00:47:07.880]   Basically doing doing that calculation and the basic the key algorithm is
[00:47:09.360 --> 00:47:15.400]   Something called her initialization from timing her and the basic idea
[00:47:15.400 --> 00:47:20.540]   Is that you take the
[00:47:20.540 --> 00:47:27.800]   Here you basically set the weights equal to a normal distribution
[00:47:27.800 --> 00:47:38.660]   With a standard deviation, which is basically inversely proportional to the number of things
[00:47:39.380 --> 00:47:41.380]   in the previous layer
[00:47:41.380 --> 00:47:44.100]   And so in our previous layer
[00:47:44.100 --> 00:47:52.020]   So in this case we basically a set if you basically take that
[00:47:52.020 --> 00:47:55.720]   naught to 0.05 and multiply it by the fact that you've got
[00:47:55.720 --> 00:47:59.820]   40 things I wasn't 40 or 50 things coming out of it
[00:47:59.820 --> 00:48:05.420]   50 50 things coming out of it, then you're going to get something of about the right size
[00:48:06.820 --> 00:48:11.100]   Pytorch has already has like her initialization
[00:48:11.100 --> 00:48:17.780]   Class there like we don't in normally in real life have to think about this we can just call the existing initialization
[00:48:17.780 --> 00:48:23.700]   Functions, but we're trying to do this all like from scratch here. Okay without any
[00:48:23.700 --> 00:48:26.380]   special stuff going on
[00:48:26.380 --> 00:48:35.500]   So there's quite a bit of Pytorch notation here, so self.you we've already set to an instance of the embedding class
[00:48:35.620 --> 00:48:37.620]   it
[00:48:37.620 --> 00:48:39.620]   Has a dot weight
[00:48:39.620 --> 00:48:43.900]   Attribute which contains the actual the actual embedding matrix
[00:48:43.900 --> 00:48:46.700]   so that contains
[00:48:46.700 --> 00:48:48.700]   this
[00:48:48.700 --> 00:48:52.980]   The actual embedding matrix is not a tensor
[00:48:52.980 --> 00:49:00.220]   It's a variable a variable is exactly the same as a tensor in other words it supports the exact same
[00:49:00.220 --> 00:49:03.700]   operations as a tensor, but it also
[00:49:04.500 --> 00:49:06.500]   Does automatic differentiation?
[00:49:06.500 --> 00:49:09.220]   That's all a variable is basically
[00:49:09.220 --> 00:49:15.740]   To pull the tensor out of a variable you get its data attribute
[00:49:15.740 --> 00:49:22.980]   Okay, so this is so this is now the tensor of the weight matrix of the self.you embedding
[00:49:22.980 --> 00:49:30.180]   And then something that's really handy to know is that all of the tensor functions in Pytorch
[00:49:30.340 --> 00:49:34.500]   You can stick an underscore at the end, and that means do it in place
[00:49:34.500 --> 00:49:40.860]   Right so this is say create a random uniform random number of an appropriate size
[00:49:40.860 --> 00:49:46.860]   For this tensor and don't return it, but actually fill in that matrix
[00:49:46.860 --> 00:49:55.220]   In place okay, so that's a super handy thing to know about I mean it wouldn't be rocket science otherwise. We would have to have gone
[00:49:55.220 --> 00:50:09.860]   Okay, there's the non in place version. That's what saves us some typing saves us some screen noise. That's all
[00:50:09.860 --> 00:50:14.900]   Okay
[00:50:14.900 --> 00:50:19.860]   So now we've got our randomly initialized embedding weight matrices
[00:50:19.860 --> 00:50:22.460]   And so now the forward
[00:50:22.980 --> 00:50:27.700]   I'm actually going to use the same columnar model data that we used for
[00:50:27.700 --> 00:50:29.540]   Rossman
[00:50:29.540 --> 00:50:34.080]   And so it's actually going to be passed both categorical variables and continuous variables
[00:50:34.080 --> 00:50:36.620]   and in this case there are no
[00:50:36.620 --> 00:50:40.180]   continuous variables, so I'm just going to grab the
[00:50:40.180 --> 00:50:48.180]   zeroth column out of the categorical variables and call it users and the first column and call it movies okay, so I'm just kind of
[00:50:48.660 --> 00:50:53.340]   Too lazy to create my own. I'm not so much too lazy that we do have a special class for this
[00:50:53.340 --> 00:50:58.920]   But I'm trying to avoid creating a special class, so I'm just going to leverage this columnar model data class
[00:50:58.920 --> 00:51:03.020]   Okay, so we can basically grab our user and movies
[00:51:03.020 --> 00:51:11.340]   Mini batches right and remember this is not a single user in a single movie. This is going to be a whole mini batch of them
[00:51:11.340 --> 00:51:18.460]   We can now look up that mini batch of users in our embedding matrix U and the movies in
[00:51:18.700 --> 00:51:20.380]   our embedding matrix M
[00:51:20.380 --> 00:51:26.820]   All right, so this is like exactly the same as just doing an array look up to grab the the user ID numbered
[00:51:26.820 --> 00:51:29.980]   Value, but we're doing it a whole mini batch at a time
[00:51:29.980 --> 00:51:32.340]   Right and so it's because pytorch
[00:51:32.340 --> 00:51:37.580]   Can do a whole mini batch at a time with pretty much everything that we can get really easy speed up
[00:51:37.580 --> 00:51:42.460]   We don't have to write any loops on the whole to do everything through our mini batch
[00:51:42.460 --> 00:51:48.260]   And in fact if you do have a loop through your mini batch manually you don't get GPU acceleration
[00:51:48.460 --> 00:51:53.860]   That's really important to know right so you never want to loop have a for loop going through your mini batch
[00:51:53.860 --> 00:51:58.120]   You always want to do things in this kind of like whole mini batch at a time
[00:51:58.120 --> 00:52:04.060]   But pretty much everything in pytorch does things a whole mini batch at a time, so you shouldn't have to worry about it
[00:52:04.060 --> 00:52:10.620]   And then here's our product just like before all right so having defined
[00:52:10.620 --> 00:52:15.640]   That I'm now going to
[00:52:16.980 --> 00:52:19.540]   Go ahead and say you're at my X values is
[00:52:19.540 --> 00:52:22.820]   Everything except the rating and the timestamp
[00:52:22.820 --> 00:52:27.920]   In my ratings table my Y is my rating and then I can just say okay. Let's
[00:52:27.920 --> 00:52:35.380]   Grab a model data from a data frame using that X and that Y and here is our list of
[00:52:35.380 --> 00:52:38.180]   categorical variables
[00:52:38.180 --> 00:52:40.180]   Okay
[00:52:40.180 --> 00:52:46.900]   And then so let's now instantiate that pytorch object
[00:52:46.940 --> 00:52:49.260]   All right, so we've now created that from scratch
[00:52:49.260 --> 00:52:56.420]   And then the next thing we need to do is to create an optimizer, so this is part of pytorch
[00:52:56.420 --> 00:53:03.840]   The only fast AI thing here is this line right because it's like I don't think showing you
[00:53:03.840 --> 00:53:10.060]   How to build data sets and data loaders is interesting enough really we might do that in part two of the course
[00:53:10.060 --> 00:53:14.780]   And it's actually so straightforward like a lot of you are already doing it on the forums
[00:53:15.740 --> 00:53:17.860]   So I'm not going to show you that in this part
[00:53:17.860 --> 00:53:21.940]   But if you're interested feel free to to talk on the forums about it
[00:53:21.940 --> 00:53:28.420]   But I'm just going to basically take the the thing that feeds this data as a given particularly because these things are so flexible
[00:53:28.420 --> 00:53:32.900]   Right you you know if you've got stuff in a data frame. You can just use this you don't have to rewrite it
[00:53:32.900 --> 00:53:39.060]   So that's the only fast AI thing we're using so this is a pytorch thing and so
[00:53:39.060 --> 00:53:45.180]   Optim is the thing in pytorch that gives us an optimizer. We'll be learning about that
[00:53:45.620 --> 00:53:47.420]   very shortly
[00:53:47.420 --> 00:53:50.200]   So it's actually the thing that's going to update our weights
[00:53:50.200 --> 00:53:53.740]   Pytorch
[00:53:53.740 --> 00:54:01.020]   Calls them the parameters of the model so earlier on we said model equals embedding dot blah blah blah
[00:54:01.020 --> 00:54:03.580]   All right, and because embedding dot
[00:54:03.580 --> 00:54:11.140]   Derives from nn dot module we get all of the pytorch module behavior and one of the things we got for free
[00:54:11.140 --> 00:54:13.900]   Is the ability to say dot parameters?
[00:54:14.260 --> 00:54:20.860]   So that's pretty that's pretty handy right that's the thing that basically is going to automatically
[00:54:20.860 --> 00:54:28.900]   Give us a list of all of the weights in our model that have to be updated and so that's what gets passed to the optimizer
[00:54:28.900 --> 00:54:31.820]   We also passed the optimizer the learning rate
[00:54:31.820 --> 00:54:37.580]   The weight decay which we'll talk about later and momentum that we'll talk about later
[00:54:41.300 --> 00:54:44.060]   Okay, one other thing that I'm not going to do right now
[00:54:44.060 --> 00:54:49.660]   But we will do later is to write a training loop so the training loop is a thing that loops through each mini batch
[00:54:49.660 --> 00:54:51.620]   and
[00:54:51.620 --> 00:54:56.300]   Updates the weight to subtract the gradient times the volume rate
[00:54:56.300 --> 00:55:03.020]   There's a function in fast AI which is the training loop and it's
[00:55:03.020 --> 00:55:09.100]   It's pretty simple
[00:55:10.140 --> 00:55:13.180]   Here it is right for epoch in epochs
