
[00:00:00.000 --> 00:00:16.480]   Welcome, everyone, to the 83rd edition of Bogleheads on Investing.
[00:30:35.820 --> 00:30:37.800]   They don't make it easy.
[00:30:37.800 --> 00:30:40.900]   It's incredibly complicated.
[00:30:41.220 --> 00:31:05.640]   Well, to make it even more complicated, if you happen to be in 12 states plus the District of Columbia that imposes an estate tax at the state level, or six of the states that imposes an inheritance tax, which is different than the estate tax, then it's even higher.
[00:31:05.780 --> 00:31:16.300]   So first of all, what's the difference between a state tax and a state inheritance tax?
[00:31:17.080 --> 00:31:17.740]   Right.
[00:31:17.740 --> 00:31:21.100]   So you have to watch two things.
[00:31:21.100 --> 00:31:30.500]   And especially if you're thinking of retiring, find a state that doesn't charge an estate tax on your net worth when you pass on.
[00:31:30.880 --> 00:31:39.940]   Because sometimes the thresholds on these are different, they don't necessarily follow the federal model, you know, the state's tax could be considerably lower.
[00:31:40.560 --> 00:31:49.720]   But also you have to watch where your beneficiaries live, because if they live in a state that has an inheritance tax, a local state could come after them.
[00:31:49.720 --> 00:31:51.280]   So and you could get both.
[00:31:51.280 --> 00:31:57.560]   If you live in a state that has a state tax on your inheritance, you could pay that.
[00:31:57.560 --> 00:32:04.800]   And if your beneficiaries live in another state that has a state inheritance tax, they could also have to pay.
[00:32:05.300 --> 00:32:06.900]   So you've got to watch out.
[00:32:06.900 --> 00:32:18.340]   These six states that have an inheritance tax, one of them, Maryland, has both an estate tax and an inheritance tax.
[00:32:19.940 --> 00:32:27.600]   For a wealthy individual that lives in Maryland, it could be five taxes on the same money.
[00:32:27.600 --> 00:32:33.980]   So there could be a federal estate tax on money that is inherited in an IRA.
[00:32:33.980 --> 00:32:39.460]   And then there's the state estate tax for money that's inherited in an IRA.
[00:32:39.460 --> 00:32:45.640]   And then there's the inheritance tax that the beneficiary gets that they have to pay.
[00:32:45.640 --> 00:32:53.200]   And then when they withdraw the money from the IRA, they have to pay federal income tax and state income tax on that money.
[00:32:53.200 --> 00:32:56.280]   Five taxes on the same money.
[00:32:56.280 --> 00:32:57.220]   Yes.
[00:32:57.220 --> 00:33:03.780]   There's supposed to be some offsets, but you were saying in the book it's very complicated.
[00:33:03.780 --> 00:33:09.740]   And you need to have the same CPA doing the estate tax returns as you do your own tax returns in order to catch all this.
[00:33:09.740 --> 00:33:13.420]   So, I mean, this can be very taxing.
[00:33:13.420 --> 00:33:19.480]   Giving pre-tax IRA money or 401k, 403b money to your children.
[00:33:19.480 --> 00:33:20.620]   Right.
[00:33:20.620 --> 00:33:21.820]   To say the least.
[00:33:21.820 --> 00:33:22.840]   To say the least.
[00:33:22.840 --> 00:33:28.020]   One of the quotes I come back to, I put it on the back of the book, is from Warren Buffett.
[00:33:28.020 --> 00:33:34.460]   He says, there are tax deductions to be had from charitable giving, but they don't happen automatically.
[00:33:34.680 --> 00:33:39.540]   You really have to seek them out or otherwise they're going to come bite you probably.
[00:33:39.540 --> 00:33:50.980]   So, we were talking in your book quite a bit, and you make a lot about this, about bequesting money from your IRA accounts to charity before you die.
[00:33:50.980 --> 00:33:56.620]   And also bequesting money from your IRAs to charity when you die.
[00:33:56.620 --> 00:33:59.180]   This is a very tax efficient way of doing things.
[00:33:59.680 --> 00:33:59.980]   Right.
[00:33:59.980 --> 00:34:04.120]   I think especially for Bogleheads, Bogleheads tend to be big savers.
[00:34:04.120 --> 00:34:09.180]   They tend to be conscientious about contributing to their tax deferred accounts.
[00:34:09.180 --> 00:34:14.920]   And so, they find themselves in retirement sometimes with surplus capital.
[00:34:15.920 --> 00:34:25.140]   And for Bogleheads in that position, or anybody in that position, donating from your IRA is unbelievably great.
[00:34:25.140 --> 00:34:28.540]   You can make a qualified charitable distribution.
[00:34:28.540 --> 00:34:33.860]   The cap on that in this year is $108,000.
[00:34:34.940 --> 00:34:40.260]   And this comes out effectively as an above-the-line distribution.
[00:34:40.260 --> 00:34:47.280]   This is money that otherwise was going to come to you, and you're going to pay taxes on at your marginal rate.
[00:34:47.280 --> 00:34:50.260]   But instead, it's money going to charity.
[00:34:50.260 --> 00:34:55.160]   And it also never hits your adjusted gross income.
[00:34:55.160 --> 00:35:06.560]   So, the most despised taxes in the entire tax code, if my clients were any guide, are the IRMA taxes, the adjustments to Medicare based on your income.
[00:35:06.560 --> 00:35:10.140]   And these involve a series of tax cliffs.
[00:35:10.140 --> 00:35:17.760]   So, if you exceed the income level by even a dollar, you have to pay the entire next tax all at once.
[00:35:17.760 --> 00:35:23.400]   So, it's very good for if you want to perhaps pay less in IRMA taxes.
[00:35:23.400 --> 00:35:26.700]   It's a very tax-efficient way to give.
[00:35:26.700 --> 00:35:34.660]   It basically underwrites your tax giving to the tune of whatever your marginal tax rate is.
[00:35:34.660 --> 00:35:41.960]   So, if it's just 24%, you have an immediate 24% tax savings by giving by way of a qualified charitable distribution.
[00:35:42.280 --> 00:35:49.860]   Now, you can only do that when you're 70 and a half, and that's when you could start doing a qualified charitable distribution.
[00:35:49.860 --> 00:35:51.760]   And it has to come from an IRA.
[00:35:51.760 --> 00:35:54.200]   It can't come from a 401k.
[00:35:54.200 --> 00:36:02.080]   So, you have to move the money from your 401k or 403b to an IRA and then make it from the IRA.
[00:36:02.080 --> 00:36:09.340]   But you said something I just want to clarify, that the limit of $108,000 this year, which is just for inflation every year.
[00:36:09.340 --> 00:36:09.700]   Yes.
[00:36:11.460 --> 00:36:16.460]   That's the limit that you could use to take off of your required minimum distribution.
[00:36:16.460 --> 00:36:28.320]   But if you had no required minimum distribution, meaning you're 70 and a half this year, then it's $108,000 is the limit on the amount that you could give out of the IRA every year.
[00:36:28.680 --> 00:36:41.480]   It's just that if you're 75 and your RMD is $50,000 and you give $100,000 out of your IRA, it doesn't carry forward that second $50,000.
[00:36:41.480 --> 00:36:48.220]   It only takes care of the $50,000 of your RMD, and the other $50,000 is just another contribution.
[00:36:48.220 --> 00:36:50.420]   But you don't have to pay tax on that either.
[00:36:50.640 --> 00:36:53.220]   But that doesn't go to the future RMDs.
[00:36:53.220 --> 00:36:54.400]   This is a little bit tricky.
[00:36:54.400 --> 00:37:07.360]   You can give a qualified charitable distribution when you're 70 and a half, but you can't credit that against your RMDs.
[00:37:07.620 --> 00:37:10.440]   So you don't get an immediate tax benefit from it.
[00:37:10.440 --> 00:37:16.780]   It'll lower the balance in your IRA, and that will, over the course of the next 50 years, have some benefit.
[00:37:16.780 --> 00:37:19.920]   But I would encourage people to wait until they're 73.
[00:37:19.920 --> 00:37:27.700]   I know they're impatient to give, but wait two more years, and that way you can write it off against your income that year, and you'll be happier.
[00:37:28.460 --> 00:37:28.820]   Okay.
[00:37:28.820 --> 00:37:34.460]   I just wanted to clarify that you're not limited to the RMD amount once you start hitting RMDs.
[00:37:34.460 --> 00:37:35.740]   You're not limited to that amount.
[00:37:35.740 --> 00:37:37.980]   You're limited to $108,000.
[00:37:37.980 --> 00:37:41.760]   You can only get the tax deduction up to the amount of the RMD.
[00:37:41.760 --> 00:37:44.220]   You will not get any further tax benefit from it.
[00:37:44.220 --> 00:37:51.760]   And to clarify, by tax deduction, the RMD does not hit your adjusted gross income because you have given it to charity.
[00:37:52.400 --> 00:38:01.400]   I want to get off the topic of qualified charitable distributions for people who are 70 and a half and get back to anyone who's making a charitable contribution.
[00:38:01.400 --> 00:38:05.880]   And I want to explore the strategy of bunching contributions.
[00:38:05.880 --> 00:38:12.820]   We earlier talked about having to get over the standard deduction before your charitable contributions are a tax deduction.
[00:38:12.820 --> 00:38:15.140]   But every year we give to charity.
[00:38:15.140 --> 00:38:16.560]   So talk about bunching.
[00:38:16.560 --> 00:38:21.860]   So bunching is an attempt to solve this very problem.
[00:38:22.020 --> 00:38:28.420]   How do we get over the standard deduction of threshold so we can get a charitable deduction?
[00:38:28.420 --> 00:38:34.780]   And the idea is that there are certain kinds of certain maneuvers you can make.
[00:38:34.780 --> 00:38:47.520]   Instead of giving every year, you could try to compress a lot of the things you do into a one year every other year slot.
[00:38:47.960 --> 00:38:57.240]   So you could pay your January mortgage payment of the following year in December.
[00:38:57.240 --> 00:39:03.720]   You might be able to pay your property tax bill early and also bring that into the current year.
[00:39:03.720 --> 00:39:11.720]   And then also you can supplement this by doing the bulk of your charitable giving and trying to put that into one year as well.
[00:39:11.720 --> 00:39:20.760]   The idea is to compress as much giving as possible into one year so that pushes you over the hurdle of the standard deduction threshold.
[00:39:21.000 --> 00:39:34.760]   And then if you use a donor advised fund as the recipient charity, you can then make your distributions from that fund or advise on those distributions and spread them out over two years rather than one year.
[00:39:34.760 --> 00:39:41.480]   So it allows your giving to be consistent without having to shove it all onto one end charity.
[00:39:41.480 --> 00:39:44.760]   You can many charities if you want to use a donor advised fund.
[00:39:44.760 --> 00:39:49.560]   So it's just a way of trying to get a get a tax deduction.
[00:39:49.560 --> 00:40:04.920]   It's not as good as a qualified charitable distribution from an IRA, but it's probably going to be the best you can do before you retire, especially if you're a prudent saver in a tax bill account.
[00:40:04.920 --> 00:40:08.920]   You probably will have securities that you might be able to get to charity.
[00:40:08.920 --> 00:40:10.920]   And we're going to get into that right now.
[00:40:10.920 --> 00:40:20.360]   There's another aspect of the tax savings, and that is giving appreciated securities to a charity directly or through, say, a donor advised fund.
[00:40:20.360 --> 00:40:28.200]   And what's the benefit of giving appreciated securities, not selling the securities first, but just giving the appreciated securities?
[00:40:28.200 --> 00:40:38.600]   Sure. The last thing you'd want to do is sell the securities first, because you sell the securities and you've got to pay capital gains taxes on the gains, and then you give what's left over to charity.
[00:40:38.600 --> 00:40:50.920]   It's a bad idea. But what you can do is you can donate appreciated securities directly from your brokerage account to a 501c3 charity, let them sell it.
[00:40:50.920 --> 00:40:57.880]   They're charities. They don't pay taxes on this. So they get 100 cents on the dollar benefit from it.
[00:40:57.880 --> 00:41:03.640]   Not the 65 cent or whatever it would be the cost to you as a private citizen selling.
[00:41:03.640 --> 00:41:19.160]   So it turns out to be a double win. You get a tax deduction for the fair market value of the securities, and you avoid ever having to pay the capital gains tax that you would have had to pay if you sold those securities later on and used them for living expenses.
[00:41:19.160 --> 00:41:36.040]   In your book, you spend some time talking about giving appreciated stock directly to charity while giving it to charity through a donor advised fund, and you fall very heavily on donor advised funds rather than trying to give it directly to charity.
[00:41:36.040 --> 00:42:02.040]   Yeah, there are a number of steps you've got to give your 100 shares of Nvidia to the local library association, you've got to call up the charity or go online and hunt through their instructions on how they'd like to do it, who their brokerage firm is, what's the account number, what's the exact name on the account, what's their depository trust fund number.
[00:42:02.040 --> 00:42:10.040]   Then you've got to call up your brokerage or go online at your brokerage and find out what are their policies for how you donate securities.
[00:42:10.040 --> 00:42:16.040]   You've got to download their forms. You've got to copy information from the charity under the forms here.
[00:42:16.040 --> 00:42:26.040]   You've got to go to your brokerage account and figure out what stocks or mutual funds you might want to donate and you've got to list that on the form.
[00:42:26.040 --> 00:42:38.040]   Then you've got to send it all into the brokerage. Then you've got to wait for a week or two while this whole thing gets processed and then cross your fingers and hope that it happens by the end of the year so you get the tax deduction.
[00:42:38.040 --> 00:42:48.040]   It's a real mess. In contrast, I have an account at the Fidelity Builder Advised Fund and I'm sure it's the same way at Vanguard or Schwab.
[00:42:48.040 --> 00:42:58.040]   If your brokerage account pops up on screen with all of the shares and all of the embedded capital gains in each one and you click one to that one and that one.
[00:42:58.040 --> 00:43:06.040]   Press a button. You're done. You've made the transfer. It's about as difficult as ordering a book from Amazon.com.
[00:43:06.040 --> 00:43:12.040]   And they take care of all the paperwork. Once you've tried it, you won't turn back.
[00:43:12.040 --> 00:43:20.040]   And then all you need to do is find the charity you want to give to and then there's another couple of steps to actually gift the or give the money to them that you transfer the money to them.
[00:43:20.040 --> 00:43:23.040]   You've already made the gift. You've already gotten the tax deduction.
[00:43:23.040 --> 00:43:29.040]   So yes, the actual distribution of the money to the various charities are very simple as well.
[00:43:29.040 --> 00:43:37.040]   They make it very easy. They just bring up a list of every 501c3 charity and you just type in the name until yours pops up.
[00:43:37.040 --> 00:43:41.040]   You ask, they ask you a few questions, you know, do you want to give this anonymously?
[00:43:41.040 --> 00:43:44.040]   Do you want, how do you want credit for it? It's like that.
[00:43:44.040 --> 00:43:48.040]   And then you recommend the gift quote unquote recommend.
[00:43:48.040 --> 00:43:52.040]   And the next day it's gone. You're all done.
[00:43:52.040 --> 00:43:56.040]   And at the end of the year, you don't have to go chasing around.
[00:43:56.040 --> 00:44:00.040]   My gosh, do I have this letter of acknowledgement from the charities?
[00:44:00.040 --> 00:44:03.040]   Did I get that? Yeah, I gave that $200 to that outfit.
[00:44:03.040 --> 00:44:05.040]   Did I ever get a receipt for that?
[00:44:05.040 --> 00:44:07.040]   So you don't have any of these hassles.
[00:44:07.040 --> 00:44:11.040]   You have one donation that you made, the one donor advised fund.
[00:44:11.040 --> 00:44:15.040]   You can just go online and download the letter from them and you're all set.
[00:44:15.040 --> 00:44:23.040]   Now, I have to say, I did pick this up and I didn't know this because, again, when I read your book, there was lots of little things I picked up that I didn't know.
[00:44:23.040 --> 00:44:27.040]   And this one, I have to say, I didn't know. Maybe I should have known it, but I didn't.
[00:44:27.040 --> 00:44:39.040]   If you give appreciated securities to charity, it has to be a long term capital gain to get the tax deduction.
[00:44:39.040 --> 00:44:43.040]   If it's a short term capital gain, no tax deduction.
[00:44:43.040 --> 00:44:45.040]   I didn't know that.
[00:44:45.040 --> 00:44:47.040]   Right. I've made that mistake myself.
[00:44:47.040 --> 00:44:50.040]   So live and learn.
[00:44:50.040 --> 00:44:57.040]   Now let's get into giving away, say, founders stock, stock that's not publicly traded yet.
[00:44:57.040 --> 00:45:00.040]   So how do you do that?
[00:45:00.040 --> 00:45:04.040]   You do that by talking to your attorney.
[00:45:04.040 --> 00:45:07.040]   This is an area where you want to be extremely careful.
[00:45:07.040 --> 00:45:19.040]   It's very easy for even smart, rich people to make mistakes and find that the whole thing sort of blows up in their face like an exploding cigar.
[00:45:19.040 --> 00:45:21.040]   So you want to proceed carefully.
[00:45:21.040 --> 00:45:25.040]   There are a lot of legal traps along the way.
[00:45:25.040 --> 00:45:31.040]   Recently, somebody wanted to give their founder's share to a donor advised fund.
[00:45:31.040 --> 00:45:33.040]   They found a donor advised fund that was willing to accept it.
[00:45:33.040 --> 00:45:38.040]   And they knew the price it was going to sell for when it went public.
[00:45:38.040 --> 00:45:42.040]   And so because they had all the whole deal worked out.
[00:45:42.040 --> 00:45:45.040]   So everything was was done, ready to go.
[00:45:45.040 --> 00:45:47.040]   The transfer happened successfully.
[00:45:47.040 --> 00:45:50.040]   And then the IRS said, no, you can't do that.
[00:45:50.040 --> 00:45:54.040]   You violated the assignment of income doctrine.
[00:45:54.040 --> 00:46:09.040]   This is an important doctrine we should all study, which is says that you cannot divide your gifts among entities to gain a tax benefit if that's the sole reason for doing it.
[00:46:09.040 --> 00:46:11.040]   The IRS said you weren't risking anything.
[00:46:11.040 --> 00:46:13.040]   You knew what the company was going to sell for.
[00:46:13.040 --> 00:46:15.040]   So this is simply a sign minimum income.
[00:46:15.040 --> 00:46:16.040]   You can't have it.
[00:46:16.040 --> 00:46:18.040]   So the guy said, okay, okay.
[00:46:18.040 --> 00:46:28.040]   I'll go back and I'll get the estimate of the company's value and I'll just write it off as a tax donation on my Schedule A.
[00:46:28.040 --> 00:46:34.040]   And then the IRS said, no, you can't do that either because you don't have a qualified appraisal of the business.
[00:46:34.040 --> 00:46:42.040]   You have an appraisal that you've done to find out its value, but that's not a, that doesn't count as a qualified appraisal for our purposes.
[00:46:42.040 --> 00:46:47.040]   So sorry, million dollar plus deduction disallowed.
[00:46:47.040 --> 00:46:49.040]   Better luck next time.
[00:46:49.040 --> 00:47:01.040]   This reminds me of another section of the book where you're talking about giving artwork, where depending on the value of the asset that you give, you have to have all these different appraisals.
[00:47:01.040 --> 00:47:02.040]   Yeah.
[00:47:02.040 --> 00:47:08.040]   Again, there are sort of a lot of hopes and dreams wrapped up in this, but the reality is not as much fun as you might think.
[00:47:08.040 --> 00:47:27.040]   If you are giving art and say, want to claim a deduction of higher than $250 for it, as the value you claim escalates, the stringency of the requirements you face in valuing the artwork also escalate.
[00:47:27.040 --> 00:47:38.040]   By the time you're giving artwork that costs six figures, you have to have an incredibly thorough appraisal done at that.
[00:47:38.040 --> 00:47:43.040]   And then if that's not enough, you also have to pay the IRS to do its own valuation on it.
[00:47:43.040 --> 00:47:45.040]   Which I found really interesting.
[00:47:45.040 --> 00:47:53.040]   I didn't know that you actually had to pay the IRS to do their own valuation of your artwork that you're trying to donate to charity.
[00:47:53.040 --> 00:48:06.040]   And I can imagine that the IRS experts take a whole different view of the art market than your expert does, you know, and so then it's going to be your expert versus their experts.
[00:48:06.040 --> 00:48:08.040]   And, you know, good luck with that.
[00:48:08.040 --> 00:48:18.040]   Some people I've heard try to cheap out on, you know, getting all this paperwork done to submit to the IRS.
[00:48:18.040 --> 00:48:20.040]   And that's a big mistake.
[00:48:20.040 --> 00:48:28.040]   If you're not paying a lot to well credentialed people to do your appraisals, you're just asking for trouble.
[00:48:28.040 --> 00:48:33.040]   So be prepared to pay a lot for the privilege of giving your art to charity.
[00:48:33.040 --> 00:48:36.040]   And other properties as well.
[00:48:36.040 --> 00:48:49.040]   I mean, you were talking in here about if you just make an honest mistake in valuing your property when you and then take a tax deduction on it, if the IRS disagrees with you, the penalties are enormous.
[00:48:49.040 --> 00:48:50.040]   Right.
[00:48:50.040 --> 00:48:53.040]   I've forgotten the exact figures, but it's shocking.
[00:48:53.040 --> 00:48:56.040]   So you want to make sure that everything is done right.
[00:48:56.040 --> 00:48:57.040]   Your accountant has looked at it.
[00:48:57.040 --> 00:48:59.040]   Your experts have looked at it.
[00:48:59.040 --> 00:49:01.040]   And probably you yourself should look at it.
[00:49:01.040 --> 00:49:06.040]   You yourself should read through all of this stuff because somebody from the IRS is going to look at it.
[00:49:06.040 --> 00:49:10.040]   And if you don't think it makes sense, why would the IRS think it's going to make sense?
[00:49:10.040 --> 00:49:12.040]   And it's just going to make your life a lot more difficult.
[00:49:12.040 --> 00:49:15.040]   So be very careful with donating property.
[00:49:15.040 --> 00:49:19.040]   The truth of the matter is the IRS really doesn't want you giving property.
[00:49:19.040 --> 00:49:21.040]   They want to make it as difficult as possible.
[00:49:21.040 --> 00:49:24.040]   They want you to give a check.
[00:49:24.040 --> 00:49:34.040]   If you have real estate that's like a, you know, a building, a real building that's got an appraisal and there's rent coming in, you know, that'll be fine.
[00:49:34.040 --> 00:49:40.040]   But as soon as you start wandering away into sort of the gray areas, you've got to be very careful.
[00:49:40.040 --> 00:49:52.040]   I want to get into a pivot here a little bit into a couple of more different types of ways of giving, and that is with a charitable lead trust and charitable remainder trust.
[00:49:52.040 --> 00:49:53.040]   So we've got a few minutes.
[00:49:53.040 --> 00:49:59.040]   Can you talk about these two entities, these two ways of which you give to charity?
[00:49:59.040 --> 00:50:00.040]   I can.
[00:50:00.040 --> 00:50:12.040]   They're incredibly complicated, but they are relevant for some people, especially they're relevant for very wealthy people that they want to give to charity and also give to their families.
[00:50:12.040 --> 00:50:16.040]   But basically they come down to two different kinds of trusts.
[00:50:16.040 --> 00:50:29.040]   One kind you might say is a charitable lead trust where you put a pot of money in the trust and the charity is able to take annual distribution from that trust for a period of time.
[00:50:29.040 --> 00:50:46.040]   And then at the end of that pre-specified time period, you get the appreciated principal back and there'll be, you know, tax advantages because the amount you gave to charity counts against the gift taxes on the money you put in.
[00:50:46.040 --> 00:50:48.040]   So that would be a lead trust.
[00:50:48.040 --> 00:51:03.040]   The other example is just the reverse of that, where you put it in a charitable remainder trust and you or your descendants or your relatives get an annual distribution from that remainder trust, say for their lifetime.
[00:51:03.040 --> 00:51:10.040]   And then at the very end, then the charity gets the pot of money and the appreciation and walks off with it.
[00:51:10.040 --> 00:51:14.040]   So these are two complicated ways of giving.
[00:51:14.040 --> 00:51:25.040]   If you're interested in this, you read this, this book will give you just a little bit of information about them, but it's going to basically be referring you back to your estate attorneys.
[00:51:25.040 --> 00:51:35.040]   Typically somebody that has expertise and these kinds of trusts, and it's going to be a, a little bit of an unbogelheadish transaction.
[00:51:35.040 --> 00:51:39.040]   Bogle heads like things that are simple, clear, transparent.
[00:51:39.040 --> 00:51:41.040]   These are complicated.
[00:51:41.040 --> 00:51:51.040]   You're going to deal with accountants, attorneys, financial planners, and you have to do careful projections of what these things are going to cost.
[00:51:51.040 --> 00:51:56.040]   The costs are going to be high as opposed to a bogle head philosophy where the costs are low.
[00:51:56.040 --> 00:51:59.040]   They still might be a great thing to do.
[00:51:59.040 --> 00:52:14.040]   What I notice about them is that people go into these thinking, I'm going to come out ahead in the sense that I'm going to get more money back for having given a sort of charitable donation this way than I would have otherwise.
[00:52:14.040 --> 00:52:17.040]   I'm going to be paid to give money to charity.
[00:52:17.040 --> 00:52:23.040]   This can happen, but for the most part, it doesn't happen.
[00:52:23.040 --> 00:52:36.040]   Many of these are going to end up with your spending more money on the charity and more money on the establishing the structure and setting it up and filing tax returns on it for 50 years.
[00:52:36.040 --> 00:52:43.040]   And then when you add all those up, the amount that you're going to get back is not going to be as much as you dreamed of originally.
[00:52:43.040 --> 00:52:51.040]   So that's why I encourage people to do a very careful upfront analysis of the whole transaction to make sure it's something you want to do.
[00:52:51.040 --> 00:53:04.040]   That said, there are cases where I think even in the average case, you can give a lot of money to charity through these vehicles fairly cheaply.
[00:53:04.040 --> 00:53:10.040]   So if you count the money given to charity, it's having some value to you as well.
[00:53:10.040 --> 00:53:18.040]   It can be worth doing, but you have to have what attorneys might say is a charitable intent behind it.
[00:53:18.040 --> 00:53:23.040]   If you have a purely selfish intent, it might work in some cases, but look at it very closely.
[00:53:23.040 --> 00:53:27.040]   So come back to something you said that you can't get something from the charity.
[00:53:27.040 --> 00:53:32.040]   It's like I can't donate money to your charity and you're going to take me on a cruise around the world.
[00:53:32.040 --> 00:53:33.040]   No, no, no.
[00:53:33.040 --> 00:53:34.040]   No, no, no.
[00:53:34.040 --> 00:53:45.040]   People hope that the charitable giving is going to somehow offset the other money that they are going to be making so that they come away net with more than they went in with.
[00:53:45.040 --> 00:53:50.040]   And that's what tends not to happen as much as we might wish for it to happen.
[00:53:50.040 --> 00:53:53.040]   Last one is a charitable gift annuities.
[00:53:53.040 --> 00:53:57.040]   I've been hearing quite a bit about charitable gift annuities lately.
[00:53:57.040 --> 00:54:01.040]   And so could you talk about what they are and how they work?
[00:54:01.040 --> 00:54:07.040]   Most charitable gift annuities are vehicles that are set up by the charities themselves.
[00:54:07.040 --> 00:54:11.040]   They will say, you'll give us a hundred thousand dollars.
[00:54:11.040 --> 00:54:19.040]   We will give you and your spouse a check every quarter, every month, every week, whatever you want for the rest of your life.
[00:54:19.040 --> 00:54:26.040]   So you'll get that income and we will get the remainder that's left over when you die.
[00:54:26.040 --> 00:54:29.040]   And charities are happy to set these kinds of structures up.
[00:54:29.040 --> 00:54:31.040]   Many, many charities will have these.
[00:54:31.040 --> 00:54:35.040]   If this is something you're looking for, it might be a good deal.
[00:54:35.040 --> 00:54:41.040]   As I looked at them, I did not come away thinking this is something I've got to just rush into and do.
[00:54:41.040 --> 00:54:45.040]   Certainly they're designed to favor the charity.
[00:54:45.040 --> 00:54:52.040]   I think I have a Bogle head headish skepticism of any kind of a dual purpose investment.
[00:54:52.040 --> 00:54:58.040]   If I want an annuity, I'll just buy an annuity from a commercial annuity provider, an insurance company.
[00:54:58.040 --> 00:55:02.040]   And if I want to give to charity, I will just give to charity.
[00:55:02.040 --> 00:55:04.040]   I would treat those as two separate transactions.
[00:55:04.040 --> 00:55:08.040]   And you don't get a full tax deduction for the charitable annuity.
[00:55:08.040 --> 00:55:10.040]   It's a lesser amount.
[00:55:10.040 --> 00:55:11.040]   Correct.
[00:55:11.040 --> 00:55:22.040]   And in theory, the charity would have an advantage because the charity can take your, say, appreciated stock that you give and sell it and not pay any taxes.
[00:55:22.040 --> 00:55:36.040]   Whereas if I go to the commercial annuity provider, I've got to somehow come up with money that's going to be after tax money, either from my checking account or whatever, to pay them for the policy.
[00:55:36.040 --> 00:55:37.040]   I see.
[00:55:37.040 --> 00:55:54.040]   So you can gift appreciated securities, not pay the capital gain tax, but get the whole entire amount turned into a single premium immediate annuity that pays you back money as opposed to selling the stock, paying capital gain tax on the sale of the stock.
[00:55:54.040 --> 00:55:57.040]   And then what's left, putting it into an annuity.
[00:55:57.040 --> 00:56:05.040]   Is there any information on how much these annuities pay or what the cost is or if there are fees to this?
[00:56:05.040 --> 00:56:14.040]   There's an organization, some national association of gift annuities or something that specifies what they think is a recommended payout amount.
[00:56:14.040 --> 00:56:22.040]   And they think that the charity really should have a 1% annual fee for managing this.
[00:56:22.040 --> 00:56:25.040]   Many people think 1% annual fee, that's nothing.
[00:56:25.040 --> 00:56:32.040]   But if you, if you peruse the bobblehead forums, you come to dislike the idea of a 1% annual fee on anything.
[00:56:32.040 --> 00:56:37.040]   So that's just, it's my stark prejudice here.
[00:56:37.040 --> 00:56:51.040]   I want to mention your website, phildemuth.com, because you have put a lot of information up there, including some tools to help figure out how you should be gifting to charity.
[00:56:51.040 --> 00:56:56.040]   You created this simple to understand formula called gifting power.
[00:56:56.040 --> 00:57:00.040]   Talk about the gifting power idea and how do people use it on your website.
[00:57:00.040 --> 00:57:17.040]   So in the course of writing this book, what I was primarily interested in doing was getting people out of the idea of doing charitable giving on a planning on a year by year basis.
[00:57:17.040 --> 00:57:23.040]   I wanted to promote the idea of charitable giving as a life cycle investment.
[00:57:23.040 --> 00:57:33.040]   So just as people do retirement planning or tax planning or college planning, I want people to do charitable planning based on a lifetime approach.
[00:57:33.040 --> 00:57:42.040]   I wrote the book to try to hound the people that write the financial planning software and to include in this kind of a module in their presentations.
[00:57:42.040 --> 00:57:47.040]   What this requires though, is you've got to have some way of comparing options.
[00:57:47.040 --> 00:57:51.040]   If I give this year, if I give this way versus this way, which way is better?
[00:57:51.040 --> 00:57:53.040]   Which way is more tax advantageous?
[00:57:53.040 --> 00:58:00.040]   And secondly, the other idea is what about giving now versus then?
[00:58:00.040 --> 00:58:02.040]   What about giving now versus later?
[00:58:02.040 --> 00:58:06.040]   If I give later, what does the scenario look like versus giving today?
[00:58:06.040 --> 00:58:18.040]   And the reason all of this becomes important is because the tax code is really the elephant in the room in terms of controlling the value of charitable giving.
[00:58:18.040 --> 00:58:27.040]   So the giving power metric is simply a way of trying to equilibrate all of these at the trans valuation of all values.
[00:58:27.040 --> 00:58:37.040]   And it looks at how much was the charity savings, the tax savings you got for giving the money over the total amount you gave.
[00:58:37.040 --> 00:58:46.040]   So if you gave $100, but you save $20 on taxes, that would be a 20% giving power.
[00:58:46.040 --> 00:58:51.040]   But if you spent $20 on taxes, there would be a negative 20% giving power.
[00:58:51.040 --> 00:58:57.040]   So it was just a very quick and easy way of figuring out, am I better off doing it this way or not?
[00:58:57.040 --> 00:58:59.040]   Phil, we've run out of time.
[00:58:59.040 --> 00:59:05.040]   But again, as I read through your book, there were so many things that jumped out at me that I just didn't know.
[00:59:05.040 --> 00:59:06.040]   I learned a lot.
[00:59:06.040 --> 00:59:10.040]   And that's called The Tax Smart Donor: Optimize Your Lifetime Giving Plan.
[00:59:10.040 --> 00:59:16.040]   Thank you so much for coming back on Bogle Heads on Investing and explaining these sometimes very complicated concepts.
[00:59:16.040 --> 00:59:18.040]   Rick, thank you so much.
[00:59:18.040 --> 00:59:20.040]   It's a great honor to be here.
[00:59:20.040 --> 00:59:21.040]   Thank you.
[00:59:21.040 --> 00:59:23.040]   This concludes this podcast on charitable giving.
[00:59:23.040 --> 00:59:35.040]   And remember, the John C. Bogle Center for Financial Literacy is a 501c3 nonprofit organization that you can give to using direct contributions or your donor advised fund.
[00:59:35.040 --> 00:59:36.040]   That's fine.
[00:59:36.040 --> 00:59:38.040]   Go to www.mogelcenter.net to contribute.
