
[00:00:00.000 --> 00:00:09.340]   i guess not let me also share this on the discord how do we invite folks there's a lot of people
[00:33:57.360 --> 00:34:05.520]   again we just pass it in we get the in we get the output and this output we essentially what we want
[00:34:05.520 --> 00:34:13.200]   is the index so the index and then we get the residual and so we get the residual minus the codebook embedding
[00:34:13.200 --> 00:34:18.800]   and we just go through it again so at the end of this we get all the indexes for the semantic id
[00:34:20.160 --> 00:34:27.040]   and now that is our those are you consider them as our tokens right the sid tokens that we essentially
[00:34:27.040 --> 00:34:38.080]   saw here right um this over here this maps to the first index 201 the second index third index fourth index
[00:34:38.080 --> 00:34:46.160]   so essentially my rqvae has three levels and the fourth level is just to for preventing collisions
[00:34:48.880 --> 00:34:54.640]   um i guess the last thing uh initialize okay the last thing the question that people folks had and
[00:34:54.640 --> 00:34:59.200]   this is what the paper does as well which is how do you first initialize these code books
[00:34:59.200 --> 00:35:04.000]   um there's a very interesting idea which is that we just take the first batch
[00:35:04.000 --> 00:35:09.920]   and for each level we perform k-means
[00:35:12.400 --> 00:35:21.360]   uh and we try to fit it right and then after that we just return the clusters we we do k-means with the
[00:35:21.360 --> 00:35:29.600]   means in terms of your kv size so uh so not kv size uh in terms of your cookbook size so my cookbook size
[00:35:29.600 --> 00:35:37.040]   is two five six so i want k-means with two five six means so now i have all these two five six means
[00:35:38.160 --> 00:35:47.040]   i just initialize it uh with these two five six means and that's how i do a smart initialization
[00:35:47.040 --> 00:35:53.920]   what does the fourth level in the rqvae my rqvae only has three levels the fourth level is something i
[00:35:53.920 --> 00:36:00.160]   artificially add when there is a collision in rqvae how to determine code book size again that's a great
[00:36:00.160 --> 00:36:04.480]   question i actually don't know uh how to develop a cookbook size it's really hard because we're not
[00:36:04.480 --> 00:36:09.520]   again we're not training the rqvae just for the sake of training rqva we're training rqvae for the
[00:36:09.520 --> 00:36:10.400]   downstream usage
[00:36:10.400 --> 00:36:13.680]   oh
[00:36:13.680 --> 00:36:23.120]   i think that's a that's a great example uh that of the vbo of the image that the bush had so now let's
[00:36:23.120 --> 00:36:33.680]   look at some trained rqvaes to try to understand how this works so i've trained a couple of rqvaes not all
[00:36:33.680 --> 00:36:40.160]   of them work very well but i want to talk you through this um so essentially if you recall
[00:36:40.160 --> 00:36:46.560]   their commitment with their beta was 0.25 right so all of these the beta is 0.25 unless i say otherwise
[00:36:46.560 --> 00:36:55.520]   so let's first understand what the impact on learning rate is um initially i have two learning rates the
[00:36:55.520 --> 00:37:01.600]   green learning rate is lower than the brown learning rate so you can see of course the brown one with a
[00:37:01.600 --> 00:37:07.760]   higher learning rate uh we get oh first let me take let me take some time to explain what the different
[00:37:07.760 --> 00:37:23.200]   losses means um okay so this is the validation loss essentially the the loss on the validation set uh this
[00:37:23.200 --> 00:37:31.440]   loss total is really just the training loss now if you recall the loss of the rqvae is two has two things
[00:37:31.440 --> 00:37:38.400]   in it that's the code book loss and then there's the commitment loss so now this and this is the
[00:37:38.400 --> 00:37:44.400]   reconstruction loss you can think of it as if you try to reconstruct the embedding how well does it do now
[00:37:44.400 --> 00:37:52.800]   so now this is the um vector quantization loss i do i didn't actually calculate the i think this is i
[00:37:52.800 --> 00:37:58.720]   can't remember this is the i think this is the code book loss right and the reconstruction loss is the uh
[00:38:00.560 --> 00:38:07.440]   um the commitment loss which is the reconstruction of the output loss okay so you can see and this is the
[00:38:07.440 --> 00:38:15.520]   residual norm which is how much residue is there left at the end of all my code book levels uh ideally this
[00:38:15.520 --> 00:38:20.800]   this demonstrates if you have very low residual norm it means that um your code books are
[00:38:21.280 --> 00:38:31.920]   explaining away most of the rest most of the input residual so a lower one is bad so of course all the
[00:38:31.920 --> 00:38:38.000]   losses the lower is better residual norm the lower is better now this one this is a different metric
[00:38:38.000 --> 00:38:48.800]   this is the unique ids proportion so at uh at some period i give a big batch of data uh maybe 16k or 32k
[00:38:48.800 --> 00:38:54.640]   give a big batch of data i do the i put it through semantic ids uh the quantization and i calculate
[00:38:54.640 --> 00:39:00.080]   the number of unique ids so you can see that as we train the number of unique ids gets less and less
[00:39:00.080 --> 00:39:08.160]   essentially the model is better at reconstructing the output but it uses fewer and fewer unique ids
[00:39:08.160 --> 00:39:18.080]   so what is a good model i think um what is a good model is quite hard to try to understand
[00:39:18.800 --> 00:39:24.640]   but here's what one person responded uh and the response kinds of make kind of make sense
[00:39:24.640 --> 00:39:31.520]   so that's what i've been working on so look at validation reconstruction loss again how well is your
[00:39:31.520 --> 00:39:37.120]   is your rqvae good at reconstructing the input the quantization error again this is your codebook error
[00:39:37.120 --> 00:39:44.800]   and codebook usage i think of this as unique ids as well as codebook usage we also see some graphs of codebook usage
[00:39:46.880 --> 00:39:53.440]   um okay so now you can see that with a higher learning with a higher learning rate which is
[00:39:53.440 --> 00:40:00.080]   this one this learning rate is higher than the degree we have lower losses overall but
[00:40:00.080 --> 00:40:06.880]   our codebook usage is also lower so i think that's that's one thing to note again i don't know which
[00:40:06.880 --> 00:40:10.160]   of which of these are better is it lower loss better or codebook usage better and then i just
[00:40:10.880 --> 00:40:19.440]   took a step and just pick something um now over here this uh i think maybe this is just easier to
[00:40:19.440 --> 00:40:23.760]   compare these are the various weights right if you remember this is the commitment weight this is a
[00:40:23.760 --> 00:40:29.520]   commitment weight of 0.5 and this is a commitment one essentially the commitment weight is how much
[00:40:29.520 --> 00:40:40.400]   weight that you want to have on your um on your um on your on your codebook right on your uh on your
[00:40:40.400 --> 00:40:47.680]   commitment loss on the on the validation on the reconstruction error so you can and this this is
[00:40:47.680 --> 00:40:52.960]   commitment weight of 0.25 which is the default so you can see with a higher commitment weight uh our
[00:40:52.960 --> 00:41:00.960]   reconstruction error is actually very similar right but when we push the commitment weight up to 1.0
[00:41:00.960 --> 00:41:09.040]   you can see something something really off course here uh our loss is a lot um just x-ray funcily
[00:41:09.040 --> 00:41:15.600]   you can see our loss is just very high but the unique ids is also higher which is actually better
[00:41:15.600 --> 00:41:20.240]   and the residual norm is lower which is a good thing that means we explain most of the variance
[00:41:22.480 --> 00:41:27.200]   so in terms of how to figure out how to pick a good commitment weight i think it's very tricky
[00:41:27.200 --> 00:41:32.480]   uh i haven't figured it out essentially here when i double the commitment weight i get told i have lower
[00:41:32.480 --> 00:41:39.280]   validation loss and my id proportion is similar but my residue norm is higher but in the end i just stick
[00:41:39.280 --> 00:41:45.680]   to the default which is 0.25 and over here this is another run i did where i clean the data essentially
[00:41:45.680 --> 00:41:52.320]   i excluded uh the product data and all this is like open open source amazon reviews
[00:41:52.320 --> 00:41:57.600]   data i clean the data i exclude those that are unusually short remove html tags and you can see
[00:41:57.600 --> 00:42:03.040]   by cleaning the data you can get a much lower validation loss much lower reconstruction loss
[00:42:03.040 --> 00:42:08.160]   residue norm is similar but your unique id proportion is a lot higher
[00:42:10.960 --> 00:42:16.560]   um does that make sense am i going yes the reader with the reduced number of unique ids am i just going
[00:42:16.560 --> 00:42:26.720]   too deep into this but i also do want to share a lot um okay we just take okay maybe i'm going too deep
[00:42:26.720 --> 00:42:36.960]   into this but i'll just take one last thing to show you how a good codebook looks like um so this is the
[00:42:36.960 --> 00:42:41.200]   codebooks so these are the codebooks right and this is this is the distribution of codebook usage
[00:42:41.200 --> 00:42:50.400]   this is a this is a not a very good distribution of codebook usage you can see all the codebook usages in
[00:42:50.400 --> 00:42:57.040]   um token number one right and you can see there's very large spikes so this is when your rqva is not
[00:42:57.040 --> 00:43:05.600]   trained well you don't have a very good distribution and but and then you can see over here um
[00:43:05.600 --> 00:43:21.600]   where's my numbers for you can see over here the proportion of unique ids is only 26 that means all your
[00:43:21.600 --> 00:43:27.200]   data you've only collapsed it to a quarter of it essentially you've thrown away three quarters of
[00:43:27.200 --> 00:43:35.280]   your data but what happens when you have a good uh good rqvae here's how it looks like the proportion
[00:43:35.280 --> 00:43:44.400]   of unique ids is 89 um but this is the codebook usage you can see a codebook usage is very well sort of
[00:43:44.400 --> 00:43:51.680]   somewhat well distributed and all the quotes are well learned and all the quotes are fairly well
[00:43:51.680 --> 00:43:55.840]   utilized so this is what it means by having a good codebook usage
[00:43:58.560 --> 00:44:27.120]   so what have you done so that you can uh have a good uh code distribution codebook
[00:44:27.120 --> 00:44:37.600]   um the main thing that i have done is so a few things they use k-means clustering initialization
[00:44:37.600 --> 00:44:43.760]   so i do that k-means clustering initialization um the other thing i do is
[00:44:48.960 --> 00:44:57.200]   codebook reset so essentially any time at every epoch if there are any codes that are unused i reset it
[00:44:57.200 --> 00:45:02.960]   so essentially i'm just forcing i i force the i reset unused codes for each rqvae layer
[00:45:02.960 --> 00:45:11.840]   so i'm forcing the model to keep learning on those unused codes seems to work decently um yeah
[00:45:15.520 --> 00:45:20.560]   so the next thing now we will very quickly go through the recommendations part of it because i
[00:45:20.560 --> 00:45:28.560]   think it's fairly straightforward um so oh michael has a hand raise hello
[00:45:28.560 --> 00:45:39.200]   yes hi you good yes yeah i'm just yeah i'm a south indian and i am right now entering into this air
[00:45:39.200 --> 00:45:46.320]   field so right now what do you suggest and how to enter into this field as per the new concepts that
[00:45:46.320 --> 00:45:56.240]   are right now in your point of view yeah i think a great way to learn this is i'm gonna share an invite
[00:45:56.240 --> 00:46:00.560]   link uh a great way to learn this is really just to hang out in the discord channel
[00:46:02.640 --> 00:46:09.680]   um so i'm gonna copy the link i'm gonna paste it in the chat i think the really just us is just
[00:46:09.680 --> 00:46:17.600]   learning via osmosis right yeah what are the folks yeah yeah due to this yeah boom i have learned the no
[00:46:17.600 --> 00:46:24.880]   code development and i then and all the all these things for almost four months but right after i have
[00:46:25.760 --> 00:46:32.080]   sort of issue i found her big right because like coding so yeah thank you michael what i would do
[00:46:32.080 --> 00:46:38.240]   is to really just uh ask on the discord channel and the thing is the the reason why i'm saying this
[00:46:38.240 --> 00:46:42.640]   is there's only 15 minutes left and i still have quite a bit i want to share and go through yeah
[00:46:42.640 --> 00:46:45.360]   anyone has any questions related to the paper
[00:46:48.320 --> 00:46:54.480]   frankie okay can you hear me yes yeah a quick question maybe it's not relevant but i noticed
[00:46:54.480 --> 00:47:00.240]   that you did some stop gradient uh so it's stopping back propagation is that is that because you're trying
[00:47:00.240 --> 00:47:07.600]   to freeze something when you're doing training i don't quite understand it's it's just um firstly it's
[00:47:07.600 --> 00:47:14.720]   part of the rqvae formulation where they do stop gradient right and so i'm just following it and the reason
[00:47:14.720 --> 00:47:21.040]   is if you don't do stop gradient if you don't do stop gradient this is the loss function right it just
[00:47:21.040 --> 00:47:26.480]   simplifies to this right which is residual minus codebook embedding so now this leads to a degenerate
[00:47:26.480 --> 00:47:33.600]   solution right you can imagine that your encoder will just encode everything to 000 and your codebook
[00:47:33.600 --> 00:47:38.640]   will just encode everything to 000 and essentially you just use one single thing where they both cheat
[00:47:38.640 --> 00:47:44.400]   okay but then you have to allow training at some point right because you're training the codebook
[00:47:44.400 --> 00:47:50.240]   so how do you how does that how does that codebook get modulated then if you do stop gradient so we
[00:47:50.240 --> 00:47:56.800]   do stop reading on the residue for this for the first half of the rqvae loss equation and then we do stop
[00:47:56.800 --> 00:48:01.600]   gradient on the codebook for the second half of the and then it's a it's a weightage we waited by
[00:48:01.600 --> 00:48:06.320]   yeah i see it thank you so much yeah okay so i know we have some questions left but i'm going to take
[00:48:06.320 --> 00:48:12.640]   five to ten minutes to try to go through the recommendations part of it uh which is really where it all comes
[00:48:12.640 --> 00:48:18.160]   together and we also have results for that so i'm going to ignore the questions for a while so now
[00:48:18.160 --> 00:48:23.520]   generative uh recommendations right what do you do is we essentially reconstruct item sequences for every
[00:48:23.520 --> 00:48:30.320]   user we sort them in terms of all the items they've interacted with then given a sequence of items
[00:48:30.320 --> 00:48:37.040]   the recommender's task is to predict the next item very much the same as language modeling given a
[00:48:37.040 --> 00:48:42.960]   sentence predict the next word in the sentence right essentially that's what sasrack is what a lot of our
[00:48:42.960 --> 00:48:51.520]   recommendation model is right now so uh so for a regular recommendation given a sequence of items you
[00:48:51.520 --> 00:48:58.720]   just predict the next item for a semantic id based on recommendation given a sequence of semantic id you
[00:48:58.720 --> 00:49:05.040]   predict the next semantic id which is not which is now not a single item but a sequence of four semantic ids
[00:49:05.040 --> 00:49:09.360]   so now the task is more challenging you have to try to predict the four semantic ids
[00:49:09.360 --> 00:49:15.840]   all right so you can see that they they use some data sets here um and they have the rqva which we
[00:49:15.840 --> 00:49:20.720]   spoke about there's an encoder a residual quantizer and the decoder i think the encoder and decoder is
[00:49:20.720 --> 00:49:25.440]   essentially the same thing i mean not the same thing it's just mirror image of each other different
[00:49:25.440 --> 00:49:30.720]   ways of course as well and residual quantizer so you can see they have a sequence to sequence
[00:49:31.280 --> 00:49:37.920]   more than implementation um and this is their code book right uh one or two four tokens um
[00:49:37.920 --> 00:49:44.720]   it's only three levels and the fourth level is for breaking hashes they include user specific
[00:49:44.720 --> 00:49:49.680]   tokens for personalization in my implementation in my implementation i didn't do that now let's look
[00:49:49.680 --> 00:49:55.360]   at some sas rec code for the recommendations and we'll see how how similar it is to um
[00:49:55.360 --> 00:49:59.760]   how similar it is to language modeling
[00:49:59.760 --> 00:50:08.080]   so over here this is the sas red code and if you see it's actually very similar right you see
[00:50:08.080 --> 00:50:15.040]   modules like causal self-attention which is predicting the next token you can see the familiar things attention
[00:50:15.040 --> 00:50:22.160]   number of heads etc and then you know qkv and then you have our mlp uh which is really just uh reluce
[00:50:22.160 --> 00:50:29.040]   and then the transformer block this is a pre-layer norm layer norm self-attention layer norm and mlp
[00:50:29.040 --> 00:50:37.280]   that's it that is our recommendation system model so now the sas rec is item embedding for every single
[00:50:37.280 --> 00:50:40.720]   item we need to have a single item embedding position embedding and dropout
[00:50:41.840 --> 00:50:47.520]   and then the blocks are really just the number of hidden units you want and just transformer blocks
[00:50:47.520 --> 00:50:57.440]   and of course a final layer norm um for the forward pass what we do is we get all the item embeddings
[00:50:57.440 --> 00:51:04.560]   we get all the positions and we combine it so now we have the hidden states right it's actually the
[00:51:05.760 --> 00:51:11.040]   what has happened in the past this is what has happened in the past now for the prediction we take
[00:51:11.040 --> 00:51:18.800]   the hidden states which is the past five six now imagine this is language modeling we take the past
[00:51:18.800 --> 00:51:25.440]   five to six tokens we forward it we get the next language token candidate embeddings you can see now
[00:51:25.440 --> 00:51:36.960]   we get the candidate embeddings and what we do in recommendations oops what we do in recommendations
[00:51:36.960 --> 00:51:43.680]   is we score them and the score is really just dot product essentially given what has happened in the
[00:51:43.680 --> 00:51:50.400]   past uh we encode it we get a final hidden layer given all the candidate embeddings we do a dot product
[00:51:50.400 --> 00:51:57.680]   and that's the score so essentially given all the sentences given all the potential next tokens
[00:51:57.680 --> 00:52:03.520]   get the dot product to get the next best token and that's the same for recommendations uh over here
[00:52:03.520 --> 00:52:10.320]   um and the training step i don't think i'll go through this um i won't go through this
[00:52:12.720 --> 00:52:18.880]   now for sasright semantic id it's the same right now this is the forward pass uh no this is not the
[00:52:18.880 --> 00:52:26.560]   forward pass for a sasright semantic id this is the same predict next item so now you saw that in
[00:52:26.560 --> 00:52:32.160]   the previously we were just predicting only one single next item now in this case we have to predict
[00:52:32.160 --> 00:52:40.800]   four tokens to represent the next item so when we do training we apply teacher forcing whereby
[00:52:41.920 --> 00:52:46.720]   first we try to predict the first token if that is correct that's fantastic we use that that first
[00:52:46.720 --> 00:52:51.120]   token to predict the next token but if it's wrong we replace it with the actual correct token
[00:52:51.120 --> 00:52:57.680]   so that's what we do when we do training but when we do evaluation we don't do this
[00:52:57.680 --> 00:53:01.040]   uh when we do evaluation
[00:53:01.040 --> 00:53:04.720]   you can see uh
[00:53:07.840 --> 00:53:12.080]   okay i'm definitely losing people here so i i i won't i won't go too deep into this but when we do
[00:53:12.080 --> 00:53:16.880]   evaluation we actually don't try to correct the evaluation so now let's look at some results of
[00:53:16.880 --> 00:53:22.640]   how this runs essentially when i was doing this all that i really cared about was do my semantic ids
[00:53:22.640 --> 00:53:31.040]   make sense so let's first look at this uh this is a this is a sasright model you can see the the ndcg is
[00:53:31.040 --> 00:53:39.920]   uh unusually high right so firstly the purple line is the raw sasrack that just predicts item ids
[00:53:39.920 --> 00:53:44.960]   given the past item ids predicts the next item id uh let's just look at hit rate right you can see the
[00:53:44.960 --> 00:53:50.480]   hit rate is 99 uh i i made it artificially easy uh because i just wanted to get a sense of whether
[00:53:50.480 --> 00:53:56.160]   there was any signal or not you can see here is 99 uh we exclude the most infrequent items there's no
[00:53:56.160 --> 00:54:01.680]   cold start problem over here and uh the the false negatives are the false positives are very easy to
[00:54:01.680 --> 00:54:08.320]   get so you can see this is how the regular suspect does with ndcg of 0.76 now let's now look at our
[00:54:08.320 --> 00:54:15.440]   semantic ids now again to be to be very clear right semantic ids the combination of semantic ids that are
[00:54:15.440 --> 00:54:23.440]   possible is 16.8 million but in our data set we only have 67 000 potential data points so the fact
[00:54:23.440 --> 00:54:31.040]   that if from that 16.8 combinations is able to even predict correct data points that's a huge thing
[00:54:31.040 --> 00:54:37.840]   so over here we can see that after we train it the hit rate is 81 percent that is huge essentially it
[00:54:37.840 --> 00:54:44.400]   means that the model this new recommendation model instead of predicting the next item it has to predict
[00:54:44.400 --> 00:54:51.680]   four next items the the four tokens that make up the next item and only if that is an exact match we
[00:54:51.680 --> 00:54:57.520]   consider as a hit a hit rate right recall and it's able to do that and you can see that the ndcg is
[00:54:57.520 --> 00:55:03.600]   able to do that uh on ndcg is also decent so now it doesn't it doesn't quite outperform uh the regular
[00:55:03.600 --> 00:55:10.000]   sas right because this is uh it would outperform it if we had coastal items all the very dirty items i
[00:55:10.000 --> 00:55:16.240]   think it could beat or even match but essentially this was all just a test to try to see if we can actually
[00:55:16.240 --> 00:55:23.440]   train such a model now now that this test has passed we know that our semantic ids are actually working
[00:55:23.440 --> 00:55:33.200]   well now we can fine-tune a language model right um this is so this is fine-tuning a language model
[00:55:33.200 --> 00:55:39.280]   you can see that the this is the learning rate so initially this is my original data you can see
[00:55:40.080 --> 00:55:44.160]   uh maybe i'll just hide this first this is this is training on my original data and you can see my
[00:55:44.160 --> 00:55:49.360]   original data this is the validation my original data was very huge uh was there was a lot of data
[00:55:49.360 --> 00:55:52.720]   because i didn't really clean it i just used everything i was just not sure whether you could
[00:55:52.720 --> 00:56:02.720]   learn or and i found that it could learn so let's look at an example over here this so you can see over
[00:56:02.720 --> 00:56:09.360]   here this is the initial props right and it's able to say things like let's look at test number three
[00:56:09.360 --> 00:56:13.920]   if product a has this id if product b has this id what can you tell me about their relationship
[00:56:13.920 --> 00:56:19.120]   and all he sees is ids but he's able to say they're related through puzzles
[00:56:19.120 --> 00:56:28.240]   um and then list three products similar to this product right i don't know what this product is um but
[00:56:28.240 --> 00:56:33.200]   i i do know that when i look at it in the title form this is what i expected it was able to respond
[00:56:33.200 --> 00:56:40.240]   invalid semantic ids so what this means is that hey you know this thing can learn uh on my original data
[00:56:40.240 --> 00:56:44.720]   so then after i clean up my original data so now this is my new data set you can see a new data set
[00:56:44.720 --> 00:56:50.400]   it's half the size of original data when you can see when we have this sharp drop during training loss
[00:56:50.400 --> 00:56:56.080]   essentially that means i'm it's the end of an epoch it's a new epoch but evaluation loss just keeps going
[00:56:56.080 --> 00:57:04.160]   down as well and the final outcome we have is a model like this this is a checkpoint from the first epoch
[00:57:04.160 --> 00:57:13.440]   whereby it's able to um it's able to speak in both english and semantic ids
[00:57:15.360 --> 00:57:20.720]   um okay that was all i had uh any questions sorry it took so long
[00:57:20.720 --> 00:57:33.520]   you sure you have a question hi eugene uh so you said that um when you notice some code points are
[00:57:33.520 --> 00:57:39.840]   being unused you reset them um after you reset did you notice them getting used to have some metric to
[00:57:39.840 --> 00:57:47.280]   track the reset one actually was if the resetting was actually helpful in that case yes i i was able to
[00:57:47.280 --> 00:57:59.040]   try that uh sorry i'm just responding to numbers yes i do have that um uh in my let's again let's look at
[00:57:59.040 --> 00:58:06.240]   this when i was training the rqv i had a lot of metrics uh i only went through just a few of them
[00:58:09.040 --> 00:58:17.360]   um but this is it this is the metric um that is important um first oh wait are you oh wait i'm
[00:58:17.360 --> 00:58:24.560]   stopping you stop sorry okay here we go um first let me reset the axis
[00:58:24.560 --> 00:58:37.200]   okay so the metric that is important is this codebook usage so i do log codebook usage
[00:58:38.240 --> 00:58:44.400]   um at every epoch so you can see at step 100 or at epoch 100 codebook usage was only 24 20 24
[00:58:44.400 --> 00:58:48.480]   but as you keep training it codebook usage essentially goes up to 100
[00:58:48.480 --> 00:58:57.840]   so that's the metric i i love nice thanks you're welcome uh frankie oh yeah um can you go over like
[00:58:57.840 --> 00:59:04.400]   again uh for the cement that i semantic id part what is the training data because i'm having a hard time
[00:59:04.400 --> 00:59:10.560]   understanding like what what do you actually what is the llm learning that so can you can explain that
[00:59:10.560 --> 00:59:19.360]   again uh for training the rqvae no no no no for the semantic id part uh the last example because you
[00:59:19.360 --> 00:59:25.280]   basically you're basically inputting say a cement id and say what are the hardest two things related to
[00:59:25.280 --> 00:59:31.600]   each other and i'm having a hard time figuring out like what i what is the um was it actually learning
[00:59:31.600 --> 00:59:38.720]   here so this is the training data so essentially the training data is a sequence of items so you can
[00:59:38.720 --> 00:59:46.880]   see this is the raw item right uh and for each item we map it to this sequence of semantic ids
[00:59:46.880 --> 00:59:53.840]   this is now we're trying to order does the order in this uh list matter or not yes the order matters
[00:59:53.840 --> 00:59:59.920]   is essentially the sequence of what people transact okay and if there's the order in the
[00:59:59.920 --> 01:00:06.960]   semantic id matters as well for example if we were to swap the positions of sid105 and sid341 it wouldn't
[01:00:06.960 --> 01:00:12.560]   make sense that would be an invalid semantic id and and the reason is because the code the first code book
[01:00:12.560 --> 01:00:19.280]   vocab the first number should be between 0 to 255 the second number should be between 256 to 511 and
[01:00:19.280 --> 01:00:25.200]   so on and so forth yeah so that makes sense i mean but i'm talking about like in the group of four so
[01:00:25.200 --> 01:00:33.520]   if you permute those uh does that does it matter so it does matter does matter as well yeah it definitely
[01:00:33.520 --> 01:00:39.280]   it must be in this order if not it will be an invalid semantic id i understand because you have you have to
[01:00:39.280 --> 01:00:44.480]   go with your levels right of your coding right so you have four tokens so that understand and but i'm saying
[01:00:44.480 --> 01:00:51.920]   that you have multiple items here right yes so if you permute those does it matter uh i don't know
[01:00:51.920 --> 01:01:00.000]   i think it depends it may or may not so essentially if i were to buy a phone and then you recommend me a
[01:01:00.000 --> 01:01:07.440]   phone case and then pair of headphones and a screen protector that makes a lot of sense but if i were to
[01:01:07.440 --> 01:01:10.640]   buy a screen protector and you recommend me a phone that doesn't make sense
[01:01:10.640 --> 01:01:19.440]   right in terms of recommendations and user behavior okay okay so that's encodings
[01:01:19.440 --> 01:01:23.920]   that's the sequence encodes that behavior that's what you're saying yes that's correct okay
[01:01:31.600 --> 01:01:43.680]   any other questions yeah eugene uh i had done a lot of work on vector quantization and the there are some
[01:01:43.680 --> 01:01:53.520]   other uh techniques to handle like under utilization like splitting and one important question is the
[01:01:53.520 --> 01:02:00.960]   distance metric like i noticed that you're using euclidean distance to measure the difference between
[01:02:01.600 --> 01:02:09.840]   the embeddings and the code words but the euclidean distance is not good when there is a difference in
[01:02:09.840 --> 01:02:18.880]   value or rate for the features so have you tried to do it i'm sorry i'm in the noisy environment please go ahead
[01:02:23.520 --> 01:02:27.440]   okay so have you tried to do it okay so have you tried different metrics like mahalanova's distance
[01:02:27.440 --> 01:02:34.080]   um i have not
[01:02:34.080 --> 01:02:47.840]   essentially my implementation uh reflects what um what was written in the paper so and i i'm not sure if i'm
[01:02:47.840 --> 01:02:54.880]   really using euclidean distance uh i don't remember where is it
[01:02:54.880 --> 01:03:04.160]   yeah but it's it's worth a try but i i just use the implementation written in the paper and it works
[01:03:04.160 --> 01:03:12.000]   it's in the main uh like uh equation where you have the stop gradient because that uh that sign is the
[01:03:12.000 --> 01:03:17.520]   ingredient distance and it is by default what k means algorithm uses but yeah you can change that
[01:03:18.080 --> 01:03:22.480]   so then that's what i'm using yeah so i just replicated that
[01:03:22.480 --> 01:03:34.160]   any other question oh pastor you have a question yeah so i have a question related to to that so in
[01:03:34.160 --> 01:03:44.320]   the paper says that you that you use that you use k means k means to to initialize the codebook and then
[01:03:44.320 --> 01:03:51.920]   like you used it like you use it for the free first training batch and then you use the centroids
[01:03:51.920 --> 01:04:01.040]   uh as initialization is is that what you use and uh follow of that like it also says that there is an
[01:04:01.040 --> 01:04:08.400]   option to use like k means clustering hierarchically but it lost semantic meaning so i didn't really
[01:04:08.400 --> 01:04:14.880]   understand that part if you can briefly explain like and and if you use the centroids as initialization
[01:04:14.880 --> 01:04:24.960]   thanks uh so yes that's what i used um i'm sorry what was your second question yeah so so also the paper
[01:04:24.960 --> 01:04:34.640]   the paper said that the other option is used k means hierarchically but it lost semantic meaning
[01:04:34.640 --> 01:04:42.720]   between the clusters yes yes yes so yeah do you know why or how that plays or what's the difference
[01:04:42.720 --> 01:04:49.520]   between using the the you know the the what is suggesting the paper uh that's a great question
[01:04:49.520 --> 01:04:55.760]   right so are you referring to this uh they use k-means clustering hierarchically essentially these
[01:04:55.760 --> 01:05:02.800]   are different alternatives or quantization right um over here we quantize using an rqvae they they also
[01:05:02.800 --> 01:05:08.080]   talk about locality sensitive hashing then the other one is they use k-means clustering first k-means
[01:05:08.080 --> 01:05:16.320]   then second level k-means and third k-means um i don't know why it loses semantic meaning um honestly
[01:05:16.320 --> 01:05:21.680]   so i i i i won't be able to address that i haven't actually tried this yeah and i don't have a strong
[01:05:21.680 --> 01:05:30.560]   intuition on why it loses semantic meaning okay cool thanks thanks yeah i can uh try to answer that
[01:05:30.560 --> 01:05:40.560]   like when you are uh having the same id and you're using the proper uh k-mean clustering the entities
[01:05:41.360 --> 01:05:46.320]   are unique and they represent something but if you try to split them into different
[01:05:46.320 --> 01:05:54.400]   levels like the first order and you group them and then you do grouping of the second layer as if
[01:05:54.400 --> 01:06:04.160]   like you're trying to cluster numbers uh if you keep a three-digit number nine seven three uh and cluster it
[01:06:04.160 --> 01:06:10.880]   with eight seven uh eight two one then they are close together but if you cluster on the uh the
[01:06:10.880 --> 01:06:20.240]   hundred digits first then at the uh tens and then uh the ones you know you lose the meaning and the
[01:06:20.240 --> 01:06:23.120]   these numbers do not become close to each other
[01:06:26.000 --> 01:06:34.000]   awesome makes sense thank you thank you okay well very much over time thank you vibu for kindly
[01:06:34.000 --> 01:06:42.640]   hosting us for so long uh i can stay for any other questions feel free to take eugene's time is your
[01:06:42.640 --> 01:06:49.920]   experience uh for next week we will volunteer for a paper i'll post it in the chat right now
[01:06:49.920 --> 01:06:56.560]   um but yeah thank you thank you eugene for presenting and same thing if anyone wants to volunteer a paper
[01:06:56.560 --> 01:07:03.600]   to present the following week um you know now is your shot you'll you'll definitely learn a lot
[01:07:03.600 --> 01:07:09.440]   going through the paper being ready to teach it to someone otherwise the paper is how do language models
[01:07:09.440 --> 01:07:14.640]   memorize and and also to be clear i want to make it very clear right that i did not prepare for
[01:07:14.640 --> 01:07:19.920]   this over the course of a week so if you're preparing for this i've been working on this for
[01:07:19.920 --> 01:07:26.320]   several weeks ever since like 4th of july holiday right and essentially this is just i've been working
[01:07:26.320 --> 01:07:30.080]   on it i'm excited to share about with people and that's why i'm sharing most of the time we usually
[01:07:30.080 --> 01:07:33.920]   just go through a paper so if you want to volunteer it's okay to just have the paper that's it
[01:07:35.200 --> 01:07:40.720]   if you want to see the other side of uh you know the other extreme unlike eugene who prepares for
[01:07:40.720 --> 01:07:47.600]   months i read the paper in the day before the day or the day and i morning off hey don't call me out
[01:07:47.600 --> 01:07:52.640]   yes but people have slides that's the thing i will never have slides no no i i used to do slides i
[01:07:52.640 --> 01:07:58.000]   actually think it's uh slightly detrimental i don't think it's as beneficial to make slides other papers
[01:07:58.000 --> 01:08:04.160]   anymore papers are good ways to read uh to understand information so now it's just uh walk through a
