
[00:00:00.000 --> 00:00:07.400]   All right. Welcome everyone.
[00:20:36.180 --> 00:20:37.100]   I don't see why not.
[00:20:37.100 --> 00:20:39.340]   The numerator could be the sum of the positive and
[00:20:39.340 --> 00:20:41.780]   then the denominator could just include all of those.
[00:20:41.780 --> 00:20:46.220]   So what you would be doing is, well,
[00:20:46.220 --> 00:20:51.900]   I'm just trying to think through.
[00:20:51.900 --> 00:20:53.060]   That, that would be one approach.
[00:20:53.060 --> 00:20:56.700]   The other approach would be to just treat them as separate examples.
[00:20:56.700 --> 00:20:58.620]   I think under some conditions,
[00:20:58.620 --> 00:20:59.700]   those will be identical,
[00:20:59.700 --> 00:21:00.780]   but I'd have to think it through.
[00:21:00.780 --> 00:21:04.140]   But I don't see a problem.
[00:21:04.140 --> 00:21:06.220]   I don't see a problem.
[00:21:06.220 --> 00:21:10.140]   But it's worth thinking about. I'll get back to you on that.
[00:21:10.140 --> 00:21:13.660]   Let's improve on this.
[00:21:13.660 --> 00:21:17.020]   DPR, dense passage retriever.
[00:21:17.020 --> 00:21:18.260]   This will also be intuitive.
[00:21:18.260 --> 00:21:20.020]   Here we go. Query and document,
[00:21:20.020 --> 00:21:21.580]   except notice now,
[00:21:21.580 --> 00:21:23.900]   they are processed by separate models.
[00:21:23.900 --> 00:21:26.340]   The query encoder and the document encoder.
[00:21:26.340 --> 00:21:27.700]   Could be the same parameters,
[00:21:27.700 --> 00:21:30.280]   but the point is, we process them separately.
[00:21:30.280 --> 00:21:34.980]   And I've made lighter every state except the output tokens,
[00:21:34.980 --> 00:21:37.120]   but below the two class tokens,
[00:21:37.120 --> 00:21:39.660]   because those are the only ones that we need.
[00:21:39.660 --> 00:21:41.700]   Okay. These two.
[00:21:41.700 --> 00:21:45.740]   And then we do some kind of scoring on that basis like similarity.
[00:21:45.740 --> 00:21:48.660]   Right. So here are examples are the same.
[00:21:48.660 --> 00:21:52.140]   Now, the similarity function as I'm calling it for,
[00:21:52.140 --> 00:21:54.980]   for a query and a document is we process the query,
[00:21:54.980 --> 00:21:57.540]   we get this guy, process the document,
[00:21:57.540 --> 00:21:58.780]   and we get this guy,
[00:21:58.780 --> 00:22:00.900]   and then we do scoring on that basis.
[00:22:00.900 --> 00:22:03.100]   There are no additional parameters.
[00:22:03.100 --> 00:22:06.420]   We just score based on those representations.
[00:22:06.420 --> 00:22:08.260]   They're dot product.
[00:22:08.260 --> 00:22:13.740]   So now, we've got something that is highly scalable because we can process
[00:22:13.740 --> 00:22:17.660]   every document in our entire web collection into a single vector,
[00:22:17.660 --> 00:22:20.540]   this one, and it can just sit there on disk.
[00:22:20.540 --> 00:22:22.100]   And then at query time,
[00:22:22.100 --> 00:22:24.000]   process the query, get its vector,
[00:22:24.000 --> 00:22:28.620]   and do this super fast dot product comparison for scoring.
[00:22:28.620 --> 00:22:31.380]   So now we've got something that is probably even going to
[00:22:31.380 --> 00:22:35.380]   function as a full ranking model, not just a re-ranker.
[00:22:35.380 --> 00:22:39.140]   But the real game is that we can process all our documents offline.
[00:22:39.140 --> 00:22:41.500]   The cost was that we now have
[00:22:41.500 --> 00:22:44.460]   almost no interactions between the query and the document.
[00:22:44.460 --> 00:22:46.920]   Like if you think about token identities,
[00:22:46.920 --> 00:22:50.940]   if you think about the soft matching that happens with TF-IDF,
[00:22:50.940 --> 00:22:53.900]   none of that is going to be able to happen here.
[00:22:53.900 --> 00:22:59.900]   That was the cost. Yeah.
[00:22:59.900 --> 00:23:01.540]   So, uh, I mean,
[00:23:01.540 --> 00:23:05.020]   essentially what we'll be comparing would be two fixed length vectors,
[00:23:05.020 --> 00:23:08.860]   right? I mean, a vector representing the document and another representing the query.
[00:23:08.860 --> 00:23:11.260]   So is there, I mean,
[00:23:11.260 --> 00:23:15.580]   a limit to the length of the document that would be represented in that vector?
[00:23:15.580 --> 00:23:18.260]   I mean, like, could it represent an arbitrary,
[00:23:18.260 --> 00:23:22.420]   a long document? It would lose context.
[00:23:22.420 --> 00:23:24.060]   These are great questions. Let me repeat them.
[00:23:24.060 --> 00:23:26.700]   For the first question, yes, you are right.
[00:23:26.700 --> 00:23:29.900]   The one constraint we need to impose on the query encoder and
[00:23:29.900 --> 00:23:31.420]   the document encoder is that they have
[00:23:31.420 --> 00:23:34.160]   the same dimensionality so that we can do the dot product.
[00:23:34.160 --> 00:23:37.040]   They can otherwise be separate models if we want.
[00:23:37.040 --> 00:23:39.840]   And then length of query and length of document,
[00:23:39.840 --> 00:23:42.020]   that's just going to be imposed by whatever we
[00:23:42.020 --> 00:23:44.240]   choose for the query and the document themselves.
[00:23:44.240 --> 00:23:45.860]   So if you choose BERT,
[00:23:45.860 --> 00:23:47.980]   you're going to be stuck with 512 as the length,
[00:23:47.980 --> 00:23:50.620]   the longest document that you can process unless we
[00:23:50.620 --> 00:23:56.700]   do some further manipulation of these things. Yeah.
[00:23:56.700 --> 00:24:03.060]   If these models are trained to project into kind of like a shared embedding space,
[00:24:03.060 --> 00:24:06.040]   so like documents that are similar to a query are going to
[00:24:06.040 --> 00:24:09.700]   fall into a similar location in embedding space,
[00:24:09.700 --> 00:24:12.840]   could we have a system where we essentially take,
[00:24:12.840 --> 00:24:15.240]   like we pre-process all the documents,
[00:24:15.240 --> 00:24:17.840]   we take a query at inference time,
[00:24:17.840 --> 00:24:23.040]   project it into embedding space and then do like a new research or something like that?
[00:24:23.040 --> 00:24:24.200]   Yes.
[00:24:24.200 --> 00:24:27.200]   Well, yes. So some aspects of what you're describing,
[00:24:27.200 --> 00:24:30.000]   I think, are what DPR will be optimized for.
[00:24:30.000 --> 00:24:32.440]   The other parts of what you're saying are going to be
[00:24:32.440 --> 00:24:37.960]   optimization tricks that I show you in a second, I believe. Yes.
[00:24:37.960 --> 00:24:41.880]   You elaborate on what you mean by limited query doc interactions?
[00:24:41.880 --> 00:24:45.860]   Just that all we've got in the end is this vector for
[00:24:45.860 --> 00:24:49.020]   the whole query and this vector for the whole document.
[00:24:49.020 --> 00:24:52.400]   So token identities to the extent that they're preserved at all,
[00:24:52.400 --> 00:24:55.900]   they have to have been packed into those vectors.
[00:24:55.900 --> 00:25:00.040]   Whereas over here, we had
[00:25:00.040 --> 00:25:06.000]   every token level interaction you can imagine as a result of us using like the transformer.
[00:25:06.000 --> 00:25:09.160]   Yeah.
[00:25:09.160 --> 00:25:13.120]   Is there any room for training some more clever synthesis of
[00:25:13.120 --> 00:25:16.480]   the two representations you get at the end as opposed to just dot producting them?
[00:25:16.480 --> 00:25:17.760]   Oh, that's, yeah.
[00:25:17.760 --> 00:25:20.660]   I think that's a natural follow-on is that you might think,
[00:25:20.660 --> 00:25:24.260]   I want to have in this layer here some additional parameters,
[00:25:24.260 --> 00:25:26.560]   and you can kind of see how that might work, right?
[00:25:26.560 --> 00:25:28.260]   So instead of just using this vector,
[00:25:28.260 --> 00:25:33.560]   I would put some parameters on top and then the same optimization can be used.
[00:25:33.560 --> 00:25:34.160]   Yeah.
[00:25:34.160 --> 00:25:39.040]   If they're going to the same embedding space, attention.
[00:25:39.040 --> 00:25:40.080]   Yeah.
[00:25:40.080 --> 00:25:44.280]   Yeah. Yeah. And this could be good in the sense that we,
[00:25:44.280 --> 00:25:47.440]   we would pay a little bit of a cost by adding more parameters,
[00:25:47.440 --> 00:25:50.840]   but we might gain something in terms of expressivity.
[00:25:51.320 --> 00:25:58.420]   Nice. Let me show you a happy compromise.
[00:25:58.420 --> 00:26:00.900]   Oh yeah, I just wanted to point this out,
[00:26:00.900 --> 00:26:03.500]   that I've just showed you two loss functions.
[00:26:03.500 --> 00:26:06.000]   I showed you the cross encoder and the DPR,
[00:26:06.000 --> 00:26:08.800]   and you can probably already see that they are identical
[00:26:08.800 --> 00:26:12.340]   except for this function that you might call comp here.
[00:26:12.340 --> 00:26:14.100]   And that's kind of freeing.
[00:26:14.100 --> 00:26:16.980]   And as you think about these different model architectures,
[00:26:16.980 --> 00:26:19.860]   probably what you're thinking about is simply changing
[00:26:19.860 --> 00:26:23.200]   this comp function and then using your available data to
[00:26:23.200 --> 00:26:27.720]   train the model against this negative log likelihood of the positive passage.
[00:26:27.720 --> 00:26:31.160]   There are other losses out there in the literature,
[00:26:31.160 --> 00:26:35.760]   but this is the most widely used and it seems to be very effective.
[00:26:35.760 --> 00:26:44.120]   Colbert. This stands for contextualized late interaction with BERT.
[00:26:44.120 --> 00:26:46.760]   It was invented by Omar and Matei who are here.
[00:26:46.760 --> 00:26:49.040]   Omar is my student, I work closely with Matei.
[00:26:49.040 --> 00:26:51.040]   Um, and let's see.
[00:26:51.040 --> 00:26:56.120]   So Omar would want you to know that this stands for contextualized late interaction,
[00:26:56.120 --> 00:26:59.520]   and he pronounces it Colbert because Stephen Colbert has
[00:26:59.520 --> 00:27:04.120]   a show full of contextualized late night interactions.
[00:27:04.120 --> 00:27:07.340]   But you can also pronounce it Colbert.
[00:27:07.340 --> 00:27:11.680]   It's your choice because the BERT there is the BERT model.
[00:27:11.680 --> 00:27:16.040]   And we are, yes, still hoping that Stephen Colbert will take notice of this.
[00:27:16.040 --> 00:27:25.200]   [inaudible]
[00:27:25.200 --> 00:27:26.440]   I haven't been so bold,
[00:27:26.440 --> 00:27:28.760]   but I welcome you all to do that.
[00:27:28.760 --> 00:27:31.640]   That's great. Add him on Twitter, yes.
[00:27:31.640 --> 00:27:33.920]   Here's how this will work. I've drawn
[00:27:33.920 --> 00:27:36.320]   the query encoder on the side for reasons that you'll see,
[00:27:36.320 --> 00:27:37.520]   but it's the same kind of thing.
[00:27:37.520 --> 00:27:41.000]   So imagine BERT processes my query and I've grayed out everything,
[00:27:41.000 --> 00:27:43.280]   but the final representations because crucially,
[00:27:43.280 --> 00:27:45.480]   those are the only ones that we actually need.
[00:27:45.480 --> 00:27:47.400]   Same thing with the document,
[00:27:47.400 --> 00:27:49.300]   and it could be the same encoder.
[00:27:49.300 --> 00:27:54.040]   Now what I'm going to do with Colbert is form a grid of scores.
[00:27:54.040 --> 00:27:57.640]   And this is going to essentially give the similarity value
[00:27:57.640 --> 00:28:02.560]   between every query token and every document token.
[00:28:02.560 --> 00:28:07.400]   And then I will choose the values along the rows,
[00:28:07.400 --> 00:28:08.480]   that is for each query,
[00:28:08.480 --> 00:28:12.880]   the document token that maximizes that similarity comparison.
[00:28:12.880 --> 00:28:18.800]   And the scoring function is essentially the sum of those three max values.
[00:28:18.800 --> 00:28:23.760]   That is why you see maxim all over the place for Colbert.
[00:28:23.760 --> 00:28:26.320]   Examples are as before,
[00:28:26.320 --> 00:28:28.240]   losses as before,
[00:28:28.240 --> 00:28:31.200]   and I wrote down here what we would think of as the comp function,
[00:28:31.200 --> 00:28:32.760]   and I wrote it as maxim.
[00:28:32.760 --> 00:28:34.200]   For a query in a document,
[00:28:34.200 --> 00:28:36.640]   you sum over all the query tokens,
[00:28:36.640 --> 00:28:40.760]   and you get the max matching document token.
[00:28:40.760 --> 00:28:44.120]   So you can see why it's contextualized late interaction,
[00:28:44.120 --> 00:28:46.520]   because I'm using the output states.
[00:28:46.520 --> 00:28:50.360]   But unlike DPR, I'm allowing them all to interact with
[00:28:50.360 --> 00:28:54.120]   each other via these very fast maxim calculations.
[00:28:54.120 --> 00:28:56.760]   I have token level interactions.
[00:28:56.760 --> 00:29:00.440]   It's right, so highly scalable and highly expressive.
[00:29:00.440 --> 00:29:06.320]   The only cost is that the interactions happen only in this very thin final layer.
[00:29:06.320 --> 00:29:10.120]   But this is really pleasing for IR,
[00:29:10.120 --> 00:29:14.960]   that Colbert because of this brings us back to common intuitions in IR.
[00:29:14.960 --> 00:29:20.120]   We do genuinely achieve with these maxim scores intuitive soft alignments.
[00:29:20.120 --> 00:29:24.000]   Here I have the query, when did the Transformers cartoon series come out?
[00:29:24.000 --> 00:29:25.680]   And the response document,
[00:29:25.680 --> 00:29:29.480]   the animated Transformers was released in August 1986.
[00:29:29.480 --> 00:29:35.400]   And these are proportional to actual maxim values query relative to document.
[00:29:35.400 --> 00:29:37.160]   The thickness of that line.
[00:29:37.160 --> 00:29:40.080]   And you can see that it is doing something very intuitive,
[00:29:40.080 --> 00:29:42.440]   and also something very semantic.
[00:29:42.440 --> 00:29:44.240]   Because unlike term-based models,
[00:29:44.240 --> 00:29:47.600]   I don't have to do anything special to capture the fact that
[00:29:47.600 --> 00:29:52.400]   come in the context of come out is a lot like released.
[00:29:52.400 --> 00:29:55.000]   And similarly with when and that date.
[00:29:55.000 --> 00:29:58.060]   Here I'm showing the two topmost maxim values,
[00:29:58.060 --> 00:30:00.040]   and they're also very intuitive.
[00:30:00.040 --> 00:30:04.200]   And this is wonderful because IR has been so successful for so long,
[00:30:04.200 --> 00:30:07.920]   doing term matching, and it is nice to see that intuition
[00:30:07.920 --> 00:30:12.520]   carried forward into this more semantic space in my view.
[00:30:12.520 --> 00:30:14.880]   So I can go up. Yeah.
[00:30:14.880 --> 00:30:19.760]   Is that matrix of like query to document mapping,
[00:30:19.760 --> 00:30:23.360]   is that why the in-memory index is very purple there?
[00:30:23.360 --> 00:30:25.520]   Yes. So your question is,
[00:30:25.520 --> 00:30:27.840]   why is the index for Colbert so big?
[00:30:27.840 --> 00:30:32.080]   It is because we have to store every token level representation.
[00:30:32.080 --> 00:30:34.360]   Yes. I'm gonna, I'm gonna show you that we can do better,
[00:30:34.360 --> 00:30:36.960]   but naively storing these for
[00:30:36.960 --> 00:30:40.600]   our entire document store is gonna be a lot of vectors.
[00:30:40.600 --> 00:30:46.040]   One per token, not one per type, one per token.
[00:30:46.040 --> 00:30:50.520]   Yeah. I have to pay somewhere.
[00:30:50.520 --> 00:30:53.240]   I guess that's the insight. Yeah. Question.
[00:30:53.240 --> 00:30:57.280]   Maybe there's some intuition that can make this a little clearer.
[00:30:57.280 --> 00:31:00.320]   If the document has multiple variants of,
[00:31:00.320 --> 00:31:02.200]   of transformers or, you know,
[00:31:02.200 --> 00:31:04.360]   Decepticon, Optimus Prime or whatever,
[00:31:04.360 --> 00:31:07.840]   they, they're all related to the original token transformers.
[00:31:07.840 --> 00:31:12.040]   Would you be able to kind of draw that link to all those other tokens as well,
[00:31:12.040 --> 00:31:14.200]   or would you have to pick,
[00:31:14.200 --> 00:31:17.080]   I guess, one relationship?
[00:31:17.080 --> 00:31:19.520]   Transformers is represented once.
[00:31:19.520 --> 00:31:21.960]   I think that's a great question.
[00:31:21.960 --> 00:31:23.960]   So transformers, that's why I picked it.
[00:31:23.960 --> 00:31:29.840]   It's amusingly ambiguous between our model and the animated cartoon series.
[00:31:29.840 --> 00:31:32.240]   Um, of my youth.
[00:31:32.240 --> 00:31:36.760]   So, but I think the point is that because it's BERT,
[00:31:36.760 --> 00:31:39.320]   transformers in this context will have
[00:31:39.320 --> 00:31:43.200]   a very different representation from the one if we were talking about NLP.
[00:31:43.200 --> 00:31:46.280]   And that's why it's so good that we are using BERT because then we'll
[00:31:46.280 --> 00:31:50.600]   get Maxims that are appropriately semantic. That is the hope.
[00:31:50.600 --> 00:31:53.560]   Yeah. Whereas term-based models really gonna struggle.
[00:31:53.560 --> 00:31:55.840]   The best they're gonna be able to do is have
[00:31:55.840 --> 00:32:01.840]   engrams that kind of capture the fact that this transformers is the cartoon series one.
[00:32:01.840 --> 00:32:08.760]   So another, actually, that's another argument in favor of being in a more semantic space.
[00:32:08.760 --> 00:32:15.880]   I want to just quickly talk with you about how we have worked to optimize Colbert,
[00:32:15.880 --> 00:32:18.600]   because I think that this suggests things that you would want to do if you
[00:32:18.600 --> 00:32:23.080]   developed your own neural retrieval models because the hard truth here is that
[00:32:23.080 --> 00:32:29.800]   BM25 is blazingly fast and scalable and these neural models are not.
[00:32:29.800 --> 00:32:33.240]   You have to work much harder to get them to that point of being as performant
[00:32:33.240 --> 00:32:36.660]   in terms of other dimensions beyond accuracy.
[00:32:36.660 --> 00:32:40.960]   We could use Colbert as a re-ranker as I alluded to before, right?
[00:32:40.960 --> 00:32:46.040]   So here I have all these token level representations which I do have to store,
[00:32:46.040 --> 00:32:48.880]   and they're each connected to a document.
[00:32:48.880 --> 00:32:51.400]   Now, on- if used naively,
[00:32:51.400 --> 00:32:53.080]   this will be not scalable,
[00:32:53.080 --> 00:32:54.120]   but I could do this.
[00:32:54.120 --> 00:32:55.920]   Given some query, uh,
[00:32:55.920 --> 00:32:59.080]   that's represented as a sequence of tokens, uh,
[00:32:59.080 --> 00:33:05.440]   I could get the top k documents for it using like BM25 and then re-rank that top k.
[00:33:05.440 --> 00:33:06.760]   [NOISE]
[00:33:06.760 --> 00:33:08.560]   And so if k is small,
[00:33:08.560 --> 00:33:12.840]   I pay the full price of the Colbert model but only for k documents.
[00:33:12.840 --> 00:33:18.240]   And you're hoping that BM25 did a good job of getting you to that initial point.
[00:33:18.240 --> 00:33:21.960]   It's a very common application and it can be really meaningful to
[00:33:21.960 --> 00:33:25.280]   re-rank that final set of k documents.
[00:33:25.280 --> 00:33:26.960]   But we could do a little better.
[00:33:26.960 --> 00:33:28.760]   If we wanted to use Colbert end-to-end,
[00:33:28.760 --> 00:33:29.960]   here's how we could work.
[00:33:29.960 --> 00:33:33.020]   We again store all those token level vectors,
[00:33:33.020 --> 00:33:35.160]   but now we're gonna kind of turn things around.
[00:33:35.160 --> 00:33:39.820]   We just need to keep track of those vectors and their associated documents.
[00:33:39.820 --> 00:33:44.840]   For a query that we have encoded as a set of vectors using Colbert,
[00:33:44.840 --> 00:33:47.940]   we take each query vector wi,
[00:33:47.940 --> 00:33:50.960]   and we retrieve the p most token vectors from
[00:33:50.960 --> 00:33:54.360]   this huge list that are similar to our target.
[00:33:54.360 --> 00:33:56.840]   And that doesn't require the full Colbert model.
[00:33:56.840 --> 00:34:01.400]   That could just be a similarity calculation and you can do those really fast.
[00:34:01.400 --> 00:34:03.200]   People have really optimized that.
[00:34:03.200 --> 00:34:06.120]   And then you get all the documents associated
[00:34:06.120 --> 00:34:09.640]   with this small set of vectors that you found and you score them.
[00:34:09.640 --> 00:34:13.680]   So again, the name of the game is to use Colbert only very
[00:34:13.680 --> 00:34:18.780]   sparingly in a final stage because it is so expensive.
[00:34:18.780 --> 00:34:21.240]   And then a third step here,
[00:34:21.240 --> 00:34:24.860]   just quickly, we can do even better and this is quite striking.
[00:34:24.860 --> 00:34:28.940]   What we can do is cluster our token level representations
[00:34:28.940 --> 00:34:31.980]   into their centroids using k-means clustering.
[00:34:31.980 --> 00:34:34.260]   That's what I've got in red here.
[00:34:34.260 --> 00:34:36.860]   And then use them as the basis for search.
[00:34:36.860 --> 00:34:40.300]   So again, we encode our query into a series of vectors.
[00:34:40.300 --> 00:34:43.060]   And then for this target vector wi,
[00:34:43.060 --> 00:34:46.340]   we first get the centroids that are closest to that.
[00:34:46.340 --> 00:34:48.620]   And this is important because in practice,
[00:34:48.620 --> 00:34:54.740]   we can collect only like four centroids per token vector and do really well.
[00:34:54.740 --> 00:34:56.420]   That's a tiny number.
[00:34:56.420 --> 00:35:01.580]   Then we get the t most similar token vectors to that centroid.
[00:35:01.580 --> 00:35:05.980]   And then we finally do scoring on the associated documents.
[00:35:05.980 --> 00:35:08.980]   And so by leaps and bounds here,
[00:35:08.980 --> 00:35:13.300]   we have reduced the amount of compute we need to do with this huge index
[00:35:13.300 --> 00:35:18.660]   by using the centroids and then using Colbert again very sparingly.
[00:35:18.660 --> 00:35:22.020]   Final thing and then I'll take some questions.
[00:35:22.020 --> 00:35:25.940]   The team has worked very hard to reduce the latency of Colbert.
[00:35:25.940 --> 00:35:27.900]   This is a latency analysis here.
[00:35:27.900 --> 00:35:30.780]   And the thing I want to point out to you is that the Colbert model steps,
[00:35:30.780 --> 00:35:32.640]   actually for this second version,
[00:35:32.640 --> 00:35:34.900]   the one I just described to you with the centroids,
[00:35:34.900 --> 00:35:37.260]   that was actually a relatively small part of
[00:35:37.260 --> 00:35:40.380]   the overall cost because it was being used so sparingly.
[00:35:40.380 --> 00:35:44.460]   The big costs were being in the- dealing with
[00:35:44.460 --> 00:35:49.940]   the huge index and also doing work to quantize the vectors,
[00:35:49.940 --> 00:35:53.520]   so that they were easier to store on disk by making them smaller.
[00:35:53.520 --> 00:35:57.580]   And so after a bunch of work with this framework called Plaid,
[00:35:57.580 --> 00:36:01.380]   they were able to get rid of almost all of that index lookup and
[00:36:01.380 --> 00:36:05.900]   de-quantization or decompression steps for the vectors that were costing so much.
[00:36:05.900 --> 00:36:10.620]   And they brought the latency down to like 58 milliseconds.
[00:36:10.620 --> 00:36:14.980]   Which- so it went from something that is impossible to imagine deploying
[00:36:14.980 --> 00:36:17.820]   industrially to something that is close to
[00:36:17.820 --> 00:36:21.100]   what you might entertain as a possibility for deployment.
[00:36:21.100 --> 00:36:23.900]   And I- you know, the details are in the Plaid paper.
[00:36:23.900 --> 00:36:25.500]   We can talk about them offline.
[00:36:25.500 --> 00:36:29.100]   I just wanted to call out that I think this is an incredible achievement.
[00:36:29.100 --> 00:36:30.980]   It is so clever,
[00:36:30.980 --> 00:36:35.300]   the set of things that they did to achieve this enormous improvement.
[00:36:35.300 --> 00:36:36.580]   So shout out to them.
[00:36:36.580 --> 00:36:40.580]   And it does mean that if you had heard a rumor that Colbert was
[00:36:40.580 --> 00:36:44.620]   impractical to use because the index was too large and the latency was too long,
[00:36:44.620 --> 00:36:46.500]   I think it's not true anymore.
[00:36:46.500 --> 00:36:49.180]   The indices are small because of quantization,
[00:36:49.180 --> 00:36:51.300]   and this is that picture of latency.
[00:36:51.300 --> 00:36:54.100]   So give it a shot.
[00:36:54.100 --> 00:36:57.020]   I have one more model, but let me take questions.
[00:36:57.020 --> 00:36:58.380]   Yeah. Did you have a question?
[00:36:58.380 --> 00:37:01.700]   Oh, sorry. I just had a question about the latency and also the predictor.
[00:37:01.700 --> 00:37:02.740]   Okay. Cool.
[00:37:02.740 --> 00:37:03.860]   Yeah, I'm happy to talk more.
[00:37:03.860 --> 00:37:07.020]   The Plaid paper is full of tricks and things like that.
[00:37:07.020 --> 00:37:08.580]   I don't want to take up too much time.
[00:37:08.580 --> 00:37:10.900]   I definitely want to give Sid plenty of time to talk about models.
[00:37:10.900 --> 00:37:12.340]   So let me just show you one more.
[00:37:12.340 --> 00:37:14.540]   This is SPLADE. This is also ingenious.
[00:37:14.540 --> 00:37:16.420]   It'll get you thinking in a new way.
[00:37:16.420 --> 00:37:18.740]   Okay. So for SPLADE,
[00:37:18.740 --> 00:37:21.780]   I wrote sequence at the bottom because we're going to do this for
[00:37:21.780 --> 00:37:24.780]   both queries and documents, this process.
[00:37:24.780 --> 00:37:28.620]   And crucially, here I have the vocabulary.
[00:37:28.620 --> 00:37:30.560]   I've only represented seven tokens,
[00:37:30.560 --> 00:37:32.980]   but if it was BERT, it would be like 30,000.
[00:37:32.980 --> 00:37:38.540]   Okay. So we again process the text into the output states,
[00:37:38.540 --> 00:37:40.980]   T1 through T3 there.
[00:37:40.980 --> 00:37:44.020]   And then we form all these scores.
[00:37:44.020 --> 00:37:48.420]   And the scores are determined by this thing here, that's SI sub J.
[00:37:48.420 --> 00:37:51.900]   So we're going to apply a linear layer to the encoding,
[00:37:51.900 --> 00:37:55.500]   those output states, and we're going to combine it with
[00:37:55.500 --> 00:37:59.300]   the embedding for these vocabulary items with a bias.
[00:37:59.300 --> 00:38:01.060]   So if you strip away the details,
[00:38:01.060 --> 00:38:03.540]   you can see that this is like a dot product of
[00:38:03.540 --> 00:38:08.660]   these states with all of these values here in our vocabulary.
[00:38:08.660 --> 00:38:12.060]   And then SPLADE is the sum of that.
[00:38:12.060 --> 00:38:15.260]   And so you can think of that as summing across all the document tokens.
[00:38:15.260 --> 00:38:22.140]   And so what we've got in that orange column there is a probably very sparse vector
[00:38:22.140 --> 00:38:28.980]   that represents this text down here with respect to our vocabulary.
[00:38:29.260 --> 00:38:38.500]   So this is a lot like term-based, uh, work of old, right?
[00:38:38.500 --> 00:38:41.320]   This is a lot like a TF-IDF representation,
[00:38:41.320 --> 00:38:43.420]   except it was done in the neural space.
[00:38:43.420 --> 00:38:48.180]   So we should get the advantages of being with a semantic model.
[00:38:48.180 --> 00:38:52.580]   And then the similarity value is just the SPLADE representation,
[00:38:52.580 --> 00:38:57.820]   that is this representation here for the query dot product with the document.
[00:38:57.820 --> 00:39:02.100]   And the loss is the one that we've been using all along.
[00:39:02.100 --> 00:39:11.140]   So just to be clear, so you do the SPLADE process both with the query and with the document.
[00:39:11.140 --> 00:39:12.940]   And then, okay, cool.
[00:39:12.940 --> 00:39:15.980]   Yeah, that's it. There's a bunch of- it looks similar in my document.
[00:39:15.980 --> 00:39:17.660]   This is great. Let me review what you just said.
[00:39:17.660 --> 00:39:18.860]   There's a bunch of new things.
[00:39:18.860 --> 00:39:22.900]   Sequence, not query or document because we do this for both kinds.
[00:39:22.900 --> 00:39:26.180]   And of course, we can do all the documents ahead of time.
[00:39:26.180 --> 00:39:31.140]   The big twist is that we're scoring these sequences with respect to the vocabulary.
[00:39:31.140 --> 00:39:36.020]   And we are essentially getting in semantic space because this is an embedding space here,
[00:39:36.020 --> 00:39:38.500]   and this is a contextual embedding space here,
[00:39:38.500 --> 00:39:44.180]   scores for each query term with respect to the whole vocabulary.
[00:39:44.180 --> 00:39:45.940]   That gives us this big,
[00:39:45.940 --> 00:39:47.980]   presumably pretty sparse vector,
[00:39:47.980 --> 00:39:51.300]   and their optimization further encourages sparsity.
[00:39:51.300 --> 00:39:56.580]   And then the similarity value is the dot product of those for queries and for documents.
[00:39:56.580 --> 00:39:59.860]   So it has some hallmarks of late interaction,
[00:39:59.860 --> 00:40:05.220]   except it is interacting the text representations with the vocabulary,
[00:40:05.220 --> 00:40:08.300]   kind of like what you get with TF-IDF.
[00:40:08.300 --> 00:40:12.020]   And this model is outstanding.
[00:40:12.020 --> 00:40:16.860]   You saw it in some of my doc- of my slides before, very impressive.
[00:40:16.860 --> 00:40:21.060]   And it's also a new way of thinking, which I really like.
[00:40:21.820 --> 00:40:24.780]   Here's a bunch of more recent developments,
[00:40:24.780 --> 00:40:26.620]   and one theme of them, I won't go through them,
[00:40:26.620 --> 00:40:31.780]   is just that people are working hard finally on making these models more efficient.
[00:40:31.780 --> 00:40:35.420]   So a big theme of this is not just obsession with accuracy,
[00:40:35.420 --> 00:40:39.620]   but also obsession with especially latency.
[00:40:39.620 --> 00:40:43.300]   And then finally, for that paper that I mentioned before,
[00:40:43.300 --> 00:40:48.140]   we did a bunch of systematic investigations of different approaches.
[00:40:48.140 --> 00:40:50.780]   You can see BM25, DPR, Colbert,
[00:40:50.780 --> 00:40:52.540]   and some splayed models here.
[00:40:52.540 --> 00:40:54.580]   And these are all kind of variants of
[00:40:54.580 --> 00:40:57.580]   these models where people have worked hard to optimize them.
[00:40:57.580 --> 00:41:00.060]   There's lots of tables like this in the paper.
[00:41:00.060 --> 00:41:02.080]   Let me just draw out a few comparisons.
[00:41:02.080 --> 00:41:07.720]   BM25 is the only solution that could run on this tiny hardware here.
[00:41:07.720 --> 00:41:09.900]   We couldn't even run the other systems.
[00:41:09.900 --> 00:41:12.580]   That's why it's alone in its own little block there.
[00:41:12.580 --> 00:41:15.260]   And it costs nothing.
[00:41:15.260 --> 00:41:18.300]   Right. But it's not that successful either.
[00:41:18.300 --> 00:41:21.060]   Success at 10 is low relative to the rest.
[00:41:21.060 --> 00:41:22.700]   When we move here,
[00:41:22.700 --> 00:41:24.260]   this is sort of interesting.
[00:41:24.260 --> 00:41:26.500]   These two Colbert models,
[00:41:26.500 --> 00:41:29.260]   uh, achieve very similar performance.
[00:41:29.260 --> 00:41:30.900]   If you look all the way to the right,
[00:41:30.900 --> 00:41:36.900]   except one of them is double the latency of the other one for this hardware.
[00:41:36.900 --> 00:41:42.300]   And so you might wonder, do I really need this extra point of performance?
