
[00:00:00.000 --> 00:00:01.560]   I abandoned social media,
[00:15:58.200 --> 00:16:00.720]   and be a digital media, whatever.
[00:16:00.720 --> 00:16:03.720]   And if that doesn't happen, then you're kinda lost.
[00:16:03.720 --> 00:16:06.400]   So you figure out what you wanna do.
[00:16:06.400 --> 00:16:07.360]   You put yourself out there.
[00:16:07.360 --> 00:16:08.920]   Hey, can I come do this for you?
[00:16:08.920 --> 00:16:11.120]   And either they say yes,
[00:16:11.120 --> 00:16:13.000]   and you're happy, or they say no,
[00:16:13.000 --> 00:16:16.040]   and then you really could end up in a hard situation.
[00:16:16.040 --> 00:16:19.520]   What's the alternative model to think about this?
[00:16:19.520 --> 00:16:20.640]   Well, it's the model from my book,
[00:16:20.640 --> 00:16:21.600]   "So Good They Can't Ignore You,"
[00:16:21.600 --> 00:16:24.280]   which is based on career capital.
[00:16:24.280 --> 00:16:28.800]   It says the whole job industry, the whole job market,
[00:16:28.800 --> 00:16:30.680]   it's all about what do you have to offer
[00:16:30.680 --> 00:16:32.120]   specifically that's valuable.
[00:16:32.120 --> 00:16:35.000]   And the collection of your rare and valuable skills,
[00:16:35.000 --> 00:16:37.480]   your skills that are rare and valuable to the market
[00:16:37.480 --> 00:16:39.080]   in general is what we call career capital.
[00:16:39.080 --> 00:16:40.240]   The more of it you have,
[00:16:40.240 --> 00:16:42.560]   the more opportunities and leverage you have.
[00:16:42.560 --> 00:16:43.720]   And therefore, the whole game,
[00:16:43.720 --> 00:16:45.360]   especially right out of college,
[00:16:45.360 --> 00:16:48.600]   is building career capital as quickly as possible.
[00:16:48.600 --> 00:16:50.120]   It changes the way you think about things,
[00:16:50.120 --> 00:16:52.440]   because especially when you're young,
[00:16:52.440 --> 00:16:56.040]   you're not focused on what do I want my job to do for me?
[00:16:56.040 --> 00:16:57.200]   All right, I found this would be,
[00:16:57.200 --> 00:16:58.600]   this job has all the things I want.
[00:16:58.600 --> 00:17:00.160]   I hope they select me.
[00:17:00.160 --> 00:17:01.240]   And instead turns it around and say,
[00:17:01.240 --> 00:17:03.720]   what can I offer to the jobs?
[00:17:03.720 --> 00:17:06.120]   Well, not much yet because I'm new.
[00:17:06.120 --> 00:17:07.760]   So let me get my foot in the door somewhere
[00:17:07.760 --> 00:17:11.720]   and aggressively build up rare and valuable skills.
[00:17:11.720 --> 00:17:15.400]   This is the only way I have to take control over my career
[00:17:15.400 --> 00:17:17.520]   is to be good at things that people need.
[00:17:17.520 --> 00:17:19.040]   Now I can start to dictate.
[00:17:19.040 --> 00:17:21.320]   I want this position instead of that.
[00:17:21.320 --> 00:17:23.040]   I don't wanna do this work, I wanna do that work.
[00:17:23.040 --> 00:17:24.120]   I wanna be remote.
[00:17:24.120 --> 00:17:25.680]   I'm taking the summers off.
[00:17:25.680 --> 00:17:26.600]   I wanna make a lot of money.
[00:17:26.600 --> 00:17:28.160]   I wanna live in the city.
[00:17:28.160 --> 00:17:31.960]   You get more and more autonomy and control of your career,
[00:17:31.960 --> 00:17:33.560]   the more valuable you're making yourself.
[00:17:33.560 --> 00:17:34.640]   And when you have this mindset,
[00:17:34.640 --> 00:17:36.840]   it changes the way you approach your day-to-day jobs
[00:17:36.840 --> 00:17:39.120]   because you approach the jobs from the standpoint
[00:17:39.120 --> 00:17:43.240]   of a musician who's trying to get to the first chair
[00:17:43.240 --> 00:17:45.000]   in the symphony, practice.
[00:17:45.000 --> 00:17:46.120]   How do I get better?
[00:17:46.120 --> 00:17:46.960]   What am I not good at?
[00:17:46.960 --> 00:17:49.040]   How do I get better at that thing?
[00:17:49.040 --> 00:17:49.880]   Now, especially when you're young,
[00:17:49.880 --> 00:17:50.960]   you don't have as much going on.
[00:17:50.960 --> 00:17:52.040]   You have the time and energy
[00:17:52.040 --> 00:17:54.400]   to actually do this career capital development.
[00:17:54.400 --> 00:17:57.160]   When you don't have this mindset,
[00:17:57.160 --> 00:17:59.280]   when you have the mindset of I wanna get chosen
[00:17:59.280 --> 00:18:00.600]   for the job that's meant for me,
[00:18:00.600 --> 00:18:02.480]   it can lead to a lot of these type of traps.
[00:18:02.480 --> 00:18:05.360]   And there's a lot of, I think, bad luck
[00:18:05.360 --> 00:18:06.600]   and unfortunate circumstances
[00:18:06.600 --> 00:18:08.320]   that happened in the story as well.
[00:18:08.320 --> 00:18:10.280]   But there was also, I think,
[00:18:10.280 --> 00:18:13.400]   some mindset unforced errors, right?
[00:18:13.400 --> 00:18:15.520]   So for example, when she didn't get chosen
[00:18:16.560 --> 00:18:18.840]   for the kind of dream digital media job
[00:18:18.840 --> 00:18:20.880]   that her internship had prepared her for,
[00:18:20.880 --> 00:18:24.080]   what did she say her only other option was,
[00:18:24.080 --> 00:18:26.080]   was just to go back to retail.
[00:18:26.080 --> 00:18:29.240]   As opposed to say, well, I have a college degree
[00:18:29.240 --> 00:18:31.120]   and these other types of things.
[00:18:31.120 --> 00:18:34.640]   There's gotta be somewhere I can get in my foot in the door
[00:18:34.640 --> 00:18:37.360]   and start building up the skills really fast
[00:18:37.360 --> 00:18:38.560]   to then take more control.
[00:18:38.560 --> 00:18:40.720]   Oh, it's gonna take five years of building up skills
[00:18:40.720 --> 00:18:41.560]   to take control.
[00:18:41.560 --> 00:18:44.280]   So I don't need to be in the digital media department
[00:18:44.280 --> 00:18:45.120]   of this place.
[00:18:45.120 --> 00:18:45.960]   I just need to get in somewhere
[00:18:45.960 --> 00:18:46.800]   and start building up skills.
[00:18:46.800 --> 00:18:47.920]   I can move my way over there, right?
[00:18:47.920 --> 00:18:49.520]   So when you get rid of the,
[00:18:49.520 --> 00:18:53.040]   if it's not my dream job, then why bother?
[00:18:53.040 --> 00:18:54.680]   I should just sort of go back and work at retail.
[00:18:54.680 --> 00:18:56.640]   That's maybe an unforced error you wouldn't make
[00:18:56.640 --> 00:18:58.520]   if there was career capital thinking.
[00:18:58.520 --> 00:19:00.480]   It also just affects how you approach your work
[00:19:00.480 --> 00:19:02.160]   when you think about accumulating skills
[00:19:02.160 --> 00:19:04.560]   versus just, do I like this job?
[00:19:04.560 --> 00:19:06.160]   Yeah, I like this job, but maybe not.
[00:19:06.160 --> 00:19:07.400]   When you're just thinking about the job
[00:19:07.400 --> 00:19:08.720]   and if it's what you want,
[00:19:08.720 --> 00:19:12.400]   you're not building up aggressively your value
[00:19:12.400 --> 00:19:14.800]   to the organization, you're vulnerable.
[00:19:14.800 --> 00:19:16.960]   And then when the downsizing happens,
[00:19:16.960 --> 00:19:19.320]   you might be closer to the choppy block
[00:19:19.320 --> 00:19:20.360]   because they don't point you and say,
[00:19:20.360 --> 00:19:23.920]   well, she does this for us that no one else does.
[00:19:23.920 --> 00:19:25.720]   She's invaluable over here or there.
[00:19:25.720 --> 00:19:27.480]   Of course, she's not gonna be the one we let go.
[00:19:27.480 --> 00:19:30.360]   So there's a mindset change that could help.
[00:19:30.360 --> 00:19:33.360]   Now, of course, the whole problem with all of this
[00:19:33.360 --> 00:19:36.240]   is it's not the difficulty of doing this
[00:19:36.240 --> 00:19:37.560]   is not evenly distributed.
[00:19:37.560 --> 00:19:40.560]   For some people, a career capital mindset
[00:19:40.560 --> 00:19:42.520]   is gonna come much easier.
[00:19:42.520 --> 00:19:44.840]   They have many more opportunities to do it
[00:19:44.840 --> 00:19:46.200]   just because of who they are
[00:19:46.200 --> 00:19:47.840]   or the opportunities or connections they have.
[00:19:47.840 --> 00:19:50.760]   It's not a fairly distributed system,
[00:19:50.760 --> 00:19:55.760]   but it still seems to be the way the job market works,
[00:19:55.760 --> 00:19:59.080]   even if it works differently for different people.
[00:19:59.080 --> 00:20:00.480]   So we shouldn't let our frustration
[00:20:00.480 --> 00:20:02.440]   with this system is not fair,
[00:20:02.440 --> 00:20:05.400]   hide the reality of how the system works,
[00:20:05.400 --> 00:20:06.600]   which is it's a market.
[00:20:06.600 --> 00:20:08.680]   Skill is what matters.
[00:20:08.680 --> 00:20:10.600]   Building skill is the way to think about it.
[00:20:10.600 --> 00:20:11.720]   Hey, if you liked this video,
[00:20:11.720 --> 00:20:14.340]   I think you'll really like this one as well.

