
[00:00:00.040 --> 00:00:09.300]  remo
[00:27:38.720 --> 00:27:38.720]   I think of my son and my daughter at 15 or 20 years old and I pretend that I'm dead at 15 or 20. Big car accident, I'm dead and I'm gone. And I think, how can I put together a curriculum, an educational program, a university of sorts that will teach them what to do about money? That's my personal motivation. That's my personal driving factor. And that's what I'm endeavoring to build for you. I've found this program to be a great way to build your life.
[00:28:07.900 --> 00:28:09.900]   be
[00:28:09.900 --> 00:28:18.960]   it is had сем input,,,,,, en got or 10per Step signal
[00:28:18.960 --> 00:28:37.220]   closer the
[00:28:37.360 --> 00:28:47.820]   Not
[00:28:47.820 --> 00:28:48.500]   in all Starting
[00:28:48.500 --> 00:28:51.640]   because, , , ,,月.nent.ない. del local.��.
[00:28:51.640 --> 00:29:06.780]   they is a
[00:29:07.220 --> 00:29:12.000]   But for the next four weeks, registration is going to be open.
[00:29:12.000 --> 00:29:15.000]   Today is May 9, 2018.
[00:29:15.000 --> 00:29:20.420]   Registration will close on June 6, 2018.
[00:29:20.420 --> 00:29:24.720]   So for the next four weeks, this particular course will be open.
[00:29:24.720 --> 00:29:30.700]   There are a total of, currently, 104 modules in the course.
[00:29:30.700 --> 00:29:32.900]   It is loosely organized.
[00:29:32.900 --> 00:29:34.440]   Let me rephrase that.
[00:29:34.440 --> 00:29:37.060]   It's tightly organized around the things that are going to be in the course.
[00:29:37.060 --> 00:29:37.080]   The things that are going to be in the course.
[00:29:37.080 --> 00:29:37.220]   The things that are going to be in the course.
[00:29:37.220 --> 00:29:37.220]   The things that are going to be in the course.
[00:29:37.220 --> 00:29:37.220]   The things that are going to be in the course.
[00:29:37.220 --> 00:29:37.220]   The things that are going to be in the course.
[00:29:37.220 --> 00:29:37.220]   The things that are going to be in the course.
[00:29:37.220 --> 00:29:37.220]   The things that are going to be in the course.
[00:29:37.220 --> 00:29:37.220]   The things that are going to be in the course.
[00:29:37.400 --> 00:30:07.240]   The things that are going to be in the course.
[00:30:07.240 --> 00:30:07.240]   The things that are going to be in the course.
[00:30:07.240 --> 00:30:07.240]   The things that are going to be in the course.
[00:30:07.240 --> 00:30:07.240]   The things that are going to be in the course.
[00:30:07.240 --> 00:30:07.240]   The things that are going to be in the course.
[00:30:07.240 --> 00:30:07.240]   The things that are going to be in the course.
[00:30:07.240 --> 00:30:07.240]   The things that are going to be in the course.
[00:30:07.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:30:37.260]   The things that are going to be in the course.
[00:30:37.260 --> 00:31:07.280]   The things that are going to be in the course.
[00:31:07.280 --> 00:31:07.280]   The things that are going to be in the course.
[00:31:07.280 --> 00:31:07.280]   The things that are going to be in the course.
[00:31:07.280 --> 00:31:07.280]   The things that are going to be in the course.
[00:31:07.280 --> 00:31:07.280]   The things that are going to be in the course.
[00:31:07.280 --> 00:31:07.280]   The things that are going to be in the course.
[00:31:07.280 --> 00:31:07.280]   The things that are going to be in the course.
[00:31:07.280 --> 00:31:07.280]   The things that are going to be in the course.
[00:31:07.280 --> 00:31:07.280]   The things that are going to be in the course.
[00:31:07.280 --> 00:31:07.280]   The things that are going to be in the course.
[00:31:07.280 --> 00:31:07.280]   The things that are going to be in the course.
[00:31:07.280 --> 00:31:07.280]   The things that are going to be in the course.
[00:31:07.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.300 --> 00:31:37.300]   The things that are going to be in the course.
[00:31:37.340 --> 00:32:07.320]   the things that are going to be in the course.
[00:32:07.320 --> 00:32:07.320]   The things that are going to be in the course.
[00:32:07.320 --> 00:32:07.320]   The things that are going to be in the course.
[00:32:07.320 --> 00:32:07.320]   The things that are going to be in the course.
[00:32:07.320 --> 00:32:07.320]   The things that are going to be in the course.
[00:32:07.320 --> 00:32:07.320]   The things that are going to be in the course.
[00:32:07.320 --> 00:32:07.320]   The things that are going to be in the course.
[00:32:07.320 --> 00:32:07.320]   The things that are going to be in the course.
[00:32:07.320 --> 00:32:07.320]   The things that are going to be in the course.
[00:32:07.320 --> 00:32:07.320]   The things that are going to be in the course.
[00:32:07.320 --> 00:32:07.320]   The things that are going to be in the course.
[00:32:07.320 --> 00:32:07.320]   The things that are going to be in the course.
[00:32:07.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:32:37.340]   The things that are going to be in the course.
[00:32:37.340 --> 00:33:07.360]   The things that are going to be in the course.
[00:33:07.360 --> 00:33:07.360]   The things that are going to be in the course.
[00:33:07.360 --> 00:33:07.360]   The things that are going to be in the course.
[00:33:07.360 --> 00:33:07.360]   The things that are going to be in the course.
[00:33:07.360 --> 00:33:07.360]   The things that are going to be in the course.
[00:33:07.360 --> 00:33:07.360]   The things that are going to be in the course.
[00:33:07.360 --> 00:33:07.360]   The things that are going to be in the course.
[00:33:07.360 --> 00:33:07.360]   The things that are going to be in the course.
[00:33:07.360 --> 00:33:07.360]   The things that are going to be in the course.
[00:33:07.360 --> 00:33:07.360]   The things that are going to be in the course.
[00:33:07.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:33:37.380]   The things that are going to be in the course.
[00:33:37.380 --> 00:34:07.400]   The things that are going to be in the course.
[00:34:07.400 --> 00:34:07.400]   The things that are going to be in the course.
[00:34:07.400 --> 00:34:07.400]   The things that are going to be in the course.
[00:34:07.400 --> 00:34:07.400]   The things that are going to be in the course.
[00:34:07.400 --> 00:34:07.400]   The things that are going to be in the course.
[00:34:07.400 --> 00:34:07.400]   The things that are going to be in the course.
[00:34:07.400 --> 00:34:07.400]   The things that are going to be in the course.
[00:34:07.400 --> 00:34:07.400]   The things that are going to be in the course.
[00:34:07.400 --> 00:34:07.400]   The things that are going to be in the course.
[00:34:07.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:34:37.420]   The things that are going to be in the course.
[00:34:37.420 --> 00:35:07.440]   The things that are going to be in the course.
[00:35:07.440 --> 00:35:07.440]   The things that are going to be in the course.
[00:35:07.440 --> 00:35:07.440]   The things that are going to be in the course.
[00:35:07.440 --> 00:35:07.440]   The things that are going to be in the course.
[00:35:07.440 --> 00:35:07.440]   The things that are going to be in the course.
[00:35:07.440 --> 00:35:07.440]   The things that are going to be in the course.
[00:35:07.440 --> 00:35:07.440]   The things that are going to be in the course.
[00:35:07.440 --> 00:35:07.440]   The things that are going to be in the course.
[00:35:07.480 --> 00:35:37.460]   hive.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:35:37.460]   The things that are going to be in the course.
[00:35:37.460 --> 00:36:07.480]   The things that are going to be in the course.
[00:36:07.480 --> 00:36:07.480]   The things that are going to be in the course.
[00:36:07.480 --> 00:36:07.480]   The things that are going to be in the course.
[00:36:07.480 --> 00:36:07.480]   The things that are going to be in the course.
[00:36:07.480 --> 00:36:07.480]   The things that are going to be in the course.
[00:36:07.480 --> 00:36:07.480]   The things that are going to be in the course.
[00:36:07.480 --> 00:36:07.480]   The things that are going to be in the course.
[00:36:07.480 --> 00:36:07.480]   The things that are going to be in the course.
[00:36:07.480 --> 00:36:07.480]   The things that are going to be in the course.
[00:36:07.480 --> 00:36:07.480]   The things that are going to be in the course.
[00:36:07.480 --> 00:36:07.480]   The things that are going to be in the course.
[00:36:07.500 --> 00:36:37.500]  ,
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:36:37.500]   The things that are going to be in the course.
[00:36:37.500 --> 00:37:07.520]   The things that are going to be in the course.
[00:37:07.520 --> 00:37:07.520]   The things that are going to be in the course.
[00:37:07.520 --> 00:37:07.520]   The things that are going to be in the course.
[00:37:07.520 --> 00:37:07.520]   The things that are going to be in the course.
[00:37:07.520 --> 00:37:07.520]   The things that are going to be in the course.
[00:37:07.520 --> 00:37:07.520]   The things that are going to be in the course.
[00:37:07.520 --> 00:37:07.520]   The things that are going to be in the course.
[00:37:07.520 --> 00:37:07.520]   The things that are going to be in the course.
[00:37:07.520 --> 00:37:07.520]   The things that are going to be in the course.
[00:37:07.520 --> 00:37:07.520]   The things that are going to be in the course.
[00:37:07.520 --> 00:37:07.520]   The things that are going to be in the course.
[00:37:07.540 --> 00:37:37.540]  ,
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:37:37.540]   The things that are going to be in the course.
[00:37:37.540 --> 00:38:07.560]   the things that are going to be in the course.
[00:38:07.560 --> 00:38:07.560]   The things that are going to be in the course.
[00:38:07.560 --> 00:38:07.560]   The things that are going to be in the course.
[00:38:07.560 --> 00:38:07.560]   The things that are going to be in the course.
[00:38:07.560 --> 00:38:07.560]   The things that are going to be in the course.
[00:38:07.560 --> 00:38:07.560]   The things that are going to be in the course.
[00:38:07.560 --> 00:38:07.560]   The things that are going to be in the course.
[00:38:07.560 --> 00:38:07.560]   The things that are going to be in the course.
[00:38:07.560 --> 00:38:07.560]   The things that are going to be in the course.
[00:38:07.560 --> 00:38:07.560]   The things that are going to be in the course.
[00:38:07.560 --> 00:38:07.560]   The things that are going to be in the course.
[00:38:07.560 --> 00:38:07.560]   The things that are going to be in the course.
[00:38:07.580 --> 00:38:37.580]   I'm going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:38:37.580]   The things that are going to be in the course.
[00:38:37.580 --> 00:39:07.600]   The things that are going to be in the course.

