
[00:00:00.000 --> 00:00:08.320]   Well, thank you.
[00:27:33.380 --> 00:27:41.980]   It gives us an opportunity to magnify Him by being more satisfied in Him than by all
[00:27:41.980 --> 00:27:45.740]   that life can offer us and all that death can take.
[00:27:45.740 --> 00:27:48.220]   I'm going to say that again.
[00:27:48.220 --> 00:27:53.660]   Suffering for Christ's sake gives us an opportunity to magnify Him by being more satisfied in
[00:27:53.660 --> 00:28:00.100]   Him by showing the world that He is more satisfying than all that life could offer and all that
[00:28:00.100 --> 00:28:02.700]   death can take.
[00:28:02.700 --> 00:28:09.100]   It's like the hymn says, "When all around my soul gives way, He then is all my hope
[00:28:09.100 --> 00:28:12.180]   and stay."
[00:28:12.180 --> 00:28:16.700]   And so one pastor writes, "If we hold fast to Him when all around our soul gives way,
[00:28:16.700 --> 00:28:24.180]   then we show that He is more to be desired than all that we have lost."
[00:28:24.180 --> 00:28:29.780]   And friends, magnifying Christ, showing that He is more to be desired than all that we
[00:28:29.780 --> 00:28:33.620]   could lose, that's what we were created to do.
[00:28:33.620 --> 00:28:39.020]   I don't care what your job is, you were created to show the world that there is no greater
[00:28:39.020 --> 00:28:44.140]   joy than making much of Jesus Christ.
[00:28:44.140 --> 00:28:49.580]   There is no greater joy than knowing Him and the fellowship of His sufferings and making
[00:28:49.580 --> 00:28:54.780]   Him known through our sufferings for His sake.
[00:28:54.780 --> 00:28:57.820]   It's a gift to suffer on behalf of Christ.
[00:28:57.820 --> 00:29:04.780]   It's a gracious gift of unmerited favor to be given the privilege of being prisms to
[00:29:04.780 --> 00:29:11.480]   reflect the glory and the sufficiency of Jesus to the world.
[00:29:11.480 --> 00:29:16.420]   But I'll take your treasure, oh, I've got a treasure you know nothing about.
[00:29:16.420 --> 00:29:22.780]   I'll take your family, my heavenly Father provides for all my needs and my elder brother
[00:29:22.780 --> 00:29:25.380]   sits on the throne of heaven.
[00:29:25.380 --> 00:29:30.860]   I'll take your children, maybe, but God would grant, if He is gracious, an opportunity for
[00:29:30.860 --> 00:29:36.820]   me to make spiritual children out of those that I might minister the gospel to.
[00:29:36.820 --> 00:29:39.100]   I'll take your very life, you can't do that.
[00:29:39.100 --> 00:29:42.340]   My life is hidden with Christ in God.
[00:29:42.340 --> 00:29:44.940]   I'm seated in the heavenly places already.
[00:29:44.940 --> 00:29:52.260]   You see, when nothing, when everything that the world values doesn't hold a candle to
[00:29:52.260 --> 00:29:58.500]   you and to your affections, but you say, "He is more to be desired than all those things,"
[00:29:58.500 --> 00:30:02.980]   we make Christ look great.
[00:30:02.980 --> 00:30:08.540]   That's why suffering is a gift, because what do you want in this life more than to make
[00:30:08.540 --> 00:30:10.140]   Christ look great?
[00:30:10.140 --> 00:30:22.500]   You, a sinner from the dung heap, from the mud pile, from the miry clay, you treasonous
[00:30:22.500 --> 00:30:32.380]   rebel, traitor to the King, whom He has graciously plucked out of the fire, you say, "I, me?
[00:30:32.380 --> 00:30:34.100]   I can make much of Jesus?
[00:30:34.100 --> 00:30:38.820]   My horrid little life could make much of Jesus?"
[00:30:38.820 --> 00:30:49.180]   Yeah, by the grace of God, it can, if indeed to you, to live is Christ and to die is gain.
[00:30:49.180 --> 00:30:53.100]   And so, when suffering and persecution come from those who would oppose Christ and His
[00:30:53.100 --> 00:30:58.180]   gospel, and when things get hard, and when it starts to hurt, and it threatens those
[00:30:58.180 --> 00:31:04.940]   things and those people whom you most treasure, don't try to save God from His sovereignty
[00:31:04.940 --> 00:31:10.780]   by thinking that those trials originate from someone other than your heavenly Father.
[00:31:10.780 --> 00:31:16.540]   Don't cut the legs out from under the theology of sovereign grace upon which you stand.
[00:31:16.540 --> 00:31:23.660]   You would destroy the very comfort that you seek if you did that.
[00:31:23.660 --> 00:31:29.180]   Another great hymn says, "Heavenly peace, divinest comfort, hereby faith in Him to dwell,
[00:31:29.180 --> 00:31:35.780]   for I know whatever befall me, Jesus doeth all things well."
[00:31:35.780 --> 00:31:39.560]   Where do heavenly peace and divine comfort come from?
[00:31:39.560 --> 00:31:46.400]   From the knowledge that whatever happens, Jesus, the sovereign Lord, is doing all things
[00:31:46.400 --> 00:31:49.520]   well.
[00:31:49.520 --> 00:31:53.960]   So don't try to save God from His sovereignty and in the same breath steal your heavenly
[00:31:53.960 --> 00:31:56.120]   peace and divinest comfort.
[00:31:56.120 --> 00:32:03.420]   Instead, count that suffering as a gracious gift from the loving hand of your Father.
[00:32:03.420 --> 00:32:08.520]   Then you would suffer in a manner worthy of the gospel.
[00:32:08.520 --> 00:32:12.160]   Suffering for Christ's sake is a mark of Christian identity, and it's a gift of divine
[00:32:12.160 --> 00:32:13.160]   grace.
[00:32:13.160 --> 00:32:17.840]   The third truth about Christian suffering is that Paul teaches us, or that Paul teaches
[00:32:17.840 --> 00:32:22.520]   us in this text, is that it is endured for Christ's sake.
[00:32:22.520 --> 00:32:27.480]   It is endured for Christ's sake, and you can flip back to Philippians 1 and read verse
[00:32:27.480 --> 00:32:29.120]   29 with me again.
[00:32:29.120 --> 00:32:33.800]   You've heard the repeated emphasis as I've said it over and over again, "For to you it
[00:32:33.800 --> 00:32:40.240]   has been granted for Christ's sake, not only to believe in Him but also to suffer for His
[00:32:40.240 --> 00:32:42.360]   sake."
[00:32:42.360 --> 00:32:45.800]   Paul does not want to be misunderstood, he repeats it.
[00:32:45.800 --> 00:32:49.840]   And so all the suffering we've been talking about this afternoon is the hostility believers
[00:32:49.840 --> 00:32:55.780]   face, particularly as a result of opposition to the gospel.
[00:32:55.780 --> 00:33:00.600]   This is persecution in the proper sense, the more narrow sense.
[00:33:00.600 --> 00:33:04.240]   One commentator puts it helpfully when he says, "The suffering in view here is not everyday
[00:33:04.240 --> 00:33:06.340]   headaches and heartaches.
[00:33:06.340 --> 00:33:10.920]   Suffering on behalf of Christ is caused by public identification with Christ in a world
[00:33:10.920 --> 00:33:14.360]   hostile to Christ."
[00:33:14.360 --> 00:33:19.600]   Now the Bible has glorious truths and promises about how we are to respond righteously to
[00:33:19.600 --> 00:33:23.180]   the everyday headaches and heartaches, for sure.
[00:33:23.180 --> 00:33:28.360]   And certainly the truths we've observed already can be carefully and legitimately applied
[00:33:28.360 --> 00:33:30.220]   to those circumstances.
[00:33:30.220 --> 00:33:35.440]   But the suffering that is in view in this text and in much of the New Testament is suffering
[00:33:35.440 --> 00:33:38.440]   that is endured on behalf of Christ.
[00:33:38.440 --> 00:33:43.080]   And you hear this emphasis everywhere, Matthew 5, 10 and 11, "Blessed are those who have
[00:33:43.080 --> 00:33:48.600]   been persecuted for the sake of righteousness, for theirs is the kingdom of heaven.
[00:33:48.600 --> 00:33:53.000]   Blessed are you when people insult you and persecute you and falsely say all kinds of
[00:33:53.000 --> 00:33:57.600]   evil against you because of me."
[00:33:57.600 --> 00:34:02.020]   Mark 10, 29, "Truly I say to you, there's no one who's left his house or brothers or
[00:34:02.020 --> 00:34:09.080]   sisters or mother or father or children or farms for my sake and for the gospel's sake,
[00:34:09.080 --> 00:34:12.340]   but that he will receive a hundred times."
[00:34:12.340 --> 00:34:18.360]   And one we've come back to a couple times, 1 Peter 4, 12 to 16, "Don't be surprised as
[00:34:18.360 --> 00:34:22.780]   if something strange were happening to you, but to the degree that you share the sufferings
[00:34:22.780 --> 00:34:26.140]   of Christ, keep on rejoicing.
[00:34:26.140 --> 00:34:30.560]   If you're reviled for the name of Christ, you are blessed because the spirit of glory
[00:34:30.560 --> 00:34:32.200]   and of God rests on you.
[00:34:32.200 --> 00:34:38.000]   Make sure that none of you suffers as a murderer or thief or evildoer or a troublesome meddler.
[00:34:38.000 --> 00:34:44.200]   But if anyone suffers as a Christian, he is not to be ashamed, but is to glorify God in
[00:34:44.200 --> 00:34:45.200]   this name."
[00:34:45.200 --> 00:34:50.180]   And so when I say that we need to shine as lights in a dark world, I don't simply mean
[00:34:50.180 --> 00:34:56.420]   that we need to "live differently" in some sort of general sense.
[00:34:56.420 --> 00:35:02.200]   You cannot legitimately claim these promises of comfort for suffering for the sake of a
[00:35:02.200 --> 00:35:08.040]   generic morality that holds doors and pulls out chairs and doesn't use foul language and
[00:35:08.040 --> 00:35:10.680]   is generally respectful of people.
[00:35:10.680 --> 00:35:17.420]   On a horizontal level, even enemies of the truth can be polite and respectable people.
[00:35:17.420 --> 00:35:24.700]   But Paul is calling us to the kind of suffering that happens on behalf of Christ.
[00:35:24.700 --> 00:35:29.780]   And when I say that we need to eschew this kind of convenient Christianity that provokes
[00:35:29.780 --> 00:35:36.060]   no hostility, I don't mean that provoking hostility in and of itself is a virtue.
[00:35:36.060 --> 00:35:41.680]   If you suffer hostility because you're belligerent and annoying, or if you stick out from the
[00:35:41.680 --> 00:35:46.820]   world just because you're a strange person, that's not Christian suffering.
[00:35:46.820 --> 00:35:51.340]   One preacher said, "This is not a Christian kookishness that counts it the highest virtue
[00:35:51.340 --> 00:35:53.740]   to go around disturbing people by being different."
[00:35:53.740 --> 00:36:01.220]   No, this is suffering particularly and specifically as a result of our attachment to and likeness
[00:36:01.220 --> 00:36:05.220]   and commitment to Christ.
[00:36:05.220 --> 00:36:08.940]   And so our suffering is to be endured for Christ's sake.
[00:36:08.940 --> 00:36:13.060]   And I would say that that gives us strength to endure the trials that are coming.
[00:36:13.060 --> 00:36:20.180]   Because friends, I ask you, is there anything that you cannot endure for His sake?
[00:36:20.180 --> 00:36:25.540]   For the sake of the innocent Lamb of God who bore the unfettered wrath of His own dear
[00:36:25.540 --> 00:36:34.500]   Father on the cross so that impure, unholy, treasonous rebels like you and me could be
[00:36:34.500 --> 00:36:43.020]   purified and reconciled as friends and seated around the table of the King of all kings?
[00:36:43.020 --> 00:36:46.380]   To bear reproach for His sake?
[00:36:46.380 --> 00:36:54.140]   That's no trouble for me, not when He's borne so much reproach for my sake.
[00:36:54.140 --> 00:37:02.540]   What are the frowns of a few fellow mortals if we can see His smile, if we can know Him,
[00:37:02.540 --> 00:37:08.860]   if we can walk more closely and more intimately with the Savior who is the apple of our eye,
[00:37:08.860 --> 00:37:15.260]   who is at the very bottom, the very bedrock foundation of our joy and comfort?
[00:37:15.260 --> 00:37:22.780]   Surely we can endure suffering for His sake.
[00:37:22.780 --> 00:37:28.020]   And then number four, the fourth truth about Christian suffering that will prepare us to
[00:37:28.020 --> 00:37:34.660]   suffer in a manner worthy of the gospel is that suffering is a means of sweet fellowship.
[00:37:34.660 --> 00:37:37.080]   Suffering is a means of sweet fellowship.
[00:37:37.080 --> 00:37:39.120]   Look with me at verse 30.
[00:37:39.120 --> 00:37:46.460]   It's granted to you to suffer, experiencing the same conflict which you saw in me and
[00:37:46.460 --> 00:37:50.860]   now hear to be in me.
[00:37:50.860 --> 00:37:56.100]   And what we see here in verse 30 is what one writer calls a masterful stroke of pastoral
[00:37:56.100 --> 00:37:59.420]   comfort on the part of the Apostle Paul.
[00:37:59.420 --> 00:38:03.980]   The Philippians would remember, like it was yesterday, the beatings and the imprisonment
[00:38:03.980 --> 00:38:07.020]   that Paul suffered at the hands of the crowds in Philippi.
[00:38:07.020 --> 00:38:09.940]   It's recorded in Acts chapter 16.
[00:38:09.940 --> 00:38:15.640]   And now they're hearing of his resolute fearlessness in the midst of his sufferings, his resolve
[00:38:15.640 --> 00:38:22.940]   to magnify Christ whether by life or by death, verse 19 of chapter 1, or verse 19 and 20.
[00:38:22.940 --> 00:38:27.700]   And he's preaching the gospel unto the conversion of many even in the praetorian guard into
[00:38:27.700 --> 00:38:31.980]   Caesar's own household, Philippians 1, 12 to 18.
[00:38:31.980 --> 00:38:37.300]   They hear of the sufferings and they think of all that Paul's endured for the sake of
[00:38:37.300 --> 00:38:38.740]   the gospel.
[00:38:38.740 --> 00:38:44.980]   And you realize they came to regard him like we regard him, right, as a hero.
[00:38:44.980 --> 00:38:52.360]   And Paul is saying, you're now experiencing that very same thing.
[00:38:52.360 --> 00:38:55.460]   We are brothers in arms.
[00:38:55.460 --> 00:38:59.740]   And the Philippians would have been thrilled to hear that because there is a sweet fellowship
[00:38:59.740 --> 00:39:05.420]   that exists between brothers and sisters who suffer together for the cause of Christ.
[00:39:05.420 --> 00:39:11.140]   And knowing that Paul regarded them as having the same kind of fellowship with him would
[00:39:11.140 --> 00:39:14.540]   have strengthened their hands to stand firm.
[00:39:14.540 --> 00:39:20.000]   It would have strengthened them to continue striving together to be courageous and undaunted,
[00:39:20.000 --> 00:39:24.260]   no way alarmed by the opposition.
[00:39:24.260 --> 00:39:27.260]   And I think it should be no different for us.
[00:39:27.260 --> 00:39:34.900]   We should be enticed to a resolute fearlessness in the face of opposition by knowing that
[00:39:34.900 --> 00:39:40.220]   suffering on behalf of Christ is a means of sweet fellowship with all of our brothers
[00:39:40.220 --> 00:39:45.220]   and sisters throughout the ages, all the faithful soldiers of Jesus Christ who have gone before
[00:39:45.220 --> 00:39:51.340]   us, who have been despised and forsaken by the world, men like Justin Martyr, and Polycarp
[00:39:51.340 --> 00:39:57.260]   of Smyrna, and Ignatius of Antioch, and William Tyndale, and John Huss, and Martin Luther,
[00:39:57.260 --> 00:40:03.900]   and John Rogers, and Hugh Latimer, and Nicholas Ridley, and John Knox, all of these and thousands
[00:40:03.900 --> 00:40:10.540]   of others of whom the world was not worthy, who loved not their lives even unto death,
[00:40:10.540 --> 00:40:17.460]   they are our brothers in arms, our band of brothers.
[00:40:17.460 --> 00:40:20.540]   And more than that, suffering is not just a means of sweet fellowship with them, with
[00:40:20.540 --> 00:40:24.420]   other believers, but with the Apostle Paul himself.
[00:40:24.420 --> 00:40:28.380]   This is a man who laid down his life to travel the known world, who endured all manner of
[00:40:28.380 --> 00:40:33.220]   hostility, who wrote half the New Testament, and who's a spiritual hero to every Christian
[00:40:33.220 --> 00:40:35.460]   who's ever lived.
[00:40:35.460 --> 00:40:44.620]   He can lay down our lives for the same gospel mission that he suffered for.
[00:40:44.620 --> 00:40:50.020]   And Matthew, I want to know, don't you want your life to count for something?
[00:40:50.020 --> 00:40:51.700]   Of course you do.
[00:40:51.700 --> 00:40:55.900]   Don't you want to live so that you don't waste the years that you've been given?
[00:40:55.900 --> 00:40:56.940]   Of course you do.
[00:40:56.940 --> 00:41:02.800]   Don't you want to invest yourselves and to spend and be spent for something that is truly
[00:41:02.800 --> 00:41:08.060]   worthwhile and meaningful, something that will outlast this earth, where moth and rust
[00:41:08.060 --> 00:41:10.820]   destroy and where thieves break in and steal?
[00:41:10.820 --> 00:41:15.780]   I mean, talk about being part of something that's bigger than yourself.
[00:41:15.780 --> 00:41:22.140]   We can be engaged in the very same conflict that the Apostle Paul himself was engaged
[00:41:22.140 --> 00:41:27.940]   in, provided we are willing, as he was, to lay down our lives, to live in a manner worthy
[00:41:27.940 --> 00:41:33.060]   of the gospel in a way that cuts straight across the grain of the world that we live
[00:41:33.060 --> 00:41:35.860]   in.
[00:41:35.860 --> 00:41:38.300]   But it gets better even than that.
[00:41:38.300 --> 00:41:43.200]   The suffering that you experience for Christ's sake is not only providing you with the opportunity
[00:41:43.200 --> 00:41:47.300]   for unique and intimate fellowship with other soldiers of Christ.
[00:41:47.300 --> 00:41:51.180]   It also provides you with the opportunity for unique and intimate fellowship with Christ
[00:41:51.180 --> 00:41:52.180]   himself.
[00:41:52.180 --> 00:41:59.620]   See, when we become willing to follow in the footsteps of Jesus, to preach his gospel,
[00:41:59.620 --> 00:42:05.740]   to walk in holiness as he walked, we will provoke the same hostility from sinners that
[00:42:05.740 --> 00:42:09.200]   he provoked.
[00:42:09.200 --> 00:42:13.580]   And in counting so many times people say, you know, we were just nice and we were just
[00:42:13.580 --> 00:42:19.100]   loving, and if we were just gentle, you know, like Jesus was, the world would like us, and
[00:42:19.100 --> 00:42:20.100]   then they would listen to the gospel.
[00:42:20.100 --> 00:42:23.060]   It's like, guys, they killed Jesus.
[00:42:23.060 --> 00:42:27.740]   He was the nicest, gentlest, most, you know, respectful man that ever lived.
[00:42:27.740 --> 00:42:31.620]   He was sinless and perfect, and they still killed him, and you think you're going to
[00:42:31.620 --> 00:42:37.980]   win them over by your winning smile and cunning charm?
[00:42:37.980 --> 00:42:40.580]   They killed him.
[00:42:40.580 --> 00:42:46.420]   But you see, as we count Christ more satisfying than all that life can offer and all that
[00:42:46.420 --> 00:42:53.740]   death can take, we suffer for the same cause of righteousness as the Lord himself, the
[00:42:53.740 --> 00:42:56.580]   creator and king of the universe.
[00:42:56.580 --> 00:42:59.420]   That's a fellowship that the world knows nothing about.
[00:42:59.420 --> 00:43:04.420]   That's what Paul means, Philippians 3.10, to know the fellowship of his sufferings.
[00:43:04.420 --> 00:43:05.980]   It means a camaraderie.
[00:43:05.980 --> 00:43:10.720]   It means an intimacy that we can have with our Savior by sharing in the sufferings that
[00:43:10.720 --> 00:43:13.060]   he experienced.
[00:43:13.060 --> 00:43:19.980]   And that should be an enormous amount of fuel to lay down our safe and comfortable lives
[00:43:19.980 --> 00:43:24.260]   and to lose our lives for Christ's sake and the gospel's sake.
[00:43:24.260 --> 00:43:32.180]   It is worth enduring all manner of hostility if we get to know him more intimately because
[00:43:32.180 --> 00:43:37.700]   of that hostility, if we get to see more of him in ways that we wouldn't otherwise know
[00:43:37.700 --> 00:43:41.100]   if we kept ourselves in the safety of our Christian bubble.
[00:43:41.100 --> 00:43:49.140]   Nice, polite, respectable, but are you willing to lay down your life for Christ, not just
[00:43:49.140 --> 00:43:53.380]   to die for him, but to lay down your life living for him?
[00:43:53.380 --> 00:44:00.180]   Are you willing to go to him and bear his reproach?
[00:44:00.180 --> 00:44:03.940]   Turn with me to Hebrews 13, we'll end here.
[00:44:03.940 --> 00:44:05.900]   Hebrews chapter 13, verse 11.
[00:44:05.900 --> 00:44:10.660]   All throughout the book of Hebrews, the writer draws parallels between the Old Testament
[00:44:10.660 --> 00:44:14.980]   sacrifices and the Lord Jesus Christ as the perfect sacrifice.
[00:44:14.980 --> 00:44:20.420]   In chapter 13, verses 11 and 12, he makes the point that just as the sacrifices were
[00:44:20.420 --> 00:44:27.220]   burned outside the camp, signifying a place of uncleanness and shame that was cut off
[00:44:27.220 --> 00:44:35.700]   from the community of God's people, so also was Jesus sacrificed outside the camp of Israel
[00:44:35.700 --> 00:44:39.340]   in hostile territory.
[00:44:39.340 --> 00:44:42.700]   And then in verses 13 and 14, he gives the implications for the church.
[00:44:42.700 --> 00:44:48.500]   So Hebrews 13, verse 11, "For the bodies of those animals whose blood is brought into
[00:44:48.500 --> 00:44:55.100]   the holy place by the high priest as an offering for sin are burned outside the camp.
[00:44:55.100 --> 00:45:01.980]   Therefore, Jesus also, that he might sanctify the people through his own blood, suffered
[00:45:01.980 --> 00:45:04.900]   outside the gate."
[00:45:04.900 --> 00:45:14.220]   So let us go out to him, outside the camp, bearing his reproach.
[00:45:14.220 --> 00:45:15.540]   Why?
[00:45:15.540 --> 00:45:19.320]   For here, we do not have a lasting city.
[00:45:19.320 --> 00:45:22.500]   We are seeking the city which is to come.
[00:45:22.500 --> 00:45:29.540]   So you see, we are to leave the securities and the comforts of the camp and we are to
[00:45:29.540 --> 00:45:34.340]   go out and bear his reproach.
[00:45:34.340 --> 00:45:39.020]   The reproaches that have fallen on you have fallen on me.
[00:45:39.020 --> 00:45:43.460]   But the magnificent sweetness of this verse is that we don't simply go out, but that we
[00:45:43.460 --> 00:45:46.160]   go out to him.
[00:45:46.160 --> 00:45:49.980]   He is out there on that road of suffering.
[00:45:49.980 --> 00:45:56.100]   Jesus is out there waiting for you on that path of suffering endured for the sake of
[00:45:56.100 --> 00:45:57.100]   the gospel.
[00:45:57.100 --> 00:46:05.260]   And he is calling us to come and enjoy the sweetness of the fellowship of his sufferings.
[00:46:05.260 --> 00:46:10.860]   I can't say anything that would make it so that I might lose my job.
[00:46:10.860 --> 00:46:13.660]   I can't say that thing.
[00:46:13.660 --> 00:46:16.180]   I can't have that conversation.
[00:46:16.180 --> 00:46:17.740]   Why?
[00:46:17.740 --> 00:46:21.900]   Because then I'd be on a road that leads me to the unemployment line.
[00:46:21.900 --> 00:46:22.900]   You know what?
[00:46:22.900 --> 00:46:25.380]   Jesus is on that road.
[00:46:25.380 --> 00:46:32.820]   If endured, if suffered for his sake truly, and not as an evildoer or a troublesome meddler,
[00:46:32.820 --> 00:46:39.660]   he's on the road of suffering and he's already walked it.
[00:46:39.660 --> 00:46:46.020]   The 19th century London pastor Charles Spurgeon, called the Prince of Preachers by so many,
[00:46:46.020 --> 00:46:52.980]   asked his congregation the question I ask you today, "Can you take the side of a despised
[00:46:52.980 --> 00:46:55.840]   Christ?
[00:46:55.840 --> 00:47:00.180]   Can you stand at his cross?
[00:47:00.180 --> 00:47:04.880]   Can you own him when the blood is dripping from his wounds, when everybody thrusts out
[00:47:04.880 --> 00:47:09.720]   his tongue at him and has ill words for the crucified one?
[00:47:09.720 --> 00:47:17.920]   Can you say, 'I love him still'?
[00:47:17.920 --> 00:47:24.880]   Can you say with the hymn writer, 'Go then, earthly fame and treasure, come disaster,
[00:47:24.880 --> 00:47:27.960]   scorn and pain?
[00:47:27.960 --> 00:47:31.720]   In thy service, pain is pleasure.
[00:47:31.720 --> 00:47:36.080]   With thy favor, loss is gain."
[00:47:36.080 --> 00:47:37.760]   With thy favor, loss is gain.
[00:47:37.760 --> 00:47:40.360]   To live is Christ and to die is gain.
[00:47:40.360 --> 00:47:46.800]   I count all things to be loss in view of the surpassing value of knowing Christ Jesus my
[00:47:46.800 --> 00:47:51.200]   Lord, for whom I've suffered the loss of all things and count them but rubbish so that
[00:47:51.200 --> 00:47:55.680]   I may gain Christ.
[00:47:55.680 --> 00:48:00.480]   May God grant that it would be true of all who sit here this afternoon.
[00:48:00.480 --> 00:48:03.200]   May God grant that it would be true of us.
[00:48:03.200 --> 00:48:05.320]   Let's pray.
[00:48:05.320 --> 00:48:11.560]   Father, would it be true, may it be true by the power of the Holy Spirit that you would
[00:48:11.560 --> 00:48:18.440]   seal to the hearts of your people this word that gives boldness, that breaks chains of
[00:48:18.440 --> 00:48:24.160]   cowardice, that frees unto fearlessness?
[00:48:24.160 --> 00:48:26.600]   We wouldn't go looking for suffering.
[00:48:26.600 --> 00:48:33.840]   We wouldn't go taunting the enemies of the gospel to cause us to suffer, not at all.
[00:48:33.840 --> 00:48:41.360]   But Lord, where faithfulness in this increasingly hostile world requires that we go out to Christ
[00:48:41.360 --> 00:48:46.600]   and bear His reproach on the road of suffering, I pray that you would give grace for us to
[00:48:46.600 --> 00:48:48.960]   walk out on that road.
[00:48:48.960 --> 00:48:56.200]   It may be that simply being faithful to you in the public square means that we don't have
[00:48:56.200 --> 00:49:02.880]   jobs, means that we have to find another way of supporting our family, means that we have
[00:49:02.880 --> 00:49:12.000]   exceptionally tough questions to answer, but it's worth it.
[00:49:12.000 --> 00:49:20.600]   None of what we have now is worth losing your favor.
[00:49:20.600 --> 00:49:25.520]   Nothing that they could offer us is as sweet as the fellowship of the sufferings of Christ.
[00:49:25.520 --> 00:49:26.760]   Help us to see that.
[00:49:26.760 --> 00:49:30.800]   Help us to believe it, not just in our minds but in our hearts.
[00:49:30.800 --> 00:49:37.560]   May it be that you cause us to walk so nearly with you that these things are...of course,
[00:49:37.560 --> 00:49:43.040]   these things are...yeah, the sight of Christ that I see in my morning devotions is sufficient
[00:49:43.040 --> 00:49:46.440]   to satisfy my heart for eternity.
[00:49:46.440 --> 00:49:50.000]   And so you couldn't get me to trade that for anything.
[00:49:50.000 --> 00:49:56.200]   Change us into such people who, when presented with sin, whether sins of compromise or any
[00:49:56.200 --> 00:50:03.720]   other sin, say, "What could you offer me that approaches the value of the blood of Christ
[00:50:03.720 --> 00:50:10.280]   shed in my place to free me from these very sins that you tempt me to?"
[00:50:10.280 --> 00:50:11.280]   It's madness.
[00:50:11.280 --> 00:50:12.280]   It's lunacy.
[00:50:12.280 --> 00:50:20.520]   And I pray that as these dear people go to work and interact with the people that you
[00:50:20.520 --> 00:50:25.080]   have sovereignly placed in their lives, that you would open their mouths, loosen their
[00:50:25.080 --> 00:50:32.800]   tongues, free them to be the ministers and witnesses to the truth that you have purchased
[00:50:32.800 --> 00:50:36.400]   for them to be by Christ's precious blood.
[00:50:36.400 --> 00:50:38.640]   Give them a holy joy.
[00:50:38.640 --> 00:50:46.200]   Protect them from rancor and anger at unrighteousness.
[00:50:46.200 --> 00:50:52.760]   Give them a boldness, but may it be a brokenhearted boldness that speaks the truth with tears
[00:50:52.760 --> 00:51:01.640]   in the eyes and calls with tears of joy to come and know the great Savior that has purchased
[00:51:01.640 --> 00:51:05.440]   our inheritance of a lasting city.
[00:51:05.440 --> 00:51:06.840]   Here we have no lasting city.
[00:51:06.840 --> 00:51:09.720]   We're seeking the city which is to come.
[00:51:09.720 --> 00:51:14.920]   Father, do in hearts what preachers cannot do and change your people for the glory of
[00:51:14.920 --> 00:51:16.960]   Christ, we pray in his name, amen.
[00:51:16.960 --> 00:51:17.960]   Amen.
[00:51:17.960 --> 00:51:18.960]   Amen.
[00:51:18.960 --> 00:51:18.960]   Amen.
[00:51:18.960 --> 00:51:19.960]   Amen.
[00:51:19.960 --> 00:51:19.960]   Amen.
[00:51:19.960 --> 00:51:29.960]   [BLANK_AUDIO]

