
[00:00:00.500 --> 00:00:05.200]   So something we hear casually tossed around these days is the idea that knowledge workers are more
[00:23:59.220 --> 00:24:03.860]   Vanta can help you start or scale your security program by connecting you with auditors and experts
[00:24:03.860 --> 00:24:08.340]   to conduct your audit and set up your security program quickly. Plus, with automation and AI
[00:24:08.340 --> 00:24:13.620]   throughout the platform, Vanta gives you your time back so you can focus on building your company.
[00:24:13.620 --> 00:24:20.020]   Join over 9,000 global companies like Alassian, Quora, and Factory who use Vanta to manage risk,
[00:24:20.020 --> 00:24:26.660]   improve security in real time. My listeners get $1,000 off Vanta at vanta.com/deepquestions. That's
[00:24:26.660 --> 00:24:32.980]   V-A-N-T-A.com/deepquestions for $1,000 off. Security is complicated these days, Jesse. I think
[00:24:32.980 --> 00:24:39.460]   our setup is probably technologically not complicated enough yet. People don't know this, but actually,
[00:24:39.460 --> 00:24:43.540]   like the whole digital Cal Newport empire, true story, it's run off of a speak-and-spell.
[00:24:44.740 --> 00:24:49.620]   So we really were kind of behind the times. A speak-and-spell in one of those Casio calculator
[00:24:49.620 --> 00:24:55.620]   watches. So I think we need some more. Yeah, you got yours. Jesse wears a watch that I literally owned
[00:24:55.620 --> 00:25:01.940]   when I was seven. I mean, not that literal watch, but that exact brand. And in fact, my watch, my,
[00:25:01.940 --> 00:25:08.340]   was it the Timex? Casio. Casio. Yeah. I'm sure mine still runs if I could find it. Yeah, there you go.
[00:25:09.220 --> 00:25:15.860]   But Jesse's a bad haggler and he actually spent $17,000 on that watch. He kind of got taken for
[00:25:15.860 --> 00:25:19.460]   a bit of a ride, but you know, it's worth it. It's a beautiful watch. All right, Jesse, let's do some
[00:25:19.460 --> 00:25:19.780]   questions.
[00:25:19.780 --> 00:25:28.180]   First question's from Natasha. What's your advice on having a career backup plan, especially for young
[00:25:28.180 --> 00:25:32.900]   people aiming for highly competitive fields like academia? What makes for a good backup plan in
[00:25:32.900 --> 00:25:36.580]   case things don't work out, even if you, even if I follow your advice?
[00:25:36.580 --> 00:25:40.900]   It's a good question. This is where career capital theory matters. This is the whole
[00:25:40.900 --> 00:25:45.700]   theoretical framework I lay out in my book, so good they can't ignore you. So career capital,
[00:25:45.700 --> 00:25:51.700]   as we talk about a lot on the show, is my term for your marketable skills, your rare and valuable
[00:25:51.700 --> 00:25:57.780]   skills. That is your source of value and negotiation in the job market. So whatever you're working on is
[00:25:57.780 --> 00:26:04.180]   used to be thinking about not just what specific job am I trying to get. You should also be thinking
[00:26:04.180 --> 00:26:08.420]   about what general type of career capital am I accruing. And you want to make sure that not
[00:26:08.420 --> 00:26:12.820]   only are you accruing as much as possible, which means not just like doing what you need to, you know,
[00:26:12.820 --> 00:26:17.300]   bare minimum to get the job, but like, I want to build skills that are hard and they're really
[00:26:17.300 --> 00:26:21.460]   valuable. And like people like, wow, you're good at that. That's valuable. You want to build up that
[00:26:21.460 --> 00:26:28.580]   general career capital. And then your question just becomes what other types of jobs would value and
[00:26:28.580 --> 00:26:33.940]   reward this capital. And you want to make sure the answer to that second question is sufficiently long.
[00:26:34.980 --> 00:26:40.580]   So whatever you're working on, say, is there a way to go for this, that the capital and building up to
[00:26:40.580 --> 00:26:45.780]   try to succeed for like this particular job is going to have a couple other outlets where people would
[00:26:45.780 --> 00:26:50.260]   value it. Because often what happens in particular pursuits, there's different ways to do them.
[00:26:50.260 --> 00:26:52.740]   Some ways are going to use more capital than others.
[00:26:53.780 --> 00:26:58.340]   Like in academia, I don't know, maybe there's like a very esoteric way you go forward where like this
[00:26:58.340 --> 00:27:03.380]   better work because like, there really is no, I'm not building up any other skills that anyone's going
[00:27:03.380 --> 00:27:06.340]   to find valuable. And then there's, there's ways forward where like, look, I'm building up skills
[00:27:06.340 --> 00:27:13.700]   to do this where like, if a tenure line job doesn't work, there's still a lot of research positions that
[00:27:13.700 --> 00:27:18.100]   I could like fall back on for a couple of years, catch my breath. And then the skill will be useful
[00:27:18.100 --> 00:27:22.020]   here, here and here in the private sector, et cetera. So think about it in terms of career capital,
[00:27:22.020 --> 00:27:27.060]   not just jobs and you'll have a lot more flexibility with what you do. All right,
[00:27:27.060 --> 00:27:33.380]   who we got next? Next up is Ellen. I'm a mid career physician scientist at a crosswords deciding
[00:27:33.380 --> 00:27:37.620]   between pursuing leadership roles or focusing on research. And I want to approach this with
[00:27:37.620 --> 00:27:44.020]   a lifestyle centric mindset. I'd like to hire an executive coach familiar with your help. Can you
[00:27:44.020 --> 00:27:49.380]   guide me through this? Is Cal network available? So I read this as two questions. A is Cal network
[00:27:49.380 --> 00:27:54.100]   available, but two, uh, doesn't make sense to have a coach, right? That's kind of what she's asking.
[00:27:54.100 --> 00:28:02.100]   Yeah. Okay. Um, Cal network, I'm looking this up now actually does have an online career coaching
[00:28:02.100 --> 00:28:09.460]   course. I have it here. So you do have that option. Uh, it's called I'm the boss. Now 74 essential laws,
[00:28:09.460 --> 00:28:16.180]   the crusher enemy, see them driven before you and hear the lamentation of their women and here earned a promotion. You know, you deserve.
[00:28:16.180 --> 00:28:21.700]   So that's good. It costs $1,900 a month. So it's a bit of an investment, but it's probably worth it.
[00:28:21.700 --> 00:28:28.500]   Do you know the origin of that quote, Jesse, the crusher enemy, see them driven before you and hear the lamentations of their women?
[00:28:28.500 --> 00:28:33.940]   No, Conan, the barbarian. That's John Milius is screenwriting right there. It feels like something
[00:28:33.940 --> 00:28:39.540]   Cal network and John Milius get along. Uh, it's Conan said, like, I want to see my enemies driven before
[00:28:39.540 --> 00:28:45.300]   me, hear the lamentations of their women. It's this whole thing. Um, but should you have, assuming you
[00:28:45.300 --> 00:28:49.380]   don't want to take, uh, I'm the boss. Now, should you have a career coach? Here's the thing to think
[00:28:49.380 --> 00:28:55.860]   about what a coaches do. They sanity check your plans. They're not going to make the plans for you.
[00:28:55.860 --> 00:29:02.580]   That's actually very valuable, right? I mean, I think a lot of people, myself included,
[00:29:02.580 --> 00:29:08.740]   they put together a plan and the big fear is like, maybe this is not right. Like maybe I'm crazy or I'm
[00:29:08.740 --> 00:29:12.740]   deluding myself or I've been reading too many Cal network books or whatever. And they have like an
[00:29:12.740 --> 00:29:16.900]   executive coach or a career coach. So like, no, no, this is a good plan. And I back it up. That is worth
[00:29:16.900 --> 00:29:21.300]   a lot, but you have to keep in mind. They're not going to say, let's sit down. I'll figure out what
[00:29:21.300 --> 00:29:25.380]   you should do. You still have to do that. And in your situation with the type of decision you're
[00:29:25.380 --> 00:29:30.180]   looking at lifestyle center, career planning is the right way forward. So you really want to be
[00:29:30.180 --> 00:29:35.220]   clear about what you want in like the two or three year period, as well as like the 10 or 15 year period,
[00:29:35.220 --> 00:29:40.020]   what you want your, the rhythms of your day-to-day life to look like, because these two directions,
[00:29:40.020 --> 00:29:46.260]   leadership roles versus research roles are going to yield very different, uh, lifestyles.
[00:29:46.260 --> 00:29:50.260]   And so you want to be really clear about it. Now, I don't actually think this is an obvious choice.
[00:29:50.260 --> 00:29:54.900]   Like someone might say, ah, leadership roles is going to be stressful as email, like just be a
[00:29:54.900 --> 00:29:58.980]   researcher, but research roles could also be stressful because a, it's more provisional.
[00:29:58.980 --> 00:30:03.540]   Like if your research doesn't go well, it also may be much less money. Uh, there might be their own
[00:30:03.540 --> 00:30:08.900]   stresses of trying to do grant management or trying to manage teams of, of, uh, like postdocs and grad
[00:30:08.900 --> 00:30:13.220]   students. Like you really got to think this through. And then, and here's where I think lifestyle
[00:30:13.220 --> 00:30:18.180]   center career planning gets really useful. You work out a sort of rough ideal lifestyle image.
[00:30:18.180 --> 00:30:22.820]   Now you have these two options and you're kind of working through, okay, what I keep in mind for
[00:30:22.820 --> 00:30:26.500]   the leadership position I might follow, what I have in mind for the research position I might follow,
[00:30:26.500 --> 00:30:32.180]   how do they lead? How close do they lead to my vision video lifestyle? And what you might discover
[00:30:32.180 --> 00:30:38.020]   doing that is like, oh, you know what? They both have flaws, but now there's this other thing,
[00:30:38.020 --> 00:30:43.300]   like a variation of one of those ideas. If I was like a, uh, this type of leadership position
[00:30:43.300 --> 00:30:49.220]   or not this type of research position, but this one over here that avoids the big misses on my ideal
[00:30:49.220 --> 00:30:54.820]   lifestyle. And it's much closer. Like it actually allows you the lifestyle vision, uh, centric planning
[00:30:54.820 --> 00:31:01.300]   allows you to explore a much wider space of available positions than most people instinctively do.
[00:31:01.300 --> 00:31:06.260]   They lock in on a couple of options and say, this is it. And they might not know there's this other
[00:31:06.260 --> 00:31:11.060]   sort of a little bit unusual option. It's like, oh, it's like a research position, but it's not at this
[00:31:11.060 --> 00:31:14.420]   university. It's at this university and it's this time. And it's like, it's something you never would
[00:31:14.420 --> 00:31:19.380]   have thought of except for you're doing lifestyle center career planning and you have this big thing
[00:31:19.380 --> 00:31:23.460]   you want your lifestyle that's missing. And that makes it work. So lifestyle center career planning
[00:31:23.460 --> 00:31:26.900]   doesn't just let you decide between two options. It allows you to see other options. You might not
[00:31:26.900 --> 00:31:33.300]   have other otherwise even considered that end up being the best one. So, uh, take Cal networks course,
[00:31:33.300 --> 00:31:39.700]   mortgage your house. If you have to second do serious lifestyle center planning. And then third,
[00:31:39.700 --> 00:31:46.100]   maybe hire a coach, but keep in mind, the goal there is going to be sanity checking, not someone handing you
[00:31:46.100 --> 00:31:51.620]   a plan. I think Cal network hands you a plan. If you take his course, probably you walk in,
[00:31:51.620 --> 00:31:55.620]   you don't say anything. He stares at you for a little bit, does one more bicep curl,
[00:31:55.620 --> 00:32:01.540]   then goes management consultant. Boom. Just tells you what you should do. And that's what you do.
[00:32:01.540 --> 00:32:08.660]   You crush it. $1,900 a month, 10 year commitment. All right. Who we got next 10 year commitment.
[00:32:08.660 --> 00:32:14.340]   Next up is Gary. I'm about to retire. I'd like to know if my plan is too ambitious. I want to become
[00:32:14.340 --> 00:32:20.340]   excellent at chess and crack cryptic crosswords. I also want to maintain my ability to walk 20 miles,
[00:32:20.340 --> 00:32:25.540]   set records for a half marathon row and keep my 5,000 meter swim at a high level.
[00:32:25.540 --> 00:32:30.100]   So with one exception, I'm going to say not too ambitious.
[00:32:30.100 --> 00:32:35.060]   And the one exception is where you get specific and say set records.
[00:32:35.060 --> 00:32:39.060]   So the way to be clear, he meant set personal records.
[00:32:39.060 --> 00:32:43.140]   Oh, okay. I thought he was talking about like age group records. Okay, good. Then I think it's
[00:32:43.140 --> 00:32:47.300]   completely fine because what you're saying here is like, I have a collection of things I want to
[00:32:47.300 --> 00:32:51.460]   work hard at and get better at that are interesting and meaningful to me. That's a great plan.
[00:32:51.460 --> 00:32:57.300]   So this is a good, this misunderstanding what you're saying, I think illustrates well when ambitions can
[00:32:57.300 --> 00:33:01.780]   get too large. It's when you get too specific. So if you said like, I want to have the age group
[00:33:01.780 --> 00:33:05.060]   record for the half marathon row. Well, maybe you will, maybe you won't. Like, I don't know.
[00:33:05.060 --> 00:33:09.620]   You know, do you have the right genetics? Who else is going after this? What age group are you talking
[00:33:09.620 --> 00:33:15.380]   about? That may or may not be achievable, but everything you list here is. Chess, crossword,
[00:33:15.380 --> 00:33:22.420]   20 miles, row, swimming. I think it's great, right? I mean, and it's an idea of, it's very deliberate and
[00:33:22.420 --> 00:33:25.700]   it's very intentional. It's like, I want to do things with my mind. I want to do things with my
[00:33:25.700 --> 00:33:31.940]   body and why don't I be very aggressive, ambitious about what I do? Because why not? So I like that
[00:33:31.940 --> 00:33:36.980]   approach to retirement, to like sort of really turning up the volume as opposed to sort of thinking,
[00:33:36.980 --> 00:33:40.980]   I need to just sort of not do too much. That'll just make you miserable. Now, I don't know what a
[00:33:40.980 --> 00:33:47.060]   cryptic crossword is. However, it sounds terrible. Crosswords are hard enough, but you think it's
[00:33:47.060 --> 00:33:53.220]   like a code or something? I want to say it's something to do with like cryptography.
[00:33:53.220 --> 00:33:58.580]   Right. Just like a crossword and it's coded the answers. Yeah. Kind of like that book that
[00:33:58.580 --> 00:34:04.980]   Neil Stevenson wrote. Cryptonomicon. Yeah. Yeah. This is good though. I think it's a cool plan.
[00:34:04.980 --> 00:34:08.180]   It makes me feel like I should do more things. You know, what's funny is I had no idea how you're
[00:34:08.180 --> 00:34:12.660]   going to answer that question because Gary emailed me and I was, that's why I also put it in there
[00:34:12.660 --> 00:34:16.900]   because I was interested to see how you'd answer it. I mean, what's the worst case scenario is you
[00:34:16.900 --> 00:34:20.420]   take one or two things off the table. That's exactly what he said too. He said,
[00:34:20.420 --> 00:34:22.500]   I want to do something with my mind. I want to do something with my body.
[00:34:22.500 --> 00:34:28.340]   Yeah. I mean, I like this idea of, especially when it's within your personal life, it's this grand
[00:34:28.340 --> 00:34:32.660]   goal theory, right? Like, so, all right, this is subtle. I'm not a big believer in the idea that a
[00:34:32.660 --> 00:34:37.540]   grand goal is going to solve all your problems. So a lot of people think, look, I have some grand
[00:34:37.540 --> 00:34:43.540]   goal and if I can achieve that goal, my life will be happy. One goal can't solve all your problems.
[00:34:43.540 --> 00:34:48.980]   Right. Achieving one goal is not likely to tweak all the different elements that are relevant to
[00:34:48.980 --> 00:34:52.580]   your ideal lifestyle and make them better. It'll make one thing better. It might make other things
[00:34:52.580 --> 00:34:59.780]   worse and be indifferent to others. But having ambitious goals as a way to work on specific
[00:34:59.780 --> 00:35:05.220]   parts of your lifestyle that want to be better, I like that idea. So the, the grand goal theory would
[00:35:05.220 --> 00:35:10.900]   be like, Hey, if I can, you know, be the pickleball champion of my, at my local club, like my life will
[00:35:10.900 --> 00:35:14.900]   be happy. And like that by itself is not gonna make you happy. But if you're like, I want to be very
[00:35:14.900 --> 00:35:20.020]   physically active. I worry about a retirement getting less physically active. And one way I'm going to do
[00:35:20.020 --> 00:35:24.340]   that specific thing in my lifestyle is an ambitious goal. Like I'm going to try to become the pickleball
[00:35:24.340 --> 00:35:29.140]   champion or I'm going to play a ton of pickleball. Uh, that that's actually like, uh, that is a good
[00:35:29.140 --> 00:35:34.740]   application of ambition and grand goals. So I like this, like taking big swings on, on things that, uh,
[00:35:34.740 --> 00:35:39.220]   are connected to parts of your lifestyle that you think are important. All right. Who we got?
[00:35:39.220 --> 00:35:44.900]   We got to go back to Gavin. Oh, we skip Gavin. I'm trying to build my discipline and use an
[00:35:44.900 --> 00:35:49.540]   accountability support tool. Is this cheating? And if so, should I be building this more on my own?
[00:35:49.540 --> 00:35:56.500]   Uh, no, it's not cheating. The way I think about accountability support tools, like where you,
[00:35:56.500 --> 00:35:59.380]   there's different things here. You have like a partner and you tell them what you're going to do,
[00:35:59.380 --> 00:36:03.380]   and then you tell them if you did it or not, or you put money on the line. And if you don't actually
[00:36:03.380 --> 00:36:07.220]   like follow through on something, you have to pay the money or, or whatever it is you're doing. I think
[00:36:07.220 --> 00:36:14.660]   that's like a perfectly fine, I would call it discipline training tool. And I think it's similar
[00:36:14.660 --> 00:36:19.940]   to various training tools you might use as you're like trying to pick up a new, you know, physical
[00:36:19.940 --> 00:36:25.700]   ability or new marker of strength. Typically what happens is people don't need to stick with these
[00:36:25.700 --> 00:36:32.100]   long-term, but they help you build up a rhythm or habit of discipline. Because of the accountability,
[00:36:32.100 --> 00:36:35.700]   I actually do this thing when I otherwise might've tried to make an excuse. And then after a while,
[00:36:35.700 --> 00:36:40.260]   that muscle gets stronger and I don't need so much support to do it, I'm now more able or willing
[00:36:40.260 --> 00:36:44.340]   to do it on my own, which is sort of where you want to end up. But accountability tools are a great way
[00:36:44.340 --> 00:36:48.820]   to sort of break the ice on getting used to doing disciplined activity. Um, other things that matter
[00:36:48.820 --> 00:36:52.980]   also include like making sure you understand what you're doing and your brain, trust your plan.
[00:36:52.980 --> 00:36:59.060]   The efforts I'm going to do will likely get me to this goal. Also really trying to load up and make
[00:36:59.060 --> 00:37:03.460]   clear in your mind the achievement of that goal. So that's very vivid. That also helps you summon
[00:37:03.460 --> 00:37:10.660]   a discipline. And then laddering up is important as well that you have a level of discipline required.
[00:37:10.660 --> 00:37:15.060]   That's a little bit beyond where you're comfortable, but not way beyond you want to ladder that up a
[00:37:15.060 --> 00:37:19.860]   little bit more slowly because your brain has to get used to different levels of hardship that you
[00:37:19.860 --> 00:37:25.780]   overcome experiences of reward that makes this type of effort worth it, et cetera. So you want to kind
[00:37:25.780 --> 00:37:29.780]   of go slow. I have a whole big 10,000 word chapter on this in my deep life book I'm writing. So I've
[00:37:29.780 --> 00:37:32.900]   been thinking a lot about it. So yeah, use the accountability tools, use whatever you need
[00:37:32.900 --> 00:37:38.340]   to help you train discipline. But this bigger picture ideas, think about discipline as something
[00:37:38.340 --> 00:37:42.660]   you train and cultivate. And then once you have it, it's a fuel for everything else. So it's not
[00:37:42.660 --> 00:37:49.620]   cheating. It's training. It's a training tool. So there you go. A little known fact, you know,
[00:37:49.620 --> 00:37:51.780]   Navy SEALs are very disciplined, of course. Yeah.
[00:37:52.580 --> 00:37:58.180]   Just for fun, Cal Network did the BUDS Navy SEAL training. And you know, like they have that bell,
[00:37:58.180 --> 00:38:02.340]   like just ring the bell and then you're out, just ring the bell. And you know, the instructors are
[00:38:02.340 --> 00:38:06.260]   trying to get the SEALs to ring the bell. And usually like 80% of the SEALs ring the bell,
[00:38:06.260 --> 00:38:11.300]   wash out in BUDS. When Cal Network did the Navy SEAL training, he got the instructors to ring the bell.
[00:38:13.380 --> 00:38:17.140]   I just want to throw that out there. That's discipline. All right. What else do we got?
[00:38:17.140 --> 00:38:22.740]   Next up is D. I'm getting serious about career capital so I can make bids to move closer to the
[00:38:22.740 --> 00:38:28.260]   ideal lifestyle for my family. However, I'm having a difficult time figuring out my baseline stores of
[00:38:28.260 --> 00:38:32.740]   capital. How can I identify if I have an inventory of rare and valuable skills?
[00:38:33.300 --> 00:38:36.420]   I mean, I usually come back to seeing that people will give you money.
[00:38:36.420 --> 00:38:41.460]   The use of Derek Sivers term that I quote in So Good They Can't Ignore You and talk about all the
[00:38:41.460 --> 00:38:46.660]   time on the show, money is a neutral indicator of value. People are happy to just to tell you with
[00:38:46.660 --> 00:38:50.900]   words that that's great. Your ideas are great. Your skills seem cool. I think there'll be a real demand
[00:38:50.900 --> 00:38:58.020]   for it. Like people definitely are interested in the fact that you're really good at weaving
[00:38:58.740 --> 00:39:04.100]   Navajo style rugs that feature characters from the second, third, but not first police academy movie,
[00:39:04.100 --> 00:39:07.220]   or like whatever it is that you know how to do. People will just say, that's great,
[00:39:07.220 --> 00:39:10.820]   but they don't want to give you their money unless they actually think it's great. So I think it's a
[00:39:10.820 --> 00:39:16.820]   great way of assessing it, which means if it's like a business idea, you actually try to sell that
[00:39:16.820 --> 00:39:20.980]   product a little bit on the side. You actually try to get clients to sign up real contracts and then
[00:39:20.980 --> 00:39:28.420]   renew that contract afterwards. If you're in the job market, will my company give me a raise when I
[00:39:28.420 --> 00:39:32.820]   ask for it? Will other people make me an offer like, "Hey, we would like to hire you. We would
[00:39:32.820 --> 00:39:38.180]   like to pay money to bring you to us." If not, then maybe your skills aren't that rare and valuable.
[00:39:38.180 --> 00:39:44.660]   So you got to go to the extent possible, let money be a neutral indicator of value.
[00:39:44.660 --> 00:39:48.980]   And when people are trying to hire you, when your company is happily giving you raises,
[00:39:48.980 --> 00:39:55.620]   when you try to side hustle your idea to test it out and it sells out, when you're doing some clients
[00:39:55.620 --> 00:40:00.500]   on the side to see if this new idea is going to work, you get clients, they pay happily,
[00:40:00.500 --> 00:40:04.660]   they try to renew it. Then you know that your rare and valuable skills are there. And if this is not
[00:40:04.660 --> 00:40:07.460]   happening, then you want to go to the woodshed and practice and get better.
[00:40:07.460 --> 00:40:13.140]   All right. We've got a case study today where people send in their accounts of using the type
[00:40:13.140 --> 00:40:18.340]   of advice we talk about on this show in their own life. Today's case study comes from Antonio.
[00:40:18.340 --> 00:40:24.180]   Antonio says, "I got so good they can't ignore me in the very niche field of storytelling.
[00:40:24.180 --> 00:40:27.380]   After using the career capital skills, I learned from being an actor.
[00:40:27.380 --> 00:40:32.260]   In the winner-take-all market of theater and film, it was clear that I was talented, but not the best.
[00:40:33.060 --> 00:40:37.940]   With the spare time I had not studying acting, waiting tables, or hoping that my agents would call,
[00:40:37.940 --> 00:40:42.820]   I discovered a deep interest that became a fulfilling hobby in the world of oral tradition.
[00:40:42.820 --> 00:40:47.780]   Because the professional storytelling world is relatively small, I was able to approach the
[00:40:47.780 --> 00:40:52.900]   legends in that field, pay to take their workshops and classes, watch them up close at small venues,
[00:40:52.900 --> 00:40:58.820]   and ultimately be mentored by a few of them." You know, Cal Network has a really popular oral
[00:40:58.820 --> 00:41:05.700]   storytelling workshop. It's called "Shut Up, I'm Talking." Crush it, crush your stories with Cal Network.
[00:41:05.700 --> 00:41:11.540]   All right, back to this. One of the mentors told me, "You'll know you found your calling when people
[00:41:11.540 --> 00:41:16.820]   start calling, or as Derek Siver said, use money as a neutral indicator of value. Soon I was able to
[00:41:16.820 --> 00:41:21.860]   quit my survival job as a waiter, do the few plays and film projects that I got cast in, but that didn't pay
[00:41:21.860 --> 00:41:27.380]   the bills, and use all of my ample free time to develop a large repertoire of folk tales and personal
[00:41:27.380 --> 00:41:32.420]   stories. I made three big decisions after some initial successes in storytelling in my late 20s
[00:41:32.420 --> 00:41:37.300]   that enabled me to live a current lifestyle full of deep meaning and impact for my community and my
[00:41:37.300 --> 00:41:42.100]   family with time to develop new skills and hobbies. One, I told my acting agents I'd only auditioned for
[00:41:42.100 --> 00:41:46.980]   major roles from a small list of theaters, TV creators, and film directors. They all promptly dropped me,
[00:41:46.980 --> 00:41:51.780]   and I used this newfound free time to develop even more stories. Two, I soundly invested the
[00:41:51.780 --> 00:41:56.180]   majority of the money I made during that time, lived only off the per diem I received, and even rented
[00:41:56.180 --> 00:42:01.140]   out my apartment while I toured for months telling stories all over the world. I also chose not to own
[00:42:01.140 --> 00:42:05.540]   a car and used the savings to take longer retreat style workshops my mentors offered in fabulous
[00:42:05.540 --> 00:42:11.060]   locations. Three, I put much of that earned money back into my career, developing PR materials that
[00:42:11.060 --> 00:42:15.700]   helped keep the flywheel spinning with the clarity of carefully putting all my eggs in the basket of
[00:42:15.700 --> 00:42:20.980]   storytelling. I am now able to pick and choose the multiple opportunities that come my way and have
[00:42:20.980 --> 00:42:26.340]   increased my rates so much that I only have four to six, I only two or six days a year. Wow.
[00:42:26.340 --> 00:42:31.380]   I'm very much a stay-at-home dad for our two children based on the lifestyle center career
[00:42:31.380 --> 00:42:35.860]   planning I did with my wife in the late 30s. So there we go. Classic lifestyle center career
[00:42:35.860 --> 00:42:39.700]   planning. You end up in places that you wouldn't come up with if you're planning forward.
[00:42:41.060 --> 00:42:44.500]   You're 20. You're like, what do I want to do with my life? You're gonna be like, I want to be an actor,
[00:42:44.500 --> 00:42:51.060]   I guess, right? But he had a lifestyle in mind and it allowed him as he saw different opportunities to
[00:42:51.060 --> 00:42:54.340]   begin to develop those opportunities towards his lifestyle. Then he used career capital theory as
[00:42:54.340 --> 00:42:58.660]   well. Like actually getting really good at this, that career capital will allow me to change this
[00:42:58.660 --> 00:43:02.980]   into a really good job. If I'm not really good, I can't. And so I'm going to be careful about my money.
[00:43:02.980 --> 00:43:08.500]   I'm going to invest my time and money into getting better at this. Very strategic and I think a great case
[00:43:08.500 --> 00:43:12.260]   study. All right, do we have a call this week? We do. All right, let's hear this.
[00:43:12.260 --> 00:43:22.820]   Hey Cal, this is Josh. I was working with AI coming up with some sort of system
[00:43:22.820 --> 00:43:31.140]   based on your principles of the semester plan, the weekly plan, a daily time block plan and really getting
[00:43:31.140 --> 00:43:39.460]   a semester plan down. I found out through AI, a suggestion to create a life dashboard, which I
[00:43:39.460 --> 00:43:46.580]   thought was really cool. I started to use Replit AI to create it and realized how extensive it would be.
[00:43:46.580 --> 00:43:55.460]   If you were to create a life dashboard or suggest someone to create it, what would you put in yours? And
[00:43:55.460 --> 00:44:02.820]   then how would you use it to track and manage your habits, your weekly template and the different aspects of your
[00:44:02.820 --> 00:44:04.820]   system? Thanks so much.
[00:44:04.820 --> 00:44:08.900]   I mean, I think life dashboards are cool. I've known some people who have built them before and
[00:44:08.900 --> 00:44:14.580]   I think you're right to point out that AI makes it much easier. You could whip up one of these vibe
[00:44:14.580 --> 00:44:19.300]   code up one of these sort of idiosyncratic programs for yourself pretty quickly. So I think that changes
[00:44:19.300 --> 00:44:23.620]   the game. That in general, by the way, is something I'm interested in. The idea of using vibe coding as
[00:44:23.620 --> 00:44:30.660]   a way to build bespoke personal productivity type digital tools, there's an interesting potential
[00:44:30.660 --> 00:44:35.220]   movement to happen there. We're like, "Hey, I can build this tool to do exactly this type of stuff
[00:44:35.220 --> 00:44:39.700]   I care about, to manage my time, energy, and attention in a way that's very specific to me,
[00:44:39.700 --> 00:44:43.860]   as opposed to having to have these giant SaaS products that I'm trying to adapt to what I'm
[00:44:43.860 --> 00:44:48.100]   doing." So I like that general approach. People put different things in their life dashboards.
[00:44:48.100 --> 00:44:51.860]   They're often professional is what I see. They're tracking various things that they think are important to
[00:44:51.860 --> 00:44:56.900]   their job, especially non-tangibles that are going to make them better, like how many calls
[00:44:56.900 --> 00:45:03.380]   did I make or how many hours did I spend doing education relevant to my job. I knew a management
[00:45:03.380 --> 00:45:08.340]   consultant that tracked travel because it's hard in the moment to be like, "Well, how many..."
[00:45:08.340 --> 00:45:15.380]   I think he was tracking something like nights reading to kids, his kids before he went to bed. And just
[00:45:15.380 --> 00:45:20.020]   seeing what that was per month, and he had a sort of limit, like this needs to be below X percent.
[00:45:20.020 --> 00:45:25.700]   And that's data that when that gets made visual and processed, it's easier to grok than when it's just
[00:45:25.700 --> 00:45:29.140]   you're trying to remember like, "Oh, how much was I weighed this last month?" I don't know what would
[00:45:29.140 --> 00:45:34.660]   be on mine. I mean, probably deep work hours for sure. Probably some of my daily metric tracking would
[00:45:34.660 --> 00:45:39.540]   be nice to be able to sort of see, click those easily and see like what percentage of the days I've
[00:45:39.540 --> 00:45:45.220]   been doing well on there. That could be interesting. Maybe I could imagine like you having your quarterly and
[00:45:45.220 --> 00:45:49.460]   weekly plan you could cycle through on there. So it's just all there and like one place to see
[00:45:49.460 --> 00:45:56.100]   when you're building your time block plan for the day, things like that. But the bigger thing I care
[00:45:56.100 --> 00:46:01.140]   about here is this idea of bespoke personal productivity, bespoke digital personal productivity. I think
[00:46:01.140 --> 00:46:05.460]   that's a cool... for people who are like to geek out on vibe coding, I think that's interesting. So I'm
[00:46:05.460 --> 00:46:10.260]   always interested in those examples. All right, that's the last we have for questions and calls.
[00:46:10.260 --> 00:46:17.460]   We have our final segment coming up. First, I'll talk briefly about another one of our sponsors.
[00:46:17.460 --> 00:46:24.260]   I want to talk about our friends at Indeed, because when it comes to hiring, Indeed is all you need.
[00:46:24.260 --> 00:46:29.860]   Hiring is like very, very important. We have someone new on the team, for example. So I know how hard
[00:46:29.860 --> 00:46:33.460]   this is helping with the newsletter. So that's why my newsletter is now starting to go out
[00:46:34.260 --> 00:46:38.820]   every single week. It is hard to find the right people. It's some of the most important decisions
[00:46:38.820 --> 00:46:44.180]   you make. And this is where Indeed can enter the scene. It helps you stop struggling to get your
[00:46:44.180 --> 00:46:49.700]   job post seen on those other job sites. You can instead use Indeed Sponsored Jobs to help you stand
[00:46:49.700 --> 00:46:53.700]   out and hire fast. With Sponsored Jobs, your post jumps to the top of the page for your relevant
[00:46:53.700 --> 00:46:59.380]   candidate so you can reach the people you want faster. And it makes a huge difference. According to Indeed
[00:46:59.380 --> 00:47:07.620]   Indeed data, Sponsored Job Posts directly on Indeed have 45% more applications than non-sponsored jobs.
[00:47:07.620 --> 00:47:13.220]   No monthly subscriptions. You want to use that. No long-term contracts. You pay for results.
[00:47:13.220 --> 00:47:19.220]   In the minute I've been talking to you, 23 hires were made on Indeed, according to Indeed data
[00:47:19.940 --> 00:47:26.580]   worldwide. All 23 of those people were Cal Network. He's a very desirable job candidate.
