
[00:00:00.000 --> 00:00:06.720]   for the vast majority of human existence we've been nomadic and we've done these kind of wider
[00:44:15.200 --> 00:44:21.520]   and across hundreds of years thousands of years from shavin to mocha to inca as you're saying right
[00:44:22.240 --> 00:44:29.920]   wari has them too tiwanako that's that famous place pumapunku he's all over there i wonder how
[00:44:29.920 --> 00:44:40.080]   those ideas spread and morph of this fang deity i think people walked and proselytized and places like
[00:44:40.080 --> 00:44:47.200]   shavin there's a later one in inca times called uh pachacamac that are pilgrimage places where people come in
[00:44:47.920 --> 00:44:53.840]   to be healed if they're sick but also just to pay homage to the powers that be so
[00:44:53.840 --> 00:45:00.640]   uh shavin was a place where people from the amazon and people from the coast were all coming together in
[00:45:00.640 --> 00:45:08.320]   fact we saw it in the archaeology there there's these interesting labyrinths under the pyramids with
[00:45:08.320 --> 00:45:14.000]   the fang deity all over them that have like one labyrinth they'll have all pottery the next labyrinth
[00:45:14.000 --> 00:45:18.720]   they'll have a bunch of animal bones the next one will have a bunch of things made out of stone so
[00:45:18.720 --> 00:45:24.960]   people are showing up and giving this tribute and they're learning and then they're going back to
[00:45:24.960 --> 00:45:31.680]   their community so i think it dispersed from certain pilgrimage spots and became just like pilgrimage
[00:45:31.680 --> 00:45:38.960]   spots do somebody goes back and they build a temple to the fang deity do we know much about the
[00:45:38.960 --> 00:45:46.880]   relationship they had with the fang deity and like their conception of the powers of the fang deity is
[00:45:46.880 --> 00:45:58.080]   it were they afraid of the fang deities and all-knowing god is it uh something that brings joy and harvest
[00:45:58.080 --> 00:46:04.640]   or is it something that you're supposed to be afraid of and sacrifice animals and humans to to keep it keep at
[00:46:04.640 --> 00:46:11.520]   the way i think he has two sides of the coin like a lot of the the hindu gods are you know one aspect
[00:46:11.520 --> 00:46:18.160]   is terrible the other aspect is lovely um i think he had that same sorts of qualities because we do see
[00:46:18.160 --> 00:46:24.320]   him as a fierce warrior taking people's heads off and he is a jaguar which in and of itself implies a
[00:46:24.320 --> 00:46:31.440]   certain power and ferocity but then there are other funny things about him like he is definitely involved
[00:46:31.440 --> 00:46:37.280]   in a lot of healing ceremonies and a lot of those healing ceremonies are involved with uh sex acts
[00:46:37.280 --> 00:46:43.680]   when it comes to the moche there's this whole group of sexual pottery where priests are having sex with
[00:46:43.680 --> 00:46:53.920]   women or men um and some of them show their faces transforming into that fang deity like he is acting through them
[00:46:54.640 --> 00:47:02.400]   but the the thing that most cracks me up that shows his softer side is the fang deity has a little puppy
[00:47:02.400 --> 00:47:08.800]   he has a puppy that's like just dancing around his feet and like jumping up on him in various scenes
[00:47:08.800 --> 00:47:14.960]   they see him again and again sometimes he's in these these healing sex scenes in fact i tracked that
[00:47:15.600 --> 00:47:22.720]   puppy from other contexts to these sex scenes where the uh where a priest was having sex with somebody
[00:47:22.720 --> 00:47:28.480]   in a house and there's a fang deity and there's a puppy just scratching at the door like hey you forgot
[00:47:28.480 --> 00:47:35.920]   me and then finally one day i found one with the puppy having sex with the woman instead of the fang deity
[00:47:35.920 --> 00:47:41.840]   i was like no he really is very involved in this what is this weird puppy so he's okay yeah he likes
[00:47:41.840 --> 00:47:46.880]   to take heads off but he also has a puppy he adores this actually this is awesomely makes sense now
[00:47:46.880 --> 00:47:55.600]   because i i saw the opening of a paper you wrote 30 years ago on shamanism and motor civilization it reads
[00:47:55.600 --> 00:48:01.520]   the mocha are the major focus of this paper sex puppies and head hunting will be shown to be related
[00:48:01.520 --> 00:48:08.080]   to ancient mocha shamanism uh so now i understand i was like with the puppies puppies yeah
[00:48:08.080 --> 00:48:13.840]   all right uh and the head hunting that's the decapitator and i've added rock and roll to that list since
[00:48:13.840 --> 00:48:19.760]   actually which is rock and roll or you know music is also a big part of it they they oh interesting
[00:48:19.760 --> 00:48:24.320]   they they call spirits down there's this whole spirit world there's the ancestors
[00:48:25.040 --> 00:48:31.520]   and the the people that drink san pedro cactus juice kind of they don't talk about the fang deity
[00:48:31.520 --> 00:48:38.480]   anymore i think christianity in 500 years has somewhat put him in the back you know it was
[00:48:38.480 --> 00:48:43.920]   unpopular to have a pagan deity so they don't talk about him much anymore though he's still around
[00:48:43.920 --> 00:48:54.400]   they're in like around trujillo they call him i iopec but um music play in the amazon they play flutes
[00:48:54.400 --> 00:49:01.200]   sometimes a chorus of women sing and that's supposed to bring the spirits down into the ceremony there's
[00:49:01.200 --> 00:49:07.280]   a spirit that's hurting the person that's sick and then the the priest or the shaman or the corandero
[00:49:07.280 --> 00:49:14.320]   whatever you want to call him has his own posse of spirits that are going to help him figure out
[00:49:14.320 --> 00:49:22.000]   what's going on so when the music starts that's bringing those spirits in and people don't see them
[00:49:22.000 --> 00:49:30.000]   unless they've imbibed the san pedro cactus juice which is this hallucinogen which is in the amazon
[00:49:30.000 --> 00:49:38.880]   side it was ayahuasca on the amazon on the coast it was san pedro cactus but that's what allows you to
[00:49:38.880 --> 00:49:47.040]   actually see that other world yeah i i went to the amazon recently did ayahuasca uh very high dose of
[00:49:47.040 --> 00:49:48.720]   it bold move
[00:49:48.720 --> 00:49:59.360]   um when in rome well how far back does that go oh i i think longer than anybody can remember but i mean
[00:49:59.360 --> 00:50:04.960]   it's a natural plant that's been there forever i think that it's thousands and thousands of years that's
[00:50:04.960 --> 00:50:10.560]   another thing uh shavin de juantara was talking about where i think the things came the religion
[00:50:10.560 --> 00:50:18.560]   came from the amazon there's this wall on the back side that faces the amazon side so if you're entering
[00:50:18.560 --> 00:50:25.200]   the city from the amazon path you see this wall first and it's a bunch of faces that some of them are human
[00:50:25.200 --> 00:50:32.080]   some of them are total jaguar and some of them are trans forming in between but there's a group of them
[00:50:32.080 --> 00:50:41.120]   that are midway through transformation and they show their nostrils leaking out this snot that's coming
[00:50:41.120 --> 00:50:49.360]   like down their face san pedro doesn't do that to you but ayahuasca does ayahuasca traditionally they'd
[00:50:49.360 --> 00:50:56.080]   take a blow gun and just shoot it up your nose or up your ass but it was a lot of times up your nose
[00:50:56.080 --> 00:51:01.680]   and when it shoots up your nose the first thing that happens is just this gush of snot comes out of you
[00:51:02.320 --> 00:51:09.280]   and there are stone uh depictions of people uncontrollably snotting on the back side of
[00:51:09.280 --> 00:51:15.840]   this temple from you know 3 000 years ago so that you think could have been a big component
[00:51:15.840 --> 00:51:23.840]   of the development of religion and shamanism i think that hallucinogens opened the mind then like
[00:51:23.840 --> 00:51:29.600]   they opened the mind now do you think that you know the stone ape theory uh do you think that actually
[00:51:29.600 --> 00:51:39.600]   could have been an actual catalyst for the formation of uh civilization in the americas yes i do though
[00:51:39.600 --> 00:51:47.040]   you know hallucinogens are not part of every uh ancient tradition in the world in fact strangely the
[00:51:47.040 --> 00:51:53.520]   majority of plants that that are actually psychotropic not just mood altering are from
[00:51:53.520 --> 00:52:01.520]   here in the americas there there are very few uh drugs that will make you hallucinate outside of the
[00:52:01.520 --> 00:52:07.280]   americas of course now they're global and you know they're they can be grown all over the place but
[00:52:07.280 --> 00:52:13.680]   originally speaking very very few were outside of the americas so they were part of the experience
[00:52:13.680 --> 00:52:19.280]   here in a way that they just couldn't be in other places i wonder to what degree they were just part
[00:52:19.280 --> 00:52:26.640]   of a ritual and the creative force behind sort of art versus like literally
[00:52:26.640 --> 00:52:34.880]   the method by which you come up with ideas that define a civilization it's like the degree to which
[00:52:34.880 --> 00:52:40.560]   they had a role in the formation of civilizations it's kind of fun to think about psychedelics being
[00:52:41.200 --> 00:52:48.960]   like a critical role in formation of civilizations i think in terms of south america they probably
[00:52:48.960 --> 00:52:55.360]   really were um in north america where we're in a more northern climb here and there are less of them
[00:52:55.360 --> 00:53:01.760]   not so much at least in terms of psychedelics things like uh you know tobacco was always a big part of it
[00:53:01.760 --> 00:53:08.560]   but a lot of the you know there's there's more than one way to meet to reach a hallucinatory state the
[00:53:08.560 --> 00:53:16.320]   hard way is starvation uh sleep deprivation and for the the maya for example would go
[00:53:16.320 --> 00:53:23.760]   sleep deprivation starvation and then they cut themselves very badly and that loss of blood we
[00:53:23.760 --> 00:53:31.440]   believe triggered hallucinations and visions nothing to do with drugs i would much prefer the drugs route
[00:53:31.440 --> 00:53:39.200]   it's there's it's the result not the uh the tools aren't the thing that creates insight it's the the
[00:53:39.200 --> 00:53:44.960]   result so you're getting to you know it it's hallucinogens are poisoning us they're killing us
[00:53:44.960 --> 00:53:53.520]   that's you know it's a it's a near death state and people of the americas believed sleeping was entering
[00:53:53.520 --> 00:54:00.880]   that other world death you entered this other world and that when you took this mighty dose of poison it was
[00:54:00.880 --> 00:54:07.360]   helping you enter that other world for a period of time yeah as tom wade said in that one song i like
[00:54:07.360 --> 00:54:15.440]   my town with a little drop of poison so maybe that poison is a good uh catalyst for invention so who
[00:54:15.440 --> 00:54:25.200]   were the early first sort of mother cultures mother civilizations in south america like what what is
[00:54:25.200 --> 00:54:34.240]   if we look chronologically is there a label we can put on the first peoples that emerged that picture is
[00:54:34.240 --> 00:54:39.840]   evolving i mean forever it was just the shavin people that we've been talking about the ones with
[00:54:39.840 --> 00:54:45.760]   all the first depictions of religious art were the mother culture and they certainly did transmit a lot
[00:54:45.760 --> 00:54:53.760]   of stuff but then all of a sudden we find uh coral the next one that we've barely even begun looking at
[00:54:53.760 --> 00:55:00.320]   but it's probably older than coral is sachin culture i was just poking around there last year and
[00:55:00.320 --> 00:55:08.720]   just just from the bus on the highway i could see like that's a pyramid out there well oh there's
[00:55:08.720 --> 00:55:13.280]   another one and i know how old the stuff we have studied there is it's again
[00:55:13.280 --> 00:55:21.520]   3000 bc we're just barely beginning to understand them corral frustrates me to no end the lack of art
[00:55:21.520 --> 00:55:29.440]   there that's we've got you know stones and bones and not even ceramics to go on and they didn't have the
[00:55:29.440 --> 00:55:35.120]   courtesy to leave me a bunch of art i can interpret so i don't know what those people believed right so
[00:55:35.120 --> 00:55:39.760]   one of the ways to understand what people believe is looking at the art the stories told through the art
[00:55:39.760 --> 00:55:45.760]   and then hopefully uh deciphering if they were doing any kind of writing that's our most fruitful place
[00:55:45.760 --> 00:55:53.760]   to try to get at this elusive ideas yeah and it sucks when they don't have art if we just go back
[00:55:53.760 --> 00:55:58.960]   to the amazon you've mentioned that it's possible that there's a lost civilization that existed in the
[00:55:58.960 --> 00:56:06.320]   amazon so it's carried a lot of names lost city of z or el dorado do you think it's possible it existed
[00:56:06.320 --> 00:56:14.560]   well city of z and el dorado are in pretty different places that one el dorado the the ideas of where it
[00:56:14.560 --> 00:56:22.720]   is kind of center around towards colombia okay and the city of z is named after a region of brazil called
[00:56:22.720 --> 00:56:32.400]   the shingu and so those those are uh a an america worth of distance apart you know the entire people
[00:56:32.400 --> 00:56:38.160]   don't really think about it on the map but the entire united states would fit inside the amazon
[00:56:38.160 --> 00:56:44.240]   that's how big that place is yeah and these two are on either end but both of them have evidence of
[00:56:44.880 --> 00:56:51.120]   civilizations these big you know it's it's it's lowland and it floods all the time so what they
[00:56:51.120 --> 00:56:57.760]   did is they'd make these big mounds and then they'd make huge causeways between mounds so they could
[00:56:57.760 --> 00:57:04.240]   walk through their cities while they were seasonally inundated and a bunch of that stuff has been found
[00:57:04.240 --> 00:57:11.920]   in the shingu area like huge areas that would support tens of thousands of people again you know it's not
[00:57:11.920 --> 00:57:19.920]   stone built and it's been under the forest forever so it's very torn up but it's there now you know
[00:57:19.920 --> 00:57:27.040]   brazil is big on cattle farming more than ever now and a a thing that i think is completed now is brazil
[00:57:27.040 --> 00:57:36.480]   and bolivia partnered together and built a highway all the way across and opened up a whole bunch more
[00:57:36.480 --> 00:57:43.920]   land which has found more of these what we call like uh geometric earthworks so there's more and more
[00:57:43.920 --> 00:57:50.720]   evidence of these civilizations it's not a it's not it could be there it's there for sure by the way the
[00:57:50.720 --> 00:57:55.600]   people who are trying to protect the rainforest really hate the highway one of the things i learned is if
[00:57:55.600 --> 00:58:04.320]   you build a road uh loggers will come yep and they will start cutting stuff down now from an archaeology
[00:58:04.320 --> 00:58:11.280]   perspective if you cut down trees you get to discover things but from a sort of protect a very precious
[00:58:11.280 --> 00:58:19.520]   rainforest perspective it's obviously the opposite way but it is interesting i've seen where loggers cut
[00:58:19.520 --> 00:58:28.160]   through the forest and then they uh and when they leave the forest heals itself very quickly so quickly
[00:58:28.160 --> 00:58:36.880]   and you know you just think that across decades you expand that to centuries and it's like you could see
[00:58:36.880 --> 00:58:44.000]   how a civilization could be completely swallowed up by the rainforest and it happened for sure in the amazon
[00:58:44.000 --> 00:58:50.160]   yeah you know they're one of the ways that we're trying to push the frontier of where people were in
[00:58:50.160 --> 00:58:59.520]   the amazon because yes the uh the trees and just the biomass have eaten so much evidence but they're finding
[00:58:59.520 --> 00:59:07.680]   more and more of these places that they call uh terra preta which is black earth and they're huge swaths of
[00:59:07.680 --> 00:59:18.320]   it so uh i guess the anthropology term is anthropogenic landscapes and what they're saying is that that
[00:59:18.320 --> 00:59:24.240]   really dark earth couldn't have just got that way through natural forest processes that sometime in the
[00:59:24.240 --> 00:59:30.720]   distant past that forest wasn't there and there was major farming and human activity to the point
[00:59:30.720 --> 00:59:38.480]   where they totally turned the soil black and it's much more enriched and uh when i when i took a trip
[00:59:38.480 --> 00:59:45.360]   into the amazon i took i went from manaos up the river the black river a couple of days and went and met some
[00:59:45.360 --> 00:59:52.320]   different communities and i asked them about this black earth and they were like yeah that's why we're here
[00:59:52.320 --> 00:59:59.600]   sometimes we move our village but when we move we look for the terra preta and that's where we're
[00:59:59.600 --> 01:00:04.560]   going to put our village because that's a place that all of our gardens work the other places they don't
[01:00:04.560 --> 01:00:08.160]   one of the things you talked about literally just asked you have to ask the right question
[01:00:08.160 --> 01:00:14.560]   and uh the stories all the all the secrets are carried by the people and they will tell you
[01:00:14.560 --> 01:00:20.800]   yeah there's so many of them you know the the thing that excites the world about archaeology right now
[01:00:20.800 --> 01:00:29.040]   is gobekli tepi and this you know 10 000 now koran tepi is 11 000 the whole area is called the tas tepler
[01:00:29.040 --> 01:00:35.120]   we only found it a couple of decades ago but it was just you know a archaeologist roaming through the
[01:00:35.120 --> 01:00:40.800]   area and ask a sheep herder hey you know you guys know where anything ancient is oh yeah let me let me
[01:00:40.800 --> 01:00:46.320]   show you this and then all of a sudden we've got a lost civilization and the and the shepherds always knew
[01:00:46.320 --> 01:00:52.560]   where it was just nobody asked him so speaking of gobekli tepi uh what do you think about the work of
[01:00:52.560 --> 01:01:01.600]   graham hancock who also believes that uh there's a lost civilization in the amazon well uh i've met graham
[01:01:01.600 --> 01:01:06.880]   um and personally i like him he's a nice guy got a nice sense of humor and i think he's smart
[01:01:06.880 --> 01:01:15.680]   um and and i also think he is a a very good researcher he and i are working on the same
[01:01:15.680 --> 01:01:24.320]   set of facts the differences are interpretations i do not believe graham's uh idea that a single
[01:01:25.200 --> 01:01:31.520]   now lost ancient civilization seeded the rest of them i just don't see that on a number of levels
[01:01:31.520 --> 01:01:41.520]   artifact wise technology wise art historical analysis so i think his research is great um i think that he's
[01:01:41.520 --> 01:01:48.720]   he's very well read in fact better read than a lot of my colleagues but uh his conclusions i disagree with
[01:01:48.720 --> 01:01:55.360]   and he and i have talked about this and uh had a very civil and normal conversation about it and agreed
[01:01:55.360 --> 01:02:02.560]   to disagree without spitting any venom at any point in the conversation that would be a fun uh argument to
[01:02:02.560 --> 01:02:09.200]   be a fly on the wall for uh so he he believes he's proposed as possible that the amazon jungle is uh
[01:02:10.000 --> 01:02:18.400]   sort of a man-made garden so it was planted there by advanced ancient civilization is there any degree to
[01:02:18.400 --> 01:02:24.400]   which that could be possible frankly i agree with him i mean it's just like what i was just talking
[01:02:24.400 --> 01:02:30.960]   about the the it's the conclusion part that we differ from sure but the facts that he's basing that on
[01:02:30.960 --> 01:02:39.200]   are that terra preta are the huge geometric earthworks are the ever-increasing evidence of them they are now
[01:02:39.200 --> 01:02:47.920]   from you know the bottom of bolivia to uh guyana they're everywhere every time we open up the jungle
[01:02:47.920 --> 01:02:55.200]   we find these big works so yes there was a vast civilization that was there how advanced they were
[01:02:55.200 --> 01:03:07.440]   is uh is a question and also you know a perspective thing graham really focuses in on what we don't know
[01:03:07.440 --> 01:03:13.920]   and what could be what's the just to educate me what's what's the key idea that he's proposing that
[01:03:13.920 --> 01:03:19.360]   you disagree with is that it was the level of advancement the civilization was or how large and
[01:03:19.360 --> 01:03:26.400]   centralized it was uh my main point of disagreement is that his and his ideas evolve like everybody's you
[01:03:26.400 --> 01:03:34.080]   know it no no scientist or researcher in anything has an idea at the beginning of their career and holds it
[01:03:34.080 --> 01:03:41.920]   until the day they die his ideas are evolving but his ideas remain a core of them are that there was a
[01:03:41.920 --> 01:03:51.520]   very advanced single ancient civilization that was utterly destroyed by climactic conditions and uh the
[01:03:51.520 --> 01:03:58.480]   the younger dryer uh dryest hypothesis is part of that most recently he used to not say that now he's into
[01:03:58.480 --> 01:04:11.120]   this meteor thing but he believes that that civilization was destroyed but that uh members of it escaped this
[01:04:11.120 --> 01:04:18.400]   cataclysm and then spread out all over the world to cede all of the world civilizations for the next
[01:04:18.400 --> 01:04:25.520]   revival there's where i disagree with him i think these were independent civilizations that grew up
[01:04:25.520 --> 01:04:33.840]   uh in their own ways that they were not ceded by some more advanced civilization from the past and that they all
[01:04:33.840 --> 01:04:41.440]   hold things in common because they have this common ancestry of uh you know in his early books he suggested
[01:04:41.440 --> 01:04:50.240]   it's the it's atlantis i don't think he suggests that anymore but he still hangs on to the single advanced
[01:04:50.240 --> 01:04:57.360]   now completely lost civilization and you know archaeology is so we we don't have you know we're all of our
[01:04:58.640 --> 01:05:04.240]   ideas are theories very few of them are facts and we're not you know we could have the story wrong but
[01:05:04.240 --> 01:05:10.800]   one thing we're real good at is finding stuff i mean we find fish scales so i find it just
[01:05:10.800 --> 01:05:18.560]   too big a pill to swallow that there was a civilization that was that technologically advanced and that large
[01:05:18.560 --> 01:05:27.440]   that we can't even find a potsherd from yeah and of course it is a compelling story that there's a
[01:05:27.440 --> 01:05:34.720]   single civilization from which all of this came from because the alternative is you know the idea that
[01:05:34.720 --> 01:05:43.280]   we came across the bearing strait from asia went all the way down to south america and got isolated
[01:05:43.280 --> 01:05:50.640]   and created all these marvelous sophisticated civilizations and ideas including religious ideas
[01:05:51.520 --> 01:05:59.600]   that looks similar to other you know everybody has a flood myth right right so like there's a lot of
[01:05:59.600 --> 01:06:10.640]   similarities everybody building pyramids yeah uh but there could be a lot of other explanations and for
[01:06:10.640 --> 01:06:16.080]   uh even if it's a simple compelling explanation there has to be evidence for it right and what would that
[01:06:16.080 --> 01:06:20.880]   evidence that's the bottom line i mean everything's theories where we're and and as responsible
[01:06:20.880 --> 01:06:26.880]   scientists we're trying to disprove our theories we are not supposed to be trying to prove our theories
[01:06:26.880 --> 01:06:33.680]   that's that's one more foot out of the science box that archaeology often steps where we're supposed
[01:06:33.680 --> 01:06:40.560]   to be disproving what we think is happening not proving it yeah you don't want to lean into the mystery
[01:06:42.000 --> 01:06:47.840]   too much i mean most of it's essential it's such a weird discipline because you're operating in a
[01:06:47.840 --> 01:06:52.000]   it's like really in a dark room you're feeling around a dark room so it's mostly mystery
[01:06:52.000 --> 01:06:59.360]   i would say a lot of sciences operate we're in a mostly well-lit room it's like a dark corner
[01:07:00.720 --> 01:07:07.120]   and you're kind of uh figuring out a way to light it but in yeah in archaeology it's most of it is a
[01:07:07.120 --> 01:07:14.480]   mystery right yes it's job security i like that part you know but i i do also try to always remind
[01:07:14.480 --> 01:07:24.000]   myself that every paradigm shifting idea that humans has have ever had began as heresy and lunacy you know
[01:07:24.000 --> 01:07:30.560]   that guy was crazy up to the second he was brilliant and so we got to keep our minds open to
[01:07:30.560 --> 01:07:38.560]   the things that sound outlandish because one of them eventually is going to lead us to the big paradigm
[01:07:38.560 --> 01:07:45.440]   shift and if we you know if we're busy burning books of ideas that we don't like that's where we close
[01:07:45.440 --> 01:07:50.240]   our minds to the possibility of advancing things i really love that and i really appreciate that you're
[01:07:50.240 --> 01:07:58.320]   saying that um one of the fascinating things about just the amazon to me is that there's still a large
[01:07:58.320 --> 01:08:06.560]   number of uncontacted tribes as to rewind back into ancient history you can imagine all of these tribes
[01:08:06.560 --> 01:08:14.720]   that existed in the amazon that were uh isolated very sort of distinct from each other can you speak to
[01:08:14.720 --> 01:08:21.840]   this your understanding of these uh tribes and their history they're still here today well a lot of them
[01:08:21.840 --> 01:08:29.040]   are these you know by uncontacted we mean we don't know anything about these guys we know roughly where
[01:08:29.040 --> 01:08:35.600]   they are but places like ecuador have very responsible policies where no one's allowed to go contact them
[01:08:35.600 --> 01:08:41.200]   so we have a dearth of information if they walk out of the jungle and talk to us that's one thing
[01:08:41.680 --> 01:08:47.680]   but we don't go out and they're looking for them but they do seem you know frozen in time and i don't
[01:08:47.680 --> 01:08:54.640]   think any of us have a good estimation of how long they've been like that but you know we were saying
[01:08:54.640 --> 01:09:01.040]   earlier that you know humans change based on pressures of their environment you know it's a
[01:09:01.040 --> 01:09:09.680]   mother necessity is oftentimes how we invent things or why we change its pressure and one thing the amazon is
[01:09:09.680 --> 01:09:16.640]   once you you know figure out how not to die in it it's a paradise of food food's fallen from the sky
[01:09:16.640 --> 01:09:22.880]   all the time there and if once you learn to adapt to that environment you've got very little need
[01:09:22.880 --> 01:09:30.080]   there's no pressure to make anything else things are working so for the modern humans that come across
[01:09:30.080 --> 01:09:36.800]   these uncontacted tribes one of the things they document and notice is the propensity of these tribes for
[01:09:36.800 --> 01:09:43.280]   violence so they get very aggressive in in attacking whoever they come across and not just foreigners
[01:09:43.280 --> 01:09:50.720]   they attack each other the yanamamo are famous for just having never ending feuds with each other
[01:09:50.720 --> 01:10:00.080]   what do you think is the philosophy behind that i don't you know i'm a relatively peaceful person but i've
[01:10:00.080 --> 01:10:07.120]   got you know i've got the monster in me like everybody does and uh i i think that these you
[01:10:07.120 --> 01:10:15.440]   know it's cultural norms that become institutionalized for the yanamamo they really part of the pat the
[01:10:15.440 --> 01:10:24.480]   rite of passage to be a man is to go kill or maim somebody from an outer village and they go in there they
[01:10:24.480 --> 01:10:31.680]   they they oftentimes uh the the way they don't let uh inbreeding set in and ruin everybody not that they
[01:10:31.680 --> 01:10:38.640]   think of it scientifically but they they typically go and steal women from far off communities and that
[01:10:38.640 --> 01:10:44.960]   starts a big fight another thing that starts fights that when nobody even fought is illness
[01:10:44.960 --> 01:10:52.880]   illness illness in the amazon and all of the ancient americas wasn't seen as a biological thing it was a
[01:10:52.880 --> 01:11:00.640]   spiritual thing so if somebody in your village gets sick the question is asked well what spirit is
[01:11:00.640 --> 01:11:07.440]   menacing him and who called it out on him and then the rumor starts well i bet you it was joe over
[01:11:07.440 --> 01:11:11.840]   there in that other community he's still pissed off for that time when we stole his daughter yeah and we
[01:11:11.840 --> 01:11:18.480]   ought to go over there and kill joe yeah and then he'll get better and so this this uh this round of
[01:11:18.480 --> 01:11:26.640]   never-ending violence uh like hatfields and mccoy's had that thing and the uh the people of uh new guinea
[01:11:26.640 --> 01:11:34.240]   also do that so it's not you know there are certain areas uh mostly wooded areas now that i think about
[01:11:34.240 --> 01:11:43.520]   it where people just hide out and they attack each other as a cultural uh institution it's such a tricky
[01:11:43.520 --> 01:11:50.160]   thing to do to study an uncontacted tribe without obviously contacting them to figure out their language
[01:11:50.160 --> 01:11:56.880]   their philosophy of mind how they communicate the hierarchy they operate under and yeah you know there
[01:11:56.880 --> 01:12:01.440]   was a fascinating story in peru i guess it was probably like eight years ago or something but there
[01:12:01.440 --> 01:12:09.120]   was a a ranger from one of the biology stations who just in the by-and-by of uh protecting his area
[01:12:09.120 --> 01:12:14.640]   met one of these uncontacted tribes and befriended someone not the whole tribe but he made some friends
[01:12:14.640 --> 01:12:20.080]   who would meet him in the woods not in their community and he started to learn their language over
[01:12:20.080 --> 01:12:27.200]   couple years and so he was this kind of important guy who actually could be the first translator to
[01:12:27.200 --> 01:12:33.520]   talk to these people and one day a couple of them just came out of the woods and just plugged him with
[01:12:33.520 --> 01:12:38.080]   arrows and just killed him and then they went back in the woods like that's the one guy who understands
[01:12:38.080 --> 01:12:44.960]   what we're saying we should kill him and move our village so those folks really lean into the uh as
[01:12:44.960 --> 01:12:52.880]   you said the monster versus the uh the puppy you know everybody's got it i i think i think uh you know
[01:12:52.880 --> 01:13:03.200]   we we need to listen to our better angels because if we don't we we we as a human species can easily
[01:13:03.200 --> 01:13:10.160]   devolve into just using violence and against others to get what we want we it's a it's a daily choice we
[01:13:10.160 --> 01:13:16.080]   make not to be savages which is a fascinating thing to remember what kind of thing in civilized society
[01:13:16.080 --> 01:13:27.120]   we've moved past all that but it can uh it can be summoned like in uh uh 1984 the two minutes of hate
[01:13:28.720 --> 01:13:37.360]   with the right words that primal thing can be summoned and directed uh and lead to a lot of
[01:13:37.360 --> 01:13:44.720]   destruction and you know our our sports are really based on taking those kinds of urges and channeling
[01:13:44.720 --> 01:13:55.920]   them positive where somebody's not dead at the end of it yep uh so at which point did what we now call
[01:13:55.920 --> 01:14:04.720]   the maya civilization arise ah that's a that's another complicated one another group living mostly in a
[01:14:04.720 --> 01:14:12.560]   jungle that we have barely begun to explore you know the truth is a lot of the questions in the amazon and
[01:14:12.560 --> 01:14:19.040]   and and what we're talking about now is the paten and the mountains there those aren't places archaeologists
[01:14:19.040 --> 01:14:24.400]   want to live they're horrible i mean i've been there i don't want to live in a tent and eat rations
[01:14:24.400 --> 01:14:29.920]   i want to live in a nice town so a lot of the places where the answers are we still really haven't gotten
[01:14:29.920 --> 01:14:34.720]   there because it takes a special person to be educated enough to know what they're looking at and
[01:14:34.720 --> 01:14:41.600]   tough enough to want to be there i've done my tour of duty i'm now in a nice little podcast studio
[01:14:41.600 --> 01:14:50.960]   um but seriously the the maya the first hint that we see people who are culturally maya very close to
[01:14:50.960 --> 01:14:57.120]   where the time period for that chavin culture is about 1800 bce there's a culture that some call the
[01:14:57.120 --> 01:15:06.480]   mo kaya not maya but uh they're on the pacific coast uh where guatemala and mexico connect it's called the
[01:15:06.480 --> 01:15:12.480]   soconusco and those are the first people that are really going to be culturally maya and they're
[01:15:12.480 --> 01:15:19.760]   interacting with the culture that has traditionally been seen as mexico's mother culture which is the
[01:15:19.760 --> 01:15:26.080]   olmec they're kind of the same thing as we were talking about in south america where the the maya
[01:15:26.080 --> 01:15:33.520]   the original maya are not there's not a whole lot to indicate that they have a religion um but the olmec
[01:15:33.520 --> 01:15:39.200]   have this religion they develop and they start exporting it and you see the maya become more and
[01:15:39.200 --> 01:15:45.120]   more involved in in the religion that's being created by the olmec who are to the north of them
[01:15:45.120 --> 01:15:51.600]   in the swamps of what we call the isthmus of tuantapac i have a lot of questions to ask here
[01:15:51.600 --> 01:15:58.720]   about just a natural stupid confusion i have so first uh did the maya or the all might come first
[01:15:58.720 --> 01:16:08.720]   and are they distinct groups like how do you maintain a distinct civilization when you're so close together
[01:16:10.080 --> 01:16:15.600]   i i just finished filming a whole thing on the olmecs and their interaction with the maya for the
[01:16:15.600 --> 01:16:23.120]   great courses i'm thrilled for it to come out next spring um i think they co-evolved archaeology in this
[01:16:23.120 --> 01:16:29.920]   regard is the worst enemy of this we we put these names on cultures we we talk about how they evolve
[01:16:29.920 --> 01:16:36.480]   from one to another we draw these lines where there aren't any we make these time periods that a culture
[01:16:36.480 --> 01:16:41.120]   magically transforms into somebody with another name where i'm pretty sure they didn't care about
[01:16:41.120 --> 01:16:49.920]   any of those names but the the maya and the olmec are two parts of a larger interaction sphere that's
[01:16:49.920 --> 01:16:57.200]   happening in mesoamerica a very dynamic time the olmec are really bringing the religion part but the
[01:16:57.200 --> 01:17:06.560]   other areas are bringing technology ceramic technology uh making hematite mirrors making uh tools out of
[01:17:06.560 --> 01:17:16.080]   obsidian and other uh other stone types so you've got the olmec in the middle where where mexico gets
