
[00:00:00.000 --> 00:00:01.960]   There we go.
[00:40:34.960 --> 00:40:40.800]   things about images, you know? It's not learning the finer details of different cat breeds
[00:40:40.800 --> 00:40:45.280]   or whatever, but it's just trying to understand about the concepts of, like, fur or sky or
[00:40:45.280 --> 00:40:49.960]   metal. And I thought, well, there's no -- there's absolutely no reason to need 224 by 224 pixel
[00:40:49.960 --> 00:40:59.120]   images to be able to do that, you know? Like, it just seemed obviously stupid that we would
[00:40:59.120 --> 00:41:06.160]   do it. And partly, it was, like, also, like, I was just generally interested in changing
[00:41:06.160 --> 00:41:12.500]   things during training. So, one of, you know, in particular, learning rates, right? So,
[00:41:12.500 --> 00:41:17.720]   the idea of changing learning rates during training goes back a lot longer than Dawnbench,
[00:41:17.720 --> 00:41:22.080]   that people had been generally training them by having a learning rate that kind of dropped
[00:41:22.080 --> 00:41:26.840]   by a lot and then stayed flat and dropped by a lot and stayed flat. And Leslie Smith,
[00:41:26.840 --> 00:41:31.520]   in particular, came up with this idea of kind of, like, gradually increasing it over a curve
[00:41:31.520 --> 00:41:35.600]   and then gradually decreasing it following another curve. And so, I was definitely in
[00:41:35.600 --> 00:41:39.320]   the mindset of, like, oh, there's kind of interesting things we can change during training.
[00:41:39.320 --> 00:41:44.280]   So, I was looking at, like, oh, what if we change data augmentation during training,
[00:41:44.280 --> 00:41:49.260]   for example? Like, maybe towards the end of training, we should, like, turn off data augmentation
[00:41:49.260 --> 00:41:53.600]   so it could learn what unaugmented images look like, because that's what we really care
[00:41:53.600 --> 00:42:02.160]   about, for example. So, yeah, that was the kind of stuff that I was kind of interested
[00:42:02.160 --> 00:42:12.120]   in at the time. And so, yeah, definitely this thing of, like, you know, why are we looking
[00:42:12.120 --> 00:42:17.960]   over 224 by 224 pixel images the entire time? Like, that just seemed obviously stupid. And
[00:42:17.960 --> 00:42:21.160]   so, it wasn't something where I was like, wow, here's a crazy idea. I bet it won't work.
[00:42:21.160 --> 00:42:24.720]   As soon as I thought of it, I just thought, okay, this is definitely going to work, you
[00:42:24.720 --> 00:42:33.400]   know? And it did. >> Interesting. Thanks. Yeah. >> No worries. >> One question I have
[00:42:33.400 --> 00:42:37.400]   for you, Jeremy. >> Yeah. >> There was a paper that came out, like,
[00:42:37.400 --> 00:42:44.940]   in 2019 called Fixing the Test Train Resolution Discrepancy, where, yeah, were they, like,
[00:42:44.940 --> 00:42:52.120]   trained on 224 and then did inference finally on, like, 320 by 320? >> Yeah. >> Have you
[00:42:52.120 --> 00:42:57.920]   seen that still sort of work? Have you done that at all in your workflow? >> I mean, honestly,
[00:42:57.920 --> 00:43:04.760]   I don't remember. I need to revisit that paper because you're right, it's important tonight.
[00:43:04.760 --> 00:43:16.920]   I, you know, I would generally try to fine-tune on the final size I was going to be predicting
[00:43:16.920 --> 00:43:25.240]   on anyway. So, yeah, I guess we'll kind of see how we go with this, right? I mean, you
[00:43:25.240 --> 00:43:32.720]   can definitely take a model that was trained on 224 by 224 images and use it to predict
[00:43:32.720 --> 00:43:38.940]   360 by 360 images, and it will generally go pretty well. But I think it will go better
[00:43:38.940 --> 00:43:46.160]   if you first fine-tune it on 360 by 360 images. >> Yeah, I don't think they tried pre-training
[00:43:46.160 --> 00:43:52.100]   and then also training on, like, 320 versus just 320 in the 224. >> Yeah. >> That would
[00:43:52.100 --> 00:43:54.960]   definitely be an interesting experiment. >> Yeah, it would be an interesting experiment.
[00:43:54.960 --> 00:44:00.680]   It's definitely something that any of us here could do, you know? I think it would be cool.
[00:44:00.680 --> 00:44:07.520]   Right? So, let's try scaling this up. So, we can change these two lines to one. So,
[00:44:07.520 --> 00:44:14.720]   this is something I often do, is I do things like, yep. >> I think we don't have your screen.
[00:44:14.720 --> 00:44:22.880]   >> So, I was just saying previously, I had, like, two cells to do this, and so now I'm
[00:44:22.880 --> 00:44:27.040]   just going to combine it into one cell. So, this is what I tend to do as I fiddle around,
[00:44:27.040 --> 00:44:46.640]   because I try to, like, gradually make things a little bit more concise, you know? Okay.
[00:44:46.640 --> 00:44:58.120]   >> Does it make sense to go smaller than the original pre-training, like, covenant? Can't
[00:44:58.120 --> 00:45:02.320]   come next? >> Yeah, I mean, you can fine-tune to any size
[00:45:02.320 --> 00:45:08.560]   you like. Absolutely. I'm just going to get rid of the zero padding, because, again, I
[00:45:08.560 --> 00:45:13.880]   want to, like, try to change it a little bit each time, just to kind of, you know, it's
[00:45:13.880 --> 00:45:29.080]   a kind of augmentation, right? So, okay. So, let's go up to 192. You know, one thing I
[00:45:29.080 --> 00:45:34.120]   find encouraging is that, you know, my training loss isn't getting way underneath the validation
[00:45:34.120 --> 00:45:43.240]   loss. It's not like we're -- feels like we could do this for ages before our error rates
[00:45:43.240 --> 00:46:10.200]   start going up. Interestingly, when I reran this, my error rate was better, .418. We've
[00:46:10.200 --> 00:46:18.960]   got a good memory to remember these old papers. It's very helpful to be able to do that.
[00:46:18.960 --> 00:46:22.820]   >> Usually what I wind up doing is my dad and I will email back and forth papers to
[00:46:22.820 --> 00:46:28.240]   each other. So, I can just go through my scent, look at archive, and usually, if I don't remember
[00:46:28.240 --> 00:46:32.760]   the name of it, I remember the subject of it in some degree. So, I can just go through
[00:46:32.760 --> 00:46:34.760]   it all. >> I mean, it's a very, very good idea to
[00:46:34.760 --> 00:46:41.560]   use a paper manager of some sort, to save papers, you know, whether it be Mendeley or
[00:46:41.560 --> 00:46:54.000]   Zenodo or archive sanity or whatever, or bookmarks or something. Yeah, because otherwise these
[00:46:54.000 --> 00:47:01.400]   things disappear. Personally, I just tend to, like, tweet or favorite tweets about papers
[00:47:01.400 --> 00:47:07.120]   I'm interested in. And then I've set up pinboard.in. I don't know if you guys have seen that, but
[00:47:07.120 --> 00:47:17.000]   it's a really nice little thing, which basically any time you're on a website, you can click
[00:47:17.000 --> 00:47:23.680]   a button and the extension and it adds it to pinboard, but it also automatically adds
[00:47:23.680 --> 00:47:30.720]   all of your tweets and favorites, and it's got a full text search of the thing that the
[00:47:30.720 --> 00:47:35.960]   URLs link to, which is really helpful. >> So, you've favorited something that just
[00:47:35.960 --> 00:47:38.600]   says, oh, shit? >> No, I actually wrote something that just
[00:47:38.600 --> 00:47:47.320]   said, oh, shit. That was me writing, oh, shit. It was this, I mean, totally off topic, but
[00:47:47.320 --> 00:47:55.120]   it's absolutely disaster. I hope it's wrong, but it's absolutely disastrous sounding paper
[00:47:55.120 --> 00:48:03.520]   that came out yesterday that basically, where was this key thing? People who've had one
[00:48:03.520 --> 00:48:09.680]   COVID infection have a list of one sequelae of 8.4%, two infections 23%, three infections
[00:48:09.680 --> 00:48:15.960]   36%. It's like my worst nightmare is the more people get infected with COVID, the more likely
[00:48:15.960 --> 00:48:22.320]   it is that they'll get long-term symptoms, which is horrifying. That was my first shit
[00:48:22.320 --> 00:48:25.720]   moment. >> That is very horrifying.
[00:48:25.720 --> 00:48:31.840]   >> It's really awful. Okay. So, keeps going down, right? Which is cool. Let's keep bringing
[00:48:31.840 --> 00:48:40.240]   along, I suppose. I guess, you know, what we could do is just grab this whole damn thing
[00:48:40.240 --> 00:48:49.980]   here. Kind of have a bit of a comparison. So, we're basically going to run exactly the
[00:48:49.980 --> 00:49:15.240]   same thing we did earlier. At this time, with some pre-sizing first.
[00:49:15.240 --> 00:49:34.880]   All right. So, that'll be an interesting experiment. So, while that's running, you know, this is
[00:49:34.880 --> 00:49:46.320]   where I hit the old duplicate button. And this is why it's nice if you can to have a
[00:49:46.320 --> 00:49:59.600]   second card. Because while something's running, you can try something else. Cuda visible devices.
[00:49:59.600 --> 00:50:19.000]   There we go. So, we can keep working.
[00:50:19.000 --> 00:50:42.080]   Okay. So, Waited Data Loader. So, this is something I added to Fast AI a while ago and haven't
[00:50:42.080 --> 00:50:55.040]   used much myself since. But if I just search for Waited, here it is. Here it is. So, you
[00:50:55.040 --> 00:51:05.600]   can see in the docs, it shows you exactly how to use Waited Data Loaders. And so, we
[00:51:05.600 --> 00:51:12.800]   pass in a bat size. We pass in some weights. This is the weights. It's going to be 1, 2,
[00:51:12.800 --> 00:51:23.560]   3, 4, 5, 6, 7, 8. And then some item transforms. These are really interesting in the docs.
[00:51:23.560 --> 00:51:28.440]   In some ways, it's extremely advanced. And in other ways, it's extremely simple. Which
[00:51:28.440 --> 00:51:33.840]   is to say, if you look at this example in the docs, everything is totally manual, right?
[00:51:33.840 --> 00:51:44.180]   So, our labels are some random integers. And I've even added a comment here, right? It's
[00:51:44.180 --> 00:51:51.960]   going to be in the training set. Two are going to be in the validation set. So, our data
[00:51:51.960 --> 00:52:01.080]   block is going to contain one category block. Because we just got the one thing, right?
[00:52:01.080 --> 00:52:07.960]   And rather than doing get X and get Y, you can also just say getters. Because get X and
[00:52:07.960 --> 00:52:15.240]   get Y basically become getters, which is a list of transformations to do. And so, this
[00:52:15.240 --> 00:52:20.000]   is going to be a single getter or a single get X, if you like, which is going to return
[00:52:20.000 --> 00:52:25.400]   the Ith label. And a splitter, which is going to decide whether something's valid or not
[00:52:25.400 --> 00:52:32.080]   based on this function. So, you can see this whole thing is totally manual. So, we can
[00:52:32.080 --> 00:52:38.520]   create our data set by passing in a list of the numbers from 0 to 9. And a single item
[00:52:38.520 --> 00:52:43.440]   transform that's going to convert that to a tensor. And then our weights will be the
[00:52:43.440 --> 00:52:51.040]   numbers from 0 to 7. And so, then we can take our data sets or data sets and turn them into
[00:52:51.040 --> 00:53:02.240]   data loaders using those weights. So, for the batch size of 1, if we say show batch,
[00:53:02.240 --> 00:53:06.640]   we get back a single number, okay? And it's not doing random shuffling. So, we get the
[00:53:06.640 --> 00:53:17.720]   number 0, because that was the first thing in our data set. Let's see, what do we do
[00:53:17.720 --> 00:53:24.520]   next? Now, we've got to do n equals 160. So, now, we've got all of the numbers from 0 to
[00:53:24.520 --> 00:53:38.120]   159 with those weights. Yes, forgettors, yep. >> You mentioned, this is for X or Y.
[00:53:38.120 --> 00:53:44.040]   >> This is a list. It's whatever, right? There is just one thing. I don't know if you call
[00:53:44.040 --> 00:53:49.320]   that X or you call it Y. It's just one thing. So, if you have a get X and a get Y, that's
[00:53:49.320 --> 00:53:58.400]   the same as having a getters with a list of two things. So, yeah. I think I could just
[00:53:58.400 --> 00:54:01.400]   write get -- this has been aged since I put this, but I think I could just write get X
[00:54:01.400 --> 00:54:05.160]   here and put this not in a list. It would probably be the same thing.
[00:54:05.160 --> 00:54:09.400]   >> Okay. >> Probably handle a little bit of mystery
[00:54:09.400 --> 00:54:14.480]   that might be happening as well. >> Yeah. >> The data block has an input parameter.
[00:54:14.480 --> 00:54:17.680]   >> Correct. >> Which is how it determines what of the
[00:54:17.680 --> 00:54:22.920]   getters is X versus Y. >> Correct. Which we actually looked at last
[00:54:22.920 --> 00:54:33.400]   time. Here. When we created our multi-image block. That was before you joined, Zach. Yes,
[00:54:33.400 --> 00:54:49.560]   useful reminder. Okay. So, here we see in a histogram of how often -- so, our -- we created
[00:54:49.560 --> 00:54:54.280]   like a little synthetic learner that doesn't really do anything, but we can pass callbacks
[00:54:54.280 --> 00:54:59.280]   to it, and there's a callback called collect data callback, which just collects the data
[00:54:59.280 --> 00:55:05.360]   that's part -- that is called in the learner, and so this is how we can then find out what
[00:55:05.360 --> 00:55:11.000]   data was passed to the learner, get a histogram of it, and we can see that, yeah, the number
[00:55:11.000 --> 00:55:18.560]   160 was received a lot more often when we trained this learner, which is what you would
[00:55:18.560 --> 00:55:30.200]   expect. This is the source of the weighted data loader class here, and as you can see,
[00:55:30.200 --> 00:55:37.240]   other than the boilerplate, it's one, two, three, four, five lines of code. And then
[00:55:37.240 --> 00:55:43.680]   the weighted data loader's method is two lines of code. So, there's actually a lot more lines
[00:55:43.680 --> 00:55:49.560]   of example than there is of actual code. So, often it's easier just to read the source
[00:55:49.560 --> 00:55:55.800]   code, because, you know, thanks to the very layered approach of fast AI, we can do so
[00:55:55.800 --> 00:56:02.920]   much stuff with so little code. And so, in this case, if we look through the code, we're
[00:56:02.920 --> 00:56:10.120]   passing in some weights, and basically the key thing here is that we set -- if the -- if
[00:56:10.120 --> 00:56:15.440]   you pass in no weights at all, then we're just going to set it equal to the number one
[00:56:15.440 --> 00:56:22.080]   repeated n times, so everything's going to get one, a weight of one. And then we divide
[00:56:22.080 --> 00:56:26.240]   the weights by the sum of the weights so that the sum of the weights ends up summing up
[00:56:26.240 --> 00:56:42.520]   to one, which is what we want. And then if you're not shuffling, then there's no weighted
[00:56:42.520 --> 00:56:49.000]   anything to do, so we just pass back the indexes. And if we are shuffling, we will grab a random
[00:56:49.000 --> 00:57:10.120]   choice of -- based on the weights. Cool. All right. So, there's going to be one weight
[00:57:10.120 --> 00:57:15.520]   per row. Let's come back to that, because I want to see how our thing's gone. It looks
[00:57:15.520 --> 00:57:21.040]   like it's finished. Notice that the fav icon in Jupyter will change depending on whether
[00:57:21.040 --> 00:57:27.920]   something's running or not, so that's how you can quickly tell if something's finished.
[00:57:27.920 --> 00:57:50.400]   0.216, 0.221. Okay, I mean, it's not a huge difference, but maybe it's a tiny bit better.
[00:57:50.400 --> 00:57:56.760]   I don't know. The key thing, though, is this lets us use our resources better, right? So
[00:57:56.760 --> 00:58:02.000]   we often will end up with a better answer, but you can train for a lot less time. In
[00:58:02.000 --> 00:58:08.360]   fact, you can see that the error was at 0.216 back here, so we could probably have trained
[00:58:08.360 --> 00:58:13.240]   for a lot less epochs. So that's progressive resizing.
[00:58:13.240 --> 00:58:26.200]   Is there a way to look at that and go, "Oh, actually, I'd like to take the outputs from
[00:58:26.200 --> 00:58:31.000]   epoch 9," because it had a better --
[00:58:31.000 --> 00:58:36.120]   That was the question we got earlier about. That's called early stopping, and the answer
[00:58:36.120 --> 00:58:39.080]   is no. You probably wouldn't want to do early stopping.
[00:58:39.080 --> 00:58:46.680]   But you can't go back to a previous epoch. There's no history.
[00:58:46.680 --> 00:58:50.240]   You can. You have to use the early stopping callback to do that.
[00:58:50.240 --> 00:58:53.320]   All right, cool. Okay, I'll look at that.
[00:58:53.320 --> 00:59:00.200]   Or there's other things you can use. As I say, I don't think you should, but you can.
[00:59:00.200 --> 00:59:04.680]   If I go "training, Corbex, tracker" --
[00:59:04.680 --> 00:59:09.400]   Okay, so the other part of that is, is it counterproductive or not?
[00:59:09.400 --> 00:59:10.400]   Yeah, it's counterproductive.
[00:59:10.400 --> 00:59:13.920]   It's not a cheat if it works, but not if it doesn't?
[00:59:13.920 --> 00:59:16.600]   It's probably not a good idea. It probably will make it worse, yeah.
[00:59:16.600 --> 00:59:17.600]   Okay, great.
[00:59:17.600 --> 00:59:22.520]   So the other thing you can do is save model callback, which saves -- which is kind of
[00:59:22.520 --> 00:59:29.920]   like early stopping, but it doesn't stop. It saves the parameters of the best model
[00:59:29.920 --> 00:59:34.400]   during training, which is probably what you want instead of early stopping.
[00:59:34.400 --> 00:59:40.400]   I don't think you should do that either for the same reason we discussed earlier.
[00:59:40.400 --> 00:59:44.360]   Why shouldn't you do this? It seems like you could just ignore it if you didn't want it.
[00:59:44.360 --> 00:59:49.080]   Or later on, like it might not hurt you?
[00:59:49.080 --> 01:00:00.200]   Well, so this actually automatically loads the best set of parameters at the end.
[01:00:00.200 --> 01:00:10.480]   And you're just going to end up with this kind of model that just so happened to look
[01:00:10.480 --> 01:00:14.280]   a tiny bit better on the validation set at an earlier epoch.
[01:00:14.280 --> 01:00:18.720]   But at that earlier epoch, the laning rate hadn't yet stabilized, and it's very unlikely
[01:00:18.720 --> 01:00:21.200]   it really is better.
[01:00:21.200 --> 01:00:27.880]   So you've probably actually just picked something that's slightly worse and made your process
[01:00:27.880 --> 01:00:31.040]   slightly more complicated for no good reason.
[01:00:31.040 --> 01:00:39.320]   Being better on an epoch there doesn't necessarily say anything about the final hidden test set.
[01:00:39.320 --> 01:00:50.920]   Yeah, we have a strong prior belief that it will improve each epoch unless you're overfitting.
[01:00:50.920 --> 01:00:54.520]   And if you're overfitting, then you shouldn't be doing early stopping, you should be doing
[01:00:54.520 --> 01:00:56.520]   more augmentation.
[01:00:56.520 --> 01:01:02.960]   It seems like a good opportunity for somebody to document the arguments, because I'm curious
[01:01:02.960 --> 01:01:05.040]   what add-in does.
[01:01:05.040 --> 01:01:10.320]   Yes, that would be a great opportunity for somebody to document the arguments.
[01:01:10.320 --> 01:01:19.600]   And if somebody is interested in doing that, we have a really cool thing called documents,
[01:01:19.600 --> 01:01:32.140]   which I only invented after we created fast.ai.
[01:01:32.140 --> 01:01:38.160]   I should delete this because this is the old version, it's part of fast core.
[01:01:38.160 --> 01:01:44.800]   And you document each parameter by putting a comment after it.
[01:01:44.800 --> 01:01:47.880]   And you document the return by putting a comment after it.
[01:01:47.880 --> 01:01:55.640]   And Zach actually started a project to, after I created documents, to add documents, comments
[01:01:55.640 --> 01:02:00.240]   to everything in fast.ai, which of course is not finished because fast.ai is pretty
[01:02:00.240 --> 01:02:01.240]   big.
[01:02:01.240 --> 01:02:04.440]   And so here's an example of something that doesn't yet have documents, comments.
[01:02:04.440 --> 01:02:10.800]   So if somebody wants to go and add a comment to each of these things and put that into
[01:02:10.800 --> 01:02:20.320]   a PR, then that will end up in the documentation.
[01:02:20.320 --> 01:02:33.320]   Something we should do, Zach, is to actually include an example in the documentation of
[01:02:33.320 --> 01:02:37.160]   what it ends up looking like in NVDev, because I can see that's missing.
[01:02:37.160 --> 01:02:39.160]   That might be a good idea.
[01:02:39.160 --> 01:02:41.600]   I can see if I can get on that tomorrow.
[01:02:41.600 --> 01:02:42.600]   Yeah.
[01:02:42.600 --> 01:02:43.600]   Sorry, Hamel.
[01:02:43.600 --> 01:02:44.600]   What were you saying?
[01:02:44.600 --> 01:02:50.840]   No, I just wanted to encourage everybody that writing the documentation is an excellent
[01:02:50.840 --> 01:02:55.520]   way to learn deeply how everything works.
[01:02:55.520 --> 01:03:02.360]   And what ends up happening is you write this documentation and somebody like Jeremy will
[01:03:02.360 --> 01:03:07.000]   review it carefully and let you know what you don't understand.
[01:03:07.000 --> 01:03:12.520]   And that's how I learned about some other fast.ai library.
[01:03:12.520 --> 01:03:16.680]   So I highly recommend it, going and doing that.
[01:03:16.680 --> 01:03:18.040]   And here's what it ends up looking like.
[01:03:18.040 --> 01:03:19.040]   Right.
[01:03:19.040 --> 01:03:20.040]   So here's optimizer.
[01:03:20.040 --> 01:03:22.120]   And you can see it's got a little table underneath.
[01:03:22.120 --> 01:03:29.320]   And if we look at the source of optimizer, you'll see that each parameter has a comment
[01:03:29.320 --> 01:03:30.320]   next to it.
[01:03:30.320 --> 01:03:37.080]   But it's automatically turned into this table.
[01:03:37.080 --> 01:03:38.840]   All right.
[01:03:38.840 --> 01:03:39.840]   Yeah.
[01:03:39.840 --> 01:03:40.840]   Document are super cool.
[01:03:40.840 --> 01:03:41.840]   They are super cool.
[01:03:41.840 --> 01:03:43.360]   This sounds like a good place to wrap up.
[01:03:43.360 --> 01:03:50.720]   Anybody got any questions or comments or anything before we wrap up?
[01:03:50.720 --> 01:03:56.320]   I have a question regarding polyglot C resizing.
[01:03:56.320 --> 01:03:57.320]   Yes.
[01:03:57.320 --> 01:04:09.320]   We didn't do actually L.R. find after each step, don't you think it's something helpful?
[01:04:09.320 --> 01:04:10.320]   The L.R. find.
[01:04:10.320 --> 01:04:11.320]   Did you say?
[01:04:11.320 --> 01:04:12.320]   Yeah.
[01:04:12.320 --> 01:04:13.320]   Yeah.
[01:04:13.320 --> 01:04:14.320]   Yeah.
[01:04:14.320 --> 01:04:24.520]   I, to be honest, I don't use L.R. find much anymore nowadays, because, you know, at least
[01:04:24.520 --> 01:04:28.960]   for object recognition in computer vision, the optimal learning rate is pretty much always
[01:04:28.960 --> 01:04:30.400]   the same.
[01:04:30.400 --> 01:04:32.680]   It's always around 0.008, 0.01.
[01:04:32.680 --> 01:04:33.680]   Yeah.
[01:04:33.680 --> 01:04:39.760]   There's no reason to believe that we have any need to change it just because we changed
[01:04:39.760 --> 01:04:40.760]   the resolution.
[01:04:40.760 --> 01:04:50.640]   So, yeah, I wouldn't bother just leave it where it was.
[01:04:50.640 --> 01:04:55.640]   Jeremy, if you're training and validation loss is still decreasing after 12 people, can you
[01:04:55.640 --> 01:04:59.680]   pick up and train for a little longer without restarting?
[01:04:59.680 --> 01:05:00.680]   You can.
[01:05:00.680 --> 01:05:02.880]   The first thing I'll say is you shouldn't be looking at the validation loss to see if
[01:05:02.880 --> 01:05:03.880]   you're overfitting.
[01:05:03.880 --> 01:05:04.880]   You should be looking at the error rate.
[01:05:04.880 --> 01:05:09.560]   So, the validation loss can get worse whilst the error rate gets better, and that doesn't
[01:05:09.560 --> 01:05:13.560]   count as overfitting because the thing you want is to improve as the error rate.
[01:05:13.560 --> 01:05:17.360]   That can happen if it gets overconfident, but it's still improving.
[01:05:17.360 --> 01:05:25.520]   Yeah, you can keep training for longer because we're using, if you're using fit one cycle
[01:05:25.520 --> 01:05:33.400]   or fine-tune, and fine-tune uses fit one cycle behind the scenes, continuing to train further,
[01:05:33.400 --> 01:05:37.240]   your learning rate is going to go up and then down and then up and then down each time,
[01:05:37.240 --> 01:05:44.520]   which is not necessarily a bad thing, but, you know, if you, yeah, if you basically want
[01:05:44.520 --> 01:05:53.280]   to keep training at that, you know, at that point, you would probably want to decrease
[01:05:53.280 --> 01:05:59.240]   the learning rate by maybe 4x or so, and in fact, you know, I think after this, I'm going
[01:05:59.240 --> 01:06:08.320]   to rerun this whole notebook, but half the learning rate each time, so I think that would
[01:06:08.320 --> 01:06:16.360]   be potentially a good idea.
[01:06:16.360 --> 01:06:17.360]   I have a question.
[01:06:17.360 --> 01:06:22.840]   I don't know if it's too late, but I think it might be useful to discuss, when you do
[01:06:22.840 --> 01:06:32.160]   the progressive resizing, what part of the model gets dropped, like, what, you know,
[01:06:32.160 --> 01:06:37.120]   is there some part of the model that needs to be reinitialized for the new?
[01:06:37.120 --> 01:06:38.120]   No.
[01:06:38.120 --> 01:06:39.120]   Nothing needs to be reinitialized, no.
[01:06:39.120 --> 01:06:40.120]   I found this on the web.
[01:06:40.120 --> 01:06:41.120]   Sorry, I didn't watch.
[01:06:41.120 --> 01:06:42.120]   Who found what on the web?
[01:06:42.120 --> 01:06:48.160]   I thought you were talking to me, but you're talking to Siri?
[01:06:48.160 --> 01:06:50.160]   I'm offended.
[01:06:50.160 --> 01:06:54.080]   Siri, teach me deep learning.
[01:06:54.080 --> 01:07:03.040]   Yeah, ConfNext is what we call a resolution-independent architecture, which means it doesn't, it works
[01:07:03.040 --> 01:07:13.240]   for any input resolution, and time-permitting in the next lesson, we will see how convolutional
[01:07:13.240 --> 01:07:18.040]   neural networks actually work, but I guess a lot of you probably already know, so for
[01:07:18.040 --> 01:07:23.520]   those of you that do, if you think about it, it's basically going patch by patch and doing
[01:07:23.520 --> 01:07:32.760]   this kind of mini matrix multiplier for each patch, so if you change the input resolution,
[01:07:32.760 --> 01:07:37.000]   it just has more patches to cover, but it doesn't change the parameters at all, so there's nothing
[01:07:37.000 --> 01:07:38.800]   to reinitialize.
[01:07:38.800 --> 01:07:42.200]   Does that make sense, Hamill?
[01:07:42.200 --> 01:07:44.120]   Yeah, that makes sense.
[01:07:44.120 --> 01:07:47.080]   I was just asking for the, like, in general.
[01:07:47.080 --> 01:07:49.080]   For the record, fair enough.
[01:07:49.080 --> 01:07:50.080]   Yeah.
[01:07:50.080 --> 01:07:51.080]   Just a question.
[01:07:51.080 --> 01:07:52.080]   Go ahead.
[01:07:52.080 --> 01:07:57.080]   I was just going to, a quick note, say, is ResNet resolution-independent?
[01:07:57.080 --> 01:07:58.080]   Yep.
[01:07:58.080 --> 01:07:59.080]   Is it good?
[01:07:59.080 --> 01:08:00.080]   Yep.
[01:08:00.080 --> 01:08:01.080]   Yep.
[01:08:01.080 --> 01:08:09.160]   Typically, everything we use is normally, but in the, like, have a look at that, like,
[01:08:09.160 --> 01:08:16.400]   best fine-tuning models notebook, and you'll see that two of the best ones are called VIT
[01:08:16.400 --> 01:08:19.160]   and SWIN, and also SWIN-V2.
[01:08:19.160 --> 01:08:26.800]   None of those are resolution-independent, although there is a trick you can use to kind of make
[01:08:26.800 --> 01:08:34.000]   them resolution-independent, which we should try out in a future walkthrough.
[01:08:34.000 --> 01:08:36.520]   Is that fiddling with the head or something?
[01:08:36.520 --> 01:08:37.520]   Oh, there's a TIM.
[01:08:37.520 --> 01:08:42.120]   There's a thing you can pass to TIM.
[01:08:42.120 --> 01:08:45.360]   I don't know if we can use it to support progressive resizing or not.
[01:08:45.360 --> 01:08:48.680]   It'll be interesting to experiment with.
[01:08:48.680 --> 01:08:51.680]   It's basically changing the positional encodings.
[01:08:51.680 --> 01:08:55.640]   I have a question.
[01:08:55.640 --> 01:08:56.640]   Interesting.
[01:08:56.640 --> 01:08:57.640]   Yeah.
[01:08:57.640 --> 01:09:06.500]   After you've done your experiments, progressive resizing, and fine-tuning, how do you infest
[01:09:06.500 --> 01:09:09.720]   AI train with the whole training set?
[01:09:09.720 --> 01:09:12.960]   I never got around to do that.
[01:09:12.960 --> 01:09:15.040]   Do you create a dummy version?
[01:09:15.040 --> 01:09:16.640]   I almost never do.
[01:09:16.640 --> 01:09:24.200]   Like, instead, I do what we saw in the last walkthrough, which is I just train on a few
[01:09:24.200 --> 01:09:36.760]   different randomly selected training sets, because that way, you know, you get the benefit
[01:09:36.760 --> 01:09:37.760]   of ensembling.
[01:09:37.760 --> 01:09:41.080]   You're going to end up seeing all the images, at least one anyway.
[01:09:41.080 --> 01:09:44.320]   And you can also kind of see if something's messed up, because you've still got a validation
[01:09:44.320 --> 01:09:46.240]   set each time.
[01:09:46.240 --> 01:09:51.440]   So yeah, I used to do this thing where I would create a validation set with a single item
[01:09:51.440 --> 01:09:57.400]   in to get that last bit of juice, but I don't even do that anymore.
[01:09:57.400 --> 01:09:58.400]   Okay.
[01:09:58.400 --> 01:09:59.400]   Thanks.
[01:09:59.400 --> 01:10:01.400]   No worries.
[01:10:01.400 --> 01:10:05.040]   All right, gang.
[01:10:05.040 --> 01:10:06.040]   Enjoy the rest of your day/evening.
[01:10:06.040 --> 01:10:07.040]   Nice to see you all.
[01:10:07.040 --> 01:10:08.040]   Bye.
[01:10:08.040 --> 01:10:09.040]   Bye.
[01:10:09.040 --> 01:10:10.040]   Bye.
[01:10:10.040 --> 01:10:11.040]   Thanks.
[01:10:11.040 --> 01:10:12.280]   Thank you.

