
[00:00:00.000 --> 00:00:06.800]   In this chapter we're going to cover streaming and async in Langchain. Now both using async code
[00:33:37.180 --> 00:33:42.780]   running so we get this we continue we continue this none of this is actually executed yet
[00:33:42.780 --> 00:33:52.220]   right only here when we await the task that we set up here only then does our agent executor
[00:33:52.220 --> 00:34:02.140]   run and our async object here begin getting tokens right and here again i'm printing but i don't need to
[00:34:02.140 --> 00:34:07.580]   print i could i could have like a let's say where this is within an api or something
[00:34:07.580 --> 00:34:20.540]   let's say i'm i'm saying okay send token to xyz token right that's sending up tokens somewhere or if we're
[00:34:20.540 --> 00:34:26.780]   maybe we're yielding this to our some sort of streamer object within our api right we can do whatever we
[00:34:26.780 --> 00:34:31.660]   want with those tokens okay i'm just printing them because i want to actually see them okay
[00:34:32.620 --> 00:34:38.380]   but just important here is that we're not printing them within our agent executor we're printing them
[00:34:38.380 --> 00:34:44.300]   outside the agent executor we've got them out and we can put them wherever we want which is perfect
[00:34:44.300 --> 00:34:49.100]   when you're building an actual sort of real world use case we're using an api or something else okay so
[00:34:49.100 --> 00:34:55.260]   let's run that let's see what we get look at that we get all of the information we could need
[00:34:55.900 --> 00:35:02.540]   and a little bit more right because now we're using the agent executor and now we can also see
[00:35:02.540 --> 00:35:09.180]   oh we have this step end right so i know or i know just from looking at this right this is my first
[00:35:09.180 --> 00:35:16.380]   tool use so what tool is it let's have a look it's the add tool and then we have these arguments so i can
[00:35:16.380 --> 00:35:24.620]   then pass them right downstream then we have the next tool use which is here down here so then we can
[00:35:24.620 --> 00:35:33.500]   then pass them in the way that we like so that's pretty cool let's i mean let's see right so we're
[00:35:33.500 --> 00:35:39.180]   we're getting those fingers out can we can we do something with them before i before i print them
[00:35:39.180 --> 00:35:47.500]   and show them yes let's see okay so we're now modifying our our loop here same stuff right we're
[00:35:47.500 --> 00:35:53.180]   still initializing our queue initializing our streamer initializing our tasks okay and we're still doing
[00:35:53.180 --> 00:36:01.500]   this async for token streamer okay but then we're doing stuff with our tokens so i'm saying okay if we're on
[00:36:01.500 --> 00:36:08.220]   stream end i'm not actually going to print stream and i'm going to print new line okay otherwise if
[00:36:08.220 --> 00:36:16.300]   we're getting a tool call here we're going to say if that tool call is the tool name i am going to print
[00:36:16.300 --> 00:36:23.820]   calling tool name okay if it's the arguments i'm going to print the tool argument and i'm going to end
[00:36:23.820 --> 00:36:28.780]   that with nothing so that we don't go onto a new line so we're actually going to be streaming everything
[00:36:28.780 --> 00:36:30.860]   okay so let's just see what this looks like
[00:36:30.860 --> 00:36:37.500]   oh my bad i just added that
[00:36:37.500 --> 00:36:39.820]   okay
[00:36:39.820 --> 00:36:47.020]   you see that so it goes it goes very fast so it's kind of hard to see it i'm going to slow
[00:36:47.020 --> 00:36:53.660]   it down so you can see so you can see that we as soon as we get the tool name we stream that we're
[00:36:53.660 --> 00:36:58.460]   calling the add tool then we stream token by token the actual arguments for that tool
[00:36:58.460 --> 00:37:04.460]   then for the next one again we do the same we're calling this tool name then we're streaming token
[00:37:04.460 --> 00:37:11.580]   by token again we're processing everything downstream from outside of the agent executor and this is an
[00:37:11.580 --> 00:37:18.780]   essential thing to be able to do when we're actually implementing streaming and async and everything
[00:37:18.780 --> 00:37:28.380]   else in an actual application so i know that's a lot but it's important so that is it for our chapter
[00:37:28.940 --> 00:37:44.780]   on streaming and async i hope it's all been useful thanks
[00:37:44.780 --> 00:37:46.840]   you
[00:37:46.840 --> 00:37:48.900]   you

