
[00:00:00.040 --> 00:00:09.580]   Bizim
[00:24:11.840 --> 00:24:11.840]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:11.840 --> 00:24:41.860]  ,
[00:24:41.860 --> 00:24:41.860]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:41.860 --> 00:24:41.860]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:41.860 --> 00:24:41.860]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:41.860 --> 00:24:41.860]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:41.860 --> 00:24:41.860]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:41.860 --> 00:24:41.860]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:41.860 --> 00:24:41.860]   I realized, I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:41.880 --> 00:25:11.880]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:25:11.880 --> 00:25:11.880]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:25:11.880 --> 00:25:11.880]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:25:11.880 --> 00:25:11.880]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:25:11.880 --> 00:25:11.880]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:25:11.880 --> 00:25:11.880]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:25:11.880 --> 00:25:11.880]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:25:11.880 --> 00:25:11.880]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:25:11.920 --> 00:25:41.900]  ,
[00:25:41.900 --> 00:25:41.900]   The business of progressives is to go on making money.
[00:25:41.900 --> 00:25:41.900]   The business of progressives is to go on making money.
[00:25:41.900 --> 00:25:41.900]   The business of progressives is to go on making money.
[00:25:41.900 --> 00:25:41.900]   The business of progressives is to go on making money.
[00:25:41.900 --> 00:25:41.900]   The business of progressives is to go on making money.
[00:25:41.900 --> 00:25:41.900]   The business of progressives is to go on making money.
[00:25:41.900 --> 00:25:41.900]   The business of progressives is to go on making money.
[00:25:41.900 --> 00:25:41.900]   The business of progressives is to go on making money.
[00:25:41.900 --> 00:25:41.900]   The business of progressives is to go on making money.
[00:25:41.900 --> 00:25:41.900]   The business of progressives is to go on making money.
[00:25:41.900 --> 00:25:41.900]   The business of progressives is to go on making money.
[00:25:41.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:11.920]   The business of progressives is to go on making money.
[00:26:11.920 --> 00:26:41.940]   The business of progressives is to go on making money.
[00:26:41.940 --> 00:26:41.940]   The business of progressives is to go on making money.
[00:26:41.940 --> 00:26:41.940]   The business of progressives is to go on making money.
[00:26:41.940 --> 00:26:41.940]   The business of progressives is to go on making money.
[00:26:41.940 --> 00:26:41.940]   The business of progressives is to go on making money.
[00:26:41.940 --> 00:26:41.940]   The business of progressives is to go on making money.
[00:26:41.940 --> 00:26:41.940]   The business of progressives is to go on making money.
[00:26:41.940 --> 00:26:41.940]   The business of progressives is to go on making money.
[00:26:41.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:11.960]   The business of progressives is to go on making money.
[00:27:11.960 --> 00:27:41.980]   The business of progressives is to go on making money.
[00:27:41.980 --> 00:27:41.980]   The business of progressives is to go on making money.
[00:27:41.980 --> 00:27:41.980]   The business of progressives is to go on making money.
[00:27:41.980 --> 00:27:41.980]   The business of progressives is to go on making money.
[00:27:41.980 --> 00:27:41.980]   The business of progressives is to go on making money.
[00:27:41.980 --> 00:27:41.980]   The business of progressives is to go on making money.
[00:27:41.980 --> 00:27:41.980]   The business of progressives is to go on making money.
[00:27:41.980 --> 00:27:41.980]   The business of progressives is to go on making money.
[00:27:41.980 --> 00:27:41.980]   The business of progressives is to go on making money.
[00:27:41.980 --> 00:27:41.980]   The business of progressives is to go on making money.
[00:27:42.000 --> 00:28:12.000]   I'm going to end this with my comments about entrepreneurship and employment.
[00:28:12.000 --> 00:28:12.000]   I'm going to end this with my comments about entrepreneurship and employment.
[00:28:12.000 --> 00:28:12.000]   I really love entrepreneurship.
[00:28:12.000 --> 00:28:12.000]   I think entrepreneurship is a wonderful tool to help you achieve a greater degree of freedom.
[00:28:12.000 --> 00:28:12.000]   I believe that a greater degree of freedom can be a very powerful thing in your life.
[00:28:12.000 --> 00:28:12.000]   However, sometimes entrepreneurship can be way more difficult than the freedom that can be gained from the
[00:28:12.040 --> 00:28:42.020]   in your life.
[00:28:42.020 --> 00:28:42.020]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:28:42.020 --> 00:28:42.020]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:28:42.020 --> 00:28:42.020]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:28:42.020 --> 00:28:42.020]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:28:42.020 --> 00:28:42.020]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:28:42.020 --> 00:28:42.020]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:28:42.020 --> 00:28:42.020]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:28:42.020 --> 00:28:42.020]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:28:42.020 --> 00:28:42.020]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:28:42.020 --> 00:28:42.020]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:28:42.040 --> 00:29:12.040]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:12.040 --> 00:29:12.040]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:12.040 --> 00:29:12.040]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:12.040 --> 00:29:12.040]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:12.040 --> 00:29:12.040]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:12.040 --> 00:29:12.040]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:12.040 --> 00:29:12.040]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:12.040 --> 00:29:12.040]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:12.040 --> 00:29:12.040]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:12.040 --> 00:29:12.040]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:42.060 --> 00:29:42.060]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:42.060 --> 00:29:42.060]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:42.060 --> 00:29:42.060]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:42.060 --> 00:29:42.060]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:29:42.060 --> 00:29:42.060]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:12.080 --> 00:30:12.080]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:12.080 --> 00:30:12.080]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:12.080 --> 00:30:12.080]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:12.080 --> 00:30:12.080]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:12.080 --> 00:30:12.080]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:12.080 --> 00:30:12.080]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:12.080 --> 00:30:12.080]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:12.080 --> 00:30:12.080]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:12.080 --> 00:30:42.100]  ,
[00:30:42.100 --> 00:30:42.100]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:42.100 --> 00:30:42.100]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:42.100 --> 00:30:42.100]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:42.100 --> 00:30:42.100]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:42.100 --> 00:30:42.100]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:42.100 --> 00:30:42.100]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:42.100 --> 00:30:42.100]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:30:42.120 --> 00:31:12.120]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:12.120 --> 00:31:12.120]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:12.120 --> 00:31:12.120]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:12.120 --> 00:31:12.120]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:12.120 --> 00:31:12.120]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:12.120 --> 00:31:12.120]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:12.120 --> 00:31:12.120]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:12.120 --> 00:31:12.120]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:12.120 --> 00:31:12.120]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:12.120 --> 00:31:12.120]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:12.120 --> 00:31:42.140]  ,
[00:31:42.140 --> 00:31:42.140]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:42.140 --> 00:31:42.140]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:42.140 --> 00:31:42.140]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:42.140 --> 00:31:42.140]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:42.140 --> 00:31:42.140]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:31:42.160 --> 00:32:12.160]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:12.160 --> 00:32:12.160]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:12.160 --> 00:32:12.160]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:12.160 --> 00:32:12.160]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:12.160 --> 00:32:12.160]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:12.160 --> 00:32:12.160]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:12.160 --> 00:32:12.160]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:12.160 --> 00:32:12.160]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:12.160 --> 00:32:12.160]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:12.160 --> 00:32:12.160]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:12.180 --> 00:32:42.180]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:42.180 --> 00:32:42.180]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:42.180 --> 00:32:42.180]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:42.180 --> 00:32:42.180]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:42.180 --> 00:32:42.180]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:42.180 --> 00:32:42.180]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:42.180 --> 00:32:42.180]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:42.180 --> 00:32:42.180]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:32:42.220 --> 00:33:12.200]  ,
[00:33:12.200 --> 00:33:12.200]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:12.200 --> 00:33:12.200]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:12.200 --> 00:33:12.200]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:12.200 --> 00:33:12.200]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:12.200 --> 00:33:12.200]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:12.200 --> 00:33:12.200]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:12.200 --> 00:33:12.200]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:12.220 --> 00:33:42.220]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:42.220 --> 00:33:42.220]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:42.220 --> 00:33:42.220]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:42.220 --> 00:33:42.220]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:42.220 --> 00:33:42.220]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:42.220 --> 00:33:42.220]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:42.220 --> 00:33:42.220]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:42.220 --> 00:33:42.220]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:42.220 --> 00:33:42.220]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:42.220 --> 00:33:42.220]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:33:42.260 --> 00:34:12.240]  ,
[00:34:12.240 --> 00:34:12.240]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:12.240 --> 00:34:12.240]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:12.240 --> 00:34:12.240]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:12.240 --> 00:34:12.240]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:12.240 --> 00:34:12.240]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:12.240 --> 00:34:12.240]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:12.260 --> 00:34:42.260]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:42.260 --> 00:34:42.260]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:42.260 --> 00:34:42.260]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:42.260 --> 00:34:42.260]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:42.260 --> 00:34:42.260]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:42.260 --> 00:34:42.260]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:42.260 --> 00:34:42.260]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:42.260 --> 00:34:42.260]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:42.260 --> 00:34:42.260]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:42.260 --> 00:34:42.260]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:34:42.300 --> 00:35:12.280]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:12.280 --> 00:35:12.280]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:12.280 --> 00:35:12.280]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:12.280 --> 00:35:12.280]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:12.280 --> 00:35:12.280]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:12.280 --> 00:35:12.280]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:12.300 --> 00:35:42.300]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:42.300 --> 00:35:42.300]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:42.300 --> 00:35:42.300]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:42.300 --> 00:35:42.300]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:42.300 --> 00:35:42.300]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:42.300 --> 00:35:42.300]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:42.300 --> 00:35:42.300]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:42.300 --> 00:35:42.300]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:42.300 --> 00:35:42.300]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:42.300 --> 00:35:42.300]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:35:42.300 --> 00:36:12.320]  ,
[00:36:12.320 --> 00:36:12.320]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:12.320 --> 00:36:12.320]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:12.320 --> 00:36:12.320]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:12.320 --> 00:36:12.320]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:12.320 --> 00:36:12.320]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:12.320 --> 00:36:12.320]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:12.340 --> 00:36:42.340]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:42.340 --> 00:36:42.340]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:42.340 --> 00:36:42.340]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:42.340 --> 00:36:42.340]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:42.340 --> 00:36:42.340]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:42.340 --> 00:36:42.340]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:42.340 --> 00:36:42.340]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:42.340 --> 00:36:42.340]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:42.340 --> 00:36:42.340]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:42.340 --> 00:36:42.340]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:36:42.380 --> 00:37:12.360]  , I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:12.360 --> 00:37:12.360]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:12.360 --> 00:37:12.360]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:12.360 --> 00:37:12.360]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:12.380 --> 00:37:42.380]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:42.380 --> 00:37:42.380]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:42.380 --> 00:37:42.380]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:42.380 --> 00:37:42.380]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:42.380 --> 00:37:42.380]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:42.380 --> 00:37:42.380]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:42.380 --> 00:37:42.380]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:42.380 --> 00:37:42.380]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:42.380 --> 00:37:42.380]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:42.380 --> 00:37:42.380]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:37:42.380 --> 00:38:12.400]  ,
[00:38:12.400 --> 00:38:12.400]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:12.400 --> 00:38:12.400]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:12.400 --> 00:38:12.400]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:12.400 --> 00:38:12.400]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:12.400 --> 00:38:12.400]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:12.420 --> 00:38:42.420]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:42.420 --> 00:38:42.420]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:42.420 --> 00:38:42.420]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:42.420 --> 00:38:42.420]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:42.420 --> 00:38:42.420]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:42.420 --> 00:38:42.420]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:42.420 --> 00:38:42.420]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:42.420 --> 00:38:42.420]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:42.420 --> 00:38:42.420]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:42.420 --> 00:38:42.420]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:38:42.460 --> 00:39:12.440]  ,
[00:39:12.440 --> 00:39:12.440]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:12.440 --> 00:39:12.440]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:12.440 --> 00:39:12.440]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:12.440 --> 00:39:12.440]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:12.440 --> 00:39:12.440]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:12.440 --> 00:39:12.440]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:12.460 --> 00:39:42.460]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:42.460 --> 00:39:42.460]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:42.460 --> 00:39:42.460]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:42.460 --> 00:39:42.460]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:42.460 --> 00:39:42.460]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:42.460 --> 00:39:42.460]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:42.460 --> 00:39:42.460]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:42.460 --> 00:39:42.460]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:42.460 --> 00:39:42.460]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:42.460 --> 00:39:42.460]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:39:42.460 --> 00:40:12.480]  ,
[00:40:12.480 --> 00:40:12.480]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:40:12.480 --> 00:40:12.480]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:40:12.480 --> 00:40:12.480]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:40:12.480 --> 00:40:12.480]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:40:12.500 --> 00:40:42.500]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:40:42.500 --> 00:40:42.500]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:40:42.500 --> 00:40:42.500]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:40:42.500 --> 00:40:42.500]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
[00:40:42.500 --> 00:40:42.500]   I think entrepreneurship is a very powerful tool to help you achieve a greater degree of freedom.
