
[00:00:00.000 --> 00:00:02.000]   Welcome back everybody
[00:26:18.840 --> 00:26:25.640]   In Keras, there's a concept we don't have in fast AI or pytorch of compiling a model
[00:26:25.640 --> 00:26:28.720]   So basically once your models ready to use you have to compile it
[00:26:28.720 --> 00:26:35.920]   Passing in what kind of optimizer to use what kind of loss to look for or what metrics so again with fast AI
[00:26:35.920 --> 00:26:42.620]   You don't have to pass this in because we know what loss is the right loss to use you can always override it
[00:26:42.620 --> 00:26:45.020]   But for a particular model we give you good defaults
[00:26:45.980 --> 00:26:47.980]   Okay, so having done all that
[00:26:47.980 --> 00:26:50.980]   Rather than calling fit you call fit generator
[00:26:50.980 --> 00:26:56.500]   Passing in those two generators that you saw earlier the train generator and the validation generator
[00:26:56.500 --> 00:27:04.000]   For reasons I don't quite understand Keras expects you to also tell it how many batches there are per epoch
[00:27:04.000 --> 00:27:08.340]   So the number of batches is equal to the size of the generator
[00:27:08.340 --> 00:27:12.500]   Divided by the batch size you can tell it how many epochs
[00:27:13.420 --> 00:27:15.420]   just like in
[00:27:15.420 --> 00:27:17.420]   Fast AI you can say how many
[00:27:17.420 --> 00:27:20.900]   Processes or how many workers to use for pre-processing?
[00:27:20.900 --> 00:27:27.500]   Unlike fast AI the default in Keras is basically not to use any
[00:27:27.500 --> 00:27:32.620]   So you to get good speed you've got to make sure you include this
[00:27:32.620 --> 00:27:39.540]   And so that's basically enough to start fine-tuning the last layers
[00:27:42.820 --> 00:27:46.140]   So as you can see I got to a validation accuracy of 95%
[00:27:46.140 --> 00:27:53.040]   But as you can also see something really weird happened where after one it was like 49 and then it was 69 and then 95
[00:27:53.040 --> 00:27:54.900]   I don't know
[00:27:54.900 --> 00:28:01.500]   Why these are so low? That's not normal. I may have there may be a bug in Keras. They may be a bug in my code
[00:28:01.500 --> 00:28:08.060]   I reached out on Twitter to see if anybody could figure it out, but they couldn't I guess this is one of the challenges with using
[00:28:08.700 --> 00:28:14.740]   Something like this is one of the reasons I wanted to use fast AI for this course is it's much harder to screw things up
[00:28:14.740 --> 00:28:18.700]   So I don't know if I screwed something up or somebody else did yes, you know
[00:28:18.700 --> 00:28:28.780]   This is using the tensorflow back end yeah, yeah, and if you want to run this to try it out yourself
[00:28:28.780 --> 00:28:32.500]   You just can just go pip install
[00:28:32.500 --> 00:28:35.500]   tensorflow - GPU
[00:28:36.940 --> 00:28:38.500]   Keras
[00:28:38.500 --> 00:28:42.720]   Okay, because it's not part of the fast AI environment about default
[00:28:42.720 --> 00:28:47.540]   But that should be all you need to do to get that working
[00:28:47.540 --> 00:28:54.060]   So then
[00:28:54.060 --> 00:29:00.420]   There isn't a concept of like layer groups or differential learning rates or partial unfreezing or whatever
[00:29:00.420 --> 00:29:04.420]   So you have to decide like I had to print out all of the layers and decide manually
[00:29:04.980 --> 00:29:10.280]   How many I wanted to fine-tune so I decided to fine-tune everything from a layer 140 onwards
[00:29:10.280 --> 00:29:12.280]   So that's why I just looped through like this
[00:29:12.280 --> 00:29:15.540]   After you change that you have to recompile the model
[00:29:15.540 --> 00:29:19.540]   And then after that I then ran another step and again
[00:29:19.540 --> 00:29:25.380]   I don't know what happened here the accuracy of the training set stayed about the same but the validation set totally fell in the hole
[00:29:25.380 --> 00:29:31.120]   But I mean the main thing to note is even if we put aside the validation set
[00:29:32.340 --> 00:29:36.300]   We're getting I mean, I guess the main thing is there's a hell of a lot more code here
[00:29:36.300 --> 00:29:42.860]   Which is kind of annoying but also the performance is very different. So we're also here even on the training set
[00:29:42.860 --> 00:29:48.420]   We're getting like 97% after four epochs that took a total of about eight minutes
[00:29:48.420 --> 00:29:51.140]   you know over here we had
[00:29:51.140 --> 00:29:58.100]   99.5% on the validation set and it ran a lot faster. So it was like
[00:29:58.100 --> 00:30:00.940]   four or five minutes
[00:30:00.940 --> 00:30:02.860]   right
[00:30:02.860 --> 00:30:04.860]   so
[00:30:04.860 --> 00:30:12.880]   Depending on what you do particularly if you end up wanting to deploy stuff to mobile devices at the moment
[00:30:12.880 --> 00:30:18.020]   The kind of pie torch on mobile situation is very early
[00:30:18.020 --> 00:30:24.340]   So you may find yourself wanting to use tensorflow or you may work for a company that's kind of settled on tensorflow
[00:30:24.340 --> 00:30:30.260]   So if you need to convert something like redo something you've learned here in tensorflow
[00:30:30.980 --> 00:30:35.160]   You probably want to do it with Keras, but just recognize
[00:30:35.160 --> 00:30:38.700]   you know, it's going to take a bit more work to get there and
[00:30:38.700 --> 00:30:46.140]   By default it's much harder to get I mean I to get the same state-of-the-art results you get with fast AI
[00:30:46.140 --> 00:30:49.620]   You'd have to like replicate all of the state-of-the-art
[00:30:49.620 --> 00:30:53.300]   Algorithms that are in fast AI so it's hard to get the same
[00:30:53.300 --> 00:30:58.540]   Level of results, but you can see the basic ideas are similar
[00:30:59.140 --> 00:31:01.140]   Okay, and it's certainly
[00:31:01.140 --> 00:31:07.380]   It's certainly possible, you know, like there's nothing I'm doing in fast AI that like would be impossible
[00:31:07.380 --> 00:31:11.260]   But like you would have to implement stochastic gradient percent with restarts. You would have to
[00:31:11.260 --> 00:31:16.820]   Implement differential learning rates you would have to implement batch norm freezing
[00:31:16.820 --> 00:31:20.940]   Which you probably don't want to do. I know well, that's not quite true
[00:31:20.940 --> 00:31:23.100]   I think somewhat one person at least on the forum is
[00:31:23.100 --> 00:31:28.380]   Attempting to create a Keras compatible version of or tons of flow compatible version fast AI
[00:31:28.380 --> 00:31:30.620]   Which I think I hope we'll get there
[00:31:30.620 --> 00:31:36.420]   I actually spoke to Google about this a few weeks ago, and they're very interested in getting fast AI ported to tensorflow
[00:31:36.420 --> 00:31:41.820]   So maybe by the time you're looking at this on the MOOC, maybe that will exist. I certainly hope so
[00:31:41.820 --> 00:31:44.580]   We will see
[00:31:44.580 --> 00:31:49.900]   Anyway, so Keras is Keras and tensorflow are certainly not
[00:31:49.900 --> 00:31:52.940]   You know
[00:31:52.940 --> 00:31:57.580]   That difficult to handle and so I don't think you should worry if you're told you have to learn them
[00:31:57.900 --> 00:32:02.020]   After this course for some reason it'll only take you a couple of days. I'm sure
[00:32:02.020 --> 00:32:10.780]   So that's kind of most of the stuff you would need to
[00:32:10.780 --> 00:32:14.460]   Kind of complete this is kind of assignment from last week
[00:32:14.460 --> 00:32:20.480]   Which was like try to do everything you've seen already, but on the dog breeds data set and just to remind you
[00:32:21.300 --> 00:32:28.940]   The kind of last few minutes of last week's lesson I show you how to do much of that
[00:32:28.940 --> 00:32:37.860]   Including like how I actually explored the data to find out like what the classes were and how big the images were and stuff like
[00:32:37.860 --> 00:32:44.220]   That right so if you've forgotten that or didn't quite follow it all last week check out the video from last week to see
[00:32:45.380 --> 00:32:51.200]   One thing that we didn't talk about is how do you actually submit to Kaggle? So how do you actually get predictions?
[00:32:51.200 --> 00:32:54.160]   So I just wanted to show you that last piece as well
[00:32:54.160 --> 00:32:59.980]   And on the wiki thread this week. I've already put a little image of this to show you these steps
[00:32:59.980 --> 00:33:02.980]   But if you go to the Kaggle
[00:33:02.980 --> 00:33:10.900]   Website for every competition there's a section called evaluation and they tell you what to submit and so I just copied and pasted these
[00:33:10.900 --> 00:33:17.060]   Two lines from from there, and so it says we're expected to submit a file where the first line
[00:33:17.060 --> 00:33:24.300]   Contains the the word the word ID and then a comma separated list of all of the possible dog breeds
[00:33:24.300 --> 00:33:28.700]   And then every line after that will contain the ID itself
[00:33:28.700 --> 00:33:32.500]   Followed by all the probabilities of all the different dog breeds
[00:33:32.500 --> 00:33:34.860]   so
[00:33:34.860 --> 00:33:36.860]   How do you create that?
[00:33:37.700 --> 00:33:41.400]   So I recognize that inside our data object. There's a dot classes
[00:33:41.400 --> 00:33:47.560]   Which has got in alphabetical order all of the all of the classes
[00:33:47.560 --> 00:33:50.460]   and then
[00:33:50.460 --> 00:33:54.580]   So it's got all of the different classes and then inside
[00:33:54.580 --> 00:34:00.460]   Data dot test data set test. Yes, you can also see there's all the file names
[00:34:00.460 --> 00:34:03.820]   So I just remind you
[00:34:04.180 --> 00:34:08.100]   dogs and cats sorry dogs and cats dog breeds
[00:34:08.100 --> 00:34:15.260]   Was not provided in the kind of Keras style format where the dogs and cats are in different folders
[00:34:15.260 --> 00:34:22.780]   But instead it was provided as a CSV file of labels, right? So when you get a CSV file of labels you use
[00:34:22.780 --> 00:34:29.460]   Image classifier data from CSV rather than image classifier data from paths
[00:34:30.900 --> 00:34:35.100]   There isn't an equivalent in Keras, so you'll see like on the Kaggle forums people
[00:34:35.100 --> 00:34:39.380]   Share scripts for how to convert it to a Keras style folders
[00:34:39.380 --> 00:34:44.860]   But in our case we don't have to we just go image classifier data from CSV passing in that CSV file
[00:34:44.860 --> 00:34:52.100]   And so the CSV file will you know has automatically told the data. You know what the classes are
[00:34:52.100 --> 00:34:59.720]   And then also we can see from the folder of test images what the file names of those are
[00:35:00.680 --> 00:35:02.680]   So with those two pieces of information
[00:35:02.680 --> 00:35:08.040]   We're ready to go so I always think it's a good idea to use TTA
[00:35:08.040 --> 00:35:15.240]   As you saw with that dogs and cats example just now it can really improve things particularly when your model is less good
[00:35:15.240 --> 00:35:20.120]   So I can say learn dot TTA and if you pass in
[00:35:26.080 --> 00:35:29.600]   If you pass in is test equals true
[00:35:29.600 --> 00:35:37.480]   Then it's going to give you predictions on the test set rather than the validation set okay, and now obviously we can't now get
[00:35:37.480 --> 00:35:43.880]   An accuracy or anything because by definition. We don't know the labels for the test set right
[00:35:43.880 --> 00:35:48.580]   So by default most
[00:35:48.580 --> 00:35:52.700]   Pytorch models give you back the log of the predictions
[00:35:53.240 --> 00:35:57.720]   So then we just have to go exp of that to get back our probabilities
[00:35:57.720 --> 00:36:01.680]   So in this case the test set had ten thousand three hundred and fifty seven
[00:36:01.680 --> 00:36:08.680]   Images in it, and there are 120 possible breeds all right, so we get back a matrix of of that size
[00:36:08.680 --> 00:36:11.680]   and so we now need to turn that into
[00:36:11.680 --> 00:36:15.400]   Something that looks like this and
[00:36:15.400 --> 00:36:19.980]   So the easiest way to do that is with pandas if you're not familiar with pandas
[00:36:20.160 --> 00:36:25.520]   There's lots of information online about it or check out the machine learning course intro to machine learning that we have
[00:36:25.520 --> 00:36:27.280]   Where we do lots of stuff with pandas?
[00:36:27.280 --> 00:36:32.200]   but basically we can just go PD dot data frame and pass in that matrix and
[00:36:32.200 --> 00:36:37.080]   then we can say the names of the columns are equal to data dot classes and
[00:36:37.080 --> 00:36:44.080]   Then finally we can insert a new column at position zero called ID that contains the file names
[00:36:44.080 --> 00:36:48.280]   But you'll notice that the file names contain
[00:36:49.360 --> 00:36:55.240]   Five letters at the end with a start we don't want and four letters at the end. We don't want so I just
[00:36:55.240 --> 00:37:00.280]   Subset in like so right so at that point
[00:37:00.280 --> 00:37:04.800]   I've got a data frame that looks like this
[00:37:04.800 --> 00:37:08.640]   Which is what we want so you can now
[00:37:08.640 --> 00:37:14.240]   Call data frame data. I should have used a DF not DS
[00:37:14.240 --> 00:37:17.000]   Let's fix it now
[00:37:17.000 --> 00:37:19.000]   data
[00:37:19.000 --> 00:37:23.240]   Frame
[00:37:23.240 --> 00:37:27.400]   Okay, so you can now call data frame to CSV and
[00:37:27.400 --> 00:37:32.080]   Quite often you'll find these files actually get quite big
[00:37:32.080 --> 00:37:38.920]   so it's a good idea to say compression equals G zip and that'll zip it up on the server for you and that's going to create a
[00:37:38.920 --> 00:37:41.680]   zipped up
[00:37:41.680 --> 00:37:46.920]   CSV file on the server on wherever you're running this Jupiter notebook, so you need absent
[00:37:46.920 --> 00:37:49.860]   You now need to get that back to your computer so you can upload it
[00:37:49.860 --> 00:37:56.640]   Or you can use Kaggle CLI so you can type KG submit and do it that way I?
[00:37:56.640 --> 00:38:02.520]   Generally download it to my computer because I like I often like to just like double check it all looks okay
[00:38:02.520 --> 00:38:08.120]   So to do that there's a cool little thing called file link and if you run file link
[00:38:08.800 --> 00:38:12.320]   With a path on your server it gives you back a URL
[00:38:12.320 --> 00:38:19.000]   Which you can click on and it'll download that file from the server onto your computer
[00:38:19.000 --> 00:38:22.040]   so if I click on that now I
[00:38:22.040 --> 00:38:29.480]   Can go ahead and save it and then I can see in my downloads
[00:38:29.480 --> 00:38:36.600]   There it is here's my submission file
[00:38:36.600 --> 00:38:46.420]   If you want to open there yeah, and as you can see it's exactly what I asked for there's my
[00:38:46.420 --> 00:38:49.760]   ID in the 120 different dot breeds and
[00:38:49.760 --> 00:38:54.740]   Then here's my first row containing the file name and the 120 different probabilities
[00:38:54.740 --> 00:38:58.600]   Okay, so then you can go ahead and submit that to Kaggle through there
[00:38:58.600 --> 00:39:04.880]   Through their regular form and so this is also a good way you can see we've now got a good way of both
[00:39:06.240 --> 00:39:12.520]   Grabbing any file off the internet and getting it to our AWS instance or paper space or whatever by using
[00:39:12.520 --> 00:39:14.640]   the
[00:39:14.640 --> 00:39:20.000]   Cool little extension in Chrome, and we've also got a way of grabbing stuff off our server easily
[00:39:20.000 --> 00:39:22.520]   those of you that are more
[00:39:22.520 --> 00:39:28.720]   Command-line oriented you can also use SCP of course, but I kind of like doing everything through the notebook
[00:39:28.720 --> 00:39:32.720]   All right
[00:39:32.880 --> 00:39:38.600]   One other question. I had during the week was like what if I want to just get a single a
[00:39:38.600 --> 00:39:41.080]   single file
[00:39:41.080 --> 00:39:42.360]   that I want to
[00:39:42.360 --> 00:39:49.060]   You know get a prediction for so for example you know maybe I want to get the first file from my validation set
[00:39:49.060 --> 00:39:51.080]   So there's its name
[00:39:51.080 --> 00:39:54.520]   So you can always look at a file just by calling image open
[00:39:54.520 --> 00:39:57.520]   That just uses the regular
[00:39:57.520 --> 00:40:00.440]   Python imaging library
[00:40:01.200 --> 00:40:02.520]   and
[00:40:02.520 --> 00:40:06.320]   So what you can do is there's actually I'll show you the shortest version
[00:40:06.320 --> 00:40:08.880]   You can just call
[00:40:08.880 --> 00:40:10.880]   learn dot predict array
[00:40:10.880 --> 00:40:15.600]   Passing in your your image
[00:40:15.600 --> 00:40:19.320]   Okay, now the image needs to have been
[00:40:19.320 --> 00:40:21.800]   transformed
[00:40:21.800 --> 00:40:26.500]   So you've seen transform transform transforms from model before
[00:40:27.120 --> 00:40:32.220]   Normally, we just put put it all in one variable, but actually behind the scenes. It was returning two things
[00:40:32.220 --> 00:40:36.840]   It was returning training transforms and validation transforms, so I can actually split them apart
[00:40:36.840 --> 00:40:44.040]   And so here you can see I'm actually applying example my training transforms or probably more likely I want to play
[00:40:44.040 --> 00:40:46.760]   validation transforms
[00:40:46.760 --> 00:40:51.400]   That gives me back an array containing the image the transformed image
[00:40:51.400 --> 00:40:53.960]   Which I can then pass to predict array
[00:40:55.920 --> 00:41:00.560]   Everything that gets passed to or returned from our models is
[00:41:00.560 --> 00:41:05.780]   Generally assumed to be a mini batch right generally assumed to be a bunch of images
[00:41:05.780 --> 00:41:12.220]   So we'll talk more about some numpy tricks later, but basically in this case. We only have one image
[00:41:12.220 --> 00:41:17.520]   So we have to turn that into a mini batch of images so in other words. We need to create a tensor
[00:41:17.520 --> 00:41:20.040]   That basically is not just
[00:41:20.960 --> 00:41:27.980]   Rows by columns by channels, but it's number of image by rows by columns by channels and and it has one image
[00:41:27.980 --> 00:41:34.360]   So it's basically becomes a four-dimensional tensor so there's a cool little trick in numpy that if you index
[00:41:34.360 --> 00:41:40.760]   Into an array with none that basically adds additional unit access to the start
[00:41:40.760 --> 00:41:45.840]   So it turns it from an image into a mini batch of one images, and so that's why we had to do that
[00:41:46.000 --> 00:41:51.360]   So if you basically find you're trying to do things with a single image
[00:41:51.360 --> 00:41:59.160]   With any kind of pytorch or fastai thing this is just something you might you might find it says like expecting four
[00:41:59.160 --> 00:42:04.420]   Dimensions only got three it probably means that or if you get back a return
[00:42:04.420 --> 00:42:11.920]   Value from something that has like some weird first axis. That's probably why it's probably giving you like back a mini batch
[00:42:12.200 --> 00:42:16.040]   Okay, and so we'll learn a lot more about this, but it's just something to be aware of
[00:42:16.040 --> 00:42:25.360]   Okay, so that's kind of everything you need to do in practice
[00:42:25.360 --> 00:42:30.480]   So now we're going to kind of get into a little bit of theory
[00:42:30.480 --> 00:42:38.040]   What's actually going on behind the scenes with these convolutional neural networks, and you might remember in
[00:42:38.040 --> 00:42:41.000]   back in lesson one
[00:42:41.960 --> 00:42:43.960]   We
[00:42:43.960 --> 00:42:45.960]   actually saw
[00:42:45.960 --> 00:42:49.240]   Our first little bit of theory
[00:42:49.240 --> 00:42:55.260]   Which we stole from this fantastic website so toaster dot IO EV explained visually
[00:42:55.260 --> 00:43:01.320]   And we learned that a that a convolution is something where we basically have a little matrix
[00:43:01.320 --> 00:43:08.740]   In deep learning nearly always three by three a little matrix that we basically multiply every element of that matrix
[00:43:08.920 --> 00:43:12.600]   By every element of a three by three section of an image
[00:43:12.600 --> 00:43:19.140]   Add them all together to get the result of that convolution at one point right now
[00:43:19.140 --> 00:43:22.960]   Let's see how that all gets turned together
[00:43:22.960 --> 00:43:25.400]   to create these
[00:43:25.400 --> 00:43:31.720]   These various layers that we saw in the the xyla and burgers paper and to do that again
[00:43:31.720 --> 00:43:34.080]   I'm going to steal off somebody who's much smarter than I am
[00:43:34.080 --> 00:43:37.080]   we're going to steal from a
[00:43:37.520 --> 00:43:43.240]   Guy called a tavio good a tavio good was the guy who created word lens
[00:43:43.240 --> 00:43:51.680]   Which nowadays is part of Google Translate if on Google Translate you've ever like done that thing where you you point your camera at something?
[00:43:51.680 --> 00:43:57.520]   At something with it which has any kind of foreign language on it and in real time it overlays it with the translation
[00:43:57.520 --> 00:44:00.160]   That was the potatoes company that built that
[00:44:00.160 --> 00:44:06.600]   And so it was kind enough to share this fantastic video. He created he's at Google now
[00:44:08.320 --> 00:44:11.940]   And I want to kind of step you through it because I think it explains really really well
[00:44:11.940 --> 00:44:17.160]   What's going on and then after we look at the video? We're going to see how to implement the whole a whole
[00:44:17.160 --> 00:44:22.960]   Sequence of convo an entire set of layers of convolutional neural network in Microsoft Excel
[00:44:22.960 --> 00:44:28.520]   So whether you're a visual learner or a spreadsheet learner, hopefully you'll be able to understand all this
[00:44:28.520 --> 00:44:31.480]   So we're going to start with an image
[00:44:31.480 --> 00:44:35.920]   And something that we're going to do later in the course is we're going to learn to recognize digits
[00:44:35.920 --> 00:44:39.840]   So we'll do it like end-to-end. We'll do the whole thing. So this is pretty similar
[00:44:39.840 --> 00:44:43.200]   So we're going to try and recognize in this case letters
[00:44:43.200 --> 00:44:48.440]   So here's an a which obviously it's actually a grid of numbers, right?
[00:44:48.440 --> 00:44:52.800]   And so there's the grid of numbers. And so what we do is we take our first
[00:44:52.800 --> 00:44:58.760]   Convolutional filter, so we're assuming this is always this is assuming that these are already learnt
[00:44:58.760 --> 00:45:04.440]   Right and you can see this one. It's got white down the right hand side, right and black down the left
[00:45:04.440 --> 00:45:10.720]   So it's like 0 0 0 or maybe negative 1 negative 1 negative 1 0 0 0 1 1 1 and so we're taking each
[00:45:10.720 --> 00:45:15.380]   3 by 3 part of the image and multiplying it by that 3 by 3
[00:45:15.380 --> 00:45:21.520]   Matrix not as a matrix product that an element wise product and so you can see what happens is
[00:45:21.520 --> 00:45:25.120]   everywhere where the the white edge is
[00:45:25.120 --> 00:45:30.160]   Matching the edge of the a and the black edge isn't we're getting green
[00:45:30.160 --> 00:45:34.280]   We're getting a positive and everywhere where it's the opposite. We're getting a negative
[00:45:34.280 --> 00:45:39.520]   We're getting a red right and so that's the first filter creating the first
[00:45:39.520 --> 00:45:44.740]   The result of the first kernel right and so here's a new kernel
[00:45:44.740 --> 00:45:52.400]   This one is is got a white stripe along the top right so we literally scan it through every three by three part of the matrix
[00:45:52.400 --> 00:45:55.280]   multiplying those three bits of the a
[00:45:55.280 --> 00:46:01.300]   Nine bits of the a by the nine bits of the filter to find out whether it's red or green and how red or green it is
[00:46:01.880 --> 00:46:05.880]   Okay, and so this is assuming we had two filters one was a bottom edge
[00:46:05.880 --> 00:46:09.960]   One was a left edge and you can see here the top edge not surprisingly
[00:46:09.960 --> 00:46:15.560]   It's red here. Sorry bottom edge was red here and green here the right edge red here and green here
[00:46:15.560 --> 00:46:18.320]   And then in the next step we add a non-linearity
[00:46:18.320 --> 00:46:25.240]   Okay, the rectified linear unit which literally means throw away the negatives so here the reds all gone
[00:46:26.000 --> 00:46:31.960]   Okay, so here's layer one the input here's layer two the result of two convolutional filters
[00:46:31.960 --> 00:46:36.640]   Here's layer three which is which is throw away all of the red stuff
[00:46:36.640 --> 00:46:42.320]   And that's called a rectified linear unit and then layer four is something called a max pull
[00:46:42.320 --> 00:46:45.000]   And a layer four we replace every
[00:46:45.000 --> 00:46:47.200]   two by two
[00:46:47.200 --> 00:46:52.960]   Part of this grid and we replace it with its maximum right so it basically makes it half the size
[00:46:53.560 --> 00:46:58.840]   It's basically the same thing, but half the size and then we can go through and do exactly the same thing
[00:46:58.840 --> 00:47:00.600]   We can have some new
[00:47:00.600 --> 00:47:06.480]   Filter three by three filter that we put through each of the two results of the previous layer
[00:47:06.480 --> 00:47:08.200]   Okay
[00:47:08.200 --> 00:47:10.520]   And again, we can throw away the red bits
[00:47:10.520 --> 00:47:16.480]   Right so get rid of all the negatives so we just keep the positives. That's called applying a rectified linear unit
[00:47:16.480 --> 00:47:18.800]   and
[00:47:18.800 --> 00:47:22.740]   That gets us to our next layer of this convolutional neural network
[00:47:22.840 --> 00:47:29.180]   So you can see that by you know at this layer back here. It was kind of very interpretable
[00:47:29.180 --> 00:47:34.360]   It's like we've either got bottom edges or left edges, but then the next layer was combining
[00:47:34.360 --> 00:47:40.480]   The results of convolution so it's starting to become a lot less clear like intuitively what's happening
[00:47:40.480 --> 00:47:47.400]   But it's doing the same thing and then we do another max pull right so we replace every two by two or three by three
[00:47:47.680 --> 00:47:53.800]   Section with a single digit so here this two by two. It's all black so we replaced it with a black
[00:47:53.800 --> 00:47:58.200]   All right, and then we go and we take that and we we compare it
[00:47:58.200 --> 00:48:04.020]   To basically a kind of a template of what we would expect to see if it was an A
[00:48:04.020 --> 00:48:05.860]   It was a B. It was a C. It was D
[00:48:05.860 --> 00:48:11.500]   It was me and we see how closely it matches and we can do it in exactly the same way
[00:48:11.500 --> 00:48:19.520]   We can multiply every one of the values in this four by eight matrix with every one of the four by eight in this one
[00:48:19.520 --> 00:48:24.720]   And this one and this one and we add we just add them together to say like how often does it match?
[00:48:24.720 --> 00:48:30.720]   Versus how often does it not match and then that could be converted to give us a percentage
[00:48:30.720 --> 00:48:38.080]   Probability that this isn't a so in this case this particular template matched well with a
[00:48:38.720 --> 00:48:45.040]   So notice we're not doing any training here, right? This is how it would work if we have a pre trained model
[00:48:45.040 --> 00:48:45.920]   All right
[00:48:45.920 --> 00:48:51.820]   So when we download a pre trained image net model off the internet and visit on an image without any changing to it
[00:48:51.820 --> 00:48:58.840]   This is what's happening or if we take a model that you've trained and you're applying it to some test set or to some new image
[00:48:58.840 --> 00:49:05.960]   This is what it's doing right is it's basically taking it through. It's applying a convolution to each layer to each well multiple
[00:49:07.080 --> 00:49:09.080]   convolutional filters to each layer
[00:49:09.080 --> 00:49:16.360]   And then during the rectified linear unit so throw away the negatives and then do the max pull
[00:49:16.360 --> 00:49:21.840]   And then repeat that a bunch of times and so then we can do it with a new
[00:49:21.840 --> 00:49:26.440]   Letter a or letter B or whatever and keep going through
[00:49:26.440 --> 00:49:29.480]   That process, right?
[00:49:29.480 --> 00:49:35.360]   So as you can see that's a far nicer visualization thing and I could have created because I'm not a tevio
[00:49:35.360 --> 00:49:39.520]   So thanks to him for for sharing this with us because it's totally awesome
[00:49:39.520 --> 00:49:45.740]   He actually this is not done by hand. He actually wrote a piece of computer software to actually do these convolutions
[00:49:45.740 --> 00:49:50.240]   This is actually being actually being done dynamically. It's pretty cool
[00:49:50.240 --> 00:49:55.200]   So I'm more of a spreadsheet guy personally. I'm a simple person
[00:49:55.200 --> 00:50:03.600]   So here is the same thing now in spreadsheet form right and so you'll find this in the github repo, so you can either
[00:50:04.360 --> 00:50:08.320]   Get clone the repo to your own computer to open up the spreadsheet
[00:50:08.320 --> 00:50:11.520]   or you can just go to github.com slash fastai and
[00:50:11.520 --> 00:50:14.560]   Click on this it sits inside
[00:50:14.560 --> 00:50:22.320]   If you go to our repo
[00:50:22.320 --> 00:50:28.480]   And just go to courses as usual go to deal one as usual you'll see there's an Excel section there
[00:50:28.480 --> 00:50:31.920]   Okay, and so here they all are so you can just download them by clicking them
[00:50:31.920 --> 00:50:37.280]   Or you can clone the whole repo, and we're looking at conv example convolution example
[00:50:37.280 --> 00:50:41.600]   right, so you can see I have here an
[00:50:41.600 --> 00:50:49.760]   Input right so in this case the input is the number seven so I grabbed this from a data set called end list
[00:50:49.760 --> 00:50:52.960]   MNist which we'll be looking at in a lot of detail
[00:50:52.960 --> 00:51:00.180]   and I just took one of those digits at random and I put it into Excel and so you can see every
[00:51:00.560 --> 00:51:03.720]   Pixel is actually just a number between naught and one
[00:51:03.720 --> 00:51:07.480]   okay, very often actually it'll be a
[00:51:07.480 --> 00:51:11.120]   Bite between naught and 255
[00:51:11.120 --> 00:51:18.160]   Or sometimes it might be a float between naught and one it doesn't really matter by the time it gets to PI torch
[00:51:18.160 --> 00:51:20.280]   We're generally dealing with floats
[00:51:20.280 --> 00:51:26.520]   So we if one of the steps we often will take will be to convert it to a number between naught and one
[00:51:28.320 --> 00:51:34.480]   So you can see I've just used conditional formatting in Excel to kind of make the higher numbers more red
[00:51:34.480 --> 00:51:38.400]   So you can clearly see that this is a red that this is a seven
[00:51:38.400 --> 00:51:46.040]   But but it's just a bunch of numbers that have been imported into Excel okay, so here's our input
[00:51:46.040 --> 00:51:54.160]   So remember what Atavio did was he then applied two filters
[00:51:54.600 --> 00:52:00.860]   Right with different shapes so here. I've created a filter which is designed to detect top edges
[00:52:00.860 --> 00:52:03.760]   So this is a 3 by 3 filter
[00:52:03.760 --> 00:52:11.720]   Okay, and I've got ones along the top zeros in the middle minus ones at the bottom right so let's take a look at an example
[00:52:11.720 --> 00:52:18.060]   That's here right and so if I hit that - you can see here highlighted
[00:52:18.060 --> 00:52:23.720]   This is the 3 by 3 part of the input that this particular thing is calculating right
[00:52:24.000 --> 00:52:29.560]   so here you can see it's got 1 1 1 are all being multiplied by 1 and
[00:52:29.560 --> 00:52:34.840]   0.1 0 0 are all being multiplied by negative 1
[00:52:34.840 --> 00:52:41.540]   Okay, so in other words all the positive bits are getting a lot of positive the negative bits are getting nearly nothing at all
[00:52:41.540 --> 00:52:43.720]   So we end up with a high number
[00:52:43.720 --> 00:52:48.200]   Okay, where else on the other side of this bit of the seven?
[00:52:48.880 --> 00:52:57.060]   Right you can see how you know this is basically zeros here or perhaps more interestingly on the top of it
[00:52:57.060 --> 00:53:01.320]   Right
[00:53:01.320 --> 00:53:03.320]   Here we've got
[00:53:03.320 --> 00:53:07.800]   High numbers at the top, but we've also got high numbers at the bottom which are negating it
[00:53:07.800 --> 00:53:11.340]   Okay, so you can see that the only place that we end up
[00:53:11.340 --> 00:53:14.000]   activating is
[00:53:14.000 --> 00:53:16.000]   Where we're actually at an edge
[00:53:17.760 --> 00:53:20.320]   So in this case this here this number three
[00:53:20.320 --> 00:53:23.200]   This is called an activation
[00:53:23.200 --> 00:53:30.320]   Okay, so when I say an activation I mean a number a number a
[00:53:30.320 --> 00:53:37.000]   Number that is calculated and it is calculated by taking
[00:53:37.000 --> 00:53:40.040]   some numbers from the input and
[00:53:40.040 --> 00:53:47.740]   applying some kind of linear operation in this case a convolutional kernel to
[00:53:47.740 --> 00:53:49.740]   Calculate an output, right?
[00:53:49.740 --> 00:53:52.940]   You'll notice that other than going
[00:53:52.940 --> 00:53:58.740]   Inputs multiplied by kernel and summing it together
