
[00:00:00.040 --> 00:00:09.560]  對對
[00:30:13.380 --> 00:30:13.380]   um, and I think that's a good thing.
[00:30:13.400 --> 00:30:43.400]   I have pulled up the
[00:30:43.400 --> 00:30:43.400]   I have pulled up the
[00:30:43.400 --> 00:30:43.400]   I have pulled up the
[00:30:43.400 --> 00:30:43.400]   I have pulled up the
[00:30:43.400 --> 00:30:43.400]   Washington bankruptcy exemptions.
[00:30:43.400 --> 00:30:43.400]   Let's go through this.
[00:30:43.400 --> 00:30:43.400]   Now I'm no expert in Washington law,
[00:30:43.400 --> 00:30:43.400]   Now I'm no expert in Washington law,
[00:30:43.400 --> 00:30:43.400]   but at least I can read the Washington bankruptcy exemptions. So the first thing, the most important thing with a homestead. Real property or a mobile home up to $40,000 of equity is protected under Washington bankruptcy exemptions. And the reason that I'm doing this is when we get if she's behind on credit cards and if she's not paying student loans, then we want to be cautious about all of a sudden having a
[00:30:43.400 --> 00:30:43.400]   Then we want to be cautious about all of a sudden having a
[00:30:43.400 --> 00:30:43.400]   then we want to be cautious about all of a sudden having a
[00:30:43.400 --> 00:30:43.400]   student loan.
[00:30:43.400 --> 00:30:43.400]   Then we want to be cautious about all of a sudden having a student loan.
[00:30:43.400 --> 00:31:13.420]  ,
[00:31:13.420 --> 00:31:13.420]   and then we want to be cautious about all of a sudden having a student loan.
[00:31:13.420 --> 00:31:13.420]   So if she has been previously living rent free and it doesn't have was assumed she doesn't have any money in a bank account or anything like that, then she would have to be protected under the law.
[00:31:13.420 --> 00:31:13.420]   So if she has been previously living rent free and it doesn't have was assumed she doesn't have any money in a bank account or anything like that, then she would have to be protected under the law.
[00:31:13.420 --> 00:31:13.420]   So if she has been previously living rent free and it doesn't have was assumed she doesn't have any money in a bank account or anything like that, then she would have to be protected under the law.
[00:31:13.420 --> 00:31:13.420]  , then she would be protected.
[00:31:13.460 --> 00:31:24.600]   sa
[00:31:24.600 --> 00:31:29.020]  ав transform en Fun The I even between照 gol buy ground... . . ., and, and, and, when,, once, entend, jácus, say,ikke, depend, Chung, Ronaldo, Bol, viens, niveau, balloons, between, Di, 9, money.知.�, jet, men, 0,保, game, change,onst, Female, 시간, X. get, stead, sound, associated, perd,천, Wür,�, tinha,�,�?�,謝,ub, unterstüt, trabaj, except,怎麼樣, favorite, авI will,�imentos, realm, Poking, wasn't,치, INC
[00:35:18.420 --> 00:35:18.420]   I think that would probably be a good move. I would try to refinance it just a little bit and get a little bit of money out of it so that she could only wind up with not a bunch of money to blow on some kind of consumption thing but that it could actually be set aside for her future.
[00:35:18.420 --> 00:35:18.420]   I think that would probably be a good move. I would try to refinance it just a little bit and get a little bit of money out of it so that she could only wind up with not a bunch of money to blow on some kind of consumption thing but that it could actually be set aside for her future.
[00:35:43.960 --> 00:36:13.980]  .�������������������������������������������������������������������������������������3.2 of money make over Dave Ramsey.�. 2 follow-s, partners, par, end, end, Gl
[00:36:14.020 --> 00:36:23.480]   sy in knew
[00:36:23.480 --> 00:36:28.240]   " about dic
[00:37:39.040 --> 00:38:07.340]   ado what's the I guess this is all going to be specific just a quick answer"
[00:38:07.340 --> 00:38:07.340]   the first one is: "what's the I guess this is all going to be specific just a quick answer"
[00:38:07.340 --> 00:38:07.340]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:07.340 --> 00:38:07.340]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:07.340 --> 00:38:07.340]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:07.340 --> 00:38:07.440]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:07.440 --> 00:38:07.540]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:07.540 --> 00:38:07.580]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:07.580 --> 00:38:07.620]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:07.620 --> 00:38:07.700]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:18.560 --> 00:38:22.500]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:22.500 --> 00:38:22.540]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:22.540 --> 00:38:22.580]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:22.580 --> 00:38:22.640]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:22.640 --> 00:38:22.700]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:22.700 --> 00:38:22.740]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:22.740 --> 00:38:22.840]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:22.840 --> 00:38:22.860]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:22.860 --> 00:38:22.920]   "what's the I guess this is all going to be specific just a quick answer"
[00:38:22.920 --> 00:38:22.960]   what's the I guess this is all going to be specific just a quick answer"
[00:38:22.960 --> 00:38:28.740]   what's the I guess this is all the I guess this is all the question
[00:38:28.760 --> 00:38:49.960]   "what's the I guess this is all the question"
[00:38:49.960 --> 00:38:50.000]   "what's the I guess this is all the question"
[00:38:50.000 --> 00:38:50.020]   "what's the I guess this is all the question" "what's the I guess this is all the question"
[00:38:50.020 --> 00:38:50.040]   "what's the I guess this is all the question" "what's the I guess this is all the question"
[00:38:50.040 --> 00:38:50.100]   "what's the I guess this is all the question" "what's the I guess this is all the question"
[00:38:50.100 --> 00:38:50.160]   "what's the I guess this is all the question" "what's the I guess this is all the question"
[00:38:50.160 --> 00:38:50.200]   "what's the I guess this is all the question" "what's the I guess this is all the question"
[00:38:50.200 --> 00:38:50.220]   "what's the I guess this is all the question" "what's the I guess this is all the question"
[00:38:50.220 --> 00:38:50.280]   "what's the I guess this is all the question" "what's the I guess this is all the question"
[00:38:50.320 --> 00:39:16.320]  , "what's the I guess this is all the question" "what's the I guess this is all the question"
[00:39:16.320 --> 00:39:16.400]   "what's the I guess this is all the question" "what's the I guess this is all the question"
[00:39:16.400 --> 00:39:16.440]   "what's the I guess this is all the question" "what's the I guess this is all the question"
[00:39:16.440 --> 00:39:16.480]   "what's the I guess this is all the question" "what's the I guess this is all the question"
[00:39:16.480 --> 00:39:16.540]   "what's the I guess this is all the question" "what's the I guess this is all the question"
[00:39:16.540 --> 00:39:16.540]   "what's the I guess this is all the question" "what's the I guess this is all the question"
[00:39:16.560 --> 00:39:18.200]   and I think that there are a number of
[00:39:18.200 --> 00:39:18.200]   and I think that there are a number of
[00:39:18.200 --> 00:39:20.620]   and I think that there are a number of ways just by following the dates you
[00:39:20.620 --> 00:39:20.620]   ways just by following the dates you
[00:39:20.620 --> 00:39:21.900]   ways just by following the dates you should be able to stretch that out for a
[00:39:21.900 --> 00:39:21.900]   should be able to stretch that out for a
[00:39:21.900 --> 00:39:27.980]   should be able to stretch that out for a while any tactical practical you can
[00:39:27.980 --> 00:39:27.980]   while any tactical practical you can
[00:39:27.980 --> 00:39:32.140]   while any tactical practical you can think of to minimize the amount of time
[00:39:32.140 --> 00:39:32.140]   think of to minimize the amount of time
[00:39:32.140 --> 00:39:37.400]   think of to minimize the amount of time between probate finishing and actually
[00:39:37.400 --> 00:39:37.400]   between probate finishing and actually
[00:39:37.400 --> 00:39:39.520]   between probate finishing and actually being able to do the refi and get the
[00:39:39.520 --> 00:39:39.520]   being able to do the refi and get the
[00:39:39.520 --> 00:39:42.860]   being able to do the refi and get the cash to settle the offers the period
[00:39:42.860 --> 00:39:42.880]   cash to settle the offers the period
[00:39:42.880 --> 00:40:09.860]  -the period-and then the time between
[00:40:09.860 --> 00:40:09.900]  -the period-and then the time between
[00:40:09.900 --> 00:40:12.900]  -the period-and then the time between where she'll have some cash and then
[00:40:12.900 --> 00:40:12.900]   where she'll have some cash and then all these outstanding debts and
[00:40:12.920 --> 00:40:42.920]   you know looking at the wash Washington
[00:40:42.920 --> 00:40:42.920]   I mean depending on how hardcore you
[00:40:42.920 --> 00:40:42.920]   I mean depending on how hardcore you want to be I mean there could be some
[00:40:42.920 --> 00:40:42.920]   I mean depending on how hardcore you want to be I mean there could be some
[00:40:42.920 --> 00:40:42.920]   if you know looking at the wash Washington
[00:40:42.920 --> 00:40:42.920]   if you know looking at the wash Washington bankruptcy exemption let's let's
[00:40:42.920 --> 00:40:42.920]   if you know looking at the wash Washington bankruptcy exemption let's let's
[00:40:42.920 --> 00:40:42.920]   limit they want to be a little bit more expensive
[00:40:42.920 --> 00:40:42.920]   limit they want to be a little bit more expensive than the other ones
[00:40:42.920 --> 00:40:42.920]   I mean depending on how hardcore you want to be I mean there could be some things if you know looking at the wash Washington bankruptcy exemption let's let's limit they
[00:40:42.920 --> 00:40:42.920]   I mean depending on how hardcore you want to be I mean there could be some things if you know looking at the wash Washington bankruptcy exemption let's let's let's limit they
[00:40:42.960 --> 00:41:12.940]  - what would be an appropriate local resource if we were gonna get some
[00:41:12.940 --> 00:41:12.940]   Sure sure would what would be an appropriate local resource if we were gonna get some
[00:41:12.940 --> 00:41:12.940]   Sure sure would what would be an appropriate local resource if we were gonna get some
[00:41:12.940 --> 00:41:12.940]   Sure sure would what would be an appropriate local resource if we were gonna get some
[00:41:12.940 --> 00:41:12.940]   Sure sure would what would be an appropriate local resource if we were gonna get some
[00:41:12.940 --> 00:41:12.940]   Sure sure would what would be an appropriate local resource if we were gonna get some
[00:41:12.940 --> 00:41:12.940]   Sure sure would what would be an appropriate local resource if we were gonna get some
[00:41:12.940 --> 00:41:12.940]   Sure sure would what would be an appropriate local resource if we were gonna get some
[00:41:12.940 --> 00:41:12.940]   Sure sure would what would be an appropriate local resource if we were gonna get some
[00:41:12.940 --> 00:41:12.940]   sure what would be an appropriate local resource if we were gonna get some
[00:41:12.940 --> 00:41:12.940]  , what would be an appropriate local resource if we were gonna get some local resource if we were gonna get some
[00:41:12.960 --> 00:41:42.960]   professional advice
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and
[00:41:42.960 --> 00:41:42.960]   and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and would
[00:41:42.960 --> 00:41:42.960]   I guess a bankruptcy attorney would be a good place to start to start to I guess the area we're dealing in here is his
[00:41:43.000 --> 00:42:00.100]   and I guess a bankruptcy attorney would be a good place to start to I guess the area we're dealing in here is his
[00:42:00.160 --> 00:42:03.160]   you know how things could be done
[00:42:03.160 --> 00:42:08.160]   that would be where I would start fire if I were there I would I would start with speaking to a bankruptcy attorney
[00:42:08.160 --> 00:42:08.160]   that would be where I would start fire if I were there I would I would start with speaking to a bankruptcy attorney
[00:42:08.160 --> 00:42:08.160]   that would be where I would start fire if I were there I would I would start with speaking to a bankruptcy attorney
[00:42:08.160 --> 00:42:08.160]   that would be where I would start fire if I were there I would I would start with speaking to a bankruptcy attorney
[00:42:08.160 --> 00:42:30.160]   to get an idea of of how to protect her and understand a little bit of the asset protection laws of Washington State and then also possibly an estate attorney or a tax attorney who's who would be familiar with the estate settlement process and we'll be able to work with her on understanding that I don't I doubt she needs to hire one well she might need to but if you're working with her
[00:42:30.160 --> 00:42:30.160]   and I don't I doubt she needs to hire one well she might need to but if you're working with her
[00:42:30.180 --> 00:43:00.180]   and I don't I doubt she needs to hire one well she might need to but if you're working with her
[00:43:00.180 --> 00:43:00.180]   and I don't I doubt she needs to hire one well she might need to but if you're working with her
[00:43:00.180 --> 00:43:00.180]   and I don't I doubt she needs to hire one well she might need to but if you're working with her
[00:43:00.180 --> 00:43:00.180]   and I don't I doubt she needs to hire one well she might need to but if you're working with her
[00:43:00.220 --> 00:43:30.200]  ,
[00:43:30.200 --> 00:43:30.200]   and I don't I doubt she needs to hire one well she might need to
[00:43:30.200 --> 00:43:30.200]   and I don't I doubt she needs to hire one well she might need to
[00:43:30.200 --> 00:43:30.200]   and I don't I doubt she needs to hire one well she might need to
[00:43:30.200 --> 00:43:30.200]   and I don't I doubt she needs to hire one well she might need to
[00:43:30.200 --> 00:43:30.200]   and I don't I doubt she needs to hire one well she might need to
[00:43:30.200 --> 00:43:30.200]   and I don't I doubt she needs to hire one well she might need to
[00:43:30.200 --> 00:44:00.220]   and I don't I doubt she needs to hire one well she might need to
[00:44:00.220 --> 00:44:00.220]   and I don't I doubt she needs to hire one well she might need to
[00:44:00.220 --> 00:44:00.220]   and I don't I doubt she needs to hire one well she might need to
[00:44:00.220 --> 00:44:00.220]   and I don't I doubt she needs to hire one well she might need to
[00:44:00.220 --> 00:44:00.220]   and I don't I doubt she needs to hire one well she might need to
[00:44:00.220 --> 00:44:00.220]   and I don't I doubt she needs to hire one well she might need to
[00:44:00.220 --> 00:44:00.220]   and I don't I doubt she needs to hire one well she might need to
[00:44:00.240 --> 00:44:30.240]   and I don't I doubt she needs to hire one well she might need to
[00:44:30.240 --> 00:44:30.240]   and I don't I doubt she needs to hire one well she might need to
[00:44:30.240 --> 00:44:30.240]   and I don't I doubt she needs to hire one well she might need to
[00:44:30.240 --> 00:44:30.240]   and I don't I doubt she needs to hire one well she might need to
[00:44:30.240 --> 00:44:30.240]   and I don't I doubt she needs to hire one well she might need to
[00:44:30.240 --> 00:44:30.240]   and I don't I doubt she needs to hire one well she might need to
[00:44:30.240 --> 00:44:30.240]   and I don't I doubt she needs to hire one well she might need to
[00:44:30.240 --> 00:44:30.240]   and I don't I doubt she needs to hire one well she might need to
[00:44:30.240 --> 00:44:30.240]   and I don't I doubt she needs to hire one well she might need to
[00:44:30.240 --> 00:44:30.240]   and I don't I doubt she needs to hire one well she might need to
[00:44:30.240 --> 00:44:30.240]   and I don't I doubt she needs to hire one well she might need to
[00:44:30.240 --> 00:44:30.240]   and I don't I doubt she needs to hire one well she might need to
[00:44:30.240 --> 00:45:00.260]   and I don't I doubt she needs to hire one well she might need to
[00:45:00.260 --> 00:45:00.260]   and I don't I doubt she needs to hire one well she might need to
[00:45:00.260 --> 00:45:00.260]   and I don't I doubt she needs to hire one well she might need to
[00:45:00.260 --> 00:45:00.260]   and I don't I doubt she needs to hire one well she might need to
[00:45:00.260 --> 00:45:00.260]   and I don't I doubt she needs to hire one well she might need to
[00:45:00.260 --> 00:45:00.260]   and I don't I doubt she needs to hire one well she might need to
[00:45:00.260 --> 00:45:00.260]   and I don't I doubt she needs to hire one well she might need to
[00:45:00.260 --> 00:45:00.260]   and I don't I doubt she needs to hire one well she might need to
[00:45:00.280 --> 00:45:30.280]   and I don't I doubt she needs to hire one well she might need to
[00:45:30.280 --> 00:45:30.280]   and I don't I doubt she needs to hire one well she might need to
[00:45:30.280 --> 00:45:30.280]   and I don't I doubt she needs to hire one well she might need to
[00:45:30.280 --> 00:45:30.280]   and I don't I doubt she needs to hire one well she might need to
[00:45:30.280 --> 00:45:30.280]   and I don't I doubt she needs to hire one well she might need to
[00:45:30.280 --> 00:45:30.280]   and I don't I doubt she needs to hire one well she might need to
[00:45:30.280 --> 00:45:30.280]   and I don't I doubt she needs to hire one well she might need to
[00:45:30.280 --> 00:45:30.280]   and I don't I doubt she needs to hire one well she might need to
[00:45:30.280 --> 00:45:30.280]   and I don't I doubt she needs to hire one well she might need to
[00:45:30.280 --> 00:45:30.280]   and I don't I doubt she needs to hire one well she might need to
[00:45:30.280 --> 00:45:30.280]   and I don't I doubt she needs to hire one well she might need to
[00:45:30.280 --> 00:45:30.280]   and I don't I doubt she needs to hire one well she might need to
[00:45:30.280 --> 00:46:00.300]   and I don't I doubt she needs to hire one well she might need to
[00:46:00.300 --> 00:46:00.300]   and I don't I doubt she needs to hire one well she might need to
[00:46:00.300 --> 00:46:00.300]   and I don't I doubt she needs to hire one well she might need to
[00:46:00.300 --> 00:46:00.300]   and I don't I doubt she needs to hire one well she might need to
[00:46:00.300 --> 00:46:00.300]   and I don't I doubt she needs to hire one well she might need to
[00:46:00.300 --> 00:46:00.300]   and I don't I doubt she needs to hire one well she might need to
[00:46:00.300 --> 00:46:00.300]   and I don't I doubt she needs to hire one well she might need to
[00:46:00.320 --> 00:46:30.320]   and I don't I doubt she needs to hire one well she might need to
[00:46:30.320 --> 00:46:30.320]   and I don't I doubt she needs to hire one well she might need to
[00:46:30.320 --> 00:46:30.320]   and I don't I doubt she needs to hire one well she might need to
[00:46:30.320 --> 00:46:30.320]   and I don't I doubt she needs to hire one well she might need to
[00:46:30.320 --> 00:46:30.320]   and I don't I doubt she needs to hire one well she might need to
[00:46:30.320 --> 00:46:30.320]   and I don't I doubt she needs to hire one well she might need to
[00:46:30.320 --> 00:46:30.320]   and I don't I doubt she needs to hire one well she might need to
[00:46:30.320 --> 00:46:30.320]   and I don't I doubt she needs to hire one well she might need to
[00:46:30.320 --> 00:46:30.320]   and I don't I doubt she needs to hire one well she might need to
[00:46:30.320 --> 00:46:30.320]   and I don't I doubt she needs to hire one well she might need to
[00:46:30.320 --> 00:46:30.320]   and I don't I doubt she needs to hire one well she might need to
[00:46:30.320 --> 00:47:00.340]   and I don't I doubt she needs to hire one well she might need to

