
[00:00:00.040 --> 00:00:04.960]   all right everybody welcome to the number one podcast in the world here we are on the all in
[00:27:00.400 --> 00:27:07.840]   keep up with the amount of demand that was happening that started increasing the price of gas that price
[00:27:07.840 --> 00:27:14.320]   of gas continued to increase for the two years this program was in place this program wasn't like let's
[00:27:14.320 --> 00:27:19.360]   just cut it for 60 days and go back at it it wasn't let's just do this for 90 days let's just do this
[00:27:19.360 --> 00:27:25.360]   during the trump administration no no no no no this deal went before they got it took two years before
[00:27:25.360 --> 00:27:31.760]   they got back to pre-pandemic levels of production and so listen to what trump says about drill baby
[00:27:31.760 --> 00:27:39.200]   drill why does he say drill baby drill will lead to lower costs because oil and energy costs are part of
[00:27:39.200 --> 00:27:47.200]   everything and you know what matches up perfectly what matches up perfectly is that 9.1 percent in 2022
[00:27:47.200 --> 00:27:56.960]   and the day that that agreement ended where mbs and russia limited production that agreement ended it
[00:27:56.960 --> 00:28:03.200]   like this if you did your little venn diagram that like and increase production decrease production bam
[00:28:04.720 --> 00:28:08.800]   that is the answer to your question so just to summarize what you the argument that you don't
[00:28:08.800 --> 00:28:14.240]   like about him is you got to know him like many people do you worked with him on projects and like
[00:28:14.240 --> 00:28:23.600]   pence bar matthias tillerson bill barr and mike cohen and the mooch omorosa you realized this person
[00:28:23.600 --> 00:28:28.400]   is out for themselves they don't care about the people they work with and you fell out of friendship
[00:28:28.400 --> 00:28:33.200]   with him or whatever there's a long list of people who don't who work with him who think he's an idiot
[00:28:33.200 --> 00:28:37.600]   and don't like him now you're on that list yeah i mean i don't think he's an idiot i'm not saying
[00:28:37.600 --> 00:28:43.280]   that's my position i'm just summarizing it look i don't think it's your position no i haven't worked
[00:28:43.280 --> 00:28:49.280]   with one of the greatest sales people ever he's one of the greatest you know um motivators in terms of
[00:28:49.280 --> 00:28:57.600]   crowd motivation ever but can i just want to be jr he's roy cone jr that is who he is if you read books
[00:28:57.600 --> 00:29:03.440]   about roy cohen everything roy cohen says to do tracing back to the mccarthy hearings in 54
[00:29:03.440 --> 00:29:08.640]   everything roy cohen says to do that is exactly what donald trump does let me i just want to i
[00:29:08.640 --> 00:29:13.440]   just want to paint this thing and then i'd like to hear the glass half full version to the extent you
[00:29:13.440 --> 00:29:19.840]   have one but basically i just i just want to understand so my understanding was in 2020 what
[00:29:19.840 --> 00:29:26.480]   happened was not that saudi arabia and russia were cooperating to cut prices but they got into a fight
[00:29:26.480 --> 00:29:34.320]   because it wasn't really it wasn't really saudi but it was opec which includes us yeah versus russia
[00:29:34.320 --> 00:29:41.600]   and we initiated against them which they counteracted a price war they didn't get they
[00:29:41.600 --> 00:29:47.040]   initiated against so saudi arabia initiated against russia but what but what i'm so what i'm trying to
[00:29:47.040 --> 00:29:55.360]   understand is there's a war in yemen right we don't stop the armaments of saudi and i guess what you're
[00:29:55.360 --> 00:30:04.400]   saying is that then triggered an opec no no what i'm saying is mbs owed trump one
[00:30:04.400 --> 00:30:14.720]   mbs owed trump one so mbs starts the price war with russia one year later and the oil companies come to
[00:30:14.720 --> 00:30:20.560]   donald and say look we're getting destroyed demand is dropping they've increased because of this price war
[00:30:20.560 --> 00:30:26.720]   between um saudi arabia and russia saudi arabia decides to take it to putin and increases their
[00:30:26.720 --> 00:30:32.000]   production significantly so in order to keep their revenues up russia's got to do the same thing
[00:30:32.000 --> 00:30:40.240]   meanwhile all the all the demand is dropping because of the pandemic and so donald gets asked by the
[00:30:40.240 --> 00:30:48.960]   insurance company the um oil companies to go to mbs and to putin and say we need to stop this price war we
[00:30:48.960 --> 00:30:54.800]   need to reduce production and to his credit if you think that's a positive to trump's credit
[00:30:54.800 --> 00:31:02.240]   he did it and so by reducing production over a plan of two years and you can go look at the production
[00:31:02.240 --> 00:31:08.720]   numbers right and when that stopped by doing that that increased the price of gas the price of oil the
[00:31:08.720 --> 00:31:15.760]   price of energy and that was bad for american consumers who utilize gas you you know paid pay for gas for their cars
[00:31:15.760 --> 00:31:22.640]   cars really bad for him but he decided to work with his oil company buddies and protect them you can say
[00:31:22.640 --> 00:31:27.520]   that's a good decision or bad decision maybe it's strategic we really he really felt they could go out
[00:31:27.520 --> 00:31:35.440]   of business and he wasn't willing to give them money to help them but the bottom line was that that matches
[00:31:35.440 --> 00:31:43.280]   up exactly to that 9.1 percent that david sachs mentions it also mentions up matches up to okay
[00:31:43.280 --> 00:31:51.520]   does he fully support the oil companies over the price of gas and will that influence what he will do
[00:31:51.520 --> 00:31:58.640]   as president again so when he says i'll just get out of ukraine depends on who's making the money and where
[00:31:58.640 --> 00:32:03.760]   it is when he says i'm going to get people to drill baby drill okay well we already learned a lesson
[00:32:03.760 --> 00:32:09.440]   wait wait wait wait sorry okay so look this is very hard to hold on a second this is very hard to fact
[00:32:09.440 --> 00:32:14.480]   check in real time because i've never heard this theory before oh well no no we can have a theory on
[00:32:14.480 --> 00:32:19.840]   the pod i just have freeberg get involved freeberg hasn't asked a question yet so let me try the point
[00:32:19.840 --> 00:32:24.160]   the point is that yeah you know this is like totally novel i don't even think i've heard you make this
[00:32:24.160 --> 00:32:29.680]   theory on x before because i was waiting okay so here we go so you're dropping a whole hold on a second
[00:32:29.680 --> 00:32:34.720]   hasn't been able to get involved let's have freeberg basically cite this nonsense and i don't
[00:32:34.720 --> 00:32:38.480]   get to interrogate it a little bit it's not nonsense david you okay no no but i just wanted
[00:32:38.480 --> 00:32:44.560]   to include freeberg in this discussion 40 minutes let me ask a question go chat gpt it go google it go
[00:32:44.560 --> 00:32:50.240]   look it up however you want okay what about the fact that biden's first day in office he cancels
[00:32:50.240 --> 00:32:56.320]   the keystone pipeline and a bunch of leases he makes it harder to drill in the united states so he
[00:32:56.320 --> 00:33:02.160]   reduces the ability for domestic producers to produce you don't think that that would have an impact
[00:33:02.160 --> 00:33:08.880]   yeah but it wasn't on the price it wasn't on the price of gas because it's the price of gas is a
[00:33:08.880 --> 00:33:14.080]   global phenomenon right the price of oil rather is a global phenomenon it's we we are the largest
[00:33:14.080 --> 00:33:19.760]   producer of energy in the world but we're still only about 13 i think it is don't quote me on that but
[00:33:19.760 --> 00:33:26.160]   that's that's a range and so the other 87 has more of an impact and even to that there was still an
[00:33:26.160 --> 00:33:32.560]   unlimited amount of drilling available on public lands and leases available that weren't fully used
[00:33:32.560 --> 00:33:38.160]   now that said i think biden did mistakes did make mistakes okay yeah so wait wait okay guys hold on
[00:33:38.160 --> 00:33:43.520]   let's just finish one thing before the other i would just like an answer of what is the good and the bad
[00:33:43.520 --> 00:33:47.920]   of donald trump and then what i was going to ask you is what was the good and the bad of biden i just want
[00:33:47.920 --> 00:33:53.680]   those sure tomorrow i appreciate guys just just just give me one second can i just ask make one
[00:33:53.680 --> 00:34:00.160]   comment i've been here for like 40 minutes um yeah i want to respond to the inflation point mark i
[00:34:00.160 --> 00:34:05.200]   you know i just shared two images first was the u.s crude oil production chart and more than half of
[00:34:05.200 --> 00:34:12.720]   this oil is exported so you can see the the reduction in production but the the domestic oil production
[00:34:14.080 --> 00:34:21.920]   capacity remained high relative to our consumption so u.s consumption if oil was the biggest driver
[00:34:21.920 --> 00:34:27.440]   it really would have affected the profits of the exporting companies not necessarily the cost of
[00:34:27.440 --> 00:34:33.200]   energy domestically i will however point out that the federal balance sheet the federal reserve's
[00:34:33.200 --> 00:34:39.520]   balance sheet swelled during covid from four trillion dollars to eight trillion dollars and as we all know
[00:34:39.520 --> 00:34:45.920]   there was significant fiscal stimulus meaning the fed the federal government was the only charge
[00:34:45.920 --> 00:34:52.560]   david i just say it was the only cause yeah well i would argue that flooding the world with dollars
[00:34:52.560 --> 00:34:57.040]   which is what the federal reserve did because they bought up all the bonds as the federal government
[00:34:57.040 --> 00:35:02.240]   started to issue money in lots of different ways caused the supply of dollars to go up which causes the
[00:35:02.240 --> 00:35:07.520]   cost of anything that's dollar denominated to grow up and i think many economists would argue and make the case
[00:35:07.520 --> 00:35:12.000]   that the fiscal policy and the monetary policy of the federal government and the federal reserve
[00:35:12.000 --> 00:35:17.440]   is largely to account and i'm not going to use the word blame but to account for the inflation we saw
[00:35:17.440 --> 00:35:24.800]   in the cost of everything from energy to production to labor to assets and so they're not mutually exclusive
[00:35:24.800 --> 00:35:30.880]   they're not they're not but there was also significant as we can all acknowledge massive in a
[00:35:30.880 --> 00:35:36.720]   dynamical system global supply chains are a dynamical system stuff is made in one place moved to another
[00:35:36.720 --> 00:35:42.960]   place when one thing breaks or it slows down it all breaks and we had a massive shortfall
[00:35:42.960 --> 00:35:48.080]   agree 100 goods around the world and that was the biggest driver of the inflationary effects that we
[00:35:48.080 --> 00:35:53.280]   saw i agree 100 but even if you go back to those the first two charts you put up it matches up with
[00:35:53.280 --> 00:36:01.200]   exactly what i said production went down demand went up and the net result was that price of gas went up
[00:36:01.200 --> 00:36:07.840]   and price of gases and everything is it the only cost no production went down in everything not just energy
[00:36:07.840 --> 00:36:13.040]   but everything and not because of energy but because of a lot of other reasons exactly and then and then
[00:36:13.040 --> 00:36:18.080]   we had a whiplash problem where we had over demand relative to the natural and none of the production
[00:36:18.080 --> 00:36:23.840]   systems could keep up with demand because of the fiscal stimulus i agree 100 with you all i'm saying
[00:36:23.840 --> 00:36:28.960]   you can try to trace it back to maybe it's one percent of the price maybe it's three percent of
[00:36:28.960 --> 00:36:34.240]   the price maybe whatever the percentage is i'm not saying it's exclusive but you can trace it back to
[00:36:34.240 --> 00:36:40.240]   the decision being made to support the energy companies and say we are going to reduce production
[00:36:40.240 --> 00:36:44.880]   rather than just letting the market play out and saying we'll let gas prices stay as low as they are
[00:36:44.880 --> 00:36:52.240]   based off of supply and demand now are do i agree with you that supply chain disruption transitory yes
[00:36:52.240 --> 00:36:58.640]   of course and fiscal and monetary policy yes stimulating the world economy by pouring a ton of money out
[00:36:58.640 --> 00:37:03.600]   that's never happened in history right for sure a hundred percent the question is and proportionality
[00:37:03.600 --> 00:37:09.840]   do you think larry summers was wrong when in q1 the first quarter of the biden harris administration
[00:37:09.840 --> 00:37:15.680]   larry summers warned that if you pass another two trillion of covid stimulus like they were
[00:37:15.680 --> 00:37:20.400]   planning to do that could set off inflation that we were on the brink he said that he did make that
[00:37:20.400 --> 00:37:25.920]   declaration again against his own party mark and he said this is the wrong thing as a democrat he said
[00:37:25.920 --> 00:37:30.880]   this is the wrong thing to do and they went forward with what they plan to do for various reasons some
[00:37:30.880 --> 00:37:34.800]   would argue political some would argue that they thought it was the right thing to do and the effect was
[00:37:34.800 --> 00:37:41.200]   precisely as larry had predicted yeah kamala harris cast the tie-breaking vote for that inflation
[00:37:41.200 --> 00:37:46.400]   explosion act otherwise known as the american rest otherwise known as the american rescue plan
[00:37:46.400 --> 00:37:54.880]   so here's the actually i agree with i agree with friedberg 100 the cause of this massive 20
[00:37:54.880 --> 00:38:01.040]   inflation we've had over biden's four years but that's the secret deal between trump and mbs and like
[00:38:01.040 --> 00:38:05.840]   putin's in there somewhere you can dismiss it all you want david just look at the data and look at
[00:38:05.840 --> 00:38:11.040]   the numbers and they match up now to freeberg's point the freeberg's point is it the only thing that
[00:38:11.040 --> 00:38:15.920]   caused inflation of course not when you spend too much money when you inflate the economy when you
[00:38:15.920 --> 00:38:22.160]   have supply chain disruption all those things contribute but we're also not having the conversation
[00:38:22.160 --> 00:38:27.440]   to say okay how much of the supply chain disruption contributed to inflation was it three
[00:38:27.440 --> 00:38:32.160]   percent of that twenty percent was it five percent was it seven percent was it one percent we don't
[00:38:32.160 --> 00:38:36.640]   know it's impossible it's all the supply the supply hold on the supply chain was constrained during
[00:38:36.640 --> 00:38:41.360]   covet and it was healing it was getting better and then they pumped all the stimulus and everyone got
[00:38:41.360 --> 00:38:46.400]   these just to level set with that let me just let me just let me level set my opinion let's leave
[00:38:46.400 --> 00:38:51.840]   the opinion i'm just really curious i just want the high level report card on the last two presidents
[00:38:51.840 --> 00:38:57.360]   what is the high level report card mark to put a cap on this just for the audience here is our national debt
[00:38:57.360 --> 00:39:03.840]   president over the two presidencies the two terms and as you can see with the taking out the bump for
[00:39:03.840 --> 00:39:08.480]   covet it's pretty much they're both wild spenders i think we can all agree they both are spending too
[00:39:08.480 --> 00:39:13.360]   much money and we need to have more fiscal discipline we all agree on that now to chem out's point
[00:39:13.360 --> 00:39:18.400]   it's steel man anything you like about the trump presidency and then we'll go to kamala i mean
[00:39:19.840 --> 00:39:27.120]   i think there was good elements of the tax cut i think he went too far but i think they needed to
[00:39:27.120 --> 00:39:33.360]   come down from 35 yeah whatever the corporate rate 35 i think was corporate that was too expensive it
[00:39:33.360 --> 00:39:40.000]   made it difficult for us to compete globally i thought 20 um and i thought bringing down cap gains
[00:39:40.000 --> 00:39:46.800]   um again i forget exactly what they were maybe 29 i forget was also smart but i think he went too far
[00:39:46.800 --> 00:39:51.280]   but you can argue that there's no right answer on what that is going to be it's a guess right
[00:39:51.280 --> 00:39:55.680]   you just put it out there and you hope what you what you plan and what you propose and what is
[00:39:55.680 --> 00:40:00.560]   implemented works and you don't know until it does so i didn't i didn't have a problem with him trying
[00:40:00.560 --> 00:40:06.880]   that yeah 35 to 21 you got it exactly right yeah you've acknowledged that kamala's unrealized gains
[00:40:06.880 --> 00:40:11.920]   tax is a disaster well i'll acknowledge that it's not real and you're making it up that you've never heard
[00:40:11.920 --> 00:40:18.240]   her say i made it up yeah you made her up her it was in it was in the biden the last biden harris budget
[00:40:18.240 --> 00:40:25.680]   it was in the harris platform at the dnc it was the biden platform at the dmc right you have never
[00:40:25.680 --> 00:40:31.040]   heard her talk about it they did a searcher place on his name and put her name in there but you're you're
[00:40:31.040 --> 00:40:36.640]   reaching david you're reaching right you've never heard her talk about it at all she's been very specific
[00:40:36.640 --> 00:40:43.760]   that cap gains goes to 28 percent that um that what is what is biden what has biden done well
[00:40:43.760 --> 00:40:49.680]   and what has he not done well and then the follow-up question is if it were an open democratic primary
[00:40:49.680 --> 00:40:55.840]   would you have voted for kamala harris i don't know but then again if donald trump participated in the
[00:40:55.840 --> 00:41:01.360]   debates on the republican primary in the republican primary would you have voted for donald trump
[00:41:02.960 --> 00:41:08.400]   you know you're saying you're saying it's analogous the republicans had an open primary
[00:41:08.400 --> 00:41:13.760]   no but they didn't de santis competed but he didn't participate nikki haley competed that an open
[00:41:13.760 --> 00:41:19.040]   primary trump was 50 hold on a second trump trump was 50 points ahead maybe he should have debated i
[00:41:19.040 --> 00:41:22.800]   don't know maybe of course no i mean look i would have been in favor of him debating but
[00:41:22.800 --> 00:41:28.240]   he was 50 points ahead and everybody had a chance to run yeah but they didn't really have a chance because
[00:41:28.240 --> 00:41:34.400]   the democrats pretended hold on let me finish and you can get your response okay the democrats pretended
[00:41:34.400 --> 00:41:39.600]   that joe biden was just fine that he was sharp as attack that he was the best version of joe biden
[00:41:39.600 --> 00:41:48.640]   and when the primary came and you had um outsiders like bobby kennedy uh try to compete not only did he
[00:41:48.640 --> 00:41:54.880]   not only did biden not debate they basically used lawfare to keep bobby kennedy off the ballot they did not
[00:41:54.880 --> 00:42:01.440]   allow him a fair shot at the nomination which is why he had to leave the party and run as an independent
[00:42:01.440 --> 00:42:08.160]   then we find out after the debate that actually biden is not fine he's actually appears to be in
[00:42:08.160 --> 00:42:14.000]   significant cognitive decline so somehow nancy pelosi gets him out of there and then kamala harris is
[00:42:14.000 --> 00:42:21.760]   anointed she's never won a primary vote ever she in 2020 she ran and dropped out before the first
[00:42:21.760 --> 00:42:26.880]   primary and then this time around she never had to compete in the primary and somehow she's the
[00:42:26.880 --> 00:42:31.360]   candidate the question is i don't think well the question is how can you liken this to what the
[00:42:31.360 --> 00:42:36.160]   republicans did having an open and competitive primary so first of all the republicans did not have
[00:42:36.160 --> 00:42:42.080]   an open and competitive keyword competitive primary because if one of the candidates refuses to
[00:42:42.080 --> 00:42:48.000]   participate because they have a lead look what happened to joe biden for all we know vivek vivek
[00:42:48.000 --> 00:42:54.960]   would have destroyed trump as much as trump destroyed joe biden nikki haley would have destroyed trump
[00:42:54.960 --> 00:43:00.560]   as much as joe um donald trump destroyed joe biden i don't know i think that's i was supporting de
[00:43:00.560 --> 00:43:04.640]   santis at that time and it was definitely the santis would have crushed him too right they were
[00:43:04.640 --> 00:43:08.960]   those they were allowed to compete their names were on the ballot i know talking about a very sex would
[00:43:08.960 --> 00:43:15.680]   you do you think de santis nikki halley or vivek would have beaten trump in a in a debate no i think
[00:43:15.680 --> 00:43:20.560]   when if you look at them okay well hold on i'm saying it's unclear i don't think you can just say that
[00:43:20.560 --> 00:43:26.000]   they would have won i mean thank you so that means it's not a truly competitive when trump when trump
[00:43:26.000 --> 00:43:31.360]   was in a crowded republican field and debated he crushed everybody so i just don't know what would
[00:43:31.360 --> 00:43:37.440]   have happened that was 2016. this is just debate this is just debate okay what about the point that
[00:43:37.440 --> 00:43:45.280]   the democrats kept other contenders off the ballot they used lawfare and moreover they lied about biden's
[00:43:45.280 --> 00:43:50.480]   cognitive condition and then they anointed kamala harris through a process that is opaque and we still
[00:43:50.480 --> 00:43:54.560]   don't know what happened okay so here's my answer right first going back to republic it wasn't a
[00:43:54.560 --> 00:44:00.640]   competitive primary if the contender doesn't participate and yes he did well against 15 other
[00:44:00.640 --> 00:44:06.960]   candidates in 2016 but i'd be willing to bet that he's also had cognitive decline everything he says
[00:44:06.960 --> 00:44:12.560]   and does is reflective of that if joe biden had said the same thing we would be having a lot of quote we
[00:44:12.560 --> 00:44:18.640]   would we don't judge donald trump and his cognitive ability the way we did joe biden okay so we'll put
[00:44:18.640 --> 00:44:23.040]   that behind now let's go to joe biden do you think democrats lied about biden's condition let's just
[00:44:23.040 --> 00:44:27.680]   let me i'm gonna tell you my personal experiences with joe biden right i didn't talk to him a lot
[00:44:27.680 --> 00:44:34.400]   twice during that period and i can tell you from the first time i saw him a year before the last time i
[00:44:34.400 --> 00:44:42.640]   saw him which was you know probably in march or april i forget there was a decline but the decline was in
[00:44:42.640 --> 00:44:48.240]   his sharpness right his quickness of response if you sat down and you listen to him speak about something
[00:44:48.240 --> 00:44:54.000]   which i did he wasn't forceful he wasn't you know he looked like a walking corpse um he looked awful
[00:44:54.000 --> 00:45:01.280]   right um but in terms of content it was there and so i understand why they positioned him the way they
[00:45:01.280 --> 00:45:08.480]   did it's just to sell it was impossible so that's part one so i don't think the decline is nearly what
[00:45:08.480 --> 00:45:13.760]   you're saying it is but i do agree that you're rid of him okay so that's now we're moving forward right
[00:45:13.760 --> 00:45:20.640]   his ability to respond in real time you slow down we all slow down right i'm 66 years old and i've slowed
[00:45:20.640 --> 00:45:29.280]   down versus where i was at 45. you so you know at 81 and at 78 you are going to be slower joe biden and
[00:45:29.280 --> 00:45:34.400]   just was not as quick that was a real problem he got destroyed in the debate by trump because of that not
[00:45:34.400 --> 00:45:39.040]   because he didn't know the the materials and the content but he just couldn't respond and think
[00:45:39.040 --> 00:45:44.080]   fast enough so i think that's where the the misunderstanding is it's not that he had cognitive
[00:45:44.080 --> 00:45:51.200]   decline in the pure sense it's that his ability to respond quickly was gone and he looked like he had
[00:45:51.200 --> 00:45:57.200]   cognitive decline so now let's go forward to the democratic national um convention where um and right
[00:45:57.200 --> 00:46:03.520]   before that where they replaced it i was curious about the just the um mechanics of the whole thing
[00:46:03.520 --> 00:46:11.120]   so being the curious person i am i went and pulled up the bylaws and the rules of the democratic party
[00:46:11.120 --> 00:46:16.880]   and the democratic national convention and they reset those every four years and prior to them
[00:46:16.880 --> 00:46:22.720]   pulling out and it's very very clear that the only mission and the only task and it's pretty much the
[00:46:22.720 --> 00:46:27.280]   same in the republicans i looked at theirs too the only mission is to win you want to win the
[00:46:27.280 --> 00:46:33.440]   presidency you want to have control of congress that's all they care about and they give themselves
[00:46:33.440 --> 00:46:39.680]   every bit of flexibility to do whatever they damn well please to put themselves in that position
[00:46:39.680 --> 00:46:45.200]   they are a private organization are they the party are they the party then of democracy as they claim to
[00:46:45.200 --> 00:46:50.480]   be or are they the party of winning it all so now you're trying to you know play branding games right
[00:46:50.480 --> 00:46:55.520]   is starbucks really saying that their rhetoric is at odds with what they actually did hold on a second
[00:46:55.520 --> 00:47:00.080]   there were 14 million primary voters in the democratic primary that's the mainstream media
[00:47:00.080 --> 00:47:04.880]   discussion of this right they said there's 14 million voters i say trump didn't debate at all
[00:47:04.880 --> 00:47:09.120]   there was zero debates with donald trump which one was primary though people got to vote for their
[00:47:09.120 --> 00:47:14.400]   candidate it's not an open primary because it's donald trump's family business he controlled what
[00:47:14.400 --> 00:47:20.720]   happened in the yeah listen i mean i was again i was supporting someone different during the primary
[00:47:20.720 --> 00:47:25.840]   and the reason why desantis lost is he didn't get enough votes okay and if you would have missed an
[00:47:25.840 --> 00:47:30.800]   opportunity donald trump that's why i bet you won the primary fair and square whether he debated or not
[00:47:30.800 --> 00:47:35.120]   he was up 50 points on everybody else and i bet and i don't know that's not what happened with
[00:47:35.120 --> 00:47:39.920]   biden what happened with biden let me finish david let me finish biden won the democratic primary got
[00:47:39.920 --> 00:47:44.480]   14 million votes and then they threw out that throughout that result and put in kamala harris
[00:47:44.480 --> 00:47:49.360]   because they didn't like his we were in a fraternity what's that we ever in a fraternity we ever in a
[00:47:49.360 --> 00:47:56.480]   fraternity no okay in a fraternity they get to vote on all kinds of but at the end of the day if the
[00:47:56.480 --> 00:48:02.560]   chapter of the the national organization says no right doesn't matter who won the election right so you're
[00:48:02.560 --> 00:48:06.720]   saying the democratic party is a click i get it it's just i think we're talking let me get let me
[00:48:06.720 --> 00:48:12.320]   regain control here just to just to recap david you're just talking branding you can brand it however
[00:48:12.320 --> 00:48:16.800]   you want no the democrats said they're the party of democracy the democrats i'm not a democrat i don't
[00:48:16.800 --> 00:48:20.880]   care what they do i don't care what you're supporting them you're supporting i'm supporting
[00:48:20.880 --> 00:48:26.960]   hold on can you just acknowledge that their rhetoric is hypocritical i don't care what the rhetoric is
[00:48:26.960 --> 00:48:32.400]   i don't pay attention i don't pay attention to their rhetoric we're not going to get progress i
[00:48:32.400 --> 00:48:36.560]   really want to hear what mark thinks yes okay here we go forward move forward two okay two
[00:48:36.560 --> 00:48:42.240]   things seem to uh be true at the same time if i'm recapping your position here mark one you would have
[00:48:42.240 --> 00:48:48.000]   liked to seen trump debate two i think you would have loved to seen a speed run primary perhaps maybe
[00:48:48.000 --> 00:48:54.400]   kamala you know battled it out i honestly didn't care i went once donald trump was the candidate i wanted
[00:48:54.400 --> 00:48:59.520]   the best person to beat donald trump that's what i cared about let me go back to my question so i'm just
[00:48:59.520 --> 00:49:04.400]   going to give you a succinct summary of mark cuban's position his evaluation of the trump
[00:49:04.400 --> 00:49:11.360]   presidency the positives were tax cuts and warp speed and operation warp speed the negatives were
[00:49:11.360 --> 00:49:18.240]   continuing the war in yemen when they had a chance to and then this and actually the negative wasn't so
[00:49:18.240 --> 00:49:23.200]   much that sorry tramite okay the negative wasn't so much he continued it the negative is the hypocrisy
[00:49:23.200 --> 00:49:28.880]   in his okay right in the style okay now the tone and style of how he governed can we do biden what
[00:49:28.880 --> 00:49:34.320]   are the things that biden and harris did well that have helped the country and what are the things that
[00:49:34.320 --> 00:49:38.400]   they could have done better did not do well so i'll start with the negatives first so just so you know
[00:49:38.400 --> 00:49:44.720]   that there's a lot of them one the way they handled the border was horrific there's no way to you know to
[00:49:44.720 --> 00:49:51.440]   say it any differently now i understand why they took the approach they did literally if if i were
[00:49:51.440 --> 00:49:57.760]   in a central a central american company country and my family was at risk of getting shotgun because
[00:49:57.760 --> 00:50:03.920]   there's a drug war i'm doing everything i can and i reckon i recognize you know that if i just set foot
[00:50:03.920 --> 00:50:10.080]   on american soil i have a chance for asylum and i get that and i get why biden and his administration
[00:50:10.080 --> 00:50:16.240]   might say just for humanitarian reasons we're going to increase the number of people that we allow to do
[00:50:16.240 --> 00:50:23.120]   that i understand why he would do it but at the same time he opened the door too wide and he made it
[00:50:23.120 --> 00:50:28.720]   so that there were too many people that came through and that created cascading problems now to his credit
[00:50:28.720 --> 00:50:33.680]   down back in june i think it was he excited he signed an executive order which he now has made
[00:50:33.680 --> 00:50:39.920]   permanent or as permanent as you can as president that changed um that there's no longer the option
[00:50:39.920 --> 00:50:47.360]   to just set foot on american soil and be eligible for um a hearing for asylum you can't do that any longer
[00:50:47.360 --> 00:50:54.400]   and to her credit she worked with the um head of the mexican government and they have taken steps to
[00:50:54.400 --> 00:51:01.520]   reduce the flow of people to the border and so now the number of encounters at the border is about the
[00:51:01.520 --> 00:51:08.000]   same as what it was right before the pandemic under the trump administration so while he was too long to
[00:51:08.000 --> 00:51:15.040]   do it while he um handled it incorrectly overall and messaging was horrible i think they got to the
[00:51:15.040 --> 00:51:22.720]   right place but now we have a problem right that he created where we have too many um non-citizens
[00:51:22.720 --> 00:51:27.760]   illegal aliens however you want to call them however you want to brand them and we have to
[00:51:27.760 --> 00:51:33.440]   understand how to deal with them i think that they have talked about kamala has talked about
[00:51:33.440 --> 00:51:38.640]   first and even jd vance said this first we're going to get rid of the criminals which makes sense but
[00:51:38.640 --> 00:51:44.320]   donald trump says we're just going to deport everybody any illegal we're just going to deport them
[00:51:44.320 --> 00:51:49.760]   now obama was the deporter in chief he deported more people than trump or biden over 3 million people
[00:51:49.760 --> 00:51:54.960]   but he had a specific process in place that everybody could understand and i think with
[00:51:54.960 --> 00:52:02.960]   trump remember um that or orion gonzalez kid the six-year-old kid in miami elion gonzalez right where
[00:52:02.960 --> 00:52:09.600]   all of a sudden you had these these cops with you know riot gear on and machine you know an ar-15s or
[00:52:09.600 --> 00:52:15.840]   whatever they use pointing them at a six-year-old kid cowering in a closet if donald trump does that and
[00:52:15.840 --> 00:52:23.840]   that's not contrary to how he approaches things we could have another series of riots and protests
[00:52:23.840 --> 00:52:30.160]   that go really really bad and so while i think biden handled things completely wrong at the beginning
[00:52:30.160 --> 00:52:36.240]   i think with harris now and she's saying she'll support the um the immigration bill that was
[00:52:36.240 --> 00:52:42.640]   bipartisan etc etc you guys know that i think she has a more common sense approach to dealing with
[00:52:42.640 --> 00:52:49.120]   deportations and getting people through the asylum system and the asylum that bill i think said that
[00:52:49.120 --> 00:52:54.560]   it would reduce the amount of time to adjudicate asylum to 90 days which means that there's a chance to
[00:52:54.560 --> 00:52:59.600]   get control of this before it turns into a ride okay so that that was border was bad anything else
[00:52:59.600 --> 00:53:05.200]   bad or should we shift to the good i think the spending was bad i think um that we overspent
[00:53:05.200 --> 00:53:10.080]   and i think we went through a period where uh and i'm not trying to make excuses for him i just think
[00:53:10.080 --> 00:53:15.840]   you know you guys mentioned this before he did overspend and i think the the infrastructure bill was
[00:53:15.840 --> 00:53:20.800]   good i think the broadband bill was good and everybody says we spent 42 billion dollars on broadband and
[00:53:20.800 --> 00:53:24.720]   got nothing we should have gone to starling but the reality is the money went to the states and they
[00:53:24.720 --> 00:53:30.720]   could buy um starlink from elon all they want so that's just kind of the mainstream media poo-pooing
[00:53:30.720 --> 00:53:36.560]   something they shouldn't poo-poo but the ev stuff the ev chargers that's a cluster you know and there's
[00:53:36.560 --> 00:53:43.520]   no way around that and so i think that was bad um so pork barrel spending basically unaccountable
[00:53:43.520 --> 00:53:48.560]   spending yeah no i think you know what they did in healthcare um you know you can take lena khan
[00:53:48.560 --> 00:53:54.000]   and say what she's doing for the mergers you know alberson's and kroger's i think is too much i think
[00:53:54.000 --> 00:53:58.320]   you know and i even told her this i sat on a panel sitting right next to her and i said the most
[00:53:58.320 --> 00:54:04.000]   important thing from a technological perspective in this country today is that we win ai that is going
[00:54:04.000 --> 00:54:09.280]   to find everything militarily for us and economically for us and that when you try to break up companies
[00:54:09.280 --> 00:54:15.040]   like google and facebook you diminish our ability to compete globally with ai and she told me now that
[00:54:15.040 --> 00:54:19.280]   she didn't didn't impact her at all that she understands that and she's heard that before
