
[00:00:00.000 --> 00:00:08.720]   over lunch this individual told me you know every founder and every vc in china studies the west
[00:30:58.800 --> 00:31:07.280]   brought up the fact that that we're a much smaller percentage of their exports than people realize and
[00:31:07.280 --> 00:31:15.920]   people think about and as a result you know i think that they're going to be china is going to be far
[00:31:15.920 --> 00:31:27.280]   more um biased by what they view as as fair and and face-saving than they are necessarily like numeric
[00:31:27.280 --> 00:31:34.080]   and so i think if we if someone were to approach them in a pragmatic way i think a pragmatic deal could
[00:31:34.080 --> 00:31:41.200]   easily get done i you know if they are engineers as dan wang said i it's not like you know that they
[00:31:41.200 --> 00:31:49.520]   wouldn't accept a pragmatic outcome i think they would but if we um if we're intent on being derogatory
[00:31:49.520 --> 00:31:56.080]   in our language and and by the way that's the thing that i just really don't understand um that you
[00:31:56.080 --> 00:32:02.800]   see in washington you see it on that select committee of the ccp and you see it from some of the the the
[00:32:02.800 --> 00:32:10.080]   people in silicon valley i just don't understand the value of being uh belligerent and but but many people
[00:32:10.080 --> 00:32:16.560]   clearly are i mean they have four times the number of citizens on this earth than we do and um none
[00:32:16.560 --> 00:32:23.920]   everybody's you know country of birth is something that happens to them outside of their control so i i just
[00:32:23.920 --> 00:32:30.160]   don't know why vilifying uh a billion people is a good idea um so i think it's possible i think
[00:32:30.160 --> 00:32:37.840]   there's a i think they would do a deal um and i just don't know if uh if we get caught up in a silly
[00:32:37.840 --> 00:32:45.840]   tit-for-tat verbal war what the benefit of that is and anything like that and this is one of the points
[00:32:45.840 --> 00:32:53.600]   sacks makes um jeffrey sax not david you you you might provoke world war three so what do you what
[00:32:53.600 --> 00:33:01.680]   what do you what's how do you put that into your mpv calculation is it fair to say that you know i think
[00:33:01.680 --> 00:33:09.840]   if you look at tariffs um heading into this year they basically doubled on china but if we put tariffs on
[00:33:09.840 --> 00:33:15.840]   you know particular industries in order to incent uh building and industries in the united states
[00:33:15.840 --> 00:33:22.800]   imagine it was a deal a bit like japan bill where we also you know cut a deal with the chinese that
[00:33:22.800 --> 00:33:28.720]   they had a trillion dollars of investment the way we have with other companies that go into the u.s
[00:33:28.720 --> 00:33:34.880]   into some of these uh you know industries and that we perhaps get some reciprocity and
[00:33:34.880 --> 00:33:40.480]   reduction of barriers to some chinese goods into into china where how would you handicap that did you
[00:33:40.480 --> 00:33:49.200]   get any sense um uh or or or you know do you get any sense from the uh the stuff you read in the united
[00:33:49.200 --> 00:33:54.400]   states as to the the probability that i think it's one of the biggest influences as we look at growth in
[00:33:54.400 --> 00:33:58.240]   the back half of this year as we look at market sentiment in the back half of this year
[00:33:58.240 --> 00:34:03.200]   just curious where you stand on that ironically one of the things that i mean like i said i met with
[00:34:03.200 --> 00:34:09.920]   i met with companies and founders and and and a few academicians but i did and some journalists but i
[00:34:09.920 --> 00:34:16.160]   didn't meet with with the government but in general there's just not any hostility from their side from
[00:34:16.160 --> 00:34:23.040]   that group of people that i met with in fact most of those um most of those people look up to the u.s
[00:34:23.040 --> 00:34:29.280]   founders that have done great things the jobs and the elons and most of them aspire to compete
[00:34:29.280 --> 00:34:36.640]   globally the same way a founder in the u.s would like and so they would like to see all this rhetoric
[00:34:36.640 --> 00:34:41.840]   die down and they would like to have the opportunity to come to the u.s market they'd like the opportunity
[00:34:41.840 --> 00:34:48.800]   to compete in europe and south america many are xiaomi and byd already are and so i think like i
[00:34:48.800 --> 00:34:57.600]   said i think there's a pragmatic deal to do um to the extent and and if if that um led to the types of
[00:34:57.600 --> 00:35:03.680]   programs that i just talked about this kind of jv thing where there's a market there a leader in and we
[00:35:03.680 --> 00:35:09.760]   you know have that company come to the u.s and help us understand um how to compete in some of these
[00:35:09.760 --> 00:35:15.360]   technologies and get to lower price points i think that'd be fantastic do you feel like over the last
[00:35:15.360 --> 00:35:21.600]   20 years who do you think's gotten the best out of the relationship bill you know i haven't read this uh
[00:35:21.600 --> 00:35:29.680]   apple china book um yes it a lot of people have been talking about it and i aim to um it it
[00:35:31.600 --> 00:35:37.040]   i think the problem with looking at it that way is you know you and i've talked about this finite
[00:35:37.040 --> 00:35:44.240]   versus infinite game is you know where are we in the time of the planet and what do you think the
[00:35:44.240 --> 00:35:51.280]   planet's going to look like you know 15 20 30 years from now i mean i think it'd be very easy to say
[00:35:51.280 --> 00:35:57.760]   you know using your framing to say the u.s took advantage of europe post-world war ii and a lot of the
[00:35:57.760 --> 00:36:03.760]   manufacturing that existed prior to world war ii shifted to america um and so you could then with
[00:36:03.760 --> 00:36:12.240]   that same frame say yeah china you know grew on the back of america and and you know from from that time
[00:36:12.240 --> 00:36:18.080]   but i kind of look at it another way which is there have been different periods where these different
[00:36:18.080 --> 00:36:24.320]   countries have industrialized you know we were a huge beneficiary post-world war ii because most of asia and
[00:36:24.320 --> 00:36:29.360]   in europe had been blown up and there was no production capability whatsoever and a lot of the
[00:36:29.360 --> 00:36:36.080]   kind of glory day mindset that we have about what life and generational change should be like in the
[00:36:36.080 --> 00:36:43.600]   u.s come from that time um which is a bit unfair i think from a global perspective but there's a ton of
[00:36:43.600 --> 00:36:50.560]   hard-working people over there you know denxiaoping brought capitalism underneath the uh the chinese
[00:36:50.560 --> 00:36:59.520]   government and led to the biggest you know um increase in standard of living of any it's like 500
[00:36:59.520 --> 00:37:05.280]   million people came out of poverty as a result of that and you know when people say oh we should have
[00:37:05.280 --> 00:37:10.160]   never let the jobs go over there i'd i don't think they really want to say well we shouldn't have let 500
[00:37:10.160 --> 00:37:16.320]   million people out of poverty uh you know it's the same people that that uh want to talk about aid in
[00:37:16.320 --> 00:37:24.480]   africa and whatnot so a lot of people benefited in china um but they're also hard-working people and and
[00:37:24.480 --> 00:37:31.840]   and we we talk a lot about meritocracies right and some of the same people that talk about meritocracies
[00:37:31.840 --> 00:37:39.040]   are anti-china and so that that's a hard thing to square because if someone's willing to work twice
[00:37:39.040 --> 00:37:46.800]   as hard you know as you and you know willing to study harder and and all that kind of stuff are they
[00:37:46.800 --> 00:37:54.720]   do they not deserve a chance at a life like you have i think the bigger complaint is that um we were
[00:37:54.720 --> 00:38:02.800]   naive in our trade policy and therefore we allowed huge advantages to flow to other areas
[00:38:02.800 --> 00:38:10.240]   and you know by the way as dan says in his book at the same time we were actually moving to more of a
[00:38:10.240 --> 00:38:15.760]   regulatory state in the united states so you know like our companies were getting less competitive at
[00:38:15.760 --> 00:38:22.560]   the same time we were helping their companies get more competitive and there was a lot of collateral damage in the united states
[00:38:22.560 --> 00:38:27.440]   in the united states during that period of time and i think right now people are saying okay we're moving
[00:38:27.440 --> 00:38:33.760]   into this age of ai but we have to get back to driving reform in the united states that levels that playing
[00:38:33.760 --> 00:38:41.680]   field a bit um and so you know you can't you can't undo the past um but i do think there's a recognition
[00:38:41.680 --> 00:38:48.960]   that um you know we need to do the things in order to incentivize u.s industry to compete more effectively
[00:38:48.960 --> 00:38:54.400]   in a lot of these different categories um i think it is going i think it is going to be tricky though
[00:38:54.400 --> 00:39:02.480]   you know if you say you know you've got a hundred competitors in the ev industry in china they're all
[00:39:02.480 --> 00:39:08.720]   willing to work on razor thin margins and they're willing to sell cars into europe at twenty thousand
[00:39:08.720 --> 00:39:15.360]   dollars or twenty five thousand dollars today as farley said there is not a u.s manufacturer sans
[00:39:15.360 --> 00:39:22.160]   perhaps tesla that comes anywhere close to being able to compete in that way on a global basis correct
[00:39:22.160 --> 00:39:29.600]   one thing i've been studying a bit is i i do think that the chinese government's more has more
[00:39:29.600 --> 00:39:36.560]   scrutinous of monopolies you know i don't think that they i think they would consider it a negative if there
[00:39:36.560 --> 00:39:41.440]   were seven companies worth three trillion dollars or whatever like i don't think they care about
[00:39:41.440 --> 00:39:47.280]   market cap i think they care more about employment and global competitiveness which would cause you to
[00:39:47.280 --> 00:39:53.600]   support low margin companies um and and you know they they get to choose to make that choice i'm not
[00:39:53.600 --> 00:39:59.120]   judging it but it would result in this outcome you know there's in addition to the farley quote the
[00:39:59.120 --> 00:40:06.000]   mercedes ceo said we need a reality check um when he was talking about chinese evs and then
[00:40:06.000 --> 00:40:14.080]   stelantis i guess is the new name who uh who rolled up a bunch of other car companies uh they said chinese
[00:40:14.080 --> 00:40:23.280]   evs are quote possibly the biggest risk facing his car maker and tesla um and uh he criticized this is
[00:40:23.280 --> 00:40:30.880]   carlos tavares he publicly criticized eu tariffs on chinese electric vehicles calling them a major trap
[00:40:30.880 --> 00:40:37.200]   for automakers and this is this is you know you talk about what policy would fix things i'll tell
[00:40:37.200 --> 00:40:43.280]   you what policy will make things worse you know you start protecting us industries by putting export
[00:40:43.280 --> 00:40:48.960]   tariffs on the most competitive products around the world which i talked about earlier now your consumers
[00:40:48.960 --> 00:40:55.280]   don't have access to those price points and so you're buying inferior goods at inflated prices
[00:40:55.280 --> 00:41:02.720]   and that's going to lead to inflation and prosperity and standard of living levels dropping in the us so
[00:41:02.720 --> 00:41:08.080]   there's a lot of variables i would say that's generally true i think if there's a moment you know if there
[00:41:08.080 --> 00:41:16.720]   was a national strategy to improve competitiveness in an industry that had been you know um uh uh let's just say
[00:41:16.720 --> 00:41:23.600]   had an unfair playing field for a period of time like i could see a national strategy for example
[00:41:23.600 --> 00:41:28.640]   we talked about pharmaceutical manufacturing we talked about chip manufacturing we talked about rare
[00:41:28.640 --> 00:41:34.240]   earths where you would say okay we're going to actually impose a tariff because these other goods
[00:41:34.240 --> 00:41:40.160]   are flooding and it deprives us of the ability to build our own domestic industry but i think we have
[00:41:40.160 --> 00:41:46.160]   to be very careful when you do that bill to your point we know that unfettered competition will lead to
[00:41:46.160 --> 00:41:53.040]   uh you know is going to lead to much better products much lower prices and when you start protecting these industries
[00:41:53.040 --> 00:42:02.080]   what i worry about is you protect the regulatory grift and the the the the over lawyering that dan talks about in
[00:42:02.080 --> 00:42:09.040]   his book right we got to face up to this fact that we have to reform some of these uh you know basic things in the united states
[00:42:09.040 --> 00:42:15.040]   and that's why you see companies like tesla moving to texas where those reforms are moving forward and i think
[00:42:15.040 --> 00:42:22.320]   you know i think we are making progress on that but i you know i think you there is a rationale uh for those
[00:42:22.320 --> 00:42:27.920]   critical national industries but i generally agree with you that if we move to high levels of protection
[00:42:27.920 --> 00:42:35.200]   because we simply can't compete because it takes you know us uh you know 10 people uh in an auto
[00:42:35.200 --> 00:42:40.080]   plant to do what they do with one person in an auto plant i think that's unsustainable you and i think
[00:42:40.080 --> 00:42:46.720]   we need to be careful with the rhetoric we throw around so so i'll give an example so um if you read
[00:42:46.720 --> 00:42:52.000]   what comes out of the biggest talks they say well everyone in china just steals things and the government
[00:42:52.000 --> 00:42:58.320]   subsidizes everything so when i i brought that up with uh i brought up the subsidization with
[00:42:58.320 --> 00:43:03.680]   stella lee at byd and she said she said if i'm getting all this government subsidy money can you
[00:43:03.680 --> 00:43:09.120]   please find it and show it to me we're we're a public company come show me the money i'm getting from
[00:43:09.120 --> 00:43:15.920]   the government she's like say i'm getting nothing and um and and then you know you look at the u.s like
[00:43:15.920 --> 00:43:21.840]   we give companies subsidies all the time to build factories we've had ev credits for the past 10
[00:43:21.840 --> 00:43:28.080]   years both at a state and a federal level um intel's getting money from the u.s government like i don't
[00:43:28.080 --> 00:43:34.000]   understand where we're saying like like it's very unclear to me like what we're pointing at and
[00:43:34.000 --> 00:43:41.200]   accusing and why it doesn't it isn't the same thing here and then lastly you know elon's published all
[00:43:41.200 --> 00:43:50.240]   the tesla patents okay so there's free ip for ford and gm and i would ask you with that free ip if we gave
[00:43:50.240 --> 00:43:56.480]   ford and gm subsidies do you think they'd immediately be competitive with china no sir
[00:43:56.480 --> 00:44:02.640]   okay and if i ask a hundred smart investors that question what would they say i think they'd agree
[00:44:02.640 --> 00:44:08.880]   with me yeah so so so so the thing we're accusing them of being the reason they're succeeding
[00:44:08.880 --> 00:44:14.400]   if you flipped and gave that to the u.s companies none of us have confidence that would work
[00:44:14.400 --> 00:44:19.840]   so that's what i'm saying just gotta try and get as much information as you can learn as much as you
[00:44:19.840 --> 00:44:26.880]   can um so that you i i just want people to have a pragmatic view and an accurate view as they make
[00:44:26.880 --> 00:44:35.680]   decisions i i did a deep dive on on your favorite product chat gbt uh 300 version deep research and on
[00:44:35.680 --> 00:44:42.240]   the 24 members of the select committee for the ccp and i think all but four have never been to china
[00:44:42.240 --> 00:44:48.560]   all right and the ones that went it was seven years ago i just encourage them to go visit if they're
[00:44:48.560 --> 00:44:54.400]   going to sit there and have um such strong opinions it'd be good if they were educated i wouldn't want
[00:44:54.400 --> 00:44:59.600]   if you were putting together a committee inside of your corporation um that's going to be in charge of
[00:44:59.600 --> 00:45:05.520]   something wouldn't you want the most educated people on that committee i can already hear the criticism
[00:45:05.520 --> 00:45:15.600]   oh yeah um you know of course people would say well we don't expect the ceo of byd to tell you the truth
[00:45:15.600 --> 00:45:21.600]   necessarily about government subsidies or or things like that um but here's the one thing i want to get
[00:45:21.600 --> 00:45:30.320]   across in you know kind of this pragmatist camp we do have to be self-reflective right i mean if we have
[00:45:30.320 --> 00:45:36.480]   this if we have this view the only reason china's competitive or winning is because they're they're
[00:45:36.480 --> 00:45:43.920]   stealing or they're subsidized i think what that view does is it allows us to delude ourselves into
[00:45:43.920 --> 00:45:49.520]   believing we don't need to get better ourselves yeah like it's like if you're playing a competition
[00:45:50.080 --> 00:45:55.680]   and you know your your kids out there playing in a football game or a swimming race and they lose
[00:45:55.680 --> 00:46:00.400]   the race and they come back to you and they say well the only reason that person won was you know they
[00:46:00.400 --> 00:46:06.240]   cheated you know like your advice i think is no you've got to get better yourself we've got to get
[00:46:06.240 --> 00:46:14.160]   better how can we get better and i think that's why cultivating this balanced and realistic view of china
[00:46:14.160 --> 00:46:20.560]   what's actually happening on the ground how hard right folks are working what the level of innovation
[00:46:20.560 --> 00:46:26.480]   is the fact that the united states is is is a diminishing part of their trade of their gdp
[00:46:26.480 --> 00:46:34.160]   etc i think that should cause us to look a little bit inward about how the hell do we accelerate how do
[00:46:34.160 --> 00:46:40.080]   we build more how do we invest more how do we you know get more globally competitive why does it cost us
[00:46:40.080 --> 00:46:45.120]   four to five times to build a fission reactor in this country why are we building no nuclear reactors
[00:46:45.120 --> 00:46:50.720]   in this country and so the good news is this i feel like there's a lot of momentum under this
[00:46:50.720 --> 00:46:55.360]   administration that was building before this administration around investing in america
[00:46:55.360 --> 00:47:01.120]   getting more globally competitive right a lot of people want to build things here again you know and
[00:47:01.120 --> 00:47:07.440]   and and you got you have somebody like jensen huang who says both can be true we need to sell h20s and
[00:47:07.440 --> 00:47:13.440]   b30s into china we need to stay relevant in their ecosystem but at the same time we need to build
[00:47:13.440 --> 00:47:19.120]   plants in arizona and we need to rehabilitate and invest aggressively in our own domestic chip program
[00:47:19.120 --> 00:47:27.040]   those things can be simultaneously true um and it it's interesting that all of those ceos who spend the
[00:47:27.040 --> 00:47:32.480]   most time competing in china you know they all fall in that pragmatist realist camp
[00:47:32.480 --> 00:47:39.200]   um you know in the center about you know the united states needs to get serious about the work that it
[00:47:39.200 --> 00:47:44.880]   needs to do if it wants to remain globally competitive with that said bill can we shift for a second i want
[00:47:44.880 --> 00:47:49.040]   to i want to you know look at this through the lens of kind of just what's going on in ai
[00:47:49.040 --> 00:47:55.520]   you know um i know you spent a bunch of time over there looking at the key players on the model side on
[00:47:55.520 --> 00:48:01.600]   the you know thinking about the chip side etc um so maybe just round out that other conversation and
[00:48:01.600 --> 00:48:10.480]   then shift there yeah so so um one thing one thing to note that um that isn't in the dan wing book but i
[00:48:10.480 --> 00:48:16.720]   i think that we can infer from it the government every five years publishes this five-year plan
[00:48:16.720 --> 00:48:22.960]   the last one was the 14th and i think the next one will be coming out soon i would encourage everyone to
[00:48:22.960 --> 00:48:28.160]   read that because that's where they tell the provinces what's important to work on
[00:48:28.160 --> 00:48:34.320]   and that historically has led to these areas where they're investing heavily and they might make a
[00:48:34.320 --> 00:48:39.840]   mistake in what they say to focus on but when they've gotten it right it's led to a lot of global
[00:48:39.840 --> 00:48:45.920]   competitiveness so i would watch that but in the in the last one in the 14th they literally talked about
[00:48:45.920 --> 00:48:53.280]   open source um and so you know i i'll put a link in i found a document that covers all the history of
[00:48:53.280 --> 00:48:59.200]   chinese open source but it goes back 20 years this isn't an overnight thing um and our government
[00:48:59.200 --> 00:49:04.960]   recently said they were pro open source in this new ai executive order but but but this was kind of
[00:49:04.960 --> 00:49:11.920]   pushed out to the provinces and so two two things i would say about the ai market there first of all
[00:49:11.920 --> 00:49:18.960]   no one's particularly concerned about there being a monopolist because there's so many open models so
[00:49:18.960 --> 00:49:26.000]   there's in general i think from the entrepreneur's perspective um a more relaxed you know opinion
[00:49:26.000 --> 00:49:32.320]   because they can work on products and they can take in all these different models i think i think deep seek
[00:49:32.320 --> 00:49:39.200]   has the most kind of intellectual brand because of how that arrived and and and almost the the the
[00:49:39.200 --> 00:49:46.320]   national pride that came along with it um quinn um is a really important player mainly because
[00:49:46.320 --> 00:49:52.640]   uh alibaba leads in the cloud market over there they're about us you you may you and your team may
[00:49:52.640 --> 00:49:58.800]   know more of these stats than me brad but i think they're like a 70 player in the cloud market and so that
[00:49:58.800 --> 00:50:03.920]   just gives them a natural place to deliver models from that makes them important and then on the
[00:50:03.920 --> 00:50:10.640]   consumer side you know byte dance it seems to be the company to watch on anything consumer and they
[00:50:10.640 --> 00:50:17.280]   already have an app if someone said whose app is closest to open ais in china it's already an app from
[00:50:17.280 --> 00:50:23.600]   byte dance um that's out there people on the watch list people are very curious if 10 cents gonna do
[00:50:23.600 --> 00:50:30.080]   something you know obviously they wechat still extremely um important in china and so that's a
[00:50:30.080 --> 00:50:35.120]   great asset if they were to bring something but they haven't been particularly aggressive and then jami
[00:50:35.120 --> 00:50:41.840]   because of leijun everybody wonders what he might do and you know owning the phone and that big a
[00:50:41.840 --> 00:50:46.480]   market share might give you some advantages we've talked about that with the us players so that's kind
[00:50:46.480 --> 00:50:52.400]   of that's what i would say is the state of affairs over there on and when it comes to ai on the model
[00:50:52.400 --> 00:51:02.640]   layer um is it do you think there's an acknowledgement or a belief uh that they're basically they have the
[00:51:02.640 --> 00:51:08.800]   tools they have the chips you know with huawei etc to be competitive like is there a sense in china
[00:51:08.800 --> 00:51:14.960]   that you know quinco is going to be competitive with clod code um you know we know they're all open
[00:51:14.960 --> 00:51:20.960]   source do you think there is a sense that they all stay at the frontier like i had that since before i
[00:51:20.960 --> 00:51:26.880]   went just because of the number of competitive open source models and the way they can trade train each
[00:51:26.880 --> 00:51:33.840]   other you just have a much more natural environment to have this kind of hyper competition that we talked
[00:51:33.840 --> 00:51:40.000]   about in evs or solar like having that many open source providers gives you that i would say even
[00:51:40.000 --> 00:51:46.800]   maybe more because of the way the models can help one another at least in the ev case like you can't
[00:51:46.800 --> 00:51:52.000]   take someone else's ev and make yours better but here you can can we talk about that just open for a
[00:51:52.000 --> 00:51:59.360]   second let me double click on this you know obviously we saw open ai open source you know a model a few
[00:51:59.360 --> 00:52:05.120]   weeks back now we have comments this week out of elon uh they're they're getting back to more
[00:52:05.120 --> 00:52:11.920]   aggressively open sourcing um you've obviously got meta already uh uh you know with llama out there on
[00:52:11.920 --> 00:52:18.240]   the open source front and i saw you had a tweet yesterday maybe bill just on you were surprised that
[00:52:18.240 --> 00:52:24.560]   google had not taken a more aggressive position with respect to open sourcing gemini um do you think
[00:52:24.560 --> 00:52:29.200]   they will why do you think they haven't and why do you think it would be the right thing for them to do that
[00:52:29.200 --> 00:52:34.320]   well i i had some replies to that tweet to get into this but this goes back to where you started the
[00:52:34.320 --> 00:52:44.000]   podcast i don't think public companies understand or i don't think they've internalized um and and really
[00:52:44.000 --> 00:52:50.400]   come to terms with the fact that the private markets are willing to bet so aggressively on these new
[00:52:50.400 --> 00:52:56.240]   players and i you know we're talking about ai today but this could be true of any new disruption in
[00:52:56.240 --> 00:53:01.680]   the future when i was going through the the uber lift wars and you know we'd be in board meetings
[00:53:01.680 --> 00:53:05.120]   and look at these burn rates and all this money we're spending you talk about whether or not to
[00:53:05.120 --> 00:53:10.000]   raise another round and certainly thought about doing what sam did and trying to talk capital out of the
[00:53:10.000 --> 00:53:17.040]   market which never seems to work um but you get frustrated with that game and you want to you know but
[00:53:17.840 --> 00:53:24.000]   but you're dealing with business decisions that you would never see in another industry and so
[00:53:24.000 --> 00:53:30.880]   getting back to the question you asked you know i just don't know like if everything's at stake for
[00:53:30.880 --> 00:53:36.960]   google should they be willing to lose five or ten billion dollars because the startup that's attacking
[00:53:36.960 --> 00:53:43.520]   their space is willing to lose that amount of money and i think it's it's it's an ironic situation we're in
[00:53:43.520 --> 00:53:49.280]   where the private markets and the startups are willing to be more aggressive perhaps and more
[00:53:49.280 --> 00:53:57.200]   risk-seeking than the public incumbents are and i think you know our friend rich barton took a lot of
[00:53:57.200 --> 00:54:04.080]   heat at zillow when he when he chased opendoor but he was faced with a situation where a private company was
[00:54:04.080 --> 00:54:10.400]   claiming it was gonna out innovate him and disrupt his game and and some of wall street had come to believe
[00:54:10.400 --> 00:54:15.920]   that and so he engaged and he played that game on the field now that eventually turned out to not be
[00:54:15.920 --> 00:54:22.080]   true um and and maybe if he hadn't engaged competitively with opendoor maybe they wouldn't
[00:54:22.080 --> 00:54:27.600]   have have kind of tripped and fallen but but it was probably the right thing to do and i don't think a lot
[00:54:27.600 --> 00:54:34.240]   of public companies think that way now google historically when it came to aws open source kubernetes
[00:54:34.240 --> 00:54:39.600]   and went after him when it came to apple they open sourced android and certainly some of their their lower
[00:54:39.600 --> 00:54:45.600]   models are open sourced and competitive on open router but maybe they should be more aggressive
[00:54:45.600 --> 00:54:51.360]   even still because of what's at stake that was that was my point okay shifting back real quick and you
[00:54:51.360 --> 00:54:59.920]   know we'll round up here on china um you know the vc market in china we just rewind the clock you know not
[00:54:59.920 --> 00:55:06.480]   it was not that long ago bill um and you know there was a lot of us enthusiasm there were a lot of us
[00:55:06.480 --> 00:55:14.960]   firms investing directly in china um right from sequoia to ggv a lot of those firms either shut down or
[00:55:14.960 --> 00:55:23.200]   spun off their operations uh you know in china benchmark has taken a lot of you know heat for doing an
[00:55:23.200 --> 00:55:29.200]   investment manis that you know i've i've read benchmark explain really isn't even you know
[00:55:29.200 --> 00:55:34.800]   based in china what do you see you know when you were there do you see a lot of us investors actively
[00:55:34.800 --> 00:55:40.960]   investing on the venture side in china and then what is the chinese venture ecosystem look like so
[00:55:40.960 --> 00:55:47.520]   a couple different things so first of all um there's a real lack of westerners for all my trips this was
[00:55:47.520 --> 00:55:53.680]   the the fewest westerners that i've ever seen and the high-end hotels and the high-end restaurants were
[00:55:53.680 --> 00:56:01.040]   fairly empty um and i think that it just has to do with the thawing of the relationship um that's caused
[00:56:01.040 --> 00:56:11.040]   less travel from westerners um the vc market um is in a bit of a lull because when when these policies all
[00:56:11.040 --> 00:56:18.960]   changed and when you know the jack ma thing happened when dd got pulled back from the u.s markets when
[00:56:18.960 --> 00:56:25.680]   the for-profit education companies got taken out and when uh you know wechat went i mean tencent went
[00:56:25.680 --> 00:56:32.960]   flat for a couple years because of games reforms all those things um took a lot of air out of the system
[00:56:32.960 --> 00:56:38.560]   and caused a lot of people to reconsider and then you also had and i don't even know if this was more
[00:56:38.560 --> 00:56:43.360]   led by the u.s government or the china government you had the splitting of the venture capital firms
[00:56:43.360 --> 00:56:50.960]   sequoia split in half ggv split in half and and so there are much fewer western dollars available to
[00:56:50.960 --> 00:56:57.040]   invest in china and so you know there are a few firms that have stayed you know neil shin at hongshan
[00:56:57.040 --> 00:57:02.480]   had raised a ton of money right before all this happened he's very active has a huge staff of people
[00:57:02.480 --> 00:57:11.680]   um anafang and zen fun which is a angel group are very active and idg is highly present and has been
[00:57:11.680 --> 00:57:18.320]   active but that's only three firms you know and compared to where things were six years ago when
[00:57:18.320 --> 00:57:24.480]   every one of our um competitors in the venture industry were making an annual trip it's it's kind
[00:57:24.480 --> 00:57:32.880]   of night and day um and then there's not that many um r b dollars available to the venture market a lot of
[00:57:32.880 --> 00:57:40.480]   the you don't have the foundations in and university endowments that you do here and the billionaires
[00:57:40.480 --> 00:57:47.600]   that have made wealth typically are looking to diversify offshore and so you just don't have a lot of
[00:57:47.600 --> 00:57:54.240]   r b dollars seeking a home and now you have the provinces entering the investment space which is
[00:57:54.240 --> 00:58:00.560]   an uncomfortable reality for some of the vcs they're asked i hear they're asking for terms that you and
[00:58:00.560 --> 00:58:09.680]   i would consider um non-starters you know um and so that's it's all a little bit messy um it's funny
[00:58:09.680 --> 00:58:17.360]   because it's simultaneously with some of these markets evs uh autonomous uh robotics where they're where the
[00:58:17.360 --> 00:58:23.280]   country is doing extremely well so i found those things off a little bit and it's very everyone's
[00:58:23.280 --> 00:58:29.920]   very aware that if the government decides um your company is doing something that's not in the best
[00:58:29.920 --> 00:58:35.760]   interest of the uh citizenry that that's going to get corrected and so there's a phrase i don't know
[00:58:35.760 --> 00:58:42.240]   if it was in dan's book or i read somewhere else called don't be the tallest tree that's a problem for
[00:58:42.240 --> 00:58:52.720]   you yeah exactly um yeah is it in that regard do you think you know that's what i was i was wondering
[00:58:52.720 --> 00:59:00.960]   you know there seems to be a ton of entrepreneurial activity despite the fact that you know vcs have
[00:59:00.960 --> 00:59:06.560]   retreated that you have companies that are not going public and have been shut down you have entrepreneurs
[00:59:06.560 --> 00:59:13.840]   that have gone missing it doesn't really seem to have diminished you know the activity around uh
[00:59:13.840 --> 00:59:19.760]   you know around ai as we're talking about clearly or startups or entrepreneurism and in fact a lot of
[00:59:19.760 --> 00:59:25.760]   the locals heavily dispute that financial times graph that was going around about the number of startups
[00:59:25.760 --> 00:59:31.840]   they said it just mismeasured the whole thing and so no i i don't sense that there's any lack of
[00:59:31.840 --> 00:59:40.480]   enthusiasm from entrepreneurs and towns like shenzhen um where where dgi and byd and huawei are all
[00:59:40.480 --> 00:59:49.360]   located i mean that town is a new young 20 million people a highly energetic you know town with lots of
[00:59:49.360 --> 00:59:56.640]   stuff happening you know lots of stuff you said something to me um well before before we wrapped is
[00:59:56.640 --> 01:00:02.320]   there anything else anything else that we we didn't cover that you wanna you wanna hit on there's two
[01:00:02.320 --> 01:00:07.440]   there's two things i would hit on you know you talked about innovation one thing one thing that you
[01:00:07.440 --> 01:00:14.480]   notice very quickly as a westerner is no one takes credit cards yeah they used to like the last time i went
[01:00:14.480 --> 01:00:22.240]   but it's almost a hundred percent uh wechat pay and alipay and if you can't get those to work on your phone
[01:00:22.240 --> 01:00:28.080]   you're screwed man you can't pay for anything um what's what's the government's position on crypto
[01:00:28.080 --> 01:00:34.800]   i don't know the answer to that question okay i don't but but because they've been using these apps
[01:00:34.800 --> 01:00:39.760]   for so long um you've started to see incremental innovation around that so
[01:00:39.760 --> 01:00:46.800]   most restaurants you go to not to very high-end ones there's a qr code on your table that qr code not
[01:00:46.800 --> 01:00:52.240]   only represents the restaurant but it represents the table and you can order from that you can pay
[01:00:52.240 --> 01:00:57.920]   from that like like so if you are done eating and want to pay and leave you just scan and pay and go
[01:00:57.920 --> 01:01:05.280]   you walk right out and um you know we we're far away from that in the us that amount of of automation
[01:01:05.280 --> 01:01:11.440]   around payment um and it's just interesting and and that goes from you know the high-end hotel and
[01:01:11.440 --> 01:01:17.680]   restaurant will take wechat pay and the street vendor will take it right it's it's it's universal
[01:01:17.680 --> 01:01:24.560]   so that's one thing the other thing that i would just mention um very recently china announced something
[01:01:24.560 --> 01:01:33.120]   called the k visa and one of the um one of the things that's happened recently because of i'd say an
[01:01:33.120 --> 01:01:40.880]   increased um agitation between the two countries is there have been a number of very recent policies
[01:01:40.880 --> 01:01:48.880]   in america that are impacting skilled immigration especially at the university level and i did hear
[01:01:48.880 --> 01:01:56.000]   stories over there of groups of 50 or 100 phd students who had been admitted into a university and
