
[00:00:00.960 --> 00:00:06.640]   Yeah, okay. So, hello everyone. This is the Quint image paper, or technical report rather.
[00:26:41.280 --> 00:26:44.960]   you gotta filter stuff that says I can't caption this image. Um, you know,
[00:26:44.960 --> 00:26:47.280]   there's even more filters in this stuff.
[00:26:47.280 --> 00:26:52.640]   Yeah. Wait, do you know what Chinese clip did differently than like regular clip?
[00:26:52.640 --> 00:26:55.920]   I'm pretty sure that the captions are in Chinese.
[00:26:55.920 --> 00:27:02.480]   I haven't checked, but you know, I would assume Chinese clip is clip in Chinese.
[00:27:02.480 --> 00:27:04.080]   I meant like,
[00:27:04.080 --> 00:27:08.640]   I meant like they do anything differently in terms of like diffusion.
[00:27:09.600 --> 00:27:15.040]   So they, they have two, two, two things that they reference. Uh, sig clip is not Chinese clip. It's,
[00:27:15.040 --> 00:27:22.320]   it's, uh, it's a variation that builds on top of clip and that's not specific. That's not like specific to
[00:27:22.320 --> 00:27:28.800]   Chinese. That's from deep mind in like February, 2025. It's, it's just an improvement on clip,
[00:27:28.800 --> 00:27:32.080]   but you know, they probably merged that with the Chinese clip.
[00:27:32.080 --> 00:27:33.120]   Okay. Cool.
[00:27:33.120 --> 00:27:34.240]   Yeah.
[00:27:34.240 --> 00:27:38.880]   Right. Okay. So let's say we did that. Okay.
[00:27:38.880 --> 00:27:42.960]   Okay. Data synthesis. Uh, let's see.
[00:27:45.360 --> 00:27:54.480]   Uh, oh yeah. So they talk about how apparently this is a problem with, uh, like with Chinese where
[00:27:54.480 --> 00:27:58.080]   like there are some characters that are just really, really rare, but are still important.
[00:27:58.080 --> 00:28:02.640]   So I say given the long tail distribution of textual context, relying solely on, uh,
[00:28:02.640 --> 00:28:06.720]   naturally occurring text is insufficient to ensure adequate exposure to these rare characters during
[00:28:06.720 --> 00:28:12.800]   model training. So to address this, they use like a multi-stage text-aware image synthesis pipeline.
[00:28:12.800 --> 00:28:19.520]   It's like, they have three stages and they kind of describe it. Uh, so the most straightforward
[00:28:19.520 --> 00:28:23.920]   way it's like to train the model to recognize and generate characters. So like they make text
[00:28:23.920 --> 00:28:28.320]   or they extract text paragraphs from large scale, high quality corpora, and they render it onto clean
[00:28:28.320 --> 00:28:34.800]   backgrounds. And so they also like implement QA or quality control. So if any character within a
[00:28:34.800 --> 00:28:39.760]   paragraph cannot be rendered due to limitations, the entire paragraph is discarded. So again, like they just
[00:28:39.760 --> 00:28:47.360]   really, really care about having like clean data. Uh, yeah. So they maintain a high fidelity. Let's see.
[00:28:47.360 --> 00:28:53.360]   So this is an example of the first one, the paragraph that I just talked about. So they do that.
[00:28:53.360 --> 00:29:01.520]   So they also do compositional rendering and contextual scenes. So they just embed a embed synthetic text into
[00:29:01.520 --> 00:29:07.840]   realistic visual context. So they use QNVL captioner to generate descriptive captions for each synthesized image,
[00:29:07.840 --> 00:29:10.880]   capturing contextual relationships between the text and surrounding visual elements.
[00:29:10.880 --> 00:29:17.920]   So an example of this is like this right here. And the third is, let's see, complex rendering and
[00:29:17.920 --> 00:29:23.280]   structured templates. So they follow complex structured prompts involving layout sensitive content.
[00:29:23.280 --> 00:29:27.520]   So they propose a synthesis strategy based on programmatic editing of predefined templates,
[00:29:27.520 --> 00:29:30.960]   such as PowerPoint slides or user interface mockups. This is kind of what I was talking about at the very
[00:29:30.960 --> 00:29:37.840]   beginning where they, like, they kind of use some of their PowerPoint such like synthetic, quote unquote, synthetic images.
[00:29:37.840 --> 00:29:46.880]   Uh, that kind of like teach it to follow instructions or teach it to like how to place different, like how to use graphics or like manipulate graphics.
[00:29:46.880 --> 00:29:50.160]   So like, again, this is an example of that.
[00:29:50.160 --> 00:30:00.080]   I thought this section was very interesting, right? Because what they're doing here is they're,
[00:30:00.080 --> 00:30:12.480]   they're generating a very different form of synthetic data, right? This is not synthetic data from a diffusion model or like an LLM that's just added. Like you don't, you're not really doing distillation.
[00:30:12.480 --> 00:30:16.720]   Uh, you know, the first one, uh, you know, the first one, the pure rendering is very interesting, right?
[00:30:16.720 --> 00:30:25.680]   They're, they're basically writing paragraphs, like they're extracting text and just rendering it onto clean backgrounds.
[00:30:25.680 --> 00:30:30.400]   Like, you know, in Photoshop where you can like have text and just paste it into different backgrounds.
[00:30:30.400 --> 00:30:36.080]   Uh, that's, that's a form of a synthetic image, but it's not a generated image, right?
[00:30:36.080 --> 00:30:49.280]   So they mentioned this more earlier in the paper as well, where their synthetic data gen is like very different, it's, it's not generated images, it's text that's written and then rendered in synthetic sense.
[00:30:49.280 --> 00:30:52.080]   But yeah, it's like pure, pure text.
[00:30:52.080 --> 00:30:56.960]   And then the thing that you mentioned with the random characters.
[00:30:56.960 --> 00:31:05.920]   So the, the, the part of that is actually that in, in languages like Chinese, there's tail end characters that don't show up a lot, right?
[00:31:05.920 --> 00:31:12.000]   Like you, you just won't see these that often, but you still need to be able to understand them.
[00:31:12.000 --> 00:31:18.560]   So this synthetic text properly brings back in the tail end of distribution that you don't see.
[00:31:18.560 --> 00:31:22.080]   So it's like, you know, in English, we have like only so many characters, right?
[00:31:22.080 --> 00:31:31.600]   26 letters, they're pretty distributed, but in, in Chinese there are characters that don't show up and they, they render them and then they synthetically add them back.
[00:31:31.600 --> 00:31:35.040]   But it's a very different type of, uh, synthetic data gen.
[00:31:35.760 --> 00:31:37.760]   Yeah.
[00:31:37.760 --> 00:31:41.840]   I'm pretty surprised it works as well.
[00:31:41.840 --> 00:31:47.440]   Like, yeah, they just have templates of PowerPoints and then they just add in words, you know?
[00:31:47.440 --> 00:31:49.120]   Yeah.
[00:31:49.120 --> 00:31:58.720]   I'm also kind of surprised because like, I thought that if there were rare characters and they would rarely show up in, um, like in these like pure rendering, like these types of images.
[00:31:58.720 --> 00:32:08.400]   But I mean, maybe they artificially, like maybe they just like manually found which characters are rare and just like ensured that there are more of those available.
[00:32:08.400 --> 00:32:10.400]   So that's exactly what they did.
[00:32:10.400 --> 00:32:12.560]   Yeah, I can imagine that's what they did.
[00:32:12.560 --> 00:32:14.480]   That's, that's not a real image.
[00:32:14.480 --> 00:32:20.560]   That's a paragraph of text that exists, and then they just paste that onto a green background.
[00:32:20.560 --> 00:32:20.560]   Oh yeah.
[00:32:20.560 --> 00:32:22.560]   But this is not an image that exists, right?
[00:32:22.560 --> 00:32:23.760]   That's why it's synthetic.
[00:32:23.760 --> 00:32:24.160]   Oh yeah, yeah.
[00:32:24.160 --> 00:32:27.760]   It's not telling, it's not telling a model to generate something with this.
[00:32:27.760 --> 00:32:33.200]   They actually just purely printed out this paragraph and then overlay it on a green background.
[00:32:33.200 --> 00:32:34.720]   And same thing with the ones below.
[00:32:34.720 --> 00:32:37.680]   That's what makes this unique form of synthetic data gen, right?
[00:32:37.680 --> 00:32:42.960]   Because it's, yeah, it's just image editing, but it's, it's not generated per se.
[00:32:42.960 --> 00:32:44.320]   Yeah.
[00:32:44.320 --> 00:32:48.880]   And then they do this, they adjust font, sizing, spacing, all that stuff.
[00:32:48.880 --> 00:32:54.320]   And then, you know, when you type out this paragraph, if one character is off, they discard it.
[00:32:54.320 --> 00:32:55.920]   So it's, it's pure clean.
[00:32:55.920 --> 00:32:58.080]   Yeah.
[00:32:58.080 --> 00:33:01.440]   And this helps with like tiny text too, I think they said.
[00:33:01.440 --> 00:33:03.200]   So like, they can super scale it down.
[00:33:03.200 --> 00:33:05.760]   And as long as it's correct, you know, synthetic small text.
[00:33:05.760 --> 00:33:08.480]   Yeah, that's really useful then.
[00:33:08.480 --> 00:33:09.440]   Yeah.
[00:33:09.440 --> 00:33:09.600]   Yeah.
[00:33:09.600 --> 00:33:19.840]   But the, the, the cool thing is after you do this, like in the second blob there of text being
[00:33:19.840 --> 00:33:25.280]   overlaid, sorry, if you go up a little bit, the second one, like, you know, this, I love you too.
[00:33:25.280 --> 00:33:28.720]   So this is text that was thrown on a piece of paper in a background.
[00:33:28.720 --> 00:33:32.800]   They still have to pass this back in through their captioner, right?
[00:33:32.800 --> 00:33:38.960]   So even though it's like fake image, not synthetically generated, they, they have to
[00:33:38.960 --> 00:33:42.880]   still throw it in the captioner and have descriptions without metadata and stuff.
[00:33:42.880 --> 00:33:43.840]   So it's, it's cool.
[00:33:43.840 --> 00:33:45.600]   Yeah.
[00:33:45.600 --> 00:33:48.880]   Does anyone else want to say anything?
[00:33:48.880 --> 00:33:51.600]   Okay, cool.
[00:33:51.600 --> 00:33:54.800]   Yeah.
[00:33:54.800 --> 00:33:57.680]   So this is, so this is a pre-training.
[00:33:57.680 --> 00:34:00.880]   So, so like, first I'll just read some of it.
[00:34:00.880 --> 00:34:04.320]   So they adopt a flow matching training objective to pre-train Quen image.
[00:34:04.320 --> 00:34:08.640]   So it facilitates stable learning dynamics via ordinary differential equations while preserving
[00:34:08.640 --> 00:34:10.400]   occultence to the maximum likelihood objective.
[00:34:10.400 --> 00:34:15.600]   Uh, so this is, this is essentially like the diffusion part of their model.
[00:34:16.560 --> 00:34:20.400]   So like, let's see, they have, yeah.
[00:34:20.400 --> 00:34:25.120]   So yeah, you can just, you can throw it into chat.tpt if you want, but like essentially they
[00:34:25.120 --> 00:34:31.360]   train the data to point towards, I think like that, or they start with noise and they train
[00:34:31.360 --> 00:34:35.920]   like the noise to point towards like the actual Bonavilla data.
[00:34:37.200 --> 00:34:37.840]   Uh, let's see.
[00:34:37.840 --> 00:34:39.280]   Yeah.
[00:34:39.280 --> 00:34:42.400]   Then the model trained to predict the target velocity and the loss function is defined as
[00:34:42.400 --> 00:34:47.120]   the mean squared error between the predicted output and the ground truth velocity.
[00:34:47.120 --> 00:34:48.400]   So I use like a mean squared error.
[00:34:48.400 --> 00:34:52.320]   So I try to get the velocity to match.
[00:34:52.320 --> 00:34:57.520]   So essentially you get it to like point in the direction of the real data, uh, like in this distribution.
[00:34:57.520 --> 00:35:00.560]   Yeah.
[00:35:00.560 --> 00:35:05.680]   So they also talk about how they optimize, uh, their models for like GPU usage.
[00:35:06.560 --> 00:35:10.320]   So they use something called like what they call a producer consumer framework.
[00:35:10.320 --> 00:35:12.800]   It decouples data pre-processing from model training.
[00:35:12.800 --> 00:35:17.280]   So this design enables both stages to operate asynchronously and add optimal efficiency.
[00:35:17.280 --> 00:35:24.640]   So on the producer side, the selected data is encoded into latent representation using MLM models and VAE.
[00:35:24.640 --> 00:35:27.760]   So like they have, uh, two types of GPUs.
[00:35:27.760 --> 00:35:32.400]   Like they dedicate some GPUs to like do the producer, like do the producer's work.
[00:35:32.400 --> 00:35:34.800]   And they dedicate some GPUs to do the consumer's work.
[00:35:34.800 --> 00:35:39.680]   So the consumer GPUs are dedicated exclusively to model training and every data parallel group
[00:35:39.680 --> 00:35:43.920]   asynchronously pulled pre-pulls pre-processed batches directly from the producer.
[00:35:43.920 --> 00:35:46.080]   It's like, again, like they have, uh, let's see.
[00:35:46.080 --> 00:35:46.960]   Yeah.
[00:35:46.960 --> 00:35:48.720]   So they have like their pre-produced GPUs.
[00:35:48.720 --> 00:35:51.280]   They encode like the data to relate in representations.
[00:35:51.840 --> 00:35:55.280]   And they just like stack them up somewhere in memory or in storage.
[00:35:55.280 --> 00:36:00.560]   And when, like whenever the consumer GPUs, uh, like whenever they finish with their previous batch and
[00:36:00.560 --> 00:36:02.800]   they're ready, they just like asynchronously pull the data.
[00:36:02.800 --> 00:36:05.520]   Uh, so I think that's interesting.
[00:36:06.480 --> 00:36:09.440]   So let's see, so distributed training optimization.
[00:36:09.440 --> 00:36:11.440]   So they use like hybrid parallelism strategy.
[00:36:11.440 --> 00:36:16.800]   So they combined data parallelism and tensor parallelism to efficiently scale training across
[00:36:16.800 --> 00:36:17.920]   large GPU clusters.
[00:36:17.920 --> 00:36:23.680]   So this is like less, it's like, I'm less confident, uh, of like what this, or like of the specifics of
[00:36:23.680 --> 00:36:24.320]   this part.
[00:36:24.320 --> 00:36:28.240]   So if anyone wants to like jump in, they're like more than welcome to, uh,
[00:36:28.240 --> 00:36:31.360]   they also talk about like distributed optimizer and activation checkpointing.
[00:36:31.360 --> 00:36:34.080]   Like to alleviate GPU memory pressure with minimal
[00:36:34.080 --> 00:36:36.560]   recomputation overhead during that prop.
[00:36:36.560 --> 00:36:41.040]   So we experimented with both distributed optimizers and activation checkpointing.
[00:36:41.040 --> 00:36:44.800]   However, activation checkpointing introduces substantial computational overhead and backward
[00:36:44.800 --> 00:36:47.040]   paths, which can significantly degrade training speed.
[00:36:47.040 --> 00:36:53.200]   So they observed that enabling activation checkpointing reduced per GPU memory consumption by 11%,
[00:36:53.200 --> 00:36:58.480]   but like at the cost of increasing per iteration time by essentially almost four times.
[00:36:58.480 --> 00:37:01.200]   So from two to seven and a half seconds per iteration.
[00:37:01.200 --> 00:37:05.040]   And like they say that based on the trade-off, they ultimately opted to disable activation
[00:37:05.040 --> 00:37:05.600]   checkpointing.
[00:37:05.600 --> 00:37:07.840]   So I think that was pretty interesting.
[00:37:07.840 --> 00:37:10.400]   I think there's an important point here, right?
[00:37:10.400 --> 00:37:15.840]   In the sense that, um, with activation checkpointing, you're like 75% slower.
[00:37:15.840 --> 00:37:21.520]   Um, but you only save like 11% GPU memory in, in a sense you could sort of reduce your batch size
[00:37:21.520 --> 00:37:23.840]   and actually go away faster and you would actually make up for it.
[00:37:23.840 --> 00:37:29.040]   Um, in some of my experiments, I mean, the default, if you ask Claude to write some code,
[00:37:29.040 --> 00:37:30.880]   the default is to enable activation checkpointing.
[00:37:30.880 --> 00:37:34.160]   I think because everyone's was fine tuning on very small LLMs.
[00:37:34.160 --> 00:37:39.040]   Uh, and you know, I think by in hugging phase, the default is just to enable activation checkpointing.
[00:37:39.600 --> 00:37:45.920]   But when you turn it off, uh, at least I was able to see a 20% speed up with not very much increase in memory either.
[00:37:45.920 --> 00:37:50.880]   So I think it's something to observe, uh, something, if you do train your own models or finding your own models,
[00:37:50.880 --> 00:37:57.520]   like do consider not using activation checkpointing, uh, just for your, uh, training loop to run faster.
[00:37:58.240 --> 00:38:02.480]   Um, so it's, it's nice to see another data point here in this paper.
[00:38:02.480 --> 00:38:03.680]   Yeah.
[00:38:03.680 --> 00:38:04.320]   All right.
[00:38:04.320 --> 00:38:08.800]   Would it like, would a middle point in that trade off just be to have activation checkpointing,
[00:38:08.800 --> 00:38:10.640]   but just to like checkpoint it less frequently?
[00:38:10.640 --> 00:38:12.240]   Like wouldn't that work?
[00:38:12.240 --> 00:38:14.800]   I, I don't think that that works that way.
[00:38:14.800 --> 00:38:18.800]   I think activation checkpointing is needed every time you do a backward pass and optimization.
[00:38:18.800 --> 00:38:20.800]   So you, you, you definitely need to do that.
[00:38:20.800 --> 00:38:21.120]   Yeah.
[00:38:21.120 --> 00:38:22.640]   Oh, okay.
[00:38:22.640 --> 00:38:23.120]   Interesting.
[00:38:23.120 --> 00:38:23.280]   Yeah.
[00:38:23.280 --> 00:38:31.040]   So, uh, I mean, try it for what's worth if you have extra memory on your GPU,
[00:38:31.040 --> 00:38:34.480]   or you can afford to go over a smaller batch size and just do gradient accumulation.
[00:38:34.480 --> 00:38:38.720]   I think it's definitely, I mean, in this case, it's definitely worth the trade off not
[00:38:38.720 --> 00:38:40.640]   doing the activation checkpointing.
[00:38:40.640 --> 00:38:43.200]   Uh, I found the same thing in my own use case as well.
[00:38:43.200 --> 00:38:46.080]   So yeah, something to think about.
[00:38:46.080 --> 00:38:48.160]   Okay.
[00:38:48.160 --> 00:38:48.560]   Cool.
[00:38:49.520 --> 00:38:50.320]   Keep that in mind then.
[00:38:50.320 --> 00:38:52.640]   Yeah.
[00:38:52.640 --> 00:38:56.880]   So we talked about this kind of earlier with, oh no, there we go.
[00:38:56.880 --> 00:38:57.200]   Yeah.
[00:38:57.200 --> 00:39:03.280]   So I kind of talked about this earlier, uh, with their data synthesis or their data curation pipeline.
[00:39:03.280 --> 00:39:07.520]   But so onto a training strategy, they adopt a multi-stage re-training strategy aimed at
[00:39:07.520 --> 00:39:10.720]   progressively enhancing data quality, image resolution, and model performance.
[00:39:10.720 --> 00:39:14.880]   So again, they enhance their resolutions.
[00:39:14.880 --> 00:39:16.240]   They go from low to high resolution.
[00:39:17.120 --> 00:39:24.240]   So they go from 256 to 256 pixels up to 1328 by 1328.
[00:39:25.440 --> 00:39:26.800]   So they enhance the model.
[00:39:26.800 --> 00:39:27.360]   Oh, let's see.
[00:39:27.360 --> 00:39:27.920]   Where is it?
[00:39:27.920 --> 00:39:29.040]   Yeah.
[00:39:29.040 --> 00:39:32.160]   They let the model capture more detailed features leading to better performance.
[00:39:32.160 --> 00:39:33.680]   So I'm reading like right here.
[00:39:33.680 --> 00:39:38.720]   Richer features, specs, or spaces facilitate improved generalization to unseen data.
[00:39:38.720 --> 00:39:44.000]   So transitioning from low resolution to high-res on flower images allows the model to discern finer
[00:39:44.000 --> 00:39:45.440]   details such as petal textures.
[00:39:45.440 --> 00:39:46.480]   So that's interesting.
[00:39:46.480 --> 00:39:50.000]   So they also go from non-text to text.
[00:39:50.000 --> 00:39:52.960]   So they progressively introduced images containing like render text.
[00:39:52.960 --> 00:39:58.160]   So the model can like learn visual representations and subsequently acquire text rendering capability.
[00:39:59.760 --> 00:40:01.760]   So they also go from massive to refined data.
[00:40:01.760 --> 00:40:07.040]   They gradually employ increasingly stringent data filtering mechanisms to select higher quality data.
[00:40:07.040 --> 00:40:11.680]   So it ensures that only the most relevant and high quality samples are leveraged to ensure training efficiency.
[00:40:12.880 --> 00:40:13.520]   It's cool.
[00:40:13.520 --> 00:40:16.080]   They also have balanced data distribution.
[00:40:16.080 --> 00:40:17.280]   So from unbalanced to balanced.
[00:40:17.280 --> 00:40:21.440]   So it mitigates the risk of the model overfitting to particular domains or resolutions.
[00:40:21.440 --> 00:40:24.080]   And like just let the model generalize better.
[00:40:24.080 --> 00:40:27.040]   And lastly, they have synthetic data.
[00:40:27.040 --> 00:40:28.640]   So from real world synthetic data.
[00:40:28.640 --> 00:40:36.880]   So here they generate supplementary samples enriching the data set and ensuring more comprehensive coverage of diverse visual domains.
[00:40:37.280 --> 00:40:42.240]   They say it enhances the model's ability to generalize and perform robustly across a wider range of scenarios.
[00:40:42.240 --> 00:40:44.240]   So it seems pretty useful.
[00:40:44.240 --> 00:40:46.800]   So on to post-training and RL.
[00:40:46.800 --> 00:40:56.320]   So they have supervised fine-tuning, RL, and DPO, or and GRPR2.
[00:40:56.320 --> 00:41:01.120]   So they use hemean annotations to address specific shortcomings.
[00:41:01.120 --> 00:41:03.440]   This is in the supervised fine-tuning phase.
[00:41:04.240 --> 00:41:09.440]   So they make the selected images clear, rich in detail, bright, and photorealistic, and like all that good stuff.
[00:41:09.440 --> 00:41:11.680]   And they guide the model towards producing content with creative realism.
[00:41:11.680 --> 00:41:15.040]   So with RL, they use DPO.
[00:41:15.040 --> 00:41:20.400]   DPO, like it excels at the flow matching, which is the diffusion part of the image generation.
[00:41:20.400 --> 00:41:26.960]   And GRPO performs on-policy sampling during training and evaluates each trajectory with a reward model.
[00:41:26.960 --> 00:41:28.080]   So let's see.
[00:41:30.240 --> 00:41:30.560]   Yeah.
[00:41:30.560 --> 00:41:36.240]   So for DPO, it says given the same prompt, multiple images are generated with different random initialization seeds.
[00:41:36.240 --> 00:41:42.960]   So like with prompts without reference images, annotators are asked to select the best and worst
[00:41:42.960 --> 00:41:45.040]   samples along to gender-oriented images.
[00:41:45.040 --> 00:41:50.080]   So I don't know if selecting the best and worst samples, I don't know if this is new or if people have
[00:41:50.080 --> 00:41:51.280]   previously used this.
[00:41:51.280 --> 00:41:52.400]   But I thought that was interesting.
[00:41:52.400 --> 00:41:56.560]   Because like usually with DPO, I just hear people selecting the best images or like the best,
[00:41:56.560 --> 00:41:57.280]   like whatever.
[00:41:57.280 --> 00:41:59.200]   Let's see.
[00:41:59.200 --> 00:42:00.080]   So yeah.
[00:42:00.080 --> 00:42:03.760]   So DPO, they use that for flow matching and for GRPO.
[00:42:03.760 --> 00:42:07.520]   They use it for, what's it called?
[00:42:07.520 --> 00:42:08.880]   They use it for like the reverse.
[00:42:08.880 --> 00:42:11.120]   I think they also use it for flow matching.
[00:42:11.120 --> 00:42:12.000]   I'm not sure of this part.
[00:42:12.000 --> 00:42:15.440]   But they use it for like, I'm pretty sure they use it for reconstructing the image.
[00:42:15.440 --> 00:42:17.040]   Like finding the loss.
[00:42:17.040 --> 00:42:22.480]   So if anyone wants to like comment, they can jump in here too.
[00:42:22.480 --> 00:42:27.840]   But if no one has anything to say, then I'll go on to the next section.
[00:42:27.840 --> 00:42:31.440]   Yeah.
[00:42:31.440 --> 00:42:31.920]   So let's see.
[00:42:31.920 --> 00:42:36.640]   Yeah.
[00:42:36.640 --> 00:42:37.280]   So let's see.
[00:42:37.280 --> 00:42:42.960]   So in addition to text image, so they let the model explore like multimodal image generation tasks.
[00:42:42.960 --> 00:42:46.480]   So it's not only like giving the model a prompt, which is text only.
[00:42:46.480 --> 00:42:49.040]   They also let the user like give it a prompt in an image.
[00:42:49.040 --> 00:42:50.640]   So that's cool.
[00:42:50.640 --> 00:42:57.840]   So they also find that providing the visual semantic embeddings from the MLM enables better instruction
[00:42:57.840 --> 00:42:58.320]   following.
[00:42:58.320 --> 00:43:02.080]   So this is kind of like what they talked about like at the very beginning where, or not at the very
[00:43:02.080 --> 00:43:06.400]   beginning, but like what they talked about previously where they, they took the last latent
[00:43:06.400 --> 00:43:11.600]   representation of Quen, like of their, like their multimodal language model.
[00:43:11.600 --> 00:43:14.480]   They took the last image and they kind of like fed that into the model.
[00:43:14.480 --> 00:43:16.240]   And they say here that it helped.
[00:43:16.240 --> 00:43:17.680]   So it's pretty good for them.
[00:43:17.680 --> 00:43:23.760]   And they also use like the, like they talked about how pixel level VAE embeddings further
[00:43:23.760 --> 00:43:28.240]   enhances the model's ability to preserve visual fidelity and maintain structural consistency.
[00:43:28.240 --> 00:43:29.920]   So I was kind of talking about that earlier too.
[00:43:29.920 --> 00:43:34.080]   So yeah, so I think like the, I don't know, this really reminds you of like system one and
[00:43:34.080 --> 00:43:36.960]   system two and how like different labs have been using that.
[00:43:36.960 --> 00:43:39.680]   Like I remember DeepMind used system one and system two for robotics.
[00:43:39.680 --> 00:43:43.840]   And I think like figure AI use that for like, they also use that for robotics.
[00:43:43.840 --> 00:43:47.600]   So I don't really have a lot of notes on this.
[00:43:47.600 --> 00:43:48.800]   So human evaluation.
[00:43:48.800 --> 00:43:51.440]   So let's see.
[00:43:51.440 --> 00:43:52.960]   Yeah.
[00:43:52.960 --> 00:43:54.720]   These are just evaluation benchmarks.
[00:43:54.720 --> 00:43:58.240]   I kind of like put more emphasis on how the model was trained in like that data creation
[00:43:58.240 --> 00:44:00.480]   than like the human eval.
[00:44:01.760 --> 00:44:02.000]   Yeah.
[00:44:02.000 --> 00:44:03.200]   So they have like this.
[00:44:03.200 --> 00:44:04.960]   So there are different benchmarks.
[00:44:04.960 --> 00:44:07.360]   So you can read these if you want.
[00:44:07.360 --> 00:44:12.400]   Yeah.
[00:44:12.400 --> 00:44:12.960]   So let's see.
[00:44:12.960 --> 00:44:13.520]   Formants.
[00:44:13.520 --> 00:44:15.200]   Formants.
[00:44:15.200 --> 00:44:15.520]   Let's see.
[00:44:15.520 --> 00:44:16.880]   Yeah.
[00:44:16.880 --> 00:44:18.800]   I really just like left the benchmarks alone.
[00:44:18.800 --> 00:44:23.520]   And like if people want to read them, I just let, like you can read them if you want.
[00:44:23.520 --> 00:44:25.840]   So they also, let's see.
[00:44:29.600 --> 00:44:31.280]   They also have like image editing benchmarks.
[00:44:31.280 --> 00:44:40.640]   And they also have like, so in some of their editing benchmarks, or in one of them rather.
[00:44:40.640 --> 00:44:46.240]   So they have like very dense PDFs and they like essentially just let the model see.
[00:44:46.240 --> 00:44:50.320]   Or like they let the model like try to reconstruct some of the images to like see
[00:44:50.320 --> 00:44:52.880]   if it could generate some of it.
[00:44:52.880 --> 00:44:55.040]   And apparently it does pretty well.
[00:44:57.920 --> 00:45:01.760]   So like, again, they focus on like English, Chinese, and like multi-object generation
[00:45:01.760 --> 00:45:04.960]   and spatial relationship generation.
[00:45:04.960 --> 00:45:09.840]   So that's kind of, that's kind of it.
[00:45:09.840 --> 00:45:14.960]   That's, that's most of the thing that I, or that's most of what I focused on like in my annotation.
[00:45:14.960 --> 00:45:16.160]   Yeah.
[00:45:16.160 --> 00:45:19.280]   So does anyone have any, any questions or anything else or any comments?
[00:45:19.280 --> 00:45:32.720]   I think the conclusion is also quite eye opening in the sense that they try to make, they make this
[00:45:32.720 --> 00:45:38.400]   claim that a generative model can effectively perform classical understanding tasks.
[00:45:38.400 --> 00:45:48.000]   And they say that, uh, uh, the current image model is deliberately does not optimize for photo realism and, or aesthetic quality,
[00:45:48.000 --> 00:45:52.000]   but really tries to optimize more for aligning text and image.
[00:45:52.000 --> 00:45:58.000]   I think you sort of tells you where they are trying to bring this model towards, right?
[00:45:58.000 --> 00:46:00.560]   Like essentially like creating posters, creating PowerPoints.
[00:46:00.560 --> 00:46:05.120]   I essentially, it's more practical instead of just generating images, but images with text.
[00:46:05.120 --> 00:46:13.280]   Uh, so I thought the conclusion was quite a worth trying to read and understanding what they mean,
[00:46:13.280 --> 00:46:16.400]   what they mean by it as well, uh, especially the last paragraph.
[00:46:17.280 --> 00:46:18.240]   So that's pretty cool.
[00:46:18.240 --> 00:46:19.200]   Thank you.
[00:46:19.200 --> 00:46:22.160]   Yeah.
[00:46:22.160 --> 00:46:22.480]   Okay.
[00:46:22.480 --> 00:46:27.680]   Yeah.
[00:46:27.680 --> 00:46:30.720]   I'll just like read it, but well, like other people can ask questions.
[00:46:30.720 --> 00:46:42.800]   Anyone have any questions?
[00:46:45.920 --> 00:46:48.240]   So yeah, yeah.
[00:46:48.240 --> 00:46:48.320]   Yeah.
[00:46:48.320 --> 00:46:49.440]   Yeah.
[00:46:49.440 --> 00:46:56.960]   So they mentioned that, uh, the, uh, model streaming data, uh, pipeline, uh, does include other languages,
[00:46:56.960 --> 00:47:08.160]   but, uh, I see that, uh, that most of the benchmarks, uh, were focusing on, uh, English and Chinese.
[00:47:08.160 --> 00:47:14.720]   So I don't know if, uh, uh, uh, in the conclusion that they,
[00:47:14.720 --> 00:47:20.800]   they, uh, specified that they can, uh, handle other languages.
[00:47:20.800 --> 00:47:26.000]   Yeah.
[00:47:26.000 --> 00:47:28.400]   So actually, I'm not sure they don't really, yeah.
[00:47:28.400 --> 00:47:32.000]   They don't really talk about like other languages besides English and Chinese.
[00:47:32.000 --> 00:47:34.640]   So I'm not really sure.
[00:47:34.640 --> 00:47:36.400]   I kind of like, uh, I tested quite.
[00:47:36.400 --> 00:47:36.960]   Mm-hmm.
[00:47:36.960 --> 00:47:40.000]   They had a category for other.
[00:47:40.000 --> 00:47:40.560]   Yeah.
[00:47:40.560 --> 00:47:48.000]   They had, uh, English, Chinese, and other, but I don't think this thing will do, do other languages.
[00:47:52.240 --> 00:47:55.920]   Maybe others to exclude them or to further them.
[00:47:55.920 --> 00:47:57.360]   No, no, they weren't filtered out.
[00:47:57.360 --> 00:47:58.240]   They were filtered in.
[00:47:58.240 --> 00:47:58.560]   Okay.
[00:47:58.560 --> 00:48:03.520]   But, um, yeah, it's, it's primarily English and Chinese.
[00:48:03.520 --> 00:48:16.160]   So I don't know if they did evals on the other texts, maybe they're just not equipped to do evals on other languages.
[00:48:16.400 --> 00:48:20.240]   Um, they had, they had four categories.
[00:48:20.240 --> 00:48:23.360]   They had English, Chinese, other language, and no text.
[00:48:23.360 --> 00:48:26.960]   We definitely had a other language, but I don't think it's significant, you know?
[00:48:28.560 --> 00:48:34.080]   And then some of this is also like, um, you know, there's already a vision encoder in there that can
[00:48:34.080 --> 00:48:39.360]   do multilingual, but I don't think it can specialize in output for this.
