
[00:00:00.000 --> 00:00:29.000]   *Footsteps*
[00:08:32.040 --> 00:08:33.040]   I'm going to go ahead and do this.
[00:08:33.040 --> 00:08:34.040]   I'm going to go ahead and do this.
[00:08:34.040 --> 00:08:35.040]   I'm going to go ahead and do this.
[00:08:35.040 --> 00:08:36.040]   I'm going to go ahead and do this.
[00:08:36.040 --> 00:08:37.040]   I'm going to go ahead and do this.
[00:08:37.040 --> 00:08:38.040]   I'm going to go ahead and do this.
[00:08:38.040 --> 00:08:39.040]   I'm going to go ahead and do this.
[00:08:39.040 --> 00:08:40.040]   I'm going to go ahead and do this.
[00:08:40.040 --> 00:08:41.040]   I'm going to go ahead and do this.
[00:08:41.040 --> 00:08:42.040]   I'm going to go ahead and do this.
[00:08:42.040 --> 00:08:43.040]   I'm going to go ahead and do this.
[00:08:43.040 --> 00:08:44.040]   I'm going to go ahead and do this.
[00:08:44.040 --> 00:08:45.040]   I'm going to go ahead and do this.
[00:08:45.040 --> 00:08:46.040]   I'm going to go ahead and do this.
[00:08:46.040 --> 00:08:47.040]   I'm going to go ahead and do this.
[00:08:47.040 --> 00:08:48.040]   I'm going to go ahead and do this.
[00:08:48.040 --> 00:08:49.040]   I'm going to go ahead and do this.
[00:08:49.040 --> 00:08:50.040]   I'm going to go ahead and do this.
[00:08:50.040 --> 00:08:51.040]   I'm going to go ahead and do this.
[00:08:51.040 --> 00:08:52.040]   I'm going to go ahead and do this.
[00:08:52.040 --> 00:08:53.040]   I'm going to go ahead and do this.
[00:08:53.040 --> 00:08:54.040]   I'm going to go ahead and do this.
[00:08:54.040 --> 00:08:55.040]   I'm going to go ahead and do this.
[00:08:55.040 --> 00:08:56.040]   I'm going to go ahead and do this.
[00:08:56.040 --> 00:08:57.040]   I'm going to go ahead and do this.
[00:08:57.040 --> 00:08:58.040]   I'm going to go ahead and do this.
[00:08:58.040 --> 00:08:59.040]   I'm going to go ahead and do this.
[00:08:59.040 --> 00:09:00.040]   I'm going to go ahead and do this.
[00:09:00.040 --> 00:09:01.040]   I'm going to go ahead and do this.
[00:09:01.040 --> 00:09:02.040]   I'm going to go ahead and do this.
[00:09:02.040 --> 00:09:03.040]   I'm going to go ahead and do this.
[00:09:03.040 --> 00:09:04.040]   I'm going to go ahead and do this.
[00:09:04.040 --> 00:09:05.040]   I'm going to go ahead and do this.
[00:09:05.040 --> 00:09:06.040]   I'm going to go ahead and do this.
[00:09:06.040 --> 00:09:07.040]   I'm going to go ahead and do this.
[00:09:07.040 --> 00:09:08.040]   I'm going to go ahead and do this.
[00:09:08.040 --> 00:09:09.040]   I'm going to go ahead and do this.
[00:09:09.040 --> 00:09:10.040]   I'm going to go ahead and do this.
[00:09:10.040 --> 00:09:11.040]   I'm going to go ahead and do this.
[00:09:11.040 --> 00:09:12.040]   I'm going to go ahead and do this.
[00:09:12.040 --> 00:09:13.040]   I'm going to go ahead and do this.
[00:09:13.040 --> 00:09:14.040]   I'm going to go ahead and do this.
[00:09:14.040 --> 00:09:15.040]   I'm going to go ahead and do this.
[00:09:15.040 --> 00:09:16.040]   I'm going to go ahead and do this.
[00:09:16.040 --> 00:09:17.040]   I'm going to go ahead and do this.
[00:09:17.040 --> 00:09:18.040]   I'm going to go ahead and do this.
[00:09:18.040 --> 00:09:19.040]   I'm going to go ahead and do this.
[00:09:19.040 --> 00:09:20.040]   I'm going to go ahead and do this.
[00:09:20.040 --> 00:09:21.040]   I'm going to go ahead and do this.
[00:09:21.040 --> 00:09:22.040]   I'm going to go ahead and do this.
[00:09:22.040 --> 00:09:23.040]   I'm going to go ahead and do this.
[00:09:23.040 --> 00:09:24.040]   I'm going to go ahead and do this.
[00:09:24.040 --> 00:09:25.040]   I'm going to go ahead and do this.
[00:09:25.040 --> 00:09:26.040]   I'm going to go ahead and do this.
[00:09:26.040 --> 00:09:27.040]   I'm going to go ahead and do this.
[00:09:27.040 --> 00:09:28.040]   I'm going to go ahead and do this.
[00:09:28.040 --> 00:09:29.040]   I'm going to go ahead and do this.
[00:09:29.040 --> 00:09:30.040]   I'm going to go ahead and do this.
[00:09:30.040 --> 00:09:31.040]   I'm going to go ahead and do this.
[00:09:31.040 --> 00:09:32.040]   I'm going to go ahead and do this.
[00:09:32.040 --> 00:09:33.040]   I'm going to go ahead and do this.
[00:09:33.040 --> 00:09:34.040]   I'm going to go ahead and do this.
[00:09:34.040 --> 00:09:35.040]   I'm going to go ahead and do this.
[00:09:35.040 --> 00:09:36.040]   I'm going to go ahead and do this.
[00:09:36.040 --> 00:09:37.040]   I'm going to go ahead and do this.
[00:09:37.040 --> 00:09:38.040]   I'm going to go ahead and do this.
[00:09:38.040 --> 00:09:39.040]   I'm going to go ahead and do this.
[00:09:39.040 --> 00:09:40.040]   I'm going to go ahead and do this.
[00:09:40.040 --> 00:09:41.040]   I'm going to go ahead and do this.
[00:09:41.040 --> 00:09:42.040]   I'm going to go ahead and do this.
[00:09:42.040 --> 00:09:43.040]   I'm going to go ahead and do this.
[00:09:43.040 --> 00:09:44.040]   I'm going to go ahead and do this.
[00:09:44.040 --> 00:09:45.040]   I'm going to go ahead and do this.
[00:09:45.040 --> 00:09:46.040]   I'm going to go ahead and do this.
[00:09:46.040 --> 00:09:47.040]   I'm going to go ahead and do this.
[00:09:47.040 --> 00:09:48.040]   I'm going to go ahead and do this.
[00:09:48.040 --> 00:09:49.040]   I'm going to go ahead and do this.
[00:09:49.040 --> 00:09:50.040]   I'm going to go ahead and do this.
[00:09:50.040 --> 00:09:51.040]   I'm going to go ahead and do this.
[00:09:51.040 --> 00:09:52.040]   I'm going to go ahead and do this.
[00:09:52.040 --> 00:09:53.040]   I'm going to go ahead and do this.
[00:09:53.040 --> 00:09:54.040]   I'm going to go ahead and do this.
[00:09:54.040 --> 00:09:55.040]   I'm going to go ahead and do this.
[00:09:55.040 --> 00:09:56.040]   I'm going to go ahead and do this.
[00:09:56.040 --> 00:09:57.040]   I'm going to go ahead and do this.
[00:09:57.040 --> 00:09:58.040]   I'm going to go ahead and do this.
[00:09:58.040 --> 00:09:59.040]   I'm going to go ahead and do this.
[00:09:59.040 --> 00:10:00.040]   I'm going to go ahead and do this.
[00:10:00.040 --> 00:10:01.040]   I'm going to go ahead and do this.
[00:10:01.040 --> 00:10:02.040]   I'm going to go ahead and do this.
[00:10:02.040 --> 00:10:03.040]   I'm going to go ahead and do this.
[00:10:03.040 --> 00:10:04.040]   I'm going to go ahead and do this.
[00:10:04.040 --> 00:10:05.040]   I'm going to go ahead and do this.
[00:10:05.040 --> 00:10:06.040]   I'm going to go ahead and do this.
[00:10:06.040 --> 00:10:07.040]   I'm going to go ahead and do this.
[00:10:07.040 --> 00:10:08.040]   I'm going to go ahead and do this.
[00:10:08.040 --> 00:10:09.040]   I'm going to go ahead and do this.
[00:10:09.040 --> 00:10:10.040]   I'm going to go ahead and do this.
[00:10:10.040 --> 00:10:11.040]   I'm going to go ahead and do this.
[00:10:11.040 --> 00:10:12.040]   I'm going to go ahead and do this.
[00:10:12.040 --> 00:10:13.040]   I'm going to go ahead and do this.
[00:10:13.040 --> 00:10:14.040]   I'm going to go ahead and do this.
[00:10:14.040 --> 00:10:15.040]   I'm going to go ahead and do this.
[00:10:15.040 --> 00:10:16.040]   I'm going to go ahead and do this.
[00:10:16.040 --> 00:10:17.040]   I'm going to go ahead and do this.
[00:10:17.040 --> 00:10:18.040]   I'm going to go ahead and do this.
[00:10:18.040 --> 00:10:19.040]   I'm going to go ahead and do this.
[00:10:19.040 --> 00:10:20.040]   I'm going to go ahead and do this.
[00:10:20.040 --> 00:10:21.040]   I'm going to go ahead and do this.
[00:10:21.040 --> 00:10:22.040]   I'm going to go ahead and do this.
[00:10:22.040 --> 00:10:23.040]   I'm going to go ahead and do this.
[00:10:23.040 --> 00:10:24.040]   I'm going to go ahead and do this.
[00:10:24.040 --> 00:10:25.040]   I'm going to go ahead and do this.
[00:10:25.040 --> 00:10:26.040]   I'm going to go ahead and do this.
[00:10:26.040 --> 00:10:27.040]   I'm going to go ahead and do this.
[00:10:27.040 --> 00:10:28.040]   I'm going to go ahead and do this.
[00:10:28.040 --> 00:10:29.040]   I'm going to go ahead and do this.
[00:10:29.040 --> 00:10:30.040]   I'm going to go ahead and do this.
[00:10:30.040 --> 00:10:31.040]   I'm going to go ahead and do this.
[00:10:31.040 --> 00:10:32.040]   I'm going to go ahead and do this.
[00:10:32.040 --> 00:10:33.040]   I'm going to go ahead and do this.
[00:10:33.040 --> 00:10:34.040]   I'm going to go ahead and do this.
[00:10:34.040 --> 00:10:35.040]   I'm going to go ahead and do this.
[00:10:35.040 --> 00:10:36.040]   I'm going to go ahead and do this.
[00:10:36.040 --> 00:10:37.040]   I'm going to go ahead and do this.
[00:10:37.040 --> 00:10:38.040]   I'm going to go ahead and do this.
[00:10:38.040 --> 00:10:39.040]   I'm going to go ahead and do this.
[00:10:39.040 --> 00:10:40.040]   I'm going to go ahead and do this.
[00:10:40.040 --> 00:10:41.040]   I'm going to go ahead and do this.
[00:10:41.040 --> 00:10:42.040]   I'm going to go ahead and do this.
[00:10:42.040 --> 00:10:43.040]   I'm going to go ahead and do this.
[00:10:43.040 --> 00:10:44.040]   I'm going to go ahead and do this.
[00:10:44.040 --> 00:10:45.040]   I'm going to go ahead and do this.
[00:10:45.040 --> 00:10:46.040]   I'm going to go ahead and do this.
[00:10:46.040 --> 00:10:47.040]   I'm going to go ahead and do this.
[00:10:47.040 --> 00:10:48.040]   I'm going to go ahead and do this.
[00:10:48.040 --> 00:10:49.040]   I'm going to go ahead and do this.
[00:10:49.040 --> 00:10:50.040]   I'm going to go ahead and do this.
[00:10:50.040 --> 00:10:51.040]   I'm going to go ahead and do this.
[00:10:51.040 --> 00:10:52.040]   I'm going to go ahead and do this.
[00:10:52.040 --> 00:10:53.040]   I'm going to go ahead and do this.
[00:10:53.040 --> 00:10:54.040]   I'm going to go ahead and do this.
[00:10:54.040 --> 00:10:55.040]   I'm going to go ahead and do this.
[00:10:55.040 --> 00:10:56.040]   I'm going to go ahead and do this.
[00:10:56.040 --> 00:10:57.040]   I'm going to go ahead and do this.
[00:10:57.040 --> 00:10:58.040]   I'm going to go ahead and do this.
[00:10:58.040 --> 00:10:59.040]   I'm going to go ahead and do this.
[00:10:59.040 --> 00:11:00.040]   I'm going to go ahead and do this.
[00:11:00.040 --> 00:11:01.040]   I'm going to go ahead and do this.
[00:11:01.040 --> 00:11:02.040]   I'm going to go ahead and do this.
[00:11:02.040 --> 00:11:03.040]   I'm going to go ahead and do this.
[00:11:03.040 --> 00:11:04.040]   I'm going to go ahead and do this.
[00:11:04.040 --> 00:11:05.040]   I'm going to go ahead and do this.
[00:11:05.040 --> 00:11:06.040]   I'm going to go ahead and do this.
[00:11:06.040 --> 00:11:07.040]   I'm going to go ahead and do this.
[00:11:07.040 --> 00:11:08.040]   I'm going to go ahead and do this.
[00:11:08.040 --> 00:11:09.040]   I'm going to go ahead and do this.
[00:11:09.040 --> 00:11:10.040]   I'm going to go ahead and do this.
[00:11:10.040 --> 00:11:11.040]   I'm going to go ahead and do this.
[00:11:11.040 --> 00:11:12.040]   I'm going to go ahead and do this.
[00:11:12.040 --> 00:11:13.040]   I'm going to go ahead and do this.
[00:11:13.040 --> 00:11:14.040]   I'm going to go ahead and do this.
[00:11:14.040 --> 00:11:15.040]   I'm going to go ahead and do this.
[00:11:15.040 --> 00:11:16.040]   I'm going to go ahead and do this.
[00:11:16.040 --> 00:11:17.040]   I'm going to go ahead and do this.
[00:11:17.040 --> 00:11:18.040]   I'm going to go ahead and do this.
[00:11:18.040 --> 00:11:19.040]   I'm going to go ahead and do this.
[00:11:19.040 --> 00:11:20.040]   I'm going to go ahead and do this.
[00:11:20.040 --> 00:11:21.040]   I'm going to go ahead and do this.
[00:11:21.040 --> 00:11:22.040]   I'm going to go ahead and do this.
[00:11:22.040 --> 00:11:23.040]   I'm going to go ahead and do this.
[00:11:23.040 --> 00:11:24.040]   I'm going to go ahead and do this.
[00:11:24.040 --> 00:11:25.040]   I'm going to go ahead and do this.
[00:11:25.040 --> 00:11:26.040]   I'm going to go ahead and do this.
[00:11:26.040 --> 00:11:27.040]   I'm going to go ahead and do this.
[00:11:27.040 --> 00:11:28.040]   I'm going to go ahead and do this.
[00:11:28.040 --> 00:11:29.040]   I'm going to go ahead and do this.
[00:11:29.040 --> 00:11:30.040]   I'm going to go ahead and do this.
[00:11:30.040 --> 00:11:31.040]   I'm going to go ahead and do this.
[00:11:31.040 --> 00:11:32.040]   I'm going to go ahead and do this.
[00:11:32.040 --> 00:11:33.040]   I'm going to go ahead and do this.
[00:11:33.040 --> 00:11:34.040]   I'm going to go ahead and do this.
[00:11:34.040 --> 00:11:35.040]   I'm going to go ahead and do this.
[00:11:35.040 --> 00:11:36.040]   I'm going to go ahead and do this.
[00:11:36.040 --> 00:11:37.040]   I'm going to go ahead and do this.
[00:11:37.040 --> 00:11:38.040]   I'm going to go ahead and do this.
[00:11:38.040 --> 00:11:39.040]   I'm going to go ahead and do this.
[00:11:39.040 --> 00:11:40.040]   I'm going to go ahead and do this.
[00:11:40.040 --> 00:11:41.040]   I'm going to go ahead and do this.
[00:11:41.040 --> 00:11:42.040]   I'm going to go ahead and do this.
[00:11:42.040 --> 00:11:43.040]   I'm going to go ahead and do this.
[00:11:43.040 --> 00:11:44.040]   I'm going to go ahead and do this.
[00:11:44.040 --> 00:11:45.040]   I'm going to go ahead and do this.
[00:11:45.040 --> 00:11:46.040]   I'm going to go ahead and do this.
[00:11:46.040 --> 00:11:47.040]   I'm going to go ahead and do this.
[00:11:47.040 --> 00:11:48.040]   I'm going to go ahead and do this.
[00:11:48.040 --> 00:11:49.040]   I'm going to go ahead and do this.
[00:11:49.040 --> 00:11:50.040]   I'm going to go ahead and do this.
[00:11:50.040 --> 00:11:51.040]   I'm going to go ahead and do this.
[00:11:51.040 --> 00:11:52.040]   I'm going to go ahead and do this.
[00:11:52.040 --> 00:11:53.040]   I'm going to go ahead and do this.
[00:11:53.040 --> 00:11:54.040]   I'm going to go ahead and do this.
[00:11:54.040 --> 00:11:55.040]   I'm going to go ahead and do this.
[00:11:55.040 --> 00:11:56.040]   I'm going to go ahead and do this.
[00:11:56.040 --> 00:11:57.040]   I'm going to go ahead and do this.
[00:11:57.040 --> 00:11:58.040]   I'm going to go ahead and do this.
[00:11:58.040 --> 00:11:59.040]   I'm going to go ahead and do this.
[00:11:59.040 --> 00:12:00.040]   I'm going to go ahead and do this.
[00:12:00.040 --> 00:12:01.040]   I'm going to go ahead and do this.
[00:12:01.040 --> 00:12:02.040]   I'm going to go ahead and do this.
[00:12:02.040 --> 00:12:03.040]   I'm going to go ahead and do this.

