
[00:00:00.000 --> 00:00:06.540]   [ Applause ]
[00:18:27.820 --> 00:18:29.820]   There's four secondary factors that I
[00:18:29.820 --> 00:18:31.540]   won't go through in detail.
[00:18:31.540 --> 00:18:33.620]   They help to further tell the story.
[00:18:33.620 --> 00:18:35.080]   And I think bogo heads, in general,
[00:18:35.080 --> 00:18:36.340]   may be more interested.
[00:18:36.340 --> 00:18:38.580]   But if you're just giving this to the average person,
[00:18:38.580 --> 00:18:41.340]   the two primary factors is really all you need.
[00:18:41.340 --> 00:18:42.860]   And again, these two primary factors
[00:18:42.860 --> 00:18:45.460]   came out of this sort of statistical work
[00:18:45.460 --> 00:18:49.020]   of seeing how do the answers to different questions
[00:18:49.020 --> 00:18:51.180]   relate to each other in a way that
[00:18:51.180 --> 00:18:54.640]   builds some sort of distinct factor for how people are
[00:18:54.640 --> 00:18:56.740]   thinking about retirement income.
[00:18:56.740 --> 00:18:59.820]   Now, the first of these is we call it probability-based
[00:18:59.820 --> 00:19:00.820]   versus safety-first.
[00:19:00.820 --> 00:19:02.740]   That's the old name of what I called schools
[00:19:02.740 --> 00:19:04.460]   of thought for retirement income.
[00:19:04.460 --> 00:19:05.980]   So it lives on.
[00:19:05.980 --> 00:19:07.700]   And there's no right answer to this.
[00:19:07.700 --> 00:19:09.580]   This is where it's your preferences.
[00:19:09.580 --> 00:19:11.880]   Financial markets are uncertain.
[00:19:11.880 --> 00:19:15.340]   How do you feel about this?
[00:19:15.340 --> 00:19:16.820]   There's no true correct answer here.
[00:19:16.820 --> 00:19:19.340]   If you're probability-based, you're
[00:19:19.340 --> 00:19:21.700]   comfortable relying on the idea that stocks
[00:19:21.700 --> 00:19:23.260]   will outperform bonds in a manner
[00:19:23.260 --> 00:19:26.100]   that you can rely upon in your retirement
[00:19:26.100 --> 00:19:28.560]   so that with a diversified portfolio,
[00:19:28.560 --> 00:19:31.300]   you can fund your expenditure needs in retirement.
[00:19:31.300 --> 00:19:35.740]   And fundamentally, you're OK with the idea of a 50% to 75%
[00:19:35.740 --> 00:19:38.140]   stock allocation in retirement because you
[00:19:38.140 --> 00:19:40.020]   feel like you can rely on that.
[00:19:40.020 --> 00:19:42.820]   Now, we did do a study recently with BlackRock,
[00:19:42.820 --> 00:19:44.860]   which I just mentioned the name only because they
[00:19:44.860 --> 00:19:47.580]   are a financial institution, not an insurance company.
[00:19:47.580 --> 00:19:50.380]   But one of the questions we asked them there was,
[00:19:50.380 --> 00:19:53.500]   what is your financial-- what is your forecast of the stock
[00:19:53.500 --> 00:19:55.220]   market over the next 10 years?
[00:19:55.220 --> 00:19:57.460]   It could be anywhere from less than 0%
[00:19:57.460 --> 00:20:01.500]   for the next 10 years per year, annualized, to more than 12%.
[00:20:01.500 --> 00:20:03.500]   Now, you might think probability-based
[00:20:03.500 --> 00:20:06.620]   is going to be more optimistic about the stock market.
[00:20:06.620 --> 00:20:07.660]   That's not the case.
[00:20:07.660 --> 00:20:09.640]   There's no relationship between what
[00:20:09.640 --> 00:20:11.660]   you think the stock market will do
[00:20:11.660 --> 00:20:14.260]   and whether you're probability-based or safety-first.
[00:20:14.260 --> 00:20:15.820]   If you're probability-based, you may
[00:20:15.820 --> 00:20:18.980]   believe the stock market's going to only average 2% a year.
[00:20:18.980 --> 00:20:20.780]   But you're still fundamentally comfortable
[00:20:20.780 --> 00:20:22.340]   relying on the market.
[00:20:22.340 --> 00:20:24.260]   If you're safety-first, you might
[00:20:24.260 --> 00:20:26.620]   think the stock market's going to average 12% a year.
[00:20:26.620 --> 00:20:28.180]   It doesn't make a difference.
[00:20:28.180 --> 00:20:30.580]   But when it comes to funding your core spending
[00:20:30.580 --> 00:20:34.160]   need in retirement, you're not really comfortable relying
[00:20:34.160 --> 00:20:35.740]   on the stock market for that.
[00:20:35.740 --> 00:20:39.380]   You'd rather have some sort of contractually protected income
[00:20:39.380 --> 00:20:41.900]   that, though it may not be truly 100% safe--
[00:20:41.900 --> 00:20:43.180]   that's got to be a caveat.
[00:20:43.180 --> 00:20:45.340]   There's nothing that's 100% safe--
[00:20:45.340 --> 00:20:47.060]   it at least has a high degree of safety
[00:20:47.060 --> 00:20:50.720]   relative to uncertain financial market outcomes.
[00:20:50.720 --> 00:20:53.780]   Now, that can mean holding individual bonds to maturity,
[00:20:53.780 --> 00:20:56.900]   or that can mean using risk pooling through insurance
[00:20:56.900 --> 00:20:59.660]   as an additional source of spending beyond bonds.
[00:20:59.660 --> 00:21:01.940]   That actually can be competitive with the stock market.
[00:21:01.940 --> 00:21:04.420]   And that's where either of these answers,
[00:21:04.420 --> 00:21:05.820]   they lead to viable strategies.
[00:21:05.820 --> 00:21:07.980]   So it's really what somebody's most comfortable with.
[00:21:07.980 --> 00:21:10.620]   Are you probability-based or safety-first?
[00:21:10.620 --> 00:21:14.860]   The other factor is optionality versus commitment.
[00:21:14.860 --> 00:21:18.660]   How much optionality do you want for your asset base?
[00:21:18.660 --> 00:21:23.020]   If you're optionality-oriented, you really value flexibility
[00:21:23.020 --> 00:21:24.300]   above all else.
[00:21:24.300 --> 00:21:27.180]   You want to be able to respond to new changes,
[00:21:27.180 --> 00:21:29.340]   take advantage of new opportunities,
[00:21:29.340 --> 00:21:31.740]   just be flexible with your assets,
[00:21:31.740 --> 00:21:34.620]   keep all the liquidity you can for your assets.
[00:21:34.620 --> 00:21:37.100]   You value that optionality.
[00:21:37.100 --> 00:21:40.740]   Other people might answer more with a commitment orientation.
[00:21:40.740 --> 00:21:42.420]   With a commitment orientation, you're
[00:21:42.420 --> 00:21:45.260]   saying that if you can find something that will solve
[00:21:45.260 --> 00:21:48.060]   for a lifetime need, you'd rather just lock it in
[00:21:48.060 --> 00:21:49.820]   and take it off your to-do list and not
[00:21:49.820 --> 00:21:51.420]   have to worry about that.
[00:21:51.420 --> 00:21:53.220]   There's also nuances here with, this
[00:21:53.220 --> 00:21:55.980]   will help me manage cognitive decline potentially.
[00:21:55.980 --> 00:21:58.800]   If I'm the person that manages the household finances,
[00:21:58.800 --> 00:22:00.300]   if I could commit to something that
[00:22:00.300 --> 00:22:01.720]   will protect other family members,
[00:22:01.720 --> 00:22:03.140]   if I'm no longer capable of making
[00:22:03.140 --> 00:22:05.540]   the financial decisions, this is the idea
[00:22:05.540 --> 00:22:07.620]   of a commitment orientation.
[00:22:07.620 --> 00:22:10.060]   So we've got these two factors.
[00:22:10.060 --> 00:22:11.860]   And this was the big aha moment for me.
[00:22:11.860 --> 00:22:13.980]   And the reason I had those displayed
[00:22:13.980 --> 00:22:16.180]   the way they were before is, what we do
[00:22:16.180 --> 00:22:17.700]   is make a matrix out of this.
[00:22:17.700 --> 00:22:21.320]   Probability based on the right, safety first on the left,
[00:22:21.320 --> 00:22:24.740]   optionality on top, commitment on the bottom.
[00:22:24.740 --> 00:22:26.620]   And again, this was the big aha for me.
[00:22:26.620 --> 00:22:29.340]   This explains these retirement strategies
[00:22:29.340 --> 00:22:31.580]   that we've been talking about for years.
[00:22:31.580 --> 00:22:34.860]   If your total returns, your probability-based,
[00:22:34.860 --> 00:22:36.980]   you're comfortable relying on the market
[00:22:36.980 --> 00:22:38.580]   and you're optionality-oriented, you
[00:22:38.580 --> 00:22:41.180]   want to maintain flexibility for your asset base.
[00:22:41.180 --> 00:22:42.960]   And that's fine.
[00:22:42.960 --> 00:22:45.780]   If you're income protection, you're safety first.
[00:22:45.780 --> 00:22:48.620]   You want contractual protections to cover your basics.
[00:22:48.620 --> 00:22:50.340]   And you have a commitment orientation.
[00:22:50.340 --> 00:22:52.260]   You're comfortable committing to something that
[00:22:52.260 --> 00:22:54.040]   will solve your lifetime need.
[00:22:54.040 --> 00:22:56.220]   Now, those are going to be the two core strategies,
[00:22:56.220 --> 00:22:57.540]   because there are correlations.
[00:22:57.540 --> 00:22:59.700]   People who are probability-based are also
[00:22:59.700 --> 00:23:01.820]   likely to be more optionality-oriented.
[00:23:01.820 --> 00:23:03.580]   People who are safety first also tend
[00:23:03.580 --> 00:23:05.340]   to be more commitment-oriented.
[00:23:05.340 --> 00:23:08.020]   But then you get the two kind of hybrid or behavioral strategies
[00:23:08.020 --> 00:23:08.780]   too.
[00:23:08.780 --> 00:23:11.360]   So time segmentation, you're safety first.
[00:23:11.360 --> 00:23:13.300]   You want contractual protections,
[00:23:13.300 --> 00:23:15.380]   but you also want optionality.
[00:23:15.380 --> 00:23:17.840]   I think that evolved in the financial services world
[00:23:17.840 --> 00:23:19.500]   as you get the contractual protections
[00:23:19.500 --> 00:23:21.460]   through your short-term buckets, you
[00:23:21.460 --> 00:23:24.260]   get the optionality through your long-term buckets.
[00:23:24.260 --> 00:23:27.140]   And then risk graph is you're probability-based.
[00:23:27.140 --> 00:23:28.900]   You're comfortable relying on the market.
[00:23:28.900 --> 00:23:30.460]   But you're also-- you like committing
[00:23:30.460 --> 00:23:33.780]   to something that can solve for the lifetime need.
[00:23:33.780 --> 00:23:36.300]   Now, with the secondary factors that I didn't explain,
[00:23:36.300 --> 00:23:37.740]   when you're in the bottom half, you
[00:23:37.740 --> 00:23:39.980]   tend to also be more worried about outliving your money.
[00:23:39.980 --> 00:23:41.420]   When you're in the top half, you're
[00:23:41.420 --> 00:23:43.220]   not as worried about outliving your money.
[00:23:43.220 --> 00:23:45.460]   So there's a sense that even though with risk graph,
[00:23:45.460 --> 00:23:47.540]   you're comfortable with the markets,
[00:23:47.540 --> 00:23:49.340]   you still want guardrails or some sort
[00:23:49.340 --> 00:23:50.780]   of backstop or protections.
[00:23:50.780 --> 00:23:52.980]   And you're comfortable committing to something
[00:23:52.980 --> 00:23:56.700]   that will help to solve for that problem.
[00:23:56.700 --> 00:23:59.380]   So the big issue that everybody worries about,
[00:23:59.380 --> 00:24:01.020]   sequence of returns risk.
[00:24:01.020 --> 00:24:03.620]   Even though your returns are OK on average
[00:24:03.620 --> 00:24:06.780]   throughout retirement, if the crummy returns come first,
[00:24:06.780 --> 00:24:08.820]   it can sink your retirement ship.
[00:24:08.820 --> 00:24:11.340]   What are the four broad ways to manage sequence of returns
[00:24:11.340 --> 00:24:12.640]   risk?
[00:24:12.640 --> 00:24:14.780]   Yes, so here's a comprehensive list
[00:24:14.780 --> 00:24:16.700]   of how to manage sequence risk.
[00:24:16.700 --> 00:24:18.460]   Now, there's going to be subcategories.
[00:24:18.460 --> 00:24:21.460]   But I think anything someone can name, I'm pretty sure,
[00:24:21.460 --> 00:24:23.460]   fits into one of these four.
[00:24:23.460 --> 00:24:25.420]   So sequence risk is really, it's kind of like,
[00:24:25.420 --> 00:24:27.620]   how do we manage volatility and then also
[00:24:27.620 --> 00:24:29.060]   longevity at the same time?
[00:24:29.060 --> 00:24:30.520]   How do we build a plan that's going
[00:24:30.520 --> 00:24:32.500]   to be sustainable in retirement?
[00:24:32.500 --> 00:24:36.740]   The four broad options, one, spend conservatively.
[00:24:36.740 --> 00:24:39.020]   That's the logic of the 4% rule.
[00:24:39.020 --> 00:24:41.540]   It's build an aggressive portfolio.
[00:24:41.540 --> 00:24:43.540]   But let's just figure out how low our spending
[00:24:43.540 --> 00:24:45.780]   has to go so that we don't have to worry
[00:24:45.780 --> 00:24:47.320]   about outliving our money.
[00:24:47.320 --> 00:24:50.060]   It's not the most satisfying way to approach retirement.
[00:24:50.060 --> 00:24:51.900]   It's also really a research simplification,
[00:24:51.900 --> 00:24:53.660]   because it assumes you don't have
[00:24:53.660 --> 00:24:55.980]   any sort of discretionary power to change your spending.
[00:24:55.980 --> 00:24:58.140]   You always just adjust it for inflation.
[00:24:58.140 --> 00:24:59.760]   But it's seeking to answer the question,
[00:24:59.760 --> 00:25:03.340]   how low does spending need to go to not run out of money?
[00:25:03.340 --> 00:25:07.860]   Now, sequence risk is triggered by selling assets at a loss.
[00:25:07.860 --> 00:25:09.900]   So the other approaches are all about,
[00:25:09.900 --> 00:25:13.660]   how can we better try to avoid selling assets at a loss?
[00:25:13.660 --> 00:25:18.420]   Spending flexibly is, if I can cut my spending when
[00:25:18.420 --> 00:25:21.280]   the markets are down however we define that--
[00:25:21.280 --> 00:25:22.240]   we can talk about that.
[00:25:22.240 --> 00:25:23.940]   And Dana talked about some of the methods
[00:25:23.940 --> 00:25:26.020]   yesterday as well with time segmentation
[00:25:26.020 --> 00:25:28.860]   that apply to spending flexibility strategies
[00:25:28.860 --> 00:25:30.020]   in the same manner.
[00:25:30.020 --> 00:25:32.180]   But when markets are somehow down,
[00:25:32.180 --> 00:25:34.980]   how can we adjust our spending downward
[00:25:34.980 --> 00:25:37.360]   to help avoid selling assets at the loss
[00:25:37.360 --> 00:25:40.500]   and to give our portfolio more opportunity to recover?
[00:25:40.500 --> 00:25:43.740]   So that's the core concept behind variable spending.
[00:25:43.740 --> 00:25:46.380]   Then the third category, reduce volatility.
[00:25:46.380 --> 00:25:48.700]   That doesn't mean simply using bonds in retirement,
[00:25:48.700 --> 00:25:53.260]   though now that the TIPS yield curve is at 2.4%,
[00:25:53.260 --> 00:25:55.920]   maybe that is high enough to just fund your retirement
[00:25:55.920 --> 00:25:57.340]   with a 30-year bond letter.
[00:25:57.340 --> 00:26:00.060]   But what we're talking about more with reduced volatility,
[00:26:00.060 --> 00:26:01.140]   it could be--
[00:26:01.140 --> 00:26:02.300]   well, this is a bucketing.
[00:26:02.300 --> 00:26:04.800]   The bucketing idea is you reduce volatility in the short run
[00:26:04.800 --> 00:26:06.260]   for at least volatility that you're
[00:26:06.260 --> 00:26:08.260]   exposed to in the short run.
[00:26:08.260 --> 00:26:10.220]   You could talk about annuities in this context.
[00:26:10.220 --> 00:26:13.140]   In the total return context, Michael Kitsies and I
[00:26:13.140 --> 00:26:15.820]   wrote about the idea of a rising equity glide path in retirement
[00:26:15.820 --> 00:26:18.540]   where you have the lowest stock allocation at retirement
[00:26:18.540 --> 00:26:21.020]   when you're the most vulnerable to a market downturn,
[00:26:21.020 --> 00:26:23.380]   and then you gradually increase without retirement.
[00:26:23.380 --> 00:26:24.960]   So different ideas around how you
[00:26:24.960 --> 00:26:28.240]   might reduce volatility at important moments
[00:26:28.240 --> 00:26:29.700]   in retirement.
[00:26:29.700 --> 00:26:32.480]   And then the fourth approach is buffer assets.
[00:26:32.480 --> 00:26:36.540]   So buffer assets are something outside your portfolio
[00:26:36.540 --> 00:26:39.640]   that you don't think of them as part of your portfolio,
[00:26:39.640 --> 00:26:42.480]   and they're not correlated with their portfolio, which
[00:26:42.480 --> 00:26:44.680]   more generally just means buffer assets shouldn't
[00:26:44.680 --> 00:26:46.560]   be able to lose value.
[00:26:46.560 --> 00:26:48.760]   And then you think of them as a temporary resource
[00:26:48.760 --> 00:26:51.520]   that you can spend from when you're-- again,
[00:26:51.520 --> 00:26:53.900]   back to this idea that when your portfolio is in trouble
[00:26:53.900 --> 00:26:57.100]   or when the markets are down, however defined,
[00:26:57.100 --> 00:27:00.020]   I can draw from the buffer asset as a temporary spending
[00:27:00.020 --> 00:27:04.260]   resource so that I don't have to suffer my portfolio at a loss,
[00:27:04.260 --> 00:27:08.340]   and that will allow my portfolio an opportunity to recover.
[00:27:08.340 --> 00:27:10.300]   And as a little teaser of what's coming up here.
[00:27:10.300 --> 00:27:13.020]   So I'm only comfortable identifying three things
[00:27:13.020 --> 00:27:14.260]   as buffer assets.
[00:27:14.260 --> 00:27:17.580]   The original buffer asset is cash.
[00:27:17.580 --> 00:27:19.500]   You have a big pile of cash.
[00:27:19.500 --> 00:27:22.360]   And you could think, well, is cash my short-term bucket?
[00:27:22.360 --> 00:27:25.260]   It could be cash as time segmentation if you've--
[00:27:25.260 --> 00:27:27.620]   it's really-- it's part of your spending strategy.
[00:27:27.620 --> 00:27:29.080]   But if you're thinking of cash more
[00:27:29.080 --> 00:27:30.580]   as I've got a pile of cash, I don't
[00:27:30.580 --> 00:27:32.340]   think of it as part of my portfolio,
[00:27:32.340 --> 00:27:34.140]   I'll use it as a temporary spending resource
[00:27:34.140 --> 00:27:35.420]   when I need to.
[00:27:35.420 --> 00:27:38.560]   That would be a cash reserve as a buffer asset.
[00:27:38.560 --> 00:27:40.180]   The other two buffer assets out there
[00:27:40.180 --> 00:27:42.140]   that then don't require as big of cash holding
[00:27:42.140 --> 00:27:45.180]   are, where the tomatoes can begin,
[00:27:45.180 --> 00:27:47.940]   the growing line of credit on a reverse mortgage home equity
[00:27:47.940 --> 00:27:49.480]   conversion mortgage.
[00:27:49.480 --> 00:27:51.540]   And that's something you can set up a requirement.
[00:27:51.540 --> 00:27:53.620]   And then going even further back in time,
[00:27:53.620 --> 00:27:56.180]   if you had this, a whole life insurance policy,
[00:27:56.180 --> 00:27:58.220]   the cash value of whole life insurance
[00:27:58.220 --> 00:28:01.260]   can play a similar role where you take proceeds
[00:28:01.260 --> 00:28:05.600]   as a loan from either the cash value or the reverse mortgage.
[00:28:05.600 --> 00:28:08.300]   And that becomes a temporary spending resource
[00:28:08.300 --> 00:28:10.180]   to get you through a market downturn.
[00:28:10.180 --> 00:28:11.900]   And we'll talk more about that.
[00:28:11.900 --> 00:28:15.060]   Oh, yes, we will.
[00:28:15.060 --> 00:28:15.900]   So that's the teaser.
[00:28:15.900 --> 00:28:20.500]   You know, it's interesting.
[00:28:20.500 --> 00:28:24.060]   The 4% rule came out in the '90s from a handful of studies
[00:28:24.060 --> 00:28:27.820]   and was revolutionary in this space.
[00:28:27.820 --> 00:28:29.900]   And yet, almost everybody in this space now agrees,
[00:28:29.900 --> 00:28:33.100]   that's a terrible way to fund your retirement.
[00:28:33.100 --> 00:28:34.520]   And that almost everybody should be
[00:28:34.520 --> 00:28:38.180]   using some sort of a variable withdrawal strategy.
[00:28:38.180 --> 00:28:39.900]   So why is that?
[00:28:39.900 --> 00:28:43.620]   And what's the 4% rule good for anyway?
[00:28:43.620 --> 00:28:49.340]   OK, so the 4% rule provided a really valuable contribution.
[00:28:49.340 --> 00:28:51.620]   It introduced the idea of sequence risk
[00:28:51.620 --> 00:28:53.660]   to the financial planning world.
[00:28:53.660 --> 00:28:56.140]   Because before the 4% rule, as I understand it,
[00:28:56.140 --> 00:28:57.660]   the article was published in 1994.
[00:28:57.660 --> 00:29:00.940]   So I wasn't around doing research at that time.
[00:29:00.940 --> 00:29:02.940]   But people were just using spreadsheets.
[00:29:02.940 --> 00:29:05.260]   And they were saying things like, well, the stock market
[00:29:05.260 --> 00:29:07.020]   should average 7% after inflation.
[00:29:07.020 --> 00:29:09.220]   I'll plug 7% in my spreadsheet.
[00:29:09.220 --> 00:29:11.980]   7% is a safe withdrawal rate with 100% stock portfolio.
[00:29:11.980 --> 00:29:13.780]   Because every year I get 7% returns.
[00:29:13.780 --> 00:29:14.380]   I spend it.
[00:29:14.380 --> 00:29:16.880]   I'm never going to even tip it in my principal.
[00:29:16.880 --> 00:29:20.620]   I could even maybe spend 8% and slowly spend on my principal.
[00:29:20.620 --> 00:29:23.580]   Bill Bingen recognized that was ridiculous.
[00:29:23.580 --> 00:29:25.300]   And so he looked at the historical data
[00:29:25.300 --> 00:29:27.740]   to try to figure out, well, given that markets are
[00:29:27.740 --> 00:29:31.660]   volatile, even if the stock market averages 7%,
[00:29:31.660 --> 00:29:36.540]   that's approximately the S&P 500's real return compounded.
[00:29:36.540 --> 00:29:38.380]   What do you do about the market volatility?
[00:29:38.380 --> 00:29:41.900]   And so he explored that with US historical data
[00:29:41.900 --> 00:29:46.860]   and figured out if you retired in 1966 with a 50/50 portfolio,
[00:29:46.860 --> 00:29:49.980]   4% was as much as you could have spent in the first year
[00:29:49.980 --> 00:29:52.660]   that if you then increased that for inflation growth,
[00:29:52.660 --> 00:29:55.460]   your money would have run out precisely 30 years later.
[00:29:55.460 --> 00:29:56.940]   And so that was his safe max.
[00:29:56.940 --> 00:29:58.860]   That was a maximum spending rate you
[00:29:58.860 --> 00:30:02.020]   could have safely used in the worst case 30 year
[00:30:02.020 --> 00:30:04.740]   period from US history.
[00:30:04.740 --> 00:30:06.820]   So that's a helpful guideline.
[00:30:06.820 --> 00:30:10.100]   But it's not really a real-world spending strategy
[00:30:10.100 --> 00:30:12.420]   because it has so many assumptions baked into it.
[00:30:12.420 --> 00:30:14.300]   It ignores taxes.
[00:30:14.300 --> 00:30:16.020]   It ignores the idea of investment fees,
[00:30:16.020 --> 00:30:17.740]   though I guess if you're VTI, you
[00:30:17.740 --> 00:30:19.660]   don't have to worry about that angle.
[00:30:19.660 --> 00:30:22.980]   But it's really a simplified investment strategy.
[00:30:22.980 --> 00:30:26.540]   S&P 500, intermediate-term government bonds,
[00:30:26.540 --> 00:30:28.740]   which might be a reason you could go higher than 4%
[00:30:28.740 --> 00:30:31.740]   with a more diversified portfolio,
[00:30:31.740 --> 00:30:33.260]   said it ignores taxes.
[00:30:33.260 --> 00:30:33.820]   What else?
[00:30:33.820 --> 00:30:38.820]   I mean, 30 years is a retirement horizon, 50% to 75% stocks.
[00:30:38.820 --> 00:30:41.820]   You're always rebalancing to the asset allocation
[00:30:41.820 --> 00:30:43.420]   that you've targeted.
[00:30:43.420 --> 00:30:45.420]   And well, there you go.
[00:30:45.420 --> 00:30:46.940]   That's the idea behind the 4% rule.
[00:30:46.940 --> 00:30:48.460]   And you never deviate from the idea
[00:30:48.460 --> 00:30:50.660]   that you just increase your spending for inflation.
[00:30:50.660 --> 00:30:53.260]   Now, I mentioned this idea that if you
[00:30:53.260 --> 00:30:55.740]   can be flexible with your spending,
[00:30:55.740 --> 00:30:58.900]   you can potentially start with something much higher than 4%.
[00:30:58.900 --> 00:31:01.780]   But 4% kind of worked itself into the zeitgeist
[00:31:01.780 --> 00:31:03.940]   is here is the basic rule of thumb
[00:31:03.940 --> 00:31:06.340]   about how much you can spend in retirement.
[00:31:06.340 --> 00:31:12.420]   There's a lot of information on that slide.
[00:31:12.420 --> 00:31:13.460]   Yeah, this has a lot of--
[00:31:13.460 --> 00:31:16.460]   How much time are we going to spend on this slide?
[00:31:16.460 --> 00:31:21.380]   So this is about the variable spending strategies.
[00:31:21.380 --> 00:31:23.740]   And so what we're looking at here is--
[00:31:23.740 --> 00:31:25.940]   and it all depends on capital market assumptions.
[00:31:25.940 --> 00:31:27.940]   This one was run at the beginning of the year
[00:31:27.940 --> 00:31:31.380]   when the TIPS yield was about 1.75%.
[00:31:31.380 --> 00:31:34.900]   If I reran this today, the 4% rule is going to work now.
[00:31:34.900 --> 00:31:37.860]   We've got real yields that are well--
[00:31:37.860 --> 00:31:40.460]   now, there is a--
[00:31:40.460 --> 00:31:43.180]   some Boglehead forum members have this idea
[00:31:43.180 --> 00:31:46.220]   that if the TIPS yield curve can support 4%,
[00:31:46.220 --> 00:31:49.220]   that's a guarantee that the 4% rule is safe.
[00:31:49.220 --> 00:31:52.660]   I disagree with that because the 4% rule does not
[00:31:52.660 --> 00:31:54.900]   assume a 30-year TIPS ladder.
[00:31:54.900 --> 00:31:58.180]   It assumes a portfolio of 50% to 75% stocks.
[00:31:58.180 --> 00:31:59.940]   However, there is a correlation.
[00:31:59.940 --> 00:32:01.660]   As interest rates come up, I would
[00:32:01.660 --> 00:32:04.620]   agree that the probability that the 4% rule will work
[00:32:04.620 --> 00:32:06.300]   comes up accordingly.
[00:32:06.300 --> 00:32:09.900]   So if I did rerun this today, 4% would be there.
[00:32:09.900 --> 00:32:13.740]   Now, what this is looking at is inflation-adjusted amounts
[00:32:13.740 --> 00:32:14.620]   at the top.
[00:32:14.620 --> 00:32:16.140]   That's the 4% rule concept.
[00:32:16.140 --> 00:32:19.220]   That's every year you're spending growths for inflation.
[00:32:19.220 --> 00:32:22.300]   And then with the capital market assumptions in the article,
[00:32:22.300 --> 00:32:24.540]   we're just looking at, well, what's the highest spending
[00:32:24.540 --> 00:32:26.060]   rate you could use?
[00:32:26.060 --> 00:32:29.100]   And we're calibrating downside risk.
[00:32:29.100 --> 00:32:31.340]   As soon as you start talking about variable strategies,
[00:32:31.340 --> 00:32:32.820]   you can't use a failure rate idea
[00:32:32.820 --> 00:32:35.580]   that the 4% rule usually uses because some variable spending
[00:32:35.580 --> 00:32:37.620]   strategies, you can never run out of money.
[00:32:37.620 --> 00:32:40.260]   So it doesn't make any sense to talk about that.
[00:32:40.260 --> 00:32:42.180]   So I use something I call the pay rule, which
[00:32:42.180 --> 00:32:45.460]   is my downside risk calibration.
[00:32:45.460 --> 00:32:48.140]   What probability do you accept that your remaining wealth
[00:32:48.140 --> 00:32:50.180]   will drop below a particular threshold
[00:32:50.180 --> 00:32:52.020]   by a certain year of retirement?
[00:32:52.020 --> 00:32:55.500]   So here, I accept a 10% probability.
[00:32:55.500 --> 00:32:58.900]   And this is all just scaled on $100 at retirement.
[00:32:58.900 --> 00:33:00.820]   So that my remaining real wealth,
[00:33:00.820 --> 00:33:03.180]   inflation-adjusted wealth, 10% probability
[00:33:03.180 --> 00:33:06.900]   that my real wealth drops below $10 by year 30--
[00:33:06.900 --> 00:33:09.900]   I think year 30 of retirement.
[00:33:09.900 --> 00:33:12.020]   With the inflation-adjusted spending strategy,
[00:33:12.020 --> 00:33:14.340]   it's a 3.62% withdrawal rate.
[00:33:14.340 --> 00:33:16.900]   Now, one time, when the Boca heads were talking about this,
[00:33:16.900 --> 00:33:20.740]   they were, oh, I always have all these conflicts.
[00:33:20.740 --> 00:33:22.460]   I changed the failure rate measure.
[00:33:22.460 --> 00:33:25.060]   So I'm just showing, if you use a traditional failure rate
[00:33:25.060 --> 00:33:28.260]   measure, this would actually be 3.83%.
[00:33:28.260 --> 00:33:29.820]   You just can't use that when you're
[00:33:29.820 --> 00:33:31.900]   comparing variable spending strategies.
[00:33:31.900 --> 00:33:34.480]   But then we just have different variable spending strategies.
[00:33:34.480 --> 00:33:37.620]   If you use a fixed percent of what's left every year,
[00:33:37.620 --> 00:33:39.660]   8 and 1/2% is the withdrawal rate.
[00:33:39.660 --> 00:33:41.940]   And that's what you get that calibrates so that there's
[00:33:41.940 --> 00:33:44.980]   a 10% chance that you only have $10 left after 30 years.
[00:33:44.980 --> 00:33:49.380]   Again, that's 10% of what you started with after 30 years.
[00:33:49.380 --> 00:33:52.060]   There is the Bengen dollar floor and ceiling rule,
[00:33:52.060 --> 00:33:55.060]   where you could start with a 4.14%.
[00:33:55.060 --> 00:33:57.180]   And you spend a percentage of what's left every year,
[00:33:57.180 --> 00:33:59.500]   4.14% of what's left every year.
[00:33:59.500 --> 00:34:02.300]   But if your wealth is growing, that number
[00:34:02.300 --> 00:34:04.700]   is going to start giving you more spending power.
[00:34:04.700 --> 00:34:06.900]   You apply a dollar ceiling that you're not
[00:34:06.900 --> 00:34:08.820]   going to spend more than that ceiling.
[00:34:08.820 --> 00:34:11.140]   And also, if your portfolio is declining,
[00:34:11.140 --> 00:34:14.380]   4.14% of what's left is going to decrease your spending.
[00:34:14.380 --> 00:34:16.780]   You apply a dollar floor, you won't let your spending drop
[00:34:16.780 --> 00:34:18.620]   below a particular dollar threshold.
[00:34:18.620 --> 00:34:20.700]   And so you have variable spending within a range,
[00:34:20.700 --> 00:34:23.180]   but there's a ceiling and a floor on that.
[00:34:23.180 --> 00:34:24.840]   Gets you a higher spending rate.
[00:34:24.840 --> 00:34:26.380]   You've got the ratcheting rule, which
[00:34:26.380 --> 00:34:28.780]   is based on something Michael Kitsie has talked about.
[00:34:28.780 --> 00:34:32.540]   And these are all inspired by whatever
[00:34:32.540 --> 00:34:34.380]   Michael Kitsie's blog post was.
[00:34:34.380 --> 00:34:36.660]   He had a different way to explain the ratcheting rule.
[00:34:36.660 --> 00:34:40.980]   I just apply it as 3.59% is your floor.
[00:34:40.980 --> 00:34:45.180]   If your wealth drops so that when you take 3.59% of what's
[00:34:45.180 --> 00:34:48.980]   left, it would be less than the $3.59 real
[00:34:48.980 --> 00:34:52.380]   that you start with, then it's constant inflation
