
[00:00:00.000 --> 00:00:09.000]   When you're in winter's favorite town, the snow-covered mountains surround you.
[00:25:53.000 --> 00:25:57.000]   So we're kind of just trusting the lawyer who sets it up.
[00:25:57.000 --> 00:26:03.000]   What are things we need to be thinking through and talking through, and any advice on that?
[00:26:03.000 --> 00:26:07.000]   >> Why did they choose you?
[00:26:07.000 --> 00:26:11.000]   >> So they don't have any young friends.
[00:26:11.000 --> 00:26:18.000]   They were good friends of our grandparents, and they know our family, and they value our values.
[00:26:18.000 --> 00:26:22.000]   They have similar outlook.
[00:26:22.000 --> 00:26:24.000]   So we're kind of the youngest people they trust.
[00:26:24.000 --> 00:26:25.000]   >> I see.
[00:26:25.000 --> 00:26:26.000]   Okay.
[00:26:26.000 --> 00:26:28.000]   Well, I think you definitely should do it.
[00:26:28.000 --> 00:26:40.000]   Being a trustee is much more a matter of your personal confidence, meaning you're being just a normal person of integrity than it is any technical knowledge.
[00:26:40.000 --> 00:26:46.000]   And so if this is someone that you know, they know you, that they're looking for someone who's trustworthy, that's fine.
[00:26:46.000 --> 00:26:54.000]   You don't need -- it's not a -- there is a fiduciary duty that you have to the beneficiary of your trust, of the trust.
[00:26:54.000 --> 00:27:04.000]   So it is a -- it's not a completely free engagement, but the fiduciary duty is for you to simply always act in the best interest of the beneficiary.
[00:27:04.000 --> 00:27:13.000]   And in so doing, you have the ability to hire any professional, to retain any external counsel that you need at any point along the way.
[00:27:13.000 --> 00:27:21.000]   So I would say that it's an honor to be chosen as a trustee, and I don't think it's an excessive burden as long as this is someone that you care about.
[00:27:21.000 --> 00:27:29.000]   And it's a great honor to be able to be there to defend the needs of this person, this lady, who needs you as her advocate.
[00:27:29.000 --> 00:27:37.000]   And basically, in my words, the job of a trustee is to make sure that the interests of the beneficiary are defended.
[00:27:37.000 --> 00:27:43.000]   Now, in terms of the technical stuff, you'll begin with getting a copy of the trust and reading it.
[00:27:43.000 --> 00:27:45.000]   And don't be intimidated by that.
[00:27:45.000 --> 00:27:48.000]   It's relatively straightforward for you to read legal documents.
[00:27:48.000 --> 00:27:51.000]   Just ask for a copy of the trust and read it.
[00:27:51.000 --> 00:27:56.000]   And the copy of the trust will lay out most of the information that you need.
[00:27:56.000 --> 00:28:03.000]   And that is the document that is going to bind you based upon your activities.
[00:28:03.000 --> 00:28:14.000]   The second step after getting a copy of the trust and reading it is you should go to NOLO.com, N-O-L-O, and you should purchase their book called "The Trustee's Legal Companion."
[00:28:14.000 --> 00:28:18.000]   Spend $40 and grab a copy of "The Trustee's Legal Companion."
[00:28:18.000 --> 00:28:20.000]   NOLO is a self-help legal publisher.
[00:28:20.000 --> 00:28:25.000]   They are always my first stop for legal questions, financial questions, et cetera.
[00:28:25.000 --> 00:28:28.000]   And you can begin there.
[00:28:28.000 --> 00:28:31.000]   They also have several articles on their website.
[00:28:31.000 --> 00:28:34.000]   And they're a trusted publisher where I would start with.
[00:28:34.000 --> 00:28:38.000]   So they have an article called "Special Needs Trusts, the Trustee's Job."
[00:28:38.000 --> 00:28:41.000]   They also have an article called "Should You Serve as Trustee of a Trust?"
[00:28:41.000 --> 00:28:45.000]   So go to NOLO.com and just search "trustee" or "how to be a trustee."
[00:28:45.000 --> 00:28:50.000]   Get a copy of "The Trustee's Legal Companion" and read some of their articles, and that will get you started.
[00:28:50.000 --> 00:29:03.000]   And then recognize that as you review what the trust has, you know, as you look at what assets the trust has, what investments it has, how those are measured, you'll want to just look at that and get a sense of it.
[00:29:03.000 --> 00:29:07.000]   There's a big difference in running a trust with a couple hundred thousand dollars in it versus millions of dollars.
[00:29:07.000 --> 00:29:11.000]   And so you'll just want to dig into what the trust is doing.
[00:29:11.000 --> 00:29:21.000]   And if necessary, again, it's hard to do this with a small trust, but the trust money -- the trust assets are available for you to hire the necessary help to do a good job.
[00:29:21.000 --> 00:29:27.000]   And so if you get in over your head and you feel like, you know, I need some advice, then you can hire somebody to help you.
[00:29:27.000 --> 00:29:28.000]   You can hire a financial planner.
[00:29:28.000 --> 00:29:32.000]   You can hire an investment counselor to review the investments of the trust.
[00:29:32.000 --> 00:29:34.000]   You can hire relevant professionals.
[00:29:34.000 --> 00:29:41.000]   All of those things are available to you as the trustee so that you can make sure that what the trust is doing is really going to fulfill the long-term vision.
[00:29:41.000 --> 00:29:43.000]   So I would just begin with Nolo.
[00:29:43.000 --> 00:29:46.000]   Read that book, and that's your best starting point.
[00:29:46.000 --> 00:29:49.000]   Very helpful. Thank you.
[00:29:49.000 --> 00:29:50.000]   My pleasure.
[00:29:50.000 --> 00:29:53.000]   Now for a limited time at Del Amo Motorsports.
[00:29:53.000 --> 00:30:00.000]   Get financing as low as 1.99% for 36 months on Select 2023 Can-Am Maverick X3.
[00:30:00.000 --> 00:30:11.000]   Considering the Mavericks taking home trophies everywhere from King of the Hammers to Uncle Ned's Backcountry Rally, you're not going to find a better deal on front row seats to a championship winner.
[00:30:11.000 --> 00:30:14.000]   Don't lose out on your chance to get a Maverick X3.
[00:30:14.000 --> 00:30:18.000]   Visit Del Amo Motorsports in Redondo Beach and get yours.
[00:30:18.000 --> 00:30:21.000]   Offer in soon. See dealer for details.
[00:30:21.000 --> 00:30:23.000]   We move on to the state of Missouri.
[00:30:23.000 --> 00:30:25.000]   Welcome to the show. How can I serve you today?
[00:30:25.000 --> 00:30:27.000]   Hi, Josh. Can you hear me okay?
[00:30:27.000 --> 00:30:28.000]   Sounds good. Go ahead.
[00:30:28.000 --> 00:30:38.000]   I was fortunate enough to receive restricted stock units from my employer as part of my compensation.
[00:30:38.000 --> 00:30:48.000]   And the first of several vesting dates is coming up. I'm wondering how I should think through when to sell and what to do.
[00:30:48.000 --> 00:30:52.000]   There's two decisions I have to make with every vesting date.
[00:30:52.000 --> 00:31:03.000]   The first is I can choose for the company to withhold some of the vested stock as the cover of the taxes.
[00:31:03.000 --> 00:31:14.000]   The other option is I can give them cash and then such that I can then receive all the vested stock instead.
[00:31:14.000 --> 00:31:20.000]   And then the second question or decision I have to make is when to sell.
[00:31:20.000 --> 00:31:36.000]   I don't know if I should think about this as what you do if you come about a large sum of money or think about this like a retired person would as part of something as part of his or her portfolio.
[00:31:36.000 --> 00:31:47.000]   I know that if I were to ask eight out of ten personal finance people out there on the Internet, eight out of ten would say sell it all and buy index funds.
[00:31:47.000 --> 00:31:50.000]   But I'm hoping for a more nuanced answer.
[00:31:50.000 --> 00:32:01.000]   You know, I am a little embarrassed by that observation of the personal finance industry, but at least it's probably progress.
[00:32:01.000 --> 00:32:14.000]   You know, if we went back 50 years, we owe just such a debt of gratitude to Jack Bogle and the index revolution because the average person is probably way better off with that advice.
[00:32:14.000 --> 00:32:17.000]   But it does raise my contrarian hackles a little bit.
[00:32:17.000 --> 00:32:20.000]   Come on guys, let's think about this a little bit more.
[00:32:20.000 --> 00:32:31.000]   But I'm glad. I am very glad that that's the standard option now versus some of the nightmares that people have gone through over the decades prior to the indexing revolution.
[00:32:31.000 --> 00:32:46.000]   How much is your total stock ownership when it all fully vests and how much is maturing now as compared to the total in dollar numbers?
[00:32:46.000 --> 00:32:54.000]   So it's about over three years. The first year is very little as it stands right now based on the stock price.
[00:32:54.000 --> 00:33:02.000]   I think it'll be about five grand first year, five grand the second year and then about 75 grand the last year.
[00:33:02.000 --> 00:33:12.000]   So your total amount that you expect in current valuation is about $85,000 and 5,000 of that is becoming available now. Is that right?
[00:33:12.000 --> 00:33:15.000]   Yes.
[00:33:15.000 --> 00:33:20.000]   Okay. And your annual income and your net worth is how much?
[00:33:20.000 --> 00:33:39.000]   Me and my wife's is about $250,000 and currently it's $650,000-ish. My contribution to my income as it stands right now is about $150,000.
[00:33:39.000 --> 00:33:46.000]   And is this a company that you think has a future? Like is there a good growth case for the stock here?
[00:33:46.000 --> 00:34:00.000]   I would say so. I would put it as more of the cyclical stock part of the market. But I think it definitely has potential over the next two to three years.
[00:34:00.000 --> 00:34:15.000]   Okay. Well, I would say in terms of frameworks for answering this, my preferred framework would just simply to be to say that this is a minor,
[00:34:15.000 --> 00:34:26.000]   a relatively minor amount of money as compared to your income and as compared to your net worth. So why not take a risk?
[00:34:26.000 --> 00:34:46.000]   When you look at the stories of people who build wealth, in most cases the way that people become wealthy is not slow and steady index fund investing over decades.
[00:34:46.000 --> 00:34:59.000]   That pathway is perfectly doable, but you're already doing it. In most cases, people that become wealthy, especially those that become wealthy at an early enough age to fully enjoy and embrace the experience and live a great lifestyle,
[00:34:59.000 --> 00:35:10.000]   they do so because of an ownership interest in a business of some kind or a deal, something that works really, really well. Something that works really, really well.
[00:35:10.000 --> 00:35:23.000]   And there's a book, I forget the author of it, I read it seven or eight years ago, it's called You Only Have to Be Right Once. And it was a story of the Silicon Valley tech billionaires.
[00:35:23.000 --> 00:35:30.000]   And the point is that you only have to be right once. And what's interesting about that is it's totally true. You only have to be right once.
[00:35:30.000 --> 00:35:36.000]   The converse of it is if you're going to "be right", if you're going to get a big winner, you got to have some skin in the game.
[00:35:36.000 --> 00:35:43.000]   You got to actually take a risk. You got to get yourself in where you're going to have some individual stock. You got to actually go for it.
[00:35:43.000 --> 00:35:59.000]   And the arguments about things like an efficient market and all of that apply exclusively to the large publicly traded companies where there's the most intensity, etc.
[00:35:59.000 --> 00:36:10.000]   So I don't deny that people can trade successfully, but I myself basically hold to a pretty efficient view of the marketplace for publicly traded stocks.
[00:36:10.000 --> 00:36:19.000]   But that's different than you being in a situation where there's a company that you're involved in, you know you're working, you're being given private units of stock as options, etc.
[00:36:19.000 --> 00:36:27.000]   And so I don't see why, from what you're describing based upon the balance of the numbers, I don't see why you shouldn't just take a risk and hold them and wait and see what happens.
[00:36:27.000 --> 00:36:33.000]   You can always sell in the future. Tax-wise, I don't even want to bother with that because it's just immaterial.
[00:36:33.000 --> 00:36:40.000]   There's no point in thinking about taxes when you're talking about $5,000 as compared to a $250,000 income. It's immaterial as far as I'm concerned.
[00:36:40.000 --> 00:36:53.000]   Do what you want. But if I woke up in your shoes, I would take the risk. I would just hope that this is a good company and as long as you feel like there's a future for it, then maybe something spectacular happens.
[00:36:53.000 --> 00:37:00.000]   And so to be clear, what would cause me to make a different decision?
[00:37:00.000 --> 00:37:07.000]   Well, if the amount of stock options were much, much higher as compared to your income and/or your net worth.
[00:37:07.000 --> 00:37:23.000]   So let's imagine you had a $60,000 income and you had $150,000 of stock options vesting and you had a $0 net worth.
[00:37:23.000 --> 00:37:32.000]   Well, then my advice would be different because taking that money and getting it set aside might be your first $100,000 that sets you free for life.
[00:37:32.000 --> 00:37:40.000]   But in your situation, it's just such a small amount of money that if I woke up in your shoes, I would just say, "I need to be betting. I need to be betting."
[00:37:40.000 --> 00:37:50.000]   Slow and steady is a great base to build on, but I don't think it should be the exclusive base for wealth building.
[00:37:50.000 --> 00:38:03.000]   There should be something that you're involved in financially that has the opportunity for good gains, has the opportunity for multiplying rather than just slow and steady.
[00:38:03.000 --> 00:38:10.000]   And if this is the best opportunity you have, then you should stick with it.
[00:38:10.000 --> 00:38:22.000]   Now, as always with investments, what is right or wrong in terms of a buying or selling decision comes down exclusively to the alternative use of the dollar.
[00:38:22.000 --> 00:38:31.000]   And so if the alternative use of the dollar is index funds, which is what I'm guessing it is, then I would just say, "Sounds like you got plenty of money.
[00:38:31.000 --> 00:38:36.000]   You got some money in real estate probably. You got some money in index funds. You make a great income. You got money in your 401(k), etc.
[00:38:36.000 --> 00:38:40.000]   So the alternative use of the dollar is index funds. Well, why not take a risk?"
[00:38:40.000 --> 00:38:45.000]   Now, if you flipped it around and you said, "No, Joshua, I actually have this other compelling investment idea.
[00:38:45.000 --> 00:38:52.000]   I have this other thing that I'm really enthusiastic about that I think could go nuts, and I just need $5,000 to make it work."
[00:38:52.000 --> 00:38:55.000]   Well, then, of course, I'm going to say, "Sell. Take the $5,000 and do it."
[00:38:55.000 --> 00:38:58.000]   But you, of course, wouldn't be talking to me on the phone right now if you had that.
[00:38:58.000 --> 00:39:01.000]   So I simply want to leave you with those three frameworks.
[00:39:01.000 --> 00:39:09.000]   Number one, taxes, it's immaterial. I would probably pay the taxes out of pocket, try to keep as much as possible, but that's up to you.
[00:39:09.000 --> 00:39:13.000]   Number two is that you need to have some risk at play. You need to have some irons in the fire.
[00:39:13.000 --> 00:39:15.000]   What other metaphor can I mix up here?
[00:39:15.000 --> 00:39:22.000]   Like you need to have something going that is more than just index funds in the hope that something hits.
[00:39:22.000 --> 00:39:27.000]   And you're not going to bet the farm on it. We'll continue putting these metaphors in.
[00:39:27.000 --> 00:39:32.000]   I feel very exposed right now with lacking one metaphor to pull all the way through.
[00:39:32.000 --> 00:39:36.000]   You're not going to put everything into it. You're going to play with it.
[00:39:36.000 --> 00:39:43.000]   But you do want to make sure that you actually have something that could go somewhere, and this is one of those things that could actually go somewhere.
[00:39:43.000 --> 00:39:49.000]   So I would probably keep it, play it out for a few years, see what happens myself.
[00:39:49.000 --> 00:39:51.000]   Perfect. Thanks very much, Josh.
[00:39:51.000 --> 00:39:59.000]   My pleasure. And we move on to David in Quebec. Welcome to the show. How can I serve you today?
[00:39:59.000 --> 00:40:07.000]   Hi, Joshua. My question is around traveling with small children, infants.
[00:40:07.000 --> 00:40:17.000]   I think a while back you did a podcast on how you travel personally and how you do it really efficiently with essentially only carry-on items.
[00:40:17.000 --> 00:40:26.000]   I don't recall that podcast or the date. So my question is, how are you able to do that when your children are really young?
[00:40:26.000 --> 00:40:38.000]   Let's say one year or younger or even toddlers, just because a lot of the items that they need, say a scroller, car seat, play pens and so on, a lot of that stuff is really bulky.
[00:40:38.000 --> 00:40:40.000]   So how are you able to do that?
[00:40:40.000 --> 00:40:44.000]   How many children do you have and what are their ages?
[00:40:44.000 --> 00:40:48.000]   I don't have any right now, but we're expecting next year.
[00:40:48.000 --> 00:40:56.000]   And we have a similar lifestyle to what you're currently doing, which is traveling the world.
[00:40:56.000 --> 00:41:03.000]   So we want to keep that kind of travel really efficiently, as I mentioned earlier, minimal possessions.
[00:41:03.000 --> 00:41:10.000]   Yeah. Well, quite literally this week, it's a good time to call and ask the question. I love it. It's a softball for me.
[00:41:10.000 --> 00:41:15.000]   Quite literally this week, my wife is packing bags for our family.
[00:41:15.000 --> 00:41:21.000]   In a few weeks, we're heading out on an almost two-month trip across 12 countries with our family.
[00:41:21.000 --> 00:41:26.000]   So it's very current and we're going to be at multiple climates.
[00:41:26.000 --> 00:41:32.000]   Again, 12 countries. I charted it out for the children.
[00:41:32.000 --> 00:41:39.000]   I think there's seven airplane flights, five trains, one or two buses, two ferries, something like that.
[00:41:39.000 --> 00:41:44.000]   So we're covering all of the different styles of travel and doing it.
[00:41:44.000 --> 00:41:48.000]   And that's with five children, including a six-month-old baby.
[00:41:48.000 --> 00:41:52.000]   So it's a good time to ask me the question.
[00:41:52.000 --> 00:41:54.000]   So to begin with, there are a few principles.
[00:41:54.000 --> 00:42:00.000]   And the first thing that I will tell you is that with your first baby,
[00:42:00.000 --> 00:42:09.000]   the natural tendency in the United States and other wealthy places is to accumulate far too much stuff for the baby.
[00:42:09.000 --> 00:42:13.000]   And I don't know if it's avoidable. It's probably not avoidable.
[00:42:13.000 --> 00:42:17.000]   We used to have all the stuff. We used to do all this stuff.
[00:42:17.000 --> 00:42:22.000]   And just over time, you change. You build an experience.
[00:42:22.000 --> 00:42:26.000]   And there's no substitute for experience as parents.
[00:42:26.000 --> 00:42:30.000]   And experience is not something that can be taught. It has to be acquired.
[00:42:30.000 --> 00:42:34.000]   I can share the lessons, but the experience itself has to be acquired.
[00:42:34.000 --> 00:42:42.000]   And one of the tendencies that I see is that as parents become more experienced,
[00:42:42.000 --> 00:42:48.000]   they become more confident in themselves, and they start to need less stuff.
[00:42:48.000 --> 00:42:51.000]   And I'll give you another – I'll give it to you now.
[00:42:51.000 --> 00:42:52.000]   So here would be another example.
[00:42:52.000 --> 00:42:55.000]   If you were a novice hiker and you're going to go off hiking,
[00:42:55.000 --> 00:42:59.000]   the first thing you're going to do is get a hike, a list of everything that you need.
[00:42:59.000 --> 00:43:01.000]   You're going to get an enormous backpack.
[00:43:01.000 --> 00:43:03.000]   You're going to fill it up with all the stuff, and you're going to go on the trail.
[00:43:03.000 --> 00:43:07.000]   And two days into the trail, you start taking stuff out of the backpack, and you start getting rid of it.
[00:43:07.000 --> 00:43:10.000]   And by the end of it, you're down to just a tiny little bit.
[00:43:10.000 --> 00:43:11.000]   Same thing with travelers.
[00:43:11.000 --> 00:43:16.000]   Novice travelers take enormous bags, enormous piles of things, because they think,
[00:43:16.000 --> 00:43:19.000]   "Well, I've got to have this, and what if this, and what if that, and what if the other thing," et cetera.
[00:43:19.000 --> 00:43:23.000]   And experienced travelers just say, "Whatever. I can deal with it.
[00:43:23.000 --> 00:43:25.000]   I can pretty well fix it."
[00:43:25.000 --> 00:43:31.000]   And in life, especially when it comes to stuff, with the exception of a few basic things
[00:43:31.000 --> 00:43:36.000]   that can genuinely end your life, then really there's not much needed.
[00:43:36.000 --> 00:43:43.000]   So, you know, for example, the things that really matter in medical terms
[00:43:43.000 --> 00:43:47.000]   that you should always have with you are things like a tourniquet and an EpiPen,
[00:43:47.000 --> 00:43:55.000]   because there are only a few basic things that can end your life before you actually can get medical care.
[00:43:55.000 --> 00:44:01.000]   One of those things is massive loss of blood, and so that's why you should have on your person at all times
[00:44:01.000 --> 00:44:04.000]   a tourniquet so that you can stem massive loss of blood.
[00:44:04.000 --> 00:44:09.000]   Another thing is inability to breathe, and so inability to breathe can often be caused by an obstruction in the airway,
[00:44:09.000 --> 00:44:14.000]   which, of course, you'll try to remove physically, or it may be caused by an anaphylactic shock,
[00:44:14.000 --> 00:44:17.000]   which is why I think most people should have and travel with an EpiPen.
[00:44:17.000 --> 00:44:21.000]   You don't know if your children are allergic to something, etc.
[00:44:21.000 --> 00:44:26.000]   Beyond that, I mean, the only thing that really kills you fast is, you know,
[00:44:26.000 --> 00:44:30.000]   that can be treated with something like maybe a heart attack or having your brains burst open,
[00:44:30.000 --> 00:44:34.000]   but anything else can usually have time to get to medical care.
[00:44:34.000 --> 00:44:37.000]   So you don't need – why did I go into that? It was a bit of a rabbit trail,
[00:44:37.000 --> 00:44:41.000]   but the point is that in most things you can analyze what you need,
[00:44:41.000 --> 00:44:46.000]   and you can prioritize it based upon how quickly do I have to get this.
[00:44:46.000 --> 00:44:49.000]   You don't need to travel with Band-Aids. You can find those anywhere.
[00:44:49.000 --> 00:44:52.000]   You need to travel with a tourniquet to save a life.
[00:44:52.000 --> 00:44:58.000]   So you can triage your stuff, and you can choose what you actually need and what you don't actually need.
[00:44:58.000 --> 00:45:03.000]   And with parenting and with kids' stuff, you develop skill over time.
[00:45:03.000 --> 00:45:08.000]   A number of years ago, my wife and I went to Chick-fil-A with some friends of ours,
[00:45:08.000 --> 00:45:12.000]   and they had their first baby, and they brought it into Chick-fil-A.
[00:45:12.000 --> 00:45:17.000]   Remember, we were in the United States at the time, so there's a car out in the parking lot,
[00:45:17.000 --> 00:45:20.000]   and they have one baby, and they bring in this enormous diaper bag,
[00:45:20.000 --> 00:45:25.000]   just this monstrosity, this huge diaper bag, and bring it into the Chick-fil-A.
[00:45:25.000 --> 00:45:28.000]   And we looked at each other, and we kind of just smirked.
[00:45:28.000 --> 00:45:32.000]   Like, yeah, first-time parents, you think you have to have a diaper bag, first of all.
[00:45:32.000 --> 00:45:35.000]   You think it needs to be huge. You think it has to have all the stuff.
[00:45:35.000 --> 00:45:39.000]   Now, like, my wife has this tiny little diaper bag that she sticks a few things into.
[00:45:39.000 --> 00:45:42.000]   And by the way, that's not even with disposables, which can even be smaller.
[00:45:42.000 --> 00:45:44.000]   She travels with--she has cloth diapers and whatnot.
[00:45:44.000 --> 00:45:48.000]   But she has a tiny little diaper bag, and we basically don't bother taking it ourselves most places.
[00:45:48.000 --> 00:45:50.000]   Sometimes we forget it.
[00:45:50.000 --> 00:45:52.000]   And that's not to say that we're better than anybody.
[00:45:52.000 --> 00:45:57.000]   It's just that over time, you gain confidence in your ability to solve things.
[00:45:57.000 --> 00:46:02.000]   And so most of the paraphernalia related to children, most of it is unnecessary.
[00:46:02.000 --> 00:46:05.000]   There are a few things that are, like a car seat. We'll get to that in just a moment.
[00:46:05.000 --> 00:46:07.000]   But things like a stroller.
[00:46:07.000 --> 00:46:11.000]   Strollers are awesome when they live in the back of your car and you have easy access to them.
[00:46:11.000 --> 00:46:14.000]   But the rest of the time, they're just an enormous hassle.
[00:46:14.000 --> 00:46:17.000]   And so I guess we own a stroller right now.
[00:46:17.000 --> 00:46:23.000]   I used it one time with our 6-month-old for the first time a couple weeks ago when I took the children to the mall.
[00:46:23.000 --> 00:46:26.000]   And I used the stroller to push the baby around the mall.
[00:46:26.000 --> 00:46:31.000]   Other than that, I just carry the baby, or my wife wears the baby, or I put the baby on my shoulders or something.
[00:46:31.000 --> 00:46:34.000]   Because I don't want to deal with the hassle of a stroller.
[00:46:34.000 --> 00:46:38.000]   So I certainly don't take a stroller when traveling the world.
[00:46:38.000 --> 00:46:42.000]   One of the things that I have done is I have used a baby backpack.
[00:46:42.000 --> 00:46:46.000]   And so if you have a nice hiking backpack or something like that, I like to do that.
[00:46:46.000 --> 00:46:49.000]   Because it eases the burden on my wife.
[00:46:49.000 --> 00:46:53.000]   Because wearing the baby through the airports is always the easiest thing to do.
[00:46:53.000 --> 00:47:00.000]   So if you have something that can work for both of you, like a baby ergo or something that fits both of you, that's really ideal if you just adjust it.
[00:47:00.000 --> 00:47:02.000]   But there's no need for a stroller.
[00:47:02.000 --> 00:47:04.000]   And even things like the hiking backpack.
[00:47:04.000 --> 00:47:07.000]   I have one with a nice Deuter brand with a frame and everything like that.
[00:47:07.000 --> 00:47:08.000]   It just gets too bulky.
[00:47:08.000 --> 00:47:11.000]   And you rent a car and it doesn't fit in the back.
[00:47:11.000 --> 00:47:13.000]   And so I won't even bother to do that.
[00:47:13.000 --> 00:47:14.000]   I just carry the baby on my shoulders.
[00:47:14.000 --> 00:47:19.000]   And it does affect your activity a little bit if you don't have something that you need.
[00:47:19.000 --> 00:47:33.000]   But in general, I would rather just deal with the pain of carrying this child in my arms for several hours and having sore arms than I would deal with the pain of having a piece of gear that I don't really need along on the trip.
[00:47:33.000 --> 00:47:39.000]   The thing that is hard to get around, especially with babies, is a car seat.
[00:47:39.000 --> 00:47:40.000]   And especially at six months old.
[00:47:40.000 --> 00:47:48.000]   And so I don't have a plan to avoid that other than just exclusively using transportation where you don't need a car seat.
[00:47:48.000 --> 00:47:49.000]   So that is an option.
[00:47:49.000 --> 00:47:57.000]   If you simply avoid private cars, private taxis, things like that, then you don't need to travel with a car seat.
[00:47:57.000 --> 00:48:02.000]   If you're going to be having your own car, you can, of course, rent a car seat.
[00:48:02.000 --> 00:48:11.000]   And in some cases, taxis, drivers in some countries where car seats are more legally expected, they may have a seat or something that you can use.
[00:48:11.000 --> 00:48:13.000]   But most of the time, though, they don't have infant seats.
[00:48:13.000 --> 00:48:17.000]   So when you're traveling with an infant, you often do have to travel with that thing.
[00:48:17.000 --> 00:48:19.000]   And I don't know how to get rid of that.
[00:48:19.000 --> 00:48:39.000]   Once the baby is big enough, so past about a year or so, we have a couple of basically portable car seats that we use to follow the letter of the law and a little bit of the safety benefits as well as just making them doable.
[00:48:39.000 --> 00:48:41.000]   So there's two ones that we use.
[00:48:41.000 --> 00:48:48.000]   One is I believe the brand on it is something like Wiz Rider, and it's basically a vest that you put on the child.
[00:48:48.000 --> 00:48:53.000]   It's a small fabric vest, and the vest has a couple of hooks on the shoulders and hooks on the waist.
[00:48:53.000 --> 00:48:56.000]   And what it allows you to do is put the vest on the child.
[00:48:56.000 --> 00:48:58.000]   It's no bigger than a piece of clothing.
[00:48:58.000 --> 00:49:01.000]   It packs into a little pouch that I can fit in two hands.
[00:49:01.000 --> 00:49:09.000]   And it allows the seat belts to be pulled down to where they're appropriate size.
[00:49:09.000 --> 00:49:15.000]   Basically, all a car seat does is adapt the size of the seat belts to the child's body.
[00:49:15.000 --> 00:49:19.000]   That's what the basic function of a car seat or a booster seat is.
[00:49:19.000 --> 00:49:27.000]   And so in this case, instead of raising the child up by the use of a physical car seat or physical booster seat, this device brings the straps down.
[00:49:27.000 --> 00:49:31.000]   And so we like that, and that one is nice and is convenient.
[00:49:31.000 --> 00:49:41.000]   The second one is a brand called MyFold, M-I-Fold, and this one is a little plastic thing that's basically a replacement for a booster seat.
[00:49:41.000 --> 00:49:47.000]   And it's a little piece of plastic that sits on the seat, has a couple of hooks that come out from the side to hold the lap belt down.
[00:49:47.000 --> 00:49:52.000]   And then it's got just a little -- almost a retainer strap that pulls the shoulder belt down.
[00:49:52.000 --> 00:49:58.000]   So once your child gets past infant seat age, then -- and gets big enough from a weight perspective,
[00:49:58.000 --> 00:50:04.000]   those are two great ways of being able to avoid having the car seat.
[00:50:04.000 --> 00:50:08.000]   Clothes are the most straightforward thing.
[00:50:08.000 --> 00:50:13.000]   Babies do need a few more clothes generally because they get them constantly dirty.
[00:50:13.000 --> 00:50:18.000]   And if you have a baby that is crawling around, his clothes are always dirty.
[00:50:18.000 --> 00:50:21.000]   If you have a baby that's learning to eat, his clothes are dirty, et cetera.
[00:50:21.000 --> 00:50:23.000]   And so clothes, you do need a few more things.
[00:50:23.000 --> 00:50:28.000]   But the secret to traveling effectively with clothes is simply to wash them.
[00:50:28.000 --> 00:50:34.000]   And this is fairly easy to do when you stay in Airbnbs that have a washing machine.
[00:50:34.000 --> 00:50:41.000]   Obviously, you can do laundry at hotels, but that's usually cost prohibitive when you're -- and you don't want to do that as a matter of practice.
[00:50:41.000 --> 00:50:47.000]   But we find that generally speaking, at least with the size of our family, very few hotels are family-friendly at this point in time.
[00:50:47.000 --> 00:50:50.000]   And so I'm pretty much stuck in the world of Airbnbs.
[00:50:50.000 --> 00:50:51.000]   It's okay.
[00:50:51.000 --> 00:50:52.000]   I'm grateful that they exist.
[00:50:52.000 --> 00:50:56.000]   I prefer hotels to Airbnbs generally, but, hey, that's where I'm at right now.
[00:50:56.000 --> 00:50:59.000]   The nice thing about Airbnbs is you can just screen for ones that have a washing machine.
[00:50:59.000 --> 00:51:09.000]   And so if you do clothes every day or two, every couple of days, then you may have a small number of outfits, but you can rotate through them fairly consistently.
[00:51:09.000 --> 00:51:19.000]   And then the last thing, I mean, in terms of what do babies need, if a mother is breastfeeding, then you don't need to bother with anything, bottles or any of the other stuff.
[00:51:19.000 --> 00:51:26.000]   So breastfeeding is really hard generally for the first couple of weeks, and then after that, everything is just better.
[00:51:26.000 --> 00:51:29.000]   Breastfeeding, again, is hard in the first couple of weeks.
[00:51:29.000 --> 00:51:30.000]   Don't be surprised.
[00:51:30.000 --> 00:51:42.000]   One of the parts of the standard speech I give to newly expectant fathers and mothers is don't make planning for the birth your only thing because what surprised us when we had our first baby was how hard breastfeeding was compared to the birth.
[00:51:42.000 --> 00:51:44.000]   It was a lot harder than the childbirth itself.
[00:51:44.000 --> 00:51:49.000]   And so the first couple of weeks of breastfeeding are really difficult, but from then on, you're just free.
[00:51:49.000 --> 00:51:54.000]   And as long as mom's there, you don't need anything other than mom and baby, and baby is fine.
[00:51:54.000 --> 00:52:05.000]   And then when it comes to all the rest of the stuff, especially infants are the easiest to travel with because they don't really need anything, I mean, toys or anything like that, because they're generally happy to be with you.
[00:52:05.000 --> 00:52:07.000]   They're happy to be snuggled up with you, cuddled with you.
[00:52:07.000 --> 00:52:12.000]   If you need toys, you just use your fingers and play little finger games, et cetera.
[00:52:12.000 --> 00:52:19.000]   Then when they get old enough to be entertained with a book or you're reading to them or something, then you don't need much because you can find stuff on the road.
