
[00:00:00.000 --> 00:00:02.000]   quiet quitting.
[00:19:09.000 --> 00:19:15.700]   that you use with just standard 10 cent razor blades and get a incredible
[00:19:15.700 --> 00:19:16.400]   shave out of it.
[00:19:16.400 --> 00:19:19.800]   So the way they explained it to me is they built a great razor and a terrible
[00:19:19.800 --> 00:19:21.700]   razor business.
[00:19:21.700 --> 00:19:26.800]   So unlike the subscription services, unlike the disposable razors where you
[00:19:26.800 --> 00:19:28.900]   know, the whole business is we're going to keep selling you these high-priced
[00:19:28.900 --> 00:19:35.000]   poorly made razors that blades that you use for a while and throw out here you
[00:19:35.000 --> 00:19:39.400]   buy this one really nice handle and then you know for 10 bucks you can have two
[00:19:39.400 --> 00:19:40.800]   years worth of blades.
[00:19:40.800 --> 00:19:42.300]   The blades are no longer the easy part.
[00:19:42.300 --> 00:19:47.400]   So I like this idea of super high-quality precisely made beautiful objects that
[00:19:47.400 --> 00:19:49.300]   do a job really well.
[00:19:49.300 --> 00:19:52.000]   You don't have to have all the plastic and all the waste.
[00:19:52.000 --> 00:19:55.200]   You have this nice piece of aluminum and you use just standard blades and you
[00:19:55.200 --> 00:19:56.000]   get a really good shave.
[00:19:56.000 --> 00:19:59.900]   Their precision is .0013 inches.
[00:19:59.900 --> 00:20:01.300]   That's how far their blades extend.
[00:20:01.300 --> 00:20:03.400]   That's less than the thickness of a human hair.
[00:20:03.400 --> 00:20:07.400]   You can't do that unless you know how to make super precise parts.
[00:20:07.400 --> 00:20:12.000]   So I am a I was a fan of this of this company.
[00:20:12.000 --> 00:20:14.800]   I have my Henson's shaver.
[00:20:14.800 --> 00:20:16.700]   It's fantastic.
[00:20:16.700 --> 00:20:20.700]   Now you pay more for the thing up front, but you're not buying the replacement
[00:20:20.700 --> 00:20:20.900]   blades.
[00:20:20.900 --> 00:20:21.900]   You're not doing the subscriptions.
[00:20:21.900 --> 00:20:26.500]   You're not doing the going to CVS and getting the things in the plastic box that
[00:20:26.500 --> 00:20:30.200]   they have to come and unlock to whatever you buy the thing once and you use it
[00:20:30.200 --> 00:20:31.200]   with 10 cents blades.
[00:20:31.200 --> 00:20:37.000]   You you will be winning in terms of how much you paid really soon.
[00:20:37.000 --> 00:20:37.800]   So I don't know.
[00:20:37.800 --> 00:20:42.700]   I mean, this is one of these things where I'm actually a big fan of the product.
[00:20:42.700 --> 00:20:43.900]   So here's the thing.
[00:20:43.900 --> 00:20:47.000]   It's time to say no to subscriptions and yes to a razor that will last you a
[00:20:47.000 --> 00:20:48.300]   lifetime.
[00:20:48.300 --> 00:20:55.600]   Visit Henson shaving.com / Cal to pick the razor for you and then use the code
[00:20:55.600 --> 00:21:00.800]   Cal and you will get two years worth of blades free with your razor.
[00:21:00.800 --> 00:21:06.600]   Now the key here is when you go to the site you choose your razor add the two
[00:21:06.600 --> 00:21:08.800]   year supply of razors to your cart.
[00:21:08.800 --> 00:21:12.200]   And then when you enter the code Cal it'll just make them free, but you have to
[00:21:12.200 --> 00:21:15.100]   you have to add the razors to your cart and then enter the code Cal when you
[00:21:15.100 --> 00:21:17.500]   check out and you'll get the two years worth of razors for free.
[00:21:17.500 --> 00:21:28.300]   That's 100 free blades when you head to Henson shaving.com / Cal and use that
[00:21:28.300 --> 00:21:29.700]   code Cal.
[00:21:29.700 --> 00:21:36.200]   So I was on the phone with them Jesse right before earlier today and I knew I
[00:21:36.200 --> 00:21:40.800]   had to get over here and I had to restrain myself because I wanted to shave
[00:21:40.800 --> 00:21:44.700]   but I had a lot of questions about the high precision CNC routers.
[00:21:44.700 --> 00:21:49.000]   I'm like does it start with a block of aluminum?
[00:21:49.000 --> 00:21:50.300]   Like how do these things work?
[00:21:50.300 --> 00:21:53.500]   It's it's you know, because it's a cylindrical like precision made thing.
[00:21:53.500 --> 00:21:54.800]   I'm just really interested in that technology.
[00:21:54.800 --> 00:21:55.700]   Yeah.
[00:21:55.700 --> 00:22:00.200]   I also thought it was cool that the thing that built my razor also built
[00:22:00.200 --> 00:22:03.200]   parts for the International Space Station.
[00:22:03.200 --> 00:22:05.600]   So that's cool.
[00:22:05.600 --> 00:22:10.200]   I also want to talk about speaking of well-made really interesting
[00:22:10.200 --> 00:22:12.300]   high-tech products.
[00:22:12.300 --> 00:22:14.800]   I also want to talk about 8 Sleep.
[00:22:14.800 --> 00:22:19.300]   This is I think again really cool technology.
[00:22:19.300 --> 00:22:21.100]   I like seeing really cool technologies.
[00:22:21.100 --> 00:22:26.800]   So the 8 Sleep pod is they call it the ultimate sleep machine.
[00:22:26.800 --> 00:22:31.300]   But what it does is a sleep technology that can control the temperature of
[00:22:31.300 --> 00:22:32.600]   your sleeping experience.
[00:22:32.600 --> 00:22:36.900]   You put the pod over your mattress and you have precise control over what
[00:22:36.900 --> 00:22:41.800]   temperature you then want that mattress cover to be at.
[00:22:41.800 --> 00:22:45.100]   So the way I use it why I like this product like most people like this
[00:22:45.100 --> 00:22:47.900]   product is you can bring the temperature down.
[00:22:47.900 --> 00:22:51.400]   It's hard to get a good night's sleep if you're hot.
[00:22:51.400 --> 00:22:54.900]   And if you bring the temperature down with your 8 Sleep pod to be just a
[00:22:54.900 --> 00:22:59.800]   little bit cooler the quality of your sleep significantly improves.
[00:22:59.800 --> 00:23:05.200]   You can bring it down as cold as 55 degrees.
[00:23:05.200 --> 00:23:10.200]   I was thinking about 8 Sleep, Jesse the other day I was watching reruns of
[00:23:10.200 --> 00:23:12.300]   Curb Your Enthusiasm.
[00:23:12.300 --> 00:23:19.500]   And there's a lot like the later seasons where he's arguing with his
[00:23:19.500 --> 00:23:22.100]   girlfriend, I forgot her name, about the temperature they sleep in and she
[00:23:22.100 --> 00:23:24.800]   likes it warmer and he likes it cooler.
[00:23:24.800 --> 00:23:29.500]   But the premise is like eventually she gets sick and he's going to have to
[00:23:29.500 --> 00:23:32.100]   care for her and he was trying to break up with her before she got sick and
[00:23:32.100 --> 00:23:32.800]   he just missed it.
[00:23:32.800 --> 00:23:36.400]   But then the doctor is there and the doctor is like and this is really
[00:23:36.400 --> 00:23:37.100]   important.
[00:23:37.100 --> 00:23:39.300]   You're going to have to really keep the room warm.
[00:23:39.300 --> 00:23:43.100]   You know, I think it's gonna be really important for the healing
[00:23:43.100 --> 00:23:43.600]   process.
[00:23:43.600 --> 00:23:46.400]   You really I think for sleeping need the room to be 80-85 degrees.
[00:23:46.400 --> 00:23:47.700]   I thought that was funny.
[00:23:47.700 --> 00:23:51.800]   The 8 Sleep would be just what he needs there, what Larry David needed
[00:23:51.800 --> 00:23:54.100]   because he could bring his side of the bed down.
[00:23:54.100 --> 00:23:57.800]   So there's data about this 8 Sleep users experience up to 19% increase
[00:23:57.800 --> 00:24:03.600]   recovery up to 32% improvement in sleep quality 34% more deep sleep.
[00:24:03.600 --> 00:24:08.200]   Their newest generation is called the Pod 3 which allows you to do
[00:24:08.200 --> 00:24:08.900]   tracking.
[00:24:08.900 --> 00:24:13.700]   You can track sleep, track health with the sensors, health tracking, you
[00:24:13.700 --> 00:24:14.700]   see sensors that are in there.
[00:24:14.700 --> 00:24:18.900]   So it's getting pretty high-tech, but mainly it really is a game-changer
[00:24:18.900 --> 00:24:22.300]   to go to bed and the thing you're on is not hot.
[00:24:22.300 --> 00:24:24.400]   The Pod is not magic, but it can feel like it.
[00:24:24.400 --> 00:24:31.800]   So go to 8sleep.com/deep to start sleeping cool and save $150 on the
[00:24:31.800 --> 00:24:32.300]   Pod.
[00:24:32.300 --> 00:24:37.000]   That's 8 Sleep spelled out E-I-G-H-T sleep.com/deep.
[00:24:37.000 --> 00:24:41.400]   8 Sleep currently ships within the US, Canada, and the UK as well as
[00:24:41.400 --> 00:24:44.800]   select countries in the EU and Australia.
[00:24:44.800 --> 00:24:48.900]   Alright, so let's get into some questions.
[00:24:48.900 --> 00:24:51.400]   Jesse, what's our first question of the day?
[00:24:52.400 --> 00:24:55.700]   Okay, so our first question is from Esther.
[00:24:55.700 --> 00:24:59.100]   She's a 48 year old physician in New York City.
[00:24:59.100 --> 00:25:00.700]   This is what she has to say.
[00:25:00.700 --> 00:25:04.500]   What did your parents do in your childhood and teen life to help
[00:25:04.500 --> 00:25:07.700]   motivate you to be as organized and efficient as you are?
[00:25:07.700 --> 00:25:11.600]   What lessons can I learn to motivate my teenagers to pursue excellence
[00:25:11.600 --> 00:25:12.700]   and all that they do?
[00:25:12.700 --> 00:25:15.700]   Well, it's an interesting question.
[00:25:16.900 --> 00:25:24.200]   So if I go back in time to think about young Cal Newport and what he
[00:25:24.200 --> 00:25:27.300]   was exposed to growing up, I mean, there is some interesting stuff to
[00:25:27.300 --> 00:25:28.900]   perhaps mine from back then.
[00:25:28.900 --> 00:25:31.500]   My mom is very organized.
[00:25:31.500 --> 00:25:36.300]   I mean, she'll tell this story that she wasn't organized.
[00:25:36.300 --> 00:25:37.000]   We were very young.
[00:25:37.000 --> 00:25:39.800]   She was not as organized and we lived in Houston.
[00:25:39.800 --> 00:25:45.300]   It was kind of a hectic setup because she had to commute from north
[00:25:45.300 --> 00:25:46.300]   of Houston in the downtown.
[00:25:46.300 --> 00:25:48.500]   It was a very long commute and then my dad had to go the other
[00:25:48.500 --> 00:25:52.300]   direction and we're always cobbling together childcare and I think
[00:25:52.300 --> 00:25:55.200]   it was a little busy and then we moved to New Jersey and once we
[00:25:55.200 --> 00:25:58.100]   moved to New Jersey, we were old enough that she was staying at home
[00:25:58.100 --> 00:26:01.700]   at that point and I think it was very stressful and chaotic to try
[00:26:01.700 --> 00:26:06.800]   to organize the lives of four elementary school age kids, but she
[00:26:06.800 --> 00:26:08.500]   had a friend she met.
[00:26:08.500 --> 00:26:15.200]   She had a friend who was Mormon who really pushed the Franklin
[00:26:15.200 --> 00:26:16.300]   Covey system, right?
[00:26:16.300 --> 00:26:18.300]   Because a cubby is Mormon.
[00:26:18.300 --> 00:26:23.100]   So the Franklin Franklin Covey system, which is based on part on
[00:26:23.100 --> 00:26:27.600]   Stephen Coven, Stephen Covey's thinking was very popular among
[00:26:27.600 --> 00:26:30.200]   Mormons before it expanded to be more popular generally.
[00:26:30.200 --> 00:26:34.900]   So my mom became a like a diehard user of the Franklin planner, like
[00:26:34.900 --> 00:26:38.500]   using it the way exactly following the rules and it transformed life.
[00:26:38.500 --> 00:26:40.800]   So it killed off that stress.
[00:26:40.800 --> 00:26:42.400]   It was a very organized household.
[00:26:42.400 --> 00:26:43.800]   So I was exposed to that.
[00:26:45.000 --> 00:26:49.200]   So subliminally I might have taken in organization helps, but I was
[00:26:49.200 --> 00:26:51.800]   not a very organized structured kid.
[00:26:51.800 --> 00:26:53.500]   I was haphazard.
[00:26:53.500 --> 00:26:56.000]   I would leave things until the last minute.
[00:26:56.000 --> 00:26:59.100]   I was not a kind of type A.
[00:26:59.100 --> 00:27:03.100]   Let's get things lined up tackle them one by one get things done
[00:27:03.100 --> 00:27:04.300]   at the highest level of quality.
[00:27:04.300 --> 00:27:06.500]   I was not like that until college.
[00:27:06.500 --> 00:27:11.200]   I really wasn't until college when I got serious about my academic
[00:27:11.200 --> 00:27:16.200]   career that I began to get more systematic about organization because
[00:27:16.200 --> 00:27:18.700]   at that point I cared.
[00:27:18.700 --> 00:27:23.900]   It was not really till then that I cared how well I did my options in
[00:27:23.900 --> 00:27:25.500]   life for whatever reason.
[00:27:25.500 --> 00:27:27.700]   I don't quite know why I had a chip on my shoulder.
[00:27:27.700 --> 00:27:31.400]   You know, I just had this sense of I think I have some talent.
[00:27:31.400 --> 00:27:37.000]   I think I'm a smart guy, but it's on me to make something of this.
[00:27:37.000 --> 00:27:38.300]   I don't know where that came from.
[00:27:38.300 --> 00:27:41.000]   But that sense did not emerge for me until college and then I got
[00:27:41.000 --> 00:27:44.400]   very organized and structured and developed the type of ideas I talk
[00:27:44.400 --> 00:27:44.800]   about here.
[00:27:44.800 --> 00:27:49.200]   So I don't know if I subliminally took in some things from my mom
[00:27:49.200 --> 00:27:52.200]   growing up that I then put into action once I was ready to put into
[00:27:52.200 --> 00:27:57.600]   action or if it was unrelated, but it certainly wasn't I'm 12 and
[00:27:57.600 --> 00:27:59.000]   really good at planning things.
[00:27:59.000 --> 00:28:04.100]   So from a parenting perspective, what this what this is telling me is
[00:28:04.100 --> 00:28:10.900]   you probably cannot engineer a child into being more organized in the
[00:28:10.900 --> 00:28:12.900]   being more driven.
[00:28:12.900 --> 00:28:17.000]   You can demonstrate it in your own life.
[00:28:17.000 --> 00:28:22.600]   You can demonstrate the benefits of a structured life less stress
[00:28:22.600 --> 00:28:26.200]   more control more opportunity more options things in general are more
[00:28:26.200 --> 00:28:27.800]   interesting less chaotic.
[00:28:27.800 --> 00:28:30.900]   I think kids do pick up they appreciate the stability.
[00:28:30.900 --> 00:28:32.100]   They will pick up the stability.
[00:28:32.100 --> 00:28:35.100]   So that might be something that is actually imprinted.
[00:28:35.100 --> 00:28:37.700]   It's a sort of a show-don't-tell strategy.
[00:28:37.900 --> 00:28:42.900]   I do also think it's important to talk with kids, you know, specifically
[00:28:42.900 --> 00:28:48.100]   about building intentionally a life a deeper life.
[00:28:48.100 --> 00:28:50.900]   These things matter discipline is important for this reason.
[00:28:50.900 --> 00:28:54.500]   It's how you make the most of the talents you have the opportunities
[00:28:54.500 --> 00:28:58.000]   you have and make the most of your time here knowing what's what you
[00:28:58.000 --> 00:29:00.300]   want in life is important engineering around that's important.
[00:29:00.300 --> 00:29:01.200]   Here's why we live here.
[00:29:01.200 --> 00:29:02.300]   Here's why we have these jobs.
[00:29:02.300 --> 00:29:04.300]   Here's why we left this we really think about this.
[00:29:04.300 --> 00:29:05.600]   Here's why community is important.
[00:29:05.600 --> 00:29:07.800]   You know, I spend all this time volunteering over here is because I
[00:29:07.800 --> 00:29:11.200]   think it's important to serve other people being really clear.
[00:29:11.200 --> 00:29:15.800]   About the elements what makes a life deep I think is again probably
[00:29:15.800 --> 00:29:18.300]   very important not that they will then say yes dad.
[00:29:18.300 --> 00:29:19.000]   Yes mom.
[00:29:19.000 --> 00:29:21.900]   I'm going to start doing this tomorrow, but they remember that lessons
[00:29:21.900 --> 00:29:24.100]   when they get to a place where they realize oh, I'm on my own.
[00:29:24.100 --> 00:29:25.600]   I got to figure myself out.
[00:29:25.600 --> 00:29:30.800]   You got to figure out what to do and they can look back and say here's
[00:29:30.800 --> 00:29:34.700]   an option to try what my parents did what seemed to be working for
[00:29:34.700 --> 00:29:37.000]   them what they explained to me and taught to me.
[00:29:37.300 --> 00:29:40.700]   Now I am ready 1920 21 years old now.
[00:29:40.700 --> 00:29:41.900]   I'm ready to try this out.
[00:29:41.900 --> 00:29:45.000]   And so there might be this period of frustration where you're you're
[00:29:45.000 --> 00:29:46.300]   demonstrating through your actions.
[00:29:46.300 --> 00:29:48.000]   You're you just through conversation.
[00:29:48.000 --> 00:29:51.900]   You're explaining what you figured out over time as an adult about how
[00:29:51.900 --> 00:29:54.500]   to approach life and you're not seeing it reflected in their day-to-day
[00:29:54.500 --> 00:29:54.800]   action.
[00:29:54.800 --> 00:29:57.500]   You're like man if I was 17, I'd be doing this so much better, but it's
[00:29:57.500 --> 00:30:00.800]   still useful what you're doing because it's it's it's giving this option
[00:30:00.800 --> 00:30:01.900]   into their toolbox.
[00:30:01.900 --> 00:30:04.600]   So when they're ready to start pulling tools for the toolbox, which will
[00:30:04.600 --> 00:30:07.300]   be out of sight of you after they're out of the home.
[00:30:07.300 --> 00:30:12.100]   It'll be in there and they might be more likely to pick it up.
[00:30:12.100 --> 00:30:17.100]   The other thing I would recommend is you have to resist.
[00:30:17.100 --> 00:30:26.400]   You have to resist the the appeal of using your kids as a proxy for your
[00:30:26.400 --> 00:30:27.700]   own accomplishments.
[00:30:27.700 --> 00:30:30.600]   This is a big DC area thing.
[00:30:30.600 --> 00:30:33.500]   I think this is true in other major cities as well.
[00:30:33.800 --> 00:30:36.500]   I'd be interested from our international listeners how common this is.
[00:30:36.500 --> 00:30:43.300]   It's so easy if you're like a relatively accomplished adult who has kids
[00:30:43.300 --> 00:30:48.900]   and you look at your kids and say, you know, the competitive structures
[00:30:48.900 --> 00:30:52.100]   where they exist what's required to stand out man.
[00:30:52.100 --> 00:30:55.900]   That's not so hard from the perspective of an adult as compared to like
[00:30:55.900 --> 00:30:58.000]   trying to get partner at this law firm that I did.
[00:30:58.000 --> 00:31:03.700]   And so let me just push these kids into accomplishments that are visible
[00:31:03.700 --> 00:31:08.000]   and impressive and by proxy that will reflect well on me and you get a
[00:31:08.000 --> 00:31:10.700]   lot of this now parents are saying my kids and their accomplishments
[00:31:10.700 --> 00:31:12.400]   are going to reflect well on me and you know what?
[00:31:12.400 --> 00:31:15.000]   It's a lot easier to have them do the work than me have to do the work.
[00:31:15.000 --> 00:31:17.400]   It's a lot easier to say, you know, go back there and keep practicing
[00:31:17.400 --> 00:31:20.300]   the clarinet than it is to actually have to practice it yourself and
[00:31:20.300 --> 00:31:23.300]   you use the kids as a proxy for your own accomplishment.
[00:31:23.300 --> 00:31:26.000]   This I think is a problem.
[00:31:26.000 --> 00:31:29.400]   I used to study this in a lot more detail in my 20s when I was doing
[00:31:29.400 --> 00:31:31.500]   more work on student stress.
[00:31:32.200 --> 00:31:34.700]   High school student stress was an area that I used to give talks on
[00:31:34.700 --> 00:31:38.000]   and do a lot of writing on and there's a real problem with this
[00:31:38.000 --> 00:31:38.700]   approach.
[00:31:38.700 --> 00:31:42.400]   What happens is is you can burn out the motivational drive of your
[00:31:42.400 --> 00:31:42.800]   kid.
[00:31:42.800 --> 00:31:48.500]   So they get turned off on this idea this extrinsic motivation of like
[00:31:48.500 --> 00:31:52.000]   man, it's go go go if you got to do everything at the highest level.
[00:31:52.000 --> 00:31:55.100]   Why don't you have the highest grade your parents are getting a real
[00:31:55.100 --> 00:31:58.100]   kick out of hey, you got to the most advanced, you know, you're in
[00:31:58.100 --> 00:32:00.200]   the most advanced reading group.
[00:32:00.200 --> 00:32:02.100]   You're on the best select team.
[00:32:02.100 --> 00:32:04.700]   You're the first chair and the whatever and they're getting all
[00:32:04.700 --> 00:32:07.800]   this this whatever this energy out of it.
[00:32:07.800 --> 00:32:09.800]   They feel like it reflects well in them and you're burning out the
[00:32:09.800 --> 00:32:12.500]   kids motivation drive and then they're going to go through some sort
[00:32:12.500 --> 00:32:15.400]   of simplistic rebellion where when they're looking at their options
[00:32:15.400 --> 00:32:19.000]   a sort of more intentional careful discipline, which is really
[00:32:19.000 --> 00:32:20.000]   important to life.
[00:32:20.000 --> 00:32:21.900]   They're not going to pull that option on their toolbox.
[00:32:21.900 --> 00:32:24.900]   It's like I did the like discipline thing when I was 17 and it burned
[00:32:24.900 --> 00:32:29.900]   me out and now that I'm you know, I made it to whatever.
[00:32:30.100 --> 00:32:33.300]   Brown I'm going to go the opposite direction.
[00:32:33.300 --> 00:32:36.300]   And it's not great.
[00:32:36.300 --> 00:32:39.800]   So I'm just going to throw in that thing you want to demonstrate
[00:32:39.800 --> 00:32:43.100]   the intentional construction of a life that includes discipline
[00:32:43.100 --> 00:32:43.700]   organization.
[00:32:43.700 --> 00:32:47.400]   You want to talk about it why it's important but don't I mean the
[00:32:47.400 --> 00:32:50.100]   kid has to pull it out of the toolbox themselves and they might not
[00:32:50.100 --> 00:32:52.600]   be ready to pull it out when they're 17 and if you force them too
[00:32:52.600 --> 00:32:55.800]   hard to do it, you might and I don't want to stretch this metaphor,
[00:32:55.800 --> 00:32:58.800]   but you might end up breaking that tool early and then they won't
[00:32:58.800 --> 00:33:00.500]   have it when they need it later on in life.
[00:33:00.500 --> 00:33:06.400]   When you you coach a lot Jesse, I don't know what you see but yeah,
[00:33:06.400 --> 00:33:07.700]   like sports culture around here.
[00:33:07.700 --> 00:33:08.100]   Yeah.
[00:33:08.100 --> 00:33:09.200]   No, you nailed it.
[00:33:09.200 --> 00:33:12.600]   I mean though you work with some fantastic athletes.
[00:33:12.600 --> 00:33:15.800]   I mean, I think it's a difference if it's you're really gifted,
[00:33:15.800 --> 00:33:20.200]   you know athletically for example, so like let's let's foster that
[00:33:20.200 --> 00:33:21.800]   and like really make that a part of your life, but there's this
[00:33:21.800 --> 00:33:24.600]   whole second tier of you know, young people athletes where it's
[00:33:24.600 --> 00:33:28.400]   like you don't really need to be away every weekend at these
[00:33:28.400 --> 00:33:28.900]   tournaments.
[00:33:28.900 --> 00:33:31.800]   You don't really need private coach like it's fine, but you're
[00:33:31.800 --> 00:33:34.000]   not you're not going to play d1 college.
[00:33:34.000 --> 00:33:39.900]   Yeah, so so why is your why are you spending so much time and
[00:33:39.900 --> 00:33:42.600]   saying other than I you can get addicted as a parent to the like
[00:33:42.600 --> 00:33:46.400]   we're on this team and we got selected for that team and every
[00:33:46.400 --> 00:33:49.100]   time that happens you as the parent somehow it makes you feel
[00:33:49.100 --> 00:33:51.100]   like physically stronger for sure.
[00:33:51.100 --> 00:33:54.100]   There's some pretty intense parents out there as well.
[00:33:54.200 --> 00:33:58.700]   Yeah that you know push a lot and it can be difficult for like
[00:33:58.700 --> 00:34:01.800]   the head coach to because they're always do you have parent?
[00:34:01.800 --> 00:34:04.400]   Well, I don't want you to talk out of school, but just abstractly
[00:34:04.400 --> 00:34:08.200]   speaking do parents parents interacting with head coaches or
[00:34:08.200 --> 00:34:10.800]   something that was very common at the high school level very
[00:34:10.800 --> 00:34:11.200]   common.
[00:34:11.200 --> 00:34:14.400]   Even common at their college level like there's like college
[00:34:14.400 --> 00:34:18.100]   coaches that I couldn't have to deal with some parents for sure
[00:34:18.100 --> 00:34:23.800]   that baffles me as someone who did a little bit of d1 college
[00:34:23.800 --> 00:34:24.300]   athletics.
[00:34:24.300 --> 00:34:30.000]   I couldn't imagine a parent coming in to definitely exist.
[00:34:30.000 --> 00:34:30.700]   Oh my goodness.
[00:34:30.700 --> 00:34:32.300]   Yeah.
[00:34:32.300 --> 00:34:35.900]   Well, hey, look I had if this helps I had none of that growing
[00:34:35.900 --> 00:34:36.200]   up.
[00:34:36.200 --> 00:34:39.600]   I think we had a lot of kids and it was busy and we had good
[00:34:39.600 --> 00:34:42.200]   structure and we had good routine and good role models and our
[00:34:42.200 --> 00:34:46.500]   parents but like I we were we were never at least I wasn't
[00:34:46.500 --> 00:34:49.900]   there was never this thing of this particular activity you're
[00:34:49.900 --> 00:34:50.500]   doing.
[00:34:50.500 --> 00:34:53.300]   Why can't we be doing this at a higher level?
[00:34:54.200 --> 00:34:55.900]   You know and it and it worked out.
[00:34:55.900 --> 00:34:56.500]   Okay for me.
[00:34:56.500 --> 00:35:00.200]   But everyone is going to have to look into their toolbox of how
[00:35:00.200 --> 00:35:02.500]   do I build my life at some point and I'm just just my theory
[00:35:02.500 --> 00:35:05.000]   make sure the right tools are in there and don't be frustrated
[00:35:05.000 --> 00:35:07.700]   that they're not ready to open the box at 15 and 16 some kids
[00:35:07.700 --> 00:35:09.800]   are but some kids aren't.
[00:35:09.800 --> 00:35:10.900]   All right.
[00:35:10.900 --> 00:35:11.700]   What do we have next Jesse?
[00:35:11.700 --> 00:35:13.100]   All right.
[00:35:13.100 --> 00:35:15.100]   Next question is from Max.
[00:35:15.100 --> 00:35:19.900]   He's a 40 year old marketer from London and he says I've been
[00:35:19.900 --> 00:35:22.300]   asked to start writing regular articles for my company.
[00:35:22.800 --> 00:35:24.400]   I'm struggling with this assignment.
[00:35:24.400 --> 00:35:28.100]   I cannot find my voice when I write I come across as very
[00:35:28.100 --> 00:35:29.600]   rigid and contrived.
[00:35:29.600 --> 00:35:31.200]   How do you write your articles?
[00:35:31.200 --> 00:35:33.500]   That's a good question.
[00:35:33.500 --> 00:35:38.100]   How do you actually craft an article?
[00:35:38.100 --> 00:35:42.000]   It seems like it's a easy thing.
[00:35:42.000 --> 00:35:43.200]   They're not that long.
[00:35:43.200 --> 00:35:47.000]   It's not a book but more than a few people like you Max have
[00:35:47.000 --> 00:35:49.900]   faced the reality when it comes time to write what needs to be
[00:35:49.900 --> 00:35:52.700]   a smart good article in this case representing your company
[00:35:53.000 --> 00:35:54.100]   that it's hard to do.
[00:35:54.100 --> 00:35:55.200]   You don't know where to start.
[00:35:55.200 --> 00:35:57.100]   So, you know, I have some tips to share.
[00:35:57.100 --> 00:36:02.200]   Let me let me just start with the preface of I have been writing
[00:36:02.200 --> 00:36:06.500]   professionally, you know for over two decades and it's all I
[00:36:06.500 --> 00:36:06.700]   do.
[00:36:06.700 --> 00:36:08.600]   All I do is write I write every single day.
[00:36:08.600 --> 00:36:10.600]   My key I showed you on the show last week.
[00:36:10.600 --> 00:36:13.500]   My keyboard is completely worn away after just a couple years
[00:36:13.500 --> 00:36:16.200]   of use because of how much I write I write academic articles.
[00:36:16.200 --> 00:36:18.800]   I write public consumption magazine articles.
[00:36:18.800 --> 00:36:19.500]   I write books.
[00:36:19.500 --> 00:36:22.000]   I write essays every week for my own newsletter.
[00:36:22.700 --> 00:36:25.100]   And so I've been working at this for a really long time.
[00:36:25.100 --> 00:36:28.800]   So I only say that just as a preface that don't don't let's
[00:36:28.800 --> 00:36:32.500]   say read one of my recent articles and say why doesn't my
[00:36:32.500 --> 00:36:34.000]   stuff just sound like this?
[00:36:34.000 --> 00:36:35.000]   What's wrong?
[00:36:35.000 --> 00:36:38.900]   There's 20 years of work that goes behind that.
[00:36:38.900 --> 00:36:41.500]   So it's a it's a process you get better and better with work.
[00:36:41.500 --> 00:36:44.400]   So I'm going to start there so that you're not and forget.
[00:36:44.400 --> 00:36:46.200]   Okay, maybe don't use me as an example.
[00:36:46.200 --> 00:36:49.200]   I don't want you reading, you know, John McPhee and saying
[00:36:49.200 --> 00:36:50.300]   why don't I sound like that?
[00:36:50.300 --> 00:36:52.300]   He spent a lifetime honing that ability.
[00:36:52.300 --> 00:36:55.300]   I do have some specific advice that I wrote down a few things
[00:36:55.300 --> 00:37:02.200]   here about article writing one spend more time thinking
[00:37:02.200 --> 00:37:05.800]   through your idea your thesis before you write preferably
[00:37:05.800 --> 00:37:07.100]   do this on foot.
[00:37:07.100 --> 00:37:11.000]   I think interesting articles good writers spend a lot more
[00:37:11.000 --> 00:37:13.600]   time thinking about the point they want to make and the pieces
[00:37:13.600 --> 00:37:14.500]   that go into that point.
[00:37:14.500 --> 00:37:17.300]   They spend a lot more time thinking about that than you might
[00:37:17.300 --> 00:37:19.900]   realize. I think amateur writers get started too quickly.
[00:37:20.900 --> 00:37:23.900]   And especially for an idea article, you're not going to figure
[00:37:23.900 --> 00:37:24.700]   out on the page.
[00:37:24.700 --> 00:37:27.000]   There might be passages you figure out on the page.
[00:37:27.000 --> 00:37:29.200]   Like let me just go for this and then see if it's working
[00:37:29.200 --> 00:37:32.000]   or not, but you're not going to figure out here is my big
[00:37:32.000 --> 00:37:34.500]   point or the thesis and the four things to support it that
[00:37:34.500 --> 00:37:37.700]   has to be done on foot and it can take a long time to get
[00:37:37.700 --> 00:37:40.100]   there. You could try and not like what you have and you have
[00:37:40.100 --> 00:37:41.800]   to keep thinking before you start writing.
[00:37:41.800 --> 00:37:45.500]   All right number two for this style of article you'll be
[00:37:45.500 --> 00:37:48.100]   writing and I can see from your elaboration.
[00:37:48.100 --> 00:37:54.000]   It's it's like a philosophical angle on ideas related to
[00:37:54.000 --> 00:37:55.800]   the products your company builds.
[00:37:55.800 --> 00:37:59.700]   So for that type of philosophical idea type article start
[00:37:59.700 --> 00:38:01.200]   with a standard structure at first.
[00:38:01.200 --> 00:38:05.600]   I think it's a good good way to enter into professional
[00:38:05.600 --> 00:38:06.400]   article writing.
[00:38:06.400 --> 00:38:08.700]   So there's a you know, one of the standard structure is going
[00:38:08.700 --> 00:38:12.800]   to be you know, you open on a illustrative example that leads
[00:38:12.800 --> 00:38:13.900]   to the nut graphs.
[00:38:13.900 --> 00:38:17.500]   This is where you're actually explaining here is the idea.
