
[00:00:00.000 --> 00:00:04.120]   All the people who sold the war in Iraq, they lied us into war after a war.
[00:44:37.600 --> 00:44:38.920]   But what are the options?
[00:44:38.920 --> 00:44:51.420]   So if he doesn't allow the money in, it also looks really bad for him because if he's not allowing the money in, that means he's not allowing the quote unquote aid in to help the Palestinians.
[00:44:51.420 --> 00:45:02.840]   Yeah, but Lex, I mean, the dynamic here, right, is from 2007 to today, Israel's had a full blockade around the country.
[00:45:02.840 --> 00:45:13.320]   they won't let potatoes and they won't let sugar and they won't, they, they, they, the, and the, the justification is because they're dual use.
[00:45:13.320 --> 00:45:21.000]   You know, they, they can be used to make rockets as well as they can be used to, you know, feed starving children.
[00:45:21.580 --> 00:45:31.820]   So we can't let that in because it's dual use, but cash to Hamas, does that not have dual usage?
[00:45:31.820 --> 00:45:39.500]   Like, is there, is there nothing else that they can, so yeah, it's like, yes, when you have a full blockade around the country, you take on certain responsibilities.
[00:45:39.500 --> 00:45:48.620]   And I think this is, you know, this is the, the essence of really the, the whole struggle here, which is very tough, I think, for the pro Israel side to grapple with.
[00:45:48.620 --> 00:45:59.020]   But the bottom line is that Israel hasn't occupied Palestine for like a few months after a war or even a couple of years after a war while they're figuring out what we're going to do with them.
[00:45:59.020 --> 00:46:00.560]   It's been over 60 years.
[00:46:00.560 --> 00:46:06.960]   We're talking about a one week long war or a day short of a week long war in 1967.
[00:46:07.600 --> 00:46:18.420]   Israel's had control of them ever since, and much like in the same way that like, if you kidnap someone and you lock them in your basement and you don't feed them, you murdered that person.
[00:46:18.420 --> 00:46:25.240]   So in other words, uh, um, stated differently, you're not allowed to kidnap people and lock them in your basement.
[00:46:25.240 --> 00:46:30.000]   But once you do, you take on a responsibility to feed those people.
[00:46:30.000 --> 00:46:30.680]   You know what I mean?
[00:46:30.680 --> 00:46:33.320]   Like you can't, you're not allowed to keep someone and not feed them.
[00:46:33.320 --> 00:46:35.860]   That is a worse charge than just keeping them.
[00:46:35.980 --> 00:46:41.380]   And so, yeah, anyway, I guess my point is the solution to that.
[00:46:41.380 --> 00:46:43.420]   If, if you go like, well, I'm a bad guy.
[00:46:43.420 --> 00:46:44.940]   If I fund Tomas, I'm a bad guy.
[00:46:44.940 --> 00:46:52.280]   If I don't let the aid in was to let the reputable international aid organizations bring aid in to the people of Gaza.
[00:46:52.280 --> 00:46:58.360]   Don't have, uh, don't, don't pressure the Qataris to send in briefcases full of cash.
[00:46:58.860 --> 00:47:07.940]   How internationally recognized reputable human rights organizations who are lining up, trying to do it, stop turning them away and let them in.
[00:47:07.940 --> 00:47:11.500]   And, and, and, and this is just, it's so long past due.
[00:47:11.500 --> 00:47:16.520]   I mean, like, it's, it's just, well, I'm not like defending, uh, Arab terrorism.
[00:47:16.520 --> 00:47:22.040]   It's a, I think it's really, it's, it's a tragedy that the Arabs embraced terrorism.
[00:47:22.040 --> 00:47:24.480]   Uh, I don't think it's unique to them.
[00:47:24.540 --> 00:47:32.500]   And in fact, you know, I think it was the, um, the Zionist militias who introduced terrorism to that part of the world.
[00:47:32.500 --> 00:47:37.360]   But there was also like there look, terrorism persists because it works.
[00:47:37.360 --> 00:47:40.660]   And this is true with state terrorism and with non-state terrorism.
[00:47:40.660 --> 00:47:44.420]   You know, it's like there, the terrorism has often worked for people.
[00:47:44.420 --> 00:47:58.860]   The, I think the thing like early, I think early Yasser Arafat, I know was very influenced by, um, the Algerians who, you know, successfully kicked the French out at embracing terrorism.
[00:47:59.240 --> 00:48:24.160]   And it was almost like the major miscalculation of the, the, those Palestinian Arabs who did embrace terrorism was that this isn't the French, this isn't the French hanging out in some colony with their home country back home, where maybe a few acts of violence could work enough to, you know, your, the liberal population back home is like, oh, I really didn't like the response to that terrorism.
[00:48:24.160 --> 00:48:25.060]   We killed so many people.
[00:48:25.060 --> 00:48:25.840]   Forget it.
[00:48:25.840 --> 00:48:26.800]   This is too much of a headache.
[00:48:26.800 --> 00:48:27.720]   Let's get out of here.
[00:48:28.200 --> 00:48:30.060]   The Zionist settlers were there to stay.
[00:48:30.060 --> 00:48:31.560]   They weren't going anywhere.
[00:48:31.560 --> 00:48:33.880]   They weren't going back to Eastern Europe.
[00:48:33.880 --> 00:48:34.600]   You know what I mean?
[00:48:34.600 --> 00:48:35.760]   They weren't, they were just that.
[00:48:35.760 --> 00:48:57.320]   And so it's a tragedy that this whole thing went the way it did, but you always, whenever you're talking about like a conflict like this, the person who has the, or the party who has the power is the one who needs to make concessions, you know, and the, it's just indefensible that the status quo.
[00:48:57.320 --> 00:49:02.780]   You know, it's just indefensible.
[00:49:02.780 --> 00:49:03.320]   It's just indefensible.
[00:49:03.320 --> 00:49:08.240]   And then in the context that that has been the status quo, I guess I'm just not.
[00:49:08.240 --> 00:49:17.700]   And then in the context that that has been the status quo, I guess I'm just not, even though I'm against it.
[00:49:17.700 --> 00:49:31.840]   And then in the context that that has been the status quo, I guess I'm just not, even though I'm against it.
[00:49:31.840 --> 00:49:39.580]   It's kind of like when you're just lecturing about the way in which they resist this.
[00:49:40.300 --> 00:49:45.360]   I think it's very tough to be on a strong moral footing, you know?
[00:49:45.760 --> 00:49:51.640]   Yeah, you have to, you have to really empathize with decades of suffering in the region.
[00:49:51.640 --> 00:49:58.660]   I suppose my question was grounded in how can the Israeli government, how can the world help the Palestinian people flourish?
[00:50:00.400 --> 00:50:07.640]   So you suggested allowing reputable aid organizations in.
[00:50:07.860 --> 00:50:12.420]   But, you know, that's kind of almost patching.
[00:50:12.420 --> 00:50:13.520]   Yeah.
[00:50:13.520 --> 00:50:15.440]   Just helping humans who are suffering.
[00:50:15.860 --> 00:50:19.620]   But that's not how you have a nation flourish.
[00:50:19.620 --> 00:50:21.340]   You have to build up the infrastructure.
[00:50:21.340 --> 00:50:30.640]   You have to build up a culture of the education system, the, you know, democratic processes of electing and regular elections.
[00:50:30.640 --> 00:50:40.060]   And so that the people are represented and you have to have foreign partnerships, friendships, normalization of relations with the Arab world, with Israel.
[00:50:40.240 --> 00:50:53.560]   You can travel back and forth and lessen the chokehold, like the security chokehold, you know, that you could say is justified in a militaristic situation.
[00:50:53.560 --> 00:50:56.780]   But why is it a military situation?
[00:50:56.780 --> 00:51:01.320]   The question is, they're like, where do we go from here?
[00:51:01.320 --> 00:51:04.580]   If we, you know, we'll talk about Netanyahu some more.
[00:51:04.580 --> 00:51:09.900]   He is, you know, he's very criticized inside Israel as well.
[00:51:09.900 --> 00:51:11.100]   Yeah, for sure.
[00:51:11.100 --> 00:51:26.580]   Maybe less so after October 7th, because, you know, again, in the same way you can empathize with the Palestinian people, you can empathize with Israelis where October 7th touched just like it is for Americans with 9-11.
[00:51:26.580 --> 00:51:31.400]   It touched some kind of primal thing of fear of like, holy shit.
[00:51:31.400 --> 00:51:31.620]   Oh, yeah.
[00:51:31.620 --> 00:51:46.020]   And like the same thing I said before, like I could also very easily go if my, if one of my kids was like at that rave or something like that and just got gunned down or kidnapped by it, I could understand being like level the whole goddamn place.
[00:51:46.020 --> 00:51:48.960]   And I'm sure I would feel that way if that was one of my kids, you know?
[00:51:48.960 --> 00:51:51.860]   Um, so yeah, no, that's, that's exactly right.
[00:51:51.860 --> 00:52:01.960]   I mean, there's lots of examples in the world of, uh, you know, like France and Germany are right next to each other and Ireland and England are right next to each other.
[00:52:01.960 --> 00:52:04.340]   And they're just totally living in harmony right now.
[00:52:04.340 --> 00:52:10.460]   Like there is just no, the thought of them going to war is like inconceivable right now.
[00:52:10.460 --> 00:52:14.460]   Not saying it could never happen in the future, but it seemed, it seems pretty hard to imagine.
[00:52:14.460 --> 00:52:20.580]   And that being the case would have been very hard to imagine for a very long time.
[00:52:20.580 --> 00:52:31.940]   You know, like there, I mean, there's some serious levels of brutality between those two societies and even more directly involved, uh, you know, Egypt and Israel went to war.
[00:52:31.940 --> 00:52:41.800]   Four times in, in a couple decades, they went to war and then in the late seventies, they made a land for peace deal and they haven't been to war since, you know?
[00:52:41.800 --> 00:52:51.560]   And like, I do at least try to hold out that, like, that is pot, you know, it's not like Egypt is, you're not going to say they don't have a, an issue with radical Islam in Egypt.
[00:52:51.560 --> 00:52:52.380]   You know what I mean?
[00:52:52.380 --> 00:52:53.900]   Like there's, that's not the answer.
[00:52:53.900 --> 00:52:56.120]   It's just that they made a land for peace deal.
[00:52:56.260 --> 00:53:02.580]   And once there wasn't, you know, once that wasn't the, that was solved, it was kind of easier to avoid the war.
[00:53:02.580 --> 00:53:17.480]   And I do like to think that there, there could be a solution to the, the Israel Palestine question, but the, it's going to have to, it's going to have to involve Israel taking their boot off of the Palestinians neck.
[00:53:17.480 --> 00:53:19.200]   And I know that that's scary.
[00:53:19.200 --> 00:53:22.320]   And I understand that there are like legitimate concerns about that.
[00:53:22.320 --> 00:53:36.700]   There's, um, it was a great, uh, Thomas Jefferson quote about slavery, which was, um, we, we have the wolf by the tail and we can neither afford to hold onto him nor risk letting them go.
[00:53:37.380 --> 00:53:51.740]   Um, which is like, you could see where that would have been like a real concern of people like right toward the end of slavery or, or, you know, whatever in the early 1800s or the first half of the 19th century, where you'd be like, okay, okay, okay.
[00:53:51.740 --> 00:53:57.960]   We recognize this is wrong now, but we've had these millions of people enslaved for all these years.
[00:53:58.120 --> 00:54:00.220]   If we let them go, they're going to fucking kill us.
[00:54:00.220 --> 00:54:01.060]   And what are you saying?
[00:54:01.060 --> 00:54:09.040]   They're citizens now, meaning the second amendment applies to them, meaning that the guy who I enslaved now can get a gun, you know what?
[00:54:09.040 --> 00:54:13.220]   And, and so, okay, there are the, but I think in hindsight, looking back at it, we would all just go.
[00:54:13.220 --> 00:54:16.680]   Yeah, but you can't enslave people.
[00:54:16.680 --> 00:54:26.620]   So like whatever risks come with the next phase of this, unfortunately, you know, like you're going to have to just deal with that and, and move.
[00:54:26.620 --> 00:54:29.040]   You have to start with abolishing slavery.
[00:54:29.040 --> 00:54:35.800]   And it is good to also remember in the hopeful message you send, like at any day you can make a deal.
[00:54:35.800 --> 00:54:40.200]   That's one of the frustrating things I had with the, I hosted a debate on Israel.
[00:54:40.200 --> 00:54:41.980]   It just felt hopeless.
[00:54:41.980 --> 00:54:49.980]   And a lot of people I talked to, it feels hopeless, but like I have a lot of, I, I maybe naively see a lot of possibilities of peace there.
[00:54:49.980 --> 00:54:56.360]   I see, for example, normalization of relations with Saudi Arabia and Israel, and then Saudi Arabia taking some ownership over Gaza.
[00:54:56.780 --> 00:54:57.720]   Something like that.
[00:54:57.720 --> 00:55:07.800]   Some interesting, uh, where a big major player in that region takes ownership and steps as the middleman.
[00:55:07.800 --> 00:55:08.320]   Yeah.
[00:55:08.320 --> 00:55:11.240]   I like, I, I agree with you and you're 100% right that.
[00:55:11.240 --> 00:55:17.680]   And even before October 7th, I think many steps had been taken away from, you know, the peace process and the feeling of that.
[00:55:17.740 --> 00:55:25.280]   I mean, really, I think since the second intifada, uh, is when like the, the appetite for peace, I think in Israel was greatly diminished.
[00:55:25.280 --> 00:55:29.440]   Um, there, but to your point, I mean.
[00:55:31.200 --> 00:55:37.860]   It's going to take really painful concessions on all sides in, in order to get there.
[00:55:37.860 --> 00:55:47.500]   Um, and I think that the, the personally, I think, and I don't know if I say this for the, not necessarily like the Arab world.
[00:55:48.000 --> 00:55:55.540]   Um, but at least the nation states, like their, their governments, I think are, are pretty much there.
[00:55:55.540 --> 00:56:00.660]   Like, like Saudi Arabia and UAE and Jordan and Egypt.
[00:56:00.760 --> 00:56:06.680]   Like if the Israelis, they're almost like, look, these are American sock puppets, you know, for the most part.
[00:56:06.680 --> 00:56:07.000]   Right.
[00:56:07.000 --> 00:56:17.580]   And so their, their thing is that like, okay, 100% of my population is completely opposed to what Israel is doing to Palestine right now.
[00:56:17.580 --> 00:56:26.540]   And they just hate that Israel, that the nation was created at all, that all the, the Arabs were kicked out of what is, you know, very important land to them religiously.
[00:56:26.840 --> 00:56:34.440]   And, um, and so the governments there are like, look, we want to continue to have U S tax dollars flooding in here.
[00:56:34.440 --> 00:56:39.260]   We'd love to make a deal with Israel, but like, you gotta stop doing this to the Palestinians.
[00:56:39.260 --> 00:56:42.960]   So my own people don't up, you know, rise up against me.
[00:56:42.960 --> 00:56:46.840]   So I think as long as the Israelis were like, fine, we'll do a two state solution or something like that.
[00:56:46.840 --> 00:56:49.640]   I think Saudi Arabia couldn't wait to broker.
[00:56:49.640 --> 00:56:53.020]   In fact, they proposed a two state solution just a few years ago.
[00:56:53.020 --> 00:57:00.360]   I mean, they're, they would love to be a part of that and normalize relations, um, amongst the Palestinians.
[00:57:00.360 --> 00:57:07.180]   Like, which again, I think this, I think this had been accepted multiple times, at least by their leadership.
[00:57:07.180 --> 00:57:09.120]   It's like, yeah, you're going to have to accept that.
[00:57:09.120 --> 00:57:13.340]   Like you lost in 48, you know, you're going to have to accept that you lost in 47.
[00:57:13.340 --> 00:57:15.900]   You're going to have to accept that the state of Israel does exist.
[00:57:15.900 --> 00:57:23.420]   And you're going to have to accept that like the right of return is not going to literally mean that everybody can go back to where they were.
[00:57:23.420 --> 00:57:37.600]   And what Israel is going to have to concede is that it was awfully fucked up that they kicked a lot of people out of their land and that the whole, um, a land for people for a people without land was never true.
[00:57:37.600 --> 00:57:41.840]   That was just a slogan that made, that felt good to avoid what you guys actually did.
[00:57:41.840 --> 00:57:46.440]   And the fact that you, it was inexcusable that you guys occupied these people for 60 years.
[00:57:46.440 --> 00:57:48.020]   And that has to end immediately.
[00:57:48.020 --> 00:57:51.600]   I interviewed Douglas Murray recently.
[00:57:51.600 --> 00:57:56.520]   He just wrote a book on Israel and Hamas called on democracies and death cults.
[00:57:56.760 --> 00:58:18.760]   He makes what I think is a strong pro-Israel case focusing on Hamas as a, an evil organization, you know, evil for its corrupt leadership, who's essentially stealing money, uh, from the Palestinian people and allocating the money that is there towards terrorist militaristic operations versus like building up, um, Gaza.
[00:58:19.520 --> 00:58:41.460]   Uh, can you steal man the case for, and then against this perspective sort of centering, we've been talking about the people about, uh, centering around Hamas, which is like this extremist religious organization, uh, the perspective being like they need to be, as you mentioned before, eliminated before any progress can be made.
[00:58:41.460 --> 00:58:42.660]   Um, okay.
[00:58:42.660 --> 00:58:51.460]   So if I were, so steel man, Douglas Murray's case, um, I would say, well, I guess the case is right.
[00:58:51.460 --> 00:59:00.980]   Look, Hamas is a fanatical death cult essentially, which I do think is a fair, uh, description of them.
[00:59:00.980 --> 00:59:12.500]   There is no question that they have pursued, they have, they have pursued a path that was just devastating to their own people.
[00:59:12.500 --> 00:59:14.560]   Um, and there's no question.
[00:59:14.560 --> 00:59:20.640]   They have not spent the resources they have on their priority has not been uplifting their own people.
[00:59:20.640 --> 00:59:30.340]   Their priority has been, I think, essentially antagonizing Israel into this overreaction so that they can turn world opinion against Israel.
[00:59:30.340 --> 00:59:32.540]   I think they've been very effective at doing that.
[00:59:32.540 --> 00:59:41.920]   Um, and, and okay, again, I think the argument would come back to something like, and the people kind of voted for this in 2005 and the people sure do.
[00:59:41.920 --> 00:59:46.880]   We sure do see a lot of people cheering when Hamas is doing some pretty horrific stuff.
[00:59:46.880 --> 00:59:56.640]   And so, Hey, you got that on one side and you have a kind of, uh, a country that's much more similar to Western societies on the other side.
[00:59:56.640 --> 01:00:03.980]   If we can just like linger on that steel man, what do you, what do you make of the celebrations in, in, uh, Gaza after October 7th?
[01:00:03.980 --> 01:00:07.240]   I think it's sickening and incredibly disturbing.
[01:00:07.240 --> 01:00:19.920]   Um, I just, I guess the way I look at it, I always, uh, and maybe there is a degree of like naivete to this, or perhaps it's just that I just don't want to allow myself to go down.
[01:00:19.920 --> 01:00:33.260]   A certain path because I think it leads to such dark outcomes, but I just always, uh, I always try to be kind of like against the government for the people against the powerful sympathetic to the powerless.
[01:00:33.260 --> 01:00:44.020]   Um, I think that look, it's, it's sickening when you see big crowds cheering on, you know, people who have been, you know, that with these people who have been in captivity for, for, uh, I think.
[01:00:44.020 --> 01:00:57.940]   Uh, some of them for over a year and a half, um, I also thought when Nikki Haley and other Israeli politicians are signing the bombs before they're launched into Gaza, I found that sickening.
[01:00:57.940 --> 01:01:03.360]   Um, I think there's all types, I think like mission accomplished banners and flying on jet.
[01:01:03.360 --> 01:01:09.260]   I mean, I think all of the, I think having Bob hope specials at the end of the Persian Gulf war was sickening.
[01:01:09.300 --> 01:01:12.040]   I just think all of it is like horrific.
[01:01:12.040 --> 01:01:28.820]   Um, I just, I look at it and I try to say to myself, okay, we had one nine 11 in this country and we all like collectively, we lost our minds as a society, you know, um, we were ready to go bomb whoever the hell our politicians told us to bomb.
[01:01:28.820 --> 01:01:30.480]   And we didn't care how many people it killed.
[01:01:30.480 --> 01:01:36.400]   And we killed a lot more than, than a lot more than Israel or Hamas has killed doing it.
[01:01:36.860 --> 01:01:47.900]   Um, and I try to, I try to think to myself, okay, imagine being trapped in what is, you know, people can call it whatever they want to.
[01:01:47.900 --> 01:01:57.960]   I do think Pat Buchanan and these guys were right to call it a concentration camp, but you're trapped in a five mile by 25 mile area where you cannot leave.
[01:01:58.380 --> 01:02:04.320]   You are stuck there, you don't have an airport because the Israelis bombed at, you don't have a seaport because they won't allow you.
[01:02:04.320 --> 01:02:12.660]   You have no access to trade with the outside world and you're not suffering through a nine 11 you're suffering through a thousand nine 11's.
[01:02:12.760 --> 01:02:19.660]   Your whole life is the people, the, the people in Gaza are, their entire life has been being refugees.
[01:02:19.660 --> 01:02:20.340]   You know what I mean?
[01:02:20.340 --> 01:02:25.160]   Their entire life, there there's generations of people have been in this status now.
[01:02:25.160 --> 01:02:31.880]   And so, you know, if my society lost its mind after one nine 11, I just have a tough time.
[01:02:31.880 --> 01:02:36.780]   Like judging the people who, who came up in this environment, but there's no question.
[01:02:36.780 --> 01:02:53.740]   It is, I mean, it's, you know, profoundly disturbing, but I wonder how much of the indoctrination is really made, uh, the software of their mind permanently anti peace.
[01:02:53.740 --> 01:02:54.860]   Yeah.
[01:02:54.860 --> 01:03:03.900]   Like extremify them and that, you know, it doesn't justify anything, but it's more, uh, concerning for the prospects of peace.
[01:03:03.900 --> 01:03:28.140]   Well, I'd say I get your point, I get, it's an interesting question that I don't, I don't know if any of us know exactly the answer to, but I would say that like, um, you know, even after was 80 years of the Soviet union, you know, it's like, and there, there were real debates back then about like the new communist man and whether the minds had been so warped of people that they would never even want.
[01:03:28.140 --> 01:03:33.700]   They would never even care about these things like liberty or national identity or independence.
[01:03:33.700 --> 01:03:36.180]   And, and then yet at the end, it was all still there.
[01:03:36.180 --> 01:03:42.300]   You know, it was, it was very repressed and it went underground and people weren't allowed to talk about it, but they all still had it.
[01:03:42.300 --> 01:03:49.380]   Um, and in fact, I was just listening the other day to this Murray Rothbard, uh, speech from like the early nineties.
[01:03:49.380 --> 01:04:00.620]   And he was talking about how there was something where there was like a, like a, a camera crew interviewed, like a Chinese family under, uh, um, like a real deal Chinese communism.
[01:04:01.180 --> 01:04:08.380]   Um, I believe it was before Mao Zedong died and they were like, uh, they were just saying all these cr this crazy shit to the camera.
[01:04:08.380 --> 01:04:17.380]   Like they were like, would you rather, you know, your, your sons are like healthy and live good lives or would you rather they suffer, but be loyal obedience to the state?
[01:04:17.380 --> 01:04:20.620]   And they were like, we would rather they be obedient to the state and blah, blah, blah, and all these things.
[01:04:20.620 --> 01:04:28.060]   And the Murray Rothbard was saying he saw this interview and he, uh, he, he was talking to his friend and he was like, oh my God, this is horrible.
[01:04:28.060 --> 01:04:28.860]   Like it's hopeless.
[01:04:28.860 --> 01:04:30.380]   These people's minds have been warped.
[01:04:30.380 --> 01:04:33.820]   And then he was talking to his friend who's like a China expert who had been there a lot.
[01:04:33.820 --> 01:04:35.020]   And he was like, no, they're not.
[01:04:35.020 --> 01:04:38.460]   That's what they say when the cameras are around soon as the cameras go like that.
[01:04:38.460 --> 01:04:48.300]   So anyway, I'm just making the point there that like there, there is like, look, even in the situation with Israel and Gaza, specifically Gaza, not even the West Bank.
[01:04:48.300 --> 01:05:03.900]   Um, when you could look at it, when the peace talks were going on support for Hamas plummeted, when the peace talks fell apart, support for Hamas went way back up, you know, and every time there's an aggressive military campaign support for Hamas goes back up.
[01:05:03.900 --> 01:05:15.260]   So I just think that like, I'm more hopeful than not that, like, you could get to a place where like, but it, it requires like you have to like, if you do understand.
[01:05:16.060 --> 01:05:30.660]   The Ron Paul point about blowback, the general McChrystal point about insurgent math that you just realize that it's like, you're, you're like, you're, you're fighting in a way that produces more of the thing that you're fighting.
[01:05:30.660 --> 01:05:33.540]   And so the first step is to stop doing that.
[01:05:33.540 --> 01:05:36.900]   Like your, your cure is making the patient more sick.
[01:05:36.900 --> 01:05:38.460]   So stop doing that.
[01:05:38.460 --> 01:05:40.660]   And then let's see if maybe we could heal.
[01:05:40.660 --> 01:05:49.940]   Now, what about the case against the, the, the Douglas Murray case of the death cults and that a fundamental part of this process, Hamas needs to be eliminated?
[01:05:49.940 --> 01:05:56.580]   Well, I mean, first of all, I would just say that, and I'm not, I'm not saying this as a fan of democracy.
[01:05:56.580 --> 01:06:00.100]   Um, I'm not like a big believer in democracy.
[01:06:00.100 --> 01:06:08.220]   I believe in Liberty and I think, uh, democracy is often, um, uh, not in line with Liberty.
[01:06:08.220 --> 01:06:10.380]   The Chinese government paid you to say that as well.
[01:06:10.380 --> 01:06:13.340]   They, that was, that's literally all I had to get out.
[01:06:13.340 --> 01:06:17.020]   I get to say that what I want the rest of the podcast, but there's just that I had that.
[01:06:17.020 --> 01:06:18.060]   No, I'm well, I don't.
[01:06:18.060 --> 01:06:22.300]   Well, no, I mean, my beef with the Chinese government would not be that they don't hold regular elections.
[01:06:22.300 --> 01:06:28.660]   My beef with them would be that they silence speech, that they, that they put people in camps and things like that, the surveillance, that stuff.
[01:06:28.660 --> 01:06:38.140]   Um, I think, look, when you call Israel a democracy, which I guess is right in the title of his book.
[01:06:38.140 --> 01:06:44.780]   Um, and I, you know, full disclosure, I haven't read the book, but I have, I have listened to some of his thoughts on this stuff.
[01:06:44.780 --> 01:06:59.420]   I think you've run up against a real problem, which is that the creation of the state of Israel, even though he tried to walk away from those comments as Norm Finkelstein called out Benny Morris, uh, for writing in his book, 1948, which is a great book.
[01:06:59.420 --> 01:07:04.580]   His words were the Zionist project always knew it was going to involve transfer.
[01:07:04.580 --> 01:07:06.740]   That was Benny Morris's words.
[01:07:06.740 --> 01:07:12.920]   Now, when, when Finkelstein was grilling him on this, on your podcast, he kind of said like, yeah, but that doesn't mean ethnic cleansing.
[01:07:12.920 --> 01:07:15.320]   That could be voluntary transfer that, you know what I mean?
[01:07:15.320 --> 01:07:20.520]   Like, but the point is the Zionist settlers and they all, they spoke about this openly.
[01:07:20.520 --> 01:07:37.720]   They all knew they had a major problem, which is like, well, you can't create a Jewish state if it's like 50, 50, which is, and in all of Israel, it was much less than 50, 50, but even in like the, the Israeli portion of the partition recommendation, it was very close to 50, 50.
[01:07:37.720 --> 01:07:45.580]   Now you can't really have a Jewish state with a 50, 50 voter base because now you're just kind of in a breeding war for the next generation.
[01:07:45.580 --> 01:07:58.840]   And, or, you know, like, or like who, who turns out the vote any more than we could hope it would be the prospect right now of making America in official Republican state or an official Democrat state.
[01:07:58.840 --> 01:08:00.580]   Well, how are you going to do that, man?
[01:08:00.580 --> 01:08:02.300]   It's like 50, 50 between the two.
[01:08:02.300 --> 01:08:14.920]   And so I think what Benny Morris was saying was that they always knew some of these Arabs are going to have to get moved out of here so that we could have more of something, which ultimately where they got to like an 80, 20, which is pretty much what Israel's maintained.
[01:08:15.240 --> 01:08:21.840]   Uh, the whole time now, Benny Morris could quarrel about whether that necessarily meant voluntary, but when it happened, it wasn't voluntary.
[01:08:21.840 --> 01:08:22.280]   Okay.
[01:08:22.280 --> 01:08:31.640]   So like when it actually happened in effect, it involved a massive amount, something somewhere between 700 and 800,000 Arabs being forcefully evicted out of this area.
[01:08:31.900 --> 01:08:36.220]   Now that's one thing, you know, a lot of nations are started on some things like that.
[01:08:36.220 --> 01:08:47.460]   I suppose if you just did that and then you were left with your 80, 20 split and you go, but we have elections from here on out, I guess you could claim it's a democracy still seems like kind of gaming the democratic system a little bit.
[01:08:47.460 --> 01:08:48.160]   You know what I mean?
[01:08:48.160 --> 01:08:57.060]   Like, like if I just, if I just deported 80% of Democrats and then say, look, Republicans win every election, you might be like, yeah, dude, but you didn't exactly get there democratically.
[01:08:57.060 --> 01:09:03.080]   You got there through force, but forget that I'll let that one go and just say, I'll call you a democracy.
[01:09:03.080 --> 01:09:19.980]   If you just kept being a democracy like that, moving forward, the real problem is the occupation that starts in 1967, because what look, when you've occupied an area since 1967, you can't even really call it an occupation anymore.
[01:09:19.980 --> 01:09:21.500]   It's an annexation.
[01:09:21.500 --> 01:09:27.040]   You know, you took these lands, you have control that you are what the definition of the government is.
[01:09:27.040 --> 01:09:31.820]   And you could call Hamas the government all you want to, but they're not the sovereigns.
[01:09:31.820 --> 01:09:33.740]   They're not the final decision makers.
[01:09:33.740 --> 01:09:35.520]   Israel's the final decision maker.
[01:09:35.520 --> 01:09:40.320]   Hamas does not meaningfully in any way decide the biggest questions about Gaza.
[01:09:40.320 --> 01:09:43.640]   I'm talking before this war, not, not even, you know, pre-October 7th.
[01:09:43.640 --> 01:09:55.380]   And so the problem Israel has in order to call themselves a democracy is that there's somewhere between five and six million people less now because they've killed a lot of them.
[01:09:55.380 --> 01:10:02.780]   But there's somewhere between five and six million people who live under Israeli control, who do not have voting rights.
[01:10:03.460 --> 01:10:11.700]   And I just, by any other, like reasonable, commonly held standard of democracy, we would not call that a democracy.
[01:10:11.700 --> 01:10:16.560]   I mean, like, I'm not, again, I'm not even saying this to try to be inflammatory or try to pick on the Israelis.
[01:10:16.560 --> 01:10:18.100]   There's things about Israeli society.
[01:10:18.100 --> 01:10:19.920]   I like, I don't hate the people there.
[01:10:19.920 --> 01:10:20.580]   I'm Jewish.
[01:10:20.580 --> 01:10:21.620]   I love Jewish people.
[01:10:21.740 --> 01:10:26.660]   But the fact is, that's not a democracy.
[01:10:26.660 --> 01:10:28.120]   That's an apartheid state.
[01:10:28.120 --> 01:10:31.400]   Like, and that's just, I'm not even trying to be inflammatory when I say this.
[01:10:31.400 --> 01:10:33.540]   It's just literally describing what's in front of you.
[01:10:33.540 --> 01:10:44.360]   If we in America right now said black people no longer get to vote and black people can only live in these few neighborhoods, we don't get to call ourselves a democracy anymore then.
[01:10:44.360 --> 01:10:47.640]   You know, and like, I'm not even coming at this from a pro-democracy point of view.
[01:10:47.640 --> 01:10:52.760]   I'm just saying, like, if your defense of them is like, well, we're a democracy, which seems to be the case so much.
[01:10:52.760 --> 01:10:54.520]   Well, no, you're really not.
[01:10:54.520 --> 01:10:55.960]   You're really not.
[01:10:55.960 --> 01:11:01.800]   As long as you got millions of people who have no say in their own government, like, then you're really not a democracy.
[01:11:01.800 --> 01:11:08.720]   And so, again, so you could frame it as democracy versus death cult was his language for Hamas.
[01:11:08.720 --> 01:11:17.620]   And it's like, all right, you know, it's a little bit difficult to accuse another group of being a death cult when the group you're supporting has killed.
[01:11:17.620 --> 01:11:19.320]   So many more people than them.
[01:11:19.320 --> 01:11:21.100]   Now, I'm not saying that's the only metric.
[01:11:21.100 --> 01:11:23.080]   Like, there's other things that are factors, too.
[01:11:23.080 --> 01:11:30.580]   But the fact is that, like, you have I mean, I don't know to look over the numbers for the whole history of the conflict.
[01:11:30.580 --> 01:11:41.900]   But the amount killed by the Israelis on the Palestinian side versus the amount killed by the Palestinians is 20 to 1 in Israel's faith, you know, killing more people, maybe more than that.
[01:11:41.900 --> 01:11:43.620]   I don't exactly, you know, I'd have to look at the numbers.
[01:11:43.620 --> 01:11:48.200]   But Israel's killed far, far, far more Palestinians than Palestinians have ever killed Israelis.
[01:11:48.200 --> 01:11:52.740]   And so it just it rings a little hollow to me to just call them a death cult.
