
[00:00:00.000 --> 00:00:13.000]   Carlos Esteban:
[00:23:29.260 --> 00:23:33.360]   Or you have a very small set, and commit yourself to looking at the losses.
[00:23:33.360 --> 00:23:36.920]   The problem is you don't commit to the losses, and you know that they're lossy.
[00:23:37.360 --> 00:23:45.840]   I think that's, like, a trap that we certainly fell into when we were first developing this concept about nine months ago, before they were called LLMs as a judge.
[00:23:45.840 --> 00:23:48.340]   We just were LLM graders, right?
[00:23:48.340 --> 00:23:50.820]   I would say that's, like, kind of the two biggest pitfalls.
[00:23:50.820 --> 00:23:51.920]   Yeah.
[00:23:51.920 --> 00:23:54.580]   Do we have time for more, or it's up to you?
[00:23:54.580 --> 00:23:56.000]   Yeah, we can do a couple more.
[00:23:56.000 --> 00:23:56.260]   Okay.
[00:23:56.260 --> 00:23:56.580]   Yeah.
[00:23:56.580 --> 00:23:57.620]   Yes.
[00:23:57.620 --> 00:24:02.560]   How do you isolate RAG versus generation?
[00:24:02.560 --> 00:24:07.180]   How do we isolate RAG versus generation is a very good question.
[00:24:07.180 --> 00:24:13.480]   Are you asking about, well, do you mean, like, in terms of how we evaluate it, how we evaluate changes?
[00:24:13.480 --> 00:24:15.060]   Yeah.
[00:24:15.060 --> 00:24:19.500]   So this has more to do with, like, what you're experimenting against.
[00:24:19.500 --> 00:24:33.180]   So, for instance, there are times where the index itself changes when you're doing an evaluation, and things like recent docs, particularly for retrieval, freshness of the index or the index at time of evaluation are exceptionally important.
[00:24:33.180 --> 00:24:41.560]   And can definitely change the downstream results, which can be unobservable and confusing to the rater or to anyone looking at the evaluation.
[00:24:41.820 --> 00:24:43.860]   So when is our next offsite?
[00:24:43.860 --> 00:24:48.720]   You know, maybe I did that before our Q3 offsite, and it's Q1 right now, right?
[00:24:48.720 --> 00:24:50.200]   So, like, the answer would change.
[00:24:50.200 --> 00:24:57.420]   One approach is to create a technology that freezes that index that's actually really expensive, because you don't know what elements of that index you want to freeze.
[00:24:57.420 --> 00:24:58.460]   You don't know what the query is.
[00:24:58.460 --> 00:24:59.340]   It's a lot of storage.
[00:24:59.860 --> 00:25:07.280]   What we have found is that we freeze the retrieval and take the retrieved results and operate on, like, did this retrieval actually retrieve the right thing?
[00:25:07.280 --> 00:25:15.300]   We operate on that as its own evaluation that has its own evaluation framework that has much more to do with, like, our vector databases and Elasticsearch setups.
[00:25:15.660 --> 00:25:23.440]   And then we have a retrieval that says, like, presume that this is what was retrieved, execute everything else, but, like, what was actually returned is frozen.
[00:25:23.440 --> 00:25:32.160]   And then the point in which the index, the point in which, like, the actual answer wasn't in that index and the eval can't be done, we just get rid of that sample.
[00:25:32.820 --> 00:25:37.260]   So, we either assume that retrieval worked or just do the re-retrieval.
[00:25:37.260 --> 00:25:40.800]   We don't really merge them very much for that exact reason.
[00:25:40.800 --> 00:25:41.420]   Yeah.
[00:25:41.420 --> 00:25:42.940]   Just one follow-up.
[00:25:42.940 --> 00:25:43.180]   Yeah.
[00:25:43.180 --> 00:25:50.480]   So, do you isolate the retrieval at the time of creating the building dataset?
[00:25:50.480 --> 00:25:51.260]   Yeah.
[00:25:51.260 --> 00:25:53.040]   Do we isolate retrieval at the time of creating?
[00:25:53.040 --> 00:25:56.580]   It kind of depends on what we're building and what we have, like, access to.
[00:25:56.580 --> 00:26:02.540]   The answer is, the majority of the time, we try really hard not to find what the index looks like at that period of time.
[00:26:02.540 --> 00:26:04.100]   That's very technically difficult.
[00:26:04.100 --> 00:26:05.640]   It brings up privacy questions.
[00:26:05.640 --> 00:26:09.160]   For instance, the permissions of that object could have changed.
[00:26:09.160 --> 00:26:11.420]   We try not to do that.
[00:26:11.420 --> 00:26:11.840]   Yeah.
[00:26:11.840 --> 00:26:22.780]   But we also get enough feedback where it doesn't become as frequent of a problem, again, because we're lucky in that we use Notion so much that we get a lot of natural, particularly for retrieval and natural use cases.
[00:26:22.780 --> 00:26:25.340]   Let's do maybe one more, two more?
[00:26:25.340 --> 00:26:25.540]   Yeah.
[00:26:25.540 --> 00:26:26.300]   One more.
[00:26:26.300 --> 00:26:27.920]   Let's do someone from the back.
[00:26:27.920 --> 00:26:28.920]   Yes.
[00:26:30.320 --> 00:26:36.980]   How many prompts do we have?
[00:26:36.980 --> 00:26:39.700]   I don't think this is private.
[00:26:39.700 --> 00:26:42.180]   Let me think about if it would be.
[00:26:42.180 --> 00:26:44.240]   We have over 100, like hundreds.
[00:26:46.500 --> 00:26:48.080]   How do we manage dependencies?
[00:26:48.080 --> 00:26:53.640]   I mean, some of them, well, we have our evals for them, and that helps a lot.
[00:26:53.640 --> 00:26:56.140]   A lot of them are different variations of things.
[00:26:56.140 --> 00:26:59.840]   For instance, like there's some model-specific variations on our prompts.
[00:27:01.620 --> 00:27:02.860]   We have a large team.
[00:27:02.860 --> 00:27:04.320]   It hasn't really come up.
[00:27:04.320 --> 00:27:14.320]   I think the only time that managing a large number of prompts has been a problem is when a particular model provider has an outage, and we need to switch traffic over to other model providers.
[00:27:14.320 --> 00:27:21.760]   It's not like all 4.0 mini traffic can just go to Sonnet 3.7 for a variety of reasons.
[00:27:21.920 --> 00:27:23.260]   Obviously, that works for a lot of it.
[00:27:23.260 --> 00:27:27.700]   It's like, okay, I'm willing to pay more for a small amount of time until OpenAI comes back up.
[00:27:27.700 --> 00:27:31.340]   But for some of them, like our database autofill, it's 12 times more expensive.
[00:27:31.520 --> 00:27:38.600]   We'd have like millions and millions of dollars of debt for that decision in that period of time, and we can't make that.
[00:27:38.600 --> 00:27:50.260]   And so I think it comes more to like ownership over prompts and making sure that a fallback mechanism is up to date so that whoever's on call, they can just say like, you know, 4.0 is down.
[00:27:50.260 --> 00:27:59.580]   And we can automatically, for the owner of that product or that prompt, they've already determined what to switch to instead in like a code-driven or config-based mechanism.
[00:27:59.580 --> 00:28:04.880]   I would say that's been the most laborious aspect is like getting everyone together and creating that system.
[00:28:04.880 --> 00:28:06.140]   I wish we did that from day one.
[00:28:06.140 --> 00:28:08.520]   We did it more recently.
[00:28:08.520 --> 00:28:11.160]   And that was kind of like a tribal of elders.
[00:28:11.160 --> 00:28:14.100]   Everyone that's ever written a prompt, please come and fill out this config.
[00:28:14.100 --> 00:28:16.600]   But otherwise, it hasn't been a problem yet.
[00:28:16.600 --> 00:28:18.700]   Yeah.
[00:28:18.700 --> 00:28:19.100]   Great.
[00:28:19.100 --> 00:28:19.700]   Thank you.
[00:28:19.960 --> 00:28:20.500]   Thank you, everyone.
[00:28:20.500 --> 00:28:21.200]   Thank you, Sarah Sachs.
[00:28:21.200 --> 00:28:30.060]   Yeah, Notion AI is my lifeline.
[00:28:30.060 --> 00:28:31.780]   It's great to search on there.
[00:28:31.780 --> 00:28:33.500]   It gives me all the answers I need.
[00:28:33.500 --> 00:28:36.280]   She did not endorse this.
[00:28:36.280 --> 00:28:39.000]   Okay, great.
[00:28:39.000 --> 00:28:41.040]   So we are the BrainTrust speakers.
[00:28:41.040 --> 00:28:43.620]   The two left here on the podium.
[00:28:43.620 --> 00:28:49.700]   And we'll be going over some lectures, then jumping into the platform.
[00:28:49.700 --> 00:28:55.820]   You'll do an activity, then we'll come back, cover a new topic, and so on.
[00:28:55.820 --> 00:29:00.880]   So we're going to start with just covering why eval, what is an eval, what is an eval, excuse
[00:29:00.880 --> 00:29:01.020]   me.
[00:29:01.020 --> 00:29:17.480]   And then we'll talk about running the same thing via the code via the SDK, then we'll move into production, so day two, how are you logging, how are you looking at the data points that you're collecting in your production application.
[00:29:17.480 --> 00:29:31.060]   And then finally covering human in the loop, so how do you incorporate user feedback or actual human annotators to improve the quality of your prompts, improve the quality of your data set.
[00:29:31.060 --> 00:29:38.440]   And if we have time at the end, we'll do some remote evals, stuff which extends what the UI is capable of in the playground specifically.
[00:29:41.440 --> 00:29:48.760]   So I think we have a poll in the Slack that's currently pinned, if you're part of the Slack channel, feel free to add your response there.
[00:29:51.820 --> 00:29:54.640]   So jumping into evals and getting started.
[00:29:54.640 --> 00:30:08.820]   These are some of the curated tweets that we've seen notable people talk about online, so just something to think about why it may be so useful for them.
[00:30:08.820 --> 00:30:11.820]   Well, it helps you answer questions.
[00:30:11.820 --> 00:30:37.460]   So, again, you know, is my change regressing the performance in production, am I using the best model for my use case, the cheapest model for my use case, does it have brand consistency in its responses, am I learning from the data that I'm capturing, from the logs, and am I able to debug and troubleshoot some of the responses that are underperforming?
[00:30:37.460 --> 00:30:42.460]   This is a trend across the whole industry.
[00:30:42.460 --> 00:30:59.760]   Everybody's dealing with hallucinations and performance degradation, and so we're here to try to set up a system using statistical analysis to catch these mistakes proactively and also with online evals reactively on that online traffic.
[00:30:59.760 --> 00:31:07.440]   This can help your business by allowing you to move faster, helping you reduce costs, and scale teams.
[00:31:07.440 --> 00:31:22.440]   It's really helpful to have non-technical people collaborate with technical people to build the best AI apps possible by using the playground for non-technical people and then having that SDK compatibility and everything centrally managed in one place.
[00:31:25.560 --> 00:31:47.440]   Moving into the core concepts of Brain Trust, so you can think of it in these three slivers, starting off with prompt engineering, right, you want to keep track of the versions of the prompts that you're iterating on, you want to do this rapidly, so having a playground or a place where you can quickly go through these changes and identify improvements or regressions is really crucial.
[00:31:47.680 --> 00:32:05.040]   Then you want to have evals that are automated ideally, right, and this can be kicked off via the SDK, you'll have a score that is from zero to one as a percentage that will give you a signal of, is this going up, is this going down, what needs attention, what doesn't.
[00:32:05.600 --> 00:32:20.060]   And then finally, observability, what's happening in production, are users thumbs upping or thumbs down, are they providing ideal output that I can then use in my data set to keep improving the evals or keep improving my AI feature.
[00:32:22.400 --> 00:32:44.540]   So jumping into, you know, what, what even is an eval, well the definition that we come up with is that it's a structured test that checks how well your AI system is performing, it helps you measure quality, reliability and correctness across scenarios, again, the criteria is really up to you, as we heard Sarah say, the LLM as a judge can be across whatever dimension you want to test.
[00:32:47.060 --> 00:33:12.420]   There are three components that go into an eval, so you have your task which is the thing that you want to test, this is the code or prompt that you're evaluating, it can be a simple, you know, one-time call to an LLM or a full agentic workflow, the complexity is really up to you, we'll see some simpler versions in the UI and then in the SDK, it's really, you know, the complexity is up to you, you can, you can go crazy there.
[00:33:13.200 --> 00:33:37.260]   The next piece is the data set, so this is the set of real world examples, the test cases that you're going to be throwing at the prompt and seeing how it's performing based on the score output, right, so the score is the logic behind the eval, this is outputting from 0 to 100 a score, you can use LLM as a judge or full heuristic functions, so it's great to use a combination of the two and try to meet in the middle.
[00:33:40.420 --> 00:33:59.420]   There are two mental models to think through, offline evals, which are evals in development, as you're iterating on the prompt, figuring out what works best or what model to go with, you're writing these structured tests and running them through these predefined data sets, right, you're not using live traffic in this scenario,
[00:33:59.420 --> 00:34:19.420]   but on the online eval side, so this is real time tracing, you're monitoring that live production application, and you're also getting scores from those real outputs, and that will allow you to diagnose problems, monitor performance, and capture that user feedback so you can keep improving and close that feedback loop.
[00:34:19.420 --> 00:34:26.420]   So we'll show how you can use both of these types of evals offline and online.
[00:34:26.420 --> 00:34:45.420]   This matrix here is really helpful to understand what should I even be improving, you know, and you have to look at two things, right, the score that's being output by your evals, and using your own eyes, looking at the output of the LLM, do I think this is a good or bad output?
[00:34:45.420 --> 00:35:13.420]   If both match, you look at the prompt, it's good, high score, great, that's where you want to be. But if not, you have to decide, okay, do I want to improve my evals, the actual scores, or do I want to improve my AI app? And this is not very trivial, there does require some thinking of what requires my focus, improving the eval, improving the actual app.
[00:35:13.420 --> 00:35:23.420]   So now zooming into each of these components. So the task, this is the thing that you want to test. So starting off with a prompt, right, this is a screenshot from the UI.
[00:35:23.420 --> 00:35:38.420]   It's the input that you're going to give to the LLM, right? You can set up a system prompt in Braintrust, and then pass user prompts as mustache templating, and that's something that we'll see in the activity shortly.
[00:35:38.420 --> 00:35:50.420]   So, you know, this is great for getting started. You may have some multi-turn use cases where you're having a whole conversation and you want to evaluate that with a tool like Braintrust.
[00:35:50.420 --> 00:36:02.420]   So that's where extra messages comes in, and you can provide the system prompt, followed by the user message, the assistant response, the user response, the assistant response, maybe a tool call thrown in there, right?
[00:36:02.420 --> 00:36:12.420]   All of that prepackaged and given at once to your eval system that will then output a score.
[00:36:12.420 --> 00:36:20.420]   Tools are also used with Braintrust, and they should be for, you know, RAG applications or for agentic applications.
[00:36:20.420 --> 00:36:33.420]   So this can live in Braintrust. You can push your tools to the Braintrust library, and they'll become accessible to anybody playing in the playground or running experiments.
[00:36:33.420 --> 00:36:45.420]   And the last piece here in the task are agents in the UI. So now you can have prompts chained together where the output of the first prompt becomes the input of the next.
[00:36:45.420 --> 00:37:03.420]   So this is going to keep increasing in scope within Braintrust. We'll have branching and more capabilities. This is currently a beta feature, but really exciting to be able to do end-to-end evals on prompts being chained, as many as you'd like.
[00:37:03.420 --> 00:37:14.420]   So now moving into datasets. So there are three fields, right, three columns in a dataset, one of which is required, the input field. So this is what's going to be passed into the prompt.
[00:37:14.420 --> 00:37:28.420]   This is the user input into your AI feature application, right? The other two columns are optional. You can have your expected column, which would be that anticipated output or that ideal response.
[00:37:28.420 --> 00:37:40.420]   This is difficult to create initially, and we see a lot of customers leave this blank at first and then start to fill it in with human annotation or user feedback.
[00:37:40.420 --> 00:37:54.420]   If you're doing a rag bot, it's common to have assertions. So what do you want to be included in the output? Providing that in the expected column will help make sure that it's using that as the ground truth.
[00:37:54.420 --> 00:38:01.420]   And then metadata is for any additional information that you want to track at that specific dataset row, so with the specific user prompt.
[00:38:01.420 --> 00:38:15.420]   So some tips here. We recommend for you to just get started. You don't need to create 200 rows in a dataset to run your first eval. You know, five, ten rows is great.
[00:38:15.420 --> 00:38:29.420]   Just start small and get some feedback. And, you know, the next thing is don't stop iterating. Keep adding rows or tweaking rows, using logs as that source of truth, right?
[00:38:29.420 --> 00:38:47.420]   How are your users interacting with the feature that you're developing? Of course, at first, you may not be capturing logs, but there's still that process, whether it's via synthetic data or with internal testing, that you can help yourself improve the dataset.
[00:38:47.420 --> 00:39:03.420]   So, human reviews is another way of establishing ground truth. Very much needed in certain industries. If you're dealing in the medical space, you need doctors to look at the output. Or you need lawyers or people with highly specialized skills.
[00:39:03.420 --> 00:39:14.420]   Cool. So now moving into the score types. So this is the last piece. So we covered tasks, we covered datasets, and now scores. So there's two types, right? We covered the LLM as a judge a little bit.
[00:39:14.420 --> 00:39:29.420]   So this is subjective, non-deterministic, more of a qualitative assessment that will be done on the output. And then on the other side, there's a full code base heuristic score. This is very exact, deterministic, objective.
[00:39:29.420 --> 00:39:43.420]   So you want to try to use a combination of the two. And like I said, meet in the middle, right? There are some organizations that will choose to go one way or the other, but we found that most will typically incorporate both as much as they can.
[00:39:43.420 --> 00:39:48.420]   I know Sarah mentioned that LLM as a judge has been crucial for her.
[00:39:48.420 --> 00:40:03.420]   So some tips here. So we recommend for you to use a higher model in the LLM as a judge to evaluate the smaller ones. Just something that we've noticed could be useful.
[00:40:03.420 --> 00:40:20.420]   You want to make sure that the judge is scoped to a specific criteria. We want it to be focused and not be a broad decision that it has to make across five or six different criteria.
[00:40:20.420 --> 00:40:31.420]   You want to make sure that you're evaluating the score. This is probably the most crucial piece. But you want to put the score prompt, the LLM as a judge prompt, through the same rigor that your other prompts are receiving.
[00:40:31.420 --> 00:40:43.420]   Right? So you want to make sure that you're testing it on human annotated feedback. So what would a human think looking at the same outputs? Is it matching the LLM as a judge? If not, probably needs some improvement.
[00:40:43.420 --> 00:41:02.420]   This is a little tidbit about the Braintrust UI. So we have two views, playgrounds and experiments. They look very similar. This wasn't always the case historically, but they've now grown to be very similar because of customer requests.
[00:41:02.420 --> 00:41:13.420]   The playground, a way to think of it is a quick iteration. It's more ephemeral, right? So what you do in the playground won't necessarily stick around and be part of the historical view.
[00:41:13.420 --> 00:41:26.420]   But you can always save a snapshot of it to the experiments view and sort of bring it over. And that will then kick off the more traditional experiment, which is the same thing that happens when you run an experiment via the SDK, right?
[00:41:26.420 --> 00:41:39.420]   So you run an eval via the SDK or from your CI pipeline. That will end up in the experiments view. And the benefit of that is that you have everything in one place that you can review and compare across weeks and months.
[00:41:39.420 --> 00:41:52.420]   So you can compare your performance with the new model that dropped today with a prompt from three weeks ago in the experiments view and see the scores change over time.
[00:41:52.420 --> 00:42:00.420]   Cool. So that was probably a lot. But now you understand the components and ingredients behind running an eval.
[00:42:00.420 --> 00:42:10.420]   So now we're going to jump into the activity. There should be a document pinned in the Slack channel. If not, we can also pull up the QR code quickly.
[00:42:10.420 --> 00:42:21.420]   But if you can pull that up and try to follow along. I know the Wi-Fi has been a little spotty. If you can't follow along, no worries at all.
[00:42:21.420 --> 00:42:26.420]   Doug here will be leading through those steps.
[00:42:26.420 --> 00:42:33.420]   All right. Let's have a little fun here actually getting our hands dirty with the Braintrust platform.
[00:42:33.420 --> 00:42:46.420]   As Carlos mentioned, we have -- sorry, wrong button -- the document guide out here that will walk you through the setup of the workshop.
[00:42:46.420 --> 00:42:53.420]   Again, I'll walk through it. It'll give you sort of enumerate the different requirements that you'll have to have at least for how it's set up today.
[00:42:53.420 --> 00:43:00.420]   Just as like a call out here, we're using OpenAI here under the hood. That certainly doesn't mean that Braintrust only works with OpenAI.
[00:43:00.420 --> 00:43:10.420]   You can use any sort of AI provider, custom AI provider. You can sort of bring your own here as well. But just wanted to call out we're going to use OpenAI here to do this.
[00:43:10.420 --> 00:43:17.420]   Another thing to call out -- somebody ran into this in our last workshop -- is the particular version of Node that you're using.
[00:43:17.420 --> 00:43:19.420]   Just don't be on version 23.
[00:43:19.420 --> 00:43:23.420]   2220 are generally pretty good ones to use.
[00:43:23.420 --> 00:43:31.420]   And then let's get going. So you can start here at the top by installing Node, Git, and TypeScript.
[00:43:31.420 --> 00:43:37.420]   I've already done this here on my machine, but you can get a sense for what this looks like.
[00:43:37.420 --> 00:43:48.420]   Obviously, we need a Braintrust organization and a project here to actually go and play with that playground, create some evals, run some experiments.
[00:43:48.420 --> 00:43:58.420]   So if you go to www.braintrust.dev, this is where you can create your organization and your project.
[00:43:58.420 --> 00:44:02.420]   We're calling our project "Unreleased AI" today. You can certainly call it something different.
[00:44:02.420 --> 00:44:07.420]   You would just see multiple projects be created inside of your account, and I'll show you why in just a second.
[00:44:07.420 --> 00:44:12.420]   But this is where all of this activity is going to be happening underneath.
[00:44:12.420 --> 00:44:15.420]   You can almost think of it as a project as like a particular feature, right?
[00:44:15.420 --> 00:44:20.420]   So you have feature A, B, C, and they may each have their own unique projects.
[00:44:20.420 --> 00:44:24.420]   I speak very high-level about the use case here, unreleased AI.
[00:44:24.420 --> 00:44:32.420]   What we're trying to do is build sort of an application that looks at a GitHub URL and looks at the commits that have happened since the most recent release.
[00:44:32.420 --> 00:44:37.420]   And the idea is to inform us as developers what's coming in maybe a subsequent release.
[00:44:37.420 --> 00:44:46.420]   Once we've created our account, I'll come out to the Braintrust platform here.
[00:44:46.420 --> 00:44:51.420]   So I'm going to kind of follow along with all y'all.
[00:44:51.420 --> 00:44:56.420]   I'll create a project, right, unreleased AI.
[00:44:56.420 --> 00:45:00.420]   Then you're going to need to configure your AI provider, right?
[00:45:00.420 --> 00:45:03.420]   And so this will be the OpenAI API key that you'll configure.
[00:45:03.420 --> 00:45:08.420]   Again, here are the different AI providers that you can configure within the platform.
[00:45:08.420 --> 00:45:15.420]   You also can use default cloud providers, and then, like I mentioned, bring in your own custom providers to the platform as well.
[00:45:15.420 --> 00:45:19.420]   Configure that, and then we'll come back to the guide.
[00:45:19.420 --> 00:45:26.420]   This is where the repo exists, right?
[00:45:26.420 --> 00:45:29.420]   It's a public repo in our Braintrust org.
[00:45:29.420 --> 00:45:32.420]   You just clone this locally.
[00:45:32.420 --> 00:45:39.420]   Let's zoom in a little bit.
[00:45:39.420 --> 00:45:42.420]   Obviously, I have it here locally.
[00:45:42.420 --> 00:45:52.420]   The next thing that we'll do is we're going to copy this .env.local.example file to a .env.local.
[00:45:52.420 --> 00:45:59.420]   You're going to replace the Braintrust API key and OpenAI API key with your specific keys.
[00:45:59.420 --> 00:46:02.420]   Optionally, you can include this GitHub token.
[00:46:02.420 --> 00:46:05.420]   This will allow you to not hit sort of like rate limits on the GitHub side.
[00:46:05.420 --> 00:46:06.420]   Not super important for this.
[00:46:06.420 --> 00:46:10.420]   We're probably not going to hit that here with just running a couple examples.
[00:46:10.420 --> 00:46:12.420]   But that's essentially what you do, right?
[00:46:12.420 --> 00:46:16.420]   We're just going to run that cp command, and you have that there.
[00:46:16.420 --> 00:46:18.420]   Fill in your API keys.
[00:46:18.420 --> 00:46:23.420]   Okay.
[00:46:23.420 --> 00:46:25.420]   Let's do this now.
[00:46:25.420 --> 00:46:28.420]   So the first thing that I'll do is run pnpm install.
[00:46:28.420 --> 00:46:32.420]   All right, this will install all of the dependencies for this application.
[00:46:32.420 --> 00:46:37.420]   The other thing to call out here is it's going to run this command after installation.
[00:46:37.420 --> 00:46:42.420]   So this is going to actually create some of those resources that Carlos was just talking about.
[00:46:42.420 --> 00:46:44.420]   It's going to create a couple different prompts.
[00:46:44.420 --> 00:46:49.420]   It's going to create some scores and actually create a data set within that project that we just created.
[00:46:49.420 --> 00:46:54.420]   So this is, I think, just to highlight here, one of the really unique things about Braintrust
[00:46:54.420 --> 00:47:00.420]   is being able to connect the things that we're doing within our code to what's happening within the platform itself.
[00:47:00.420 --> 00:47:05.420]   A couple different ways to actually utilize or use the Braintrust platform,
[00:47:05.420 --> 00:47:11.420]   whether you are kind of maybe strictly code-based using our SDKs or you are using a lot more of the platform itself,
[00:47:11.420 --> 00:47:15.420]   you can do a lot of these things and share code and so on.
[00:47:15.420 --> 00:47:19.420]   But just to kind of scroll through here, this is how I'm creating my prompt.
[00:47:19.420 --> 00:47:21.420]   If you scroll down a little bit further, here's another prompt.
[00:47:21.420 --> 00:47:28.420]   But when I run this, this is going to actually go and push all of these resources into that project that we just created.
[00:47:28.420 --> 00:47:42.420]   OK, cool.
[00:47:42.420 --> 00:47:44.420]   So we have our prompts.
[00:47:44.420 --> 00:47:46.420]   We have our data sets.
[00:47:46.420 --> 00:47:49.420]   We even have some scores here down below.
[00:47:49.420 --> 00:47:52.420]   So let's just kind of investigate some of these different things that we created.
[00:47:52.420 --> 00:47:54.420]   So here's my prompt.
[00:47:54.420 --> 00:47:58.420]   As Carlos mentioned, we have that sort of mustache syntax here
[00:47:58.420 --> 00:48:05.420]   that allows us to inject certain things based on whatever our data set looks like.
[00:48:05.420 --> 00:48:09.420]   Maybe to back up, thinking a little bit about what Sarah said in her talk,
[00:48:09.420 --> 00:48:13.420]   thinking more about that data structure that you want.
[00:48:13.420 --> 00:48:16.420]   And then this is how we will then create that underlying data set.
[00:48:16.420 --> 00:48:21.420]   But this is really going to map to the data set that we've created within that repo.
[00:48:21.420 --> 00:48:22.420]   Right?
[00:48:22.420 --> 00:48:25.420]   So again, what we're trying to do is we're trying to get that list of commits, summarize them,
[00:48:25.420 --> 00:48:32.420]   and give sort of that summary to that developer of what's coming in that next release.
[00:48:32.420 --> 00:48:36.420]   The other thing to highlight here are our scores.
[00:48:36.420 --> 00:48:45.420]   And luckily, I was able to follow most of Sarah's best practices, being very targeted in what we're doing with these individual scores.
[00:48:45.420 --> 00:48:50.420]   To highlight a couple, I'll just open up my completeness score.
[00:48:50.420 --> 00:48:56.420]   So this is really just being able to understand, did the LLM do a good enough job?
[00:48:56.420 --> 00:48:59.420]   When it looked at the commits, is the summary complete?
[00:48:59.420 --> 00:49:02.420]   Did it summarize all of the breaking changes?
[00:49:02.420 --> 00:49:04.420]   Did it summarize all of the net new features?
[00:49:04.420 --> 00:49:15.420]   All right, so this is where we can actually start to create that criteria that meets the expectations that we have of what is excellent, what is good, and so on.
[00:49:15.420 --> 00:49:20.420]   And then this then maps to individual scores between zero and one.
[00:49:20.420 --> 00:49:23.420]   The other one here I'll highlight here is this formatting score.
[00:49:23.420 --> 00:49:32.420]   All right, this is actually just more of that heuristic, just being able to understand, is it following a particular format that we've laid out?
[00:49:32.420 --> 00:49:41.420]   And this is a little bit more binary, just a zero or one, but just to give you a sense of the different scores that we can add to the project.
[00:49:41.420 --> 00:49:44.420]   Last one I'll highlight is just the dataset.
[00:49:44.420 --> 00:49:54.420]   If you look through here, and maybe I'll zoom in a little bit further, you should start to see some of these things actually map what we have within that prompt.
[00:49:54.420 --> 00:50:03.420]   And so this is how we're going to be able to pull those things in and actually run our evals.
[00:50:03.420 --> 00:50:07.420]   All right, come back here, make sure I haven't skipped any steps.
[00:50:07.420 --> 00:50:16.420]   So now that we have a sense for what we just put within the platform, let's actually start playing around with it.
[00:50:16.420 --> 00:50:19.420]   So we're going to go into our eval playground.
[00:50:19.420 --> 00:50:24.420]   So this is where we can actually create evals on the fly.
[00:50:24.420 --> 00:50:28.420]   I'll create an initial playground here.
[00:50:28.420 --> 00:50:31.420]   Feel free to name it something better than that.
[00:50:31.420 --> 00:50:32.420]   And here's what we can do.
[00:50:32.420 --> 00:50:35.420]   So let's load in our two prompts that we've created.
[00:50:35.420 --> 00:50:40.420]   So we have our change log one and our change log two.
[00:50:40.420 --> 00:50:45.420]   Thinking back to what Carlos was talking about, like the different sort of components of an eval, right?
[00:50:45.420 --> 00:50:47.420]   We need our task, right?
[00:50:47.420 --> 00:50:49.420]   In this case, it's our prompts.
[00:50:49.420 --> 00:50:51.420]   We need a dataset.
[00:50:51.420 --> 00:50:53.420]   And then we need an ability to score it.
[00:50:53.420 --> 00:50:56.420]   And so we can actually include all of these different scores here.
[00:50:56.420 --> 00:51:03.420]   And now we have all of the different components to run an eval here within the platform.
[00:51:03.420 --> 00:51:05.420]   So I'll click Run.
[00:51:05.420 --> 00:51:10.420]   And then you'll actually start to see all of these different rows within this dataset actually run in parallel.
[00:51:10.420 --> 00:51:18.420]   And then we're going to generate those scores against the output that the LLM created for those individual prompts.
[00:51:18.420 --> 00:51:22.420]   And we should start to see some of these scores come back pretty soon.
[00:51:22.420 --> 00:51:27.420]   Lots of different ways to actually go in and, you know, you can highlight each one of these different things.
[00:51:27.420 --> 00:51:36.420]   You're able to actually, once this starts to come back, look at the rationale that the LLM gave to providing the score that it gave.
[00:51:36.420 --> 00:51:39.420]   But this allows you to, like, you know, you can even look at a diff.
[00:51:39.420 --> 00:51:42.420]   Again, once some of this stuff comes back.
[00:51:42.420 --> 00:51:46.420]   Or we can maybe get more of a summary type layout.
[00:51:46.420 --> 00:51:54.420]   And I can look at, like, okay, so my accuracy score for my base prompt up here or my base task, how does it compare relative to my comparison task?
[00:51:54.420 --> 00:52:08.420]   So very, very quickly, I got some scores here that give me a sense for how well these particular prompts fare against the scores that I've defined against them.
[00:52:08.420 --> 00:52:12.420]   Maybe another really quick thing to highlight here is up here at the top, right?
[00:52:12.420 --> 00:52:19.420]   We were talking a little bit about, like, maybe understanding over time how are these things faring as I start to change these prompts.
[00:52:19.420 --> 00:52:22.420]   That's where experiments come into play.
[00:52:22.420 --> 00:52:24.420]   So I can create an experiment, again, very quickly.
[00:52:24.420 --> 00:52:27.420]   It's going to use what I've configured within the playground.
[00:52:27.420 --> 00:52:32.420]   This will actually create, again, back up a little bit here to experiments.
[00:52:32.420 --> 00:52:35.420]   But now I can start to track over time these scores.
[00:52:35.420 --> 00:52:37.420]   I can change the model of these.
[00:52:37.420 --> 00:52:40.420]   There's a lot of different ways to start to view this data.
[00:52:40.420 --> 00:52:46.420]   Maybe I want to understand what does cost look like for these particular tasks over time.
[00:52:46.420 --> 00:52:47.420]   I'm able to look at that.
[00:52:47.420 --> 00:52:53.420]   If I change the underlying model, I'm able to group it by that model and see how those models affect that score.
[00:52:53.420 --> 00:52:57.420]   But this becomes a very trivial thing now, right?
[00:52:57.420 --> 00:53:03.420]   Going back to that playground, maybe I want to test here with GPT-4-1.
[00:53:03.420 --> 00:53:06.420]   How does this impact my scores?
