
[00:00:00.040 --> 00:00:10.460]   love
[00:32:43.460 --> 00:32:43.500]   in protecting even hate speech. So, I think that's the most important thing.
[00:32:43.520 --> 00:33:12.840]   People have said to me, "Well, give her a chance." Well, I'm willing to give her a chance, but she does have a record. And she's a bureaucrat. I don't think she believes in free speech and academic freedom. I think she's a progressive, not a liberal. I'm not happy with the appointment of Claudine Gay. And it has made more essential my attempt to get on the Board of Overseers. So, I think that's the most important thing.
[00:33:12.840 --> 00:33:13.520]   So, how does the Harvard administration
[00:33:14.460 --> 00:33:43.540]  ,
[00:33:43.540 --> 00:33:43.540]   I think that's the most important thing.
[00:33:43.540 --> 00:33:43.540]   So, I think that's the most important thing.
[00:33:43.540 --> 00:33:43.540]   So, I think that's the most important thing.
[00:33:43.540 --> 00:33:43.540]   So, I think that's the most important thing.
[00:33:43.540 --> 00:33:43.540]   So, I think that's the most important thing.
[00:33:43.540 --> 00:33:43.540]   So, I think that's the most important thing.
[00:33:43.540 --> 00:33:43.540]   So, I think that's the most important thing.
[00:33:43.540 --> 00:33:43.540]   So, I think that's the most important thing.
[00:33:43.540 --> 00:33:43.540]   So, I think that's the most important thing.
[00:33:43.540 --> 00:33:43.540]   So, I think that's the most important thing.
[00:33:43.560 --> 00:34:13.560]   You have to run in order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote.
[00:34:13.560 --> 00:34:13.560]   In order to vote. In order to vote. In order to vote. In order to vote. In order to vote. In order to vote. You should have a validation number and then you go online you should have that validation number and you vote and you vote and you vote and you to vote for a
[00:34:13.600 --> 00:34:24.480]   at
[00:34:24.480 --> 00:34:42.020]  amos arriba stead, and, don, 어� She G E raised tiger check dig-B, ,,,,,,,,,,,, overlooked The wasn't thelingtonец the ab
[00:34:43.620 --> 00:34:45.620]   I'll provide all the links.
[00:34:45.620 --> 00:34:49.620]   But is there something else you can say about the voting process, what you're running on?
[00:34:49.620 --> 00:34:51.620]   This is my second run.
[00:34:51.620 --> 00:34:55.620]   The first time I got enough signatures to get on the ballot.
[00:34:55.620 --> 00:35:03.620]   Then the Harvard Alumni Association sent out a letter to all living Harvard alums.
[00:35:03.620 --> 00:35:05.620]   They were all very happy.
[00:35:05.620 --> 00:35:06.620]   They were all very happy.
[00:35:06.620 --> 00:35:07.620]   They were all very happy.
[00:35:07.620 --> 00:35:08.620]   They were all very happy.
[00:35:08.620 --> 00:35:09.620]   They were all very happy.
[00:35:09.620 --> 00:35:10.620]   They were all very happy.
[00:35:10.620 --> 00:35:11.620]   They were all very happy.
[00:35:11.620 --> 00:35:12.620]   They were all very happy.
[00:35:12.620 --> 00:35:13.600]   They were all very happy.
[00:35:13.600 --> 00:35:13.600]   Кор
[00:35:13.600 --> 00:35:13.600]   The first time I got enough signatures to get on the ballot, I was the first one to get on the ballot.
[00:35:13.640 --> 00:35:43.620]   I was the first one to get on the ballot.
[00:35:43.620 --> 00:35:43.620]   The first time I got enough signatures to get on the ballot, I was the first one to get on the ballot.
[00:35:43.620 --> 00:35:43.620]   The first time I got enough signatures to get on the ballot, I was the first one to get on the ballot.
[00:35:43.620 --> 00:35:43.620]   The first time I got enough signatures to get on the ballot, I was the first one to get on the ballot.
[00:35:43.620 --> 00:35:43.620]   The first time I got enough signatures to get on the ballot, I was the first one to get on the ballot.
[00:35:43.620 --> 00:35:43.620]   The first time I got enough signatures to get on the ballot, I was the first one to get on the ballot.
[00:35:43.620 --> 00:35:43.620]   The first time I got enough signatures to get on the ballot, I was the first one to get on the ballot.
[00:35:43.660 --> 00:35:54.820]   это
[00:35:54.820 --> 00:36:10.760]   I,,, la
[00:37:13.780 --> 00:37:17.720]   I
[00:37:17.720 --> 00:37:24.400]  � work made the people is read
[00:37:42.820 --> 00:37:52.420]   in
[00:37:52.420 --> 00:37:54.440]   ' in in
[00:37:54.440 --> 00:38:10.940]   or 숨 eyeshadow Cre. And, the, the, the Harvard Corporation, amount, the, the, the, the, the, the, the, the lawyer, the, the, the, the, the, the, the,る, describe Это. I'm like the coun oscill勝 Fern happy 게 marca?'isations. Z familiy. Nvidia Love, fiber design.angers. Representative. downtime. con stuff. people buy repeated. בע no. ice
[00:38:10.940 --> 00:38:12.320]  .,
[00:38:12.840 --> 00:38:39.560]   no
[00:40:40.140 --> 00:40:50.260]   code
[00:40:50.260 --> 00:41:07.140]   Marina SE B' component, ",,,, remembered deja
[00:41:07.740 --> 00:41:15.360]   ou
[00:41:15.360 --> 00:41:35.580]   di the, the,
[00:41:36.500 --> 00:41:47.400]   for
[00:41:47.400 --> 00:41:58.620]   it. " in the wing and been
[00:41:58.620 --> 00:42:06.480]   0 Zhen Pand End Hehe sunglasses farmers might did all θs, I, I'm, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I. my. I, the. I, el.ere. find. psic нов慢. across the many.tre. whatsoeverwhi. spacecraft.대�. sabia her.華. trunk. declaration.
[00:42:06.500 --> 00:42:18.520]   that truth will somehow emerge, or if not truth, at least a better truth, a truer truth, a more useful truth, if ideas are allowed to clash.
[00:42:18.520 --> 00:42:36.500]   especially in the structure of a university where, at least I would say there's some set of rules, some set of civility. I think I would rather read Mein Kampf to understand people that hate. There is also a quality to disagreement that we should strive for.
[00:42:36.520 --> 00:43:06.520]  ,
[00:43:06.520 --> 00:43:06.520]   Корstel:
[00:43:06.520 --> 00:43:06.520]   The University is a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:43:06.560 --> 00:43:36.540]   the University is a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:43:36.540 --> 00:43:36.540]   It is a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:43:36.540 --> 00:43:36.540]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:43:36.540 --> 00:43:36.540]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:43:36.540 --> 00:43:36.540]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:43:36.540 --> 00:43:36.540]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:43:36.540 --> 00:43:36.540]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:43:36.540 --> 00:43:36.540]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:43:36.560 --> 00:44:06.560]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:44:06.560 --> 00:44:06.560]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:44:06.560 --> 00:44:06.560]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:44:06.560 --> 00:44:06.560]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:44:06.560 --> 00:44:06.560]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:44:06.560 --> 00:44:06.560]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:44:06.560 --> 00:44:06.560]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:44:06.560 --> 00:44:06.560]   It's a place where when disagreement and even hate is allowed, it's done in a high effort way.
[00:44:06.560 --> 00:44:06.560]   It's a place where disagreement and even hate is allowed, it's done in a high effort way.
[00:44:06.600 --> 00:44:36.580]  ,
[00:44:36.580 --> 00:44:36.580]   It's a place where disagreement and even hate is allowed, it's done in a high effort way.
[00:44:36.580 --> 00:44:36.580]   It's a place where disagreement and even hate is allowed, it's done in a high effort way.
[00:44:36.580 --> 00:44:36.580]   It's a place where disagreement and even hate is allowed, it's done in a high effort way.
[00:44:36.580 --> 00:44:36.580]   It's a place where disagreement and even hate is allowed, it's done in a high effort way.
[00:44:36.580 --> 00:44:36.580]   It's a place where disagreement and even hate is allowed, it's done in a high effort way.
[00:44:36.580 --> 00:44:36.580]   It's a place where disagreement and even hate is allowed, it's done in a high effort way.
[00:44:36.580 --> 00:44:36.580]   It's a place where disagreement and even hate is allowed, it's done in a high effort way.
[00:44:36.580 --> 00:44:36.580]   I'm opposed to affirmative action. I'm opposed to affirmative action. I'm opposed to affirmative action. I think that what it does is it labels people by their race, precisely what we don't want people to do is pigeonholed in those categories.
[00:44:36.600 --> 00:45:06.600]   I'm opposed to affirmative action. I think that what it does is it labels people by their race, precisely what we don't want people to do is pigeonholed in those categories.
[00:45:06.600 --> 00:45:06.600]   The reason that affirmative action has become the way that universities decide on who gets admitted is because historically people in what's called marginalized groups, blacks, gays, Hispanics, have been discriminated against in the admissions process.
[00:45:06.600 --> 00:45:06.600]   Now, what I have suggested is that instead of having to be discriminated against in the admissions process,
[00:45:06.600 --> 00:45:06.600]   Now, what I have suggested is that instead of having to be discriminated against in the admissions process,
[00:45:06.600 --> 00:45:06.600]   Now, what I have suggested is that instead of having to be discriminated against in the admissions process,
[00:45:06.600 --> 00:45:06.600]   Now, what I have suggested is that instead of having to be discriminated against in the admissions process,
[00:45:06.600 --> 00:45:06.600]   Now, what I have suggested is that instead of having to be discriminated against in the admissions process,
[00:45:06.640 --> 00:45:36.620]  ,
[00:45:36.620 --> 00:45:36.620]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:45:36.620 --> 00:45:36.620]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:45:36.620 --> 00:45:36.620]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:45:36.620 --> 00:45:36.620]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:45:36.620 --> 00:45:36.620]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:45:36.640 --> 00:46:06.640]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:06.640 --> 00:46:06.640]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:06.640 --> 00:46:06.640]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:06.640 --> 00:46:06.640]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:06.640 --> 00:46:06.640]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:06.640 --> 00:46:06.640]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:06.640 --> 00:46:06.640]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:06.640 --> 00:46:06.640]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:06.640 --> 00:46:06.640]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:06.640 --> 00:46:06.640]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:06.640 --> 00:46:06.640]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:06.640 --> 00:46:36.660]  ,
[00:46:36.660 --> 00:46:36.660]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:36.660 --> 00:46:36.660]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:36.660 --> 00:46:36.660]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:36.660 --> 00:46:36.660]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:36.660 --> 00:46:36.660]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:36.660 --> 00:46:36.660]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:46:36.680 --> 00:47:06.680]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:47:06.680 --> 00:47:06.680]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:47:06.680 --> 00:47:06.680]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:47:06.680 --> 00:47:06.680]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:47:06.680 --> 00:47:06.680]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:47:06.680 --> 00:47:06.680]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:47:06.680 --> 00:47:06.680]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:47:06.680 --> 00:47:06.680]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:47:06.680 --> 00:47:06.680]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:47:06.680 --> 00:47:06.680]  ,
[00:47:06.680 --> 00:47:06.680]   I have suggested that instead of having to be discriminated against in the admissions process,
[00:47:06.680 --> 00:47:06.680]  ,
[00:47:06.680 --> 00:47:06.680]   the reason that instead of having to be discriminated against the admissions process,
[00:47:07.500 --> 00:47:36.700]   the reason that instead of having to be discriminated against the admissions process,
[00:47:36.700 --> 00:47:36.700]   is that the reason that instead of having to be discriminated against the admissions process,
[00:47:36.700 --> 00:47:36.700]   is that the reason that instead of having to be discriminated against the admissions process,
[00:47:36.720 --> 00:48:06.720]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:06.720 --> 00:48:06.720]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:06.720 --> 00:48:06.720]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:06.720 --> 00:48:06.720]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:06.720 --> 00:48:06.720]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:06.720 --> 00:48:06.720]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:06.720 --> 00:48:06.720]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:06.720 --> 00:48:06.720]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:06.720 --> 00:48:06.720]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:06.720 --> 00:48:06.720]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:06.720 --> 00:48:06.720]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:06.720 --> 00:48:06.720]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:06.760 --> 00:48:36.740]  ,
[00:48:36.740 --> 00:48:36.740]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:36.740 --> 00:48:36.740]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:36.740 --> 00:48:36.740]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:36.740 --> 00:48:36.740]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:36.740 --> 00:48:36.740]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:36.740 --> 00:48:36.740]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:36.740 --> 00:48:36.740]   I have suggested that instead of having to be discriminated against the admissions process,
[00:48:36.760 --> 00:49:06.760]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:06.760 --> 00:49:06.760]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:06.760 --> 00:49:06.760]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:06.760 --> 00:49:06.760]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:06.760 --> 00:49:06.760]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:06.760 --> 00:49:06.760]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:06.760 --> 00:49:06.760]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:06.760 --> 00:49:06.760]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:06.760 --> 00:49:06.760]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:06.760 --> 00:49:06.760]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:06.760 --> 00:49:06.760]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:06.760 --> 00:49:06.760]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:06.800 --> 00:49:36.780]  ,
[00:49:36.780 --> 00:49:36.780]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:36.780 --> 00:49:36.780]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:36.780 --> 00:49:36.780]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:36.780 --> 00:49:36.780]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:36.780 --> 00:49:36.780]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:36.780 --> 00:49:36.780]   I have suggested that instead of having to be discriminated against the admissions process,
[00:49:36.800 --> 00:50:06.800]   I have suggested that instead of having to be discriminated against the admissions process,
[00:50:06.800 --> 00:50:06.800]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:06.800 --> 00:50:06.800]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:06.800 --> 00:50:06.800]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:06.800 --> 00:50:06.800]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:06.800 --> 00:50:06.800]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:06.800 --> 00:50:06.800]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:06.800 --> 00:50:06.800]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:06.800 --> 00:50:06.800]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:06.800 --> 00:50:06.800]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:06.800 --> 00:50:06.800]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:06.800 --> 00:50:06.800]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:06.840 --> 00:50:36.820]  ,
[00:50:36.820 --> 00:50:36.820]   I have suggested that instead of having to be discriminated against the admissions process,
[00:50:36.820 --> 00:50:36.820]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:36.820 --> 00:50:36.820]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:36.820 --> 00:50:36.820]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:36.820 --> 00:50:36.820]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:36.820 --> 00:50:36.820]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:36.820 --> 00:50:36.820]   We have suggested that instead of having to be discriminated against the admissions process,
[00:50:36.840 --> 00:51:06.840]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:06.840 --> 00:51:06.840]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:06.840 --> 00:51:06.840]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:06.840 --> 00:51:06.840]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:06.840 --> 00:51:06.840]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:06.840 --> 00:51:06.840]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:06.840 --> 00:51:06.840]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:06.840 --> 00:51:06.840]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:06.840 --> 00:51:06.840]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:06.840 --> 00:51:06.840]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:06.840 --> 00:51:06.840]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:06.840 --> 00:51:06.840]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:06.860 --> 00:51:30.940]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:30.940 --> 00:51:30.960]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:30.960 --> 00:51:30.980]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:30.980 --> 00:51:31.000]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:31.000 --> 00:51:31.020]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:31.020 --> 00:51:31.060]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:31.060 --> 00:51:31.080]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:31.080 --> 00:51:31.100]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:31.100 --> 00:51:31.140]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:31.140 --> 00:51:31.160]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:31.160 --> 00:51:31.200]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:31.200 --> 00:51:32.100]   We have suggested that instead of having to be discriminated against the admissions process,
[00:51:32.100 --> 00:52:02.120]  ,
[00:52:02.120 --> 00:52:02.120]   That's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:52:02.120 --> 00:52:02.120]   That's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:52:02.120 --> 00:52:02.120]   That's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:52:02.120 --> 00:52:02.120]   That's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:52:02.140 --> 00:52:32.140]   That's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:52:32.140 --> 00:52:32.140]   That's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:52:32.140 --> 00:52:32.140]   That's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:52:32.140 --> 00:52:32.140]   That's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:52:32.140 --> 00:52:32.140]   That's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:52:32.140 --> 00:52:32.140]   That's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:52:32.180 --> 00:53:02.160]  ,
[00:53:02.160 --> 00:53:02.160]   It's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:53:02.160 --> 00:53:02.160]   It's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:53:02.160 --> 00:53:02.160]   It's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:53:02.160 --> 00:53:02.160]   It's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:53:02.160 --> 00:53:02.160]   It's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:53:02.180 --> 00:53:32.180]   It's a whole other conversation. But do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:53:32.180 --> 00:53:32.180]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:53:32.180 --> 00:53:32.180]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:53:32.180 --> 00:53:32.180]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:53:32.180 --> 00:53:32.180]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:53:32.180 --> 00:53:32.180]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:53:32.180 --> 00:53:32.180]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:53:32.180 --> 00:53:32.180]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:53:32.220 --> 00:54:02.200]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:02.200 --> 00:54:02.200]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:02.200 --> 00:54:02.200]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:02.200 --> 00:54:02.200]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:02.200 --> 00:54:02.200]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:02.200 --> 00:54:02.200]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:02.200 --> 00:54:02.200]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:02.220 --> 00:54:32.220]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:32.220 --> 00:54:32.220]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:32.220 --> 00:54:32.220]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:32.220 --> 00:54:32.220]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:32.220 --> 00:54:32.220]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:32.220 --> 00:54:32.220]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:32.220 --> 00:54:32.220]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:32.220 --> 00:54:32.220]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:32.220 --> 00:54:32.220]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:54:32.260 --> 00:55:02.240]  ,
[00:55:02.240 --> 00:55:02.240]   and the other side of the problem is that the inequality in universities is not a problem.
[00:55:02.240 --> 00:55:02.240]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:55:02.240 --> 00:55:02.240]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:55:02.240 --> 00:55:02.240]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:55:02.240 --> 00:55:02.240]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:55:02.240 --> 00:55:02.240]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:55:02.240 --> 00:55:02.240]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:55:02.240 --> 00:55:02.240]   Do you, at the core of the problem of the inequality in universities, that diversity is not a problem?
[00:55:02.280 --> 00:55:13.240]   EST kept is,
[00:55:13.240 --> 00:55:13.900]  range
[00:55:13.900 --> 00:55:30.680]   is a is this just tel Jungkook Churchillше Of Subscribe didnt concentrate about
[00:55:31.220 --> 00:55:41.260]  ,
[00:55:41.260 --> 00:55:59.020]   the, over over I였습니다rus Hispanic hinter I Kurz I siècle depends, the, the, the, the, the, the, the, the, the, the, the, am, say, even, recognise egg. threaten deserve. Vine ALDC.R.D.in.G.G.bound. blending св Carryw. G sew a boy and all of the saga.ring.TR. de
[00:55:59.020 --> 00:56:00.040]   way to say, it. a aseg going to see which is a made a de and a dull. is a voilà a dпод et why this not a des programa so the the it is from agend a • the conversation is a En Green if you is a by a de is a else as a in a �aney p
[00:56:00.060 --> 00:56:03.080]   the building should be named after him, him, or them.
[00:56:03.080 --> 00:56:05.080]   the building should be named after him, him, or them.
[00:56:05.080 --> 00:56:06.080]   the building should be named after him, him, or them.
[00:56:06.080 --> 00:56:07.080]   Harvard is facing this now as the Sackler building.
[00:56:07.080 --> 00:56:08.080]   Harvard is facing this now as the Sackler building.
[00:56:08.080 --> 00:56:09.080]   Harvard is facing this now as the Sackler building.
[00:56:09.080 --> 00:56:21.080]   Because Sackler, the Sacklers have become now a persona non grata because of their role in producing the opioids that cause a huge scandalous opioid addiction.
[00:56:21.080 --> 00:56:27.080]   There are people who want to remove the name Sackler from the Sackler Art Museum at Harvard.
[00:56:27.120 --> 00:56:39.500]   was
[00:59:13.860 --> 00:59:23.480]  via
[00:59:23.480 --> 00:59:24.280]   the,,,
[00:59:24.280 --> 00:59:27.540]   received " debt to be. We are, like,
[00:59:27.540 --> 00:59:43.160]  ,
