
[00:00:00.000 --> 00:00:04.320]   Thank you, Sammy.
[00:25:58.740 --> 00:26:05.140]   And that was one of the motivations for people who flocked into a very large area
[00:26:05.140 --> 00:26:08.420]   of research in machine learning in the 90s and 2000s,
[00:26:08.420 --> 00:26:13.340]   based on algorithms that require only convex optimization to train.
[00:26:13.340 --> 00:26:17.460]   Cuz of course, if we can do convex optimization, we eliminate this problem.
[00:26:17.460 --> 00:26:20.140]   If the objective function is convex in the parameters,
[00:26:20.140 --> 00:26:21.860]   then we know there's a single global minimum.
[00:26:24.620 --> 00:26:30.380]   Right, so let me show you a picture here, you get a sense of,
[00:26:30.380 --> 00:26:37.300]   if you look on the right hand top, this is, if you draw a random function in 1D or
[00:26:37.300 --> 00:26:41.540]   2D or 3D, like here is kind of a random smooth function in 2D,
[00:26:41.540 --> 00:26:45.420]   you see that it's gonna have many ups and downs.
[00:26:45.420 --> 00:26:46.220]   These are local minima.
[00:26:49.620 --> 00:26:56.020]   But the good news is that in high dimension, it's a totally different story.
[00:26:56.020 --> 00:26:57.220]   So what are the dimensions here?
[00:26:57.220 --> 00:27:00.020]   We're talking about the parameters of the model, and
[00:27:00.020 --> 00:27:03.740]   the vertical axis is the cost that we're trying to minimize.
[00:27:03.740 --> 00:27:08.860]   And what happens in high dimension is that instead of having
[00:27:08.860 --> 00:27:14.820]   a huge number of local minima on our way when we're trying to optimize,
[00:27:14.820 --> 00:27:18.620]   what we encounter instead is a huge number of saddle points.
[00:27:18.620 --> 00:27:23.540]   So saddle point is like the thing on the bottom right in 2D.
[00:27:23.540 --> 00:27:27.140]   So you have two parameters and the y-axis is the cost you wanna minimize.
[00:27:27.140 --> 00:27:30.980]   And so what you see in a saddle point is you have dimensions or
[00:27:30.980 --> 00:27:37.700]   directions where the objective function draws a minimum.
[00:27:37.700 --> 00:27:42.100]   So there's like a curve that, it curves up.
[00:27:42.100 --> 00:27:45.060]   And in other directions, it curves down.
[00:27:45.060 --> 00:27:48.820]   So saddle point has both a minimum in some direction and
[00:27:48.820 --> 00:27:49.860]   a maximum in other directions.
[00:27:49.860 --> 00:27:57.780]   So this is interesting because even though it's a,
[00:27:57.780 --> 00:28:05.260]   these points, like saddle points and minima are places where you could get stuck.
[00:28:05.260 --> 00:28:08.100]   In principle, if you're exactly at the saddle point, you don't move.
[00:28:08.100 --> 00:28:11.380]   But if you move a little bit away from it, you will go down the saddle, right?
[00:28:11.380 --> 00:28:18.900]   So what our work and
[00:28:18.900 --> 00:28:23.700]   other work from NYU, Chormanska and
[00:28:23.700 --> 00:28:29.340]   collaborators of Yan LeCun showed is that actually
[00:28:29.340 --> 00:28:39.460]   in very high dimension, not only it's the issue is more saddle points than local minima.
[00:28:39.460 --> 00:28:43.060]   But the local minima are good.
[00:28:43.060 --> 00:28:45.140]   So let me try to explain what I mean by this.
[00:28:45.140 --> 00:28:54.940]   So let me show you actually first an experiment from the NYU guys.
[00:28:54.940 --> 00:29:01.180]   So they did an experiment where they gradually changed the size of the neural net.
[00:29:01.180 --> 00:29:04.580]   And they look at what looks like local minima, but
[00:29:04.580 --> 00:29:09.660]   they could be saddle points that are the lowest that they could obtain by training.
[00:29:09.660 --> 00:29:13.820]   And what you're looking at is a distribution of
[00:29:13.820 --> 00:29:17.860]   errors they get from different initializations of their training.
[00:29:17.860 --> 00:29:21.820]   And so what happens is that when the network is small,
[00:29:21.820 --> 00:29:26.540]   like the pink here on the right, there's a widespread distribution of
[00:29:26.540 --> 00:29:31.700]   cost that you can get depending on where you start and you're pretty high.
[00:29:31.700 --> 00:29:36.740]   And if you increase the size of the network, it's like all of the local
[00:29:36.740 --> 00:29:42.300]   minima that you find concentrate around a particular cost.
[00:29:42.300 --> 00:29:47.220]   So you don't get any of these bad local minima that you would get with a small
[00:29:47.220 --> 00:29:50.140]   network, they're all kind of pretty good.
[00:29:50.140 --> 00:29:51.700]   And if you increase even more the size of the network,
[00:29:51.700 --> 00:29:55.140]   this is like a single hidden layer network, not very complicated.
[00:29:55.140 --> 00:29:58.060]   This phenomenon increases even more.
[00:29:58.060 --> 00:30:00.940]   In other words, they all kind of converge to the same kind of cost.
[00:30:01.940 --> 00:30:04.860]   So let me try to explain what's going on.
[00:30:04.860 --> 00:30:08.980]   So if we go back to the picture of the saddle point, but
[00:30:08.980 --> 00:30:12.460]   instead of being in 2D, imagine you are in a million D.
[00:30:12.460 --> 00:30:16.420]   And in fact, people have billion D networks these days.
[00:30:16.420 --> 00:30:19.140]   I'm sure Andrew has even bigger ones, I'm sure.
[00:30:19.140 --> 00:30:20.420]   >> [LAUGH]
[00:30:20.420 --> 00:30:25.340]   >> But, so what happens in this very
[00:30:25.340 --> 00:30:28.260]   high dimensional space of parameters is that,
[00:30:30.700 --> 00:30:35.620]   if things are not really bad for you, so
[00:30:35.620 --> 00:30:39.300]   if you imagine a little bit of randomness in the way the problem is set up, and
[00:30:39.300 --> 00:30:45.180]   it seems to be the case, in order to have a true local minimum,
[00:30:45.180 --> 00:30:51.540]   you need to have the curvature going up like this in all the billion directions.
[00:30:51.540 --> 00:30:56.700]   So if there is a certain probability of this event happening,
[00:30:56.700 --> 00:31:00.020]   that this particular direction is curving up and this one is curving up,
[00:31:00.020 --> 00:31:04.180]   the probability that all of them curve up becomes exponentially small.
[00:31:04.180 --> 00:31:09.100]   So we tested that experimentally.
[00:31:09.100 --> 00:31:16.220]   What you see in the bottom left is a curve that shows the training error
[00:31:16.220 --> 00:31:21.660]   as a function of what's called the index of the critical point,
[00:31:21.660 --> 00:31:25.860]   which is just the fraction of the directions
[00:31:25.860 --> 00:31:31.780]   which are curving down, right?
[00:31:31.780 --> 00:31:36.700]   So 0% would mean it's a local minimum.
[00:31:36.700 --> 00:31:43.060]   100% would be it's a local maximum, and anything in between is a saddle point.
[00:31:43.060 --> 00:31:49.340]   So what we find is that as training progresses,
[00:31:49.340 --> 00:31:53.460]   we're going close to a bunch of saddle points, and
[00:31:53.460 --> 00:31:58.060]   none of them are local minima, otherwise we would be stuck.
[00:31:58.060 --> 00:32:04.380]   And in fact, we never encounter local minima until
[00:32:04.380 --> 00:32:08.500]   we reach the lowest possible cost that we're able to get.
[00:32:08.500 --> 00:32:14.500]   In addition, there is a theory suggesting that, so
[00:32:14.500 --> 00:32:23.420]   the local minima will actually be close in cost to the global minimum.
[00:32:23.420 --> 00:32:25.420]   They will be above, and
[00:32:25.420 --> 00:32:28.420]   they will concentrate in a little band above the global minimum.
[00:32:28.420 --> 00:32:36.020]   But that band of local minima will be close to the global minimum.
[00:32:36.020 --> 00:32:39.700]   And the larger the dimension, the more this is gonna be true.
[00:32:39.700 --> 00:32:42.420]   So to go back to my analogy, right?
[00:32:42.420 --> 00:32:45.660]   At some point, of course, you will get local minima,
[00:32:45.660 --> 00:32:48.660]   even though it's unlikely when you're in the middle.
[00:32:48.660 --> 00:32:51.380]   When you get close to the bottom, well, you can't go lower.
[00:32:51.380 --> 00:32:53.940]   So it has to rise up in all the directions.
[00:32:53.940 --> 00:32:56.100]   But it's, yeah.
[00:32:56.100 --> 00:32:58.500]   So that's kind of good news.
[00:32:58.500 --> 00:33:00.340]   I think, in spite of this,
[00:33:00.340 --> 00:33:03.660]   I don't think that the optimization problem of neural nets is solved.
[00:33:03.660 --> 00:33:07.500]   There are still many cases where we find ourselves to be stuck.
[00:33:07.500 --> 00:33:10.900]   And we still don't understand what the landscape looks like.
[00:33:10.900 --> 00:33:13.660]   There's a set of beautiful experiments by Ian Goodfellow
[00:33:13.660 --> 00:33:16.540]   that help us visualize a bit what's going on.
[00:33:16.540 --> 00:33:18.940]   But I think one of the open problems of optimization for
[00:33:18.940 --> 00:33:23.300]   neural nets is, what does the landscape actually look like?
[00:33:23.300 --> 00:33:26.060]   It's hard to visualize, of course, because it's very high dimensional.
[00:33:26.060 --> 00:33:32.420]   But for example, we don't know what those saddle points really look like.
[00:33:32.420 --> 00:33:37.580]   When we actually measure the gradient near those,
[00:33:37.580 --> 00:33:40.420]   when we are approaching those saddle points, it's not close to zero.
[00:33:40.420 --> 00:33:42.940]   So we never go to actually flat places.
[00:33:42.940 --> 00:33:45.580]   This may be due to the fact that we're using SGD and
[00:33:45.580 --> 00:33:47.340]   it's kind of hovering above things.
[00:33:47.340 --> 00:33:51.220]   There might be conditioning issues where even if you are at a saddle,
[00:33:51.220 --> 00:33:54.420]   near a saddle point, you might be stuck, even though it's not a local minimum.
[00:33:54.420 --> 00:33:58.380]   Because in many directions, it's still going up,
[00:33:58.380 --> 00:34:01.580]   maybe 95% of the directions.
[00:34:01.580 --> 00:34:06.500]   And the other directions are hard to reach because simply,
[00:34:06.500 --> 00:34:09.460]   there's a lot more curvature in some directions than other directions.
[00:34:09.460 --> 00:34:13.700]   And that's the traditional ill conditioning problem.
[00:34:13.700 --> 00:34:18.300]   We don't know exactly what's making it hard to train some networks.
[00:34:18.300 --> 00:34:20.940]   Usually, conv nets are pretty easy to train.
[00:34:20.940 --> 00:34:23.780]   But when you go into things like machine translation or
[00:34:23.780 --> 00:34:27.900]   even worse, reasoning tasks with things like neural training machines and
[00:34:27.900 --> 00:34:30.580]   things like that, it gets really, really hard to train these things.
[00:34:30.580 --> 00:34:33.700]   And people have to use all kinds of tricks like curriculum learning,
[00:34:33.700 --> 00:34:37.940]   which are essentially optimization tricks, to make the optimization easier.
[00:34:37.940 --> 00:34:42.980]   So I don't want to tell you that, the optimization problem of neural nets is
[00:34:42.980 --> 00:34:45.340]   easy, it's done, we don't need to worry about it.
[00:34:45.340 --> 00:34:47.020]   But it's much easier and
[00:34:47.020 --> 00:34:52.820]   less of a concern than what people thought in the 90s.
[00:34:52.820 --> 00:34:56.740]   Okay, so.
[00:34:56.740 --> 00:35:05.500]   So machine learning, I mean, deep learning is moving out of pattern recognition and
[00:35:05.500 --> 00:35:09.900]   into more complicated tasks, for example, including reasoning and
[00:35:09.900 --> 00:35:13.300]   combining deep learning with reinforcement learning, planning, and
[00:35:13.300 --> 00:35:13.860]   things like that.
[00:35:13.860 --> 00:35:16.540]   You've heard about attention.
[00:35:16.540 --> 00:35:22.980]   That's one of the tools that is really, really useful for many of these tasks.
[00:35:22.980 --> 00:35:28.580]   We've sort of come up with attention
[00:35:28.580 --> 00:35:33.820]   mechanisms as not a way to focus on what's going on in the outside world.
[00:35:33.820 --> 00:35:37.380]   Like we usually think of attention like attention in the visual space, but
[00:35:37.380 --> 00:35:38.900]   internal attention, right?
[00:35:38.900 --> 00:35:41.460]   In the space of representations that have been built.
[00:35:41.460 --> 00:35:45.020]   So that's what we do here in machine translation.
[00:35:45.020 --> 00:35:49.420]   And it's been extremely successful, as Quark said.
[00:35:49.420 --> 00:35:55.060]   So I'm not gonna show you any of these pictures, blah, blah, blah.
[00:35:55.060 --> 00:35:58.260]   So I'm getting more now into the domain of challenges.
[00:36:00.620 --> 00:36:05.020]   A challenge that I've been working on since I was a baby researcher as a PhD
[00:36:05.020 --> 00:36:10.740]   student is long term dependencies and recurrentness.
[00:36:10.740 --> 00:36:13.500]   And although we've made a lot of progress,
[00:36:13.500 --> 00:36:18.020]   this is still something that we haven't completely cracked.
[00:36:18.020 --> 00:36:21.980]   And it's connected to the optimization problem that I told you before, but
[00:36:21.980 --> 00:36:23.940]   it's a very particular kind of optimization problem.
[00:36:26.180 --> 00:36:31.660]   So some of the ideas that we've used to try to make
[00:36:31.660 --> 00:36:37.100]   the propagation of information and gradients easier include
[00:36:37.100 --> 00:36:42.660]   using skip connections over time, include using multiple time scales.
[00:36:42.660 --> 00:36:46.220]   There's some recent work in this direction from my lab and other groups.
[00:36:46.220 --> 00:36:50.420]   And even the attention mechanism itself,
[00:36:50.420 --> 00:36:56.180]   you can think of a way to help dealing with long term dependency.
[00:36:56.180 --> 00:37:02.780]   So the way to see this is to think of
[00:37:02.780 --> 00:37:06.060]   the place on which we're putting attention as part of the state.
[00:37:06.060 --> 00:37:12.500]   So imagine really you have a recurrent net and it has two kinds of state.
[00:37:12.500 --> 00:37:16.580]   It has the usual recurrent net state, but it has the content of the memory.
[00:37:17.620 --> 00:37:20.340]   Kwok told you about memory nets and neural train machines.
[00:37:20.340 --> 00:37:24.140]   And the full state really includes all of these things.
[00:37:24.140 --> 00:37:29.660]   And now we're able to read or write from that memory.
[00:37:29.660 --> 00:37:32.060]   I mean, the little recurrent net is able to do that.
[00:37:32.060 --> 00:37:38.460]   So what happens is that there are memory elements
[00:37:38.460 --> 00:37:43.740]   which don't change over time, maybe they've been written once.
[00:37:43.740 --> 00:37:48.180]   And so the information that has been stored there, it can stay for
[00:37:48.180 --> 00:37:51.700]   as much time as they're not gonna be overwritten.
[00:37:51.700 --> 00:37:57.060]   So that means that if you consider the gradients back
[00:37:57.060 --> 00:38:01.980]   propagated through those cells, they can go pretty much unhampered and
[00:38:01.980 --> 00:38:03.420]   there's no vanishing gradient problem.
[00:38:03.420 --> 00:38:09.380]   So this is something that could be, that view of the problem of long term
[00:38:09.380 --> 00:38:12.300]   dependencies with memory I think could be very useful.
[00:38:13.700 --> 00:38:17.780]   All right, in the last part of my presentation, I wanna tell you about
[00:38:17.780 --> 00:38:21.860]   what I think is the biggest challenge ahead of us, which is unsupervised learning.
[00:38:21.860 --> 00:38:27.620]   Any question about attention and memory before I move on to unsupervised learning?
[00:38:27.620 --> 00:38:36.580]   Okay, so why do we care about unsupervised learning?
[00:38:36.580 --> 00:38:37.220]   It's not working.
[00:38:37.220 --> 00:38:43.940]   >> [LAUGH] >> Well, well, well.
[00:38:43.940 --> 00:38:46.220]   Actually, it's working a lot better than it was, but
[00:38:46.220 --> 00:38:48.860]   it's still not something you find in industrial products.
[00:38:48.860 --> 00:38:51.540]   At least not in an obvious way.
[00:38:51.540 --> 00:38:55.780]   There are less obvious ways where unsupervised learning is actually already
[00:38:55.780 --> 00:38:56.860]   extremely successful.
[00:38:56.860 --> 00:38:59.700]   So for example, when you train word embeddings with Word2Vec or
[00:38:59.700 --> 00:39:02.500]   any other model and you use that to pre-train,
[00:39:02.500 --> 00:39:06.780]   like we did our machine translation systems or other kinds of NLP tasks.
[00:39:06.780 --> 00:39:08.900]   You're exploiting unsupervised learning.
[00:39:08.900 --> 00:39:15.460]   Even when you train a language model that you're gonna stick in some other thing or
[00:39:15.460 --> 00:39:20.100]   pre-train something with that, you're also doing unsupervised learning.
[00:39:20.100 --> 00:39:26.900]   But I think the potential of and
[00:39:26.900 --> 00:39:30.860]   the importance of unsupervised learning is usually underrated.
[00:39:30.860 --> 00:39:35.140]   So why do we care?
[00:39:36.580 --> 00:39:39.580]   First of all, the idea of unsupervised learning is that we can train,
[00:39:39.580 --> 00:39:43.500]   we can learn something from large quantities of unlabeled data that humans
[00:39:43.500 --> 00:39:46.940]   have not curated, and we have lots of that.
[00:39:46.940 --> 00:39:53.500]   Humans are very good at learning from unlabeled data.
[00:39:53.500 --> 00:40:02.540]   I have an example that I use often that makes it very, very clear that,
[00:40:02.540 --> 00:40:05.940]   for example, children can learn all kinds of things about the world,
[00:40:05.940 --> 00:40:11.220]   even though no one, no adult ever tells them
[00:40:11.220 --> 00:40:14.260]   anything about it until much later when it's too late.
[00:40:14.260 --> 00:40:17.420]   >> [LAUGH] >> Physics.
[00:40:17.420 --> 00:40:22.300]   So a two or three year old understands physics.
[00:40:22.300 --> 00:40:28.100]   If she has a ball, she knows what's gonna happen when she drops the ball.
[00:40:28.100 --> 00:40:30.700]   She knows how liquids behave.
[00:40:30.700 --> 00:40:37.020]   She knows all kinds of things about objects and ordinary Newtonian physics,
[00:40:37.020 --> 00:40:40.500]   even though she doesn't have explicit equations and a way to describe them
[00:40:40.500 --> 00:40:45.300]   with words, but she can predict what's gonna happen next, right?
[00:40:45.300 --> 00:40:51.140]   And the parents don't tell the children, force equals mass times acceleration.
[00:40:51.140 --> 00:40:55.620]   >> [LAUGH] >> Right, so
[00:40:55.620 --> 00:40:58.820]   this is purely unsupervised, and it's very powerful.
[00:40:58.820 --> 00:41:00.060]   We don't even have that right now.
[00:41:00.060 --> 00:41:03.260]   We don't have computers that can understand the kinds of physics that
[00:41:03.260 --> 00:41:04.140]   children can understand.
[00:41:04.140 --> 00:41:12.220]   So it looks like it's a skill that humans have, and that's very important for
[00:41:12.220 --> 00:41:15.900]   humans to make sense of the world around us, but
[00:41:15.900 --> 00:41:18.340]   we haven't really yet succeeded to put in machines.
[00:41:18.340 --> 00:41:23.940]   Let me tell you other reasons that are connected to this,
[00:41:23.940 --> 00:41:25.940]   why unsupervised learning could be useful.
[00:41:25.940 --> 00:41:28.220]   When you do supervised learning,
[00:41:28.220 --> 00:41:33.020]   essentially the way you train your system is you focus on a particular task.
[00:41:33.020 --> 00:41:36.380]   It goes, here's the inputs, and here's the input variables, and
[00:41:36.380 --> 00:41:39.460]   here's an output variable that I would like you to predict given the input.
[00:41:39.460 --> 00:41:40.820]   You're learning P of Y given X.
[00:41:40.820 --> 00:41:45.660]   But if you're doing unsupervised learning, essentially you're learning about
[00:41:45.660 --> 00:41:50.340]   all the possible questions that could be asked about the data that you observe.
[00:41:50.340 --> 00:41:54.260]   So it's not that there's X1, X2, X3, and Y.
[00:41:54.260 --> 00:41:55.460]   Everything is an X, and
[00:41:55.460 --> 00:41:58.860]   you can predict any of the X given any of the other X, right?
[00:41:58.860 --> 00:42:01.980]   If I give you a picture and I hide a part of it, you can guess what's missing.
[00:42:01.980 --> 00:42:09.540]   If I hide the caption, you can generate the caption given the image.
[00:42:09.540 --> 00:42:14.260]   If I hide the image and I give you the caption, you can guess what the image
[00:42:14.260 --> 00:42:18.700]   would be or draw it or figure out from examples which one is the most appropriate.
[00:42:18.700 --> 00:42:22.100]   So you can answer any questions about the data
[00:42:22.100 --> 00:42:25.620]   when you have captured the joint distribution between them, essentially.
[00:42:25.620 --> 00:42:28.340]   So that could be useful.
[00:42:28.340 --> 00:42:35.820]   Another practical thing that unsupervised learning has been used,
[00:42:35.820 --> 00:42:38.100]   in fact, this is how the whole deep learning thing started,
[00:42:38.100 --> 00:42:41.420]   is that it could be used as a regularizer.
[00:42:41.420 --> 00:42:50.920]   Because in addition to telling our model that we want to predict Y given X,
[00:42:50.920 --> 00:42:58.180]   we're saying find representations of X that both predict Y and
[00:42:58.180 --> 00:43:01.780]   somehow capture something about the distribution of X,
[00:43:01.780 --> 00:43:06.140]   the leading factors, the explanatory factors of X.
[00:43:06.140 --> 00:43:09.060]   And this, again, is making an assumption about the data, so
[00:43:09.060 --> 00:43:11.700]   we can use that as a regularizer if the assumption is valid.
[00:43:11.700 --> 00:43:18.460]   Essentially, the assumption is that the factor Y that we're trying to predict
[00:43:18.460 --> 00:43:21.360]   is one of the factors that explain X.
[00:43:21.360 --> 00:43:26.000]   And that by doing unsupervised learning to discover factors that explain X,
[00:43:26.000 --> 00:43:29.320]   we're gonna pick Y among the other factors.
[00:43:29.320 --> 00:43:32.120]   And so it's gonna be much easier now to do supervised learning.
[00:43:32.120 --> 00:43:37.600]   Of course, this is also the reason why transfer learning works,
[00:43:37.600 --> 00:43:44.600]   because there are underlying factors that explain the inputs for a bunch of tasks.
[00:43:44.600 --> 00:43:48.980]   And maybe a different subset of factors explain are relevant for one task, and
[00:43:48.980 --> 00:43:51.340]   another subset of factors is relevant for another task.
[00:43:51.340 --> 00:43:53.460]   But if these factors overlap,
[00:43:53.460 --> 00:43:59.020]   then there's a potential for synergy by doing multitask learning.
[00:43:59.020 --> 00:44:02.940]   So the reason multitask learning is working is because unsupervised learning
[00:44:02.940 --> 00:44:08.300]   is working, is because there are representations and
[00:44:08.300 --> 00:44:11.620]   factors that explain the data that can be useful for
[00:44:11.620 --> 00:44:14.140]   our supervised learning tasks of interest.
[00:44:15.120 --> 00:44:18.360]   That also could be used for domain adaptation for the same reason.
[00:44:18.360 --> 00:44:26.960]   The other thing that people don't talk about as much about unsupervised learning,
[00:44:26.960 --> 00:44:30.760]   and I think it was part of the initial success that we had with stacking auto
[00:44:30.760 --> 00:44:35.880]   encoders and RBMs, is that you can actually make the optimization problem of
[00:44:35.880 --> 00:44:37.080]   training deep nets easier.
[00:44:38.760 --> 00:44:43.820]   Cuz if you're gonna, for the most part,
[00:44:43.820 --> 00:44:48.260]   if you're gonna train a bunch of RBMs or a bunch of auto encoders, and
[00:44:48.260 --> 00:44:50.540]   I'm not saying this is the right way of doing it, but
[00:44:50.540 --> 00:44:54.020]   it captures some of the spirit of what unsupervised learning does.
[00:44:54.020 --> 00:44:55.700]   A lot of the learning can be done locally.
[00:44:55.700 --> 00:44:57.580]   You're trying to extract some information,
[00:44:57.580 --> 00:45:00.340]   you're trying to discover some dependencies, that's a local thing.
[00:45:00.340 --> 00:45:03.540]   Once we have a slightly better representation, we can again tweak it to
[00:45:03.540 --> 00:45:06.460]   extract better, more independence, or something like that.
[00:45:06.460 --> 00:45:09.680]   So there's a sense in which the optimization problem
[00:45:09.680 --> 00:45:11.480]   might be easier if you have a very deep net.
[00:45:11.480 --> 00:45:16.400]   Another reason why we should care about unsupervised learning,
[00:45:16.400 --> 00:45:19.520]   even if our ultimate goal is to do supervised learning,
[00:45:19.520 --> 00:45:24.480]   is because sometimes the output variables are complicated.
[00:45:24.480 --> 00:45:26.640]   They are compositional.
[00:45:26.640 --> 00:45:28.520]   They have a joint distribution.
[00:45:28.520 --> 00:45:33.080]   So in machine translation, which we talked about, the output is a sentence.
[00:45:33.080 --> 00:45:36.740]   A sentence is a set of, is a tuple of words that have a complicated joint
[00:45:36.740 --> 00:45:39.260]   distribution given the input in the other language.
[00:45:39.260 --> 00:45:44.060]   And so it turns out that many of the things we discover by exploring
[00:45:44.060 --> 00:45:48.180]   unsupervised learning, which is essentially about capturing joint distributions,
[00:45:48.180 --> 00:45:53.820]   can be often used to deal with these structured output problems where
[00:45:53.820 --> 00:45:59.100]   you have many outputs that form a compositional, complicated distribution.
[00:46:01.500 --> 00:46:04.000]   There's another reason why unsupervised learning, I think,
[00:46:04.000 --> 00:46:05.960]   is going to be really necessary for AI.
[00:46:05.960 --> 00:46:11.120]   Model-based reinforcement learning.
[00:46:11.120 --> 00:46:16.520]   So I think I have another slide just for this.
[00:46:16.520 --> 00:46:23.760]   Let's think about self-driving cars.
[00:46:23.760 --> 00:46:25.200]   This is a very popular topic these days.
[00:46:29.080 --> 00:46:33.720]   How did I learn that I shouldn't do some things with the wheel
[00:46:33.720 --> 00:46:36.360]   that will kill myself when I'm driving?
[00:46:36.360 --> 00:46:41.800]   Because I haven't experienced these states where I get killed.
[00:46:41.800 --> 00:46:45.440]   And I simply haven't done it like a thousand times to learn how to avoid it.
[00:46:45.440 --> 00:46:53.000]   So supervised learning where our rather traditional reinforcement learning,
[00:46:53.000 --> 00:46:58.680]   like policy learning kind of thing,
[00:46:58.680 --> 00:47:03.560]   or actor-critic or things like that, won't work because
[00:47:03.560 --> 00:47:10.440]   I need to generalize about situations that
[00:47:10.440 --> 00:47:13.320]   I'm never going to encounter, because otherwise if I did, I would die.
[00:47:13.320 --> 00:47:21.200]   So these are like dangerous states that I need to generalize about these states,
[00:47:21.200 --> 00:47:25.360]   but I can't have enough data for them.
[00:47:25.360 --> 00:47:28.440]   And I'm sure there are lots of machine learning applications where
[00:47:28.440 --> 00:47:30.600]   we would be in that situation.
[00:47:30.600 --> 00:47:36.880]   I remember a couple of decades ago, I got some data from a nuclear plant.
[00:47:36.880 --> 00:47:40.520]   And so they wanted to predict that when it's going to blow up.
[00:47:40.520 --> 00:47:45.320]   >> [LAUGH] >> To avoid it.
[00:47:45.320 --> 00:47:48.200]   So I said, how many examples?
[00:47:48.200 --> 00:47:52.120]   >> [LAUGH] >> I said zero.
[00:47:54.440 --> 00:47:58.520]   Right, so you see, sometimes it's hard to do supervised learning,
[00:47:58.520 --> 00:48:01.360]   because the data you'd like to have, you can't have.
[00:48:01.360 --> 00:48:04.280]   It's data that situations that are very rare.
[00:48:04.280 --> 00:48:08.520]   So how can we possibly solve this problem?
[00:48:08.520 --> 00:48:13.760]   Well, the only solution I can see is that we learn enough about the world
[00:48:13.760 --> 00:48:16.600]   that we can predict how things would unfold.
[00:48:16.600 --> 00:48:21.280]   When I'm driving, I have a kind of mental model of physics and
[00:48:21.280 --> 00:48:25.880]   how cars behave that I can figure out if I turn to right at this point,
[00:48:25.880 --> 00:48:29.200]   I'm going to end up on the wall and this is going to be very bad for me.
[00:48:29.200 --> 00:48:32.040]   And I don't need to actually experience that to know that it's bad.
[00:48:32.040 --> 00:48:36.440]   I can make a mental simulation of what would happen.
[00:48:36.440 --> 00:48:41.560]   So I need a kind of generative model of how the world would unfold
[00:48:41.560 --> 00:48:43.200]   if I do such and such actions.
[00:48:43.200 --> 00:48:48.120]   And unsupervised learning is sort of the ideal thing to do that.
[00:48:48.120 --> 00:48:51.400]   But of course, it's going to be hard because we're going to have to train
[00:48:51.400 --> 00:48:57.680]   models that capture a lot of aspects of the world in order to be able to learn
[00:48:57.680 --> 00:49:02.720]   to generalize properly in those situations even though they don't see any data of it.
[00:49:02.720 --> 00:49:13.000]   So that's one reason why I think reinforcement learning needs to be
[00:49:13.000 --> 00:49:13.680]   worked on more.
[00:49:18.000 --> 00:49:20.200]   So I have a little thing here.
[00:49:20.200 --> 00:49:26.360]   I think people who have been doing deep learning can collaborate with people
[00:49:26.360 --> 00:49:28.400]   who are doing reinforcement learning and
[00:49:28.400 --> 00:49:32.960]   not just by providing a black box that they can use in their usual algorithms.
[00:49:32.960 --> 00:49:38.280]   I think there are things that we do in supervised deep learning that, or
[00:49:38.280 --> 00:49:43.200]   unsupervised deep learning, that can be useful in sort of rethinking
[00:49:43.200 --> 00:49:44.120]   our reinforcement learning.
[00:49:44.120 --> 00:49:52.520]   So one example, well, one thing I really like to think about is credit assignment.
[00:49:52.520 --> 00:49:56.640]   In other words, how do different machine learning algorithms figure out what
[00:49:56.640 --> 00:50:00.120]   the hidden units are supposed to do, what the intermediate computations or
[00:50:00.120 --> 00:50:01.760]   the intermediate actions should be?
[00:50:01.760 --> 00:50:03.200]   This is what credit assignment is about.
[00:50:03.200 --> 00:50:09.520]   And that prop is the best recipe we currently have for doing credit assignment.
[00:50:09.520 --> 00:50:14.200]   It tells the parameters of some intermediate layer how they should change
[00:50:14.200 --> 00:50:17.560]   so that the cost much, much later, 100 steps later,
[00:50:17.560 --> 00:50:20.320]   if it's a recurrent net, should be reduced.
[00:50:20.320 --> 00:50:27.440]   So we could probably use some inspiration from back prop and
[00:50:27.440 --> 00:50:31.960]   how it's used to improve reinforcement learning.
[00:50:31.960 --> 00:50:38.600]   And one such cue is how
[00:50:38.600 --> 00:50:44.680]   when we do supervised back prop, say, we don't predict
[00:50:44.680 --> 00:50:50.080]   the expected loss that we're gonna have and then try to minimize it.
[00:50:50.080 --> 00:50:55.120]   Where the expectation would be over the different realizations of the correct
[00:50:55.120 --> 00:50:55.760]   class.
[00:50:55.760 --> 00:50:56.880]   That's not what we do.
[00:50:56.880 --> 00:50:58.160]   But this is what people do in RL.
[00:50:58.160 --> 00:51:04.240]   They will learn a critic or a cue function,
[00:51:04.240 --> 00:51:10.000]   which is learning the expected value of the future reward or future loss.
[00:51:10.000 --> 00:51:14.000]   In our case, that might be minus log probability of the correct answer given
[00:51:14.000 --> 00:51:14.500]   the input.
[00:51:14.500 --> 00:51:19.160]   And then they will back prop through this or
[00:51:19.160 --> 00:51:23.640]   use it to estimate the gradient on the actions.
[00:51:23.640 --> 00:51:31.080]   Instead, when we do supervised learning, we're gonna do credit assignment
[00:51:32.520 --> 00:51:36.440]   where we use the particular observations of the correct class that actually
[00:51:36.440 --> 00:51:38.760]   happened for this x, right?
[00:51:38.760 --> 00:51:40.840]   We have x, we have y, and
[00:51:40.840 --> 00:51:45.280]   we use the y to figure out how to change our prediction or our action.
