
[00:00:00.940 --> 00:00:02.680]   - Well, welcome gentlemen.
[00:18:43.000 --> 00:18:46.880]   So Christ told us that's his very nature to do that.
[00:18:46.880 --> 00:18:50.680]   So in society, we can say that the lies
[00:18:50.680 --> 00:18:55.560]   are propagated by the hand of the enemy.
[00:18:55.560 --> 00:18:56.560]   So we do battle.
[00:18:56.560 --> 00:18:59.640]   And this is why Ephesians chapter six tells us what?
[00:18:59.640 --> 00:19:02.240]   That we're not fighting against flesh and blood.
[00:19:02.240 --> 00:19:05.840]   This is why Paul said, even what we heard
[00:19:05.840 --> 00:19:09.120]   in the first message from 2 Corinthians,
[00:19:09.120 --> 00:19:14.120]   that these spiritual fortresses, we bring down.
[00:19:14.120 --> 00:19:17.200]   We bring them down with different weapons.
[00:19:17.200 --> 00:19:20.760]   And that weapon is the truth of God's word
[00:19:20.760 --> 00:19:21.600]   and his preaching.
[00:19:21.600 --> 00:19:25.920]   - Ultimately, the key approach is bringing truth to bear.
[00:19:25.920 --> 00:19:27.320]   - Tom, you had something in mind.
[00:19:27.320 --> 00:19:28.320]   You're looking for a passage.
[00:19:28.320 --> 00:19:29.160]   I can read that in your face.
[00:19:29.160 --> 00:19:30.320]   - No, I just noticed you were quizzing us,
[00:19:30.320 --> 00:19:31.520]   so I thought I might be prepared.
[00:19:31.520 --> 00:19:33.840]   (audience laughing)
[00:19:33.840 --> 00:19:34.680]   - Good man.
[00:19:34.680 --> 00:19:38.240]   - I'm reading that back, I didn't know.
[00:19:38.240 --> 00:19:41.040]   - You kind of already went through ordination, George.
[00:19:41.040 --> 00:19:42.760]   (audience laughing)
[00:19:42.760 --> 00:19:45.080]   - Always be ready to speak and give a defense
[00:19:45.080 --> 00:19:46.400]   of the hope that is in you, George.
[00:19:46.400 --> 00:19:47.880]   - Especially with George.
[00:19:47.880 --> 00:19:48.720]   - Go ahead, Tom.
[00:19:48.720 --> 00:19:53.280]   - No, I was just gonna say, in our particular context,
[00:19:53.280 --> 00:19:55.640]   because of the fact we are just down the street
[00:19:55.640 --> 00:19:59.760]   from one of the largest charismatic churches in California,
[00:19:59.760 --> 00:20:01.960]   we have dealt over the years with the fact
[00:20:01.960 --> 00:20:06.880]   that people have come and done a lot of confessing blame
[00:20:06.880 --> 00:20:09.400]   on Satan for their sin.
[00:20:09.400 --> 00:20:12.540]   And so instead of going to the book of James
[00:20:12.540 --> 00:20:16.400]   and speaking about, well, isn't that from the temptations
[00:20:16.400 --> 00:20:20.160]   which wage war in you, and isn't that also your own sin
[00:20:20.160 --> 00:20:21.240]   giving birth to that?
[00:20:21.240 --> 00:20:24.880]   And so we've had to kind of walk people back
[00:20:24.880 --> 00:20:29.120]   from emphasis on, as Sanford and Sons used to say,
[00:20:29.120 --> 00:20:30.780]   the devil made me do it, if you remember that.
[00:20:30.780 --> 00:20:31.620]   Some of you are not old enough to know that.
[00:20:31.620 --> 00:20:32.960]   - That was Flip Wilson, Tom.
[00:20:32.960 --> 00:20:34.480]   - Flip Wilson, excuse me.
[00:20:34.480 --> 00:20:39.200]   I defer, so I can't get the scripture right
[00:20:39.200 --> 00:20:40.840]   or the television program right.
[00:20:40.840 --> 00:20:42.480]   (audience laughing)
[00:20:42.480 --> 00:20:45.000]   But do you know the idea there is,
[00:20:45.000 --> 00:20:47.960]   that's a real thing that sometimes our church, I believe,
[00:20:47.960 --> 00:20:51.440]   can almost discount because we're trying to overcorrect
[00:20:51.440 --> 00:20:54.120]   from people who think that there's so much influence
[00:20:54.120 --> 00:20:56.960]   by Satan that the devil made me do it.
[00:20:56.960 --> 00:20:59.660]   So it's a balance that we walk.
[00:20:59.660 --> 00:21:01.360]   Years ago, people would come here
[00:21:01.360 --> 00:21:05.660]   and have just been so obsessed with the idea
[00:21:05.660 --> 00:21:08.920]   that Satan is guiding their every thought,
[00:21:08.920 --> 00:21:10.280]   even though they're believers.
[00:21:10.280 --> 00:21:11.960]   And we're saying that can't be true.
[00:21:11.960 --> 00:21:15.920]   You can be influenced, you can be harassed.
[00:21:15.920 --> 00:21:18.160]   Satan is powerful.
[00:21:18.160 --> 00:21:20.520]   You go to the book of Job chapter one,
[00:21:20.520 --> 00:21:22.480]   and you see with God's permission,
[00:21:22.480 --> 00:21:24.800]   he can do whatever God allows him to do.
[00:21:24.800 --> 00:21:28.160]   As Luther said, the devil is God's devil.
[00:21:28.160 --> 00:21:30.080]   And so that is something that we have
[00:21:30.080 --> 00:21:31.280]   to keep in balance here.
[00:21:31.280 --> 00:21:33.960]   So instead of overcompensating and trying to say,
[00:21:33.960 --> 00:21:36.320]   no, it's all just your sin,
[00:21:36.320 --> 00:21:38.040]   we have to have an appreciation for the fact,
[00:21:38.040 --> 00:21:40.920]   no, Satan is real, is the tempter.
[00:21:40.920 --> 00:21:45.640]   Even in the Lord's Prayer, many translations will say,
[00:21:45.640 --> 00:21:48.800]   keep us from temptation and deliver us from evil
[00:21:48.800 --> 00:21:50.400]   or from the evil one.
[00:21:50.400 --> 00:21:51.240]   - The evil one.
[00:21:51.240 --> 00:21:54.400]   - So you have to be mindful that there is a balance in that,
[00:21:54.400 --> 00:21:57.280]   and you're always kind of never wanting to discount
[00:21:57.280 --> 00:22:02.120]   the power of that creature, as was described earlier today,
[00:22:02.120 --> 00:22:03.600]   but also on the other side,
[00:22:03.600 --> 00:22:05.680]   not to de-emphasize someone's own sin
[00:22:05.680 --> 00:22:07.760]   for leading them into temptation.
[00:22:07.760 --> 00:22:09.120]   - Excellent, excellent.
[00:22:09.120 --> 00:22:10.200]   Bill, you wanna add anything?
[00:22:10.200 --> 00:22:11.560]   - Yes, I do.
[00:22:11.560 --> 00:22:12.880]   I'm thinking, I'm looking out here,
[00:22:12.880 --> 00:22:15.440]   and I see either men that are elders,
[00:22:15.440 --> 00:22:16.920]   men that are about to be elders,
[00:22:16.920 --> 00:22:20.260]   maybe men that are thinking they'd like to be elders.
[00:22:20.260 --> 00:22:22.760]   How do we protect the church?
[00:22:22.760 --> 00:22:25.200]   We have to know the truth ourselves
[00:22:25.200 --> 00:22:27.260]   in order to protect the church,
[00:22:27.260 --> 00:22:28.920]   'cause you have people that come,
[00:22:28.920 --> 00:22:30.680]   that wanna become members even,
[00:22:30.680 --> 00:22:32.440]   and I've seen that at Grace Church,
[00:22:32.440 --> 00:22:34.880]   wanna become members and they can't give a testimony
[00:22:34.880 --> 00:22:37.940]   or they don't know the answer to some simple questions.
[00:22:37.940 --> 00:22:39.960]   That's how we protect the church.
[00:22:39.960 --> 00:22:43.000]   When we just give 'em a rubber stamp and let 'em in,
[00:22:43.000 --> 00:22:45.080]   all you're doing is letting in trouble.
[00:22:45.080 --> 00:22:48.440]   So you have to protect that church as much as possible,
[00:22:48.440 --> 00:22:50.540]   and that is not only just the preaching,
[00:22:50.540 --> 00:22:52.460]   but then when you're visiting with them,
[00:22:52.460 --> 00:22:55.640]   even one-on-one, wait a minute, that's not true.
[00:22:55.640 --> 00:22:58.700]   I had somebody give me a testimony once.
[00:22:58.700 --> 00:23:00.780]   He says, "Yes, when I was three or four,
[00:23:00.780 --> 00:23:03.400]   "I went to sleep and I believed I was in heaven.
[00:23:03.400 --> 00:23:06.940]   "I saw Jesus, Mary, and Joseph, and I became a Christian."
[00:23:06.940 --> 00:23:09.500]   I knew right away he didn't become a Christian,
[00:23:09.500 --> 00:23:12.260]   'cause he did not know what it meant
[00:23:12.260 --> 00:23:15.020]   to be a believer in the Lord Jesus Christ.
[00:23:15.020 --> 00:23:18.220]   So make sure of protecting the church first, right up front.
[00:23:18.220 --> 00:23:22.340]   - Acts 20, Paul writes to the Ephesian elders,
[00:23:22.340 --> 00:23:26.700]   "Keep watch over yourself, keep watch over the church."
[00:23:26.700 --> 00:23:29.540]   One of the most thought-provoking passages
[00:23:29.540 --> 00:23:30.860]   in all of the New Testament, he says,
[00:23:30.860 --> 00:23:34.500]   "From among yourselves there will arise men,"
[00:23:34.500 --> 00:23:36.420]   and these were men who he had discipled,
[00:23:36.420 --> 00:23:39.380]   these were men whom he had served with,
[00:23:39.380 --> 00:23:41.500]   prayed with, cried with.
[00:23:41.500 --> 00:23:43.520]   He says, "From among yourselves there will be men
[00:23:43.520 --> 00:23:46.960]   "who arise to pervert the truth,
[00:23:46.960 --> 00:23:50.160]   "to draw people away after themselves."
[00:23:50.160 --> 00:23:52.500]   We have to be vigilant against even that.
[00:23:52.500 --> 00:23:54.780]   Fantastic to point that out, Bill.
[00:23:54.780 --> 00:23:59.800]   If you want any more thought on this information,
[00:23:59.800 --> 00:24:03.520]   I would recommend, first of all, John's sermon,
[00:24:03.520 --> 00:24:08.520]   November of 2017, on this particular text, Galatians 3.1.
[00:24:08.520 --> 00:24:12.640]   Also, Luther on Galatians 3.1.
[00:24:12.640 --> 00:24:14.200]   We don't wanna make too much of it,
[00:24:14.200 --> 00:24:18.420]   but we do not want to ignore the reality of it.
[00:24:18.420 --> 00:24:21.560]   Now, we're living in a world, as a culture,
[00:24:21.560 --> 00:24:26.560]   we've talked about this already, Romans 1.25.
[00:24:26.560 --> 00:24:32.100]   We're looking at a world that has perverted good and evil.
[00:24:32.100 --> 00:24:37.180]   Isaiah 5.20, Malachi 2.17, people are saying,
[00:24:37.180 --> 00:24:38.740]   "Where is the God of justice?
[00:24:38.740 --> 00:24:40.720]   "Why isn't he doing anything about this?"
[00:24:40.720 --> 00:24:44.040]   They're calling that which the scripture says evil,
[00:24:44.040 --> 00:24:47.260]   they're calling it good, and they're doing the converse.
[00:24:47.260 --> 00:24:50.740]   How do we cope and respond to that within the church?
[00:24:50.740 --> 00:24:51.880]   I'll start with Bill,
[00:24:51.880 --> 00:24:53.920]   and then we'll work our way back to Carl.
[00:24:53.920 --> 00:24:57.840]   - Again, you still have to come back to teaching the truth.
[00:24:57.840 --> 00:25:00.960]   If you're just having coffee
[00:25:00.960 --> 00:25:03.000]   and just having those kinds of times,
[00:25:03.000 --> 00:25:05.400]   I think you need to be upfront with your people
[00:25:05.400 --> 00:25:07.840]   and teaching them all the time.
[00:25:07.840 --> 00:25:09.880]   That is what's, I think, most vital,
[00:25:09.880 --> 00:25:14.240]   is somebody came here and visited Grace Church.
[00:25:14.240 --> 00:25:17.080]   They took a walk around.
[00:25:17.080 --> 00:25:18.880]   They spent two weeks here.
[00:25:18.880 --> 00:25:20.460]   The guy came to me afterwards, and he says,
[00:25:20.460 --> 00:25:23.380]   "All you guys do here is teach God's word."
[00:25:23.380 --> 00:25:25.480]   (audience laughing)
[00:25:25.480 --> 00:25:28.040]   - And we say, "You have a problem with that?"
[00:25:28.040 --> 00:25:29.020]   - I looked at him, and I said,
[00:25:29.020 --> 00:25:31.240]   "Is there something else to teach?"
[00:25:31.240 --> 00:25:33.680]   Because, I mean, what do we have?
[00:25:33.680 --> 00:25:36.480]   The only thing that makes it valid right here
[00:25:36.480 --> 00:25:39.200]   is God's truth, and he's given it to us,
[00:25:39.200 --> 00:25:41.800]   and we need to continue to teach that.
[00:25:41.800 --> 00:25:45.800]   - And that, by the way, is the basis of all of our counsel.
[00:25:45.800 --> 00:25:49.920]   There is, at times, very subtle ways
[00:25:49.920 --> 00:25:52.480]   of trying to inject something else
[00:25:52.480 --> 00:25:55.440]   into being the basis of our counseling.
[00:25:55.440 --> 00:25:59.280]   No, we are from the scripture.
[00:25:59.280 --> 00:26:03.800]   We will not speak beyond what God has called us to say.
[00:26:03.800 --> 00:26:05.240]   Tom.
[00:26:05.240 --> 00:26:08.400]   - Well, just listening to what you were saying,
[00:26:08.400 --> 00:26:11.480]   the world does say what is evil is good,
[00:26:11.480 --> 00:26:15.520]   and we say that no, that's defined by scripture.
[00:26:15.520 --> 00:26:18.520]   So it does go back even to what Bill's talking about,
[00:26:18.520 --> 00:26:22.320]   which is to be known by being a man of the word.
[00:26:22.320 --> 00:26:25.880]   And what I've noticed is that it's very, very easy
[00:26:25.880 --> 00:26:27.920]   just to get into kind of practical,
[00:26:27.920 --> 00:26:30.320]   one-on-one discussion with your flock,
[00:26:30.320 --> 00:26:33.480]   social things, issues in life,
[00:26:33.480 --> 00:26:36.300]   and to try to kind of relate to them,
[00:26:36.300 --> 00:26:39.520]   and to stray away from just going to the Bible,
[00:26:39.520 --> 00:26:41.840]   because people might think, well, they know this,
[00:26:41.840 --> 00:26:43.720]   they've heard this, this is not something that,
[00:26:43.720 --> 00:26:45.540]   I just don't want to be a person
[00:26:45.540 --> 00:26:47.580]   that's like a Bible thumper, if you will.
[00:26:47.580 --> 00:26:50.600]   But in my experience, when you don't do that,
[00:26:50.600 --> 00:26:51.880]   at least at our church, and again,
[00:26:51.880 --> 00:26:54.480]   I haven't been anywhere in years and years,
[00:26:54.480 --> 00:26:57.440]   he's thumping the Bible,
[00:26:57.440 --> 00:27:00.520]   is that when we don't do that,
[00:27:00.520 --> 00:27:02.560]   people will literally criticize,
[00:27:02.560 --> 00:27:04.680]   and will sit there and say, you know what,
[00:27:04.680 --> 00:27:07.080]   so-and-so, I went to see him,
[00:27:07.080 --> 00:27:09.560]   and he didn't open up in prayer,
[00:27:09.560 --> 00:27:11.560]   he didn't direct me to passages
[00:27:11.560 --> 00:27:13.720]   with addresses assigned to them,
[00:27:13.720 --> 00:27:16.280]   all we did was talk about my issues,
[00:27:16.280 --> 00:27:17.700]   and I'm thinking, that happened here?
[00:27:17.700 --> 00:27:18.800]   That happened at Grace Church?
[00:27:18.800 --> 00:27:22.480]   So, don't be afraid to just open the Bible,
[00:27:22.480 --> 00:27:24.580]   in fact, in my office, if you come in,
[00:27:24.580 --> 00:27:26.480]   I just have a Bible that's already open
[00:27:26.480 --> 00:27:28.440]   on the other side of the table,
[00:27:28.440 --> 00:27:31.280]   and it's there so people don't even have an excuse,
[00:27:31.280 --> 00:27:32.660]   because if they don't bring their Bible,
[00:27:32.660 --> 00:27:34.200]   there's one right there, it's open,
[00:27:34.200 --> 00:27:36.960]   and then I have them read out the passage
[00:27:36.960 --> 00:27:38.320]   that I'm directing them to,
[00:27:38.320 --> 00:27:40.400]   because sometimes it's even more effective for me
[00:27:40.400 --> 00:27:43.560]   to have them hear their own voice speak God's word,
[00:27:43.560 --> 00:27:45.080]   than even me to speak it to them,
[00:27:45.080 --> 00:27:47.340]   so they have to actually take the time to do it,
[00:27:47.340 --> 00:27:50.120]   it's a simple little technique someone told me years ago,
[00:27:50.120 --> 00:27:53.240]   but again, it goes back to the question,
[00:27:53.240 --> 00:27:55.880]   how do you discern between what is good and what is evil?
[00:27:55.880 --> 00:27:57.480]   Well, there's only one way to discern it,
[00:27:57.480 --> 00:27:58.840]   and that is through God's word,
[00:27:58.840 --> 00:28:02.520]   and we believe that, but sometimes through time urgency,
[00:28:02.520 --> 00:28:06.440]   or just, I don't know, the desire to be,
[00:28:06.440 --> 00:28:08.040]   maybe if you have a small church,
[00:28:08.040 --> 00:28:12.640]   the desire to be more kind of a friendly,
[00:28:12.640 --> 00:28:14.240]   user-friendly kind of church,
[00:28:14.240 --> 00:28:17.280]   where you're not trying to quote-unquote judge them,
[00:28:17.280 --> 00:28:21.040]   that you might talk politics, you might talk philosophy,
[00:28:21.040 --> 00:28:22.420]   or whatever you might do,
[00:28:22.420 --> 00:28:24.640]   and you know it's not what they need,
[00:28:24.640 --> 00:28:26.520]   but you're trying to be relatable,
[00:28:26.520 --> 00:28:28.960]   I would just really say that the most relatable thing
[00:28:28.960 --> 00:28:31.260]   in the world is just cutting it straight,
[00:28:31.260 --> 00:28:32.760]   and cutting it straight with the Bible
[00:28:32.760 --> 00:28:34.640]   is the only option that we have.
[00:28:34.640 --> 00:28:36.320]   - Great, and Tom, Carl?
[00:28:36.320 --> 00:28:40.880]   - Carl, yeah, let's just kind of be direct here,
[00:28:40.880 --> 00:28:43.700]   it's the word of God, we all agree with that,
[00:28:43.700 --> 00:28:47.520]   that's why you came here with 5,000 other men
[00:28:47.520 --> 00:28:48.480]   to this conference,
[00:28:48.480 --> 00:28:50.640]   because you knew you would hear the word of God,
[00:28:50.640 --> 00:28:53.080]   so look at 1 Timothy with me,
[00:28:53.080 --> 00:28:56.720]   you would notice if you were to go through Timothy,
[00:28:56.720 --> 00:28:58.760]   I think it was like 13 places
[00:28:58.760 --> 00:29:01.720]   where you're going to see the doctrine
[00:29:01.720 --> 00:29:05.960]   either said specifically or by clear inference.
[00:29:05.960 --> 00:29:11.440]   Verse three, not to teach strange doctrines,
[00:29:11.440 --> 00:29:14.260]   so you're instructing, which means you're teaching.
[00:29:14.260 --> 00:29:17.920]   Verse five, the goal of our instruction,
[00:29:17.920 --> 00:29:22.000]   love, pure heart, good conscience, sincere faith.
[00:29:22.000 --> 00:29:26.600]   Notice verse 15, it's a trustworthy statement,
[00:29:26.600 --> 00:29:29.920]   deserving full, notice, full acceptance,
[00:29:29.920 --> 00:29:31.400]   full acceptance.
[00:29:31.400 --> 00:29:36.400]   Verse 17, this lofty theology of God,
[00:29:36.400 --> 00:29:39.920]   king, eternal, immortal, invisible, only God,
[00:29:39.920 --> 00:29:42.640]   glory and honor forever and ever.
[00:29:42.640 --> 00:29:47.440]   Look at chapter two, there in verse five,
[00:29:47.440 --> 00:29:50.040]   there's one mediator, God and man,
[00:29:50.040 --> 00:29:51.660]   this is teaching doctrine.
[00:29:52.560 --> 00:29:56.400]   Verse 13 and 14, Adam was first created,
[00:29:56.400 --> 00:30:01.100]   then Eve, the woman was deceived.
[00:30:01.100 --> 00:30:03.200]   Look at chapter three, verse one,
[00:30:03.200 --> 00:30:06.440]   it's a trustworthy statement, he says.
[00:30:06.440 --> 00:30:11.440]   Chapter 315, how you should conduct yourselves.
[00:30:11.440 --> 00:30:15.480]   Now, this is your behavior in the household of God,
[00:30:15.480 --> 00:30:18.300]   which is that pillar in support of the truth.
[00:30:18.300 --> 00:30:20.880]   Chapter four, verse one, let me tell you,
[00:30:20.880 --> 00:30:23.720]   the latter times, we've already talked about that.
[00:30:23.720 --> 00:30:25.800]   Expect it, this is what Tom was saying,
[00:30:25.800 --> 00:30:28.280]   expect it, the doctrines of demons.
[00:30:28.280 --> 00:30:33.280]   Again, there is doctrinal misappropriation error
[00:30:33.280 --> 00:30:35.640]   in the church, who's behind it?
[00:30:35.640 --> 00:30:38.880]   Well, the scripture just says demons are.
[00:30:38.880 --> 00:30:43.160]   So verse six, the words of the faith
[00:30:43.160 --> 00:30:46.400]   and the sound doctrine which you've been following.
[00:30:46.400 --> 00:30:48.800]   Verse nine, trustworthy statement.
[00:30:48.800 --> 00:30:51.800]   Verse 11, prescribe and teach these things.
[00:30:51.800 --> 00:30:55.160]   Verse 16, pay close attention to yourself
[00:30:55.160 --> 00:30:58.160]   and to your teaching, he says, and then it ends,
[00:30:58.160 --> 00:31:01.180]   I think the last one is chapter six, verse two.
[00:31:01.180 --> 00:31:06.180]   Teach and prescribe and preach these principles.
[00:31:06.180 --> 00:31:08.360]   Pretty convincing, at least for me it is.
[00:31:08.360 --> 00:31:12.160]   - All scripture is inspired by God.
[00:31:12.160 --> 00:31:14.700]   We read that in 2 Timothy 3.
[00:31:14.700 --> 00:31:18.480]   And yet, there is a sense in which those of us
[00:31:18.480 --> 00:31:22.000]   who are in leadership find ourselves again and again
[00:31:22.000 --> 00:31:24.000]   and again in the pastoral epistles.
[00:31:24.000 --> 00:31:29.000]   In fact, I came across a quote in none other than Augustine,
[00:31:29.000 --> 00:31:32.320]   which says if you have any position of leadership,
[00:31:32.320 --> 00:31:35.640]   the pastoral epistles need to be continually
[00:31:35.640 --> 00:31:36.600]   before your mind.
[00:31:36.600 --> 00:31:40.080]   So I appreciate you mentioning 1 Timothy,
[00:31:40.080 --> 00:31:41.520]   2 Timothy, and Titus.
[00:31:41.520 --> 00:31:44.780]   Don't let them get out of your thinking, ever.
[00:31:44.780 --> 00:31:47.800]   We're gonna have three questions,
[00:31:47.800 --> 00:31:50.560]   and then we're gonna try to, what's that?
[00:31:50.560 --> 00:31:51.400]   - The timing.
[00:31:51.400 --> 00:31:52.680]   - Yeah, three questions.
[00:31:52.680 --> 00:31:53.560]   - Time's running out.
[00:31:53.560 --> 00:31:58.560]   - Number one, pastor, my wife has just been diagnosed
[00:31:58.560 --> 00:32:02.360]   with fill in the blank, incurable disease of some sort,
[00:32:02.360 --> 00:32:05.480]   Alzheimer's, ALS, whatever it is.
[00:32:05.480 --> 00:32:07.200]   How do I cope with that?
[00:32:07.200 --> 00:32:10.120]   How does the truth come to bear on this?
[00:32:10.120 --> 00:32:12.720]   Bill?
[00:32:12.720 --> 00:32:16.200]   - Again, you're going to go to trusting God.
[00:32:17.120 --> 00:32:22.120]   Some have had that, heard those words, trust God.
[00:32:22.120 --> 00:32:30.880]   I was in a foreign country and heard those words, trust God.
[00:32:30.880 --> 00:32:34.000]   That's what you have to believe.
[00:32:34.000 --> 00:32:34.840]   - Very quickly.
[00:32:34.840 --> 00:32:36.800]   - I'll defer.
[00:32:36.800 --> 00:32:40.880]   - Well, I mean, something like that.
[00:32:40.880 --> 00:32:43.680]   There's so many different nuances,
[00:32:43.680 --> 00:32:47.080]   but ultimately, you first start with their faith.
[00:32:47.080 --> 00:32:48.400]   Are they really believers?
[00:32:48.400 --> 00:32:51.160]   And I know that seems like such a,
[00:32:51.160 --> 00:32:54.960]   it can become such a difficult thing at times.
[00:32:54.960 --> 00:32:56.800]   You have somebody in your church for a long time,
[00:32:56.800 --> 00:32:58.540]   and they're going through a hardship,
[00:32:58.540 --> 00:33:01.040]   and as you look at that, you might sit there and go,
[00:33:01.040 --> 00:33:03.520]   well, let's go back over first the truth
[00:33:03.520 --> 00:33:06.580]   before we get into the particulars of your situation.
[00:33:06.580 --> 00:33:08.220]   Yes, of course, this is hard,
[00:33:08.220 --> 00:33:10.220]   but what does God teach us about our faith?
[00:33:10.220 --> 00:33:12.000]   What does God teach us about perseverance?
[00:33:12.000 --> 00:33:14.680]   And you might find out oftentimes that,
[00:33:14.680 --> 00:33:17.320]   I mean, you know that there's goats and sheep in your flock.
[00:33:17.320 --> 00:33:18.520]   You know there's no question.
[00:33:18.520 --> 00:33:20.740]   And after you establish that,
[00:33:20.740 --> 00:33:22.700]   they sometimes will come to the realization
[00:33:22.700 --> 00:33:24.520]   of what their faith is, and therefore,
[00:33:24.520 --> 00:33:29.520]   those obstacles become not so incredibly difficult anymore
[00:33:29.520 --> 00:33:31.720]   because they realize it's the burden
[00:33:31.720 --> 00:33:33.160]   of suffering like Christ.
[00:33:33.160 --> 00:33:35.520]   And if they are believers, then you can get
[00:33:35.520 --> 00:33:39.560]   into the specific application of, yes, like you said,
[00:33:39.560 --> 00:33:41.100]   trusting the Lord with all your heart,
[00:33:41.100 --> 00:33:43.200]   leaning not on your own understanding.
[00:33:43.200 --> 00:33:47.960]   I taught through the book of Job for 60 messages,
[00:33:47.960 --> 00:33:50.640]   and at the end of the book, as you know,
[00:33:50.640 --> 00:33:53.240]   Job through the whole time is complaining
[00:33:53.240 --> 00:33:56.560]   and lifting his fist and is being barraged
[00:33:56.560 --> 00:33:59.720]   by all these different teachers giving him the implication
[00:33:59.720 --> 00:34:00.920]   that he was the one that sinned,
[00:34:00.920 --> 00:34:02.760]   and therefore, this is why this has happened.
[00:34:02.760 --> 00:34:07.440]   And at the end, God comes in in the famous monologue,
[00:34:07.440 --> 00:34:09.880]   longest portion of God speaking in the Bible,
[00:34:09.880 --> 00:34:11.480]   and he never gives him an answer.
[00:34:11.480 --> 00:34:12.680]   He never tells him why.
[00:34:12.680 --> 00:34:15.360]   He never tells him why his family was destroyed.
[00:34:15.360 --> 00:34:17.800]   He never tells him why his health was devastated.
[00:34:17.800 --> 00:34:20.360]   He never tells him why everything was taken from him.
[00:34:20.360 --> 00:34:22.760]   He just says, I am God, and where were you
[00:34:22.760 --> 00:34:24.480]   when I did all of this?
[00:34:24.480 --> 00:34:25.720]   And that's a lesson.
[00:34:25.720 --> 00:34:28.120]   That's a lesson that I've actually taught to people
[00:34:28.120 --> 00:34:31.740]   in the hospital when their little girl was sick
[00:34:31.740 --> 00:34:34.720]   and has a form of cancer, and the in-laws have come
[00:34:34.720 --> 00:34:36.640]   into town and were speaking about that.
[00:34:36.640 --> 00:34:39.480]   And I say because God says the answer to the issue
[00:34:39.480 --> 00:34:40.880]   is I am God.
[00:34:40.880 --> 00:34:43.880]   And then we'd have to go down the elevator with them,
[00:34:43.880 --> 00:34:46.800]   walk them to their parking space, and they're silenced
[00:34:46.800 --> 00:34:48.520]   because they don't even want to talk to me
[00:34:48.520 --> 00:34:51.440]   because they think I've been so insensitive and so harsh
[00:34:51.440 --> 00:34:52.920]   because I didn't give them an answer
[00:34:52.920 --> 00:34:54.480]   other than what the scripture says,
[00:34:54.480 --> 00:34:56.280]   which is we submit to God.
[00:34:56.280 --> 00:34:59.200]   This is God's will, and we know he's righteous and good,
[00:34:59.200 --> 00:35:02.160]   and there is no answer other than trust him.
[00:35:02.160 --> 00:35:05.160]   So it puts us in a situation where making sure,
[00:35:05.160 --> 00:35:07.960]   first, they're saved to the degree that we can,
[00:35:07.960 --> 00:35:09.720]   and then administering the truth,
[00:35:09.720 --> 00:35:13.240]   and then actually being prepared for being misunderstood
[00:35:13.240 --> 00:35:15.080]   and just prayerful and hoping
[00:35:15.080 --> 00:35:16.720]   that the Lord softens their heart.
[00:35:16.720 --> 00:35:18.560]   >> Can I say something to this? >> Yes, go ahead.
[00:35:18.560 --> 00:35:20.780]   >> I think this is important, too.
[00:35:20.780 --> 00:35:21.620]   Truth triumphs.
[00:35:21.620 --> 00:35:23.960]   We're hearing a lot of excellent preaching
[00:35:23.960 --> 00:35:25.720]   about these things.
[00:35:25.720 --> 00:35:28.000]   We are men who believe truth.
[00:35:28.000 --> 00:35:30.360]   But as a pastor, learn that you don't always
[00:35:30.360 --> 00:35:32.260]   have to give an answer.
[00:35:32.260 --> 00:35:33.100]   >> True.
[00:35:33.100 --> 00:35:34.400]   >> Here's something else you can do.
[00:35:34.400 --> 00:35:36.280]   Someone comes to me, and I've had it before,
[00:35:36.280 --> 00:35:39.720]   and I've had this particular pastoring for those 20 years.
[00:35:39.720 --> 00:35:41.400]   I don't have to have a solution.
[00:35:41.400 --> 00:35:44.940]   Silence can be ministry for someone.
[00:35:44.940 --> 00:35:46.880]   Hold their hand.
[00:35:46.880 --> 00:35:49.640]   I'm there with you.
[00:35:49.640 --> 00:35:52.200]   Don't think that somehow you have to walk them through
[00:35:52.200 --> 00:35:55.640]   what I just walked through in 1 Timothy.
[00:35:55.640 --> 00:35:58.320]   Then you're an expositor now because you've given them
[00:35:58.320 --> 00:36:01.160]   all these wonderful biblical answers.
[00:36:01.160 --> 00:36:03.200]   Be quiet for a while.
[00:36:03.200 --> 00:36:06.520]   Cry with somebody for a while is what you need to do.
[00:36:06.520 --> 00:36:08.720]   >> That's the best thing that Job's friends did.
[00:36:08.720 --> 00:36:09.920]   The only good thing they did.
[00:36:09.920 --> 00:36:11.760]   >> Yeah, exactly.
[00:36:11.760 --> 00:36:14.880]   Yeah, so be careful, guys, in thinking that,
[00:36:14.880 --> 00:36:17.920]   so, okay, I'm a believer in truth.
[00:36:17.920 --> 00:36:20.360]   Okay, I've got a Romans, what, Romans 8:28.
[00:36:20.360 --> 00:36:21.200]   I've got a good job.
[00:36:21.200 --> 00:36:22.020]   I've got to do this.
[00:36:22.020 --> 00:36:22.860]   I have to say that.
[00:36:22.860 --> 00:36:24.000]   I have to say that.
[00:36:24.000 --> 00:36:27.200]   No, just, what are you feeling?
[00:36:27.200 --> 00:36:29.480]   >> We have an Alzheimer's support ministry
[00:36:29.480 --> 00:36:31.220]   here at Grace Church.
[00:36:31.220 --> 00:36:35.020]   We've had people who have gone through that route.
[00:36:35.020 --> 00:36:36.700]   We've had families that deal with it.
