
[00:00:00.000 --> 00:00:19.360]   so welcome everyone thanks for making it to this lunch and learn my goal today is to make sure that
[00:30:46.120 --> 00:30:53.000]   expert model trained to redact information and here are the 56 categories explaining next to each
[00:30:53.000 --> 00:30:59.400]   category what that corresponds to and this is really the beauty of llm and sort of natural language entry
[00:30:59.400 --> 00:31:05.480]   is that in the old world when we're doing pi redaction we had to write complex regular expressions
[00:31:05.480 --> 00:31:10.920]   and here this is all done through just providing a category and a bit of a description here
[00:31:10.920 --> 00:31:19.080]   and the llm will naturally infer how to do the redaction we're also going to define the tool to call
[00:31:19.080 --> 00:31:26.360]   right so this is done as a essentially a dictionary a json object and as you can see there is an array
[00:31:26.360 --> 00:31:35.000]   that contains dictionaries containing a string and a pi type and the string is the pi information the type is
[00:31:35.000 --> 00:31:40.520]   essentially one of 56 categories that we provide as an enum so right off the bat you can see that this
[00:31:40.520 --> 00:31:48.440]   tool call is you know a bit of a large function specification and so let's load our data set from
[00:31:48.440 --> 00:31:54.600]   hugging face in this case it's going to take maybe a few seconds to load in that data set of 200 000
[00:31:54.600 --> 00:32:01.800]   entries and then what i have in the next cell when i'm downloading this data set is what i'm going to use
[00:32:01.800 --> 00:32:10.120]   to build my fine tuning training data set and here's the thing about fine tuning is that to build your
[00:32:10.120 --> 00:32:15.800]   data set you need to make it seem like you've essentially logged conversations with an llm right
[00:32:15.800 --> 00:32:20.200]   you're logging the prompts and the responses because that's how you're going to fine tune it you need to
[00:32:20.200 --> 00:32:27.720]   tell it this is the input with system prompt tools specification user prompt and here's the
[00:32:27.720 --> 00:32:35.320]   tools call response that i expect to see and so this cell here just sets it up so that we essentially
[00:32:35.320 --> 00:32:41.800]   have each training sample as a message from an llm that's been logged we're going to see what that looks
[00:32:41.800 --> 00:32:51.480]   like in a second so we're going to build a 10 000 entry training data set for open pipe and that's
[00:32:51.480 --> 00:32:58.040]   going to be downloaded as this open pipe data set that json l and so as i run the cell it's going to
[00:32:58.040 --> 00:33:07.400]   download this from colab and now when you switch over to open pipe we're going to create a new data set
[00:33:07.400 --> 00:33:13.480]   so once you're on open pipe console you have a project here i've generically named it project one
[00:33:13.480 --> 00:33:20.280]   you can access data sets and already as you can see i already have built a few data sets before
[00:33:20.280 --> 00:33:25.320]   but if you're a first time user you're not going to see anything under data sets so you can create
[00:33:25.320 --> 00:33:32.040]   a new data set here by clicking on this button and if you go under settings we can name our data set so
[00:33:32.040 --> 00:33:42.920]   i'm going to call it lunch and learn and today is june 2 6. all right so this is two days lunch and learn
[00:33:42.920 --> 00:33:49.560]   i'm going to i'm going to call this my data set and under general i can upload the data that i just
[00:33:49.560 --> 00:33:56.280]   download it from my notebook open pipe data set dot json l so this upload operation is going to take
[00:33:56.280 --> 00:34:03.400]   a few seconds or maybe a couple of minutes because what's going to happen on open pipe is not only we're
[00:34:03.400 --> 00:34:09.880]   uploading this data set but it's going to do some pre-processing here to split it into training and
[00:34:09.880 --> 00:34:17.160]   validation set it's also going to get it all formatted in a nice way so we can essentially look into the data
[00:34:17.160 --> 00:34:22.520]   set so you can see there's this little window here that shows that you're uploading the data set and
[00:34:22.520 --> 00:34:30.600]   that it is essentially being processed so while this is happening right we've prepared our data set and
[00:34:30.600 --> 00:34:35.160]   we're going to take a look at it in a second while it's being processed on open pipe but let's see how
[00:34:35.160 --> 00:34:41.400]   we're going to do the fine tuning in the next stage right so once we have our data set uploaded we're going
[00:34:41.400 --> 00:34:46.600]   to have this view on the data set that shows every single entry that we can peek into and how it's split
[00:34:46.600 --> 00:34:55.400]   into training and test set generally a 90 10 split and from that ui we can launch a fine tune
[00:34:55.400 --> 00:35:00.360]   and this is where we get to choose our base model and what we're going to choose is a llama 3 8 billion
[00:35:00.360 --> 00:35:10.280]   parameter model with 32k context width which is a fine tune from news research called the theta model
[00:35:11.160 --> 00:35:17.400]   and you can see that there's essentially a pricing here that is being estimated for this fine tune we
[00:35:17.400 --> 00:35:23.160]   have a substantial training set because it can range from say hundreds of samples to thousands to hundreds
[00:35:23.160 --> 00:35:31.480]   of thousands and the cost can scale up as you as you feed in more training samples but it will improve the
[00:35:31.480 --> 00:35:37.000]   accuracy and it also provides an estimated training price of forty dollars now that might seem like a lot
[00:35:37.000 --> 00:35:41.160]   especially when you're chinkering with fine tuning but keep in mind some of the people that we work
[00:35:41.160 --> 00:35:46.680]   with they tend to spend tens of thousands or maybe hundreds of thousands of dollars a month on genii
[00:35:46.680 --> 00:35:51.800]   spend so this is absolutely something that you can do up front that will pay off and i believe that on
[00:35:51.800 --> 00:35:57.960]   open pipe if you get started you get a hundred dollars credit so that allows you to to run some fine
[00:35:57.960 --> 00:36:06.760]   tunes off the bat without having to necessarily uh have to to pay so um let's go over to open pipe
[00:36:06.760 --> 00:36:15.800]   and it is still uploading i think maybe the network is uh is a bit slow but we're going to essentially
[00:36:15.800 --> 00:36:22.120]   start training at this point and once the training is happening we're going to then deploy the fine tune llm
[00:36:23.160 --> 00:36:28.040]   when training is done and what happens on open pipe is when you're done with training you're going to
[00:36:28.040 --> 00:36:32.600]   get an email when that training job is done it can take a few minutes so i'm going to pull a jeweler
[00:36:32.600 --> 00:36:37.160]   child here i'm going to stick the you know the turkey in the oven and in the second oven i'm going to
[00:36:37.160 --> 00:36:42.840]   have a pre-baked turkey just so that we don't lose time but as you're going through this on your own
[00:36:42.840 --> 00:36:47.400]   keep in mind it's going to take a little bit of time to just kick off that whole fine tuning process but
[00:36:47.400 --> 00:36:54.360]   it's not that long because um you know you're training a fairly small model here all right so
[00:36:54.360 --> 00:37:00.040]   this is still uh saving but let's kind of take a look at what we've done so far right so we've built
[00:37:00.040 --> 00:37:05.960]   our data set using a synthetic data set from hugging face we format each input output pair from the data
[00:37:05.960 --> 00:37:13.640]   set as logged l on messages and this is essentially stored as a json file that we upload to open pipe
[00:37:13.640 --> 00:37:19.640]   and we produce 10 000 training samples we're fine tuning a model from open pipe and we're open pipe
[00:37:19.640 --> 00:37:25.400]   uses a parameter efficient fine tuning which produces a laura and we choose llama 3 8 billion parameter
[00:37:25.400 --> 00:37:33.960]   model as the base and when we deploy what we're going to use here is octo ai so let's see this didn't
[00:37:33.960 --> 00:37:39.640]   finish uploading so i'm going to go into the one that i uploaded just a couple days ago just to
[00:37:39.640 --> 00:37:47.960]   essentially show you what you should see on the user interface so as you peruse through the training
[00:37:47.960 --> 00:37:53.240]   samples what you're going to see is an input column and output column and so on the left you have the
[00:37:53.240 --> 00:37:58.760]   input with the system prompt as you can see it's a it's a big boy because it has all these different
[00:37:58.760 --> 00:38:05.160]   categories right that it needs to classify it also has the user prompt which is the message that we need to
[00:38:05.160 --> 00:38:11.000]   redact the tool choice and the tool specification here with all the different categories of pi types
[00:38:11.000 --> 00:38:15.880]   and then the output will be will be this tools call from the assistance response
[00:38:15.880 --> 00:38:23.160]   and that will have this redact call along with these arguments field to redact as a list of dictionary
[00:38:23.160 --> 00:38:30.760]   entries containing string and pi type information right and so this is what we've passed into our fine tuning
[00:38:32.360 --> 00:38:40.360]   data set into open pipe and this is still saving so i'm just going to go ahead and go to the model so
[00:38:40.360 --> 00:38:46.760]   once you have the data set uploaded again you hit this fine tune button and this is what's going to
[00:38:46.760 --> 00:38:52.680]   allow you to launch a fine tuning job right i can call this blah and this is where you select under
[00:38:52.680 --> 00:38:58.600]   this drop down the model that you want to fine tune this is again what we saw before training size is
[00:38:58.600 --> 00:39:02.440]   substantial i'm not going to hit start training because i already have a trained model but when
[00:39:02.440 --> 00:39:06.120]   you do that it's going to kick off the training and when it's done you'll get notified by email
[00:39:06.120 --> 00:39:11.400]   now let's fast forward let's assume i've already trained my model so i'm going to have this
[00:39:11.400 --> 00:39:17.720]   model here that's been fine-tuned from this data set i'm going to click on it as we can see it's
[00:39:17.720 --> 00:39:27.080]   a llama 3 8b model it's been fine-tuned over these 10 000 data sets split into 9 000 training samples and
[00:39:27.080 --> 00:39:35.160]   a thousand test samples we can even look at the evaluation but going back to the model
[00:39:35.160 --> 00:39:42.520]   and the nice thing is that it's taking care of the hyper parameter like learning rate number of epochs it kind
[00:39:42.520 --> 00:39:46.920]   of figures it out for you so you don't really have to tweak those settings and i find that to be very
[00:39:46.920 --> 00:39:51.000]   convenient especially for people who haven't yet built an understanding of how to tweak those values
[00:39:51.000 --> 00:39:57.960]   and the beauty of using open pipe is that you can now export the weights and be the owner of those
[00:39:57.960 --> 00:40:02.280]   weights right remember when we talked about open source it's really important to own the result of
[00:40:02.280 --> 00:40:08.040]   the fine tuning so you can download the weights in any format you want you have lores but also merge
[00:40:08.040 --> 00:40:14.360]   checkpoints so you can have a a parameter efficient representation as well as a checkpoint and so we've
[00:40:14.360 --> 00:40:20.280]   selected to export our model as a fb16 laura which is what we're going to use to upload our model on
[00:40:20.280 --> 00:40:25.400]   octo ai which is where we're going to use to deploy the model so now i can download the weights as a zip
[00:40:25.400 --> 00:40:33.800]   file and it's fairly small only 50 megabytes but i can also copy the link copy the url and this is what
[00:40:33.800 --> 00:40:41.000]   we're going to need to do in this tutorial so to deploy the model what we need to do is copy this url
[00:40:41.000 --> 00:40:49.480]   i'm going to download in the cell the octo ai cli this is a command line interface for users to upload
[00:40:49.480 --> 00:40:54.760]   their own fine tunes to what we call our asset library so this is a place where you can store your
[00:40:54.760 --> 00:41:00.760]   own checkpoints your own lores for not just llms but also models like stable diffusion if some of you are
[00:41:00.760 --> 00:41:08.760]   developers who also work in the image gen space and so we can serve these customized models on our platform
[00:41:08.760 --> 00:41:17.720]   and so we're going to upload this laura from open pipe to octo ai so we're going to log in just to
[00:41:17.720 --> 00:41:25.960]   make sure credentials are good and here we have a confirmation that our token is valid and in the cell we have to
[00:41:25.960 --> 00:41:31.160]   replace the laura url from set me to that url that i just copied here from download weights
[00:41:31.160 --> 00:41:38.040]   and keep in mind this might take a couple minutes to get the link to appear but once you have that link
[00:41:38.040 --> 00:41:43.480]   and again i'm kind of skipping ahead because when you're going to run this at your own time it might
[00:41:43.480 --> 00:41:47.720]   take a you know a few minutes to run the fine tune it might take a few minutes to download the weights
[00:41:47.720 --> 00:41:51.320]   but everything that i'm running here is essentially the steps that you'll take yourself
[00:41:51.960 --> 00:42:01.560]   and what i'm doing here is passing in this url here and setting a laura asset name in my octo ai asset
[00:42:01.560 --> 00:42:13.480]   library so i can then create this asset from this laura as a safe tensor file and based on the llama3 8b model
[00:42:14.040 --> 00:42:16.120]   i'm going to name it let's see
[00:42:16.120 --> 00:42:25.640]   it seems like something has failed here so let's try to run it again
[00:42:38.520 --> 00:42:40.920]   and so what this is doing is uh let's see
[00:42:40.920 --> 00:42:54.680]   usually that that that should have worked so what's uh what should happen here is at this point
[00:42:54.680 --> 00:43:04.680]   once you've taken the url of your fine-tuned asset should be able to host it on our asset library and then
[00:43:04.680 --> 00:43:15.800]   from there serve it to start running some inferences so this uh this this laura upload step didn't quite
[00:43:15.800 --> 00:43:21.320]   work here so pedro are you able to maybe double check with product whether this capability is working
[00:43:23.160 --> 00:43:29.800]   uh this isn't a good demo unless something fails and so uh yeah you know i just tested it earlier today
[00:43:29.800 --> 00:43:32.200]   and it was working flawlessly so
[00:43:32.200 --> 00:43:40.120]   uh let's see i might have to list my assets so i can pull an old one
[00:43:41.560 --> 00:43:47.880]   uh actually um actually one second pedro can you can you tell me what the command is to
[00:43:47.880 --> 00:43:56.280]   to list the assets that are on i think it might be octa octo ai asset list all right let's
[00:43:56.280 --> 00:44:08.280]   okay there we go so i'm going to pull from an asset that i uploaded earlier
[00:44:08.280 --> 00:44:30.360]   uh okay so i'm gonna have to look into why uh that step failed but uh let's
[00:44:34.280 --> 00:44:40.600]   let's try this okay so i'm gonna use an asset that i uploaded earlier i'm not sure why this
[00:44:40.600 --> 00:44:43.960]   didn't work but i'll make sure that this is working for you all to reproduce this step
[00:44:43.960 --> 00:44:55.960]   and i'm gonna set laura asset name equals this all right so these other lauras i uploaded using
[00:44:55.960 --> 00:45:02.280]   the exact same steps as i used for this tutorial so we'll make sure to get to the bottom of this and
[00:45:02.280 --> 00:45:06.840]   we'll use the slack channel here for folks who want to run through this step but i'm just going
[00:45:06.840 --> 00:45:11.800]   to run an example inference here on this asset that i pulled from open pipe
[00:45:11.800 --> 00:45:20.440]   and so again we have our system prompt we're going to pass in this uh ex you know this message this
[00:45:20.440 --> 00:45:27.160]   email as our test prompt and then when we're invoking this octo ai endpoint we're using the standard chat
[00:45:27.160 --> 00:45:36.920]   completions from open ai and what we're passing here is this open pipe llama 3 8b 32k model and we pass
[00:45:36.920 --> 00:45:44.600]   in this argument for parameter efficient fine tune and passing the laura asset name that we just uploaded to
[00:45:44.600 --> 00:45:51.800]   the asset library and as we can see the response here contains the tool calls and the call to the function
[00:45:51.800 --> 00:45:58.600]   that will do the redaction so this is behaving exactly as we intended to so now we can move on to the quality
[00:45:58.600 --> 00:46:06.600]   evaluation for quality evaluation what we've done is use essentially an accuracy metric thankfully we
[00:46:06.600 --> 00:46:13.880]   have a ground truth right from our data set all the exchanges have been labeled with privacy mask information
[00:46:13.880 --> 00:46:19.800]   that we can use this ground truth so that makes evaluating scoring or results fairly easy we don't have to
[00:46:19.800 --> 00:46:25.640]   use an llm for instance for that we can actually use more traditional techniques of accuracy evaluation
[00:46:25.640 --> 00:46:33.320]   and so we have a metric that we've built it assigns a score that can be penalized when pi information was
[00:46:33.320 --> 00:46:39.880]   missed or mistakenly added i.e false negative false positive and then we use a similarly distance metric
[00:46:39.880 --> 00:46:47.320]   to kind of match the responses from the llms compared to our ground truth so for illustration purposes we have
[00:46:47.320 --> 00:46:53.560]   for instance this pi information that's been redacted that's a score of 1.0 because it's the perfect match
[00:46:53.560 --> 00:46:59.720]   or fine-tune might for instance miss the fact that billy was the middle name and might interpret it as
[00:46:59.720 --> 00:47:04.920]   first name in that case we're still attributing a high score because it's close enough and probably
[00:47:04.920 --> 00:47:11.240]   for a practical use case that would be good enough but for instance upon calling gpt4 it fails to identify
[00:47:11.240 --> 00:47:16.680]   two out of the three information that we have to redact and so the score is about a third here right
[00:47:16.680 --> 00:47:22.840]   so in this case what we're going to do here i'm just going to reduce the test size to 100 samples
[00:47:23.880 --> 00:47:34.520]   and i am going to run this evaluation inside of this cell it's going to bring us 100 test samples
[00:47:34.520 --> 00:47:42.760]   that we can then run our evaluation metric and get our overall scoring out of so if we look at
[00:47:43.960 --> 00:47:52.120]   you know the uh output from the cell essentially we're just evoke invoking back to back the fine-tune
[00:47:52.120 --> 00:47:59.640]   running octo ai and we're invoking gpt4 on open ai to do the results collection so we're going to
[00:47:59.640 --> 00:48:06.200]   collect some results here and uh once we've collected the results once we get to 100 i think we're getting
[00:48:06.200 --> 00:48:11.720]   pretty close here we can run the quality evaluation metric and of course i invite you to run it on more
[00:48:11.720 --> 00:48:18.840]   samples maybe a thousand or ten thousand it just gets more expensive as you're using gpt4 you know to
[00:48:18.840 --> 00:48:26.120]   run a hundred samples it costs about a dollar in inference so then a thousand samples cost ten dollars
[00:48:26.120 --> 00:48:32.040]   and now we're going to score it all right so we're going to go through every single entry we have our
[00:48:32.040 --> 00:48:40.520]   ground truth information we have our eval and labels from gpt4 and our eval and labels from our fine
[00:48:40.520 --> 00:48:47.080]   tune and we can see that right off the bat the fine tune is actually better at finding the pi to redact
[00:48:47.080 --> 00:48:57.400]   here gpt4 scored only a score of 0.49 whereas our fine tune achieves 0.85 and here 0.3 for gpt4 1.04
[00:48:57.400 --> 00:49:02.600]   the fine tune so the fine tune overall is performing better and once we aggregate and average the score
[00:49:02.600 --> 00:49:13.400]   gpt4 achieved 0.68 out of 1 whereas our fine tune achieves 0.97 and so that's the difference between
[00:49:13.400 --> 00:49:18.440]   prototype and production right you're expected to achieve somewhere in the single nine or two nines
[00:49:18.440 --> 00:49:25.000]   of accuracy and this is what this technique shows it allows you to achieve and again i want to reiterate that
[00:49:25.000 --> 00:49:33.240]   in terms of cost gpt4 costs upwards to 30 dollars per million tokens generated whereas lama38b on octavad
[00:49:33.240 --> 00:49:40.440]   cost just 15 cents that's a 200x difference right so with that i just want to conclude
[00:49:40.440 --> 00:49:47.880]   with some takeaways on find your on fine tuning right fine tuning is a journey but a very rewarding
[00:49:47.880 --> 00:49:53.880]   journey there's truly no finish line here you need to attempt fine tuning after you already tried other
[00:49:53.880 --> 00:49:59.960]   techniques like prompt engineering retrieval augmented generation but once you decide to embark data is
[00:49:59.960 --> 00:50:05.320]   very important collecting your data set because your model is only as good as the data it's trained on
[00:50:05.320 --> 00:50:10.200]   you need to make sure to continuously monitor quality to retune your model as needed
[00:50:10.200 --> 00:50:17.080]   you also need to um you know thankfully we have solutions like octa and open pipe to really make
[00:50:17.080 --> 00:50:22.840]   this more approachable and easy to do and it's easier than ever it's only getting get easier but
[00:50:22.840 --> 00:50:27.800]   maybe a year ago it was only reserved for the most adventurous and sophisticated users and now we've
[00:50:27.800 --> 00:50:33.000]   really lowered the barrier of entry and when you do it right you can achieve really significant improvements
[00:50:33.000 --> 00:50:40.280]   in accuracy as well as great reduction in costs i wanted to thank you for sitting here with me over the last
[00:50:40.280 --> 00:50:47.240]   50 minutes i want to reiterate a few calls to action so go to octavi.cloud to learn how to use our solutions
[00:50:47.240 --> 00:50:55.640]   and endpoints but also come to our booth and so we're located at this g7 booth and we're going to be here
[00:50:55.640 --> 00:51:02.360]   today and tomorrow if you want to chat about our sas endpoints about our ability to deploy in an enterprise
[00:51:02.360 --> 00:51:08.360]   environment and also i want to give a shout out to my colleague here pedro if you're curious about all the know-how
[00:51:08.360 --> 00:51:12.920]   that goes behind how we optimize our model and production because our background is in compiler
[00:51:12.920 --> 00:51:18.760]   optimization is is in system optimization infrastructure optimization we've applied all of this to be able
[00:51:18.760 --> 00:51:25.080]   to serve our models you know with positive margins we're not doing this at a loss sorry we're not wasting
[00:51:25.080 --> 00:51:32.440]   our vc money here we're actually building all this know-how into making sure that ai inference is as efficient
[00:51:32.440 --> 00:51:39.960]   as it could be so there's going to be a talk on that and also make sure if you if you get a chance assuming
[00:51:39.960 --> 00:51:48.440]   you've joined our our slack channel which is the following one so if you're on the slack
[00:51:48.440 --> 00:51:56.920]   org for the event go to llm quality optimization boot camp you can ask us any questions and if you fill out
[00:51:56.920 --> 00:52:03.400]   the survey that pedro is going to post we're going to give you an additional 10 dollars in credits so
[00:52:03.400 --> 00:52:09.160]   that doesn't seem like a lot but that's a ton you know if it's 15 cents per million tokens that's a lot
[00:52:09.160 --> 00:52:15.400]   of tokens that you can generate for free so we can give you an additional 10 dollars for filling out
[00:52:15.400 --> 00:52:21.080]   the survey which which should take about you know 20 to 30 seconds so i'm going to be around and also you
[00:52:21.080 --> 00:52:26.040]   can find me at the booth this afternoon in case you have any questions but i'd like you all to thank
[00:52:26.040 --> 00:52:30.040]   you for sitting through this talk and hopefully hopefully you've learned something from this and
[00:52:30.040 --> 00:52:35.880]   hopefully you feel like i've demystified this idea of trying fine-tuning on your own give this notebook
[00:52:35.880 --> 00:52:42.200]   a try assuming of course we've fixed this uh laura upload issue and uh yeah thank you all and maybe ask
[00:52:42.200 --> 00:52:50.360]   me some questions after this uh after this talk thanks

