
[00:00:00.000 --> 00:00:06.880]   in this chapter we're going to be taking a deep dive into agents with the lang chain and we're
[00:33:46.240 --> 00:33:51.680]   we're actually assuming that we're only ever going to be calling one tool at any one time which is not
[00:33:51.680 --> 00:33:59.680]   always going to be the case so you would probably need to add a little bit of extra logic there in case of scenarios if you're building in an agent that is
[00:33:59.680 --> 00:34:04.480]   it's likely to be running parallel tool calls but yeah you can see here actually
[00:34:04.480 --> 00:34:09.200]   it's completely fine so it's running one after the other okay so with that
[00:34:09.200 --> 00:34:16.320]   we've built our agent executor i know there's a lot to that and of course you can just use the very
[00:34:16.320 --> 00:34:28.560]   abstract agent executor in linechain but i think it's very good to understand what is actually going on to build our own agent executor in this case and it sets you up nicely for building more complicated or
[00:34:28.560 --> 00:34:37.280]   or use case specific agent logic as well so that is it for this chapter
[00:34:37.280 --> 00:34:50.720]   you
[00:34:50.720 --> 00:34:51.220]   you
[00:34:51.220 --> 00:34:53.280]   you

