
[00:00:00.980 --> 00:00:08.620]   I'm Manuel and I'm going to be talking about MCP is boring or why we're losing the sparkle of LLMs.
[00:25:57.460 --> 00:26:01.260]   It already has the REST endpoints, and boom, now I have a whole CRM.
[00:26:01.260 --> 00:26:03.440]   I don't even need the LLM anymore.
[00:26:03.440 --> 00:26:09.520]   I can just start working with it, and that was a single tool, eval, right?
[00:26:10.500 --> 00:26:20.760]   So, I think we're leaving so much on the table by focusing on tool calling and saying, like, oh, there's, like, agents, there are these little widgets with these little creatures with tools, and that's our mental model.
[00:26:20.760 --> 00:26:30.080]   Instead of being, like, no, this is, like, a magical genie that can create anything I want, when I want it, without even needing any big information, because it's all in training corpus.
[00:26:30.960 --> 00:26:36.120]   You can edit the companies, you can add new ones, which will be stored in the database.
[00:26:36.120 --> 00:26:38.880]   Like, this is a real, real CRM.
[00:26:38.880 --> 00:26:43.520]   This is just, I don't even, but I don't need cursor, I don't need anything.
[00:26:43.640 --> 00:26:46.340]   I can just say, like, hmm, do it.
[00:26:48.080 --> 00:26:55.200]   So, to close this off, LLMs are absolute magic, and I think you should think, get used to thinking recursively, right?
[00:26:55.200 --> 00:27:04.620]   It's like, if you ask the LLM to do something, ask it to do the code to do something, and then once you have something that writes the code to do a certain task, ask it to write the code to write the code, right?
[00:27:04.680 --> 00:27:07.080]   Which is kind of what I did with the JS sandbox.
[00:27:07.080 --> 00:27:16.360]   I didn't just give it, like, JavaScript with loaded libraries, is that suddenly I have a JavaScript sandbox that you can use to create libraries that can then be loaded later on.
[00:27:16.360 --> 00:27:24.060]   And those are APIs that I can then reuse in, like, different systems, and it's, like, all very circular.
[00:27:24.060 --> 00:27:26.580]   I can create everything I want all the time.
[00:27:26.580 --> 00:27:29.960]   And, right, they create words.
[00:27:29.960 --> 00:27:32.220]   And those words create more words.
[00:27:32.500 --> 00:27:36.240]   And then I can create words that create an LLM that create words that create words.
[00:27:36.240 --> 00:27:37.740]   It's infinite.
[00:27:37.740 --> 00:27:44.220]   And all of these words ultimately are going to make things happen in the real world.
[00:27:44.220 --> 00:27:53.200]   But if you focus on just the thing that you need to make happen in the real world, you tend to forget that it's not just tool calling.
[00:27:53.200 --> 00:27:55.080]   It's actually, we are engineers.
[00:27:55.080 --> 00:27:56.280]   The LLMs are engineers.
[00:27:56.280 --> 00:27:58.540]   Everything is engineering in this case.
[00:27:58.600 --> 00:28:05.180]   So just write the code to solve the problem as we have been used to, instead of saying, like, we have an agent and suddenly it does everything.
[00:28:05.180 --> 00:28:08.820]   That's not through the LLM writes code that does everything.
[00:28:10.820 --> 00:28:15.360]   So, yeah, Infinite Loops of Creation, I hope you enjoyed this talk.
[00:28:15.360 --> 00:28:20.720]   And I hope that you are able to bring back the magic into LLMs, right?
[00:28:20.720 --> 00:28:29.460]   Like, the sparkle, sparkle, sparkle, because there's so much more than what we're trying, than what we're thinking of them these days.
[00:28:29.460 --> 00:28:31.520]   you

