
[00:00:00.000 --> 00:00:03.880]   Kids don't get scored.
[00:23:54.200 --> 00:23:59.320]   have this high reliability requirement is because it's not just that it's high reliability
[00:23:59.320 --> 00:24:04.800]   requirement is that when something goes wrong, often it causes a lot of work or a lot of
[00:24:04.800 --> 00:24:06.800]   damage.
[00:24:06.800 --> 00:24:14.640]   And it's not that when you have 99.9%, let's say, typically it's not the case that that
[00:24:14.640 --> 00:24:16.960]   means 99.9% are going great.
[00:24:16.960 --> 00:24:22.560]   And then one in a thousand is just like, no, the robot knows this one's too hard.
[00:24:22.560 --> 00:24:23.960]   Come and help me out.
[00:24:23.960 --> 00:24:27.320]   It's more likely that the one in a thousand that goes wrong is something that the robot
[00:24:27.320 --> 00:24:28.320]   actually makes a mistake.
[00:24:28.320 --> 00:24:30.680]   And maybe the wrong thing gets shipped off to somebody.
[00:24:30.680 --> 00:24:33.120]   They might say, okay, we can bound the cost on that.
[00:24:33.120 --> 00:24:37.040]   Somebody gets the wrong item or maybe somebody in a later station that's more typical would
[00:24:37.040 --> 00:24:38.960]   sanity check it and would fix it.
[00:24:38.960 --> 00:24:44.480]   And so it'd be some fixing work, but fixing work often is more work than doing the original
[00:24:44.480 --> 00:24:45.480]   work.
[00:24:45.480 --> 00:24:50.520]   And so you cause need for fixing work.
[00:24:50.520 --> 00:24:53.080]   And I think that's why it's so interesting.
[00:24:53.080 --> 00:25:00.080]   And when you talk about laundry, yeah, if the kind of threshold for you is if it falls
[00:25:00.080 --> 00:25:04.160]   in at least a few things and the rest can still be a mask the way it comes out of the
[00:25:04.160 --> 00:25:08.960]   dryer, then I think it's a great case.
[00:25:08.960 --> 00:25:14.840]   But if you wanted everything folded and just one item just sitting there on the side, not
[00:25:14.840 --> 00:25:16.880]   folded, I don't think that's how it's going to be.
[00:25:16.880 --> 00:25:20.080]   It's going to be like, it's going to maybe have folded almost everything.
[00:25:20.080 --> 00:25:24.440]   And at the end, it makes a mistake and everything's back on the floor and it can't reach the floor.
[00:25:24.440 --> 00:25:26.640]   And you have to come in and put it back on the table.
[00:25:26.640 --> 00:25:32.920]   I mean, I'm saying it a bit more cynical than it would actually be, but it's just that the
[00:25:32.920 --> 00:25:36.080]   reliability requirements are there for a reason typically.
[00:25:36.080 --> 00:25:40.680]   And that is because when it doesn't succeed, there's a lot of work related to fixing.
[00:25:40.680 --> 00:25:41.680]   Right.
[00:25:41.680 --> 00:25:42.680]   Right.
[00:25:42.680 --> 00:25:49.040]   And it does seem like collecting training data that really represents the real world
[00:25:49.040 --> 00:25:52.720]   might be harder than something like ImageNet.
[00:25:52.720 --> 00:25:59.160]   It does seem like there's not quite the same sets of useful data sets that everyone can
[00:25:59.160 --> 00:26:00.160]   can play with.
[00:26:00.160 --> 00:26:01.160]   Am I wrong?
[00:26:01.160 --> 00:26:05.800]   Am I not aware of the stuff going on in the space?
[00:26:05.800 --> 00:26:13.480]   I think it's not so clear how to collect data that's actually in distribution for these
[00:26:13.480 --> 00:26:19.200]   problems unless you are actively in the space helping solve these problems.
[00:26:19.200 --> 00:26:21.080]   I see.
[00:26:21.080 --> 00:26:26.360]   And so we all know that today's machine learning works way better in distribution than out
[00:26:26.360 --> 00:26:27.920]   of distribution.
[00:26:27.920 --> 00:26:36.080]   And so it is kind of, I mean, I'd say there is a reason that we're building this as a
[00:26:36.080 --> 00:26:38.180]   commercial solution.
[00:26:38.180 --> 00:26:42.760]   One way to think of it is, and that's part of it, is it's awesome to put something in
[00:26:42.760 --> 00:26:44.800]   the world that actually works and helps out.
[00:26:44.800 --> 00:26:49.160]   And so that's part of the goal and why we are excited.
[00:26:49.160 --> 00:26:56.280]   But part of it is exactly what you're getting to, which is my belief is that if we want
[00:26:56.280 --> 00:27:02.280]   to solve robotics in the foreseeable future, meaning not by first building an AGI and then
[00:27:02.280 --> 00:27:06.480]   let the AGI take care of it, but actually a more kind of direct approach to solving
[00:27:06.480 --> 00:27:13.520]   robotics problems, I think the only way to do it is to get the right kind of data by
[00:27:13.520 --> 00:27:21.360]   going into the real world problems with robots and collecting the exact data that's needed,
[00:27:21.360 --> 00:27:26.760]   and then training on that data, and then letting the robot run, improve based on what you see
[00:27:26.760 --> 00:27:29.000]   happen and iterate.
[00:27:29.000 --> 00:27:34.640]   And I think without that iteration process, I don't think you can do it.
[00:27:34.640 --> 00:27:35.880]   Maybe somebody can figure out how to do it.
[00:27:35.880 --> 00:27:36.880]   I don't know.
[00:27:36.880 --> 00:27:40.040]   I mean, I don't want to exclude somebody doing something really amazing, surprising somewhere,
[00:27:40.040 --> 00:27:42.040]   but my money is on that.
[00:27:42.040 --> 00:27:47.440]   The way these kind of near-term AI robotics problems will be solved is by being very focused
[00:27:47.440 --> 00:27:53.800]   on real world deployment, data collection, and on that loop.
[00:27:53.800 --> 00:27:59.240]   Do you imagine a world where this starts to work and we suddenly have robots doing lots
[00:27:59.240 --> 00:28:00.720]   and lots of tasks around us?
[00:28:00.720 --> 00:28:05.320]   I feel like voice recognition has kind of snuck up on me where, when I was a kid, it
[00:28:05.320 --> 00:28:06.880]   was incredibly annoying.
[00:28:06.880 --> 00:28:11.000]   And now it seems like most people use it for various tasks on their phone or Alexa.
[00:28:11.000 --> 00:28:17.080]   Do you sort of picture the same trajectory for robotics?
[00:28:17.080 --> 00:28:25.920]   What I see happen is kind of a, maybe sneak up is maybe one way to think of it, but what
[00:28:25.920 --> 00:28:32.200]   I see happen is a gradual increased capability in terms of where robots are viable.
[00:28:32.200 --> 00:28:42.400]   So until recently, it was only repeated motion type settings, carefully pre-programmed motions.
[00:28:42.400 --> 00:28:51.340]   Now what we're seeing, I would say roughly this year is a transition into feasibility
[00:28:51.340 --> 00:28:58.840]   for robots doing interesting things in warehouses, pick and place type tasks.
[00:28:58.840 --> 00:29:06.320]   And I'd say that's really the first place where robots are really looking at things,
[00:29:06.320 --> 00:29:13.120]   reacting to it, interacting with the objects, and then achieving something.
[00:29:13.120 --> 00:29:18.440]   And in that sense, it is interesting because it's a first.
[00:29:18.440 --> 00:29:25.560]   It's where it's happening first and there is no reason it couldn't expand from there.
[00:29:25.560 --> 00:29:30.560]   I mean, I can see all the work involved in terms of iterating over non-network architectures,
[00:29:30.560 --> 00:29:34.440]   data collection, loss functions, all the things we do to get to the reliability we need to
[00:29:34.440 --> 00:29:35.920]   get to.
[00:29:35.920 --> 00:29:45.320]   But I also see that that same process in principle should apply just as well to other domains.
[00:29:45.320 --> 00:29:51.760]   I think maybe agriculture, maybe some construction problems, maybe some more difficult manufacturing
[00:29:51.760 --> 00:29:55.200]   problems where it's not just repeated motion that can do it.
[00:29:55.200 --> 00:29:59.560]   And I think any of those kind of semi-structured environments, I would say where maybe it's
[00:29:59.560 --> 00:30:03.560]   not directly interacting with people, because I think that's always much, much harder because
[00:30:03.560 --> 00:30:07.280]   people are very unpredictable, but that kind of semi-structured environment, the robot
[00:30:07.280 --> 00:30:10.080]   can kind of do its thing.
[00:30:10.080 --> 00:30:15.520]   I think it could grow relatively quickly in the foreseeable future.
[00:30:15.520 --> 00:30:17.920]   And yeah, we'll see.
[00:30:17.920 --> 00:30:21.840]   I mean, it seems to me like the funny thing about, or the counterintuitive thing about
[00:30:21.840 --> 00:30:28.120]   software unlike hardware, right, is once it's working, copying it is free, right?
[00:30:28.120 --> 00:30:33.280]   So it makes sense that you would start in this really high value task in warehouses,
[00:30:33.280 --> 00:30:38.960]   but then if you could really pick things up, maybe I could let the robot loose in my house
[00:30:38.960 --> 00:30:42.120]   and clean some of this clutter out of here.
[00:30:42.120 --> 00:30:43.120]   It's very true.
[00:30:43.120 --> 00:30:49.000]   I mean, I could imagine essentially a Roomba with an arm on top of it.
[00:30:49.000 --> 00:30:50.000]   Seems useful, right?
[00:30:50.000 --> 00:30:51.000]   I don't know.
[00:30:51.000 --> 00:30:55.960]   But yeah, if anything's on the floor, it picks it up and puts it into a basket somewhere,
[00:30:55.960 --> 00:31:00.560]   or maybe even knows where to go deliver it in the house.
[00:31:00.560 --> 00:31:07.560]   That kind of pick and place should actually be easier than the warehouse situation, because
[00:31:07.560 --> 00:31:09.800]   you don't have a clutter of objects.
[00:31:09.800 --> 00:31:14.840]   Typically it's just maybe an isolated object on the floor here and the floor there.
[00:31:14.840 --> 00:31:19.420]   I think a big part of it is also when you think about the economics, it comes down to
[00:31:19.420 --> 00:31:21.960]   what you said, software is very cheap to copy.
[00:31:21.960 --> 00:31:28.180]   So the question is, when you go to hardware, if this robot picks things up from the floor
[00:31:28.180 --> 00:31:35.400]   and maybe it costs you, I don't know, a certain amount of money, well, unless it's doing that
[00:31:35.400 --> 00:31:39.940]   multiple times a day, you might not feel it's worth it, right?
[00:31:39.940 --> 00:31:46.360]   And that's also part of why I see robots arrive first in these semi-structured environments
[00:31:46.360 --> 00:31:52.200]   where warehouse, there's like all the things need to flow through and there's always a
[00:31:52.200 --> 00:31:53.640]   next thing to be picked.
[00:31:53.640 --> 00:31:56.240]   It's never quiet.
[00:31:56.240 --> 00:32:01.320]   And so once you have the physical robot, well, we know robots don't tire, they just keep
[00:32:01.320 --> 00:32:02.320]   running.
[00:32:02.320 --> 00:32:04.600]   And so you get to leverage that aspect.
[00:32:04.600 --> 00:32:10.520]   And to me, that's a part of where I always want to think about household robots is where
[00:32:10.520 --> 00:32:16.840]   the equation is harder than in, let's say a warehouse or maybe on a farm and so forth.
[00:32:16.840 --> 00:32:19.760]   But I mean, who knows?
[00:32:19.760 --> 00:32:22.840]   I mean, prices of robots will go down, right?
[00:32:22.840 --> 00:32:27.080]   So at some point that will be less of an issue.
[00:32:27.080 --> 00:32:31.820]   It also seems like a robot, I mean, how much does a robot cost with like a suction arm?
[00:32:31.820 --> 00:32:38.120]   It doesn't seem like it intrinsically needs to cost thousands of dollars, does it?
[00:32:38.120 --> 00:32:39.120]   That's a really good question.
[00:32:39.120 --> 00:32:46.160]   I mean, it might depend a lot on what your performance requirements are for these robots.
[00:32:46.160 --> 00:32:50.160]   So if you look at these car manufacturing robots, some of them are very expensive.
[00:32:50.160 --> 00:32:55.040]   They can easily cost a hundred thousand dollars, but also they can pick up an entire car.
[00:32:55.040 --> 00:32:59.800]   So that's a very strong robot and can do it for 10 years in a row, every minute pick up
[00:32:59.800 --> 00:33:01.060]   a new car.
[00:33:01.060 --> 00:33:04.340]   So you get that kind of reliability and strength.
[00:33:04.340 --> 00:33:08.720]   It's not going to be super cheap, but then yeah, if you need to pick up just a toy from
[00:33:08.720 --> 00:33:13.160]   the floor, that doesn't put a whole lot of strain on the joints or the motors of the
[00:33:13.160 --> 00:33:14.160]   robot.
[00:33:14.160 --> 00:33:18.640]   So it seems, and if it's cheaper, you might be happy to replace it every year.
[00:33:18.640 --> 00:33:19.640]   Why not?
[00:33:19.640 --> 00:33:24.960]   And so I think there's kind of a spectrum of robots to be built and today's robots that
[00:33:24.960 --> 00:33:29.640]   are mostly out there are on the end of the spectrum where it's like, it should work for
[00:33:29.640 --> 00:33:32.280]   10, 20 years and minimal maintenance.
[00:33:32.280 --> 00:33:36.760]   It should just work because it's part of an assembly line that should never come to a
[00:33:36.760 --> 00:33:40.120]   halt because that'll cost so much if it comes to a halt.
[00:33:40.120 --> 00:33:41.920]   But you're absolutely right.
[00:33:41.920 --> 00:33:46.120]   Once you go into homes, the design space that you're working in is very different.
[00:33:46.120 --> 00:33:49.240]   If it doesn't work for a day, it might not be a problem.
[00:33:49.240 --> 00:33:52.480]   Doesn't work in a car manufacturing line for a day, that might cost millions.
[00:33:52.480 --> 00:33:59.200]   Well, it seems also like, at least from my very limited work that I did with you at OpenAI,
[00:33:59.200 --> 00:34:04.640]   that there was this real sense that the robots that they were using had incredibly precise
[00:34:04.640 --> 00:34:05.640]   calibration.
[00:34:05.640 --> 00:34:09.600]   It could go to exactly an XYZ coordinate.
[00:34:09.600 --> 00:34:13.560]   And it sort of felt like with machine learning and actually if you can look at where you
[00:34:13.560 --> 00:34:19.440]   went, you could have a little less precision in the hardware and maybe actually even learn
[00:34:19.440 --> 00:34:23.360]   how to manipulate yourself and deal with maybe less perfect motors.
[00:34:23.360 --> 00:34:28.880]   I was kind of surprised that there wasn't more work in that area.
[00:34:28.880 --> 00:34:29.880]   You're absolutely right.
[00:34:29.880 --> 00:34:38.000]   That once you have a vision feedback loop, you can actually put a lot less strain on
[00:34:38.000 --> 00:34:40.360]   terms of repeatable motion.
[00:34:40.360 --> 00:34:48.280]   Some of these robots have sub-millimeter precision, some of them even micrometer precision, repeated
[00:34:48.280 --> 00:34:49.280]   motion.
[00:34:49.280 --> 00:34:51.240]   And when you can see, I mean, humans don't have that.
[00:34:51.240 --> 00:34:56.320]   You can't repeatedly reach the same point unless you have feedback.
[00:34:56.320 --> 00:34:59.120]   You feel you're making contact with something.
[00:34:59.120 --> 00:35:04.400]   And based on that, you adjust and you get the exact right spot that you want.
[00:35:04.400 --> 00:35:06.080]   And so, yeah, it's a very good point.
[00:35:06.080 --> 00:35:11.680]   And I think it's a kind of part of the design space that hasn't been explored that much.
[00:35:11.680 --> 00:35:15.160]   At Berkeley, actually for a little while, we were working on this project called the
[00:35:15.160 --> 00:35:16.160]   Blue Robot.
[00:35:16.160 --> 00:35:23.200]   What we were doing exactly that, the thinking was, if we have better intelligence of the
[00:35:23.200 --> 00:35:28.440]   robot, we don't need the same kind of blind precision.
[00:35:28.440 --> 00:35:32.240]   And we're actually able to bring price down for an arm quite a bit.
[00:35:32.240 --> 00:35:39.040]   I think it was maybe in parts even bought at small scale, maybe $2,000 or even a little
[00:35:39.040 --> 00:35:46.280]   less for a seven degree of freedom arm with a gripper, parallel jaw gripper.
[00:35:46.280 --> 00:35:51.060]   And could imagine if you buy these parts at scale, you can maybe cut the price in half
[00:35:51.060 --> 00:35:54.440]   and now you're down to $1,000 for an arm.
[00:35:54.440 --> 00:35:57.240]   Would it work for 10 years straight?
[00:35:57.240 --> 00:35:59.720]   Like some of the industrial robots?
[00:35:59.720 --> 00:36:01.720]   Probably not.
[00:36:01.720 --> 00:36:05.400]   Does it move as fast with blind precision?
[00:36:05.400 --> 00:36:06.400]   Definitely not.
[00:36:06.400 --> 00:36:12.000]   But do we need that for a practical home application?
[00:36:12.000 --> 00:36:13.000]   Probably not either.
[00:36:13.000 --> 00:36:16.160]   So yeah, I think it's a very interesting direction.
[00:36:16.160 --> 00:36:19.960]   We've kind of paused that project for a little bit, but I think there's a lot of opportunity
[00:36:19.960 --> 00:36:22.600]   to keep pushing that direction.
[00:36:22.600 --> 00:36:23.600]   Awesome.
[00:36:23.960 --> 00:36:28.520]   Well, I want to also sort of use some of this time for the questions that we got when we
[00:36:28.520 --> 00:36:31.040]   crowdsourced the question collection.
[00:36:31.040 --> 00:36:34.920]   And I would say, we were asking folks in our community, what should we ask?
[00:36:34.920 --> 00:36:39.400]   And I was kind of surprised because to me, you're a researcher, but I realized to a lot
[00:36:39.400 --> 00:36:42.000]   of people, you're more of an entrepreneur than a researcher.
[00:36:42.000 --> 00:36:46.360]   And a lot of the questions are around how you think about starting companies.
[00:36:46.360 --> 00:36:50.880]   So I wonder if you could just sort of say, you've started all these different companies.
[00:36:50.880 --> 00:36:54.160]   If you could sort of say what your process is of thinking of what to start and how you
[00:36:54.160 --> 00:36:55.560]   get something off the ground.
[00:36:55.560 --> 00:36:57.920]   I think a lot of people would love to hear that.
[00:36:57.920 --> 00:36:58.920]   Sure.
[00:36:58.920 --> 00:36:59.920]   Yeah.
[00:36:59.920 --> 00:37:06.920]   So maybe I'll start with some concrete examples because I think trying to be general is hard
[00:37:06.920 --> 00:37:08.000]   in this space.
[00:37:08.000 --> 00:37:11.280]   So how did we start Gradescope?
[00:37:11.280 --> 00:37:17.680]   So Gradescope is a company that right now provides AI to help any kind of instructors
[00:37:17.680 --> 00:37:21.800]   teaching assistants with grading of their student work, whether it's exams or homework
[00:37:21.800 --> 00:37:24.560]   or projects and so forth.
[00:37:24.560 --> 00:37:29.200]   And the way it started is essentially out of a need.
[00:37:29.200 --> 00:37:32.240]   And a lot of entrepreneurs will say that why they started their company, but it was our
[00:37:32.240 --> 00:37:37.040]   personal need as a professor at Berkeley and my teaching assistant at the time, Arjun Singh,
[00:37:37.040 --> 00:37:40.800]   other teaching assistants, Sergey Karayev.
[00:37:40.800 --> 00:37:45.800]   We're talking, we're looking at what we're doing with the grading work.
[00:37:45.800 --> 00:37:51.240]   And we feel like we have these stacks of paper and we're kind of passing these along and
[00:37:51.240 --> 00:37:56.480]   we all need to come together in the same room to be able to grade, or we need to pass this
[00:37:56.480 --> 00:37:59.840]   along and it'll be like a long delay because one person grades one day, the other person
[00:37:59.840 --> 00:38:00.840]   next day.
[00:38:00.840 --> 00:38:06.940]   And so we're like, well, if we just were to scan everything, we could just grade this
[00:38:06.940 --> 00:38:08.880]   on our laptops.
[00:38:08.880 --> 00:38:15.520]   And for me, one of the quirky things I was excited about, some TAs are kind of clever,
[00:38:15.520 --> 00:38:19.520]   not Arjun and Sergey, I mean, they're very smart, but I mean, are kind of clever in a
[00:38:19.520 --> 00:38:21.080]   selfish way, I would say.
[00:38:21.080 --> 00:38:26.280]   And they will book a flight that leaves the university right after their last final exam.
[00:38:26.280 --> 00:38:28.280]   And they're like, oh, sorry, I can't help with grading.
[00:38:28.280 --> 00:38:29.720]   I'll already be at home.
[00:38:29.720 --> 00:38:32.680]   I can't access the stack of exams.
[00:38:32.680 --> 00:38:35.880]   And so I'm like, well, this will be great because even the people who booked their flights
[00:38:35.880 --> 00:38:37.960]   early will be able to help with grading.
[00:38:37.960 --> 00:38:41.720]   And so the initial thinking was just, can we just make the, in some sense, the user
[00:38:41.720 --> 00:38:43.280]   interface of grading better?
[00:38:43.280 --> 00:38:46.360]   It wasn't actually starting from let's automate this.
[00:38:46.360 --> 00:38:50.340]   It was, if we scan, people can grade from wherever they are.
[00:38:50.340 --> 00:38:54.320]   And on the first exam thereafter, one of our TAs was grading in flight.
[00:38:54.320 --> 00:38:55.800]   Just like, and he was super excited.
[00:38:55.800 --> 00:38:57.100]   He's like, hey, I'm grading in flight.
[00:38:57.100 --> 00:38:59.760]   This is so cool.
[00:38:59.760 --> 00:39:04.480]   And so we found right away that it was really helpful to do everything digital rather than
[00:39:04.480 --> 00:39:06.680]   physical.
[00:39:06.680 --> 00:39:10.760]   And then at the time, it was just a project we used in our own class.
[00:39:10.760 --> 00:39:16.680]   And because it went so well, all the TAs were so happy, we passed it on to a bunch of my
[00:39:16.680 --> 00:39:20.120]   friends, professors at Berkeley and said, hey, do you want to try it for your class?
[00:39:20.120 --> 00:39:21.360]   Because the TAs really liked it.
[00:39:21.360 --> 00:39:27.320]   And so I think the next exam round, there was maybe like five to 10 professors using
[00:39:27.320 --> 00:39:30.720]   it in their class and they were really happy, but also they gave us a lot of feedback about
[00:39:30.720 --> 00:39:33.560]   things they were not perfectly happy with.
[00:39:33.560 --> 00:39:36.840]   And of course we go out and fix things.
[00:39:36.840 --> 00:39:40.500]   And that was kind of the early days where we're just kind of within Berkeley, just letting
[00:39:40.500 --> 00:39:42.960]   people use it and see what they think.
[00:39:42.960 --> 00:39:47.800]   And we hadn't planned to make a company per se, but it was definitely in our minds.
[00:39:47.800 --> 00:39:52.280]   Like if this goes well, if people really like it or we can see a path to make people like
[00:39:52.280 --> 00:39:54.680]   it, we should make it into a company probably.
[00:39:54.680 --> 00:39:59.320]   But for now, let's just see if we can even build a product people want to use to start
[00:39:59.320 --> 00:40:00.320]   off ourselves.
[00:40:00.320 --> 00:40:05.660]   But then we're probably representative of many others in the instructional space.
[00:40:05.660 --> 00:40:09.440]   And then some interesting things started to happen that got us even more motivated because
[00:40:09.440 --> 00:40:12.680]   you start, as I'm sure you've experienced yourself, you build something, you build it
[00:40:12.680 --> 00:40:13.680]   for yourself.
[00:40:13.680 --> 00:40:17.680]   Other people use it the same way, but then people start using it in different ways.
[00:40:17.680 --> 00:40:19.320]   And that's when things get really exciting.
[00:40:19.320 --> 00:40:26.840]   So the chemistry professors came back to us and they said, actually, they do quizzes pretty
[00:40:26.840 --> 00:40:31.520]   much every week for these pre-med students that need to be very calibrated by the end
[00:40:31.520 --> 00:40:32.960]   of their undergrad.
[00:40:32.960 --> 00:40:39.680]   And so they said, hey, thanks to your system, we can grade like this much faster, but actually
[00:40:39.680 --> 00:40:42.400]   we're not interested in grading faster.
[00:40:42.400 --> 00:40:47.800]   We want to spend the same amount of time on grading and now we can ask much deeper questions
[00:40:47.800 --> 00:40:50.840]   and still grade them at the same time that we could grade before.
[00:40:50.840 --> 00:40:54.000]   So we can move away from kind of canonical multiple choice, which is the only thing we
[00:40:54.000 --> 00:40:56.500]   could do before and do all these other things.
[00:40:56.500 --> 00:41:00.160]   And so that's where things get exciting, I think, because you see people pick up on what
[00:41:00.160 --> 00:41:02.520]   you're building and doing new things with it.
[00:41:02.520 --> 00:41:08.480]   And pretty soon thereafter, we actually started as a company as a very explicit decision.
[00:41:08.480 --> 00:41:09.560]   Let's make it a company.
[00:41:09.560 --> 00:41:13.840]   And we saw the path, of course, as we get more and more data to also build AI behind
[00:41:13.840 --> 00:41:14.840]   it.
[00:41:14.840 --> 00:41:17.800]   And so a very product driven start.
[00:41:17.800 --> 00:41:21.120]   Other things about generalize a little bit, one is product driven.
[00:41:21.120 --> 00:41:28.160]   The other thing I would say is it's for me, at least a lot of the fun in everything I
[00:41:28.160 --> 00:41:31.400]   do comes from working with great people.
[00:41:31.400 --> 00:41:39.320]   And so for every major project, especially company I've started, that's pretty much the
[00:41:39.320 --> 00:41:40.320]   starting point.
[00:41:40.320 --> 00:41:45.380]   Like, am I going to do it with people that I really admire that, you know, I know anything
[00:41:45.380 --> 00:41:47.880]   they do, I can trust is of the highest quality.
[00:41:47.880 --> 00:41:53.320]   I never have to, you know, think twice about anything anybody else is doing on the team.
[00:41:53.320 --> 00:41:56.800]   And we're just going to have, you know, we're going to move very fast because I think that's
[00:41:56.800 --> 00:41:57.800]   a big part of it.
[00:41:57.800 --> 00:42:02.080]   If you're a startup, I think the only way to succeed is to move very fast.
[00:42:02.080 --> 00:42:05.680]   If you move slow, it's likely not going to be a success.
[00:42:05.680 --> 00:42:11.920]   And so I think being a team that's really motivated and really qualified to move fast
[00:42:11.920 --> 00:42:14.360]   on what you're doing is really key.
[00:42:14.360 --> 00:42:18.840]   Otherwise, it's probably a losing proposition.
[00:42:18.840 --> 00:42:22.920]   And I would imagine you have a lot of practice with trying to find great people, like just
[00:42:22.920 --> 00:42:25.240]   looking for RAs for your lab.
[00:42:25.240 --> 00:42:29.520]   But is there anything different that you look for in terms of someone to start a company
[00:42:29.520 --> 00:42:34.960]   with versus someone that you want to do research with versus the way you grade students?
[00:42:34.960 --> 00:42:35.960]   Are those different qualities?
[00:42:35.960 --> 00:42:37.480]   Oh, they're very different.
[00:42:37.480 --> 00:42:43.280]   I mean, obviously there are some people who are great at everything, that's going to happen.
[00:42:43.280 --> 00:42:51.400]   But ultimately, I think what matters for a startup is, I think, I mean, you know this
[00:42:51.400 --> 00:42:56.160]   as good as anybody else might know it, but I mean, whoever has never started a company
[00:42:56.160 --> 00:42:58.960]   before, it always takes longer than you think.
[00:42:58.960 --> 00:43:03.040]   You think you're going to build this company and in a few months, it'll be this massive
[00:43:03.040 --> 00:43:06.780]   thing because clearly, it should only take a few months to build this thing.
[00:43:06.780 --> 00:43:11.920]   But it's really always in terms of few years or even like, if you look at any company that
[00:43:11.920 --> 00:43:20.000]   is actually big, big, it tends to take five to 10 years to get to really big size.
[00:43:20.000 --> 00:43:21.800]   And that's a long time.
[00:43:21.800 --> 00:43:29.640]   And so you need to look for people that actually are really excited about what you're going
[00:43:29.640 --> 00:43:30.640]   to go for.
[00:43:30.640 --> 00:43:35.680]   So for example, at Gradescope, everybody was really excited about helping instructors and
[00:43:35.680 --> 00:43:37.160]   always listening to the instructors.
[00:43:37.160 --> 00:43:41.280]   Of course, really good builders of what we're trying to build, but also really excited to
[00:43:41.280 --> 00:43:45.800]   understand what they want, what they need, how they can be better served.
[00:43:45.800 --> 00:43:51.040]   Obviously, that doesn't mean implementing every feature request that comes your way.
[00:43:51.040 --> 00:43:56.080]   Some requests are very noisy expressions of what they actually want and need.
[00:43:56.080 --> 00:43:59.240]   You got to interpret those requests.
[00:43:59.240 --> 00:44:07.400]   But being really passionate about the long-term is, I think, just critical because it takes
[00:44:07.400 --> 00:44:08.400]   a long time.
[00:44:08.400 --> 00:44:12.840]   Same at Covariant, we're all super excited about what robots can do in the world, how
[00:44:12.840 --> 00:44:16.160]   it can be so helpful in so many places.
[00:44:16.160 --> 00:44:23.760]   And I think if you're not, it's hard to stick with something because if you just do it because,
[00:44:23.760 --> 00:44:28.600]   "Oh, this is going to be a quick success," it's essentially never a quick success.
[00:44:28.600 --> 00:44:35.400]   It tends to be a long, long-fought success rather than a quick one, typically.
[00:44:35.400 --> 00:44:40.400]   And at Covariant, did you also start with a particular problem in mind or was that more
[00:44:40.400 --> 00:44:45.840]   like we want to do robotic stuff and then we were looking for a problem that suits it?
[00:44:45.840 --> 00:44:47.920]   It's actually very interesting what happened there.
[00:44:47.920 --> 00:44:52.440]   For the different founders, there's a different story of how they got to wanting to start
[00:44:52.440 --> 00:44:53.440]   Covariant.
[00:44:53.440 --> 00:45:01.040]   So four founders, so myself, then Rocky Duan, Peter Chen, Tianhao Zhang, all three of them
[00:45:01.040 --> 00:45:06.000]   were undergrads at Berkeley, then PhD students at Berkeley.
[00:45:06.000 --> 00:45:11.520]   And Rocky and Peter spent time at OpenAI before starting Covariant.
[00:45:11.520 --> 00:45:13.160]   And everybody had a kind of different view on things.
[00:45:13.160 --> 00:45:24.400]   But for me personally, the reason I got to it is essentially back in 2016, 2017, it felt
[00:45:24.400 --> 00:45:31.920]   like that transition point where I'd been working on robotics for so long and how AI
[00:45:31.920 --> 00:45:37.280]   can make robotics more capable, and it just seemed that all of a sudden things were becoming
[00:45:37.280 --> 00:45:39.960]   possible.
[00:45:39.960 --> 00:45:45.740]   And it was this kind of, in some sense, technology enabler that really got me excited.
[00:45:45.740 --> 00:45:48.400]   It's clear if you have capable robots that they can be very useful.
[00:45:48.400 --> 00:45:52.720]   But as long as they're not capable, well, they're not useful.
[00:45:52.720 --> 00:45:58.840]   And it seemed right at that time like, okay, it's not possible today in 2016, 2017, but
[00:45:58.840 --> 00:46:02.960]   with the right effort, I think we can do some really amazing things.
[00:46:02.960 --> 00:46:09.400]   And the path should be very feasible in the next several years to get to viable robots
[00:46:09.400 --> 00:46:13.020]   that are smart and do new things that weren't possible before.
[00:46:13.020 --> 00:46:18.520]   And so for me, in some sense, that was like a career long passion almost, working for
[00:46:18.520 --> 00:46:22.060]   PhD on AI and robotics, then as a professor for many years.
[00:46:22.060 --> 00:46:25.080]   And then like, "Hey, this might actually be practical now.
[00:46:25.080 --> 00:46:28.520]   I want to take that next step and build a company."
[00:46:28.520 --> 00:46:32.160]   But then also at the same time, I was like, "I cannot build a company on my own.
[00:46:32.160 --> 00:46:35.040]   It's not going to be successful.
[00:46:35.040 --> 00:46:37.360]   I want to build it with other people."
[00:46:37.360 --> 00:46:42.880]   So actually, I emailed around to my students.
[00:46:42.880 --> 00:46:46.680]   I don't know if it was just current students or current and former students, I forget.
[00:46:46.680 --> 00:46:53.560]   And I remember sending an email and saying, "Hey, I think AI is at an interesting point
[00:46:53.560 --> 00:46:56.920]   where a lot of applications are becoming possible.
[00:46:56.920 --> 00:47:03.880]   And I'm curious if anybody is thinking the same and maybe would be excited to take something
[00:47:03.880 --> 00:47:10.120]   into the real world rather than stay focused on writing the next papers."
[00:47:10.120 --> 00:47:16.880]   And well, Rocky and Peter replied saying they had been thinking the same thing, that the
[00:47:16.880 --> 00:47:21.320]   time is now to do something like that.
