
[00:00:00.000 --> 00:00:05.880]   (applause)
[00:17:43.640 --> 00:17:46.040]   they'll say things like,
[00:17:46.040 --> 00:17:47.920]   well, I'm not gonna pay for them to go to college
[00:17:47.920 --> 00:17:49.980]   'cause they have to learn how to do it on their own
[00:17:49.980 --> 00:17:51.400]   or those kinds of things.
[00:17:51.400 --> 00:17:52.920]   But my husband and I have to say
[00:17:52.920 --> 00:17:54.220]   from the beginning of our marriage,
[00:17:54.220 --> 00:17:56.640]   we're very intentional about a lot of things,
[00:17:56.640 --> 00:17:59.080]   paying off our mortgage, living below our means
[00:17:59.080 --> 00:18:02.160]   and making sure our kids had the choices
[00:18:02.160 --> 00:18:03.800]   when they graduated from college.
[00:18:03.800 --> 00:18:06.760]   We didn't know obviously what they wanted to do for a living
[00:18:06.760 --> 00:18:11.760]   but we wanted them to operate in their God-given gift.
[00:18:11.760 --> 00:18:13.840]   And that meant we did not push them
[00:18:13.840 --> 00:18:16.080]   into one career or another.
[00:18:16.080 --> 00:18:17.360]   You know, lots of parents, you gotta be a doctor,
[00:18:17.360 --> 00:18:19.200]   gotta be a lawyer, you gotta be this, gotta be that,
[00:18:19.200 --> 00:18:22.560]   you know, or your kid is in sports,
[00:18:22.560 --> 00:18:23.920]   you gotta play all these sports
[00:18:23.920 --> 00:18:25.000]   'cause you gotta get a scholarship,
[00:18:25.000 --> 00:18:26.240]   you gotta get in the NFL.
[00:18:26.240 --> 00:18:28.400]   And there's so much pressure on that.
[00:18:28.400 --> 00:18:31.640]   And so we wanted them whatever it was
[00:18:31.640 --> 00:18:33.160]   that they wanted to do.
[00:18:33.160 --> 00:18:36.480]   And I think it's a blessing that that one is a teacher,
[00:18:36.480 --> 00:18:39.240]   that she was born to be a teacher.
[00:18:39.240 --> 00:18:42.240]   This one, she tries to tell me what to do.
[00:18:42.240 --> 00:18:44.280]   She is born to be a therapist.
[00:18:44.280 --> 00:18:49.640]   And with the mother she had, she needed to do that, right?
[00:18:49.640 --> 00:18:54.840]   And my son, our son is on the autism spectrum.
[00:18:54.840 --> 00:18:57.640]   And so we didn't of course know that when he was born
[00:18:57.640 --> 00:18:59.200]   but because we were so frugal,
[00:18:59.200 --> 00:19:03.320]   we had the money to be able to help him as well.
[00:19:03.320 --> 00:19:06.600]   And so we wanted them to have the freedom
[00:19:06.600 --> 00:19:09.720]   to do what they wanted to do.
[00:19:09.720 --> 00:19:13.640]   So this one, they're all living with us by choice.
[00:19:13.640 --> 00:19:16.240]   Well, okay, I did kind of force them, we forced them
[00:19:16.240 --> 00:19:18.840]   so that they could save money.
[00:19:18.840 --> 00:19:20.280]   But you know, she now,
[00:19:20.280 --> 00:19:22.880]   she's gonna transition to another job.
[00:19:22.880 --> 00:19:25.040]   So she's gonna take two months to travel.
[00:19:25.040 --> 00:19:27.120]   She's gonna go to Australia, New Zealand.
[00:19:27.120 --> 00:19:29.480]   She wouldn't be able to do that if she had a lot of debt.
[00:19:29.480 --> 00:19:31.240]   This is a time that she can do this.
[00:19:31.240 --> 00:19:34.000]   And this one, her job is so stressful.
[00:19:34.000 --> 00:19:36.080]   Being a teacher is so stressful.
[00:19:36.080 --> 00:19:39.440]   It is one of the most amazing careers.
[00:19:39.440 --> 00:19:43.080]   And now she can do that and not have all the stress
[00:19:43.080 --> 00:19:46.680]   of money and we really wanted that for them.
[00:19:46.680 --> 00:19:49.400]   That was our gift to them.
[00:19:49.400 --> 00:19:51.360]   And so that's why we did that.
[00:19:51.360 --> 00:19:54.600]   We wanted them to be able to not have that.
[00:19:54.600 --> 00:19:56.600]   In order to do that, they had a,
[00:19:56.600 --> 00:19:59.040]   hey, it was not an easy childhood
[00:19:59.040 --> 00:20:01.840]   'cause they, like she said, they didn't get a lot of stuff.
[00:20:01.840 --> 00:20:06.200]   And we put a lock on our door with a deadbolt
[00:20:06.200 --> 00:20:08.800]   so they don't smother us in our sleep.
[00:20:08.800 --> 00:20:11.800]   (audience laughing)
[00:20:11.800 --> 00:20:17.240]   You know, you can imagine it was not easy living with us
[00:20:17.240 --> 00:20:21.200]   to say no all the time because we have a culture of yes.
[00:20:21.200 --> 00:20:24.080]   And we have a culture of raising entitled children.
[00:20:24.080 --> 00:20:27.280]   And a lot of people in our position, in your position,
[00:20:27.280 --> 00:20:29.040]   maybe not your adult children,
[00:20:29.040 --> 00:20:31.320]   are not very good with money
[00:20:31.320 --> 00:20:33.600]   because they were given everything.
[00:20:33.600 --> 00:20:37.120]   And I think my husband and I can say,
[00:20:37.120 --> 00:20:40.800]   these kids are so good money managers
[00:20:40.800 --> 00:20:42.200]   and they know how to save.
[00:20:42.200 --> 00:20:44.360]   But I'm so glad they're here at this conference
[00:20:44.360 --> 00:20:48.800]   because the next step is to get them to be as enthusiastic
[00:20:48.800 --> 00:20:52.280]   about investing as they are about saving.
[00:20:52.280 --> 00:20:55.320]   And so I'm thanking y'all, talk to them,
[00:20:55.320 --> 00:20:57.160]   especially that one on the end.
[00:20:57.160 --> 00:20:58.840]   (audience laughing)
[00:20:58.840 --> 00:21:00.560]   'Cause she still, get this,
[00:21:00.560 --> 00:21:04.480]   she still hasn't signed up for her World 3B plan.
[00:21:04.480 --> 00:21:09.480]   So can y'all like, yes, right, right.
[00:21:09.480 --> 00:21:13.840]   Get her, get her.
[00:21:13.840 --> 00:21:17.080]   She's gonna do it, but we, you know,
[00:21:17.080 --> 00:21:18.320]   she's looking through the offerings,
[00:21:18.320 --> 00:21:19.600]   but y'all still get her.
[00:21:19.600 --> 00:21:22.120]   But so that's why, you know,
[00:21:22.120 --> 00:21:25.440]   I mean, you know, we don't come from money.
[00:21:25.440 --> 00:21:28.280]   None of our families has a lot of money
[00:21:28.280 --> 00:21:33.280]   and we wanted our wealth to be worth something for them.
[00:21:33.280 --> 00:21:38.400]   And so, you know, like they will never have a car note.
[00:21:38.400 --> 00:21:40.960]   They don't know what it's like to have debt.
[00:21:40.960 --> 00:21:43.480]   This one is still driving the car that we gave her
[00:21:43.480 --> 00:21:45.840]   when she was 16 years old.
[00:21:45.840 --> 00:21:49.400]   She's 28 and she's gonna, her next car,
[00:21:49.400 --> 00:21:53.120]   she's saving up in a Vanguard non-retirement account
[00:21:53.120 --> 00:21:55.440]   to pay cash for it.
[00:21:55.440 --> 00:21:56.800]   That's amazing.
[00:21:56.800 --> 00:21:59.960]   (audience applauding)
[00:21:59.960 --> 00:22:07.000]   - So I just wanna mention Rick Ferry is walking around,
[00:22:07.000 --> 00:22:09.040]   looks like he's collecting questions
[00:22:09.040 --> 00:22:12.440]   for the McIntyre family, which we will take.
[00:22:12.440 --> 00:22:17.440]   But I just wanna ask Olivia about your savings habits.
[00:22:17.680 --> 00:22:19.440]   Sounds like you're in really good shape,
[00:22:19.440 --> 00:22:20.920]   that you're a discipline saver
[00:22:20.920 --> 00:22:23.720]   and probably doing that not on a high salary.
[00:22:23.720 --> 00:22:26.100]   So let's talk about your tricks of the trade there.
[00:22:26.100 --> 00:22:27.520]   What are you doing?
[00:22:27.520 --> 00:22:30.560]   - I mean, I'm just kind of doing what I was raised to do.
[00:22:30.560 --> 00:22:32.280]   It's actually, it's gotten to the point
[00:22:32.280 --> 00:22:33.960]   where now she's trying to convince me
[00:22:33.960 --> 00:22:35.320]   to spend money on things.
[00:22:35.320 --> 00:22:38.280]   Like if I wanna go on a trip, like for, you know,
[00:22:38.280 --> 00:22:40.640]   my birthday and I was like, oh, like maybe we'll go here.
[00:22:40.640 --> 00:22:42.960]   And they're like, no, like you can go and get the massage.
[00:22:42.960 --> 00:22:45.400]   And I'm like, but the massage is like a hundred dollars.
[00:22:45.400 --> 00:22:46.640]   Like, I don't know.
[00:22:46.640 --> 00:22:49.540]   So I think it's just a lot of the, you know,
[00:22:49.540 --> 00:22:52.800]   like a lot of the no's that I heard in childhood
[00:22:52.800 --> 00:22:54.200]   are now like my own voice.
[00:22:54.200 --> 00:22:56.140]   Like I'm walking around, I'm like, no,
[00:22:56.140 --> 00:22:57.480]   you don't really need that.
[00:22:57.480 --> 00:22:58.520]   Or like, it's fine.
[00:22:58.520 --> 00:23:00.520]   Like, you know, like don't go out to eat.
[00:23:00.520 --> 00:23:02.840]   Like there's stuff in the fridge that you can eat.
[00:23:02.840 --> 00:23:06.760]   And so I think it's just a lot of those little choices.
[00:23:06.760 --> 00:23:10.800]   And then also I've like figured out what it is
[00:23:10.800 --> 00:23:12.900]   that is like really important to me to spend on.
[00:23:12.900 --> 00:23:14.760]   And so I really do enjoy, like she mentioned,
[00:23:14.760 --> 00:23:16.800]   I enjoy traveling a lot.
[00:23:16.800 --> 00:23:19.560]   And so, you know, traveling is really expensive.
[00:23:19.560 --> 00:23:22.040]   And as I get older, I'm less inclined
[00:23:22.040 --> 00:23:24.560]   to like stay in sketchier places.
[00:23:24.560 --> 00:23:26.520]   And so I want to stay in nicer places now.
[00:23:26.520 --> 00:23:31.160]   And so I need to, you know, make sacrifices in other areas
[00:23:31.160 --> 00:23:32.960]   in order to spend on the things
[00:23:32.960 --> 00:23:34.520]   that are really important to me.
[00:23:34.520 --> 00:23:37.960]   And so a lot of those no's are just kind of ingrained
[00:23:37.960 --> 00:23:40.520]   in my head now.
[00:23:40.520 --> 00:23:43.600]   And so it's not like anything extravagant.
[00:23:43.600 --> 00:23:46.520]   I just kind of live on less, I guess,
[00:23:46.520 --> 00:23:47.840]   'cause that's how I was raised.
[00:23:47.840 --> 00:23:48.680]   What?
[00:23:48.680 --> 00:23:54.960]   How stressed out I am about it?
[00:23:54.960 --> 00:23:58.080]   Yes, it's very stressful.
[00:23:58.080 --> 00:24:01.760]   So I guess two, maybe two years ago,
[00:24:01.760 --> 00:24:03.640]   I was talking to my dad and I was like,
[00:24:03.640 --> 00:24:06.080]   okay, I have like a relatively large,
[00:24:06.080 --> 00:24:08.640]   like lump sum of money that I have saved.
[00:24:08.640 --> 00:24:11.520]   And I was like, oh, like what kind of like savings account
[00:24:11.520 --> 00:24:12.360]   should I put it in?
[00:24:12.360 --> 00:24:14.680]   Like some of them, like you get like a higher investment
[00:24:14.680 --> 00:24:15.520]   or whatever.
[00:24:15.520 --> 00:24:16.800]   And he was like, well, they're all going to be
[00:24:16.800 --> 00:24:17.640]   like really little.
[00:24:17.640 --> 00:24:19.760]   You know, like what you really should do is put it in
[00:24:19.760 --> 00:24:21.960]   like a Vanguard account that we have.
[00:24:21.960 --> 00:24:22.800]   And I was like, okay.
[00:24:22.800 --> 00:24:24.600]   So, I mean, I, you know, to a certain extent,
[00:24:24.600 --> 00:24:25.600]   I trust their judgment.
[00:24:25.600 --> 00:24:28.280]   And so I was like, okay, like, what are you doing?
[00:24:28.280 --> 00:24:30.960]   You know, like tell me what it is that you're doing.
[00:24:30.960 --> 00:24:33.000]   And so he was like, okay, this is what we're doing.
[00:24:33.000 --> 00:24:34.600]   And he was like, okay, these are the, you know,
[00:24:34.600 --> 00:24:36.040]   the funds that you can put the money in.
[00:24:36.040 --> 00:24:38.360]   And I was like, okay.
[00:24:38.360 --> 00:24:39.680]   And so I did it.
[00:24:39.680 --> 00:24:43.560]   And then shortly thereafter, I just started losing money.
[00:24:43.560 --> 00:24:47.920]   And I have been maybe like in the positive for like two
[00:24:47.920 --> 00:24:51.880]   weeks over like the two and a half years, I guess.
[00:24:51.880 --> 00:24:53.440]   And I hate it.
[00:24:53.440 --> 00:24:56.440]   Like, it's really, I hate it a lot.
[00:24:56.440 --> 00:24:58.440]   And they keep, every time I go and I'm like, see,
[00:24:58.440 --> 00:25:00.480]   like, it's like, I'm losing money.
[00:25:00.480 --> 00:25:02.120]   Like if I had just put it in a savings account,
[00:25:02.120 --> 00:25:03.520]   like I would still have all of my money.
[00:25:03.520 --> 00:25:05.360]   And they're like, no, this is the best time.
[00:25:05.360 --> 00:25:06.360]   Like put more money in.
[00:25:06.360 --> 00:25:07.480]   I'm like, this is a scam.
[00:25:07.480 --> 00:25:09.200]   They're scamming me.
[00:25:09.200 --> 00:25:11.320]   Like, I feel like I'm getting robbed.
[00:25:11.320 --> 00:25:13.200]   Like they had me set up automatic payments.
[00:25:13.200 --> 00:25:15.920]   So like every month Vanguard like robs my bank account.
[00:25:15.920 --> 00:25:19.560]   And then they just like, it's really stressful.
[00:25:19.560 --> 00:25:20.400]   And they're like, no, no, no.
[00:25:20.400 --> 00:25:21.480]   Like put more in.
[00:25:21.480 --> 00:25:24.560]   I'm like, this is like a snake oil, like salesman pitch.
[00:25:24.560 --> 00:25:25.680]   Like when things are bad,
[00:25:25.680 --> 00:25:27.520]   that's the best time to put more money in.
[00:25:27.520 --> 00:25:29.680]   Like what kind of logic is that?
[00:25:29.680 --> 00:25:32.360]   It's so backwards.
[00:25:32.360 --> 00:25:35.240]   But because I trust them and like my mom was saying,
[00:25:35.240 --> 00:25:37.440]   like my dad is like the calm one.
[00:25:37.440 --> 00:25:39.840]   Like he's a little more like even keeled.
[00:25:39.840 --> 00:25:41.720]   And so he's like, no, like it's gonna be fine.
[00:25:41.720 --> 00:25:42.960]   Like, just stop looking at it.
[00:25:42.960 --> 00:25:44.080]   Just stop looking at it.
[00:25:44.080 --> 00:25:46.760]   Like you can stop showing us, we know.
[00:25:46.760 --> 00:25:49.280]   And so, because I trust them, I'm like, okay,
[00:25:49.280 --> 00:25:50.480]   I'm not gonna move it.
[00:25:50.480 --> 00:25:52.360]   Like I'm gonna leave it alone.
[00:25:52.360 --> 00:25:54.840]   And then being here and like listening to the talks
[00:25:54.840 --> 00:25:56.320]   and going to the dinner, I'm like, okay,
[00:25:56.320 --> 00:25:58.520]   well there's more people who are bought into this.
[00:25:58.520 --> 00:26:02.840]   And so I'm like, okay, maybe it's okay.
[00:26:02.840 --> 00:26:04.400]   Like maybe it's not just them.
[00:26:04.400 --> 00:26:06.400]   Like there's some other really smart people here
[00:26:06.400 --> 00:26:09.360]   who are also doing the same thing.
[00:26:09.360 --> 00:26:11.160]   So I'm like, all right, it should be fine.
[00:26:11.160 --> 00:26:13.360]   And then, you know, my dad like showed me
[00:26:13.360 --> 00:26:15.000]   kind of the graphs like over time.
[00:26:15.000 --> 00:26:17.600]   'Cause one of the things I wanna do is retire early.
[00:26:17.600 --> 00:26:20.920]   And so he was kind of putting it in into the projections.
[00:26:20.920 --> 00:26:22.920]   And I was like, oh, that looks really nice.
[00:26:22.920 --> 00:26:24.840]   Like, you know, like, 'cause there's like a calculator
[00:26:24.840 --> 00:26:27.280]   that you can do and like depending on how much you put in,
[00:26:27.280 --> 00:26:28.880]   you can retire at a certain time.
[00:26:28.880 --> 00:26:30.240]   And so after we did that graph, I was like,
[00:26:30.240 --> 00:26:31.320]   okay, let's put a lot in.
[00:26:31.320 --> 00:26:33.640]   Like, you know, like let's put as much
[00:26:33.640 --> 00:26:34.840]   as we possibly can in.
[00:26:34.840 --> 00:26:37.880]   'Cause I do wanna retire early so I can travel a lot more.
[00:26:37.880 --> 00:26:41.400]   So even though it's like really painful for me emotionally,
[00:26:41.400 --> 00:26:43.680]   like they've been like really good support,
[00:26:43.680 --> 00:26:45.880]   emotional support systems of like,
[00:26:45.880 --> 00:26:48.280]   just leave the money where it is.
[00:26:48.280 --> 00:26:50.560]   And so I'm hoping that they're right.
[00:26:50.560 --> 00:26:52.840]   And when I get older, I will be very happy.
[00:26:52.840 --> 00:26:56.240]   I'm not happy now, but I trust them
[00:26:56.240 --> 00:26:57.720]   that I will be happy later.
[00:26:57.720 --> 00:26:59.680]   And if I'm not, I'm coming for all of you.
[00:26:59.680 --> 00:27:02.640]   (laughing)
[00:27:02.640 --> 00:27:06.400]   So that is where I am in my investment journey.
[00:27:06.400 --> 00:27:07.840]   - So Jillian, how about you?
[00:27:07.840 --> 00:27:11.480]   It sounds like you are, have some reservations too
[00:27:11.480 --> 00:27:14.600]   and you can contribute to a 403(b)
[00:27:14.600 --> 00:27:17.240]   but haven't done so yet.
[00:27:17.240 --> 00:27:20.200]   Is Olivia's attitude rubbing off on you
[00:27:20.200 --> 00:27:22.960]   or what's your hesitation?
[00:27:22.960 --> 00:27:26.120]   - Yes, I think I was more of the notorious one
[00:27:26.120 --> 00:27:27.800]   for like dragging my feet.
[00:27:27.800 --> 00:27:30.560]   I think that I was reflecting on it this weekend
[00:27:30.560 --> 00:27:31.800]   in the past couple of months.
[00:27:31.800 --> 00:27:34.640]   I think part of it is my perspective of like
[00:27:34.640 --> 00:27:38.400]   my future goals and my perspective of time.
[00:27:38.400 --> 00:27:42.040]   Like if somebody asked me, what are your long-term goals?
[00:27:42.040 --> 00:27:44.000]   I would say, oh, well, two years from now,
[00:27:44.000 --> 00:27:45.600]   five years from now, I'm gonna be,
[00:27:45.600 --> 00:27:47.760]   and I think of that as long-term
[00:27:47.760 --> 00:27:51.400]   because if you think of that, that's a quarter of my life.
[00:27:51.400 --> 00:27:53.520]   So I had to shift my perspective
[00:27:53.520 --> 00:27:55.360]   from thinking of like five years from now
[00:27:55.360 --> 00:27:57.200]   as like a short term goal.
[00:27:57.200 --> 00:28:00.200]   I would like my retirement as being a long-term goal
[00:28:00.200 --> 00:28:02.040]   'cause there's things that I wanna do now.
[00:28:02.040 --> 00:28:03.800]   And then I think kind of, again,
[00:28:03.800 --> 00:28:05.680]   realizing what it is important to me
[00:28:05.680 --> 00:28:07.480]   and what I'm gonna wanna be able to do.
[00:28:07.480 --> 00:28:09.200]   And it's mostly in the lean,
[00:28:09.200 --> 00:28:12.760]   but my parents have been traveling so much
[00:28:12.760 --> 00:28:15.760]   since they retired, so I would like to be able to do that.
[00:28:15.760 --> 00:28:19.280]   So just watching my dad enjoy the fruits of all of it
[00:28:19.280 --> 00:28:20.960]   has kind of like influenced me
[00:28:20.960 --> 00:28:23.880]   into like making the decision to invest.
[00:28:23.880 --> 00:28:27.040]   - What are your, you have like shorter term financial goals
[00:28:27.040 --> 00:28:27.880]   as we all do.
[00:28:27.880 --> 00:28:29.800]   What are the things that you wanna achieve
[00:28:29.800 --> 00:28:31.400]   well before retirement?
[00:28:31.400 --> 00:28:33.360]   - Yeah, so I would like to move out.
[00:28:33.360 --> 00:28:35.860]   Love them, but I would like to move out.
[00:28:35.860 --> 00:28:40.480]   You know, and I would like to maybe not rent
[00:28:40.480 --> 00:28:42.200]   and just buy outright.
[00:28:42.200 --> 00:28:46.520]   And then just be able to support myself like independently
[00:28:46.520 --> 00:28:48.360]   and like have my own growth
[00:28:48.360 --> 00:28:50.520]   would be like my short-term goal right now.
[00:28:50.520 --> 00:28:56.220]   - So Olivia mentioned that Kevin is really calm
[00:28:56.220 --> 00:28:58.080]   with respect to investments.
[00:28:58.080 --> 00:28:59.760]   Are you two on the same page, Michelle,
[00:28:59.760 --> 00:29:02.440]   and Kevin with respect to taking investment risk,
[00:29:02.440 --> 00:29:06.060]   or is one of you more nervous when the market is going down?
[00:29:06.060 --> 00:29:12.920]   - We are on the same page in terms of long-term investing
[00:29:12.920 --> 00:29:14.460]   and have been for a long time.
[00:29:14.460 --> 00:29:18.680]   But in terms of investment risk,
[00:29:18.680 --> 00:29:23.040]   I have a much higher risk tolerance than she does.
[00:29:23.040 --> 00:29:26.880]   And that's probably reflected in our portfolio.
[00:29:26.880 --> 00:29:30.080]   What she brings to the, I think we work well as a team.
[00:29:30.080 --> 00:29:33.760]   What she brings to the table in terms of our investing
[00:29:33.760 --> 00:29:36.680]   is the discipline, the starting early,
[00:29:36.680 --> 00:29:38.800]   the maxing out on the 401(k),
[00:29:38.800 --> 00:29:43.800]   maxing out on the TSP, being consistent over time.
[00:29:43.800 --> 00:29:45.560]   And that's what she brought.
[00:29:45.560 --> 00:29:47.840]   What I brought was, hey,
[00:29:47.840 --> 00:29:49.560]   let's put the pedal to the metal and go.
[00:29:49.560 --> 00:29:52.360]   Let's find those equity investments
[00:29:52.360 --> 00:29:54.040]   that are really gonna do well for us,
[00:29:54.040 --> 00:29:56.040]   put it there and stop looking at it.
[00:29:56.040 --> 00:29:59.280]   Now, I'm okay putting it someplace and not looking at it,
[00:29:59.280 --> 00:30:02.600]   maybe periodically, six months, a year, whatever,
[00:30:02.600 --> 00:30:04.080]   considering that it's long-term.
[00:30:04.080 --> 00:30:05.960]   And I'm thinking back now, 20 years or so
[00:30:05.960 --> 00:30:07.740]   when we first started this.
[00:30:07.740 --> 00:30:11.240]   So she watches it much more frequently than I do.
[00:30:11.240 --> 00:30:13.980]   She watches it probably, I don't know what, monthly or?
[00:30:13.980 --> 00:30:17.440]   So. (laughing)
[00:30:17.440 --> 00:30:19.480]   And yeah, let's go with that, okay.
[00:30:19.480 --> 00:30:23.200]   And so she watches it and she sees it go up and down
[00:30:23.200 --> 00:30:26.360]   and up and down, and it does take a toll
[00:30:26.360 --> 00:30:29.120]   on her mental, on her peace.
[00:30:29.120 --> 00:30:31.120]   And I say, look, set it aside, don't worry about it,
[00:30:31.120 --> 00:30:32.080]   we don't need it right now.
[00:30:32.080 --> 00:30:36.560]   Look, it's down 5%, particularly during 2008.
[00:30:36.560 --> 00:30:38.920]   Oh my goodness, that was really.
[00:30:38.920 --> 00:30:41.480]   But I think one thing that we did
[00:30:41.480 --> 00:30:43.960]   that I'm proud of that we did was we left it alone.
[00:30:43.960 --> 00:30:46.800]   We didn't move anything.
[00:30:46.800 --> 00:30:49.280]   I have friends in the federal government,
[00:30:49.280 --> 00:30:51.880]   we all, TSP, we would talk about
[00:30:51.880 --> 00:30:53.560]   what we're doing with our accounts.
[00:30:53.560 --> 00:30:57.600]   And many of them got out at the bottom,
[00:30:57.600 --> 00:31:00.760]   and they never recovered those losses.
[00:31:00.760 --> 00:31:03.520]   And so I'm really glad that we stayed in,
[00:31:03.520 --> 00:31:05.040]   market recovered and then some.
[00:31:05.040 --> 00:31:08.400]   So I think, but that was a very stressful time
[00:31:08.400 --> 00:31:11.280]   looking at those, we lost probably 30 or 35%
[00:31:11.280 --> 00:31:13.480]   of our portfolio value at that time.
[00:31:13.480 --> 00:31:16.840]   - Yeah, Kevin, I wanted to ask, you mentioned TSP,
[00:31:16.840 --> 00:31:18.400]   and I would imagine there are some
[00:31:18.400 --> 00:31:20.360]   federal government employees here with us.
[00:31:20.360 --> 00:31:24.160]   And a question is like, TSP, I think we would agree
[00:31:24.160 --> 00:31:28.160]   is through a savings plan is really a stellar plan
[00:31:28.160 --> 00:31:29.560]   in so many respects.
[00:31:29.560 --> 00:31:31.640]   Is it something that you think you will continue
[00:31:31.640 --> 00:31:33.720]   to hang on to through retirement?
[00:31:33.720 --> 00:31:35.840]   Or what's your plan there?
[00:31:35.840 --> 00:31:37.800]   - Yeah, at this point, I don't have any plans
[00:31:37.800 --> 00:31:39.920]   to move the money out of TSP.
[00:31:39.920 --> 00:31:45.440]   I think that because TSP has some of the lowest fees,
[00:31:45.440 --> 00:31:48.520]   some of the lowest expenses associated with it,
[00:31:48.520 --> 00:31:50.680]   and there were some changes made recently
[00:31:50.680 --> 00:31:52.640]   that improved some of the flexibilities
[00:31:52.640 --> 00:31:55.320]   in terms of when you can take withdrawals
[00:31:55.320 --> 00:31:56.400]   and that sort of thing.
[00:31:56.400 --> 00:31:59.960]   So right now, it suits our needs.
[00:31:59.960 --> 00:32:01.760]   We don't have a need right now to go in
[00:32:01.760 --> 00:32:03.040]   and start pulling any of it out
[00:32:03.040 --> 00:32:04.600]   because Michelle's still working.
[00:32:04.600 --> 00:32:07.960]   And I get a small federal pension.
[00:32:07.960 --> 00:32:10.120]   And at some point, we're gonna start
[00:32:10.120 --> 00:32:12.400]   taking Social Security, that's been part of,
[00:32:12.400 --> 00:32:15.000]   what's interesting about this weekend
[00:32:15.000 --> 00:32:16.560]   is there's been a fair amount of discussion
[00:32:16.560 --> 00:32:19.960]   about when is the right time to take Social Security.
[00:32:19.960 --> 00:32:21.560]   I'm inclined to take it sooner.
[00:32:21.560 --> 00:32:24.600]   Michelle's inclined to wait until 70 to take it.
[00:32:24.600 --> 00:32:27.320]   And so we're probably gonna compromise
[00:32:27.320 --> 00:32:28.960]   in there somewhere in the middle.
[00:32:28.960 --> 00:32:31.320]   But yeah, I think that's, so far,
[00:32:31.320 --> 00:32:33.360]   I think as far as TSP's concerned,
[00:32:33.360 --> 00:32:35.240]   I'm gonna hang on to it.
[00:32:35.240 --> 00:32:37.160]   - So we've been getting questions.
[00:32:37.160 --> 00:32:39.800]   Here's one for Michelle, which is,
[00:32:39.800 --> 00:32:42.640]   can you summarize the most important financial lessons
[00:32:42.640 --> 00:32:44.280]   you learned from Big Mama
[00:32:44.280 --> 00:32:46.120]   that you passed on to your daughters?
[00:32:47.120 --> 00:32:49.160]   - Well, they can probably answer,
[00:32:49.160 --> 00:32:50.760]   but I will, you wanna answer that?
[00:32:50.760 --> 00:32:51.600]   No?
[00:32:51.600 --> 00:32:54.000]   - Say who Big Mama is for people who don't know.
[00:32:54.000 --> 00:32:58.080]   - I went to go live with my grandmother when I was four.
[00:32:58.080 --> 00:32:59.320]   My oldest sister was eight.
[00:32:59.320 --> 00:33:00.680]   I had a sister who was three
[00:33:00.680 --> 00:33:03.040]   and twin brothers who were just under two years old.
[00:33:03.040 --> 00:33:05.480]   So we went to live with my grandmother.
[00:33:05.480 --> 00:33:09.400]   And my grandfather was in the home, but not in the home.
[00:33:09.400 --> 00:33:10.880]   He was an alcoholic.
[00:33:10.880 --> 00:33:13.480]   So a lot of times his money didn't make it home.
[00:33:13.480 --> 00:33:16.280]   And I don't know, I always tear up at this.
[00:33:16.280 --> 00:33:19.800]   But this woman with an alcoholic husband,
[00:33:19.800 --> 00:33:21.680]   five grandchildren,
[00:33:21.680 --> 00:33:24.920]   a job where she didn't make very much money
[00:33:24.920 --> 00:33:28.400]   as a nursing assistant, was able to save.
[00:33:28.400 --> 00:33:30.960]   And she paid off her house before she retired.
[00:33:30.960 --> 00:33:35.160]   And she just was a masterful money manager.
[00:33:35.160 --> 00:33:38.000]   And I think the one lesson that she taught me
[00:33:38.000 --> 00:33:43.000]   that has just been the root of our wealth
[00:33:43.040 --> 00:33:48.040]   is to save a percentage of every dollar
[00:33:48.040 --> 00:33:49.800]   that crosses your palm.
[00:33:49.800 --> 00:33:51.880]   And I remember,
[00:33:51.880 --> 00:33:54.040]   I don't know if I told you all this story last time,
[00:33:54.040 --> 00:33:58.280]   but when my first week at the Baltimore Evening Sun
[00:33:58.280 --> 00:34:03.280]   as a full-fledged reporter, I covered a major fire.
[00:34:03.280 --> 00:34:06.840]   I got on the front page, that's a big deal in our business.
[00:34:06.840 --> 00:34:09.560]   And I called my grandmother, who do you call first?
[00:34:09.560 --> 00:34:12.080]   And I said, Big Mama, oh my gosh, I'm on the front page
[00:34:12.080 --> 00:34:13.160]   and I'm trying to tell her.
[00:34:13.160 --> 00:34:16.880]   And she said, "Did you go up to HR
[00:34:16.880 --> 00:34:19.080]   "and make sure they took money out of your paycheck
[00:34:19.080 --> 00:34:20.920]   "to put into a savings account?"
[00:34:20.920 --> 00:34:23.520]   (audience laughing)
[00:34:23.520 --> 00:34:25.040]   Uh, no.
[00:34:25.040 --> 00:34:27.040]   And click up.
[00:34:27.040 --> 00:34:29.520]   And I thought she dropped the phone.
[00:34:29.520 --> 00:34:32.680]   So I called her back and I said, "Oh, the phone dropped."
[00:34:32.680 --> 00:34:34.240]   And so I started to tell her again.
[00:34:34.240 --> 00:34:36.120]   I have front page, byline.
[00:34:36.120 --> 00:34:41.120]   And she said, "Did you go up to HR
[00:34:41.600 --> 00:34:44.200]   "and make sure you put money in a savings account?
[00:34:44.200 --> 00:34:45.960]   "You know, you split the deposit."
[00:34:45.960 --> 00:34:47.440]   I said, "Nah, I haven't gotten to that."
[00:34:47.440 --> 00:34:48.280]   Click up.
[00:34:48.280 --> 00:34:52.360]   And so, because I knew my grandmother
[00:34:52.360 --> 00:34:56.120]   would never listen to me, I left that moment,
