
[00:00:00.040 --> 00:00:09.460]  � ex
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:34.680]   I'm going to go ahead and start the video.
[00:30:34.680 --> 00:30:34.680]   I'm going to go ahead and start the video.
[00:30:34.680 --> 00:30:34.680]   I'm going to go ahead and start the video.
[00:30:34.680 --> 00:30:34.680]   I'm going to go ahead and start the video.
[00:30:34.680 --> 00:30:34.680]   I'm going to go ahead and start the video.
[00:30:34.680 --> 00:30:34.680]   I'm going to go ahead and start the video.
[00:30:34.680 --> 00:30:34.680]   I'm going to go ahead and start the video.
[00:30:34.680 --> 00:30:34.680]   I'm going to go ahead and start the video.
[00:30:34.680 --> 00:30:34.680]   I'm going to go ahead and start the video.
[00:30:34.680 --> 00:30:34.680]   I'm going to go ahead and start the video.
[00:30:34.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:04.700]   I'm going to go ahead and start the video.
[00:31:04.700 --> 00:31:34.720]   I'm going to go ahead and start the video.
[00:31:34.720 --> 00:31:34.720]   I'm going to go ahead and start the video.
[00:31:34.720 --> 00:31:34.720]   I'm going to go ahead and start the video.
[00:31:34.720 --> 00:31:34.720]   I'm going to go ahead and start the video.
[00:31:34.720 --> 00:31:34.720]   I'm going to go ahead and start the video.
[00:31:34.720 --> 00:31:34.720]   I'm going to go ahead and start the video.
[00:31:34.720 --> 00:31:34.720]   I'm going to go ahead and start the video.
[00:31:34.720 --> 00:31:34.720]   I'm going to go ahead and start the video.
[00:31:34.720 --> 00:31:34.720]   I'm going to go ahead and start the video.
[00:31:34.720 --> 00:31:34.720]   I'm going to go ahead and start the video.
[00:31:34.720 --> 00:31:34.720]   I'm going to go ahead and start the video.
[00:31:34.720 --> 00:31:34.720]   I'm going to go ahead and start the video.
[00:31:34.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:04.740]   I'm going to go ahead and start the video.
[00:32:04.740 --> 00:32:34.760]   I'm going to go ahead and start the video.
[00:32:34.760 --> 00:32:34.760]   I'm going to go ahead and start the video.
[00:32:34.760 --> 00:32:34.760]   I'm going to go ahead and start the video.
[00:32:34.760 --> 00:32:34.760]   I'm going to go ahead and start the video.
[00:32:34.760 --> 00:32:34.760]   I'm going to go ahead and start the video.
[00:32:34.760 --> 00:32:34.760]   I'm going to go ahead and start the video.
[00:32:34.760 --> 00:32:34.760]   I'm going to go ahead and start the video.
[00:32:34.760 --> 00:32:34.760]   I'm going to go ahead and start the video.
[00:32:34.760 --> 00:32:34.760]   I'm going to go ahead and start the video.
[00:32:34.760 --> 00:32:34.760]   I'm going to go ahead and start the video.
[00:32:34.760 --> 00:32:34.760]   I'm going to go ahead and start the video.
[00:32:34.760 --> 00:32:34.760]   I'm going to go ahead and start the video.
[00:32:34.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:04.780]   I'm going to go ahead and start the video.
[00:33:04.780 --> 00:33:34.800]   I'm going to go ahead and start the video.
[00:33:34.800 --> 00:33:34.800]   I'm going to go ahead and start the video.
[00:33:34.800 --> 00:33:34.800]   I'm going to go ahead and start the video.
[00:33:34.800 --> 00:33:34.800]   I'm going to go ahead and start the video.
[00:33:34.800 --> 00:33:34.800]   I'm going to go ahead and start the video.
[00:33:34.800 --> 00:33:34.800]   I'm going to go ahead and start the video.
[00:33:34.800 --> 00:33:34.800]   I'm going to go ahead and start the video.
[00:33:34.800 --> 00:33:34.800]   I'm going to go ahead and start the video.
[00:33:34.800 --> 00:33:34.800]   I'm going to go ahead and start the video.
[00:33:34.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:04.820]   I'm going to go ahead and start the video.
[00:34:04.820 --> 00:34:34.840]   I'm going to go ahead and start the video.
[00:34:34.840 --> 00:34:34.840]   I'm going to go ahead and start the video.
[00:34:34.840 --> 00:34:34.840]   I'm going to go ahead and start the video.
[00:34:34.840 --> 00:34:34.840]   I'm going to go ahead and start the video.
[00:34:34.840 --> 00:34:34.840]   I'm going to go ahead and start the video.
[00:34:34.840 --> 00:34:34.840]   I'm going to go ahead and start the video.
[00:34:34.840 --> 00:34:34.840]   I'm going to go ahead and start the video.
[00:34:34.840 --> 00:34:34.840]   I'm going to go ahead and start the video.
[00:34:34.840 --> 00:34:34.840]   I'm going to go ahead and start the video.
[00:34:34.840 --> 00:34:34.840]   I'm going to go ahead and start the video.
[00:34:34.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:04.860]   I'm going to go ahead and start the video.
[00:35:04.860 --> 00:35:34.880]   I'm going to go ahead and start the video.
[00:35:34.880 --> 00:35:34.880]   I'm going to go ahead and start the video.
[00:35:34.880 --> 00:35:34.880]   I'm going to go ahead and start the video.
[00:35:34.880 --> 00:35:34.880]   I'm going to go ahead and start the video.
[00:35:34.880 --> 00:35:34.880]   I'm going to go ahead and start the video.
[00:35:34.880 --> 00:35:34.880]   I'm going to go ahead and start the video.
[00:35:34.880 --> 00:35:34.880]   I'm going to go ahead and start the video.
[00:35:34.880 --> 00:35:34.880]   I'm going to go ahead and start the video.
[00:35:34.880 --> 00:35:34.880]   I'm going to go ahead and start the video.
[00:35:34.880 --> 00:35:34.880]   I'm going to go ahead and start the video.
[00:35:34.880 --> 00:35:34.880]   I'm going to go ahead and start the video.
[00:35:34.880 --> 00:35:34.880]   I'm going to go ahead and start the video.
[00:35:34.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:04.900]   I'm going to go ahead and start the video.
[00:36:04.900 --> 00:36:34.920]   I'm going to go ahead and start the video.
[00:36:34.920 --> 00:36:34.920]   I'm going to go ahead and start the video.
[00:36:34.920 --> 00:36:34.920]   I'm going to go ahead and start the video.
[00:36:34.920 --> 00:36:34.920]   I'm going to go ahead and start the video.
[00:36:34.920 --> 00:36:34.920]   I'm going to go ahead and start the video.
[00:36:34.920 --> 00:36:34.920]   I'm going to go ahead and start the video.
[00:36:34.920 --> 00:36:34.920]   I'm going to go ahead and start the video.
[00:36:34.920 --> 00:36:34.920]   I'm going to go ahead and start the video.
[00:36:34.920 --> 00:36:34.920]   I'm going to go ahead and start the video.
[00:36:34.920 --> 00:36:34.920]   I'm going to go ahead and start the video.
[00:36:34.920 --> 00:36:34.920]   I'm going to go ahead and start the video.
[00:36:34.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:04.940]   I'm going to go ahead and start the video.
[00:37:04.940 --> 00:37:34.960]   I'm going to go ahead and start the video.
[00:37:34.960 --> 00:37:34.960]   I'm going to go ahead and start the video.
[00:37:34.960 --> 00:37:34.960]   I'm going to go ahead and start the video.
[00:37:34.960 --> 00:37:34.960]   I'm going to go ahead and start the video.
[00:37:34.960 --> 00:37:34.960]   I'm going to go ahead and start the video.
[00:37:34.960 --> 00:37:34.960]   I'm going to go ahead and start the video.
[00:37:34.960 --> 00:37:34.960]   I'm going to go ahead and start the video.
[00:37:34.960 --> 00:37:34.960]   I'm going to go ahead and start the video.
[00:37:34.960 --> 00:37:34.960]   I'm going to go ahead and start the video.
[00:37:34.960 --> 00:37:34.960]   I'm going to go ahead and start the video.
[00:37:34.960 --> 00:37:34.960]   I'm going to go ahead and start the video.
[00:37:34.960 --> 00:37:34.960]   I'm going to go ahead and start the video.
[00:37:34.960 --> 00:37:34.960]   I'm going to go ahead and start the video.
[00:37:34.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:04.980]   I'm going to go ahead and start the video.
[00:38:04.980 --> 00:38:35.000]   I'm going to go ahead and start the video.
[00:38:35.000 --> 00:38:35.000]   I'm going to go ahead and start the video.
[00:38:35.000 --> 00:38:35.000]   I'm going to go ahead and start the video.
[00:38:35.000 --> 00:38:35.000]   I'm going to go ahead and start the video.
[00:38:35.000 --> 00:38:35.000]   I'm going to go ahead and start the video.
[00:38:35.000 --> 00:38:35.000]   I'm going to go ahead and start the video.
[00:38:35.000 --> 00:38:35.000]   I'm going to go ahead and start the video.
[00:38:35.000 --> 00:38:35.000]   I'm going to go ahead and start the video.
[00:38:35.000 --> 00:38:35.000]   I'm going to go ahead and start the video.
[00:38:35.000 --> 00:38:35.000]   I'm going to go ahead and start the video.
[00:38:35.000 --> 00:38:35.000]   I'm going to go ahead and start the video.
[00:38:35.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:05.020]   I'm going to go ahead and start the video.
[00:39:05.020 --> 00:39:35.040]   I'm going to go ahead and start the video.
[00:39:35.040 --> 00:39:35.040]   I'm going to go ahead and start the video.
[00:39:35.040 --> 00:39:35.040]   I'm going to go ahead and start the video.
[00:39:35.040 --> 00:39:35.040]   I'm going to go ahead and start the video.
[00:39:35.040 --> 00:39:35.040]   I'm going to go ahead and start the video.
[00:39:35.040 --> 00:39:35.040]   I'm going to go ahead and start the video.
[00:39:35.040 --> 00:39:35.040]   I'm going to go ahead and start the video.
[00:39:35.040 --> 00:39:35.040]   I'm going to go ahead and start the video.
[00:39:35.040 --> 00:39:35.040]   I'm going to go ahead and start the video.
[00:39:35.040 --> 00:39:35.040]   I'm going to go ahead and start the video.
[00:39:35.040 --> 00:39:35.040]   I'm going to go ahead and start the video.
[00:39:35.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:05.060]   I'm going to go ahead and start the video.
[00:40:05.060 --> 00:40:35.080]   I'm going to go ahead and start the video.
[00:40:35.080 --> 00:40:35.080]   I'm going to go ahead and start the video.
[00:40:35.080 --> 00:40:35.080]   I'm going to go ahead and start the video.
[00:40:35.080 --> 00:40:35.080]   I'm going to go ahead and start the video.
[00:40:35.080 --> 00:40:35.080]   I'm going to go ahead and start the video.
[00:40:35.080 --> 00:40:35.080]   I'm going to go ahead and start the video.
[00:40:35.080 --> 00:40:35.080]   I'm going to go ahead and start the video.
[00:40:35.080 --> 00:40:35.080]   I'm going to go ahead and start the video.
[00:40:35.080 --> 00:40:35.080]   I'm going to go ahead and start the video.
[00:40:35.080 --> 00:40:35.080]   I'm going to go ahead and start the video.
[00:40:35.080 --> 00:40:35.080]   I'm going to go ahead and start the video.
[00:40:35.080 --> 00:40:35.080]   I'm going to go ahead and start the video.
[00:40:35.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:05.100]   I'm going to go ahead and start the video.
[00:41:05.100 --> 00:41:35.120]   I'm going to go ahead and start the video.
[00:41:35.120 --> 00:41:35.120]   I'm going to go ahead and start the video.
[00:41:35.120 --> 00:41:35.120]   I'm going to go ahead and start the video.
[00:41:35.120 --> 00:41:35.120]   I'm going to go ahead and start the video.
[00:41:35.120 --> 00:41:35.120]   I'm going to go ahead and start the video.
[00:41:35.120 --> 00:41:35.120]   I'm going to go ahead and start the video.
[00:41:35.120 --> 00:41:35.120]   I'm going to go ahead and start the video.
[00:41:35.120 --> 00:41:35.120]   I'm going to go ahead and start the video.
[00:41:35.120 --> 00:41:35.120]   I'm going to go ahead and start the video.
[00:41:35.120 --> 00:41:35.120]   I'm going to go ahead and start the video.
[00:41:35.120 --> 00:41:35.120]   I'm going to go ahead and start the video.
[00:41:35.120 --> 00:41:35.120]   I'm going to go ahead and start the video.
[00:41:35.120 --> 00:41:35.120]   I'm going to go ahead and start the video.
[00:41:35.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:05.140]   I'm going to go ahead and start the video.
[00:42:05.140 --> 00:42:35.160]   I'm going to go ahead and start the video.
[00:42:35.160 --> 00:42:35.160]   I'm going to go ahead and start the video.
[00:42:35.160 --> 00:42:35.160]   I'm going to go ahead and start the video.
[00:42:35.160 --> 00:42:35.160]   I'm going to go ahead and start the video.
[00:42:35.160 --> 00:42:35.160]   I'm going to go ahead and start the video.
[00:42:35.160 --> 00:42:35.160]   I'm going to go ahead and start the video.
[00:42:35.160 --> 00:42:35.160]   I'm going to go ahead and start the video.
[00:42:35.160 --> 00:42:35.160]   I'm going to go ahead and start the video.
[00:42:35.160 --> 00:42:35.160]   I'm going to go ahead and start the video.
[00:42:35.160 --> 00:42:35.160]   I'm going to go ahead and start the video.
[00:42:35.160 --> 00:42:35.160]   I'm going to go ahead and start the video.
[00:42:35.160 --> 00:42:35.160]   I'm going to go ahead and start the video.
[00:42:35.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:05.180]   I'm going to go ahead and start the video.
[00:43:05.180 --> 00:43:35.200]   I'm going to go ahead and start the video.
[00:43:35.200 --> 00:43:35.200]   I'm going to go ahead and start the video.
[00:43:35.200 --> 00:43:35.200]   I'm going to go ahead and start the video.
[00:43:35.200 --> 00:43:35.200]   I'm going to go ahead and start the video.
[00:43:35.200 --> 00:43:35.200]   I'm going to go ahead and start the video.
[00:43:35.200 --> 00:43:35.200]   I'm going to go ahead and start the video.
[00:43:35.200 --> 00:43:35.200]   I'm going to go ahead and start the video.
[00:43:35.200 --> 00:43:35.200]   I'm going to go ahead and start the video.
[00:43:35.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:05.220]   I'm going to go ahead and start the video.
[00:44:05.220 --> 00:44:35.240]   I'm going to go ahead and start the video.
[00:44:35.240 --> 00:44:35.240]   I'm going to go ahead and start the video.
[00:44:35.240 --> 00:44:35.240]   I'm going to go ahead and start the video.
[00:44:35.240 --> 00:44:35.240]   I'm going to go ahead and start the video.
[00:44:35.240 --> 00:44:35.240]   I'm going to go ahead and start the video.
[00:44:35.240 --> 00:44:35.240]   I'm going to go ahead and start the video.
