
[00:00:00.000 --> 00:00:05.000]   Should be fine.
[00:21:00.400 --> 00:21:01.500]   and images.
[00:21:01.500 --> 00:21:06.680]   So that's how this model then starts to learn that, okay, a cat are these, because now the
[00:21:06.680 --> 00:21:10.880]   DETR or the transformer itself is going to start predicting the bounding boxes.
[00:21:10.880 --> 00:21:14.680]   So this is where the model starts to learn, okay, a cat is linked to this red bounding
[00:21:14.680 --> 00:21:16.880]   box coordinates.
[00:21:16.880 --> 00:21:20.560]   Is that a good summary of the understanding so far?
[00:21:20.560 --> 00:21:21.560]   So yeah.
[00:21:21.560 --> 00:21:25.720]   So there is like a matching step which happens during prediction, right?
[00:21:25.720 --> 00:21:26.840]   Just as in DETR.
[00:21:26.840 --> 00:21:33.040]   And basically during Ground Truth, we're going to like know which box to map to which, like
[00:21:33.040 --> 00:21:37.140]   instead of the label here, you have a soft token distribution that you're predicting
[00:21:37.140 --> 00:21:39.800]   and it's like everything else remains the same basically.
[00:21:39.800 --> 00:21:40.800]   Yeah.
[00:21:40.800 --> 00:21:41.800]   Absolutely.
[00:21:41.800 --> 00:21:46.360]   And the matching, that's the bipartite matching criterion that's part of DETR?
[00:21:46.360 --> 00:21:47.360]   It's the same.
[00:21:47.360 --> 00:21:51.520]   We have the same, like, yeah, this was something which the reviewers asked us to overhaul.
[00:21:51.520 --> 00:21:54.840]   So I'll add if it's confusing to anyone.
[00:21:54.840 --> 00:21:57.560]   The DETR matching step exists here too.
[00:21:57.560 --> 00:22:01.000]   We also have the DETR losses for the box prediction.
[00:22:01.000 --> 00:22:05.240]   In addition, we have like the contrastive and soft token prediction.
[00:22:05.240 --> 00:22:06.240]   So yeah.
[00:22:06.240 --> 00:22:07.240]   Right.
[00:22:07.240 --> 00:22:08.240]   Okay.
[00:22:08.240 --> 00:22:09.240]   Thanks very much.
[00:22:09.240 --> 00:22:15.360]   So I guess then that understanding sort of, I believe, covers somewhat of the method and
[00:22:15.360 --> 00:22:17.400]   we've already looked at the architecture.
[00:22:17.400 --> 00:22:21.840]   That covers the overall architecture and it covers like how the shapes would propagate
[00:22:21.840 --> 00:22:22.840]   through this transformer.
[00:22:22.840 --> 00:22:25.440]   Is there anything you want to add so far?
[00:22:25.440 --> 00:22:28.440]   Because I was thinking we'd get started with the losses.
[00:22:28.440 --> 00:22:29.440]   Yeah, sure.
[00:22:29.440 --> 00:22:30.440]   No worries.
[00:22:30.440 --> 00:22:32.800]   I'm like answering questions also in the chat.
[00:22:32.800 --> 00:22:33.800]   Oh, okay.
[00:22:33.800 --> 00:22:35.520]   Thanks very much for doing that.
[00:22:35.520 --> 00:22:36.520]   Nice.
[00:22:36.520 --> 00:22:38.400]   I'm very bad at doing multitasking.
[00:22:38.400 --> 00:22:42.840]   So I guess because you come from a multimodal model, but you're good at multitasking.
[00:22:42.840 --> 00:22:45.080]   While you're talking, I can answer the questions.
[00:22:45.080 --> 00:22:46.840]   So it's no worries.
[00:22:46.840 --> 00:22:47.840]   That's great to see.
[00:22:47.840 --> 00:22:48.840]   Okay.
[00:22:48.840 --> 00:22:54.600]   So then as Eshwarya just mentioned that in training, we also have two additional loss
[00:22:54.600 --> 00:22:55.600]   functions.
[00:22:55.600 --> 00:23:01.000]   So for anybody that's new to DETR, I would again mention that this is something that
[00:23:01.000 --> 00:23:05.680]   if you want to have a look at the DETR, when we keep referring to DETR, we're just saying
[00:23:05.680 --> 00:23:11.680]   the DETR paper, which is the end to end detection with transformers.
[00:23:11.680 --> 00:23:15.040]   And last week at Wits and Mices, we also had a paper reading group for this.
[00:23:15.040 --> 00:23:20.840]   And I also have written a blog post about this, which is the annotated transformer.
[00:23:20.840 --> 00:23:25.360]   So we still have all of those loss functions, as you're saying, Eshwarya, which is set criterion,
[00:23:25.360 --> 00:23:29.160]   which is still the matching and everything's happening as is.
[00:23:29.160 --> 00:23:33.240]   But what you've done is because this is different from predicting class ID.
[00:23:33.240 --> 00:23:38.560]   So instead of like for every bounding box, where in DETR, we would predict for this cat,
[00:23:38.560 --> 00:23:43.360]   we would just say, predict a class ID of maybe 81.
[00:23:43.360 --> 00:23:45.520]   Yeah, I'm just putting in numbers.
[00:23:45.520 --> 00:23:46.520]   Right, yeah.
[00:23:46.520 --> 00:23:51.840]   So yeah, so we would have the class ID say 81 for the cat, or we would have a class ID
[00:23:51.840 --> 00:23:55.840]   of say 29, which is just how DETR would do it.
[00:23:55.840 --> 00:23:59.320]   And it would try and match these bounding boxes to those IDs.
[00:23:59.320 --> 00:24:05.160]   Here what we want to do is 29 needs to be matched to these three tokens.
[00:24:05.160 --> 00:24:06.880]   Is that correct?
[00:24:06.880 --> 00:24:11.200]   And then 81 needs to be matched to these two tokens.
[00:24:11.200 --> 00:24:16.880]   And I mentioned that it's also like, it's a many to many mapping, right?
[00:24:16.880 --> 00:24:20.960]   Because you can have many, like in white paws, for example, there are four boxes that are
[00:24:20.960 --> 00:24:22.960]   mapped to the same text.
[00:24:22.960 --> 00:24:27.920]   And it can also be possible that you have two boxes, which are referred to by the same
[00:24:27.920 --> 00:24:30.480]   like co-referent text, for example.
[00:24:30.480 --> 00:24:34.680]   Like in Flickr, for example, they have like some sentences like a couple.
[00:24:34.680 --> 00:24:38.880]   So a couple can be shown with like the full box.
[00:24:38.880 --> 00:24:41.940]   And then, you know, they again refer to the individual people.
[00:24:41.940 --> 00:24:45.960]   So they also have like a reference to the person, you know, it could be like the two
[00:24:45.960 --> 00:24:49.160]   different boxes, but the same like text, or you should know that they're talking about
[00:24:49.160 --> 00:24:52.440]   the same people in like two references in the text because of the box.
[00:24:52.440 --> 00:24:53.440]   Yeah.
[00:24:53.440 --> 00:24:57.360]   So I was just saying that it can have many boxes for one text and many text for one box,
[00:24:57.360 --> 00:24:58.360]   like both ways.
[00:24:58.360 --> 00:25:01.280]   Yeah, I guess that's a really, really good point.
[00:25:01.280 --> 00:25:02.280]   Thanks for sharing that.
[00:25:02.280 --> 00:25:06.700]   So I guess even in this image, if this wasn't a cat, if this was say something like many
[00:25:06.700 --> 00:25:11.640]   cats with white paws are jumping over a fence, so then this very image could have multiple
[00:25:11.640 --> 00:25:12.640]   cats in there.
[00:25:12.640 --> 00:25:19.240]   So two, like for the word cats, for one word, you still have many objects in the image.
[00:25:19.240 --> 00:25:24.040]   So the important part here would be like, if there is a sentence which has two women,
[00:25:24.040 --> 00:25:28.600]   right, like we, there's an example later in the paper where we show like a woman wearing
[00:25:28.600 --> 00:25:33.520]   a watch, whereas there's another woman who has like white hair.
[00:25:33.520 --> 00:25:40.460]   So if there was no qualifier, the box for women should have like map to all, like, there's
[00:25:40.460 --> 00:25:43.100]   no like, there's nothing which is distinguishing them, right?
[00:25:43.100 --> 00:25:44.980]   So it should be all women basically.
[00:25:44.980 --> 00:25:48.740]   But if you say women who has white hair, you know that there's something qualifying it.
[00:25:48.740 --> 00:25:50.260]   So it like distinguishes the two.
[00:25:50.260 --> 00:25:54.260]   So yeah, that's, that's important in like how we also construct the data later and it
[00:25:54.260 --> 00:25:56.700]   will come up for the pre-training data.
[00:25:56.700 --> 00:25:58.260]   So just mentioning it now.
[00:25:58.260 --> 00:25:59.260]   Yeah.
[00:25:59.260 --> 00:26:00.260]   Thanks very much, Aishwarya.
[00:26:00.260 --> 00:26:03.100]   That's really, really helpful.
[00:26:03.100 --> 00:26:07.600]   So I guess then with that understanding, I guess we're okay to start having a look at
[00:26:07.600 --> 00:26:08.600]   the losses.
[00:26:08.600 --> 00:26:13.340]   So again, just to repeat, what we want to do is we want to have the bounding boxes be
[00:26:13.340 --> 00:26:16.060]   assigned to some tokens of the text.
[00:26:16.060 --> 00:26:21.260]   So the two loss functions that we have, as Aishwarya mentioned, that have been added
[00:26:21.260 --> 00:26:26.900]   to detail and MDTR adds them is the soft token prediction and the contrastive alignment.
[00:26:26.900 --> 00:26:32.200]   So Aishwarya, maybe did you want to share some things about, or just provide an introduction
[00:26:32.200 --> 00:26:34.700]   to soft token prediction to start with?
[00:26:34.700 --> 00:26:38.760]   You want me to like share my screen and like show a slide because it might be easier to
[00:26:38.760 --> 00:26:40.120]   explain with that.
[00:26:40.120 --> 00:26:41.120]   Yeah, please.
[00:26:41.120 --> 00:26:44.200]   You can, you should be able to share your screen now.
[00:26:44.200 --> 00:26:45.200]   One second.
[00:26:45.200 --> 00:26:46.200]   Let me find the window.
[00:26:46.200 --> 00:26:47.200]   Sorry, one second.
[00:26:47.200 --> 00:26:48.200]   That's okay.
[00:26:48.200 --> 00:26:57.200]   Meanwhile, I'll just have a look at any questions that we might have.
[00:26:57.200 --> 00:26:58.200]   Yeah.
[00:26:58.200 --> 00:27:20.040]   Can you see my screen?
[00:27:20.040 --> 00:27:21.040]   It's coming up now.
[00:27:21.040 --> 00:27:23.400]   So just going to, yeah, now we can.
[00:27:23.400 --> 00:27:24.400]   Okay.
[00:27:24.400 --> 00:27:25.400]   So yeah.
[00:27:25.400 --> 00:27:28.600]   So the first one is the soft token prediction loss.
[00:27:28.600 --> 00:27:32.820]   This image helps because it's like the same one as we've been looking at.
[00:27:32.820 --> 00:27:39.440]   So to tell you concretely what the ground truth looks like, like how we construct it,
[00:27:39.440 --> 00:27:45.520]   we have a map which basically says it's zero for all the places, you know, all the token
[00:27:45.520 --> 00:27:49.160]   positions where this object doesn't have anything to do with it.
[00:27:49.160 --> 00:27:54.880]   And whenever this object is referred to, you need to have like a uniform distribution over
[00:27:54.880 --> 00:27:55.880]   it.
[00:27:55.880 --> 00:27:57.760]   So it's going to be like 0.5, 0.5 here.
[00:27:57.760 --> 00:28:03.800]   So in terms of, in case of like this, the pause, all of these four boxes will have the
[00:28:03.800 --> 00:28:06.600]   same distribution or the white balls.
[00:28:06.600 --> 00:28:10.400]   And in the, in case of no object, basically you're saying it doesn't correspond to any
[00:28:10.400 --> 00:28:11.400]   of this.
[00:28:11.400 --> 00:28:16.880]   It's going to have like, you know, all of it's a mass on this no object token in detail.
[00:28:16.880 --> 00:28:23.160]   Also this no object token existed for when you don't have a matching object for a particular,
[00:28:23.160 --> 00:28:24.480]   you know, prediction.
[00:28:24.480 --> 00:28:31.040]   But here we, instead of having a label, it's just implemented as like the last token basically.
[00:28:31.040 --> 00:28:36.760]   So if you have like a max length of 255, it's like 256, if that makes sense.
[00:28:36.760 --> 00:28:41.720]   And so, yeah, what I was saying earlier is like, suppose this cat is referred to again,
[00:28:41.720 --> 00:28:46.520]   and if the sentence was a cat with white balls jumps over a fence and the cat is like really
[00:28:46.520 --> 00:28:51.560]   cute or something like that, if that cat is referred to again, it would have like, you
[00:28:51.560 --> 00:28:57.080]   know, 0.25, 0.25 and 0.25, 0.25 again for the remaining, for the other place that the
[00:28:57.080 --> 00:28:58.120]   cat is referred.
[00:28:58.120 --> 00:29:02.640]   So I'm just trying to point out that the span that you're aligning to doesn't have to be
[00:29:02.640 --> 00:29:03.720]   contiguous.
[00:29:03.720 --> 00:29:07.680]   It's anywhere in the sentence, wherever that, you know, object is referred to, you're going
[00:29:07.680 --> 00:29:11.720]   to have a uniform distribution over all of the token positions.
[00:29:11.720 --> 00:29:13.080]   So I hope that's clear.
[00:29:13.080 --> 00:29:15.520]   If you have any questions you can ask.
[00:29:15.520 --> 00:29:17.760]   And then this is the soft token prediction.
[00:29:17.760 --> 00:29:22.220]   And then the other one is the contrastive alignment.
[00:29:22.220 --> 00:29:29.060]   So here, the idea is, we need to figure out which objects and which parts of the text
[00:29:29.060 --> 00:29:32.240]   should have representations that are closer together.
[00:29:32.240 --> 00:29:39.160]   So in the first case, in the soft token alignment, sorry, in the soft token prediction, you're
[00:29:39.160 --> 00:29:43.680]   only getting like positional information, but there's nothing that's really being done
[00:29:43.680 --> 00:29:48.240]   about the actual embeddings of the objects and the actual embeddings of the text, right?
[00:29:48.240 --> 00:29:53.040]   Because the prediction is just like, okay, I'm going to give you a span over the positions
[00:29:53.040 --> 00:29:54.040]   of the text.
[00:29:54.040 --> 00:30:00.400]   But what about like the actual representations of the image and text of the objects and text?
[00:30:00.400 --> 00:30:03.720]   So that we fix by using this contrastive alignment.
[00:30:03.720 --> 00:30:09.160]   So if you're not familiar with it, it's a very standard thing now in like sub-supervised
[00:30:09.160 --> 00:30:10.160]   learning.
[00:30:10.160 --> 00:30:12.520]   It's called an info-NCE loss.
[00:30:12.520 --> 00:30:15.600]   NCE stands for noise contrastive estimation.
[00:30:15.600 --> 00:30:21.840]   The equation we can look at again in the paper, but at a very high level, what you want is
[00:30:21.840 --> 00:30:29.000]   things that are referred to in text and in the image, like which correspond to each other.
[00:30:29.000 --> 00:30:35.480]   For example, this red box around this blue ball and the text is ball or yellow.
[00:30:35.480 --> 00:30:44.400]   So the first token P1 basically, which corresponds to this word ball should have like a one for
[00:30:44.400 --> 00:30:48.840]   the box, which is red, as well as this other ball, right?
[00:30:48.840 --> 00:30:52.640]   Because you have like the word ball, you know that these are both balls.
[00:30:52.640 --> 00:30:56.880]   So if you have four objects, both of these have to be positive, whereas the rest have
[00:30:56.880 --> 00:30:58.320]   to be like negative.
[00:30:58.320 --> 00:31:03.800]   So essentially what you're doing here is taking the embedding for the object ball, which both
[00:31:03.800 --> 00:31:08.280]   of these are, and trying to make them as close as possible to the embedding for the word
[00:31:08.280 --> 00:31:09.280]   ball.
[00:31:09.280 --> 00:31:11.240]   So yeah, that's the idea.
[00:31:11.240 --> 00:31:13.420]   And this is a symmetric loss.
[00:31:13.420 --> 00:31:17.480]   So this is what I showed you is from token to objects, but the same way you can go from
[00:31:17.480 --> 00:31:19.720]   objects to tokens.
[00:31:19.720 --> 00:31:25.560]   So for the box, for the red box, it basically is this ball, right?
[00:31:25.560 --> 00:31:26.560]   The first word.
[00:31:26.560 --> 00:31:32.480]   And yeah, so like you can basically look at all of the other Xs I have and figure out
[00:31:32.480 --> 00:31:33.880]   how to make them.
[00:31:33.880 --> 00:31:37.200]   And this is used in the contrastive alignment loss.
[00:31:37.200 --> 00:31:41.520]   After making this matrix, we can go back to the equations.
[00:31:41.520 --> 00:31:43.520]   Maybe I can talk to her.
[00:31:43.520 --> 00:31:46.520]   No, I think that was really, really helpful.
[00:31:46.520 --> 00:31:54.040]   Looking at the equation is a bit like daunting, but if you just like break it down, it's like,
[00:31:54.040 --> 00:31:58.120]   what do you want to do is just like maybe embeddings of things that should be similar
[00:31:58.120 --> 00:32:03.000]   close together and whatever should not be like a ball in a cylinder should not be, the
[00:32:03.000 --> 00:32:04.560]   embeddings for that should not be similar.
[00:32:04.560 --> 00:32:05.560]   So you like push them apart.
[00:32:05.560 --> 00:32:06.560]   So yeah.
[00:32:06.560 --> 00:32:07.560]   Absolutely.
[00:32:07.560 --> 00:32:12.840]   So maybe let's just go into some details now that we have a really good understanding of
[00:32:12.840 --> 00:32:13.840]   those concepts.
[00:32:13.840 --> 00:32:18.000]   So maybe I will try and summarize and then maybe I'm sure you could correct me if I'm
[00:32:18.000 --> 00:32:20.000]   wrong somewhere.
[00:32:20.000 --> 00:32:25.240]   So again, for soft token prediction, as you said, what we want to do is we want to try
[00:32:25.240 --> 00:32:28.160]   and match a cat to these two tokens.
[00:32:28.160 --> 00:32:35.080]   So if we have, say in soft token prediction, let's say if we have, let's say we have the
[00:32:35.080 --> 00:32:40.880]   cat object and then I've got, so this, this I'm referring to as the object.
[00:32:40.880 --> 00:32:43.400]   And let's say I've got words, one, two, three, four.
[00:32:43.400 --> 00:32:48.160]   So the words one and two are the one that needs to be assigned to this, to this object.
[00:32:48.160 --> 00:32:53.320]   So what we're trying to do is for this object, then there's this loss, because these are
[00:32:53.320 --> 00:32:58.880]   ones which is every word or every token that's corresponding to the object that's valued
[00:32:58.880 --> 00:33:01.960]   at one, which is the mask, as you mentioned, or the ground truth.
[00:33:01.960 --> 00:33:06.240]   For the soft token prediction, it's normalized by the length of the span.
[00:33:06.240 --> 00:33:07.640]   So basically this would be 0.5.
[00:33:07.640 --> 00:33:08.640]   Oh, sorry.
[00:33:08.640 --> 00:33:09.640]   That's a good point.
[00:33:09.640 --> 00:33:10.640]   Sorry.
[00:33:10.640 --> 00:33:11.640]   Yes.
[00:33:11.640 --> 00:33:13.180]   So that will be 0.5.5 and then everything's going to be zero.
[00:33:13.180 --> 00:33:18.500]   So as many tokens as we have, you would divide it uniformly over those tokens.
[00:33:18.500 --> 00:33:23.620]   So if this was something like, if I'm referring to the object, say, if I'm referring to the
[00:33:23.620 --> 00:33:29.800]   object, say tree, then, and I've got three tokens that refer to the word three in my
[00:33:29.800 --> 00:33:34.400]   sentence this time, then this would be 0.33 and 0.33 and then zero.
[00:33:34.400 --> 00:33:39.420]   And then what we're trying to do is then this matrix would become kind of the ground truth
[00:33:39.420 --> 00:33:40.420]   for this.
[00:33:40.420 --> 00:33:42.940]   And then could we just use BCE or binary cross entropy?
[00:33:42.940 --> 00:33:45.260]   It's a soft cross entropy, basically.
[00:33:45.260 --> 00:33:46.260]   Soft cross entropy.
[00:33:46.260 --> 00:33:47.260]   Exactly.
[00:33:47.260 --> 00:33:51.180]   So we could use something like a soft cross entropy to then make the model match.
[00:33:51.180 --> 00:33:56.700]   So in this loss, I guess the model is still learning some information about, because it
[00:33:56.700 --> 00:33:57.940]   knows where the tree is.
[00:33:57.940 --> 00:34:00.980]   It has some information about the bounding box.
[00:34:00.980 --> 00:34:06.620]   It is learning to associate somewhat where the tree is in the image to then those three
[00:34:06.620 --> 00:34:12.620]   tokens, like one, two, three tokens that we have that are corresponding to the tree.
[00:34:12.620 --> 00:34:15.260]   Is that correct so far?
[00:34:15.260 --> 00:34:20.660]   This is mostly like a non-parametric alignment because the actual embeddings of the objects
[00:34:20.660 --> 00:34:25.300]   and text, there's nothing like forcing them to be similar through this loss.
[00:34:25.300 --> 00:34:29.380]   It's just learning about positional information, which is why we need another loss, which is
[00:34:29.380 --> 00:34:30.380]   the contrastive.
[00:34:30.380 --> 00:34:31.380]   Yeah.
[00:34:31.380 --> 00:34:32.380]   OK.
[00:34:32.380 --> 00:34:38.460]   So then, just as you said, so contrastive alignment then is slightly different and it's
[00:34:38.460 --> 00:34:44.460]   a bit more powerful in the sense that now this is what is going to match the tree to
[00:34:44.460 --> 00:34:45.460]   the object.
[00:34:45.460 --> 00:34:51.940]   So because if I, I think if I go back to the image, because we're going to pass the, we're
[00:34:51.940 --> 00:34:55.500]   going to, let's just take the example of the cat.
[00:34:55.500 --> 00:34:59.660]   So because we're going to pass this cat through the CNN and we're going to get some embedding,
[00:34:59.660 --> 00:35:03.220]   let's just say we're going to get an embedding of 768 for this cat.
[00:35:03.220 --> 00:35:07.160]   That's just represents that representation of that cat.
[00:35:07.160 --> 00:35:09.080]   And similarly, we're going to get some embedding.
[00:35:09.080 --> 00:35:12.980]   So when we concatenate, or let's just say it's just some embedding, which is again of
[00:35:12.980 --> 00:35:18.700]   say dimension 768, we can reshape or I'm not exactly sure what the dimensions are that
[00:35:18.700 --> 00:35:25.660]   we can not go into the details, but just for a high level, both of these now are represented
[00:35:25.660 --> 00:35:26.660]   by vectors.
[00:35:26.660 --> 00:35:29.660]   So cat is represented by 768 long vector.
[00:35:29.660 --> 00:35:33.200]   And similarly, those two words are again, this vector.
[00:35:33.200 --> 00:35:35.820]   And then what this loss is trying to do is it's trying to make sure.
[00:35:35.820 --> 00:35:36.820]   Sorry, sorry to interrupt.
[00:35:36.820 --> 00:35:42.520]   For the contrastive, I just wanted to say that we take the output of this and the cross
[00:35:42.520 --> 00:35:43.520]   encoder.
[00:35:43.520 --> 00:35:45.700]   So there's this concat and transformer, right?
[00:35:45.700 --> 00:35:52.180]   The transformer has an encoder and decoder, the output of that cross encoder, the representation
[00:35:52.180 --> 00:35:53.180]   of the text there.
[00:35:53.180 --> 00:35:58.880]   So there's already been some like cross attention or like self attention to the image features
[00:35:58.880 --> 00:36:00.260]   inside that cross encoder.
[00:36:00.260 --> 00:36:04.380]   And we're getting the output like somewhere in the middle of this transformer for the
[00:36:04.380 --> 00:36:05.700]   text features.
[00:36:05.700 --> 00:36:08.260]   And for the image features, it's the output of the boxes.
[00:36:08.260 --> 00:36:10.660]   Yeah, that would help, I guess.
[00:36:10.660 --> 00:36:15.040]   Yeah, I was just going to quickly bring up that image that you're referring to.
[00:36:15.040 --> 00:36:20.280]   So let me just quickly do that.
[00:36:20.280 --> 00:36:21.280]   When it loads.
[00:36:21.280 --> 00:36:25.160]   I'm in Australia, so the Wi-Fi is really bad.
[00:36:25.160 --> 00:36:31.440]   They say the Qantas Airlines has a better Wi-Fi than all of Australia.
[00:36:31.440 --> 00:36:37.240]   So that's just an Australian joke.
[00:36:37.240 --> 00:36:43.420]   Thanks for having this earlier this week, by the way, to accommodate me.
[00:36:43.420 --> 00:36:45.000]   No, no problems at all.
[00:36:45.000 --> 00:36:48.240]   Thanks for joining us.
[00:36:48.240 --> 00:36:49.480]   So I was just going to go.
[00:36:49.480 --> 00:36:52.960]   Yeah, that will do.
[00:36:52.960 --> 00:36:57.840]   Or maybe what about the, there was this really nice image about the transformer.
[00:36:57.840 --> 00:36:58.840]   How about this one?
[00:36:58.840 --> 00:36:59.840]   Yeah, sure.
[00:36:59.840 --> 00:37:03.240]   I mean, the other one is like more compact because we don't really care about.
[00:37:03.240 --> 00:37:06.240]   Let's go about that.
[00:37:06.240 --> 00:37:07.920]   There we go.
[00:37:07.920 --> 00:37:08.920]   So this is.
[00:37:08.920 --> 00:37:12.640]   Yeah, so this is the.
[00:37:12.640 --> 00:37:16.080]   In detail, you have the image features which go into this encoder.
[00:37:16.080 --> 00:37:20.700]   So the bottom part of the transformer encoder is basically just this flattened representation
[00:37:20.700 --> 00:37:21.700]   of the image.
[00:37:21.700 --> 00:37:26.560]   So in addition to that flattened representation of the image, we also have the Roberta features
[00:37:26.560 --> 00:37:31.520]   as like, just like imagine a little longer vector instead of whatever you have here.
[00:37:31.520 --> 00:37:35.120]   But at the output, the encoder is basically going to have like a one to one mapping.
[00:37:35.120 --> 00:37:38.020]   So you're going to also get hidden features of the same length.
[00:37:38.020 --> 00:37:42.040]   So the text features that we use for the contrast of alignment are basically what you get as
[00:37:42.040 --> 00:37:44.080]   the output of the encoder.
[00:37:44.080 --> 00:37:49.000]   And for the image features, which are the object, we get the output of the decoder.
[00:37:49.000 --> 00:37:54.400]   So what we see as the output here is exactly what we use and try to like basically make
[00:37:54.400 --> 00:37:55.800]   those embeddings close together.
[00:37:55.800 --> 00:38:02.800]   They do go through like a linear mapping to make them a smaller dimension because it's
[00:38:02.800 --> 00:38:07.040]   been shown that when you're doing this contrastive learning or like contrastive loss, you don't
[00:38:07.040 --> 00:38:12.320]   need to do the dot product in like 768 or whatever, even 256 dimensional space.
[00:38:12.320 --> 00:38:17.360]   So we project down to 64 dimensions and then do the dot product for the contrast.
[00:38:17.360 --> 00:38:18.360]   No, perfect.
[00:38:18.360 --> 00:38:19.360]   Perfect.
[00:38:19.360 --> 00:38:21.000]   Thanks very much, Ishwarya.
[00:38:21.000 --> 00:38:27.160]   So I guess then that's why you have the two losses here, which is one for, because we
[00:38:27.160 --> 00:38:33.160]   could have multiple objects for a single token, or we could have multiple tokens for a single
[00:38:33.160 --> 00:38:34.160]   object.
[00:38:34.160 --> 00:38:37.840]   That's why you have these two losses, which is token and object.
[00:38:37.840 --> 00:38:41.880]   And you just add them up or take the average of these two losses.
[00:38:41.880 --> 00:38:45.080]   The image which I had shown earlier with the clever example.
[00:38:45.080 --> 00:38:49.120]   So we have this matrix, which is like objects on one side and tokens on the other.
[00:38:49.120 --> 00:38:53.120]   So basically you're normalizing row wise for one of them and normalizing column wise for
[00:38:53.120 --> 00:38:54.120]   the other.
[00:38:54.120 --> 00:38:57.120]   And those are the two, like L, O and L, D.
[00:38:57.120 --> 00:38:58.120]   Perfect.
[00:38:58.120 --> 00:38:59.120]   Thanks very much.
[00:38:59.120 --> 00:39:05.040]   I guess then that's the losses and we're next to pre-training, I believe.
[00:39:05.040 --> 00:39:11.280]   So we will find, so getting into pre-training then, did you want to give us an, you've already
[00:39:11.280 --> 00:39:16.400]   told us that there's 1.5 million text pairs and about 200,000 images.
[00:39:16.400 --> 00:39:19.760]   So how did the, so what exactly is the pre-training?
[00:39:19.760 --> 00:39:22.160]   How is that different from what we're doing?
[00:39:22.160 --> 00:39:25.200]   And then how do we use that model for further downstream tasks?
[00:39:25.200 --> 00:39:26.200]   Sure.
[00:39:26.200 --> 00:39:32.560]   So generally when we have multimodal models, which have object detection as a pre-processing
[00:39:32.560 --> 00:39:34.520]   thing, they usually get the object.
[00:39:34.520 --> 00:39:39.760]   And then the pre-training tasks are generally things like masking out part of the text and
[00:39:39.760 --> 00:39:44.560]   like predicting the image or masking out some regions and trying to predict them and stuff
[00:39:44.560 --> 00:39:45.560]   like that.
[00:39:45.560 --> 00:39:48.840]   Or like image text matching is a very popular one as well.
[00:39:48.840 --> 00:39:52.680]   So we kind of go away from all of these.
[00:39:52.680 --> 00:39:55.120]   We don't, like maybe it'll be even better if we try that.
[00:39:55.120 --> 00:40:01.040]   We actually didn't try language modeling or master whatever on any of our encoders or
[00:40:01.040 --> 00:40:02.040]   decoders.
[00:40:02.040 --> 00:40:10.040]   But what we want to like kind of establish is that if you want to like reason about something
[00:40:10.040 --> 00:40:14.880]   in a downstream task, you have to like make the central task of pre-training actually
[00:40:14.880 --> 00:40:18.920]   figuring out which text is referring to which part of the image.
[00:40:18.920 --> 00:40:24.680]   So this task of like phrase grounding is what we make central to our approach.
[00:40:24.680 --> 00:40:30.320]   And our pre-training only does this one task, which is, you know, phrase grounding.
[00:40:30.320 --> 00:40:31.680]   So what is phrase grounding?
[00:40:31.680 --> 00:40:35.640]   For example, like you have this, can you make the image a bit bigger?
[00:40:35.640 --> 00:40:36.640]   Yeah, sure.
[00:40:36.640 --> 00:40:37.640]   Yeah.
[00:40:37.640 --> 00:40:43.520]   So for example, if you have this, let's just look at the first part of the sentence, the
[00:40:43.520 --> 00:40:47.160]   person in the gray shirt with a watch on their wrist.
[00:40:47.160 --> 00:40:53.200]   You can see that this person in the image, which is in the purple box, would be the person
[00:40:53.200 --> 00:40:54.920]   being referred to here.
[00:40:54.920 --> 00:41:02.400]   So if the annotations came from VG or yeah, like Flickr, there's a different like level
[00:41:02.400 --> 00:41:06.980]   of density in annotations across the different datasets that we use.
[00:41:06.980 --> 00:41:12.200]   So in the referring expression annotations, which we use for Cocoa images, it basically
[00:41:12.200 --> 00:41:14.820]   just gives you one box for the entire text.
[00:41:14.820 --> 00:41:18.440]   So like the person in gray shirt with a watch on their wrist, whereas in Flickr, they would
[00:41:18.440 --> 00:41:23.380]   actually also annotate the gray shirt and the watch, maybe even the wrist.
[00:41:23.380 --> 00:41:28.600]   So yeah, basically all the name entities would be like, would be annotated.
[00:41:28.600 --> 00:41:34.040]   So in our case, when we want to try and combine, because we don't have that much data of this
[00:41:34.040 --> 00:41:38.200]   kind, so we had to like make do with like these different levels of annotations.
[00:41:38.200 --> 00:41:42.480]   So we just use Flickr the way it is, Cocoa referring expressions.
[00:41:42.480 --> 00:41:47.120]   And on VG, we use VG regions as well as GQA balanced dataset.
[00:41:47.120 --> 00:41:50.600]   So it's like a subset of the huge 22 million questions.
[00:41:50.600 --> 00:41:58.200]   So the GQA questions are basically just used as is, they're not used for question answering.
[00:41:58.200 --> 00:42:04.760]   So at this stage, it'll be like, what is the color of the banana, you know, in the bottom
[00:42:04.760 --> 00:42:06.460]   right part of the image or whatever.
[00:42:06.460 --> 00:42:12.160]   So basically GQA gives you alignment between the objects referred to in the question and
[00:42:12.160 --> 00:42:13.680]   you know, boxes in the image.
[00:42:13.680 --> 00:42:17.720]   So we decided to use that as well.
[00:42:17.720 --> 00:42:24.680]   An important point that I want to make about like the data combination is that if we had
