
[00:00:00.000 --> 00:00:04.080]   Welcome to lesson 12.
[00:24:13.160 --> 00:24:20.120]   So once we've got those kind of utility functions in place, the actual callback's really quite
[00:24:20.120 --> 00:24:26.520]   small and you'll be able to map every stage to that picture I showed you before.
[00:24:26.520 --> 00:24:31.640]   So you'll be able to see when we start fitting, we convert the network to half-precision floating
[00:24:31.640 --> 00:24:33.240]   point, for example.
[00:24:33.240 --> 00:24:38.920]   One of the things that's kind of interesting is there's something here called loss scale.
[00:24:38.920 --> 00:24:48.080]   After the backward pass, well probably more interestingly, after the loss is calculated,
[00:24:48.080 --> 00:24:51.480]   we multiply it by this number called loss scale, which is generally something around
[00:24:51.480 --> 00:24:52.640]   512.
[00:24:52.640 --> 00:24:57.880]   The reason we do that is that losses tend to be pretty small in a region where half-precision
[00:24:57.880 --> 00:24:59.720]   floating point's not very accurate.
[00:24:59.720 --> 00:25:03.360]   So we just multiply it by 512, put it in a region that is accurate.
[00:25:03.360 --> 00:25:06.600]   And then later on, in the backward step, we just divide by that again.
[00:25:06.600 --> 00:25:11.280]   So that's a little tweak, but it's the difference we find generally between things working and
[00:25:11.280 --> 00:25:12.840]   not working.
[00:25:12.840 --> 00:25:20.360]   So the nice thing is now, we have something which you can just add mixed precision and
[00:25:20.360 --> 00:25:32.200]   train and you will get often 2x, 3x speed up, certainly on vision models, also on transformers,
[00:25:32.200 --> 00:25:34.440]   quite a few places.
[00:25:34.440 --> 00:25:39.480]   One obvious question is, is 512 the right number?
[00:25:39.480 --> 00:25:42.560]   And it turns out getting this number right actually does make quite a difference to your
[00:25:42.560 --> 00:25:43.720]   training.
[00:25:43.720 --> 00:25:48.200]   And so something slightly more recently is called dynamic loss scaling, which literally
[00:25:48.200 --> 00:25:54.040]   tries a few different values of loss scale to find out at what point does it become infinity.
[00:25:54.040 --> 00:25:59.160]   And so it dynamically figures out the highest loss scale we can go to.
[00:25:59.160 --> 00:26:03.680]   And so this version just has the dynamic loss scaling added.
[00:26:03.680 --> 00:26:08.800]   It's interesting that sometimes training with half-precision gives you better results than
[00:26:08.800 --> 00:26:13.120]   training with FP32 because there's just, I don't know, a bit more randomness.
[00:26:13.120 --> 00:26:18.280]   Maybe it regularizes a little bit, but generally it's super, super similar, just faster.
[00:26:18.280 --> 00:26:20.160]   We have a question about mixup.
[00:26:20.160 --> 00:26:21.560]   Great.
[00:26:21.560 --> 00:26:26.120]   Is there an intuitive way to understand why mixup is better than other data augmentation
[00:26:26.120 --> 00:26:30.600]   techniques?
[00:26:30.600 --> 00:26:36.160]   I think one of the things that's really nice about mixup is that it doesn't require any
[00:26:36.160 --> 00:26:38.360]   domain-specific thinking.
[00:26:38.360 --> 00:26:40.840]   Do we flip horizontally or also vertically?
[00:26:40.840 --> 00:26:43.440]   How much can we rotate?
[00:26:43.440 --> 00:26:47.160]   It doesn't create any kind of lossiness, like in the corners, there's no reflection padding
[00:26:47.160 --> 00:26:48.160]   or black padding.
[00:26:48.160 --> 00:26:52.800]   So it's kind of quite nice and clean.
[00:26:52.800 --> 00:26:59.240]   It's also almost infinite in terms of the number of different images it can create.
[00:26:59.240 --> 00:27:04.040]   So you've kind of got this permutation of every image with every other image, which
[00:27:04.040 --> 00:27:06.800]   is already giant, and then in different mixes.
[00:27:06.800 --> 00:27:13.920]   So it's just a lot of augmentation that you can do with it.
[00:27:13.920 --> 00:27:16.600]   And there are other similar things.
[00:27:16.600 --> 00:27:22.240]   So there's another thing which, there's something called cutout where you just delete a square
[00:27:22.240 --> 00:27:23.680]   and replace it with black.
[00:27:23.680 --> 00:27:27.200]   There's another one where you delete a square and replace it with random pixels.
[00:27:27.200 --> 00:27:30.640]   Something I haven't seen, but I'd really like to see people do, is to delete a square and
[00:27:30.640 --> 00:27:32.120]   replace it with a different image.
[00:27:32.120 --> 00:27:38.080]   So I'd love somebody to try doing mix-up, but instead of taking the linear combination,
[00:27:38.080 --> 00:27:45.280]   instead pick an alpha-sized, sorry, a lambda percent of the pixels, like in a square, and
[00:27:45.280 --> 00:27:47.320]   paste them on top.
[00:27:47.320 --> 00:27:52.000]   There's another one which basically finds four different images and puts them in four
[00:27:52.000 --> 00:27:53.000]   corners.
[00:27:53.000 --> 00:27:55.280]   So there's a few different variations.
[00:27:55.280 --> 00:28:02.440]   And they really get great results, and I'm surprised how few people are using them.
[00:28:02.440 --> 00:28:04.320]   So let's put it all together.
[00:28:04.320 --> 00:28:06.720]   So here's emotionet.
[00:28:06.720 --> 00:28:15.240]   So let's use our random resize crop, a minimum scale of 0.35 we find works pretty well.
[00:28:15.240 --> 00:28:18.760]   And we're not going to do any other, other than flip, we're not going to do any other
[00:28:18.760 --> 00:28:21.320]   augmentation.
[00:28:21.320 --> 00:28:25.000]   And now we need to create a model.
[00:28:25.000 --> 00:28:30.760]   So far, all of our models have been boring convolutional models.
[00:28:30.760 --> 00:28:36.000]   But obviously what we really want to be using is a resnet model.
[00:28:36.000 --> 00:28:41.320]   We have the xresnet, which there's some debate about whether this is the mutant version of
[00:28:41.320 --> 00:28:44.300]   resnet or the extended version of resnet.
[00:28:44.300 --> 00:28:47.840]   So you can choose what the x stands for.
[00:28:47.840 --> 00:28:58.780]   And basically the xresnet is the bag of tricks, is basically the bag of tricks resnet.
[00:28:58.780 --> 00:29:07.240]   So they have a few suggested tweaks to resnet.
[00:29:07.240 --> 00:29:09.520]   And here they are.
[00:29:09.520 --> 00:29:13.200]   So these are their little tweaks.
[00:29:13.200 --> 00:29:17.360]   So the first tweak is something that we've kind of talked about, and they call it resnet
[00:29:17.360 --> 00:29:18.360]   c.
[00:29:18.360 --> 00:29:24.280]   And it's basically, hey, let's not do a big seven by seven convolution as our first layer,
[00:29:24.280 --> 00:29:26.920]   because that's super inefficient.
[00:29:26.920 --> 00:29:33.180]   And it's just a single linear model, which doesn't have much kind of richness to it.
[00:29:33.180 --> 00:29:38.940]   So instead, let's do three comms in a row, three by three, right?
[00:29:38.940 --> 00:29:43.040]   And so three, three by three comms in a row, if you think about it, the receptive field
[00:29:43.040 --> 00:29:48.160]   of that final one is still going to be about seven by seven, right?
[00:29:48.160 --> 00:29:52.560]   But it's got there through a much richer set of things that it can learn, because it's
[00:29:52.560 --> 00:29:54.920]   a three layer neural net.
[00:29:54.920 --> 00:29:59.600]   So that's the first thing that we do in our xresnet.
[00:29:59.600 --> 00:30:03.840]   So here is xresnet.
[00:30:03.840 --> 00:30:09.240]   And when we create it, we set up how many filters are they going to be for each of the
[00:30:09.240 --> 00:30:10.240]   first three layers?
[00:30:10.240 --> 00:30:14.280]   So the first three layers will start with channels in, inputs.
[00:30:14.280 --> 00:30:18.280]   So that'll default to three, because normally we have three channel images, right?
[00:30:18.280 --> 00:30:22.740]   And the number of outputs that we'll use for the first layer will be that plus one times
[00:30:22.740 --> 00:30:24.440]   eight.
[00:30:24.440 --> 00:30:25.640]   Why is that?
[00:30:25.640 --> 00:30:27.700]   It's a bit of a long story.
[00:30:27.700 --> 00:30:34.840]   One reason is that that gives you 32 at the second layer, which is the same as what the
[00:30:34.840 --> 00:30:41.400]   bag of tricks paper recommends.
[00:30:41.400 --> 00:30:42.840]   As you can see.
[00:30:42.840 --> 00:30:50.120]   The second reason is that I've kind of played around with this quite a lot to try to figure
[00:30:50.120 --> 00:30:55.360]   out what makes sense in terms of the receptive field, and I think this gives you the right
[00:30:55.360 --> 00:30:56.360]   amount.
[00:30:56.360 --> 00:31:04.560]   Sometimes eight is here because video graphics cards like everything to be a multiple of
[00:31:04.560 --> 00:31:05.560]   eight.
[00:31:05.560 --> 00:31:07.300]   So if this is not eight, it's probably going to be slower.
[00:31:07.300 --> 00:31:12.900]   But one of the things here is now if you have like a one channel input, like black and white,
[00:31:12.900 --> 00:31:17.600]   or a five channel input, like some kind of hyperspectral imaging or microscopy, then
[00:31:17.600 --> 00:31:22.680]   you're actually changing your model dynamically to say, oh, if I've got more inputs, then
[00:31:22.680 --> 00:31:24.640]   my first layer should have more activations.
[00:31:24.640 --> 00:31:29.000]   Which is not something I've seen anybody do before, but it's a kind of really simple,
[00:31:29.000 --> 00:31:33.880]   nice way to improve your ResNet for different kinds of domains.
[00:31:33.880 --> 00:31:37.360]   So that's the number of filters we have for each layer.
[00:31:37.360 --> 00:31:41.620]   So our stem, so the stem is the very start of a CNN.
[00:31:41.620 --> 00:31:46.160]   So our stem is just those three conflayers.
[00:31:46.160 --> 00:31:49.040]   So that's all the paper says.
[00:31:49.040 --> 00:31:50.840]   What's a conflayer?
[00:31:50.840 --> 00:31:58.520]   A conflayer is a sequential containing a bunch of layers, which starts with a conf of some
[00:31:58.520 --> 00:32:05.920]   stride, followed by a batch norm, and then optionally followed by an activation function.
[00:32:05.920 --> 00:32:08.520]   And our activation function, we're just going to use ReLU for now, because that's what they're
[00:32:08.520 --> 00:32:11.200]   using in the paper.
[00:32:11.200 --> 00:32:13.980]   The batch norm, we do something interesting.
[00:32:13.980 --> 00:32:17.160]   This is another tweak from the bag of tricks, although it goes back a couple more years
[00:32:17.160 --> 00:32:18.420]   than that.
[00:32:18.420 --> 00:32:27.840]   We initialize the batch norm, sometimes to have weights of 1, and sometimes to have weights
[00:32:27.840 --> 00:32:30.320]   of 0.
[00:32:30.320 --> 00:32:32.000]   Why do we do that?
[00:32:32.000 --> 00:32:34.960]   Well, all right.
[00:32:34.960 --> 00:32:41.480]   Have a look here at ResNet D. This is a standard ResNet block.
[00:32:41.480 --> 00:32:45.120]   This path here normally doesn't have the conv and the average pool.
[00:32:45.120 --> 00:32:46.120]   So pretend they're not there.
[00:32:46.120 --> 00:32:48.080]   We'll talk about why they're there sometimes in a moment.
[00:32:48.080 --> 00:32:50.320]   But then this is just the identity.
[00:32:50.320 --> 00:32:55.920]   And the other goes 1 by 1 conv, 3 by 3 conv, 1 by 1 conv.
[00:32:55.920 --> 00:32:59.720]   And remember, in each case, it's conv batch norm ReLU, conv batch norm ReLU.
[00:32:59.720 --> 00:33:03.720]   And then what actually happens is it then goes conv batch norm, and then the ReLU happens
[00:33:03.720 --> 00:33:05.600]   after the plus.
[00:33:05.600 --> 00:33:09.920]   There's another variant where the ReLU happens before the plus, which is called preact or
[00:33:09.920 --> 00:33:10.920]   preactivation ResNet.
[00:33:10.920 --> 00:33:16.520]   Turns out it doesn't work quite as well for smaller models, so we're using the non-preact
[00:33:16.520 --> 00:33:17.520]   version.
[00:33:17.520 --> 00:33:20.920]   Now, see this conv here?
[00:33:20.920 --> 00:33:25.280]   What if we set the batch norm layer weights there to 0?
[00:33:25.280 --> 00:33:26.280]   What's going to happen?
[00:33:26.280 --> 00:33:27.700]   Well, we've got an input.
[00:33:27.700 --> 00:33:29.040]   This is identity.
[00:33:29.040 --> 00:33:33.560]   This does some conv, some conv, some conv, and then batch norm where the weights are
[00:33:33.560 --> 00:33:35.800]   0, so everything gets multiplied by 0.
[00:33:35.800 --> 00:33:39.280]   And so out of here comes 0.
[00:33:39.280 --> 00:33:40.480]   So why is that interesting?
[00:33:40.480 --> 00:33:43.800]   Because now we're adding 0 to the identity block.
[00:33:43.800 --> 00:33:47.840]   So in other words, the whole block does nothing at all.
[00:33:47.840 --> 00:33:50.560]   That's a great way to initialize a model, right?
[00:33:50.560 --> 00:33:54.200]   Because we really don't want to be in a position, as we've seen, where if you've got a thousand
[00:33:54.200 --> 00:33:59.160]   layers deep model, that any layer is even slightly changing the variance because they
[00:33:59.160 --> 00:34:03.320]   kind of cause the gradients to spiral off to 0 or to infinity.
[00:34:03.320 --> 00:34:09.240]   This way, literally, the entire activations are the same all the way through.
[00:34:09.240 --> 00:34:10.640]   So that's what we do.
[00:34:10.640 --> 00:34:21.760]   We set the 1, 2, 3 third conv layer to have 0 in that batch norm layer.
[00:34:21.760 --> 00:34:26.240]   And this lets us train very deep models at very high learning rates.
[00:34:26.240 --> 00:34:30.800]   You'll see nearly all of the academic literature about this talks about large batch sizes because,
[00:34:30.800 --> 00:34:35.360]   of course, academics, particularly at big companies like Google and OpenAI and Nvidia
[00:34:35.360 --> 00:34:39.760]   and Facebook, love to show off their giant data centers.
[00:34:39.760 --> 00:34:45.040]   And so they like to say, oh, if we do 1,000 TPUs, how big a batch size can we create?
[00:34:45.040 --> 00:34:50.000]   But for us normal people, these are also interesting because the exact same things tell us how
[00:34:50.000 --> 00:34:52.220]   high a learning rate can we go, right?
[00:34:52.220 --> 00:34:55.320]   So the exact same things that let you create really big batch sizes, so you do a giant
[00:34:55.320 --> 00:35:00.680]   batch and then you take a giant step, well, we can just take a normal sized batch, but
[00:35:00.680 --> 00:35:02.600]   a much bigger than usual step.
[00:35:02.600 --> 00:35:07.400]   And by using higher learning rates, we train faster and we generalize better.
[00:35:07.400 --> 00:35:08.400]   And so that's all good.
[00:35:08.400 --> 00:35:10.840]   So this is a really good little trick.
[00:35:10.840 --> 00:35:13.040]   Okay.
[00:35:13.040 --> 00:35:17.680]   So that's conv layer.
[00:35:17.680 --> 00:35:20.040]   So there's our stem.
[00:35:20.040 --> 00:35:24.160]   And then we're going to create a bunch of res blocks.
[00:35:24.160 --> 00:35:30.640]   So a res block is one of these, except this is an identity path, right?
[00:35:30.640 --> 00:35:38.840]   Unless we're doing a res net 34 or a res net 18, in which case one of these comms goes
[00:35:38.840 --> 00:35:39.840]   away.
[00:35:39.840 --> 00:35:45.400]   So res net 34 and res net 18 only have two cons here and res net 50 onwards have three
[00:35:45.400 --> 00:35:47.120]   cons here.
[00:35:47.120 --> 00:35:54.200]   So and then in res net 50 and above, the second conv, they actually squish the number of channels
[00:35:54.200 --> 00:35:57.760]   down by four and then they expand it back up again.
[00:35:57.760 --> 00:36:02.600]   So it could go like 64 channels to 16 channels to 64 channels.
[00:36:02.600 --> 00:36:04.560]   Let's call it a bottleneck layer.
[00:36:04.560 --> 00:36:08.420]   So a bottleneck block is the normal block for larger res nets.
[00:36:08.420 --> 00:36:14.200]   And then just two three by three comms is the normal for smaller res nets.
[00:36:14.200 --> 00:36:19.360]   So you can see in our res block that we pass in this thing called expansion.
[00:36:19.360 --> 00:36:20.860]   It's either one or four.
[00:36:20.860 --> 00:36:26.240]   It's one if it's res net 18 or 34, and it's four if it's bigger, right?
[00:36:26.240 --> 00:36:31.960]   And so if it's four, well, if it's expansion equals one, then we just add one extra conv,
[00:36:31.960 --> 00:36:32.960]   right?
[00:36:32.960 --> 00:36:33.960]   Oh, sorry.
[00:36:33.960 --> 00:36:38.600]   The first conv is always a one by one, and then we add a three by three conv, or if expansion
[00:36:38.600 --> 00:36:42.680]   equals four, we add two extra comms.
[00:36:42.680 --> 00:36:46.440]   So that's what the res blocks are.
[00:36:46.440 --> 00:36:50.600]   Now I mentioned that there's two other things here.
[00:36:50.600 --> 00:36:52.960]   Why are there two other things here?
[00:36:52.960 --> 00:36:58.120]   Well, we can't use standard res blocks all the way through our model, can we?
[00:36:58.120 --> 00:37:01.120]   Because a res block can't change the grid size.
[00:37:01.120 --> 00:37:07.260]   We can't have a stride two anywhere here, because if we had a stride two somewhere here,
[00:37:07.260 --> 00:37:11.120]   we can't add it back to the identity because they're now different sizes.
[00:37:11.120 --> 00:37:14.260]   Also we can't change the number of channels, right?
[00:37:14.260 --> 00:37:17.440]   Because if we change the number of channels, we can't add it to the identity.
[00:37:17.440 --> 00:37:18.680]   So what do we do?
[00:37:18.680 --> 00:37:23.840]   Well, as you know, from time to time, we do like to throw in a stride two, and generally
[00:37:23.840 --> 00:37:27.520]   when we throw in a stride two, we like to double the number of channels.
[00:37:27.520 --> 00:37:32.520]   And so when we do that, we're going to add to the identity path two extra layers.
[00:37:32.520 --> 00:37:37.200]   We'll add an average pooling layer, so that's going to cause the grid size to shift down
[00:37:37.200 --> 00:37:43.300]   by two in each dimension, and we'll add a one by one conv to change the number of filters.
[00:37:43.300 --> 00:37:45.060]   So that's what this is.
[00:37:45.060 --> 00:37:51.360]   And this particular way of doing it is specific to the x res net, and it gives you a nice
[00:37:51.360 --> 00:37:58.600]   little boost over the standard approach, and so you can see that here.
[00:37:58.600 --> 00:38:02.800]   If the number of inputs is different to the number of filters, then we add an extra conv
[00:38:02.800 --> 00:38:10.480]   layer, otherwise we just do no op, no operation, which is defined here.
[00:38:10.480 --> 00:38:15.160]   And if the stride is something other than one, we add an average pooling, otherwise it's
[00:38:15.160 --> 00:38:20.580]   a no op, and so here is our final res net block calculation.
[00:38:20.580 --> 00:38:23.680]   So that's the res block.
[00:38:23.680 --> 00:38:32.840]   So tweak for res net d is this way of doing the, they call it a downsampling path.
[00:38:32.840 --> 00:38:37.400]   And then the final tweak is the actual ordering here of where the stride two is.
[00:38:37.400 --> 00:38:42.880]   Usually the stride two in normal res net is at the start, and then there's a three by
[00:38:42.880 --> 00:38:44.200]   three after that.
[00:38:44.200 --> 00:38:48.400]   Doing a stride two on a one by one conv is a terrible idea, because you're literally
[00:38:48.400 --> 00:38:53.240]   throwing away three quarters of the data, and it's interesting, it took people years
[00:38:53.240 --> 00:38:57.080]   to realize they're literally throwing away three quarters of the data, so the bag of
[00:38:57.080 --> 00:39:01.160]   tricks folks said, let's just move the stride two to the three by three, and that makes
[00:39:01.160 --> 00:39:02.160]   a lot more sense, right?
[00:39:02.160 --> 00:39:07.480]   Because a stride two, three by three, you're actually hitting every pixel.
[00:39:07.480 --> 00:39:12.760]   So the reason I'm mentioning these details is so that you can read that paper and spend
[00:39:12.760 --> 00:39:18.280]   time thinking about each of those res net tweaks, do you understand why they did that?
[00:39:18.280 --> 00:39:19.280]   Right?
[00:39:19.280 --> 00:39:25.800]   It wasn't some neural architecture search, try everything, brainless, use all our computers
[00:39:25.800 --> 00:39:26.800]   approach.
[00:39:26.800 --> 00:39:33.040]   So let's sit back and think about how do we actually use all the inputs we have, and how
[00:39:33.040 --> 00:39:37.600]   do we actually take advantage of all the computation that we're doing, right?
[00:39:37.600 --> 00:39:43.220]   So it's a very, most of the tweaks are stuff that exists from before, and they've cited
[00:39:43.220 --> 00:39:47.000]   all those, but if you put them all together, it's just a nice, like, here's how to think
[00:39:47.000 --> 00:39:52.400]   through architecture design.
[00:39:52.400 --> 00:39:53.640]   And that's about it, right?
[00:39:53.640 --> 00:40:02.080]   So we create a res net block for every res layer, and so here it is, creating the res
[00:40:02.080 --> 00:40:09.320]   net block, and so now we can create all of our res nets by simply saying, this is how
[00:40:09.320 --> 00:40:12.560]   many blocks we have in each layer, right?
[00:40:12.560 --> 00:40:17.560]   So res net 18 is just two, two, two, two, 34 is three, four, six, three, and then secondly
[00:40:17.560 --> 00:40:23.520]   is changing the expansion factor, which as I said for 18 and 34 is one, and for the bigger
[00:40:23.520 --> 00:40:26.200]   ones is four.
[00:40:26.200 --> 00:40:30.440]   So that's a lot of information there, and if you haven't spent time thinking about architecture
[00:40:30.440 --> 00:40:35.120]   before, it might take you a few reads and lessons to put the sink in, but I think it's
[00:40:35.120 --> 00:40:41.000]   a really good idea to try to spend time thinking about that, and also to, like, experiment,
[00:40:41.000 --> 00:40:42.000]   right?
[00:40:42.000 --> 00:40:44.580]   And try to think about what's going on.
[00:40:44.580 --> 00:40:53.000]   The other thing to point out here is that this -- the way I've written this, it's like
[00:40:53.000 --> 00:40:59.200]   this is the whole -- this is the whole res net, right, other than the definition of conflayer,
[00:40:59.200 --> 00:41:00.320]   this is the whole res net.
[00:41:00.320 --> 00:41:03.720]   It fits on the screen, and this is really unusual.
[00:41:03.720 --> 00:41:10.720]   Most res nets you see, even without the bag of tricks, 500, 600, 700 lines of code, right?
[00:41:10.720 --> 00:41:17.480]   And if every single line of code has a different arbitrary number at 16 here and 32 there and
[00:41:17.480 --> 00:41:20.800]   average pool here and something else there, like, how are you going to get it right?
[00:41:20.800 --> 00:41:24.280]   And how are you going to be able to look at it and say, what if I did this a little bit
[00:41:24.280 --> 00:41:26.240]   differently?
[00:41:26.240 --> 00:41:32.880]   So for research and for production, you want to get your code refactored like this for
[00:41:32.880 --> 00:41:37.960]   your architecture so that you can look at it and say, what exactly is going on, is it
[00:41:37.960 --> 00:41:42.680]   written correctly, okay, I want to change this to be in a different layer, how do I
[00:41:42.680 --> 00:41:45.000]   do it?
[00:41:45.000 --> 00:41:52.440]   It's really important for effective practitioners to be able to write nice, concise architectures
[00:41:52.440 --> 00:41:55.520]   so that you can change them and understand them.
[00:41:55.520 --> 00:41:57.000]   Okay.
[00:41:57.000 --> 00:41:58.960]   So that's our X res net.
[00:41:58.960 --> 00:42:03.520]   We can train it with or without mixup, it's up to us.
[00:42:03.520 --> 00:42:07.480]   Label smoothing cross entropy is probably always a good idea, unless you know that your labels
[00:42:07.480 --> 00:42:08.480]   are basically perfect.
[00:42:08.480 --> 00:42:13.320]   Let's just create a little res net 18.
[00:42:13.320 --> 00:42:16.800]   And let's check out to see what our model is doing.
[00:42:16.800 --> 00:42:20.680]   So we've already got a model summary, but we're just going to rewrite it to use our,
[00:42:20.680 --> 00:42:23.940]   the new version of learner that doesn't have runner anymore.
[00:42:23.940 --> 00:42:30.200]   And so we can print out and see what happens to our shapes as they go through the model.
[00:42:30.200 --> 00:42:35.000]   And you can change this print mod here to true, and it'll print out the entire blocks
[00:42:35.000 --> 00:42:36.440]   and then show you what's going on.
[00:42:36.440 --> 00:42:39.640]   So that would be a really useful thing to help you understand what's going on in the
[00:42:39.640 --> 00:42:40.640]   model.
[00:42:40.640 --> 00:42:41.940]   All right.
[00:42:41.940 --> 00:42:44.220]   So here's our architecture.
[00:42:44.220 --> 00:42:45.600]   It's nice and easy.
[00:42:45.600 --> 00:42:49.840]   We can tell you how many channels are coming in, how many channels are coming out, and
[00:42:49.840 --> 00:42:54.020]   it'll adapt automatically to our data that way.
[00:42:54.020 --> 00:42:58.920]   So we can create our learner, we can do our LR find.
[00:42:58.920 --> 00:43:05.000]   And now that we've done that, let's create a one cycle learning rate annealing.
[00:43:05.000 --> 00:43:09.420]   So one cycle learning rate annealing, we've seen all this before.
[00:43:09.420 --> 00:43:15.160]   We keep on creating these things like 0.3, 0.7 for the two phases or 0.3, 0.2, 0.5 for
[00:43:15.160 --> 00:43:16.160]   three phases.
[00:43:16.160 --> 00:43:21.400]   So I add a little create phases that will build those for us automatically.
[00:43:21.400 --> 00:43:23.200]   This one we've built before.
[00:43:23.200 --> 00:43:30.640]   So here's our standard one cycle annealing, and here's our parameter scheduler.
[00:43:30.640 --> 00:43:36.960]   And so one other thing I did last week was I made it that callbacks, you don't have to
[00:43:36.960 --> 00:43:38.440]   pass to the initializer.
[00:43:38.440 --> 00:43:42.120]   You can also pass them to the fit function, and it'll just run those callbacks to the
[00:43:42.120 --> 00:43:43.120]   fit functions.
[00:43:43.120 --> 00:43:45.480]   This is a great way to do parameter scheduling.
[00:43:45.480 --> 00:43:46.800]   And there we go.
[00:43:46.800 --> 00:43:51.760]   And so 83.2.
[00:43:51.760 --> 00:43:55.420]   So I would love to see people beat my benchmarks here.
[00:43:55.420 --> 00:43:57.880]   So here's the image net site.
[00:43:57.880 --> 00:44:03.780]   And so so far, the best I've got for 128, 5 epochs is 84.6.
[00:44:03.780 --> 00:44:07.800]   So yeah, we're super close.
[00:44:07.800 --> 00:44:11.560]   So maybe with some fiddling around, you can find something that's even better.
[00:44:11.560 --> 00:44:15.720]   And with these kind of leaderboards, where a lot of these things can train in, this is
[00:44:15.720 --> 00:44:22.000]   two and a half minutes on a standard, I think it was a GTX 1080 Ti, you can quickly try
[00:44:22.000 --> 00:44:23.240]   things out.
[00:44:23.240 --> 00:44:30.060]   And what I've noticed is that the results I get in 5 epochs on 128 pixel image net models
[00:44:30.060 --> 00:44:34.920]   carry over a lot to image net training or bigger models.
[00:44:34.920 --> 00:44:40.320]   So you can learn a lot by not trying to train giant models.
[00:44:40.320 --> 00:44:45.680]   So compete on this leaderboard to become a better practitioner to try out things, right?
[00:44:45.680 --> 00:44:48.440]   And if you do have some more time, you can go all the way to 400 epochs, that might take
[00:44:48.440 --> 00:44:49.440]   a couple of hours.
[00:44:49.440 --> 00:44:56.200]   And then of course, also we've got image wolf, which is just doggy photos, and is much harder.
[00:44:56.200 --> 00:45:01.320]   And actually, this one, I find an even better test case, because it's a more difficult data
[00:45:01.320 --> 00:45:02.320]   set.
[00:45:02.320 --> 00:45:04.800]   So we've got a 90% is my best for this.
[00:45:04.800 --> 00:45:07.120]   So I hope somebody can beat me.
[00:45:07.120 --> 00:45:10.400]   I really do.
[00:45:10.400 --> 00:45:18.640]   So we can refactor all that stuff of adding all these different callbacks and stuff into
[00:45:18.640 --> 00:45:21.680]   a single function called CNN learner.
[00:45:21.680 --> 00:45:25.440]   And we can just pass in an architecture and our data and our loss function and our optimization
[00:45:25.440 --> 00:45:30.220]   function and what kind of callbacks do we want, just yes or no.
[00:45:30.220 --> 00:45:32.640]   And we'll just set everything up.
[00:45:32.640 --> 00:45:37.140]   And if you don't pass in C in and C out, we'll grab it from your data for you.
[00:45:37.140 --> 00:45:41.160]   And then we'll just pass that off to the learner.
[00:45:41.160 --> 00:45:42.160]   So that makes things easier.
[00:45:42.160 --> 00:45:47.120]   So now if you want to create a CNN, it's just one line of code, adding in whatever we want,
[00:45:47.120 --> 00:45:50.320]   except label smoothing, blah, blah, blah.
[00:45:50.320 --> 00:45:53.080]   And so we get the same result when we fit it.
[00:45:53.080 --> 00:45:59.640]   So we can see this all put together in this ImageNet training script, which is in fast
[00:45:59.640 --> 00:46:02.760]   AI, in example, slash train ImageNet.
[00:46:02.760 --> 00:46:07.320]   And this entire thing will look entirely familiar to you.
[00:46:07.320 --> 00:46:13.920]   It's all stuff that we've now built from scratch, with one exception, which is this bit, which
[00:46:13.920 --> 00:46:15.540]   is using multiple GPUs.
[00:46:15.540 --> 00:46:17.160]   So we're not covering that.
[00:46:17.160 --> 00:46:21.680]   But that's just an acceleration tweak.
[00:46:21.680 --> 00:46:28.900]   And you can easily use multiple GPUs by simply doing data parallel or too distributed.
[00:46:28.900 --> 00:46:32.360]   Other than that, yeah, this is all stuff that you see.
[00:46:32.360 --> 00:46:35.360]   And there's label smoothing cross-entropy.
[00:46:35.360 --> 00:46:39.460]   There's mixup.
[00:46:39.460 --> 00:46:41.080]   Here's something we haven't written.
[00:46:41.080 --> 00:46:42.940]   Save the model after every epoch.
[00:46:42.940 --> 00:46:43.940]   Maybe you want to write that one.
[00:46:43.940 --> 00:46:46.720]   That would be a good exercise.
[00:46:46.720 --> 00:46:53.680]   So what happens if we try to train this for just 60 epochs?
[00:46:53.680 --> 00:46:54.680]   This is what happens.
[00:46:54.680 --> 00:46:58.500]   So benchmark results on ImageNet, these are all the Keras and PyTorch models.
[00:46:58.500 --> 00:47:01.900]   It's very hard to compare them because they have different input sizes.
[00:47:01.900 --> 00:47:05.760]   So we really should compare the ones with our input size, which is 224.
[00:47:05.760 --> 00:47:12.560]   So a standard ResNet -- oh, it scrolled off the screen.
[00:47:12.560 --> 00:47:15.280]   So ResNet 50 is so bad, it's actually scrolled off the screen.
[00:47:15.280 --> 00:47:19.760]   So let's take ResNet 101 as a 93.3% accuracy.
[00:47:19.760 --> 00:47:21.520]   So that's twice as many layers as we used.
[00:47:21.520 --> 00:47:26.720]   And it was also trained for 90 epochs, so trained for 50% longer, 93.3.
[00:47:26.720 --> 00:47:30.960]   When I trained this on ImageNet, I got 94.1.
[00:47:30.960 --> 00:47:37.360]   So this, like, extremely simple architecture that fits on a single screen and was built
[00:47:37.360 --> 00:47:43.960]   entirely using common sense, trained for just 60 epochs, actually gets us even above ResNet
[00:47:43.960 --> 00:47:44.960]   152.
[00:47:44.960 --> 00:47:45.960]   Because that's 93.8.
[00:47:45.960 --> 00:47:46.960]   We've got 94.1.
[00:47:46.960 --> 00:47:53.240]   So the only things above it were trained on much, much larger images.
[00:47:53.240 --> 00:47:57.560]   And also, like, NASNet large is so big, I can't train it.
