
[00:00:00.040 --> 00:00:22.240]   so thank you everyone we have a very full room today so we'll get started with the repo here in
[00:25:50.580 --> 00:25:51.940]   sort of dummy URL
[00:25:51.940 --> 00:25:53.660]   because it wasn't included in the data
[00:25:53.660 --> 00:25:54.720]   so we'll use that to help
[00:25:54.720 --> 00:25:57.080]   the LLM will basically provide a link to the product
[00:25:57.080 --> 00:25:58.260]   which won't be a real link
[00:25:58.260 --> 00:26:01.780]   but you can imagine substituting a real link into the database
[00:26:01.780 --> 00:26:04.000]   so we're just creating a new URL property for that
[00:26:04.000 --> 00:26:06.380]   and then this thing here is creating
[00:26:06.380 --> 00:26:10.020]   it's basically taking other properties that were in the database
[00:26:10.020 --> 00:26:11.520]   so when we looked at the product
[00:26:11.520 --> 00:26:14.380]   and we'll see what these fields actually look like in a second
[00:26:14.380 --> 00:26:16.440]   but there's a product name
[00:26:16.440 --> 00:26:16.920]   a type
[00:26:16.920 --> 00:26:17.420]   a group
[00:26:17.420 --> 00:26:18.100]   a description
[00:26:18.100 --> 00:26:18.800]   all this stuff
[00:26:18.800 --> 00:26:22.120]   and this statement here is just creating a new text property
[00:26:22.120 --> 00:26:25.340]   to kind of squish all of that together in one place
[00:26:25.340 --> 00:26:26.620]   and we're going to use that
[00:26:26.620 --> 00:26:28.420]   for our upcoming vector search
[00:26:28.420 --> 00:26:29.260]   so we're going to index that
[00:26:29.260 --> 00:26:31.500]   so that's why we're creating this one text property
[00:26:31.500 --> 00:26:33.980]   so just wanted to mention that really quickly
[00:26:33.980 --> 00:26:38.380]   before we move on to our text section
[00:26:38.380 --> 00:26:45.820]   so now we're going to start talking about vector search
[00:26:45.820 --> 00:26:49.080]   and we're going to do some initial search and retrieval
[00:26:49.080 --> 00:26:52.620]   so when we think about what embeddings are
[00:26:52.620 --> 00:26:54.580]   and I'm assuming a lot of people in this room
[00:26:54.580 --> 00:26:56.720]   are already quite familiar
[00:26:56.720 --> 00:26:57.480]   right
[00:26:57.480 --> 00:27:00.660]   but an embedding is basically a type of data compression
[00:27:00.660 --> 00:27:02.580]   that takes some messy data
[00:27:02.580 --> 00:27:04.160]   like text, images, or audio
[00:27:04.160 --> 00:27:06.540]   and it puts it into a compact format
[00:27:06.540 --> 00:27:08.060]   that's machine learning friendly
[00:27:08.060 --> 00:27:08.680]   right
[00:27:08.680 --> 00:27:12.400]   and so these are going to be most often numeric vectors
[00:27:12.400 --> 00:27:14.960]   or arrays with hundreds or thousands of elements
[00:27:14.960 --> 00:27:18.300]   and they preserve information such that similar items
[00:27:18.300 --> 00:27:20.520]   have proportionately similar embedding vectors
[00:27:20.520 --> 00:27:23.460]   and this similarity is going to be measured mathematically
[00:27:23.460 --> 00:27:26.620]   using something like cosine or Euclidean or etc
[00:27:26.620 --> 00:27:30.180]   and another thing that I want to mention is we will
[00:27:30.180 --> 00:27:32.340]   and maybe I'll save it a little bit for the end
[00:27:32.340 --> 00:27:35.640]   but just like you can embed audio text and videos
[00:27:35.640 --> 00:27:37.980]   you can also embed graph structures
[00:27:37.980 --> 00:27:41.240]   and so when you have co-purchase relationships in a graph
[00:27:41.240 --> 00:27:43.380]   or you're trying to do entity linking in a graph
[00:27:43.380 --> 00:27:44.320]   or anything like that
[00:27:44.320 --> 00:27:47.540]   that can become very valuable for then using downstream
[00:27:47.540 --> 00:27:49.200]   in vector search
[00:27:49.200 --> 00:27:57.880]   yes yep we will walk through that
[00:27:57.880 --> 00:28:03.680]   so similarity for something like a text embedding is referring to semantic similarity
[00:28:03.680 --> 00:28:08.960]   so the meaning behind a text sequence for a graph embedding right similarity can mean similar in position
[00:28:08.960 --> 00:28:11.920]   or structure inside of a graph and that can have semantic meaning too
[00:28:11.920 --> 00:28:22.080]   and right now what we'll be using vector search for is just on text embeddings and later when we get to recommendations is when we're going to use graph embeddings
[00:28:22.080 --> 00:28:26.480]   and specifically node embeddings that we're going to use there inside of vector search
[00:28:26.480 --> 00:28:47.880]   so talking a little bit about just what's inside of neo4j so neo4j has multiple indices and you can use these in combination with each other so we have things like range indices which is just a general kind of index that can do range comparisons and equality comparisons on numbers and dates and things like that
[00:28:47.880 --> 00:29:02.720]   point indices which are geospatial or I guess point space indices right text indices and full text indices so we have a full text index that's backed by Lucene for example that is tokenization analyzers
[00:29:02.720 --> 00:29:17.580]   and today what we're going to be focusing on primarily are vector indices and our vector index uses HNSW hierarchical navigable small world yes there we go for approximate nearest neighbor search
[00:29:17.580 --> 00:29:44.980]   And so a lot of this might be review for the folks in this room right but the idea behind this is that if we have some product some text about a product and let's say a search prompt on the right here for a halter neck top we can start to identify things that might be more similar to that using that embedding vector right and sort of the semantic similarity inside of that space
[00:29:44.980 --> 00:30:01.880]   And right and right and right and that semantic similarity can be measured by either in Euclidean distance right or cosine distance and like I said before we're using HNSW to perform approximate nearest neighbor search or we will be here in just a second
[00:30:01.880 --> 00:30:11.580]   So we're going to start you know let me just go ahead and jump into the notebooks I think it'll be easier to do live so
[00:30:11.580 --> 00:30:15.280]   Male Speaker 2: I have a question before we're going to ask
[00:30:15.280 --> 00:30:24.280]   for those who are not familiar with Neo4j, how to visualize a node for me. We have created something that's not clear.
[00:30:24.280 --> 00:30:40.580]   Yes, so right when we're done with the vector indexing I will go into browser which is one of our tools for visualization and we can take a look at that but basically if you go into this page here I can go to open.
[00:30:40.580 --> 00:30:49.280]   Male Speaker 2: Open and then it will take me basically into the browser tool. This is going to take a while because of the internet lag and we can visualize in there.
[00:30:49.280 --> 00:30:59.280]   If you're willing to bear with me in creating a vector index first because I want to just go over that very quickly and then we can go into the visualization portion.
[00:30:59.280 --> 00:31:11.980]   Male Speaker 2: But yes, we will very soon be visualizing the data. What I wanted to do first though was just kind of get it, get our index set up and just show you how to do some searching.
[00:31:11.980 --> 00:31:28.680]   Male Speaker 2: So basically what we're going to do with our data. We're specifically going to match the product nodes. So if you remember we have that product node which is a variant of an article and the way that this is going to work.
[00:31:28.680 --> 00:31:37.380]   Male Speaker 2: You can call embedding models externally too but what we're going to do here is basically match the product where it has a detailed description.
[00:31:37.380 --> 00:31:59.380]   Male Speaker 2: So basically some of these products don't have complete information so we're just going to take the ones that have complete information and then all this thing is doing is it's using this code gen.ai vector encode batch to on the server side create embeddings and then set that embedding property on a property called text embedding.
[00:31:59.380 --> 00:32:21.380]   Male Speaker 2: We're using OpenAI for this. There's a few other models that we can use here or a few other API providers rather. By default this is using text embedding ADA or ADA but you could also use Vertex.ai here as well as Azure OpenAI or AWS Bedrock.
[00:32:21.380 --> 00:32:27.380]   Male Speaker 2: And then you can also just generate your own embeddings externally and ingest them for any other type of model.
[00:32:27.380 --> 00:32:37.380]   Male Speaker 2: So if you go ahead and give this a run it will start creating your embeddings and then the cell after that is going to create your vector index.
[00:32:37.380 --> 00:32:55.380]   Male Speaker 2: So this isn't creating an index all this is doing is basically populating in batch a text embedding property and then after you create that this cell down here if you run that is going to create your vector index.
[00:32:55.380 --> 00:32:59.380]   Male Speaker 2: We're going to set it ahead of time to use cosine as a similarity function.
[00:32:59.380 --> 00:33:09.380]   Male Speaker 2: And then you're just this next call is just to wait for it to come online since once you set it it just takes a little bit of while for it to index all the data and become available for querying.
[00:33:09.380 --> 00:33:10.380]   Male Speaker 2: Yes.
[00:33:10.380 --> 00:33:23.380]   Male Speaker 2: Can you just clarify the difference between generating the embedding, which is the semantic of the text, right? Versus creating the vector index and what's that?
[00:33:23.380 --> 00:33:41.380]   Male Speaker 2: Right, so when you're doing the embedding generation, all you're doing is you're taking this text field that I talked about earlier, you're sending it to OpenAI to say, hey embed this, you take that back and then you set that as a property.
[00:33:41.380 --> 00:33:59.380]   Male Speaker 2: So all this cell is doing is basically making these vector array properties inside of the node and then the vector index actually sets the index to make that searchable.
[00:33:59.380 --> 00:34:06.380]   Male Speaker 2: Once you've gotten that done, we can do a couple examples of search.
[00:34:06.380 --> 00:34:12.380]   Male Speaker 2: And again, this is sort of just using Cypher here and you can do this externally as well.
[00:34:12.380 --> 00:34:21.380]   Male Speaker 2: But in this cell, I'm taking a search prompt that is very simple, just denim jeans, and then I'm passing it to this function, which is running Cypher.
[00:34:21.380 --> 00:34:28.380]   Male Speaker 2: All this is doing actually is just encoding, so basically it's just creating the query vector, right?
[00:34:28.380 --> 00:34:34.380]   So if I were to just encode denim jeans, this is the query vector that that creates.
[00:34:34.380 --> 00:34:43.380]   And then if you take that query and you go to the next cell here, what this will do is it will do that same encoding.
[00:34:43.380 --> 00:34:48.380]   Male Speaker 2: So this is the first part of the query that we just ran, which is creates a query vector.
[00:34:48.380 --> 00:34:52.380]   And then inside of Cypher, I say, call database index vector query nodes.
[00:34:52.380 --> 00:34:56.380]   And I say, hit this index that we just created.
[00:34:56.380 --> 00:35:02.380]   Give me the top 10 with that query vector and yield the node as product and the score.
[00:35:02.380 --> 00:35:07.380]   And then give me some fields like the product text and the product code, et cetera.
[00:35:07.380 --> 00:35:11.380]   And so when you run that, it should hopefully give you some results that look something like this.
[00:35:11.380 --> 00:35:13.380]   Male Speaker 2: And this is returning different products.
[00:35:13.380 --> 00:35:21.380]   So you see all of these are denim jeans or denim products, or they should at least be jeans and/or denim, right?
[00:35:21.380 --> 00:35:24.380]   I think all jeans are technically denim, maybe not.
[00:35:24.380 --> 00:35:30.380]   But you see here we have the product descriptions and the product text that it brought back.
[00:35:30.380 --> 00:35:36.380]   So you can see all the descriptions and that's basic vector search inside of Neo4j.
[00:35:36.380 --> 00:35:37.380]   Male Speaker 2: Um, yeah.
[00:35:37.380 --> 00:35:38.380]   Male Speaker 2: Sure.
[00:35:38.380 --> 00:35:39.380]   Male Speaker 2: I have a question.
[00:35:39.380 --> 00:35:40.380]   Male Speaker 2: Yes.
[00:35:40.380 --> 00:35:57.380]   Male Speaker 2: Do you guys, do you build the,
[00:35:57.380 --> 00:35:58.380]   Male Speaker 2: Do we build it on every node?
[00:35:58.380 --> 00:36:15.380]   Male Speaker 2: Well, we build the index and then every node has a property.
[00:36:15.380 --> 00:36:18.380]   So it's built on top of all those properties, right?
[00:36:18.380 --> 00:36:20.380]   Male Speaker 2: Maybe I don't understand.
[00:36:20.380 --> 00:36:24.380]   Male Speaker 2: Maybe I don't understand.
[00:36:24.380 --> 00:36:25.380]   It's one index.
[00:36:25.380 --> 00:36:27.380]   Male Speaker 2: Well, HNSW is a total graph, right?
[00:36:27.380 --> 00:36:28.380]   Male Speaker 2: That's right.
[00:36:28.380 --> 00:36:29.380]   Male Speaker 2: Yes.
[00:36:29.380 --> 00:36:30.380]   Male Speaker 2: I don't understand.
[00:36:30.380 --> 00:36:34.380]   Male Speaker 2: Yeah, this, so our graph representation is not the HNSW graph representation.
[00:36:34.380 --> 00:36:35.380]   Male Speaker 2: Right.
[00:36:35.380 --> 00:36:37.380]   Male Speaker 2: I'm just trying to understand the scale.
[00:36:37.380 --> 00:36:40.380]   Male Speaker 2: If you put an HNSW, you know we're talking graph graph.
[00:36:40.380 --> 00:36:49.380]   Male Speaker 2: HNSW don't graph for every node in your graph, or is it one HNSW for the entire?
[00:36:49.380 --> 00:36:52.380]   Male Speaker 2: Wouldn't it be one HNSW for every index?
[00:36:52.380 --> 00:36:53.380]   Male Speaker 2: Yeah.
[00:36:53.380 --> 00:36:54.380]   Male Speaker 2: Yeah.
[00:36:54.380 --> 00:36:55.380]   Male Speaker 2: Yeah.
[00:36:55.380 --> 00:36:57.380]   Male Speaker 2: I'm not familiar, but are you talking about a leucine index?
[00:36:57.380 --> 00:36:58.380]   Male Speaker 2: Leucine.
[00:36:58.380 --> 00:36:59.380]   Male Speaker 2: We are using a leucine index on the back end.
[00:36:59.380 --> 00:37:00.380]   Male Speaker 2: .
[00:37:00.380 --> 00:37:01.380]   Male Speaker 2: Yeah.
[00:37:01.380 --> 00:37:02.380]   Male Speaker 2: Yeah, this is a leucine implementation.
[00:37:02.380 --> 00:37:03.380]   Male Speaker 2: Yeah.
[00:37:03.380 --> 00:37:04.380]   Male Speaker 2: .
[00:37:04.380 --> 00:37:05.380]   Male Speaker 2: Other question?
[00:37:05.380 --> 00:37:06.380]   Male Speaker 2: Yes.
[00:37:06.380 --> 00:37:07.380]   Male Speaker 2: If I already have embeddings, would it be easier to check the block group?
[00:37:07.380 --> 00:37:08.380]   Male Speaker 2: Yeah.
[00:37:08.380 --> 00:37:09.380]   If you do, I have…
[00:37:09.380 --> 00:37:10.380]   Male Speaker 2: If you met the size of index.
[00:37:10.380 --> 00:37:11.380]   Male Speaker 2: Yes.
[00:37:11.380 --> 00:37:12.380]   Male Speaker 2: Well, yes.
[00:37:12.380 --> 00:37:26.380]   If you already have embeddings, so I commented this out.
[00:37:26.380 --> 00:37:31.380]   I haven't run this block for a while, but basically, this is just showing, you know,
[00:37:31.380 --> 00:37:35.380]   how you can create, like, you know, use open AI embeddings here.
[00:37:35.380 --> 00:37:40.380]   I'm using LaneChain in particular, but this is a workflow where you have embeddings external,
[00:37:40.380 --> 00:37:43.380]   right, and then you can import them into Neo4j.
[00:37:43.380 --> 00:37:44.380]   Male Speaker 2: And thank you.
[00:37:44.380 --> 00:37:48.380]   Same question for vector database.
[00:37:48.380 --> 00:38:03.380]   Male Speaker 2: So there's multiple different ways to do it.
[00:38:03.380 --> 00:38:09.380]   If you have your vector index inside of Neo4j, that can make certain things more efficient.
[00:38:09.380 --> 00:38:15.380]   But there's certain situations for scale where using something like LaneChain or another orchestration
[00:38:15.380 --> 00:38:21.380]   framework, for example, you can query your vector data inside of your chosen vector database,
[00:38:21.380 --> 00:38:24.380]   and then do your graph traversal stuff in Neo4j, right?
[00:38:24.380 --> 00:38:25.380]   Yes.
[00:38:25.380 --> 00:38:30.380]   Male Speaker 2: Why do I need a graph database?
[00:38:30.380 --> 00:38:35.380]   Male Speaker 2: We're going to get to that in a second.
[00:38:35.380 --> 00:38:43.380]   Male Speaker 2: It's why do you need a graph database if you're already using vector search.
[00:38:43.380 --> 00:38:46.380]   And so what we're going to explore today is there's a couple different things.
[00:38:46.380 --> 00:38:52.380]   One of them is using structured data or data that's been structured inside the graph to better
[00:38:52.380 --> 00:38:57.380]   sort of personalize or make the responses more relevant for a large language model for search.
[00:38:57.380 --> 00:39:00.380]   And then we're also going to do some things with graph embeddings, which is a different type
[00:39:00.380 --> 00:39:07.380]   of embedding that we can create inside of this database.
[00:39:07.380 --> 00:39:25.380]   Male Speaker 2: Yes. We do that here. There's an example of that. We'll do KNN and we'll show you how to draw relationships for that. Yes.
[00:39:25.380 --> 00:39:46.380]   Male Speaker 2: So it's a good question and we should definitely have a longer conversation afterward, but the advantage -- there's a few different advantages.
[00:39:46.380 --> 00:39:51.380]   Male Speaker 2: We have index free adjacency and we have very performant like multi-hop patterns.
[00:39:51.380 --> 00:39:56.380]   So you'll see some of the patterns in here are very complicated and it's easier to do inside of a graph.
[00:39:56.380 --> 00:40:01.380]   First for just writing the code to do it, but then also the performance on it will be better.
[00:40:01.380 --> 00:40:04.380]   And so there's -- and there's a very flexible schema.
[00:40:04.380 --> 00:40:08.380]   So it's very robust in terms of being able to change and pivot things around very quickly.
[00:40:08.380 --> 00:40:09.380]   Male Speaker 2: Yep.
[00:40:09.380 --> 00:40:11.380]   Male Speaker 2: I have one more.
[00:40:11.380 --> 00:40:22.380]   Male Speaker 2: Not yet. Not yet.
[00:40:22.380 --> 00:40:29.380]   All righty. So I'm going to -- I'm going to move on a little bit here.
[00:40:29.380 --> 00:40:35.380]   This next part of the vector search portion, I'm going to just integrate LangChain into the mix.
[00:40:35.380 --> 00:40:41.380]   Male Speaker 2: So basically the reason I'm going to start using LangChain here is because when we get to the LLM portion,
[00:40:41.380 --> 00:40:45.380]   it'll just be a natural fit where we'll create a chain for this.
[00:40:45.380 --> 00:40:50.380]   But all we're doing here is we're going to create a vector store using Neo4j vector.
[00:40:50.380 --> 00:40:55.380]   So this is part of the LangChain vector stores.
[00:40:55.380 --> 00:40:59.380]   Again, instantiate an open AI embedding model.
[00:40:59.380 --> 00:41:03.380]   We're just going to use the default with 1536 as the default size.
[00:41:03.380 --> 00:41:09.380]   And then you see we can create a LangChain vector store from index with that embedding model
[00:41:09.380 --> 00:41:13.380]   and our same credentials and the index name that we created earlier.
[00:41:13.380 --> 00:41:20.380]   And when we do that, basically what this will allow us to do is start running from our search prompt,
[00:41:20.380 --> 00:41:21.380]   which is denim jeans.
[00:41:21.380 --> 00:41:25.380]   We're going to be able to run the results through this vector store here.
[00:41:25.380 --> 00:41:28.380]   So this is what we're going to be using throughout the rest of the notebook.
[00:41:28.380 --> 00:41:32.380]   Instead of just using our cipher, our query language directly,
[00:41:32.380 --> 00:41:36.380]   we're going to be using LangChain, which gets this done under the hood for us.
[00:41:36.380 --> 00:41:38.380]   So that's that.
[00:41:38.380 --> 00:41:41.380]   And you can see it brings back the different documents with the product descriptions
[00:41:41.380 --> 00:41:44.380]   and the representative URL and all the metadata.
[00:41:44.380 --> 00:41:49.380]   And if you want it to be in a pretty data frame so it's easier to see,
[00:41:49.380 --> 00:41:54.380]   you can run that to kind of get the, to get the view we had before.
[00:41:54.380 --> 00:41:55.380]   And this should match what we were doing earlier.
[00:41:55.380 --> 00:42:01.380]   And of course you can try yourself with your own prompt.
[00:42:01.380 --> 00:42:06.380]   So if you were to type in something else here,
[00:42:06.380 --> 00:42:11.380]   you can see it'll bring back, right, a result that's relevant to that.
[00:42:11.380 --> 00:42:16.380]   So I typed in oversized sweaters and it will bring back different oversized sweaters.
[00:42:23.380 --> 00:42:28.380]   All righty. So how many people were able to get through the vector search section?
[00:42:28.380 --> 00:42:30.380]   If you just raise your hands.
[00:42:30.380 --> 00:42:31.380]   Okay.
[00:42:31.380 --> 00:42:32.380]   Good.
[00:42:32.380 --> 00:42:33.380]   Very fast class.
[00:42:33.380 --> 00:42:34.380]   Okay.
[00:42:34.380 --> 00:42:37.380]   Anyone having trouble, struggling, need help?
[00:42:37.380 --> 00:42:42.380]   One person over there.
[00:42:51.380 --> 00:43:18.380]   Can I ask one more question?
[00:43:18.380 --> 00:43:19.380]   Yep.
[00:43:19.380 --> 00:43:25.380]   So, like, if you're using one Lucy, how do you determine how many Lucy indices
[00:43:25.380 --> 00:43:26.380]   do you need?
[00:43:26.380 --> 00:43:29.380]   Do you pre-compute that on your side?
[00:43:29.380 --> 00:43:30.380]   Because the user has to get it out?
[00:43:30.380 --> 00:43:34.380]   Because PHSSW can only take out the property if it is.
[00:43:34.380 --> 00:43:39.380]   So right now you, I might not fully understand your question.
[00:43:39.380 --> 00:43:44.380]   When you create, you basically instantiate an index for one or a set of properties.
[00:43:44.380 --> 00:43:47.380]   That can be on a node or it can be on a relationship, right?
[00:43:47.380 --> 00:43:52.380]   So if I make one index to cover, you know, the property of text, that's one index.
[00:43:52.380 --> 00:43:56.380]   I could create another index to cover, like, a product description or another name or something,
[00:43:56.380 --> 00:43:57.380]   right, if I wanted to.
[00:43:57.380 --> 00:44:04.380]   But that's, there's nothing that would, you know, so it would be like it's one index at a time, right?
[00:44:04.380 --> 00:44:06.380]   Does that, is that getting towards you or is that totally off?
[00:44:06.380 --> 00:44:09.380]   Let's say we have, like, billions of documents and we're going to .
[00:44:09.380 --> 00:44:14.380]   So you said you're using Lucy, right?
[00:44:14.380 --> 00:44:15.380]   Right.
[00:44:15.380 --> 00:44:16.380]   So Lucy is .
[00:44:16.380 --> 00:44:19.380]   So each Lucy index takes 50 gigs of data.
[00:44:19.380 --> 00:44:21.380]   What do you do on your side?
[00:44:21.380 --> 00:44:22.380]   I'm just curious.
[00:44:22.380 --> 00:44:24.380]   What do you do on your side so it doesn't puke?
[00:44:24.380 --> 00:44:27.380]   Because after 50 gigs, there's diminishing returns.
[00:44:27.380 --> 00:44:28.380]   Right.
[00:44:28.380 --> 00:44:30.380]   Are you, like, automatically auto-sharding it?
[00:44:30.380 --> 00:44:31.380]   Like, what are you doing to make sure --
[00:44:31.380 --> 00:44:34.380]   There are, there are ways to federate the database.
[00:44:34.380 --> 00:44:38.380]   Like, you could, you could create different shards based off of metadata values.
[00:44:38.380 --> 00:44:45.380]   But we're, that's stuff that we're, like, currently building on and experimenting with.
[00:44:45.380 --> 00:44:51.380]   And for very, very large, like, if you, if you truly had, like, tens of billions of documents,
[00:44:51.380 --> 00:44:54.380]   you can also integrate with your vector store of choice, right?
[00:44:54.380 --> 00:45:01.380]   And then just basically you substitute out the vector retrieval call with, for that vector database
[00:45:01.380 --> 00:45:04.380]   and then you can use Neo4j for doing a lot of the graph traversals.
[00:45:04.380 --> 00:45:07.380]   But it's one of those things where we're continually improving.
[00:45:07.380 --> 00:45:14.380]   So, we're coming out with new features to handle that sort of stuff.
[00:45:14.380 --> 00:45:19.380]   All right.
[00:45:19.380 --> 00:45:23.380]   So, let's start with semantic search with graph patterns.
[00:45:23.380 --> 00:45:31.380]   So, this is going to be, basically, building on top of vector search where we start to work with structured data.
[00:45:31.380 --> 00:45:36.380]   So, when we think about Neo4j and semantic search, there's sort of multiple layers.
[00:45:36.380 --> 00:45:42.380]   So, the first part is vector similarity search, which we just went over, which is just finding relevant documents.
[00:45:42.380 --> 00:45:49.380]   After that, there's graph pattern matching, which is basically saying, hey, can I find entities associated to these documents?
[00:45:49.380 --> 00:45:52.380]   And the sort of patterns in that connective data.
[00:45:52.380 --> 00:46:02.380]   And then we have the more data science and machine learning part on top of it, where we can improve search relevance and do other things by running graph algorithms like embeddings, right?
[00:46:02.380 --> 00:46:10.380]   So, when we think about semantic search patterns with graph, there's connections that we have based on purchase behavior.
[00:46:10.380 --> 00:46:21.380]   So, basically, given that you have one person who purchases relatively the same things as another person in this graph, you can start to make inferences about what they might want to purchase next, right?
[00:46:21.380 --> 00:46:26.380]   So, this is sort of like if you've ever dealt with collaborative filtering or sort of those types of patterns.
[00:46:26.380 --> 00:46:30.380]   This is a very common recommendation pattern that we can do with structured data.
[00:46:30.380 --> 00:46:39.380]   And when we go back to the graph, we'll start exploring the data set now in a little bit more detail with visualizations.
[00:46:39.380 --> 00:46:47.380]   So, what I want you to do, and I don't have these calls saved, but I'll go ahead and copy them over.
[00:46:47.380 --> 00:46:58.380]   Basically, you're going to go back to your browsing window, and you're going to open your blank instance.
[00:46:58.380 --> 00:47:05.380]   So, I'm going to click open, and hopefully, that'll work.
[00:47:05.380 --> 00:47:11.380]   And if not, I might actually start hot spotting myself.
[00:47:11.380 --> 00:47:16.380]   Yeah.
[00:47:16.380 --> 00:47:45.380]   It took me like a minute to refresh the page.
[00:47:45.380 --> 00:47:48.380]   It took me like a minute to refresh the page.
[00:47:48.380 --> 00:47:49.380]   It took me like a minute to refresh the page.
[00:47:49.380 --> 00:47:50.380]   It took me like a minute to refresh the page.
[00:47:50.380 --> 00:47:51.380]   It took me like a minute to refresh the page.
[00:47:51.380 --> 00:47:52.380]   It took me like a minute to refresh the page.
[00:47:52.380 --> 00:47:53.380]   It took me like a minute to refresh the page.
[00:47:53.380 --> 00:47:54.380]   It took me like a minute to refresh the page.
[00:47:54.380 --> 00:47:55.380]   It took me like a minute to refresh the page.
[00:47:55.380 --> 00:47:56.380]   It took me like a minute to refresh the page.
[00:47:56.380 --> 00:47:57.380]   It took me like a minute to refresh the page.
[00:47:57.380 --> 00:47:58.380]   It took me like a minute to refresh the page.
[00:47:58.380 --> 00:47:59.380]   It took me like a minute to refresh the page.
[00:47:59.380 --> 00:48:00.380]   It took me like a minute to refresh the page.
[00:48:00.380 --> 00:48:01.380]   It took me like a minute to refresh the page.
[00:48:01.380 --> 00:48:02.380]   It took me like a minute to refresh the page.
[00:48:02.380 --> 00:48:03.380]   It took me like a minute to refresh the page.
[00:48:03.380 --> 00:48:11.380]   It took me like a minute to refresh the page.
[00:48:11.380 --> 00:48:13.380]   It took me like a minute to refresh the page.
[00:48:13.380 --> 00:48:14.380]   It took me like a minute to refresh the page.
[00:48:14.380 --> 00:48:15.380]   It took me like a minute to refresh the page.
[00:48:15.380 --> 00:48:16.380]   It took me like a minute to refresh the page.
[00:48:16.380 --> 00:48:17.380]   Yeah, I'm hot spotting.
[00:48:17.380 --> 00:48:18.380]   All right.
[00:48:18.380 --> 00:48:19.380]   Thanks.
[00:48:19.380 --> 00:48:23.380]   I'm on the, I think I'm on the Wi-Fi.
[00:48:23.380 --> 00:48:24.380]   All righty.
[00:48:24.380 --> 00:48:29.380]   So basically what I did is I just entered into something called browser from our sandbox.
[00:48:29.380 --> 00:48:33.380]   So again, you just go here, or I guess I'm back to this window now.
[00:48:33.380 --> 00:48:37.380]   You go here and you press open and then you can either do the SSO sign on
[00:48:37.380 --> 00:48:39.380]   or you can use your username and password.
[00:48:39.380 --> 00:48:42.380]   And so once I'm here, I'm going to copy.
[00:48:42.380 --> 00:48:45.380]   If you go back to the notebook, you can copy these calls.
[00:48:45.380 --> 00:48:50.380]   This is just Cypher that you can put in to help visualize the data that we've ingested.
[00:48:50.380 --> 00:48:53.380]   So this will give me my schema, right?
[00:48:53.380 --> 00:48:58.380]   You won't have this relationship yet, but what you should have is these four nodes,
[00:48:58.380 --> 00:49:01.380]   which you can get rid of this window.
[00:49:01.380 --> 00:49:04.380]   We'll give you an idea of your data model.
[00:49:04.380 --> 00:49:06.380]   That should reflect what we have in that picture inside of the notebook.
[00:49:06.380 --> 00:49:11.380]   We have our articles, our products, our departments, and our customers.
[00:49:11.380 --> 00:49:14.380]   Excuse me.
[00:49:14.380 --> 00:49:19.380]   And then if we go back to our notebook, I'm going to pull a sample of that data
[00:49:19.380 --> 00:49:21.380]   just so you can see the graph.
[00:49:21.380 --> 00:49:27.380]   So this Cypher statement here is just saying, hey, get me all the products,
[00:49:27.380 --> 00:49:31.380]   match all of the articles that are variants of those products,
[00:49:31.380 --> 00:49:34.380]   and then all the customers that purchase those articles.
[00:49:34.380 --> 00:49:39.380]   And I'm just going to return all of that and I'm going to limit it to 150 results.
[00:49:39.380 --> 00:49:41.380]   And so if I do that, what's going to happen?
[00:49:41.380 --> 00:49:44.380]   And again, the Wi-Fi is kind of hurting me right now.
[00:49:44.380 --> 00:49:47.380]   I'll get this pretty graph.
[00:49:47.380 --> 00:49:49.380]   So this is a sample of the data that we loaded.
[00:49:49.380 --> 00:49:54.380]   So customers are in orange, articles are in blue, and products are in red.
[00:49:54.380 --> 00:49:57.380]   So what you'll start to see, right, is we have these customers.
[00:49:57.380 --> 00:49:59.380]   Some of them make multiple purchases.
[00:49:59.380 --> 00:50:03.380]   So here's a customer making multiple purchases.
[00:50:03.380 --> 00:50:07.380]   Make that a little bit bigger so you can see when I go to purchase,
[00:50:07.380 --> 00:50:10.380]   it should have a transaction date, a price, all that sort of stuff.
[00:50:10.380 --> 00:50:14.380]   Here's my customer with the customer ID and some metadata about the customer.
[00:50:14.380 --> 00:50:16.380]   And then here's my article.
[00:50:16.380 --> 00:50:20.380]   And my article is a variant of a product.
[00:50:20.380 --> 00:50:24.380]   So what we've done so far is if you go down here,
[00:50:24.380 --> 00:50:27.380]   we've created, right, this text field for every product.
[00:50:27.380 --> 00:50:29.380]   That's what the text description looks like.
[00:50:29.380 --> 00:50:31.380]   And then we've created this text embedding.
[00:50:31.380 --> 00:50:33.380]   This is our OpenAI embedding that we have here.
[00:50:33.380 --> 00:50:39.380]   And if we zoom out, the graph structure that I was talking about before in slides,
[00:50:39.380 --> 00:50:40.380]   we start to see that.
[00:50:40.380 --> 00:50:44.380]   So you start to see that you have these customers that are co-purchasing things,
[00:50:44.380 --> 00:50:45.380]   right, at different times.
[00:50:45.380 --> 00:50:48.380]   And so we can start leveraging that graph structure.
[00:50:48.380 --> 00:50:52.380]   And we can use that graph structure to start informing our search and our LLM
[00:50:52.380 --> 00:50:54.380]   how to return better responses.
[00:50:54.380 --> 00:51:00.380]   So for example, what I'm going to do is I'm going to feed it a specific customer ID.
