
[00:00:00.000 --> 00:00:00.760]   You know who drank?
[00:51:48.160 --> 00:51:49.960]   Just turn the camera on and it'll come up.
[00:51:49.960 --> 00:51:50.860]   You'll figure it out.
[00:51:50.860 --> 00:51:52.120]   Do you do multiple takes or no?
[00:51:52.120 --> 00:51:53.500]   Maybe I do three.
[00:51:53.500 --> 00:51:59.320]   Like, and I'm talking even like in the, the dance video I did where I did the hip hop dance, I did two takes on that.
[00:51:59.320 --> 00:51:59.860]   Mm-hmm.
[00:51:59.860 --> 00:52:03.640]   Um, with, when I had the marching band come to my house, I did two takes on that.
[00:52:03.640 --> 00:52:07.840]   Um, once you start doing more takes, you, you lose the fun of it.
[00:52:07.840 --> 00:52:08.680]   I think.
[00:52:08.680 --> 00:52:16.200]   And, uh, and then the fun ones, I mean, my favorite one I've ever done without a doubt, my favorite one.
[00:52:16.200 --> 00:52:29.280]   My favorite promo I've ever done is, uh, I needed, they added a second show in some city and, uh, and, and they added a second show like Friday and Saturday and our third show.
[00:52:29.280 --> 00:52:32.340]   And I said, I, they just told me, I was like, fuck, I'm leaving like tomorrow.
[00:52:32.340 --> 00:52:33.300]   I need to sell tickets.
[00:52:33.300 --> 00:52:36.600]   So I said real quick, girls meet me outside and Leanne's like, girls are doing homework.
[00:52:36.600 --> 00:52:37.680]   I go to take five seconds.
[00:52:37.680 --> 00:52:38.760]   I put on a speedo.
[00:52:38.760 --> 00:52:39.780]   I got the American flag.
[00:52:39.780 --> 00:52:41.800]   I gave Isla the hose.
[00:52:41.800 --> 00:52:44.280]   I gave Leanne the leaf blower and I gave Georgia the drone.
[00:52:44.280 --> 00:52:45.200]   Mm-hmm.
[00:52:45.200 --> 00:52:46.160]   And I just had Georgia.
[00:52:46.160 --> 00:52:53.420]   Drone it back to reveal the leaf blower and the, the mist you were seeing was coming from Isla and Leanne.
[00:52:53.420 --> 00:52:53.660]   Yeah.
[00:52:53.660 --> 00:52:55.280]   I'm in a speedo with American flag.
[00:52:55.280 --> 00:52:58.380]   I have Bob Seger plan rambling, grambling man.
[00:52:58.380 --> 00:52:58.660]   Yeah.
[00:52:58.660 --> 00:53:05.360]   And, and that night, Larry, the cable guy texted me and he goes, this is fucking genius.
[00:53:05.360 --> 00:53:09.920]   And I was like, it was just, and it was just like, yo, just, let's just shoot something who gives a fuck.
[00:53:09.920 --> 00:53:11.880]   Like just shoot something.
[00:53:11.880 --> 00:53:16.120]   Just, just, just say something and, and, and, and put a little, just do a little.
[00:53:16.120 --> 00:53:17.500]   Just a little movement into it.
[00:53:17.500 --> 00:53:20.020]   And, and those are my back in the hours.
[00:53:20.020 --> 00:53:22.900]   I used to be, I watched a bunch of my promo clips back from back in the day.
[00:53:22.900 --> 00:53:23.980]   I used to be really good.
[00:53:23.980 --> 00:53:27.520]   Now it's like, I'm promoting so fucking many things.
[00:53:27.520 --> 00:53:30.280]   I'm just like, I'm almost like I'm exhausted about my promotions.
[00:53:30.280 --> 00:53:31.660]   Yeah.
[00:53:31.660 --> 00:53:34.540]   Because you know, the, the, well can dry up in terms of ideas.
[00:53:34.540 --> 00:53:35.060]   Yeah.
[00:53:35.060 --> 00:53:37.060]   And it's like, how many times am I going to show a picture of my ass?
[00:53:37.060 --> 00:53:38.380]   My ass sells really good.
[00:53:38.380 --> 00:53:43.540]   Whatever my ass is on Instagram, fucking million views, guaranteed a million views.
[00:53:43.540 --> 00:53:44.320]   Your ass.
[00:53:44.320 --> 00:53:45.640]   And, and, and, and.
[00:53:45.920 --> 00:53:47.720]   And it's, and it's an active post.
[00:53:47.720 --> 00:53:51.560]   Like people are like, I did the best one I did the other day was where I superimposed
[00:53:51.560 --> 00:53:54.320]   my ass on my front and it just looked beautiful.
[00:53:54.320 --> 00:53:54.680]   Yeah.
[00:53:54.680 --> 00:53:55.440]   No views.
[00:53:55.440 --> 00:53:57.380]   Oh, so you.
[00:53:57.380 --> 00:53:58.100]   It got reported.
[00:53:58.100 --> 00:53:59.340]   Oh, I see.
[00:53:59.340 --> 00:54:00.240]   It looked like a front vagina.
[00:54:00.240 --> 00:54:01.780]   Oh, is that what it was?
[00:54:01.780 --> 00:54:02.520]   Yeah, I think so.
[00:54:02.520 --> 00:54:04.840]   But like, but yeah, my ass.
[00:54:04.840 --> 00:54:05.600]   Ass sells.
[00:54:05.600 --> 00:54:11.320]   Like I'm, I'm in a place right now where I am promoting, I'll be promoting this movie.
[00:54:11.320 --> 00:54:14.620]   I'll be promoting this movie until it goes to a streamer.
[00:54:14.620 --> 00:54:15.740]   I'll be promoting it.
[00:54:15.880 --> 00:54:17.440]   Uh, shamelessly.
[00:54:17.440 --> 00:54:18.220]   I am proud of it.
[00:54:18.220 --> 00:54:19.800]   I had a great time shooting it.
[00:54:19.800 --> 00:54:20.880]   It's in theaters.
[00:54:20.880 --> 00:54:23.000]   It'll be on video on demand.
[00:54:23.000 --> 00:54:24.100]   It'll be on a streamer.
[00:54:24.100 --> 00:54:24.400]   I'm sure.
[00:54:24.400 --> 00:54:29.260]   I don't know, but I'm sure I'm promoting fully loaded my summer festival with 19 different
[00:54:29.260 --> 00:54:29.580]   comics.
[00:54:29.580 --> 00:54:33.600]   I'm promoting the tops off world tour that starts again this fall.
[00:54:33.600 --> 00:54:35.840]   I'm promoting my cruise, the fully loaded cruise.
[00:54:35.840 --> 00:54:37.280]   I'm promoting red rocks.
[00:54:37.280 --> 00:54:44.340]   I'm promoting so many things that today was the very first time in my career where I said
[00:54:44.340 --> 00:54:45.600]   in January.
[00:54:45.600 --> 00:54:45.740]   I'm going to do this.
[00:54:45.740 --> 00:54:45.840]   I'm going to do this.
[00:54:45.840 --> 00:54:46.580]   I'm going to take a break.
[00:54:46.580 --> 00:54:51.200]   I'm going to take a break and go like, Hey man, let's, let's get your resting heart rate
[00:54:51.200 --> 00:54:51.600]   down.
[00:54:51.600 --> 00:54:52.040]   Yeah.
[00:54:52.040 --> 00:54:53.380]   Let's, let's get some sleep.
[00:54:53.380 --> 00:54:56.560]   Let's, let's maybe take off like three months from drinking.
[00:54:56.560 --> 00:55:02.820]   Like let's just really like slow it down and, and, and also not think when you're thinking
[00:55:02.820 --> 00:55:06.520]   in promo all the time, it, it can be a little exhaust.
[00:55:06.520 --> 00:55:08.840]   I mean, you think, you think it's exhausting to look at my feed.
[00:55:08.840 --> 00:55:10.380]   It's exhausting to be my feed.
[00:55:10.380 --> 00:55:11.180]   I'm my feed.
[00:55:11.180 --> 00:55:14.180]   That's not as less as more.
[00:55:14.180 --> 00:55:15.680]   One of the things.
[00:55:15.800 --> 00:55:15.940]   Nope.
[00:55:15.940 --> 00:55:16.540]   Nope.
[00:55:16.540 --> 00:55:17.280]   Nope.
[00:55:17.280 --> 00:55:25.780]   One, one of the things that inspires me about Rogan, for example, is, um, he almost never
[00:55:25.780 --> 00:55:27.080]   does this kind of stuff.
[00:55:27.080 --> 00:55:27.440]   Yeah.
[00:55:27.440 --> 00:55:27.700]   Yeah.
[00:55:27.700 --> 00:55:29.640]   And how seldomly does his podcast.
[00:55:29.640 --> 00:55:30.320]   Cause you're right.
[00:55:30.320 --> 00:55:30.860]   Less is more.
[00:55:30.860 --> 00:55:32.380]   How, what does he do it like once a month?
[00:55:32.380 --> 00:55:34.180]   No, he does it three times a fucking week.
[00:55:34.180 --> 00:55:34.360]   Yeah.
[00:55:34.360 --> 00:55:36.980]   More is more is more is perfect.
[00:55:36.980 --> 00:55:41.420]   But for example, when he does like a story or something like this, he does one take.
[00:55:41.420 --> 00:55:43.420]   It's kind of shitty.
[00:55:43.420 --> 00:55:45.520]   It's the same day.
[00:55:45.520 --> 00:55:45.780]   It's the same day.
[00:55:45.780 --> 00:55:45.940]   It's the same.
[00:55:45.940 --> 00:55:51.180]   It's elk with a bunch of jalapenos, a knife that he had sent to him by a fucking knife
[00:55:51.180 --> 00:55:53.380]   maker and him going, look at this.
[00:55:53.380 --> 00:55:54.020]   Look at this.
[00:55:54.020 --> 00:55:55.120]   It's a Traeger smoker.
[00:55:55.120 --> 00:55:56.500]   I reverse seared this.
[00:55:56.500 --> 00:55:57.380]   This is what's great.
[00:55:57.380 --> 00:55:57.720]   Look at this.
[00:55:57.720 --> 00:55:58.640]   I'm about to put it in the butter.
[00:55:58.640 --> 00:56:00.420]   Like this is grass fed butter.
[00:56:00.420 --> 00:56:02.220]   This elk really raises my testosterone.
[00:56:02.220 --> 00:56:06.060]   Rogan is it's you're right with guys like Rogan.
[00:56:06.060 --> 00:56:08.340]   When he does do a story, they're a little precious.
[00:56:08.340 --> 00:56:08.960]   Yeah.
[00:56:08.960 --> 00:56:13.680]   And there's, I don't think he's, he's ever done a second take.
[00:56:15.740 --> 00:56:18.980]   No, you have to really admire that.
[00:56:18.980 --> 00:56:23.120]   Like, uh, if the shot is framed poorly, if the audio sucks, doesn't matter.
[00:56:23.120 --> 00:56:36.620]   Does that you remember when he, this is like, like I can get in the weeds on Rogan, but, and especially when it's Instagram, do you remember when he got his polar plunge and he couldn't sit in a minute and then the next day, and then he must've gotten it on the internet bad.
[00:56:36.620 --> 00:56:37.040]   Yeah.
[00:56:37.040 --> 00:56:38.600]   He must've gotten it bad.
[00:56:38.600 --> 00:56:38.900]   Yeah.
[00:56:38.900 --> 00:56:45.720]   The next day he sat in for 20 minutes and he lowered his core temperature by like two degrees and it took him like a month.
[00:56:45.720 --> 00:56:45.840]   Yeah.
[00:56:45.840 --> 00:56:46.440]   To get that back.
[00:56:46.440 --> 00:56:46.660]   Yeah.
[00:56:46.660 --> 00:56:48.560]   That is that fucking man.
[00:56:48.560 --> 00:56:49.000]   Yeah.
[00:56:49.000 --> 00:56:52.400]   What an interesting, you know, I told you at the beginning, we were just talking.
[00:56:52.400 --> 00:56:56.400]   I like, I really enjoy, I draw inspiration from men.
[00:56:56.400 --> 00:57:01.880]   I'm not like, um, you, David Goggins, Cam Haynes.
[00:57:01.880 --> 00:57:04.000]   Um, Andrew Huberman.
[00:57:04.000 --> 00:57:04.940]   Huberman.
[00:57:04.940 --> 00:57:10.120]   I love, uh, uh, uh, fucking, I mean, there's so many guys like that.
[00:57:10.120 --> 00:57:13.120]   Rogan, you know, Tim Kennedy.
[00:57:13.120 --> 00:57:15.100]   Like there are a lot of guys that are like.
[00:57:15.680 --> 00:57:17.180]   Just very different men than me.
[00:57:17.180 --> 00:57:18.860]   And I love Jocko Wilnick.
[00:57:18.860 --> 00:57:28.400]   Like I love, I love reading their stuff or listening to their audio books or listening to their podcast because I'm so not like that.
[00:57:28.400 --> 00:57:40.580]   But that to, for me, when I add a little bit of that in my life, like I remember you went, I don't know what you were doing, but you were walking us through your day and it was so fascinating.
[00:57:40.580 --> 00:57:44.960]   It was like, it was like, I ran eight miles today.
[00:57:44.960 --> 00:57:45.060]   Yeah.
[00:57:45.060 --> 00:57:45.640]   I listened to.
[00:57:45.640 --> 00:57:46.180]   I listened to an audio book.
[00:57:46.180 --> 00:57:47.160]   I was running eight miles.
[00:57:47.160 --> 00:57:51.100]   And then I came and I worked for about three hours straight on AI stuff.
[00:57:51.100 --> 00:57:54.780]   And I'm like, and I was like, wait, you sat at a desk?
[00:57:54.780 --> 00:57:59.660]   Like you like sat at a desk and like, and I, I actually, I wouldn't even know what to do.
[00:57:59.660 --> 00:58:01.120]   I would start doing crafts.
[00:58:01.120 --> 00:58:05.780]   Like I wouldn't like that you went, I was like, is your computer like.
[00:58:05.780 --> 00:58:06.060]   Yeah.
[00:58:06.060 --> 00:58:12.200]   Have you sat for like four hours focused on a single task?
[00:58:12.200 --> 00:58:12.920]   Me?
[00:58:12.920 --> 00:58:13.340]   Yeah.
[00:58:13.340 --> 00:58:13.820]   No.
[00:58:13.820 --> 00:58:13.960]   No.
[00:58:15.600 --> 00:58:17.280]   I have a hard time sleeping for four hours.
[00:58:17.280 --> 00:58:18.200]   Yeah.
[00:58:18.200 --> 00:58:19.940]   Like I, I don't have that.
[00:58:19.940 --> 00:58:25.800]   I, I don't have a brain that like, I really admired it when I listened to you do it.
[00:58:25.800 --> 00:58:29.640]   Cause then you were like, you were talking, you were fasting at the time you were doing your fast.
[00:58:29.640 --> 00:58:32.840]   And then you talk about what you ate and I was jealous.
[00:58:32.840 --> 00:58:34.540]   I wanted to be able to be like that.
[00:58:34.540 --> 00:58:38.380]   And I think at that time we started, I think you were doing maybe bone broth or something.
[00:58:38.380 --> 00:58:43.340]   And we started doing bone broth pretty religiously and adding that into a fast.
[00:58:43.340 --> 00:58:45.480]   Cause I was like, it does.
[00:58:45.480 --> 00:58:48.900]   For someone like me, it does feel cool to add a little bit of control into life.
[00:58:48.900 --> 00:58:54.880]   So integrating a little bit of a way of being from another person that you're not like.
[00:58:54.880 --> 00:58:55.180]   Yeah.
[00:58:55.180 --> 00:59:00.400]   Like, like, uh, like, so, so David Goggins is consistently pushing himself.
[00:59:00.400 --> 00:59:02.180]   I love, I did it.
[00:59:02.180 --> 00:59:06.320]   I did it over the pandemic more, but I loved going today.
[00:59:06.320 --> 00:59:07.080]   I'm running a marathon.
[00:59:07.080 --> 00:59:11.040]   I'm going to get on the treadmill and it's not going to be all at once, but I'm going
[00:59:11.040 --> 00:59:12.800]   to get through a marathon today.
[00:59:12.800 --> 00:59:15.440]   So let's get up, get up at six o'clock from college.
[00:59:15.440 --> 00:59:18.340]   I'm going to get a cup of coffee and let's see if we can do like five miles and then
[00:59:18.340 --> 00:59:19.340]   know that we started there.
[00:59:19.340 --> 00:59:25.200]   And that was really fun to, to, to, to like, um, Cam Haynes does that too, where he goes,
[00:59:25.200 --> 00:59:30.980]   like, he almost just sets the limit and then, and then achieves that his son Truett is really
[00:59:30.980 --> 00:59:31.980]   fascinating.
[00:59:31.980 --> 00:59:35.500]   Cause his son Truett right now is trying to get the, and like, I bet people would never
[00:59:35.500 --> 00:59:40.740]   think that this is why I watch, but I get real inspiration from those people because
[00:59:40.740 --> 00:59:44.060]   I showed Jocko, I showed a clip to Jocko to Isla.
[00:59:44.060 --> 00:59:45.060]   Cause Isla's like me.
[00:59:45.320 --> 00:59:49.280]   Like a, a person of her fluids, impulse.
[00:59:49.280 --> 00:59:52.320]   I w I walked in on her one time.
[00:59:52.320 --> 00:59:58.200]   She was in the pantry in a bathrobe in the dark drinking a root beer.
[00:59:58.200 --> 00:59:59.200]   Yeah.
[00:59:59.200 --> 01:00:01.820]   And I opened the door and she went, I said, what?
[01:00:01.820 --> 01:00:03.220]   She goes, I thought you were mom.
[01:00:03.220 --> 01:00:04.440]   Shut the door.
[01:00:04.440 --> 01:00:07.080]   And I shut the door to let her finish the root beer.
[01:00:07.080 --> 01:00:08.080]   Yeah.
[01:00:08.080 --> 01:00:09.080]   She has a hard time waking up.
[01:00:09.080 --> 01:00:10.080]   So go Isla come in here.
[01:00:10.080 --> 01:00:11.860]   I want you to see this clip from Jocko.
[01:00:11.860 --> 01:00:12.860]   She goes, who's Jocko?
[01:00:12.860 --> 01:00:14.200]   I said, he's a Navy seal.
[01:00:14.200 --> 01:00:15.200]   She goes, he works at the Navy.
[01:00:15.200 --> 01:00:16.200]   He works at the zoo.
[01:00:16.200 --> 01:00:19.660]   I went, no, he's a Navy seal.
[01:00:19.660 --> 01:00:20.660]   I go, it's a bad-ass job.
[01:00:20.660 --> 01:00:21.660]   She goes, it's a silly name.
[01:00:21.660 --> 01:00:22.880]   And I went, no, it's not.
[01:00:22.880 --> 01:00:24.260]   It isn't a silly name.
[01:00:24.260 --> 01:00:25.800]   These guys are the toughest dudes in the world.
[01:00:25.800 --> 01:00:28.340]   She goes, she's kind of right though about the silly name.
[01:00:28.340 --> 01:00:29.340]   I never even realized that.
[01:00:29.340 --> 01:00:30.340]   Oh yeah.
[01:00:30.340 --> 01:00:31.340]   You talk to a child.
[01:00:31.340 --> 01:00:32.340]   Yeah.
[01:00:32.340 --> 01:00:33.700]   And so I go, watch this, what he says about waking up.
[01:00:33.700 --> 01:00:38.880]   So it hits the thing and Jocko goes, first thing you do when you hear that alarm clock,
[01:00:38.880 --> 01:00:42.040]   you could roll over, you could go back to bed, you could hit snooze, but you get out
[01:00:42.040 --> 01:00:44.080]   of bed and that's your first victory.
[01:00:44.080 --> 01:00:45.080]   And Isla has paused.
[01:00:45.080 --> 01:00:49.520]   She goes, how great is that nap right after you hit snooze though?
[01:00:49.520 --> 01:00:50.520]   I went, it is pretty funny.
[01:00:50.520 --> 01:00:51.520]   I go, hang on.
[01:00:51.520 --> 01:00:52.520]   It is great.
[01:00:52.520 --> 01:00:53.520]   You're missing the point.
[01:00:53.520 --> 01:00:54.520]   You're missing this whole speech.
[01:00:54.520 --> 01:00:56.120]   He's with Casey Neistat when he's telling this speech.
[01:00:56.120 --> 01:00:57.120]   He's with Casey Neistat.
[01:00:57.120 --> 01:01:00.840]   And so I hit it and then he goes, and then you've got a victory under your belt.
[01:01:00.840 --> 01:01:03.520]   Then you go to the gym and you work out and I go, are you listening to Isla?
[01:01:03.520 --> 01:01:04.520]   And she goes, yeah.
[01:01:04.520 --> 01:01:06.800]   And he goes, and then when you go to the work, now you've got two victories.
[01:01:06.800 --> 01:01:08.560]   You've worked out and you've woken up on time.
[01:01:08.560 --> 01:01:10.080]   You didn't hit that snooze button.
[01:01:10.080 --> 01:01:13.960]   So when you go into that break room and you see Donas and she hits pause, she goes, if
[01:01:13.960 --> 01:01:16.080]   he's about to say no to donuts, I'm done listening.
[01:01:16.080 --> 01:01:18.080]   I go, he's definitely gonna say no to donuts.
[01:01:18.080 --> 01:01:20.080]   Do you think he's gonna have a donut?
[01:01:20.080 --> 01:01:22.080]   And she goes, you like this guy?
[01:01:22.080 --> 01:01:23.080]   I go, I fucking love him.
[01:01:23.080 --> 01:01:25.080]   And she goes, do you think he'd like you?
[01:01:25.080 --> 01:01:27.080]   And I go, what do you mean?
[01:01:27.080 --> 01:01:30.200]   She goes, dad, you hit snooze, you skip working out and you love donuts.
[01:01:30.200 --> 01:01:32.460]   And I'm like, yeah, you're making a good fucking point.
[01:01:32.460 --> 01:01:35.860]   I go, I, but I, but I do love that.
[01:01:35.860 --> 01:01:42.960]   Like I love to watch that brain work and go like, like, I don't, I don't hit snooze.
[01:01:42.960 --> 01:01:43.840]   Like I don't hit snooze.
[01:01:43.840 --> 01:01:45.700]   Now I go fuck it.
[01:01:45.700 --> 01:01:47.120]   Cause I'm up.
[01:01:47.120 --> 01:01:49.880]   But I, and then, and then I go to the gym every single morning.
[01:01:49.880 --> 01:01:53.060]   I go to the gym every single morning and today's national donut day.
[01:01:53.060 --> 01:01:54.820]   I didn't have a donut.
[01:01:54.820 --> 01:01:57.460]   And so like, I, I like, I try, I like try to apply these a little bit.
[01:01:57.460 --> 01:02:01.960]   Cause I, I mean, the other side of me is like tonight after we do this, I'll do another
[01:02:01.960 --> 01:02:05.000]   podcast and then I'm gonna call Leanne and go, yo, we're in Beverly Hills.
[01:02:05.000 --> 01:02:06.000]   Meet me out here.
[01:02:06.000 --> 01:02:07.000]   Let's go have drinks.
[01:02:07.000 --> 01:02:09.720]   Let's go have fucking couple Kapari spritz.
[01:02:09.720 --> 01:02:13.720]   Let's I was over at a friend's house and overnight, let's get some edibles and let's fucking have
[01:02:13.720 --> 01:02:14.720]   a night about it.
[01:02:14.720 --> 01:02:15.720]   Yeah.
[01:02:15.720 --> 01:02:16.720]   Get some sushi, go have sex in the hot tub.
[01:02:16.720 --> 01:02:20.720]   And I gotta work out at fucking 10 in the morning.
[01:02:20.720 --> 01:02:25.960]   I gotta tell you that nap when you press snooze is the sweetest.
[01:02:25.960 --> 01:02:27.460]   That's my, that's my victory.
[01:02:27.460 --> 01:02:30.480]   First victory is pressing snooze and getting the nap onto the belt.
[01:02:30.480 --> 01:02:34.280]   I have you ever had, I had, so this, this morning I didn't work.
[01:02:34.280 --> 01:02:35.280]   I didn't work out.
[01:02:35.280 --> 01:02:39.400]   I'd press it like five in the morning until about six.
[01:02:39.400 --> 01:02:40.600]   You're going hard right now.
[01:02:40.600 --> 01:02:41.600]   Yeah, yeah, yeah, yeah.
[01:02:41.600 --> 01:02:42.600]   And then I had a podcast.
[01:02:42.600 --> 01:02:43.600]   I saw you.
[01:02:43.600 --> 01:02:44.600]   I saw Austin.
[01:02:44.600 --> 01:02:45.600]   I was like, what, huh?
[01:02:45.600 --> 01:02:46.600]   Yeah.
[01:02:46.600 --> 01:02:47.600]   What?
[01:02:47.600 --> 01:02:50.280]   Just run around theaters and now you're back.
[01:02:50.280 --> 01:02:51.280]   Yeah.
[01:02:51.280 --> 01:02:53.380]   Running around theaters to do, to promote the movie.
[01:02:53.380 --> 01:02:56.680]   And then look you only get one shot at these movies, so you might as well do.
[01:02:56.680 --> 01:02:59.840]   And look, it's really hard to get people to go into a movie theater right now.
[01:02:59.840 --> 01:03:07.160]   And so I woke up at like six, did five or six to seven, did press.
[01:03:07.160 --> 01:03:13.480]   And then I went and I said, and I'm really into a podcast, a history podcast right now.
[01:03:13.480 --> 01:03:15.480]   And I was listening to this one about the conquistadors.
[01:03:15.480 --> 01:03:20.280]   And I was, and I was like, before when I woke up, I was like, I wouldn't mind going back
[01:03:20.280 --> 01:03:21.280]   to that.
[01:03:21.280 --> 01:03:24.720]   And I said, I'll tell you what, I'm gonna take a little nap and go.
[01:03:24.720 --> 01:03:25.720]   Now I slept good last night.
[01:03:25.720 --> 01:03:28.240]   I slept like seven hours last night.
[01:03:28.240 --> 01:03:33.140]   Boy, that 30 minute nap, it felt like five hours.
[01:03:33.140 --> 01:03:36.480]   And I woke up going, I gotta readjust my sleep score.
[01:03:36.480 --> 01:03:37.480]   That has to be in the 97.
[01:03:37.480 --> 01:03:38.980]   That was the best fucking nap.
[01:03:38.980 --> 01:03:41.480]   Those little snooze naps are monsters.
[01:03:41.480 --> 01:03:42.480]   You know, there's, I don't know.
[01:03:42.480 --> 01:03:44.160]   You know, there's, I don't care.
[01:03:44.160 --> 01:03:50.240]   That's probably for me, one of the peak experiences of life is those naps.
[01:03:50.240 --> 01:03:51.240]   I don't know what that is.
[01:03:51.240 --> 01:03:54.720]   Have you ever slept in a tour bus?
[01:03:54.720 --> 01:03:56.720]   A tour bus versus a regular bus?
[01:03:56.720 --> 01:03:57.840]   Like a tour bus.
[01:03:57.840 --> 01:04:00.720]   Like meaning like in a bunk.
[01:04:00.720 --> 01:04:01.720]   No.
[01:04:01.720 --> 01:04:04.720]   I've taken a lot of buses in my life though.
[01:04:04.720 --> 01:04:07.240]   Like mean like just like a, like a Greyhound?
[01:04:07.240 --> 01:04:08.240]   Those are very different.
[01:04:08.240 --> 01:04:10.360]   And uh, public transit.
[01:04:10.360 --> 01:04:12.360]   Listen, they.
[01:04:12.360 --> 01:04:16.200]   That's just part of, part of life in a Greyhound.
[01:04:16.200 --> 01:04:17.200]   I was on a Greyhound one time.
[01:04:17.200 --> 01:04:18.200]   Don't put stuff in your pockets.
[01:04:18.200 --> 01:04:22.120]   I was on a Greyhound one time right when Notorious B.I.G.'s album came out in college.
[01:04:22.120 --> 01:04:25.240]   And I was going from Tallahassee down to Tampa.
[01:04:25.240 --> 01:04:30.520]   And the dude got on the tour bus, got on the bus next to me, black dude.
[01:04:30.520 --> 01:04:33.120]   And he sat down, he said, where are you headed?
[01:04:33.120 --> 01:04:34.120]   And I said, Tampa.
[01:04:34.120 --> 01:04:35.120]   He said, you grew up in Tampa?
[01:04:35.120 --> 01:04:36.120]   I said, yeah.
[01:04:36.120 --> 01:04:37.120]   I said, you?
[01:04:37.120 --> 01:04:38.120]   And he goes, yeah.
[01:04:38.120 --> 01:04:39.120]   I said, you go to school with Pham?
[01:04:39.120 --> 01:04:40.360]   And because Pham, you and Flores say the two schools, one's black, one's white.
[01:04:40.360 --> 01:04:41.360]   And he goes, no, I don't go to school with Pham.
[01:04:41.360 --> 01:04:43.360]   And he goes, no, I just got out of prison.
[01:04:43.360 --> 01:04:45.000]   I said, you got out of prison?
[01:04:45.000 --> 01:04:46.000]   And he goes, yeah.
[01:04:46.000 --> 01:04:47.580]   Yeah, man, I got out of prison.
[01:04:47.580 --> 01:04:50.520]   I stabbed a dude and I've been in prison.
[01:04:50.520 --> 01:04:51.520]   I just got out today.
[01:04:51.520 --> 01:04:52.940]   He goes, what are you listening to?
[01:04:52.940 --> 01:04:54.680]   I said, Notorious B.I.G.
[01:04:54.680 --> 01:04:57.940]   And he goes, oh shit, that's out?
[01:04:57.940 --> 01:04:58.940]   And I went, yeah.
[01:04:58.940 --> 01:04:59.940]   And he goes, I want to hear it.
[01:04:59.940 --> 01:05:00.940]   Can I hear it?
[01:05:00.940 --> 01:05:02.020]   And I was like, yeah.
[01:05:02.020 --> 01:05:04.840]   And he used my headset to the whole bus ride to Tampa.
[01:05:04.840 --> 01:05:06.280]   I didn't have the, I was like, he stabbed a man.
[01:05:06.280 --> 01:05:07.280]   They're yours now.
[01:05:07.280 --> 01:05:11.240]   And then I just sat next to him and I was like, is he, are you enjoying it?
[01:05:11.240 --> 01:05:12.240]   No, he's not enjoying it.
[01:05:12.240 --> 01:05:13.240]   He's like, he's not enjoying it.
[01:05:13.240 --> 01:05:14.240]   He's like, I don't know.
[01:05:14.240 --> 01:05:15.240]   I'm not enjoying it.
[01:05:15.240 --> 01:05:16.240]   I'm not enjoying it.
[01:05:16.240 --> 01:05:17.240]   I'm just like, I'm just like, I'm just not enjoying it.
[01:05:17.240 --> 01:05:18.240]   He's like, I'm just like, I'm just not enjoying it.
[01:05:18.240 --> 01:05:19.240]   I'm just like, I'm just not enjoying it.
[01:05:19.240 --> 01:05:20.240]   He's like, I'm just not enjoying it.
[01:05:20.240 --> 01:05:21.240]   I'm just like, I'm just not enjoying it.
[01:05:21.240 --> 01:05:22.240]   I'm just like, I'm just not enjoying it.
[01:05:22.240 --> 01:05:23.240]   I'm just like, I'm just not enjoying it.
[01:05:23.240 --> 01:05:24.240]   I'm just like, I'm just not enjoying it.
[01:05:24.240 --> 01:05:25.240]   I'm just like, I'm just not enjoying it.
[01:05:25.240 --> 01:05:26.240]   I'm just like, I'm just not enjoying it.
[01:05:26.240 --> 01:05:27.240]   I'm just like, I'm just not enjoying it.
[01:05:27.240 --> 01:05:28.240]   I'm just like, I'm just like, I'm just not enjoying it.
[01:05:28.240 --> 01:05:29.240]   It's pitch black.
[01:05:29.240 --> 01:05:33.480]   It's like a coffin and it is ice cold.
[01:05:33.480 --> 01:05:35.640]   And you got all your pillows and blankets in there.
[01:05:35.640 --> 01:05:41.720]   And you put a little history podcast on in the corner and you just listen to like Kurt
[01:05:41.720 --> 01:05:44.720]   Mboshi or like, oh my God.
[01:05:44.720 --> 01:05:48.400]   So you're talking about like 5, 6:00 PM for a 7:00 PM show.
[01:05:48.400 --> 01:05:50.300]   Oh, it's the best nap you'll ever have.
[01:05:50.300 --> 01:05:52.420]   You wake up so refreshed.
[01:05:52.420 --> 01:05:53.420]   Yeah.
[01:05:53.420 --> 01:05:57.120]   Like I've woken up from naps like where I'm like, fuck yeah.
[01:05:57.120 --> 01:06:00.500]   Like there are those, those tour bus naps are the best naps.
[01:06:00.500 --> 01:06:08.000]   I think having a full productive day and then like 5, 6:00 PM to get a nap and then you
[01:06:08.000 --> 01:06:10.540]   do something really stressful after that.
[01:06:10.540 --> 01:06:13.500]   Like really hyper, like, like a show.
[01:06:13.500 --> 01:06:18.360]   But if I do like, I really liked doing podcasts like late at night after a nap.
[01:06:18.360 --> 01:06:22.200]   I think I fucked up my podcast rhythm because we're doing them in the day.
[01:06:22.200 --> 01:06:23.200]   Yeah.
[01:06:23.200 --> 01:06:26.000]   And so sometimes I'm just like, I like, if I work out in the morning, I'm good on a podcast,
[01:06:26.000 --> 01:06:27.000]   but if I don't work out.
[01:06:27.000 --> 01:06:28.000]   I suck on a podcast.
