
[00:00:00.000 --> 00:00:02.500]   A major resignation now.
[00:16:50.160 --> 00:16:52.720]   And then you have everybody who got kicked off
[00:16:52.720 --> 00:16:55.760]   of broadcast television
[00:16:55.760 --> 00:17:00.000]   or for whatever reasons they left,
[00:17:00.000 --> 00:17:02.880]   Don Lemon, Megyn Kelly, Tucker--
[00:17:02.880 --> 00:17:03.520]   - Katherine Harridge.
[00:17:03.520 --> 00:17:04.720]   - What's that? - Katherine Harridge.
[00:17:04.720 --> 00:17:06.000]   - Yeah. - It's fantastic.
[00:17:06.000 --> 00:17:08.480]   - Yeah, so tons of long tail there.
[00:17:08.480 --> 00:17:11.840]   But this group is also susceptible
[00:17:11.840 --> 00:17:13.440]   to the same things as you pointed out,
[00:17:13.440 --> 00:17:16.320]   and perhaps in some ways more susceptible
[00:17:16.320 --> 00:17:21.040]   because they've got a less subscriber base, less brand.
[00:17:21.040 --> 00:17:22.800]   So Fox News is gonna be fine.
[00:17:22.800 --> 00:17:23.840]   New York Times is gonna be fine.
[00:17:23.840 --> 00:17:25.120]   But as we saw this past week,
[00:17:25.120 --> 00:17:28.720]   the Russians put $10 million into a little slush fund
[00:17:28.720 --> 00:17:30.560]   and then gave it to--
[00:17:30.560 --> 00:17:31.600]   - You're gonna start with Saks again?
[00:17:31.600 --> 00:17:33.120]   - For, no, no, I'm not talking to Saks.
[00:17:33.120 --> 00:17:34.880]   I'm talking to Barry.
[00:17:34.880 --> 00:17:36.720]   - He's talking to Saks through Barry.
[00:17:36.720 --> 00:17:38.480]   - I thank God I'm not managing these people.
[00:17:38.480 --> 00:17:40.160]   - Well, no, no, I'm just curious what you're,
[00:17:40.160 --> 00:17:41.680]   I mean, these are obviously,
[00:17:41.680 --> 00:17:43.360]   as the Russians would call them, the useful idiots,
[00:17:43.360 --> 00:17:44.800]   but they didn't even know
[00:17:44.800 --> 00:17:46.240]   they were getting millions of dollars.
[00:17:46.240 --> 00:17:48.080]   They didn't ask where it was coming from.
[00:17:48.080 --> 00:17:51.040]   Obviously you didn't take that money.
[00:17:51.040 --> 00:17:52.640]   We didn't get offered that money, unfortunately.
[00:17:52.640 --> 00:17:53.680]   - Otherwise you would have taken it.
[00:17:53.680 --> 00:17:56.880]   - Yeah, we would have secured that bag immediately.
[00:17:56.880 --> 00:17:58.560]   - Free money from the Russians?
[00:17:58.560 --> 00:18:01.280]   - No, we're like the scene in "The Matrix"
[00:18:01.280 --> 00:18:04.080]   where Neo's dodging the bullets and one nicks his leg.
[00:18:04.080 --> 00:18:05.120]   That's the Russian money
[00:18:05.120 --> 00:18:06.880]   'cause it was flying everywhere.
[00:18:06.880 --> 00:18:08.800]   And J. Cal was trying to jump into the bullets.
[00:18:08.800 --> 00:18:09.600]   (audience laughing)
[00:18:09.600 --> 00:18:11.360]   - I was trying to collect them.
[00:18:11.360 --> 00:18:13.120]   - And it's like, it's all we can do to just,
[00:18:13.120 --> 00:18:15.920]   we wanted to get that sweet, sweet Putin money.
[00:18:15.920 --> 00:18:18.960]   But what was your, what's your take on this?
[00:18:18.960 --> 00:18:20.480]   'Cause you had some strong feelings
[00:18:20.480 --> 00:18:24.240]   when I think Tucker went and did his,
[00:18:24.240 --> 00:18:26.800]   what you thought was propaganda for Putin.
[00:18:26.800 --> 00:18:31.920]   And so let's talk about how susceptible, in your mind,
[00:18:33.280 --> 00:18:37.600]   these voices are to being bought and paid for, apparently.
[00:18:37.600 --> 00:18:39.040]   - To me, it's less about--
[00:18:39.040 --> 00:18:39.600]   - Allegedly.
[00:18:39.600 --> 00:18:40.960]   - Being bought and paid for.
[00:18:40.960 --> 00:18:42.560]   I think what it is,
[00:18:42.560 --> 00:18:47.520]   is there's a really, really understandable risk
[00:18:47.520 --> 00:18:50.480]   that once you sort of eject yourself from "The Matrix"
[00:18:50.480 --> 00:18:51.680]   or whatever the right metaphor is,
[00:18:51.680 --> 00:18:53.680]   stop taking the blue pill.
[00:18:53.680 --> 00:18:56.400]   It's like, once you see one lie,
[00:18:56.400 --> 00:19:00.240]   all of a sudden it becomes a world of lies.
[00:19:00.320 --> 00:19:02.080]   And what's to stop you sort of
[00:19:02.080 --> 00:19:03.680]   from falling down the rabbit hole?
[00:19:03.680 --> 00:19:04.640]   And I'll give you an example.
[00:19:04.640 --> 00:19:06.640]   There's certain people, I don't wanna name them,
[00:19:06.640 --> 00:19:08.880]   who I so admired.
[00:19:08.880 --> 00:19:12.640]   And I felt like they were really prescient
[00:19:12.640 --> 00:19:16.000]   on standing up against sort of the neo-racism
[00:19:16.000 --> 00:19:17.040]   from the left, let's say.
[00:19:17.040 --> 00:19:19.200]   And then all of a sudden I turn around
[00:19:19.200 --> 00:19:21.440]   and they're basically talking about how Bill Gates
[00:19:21.440 --> 00:19:23.520]   is putting 5G chips in our brain.
[00:19:23.520 --> 00:19:25.760]   And I think to myself, how did that happen?
[00:19:25.760 --> 00:19:27.440]   And I think the way that it happened
[00:19:27.440 --> 00:19:30.800]   is a really understandable human impulse,
[00:19:30.800 --> 00:19:34.480]   which is these people lied to me about this thing.
[00:19:34.480 --> 00:19:38.320]   Therefore, everything they say is untrue.
[00:19:38.320 --> 00:19:46.560]   Or the Overton window has been narrowed so, so tightly
[00:19:46.560 --> 00:19:49.840]   that I'm just gonna bling it open to, I don't know,
[00:19:49.840 --> 00:19:52.000]   someone that says that Churchill is a villain
[00:19:52.000 --> 00:19:54.960]   and the Nazis may have had a point.
[00:19:55.840 --> 00:20:00.560]   So that's what I think is actually happening more broadly.
[00:20:00.560 --> 00:20:04.560]   And I think the, I feel oftentimes at the Free Press,
[00:20:04.560 --> 00:20:06.720]   like we're dancing on the edge of a knife,
[00:20:06.720 --> 00:20:08.720]   which is to say on one side,
[00:20:08.720 --> 00:20:13.440]   you have these institutions that have the poor gatekeeping,
[00:20:13.440 --> 00:20:15.440]   but at least it's, I mean, they have gatekeeping,
[00:20:15.440 --> 00:20:16.560]   they have fact checkers,
[00:20:16.560 --> 00:20:19.520]   they have this whole system, right, that's corrupt,
[00:20:19.520 --> 00:20:22.080]   but at least it was supposed to work at one point.
[00:20:22.080 --> 00:20:24.560]   And then you have kind of the Wild West world.
[00:20:24.560 --> 00:20:27.360]   And the Wild West world has everything.
[00:20:27.360 --> 00:20:31.760]   And so you can see Alex Jones right alongside
[00:20:31.760 --> 00:20:35.280]   a fantastic journalist like Megyn Kelly,
[00:20:35.280 --> 00:20:39.280]   and how are you supposed to know who is who, right?
[00:20:39.280 --> 00:20:41.440]   And so that's the challenge, I think,
[00:20:41.440 --> 00:20:43.360]   of the new Wild West world.
[00:20:43.360 --> 00:20:46.320]   And what we're desperately trying to do at the Free Press
[00:20:46.320 --> 00:20:48.800]   is to be the bridge.
[00:20:48.800 --> 00:20:52.240]   And what I mean by that is to marry the standards
[00:20:52.240 --> 00:20:54.320]   that you would once expect from a place
[00:20:54.320 --> 00:20:57.200]   like the Washington Post or the New York Times.
[00:20:57.200 --> 00:21:00.400]   In other words, everything is rigorously fact-checked.
[00:21:00.400 --> 00:21:03.280]   When we get something wrong, we publicly correct it.
[00:21:03.280 --> 00:21:04.720]   Like all of those old rules,
[00:21:04.720 --> 00:21:07.600]   but marrying them to the sort of political freedom
[00:21:07.600 --> 00:21:08.240]   of the new world.
[00:21:08.240 --> 00:21:10.960]   - Can you take us into an instance where a contributor,
[00:21:10.960 --> 00:21:12.560]   'cause you have a lot of freelance contributors
[00:21:12.560 --> 00:21:15.600]   or just important people will want to publish now
[00:21:15.600 --> 00:21:17.360]   in the Free Press, which I think is a really good sign
[00:21:17.360 --> 00:21:19.760]   for you that you're doing something meaningful,
[00:21:19.760 --> 00:21:21.840]   that they submit something and you're like,
[00:21:21.840 --> 00:21:24.880]   "Okay, this is not actually reporting.
[00:21:24.880 --> 00:21:27.200]   "This is your opinion on a conspiracy.
[00:21:27.200 --> 00:21:31.040]   "And we need to maybe get some facts in here
[00:21:31.040 --> 00:21:33.680]   "to boister this opinion of yours."
[00:21:33.680 --> 00:21:37.120]   Because I mean, these dopes accepted $100,000
[00:21:37.120 --> 00:21:37.760]   and never asked it.
[00:21:37.760 --> 00:21:40.480]   So then people are gonna take their opinion on Ukraine
[00:21:40.480 --> 00:21:42.560]   and look at that as factual
[00:21:42.560 --> 00:21:43.680]   when they don't even question
[00:21:43.680 --> 00:21:46.000]   who gave them $100,000 an episode?
[00:21:46.000 --> 00:21:50.480]   I mean, these people are obviously idiots/corrupt.
[00:21:50.480 --> 00:21:50.960]   What do you think?
[00:21:50.960 --> 00:21:52.960]   - I wish I had read more about this particular story.
[00:21:52.960 --> 00:21:54.800]   - Well, no, it's infuriating
[00:21:54.800 --> 00:21:57.680]   because if somebody were to drop $100,000 on you
[00:21:57.680 --> 00:21:59.920]   to republish the Free Press on another website,
[00:21:59.920 --> 00:22:01.120]   you'd say, "Where's the money coming from?"
[00:22:01.120 --> 00:22:01.520]   Correct?
[00:22:01.520 --> 00:22:02.560]   - Yeah.
[00:22:02.560 --> 00:22:04.400]   - And why are we getting free money?
[00:22:04.400 --> 00:22:06.720]   - Yeah, we don't get free money,
[00:22:06.720 --> 00:22:08.640]   probably 'cause I'm too stupid to get free money.
[00:22:08.640 --> 00:22:09.600]   - No, no, it's the opposite.
[00:22:09.600 --> 00:22:10.960]   You're too smart so they wouldn't offer it.
[00:22:10.960 --> 00:22:11.680]   - Maybe.
[00:22:11.680 --> 00:22:15.440]   I mean, the scenario you're asking me to go into,
[00:22:15.440 --> 00:22:16.720]   that happens every single day.
[00:22:16.720 --> 00:22:20.400]   In other words, we're in a really excellent position
[00:22:20.400 --> 00:22:23.040]   where we turn down the majority of things
[00:22:23.040 --> 00:22:24.240]   that are submitted to us.
[00:22:24.240 --> 00:22:26.320]   And I think the thing that's really heartening
[00:22:26.320 --> 00:22:29.200]   is what our readers reward
[00:22:29.200 --> 00:22:33.440]   is the very thing that we were founded to get.
[00:22:33.440 --> 00:22:35.600]   In other words, when I left the New York Times,
[00:22:35.600 --> 00:22:38.160]   the Free Press, it was barryweiss.substack.com,
[00:22:38.160 --> 00:22:40.560]   and it began as a reactionary product, honestly.
[00:22:40.560 --> 00:22:43.120]   Now it's transformed itself,
[00:22:43.120 --> 00:22:46.320]   but it began as me being so pissed
[00:22:46.320 --> 00:22:49.360]   that they were ignoring and lying about so much.
[00:22:49.360 --> 00:22:52.080]   And those were the stories that I ran sort of headlong into,
[00:22:52.080 --> 00:22:55.120]   mostly institutional capture in the areas of law
[00:22:55.120 --> 00:22:56.960]   and medicine and education.
[00:22:56.960 --> 00:22:58.720]   But just to choose an example,
[00:22:58.720 --> 00:23:01.200]   a few hours ago, we sent Leighton Woodhouse,
[00:23:01.200 --> 00:23:02.160]   an amazing reporter.
[00:23:02.160 --> 00:23:04.640]   I saw, as everyone here did,
[00:23:04.640 --> 00:23:06.640]   that the 3rd Precinct in Minneapolis
[00:23:06.640 --> 00:23:10.240]   during the BLM protests and rioting burned to the ground
[00:23:10.240 --> 00:23:12.320]   and the cops abandoned that station.
[00:23:12.320 --> 00:23:16.000]   And I wondered, what do the cops in the 3rd Precinct,
[00:23:16.000 --> 00:23:18.000]   what do the small business owners there,
[00:23:18.000 --> 00:23:19.360]   what do they think about Tim Walz?
[00:23:19.360 --> 00:23:22.880]   Now that is a natural story that in a normal time,
[00:23:22.880 --> 00:23:25.680]   the New York Times would report on immediately
[00:23:25.680 --> 00:23:28.000]   when he was chosen, but they didn't.
[00:23:28.000 --> 00:23:29.360]   And so then we sent Leighton,
[00:23:29.360 --> 00:23:31.440]   and he interviewed two dozen police officers
[00:23:31.440 --> 00:23:32.880]   and small business owners,
[00:23:32.880 --> 00:23:35.680]   and that is the kind of thing that our readers want.
[00:23:35.680 --> 00:23:37.680]   They want new information,
[00:23:37.680 --> 00:23:41.200]   soberly presented and brilliantly written.
[00:23:41.200 --> 00:23:43.760]   They want really high quality things.
[00:23:43.760 --> 00:23:45.440]   And to me, that's one of the things
[00:23:45.440 --> 00:23:47.040]   about building the business has been the most heartening.
[00:23:47.040 --> 00:23:48.400]   David Sachs has not said a word.
[00:23:48.400 --> 00:23:53.680]   Well, let me, I can actually,
[00:23:53.680 --> 00:23:56.000]   let me agree with a few things you said.
[00:23:56.000 --> 00:23:59.040]   So first of all, I agree with you
[00:23:59.040 --> 00:24:01.680]   that the mainstream media is not just biased,
[00:24:01.680 --> 00:24:04.560]   it's just like all propaganda all the time.
[00:24:04.560 --> 00:24:08.240]   And the turning point for me in realizing this was COVID,
[00:24:08.240 --> 00:24:10.480]   I think before COVID, I realized that, yeah,
[00:24:10.480 --> 00:24:13.680]   the mainstream media is largely consists of liberals,
[00:24:13.680 --> 00:24:15.440]   so they're gonna have a liberal bias.
[00:24:15.440 --> 00:24:17.600]   What we saw during COVID was that
[00:24:17.600 --> 00:24:19.840]   they were even lying about science, right?
[00:24:19.840 --> 00:24:22.720]   It wasn't just politics, it's like everything.
[00:24:22.720 --> 00:24:25.440]   You know, we were told that the pandemic
[00:24:25.440 --> 00:24:27.040]   was a pandemic of the unvaccinated,
[00:24:27.040 --> 00:24:28.880]   even though, even if you got the,
[00:24:28.880 --> 00:24:30.000]   what they were calling the vaccine,
[00:24:30.000 --> 00:24:31.680]   it didn't actually stop the spread.
[00:24:31.680 --> 00:24:33.120]   You go on and on that, you know,
[00:24:33.120 --> 00:24:35.440]   we had to basically do social distancing,
[00:24:35.440 --> 00:24:37.600]   except when the riots of 2020 happened,
[00:24:37.600 --> 00:24:39.840]   then you're allowed to go outside and actually participate
[00:24:39.840 --> 00:24:41.520]   because it's a social justice cause,
[00:24:41.520 --> 00:24:43.040]   so therefore the health changes.
[00:24:43.040 --> 00:24:44.160]   I mean, it was like on and on.
[00:24:44.160 --> 00:24:46.000]   - No church, but you can go to a protest.
[00:24:46.000 --> 00:24:47.360]   - Right, right. - No surfing.
[00:24:47.360 --> 00:24:50.160]   - So it was like, for me, it became so obvious
[00:24:50.160 --> 00:24:54.080]   that the media is just, again, it goes way beyond bias.
[00:24:54.080 --> 00:24:56.160]   You know, it's like, it's just all wrong.
[00:24:56.160 --> 00:24:59.920]   Now at the same time, I think that you do raise a good point,
[00:24:59.920 --> 00:25:02.160]   which is once you're outside the world
[00:25:02.160 --> 00:25:05.520]   of the prestige media, yeah, you are kind of on your own.
[00:25:05.520 --> 00:25:07.600]   - You're naked. - You're on independent
[00:25:07.600 --> 00:25:08.640]   platforms.
[00:25:08.640 --> 00:25:11.360]   I use X to try and figure out, you know,
[00:25:11.360 --> 00:25:12.320]   who I should listen to.
[00:25:12.960 --> 00:25:17.120]   And the way I do it is I compare who said what
[00:25:17.120 --> 00:25:19.200]   compared to what actually happened.
[00:25:19.200 --> 00:25:23.280]   So like, who ended up being right about the issues?
[00:25:23.280 --> 00:25:24.880]   And then I will follow them more,
[00:25:24.880 --> 00:25:27.200]   and I will de-follow the people who are wrong.
[00:25:27.200 --> 00:25:28.720]   It's really simple.
[00:25:28.720 --> 00:25:30.480]   For example, on the issue of Ukraine,
[00:25:30.480 --> 00:25:34.160]   the number one quoted source in the mainstream media
[00:25:34.160 --> 00:25:37.840]   is a think tank called the Institute for the Study of War.
[00:25:37.840 --> 00:25:41.440]   It's basically a neocon-funded think tank
[00:25:41.440 --> 00:25:44.240]   who are the relatives of Victoria Nuland,
[00:25:44.240 --> 00:25:47.440]   who was the architect of our policy in Ukraine.
[00:25:47.440 --> 00:25:49.520]   Everything they've written over the past two and a half years
[00:25:49.520 --> 00:25:51.200]   about Ukraine has been proven wrong.
[00:25:51.200 --> 00:25:53.120]   They said that the summer counter-offensive
[00:25:53.120 --> 00:25:55.040]   last summer was going to be a giant victory.
[00:25:55.040 --> 00:25:56.720]   It ended up being a disaster.
[00:25:56.720 --> 00:25:58.160]   - Sorry, these are her relatives you're saying?
[00:25:58.160 --> 00:25:59.040]   - Her relatives.
[00:25:59.040 --> 00:26:01.840]   And the mainstream media, the New York Times and so on,
[00:26:01.840 --> 00:26:03.120]   quotes ISW.
[00:26:03.120 --> 00:26:06.560]   If you go look at the citations,
[00:26:06.560 --> 00:26:09.440]   it is the single most cited authority
[00:26:09.440 --> 00:26:12.160]   by the mainstream media,
[00:26:12.160 --> 00:26:13.760]   and they are consistently wrong.
[00:26:13.760 --> 00:26:15.600]   Who was right about the summer counter-offensive?
[00:26:15.600 --> 00:26:17.360]   Well, I was, for example.
[00:26:17.360 --> 00:26:20.640]   (audience laughing)
[00:26:20.640 --> 00:26:22.000]   - While we're handing out credit.
[00:26:22.000 --> 00:26:24.960]   - And I certainly didn't need to be paid by the Russians.
[00:26:24.960 --> 00:26:26.560]   I just figured out what the truth was.
[00:26:26.560 --> 00:26:27.440]   Okay, J. Cal?
[00:26:27.440 --> 00:26:32.560]   So, you know, you bring up these, you know,
[00:26:32.560 --> 00:26:36.080]   these stories about Russian influence or whatever.
[00:26:36.080 --> 00:26:38.640]   The real influence operation in this country
[00:26:38.640 --> 00:26:40.320]   is by the mainstream media.
[00:26:40.320 --> 00:26:42.880]   They're the ones who are spreading disinformation
[00:26:42.880 --> 00:26:45.520]   about the war in Ukraine and so many other issues
[00:26:45.520 --> 00:26:47.360]   on a scale that dwarfs
[00:26:47.360 --> 00:26:49.840]   what any of these like handful of podcasters
[00:26:49.840 --> 00:26:51.040]   that most people have never heard of
[00:26:51.040 --> 00:26:53.200]   can ever hope to accomplish.
[00:26:53.200 --> 00:26:55.280]   So in any event, I agree with you.
[00:26:55.280 --> 00:26:57.920]   - When's the foreign policy panel at this conference
[00:26:57.920 --> 00:26:58.720]   and can I join it?
[00:26:58.720 --> 00:27:00.720]   - Well, yeah, we're going to do.
[00:27:00.720 --> 00:27:02.320]   - Meir Scheimer and Sachs.
[00:27:02.320 --> 00:27:03.440]   - Jeffrey Sachs.
[00:27:03.440 --> 00:27:04.320]   - Meir Scheimer and Sachs.
[00:27:04.320 --> 00:27:05.680]   Sachs on Sachs on Meir Scheimer.
[00:27:05.680 --> 00:27:08.000]   - Well, look, I would, well, we're having,
[00:27:08.000 --> 00:27:09.760]   yeah, John Meir Scheimer and Jeffrey Sachs
[00:27:09.760 --> 00:27:11.040]   are speaking tomorrow.
[00:27:11.040 --> 00:27:12.720]   So they're doing a tete-a-tete.
[00:27:12.720 --> 00:27:13.920]   But yeah, if you want to stick around
[00:27:13.920 --> 00:27:16.000]   and we could have, maybe you and John,
[00:27:16.000 --> 00:27:17.040]   we can work that out.
[00:27:17.040 --> 00:27:17.840]   - I have a question.
[00:27:17.840 --> 00:27:19.600]   - You've got some time right now.
[00:27:19.600 --> 00:27:20.640]   - Right now?
[00:27:20.640 --> 00:27:21.360]   - You know what I mean?
[00:27:21.360 --> 00:27:22.480]   - No, no, go on.
[00:27:22.480 --> 00:27:23.840]   - Last year--
[00:27:23.840 --> 00:27:26.080]   - This would be like a many hours conversation.
[00:27:26.080 --> 00:27:28.240]   - Well, last year, one of the most popular
[00:27:28.240 --> 00:27:30.240]   things to come out of this
[00:27:30.240 --> 00:27:33.200]   was a talk about regulatory capture by Bill Gurley.
[00:27:33.200 --> 00:27:35.120]   And you mentioned that the first thing,
[00:27:35.120 --> 00:27:36.000]   Bill Gurley, someone--
[00:27:36.000 --> 00:27:37.840]   (audience applauding)
[00:27:37.840 --> 00:27:40.000]   - That's cheering for Bill and not regulatory capture.
[00:27:40.000 --> 00:27:40.720]   - Cheering for Bill.
[00:27:40.720 --> 00:27:42.480]   - Yeah, he's great.
[00:27:42.480 --> 00:27:43.840]   - But you said that when you left the Times,
[00:27:43.840 --> 00:27:46.560]   you threw yourself sort of like headfirst
[00:27:46.560 --> 00:27:49.920]   into the regulatory capture of the law
[00:27:49.920 --> 00:27:51.040]   and medicine and whatnot.
[00:27:51.040 --> 00:27:52.480]   What did you learn?
[00:27:52.480 --> 00:27:53.760]   - I wouldn't say regulatory capture.
[00:27:53.760 --> 00:27:55.040]   I would say ideological capture.
[00:27:55.040 --> 00:27:56.000]   - Ideological capture.
[00:27:56.000 --> 00:27:56.800]   Okay, so what did you learn?
[00:27:56.800 --> 00:27:59.920]   - Yeah, well, I mean, we've published so much on this.
[00:27:59.920 --> 00:28:04.240]   But basically the way in which institutions
[00:28:04.240 --> 00:28:05.840]   intended for one purpose
[00:28:05.840 --> 00:28:09.920]   have come to serve another one or another god.
[00:28:09.920 --> 00:28:12.640]   And in the case of medicine,
[00:28:12.640 --> 00:28:14.320]   which I would think would be
[00:28:14.320 --> 00:28:16.080]   maybe the most alarming in the law,
[00:28:16.080 --> 00:28:20.480]   not actually intending,
[00:28:20.480 --> 00:28:23.200]   I mean, the purpose of medicine is to do no harm.
[00:28:23.200 --> 00:28:26.640]   And yet all of a sudden in many hospitals
[00:28:26.640 --> 00:28:28.560]   and medical schools across the country,
[00:28:28.560 --> 00:28:32.000]   people were being told to do something very different,
[00:28:32.000 --> 00:28:34.480]   to mete out care based on race,
[00:28:34.480 --> 00:28:39.200]   to shuffle young teenage girls,
[00:28:39.200 --> 00:28:43.680]   especially toward irreversible changes in their bodies
[00:28:43.680 --> 00:28:45.120]   and things of that nature.
[00:28:45.120 --> 00:28:48.800]   So a lot of it comes back to the fundamental theme
[00:28:48.800 --> 00:28:51.040]   we've been sort of encircling in this conversation,
[00:28:51.040 --> 00:28:54.400]   which is that ideological change that's happened.
[00:28:54.400 --> 00:28:57.280]   And I think just to go back
[00:28:57.280 --> 00:28:59.040]   to where we began this conversation,
[00:28:59.040 --> 00:29:00.800]   it's like, where did all this come from?
[00:29:00.800 --> 00:29:03.520]   I don't think it's possible to understand these changes
[00:29:03.520 --> 00:29:06.480]   and like the rebel alliance maybe
[00:29:06.480 --> 00:29:08.560]   that's risen up against it
[00:29:08.560 --> 00:29:10.720]   without talking about technology
[00:29:10.720 --> 00:29:12.960]   and the reality that we,
[00:29:12.960 --> 00:29:16.000]   like 20 years ago, 30 years ago,
[00:29:16.000 --> 00:29:17.600]   I would have just left the New York Times
[00:29:17.600 --> 00:29:19.600]   and just maybe opened a diner
[00:29:19.600 --> 00:29:21.040]   and done something completely different.
[00:29:21.040 --> 00:29:23.120]   This would not have been available to me.
[00:29:23.120 --> 00:29:25.920]   And it's kind of unbelievable
[00:29:25.920 --> 00:29:29.760]   what's been made possible by technology.
[00:29:29.760 --> 00:29:31.360]   I mean, I'm not someone who,
[00:29:31.360 --> 00:29:33.120]   I've never managed a person in my life.
[00:29:33.120 --> 00:29:34.480]   I never raised money in my life.
[00:29:34.480 --> 00:29:36.240]   I never imagined I'd be an entrepreneur.
[00:29:36.240 --> 00:29:38.000]   I can barely log into Substack.
[00:29:38.000 --> 00:29:41.120]   And now I have a company with 50 full-time employees.
[00:29:41.120 --> 00:29:41.760]   It's unbelievable.
[00:29:41.760 --> 00:29:42.800]   - That's amazing.
[00:29:42.800 --> 00:29:43.600]   Congratulations.
[00:29:43.600 --> 00:29:44.640]   - That's founder mode.
[00:29:44.640 --> 00:29:46.640]   - That's the real founder mode.
[00:29:46.640 --> 00:29:50.000]   - And I would just add that,
[00:29:50.000 --> 00:29:52.000]   what the truth is on any particular issue
[00:29:52.000 --> 00:29:54.000]   is not always obvious.
[00:29:54.000 --> 00:29:56.080]   It's a process to figure it out.
[00:29:56.080 --> 00:29:58.320]   And so we have to have these alternatives
[00:29:58.320 --> 00:29:59.680]   in order to debate the issues
[00:29:59.680 --> 00:30:00.800]   and then arrive at the truth.
[00:30:00.800 --> 00:30:03.280]   And you, again, compare what people said
[00:30:03.280 --> 00:30:04.240]   to what actually happens.
[00:30:04.240 --> 00:30:06.560]   And you try to figure out who you can trust.
[00:30:06.560 --> 00:30:08.720]   And the good news is that today
[00:30:08.720 --> 00:30:09.760]   we have these alternatives.
[00:30:09.760 --> 00:30:11.120]   We have alternative media,
[00:30:11.120 --> 00:30:12.640]   of which your major part,
[00:30:12.640 --> 00:30:14.400]   All in Pod is a major part.
[00:30:14.400 --> 00:30:16.880]   And I think these alternatives are building
[00:30:16.880 --> 00:30:19.280]   in reaction to basically the corruption
[00:30:19.280 --> 00:30:20.080]   of the mainstream media,
[00:30:20.080 --> 00:30:21.600]   which I think you're spot on about.
[00:30:21.600 --> 00:30:23.840]   - I think that the challenge,
[00:30:23.840 --> 00:30:25.600]   at least I'll say for the free press,
[00:30:25.600 --> 00:30:28.160]   is there are a lot of people out there
[00:30:28.160 --> 00:30:29.520]   who their goal,
[00:30:29.520 --> 00:30:31.200]   and they're doing it beautifully,
[00:30:31.200 --> 00:30:33.600]   is to make a lot of money really quickly
[00:30:33.600 --> 00:30:38.240]   and to be very influential as one man bands.
[00:30:38.240 --> 00:30:40.240]   What we are trying to do
[00:30:40.240 --> 00:30:42.720]   is something much more long-term.
[00:30:42.720 --> 00:30:44.160]   We are trying in an age
[00:30:44.160 --> 00:30:46.400]   where no one trusts institutions anymore
[00:30:46.400 --> 00:30:49.440]   and they only trust individuals and influencers
[00:30:49.440 --> 00:30:52.240]   to stealthily build an institution.
[00:30:52.240 --> 00:30:55.120]   And what that requires is a kind of discipline
[00:30:55.120 --> 00:30:56.640]   to give up, and we do.
[00:30:57.200 --> 00:31:01.120]   A lot of things that would really stuff our pockets
[00:31:01.120 --> 00:31:02.960]   in the short term, not the Russians,
[00:31:02.960 --> 00:31:03.760]   but other things,
[00:31:03.760 --> 00:31:06.320]   for the sake of building
[00:31:06.320 --> 00:31:10.640]   what is to us the thing of the most value,
[00:31:10.640 --> 00:31:12.320]   which is trust with the audience.
[00:31:12.320 --> 00:31:16.400]   And they, I believe, see us doing that
[00:31:16.400 --> 00:31:17.760]   and see us publishing things
[00:31:17.760 --> 00:31:19.600]   that might enrage them,
[00:31:19.600 --> 00:31:20.640]   that they might disagree with,
[00:31:20.640 --> 00:31:21.440]   that might provoke them.
[00:31:21.440 --> 00:31:24.000]   And we think that that's just a part of,
[00:31:24.000 --> 00:31:25.680]   that is fundamental to our mission.
[00:31:25.680 --> 00:31:26.240]   - That's great.
[00:31:26.240 --> 00:31:28.240]   - Ladies and gentlemen, Mary Weiss.
[00:31:28.240 --> 00:31:28.480]   - Thank you.
[00:31:28.480 --> 00:31:29.480]   - Thank you very much.
[00:31:29.480 --> 00:31:32.640]   (audience applauding)
[00:31:32.640 --> 00:31:42.640]   [BLANK_AUDIO]

