
[00:00:00.000 --> 00:00:10.880]   Hi, everybody.
[00:46:26.180 --> 00:46:32.480]   that we're in specifically kind of couple transformation domain that we're in. Um, because pipeline
[00:46:32.480 --> 00:46:36.940]   knows that we want to be dealing with transforms. Um, it knows that if it gets a normal image
[00:46:36.940 --> 00:46:40.860]   and not a transform, it should turn it into a transform. So let's remove the at transform
[00:46:40.860 --> 00:47:01.480]   decorator from here and run this again. And I thought that was going to work. Um, oh, so
[00:47:01.480 --> 00:47:17.660]   I thought I had made that the default. Sorry, I think I forgot to export something.
[00:47:17.660 --> 00:47:43.000]   Yes, that is correct. So let's do that. So let's do that. So let's do that. So let's do,
[00:47:43.000 --> 00:48:12.080]   okay. Let's get the right order. So pipeline. Okay. So let's do that. So let's do that. So,
[00:48:12.080 --> 00:48:41.160]   let's add a new class. Let's say class. Okay. So let's do that. So let's do that. So let's,
[00:48:41.160 --> 00:49:08.080]   let's do that. Um, okay. So we put an image tuple pipeline, which is going to go. So if
[00:49:08.080 --> 00:49:26.720]   I add a transform back on here, and I've managed to break everything. Let's go do that. That's
[00:49:26.720 --> 00:49:42.000]   a problem with live coding, I guess. Oh, and now it's working again. What did I do wrong?
[00:49:42.000 --> 00:49:52.080]   Maybe I just want to restart properly. I guess I did. Okay. All right. Sorry about that delay.
[00:49:52.080 --> 00:50:04.360]   So what I was saying is that a pipeline knows that the things that's being passed need to
[00:50:04.360 --> 00:50:11.160]   be transforms. If we pass it something that's not a transform, so I've made this not a transform
[00:50:11.160 --> 00:50:23.080]   now. Um, so the cool thing is that pipeline will turn it into a transform automatically.
[00:50:23.080 --> 00:50:29.640]   So yes, David from people in the San Francisco study group, they say one of the best things
[00:50:29.640 --> 00:50:34.720]   is finding out how many errors I make. Um, apparently that's extremely, um, encouraging
[00:50:34.720 --> 00:50:41.120]   that I make lots. Uh, and I want the default behavior of the transform to encode and decode.
[00:50:41.120 --> 00:50:50.600]   Uh, yeah. So the default behavior of encode and decode is to do nothing at all. Um, so
[00:50:50.600 --> 00:50:55.720]   the decoder want, the decoder doesn't know what the image prior to the flip is. The decoder
[00:50:55.720 --> 00:51:02.320]   is not storing any state about what was decoded. It's just a function. So the decoder simply
[00:51:02.320 --> 00:51:09.760]   just returns whatever it's passed. It doesn't do anything. Uh, we haven't got to data box
[00:51:09.760 --> 00:51:22.280]   yet. So we'll talk about data box when we get there. Um, okay. And Kevin, I find I have
[00:51:22.280 --> 00:51:27.520]   a lot of troubles with auto reload, so I don't tend to use it, but you can actually just
[00:51:27.520 --> 00:51:33.720]   tap zero twice on the keyboard and it'll restart the kernel, um, which I thought I did before,
[00:51:33.720 --> 00:51:38.200]   but I might've forgotten. Um, and the other thing I do, I find super handy is I go edit
[00:51:38.200 --> 00:51:49.200]   keyboard shortcuts and well, why don't I see any edit shortcuts? Edit keyboard shortcuts.
[00:51:49.200 --> 00:51:55.320]   Apparently you put it is currently broken. That's weird. Um, anyway, I add a keyboard
[00:51:55.320 --> 00:52:02.760]   shortcut for, um, um, running all the cells above the current cursor, which normally you
[00:52:02.760 --> 00:52:08.480]   can do with edit keyboard shortcuts. Um, so I can just go zero zero to restart and then
[00:52:08.480 --> 00:52:23.280]   I go a to run above and that gets me back to where I am. Um, okay. Um, so hopefully you
[00:52:23.280 --> 00:52:34.040]   can kind of see how, um, this approach allows us to, um, kind of use normal Python functions,
[00:52:34.040 --> 00:52:39.480]   but in a way that is kind of dispatched and composed in a way that makes more sense for
[00:52:39.480 --> 00:52:47.840]   data processing pipelines than the default approach that Python gives us. Um, but the
[00:52:47.840 --> 00:52:55.360]   nice thing is they're, um, they're not, they're not that different, you know? So like it's,
[00:52:55.360 --> 00:52:59.440]   it's, it's just kind of call, you know, the function just behaves like a normal function
[00:52:59.440 --> 00:53:10.320]   unless you add type annotations, uh, and so forth. Um, okay. So this is making good progress
[00:53:10.320 --> 00:53:26.200]   here. Um, so then, um, yeah, so we don't need to actually define my tensor image because,
[00:53:26.200 --> 00:53:39.440]   um, uh, we already have, um, a answer image class, which we can use. Um, but as you can
[00:53:39.440 --> 00:53:47.120]   see, it's actually defined exactly the same way. Um, so that's the one that we should
[00:53:47.120 --> 00:54:06.200]   be using, um, so that's, um, and I guess we might as well just say T image dot on and
[00:54:06.200 --> 00:54:12.880]   let's restart. And then we don't need my int because we've actually defined something called
[00:54:12.880 --> 00:54:21.040]   int as I mentioned in exactly the same way. Int again, just pass, but it's also got a
[00:54:21.040 --> 00:54:50.840]   show on it. Um, so that's now going to be a tensor image. There we go. Oh, um, okay.
[00:54:50.840 --> 00:55:01.200]   There we are. So then the last piece of this puzzle, um, for now is that we might want,
[00:55:01.200 --> 00:55:11.720]   let's make our load image thing into a transform as well. Um, so the fine, um, create image
[00:55:11.720 --> 00:55:21.120]   with some file name and we're going to, it's actually going to be like, uh, I guess we're
[00:55:21.120 --> 00:55:32.000]   actually going to create an image. And so we're going to return, um, answer array. Um,
[00:55:32.000 --> 00:55:51.280]   image, sorry, load image X, um, that we could do that. And so now we could use that here.
[00:55:51.280 --> 00:56:12.320]   And let's restart the image, the image done all above. Okay. So there you go. Now the point
[00:56:12.320 --> 00:56:17.840]   about this though, is that what we actually want risk to be is because you know, it's
[00:56:17.840 --> 00:56:23.080]   an image, not just any odd tensor. We want to avoid having kind of non semantically typed
[00:56:23.080 --> 00:56:28.600]   tensors wherever possible. Cause then we, or first AI doesn't know what to do with them,
[00:56:28.600 --> 00:56:42.560]   but this is currently just a tensor. So we can just say that should be a and so our image
[00:56:42.560 --> 00:56:50.120]   and it will cast it, uh, should cast it for us. Oh, and of course, unless it's in a pipeline,
[00:56:50.120 --> 00:57:02.000]   we need to tell it it's a transform for any magic to happen. Okay. Um, in practice, I basically
[00:57:02.000 --> 00:57:09.200]   pretty much never need to run transforms outside of a pipeline, um, except for testing. So,
[00:57:09.200 --> 00:57:14.080]   um, you'll see a lot of things that don't have decorators, um, because we basically always
[00:57:14.080 --> 00:57:23.680]   use them in the pipeline, which you can see. Um, for example, we just went pipeline and
[00:57:23.680 --> 00:57:30.880]   pass that in. That would work as well. Okay. Cause there's a pipeline with just one, uh,
[00:57:30.880 --> 00:57:44.720]   something being composed, um, or of course, alternatively, it could do this and that would
[00:57:44.720 --> 00:57:55.120]   work too. Um, but heck out of having return types is kind of nicer because it's just going
[00:57:55.120 --> 00:58:00.240]   to ensure that it's, it's cast properly for you and it won't bother casting it if it's
[00:58:00.240 --> 00:58:09.520]   already the right type. Um, just kind of nice. Um, okay. Random orientations we will get to
[00:58:09.520 --> 00:58:18.160]   later. Um, but if you're interested in looking ahead, you'll find that there is a, um, thing
[00:58:18.160 --> 00:58:34.960]   called efficient augment where you can find that stuff developed. Um, okay. So, um, you
[00:58:34.960 --> 00:58:41.200]   know, you don't need to learn anything about or understand anything about pipe dispatch
[00:58:41.200 --> 00:58:48.080]   or meta classes or any of that stuff to use this any more than to use, um, Python's default,
[00:58:48.080 --> 00:58:55.520]   uh, function dispatch. You don't have to learn anything about, you know, um, the, the workings
[00:58:55.520 --> 00:59:01.600]   of Python's type dispatch system. Um, you just have to know what it does. Um, but we're going
[00:59:01.600 --> 00:59:05.680]   to be spending time looking to see how it works because that's what code walkthrough
[00:59:05.680 --> 00:59:14.480]   is all about, but you certainly don't have to understand it to use any of this. Um, so
[00:59:14.480 --> 00:59:21.040]   the next thing to be aware of is that both pipelines and tenses, um, when you create
[00:59:21.040 --> 00:59:30.720]   them, you can pass an optional additional argument as item, uh, which is true or false.
[00:59:30.720 --> 00:59:38.640]   Um, as item equals false gives you the behavior that we've seen, um, which is that it, um,
[00:59:38.640 --> 00:59:44.480]   uh, well, if given a tuple or some kind of listy type of thing, it will operate on each
[00:59:44.480 --> 00:59:53.800]   element of the collection. Um, but if you say as item equals, uh, true, um, then it won't,
[00:59:53.800 --> 00:59:59.600]   it basically turns that behavior off. Um, so you can actually see that in the definition
[00:59:59.600 --> 01:00:11.360]   of transform, um, here it says if use as item, which returns soft as item, then just call
[01:00:11.360 --> 01:00:19.560]   the function. Uh, and then otherwise it will do the loop that in this case it's a couple
[01:00:19.560 --> 01:00:30.360]   comprehension. So, uh, you can easily turn off that behavior, um, by saying as item equals
[01:00:30.360 --> 01:00:41.880]   true either in the pipeline, uh, or in the transform. Um, the, um, there are predefined,
[01:00:41.880 --> 01:00:49.240]   uh, subclasses of transform as you can see called couple transform and item transform.
[01:00:49.240 --> 01:00:54.360]   And they actually set as item force equals false and true. And the force versions of
[01:00:54.360 --> 01:01:00.120]   these mean that even if later on you create a pipeline with as item equals something,
[01:01:00.120 --> 01:01:06.840]   um, it won't change those transforms. So if you create an couple transform or an item transform,
[01:01:06.840 --> 01:01:13.880]   then you can know that all the time, no matter what, it will have the behavior that you requested.
[01:01:13.880 --> 01:01:21.400]   So why does pipeline have this, uh, as item equals true false thing. So what that does
[01:01:21.400 --> 01:01:28.120]   is pipeline simply will go through. So you can see pipeline in the constructor called
[01:01:28.120 --> 01:01:35.920]   set as item that simply goes through each function in the pipeline and sets as item.
[01:01:35.920 --> 01:01:43.840]   Um, and the reason we do that is that, um, depending on kind of where you are in the
[01:01:43.840 --> 01:01:49.600]   data, the full data processing, processing pipeline, um, sometimes you want kind of tuple
[01:01:49.600 --> 01:02:01.160]   behavior and sometimes you want item behavior and specifically, um, up until you, um, uh,
[01:02:01.160 --> 01:02:07.520]   create your batch together, you kind of have, uh, two separate, uh, pipelines going on.
[01:02:07.520 --> 01:02:18.600]   So each, each pipeline is being separately applied to mind you from, uh, the pets tutorial.
[01:02:18.600 --> 01:02:25.760]   We have two totally separate pipelines. So since each of those is only being applied
[01:02:25.760 --> 01:02:37.040]   to, um, one item at a time, not to tuples, um, the, uh, uh, uh, the, the fast.ai pipeline
[01:02:37.040 --> 01:02:44.040]   will automatically set as item equals true for those because they don't have, uh, they
[01:02:44.040 --> 01:02:50.280]   haven't been combined into tuples yet. Um, and then later on in the process, it will
[01:02:50.280 --> 01:02:56.120]   set as item equals false, uh, basically after they've been pulled out of datasets. So by
[01:02:56.120 --> 01:03:03.000]   the time they get to the data loader, um, it'll use, uh, false. Um, and we'll see more
[01:03:03.000 --> 01:03:10.040]   of that later. Um, but that's a little, little thing to be aware of. So basically it just
[01:03:10.040 --> 01:03:17.080]   tries to do the right thing, um, for you. Um, but you know, you don't have to use any
[01:03:17.080 --> 01:03:39.840]   of that functionality, of course, if you don't want to. Um, okay. Okay. All right. Well,
[01:03:39.840 --> 01:03:48.100]   I think that's, um, enough for today. Give us a good introduction to pipelines and transforms.
[01:03:48.100 --> 01:03:53.360]   Um, and, uh, yeah, again, happy to take requests on the forum for what you'd like to look at
[01:03:53.360 --> 01:03:59.480]   next. Otherwise, um, yeah, maybe we'll start going deeper dive into how these things are
[01:03:59.480 --> 01:04:05.680]   actually put together. Um, we'll see where we go. Okay. Thanks everybody. See you tomorrow.
[01:04:05.680 --> 01:04:15.680]   [BLANK_AUDIO]

