
[00:00:00.040 --> 00:00:09.260]   alkal
[00:29:23.120 --> 00:29:23.120]   I want them to build the skill and the practice of, of doing something.
[00:29:23.120 --> 00:29:23.120]   I want them to build the skill and the practice of, of doing something.
[00:29:23.120 --> 00:29:23.120]   I want them to build the skill and the practice of, of doing something.
[00:29:23.160 --> 00:29:53.140]   I want them to build the skill and the practice of, of doing something.
[00:29:53.140 --> 00:29:53.140]   I want them to build the skill and the practice of, of doing something.
[00:29:53.140 --> 00:29:53.140]   I want them to build the skill and the practice of, of doing something.
[00:29:53.140 --> 00:29:53.140]   I want them to build the skill and the practice of, of doing something.
[00:29:53.140 --> 00:29:53.140]   I want them to build the skill and the practice of, of doing something.
[00:29:53.140 --> 00:29:53.140]   I want them to build the skill and the practice of, of doing something.
[00:29:53.140 --> 00:29:53.140]   I want them to build the skill and the practice of, of doing something.
[00:29:53.140 --> 00:29:53.140]   I want them to build the skill and the practice of, of doing something.
[00:29:53.160 --> 00:30:23.160]   I want them to build the skill and the practice of, of doing something.
[00:30:23.160 --> 00:30:23.160]   I want them to build the skill and the practice of, of doing something.
[00:30:23.160 --> 00:30:23.160]   I want them to build the skill and the practice of, of doing something.
[00:30:23.160 --> 00:30:23.160]   I want them to build the skill and the practice of, of doing something.
[00:30:23.160 --> 00:30:23.160]   I want them to build the skill and the practice of, of doing something.
[00:30:23.160 --> 00:30:23.160]   I want them to build the skill and the practice of, of doing something.
[00:30:23.160 --> 00:30:23.160]   I want them to build the skill and the practice of, of doing something.
[00:30:23.160 --> 00:30:23.160]   I want them to build the skill and the practice of, of doing something.
[00:30:23.160 --> 00:30:23.160]   I want them to build the skill and the practice of, of doing something.
[00:30:23.160 --> 00:30:23.160]   I want them to build the skill and the practice of, of doing something.
[00:30:23.160 --> 00:30:23.160]   I want them to build the skill and the practice of, of doing something.
[00:30:23.160 --> 00:30:23.160]   I want them to build the skill and the practice of, of doing something.
[00:30:23.200 --> 00:30:53.180]   I want them to build the skill and the practice of, of doing something.
[00:30:53.180 --> 00:30:53.180]   I want them to build the skill and the practice of, of doing something.
[00:30:53.180 --> 00:30:53.180]   I want them to build the skill and the practice of, of doing something.
[00:30:53.180 --> 00:30:53.180]   I want them to build the skill and the practice of, of doing something.
[00:30:53.180 --> 00:30:53.180]   I want them to build the skill and the practice of, of doing something.
[00:30:53.180 --> 00:30:53.180]   I want them to build the skill and the practice of, of doing something.
[00:30:53.180 --> 00:30:53.180]   I want them to build the skill and the practice of, of doing something.
[00:30:53.180 --> 00:30:53.180]   I want them to build the skill and the practice of, of doing something.
[00:30:53.180 --> 00:30:53.180]   I want them to build the skill and the practice of, of doing something.
[00:30:53.200 --> 00:31:23.200]   It just seems to me that that is such a profoundly impactful part of my life.
[00:31:23.200 --> 00:31:23.200]   It just seems to me that that is such a profoundly impactful part of my life.
[00:31:23.200 --> 00:31:23.200]   It just seems to me that that is such a profoundly impactful part of my life.
[00:31:23.200 --> 00:31:23.200]   It just seems to me that that is such a profoundly impactful part of my life.
[00:31:23.200 --> 00:31:23.200]   It just seems to me that that is such a profoundly impactful part of my life.
[00:31:23.200 --> 00:31:23.200]   It just seems to me that that is such a profoundly impactful part of my life.
[00:31:23.200 --> 00:31:23.200]   It just seems to me that that is such a profoundly impactful part of my life.
[00:31:23.200 --> 00:31:23.200]   It just seems to me that that is such a profoundly impactful part of my life.
[00:31:23.200 --> 00:31:23.200]   It just seems to me that that is such a profoundly impactful part of my life.
[00:31:23.200 --> 00:31:23.200]   It just seems to me that that is such a profoundly impactful part of my life.
[00:31:23.200 --> 00:31:23.200]   It just seems to me that that is such a profoundly impactful practice of doing something.
[00:31:23.240 --> 00:31:53.220]  ,
[00:31:53.220 --> 00:31:53.220]   It just seems to me that that is such a profoundly impactful practice of doing something.
[00:31:53.220 --> 00:31:53.220]   It just seems to me that that is such a profoundly impactful practice of doing something.
[00:31:53.220 --> 00:31:53.220]   It just seems to me that that that is such a profoundly impactful practice of doing something.
[00:31:53.220 --> 00:31:53.220]   It just seems to me that that that is such a profoundly impactful practice of doing something.
[00:31:53.220 --> 00:31:53.220]   It just seems to me that that that is such a profoundly impactful practice of doing something.
[00:31:53.220 --> 00:31:53.220]   It just seems to me that that that is such a profoundly impactful practice of doing something.
[00:31:53.220 --> 00:31:53.220]   It just seems to me that that that is such a profoundly impactful practice of doing something.
[00:31:53.220 --> 00:31:53.220]   It just seems to me that that that is such a profoundly impactful practice of doing something.
[00:32:23.280 --> 00:32:53.260]  ,
[00:32:53.260 --> 00:32:53.260]   I don't think I would do it exactly that way.
[00:32:53.260 --> 00:32:53.260]   Having two dogs is in some ways a real blessing.
[00:32:53.260 --> 00:32:53.260]   Having two dogs is in some ways a real blessing.
[00:32:53.260 --> 00:32:53.260]   Having two dogs is in some ways a real blessing.
[00:32:53.260 --> 00:32:53.260]   Having two dogs is in some ways a real blessing.
[00:32:53.260 --> 00:32:53.260]   Having two dogs is in some ways a real blessing.
[00:32:53.260 --> 00:32:53.260]   Having two dogs is in some ways a real blessing.
[00:32:53.260 --> 00:32:53.260]   Having two dogs is in some ways a real blessing.
[00:32:53.260 --> 00:32:53.260]   Having two dogs is in some ways a real blessing.
[00:32:53.260 --> 00:32:53.260]   Having two dogs is in some ways a real blessing.
[00:32:53.260 --> 00:32:53.260]   Having two dogs is in some ways a real blessing.
[00:32:53.260 --> 00:32:53.260]   Having two dogs is in some ways a real blessing.
[00:32:53.260 --> 00:32:53.260]   Having two dogs is in some ways a real blessing.
[00:32:53.260 --> 00:32:53.260]   If I were to do it over again though, I don't think I would do it exactly that way.
[00:32:53.260 --> 00:32:53.260]   I don't think I would do it exactly that way.
[00:32:53.260 --> 00:33:23.280]   If I were to do it over again though, I don't think I would do it exactly that way.
[00:33:23.280 --> 00:33:23.280]   If I were to do it over again though, I don't think I would do it exactly that way.
[00:33:23.280 --> 00:33:23.280]   If I were to do it over again though, I don't think I would do it exactly that way.
[00:33:23.280 --> 00:33:23.280]   If I were to do it over again though, I don't think I would do it exactly that way.
[00:33:23.280 --> 00:33:23.280]   If I were to do it over again though, I don't think I would do it exactly that way.
[00:33:23.280 --> 00:33:23.280]   If I were to do it over again though, I don't think I would do it exactly that way.
[00:33:23.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:33:53.300]   I don't think I would do it exactly that way.
[00:33:53.300 --> 00:34:23.320]   I don't think I would do it exactly that way.
[00:34:23.320 --> 00:34:23.320]   I don't think I would do it exactly that way.
[00:34:23.320 --> 00:34:23.320]   I don't think I would do it exactly that way.
[00:34:23.320 --> 00:34:23.320]   I don't think I would do it exactly that way.
[00:34:23.320 --> 00:34:23.320]   I don't think I would do it exactly that way.
[00:34:23.320 --> 00:34:23.320]   I don't think I would do it exactly that way.
[00:34:23.320 --> 00:34:23.320]   I don't think I would do it exactly that way.
[00:34:23.320 --> 00:34:23.320]   I don't think I would do it exactly that way.
[00:34:23.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:34:53.340]   I don't think I would do it exactly that way.
[00:34:53.340 --> 00:35:23.360]   I don't think I would do it exactly that way.
[00:35:23.360 --> 00:35:23.360]   I don't think I would do it exactly that way.
[00:35:23.360 --> 00:35:23.360]   I don't think I would do it exactly that way.
[00:35:23.360 --> 00:35:23.360]   I don't think I would do it exactly that way.
[00:35:23.360 --> 00:35:23.360]   I don't think I would do it exactly that way.
[00:35:23.360 --> 00:35:23.360]   I don't think I would do it exactly that way.
[00:35:23.360 --> 00:35:23.360]   I don't think I would do it exactly that way.
[00:35:23.360 --> 00:35:23.360]   I don't think I would do it exactly that way.
[00:35:23.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:35:53.380]   I don't think I would do it exactly that way.
[00:35:53.380 --> 00:36:23.400]   I don't think I would do it exactly that way.
[00:36:23.400 --> 00:36:23.400]   I don't think I would do it exactly that way.
[00:36:23.400 --> 00:36:23.400]   I don't think I would do it exactly that way.
[00:36:23.400 --> 00:36:23.400]   I don't think I would do it exactly that way.
[00:36:23.400 --> 00:36:23.400]   I don't think I would do it exactly that way.
[00:36:23.400 --> 00:36:23.400]   I don't think I would do it exactly that way.
[00:36:23.400 --> 00:36:23.400]   I don't think I would do it exactly that way.
[00:36:23.400 --> 00:36:23.400]   I don't think I would do it exactly that way.
[00:36:23.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:36:53.420]   I don't think I would do it exactly that way.
[00:36:53.420 --> 00:37:23.440]   I don't think I would do it exactly that way.
[00:37:23.440 --> 00:37:23.440]   I don't think I would do it exactly that way.
[00:37:23.440 --> 00:37:23.440]   I don't think I would do it exactly that way.
[00:37:23.440 --> 00:37:23.440]   I don't think I would do it exactly that way.
[00:37:23.440 --> 00:37:23.440]   I don't think I would do it exactly that way.
[00:37:23.440 --> 00:37:23.440]   I don't think I would do it exactly that way.
[00:37:23.440 --> 00:37:23.440]   I don't think I would do it exactly that way.
[00:37:23.440 --> 00:37:23.440]   I don't think I would do it exactly that way.
[00:37:23.440 --> 00:37:23.440]   I don't think I would do it exactly that way.
[00:37:23.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:37:53.460]   I don't think I would do it exactly that way.
[00:37:53.460 --> 00:38:23.480]   I don't think I would do it exactly that way.
[00:38:23.480 --> 00:38:23.480]   I don't think I would do it exactly that way.
[00:38:23.480 --> 00:38:23.480]   I don't think I would do it exactly that way.
[00:38:23.480 --> 00:38:23.480]   I don't think I would do it exactly that way.
[00:38:23.480 --> 00:38:23.480]   I don't think I would do it exactly that way.
[00:38:23.480 --> 00:38:23.480]   I don't think I would do it exactly that way.
[00:38:23.480 --> 00:38:23.480]   I don't think I would do it exactly that way.
[00:38:23.480 --> 00:38:23.480]   I don't think I would do it exactly that way.
[00:38:23.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I would do it exactly that way.
[00:38:53.500 --> 00:38:53.500]   I don't think I wouldn't do it exactly that way.
[00:38:53.500 --> 00:39:23.520]   I don't think I would do it exactly that way.
[00:39:23.520 --> 00:39:23.520]   I don't think I would do it exactly that way.
[00:39:23.520 --> 00:39:23.520]   I don't think I would do it exactly that way.
[00:39:23.520 --> 00:39:23.520]   I don't think I would do it exactly that way.
[00:39:23.520 --> 00:39:23.520]   I don't think I would do it exactly that way.
[00:39:23.520 --> 00:39:23.520]   I don't think I would do it exactly that way.
[00:39:23.520 --> 00:39:23.520]   I don't think I would do it exactly that way.
[00:39:23.520 --> 00:39:23.520]   I don't think I would do it exactly that way.
[00:39:23.520 --> 00:39:23.520]   I don't think I would do it exactly that way.
[00:39:23.520 --> 00:39:23.520]   I don't think I would do it exactly that way.
[00:39:23.520 --> 00:39:23.520]   I don't think I would do it exactly that way.
[00:39:23.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.540 --> 00:39:53.540]   I don't think I would do it exactly that way.
[00:39:53.560 --> 00:40:23.560]   I don't think I would do it exactly that way.
[00:40:23.560 --> 00:40:23.560]   I don't think I would do it exactly that way.
[00:40:23.560 --> 00:40:23.560]   I don't think I would do it exactly that way.
[00:40:23.560 --> 00:40:23.560]   I don't think I would do it exactly that way.
[00:40:23.560 --> 00:40:23.560]   I don't think I would do it exactly that way.
[00:40:23.560 --> 00:40:23.560]   I don't think I would do it exactly that way.
[00:40:23.560 --> 00:40:23.560]   I don't think I would do it exactly that way.
[00:40:23.560 --> 00:40:23.560]   I don't think I would do it exactly that way.
[00:40:23.560 --> 00:40:23.560]   I don't think I would do it exactly that way.
[00:40:23.560 --> 00:40:23.560]   I don't think I would do it exactly that way.
[00:40:23.600 --> 00:40:53.580]   I don't think I would do it exactly that way.
[00:40:53.580 --> 00:40:53.580]   I don't think I would do it exactly that way.
[00:40:53.580 --> 00:40:53.580]   I don't think I would do it exactly that way.
[00:40:53.580 --> 00:40:53.580]   I don't think I would do it exactly that way.
[00:40:53.580 --> 00:40:53.580]   I don't think I would do it exactly that way.
[00:40:53.580 --> 00:40:53.580]   I don't think I would do it exactly that way.
[00:40:53.580 --> 00:40:53.580]   I don't think I would do it exactly that way.
[00:40:53.580 --> 00:40:53.580]   I don't think I would do it exactly that way.
[00:40:53.580 --> 00:40:53.580]   I don't think I would do it exactly that way.
[00:40:53.580 --> 00:40:53.580]   I don't think I would do it exactly that way.
[00:40:53.580 --> 00:40:53.580]   I don't think I would do it exactly that way.
[00:40:53.580 --> 00:40:53.580]   I don't think I would do it exactly that way.
[00:40:53.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I would do it exactly that way.
[00:41:23.600 --> 00:41:23.600]   I don't think I wouldn't do it exactly that way.
[00:41:23.600 --> 00:41:53.620]   I don't think I would do it exactly that way.
[00:41:53.620 --> 00:41:53.620]   I don't think I would do it exactly that way.
[00:41:53.620 --> 00:41:53.620]   I don't think I would do it exactly that way.
[00:41:53.620 --> 00:41:53.620]   I don't think I would do it exactly that way.
[00:41:53.620 --> 00:41:53.620]   I don't think I would do it exactly that way.
[00:41:53.620 --> 00:41:53.620]   I don't think I would do it exactly that way.
[00:41:53.620 --> 00:41:53.620]   I don't think I would do it exactly that way.
[00:41:53.620 --> 00:41:53.620]   I don't think I would do it exactly that way.
[00:41:53.620 --> 00:41:53.620]   I don't think I would do it exactly that way.
[00:41:53.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:23.640]   I don't think I would do it exactly that way.
[00:42:23.640 --> 00:42:53.660]   I don't think I would do it exactly that way.
[00:42:53.660 --> 00:42:53.660]   I don't think I would do it exactly that way.
[00:42:53.660 --> 00:42:53.660]   I don't think I would do it exactly that way.
[00:42:53.660 --> 00:42:53.660]   I don't think I would do it exactly that way.
[00:42:53.660 --> 00:42:53.660]   I don't think I would do it exactly that way.
[00:42:53.660 --> 00:42:53.660]   I don't think I would do it exactly that way.
[00:42:53.660 --> 00:42:53.660]   I don't think I would do it exactly that way.
[00:42:53.660 --> 00:42:53.660]   I don't think I would do it exactly that way.
[00:42:53.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:23.680]   I don't think I would do it exactly that way.
[00:43:23.680 --> 00:43:53.700]   I don't think I would do it exactly that way.
[00:43:53.700 --> 00:43:53.700]   I don't think I would do it exactly that way.
[00:43:53.700 --> 00:43:53.700]   I don't think I would do it exactly that way.
[00:43:53.700 --> 00:43:53.700]   I don't think I would do it exactly that way.
[00:43:53.700 --> 00:43:53.700]   I don't think I would do it exactly that way.
[00:43:53.700 --> 00:43:53.700]   I don't think I would do it exactly that way.
[00:43:53.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:23.720]   I don't think I would do it exactly that way.
[00:44:23.720 --> 00:44:53.740]   I don't think I would do it exactly that way.
[00:44:53.740 --> 00:44:53.740]   I don't think I would do it exactly that way.
[00:44:53.740 --> 00:44:53.740]   I don't think I would do it exactly that way.
[00:44:53.740 --> 00:44:53.740]   I don't think I would do it exactly that way.
[00:44:53.740 --> 00:44:53.740]   I don't think I would do it exactly that way.
[00:44:53.740 --> 00:44:53.740]   I don't think I would do it exactly that way.
[00:44:53.740 --> 00:44:53.740]   I don't think I would do it exactly that way.
[00:44:53.740 --> 00:44:53.740]   I don't think I would do it exactly that way.
[00:44:53.740 --> 00:44:53.740]   I don't think I would do it exactly that way.
[00:44:53.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:23.760]   I don't think I would do it exactly that way.
[00:45:23.760 --> 00:45:53.780]   I don't think I would do it exactly that way.
[00:45:53.780 --> 00:45:53.780]   I don't think I would do it exactly that way.
[00:45:53.780 --> 00:45:53.780]   I don't think I would do it exactly that way.
[00:45:53.780 --> 00:45:53.780]   I don't think I would do it exactly that way.
[00:45:53.780 --> 00:45:53.780]   I don't think I would do it exactly that way.
[00:45:53.780 --> 00:45:53.780]   I don't think I would do it exactly that way.
[00:45:53.780 --> 00:45:53.780]   I don't think I would do it exactly that way.
[00:45:53.780 --> 00:45:53.780]   I don't think I would do it exactly that way.
[00:45:53.780 --> 00:45:53.780]   I don't think I would do it exactly that way.
[00:45:53.780 --> 00:45:53.780]   I don't think I would do it exactly that way.
[00:45:53.820 --> 00:46:04.100]  胡
[00:46:04.100 --> 00:46:08.160]   e, we have,
[00:46:08.160 --> 00:46:21.760]  动 demanded şeyRAC á informed " " He is a definitely coriander часов for a CSS, but, the, and, was, and, and, and, and, and, and, and, and, and, make, and, and, and, and, and, and, corre, Und, fun. Pro.TE. In.�. Guitar. provides the.er. organ. torn. DS. end.
