
[00:00:00.000 --> 00:00:02.040]   And we are live.
[00:19:48.320 --> 00:19:50.800]   like the gradient for each snapshot.
[00:19:50.800 --> 00:19:52.920]   That would be like the basically the gradient heat map
[00:19:52.920 --> 00:19:55.080]   of that image at that particular snapshot.
[00:19:55.080 --> 00:19:56.920]   But what we are trying to do here is we're trying
[00:19:56.920 --> 00:19:59.760]   to calculate the variance of those heat maps,
[00:19:59.760 --> 00:20:01.200]   gradient heat maps in this case
[00:20:01.200 --> 00:20:02.760]   across all the different checkpoints
[00:20:02.760 --> 00:20:04.480]   and then calculate the variance.
[00:20:04.480 --> 00:20:05.320]   - I see.
[00:20:05.320 --> 00:20:08.480]   And one set of questions I really wanted
[00:20:08.480 --> 00:20:11.480]   to kind of dive in a little bit is what you can do
[00:20:11.480 --> 00:20:15.680]   with this variance of gradient just on the basis of,
[00:20:15.680 --> 00:20:17.720]   like without doing any training actually.
[00:20:17.720 --> 00:20:19.720]   So like at the very beginning,
[00:20:19.720 --> 00:20:21.840]   I haven't done anything with my data set.
[00:20:21.840 --> 00:20:23.720]   I have a random network.
[00:20:23.720 --> 00:20:25.720]   Like, would you be able to look at the variance
[00:20:25.720 --> 00:20:28.200]   of the gradient like across random initializations
[00:20:28.200 --> 00:20:30.240]   to get a sense for something like this metric
[00:20:30.240 --> 00:20:32.160]   or is it really important that it's the same network,
[00:20:32.160 --> 00:20:34.560]   the same architecture over time?
[00:20:34.560 --> 00:20:36.880]   - So if I understand the question correctly,
[00:20:36.880 --> 00:20:39.200]   are you asking whether we can serve
[00:20:39.200 --> 00:20:43.680]   as a prior information before the actual training starts?
[00:20:43.680 --> 00:20:45.920]   - Yeah, that's the general direction I'm pushing.
[00:20:45.920 --> 00:20:48.360]   The first idea I had in that direction was just like,
[00:20:48.360 --> 00:20:50.800]   let's try five different random initializations
[00:20:50.800 --> 00:20:53.080]   and do VOG across that.
[00:20:53.080 --> 00:20:54.120]   - That's a good question.
[00:20:54.120 --> 00:20:56.120]   So we did try this thing up,
[00:20:56.120 --> 00:21:00.960]   but actually you presented a good point here.
[00:21:00.960 --> 00:21:03.160]   So what you're basically saying is,
[00:21:03.160 --> 00:21:04.960]   in the stability experiment,
[00:21:04.960 --> 00:21:07.920]   we trained five different models.
[00:21:07.920 --> 00:21:10.080]   What you're basically suggesting is we don't train them.
[00:21:10.080 --> 00:21:13.160]   We just initialize them and calculate the VOG
[00:21:13.160 --> 00:21:15.520]   or the uninitialized model.
[00:21:15.520 --> 00:21:17.960]   But then my question would be, if you're not training,
[00:21:17.960 --> 00:21:19.680]   then how would you calculate the variance?
[00:21:19.680 --> 00:21:22.840]   What you will be basically getting is the gradients
[00:21:22.840 --> 00:21:25.800]   for each of those random initialization.
[00:21:25.800 --> 00:21:28.800]   Then we can always do the variance
[00:21:28.800 --> 00:21:32.400]   across all the five different initializations.
[00:21:32.400 --> 00:21:33.800]   That is something we can do.
[00:21:33.800 --> 00:21:35.600]   But then again, if we do that,
[00:21:35.600 --> 00:21:38.800]   then that would not be pertaining to one particular model.
[00:21:38.800 --> 00:21:40.040]   That would be like the variance
[00:21:40.040 --> 00:21:41.440]   across five different runs.
[00:21:43.920 --> 00:21:48.880]   - Yeah, I guess the intuition that I kind of have here
[00:21:48.880 --> 00:21:52.680]   is I guess, yeah, the idea is that the example
[00:21:52.680 --> 00:21:54.960]   sort of maybe jumping across a decision boundary
[00:21:54.960 --> 00:21:56.280]   or something like that.
[00:21:56.280 --> 00:21:57.120]   Right?
[00:21:57.120 --> 00:21:59.480]   But I suppose for a random,
[00:21:59.480 --> 00:22:01.840]   yeah, for different random initializations,
[00:22:01.840 --> 00:22:03.760]   maybe you would expect there to be a lot of jumping
[00:22:03.760 --> 00:22:04.960]   across decision boundaries,
[00:22:04.960 --> 00:22:07.800]   which you wouldn't expect for the same network over time.
[00:22:07.800 --> 00:22:08.680]   - That's true.
[00:22:08.680 --> 00:22:11.160]   And moreover for a random initialized models,
[00:22:11.160 --> 00:22:13.400]   it'd be very interesting to see the gradients
[00:22:13.400 --> 00:22:15.360]   for each of the inputs,
[00:22:15.360 --> 00:22:17.200]   whether all of them will be random
[00:22:17.200 --> 00:22:18.920]   or there will be some.
[00:22:18.920 --> 00:22:20.840]   So like many works have also showed
[00:22:20.840 --> 00:22:22.840]   that even randomly initialized models
[00:22:22.840 --> 00:22:25.920]   can serve as good features for the model.
[00:22:25.920 --> 00:22:28.000]   There was a paper on DB mesh prior.
[00:22:28.000 --> 00:22:31.200]   So they also showed that randomly initialized networks
[00:22:31.200 --> 00:22:33.240]   also have some certain characteristics.
[00:22:33.240 --> 00:22:36.280]   So in that essence, I guess it's interesting
[00:22:36.280 --> 00:22:38.320]   to do this experiment, right?
[00:22:38.320 --> 00:22:42.360]   - Relatedly, I think people have found
[00:22:42.360 --> 00:22:44.600]   that random networks, if you look at the gradient maps
[00:22:44.600 --> 00:22:46.240]   for random networks, those like the things
[00:22:46.240 --> 00:22:47.600]   that you presented at the beginning,
[00:22:47.600 --> 00:22:49.200]   either the raw grading maps or something
[00:22:49.200 --> 00:22:51.440]   like smooth grad or integrated gradients,
[00:22:51.440 --> 00:22:52.960]   you do see a lot of structure
[00:22:52.960 --> 00:22:56.600]   even with a randomly initialized network when you do that.
[00:22:56.600 --> 00:23:01.040]   - We do some, but the images that I showed earlier
[00:23:01.040 --> 00:23:02.320]   were for trained models.
[00:23:02.320 --> 00:23:05.200]   - Yeah, yeah.
[00:23:05.200 --> 00:23:06.120]   This is something I,
[00:23:06.120 --> 00:23:08.160]   so I worked on interpretability for a little bit.
[00:23:08.160 --> 00:23:10.800]   And one of the things that was important in our application
[00:23:10.800 --> 00:23:13.240]   was we wanted to demonstrate that like it was different
[00:23:13.240 --> 00:23:14.760]   from a random network.
[00:23:14.760 --> 00:23:16.920]   And I found at least some people reporting
[00:23:16.920 --> 00:23:20.120]   that they like, there was much, much higher overlap
[00:23:20.120 --> 00:23:21.640]   than you would expect by chance.
[00:23:21.640 --> 00:23:26.640]   It's not the case that the gradient map looks random.
[00:23:26.640 --> 00:23:28.640]   It sort of concentrates on things like the center
[00:23:28.640 --> 00:23:31.320]   of the image and the highest contrast regions of the image.
[00:23:31.320 --> 00:23:32.520]   - Right, right, yeah.
[00:23:32.520 --> 00:23:33.400]   That's a good point.
[00:23:33.400 --> 00:23:34.800]   And I think, yeah, that would be interesting
[00:23:34.800 --> 00:23:37.440]   to see whether those things actually carry forward
[00:23:37.440 --> 00:23:40.360]   to all the images in the particular class.
[00:23:40.360 --> 00:23:41.640]   That would be interesting.
[00:23:41.640 --> 00:23:49.480]   - What possibilities are there for applying this in,
[00:23:49.480 --> 00:23:52.280]   just to start off like a regression problem
[00:23:52.280 --> 00:23:55.080]   based off of computer vision, like a bounding box thing.
[00:23:55.080 --> 00:23:57.360]   Like obviously you no longer have the class
[00:23:57.360 --> 00:23:59.840]   to like organize things by,
[00:23:59.840 --> 00:24:01.440]   but would you be able to detect
[00:24:01.440 --> 00:24:04.880]   maybe more difficult examples or something like that?
[00:24:04.880 --> 00:24:06.400]   - That's a good question actually.
[00:24:06.400 --> 00:24:09.680]   So we haven't looked into it right now,
[00:24:09.680 --> 00:24:12.160]   but I clearly see that we can easily
[00:24:12.160 --> 00:24:14.800]   use the same formulation here.
[00:24:14.800 --> 00:24:18.320]   But in that case, basically we back-publicate the gradient,
[00:24:18.320 --> 00:24:20.040]   not with respect to the ground truth class,
[00:24:20.040 --> 00:24:21.720]   but here, as you're saying,
[00:24:21.720 --> 00:24:24.040]   we have like, let's say the bounding box coordinates.
[00:24:24.040 --> 00:24:25.680]   So we can easily back-publicate the class
[00:24:25.680 --> 00:24:27.720]   using the difference in the coordinates
[00:24:27.720 --> 00:24:29.760]   or using the ground truth bounding box
[00:24:29.760 --> 00:24:31.320]   or the predictor bounding box.
[00:24:31.320 --> 00:24:32.560]   So I think in that sense,
[00:24:32.560 --> 00:24:36.480]   it can be used for object detection or image segmentation,
[00:24:36.480 --> 00:24:38.960]   those all kinds of those different tasks.
[00:24:39.960 --> 00:24:40.800]   - Gotcha.
[00:24:40.800 --> 00:24:45.640]   And what about in application to different domains
[00:24:45.640 --> 00:24:47.600]   where there is also a class,
[00:24:47.600 --> 00:24:51.440]   like say like audio classification or sentiment analysis
[00:24:51.440 --> 00:24:53.000]   and NLP, something like that?
[00:24:53.000 --> 00:24:54.520]   - Yep, I think that's the,
[00:24:54.520 --> 00:24:57.280]   I think I don't want to sound very philosophical,
[00:24:57.280 --> 00:25:01.160]   but I think that's the beauty of VOG in this case,
[00:25:01.160 --> 00:25:03.440]   that it doesn't not depend,
[00:25:03.440 --> 00:25:05.480]   it does not take anything from the model
[00:25:05.480 --> 00:25:06.680]   or the architecture.
[00:25:06.680 --> 00:25:08.440]   It just uses the gradients.
[00:25:08.440 --> 00:25:11.840]   So in any application or domain, as you're mentioning,
[00:25:11.840 --> 00:25:13.960]   if we can by any chance calculate
[00:25:13.960 --> 00:25:15.560]   the back-publicated gradients,
[00:25:15.560 --> 00:25:20.560]   which is the main point in all deep networks
[00:25:20.560 --> 00:25:23.440]   that we use the back-publicated gradients.
[00:25:23.440 --> 00:25:28.320]   So any application doing that can be easily used,
[00:25:28.320 --> 00:25:30.520]   use VOG as a proxy metric.
[00:25:30.520 --> 00:25:35.800]   - So I guess the question I have is,
[00:25:35.800 --> 00:25:40.800]   do you have any indications that it'll work just as well
[00:25:40.800 --> 00:25:42.080]   in one of these other domains?
[00:25:42.080 --> 00:25:46.240]   Because it's not guaranteed that necessarily something,
[00:25:46.240 --> 00:25:48.360]   maybe it's very important that there's say,
[00:25:48.360 --> 00:25:50.320]   these max pooling operations that you find
[00:25:50.320 --> 00:25:53.680]   in convolutional networks to make this work really nicely
[00:25:53.680 --> 00:25:54.960]   or something like that.
[00:25:54.960 --> 00:25:59.960]   - So I myself haven't tried this other applications,
[00:25:59.960 --> 00:26:03.400]   but we have received some emails
[00:26:03.400 --> 00:26:07.120]   regarding interested researchers applying it
[00:26:07.120 --> 00:26:10.800]   to sequencing data or segmentation models.
[00:26:10.800 --> 00:26:12.680]   So yeah, people are using it
[00:26:12.680 --> 00:26:14.920]   as for different applications.
[00:26:14.920 --> 00:26:15.960]   - That's exciting.
[00:26:15.960 --> 00:26:21.480]   I think, yeah, the emphasis I think was in your talk
[00:26:21.480 --> 00:26:26.480]   was on a lot of the dataset cleaning kind of side of things
[00:26:26.480 --> 00:26:28.240]   or the outlier detection kind of side of things.
[00:26:28.240 --> 00:26:29.800]   Can you talk a little bit more about
[00:26:29.800 --> 00:26:31.800]   how you think variants of gradient could be used
[00:26:31.800 --> 00:26:36.800]   for the explainable AI side of things?
[00:26:36.800 --> 00:26:38.720]   - So that's a good point.
[00:26:38.720 --> 00:26:41.160]   So in this case, you're right.
[00:26:41.160 --> 00:26:43.040]   Most of our results were actually focused
[00:26:43.040 --> 00:26:46.160]   on detecting auto-distribution data
[00:26:46.160 --> 00:26:48.800]   or typical examples during the training process.
[00:26:48.800 --> 00:26:51.080]   With respect to explainability,
[00:26:51.080 --> 00:26:52.960]   so the gradient maps are itself,
[00:26:52.960 --> 00:26:57.920]   as I said, in 2013 when the work started,
[00:26:57.920 --> 00:26:59.960]   people actually felt that gradients
[00:26:59.960 --> 00:27:02.880]   can be the best explanation to a model,
[00:27:02.880 --> 00:27:05.320]   which some people still believe that
[00:27:05.320 --> 00:27:08.800]   because it has a clear connection to the model.
[00:27:08.800 --> 00:27:09.640]   So in that case,
[00:27:09.640 --> 00:27:12.520]   we're actually using some notions of explainability
[00:27:12.520 --> 00:27:13.800]   in this case.
[00:27:13.800 --> 00:27:17.080]   Now, the other point that you brought up is,
[00:27:17.080 --> 00:27:20.440]   can we use, rather than using just raw gradient maps,
[00:27:20.440 --> 00:27:23.720]   can we actually use these different variants of gradients,
[00:27:23.720 --> 00:27:26.800]   like the smooth grad or integrated gradients,
[00:27:26.800 --> 00:27:30.960]   and then calculate the VODs on those XAI-based
[00:27:30.960 --> 00:27:32.480]   heat map algorithms?
[00:27:32.480 --> 00:27:34.800]   So that would be something interesting to try.
[00:27:34.800 --> 00:27:36.920]   - I see, yeah.
[00:27:36.920 --> 00:27:38.560]   So the idea is you're actually,
[00:27:38.560 --> 00:27:41.480]   it's like a variance of the map over time,
[00:27:41.480 --> 00:27:43.000]   and that doesn't have to be the gradient.
[00:27:43.000 --> 00:27:44.320]   It could be any other map.
[00:27:44.320 --> 00:27:46.040]   - Exactly, so right, exactly.
[00:27:46.040 --> 00:27:46.880]   That's the point.
[00:27:46.880 --> 00:27:48.760]   So right now we are just taking the VADINA gradients,
[00:27:48.760 --> 00:27:51.840]   but yep, we can always try to
[00:27:51.840 --> 00:27:55.800]   extrapolate other gradient-based methods on this.
[00:27:56.640 --> 00:28:01.200]   - Hmm, that's, yeah, interesting.
[00:28:01.200 --> 00:28:06.480]   So I guess in the last couple minutes of your time,
[00:28:06.480 --> 00:28:08.360]   could you talk a little bit about
[00:28:08.360 --> 00:28:10.480]   sort of the future directions you see,
[00:28:10.480 --> 00:28:11.720]   you taking this work,
[00:28:11.720 --> 00:28:15.600]   and maybe your career in ML?
[00:28:15.600 --> 00:28:19.160]   - So I'll try to make it brief.
[00:28:19.160 --> 00:28:21.800]   So with respect to VOD,
[00:28:21.800 --> 00:28:24.240]   I think there are a few interesting directions.
[00:28:24.240 --> 00:28:25.560]   Some of them, as we discussed,
[00:28:25.560 --> 00:28:29.480]   that can be actually use VOGs,
[00:28:29.480 --> 00:28:31.600]   the results that we have for our image classifier,
[00:28:31.600 --> 00:28:33.160]   and then use it for different applications
[00:28:33.160 --> 00:28:34.320]   and other domains also,
[00:28:34.320 --> 00:28:36.240]   not respect to just images,
[00:28:36.240 --> 00:28:39.760]   but let's say language models and graph networks.
[00:28:39.760 --> 00:28:43.080]   And that's like one very promising direction.
[00:28:43.080 --> 00:28:46.640]   And other one is also to use the VOG scores
[00:28:46.640 --> 00:28:49.680]   and understand the training on the fly,
[00:28:49.680 --> 00:28:52.600]   and basically leverage the VOG scores
[00:28:52.600 --> 00:28:55.160]   to improve the training performance of a model.
[00:28:55.160 --> 00:28:57.000]   That would be interesting direction.
[00:28:57.000 --> 00:29:01.720]   - Yeah, that does seem,
[00:29:01.720 --> 00:29:05.360]   yeah, there's a lot of room still, I think,
[00:29:05.360 --> 00:29:07.520]   to improve what people do during training to,
[00:29:07.520 --> 00:29:08.720]   yeah, four things, yeah,
[00:29:08.720 --> 00:29:11.200]   out of distribution data is a hard,
[00:29:11.200 --> 00:29:12.960]   it's not something you're gonna resolve
[00:29:12.960 --> 00:29:14.840]   with normal gradient descent.
[00:29:14.840 --> 00:29:17.160]   So that sounds like a great direction to take.
[00:29:17.160 --> 00:29:18.360]   - Right, right, exactly.
[00:29:18.360 --> 00:29:22.360]   - All right, well, thanks for coming on, Chirag.
[00:29:22.360 --> 00:29:24.080]   And thanks for presenting some,
[00:29:24.080 --> 00:29:26.440]   and thanks for doing some really great
[00:29:26.440 --> 00:29:27.360]   and interesting research
[00:29:27.360 --> 00:29:29.200]   and being willing to present it to us.
[00:29:29.200 --> 00:29:30.880]   - Thank you, Charles, for inviting me today.
[00:29:30.880 --> 00:29:32.920]   It was a pleasure talking to you.
[00:29:32.920 --> 00:29:35.200]   - Mm-hmm, all right, take care, Chirag.
[00:29:35.200 --> 00:29:36.400]   - Bye.
[00:29:36.400 --> 00:29:38.280]   - All right, peace.
[00:29:38.280 --> 00:29:39.800]   I am actually,
[00:29:39.800 --> 00:29:42.040]   normally this is where I would introduce the next person,
[00:29:42.040 --> 00:29:45.960]   and, you know, but the next person is me.
[00:29:45.960 --> 00:29:47.120]   So I guess I'll just,
[00:29:47.120 --> 00:29:50.800]   I'll hop right into my presentation.
[00:29:50.800 --> 00:29:51.640]   - Sure.
[00:29:51.640 --> 00:29:55.400]   - And take over the screen share, great.
[00:29:55.400 --> 00:30:02.680]   All right, so what I wanted to talk about today
[00:30:02.680 --> 00:30:07.680]   is one of my sort of favorite test problems,
[00:30:07.680 --> 00:30:10.640]   one of my favorite sort of basic,
[00:30:10.640 --> 00:30:12.880]   simple,
[00:30:12.880 --> 00:30:16.640]   simple examples that I have in my head
[00:30:16.640 --> 00:30:18.800]   when I'm thinking about neural network optimization
[00:30:18.800 --> 00:30:20.480]   and neural networks in general.
[00:30:20.480 --> 00:30:22.040]   So the motivating idea here
[00:30:22.040 --> 00:30:24.640]   is that neural network optimization is really complicated.
[00:30:24.640 --> 00:30:26.840]   It's got a lot of pieces to it.
[00:30:26.840 --> 00:30:29.280]   And even though it might feel easy now,
[00:30:29.280 --> 00:30:32.760]   it's not actually that easy of a thing to do.
[00:30:32.760 --> 00:30:35.600]   So, you know, nowadays we've got so many good
[00:30:35.600 --> 00:30:37.400]   architectural ideas.
[00:30:37.400 --> 00:30:39.480]   We've got so many good,
[00:30:39.480 --> 00:30:41.880]   just sort of, you know, built-ins
[00:30:41.880 --> 00:30:44.880]   in the neural network libraries that we use,
[00:30:44.880 --> 00:30:46.400]   like PyTorch and TensorFlow,
[00:30:46.400 --> 00:30:48.720]   that it doesn't strike us as that difficult
[00:30:48.720 --> 00:30:49.840]   to spin up a neural network
[00:30:49.840 --> 00:30:52.400]   and train it on something like image classification.
[00:30:52.400 --> 00:30:55.080]   And this is something that the
[00:30:55.080 --> 00:30:57.600]   Optimization for Deep Learning Review Paper
[00:30:57.600 --> 00:31:01.560]   by Roh You-Sun at U of I handles really,
[00:31:01.560 --> 00:31:04.400]   or mentions, and I think makes a good point about,
[00:31:04.400 --> 00:31:06.880]   that if it was 1980 and you sat down
[00:31:06.880 --> 00:31:08.640]   to try and solve an image classification problem
[00:31:08.640 --> 00:31:11.120]   in neural networks, you probably would fail
[00:31:11.120 --> 00:31:13.640]   'cause you don't have all these nice things
[00:31:13.640 --> 00:31:15.800]   in your toolkit that we have.
[00:31:15.800 --> 00:31:19.520]   And so because of that, I think it's easy for us
[00:31:19.520 --> 00:31:22.400]   to forget that there's a lot of complexity
[00:31:22.400 --> 00:31:24.760]   underneath something like .fit.
[00:31:24.760 --> 00:31:29.480]   And so when it comes to these,
[00:31:29.480 --> 00:31:33.080]   when it comes to trying to understand something difficult
[00:31:33.080 --> 00:31:36.280]   in mathematics, which is in the end,
[00:31:36.280 --> 00:31:39.200]   I think one of the best ways to understand
[00:31:39.200 --> 00:31:40.480]   what's going on in deep learning
[00:31:40.480 --> 00:31:44.000]   in this numerical computing kind of field,
[00:31:44.000 --> 00:31:47.520]   I think the most important thing that is underappreciated
[00:31:47.520 --> 00:31:50.040]   by people who come from a software background
[00:31:50.040 --> 00:31:53.520]   is the importance of simple test problems.
[00:31:53.520 --> 00:31:56.560]   And so I think there's a really great explanation
[00:31:56.560 --> 00:32:01.240]   of this that I got from a friend who finished their PhD
[00:32:01.240 --> 00:32:05.520]   in math at Berkeley around the same time I was doing mine.
[00:32:05.520 --> 00:32:08.720]   And what they said was, "Everyone I know who does math
[00:32:08.720 --> 00:32:11.080]   "does basically the exact same thing
[00:32:11.080 --> 00:32:12.920]   "to make their lives easier."
[00:32:12.920 --> 00:32:14.360]   Whenever they hear a conjecture,
[00:32:14.360 --> 00:32:17.320]   somebody's thought about how something might work
[00:32:17.320 --> 00:32:18.680]   in some branch of math,
[00:32:18.680 --> 00:32:22.320]   they compare it to two examples specific to that branch.
[00:32:22.320 --> 00:32:24.320]   One that's well-behaved and simple
[00:32:24.320 --> 00:32:27.520]   and another that's pathological and counterintuitive.
[00:32:27.520 --> 00:32:29.600]   And if the conjecture is true on both,
[00:32:29.600 --> 00:32:30.800]   then it's probably true.
[00:32:30.800 --> 00:32:31.640]   And if it's not,
[00:32:31.640 --> 00:32:33.920]   then you've got yourself a nice counter example.
[00:32:33.920 --> 00:32:36.480]   So when it comes to trying to understand
[00:32:36.480 --> 00:32:38.240]   and think about machine learning,
[00:32:38.240 --> 00:32:40.320]   like what's going to work well,
[00:32:40.320 --> 00:32:42.440]   what's going to not work well,
[00:32:42.440 --> 00:32:44.640]   why to use a particular piece
[00:32:44.640 --> 00:32:46.040]   or why not to use a particular piece,
[00:32:46.040 --> 00:32:47.640]   or if somebody makes a claim
[00:32:47.640 --> 00:32:51.440]   about the nature of deep neural network training,
[00:32:51.440 --> 00:32:55.280]   I use the same tactic.
[00:32:55.280 --> 00:32:56.960]   And so my two examples,
[00:32:56.960 --> 00:33:00.440]   one of them is memorization tasks.
[00:33:00.440 --> 00:33:03.640]   That's one of my pathological test examples
[00:33:03.640 --> 00:33:04.680]   that if somebody makes a claim
[00:33:04.680 --> 00:33:06.680]   about how neural networks work and how they generalize,
[00:33:06.680 --> 00:33:09.480]   I think, okay, does this explain memorization
[00:33:09.480 --> 00:33:11.320]   in neural networks well?
[00:33:11.320 --> 00:33:13.200]   So specifically a memorization task
[00:33:13.200 --> 00:33:14.960]   is one where you destroy all structure
[00:33:14.960 --> 00:33:17.000]   relating the inputs to the labels.
[00:33:17.000 --> 00:33:21.240]   So if you were to take, say, the MNIST dataset,
[00:33:21.240 --> 00:33:23.400]   and then instead of having the actual targets,
[00:33:23.400 --> 00:33:25.280]   you just shuffle them.
[00:33:25.280 --> 00:33:27.120]   So this little bit of Python code here
[00:33:27.120 --> 00:33:28.240]   takes the MNIST targets
[00:33:28.240 --> 00:33:30.560]   and replaces them with a shuffled version of them.
[00:33:30.560 --> 00:33:31.480]   Turns out neural networks
[00:33:31.480 --> 00:33:33.720]   can still minimize the training loss in this example,
[00:33:33.720 --> 00:33:35.640]   even though there is no, you know,
[00:33:35.640 --> 00:33:38.720]   there's no information there anymore.
[00:33:38.720 --> 00:33:42.640]   It's just the labels are effectively random.
[00:33:42.640 --> 00:33:44.760]   So this is something that people have demonstrated
[00:33:44.760 --> 00:33:47.800]   and it shows that neural networks are capable
[00:33:47.800 --> 00:33:49.440]   of memorizing their datasets,
[00:33:49.440 --> 00:33:53.320]   even if they don't necessarily do that in real life.
[00:33:53.320 --> 00:33:57.680]   So the two sides of this coin
[00:33:57.680 --> 00:33:58.840]   are you have one example
[00:33:58.840 --> 00:34:02.720]   that's sort of the canonical gnarly bad example.
[00:34:02.720 --> 00:34:04.120]   And then you have one example
[00:34:04.120 --> 00:34:06.680]   that's the well-behaved and simple example.
[00:34:06.680 --> 00:34:09.920]   And for me, I use one that is effectively
[00:34:09.920 --> 00:34:14.280]   just multiplying by one with a deep neural network.
[00:34:14.280 --> 00:34:15.720]   So let's go through this.
[00:34:15.720 --> 00:34:18.360]   It's got a mathematical inspiration.
[00:34:18.360 --> 00:34:21.000]   And so I took a mathematical approach here.
[00:34:21.000 --> 00:34:24.440]   So a fully connected network, let's define that.
[00:34:24.440 --> 00:34:27.640]   It's a function of its parameters and its inputs
[00:34:27.640 --> 00:34:29.840]   that alternates between matrix multiplication
[00:34:29.840 --> 00:34:31.160]   and function application.
[00:34:31.160 --> 00:34:33.240]   So it's got all these nonlinearities,
[00:34:33.240 --> 00:34:35.320]   sigma one, two, up to K.
[00:34:35.320 --> 00:34:40.000]   And then it's also got these parameter matrices,
[00:34:40.000 --> 00:34:41.720]   theta up to K.
[00:34:41.720 --> 00:34:45.840]   And we alternate between applying the matrix to the input
[00:34:45.840 --> 00:34:47.920]   and then applying a function to it,
[00:34:47.920 --> 00:34:50.520]   a possibly nonlinear function to it.
[00:34:50.520 --> 00:34:55.840]   An autoencoder network is a specific type of network,
[00:34:55.840 --> 00:34:58.760]   one that compares its outputs directly to its inputs
[00:34:58.760 --> 00:35:01.080]   as opposed to comparing them to something else.
[00:35:01.080 --> 00:35:03.320]   So D is some function that takes two inputs.
[00:35:03.320 --> 00:35:05.040]   If they're the same, it returns zero.
[00:35:05.040 --> 00:35:07.640]   Otherwise it returns something else.
[00:35:07.640 --> 00:35:10.840]   And what D is doing here is it's comparing the input X
[00:35:10.840 --> 00:35:15.000]   to the output of the network F applied to its parameters
[00:35:15.000 --> 00:35:16.320]   and its input X.
[00:35:16.320 --> 00:35:20.240]   And that function there that I'm defining here
[00:35:20.240 --> 00:35:21.720]   through this is the loss function.
[00:35:21.720 --> 00:35:24.360]   It says, okay, the loss function compares the inputs
[00:35:24.360 --> 00:35:25.320]   to the outputs.
[00:35:25.320 --> 00:35:26.880]   And the loss is what we make small
[00:35:26.880 --> 00:35:29.280]   and an autoencoder therefore returns something
[00:35:29.280 --> 00:35:31.000]   that's close to its inputs.
[00:35:31.000 --> 00:35:34.840]   So the case of autoencoders includes
[00:35:34.840 --> 00:35:38.640]   just multiplying numbers by one as an important special case.
[00:35:39.560 --> 00:35:41.720]   So if we just take all of those functions
[00:35:41.720 --> 00:35:43.080]   to be the identity, right?
[00:35:43.080 --> 00:35:46.600]   Just take all the nonlinearities out of our neural network,
[00:35:46.600 --> 00:35:48.520]   we'll end up with something called a linear network.
[00:35:48.520 --> 00:35:50.320]   And linear networks, I'm not the only one
[00:35:50.320 --> 00:35:52.360]   who likes to use these as a test case
[00:35:52.360 --> 00:35:54.000]   for doing theory on neural networks
[00:35:54.000 --> 00:35:55.800]   or for thinking about neural networks.
[00:35:55.800 --> 00:35:59.360]   So there's a nice paper by Sachs, McClelland and Ganguly
[00:35:59.360 --> 00:36:01.960]   that's basically what can we do to understand
[00:36:01.960 --> 00:36:03.280]   not only how neural networks run,
[00:36:03.280 --> 00:36:05.840]   but actually a little bit of the psychology
[00:36:05.840 --> 00:36:08.120]   of how animals and humans learn
[00:36:08.120 --> 00:36:12.160]   just by studying what happens in linear networks.
[00:36:12.160 --> 00:36:14.200]   It's also the case that networks
[00:36:14.200 --> 00:36:16.920]   with rectifying linear units are actually piecewise linear
[00:36:16.920 --> 00:36:17.760]   on their inputs.
[00:36:17.760 --> 00:36:19.120]   So this gives you a sense of like, okay,
[00:36:19.120 --> 00:36:21.240]   if I only change the input a little bit,
[00:36:21.240 --> 00:36:25.600]   a rectified linear network will behave very close
[00:36:25.600 --> 00:36:27.480]   to a linear network.
[00:36:27.480 --> 00:36:29.560]   So it's another reason why this case is useful
[00:36:29.560 --> 00:36:32.760]   for helping you build your intuition about what's going on.
[00:36:32.760 --> 00:36:37.400]   The difference being that because it's simple,
[00:36:37.400 --> 00:36:39.760]   and because it's dropped that nonlinear piece,
[00:36:39.760 --> 00:36:41.800]   it's a lot easier to understand.
[00:36:41.800 --> 00:36:45.680]   So if we also take another step and make this even simpler
[00:36:45.680 --> 00:36:48.040]   and choose the dimension of everything to be one.
[00:36:48.040 --> 00:36:49.760]   So every hidden layer has dimension one,
[00:36:49.760 --> 00:36:51.040]   the input has dimension one,
[00:36:51.040 --> 00:36:53.520]   and so the output has dimension one.
[00:36:53.520 --> 00:36:55.240]   We replace all that matrix multiplication
[00:36:55.240 --> 00:36:58.240]   with just a series of things multiplying together.
[00:36:58.240 --> 00:37:01.960]   And we get a function, looks a little bit like this.
[00:37:01.960 --> 00:37:04.880]   I happened to, I was using this case actually
[00:37:04.880 --> 00:37:06.520]   to help me understand Jack's better.
[00:37:06.520 --> 00:37:10.200]   So that's kind of where this talk came from.
[00:37:10.200 --> 00:37:13.080]   And so in Jack's style NumPy, that looks like,
[00:37:13.080 --> 00:37:16.960]   okay, F of theta and X takes the product of all the thetas
[00:37:16.960 --> 00:37:18.600]   and multiplies them by X.
[00:37:18.600 --> 00:37:21.240]   So the same thing as what's written above.
[00:37:21.240 --> 00:37:25.240]   And it's got this nice little bit of extra Jack stuff here
[00:37:25.240 --> 00:37:27.120]   to make it so that I can now apply this function
[00:37:27.120 --> 00:37:29.280]   on a single input or multiple inputs,
[00:37:29.280 --> 00:37:30.440]   so batch or non-batch,
[00:37:30.440 --> 00:37:33.280]   and I can apply it to one parameter set
[00:37:33.280 --> 00:37:34.960]   or many parameter sets all at once.
