
[00:00:00.040 --> 00:00:09.520]   milligrams
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:33:22.640]   I'm going to take a look at the numbers.
[00:33:22.640 --> 00:33:22.640]   I'm going to take a look at the numbers.
[00:33:22.640 --> 00:33:22.640]   I'm going to take a look at the numbers.
[00:33:22.640 --> 00:33:22.640]   I'm going to take a look at the numbers.
[00:33:22.640 --> 00:33:22.640]   I'm going to take a look at the numbers.
[00:33:22.640 --> 00:33:22.640]   I'm going to take a look at the numbers.
[00:33:22.640 --> 00:33:22.640]   I'm going to take a look at the numbers.
[00:33:22.640 --> 00:33:22.640]   I'm going to take a look at the numbers.
[00:33:22.640 --> 00:33:22.640]   I'm going to take a look at the numbers.
[00:33:22.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:33:52.660]   I'm going to take a look at the numbers.
[00:33:52.660 --> 00:34:22.680]   I'm going to take a look at the numbers.
[00:34:22.680 --> 00:34:22.680]   I'm going to take a look at the numbers.
[00:34:22.680 --> 00:34:22.680]   I'm going to take a look at the numbers.
[00:34:22.680 --> 00:34:22.680]   I'm going to take a look at the numbers.
[00:34:22.680 --> 00:34:22.680]   I'm going to take a look at the numbers.
[00:34:22.680 --> 00:34:22.680]   I'm going to take a look at the numbers.
[00:34:22.680 --> 00:34:22.680]   I'm going to take a look at the numbers.
[00:34:22.680 --> 00:34:22.680]   I'm going to take a look at the numbers.
[00:34:22.680 --> 00:34:22.680]   I'm going to take a look at the numbers.
[00:34:22.680 --> 00:34:22.680]   I'm going to take a look at the numbers.
[00:34:22.680 --> 00:34:22.680]   I'm going to take a look at the numbers.
[00:34:22.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:34:52.700]   I'm going to take a look at the numbers.
[00:34:52.700 --> 00:35:22.720]   I'm going to take a look at the numbers.
[00:35:22.720 --> 00:35:22.720]   I'm going to take a look at the numbers.
[00:35:22.720 --> 00:35:22.720]   I'm going to take a look at the numbers.
[00:35:22.720 --> 00:35:22.720]   I'm going to take a look at the numbers.
[00:35:22.720 --> 00:35:22.720]   I'm going to take a look at the numbers.
[00:35:22.720 --> 00:35:22.720]   I'm going to take a look at the numbers.
[00:35:22.720 --> 00:35:22.720]   I'm going to take a look at the numbers.
[00:35:22.720 --> 00:35:22.720]   I'm going to take a look at the numbers.
[00:35:22.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:35:52.740]   I'm going to take a look at the numbers.
[00:35:52.740 --> 00:36:22.760]   I'm going to take a look at the numbers.
[00:36:22.760 --> 00:36:22.760]   I'm going to take a look at the numbers.
[00:36:22.760 --> 00:36:22.760]   I'm going to take a look at the numbers.
[00:36:22.760 --> 00:36:22.760]   I'm going to take a look at the numbers.
[00:36:22.760 --> 00:36:22.760]   I'm going to take a look at the numbers.
[00:36:22.760 --> 00:36:22.760]   I'm going to take a look at the numbers.
[00:36:22.760 --> 00:36:22.760]   I'm going to take a look at the numbers.
[00:36:22.760 --> 00:36:22.760]   I'm going to take a look at the numbers.
[00:36:22.760 --> 00:36:22.760]   I'm going to take a look at the numbers.
[00:36:22.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:36:52.780]   I'm going to take a look at the numbers.
[00:36:52.780 --> 00:37:22.800]   I'm going to take a look at the numbers.
[00:37:22.800 --> 00:37:22.800]   I'm going to take a look at the numbers.
[00:37:22.800 --> 00:37:22.800]   I'm going to take a look at the numbers.
[00:37:22.800 --> 00:37:22.800]   I'm going to take a look at the numbers.
[00:37:22.800 --> 00:37:22.800]   I'm going to take a look at the numbers.
[00:37:22.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:37:52.820]   I'm going to take a look at the numbers.
[00:37:52.820 --> 00:38:22.840]   I'm going to take a look at the numbers.
[00:38:22.840 --> 00:38:22.840]   I'm going to take a look at the numbers.
[00:38:22.840 --> 00:38:22.840]   I'm going to take a look at the numbers.
[00:38:22.840 --> 00:38:22.840]   I'm going to take a look at the numbers.
[00:38:22.840 --> 00:38:22.840]   I'm going to take a look at the numbers.
[00:38:22.840 --> 00:38:22.840]   I'm going to take a look at the numbers.
[00:38:22.840 --> 00:38:22.840]   I'm going to take a look at the numbers.
[00:38:22.840 --> 00:38:22.840]   I'm going to take a look at the numbers.
[00:38:22.840 --> 00:38:22.840]   I'm going to take a look at the numbers.
[00:38:22.840 --> 00:38:22.840]   I'm going to take a look at the numbers.
[00:38:22.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:38:52.860]   I'm going to take a look at the numbers.
[00:38:52.860 --> 00:39:22.880]   I'm going to take a look at the numbers.
[00:39:22.880 --> 00:39:22.880]   I'm going to take a look at the numbers.
[00:39:22.880 --> 00:39:22.880]   I'm going to take a look at the numbers.
[00:39:22.880 --> 00:39:22.880]   I'm going to take a look at the numbers.
[00:39:22.880 --> 00:39:22.880]   I'm going to take a look at the numbers.
[00:39:22.880 --> 00:39:22.880]   I'm going to take a look at the numbers.
[00:39:22.880 --> 00:39:22.880]   I'm going to take a look at the numbers.
[00:39:22.880 --> 00:39:22.880]   I'm going to take a look at the numbers.
[00:39:22.880 --> 00:39:22.880]   I'm going to take a look at the numbers.
[00:39:22.880 --> 00:39:22.880]   I'm going to take a look at the numbers.
[00:39:22.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:39:52.900]   I'm going to take a look at the numbers.
[00:39:52.900 --> 00:40:22.920]   I'm going to take a look at the numbers.
[00:40:22.920 --> 00:40:22.920]   I'm going to take a look at the numbers.
[00:40:22.920 --> 00:40:22.920]   I'm going to take a look at the numbers.
[00:40:22.920 --> 00:40:22.920]   I'm going to take a look at the numbers.
[00:40:22.920 --> 00:40:22.920]   I'm going to take a look at the numbers.
[00:40:22.920 --> 00:40:22.920]   I'm going to take a look at the numbers.
[00:40:22.920 --> 00:40:22.920]   I'm going to take a look at the numbers.
[00:40:22.920 --> 00:40:22.920]   I'm going to take a look at the numbers.
[00:40:22.920 --> 00:40:22.920]   I'm going to take a look at the numbers.
[00:40:22.920 --> 00:40:22.920]   I'm going to take a look at the numbers.
[00:40:22.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:40:52.940]   I'm going to take a look at the numbers.
[00:40:52.940 --> 00:41:22.960]   I'm going to take a look at the numbers.
[00:41:22.960 --> 00:41:22.960]   I'm going to take a look at the numbers.
[00:41:22.960 --> 00:41:22.960]   I'm going to take a look at the numbers.
[00:41:22.960 --> 00:41:22.960]   I'm going to take a look at the numbers.
[00:41:22.960 --> 00:41:22.960]   I'm going to take a look at the numbers.
[00:41:22.960 --> 00:41:22.960]   I'm going to take a look at the numbers.
[00:41:22.960 --> 00:41:22.960]   I'm going to take a look at the numbers.
[00:41:22.960 --> 00:41:22.960]   I'm going to take a look at the numbers.
[00:41:22.960 --> 00:41:22.960]   I'm going to take a look at the numbers.
[00:41:22.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:41:52.980]   I'm going to take a look at the numbers.
[00:41:52.980 --> 00:42:23.000]   I'm going to take a look at the numbers.
[00:42:23.000 --> 00:42:23.000]   I'm going to take a look at the numbers.
[00:42:23.000 --> 00:42:23.000]   I'm going to take a look at the numbers.
[00:42:23.000 --> 00:42:23.000]   I'm going to take a look at the numbers.
[00:42:23.000 --> 00:42:23.000]   I'm going to take a look at the numbers.
[00:42:23.000 --> 00:42:23.000]   I'm going to take a look at the numbers.
[00:42:23.000 --> 00:42:23.000]   I'm going to take a look at the numbers.
[00:42:23.000 --> 00:42:23.000]   I'm going to take a look at the numbers.
[00:42:23.000 --> 00:42:23.000]   I'm going to take a look at the numbers.
[00:42:23.000 --> 00:42:23.000]   I'm going to take a look at the numbers.
[00:42:23.000 --> 00:42:23.000]   I'm going to take a look at the numbers.
[00:42:23.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:42:53.020]   I'm going to take a look at the numbers.
[00:42:53.020 --> 00:43:23.040]   I'm going to take a look at the numbers.
[00:43:23.040 --> 00:43:23.040]   I'm going to take a look at the numbers.
[00:43:23.040 --> 00:43:23.040]   I'm going to take a look at the numbers.
[00:43:23.040 --> 00:43:23.040]   I'm going to take a look at the numbers.
[00:43:23.040 --> 00:43:23.040]   I'm going to take a look at the numbers.
[00:43:23.040 --> 00:43:23.040]   I'm going to take a look at the numbers.
[00:43:23.040 --> 00:43:23.040]   I'm going to take a look at the numbers.
[00:43:23.040 --> 00:43:23.040]   I'm going to take a look at the numbers.
[00:43:23.040 --> 00:43:23.040]   I'm going to take a look at the numbers.
[00:43:23.040 --> 00:43:23.040]   I'm going to take a look at the numbers.
[00:43:23.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:43:53.060]   I'm going to take a look at the numbers.
[00:43:53.060 --> 00:44:23.080]   I'm going to take a look at the numbers.
[00:44:23.080 --> 00:44:23.080]   I'm going to take a look at the numbers.
[00:44:23.080 --> 00:44:23.080]   I'm going to take a look at the numbers.
[00:44:23.080 --> 00:44:23.080]   I'm going to take a look at the numbers.
[00:44:23.080 --> 00:44:23.080]   I'm going to take a look at the numbers.
[00:44:23.080 --> 00:44:23.080]   I'm going to take a look at the numbers.
[00:44:23.080 --> 00:44:23.080]   I'm going to take a look at the numbers.
[00:44:23.080 --> 00:44:23.080]   I'm going to take a look at the numbers.
[00:44:23.080 --> 00:44:23.080]   I'm going to take a look at the numbers.
[00:44:23.080 --> 00:44:23.080]   I'm going to take a look at the numbers.
[00:44:23.080 --> 00:44:23.080]   I'm going to take a look at the numbers.
[00:44:23.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:44:53.100]   I'm going to take a look at the numbers.
[00:44:53.100 --> 00:45:23.120]   I'm going to take a look at the numbers.
[00:45:23.120 --> 00:45:23.120]   I'm going to take a look at the numbers.
[00:45:23.120 --> 00:45:23.120]   I'm going to take a look at the numbers.
[00:45:23.120 --> 00:45:23.120]   I'm going to take a look at the numbers.
[00:45:23.120 --> 00:45:23.120]   I'm going to take a look at the numbers.
[00:45:23.120 --> 00:45:23.120]   I'm going to take a look at the numbers.
[00:45:23.120 --> 00:45:23.120]   I'm going to take a look at the numbers.
[00:45:23.120 --> 00:45:23.120]   I'm going to take a look at the numbers.
[00:45:23.120 --> 00:45:23.120]   I'm going to take a look at the numbers.
[00:45:23.120 --> 00:45:23.120]   I'm going to take a look at the numbers.
[00:45:23.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:45:53.140]   I'm going to take a look at the numbers.
[00:45:53.140 --> 00:46:23.160]   I'm going to take a look at the numbers.
[00:46:23.160 --> 00:46:23.160]   I'm going to take a look at the numbers.
[00:46:23.160 --> 00:46:23.160]   I'm going to take a look at the numbers.
[00:46:23.160 --> 00:46:23.160]   I'm going to take a look at the numbers.
[00:46:23.160 --> 00:46:23.160]   I'm going to take a look at the numbers.
[00:46:23.160 --> 00:46:23.160]   I'm going to take a look at the numbers.
[00:46:23.160 --> 00:46:23.160]   I'm going to take a look at the numbers.
[00:46:23.160 --> 00:46:23.160]   I'm going to take a look at the numbers.
[00:46:23.160 --> 00:46:23.160]   I'm going to take a look at the numbers.
[00:46:23.160 --> 00:46:23.160]   I'm going to take a look at the numbers.
[00:46:23.160 --> 00:46:23.160]   I'm going to take a look at the numbers.
[00:46:23.160 --> 00:46:23.160]   I'm going to take a look at the numbers.
[00:46:23.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:46:53.180]   I'm going to take a look at the numbers.
[00:46:53.180 --> 00:47:23.200]   I'm going to take a look at the numbers.
[00:47:23.200 --> 00:47:23.200]   I'm going to take a look at the numbers.
[00:47:23.200 --> 00:47:23.200]   I'm going to take a look at the numbers.
[00:47:23.200 --> 00:47:23.200]   I'm going to take a look at the numbers.
[00:47:23.200 --> 00:47:23.200]   I'm going to take a look at the numbers.
[00:47:23.200 --> 00:47:23.200]   I'm going to take a look at the numbers.
[00:47:23.200 --> 00:47:23.200]   I'm going to take a look at the numbers.
[00:47:23.200 --> 00:47:23.200]   I'm going to take a look at the numbers.
[00:47:23.200 --> 00:47:23.200]   I'm going to take a look at the numbers.
[00:47:23.200 --> 00:47:23.200]   I'm going to take a look at the numbers.
[00:47:23.220 --> 00:47:53.220]   I'm going to take a look at the numbers.
[00:47:53.220 --> 00:47:53.220]   I'm going to take a look at the numbers.
[00:47:53.220 --> 00:47:53.220]   I'm going to take a look at the numbers.
[00:47:53.220 --> 00:47:53.220]   I'm going to take a look at the numbers.
[00:47:53.220 --> 00:47:53.220]   I'm going to take a look at the numbers.
[00:47:53.220 --> 00:47:53.220]   I'm going to take a look at the numbers.
[00:47:53.220 --> 00:47:53.220]   I'm going to take a look at the numbers.
[00:47:53.220 --> 00:47:53.220]   I'm going to take a look at the numbers.
