
[00:00:00.000 --> 00:00:01.440]   Take Tiablo Canyon.
[00:17:42.300 --> 00:17:44.260]   it's gonna add upwards of 25 or 30
[00:17:44.260 --> 00:17:47.220]   over the course of the next five or six years
[00:17:47.220 --> 00:17:49.300]   is expected to surpass the United States
[00:17:49.300 --> 00:17:52.340]   in nuclear power production by 2030.
[00:17:52.340 --> 00:17:54.300]   You've been around this for 30 years.
[00:17:54.380 --> 00:17:59.180]   The United States has been preeminent in nuclear technology.
[00:17:59.180 --> 00:18:01.940]   We built most of our plants in the '70s and '80s.
[00:18:01.940 --> 00:18:06.540]   By the '90s, we basically had stopped building new plants.
[00:18:06.540 --> 00:18:08.140]   We were talking about decommissioning
[00:18:08.140 --> 00:18:10.220]   all of the plants that we had.
[00:18:10.220 --> 00:18:13.020]   As you look at the political environment today,
[00:18:13.020 --> 00:18:14.540]   not just in California,
[00:18:14.540 --> 00:18:17.820]   but you spend a lot of time around the world, right?
[00:18:17.820 --> 00:18:20.660]   Advising, interacting with your operating peers
[00:18:20.660 --> 00:18:22.300]   in lots of other countries.
[00:18:23.780 --> 00:18:27.260]   Where are we in terms of that pendulum
[00:18:27.260 --> 00:18:30.140]   in the United States swinging back and forth?
[00:18:30.140 --> 00:18:34.540]   You're clearly more optimistic than you were in 2016
[00:18:34.540 --> 00:18:36.500]   when they passed the legislation
[00:18:36.500 --> 00:18:40.140]   or you entered the agreement to shut down Diablo.
[00:18:40.140 --> 00:18:43.100]   But is there hope, is there a future
[00:18:43.100 --> 00:18:48.100]   for shifting the gears back into expanding fission,
[00:18:48.100 --> 00:18:52.860]   base load power production in the United States?
[00:18:52.860 --> 00:18:55.900]   - Absolutely, and I think Diablo Canyon is the case study.
[00:18:55.900 --> 00:18:59.620]   And what I mean by that, on a micro level,
[00:18:59.620 --> 00:19:02.300]   what I call that when I consider the need
[00:19:02.300 --> 00:19:05.100]   of what Secretary Gronholm and COP 28 has said
[00:19:05.100 --> 00:19:07.660]   that we need triple the amount of nuclear
[00:19:07.660 --> 00:19:11.340]   for our environmental and climate policies.
[00:19:11.340 --> 00:19:13.260]   So I say micro level for Diablo Canyon
[00:19:13.260 --> 00:19:15.700]   because what we did in a year and a half, two years
[00:19:15.700 --> 00:19:19.780]   is what is needed to keep that pendulum swinging
[00:19:19.780 --> 00:19:21.860]   and the momentum needed to build out
[00:19:21.860 --> 00:19:23.220]   traditional more nuclear
[00:19:23.220 --> 00:19:25.980]   and preserving the current 94 units we have,
[00:19:25.980 --> 00:19:28.580]   if we count the new Vogel three and four that came online,
[00:19:28.580 --> 00:19:30.340]   which is outstanding, right?
[00:19:30.340 --> 00:19:32.820]   And so we can't have any of the current 94 shutting down,
[00:19:32.820 --> 00:19:34.660]   let's preserve that.
[00:19:34.660 --> 00:19:36.700]   There are some other initiatives,
[00:19:36.700 --> 00:19:38.260]   Palisades, a plant in Michigan
[00:19:38.260 --> 00:19:39.820]   that they're looking to restart.
[00:19:39.820 --> 00:19:42.020]   And they're really looking at a lot of the stuff we did,
[00:19:42.020 --> 00:19:45.100]   we call it team pivot or pivoting from decommissioning
[00:19:45.100 --> 00:19:49.900]   and getting that call from the state in 2022
[00:19:49.900 --> 00:19:51.260]   to continuing to operate.
[00:19:51.260 --> 00:19:54.820]   And that's hiring over 300 people
[00:19:54.820 --> 00:19:57.620]   in an efficient speedy time,
[00:19:57.620 --> 00:20:02.060]   working communicatively, coordinated and transparent
[00:20:02.060 --> 00:20:05.460]   with our regulators on what needs to be done.
[00:20:05.460 --> 00:20:08.780]   Just lots of examples there that I think can be used
[00:20:08.780 --> 00:20:12.020]   on a macro level to keep that momentum going
[00:20:12.020 --> 00:20:17.300]   that we're showing that can be done here at Diablo Canyon.
[00:20:17.300 --> 00:20:19.460]   - One thing, another thing I learned today
[00:20:19.460 --> 00:20:21.340]   that I was really impressed by,
[00:20:21.340 --> 00:20:23.860]   I wonder if you could share with the audience, Maureen,
[00:20:23.860 --> 00:20:28.860]   is that there are both national and worldwide communities
[00:20:28.860 --> 00:20:33.660]   where you share best practice with other operators.
[00:20:33.660 --> 00:20:36.820]   And I'm thrilled to know that that's true.
[00:20:36.820 --> 00:20:38.140]   I didn't know that that was true.
[00:20:38.140 --> 00:20:40.220]   Can you talk more about that?
[00:20:40.220 --> 00:20:41.060]   - Yeah, absolutely.
[00:20:41.060 --> 00:20:44.300]   In fact, we're here at Diablo Canyon Simulator
[00:20:44.300 --> 00:20:46.900]   and that came after the unfortunate event
[00:20:46.900 --> 00:20:50.260]   at Three Mile Island in 1979,
[00:20:50.260 --> 00:20:53.460]   and also the formation of the Institute
[00:20:53.460 --> 00:20:55.300]   of Nuclear Power Operations.
[00:20:55.300 --> 00:20:56.660]   And I think what you're asking about
[00:20:56.660 --> 00:20:58.660]   is a fundamental thing in nuclear
[00:20:58.660 --> 00:21:02.940]   and our nuclear industry is anything that happens anywhere
[00:21:02.940 --> 00:21:04.100]   happens to all of us.
[00:21:04.100 --> 00:21:06.900]   And we're a culture of continuous improvement,
[00:21:06.900 --> 00:21:09.460]   a culture of self-aware and self-correcting,
[00:21:09.460 --> 00:21:10.740]   and we wanna learn from each other.
[00:21:10.740 --> 00:21:12.300]   So we share information.
[00:21:12.300 --> 00:21:15.660]   You don't see that between the airline industries.
[00:21:15.660 --> 00:21:18.460]   I heard an example recently, even with hospitals,
[00:21:18.460 --> 00:21:22.180]   even the same hospitals in different units, we value that.
[00:21:22.180 --> 00:21:26.340]   Something happens with a certain motor or a pump
[00:21:26.340 --> 00:21:30.180]   or a generator or human performance item,
[00:21:30.180 --> 00:21:32.820]   it's called operating experience.
[00:21:32.820 --> 00:21:35.020]   We all own that.
[00:21:35.020 --> 00:21:38.100]   We enter it into a system called Corrective Action Program,
[00:21:38.100 --> 00:21:40.740]   get the learnings from it, make adjustments we need to,
[00:21:40.740 --> 00:21:45.300]   to how we operate, train, do maintenance and so forth.
[00:21:45.300 --> 00:21:50.300]   And that's just a continuum as we seek excellence
[00:21:50.300 --> 00:21:53.340]   and again, safe and reliable operations.
[00:21:53.340 --> 00:21:54.180]   That's great.
[00:21:54.180 --> 00:21:55.900]   Well, one of the things Bill and I
[00:21:55.900 --> 00:21:58.460]   are gonna spend a lot of time talking about today
[00:21:58.460 --> 00:22:01.700]   is the cost differential around the world
[00:22:01.700 --> 00:22:05.060]   from building Vogel
[00:22:05.060 --> 00:22:08.740]   versus what they're building AP1000s for
[00:22:08.740 --> 00:22:11.380]   in South Korea, as an example.
[00:22:11.380 --> 00:22:15.180]   When you think about the state of the supply chain
[00:22:15.180 --> 00:22:16.060]   in the United States,
[00:22:16.060 --> 00:22:18.460]   when you think about that talent network
[00:22:18.460 --> 00:22:22.020]   that you're a part of, right?
[00:22:22.020 --> 00:22:25.540]   That you have to go tap into when you wanna hire people.
[00:22:25.540 --> 00:22:27.100]   You know, there's a certain amount of that
[00:22:27.100 --> 00:22:30.820]   that we gotta tap into just to keep the 94 reactors online.
[00:22:30.820 --> 00:22:33.980]   But if we wanna start building more reactors, more Vogels,
[00:22:33.980 --> 00:22:36.660]   and we wanna drive down the costs, right?
[00:22:36.660 --> 00:22:39.660]   Of scaling up these level three
[00:22:39.660 --> 00:22:42.060]   and now advanced nuclear reactors.
[00:22:42.060 --> 00:22:44.100]   Do we have the talent?
[00:22:44.100 --> 00:22:45.900]   Do we have the supply chain?
[00:22:45.900 --> 00:22:47.140]   Do we have the capability?
[00:22:47.140 --> 00:22:48.220]   What needs to be done?
[00:22:48.220 --> 00:22:50.060]   What do you wish was different today?
[00:22:50.060 --> 00:22:53.140]   Well, that's a great question.
[00:22:53.140 --> 00:22:58.140]   It did take a Herculean effort to get the human resources
[00:22:58.140 --> 00:23:01.020]   and the other resources we needed, but we did it.
[00:23:01.020 --> 00:23:02.980]   You know, we had a mantra around here.
[00:23:02.980 --> 00:23:06.500]   What needs to be true to hire the people we need
[00:23:06.500 --> 00:23:10.900]   to restart up our senior reactor operator license classes,
[00:23:11.780 --> 00:23:14.460]   to get operators trained and qualified
[00:23:14.460 --> 00:23:17.820]   and proficient can be upwards of three, four years.
[00:23:17.820 --> 00:23:19.140]   You know, what do we need to do that?
[00:23:19.140 --> 00:23:20.180]   But we did it.
[00:23:20.180 --> 00:23:22.540]   But on a macro level, on a bigger scale
[00:23:22.540 --> 00:23:27.300]   for the US and on supply chain, I can't emphasize enough.
[00:23:27.300 --> 00:23:29.620]   It's a collective effort.
[00:23:29.620 --> 00:23:33.260]   And you have to also fold in there the financial part of it
[00:23:33.260 --> 00:23:35.060]   and the regulatory model of it.
[00:23:35.060 --> 00:23:41.100]   We are a highly regulated industry
[00:23:41.100 --> 00:23:42.940]   and that's good.
[00:23:42.940 --> 00:23:45.300]   You know, we're running a nuclear reactors
[00:23:45.300 --> 00:23:48.260]   and nuclear power plants, you know,
[00:23:48.260 --> 00:23:52.140]   but there were ways that we were able to put
[00:23:52.140 --> 00:23:55.900]   in more innovation or processes or tools to navigate
[00:23:55.900 --> 00:23:58.860]   through a 3000 page license renewal application,
[00:23:58.860 --> 00:23:59.700]   for instance.
[00:23:59.700 --> 00:24:01.380]   So there needs to be that kind of thinking,
[00:24:01.380 --> 00:24:04.380]   that kind of breakthrough thinking on, you know,
[00:24:04.380 --> 00:24:05.780]   how do we get there?
[00:24:05.780 --> 00:24:10.780]   And I worry sometimes that there might be a group over here
[00:24:10.820 --> 00:24:12.460]   trying to do it in a group over here
[00:24:12.460 --> 00:24:13.500]   and then they're competing
[00:24:13.500 --> 00:24:15.740]   and then it's just not gonna come to fruition.
[00:24:15.740 --> 00:24:20.740]   Like, how do we do that on a national energy policy level
[00:24:20.740 --> 00:24:23.140]   to move forward?
[00:24:23.140 --> 00:24:25.860]   I'm very encouraged by the, you know,
[00:24:25.860 --> 00:24:28.260]   the civil nuclear credit program that we qualified for
[00:24:28.260 --> 00:24:30.820]   by the DOE, the ADVANCE Act.
[00:24:30.820 --> 00:24:32.740]   I mean, it's a bipartisan discussion now.
[00:24:32.740 --> 00:24:34.780]   So I think that's been a huge step.
[00:24:34.780 --> 00:24:38.820]   So I have hope, but you need to have that breakthrough
[00:24:38.820 --> 00:24:41.060]   and that what needs to be true thinking
[00:24:41.060 --> 00:24:42.780]   to collectively get that done.
[00:24:42.780 --> 00:24:47.740]   Another thing, Bill, that was amazing to me today,
[00:24:47.740 --> 00:24:52.220]   you know, I've heard a lot about nuclear waste, right?
[00:24:52.220 --> 00:24:53.780]   Spent fuel rods.
[00:24:53.780 --> 00:24:57.180]   And we had the chance to go by the safety facility
[00:24:57.180 --> 00:24:59.620]   where you store these spent fuel rods.
[00:24:59.620 --> 00:25:01.220]   And there are two things that struck me
[00:25:01.220 --> 00:25:02.420]   as pretty extraordinary.
[00:25:02.420 --> 00:25:06.980]   One, and maybe you could just share, like, you know,
[00:25:06.980 --> 00:25:10.820]   what is the space required for the spent fuel rods
[00:25:10.820 --> 00:25:11.660]   in the United States?
[00:25:11.660 --> 00:25:14.220]   And this is, given that we have a moratorium,
[00:25:14.220 --> 00:25:17.540]   we could reprocess 90% of this, but we don't,
[00:25:17.540 --> 00:25:18.380]   like France does.
[00:25:18.380 --> 00:25:20.780]   So even in the case where we don't reprocess
[00:25:20.780 --> 00:25:23.540]   any of these fuel rods, I think you said,
[00:25:23.540 --> 00:25:27.740]   you gave an incredible fact about the total space
[00:25:27.740 --> 00:25:29.940]   that would be occupied from all the spent fuel rods,
[00:25:29.940 --> 00:25:32.620]   from all 94 of the nuclear plants.
[00:25:32.620 --> 00:25:34.700]   And I just thought sharing that information
[00:25:34.700 --> 00:25:35.540]   would be interesting.
[00:25:35.540 --> 00:25:36.380]   - Yeah, absolutely.
[00:25:36.380 --> 00:25:40.060]   So absent of having a federal facility
[00:25:40.060 --> 00:25:42.420]   to take all of the spent nuclear fuel
[00:25:42.420 --> 00:25:44.700]   from all the commercial nuclear reactors,
[00:25:44.700 --> 00:25:47.820]   each of the individual utilities or sites
[00:25:47.820 --> 00:25:51.340]   have their own independent spent fuel storage installation.
[00:25:51.340 --> 00:25:54.060]   We all have an acronym, ISFSI, that you saw today,
[00:25:54.060 --> 00:25:55.260]   I took you up there.
[00:25:55.260 --> 00:25:58.780]   And our pad has enough capacity
[00:25:58.780 --> 00:26:00.860]   for all 40 years of the original license.
[00:26:00.860 --> 00:26:03.620]   And we have enough for 60 years collectively on site,
[00:26:03.620 --> 00:26:05.860]   or over 60 years, including the spent fuel pools,
[00:26:05.860 --> 00:26:06.860]   the wet storage.
[00:26:06.860 --> 00:26:09.860]   You roll up all of that footprint,
[00:26:09.860 --> 00:26:11.460]   and you got to see it's very small.
[00:26:11.460 --> 00:26:15.580]   And you take all of the over 100 units in the United States,
[00:26:15.580 --> 00:26:17.980]   it would fit in the size of a football field
[00:26:17.980 --> 00:26:19.580]   up to the goal posts.
[00:26:19.580 --> 00:26:23.300]   And that's the total of the spent nuclear fuel.
[00:26:23.300 --> 00:26:25.020]   Now you start reprocessing that,
[00:26:25.020 --> 00:26:28.900]   and you have, again, a federal policy change
[00:26:28.900 --> 00:26:30.220]   from the Carter administration
[00:26:30.220 --> 00:26:32.780]   to allow for reprocessing like France does.
[00:26:32.780 --> 00:26:36.180]   You can get about, you hear numbers between 80, 90%
[00:26:36.180 --> 00:26:41.020]   of isotopic use of being able to use it again.
[00:26:41.020 --> 00:26:43.460]   - That's extraordinary.
[00:26:43.460 --> 00:26:44.500]   Single football field,
[00:26:44.500 --> 00:26:47.660]   and we could actually reprocess 90% of that.
[00:26:47.660 --> 00:26:48.540]   - And that would help a lot
[00:26:48.540 --> 00:26:50.580]   on your supply chain question,
[00:26:50.580 --> 00:26:51.820]   with where the market is right now
[00:26:51.820 --> 00:26:54.700]   with enriched uranium product and so forth.
[00:26:54.700 --> 00:26:55.580]   - Yeah.
[00:26:55.580 --> 00:26:57.580]   One thing I would just highlight
[00:26:57.580 --> 00:27:02.580]   is really I was blown away by the operational excellence.
[00:27:02.980 --> 00:27:05.940]   You can see it in everything that's going on here.
[00:27:05.940 --> 00:27:10.940]   And I do think Diablo was this kind of massive turning point
[00:27:10.940 --> 00:27:14.140]   for the industry, for the nuclear industry in the US.
[00:27:14.140 --> 00:27:15.460]   There was so much.
[00:27:15.460 --> 00:27:19.380]   I think people were committed to decommissioning this thing
[00:27:19.380 --> 00:27:22.300]   that many of us believe is the cleanest,
[00:27:22.300 --> 00:27:25.820]   most resourceful source of power you could have.
[00:27:25.820 --> 00:27:30.420]   And as you stated, now we have a lot of momentum,
[00:27:30.420 --> 00:27:33.740]   bipartisan support for the industry writ large.
[00:27:33.740 --> 00:27:36.780]   So anyway, I think we all owe you thanks
[00:27:36.780 --> 00:27:38.540]   for what you guys have done here.
[00:27:38.540 --> 00:27:39.660]   It's pretty impressive.
[00:27:39.660 --> 00:27:43.420]   - It's an incredible team out here that are dedicated,
[00:27:43.420 --> 00:27:46.180]   committed to those excellent standards.
[00:27:46.180 --> 00:27:47.740]   They're community members.
[00:27:47.740 --> 00:27:49.340]   They teach little league.
[00:27:49.340 --> 00:27:52.340]   We contribute so much with volunteer hours.
[00:27:52.340 --> 00:27:54.580]   There's so much pride out here and there's generations
[00:27:54.580 --> 00:27:56.700]   of people out here and their footprint,
[00:27:56.700 --> 00:27:59.340]   which is you can't walk around San Luis Obispo
[00:27:59.340 --> 00:28:01.260]   and say you work at Diablo Canyon and say,
[00:28:01.260 --> 00:28:02.140]   "Oh, do you know?"
[00:28:02.140 --> 00:28:04.540]   I mean, it's just, it's incredible.
[00:28:04.540 --> 00:28:05.380]   - That's great.
[00:28:05.380 --> 00:28:07.900]   - You know, I also recently listened to a podcast
[00:28:07.900 --> 00:28:10.940]   with Patty Poppe, the CEO of PG&E.
[00:28:10.940 --> 00:28:11.780]   - I know her.
[00:28:11.780 --> 00:28:12.940]   - It was great.
[00:28:12.940 --> 00:28:17.940]   Your boss, your boss, for everybody else, the CEO of PG&E.
[00:28:17.940 --> 00:28:22.340]   And it was great to hear her support for Diablo Canyon.
[00:28:22.340 --> 00:28:25.340]   It was great to hear her support for, frankly,
[00:28:25.340 --> 00:28:27.460]   a lot of innovation, right?
[00:28:27.460 --> 00:28:30.820]   Whether it's grid innovation, whether it's two-way,
[00:28:30.820 --> 00:28:33.620]   you know, charge and discharge with cars,
[00:28:33.620 --> 00:28:36.620]   whether it's undergrounding of power transmission lines,
[00:28:36.620 --> 00:28:38.300]   which we talked a lot about today,
[00:28:38.300 --> 00:28:40.340]   leads to higher efficiency, you know,
[00:28:40.340 --> 00:28:45.340]   less, you know, lower cost to retail customers.
[00:28:45.340 --> 00:28:48.940]   So it does feel like there's a lot of upside
[00:28:48.940 --> 00:28:53.380]   and Diablo's, you know, kind of the tip of that spear.
[00:28:53.380 --> 00:28:55.220]   Thanks for having us.
[00:28:55.220 --> 00:28:58.580]   We're certainly, you know, going to put the word out
[00:28:58.580 --> 00:28:59.820]   to the governor and others.
[00:28:59.820 --> 00:29:02.220]   I would love to see this place extended for 15 years.
[00:29:02.220 --> 00:29:05.340]   It's the type of optionality that we need in the state.
[00:29:05.340 --> 00:29:09.980]   And frankly, a huge portion of the incremental bid
[00:29:09.980 --> 00:29:13.180]   for power is coming out of Silicon Valley, right?
[00:29:13.180 --> 00:29:17.100]   Power is the primitive for AI.
[00:29:17.100 --> 00:29:21.180]   And that's why China is heads down in this race.
[00:29:21.180 --> 00:29:23.980]   And they're taking our technology, right?
[00:29:23.980 --> 00:29:27.460]   And they're, you know, they're improving it.
[00:29:27.460 --> 00:29:29.740]   And it's high time, I think, that the United States
[00:29:29.740 --> 00:29:33.020]   got, you know, back on board and with leaders like you,
[00:29:33.020 --> 00:29:34.260]   you know, at the front of the pack,
[00:29:34.260 --> 00:29:35.260]   I think we're in a good place.
[00:29:35.260 --> 00:29:36.700]   So thanks for being with us today.
[00:29:36.700 --> 00:29:37.580]   Thank you for being here.
[00:29:37.580 --> 00:29:38.860]   It's been a great day.
[00:29:38.860 --> 00:29:40.500]   Before I kick in with a little bit of background,
[00:29:40.500 --> 00:29:42.980]   I do want to thank the incredible team at Diablo,
[00:29:42.980 --> 00:29:45.140]   Maureen Zwolnick, you know,
[00:29:45.140 --> 00:29:47.980]   who is one of the incredible leaders here.
[00:29:47.980 --> 00:29:51.060]   And, you know, a startup founder, Trey Lauderdale.
[00:29:51.060 --> 00:29:55.460]   You know, after we talked about nuclear on pod six,
[00:29:55.460 --> 00:29:56.740]   he reached out to me, he said,
[00:29:56.740 --> 00:29:59.620]   hey, I think there's incredible opportunities here
[00:29:59.620 --> 00:30:01.940]   to make it even more efficient leveraging AI.
[00:30:01.940 --> 00:30:04.220]   He's got a partnership here with Diablo.
[00:30:04.220 --> 00:30:06.700]   And so thanks to them for having us down here.
[00:30:06.700 --> 00:30:08.140]   It's been a great day.
[00:30:08.140 --> 00:30:10.700]   And to give ourselves a little bit of credit,
[00:30:10.700 --> 00:30:12.860]   one advantage you have as an outsider
[00:30:12.860 --> 00:30:15.460]   is you see things with a fresh set of eyes.
[00:30:15.460 --> 00:30:17.860]   And so maybe for the audience,
[00:30:17.860 --> 00:30:21.140]   we will uncover a few tidbits that they will find useful
[00:30:21.140 --> 00:30:22.260]   as they think about this.
[00:30:22.260 --> 00:30:23.540]   Yeah, I mean, listen,
[00:30:23.540 --> 00:30:26.780]   I have to say that I'm embarrassed how little I focused
[00:30:26.780 --> 00:30:29.300]   on this issue up until a few years ago.
[00:30:29.300 --> 00:30:32.060]   The truth is the United States has been a global leader
[00:30:32.060 --> 00:30:35.380]   in nuclear power for 50 years, okay?
[00:30:35.380 --> 00:30:37.300]   We commissioned our first nuclear
[00:30:37.300 --> 00:30:41.100]   electricity generating plant in 1957.
[00:30:41.100 --> 00:30:42.740]   The majority of American plants
[00:30:42.740 --> 00:30:44.820]   are built in the '70s and '80s.
[00:30:44.820 --> 00:30:49.580]   We have 94 plants today online representing 31%
[00:30:49.580 --> 00:30:52.540]   of the world's total nuclear energy production.
[00:30:52.540 --> 00:30:57.020]   It's 20% of total US power production
[00:30:57.020 --> 00:31:00.940]   and nearly 50% of US clean energy production.
[00:31:00.940 --> 00:31:03.900]   It's large, it's at scale, we've been leaders.
[00:31:03.900 --> 00:31:07.340]   The problem is that it represents the effects
[00:31:07.340 --> 00:31:11.140]   of investments and efforts and an installed base
[00:31:11.140 --> 00:31:15.340]   that largely stopped in the 1990s, right?
[00:31:15.340 --> 00:31:17.780]   China's on track, on the other hand,
[00:31:17.780 --> 00:31:21.740]   to bring on more capacity in the next 10 years
[00:31:21.740 --> 00:31:24.340]   than we've brought on in the last 40 years.
[00:31:24.340 --> 00:31:27.980]   They're expected to pass us in terms of total power
[00:31:27.980 --> 00:31:32.780]   generation from nuclear by 2030 or thereabouts.
[00:31:32.780 --> 00:31:35.620]   Our supply chain is atrophying.
[00:31:35.620 --> 00:31:38.540]   However, there does seem to be some growing
[00:31:38.540 --> 00:31:42.740]   bipartisan recognition that we gotta get this back on track.
[00:31:42.740 --> 00:31:45.700]   And that's a key reason we wanted to come down here today.
[00:31:45.700 --> 00:31:50.580]   So as you look at this, Bill, what are some of the things
[00:31:50.580 --> 00:31:54.020]   that we ought to just set as a baseline about nuclear?
[00:31:54.020 --> 00:31:57.220]   Well, one thing that I would say is super important,
[00:31:57.220 --> 00:31:59.980]   especially because we have an audience
[00:31:59.980 --> 00:32:01.420]   that includes entrepreneurs,
[00:32:01.420 --> 00:32:04.580]   we're gonna talk first about level three fission.
[00:32:04.580 --> 00:32:05.700]   Yes, yes.
[00:32:05.700 --> 00:32:07.700]   There's level four, which is a different type
[00:32:07.700 --> 00:32:08.580]   of cooling technique.
[00:32:08.580 --> 00:32:11.100]   There's one plant in China doing that.
[00:32:11.100 --> 00:32:13.820]   There's SMRs, which are small modular reactors,
[00:32:13.820 --> 00:32:16.580]   which a lot of startups are excited about.
[00:32:16.580 --> 00:32:18.980]   And then there's obviously eventually fusion,
[00:32:18.980 --> 00:32:22.140]   which is a big unknown about the timeline.
[00:32:22.140 --> 00:32:25.740]   But for the next window until we stop,
[00:32:25.740 --> 00:32:28.420]   we're just talking about level three fission,
[00:32:28.420 --> 00:32:31.460]   which is a big scale out discussion.
[00:32:31.460 --> 00:32:33.300]   That's what's operating here at Diablo.
[00:32:33.300 --> 00:32:35.180]   That's what's operating in the majority
[00:32:35.180 --> 00:32:37.260]   of nuclear plants around the world.
[00:32:37.260 --> 00:32:41.140]   So a couple of ways you could go through things.
[00:32:41.140 --> 00:32:45.580]   First of all, we have been through this roller coaster
[00:32:45.580 --> 00:32:50.500]   of emotional beliefs about nuclear energy.
[00:32:50.500 --> 00:32:54.140]   And many people tie that way back to association
[00:32:54.140 --> 00:32:57.300]   with the bomb and this inability to think
[00:32:57.300 --> 00:32:59.660]   about these two things separately.
[00:32:59.660 --> 00:33:02.980]   We had the Three Mile Island incident,
[00:33:02.980 --> 00:33:07.500]   Chernobyl, Fukushima, and all these things have an impact
[00:33:07.500 --> 00:33:10.020]   on what people's perceptions of nuclear.
[00:33:10.020 --> 00:33:12.620]   I would argue based on the research I've done,
[00:33:12.620 --> 00:33:15.380]   the healthcare impact of all three of those disasters
[00:33:15.380 --> 00:33:19.180]   is tiny compared to the healthcare impact of coal
[00:33:19.180 --> 00:33:22.420]   or other technologies that nuclear competes with.
[00:33:22.420 --> 00:33:23.780]   But people's perception,
[00:33:23.780 --> 00:33:26.900]   the media overplayed those things as well.
[00:33:26.900 --> 00:33:31.060]   And it's only been recently that the public sentiment
[00:33:31.060 --> 00:33:34.340]   has started to swing back in favor of nuclear.
[00:33:34.340 --> 00:33:37.900]   Most of the brightest people in our industry,
[00:33:37.900 --> 00:33:42.900]   that Elon, Patrick Collison, I see a pro-nuclear bias.
[00:33:42.900 --> 00:33:46.580]   And I'm a huge fan of people like Steve Pinker,
[00:33:46.580 --> 00:33:48.740]   who's one of the great thinkers in our world.
[00:33:48.740 --> 00:33:51.100]   He's got a huge pro-nuclear bias.
[00:33:51.100 --> 00:33:54.380]   But a lot of people weren't on that page.
[00:33:54.380 --> 00:33:56.460]   Now, more and more people are on that page.
[00:33:56.460 --> 00:33:58.660]   - I mean, what's amazing is even in Japan,
[00:33:58.660 --> 00:34:00.220]   where after Fukushima,
[00:34:00.220 --> 00:34:02.580]   they took all 30 nuclear reactors offline.
[00:34:02.580 --> 00:34:04.620]   I think they have 75% approval rating
[00:34:04.620 --> 00:34:06.940]   for people wanting to put those reactors back online,
[00:34:06.940 --> 00:34:10.540]   because I think there's a recognition in the world, okay,
[00:34:10.540 --> 00:34:12.820]   that it's clean.
[00:34:12.820 --> 00:34:17.100]   It's the type of dense, always-on nuclear power
[00:34:17.100 --> 00:34:17.940]   that you need. - It's incredible.
[00:34:17.940 --> 00:34:20.340]   - And the facts are just undisputable.
[00:34:20.340 --> 00:34:21.340]   It's safe.
[00:34:21.340 --> 00:34:23.860]   - Well, and this goes back to that statement.
[00:34:23.860 --> 00:34:27.180]   I think I actually stole it from Joshua at Lux,
[00:34:27.180 --> 00:34:30.460]   but that if this were discovered today,
[00:34:30.460 --> 00:34:31.300]   people would be like,
[00:34:31.300 --> 00:34:33.540]   "Oh my God, climate change is solved."
[00:34:33.540 --> 00:34:35.620]   But if we let it go through this place
[00:34:35.620 --> 00:34:39.020]   where it was associated with these negative things,
[00:34:39.020 --> 00:34:40.220]   I don't think we're accurate.
[00:34:40.220 --> 00:34:43.060]   But now, hopefully, we're moving to a place
[00:34:43.060 --> 00:34:44.580]   where people are open-minded.
[00:34:44.580 --> 00:34:47.060]   So you could also look through
[00:34:47.060 --> 00:34:48.380]   a bunch of different countries.
[00:34:48.380 --> 00:34:51.220]   So France is, most people know this,
[00:34:51.220 --> 00:34:53.620]   75% of their energy from nuclear.
[00:34:53.620 --> 00:34:56.660]   They've been the one that stayed in there the longest,
[00:34:56.660 --> 00:34:58.100]   leaned in the hardest.
[00:34:58.100 --> 00:35:00.500]   You have Germany, which I think people think of
[00:35:00.500 --> 00:35:02.180]   as the ultimate disaster,
[00:35:02.180 --> 00:35:04.260]   where they've taken all their plants,
[00:35:04.260 --> 00:35:06.100]   they've decommissioned everything.
[00:35:06.100 --> 00:35:09.460]   And because of some of the things
[00:35:09.460 --> 00:35:11.300]   that have played out in the European market,
[00:35:11.300 --> 00:35:15.580]   they're now a net importer of fossil fuel energy.
[00:35:15.580 --> 00:35:17.900]   - Disastrous.
[00:35:17.900 --> 00:35:19.940]   They got sold a bill of good by the Greens.
[00:35:19.940 --> 00:35:22.780]   Merkel decides to shut down all the nuclear power plants.
[00:35:22.780 --> 00:35:26.380]   You can see how it just falls off a cliff and goes to zero.
[00:35:26.380 --> 00:35:30.580]   And instead, they're getting fossil fuel-produced energy.
[00:35:30.580 --> 00:35:33.780]   They're less secure, both from an energy perspective.
[00:35:33.780 --> 00:35:35.260]   I mean, remember at the start
[00:35:35.260 --> 00:35:38.020]   of the Russian invasion of Ukraine,
[00:35:38.020 --> 00:35:40.140]   we had all the conversations as to whether or not
[00:35:40.140 --> 00:35:42.380]   people were gonna freeze in Germany during the winter,
[00:35:42.380 --> 00:35:44.500]   et cetera, because they had taken all these plants offline.
[00:35:44.500 --> 00:35:45.340]   - Unbelievable.
[00:35:45.340 --> 00:35:48.340]   And one thing we've learned through this process is,
[00:35:48.340 --> 00:35:52.140]   one of the silliest things you could possibly do
[00:35:52.140 --> 00:35:55.140]   is decommission 'cause you already paid for the damn thing.
[00:35:55.140 --> 00:35:57.820]   Once you turn one off, as Marina shared with us,
[00:35:57.820 --> 00:35:59.340]   it's a lot harder to bring it back.
[00:35:59.340 --> 00:36:01.620]   We're gonna see if that can work.
[00:36:01.620 --> 00:36:02.700]   - Right.
