
[00:00:00.000 --> 00:00:11.680]   Well, hi, everyone. Welcome back to another episode of Everyday Educator. Today I have
[00:27:01.360 --> 00:27:07.620]   Well, I'm trying to think, I think one of the, one of the things that make, that can make students
[00:27:07.620 --> 00:27:17.420]   get overwhelmed is maybe the amount of work that's expected by mom or dad. So I was always the one who
[00:27:17.420 --> 00:27:23.720]   wanted them to finish the entire page. I did not want them to do odds or evens. I wanted them to do it
[00:27:23.720 --> 00:27:29.780]   all because I was afraid that if I didn't do odds or evens, they would miss something. Right. You
[00:27:29.780 --> 00:27:37.200]   know? And so I always wanted my kids to finish the entire page. And I think it got to a point where
[00:27:37.200 --> 00:27:43.400]   there was, there was one lesson that, um, it was so frustrating and he had been doing work for well
[00:27:43.400 --> 00:27:51.320]   over an hour and he was just frustrated and he just wasn't getting it. And I thought maybe I shouldn't
[00:27:51.320 --> 00:27:55.260]   make him, but I kept going back and forth. Like, should I make him finish? Should I not make him
[00:27:55.260 --> 00:28:00.960]   finish? And he took a break. He put it away for the rest of the day. And he went back to that same
[00:28:00.960 --> 00:28:08.420]   lesson the next day and something clicked and he got it. So he still finished the page. I still didn't go
[00:28:08.420 --> 00:28:15.400]   back on my, my, you know, I wanted you to finish the whole page. Um, but he just needed a break. And I
[00:28:15.400 --> 00:28:21.100]   think sometimes we just need the break. We just need a few minutes or maybe the rest of the day
[00:28:21.100 --> 00:28:25.420]   to think about something else. Um, and somebody was telling me that there's some kind of learning
[00:28:25.420 --> 00:28:32.180]   style thing where if your brain is just so clouded with this one concept you're trying to work on,
[00:28:32.180 --> 00:28:36.960]   just taking a break and doing something else and then coming back to it, you just look at it
[00:28:36.960 --> 00:28:44.700]   differently. And so I think that that helps is letting your kids take a break. Um, obviously if it's,
[00:28:44.700 --> 00:28:51.000]   if they're crying, then we need to stop, especially if my boys, like if my boys are crying about math,
[00:28:51.020 --> 00:28:56.660]   we need to stop. Like there's something really wrong. Um, or it might not necessarily be a math
[00:28:56.660 --> 00:29:02.540]   thing. It might be something else. Like maybe they know that we have to leave in 20 minutes to go
[00:29:02.540 --> 00:29:07.020]   somewhere and they know they can't finish this in 20 minutes. And so they're freaking out because
[00:29:07.020 --> 00:29:13.140]   they're not going to finish it. And it just so many emotions. So sometimes we have to kind of get to
[00:29:13.140 --> 00:29:17.700]   the real reason why they're being anxious or why they're having trouble. Is it because they're
[00:29:17.700 --> 00:29:22.200]   thinking of other things that they've got to get done or is it because this is too hard? This is
[00:29:22.200 --> 00:29:27.200]   overwhelming right now. And I just need a break. So I think it's, we just have to know our kids,
[00:29:27.200 --> 00:29:32.720]   you know, and it's going to be trial and error. I mean, you know, we're not given a manual from the
[00:29:32.720 --> 00:29:37.320]   hospital where we're always trial and error. I mean, I guess we do have the Bible, right? That is probably
[00:29:37.320 --> 00:29:42.800]   the closest thing we have to a manual. But with these kinds of things, you know, I feel like it
[00:29:42.800 --> 00:29:48.040]   is trial and error, but I think, you know, your kid. So if every single day they're crying,
[00:29:48.040 --> 00:29:52.780]   then there's something's got to change, right? There's got to be something different that we need
[00:29:52.780 --> 00:29:58.220]   to do. Maybe it's the curriculum, but maybe it's just something else, you know, maybe trying to get
[00:29:58.220 --> 00:30:03.740]   to the root of it. Maybe it's a character thing. Maybe I'm pushing them too hard. Maybe they don't need
[00:30:03.740 --> 00:30:07.880]   to do all the problems. Maybe they only need to do the odds or the evens, right? Or whatever,
[00:30:07.880 --> 00:30:13.440]   you know, whatever it is I'm making them do. Because I do feel like I expect a lot from my kids. I always
[00:30:13.440 --> 00:30:19.940]   have. And so there have been a couple of times when I've had to say, okay, we're not going to turn that
[00:30:19.940 --> 00:30:25.240]   paper in this week. I'll let you, I'll let you, you know, present from an outline because I know you
[00:30:25.240 --> 00:30:30.360]   worked hard and you got to this point, you know, so I think, you know, we have to know our kids and
[00:30:30.360 --> 00:30:35.920]   know where those lines are, but being willing to think outside of just, is it this math that I'm
[00:30:35.920 --> 00:30:41.100]   working on or is it something else? Is it a character thing or is it just stuff that's going on in my
[00:30:41.100 --> 00:30:45.720]   life that's distracting me from what I'm trying to work on right now? Does that make sense?
[00:30:45.720 --> 00:30:51.340]   Hey everyone, we want to interrupt this show to tell you about the classical learning cohort.
[00:30:51.340 --> 00:30:57.360]   So the classical learning cohort is comprised of small groups of CC parents learning how to become
[00:30:57.360 --> 00:31:02.960]   more confident, competent classical teachers. I don't know about you, but being more confident
[00:31:02.960 --> 00:31:10.840]   as I'm teaching my children is exactly what I need and the CLC can get me there. So the CLC provides a
[00:31:10.840 --> 00:31:16.720]   welcome place for mentorship while helping you to practice the classical skills with hospitable
[00:31:16.720 --> 00:31:22.340]   assessment. With feedback from your peers and your mentors, you will experience the transformative
[00:31:22.340 --> 00:31:30.440]   growth as a classical Christian educator. So right now they're also offering a way for you to test out
[00:31:30.440 --> 00:31:38.120]   the CLC for free by attending one of their online events with a CLC mentor. All you need to do is go to
[00:31:38.120 --> 00:31:46.480]   classicalconversations.com forward slash cohort and search experience the CLC to find an event and time
[00:31:46.480 --> 00:31:51.220]   that fits your schedule. We hope that you enjoy the CLC. Let's get back to the show.
[00:31:51.220 --> 00:31:55.620]   One hundred percent. And I mean, is it, are they hungry?
[00:31:55.620 --> 00:32:00.060]   Is it protein? You know, is it the time of day?
[00:32:00.060 --> 00:32:03.840]   Like something you just said made me think,
[00:32:03.840 --> 00:32:09.880]   I wonder if part of my problem was the time of day because we would always do math in the afternoon.
[00:32:09.880 --> 00:32:13.080]   That's just how we did it. That was our routine. Math was never our favorite.
[00:32:13.080 --> 00:32:17.460]   So, you know, my mom didn't make us get it out of the way at the beginning of the day. I know that's
[00:32:17.460 --> 00:32:23.980]   a common thing to do. However, when I went to university, because of where I placed in math,
[00:32:23.980 --> 00:32:30.820]   I had one time that I could choose from and it was 8am. And then I went straight from my 8am class
[00:32:30.820 --> 00:32:36.660]   to the tutor. And we sat together for another hour because school wasn't even open yet. Like
[00:32:36.660 --> 00:32:41.540]   that's how early it was. And that's how behind, you know, I was for what I was trying to do.
[00:32:41.540 --> 00:32:46.720]   And it was fine. But all that to say, I think I needed to do it at the beginning of the day. I think
[00:32:46.720 --> 00:32:51.740]   I needed to do it when my brain was fresh. My mind was fresh. I wasn't bogged down by anything else.
[00:32:51.740 --> 00:32:56.980]   I didn't have anywhere else. I could be, you know, if nobody's even here right now, except for the people
[00:32:56.980 --> 00:33:02.980]   who have to do this little math class. And that set me up for success. So I love that you're saying,
[00:33:03.120 --> 00:33:09.160]   you know, kind of zoom out a little bit and take a step back and evaluate some of the other things
[00:33:09.160 --> 00:33:14.780]   that could be affecting your child. I didn't know until last week that if I told my child I was going
[00:33:14.780 --> 00:33:20.880]   to set a timer, which I, for me, that would have been, you know, encouraging that it would shut him
[00:33:20.880 --> 00:33:26.920]   down. He collapsed in 25 seconds. Just he couldn't handle it. The timer was the problem. It was the time
[00:33:26.920 --> 00:33:32.980]   constraint for me. I'm like, yes, now I have a goal. I didn't know. But again, maybe there's some sort
[00:33:32.980 --> 00:33:38.400]   of a figurative timer in your child's mind and they know that this other thing is happening because
[00:33:38.400 --> 00:33:42.080]   they do have a concept of time. And so they're feeling pressure, even though you didn't put that
[00:33:42.080 --> 00:33:47.560]   pressure there. Can you alleviate that? I just, I really wanted to reiterate what you said, because
[00:33:47.560 --> 00:33:56.060]   I think when it comes to topics like this or any challenge, some of it is the math problem itself,
[00:33:56.060 --> 00:34:00.860]   but most of it is everything around the math problem.
[00:34:00.860 --> 00:34:06.640]   Yeah. And, and going back to your thing about the timer. So I used to test kids. I used to give the
[00:34:06.640 --> 00:34:13.220]   Woodcock Johnson the end of year test and the timer. Oh my goodness. If, if I didn't tell them I was
[00:34:13.220 --> 00:34:19.120]   timing them, it was fine. But as soon as they saw the timer or they heard that clicking or whatever,
[00:34:19.120 --> 00:34:24.280]   it was like, Oh, she's timing me. I got to do really well. I got to do this fast, you know? And
[00:34:24.280 --> 00:34:31.040]   so, yeah, it's your environment, right? What if you sit underneath a clock? What if your dinner table
[00:34:31.040 --> 00:34:37.300]   is underneath the clock and all they hear is, I think that would drive me bananas. And I don't know
[00:34:37.300 --> 00:34:42.840]   that I could concentrate. Whereas some kids could play music in their ears while they're doing their
[00:34:42.840 --> 00:34:48.280]   math. I can't do that either. I've tried to like have worship music on while I'm working and I can't
[00:34:48.280 --> 00:34:53.860]   concentrate. So everybody's different and we've got to figure out what that is. And that doesn't
[00:34:53.860 --> 00:34:57.280]   really have anything to do with, I mean, it does kind of have to do with math, but it's not just math
[00:34:57.280 --> 00:35:03.440]   as all the other subjects. So whatever we're doing to accommodate our kids in other subjects,
[00:35:03.440 --> 00:35:09.740]   we need to do those with math. One thing I always, I hear about is, well, my kid has dyslexia, so he
[00:35:09.740 --> 00:35:17.020]   probably can't use this program. Sure he can. Whatever you've done in the other strands to, to help your
[00:35:17.020 --> 00:35:23.200]   student accomplish what you want them to accomplish, do those same things in math, right? If you look at
[00:35:23.200 --> 00:35:28.640]   a page and it's really, really busy, what do you do? Well, why don't you cover up everything except
[00:35:28.640 --> 00:35:34.780]   one little section? So all they have to do is focus on it. Or if you are using a digital device, make it
[00:35:34.780 --> 00:35:41.500]   bigger, right? Zoom it in and all they see is this one little thing. Because really our classical tools
[00:35:41.500 --> 00:35:46.760]   of attending, really paying attention to detail, oh, they would love that. They would love to pick
[00:35:46.760 --> 00:35:53.720]   one thing on this page and really pay attention to detail. So that's encouraging too, is that I don't
[00:35:53.720 --> 00:36:01.220]   necessarily think I need a specific curriculum for my student who has this challenge. It's just how am I
[00:36:01.220 --> 00:36:06.020]   going to approach it? Whatever I've been doing, you know, if I have to read aloud to my kid because they
[00:36:06.020 --> 00:36:10.700]   struggle reading. Well, as they get older, they can read audiobooks or they can look at the, you know,
[00:36:10.700 --> 00:36:16.080]   on the Kindle, you can, it'll read it to you, but you can actually see the words as they, they tap,
[00:36:16.080 --> 00:36:22.760]   right? So whatever I've done for my student in another strand, I can also do that with math. So it's,
[00:36:22.760 --> 00:36:29.120]   it's, it's still approachable, right? To, to any student out there, not just students who maybe be good,
[00:36:29.200 --> 00:36:36.540]   you know, work it at math. That's so true. And, and I feel like that's probably one of the most
[00:36:36.540 --> 00:36:45.760]   empowering aspects of being the parent and their first teacher and therefore their best teacher,
[00:36:45.760 --> 00:36:53.520]   because the Lord has allowed you to spend all this time with this child so that you can get to know
[00:36:53.520 --> 00:36:58.860]   them. And of course we're continuing to learn, but, but that's the edge. That's, that's the
[00:36:58.860 --> 00:37:04.280]   advantage that the Lord gives you as the homeschool parent, because it's your kid. So whereas a teacher
[00:37:04.280 --> 00:37:09.700]   who just met them may or may not know what they need or what works for them in this other context,
[00:37:09.700 --> 00:37:16.280]   you know, because you've seen them under pressure in so many other contexts that your tool belt is so
[00:37:16.280 --> 00:37:21.420]   full. So you can, you can draw on that. And it's true that I think sometimes we,
[00:37:21.420 --> 00:37:28.800]   maybe we default to what we've seen before when it comes to approaching certain subjects,
[00:37:28.800 --> 00:37:34.080]   especially math, especially science, some of those more, you know, heady topics, as we say.
[00:37:34.080 --> 00:37:39.000]   And so we just think to ourselves, okay, well, I can't apply what I know to be true about
[00:37:39.000 --> 00:37:43.460]   this other topic to math, because that's not how it's done. It doesn't matter how it's done.
[00:37:44.080 --> 00:37:48.240]   God has put you in charge of your child's education. And so this is what we're going to do.
[00:37:48.240 --> 00:37:56.080]   Yeah, exactly. And I mean, constantly going back to him, you know, like my, my two boys are
[00:37:56.080 --> 00:38:01.900]   completely different. What worked for my first was completely opposite of what my second, you know,
[00:38:01.900 --> 00:38:06.540]   so I'm still learning, right. Even as the older they get, we're still learning, but constantly going
[00:38:06.540 --> 00:38:11.580]   back to him and saying, Lord, help me know the right words to say to them. Or the white, if I'm,
[00:38:11.580 --> 00:38:15.860]   if I'm teaching something, give me the right words to explain this so that they understand,
[00:38:15.860 --> 00:38:22.680]   or give me patience as they're learning this and not me expecting them to get it on the first try.
[00:38:22.680 --> 00:38:26.540]   Right. Cause that it might not be that they're going to get it today. They might get it a week
[00:38:26.540 --> 00:38:32.300]   later. They might get it next year. Right. So continually going back to him, I think is so
[00:38:32.300 --> 00:38:37.240]   important to, to keep him as part of your schooling, no matter what subject you're doing
[00:38:37.240 --> 00:38:41.240]   is keeping him in the forefront, like going to him and say, Lord, I just don't get it. I'm not
[00:38:41.240 --> 00:38:45.860]   understanding this. Can you help me explain this? Can you help me understand this? And he will,
[00:38:45.860 --> 00:38:46.840]   he definitely will.
[00:38:46.840 --> 00:38:53.100]   He will. He's a good father. He knows how to give good gifts to his children. He's not withholding
[00:38:53.520 --> 00:39:01.460]   from us. You know, he's not like us. We may be flaky. We don't know everything, but he's not like
[00:39:01.460 --> 00:39:07.920]   that. And we can go to him for the answers and he wants to, he's waiting. I love that, that he's just
[00:39:07.920 --> 00:39:15.480]   waiting to give us the wisdom that we are, are looking for. Um, it's such an encouragement. And also I think
[00:39:15.480 --> 00:39:22.520]   that's, that's the beauty and the benefit that, that we get as the parent, like our, we're, we want our
[00:39:22.520 --> 00:39:28.540]   child to learn this math that we probably already did learn, but the benefit we get is walking with
[00:39:28.540 --> 00:39:33.080]   the Lord and walking with them in the process of them learning. We're learning maybe something
[00:39:33.080 --> 00:39:39.140]   completely unrelated, but it's growing our character while their character is growing as well. And that
[00:39:39.140 --> 00:39:46.960]   that's very true. Very true. Well, I know that I have a feeling you and I could talk for a long time
[00:39:46.960 --> 00:39:54.300]   about this. I'm curious about one of the questions that I sent you beforehand, which is about meeting
[00:39:54.300 --> 00:40:01.020]   God in the numbers. I'd never thought about this concept until I talked to Kirstie Gilpin. Never,
[00:40:01.020 --> 00:40:06.600]   never thought about it. Meeting God in the numbers. Like, what are you talking about? I know how to beg
[00:40:06.600 --> 00:40:14.160]   him for answers because I'm confused, but actually seeing his character in numbers, that was a new
[00:40:14.160 --> 00:40:20.600]   concept to me until I started interacting with the math map. And I'll be honest with you. I know it might
[00:40:20.600 --> 00:40:25.340]   sound dramatic, but it changed my life. It changed the way that I looked at the world around me because
[00:40:25.340 --> 00:40:31.720]   I just wasn't thinking, Hey, here's this tree. And it doesn't just illustrate the beauty of God,
[00:40:31.720 --> 00:40:40.880]   but it illustrates his order and like the structure and aspects of his intentionality and his character
[00:40:40.880 --> 00:40:48.440]   that you can only see if you know math. So since you get to work on the math map and you get to have
[00:40:48.440 --> 00:40:54.700]   these conversations with these brilliant ladies all the time, do you have an example of a time that
[00:40:54.700 --> 00:40:58.320]   you've met God in the numbers or through math recently?
[00:40:58.320 --> 00:41:07.220]   So I see it everywhere now. It's kind of weird. It's almost like you didn't know it was there before
[00:41:07.220 --> 00:41:15.340]   and now you're like, wow, like it's all around you. But I think a couple of weeks ago we had our week 30,
[00:41:15.340 --> 00:41:21.700]   our class, and they were sharing, they're seeing the unseen. They have to make this booklet where they
[00:41:21.700 --> 00:41:25.800]   walk around and they, they just pick random things. They draw pictures of them in their,
[00:41:25.800 --> 00:41:28.860]   in their booklet. And then they tell us where they see God and where they see math.
[00:41:28.860 --> 00:41:37.680]   And this one kid, I wasn't really sure what he got the whole year. I, you know, every, every week,
[00:41:37.680 --> 00:41:42.900]   you know, he would participate and he would, um, you know, he would do what he was supposed to do,
[00:41:42.900 --> 00:41:48.460]   but he, he didn't talk very much. And so I wasn't really sure what is he getting right? What is,
[00:41:48.540 --> 00:41:53.840]   and he could be getting more at home than, than in community, but he shared this one thing in his
[00:41:53.840 --> 00:41:58.460]   booklet and it almost made me cry. I like ran to his mom. I was like, ah, I need to tell you what he
[00:41:58.460 --> 00:42:04.300]   shared. So he drew a picture of a stop sign. And I said, okay, tell me where you see math and your
[00:42:04.300 --> 00:42:10.140]   stop sign. And he said, well, there's, there's angle lines. Um, sometimes there's parallel lines
[00:42:10.140 --> 00:42:15.000]   depending on what, you know, what sides you're looking on. It's obviously a shape, right? And I said,
[00:42:15.060 --> 00:42:20.280]   okay, well, how do you see God in a stop sign? And he said, well, the stop sign tells you what to do.
[00:42:20.280 --> 00:42:25.320]   And then it also protects you because if you don't do what it says, then you get, you know,
[00:42:25.320 --> 00:42:29.820]   a car runs into you. And that's what God does, right? He gives you instructions. He tells you what to
[00:42:29.820 --> 00:42:36.600]   do. And then he protects you. He's giving you those things to protect you. And I was just floored. I'm
[00:42:36.600 --> 00:42:43.700]   like, this kid's 13 years old. And that's what he got from looking at a stop sign because of all of
[00:42:43.700 --> 00:42:48.040]   these conversations that we've had in community about looking at things and trying to see the math
[00:42:48.040 --> 00:42:55.040]   and trying to see God. And I just got goosebumps. And I was like, wow, like if that is all you got,
[00:42:55.040 --> 00:43:02.620]   which I'm sure he got more, if that's all he got, what a big deal. And so it just made me think of all
[00:43:02.620 --> 00:43:09.200]   the little things that I take for granted looking around. Maybe God was showing me that stop sign
[00:43:09.200 --> 00:43:13.600]   over and over again. And I just, it just wasn't clicking to me that that's the connection. And I
[00:43:13.600 --> 00:43:18.620]   had a 13 year old to point it out to me to say, what, did you know that this stop sign really shows
[00:43:18.620 --> 00:43:25.980]   you God's character and what, you know, that just goes to show you that our kids do teach us so much
[00:43:25.980 --> 00:43:31.260]   more than what we think, right? We think we're teaching them, but man, they're really teaching us.
[00:43:31.260 --> 00:43:37.880]   And so I get excited about the math map just because of that conversation that we get to have
[00:43:37.880 --> 00:43:43.940]   with those kids. We look at a piece of art and we try to find math stuff. We try to find God in this
[00:43:43.940 --> 00:43:52.000]   work of art. It starts out very comical. Like a week one, there's this, it's like all these things
[00:43:52.000 --> 00:43:56.680]   jumbled up together. There's this, there's this dog at the bottom of the screen and, and he's very
[00:43:56.680 --> 00:44:02.900]   malnourished. And my kids will say, well, I see God because there's a dog there and God made dogs.
[00:44:02.900 --> 00:44:08.700]   Okay. I mean, that's really simplistic. Well, I'll try to point out where there's an, there's an angel
[00:44:08.700 --> 00:44:13.260]   in this picture and she looks really sad. Like, why do you think this angel is sad? And he was like,
[00:44:13.260 --> 00:44:19.080]   well, obviously the dog's bones are sticking out. Nobody fed the dog. That's why she's sad.
[00:44:19.580 --> 00:44:24.260]   And so getting to have those conversations, that's how they start at the beginning of the year,
[00:44:24.260 --> 00:44:30.140]   but then they end up like the stop sign. And so if we get to be a part of that,
[00:44:30.140 --> 00:44:35.300]   just a little bit of that at home, watching our kids as they're learning that, or if we get the
[00:44:35.300 --> 00:44:40.400]   opportunity to direct and we get to see our kids do it, you know, other kids do it. That's where I see
[00:44:40.400 --> 00:44:48.740]   him all the time is just showing me himself in little bitty things all around me. And I mean,
[00:44:48.740 --> 00:44:54.000]   would I have said that like six years ago when I agreed to be in a pilot? No, I was just,
[00:44:54.000 --> 00:44:58.820]   I was just excited that I got to be in a pilot because I thought that was really cool. But now,
[00:44:58.820 --> 00:45:03.960]   I mean, just watching how much I've learned about God, just by looking around me at little things,
[00:45:03.960 --> 00:45:10.360]   every single thing I look at, I should be able to connect it to God. Right. And so being able to do
[00:45:10.360 --> 00:45:16.460]   that now, I feel like I would have never had that opportunity. If I haven't had wanted to study math
[00:45:16.460 --> 00:45:22.700]   or wanted to study this a little bit more. So it's kind of a, it's not really one thing. It's just,
[00:45:22.700 --> 00:45:29.000]   it's continuous. We always, I always feel like I can see it. I just have to be mindful, right? I got
[00:45:29.000 --> 00:45:33.860]   to pay attention. I can't be busy 24 hours a day or I'm going to miss it. But being intentional,
[00:45:33.860 --> 00:45:39.200]   like just going for a walk with your kids and just asking them, where do you see math out here?
[00:45:39.200 --> 00:45:43.660]   Like, you know, you're talking about the trees or looking at the branches and whatever the patterns,
[00:45:43.780 --> 00:45:47.460]   where do you see, where do you see math here? Where do you see God here? And that's,
[00:45:47.460 --> 00:45:51.560]   that doesn't take any prep. There's nothing I have to print out and make my kids worksheets for.
[00:45:51.560 --> 00:45:56.880]   I'm just taking a walk outside and asking them a question. There's not a right or wrong answer.
[00:45:56.880 --> 00:46:02.040]   We're just asking, where do I see God here? Where do I see math here? And let those connections
[00:46:02.040 --> 00:46:11.200]   kind of come together. Yeah. And the thing is, he is revealing himself. I think sometimes
[00:46:11.200 --> 00:46:18.820]   we feel so much pressure, or at least I'll speak for myself, but I bet you do too. Sometimes I feel
[00:46:18.820 --> 00:46:23.040]   so much pressure to try to orchestrate the moment. You know, it's like, you're trying to orchestrate
[00:46:23.040 --> 00:46:27.760]   the light bulb moment. And I was a teacher for years before I even became a parent. So I know what
[00:46:27.760 --> 00:46:32.640]   it's like to make your plans and you have these goals for these children and they need to learn
[00:46:32.640 --> 00:46:39.640]   this thing. But at the end of the day, who brings the enlightenment? Who gives the knowledge? It's not
[00:46:39.640 --> 00:46:45.220]   you. It's such a privilege to be in the room. And yeah, you better be faithful to do whatever your job
[00:46:45.220 --> 00:46:51.780]   is. So ask the question. But at the end of the day, God is revealing himself. He is revealing himself.
[00:46:51.780 --> 00:46:58.760]   He is faithful to do that. And he's going to show your kids something about himself that he might not
[00:46:58.760 --> 00:47:04.680]   show you. And you're going to learn it through them. And so you don't have to worry when you're going out
[00:47:04.680 --> 00:47:08.260]   and you're saying, oh, I don't even know the answer to this question. Well, that's okay. You can still
[00:47:08.260 --> 00:47:14.480]   ask the question. Let's discover together. Where do we see God outside? Who knows? I don't know what's
[00:47:14.480 --> 00:47:20.340]   going to happen out here. This is the wild. It could be anything. But that's part of the adventure
[00:47:20.340 --> 00:47:29.300]   and the honor. So thank you so much for having this conversation with me today, Babs. I hope that
[00:47:29.300 --> 00:47:36.360]   you all listening are encouraged by it. That two women who would have definitely told you within 10
[00:47:36.360 --> 00:47:41.040]   years ago that they didn't want to have anything to do with math and that's why they have the jobs that
[00:47:41.040 --> 00:47:46.740]   they have and have lived the lives that they've lived. We're passionate about it. We're excited about
[00:47:46.740 --> 00:47:52.440]   it. And it's not just because we love the numbers and we've learned that, okay, our limitations weren't
[00:47:52.440 --> 00:47:56.800]   what we thought they were, although they are not what we thought they were. It's because we met the
[00:47:56.800 --> 00:48:03.580]   Lord there. And we are seeing that in the same way we're so passionate and excited to know God and to
[00:48:03.580 --> 00:48:09.340]   make him known in the other areas of our life. This is a whole area of our life where we can do that too.
[00:48:09.340 --> 00:48:14.940]   And we can inspire our children to do that. So this summer, while you're playing math games,
[00:48:14.940 --> 00:48:18.780]   you're outside and you're playing sports and you're cooking and you're doing all of this stuff,
[00:48:18.780 --> 00:48:26.040]   we'd love to hear from you and to see where you are doing math in your daily life and being an
[00:48:26.040 --> 00:48:33.020]   everyday educator and leading the learning. And so please definitely follow us on social media so you
[00:48:33.020 --> 00:48:37.480]   can tag us in your pictures or tell us your stories because we really do want to hear what
[00:48:37.480 --> 00:48:43.940]   you're doing. We do this for you. And also share the show with a friend who maybe has been discouraged
[00:48:43.940 --> 00:48:49.820]   about their math journey or their learning journey and need to be reminded that it's all about God.
[00:48:49.820 --> 00:48:57.340]   It's all about the Lord because that's the truth of the matter. And he is always in the process of
[00:48:57.340 --> 00:49:02.760]   trying to show himself to us. And so we are the ones who need to slow down and look for him and
[00:49:02.760 --> 00:49:07.900]   we're not going to be disappointed when we do that. Thank you guys for listening. We will talk to you
[00:49:07.900 --> 00:49:09.520]   again next week. Have a good one.
[00:49:09.520 --> 00:49:10.520]   Bye.
[00:49:10.520 --> 00:49:11.520]   Bye.
[00:49:11.520 --> 00:49:12.520]   Thank you.
[00:49:12.520 --> 00:49:13.020]   you
[00:49:13.020 --> 00:49:43.000]   For more information, visit www.fema.org

