
[00:00:00.000 --> 00:00:08.060]   They end up chanting in front of him, Viva la muerte. Long live death. They have their
[00:39:57.940 --> 00:40:04.340]   in Poland, in the mid, you know, something like this. And the moderator, I remember it was just,
[00:40:04.340 --> 00:40:09.700]   it was just a melee. And the moderator turns to Andrew Roberts and says, Andrew Roberts, why did
[00:40:09.700 --> 00:40:15.460]   world war two begin? And he says, world war two began because Hitler invaded Poland.
[00:40:15.460 --> 00:40:24.500]   And it was a magnificent moment because everything had been a mush. They were just so lost in all the
[00:40:24.500 --> 00:40:29.700]   intricate and clever and interesting things that you can talk about, about the origins of a war that you've,
[00:40:29.700 --> 00:40:39.540]   you forget to mention the thing that's most important. And certainly my experience as a journalist and
[00:40:39.540 --> 00:40:46.180]   writer is that one of the reasons why you need to go and see things with your own eyes is because people
[00:40:46.180 --> 00:40:52.180]   are certain to tell you that what you've seen with your own eyes didn't happen or hasn't happened.
[00:40:52.180 --> 00:41:00.100]   And it helps to steal you. Yeah. For that moment. It's a gradual thing that happens where
[00:41:00.100 --> 00:41:05.620]   the obvious thing starts being taken for granted and people stop saying it because it's like the boring
[00:41:05.620 --> 00:41:12.900]   thing to say at a party. And then all of a sudden over time, you just almost start questioning whether,
[00:41:12.900 --> 00:41:17.060]   whether, you know, like the obvious thing is even true. I don't know what that,
[00:41:17.060 --> 00:41:22.260]   how that happens in psychology. Yeah. I think it does. I think it does. I've observed it in a lot of
[00:41:22.260 --> 00:41:27.380]   different places, which is the important thing is the only thing you do forget. Everything else is what
[00:41:27.380 --> 00:41:32.180]   you remember. And some of us are for some reason wired in a way where we, we don't, we try not to
[00:41:32.180 --> 00:41:35.060]   forget the important thing. Remember the obvious thing. Yeah.
[00:41:35.060 --> 00:41:39.780]   Yeah. Yes. And as you say, no, I'm not wanting to be the boring guy at the party who reiterates what
[00:41:39.780 --> 00:41:44.020]   is true because what a douchebag you'd be if you were that guy.
[00:41:44.020 --> 00:41:51.700]   Nobody likes Captain Obvious at a party. Okay. Is it possible that Donald Trump is a mediator,
[00:41:51.700 --> 00:41:57.860]   a successful negotiator that brings a stable peace to Ukraine?
[00:41:57.860 --> 00:42:04.500]   It's possible. We'll have to see. I think it's just too early and complicated to tell.
[00:42:04.500 --> 00:42:09.380]   That he wants to bring a peace seems to me to be obvious. He stated it a lot of times.
[00:42:09.380 --> 00:42:17.380]   Whether he can, we're just going to have to see. It's extremely hard to see some of the parameters
[00:42:17.380 --> 00:42:24.500]   of the peace still. And I would suggest that the most one, not the most difficult, but one of the most
[00:42:24.500 --> 00:42:31.140]   difficult is that there is no peace guarantee on paper that the Ukrainians can possibly believe.
[00:42:31.140 --> 00:42:39.300]   I just, it doesn't matter because we've, we, we in the West, we, some of the countries in the West
[00:42:39.300 --> 00:42:49.140]   have said it before that we'd secure their, their peace. And we haven't. And so what other than NATO
[00:42:49.140 --> 00:42:54.260]   membership, which is not possible in my view, what other than NATO membership would reassure the
[00:42:54.260 --> 00:43:00.100]   Ukrainians that they are going to have their borders secured and the peace of Ukraine secured?
[00:43:00.100 --> 00:43:01.780]   I can't see.
[00:43:01.780 --> 00:43:09.540]   I think, uh, there's not going to be ever a guarantee that you can trust. I think the way you have a
[00:43:09.540 --> 00:43:16.420]   guarantee, implicit guarantees by having military and economic partnerships with as many partners as
[00:43:16.420 --> 00:43:22.980]   possible. So you have partnerships with, uh, the, uh, uh, the Middle East have partnerships with India,
[00:43:22.980 --> 00:43:28.100]   perhaps even with China, with the United States, with many nations in Europe, all of which are
[00:43:28.100 --> 00:43:36.660]   still suggests that if there's enough financial interests in Ukraine, they would prevent another
[00:43:36.660 --> 00:43:43.860]   Russian invasion. There will be financial pressure. Yeah. That would be, uh, you know,
[00:43:43.860 --> 00:43:54.100]   Russia needs to be friends with somebody, either China or the West. Uh, I think a world that's
[00:43:54.100 --> 00:44:00.100]   flourishing, it would have Russia trading and being friends with the West and the East.
[00:44:00.100 --> 00:44:07.220]   It would be ideal. It would be ideal if, if, if they were, if, uh, the regime and Moscow wanted it,
[00:44:07.220 --> 00:44:13.940]   but that's that not, I mean, there, again, you get into the thing of, you know, uh, people accused of
[00:44:13.940 --> 00:44:22.260]   Russophobia, but I mean, um, the, the, I do believe that after the fall of the wall, uh, Russia was ill-treated
[00:44:22.260 --> 00:44:29.140]   by the West, not treated with the, uh, some of the courtesy that it required. I do think that,
[00:44:29.140 --> 00:44:37.460]   and at the same time, that doesn't justify, uh, the actions of Russia in the last 20 years.
[00:44:37.460 --> 00:44:44.900]   Right. But let's descend from the surrealist to the realist. It's very possible for Russia to,
[00:44:44.900 --> 00:44:53.540]   uh, be on the verge of military invasion of these nations and that being wrong while also not doing
[00:44:53.540 --> 00:44:59.620]   it because they're afraid to hurt the partnerships with the West and with China.
[00:44:59.620 --> 00:45:06.100]   It's possible, but the alliance they formed with this sort of rogue, uh, alliance with China to a
[00:45:06.100 --> 00:45:16.820]   considerable extent, North Korea, not useful. Uh, and Iran is, um, something they seem to find
[00:45:16.820 --> 00:45:22.100]   bearable. It's not a very, it's not a very good alliance in most people's analysis, but it's an
[00:45:22.100 --> 00:45:28.740]   alliance. It's bearable, but I don't think maybe you disagree with this. I don't think the Russian
[00:45:28.740 --> 00:45:35.940]   people or even Putin, uh, wants to be isolated from the West. I think it wants to be friends with the
[00:45:35.940 --> 00:45:42.340]   West and with the East and with everybody who just also wants Ukraine. Right. And there's,
[00:45:42.340 --> 00:45:47.860]   uh, uh, how does the Rolling Stones song go? Which one?
[00:45:47.860 --> 00:45:53.300]   Uh, not the satisfaction one. Simply with the devil.
[00:45:53.300 --> 00:45:58.420]   That's the one you got me on that one. No, like there, there's interests,
[00:45:58.420 --> 00:46:02.660]   whether it's expanding the sphere and influence, that's one thing on the table,
[00:46:02.660 --> 00:46:07.860]   the table, but that can be put aside. If you want to maintain the partnerships with these nations.
[00:46:07.860 --> 00:46:13.940]   And, uh, if Ukraine has strong economic partnerships with those nations,
[00:46:13.940 --> 00:46:16.740]   then that prevents Russia from invading.
[00:46:16.740 --> 00:46:24.420]   I think the premise is one that I've seen before. Um, there was a famous, uh, what was his name?
[00:46:24.420 --> 00:46:32.660]   Norman Angle. He wrote this book was a fantastic bestseller in his day where he believed that Europe
[00:46:32.660 --> 00:46:39.140]   would be in a period of endless Canty and peace because the prospect of European powers going to
[00:46:39.140 --> 00:46:49.380]   war was so economically unviable. The book was reissued after world war one. Um, and I never got the second
[00:46:49.380 --> 00:46:55.220]   edition, but I assume it was significantly rewritten. That's a very kind of cynical take that just because
[00:46:55.220 --> 00:46:59.140]   the book is wrong, I'm not saying just the book. So I'm saying that the, that the idea that
[00:46:59.140 --> 00:47:07.940]   that cooperation on an economic and other levels is any
[00:47:07.940 --> 00:47:15.940]   significant preventative device to madness breaking out is, is not something I see,
[00:47:15.940 --> 00:47:22.500]   could deter some people, right? It could deter some very, very rational, economically driven
[00:47:22.500 --> 00:47:28.660]   actors, but it, it fails to take into account all of the other things that motivate people to go to war
[00:47:28.660 --> 00:47:34.420]   and to invade and to go mad. Okay. Well, I would argue that in the 21st century, one of the reasons
[00:47:34.420 --> 00:47:42.500]   we have much fewer wars is because of the much more, well, so there's a few tools here on this, on the
[00:47:42.500 --> 00:47:49.220]   geopolitical stage. One of them is that you were just much more interconnected economically, globally
[00:47:49.220 --> 00:47:56.020]   interconnected. And that, that is always a present pressure on the world to keep peace. There's a lot of
[00:47:56.020 --> 00:48:01.140]   money to be made from peace. There's also a lot of money to be made from war. There's just, there's a
[00:48:01.140 --> 00:48:08.020]   lot of interest attention. And I, I'm just presenting one of the tools that a leader should be using. The
[00:48:08.020 --> 00:48:16.020]   alternative is what military force. That is an interesting one, sometimes a useful one, but
[00:48:16.020 --> 00:48:23.220]   unfortunately it has its downsides also. And after three years of war and the hundreds of thousands
[00:48:23.220 --> 00:48:28.340]   dead, you have to start wondering what are the options on the table?
[00:48:28.340 --> 00:48:39.300]   I agree. I'm, I'm obviously for economic cooperation, but my only caveat is not to think that that is
[00:48:39.300 --> 00:48:50.260]   something which is of ultimate interest or even at the top of the list of interests of, uh, despots,
[00:48:50.260 --> 00:48:54.260]   tyrants, extremists who want something else.
[00:48:54.260 --> 00:49:00.260]   Yeah. But, uh, can you read the mind of Vladimir Putin?
[00:49:00.260 --> 00:49:00.500]   No.
[00:49:00.500 --> 00:49:06.260]   A lot of the ideas I hear about peace is
[00:49:06.260 --> 00:49:13.300]   Putin bad, victory must be achieved, NATO membership required.
[00:49:13.300 --> 00:49:19.700]   there's this kind of like, uh, but what's the, what's the, what's the, you have to come to the
[00:49:19.700 --> 00:49:29.940]   table to, to end the killing is one and, uh, to have different ideas of how to, uh, have a non-zero
[00:49:29.940 --> 00:49:35.780]   chance of peace. So that, you know, the options are, it seems to me the only option,
[00:49:37.460 --> 00:49:42.500]   not the only option, but the likeliest option is a lot of strong economic partnerships. There's of
[00:49:42.500 --> 00:49:49.220]   course other radical options. There's, uh, there's, uh, Russia joining NATO or something like this,
[00:49:49.220 --> 00:49:56.660]   or there's, um, giving, you know, doing flirting with world war three, essentially giving nukes to
[00:49:56.660 --> 00:50:03.620]   Ukraine or something like this. There's like crazy stuff or a totally new military alliance with
[00:50:03.620 --> 00:50:11.540]   France and, and, and Britain and Germany and, uh, European nations and Ukraine or some weird network
[00:50:11.540 --> 00:50:19.060]   of military power that threatens Russia in some way, or maybe some big breakthrough partnership between
[00:50:19.060 --> 00:50:26.740]   India, China and Ukraine, something like this, just some really out there ideas. And I think that's how
[00:50:26.740 --> 00:50:33.300]   the world, that that's how the world finds a balance and realigns itself in interesting ways.
[00:50:33.300 --> 00:50:40.900]   And look, it could be, I, I, I, I hope you're, uh, I hope your idea is right. Um, I think it's about the,
[00:50:41.860 --> 00:50:49.540]   well, it's certainly the most peaceful way for this to be resolved. My only caveat, as I say is,
[00:50:49.540 --> 00:50:57.140]   and also never forget to factor in that people want different things in this world.
[00:50:57.140 --> 00:51:04.660]   And some people don't dream as you dream. I think we'll talk about this in your new book,
[00:51:04.660 --> 00:51:10.900]   death cults. That one is an easier one for me to understand to the story that you're describing.
[00:51:12.580 --> 00:51:19.620]   I am more hesitant to assign psychopathy to leaders of major nations.
[00:51:19.620 --> 00:51:23.460]   Sure. Yeah, yeah, yeah. I'm, I'm, I'm not by any means urging you to regard
[00:51:23.460 --> 00:51:29.380]   Vladimir Putin as a millinarian madman who cannot be in any way understood.
[00:51:29.380 --> 00:51:34.260]   I think he could be negotiated and reasoned with.
[00:51:34.260 --> 00:51:36.820]   From your lips to God's ears.
[00:51:38.660 --> 00:51:43.380]   Can you steel me on the case for and then against Zelensky as the right leader for Ukraine at this
[00:51:43.380 --> 00:51:48.500]   moment? Is he the right person to take it to the, the, the point of peace?
[00:51:48.500 --> 00:51:55.220]   We'll see if, if, if, if, if he can, then he, then of course he is, you know, he deserves enormous
[00:51:55.220 --> 00:52:02.500]   respect for galvanizing his people, for being elected in the first place, for galvanizing his nation
[00:52:02.500 --> 00:52:09.620]   in a time of incredible peril, um, for playing the international game of getting support for his
[00:52:09.620 --> 00:52:17.140]   country well. Um, and sometimes the person who does that, not that there are many people like that,
[00:52:17.140 --> 00:52:19.940]   can be the person who also brings about a peace deal and sometimes not.
[00:52:19.940 --> 00:52:26.340]   I think there's a degree to which he may have seen too much suffering of the people,
[00:52:26.340 --> 00:52:36.260]   the land he loves to be able to sit down at a table with a world leader who, uh, did the destruction
[00:52:36.260 --> 00:52:40.500]   and to be able to compromise on anything.
[00:52:40.500 --> 00:52:48.580]   That's, that's possible. Again, it puts the onus on him though, sort of slightly presupposes that
[00:52:48.580 --> 00:52:54.660]   Putin doesn't have the same human instinct on that. It is extremely hard. I've noticed this in
[00:52:54.660 --> 00:53:02.020]   a lot of conflicts. It's extremely hard the way in which outsiders come in and others who haven't seen
[00:53:02.020 --> 00:53:06.340]   what you've seen or gone through what you've gone through and say, you know, it's time to get around
[00:53:06.340 --> 00:53:12.980]   the negotiating table and just, you know, you think you didn't see what I saw or you didn't go through
[00:53:12.980 --> 00:53:19.140]   what I went through. Who are you to tell me? Goes back to that thing of the visitor from the land of
[00:53:19.140 --> 00:53:27.140]   war and the visitor from the land of peace. The visitor from the land of peace can easily talk about
[00:53:27.140 --> 00:53:34.820]   getting around negotiating tables, but the visitor from the land of war has seen other things and, um,
[00:53:36.020 --> 00:53:42.260]   it's, it's, it's very hard for somebody who hasn't seen it to tell the person who has that they should
[00:53:42.260 --> 00:53:46.420]   act differently. And the sad thing
[00:53:46.420 --> 00:53:54.500]   about humanity is both the, the person from the land of peace and the person from the land of war are
[00:53:54.500 --> 00:54:03.860]   right. Yes, that's a struggle. That's definitely a struggle. It's like asking somebody to forgive. I've seen
[00:54:03.860 --> 00:54:08.980]   that a lot, a lot of ends of conflicts. People say, you know, the important thing is that we forgive
[00:54:08.980 --> 00:54:17.780]   and move on. And then the other person says, you know, your child didn't die of shrapnel wounds.
[00:54:17.780 --> 00:54:22.260]   Yeah, this is, you know, I got a lot of heat for an interview I did with Zelensky.
[00:54:22.260 --> 00:54:28.180]   By the way, people privately, the people that message me is, is all love and support. Even the people that disagree,
[00:54:28.180 --> 00:54:33.780]   in Ukraine, Ukraine soldiers, uh, people online are ruthless. They're misrepresenting me. They're lying.
[00:54:33.780 --> 00:54:36.580]   People online are ruthless and misrepresenting and lying.
[00:54:36.580 --> 00:54:41.140]   Yeah. Good God, Lex, you discovered a new, uh, phenomenon.
[00:54:42.580 --> 00:54:44.500]   I'm a real radical intellectual.
[00:54:44.500 --> 00:54:48.420]   Nothing misses your eye.
[00:54:48.420 --> 00:54:55.140]   I see the truth and I'm unafraid to point it out. Uh, no, there's a degree,
[00:54:55.140 --> 00:55:00.820]   this, this idea that you
[00:55:00.820 --> 00:55:08.020]   need to compromise with the person, with the leader of a nation you're at war with.
[00:55:08.660 --> 00:55:15.620]   And in so doing to some degree are forgiving their actions because the actual feeling you have
[00:55:15.620 --> 00:55:20.500]   is you want it to be fair. And the definition of fair, when you've seen that much suffering
[00:55:20.500 --> 00:55:28.180]   is for him and everybody around him and maybe even all of the people on the other side to just die
[00:55:28.180 --> 00:55:34.660]   because you've seen towards suffering. But the other side of that is, yes, there's children that have
[00:55:34.660 --> 00:55:41.220]   died. But you go coming to the negotiation table, other children from dying. Yes, of course.
[00:55:41.220 --> 00:55:47.860]   And so like, there is just, you had this kind of way of speaking about it, embodying that perspective,
[00:55:47.860 --> 00:55:55.060]   that it's naive to say, to come to the negotiation table. And it is for a person from the land of war,
[00:55:55.060 --> 00:56:00.660]   but the very smart, intelligent, and not naive person from the land of peace that is often right
[00:56:00.660 --> 00:56:08.420]   in some deep sense about the long arc of history. For them, it is the right thing to come to the
[00:56:08.420 --> 00:56:13.700]   negotiation table to end the war killing. The one thing I would add to that though is,
[00:56:13.700 --> 00:56:19.220]   don't forget that it also depends on whether or not there's a clear shot of winning.
[00:56:19.220 --> 00:56:26.100]   Sure. If there's a clear shot of winning, and that's the most important. The most important
[00:56:26.100 --> 00:56:33.220]   thing in wars is not final negotiations or anything like that. It's simply winning and losing. And if you
[00:56:33.220 --> 00:56:41.060]   have a clear shot of winning and you can take it and you're near it, then having somebody else come in and
[00:56:41.060 --> 00:56:49.860]   saying, why not stop just before victory is very hard. That's one of the many, many complexities of
[00:56:49.860 --> 00:56:54.580]   the conflict we're talking about. You know, what's the other big complexity of that? Because the clear
[00:56:54.580 --> 00:57:01.380]   shot of winning is like a man walking through the desert, seeing water. It could be during war, it really
[00:57:01.380 --> 00:57:10.020]   is an illusion. So here's what happens. The really complicated aspect of negotiation is in order to negotiate
[00:57:10.980 --> 00:57:18.020]   peace from a place of strength. You have to have victory in sight.
[00:57:18.020 --> 00:57:18.820]   Yes.
[00:57:18.820 --> 00:57:25.620]   And so the temptation from that position is to not negotiate, is to keep pushing forward to achieve
[00:57:25.620 --> 00:57:36.100]   victory. And this, I would say, hindsight is 20-20, but this is the failure in 22 and two occasions
[00:57:36.820 --> 00:57:47.940]   to achieve, to negotiate a ceasefire in peace. One in the spring, because Ukraine was in a real big,
[00:57:47.940 --> 00:57:55.620]   I would say, position of strength, having fended off the Russian forces around Kyiv. That's one. And then,
[00:57:55.620 --> 00:58:03.380]   as you mentioned, in the fall of 22 with Kherson and Kharkiv had a lot of military success. They were in a place
[00:58:03.380 --> 00:58:09.780]   of strength. And from that place, they've decided to keep going because victory was in sight. But that
[00:58:09.780 --> 00:58:13.780]   was also an opportunity to make peace. It's perfectly possible, yes.
[00:58:13.780 --> 00:58:22.260]   That's the hard thing. It's very hard. It's all hard. But again, victory can be won in wars,
[00:58:22.260 --> 00:58:28.020]   and is often won in wars. And you're right, they can also grind on because nobody
[00:58:28.020 --> 00:58:36.660]   has the capability to make a breakthrough. It's the case, I mean, the wisdom about civil wars tends
[00:58:36.660 --> 00:58:43.940]   to be that they sort of burn out after about 10 years or so for similar reasons.
[00:58:43.940 --> 00:58:48.500]   When you're in the war, can you actually know that a victory can be won?
[00:58:48.500 --> 00:58:55.380]   It's a very good question. And you mean troops on the battlefield or military leaders or
[00:58:55.380 --> 00:58:56.100]   political leaders?
[00:58:56.100 --> 00:59:02.260]   Military and political leaders. It just feels like, like I said, man in the desert seeing water. I think
[00:59:02.260 --> 00:59:11.140]   there's a sense that victory is so close. There's times in a war when you feel like victory is close.
[00:59:11.140 --> 00:59:14.100]   No, you're right. And then it just slips away.
[00:59:14.100 --> 00:59:19.780]   Yes, it's an interesting insight. It's like the way in which there's a force in nature,
[00:59:19.780 --> 00:59:32.820]   which is that if you amass an army, amassing it will pull you in to using it. Extremely hard to amass
[00:59:32.820 --> 00:59:39.620]   an army somewhere and then say, let's go back. Yes, you're right. No, it's one of many,
[00:59:39.620 --> 00:59:47.140]   many interesting aspects to warfare. I think the sad thing about successful wars,
[00:59:47.140 --> 00:59:55.700]   at least in the modern day, is it takes a great military leader, which I would argue that Zelenskyy
[00:59:55.700 --> 01:00:03.700]   really unified Ukraine in this fight, in the beginning of the war. You have to be that and,
[01:00:03.700 --> 01:00:09.540]   like you said, after you amass the army and have military success, to be able to step back and make
[01:00:09.540 --> 01:00:19.140]   peace. Those two just don't often go hand in hand. Because again, as a wartime leader, especially one who's
[01:00:19.140 --> 01:00:28.100]   seen the suffering firsthand, walking away is tough. Especially also combined with that,
[01:00:28.100 --> 01:00:34.660]   just the realities of war where there is probably corruption, that there is things, you know, once
[01:00:34.660 --> 01:00:41.300]   the war ends, there has to be investigations. Because the war wasn't won, you might not turn out to be,
[01:00:41.300 --> 01:00:47.860]   when history looks at it, the good guy. And a leader doesn't want to, a leader always wants to be the good
[01:00:47.860 --> 01:00:53.540]   guy. And so there's just all psychological complexities that are, and you look at this whole picture,
[01:00:53.540 --> 01:01:01.700]   uh, in, in the basic sense, if you want Ukraine to flourish, if you want humanity to flourish,
[01:01:01.700 --> 01:01:07.300]   you just ask the question, okay, so what is the thing I would like to see?
[01:01:07.300 --> 01:01:16.740]   There's so many historical analogies that you can give, but just surely not rewarding.
[01:01:16.740 --> 01:01:30.580]   Putin's actions in any way would be a good way to deter him and other dictators from trying to grab land
[01:01:32.420 --> 01:01:39.940]   in the future. So yeah, and, but this is nuanced because like you, it's very probably good to be the
[01:01:39.940 --> 01:01:48.180]   boring person at the party that says dictatorships are bad. Uh, democracies are good. Many of the
[01:01:48.180 --> 01:01:51.860]   ideals of the West are good. Democracies are better. Better? Yes. Yeah.
[01:01:51.860 --> 01:01:59.300]   Uh, that sounds like animal farm, but yes, two legs better. Um, but yes, democracy is better and, uh,
[01:01:59.300 --> 01:02:10.420]   invading countries is bad. Uh, but world war three is bad too. So after you say something is bad,
[01:02:10.420 --> 01:02:14.340]   what's the next step? Cause military intervention in a lot of these conflicts,
[01:02:14.340 --> 01:02:20.020]   it'll be about deterrence. Yeah. But what's, what's effective deterrence that we're going to have to
[01:02:20.020 --> 01:02:27.940]   keep going over for a long time to come. My question is how can we achieve peace in April,
[01:02:27.940 --> 01:02:37.860]   in May, right? Not like the adults at the table all seem to tell me, well, it's a process. It's
[01:02:37.860 --> 01:02:43.620]   complicated. You know, there is, it just feels like this is a thing that might go into the next winter
[01:02:43.620 --> 01:02:49.620]   and they're still, um, maybe initial ceasefire and the ceasefire is broken and there's more people
[01:02:49.620 --> 01:02:58.420]   dying. And it's that mess. It seems like civility and politeness ignores the fact that people are dying
[01:02:58.420 --> 01:03:03.220]   every single day. I mean, of course, like we were all every, almost everybody, not everybody, but almost
[01:03:03.220 --> 01:03:08.180]   everyone would like the killing to stop immediately. Of course. No, like I, I think that is the boring
[01:03:08.180 --> 01:03:12.980]   thing at the party. Yes, but they don't say it often enough. Not often. There has to be a frustration.
[01:03:12.980 --> 01:03:19.140]   They should say more. There has to be a frustration. I don't understand why Putin, Zelensky and Trump
[01:03:19.140 --> 01:03:26.580]   can't just meet in a room together without signing anything. Leaders meeting and discussing and like
[01:03:26.580 --> 01:03:32.180]   the human connection. There's so many layers of diplomats. It's the problem I have with a managerial
[01:03:32.180 --> 01:03:37.940]   class. I don't, they schedule meetings really well. They don't get shit done. And I, I would love it if
[01:03:37.940 --> 01:03:45.780]   people got shit done. So the soldiers get shit done. They have, they're fighting the reality of the war.
[01:03:45.780 --> 01:03:52.820]   And then the leaders have the capacity to get shit done on the, on the scale of nations and geopolitics,
[01:03:52.820 --> 01:03:58.420]   but like this diplomatic meetings. And I share your frustration about it at the same time. I think,
[01:04:01.140 --> 01:04:05.940]   well, I share your frustration because I've seen it all, a lot of it, you know, in my own eyes,
[01:04:05.940 --> 01:04:11.220]   I mean, there was a botanine I was with the other week and they were hit just after I left their base.
[01:04:11.220 --> 01:04:16.660]   And you wouldn't believe what a thermobaric bomb can do to the human body.
[01:04:16.660 --> 01:04:27.860]   And I share your frustration with that. At the same time, one of the things that happens if you are rushing
[01:04:30.020 --> 01:04:36.180]   is that you do, and I've seen this elsewhere, you, you, you will put pressure on the people you can
[01:04:36.180 --> 01:04:42.900]   pressurize and you will not put enough pressure on the people you can't pressurize. And that is
[01:04:42.900 --> 01:04:51.540]   one of the worrying things that could happen with this. Simply you can put America can put extraordinary
[01:04:53.380 --> 01:05:01.060]   diplomatic, uh, uh, diplomatic financial intelligence, military risk, pressure on Ukraine.
[01:05:01.060 --> 01:05:10.180]   And it can put significant pressure on Putin, but it's much easier to pressure Zelensky.
[01:05:10.180 --> 01:05:16.180]   And that's one of the many things that makes it harder is that the temptation to rush for peace,
[01:05:16.180 --> 01:05:20.820]   accepting that peace is the most desirable thing, accepting the horrors of war, which,
[01:05:20.820 --> 01:05:27.860]   you know, we can linger on, but you, you accepting all that. If somebody says, we've got to get peace
[01:05:27.860 --> 01:05:32.820]   today. And the three of them around a table, the most likely thing is that it'll be that it'll be
[01:05:32.820 --> 01:05:39.860]   the person who you compression most easily, who will be the person that you pressure. And as a result,
[01:05:39.860 --> 01:05:46.660]   have an outcome, which yes, might stop the killing as soon as possible, but might also set up a
[01:05:46.660 --> 01:05:55.220]   situation which rewards the aggressor and effectively punishes the victim. And that's extremely ugly and
[01:05:55.220 --> 01:06:01.940]   common common thing to happen. Yeah. And that's the other boring thing to say. The boring truth that, uh,
[01:06:01.940 --> 01:06:10.500]   the easy shortcut here is, uh, is to punish Ukraine and you just have to not do it. Let's keep being the
[01:06:10.500 --> 01:06:18.980]   boring people of the party. Yeah. Well, nobody's going to invite us. All right. Let's go from one
[01:06:18.980 --> 01:06:29.540]   complicated conflict to, uh, perhaps an even more one complicated one, Israel and Palestine.
[01:06:29.540 --> 01:06:42.180]   Can you, uh, take me through what happened on October 7th, as you understand it. And as you outline
[01:06:42.180 --> 01:06:47.780]   at the beginning of the book, well, the book on democracies and death cults is a mixture of firsthand
[01:06:47.780 --> 01:06:56.500]   reporting and observation interviews and a wider reflection, not just on the war that's been going
[01:06:56.500 --> 01:07:02.740]   on since the seventh of October, but the war's been going on a lot longer. And also I suppose on the,
[01:07:02.740 --> 01:07:07.300]   what for me is one of the overwhelming questions, which I'm sure we'll get to, which is the reaction
[01:07:07.300 --> 01:07:16.260]   in the rest of the world. Obviously on the seventh itself, it was a brigade sized attack on Israel from
[01:07:16.260 --> 01:07:27.220]   Gaza. Uh, Hamas broke through the security fence and, uh, attacked all the softest targets they could.
[01:07:27.220 --> 01:07:36.980]   Uh, they swiftly overwhelmed things like the observation base in Nahal Oz. They ran through the
[01:07:36.980 --> 01:07:43.860]   communities in the South, uh, uh, very peaceful peace neck effect free communities of the kibbutz sim as
[01:07:43.860 --> 01:07:53.780]   they're called the communities, um, and murdered and raped and burned and kidnapped. And of course they,
[01:07:53.780 --> 01:07:58.260]   from their point of view, had the great good fortune of also coming across hundreds of young people
[01:07:58.260 --> 01:08:05.860]   people dancing in the early hours of the morning at a dance party and rampaged through that with RPGs and
[01:08:05.860 --> 01:08:15.140]   Kalashnikovs and grenades and hammers and more. And, uh, got within, well, 20 kilometers into Israel
[01:08:16.660 --> 01:08:24.100]   places like off Akim and sterat important towns and carried out their massacres there as well.
[01:08:24.100 --> 01:08:33.140]   We now know that the plan was that Hezbollah did the same thing from the north. Hezbollah joined in the
[01:08:33.140 --> 01:08:39.460]   war within 24 hours by starting firing rockets again in very large numbers into Northern Israel from Southern
[01:08:39.460 --> 01:08:46.500]   Lebanon. But the plan was that they would do the same thing from the north and carry out similar
[01:08:46.500 --> 01:08:51.060]   massacres there and effectively be able to meet in the middle and garrot Israel from the center.
[01:08:51.060 --> 01:08:56.580]   The interesting reason why I think it'll be found out in the future, but why they didn't
[01:08:56.580 --> 01:09:02.180]   coordinate better was Hamas didn't trust any line of communication to Hezbollah to let them know
[01:09:02.180 --> 01:09:05.460]   exactly when they were going to do it. That wouldn't be in for it wouldn't be intercepted.
[01:09:06.660 --> 01:09:11.620]   The Iranian revolutionary government in Tehran, which obviously funds Hamas and Hezbollah and
[01:09:11.620 --> 01:09:19.380]   trains and arms knew of the plan. It was a very successful attempt to annihilate the state, but
[01:09:19.380 --> 01:09:24.900]   they didn't get close to that, but they got worryingly closer than people might have thought
[01:09:24.900 --> 01:09:32.020]   they were capable of. I think from the Israeli side, uh, it was obviously one of the most, if not the most
[01:09:32.020 --> 01:09:36.820]   catastrophic intelligence and military failures since the foundation of the state.
[01:09:36.820 --> 01:09:45.300]   And I think there are several reasons why one is a perception problem. What a lot of
[01:09:45.300 --> 01:09:51.620]   military commands and others described to me as the conception, the conception that had prevailed in
[01:09:51.620 --> 01:10:00.420]   Israel for some years and security military establishment was that Hamas were content with being corrupt and
[01:10:00.420 --> 01:10:10.420]   governing Gaza and, you know, lining their pockets and living in, uh, Qatar and becoming billionaires. But
[01:10:10.420 --> 01:10:19.780]   that like many other terrorist groups and, you know, cults that they would end up becoming just corrupt and
[01:10:21.860 --> 01:10:27.620]   not losing their ideology, but the ideology becomes secondary. That's the first thing was there was
[01:10:27.620 --> 01:10:37.860]   just a massive error of the conception in Israel. And then, then the multiple manifold security and
[01:10:37.860 --> 01:10:46.340]   military failures of the day and leading up to the day. Um, and there will be a, there already have been
[01:10:46.340 --> 01:10:50.820]   quite a lot of people held to account for that and they're doubtless will be in the future as well.
[01:10:50.820 --> 01:11:00.820]   Um, the, the single, uh, thing I heard, which I heard most and which was most distressing in a way
[01:11:00.820 --> 01:11:08.420]   was the number of people who described to me, you know, who survived the massacres in the south, who said that,
[01:11:09.140 --> 01:11:14.100]   you know, you know, they'd said to their children, don't worry, the army will be here in minutes.
[01:11:14.100 --> 01:11:19.780]   And they weren't, you know, in many places, it was many hours till the army got there.
[01:11:19.780 --> 01:11:29.060]   Um, and there are reasons for that. There are some reasons that will be military failings, leadership failings.
[01:11:29.060 --> 01:11:34.820]   Other things were very, I discovered were very human failings.
[01:11:35.780 --> 01:11:41.060]   I don't want to overstress the failure of the army because actually certain units and things
