
[00:00:00.000 --> 00:00:07.020]   a bit on Laura's okay I'll restart we just started recording so basically Hugging Face put out this
[00:29:58.360 --> 00:30:02.280]   let's let's kind of take a break here and see if there's any questions
[00:30:02.280 --> 00:30:08.280]   what's the entity okay for weights activations gradients
[00:30:08.280 --> 00:30:15.320]   and optimizer states what's the it's intuition for which ones we want in lower and higher precision
[00:30:15.320 --> 00:30:21.320]   so um for weights you can it kind of also depends on what you're doing if you're doing training or
[00:30:21.320 --> 00:30:27.240]   inference right um what you're really doing here isn't higher or lower precision there's there's mixed
[00:30:27.240 --> 00:30:33.560]   precision for some stuff like gradients and activations you do them in higher precision
[00:30:33.560 --> 00:30:39.640]   there's more and more stuff coming out about training and lower precision and mixed precision
[00:30:39.640 --> 00:30:47.880]   but the general um you know general rule of thumb is you want to use as much high precision as you can
[00:30:47.880 --> 00:30:54.760]   afford like half precision is cool for inference it's different you can do a lot of quantization but for stuff like um
[00:30:55.800 --> 00:31:02.280]   gradients or stuff that has not a lot of compute uh not a lot of memory overhead you want to use higher
[00:31:02.280 --> 00:31:08.360]   precision right so gradients are small they don't need a lot of memory do them in high precision model
[00:31:08.360 --> 00:31:17.160]   weights uh let's try to lower the precision a little bit but yeah okay now we have um tensor parallelism
[00:31:17.160 --> 00:31:24.040]   tensor parallelism is a way of more splitting it's kind of splitting up model weights across their hidden
[00:31:24.040 --> 00:31:33.640]   dimension so uh data parallelism was can we shard the weights this is a way of splitting it up across um
[00:31:33.640 --> 00:31:39.480]   sensors so you know here's the math of what's happening you're basically doing
[00:31:40.120 --> 00:31:47.080]   math moles rows and columns here's a smart way to do it here's a smart way to reduce it here's what
[00:31:47.080 --> 00:31:53.080]   we're doing in a transformer block um a lot of this is kind of the background behind stuff like flash
[00:31:53.080 --> 00:32:00.840]   attention group query attention uh this is used in papers like llama 3 and whatnot but high level this
[00:32:00.840 --> 00:32:10.520]   is just kind of another way of charting your um your model it's done column wise row wise um there's
[00:32:10.520 --> 00:32:16.280]   there's two different ways to do it there's different communication overhead in both so whether you're
[00:32:16.280 --> 00:32:23.320]   doing column wise or row wise um there's there's different benefits to both you should look into
[00:32:23.320 --> 00:32:30.600]   them um tensor parallelism and transformer layers is another interesting one so help you make progress
[00:32:30.600 --> 00:32:37.800]   yeah that's there i think for time's sake we're gonna start going a little little quicker um the the
[00:32:37.800 --> 00:32:43.400]   interesting thing here is kind of this is where as you're all in one node all this stuff kind of works
[00:32:43.400 --> 00:32:49.560]   right you can do different layers on different gpus but the more you do this the more important the
[00:32:49.560 --> 00:32:57.160]   interconnect between gpus is right so if you're on a single node of highly interconnected gpus this stuff
[00:32:57.160 --> 00:33:03.240]   will start to be fine but the minute you're using pcie cards or multiple nodes you're kind of adding too
[00:33:03.240 --> 00:33:12.520]   much bottleneck for any of this to be worth um yeah next we kind of have sequence parallelism i believe
[00:33:12.520 --> 00:33:18.360]   context parallelism context parallelism is or we went through sequence parallelism sequence parallelism
[00:33:18.360 --> 00:33:26.200]   kind of same thing um so instead of tensor parallelism split it across the sequence this is where stuff
[00:33:26.200 --> 00:33:32.360]   like ring attention starts to come in i think a while ago we had a paper club on ring attention so
[00:33:32.360 --> 00:33:39.480]   for context and sequence parallelism if instead you know you can't scale your context length uh you want
[00:33:39.480 --> 00:33:47.000]   to take these 128 000 sequences and you want to split them across gpus you want to let's say have like you
[00:33:47.000 --> 00:33:55.480]   know first 10 000 tokens on gpu one next 10 000 on gpu two and so on um there's kind of this cool little
[00:33:55.480 --> 00:34:00.840]   way that you can do this so you can you know this goes into the math about what's happening but
[00:34:01.400 --> 00:34:07.560]   it's kind of it's kind of so conceptually you think what is attention attention is the relationship
[00:34:07.560 --> 00:34:13.880]   between all tokens right you still need to calculate this so if you have a hundred thousand tokens we need
[00:34:13.880 --> 00:34:19.480]   to know how does each token relate to every other token which you know you would kind of expect that to
[00:34:19.480 --> 00:34:25.560]   have to happen on one gpu you need to look at all tokens that wants to do attention instead you can kind of
[00:34:25.560 --> 00:34:31.880]   shard them and do this ring attention where you you have each gpu do part of the attention mechanism
[00:34:31.880 --> 00:34:38.040]   you kind of sync them you send qks between each other then you do this big query uh value calculation
[00:34:38.040 --> 00:34:44.280]   and now you've kind of done attention across gpus um there's there's ring attention there's zigzag
[00:34:44.280 --> 00:34:49.960]   attention there's little optimizations for this stuff but it's it's pretty cool it was a lot of like
[00:34:49.960 --> 00:34:56.360]   how do we get this infinite context how can we do um you know long context this is kind of what happened
[00:34:56.360 --> 00:35:03.160]   here um very very interesting stuff i think it's a little underrated so basically reading a little
[00:35:03.160 --> 00:35:11.480]   about it is pretty cool context parallelism and sequence parallelism okay next is uh pipeline parallelism
[00:35:11.480 --> 00:35:17.400]   pipeline parallelism is a pretty fun one so this is where you distribute consecutive layers so
[00:35:18.600 --> 00:35:25.160]   instead of just sharding gradients or optimizations or sequences how about we start uh sharding different
[00:35:25.160 --> 00:35:31.480]   layers so let's have like you know layer one two three on this gpu and different layers on different
[00:35:31.480 --> 00:35:38.200]   gpus this once again it's like another approach to fitting really large models it it lets you reduce gpu
[00:35:38.200 --> 00:35:45.480]   overhead for everything but once again like now they go into as you do this how do you continue training
[00:35:45.480 --> 00:35:52.040]   right so they have these like all forward all backward so as you do your forward pass you need
[00:35:52.040 --> 00:35:58.600]   to do a backward pass compute gradients to optimization so once you split up layers they've kind of got
[00:35:58.600 --> 00:36:05.320]   here's what's happening as we want to do optimization right so all forward all backward um there's there's a
[00:36:05.320 --> 00:36:12.120]   few other ways of this one forward one backward this is what llama three did um very interesting little
[00:36:12.120 --> 00:36:21.000]   optimizations to make this stuff work um interleaving stages so if you've got different slices there's
[00:36:21.000 --> 00:36:29.560]   just different recipes for all this zero bubble dual pipe um yeah expert parallelism is kind of a more
[00:36:29.560 --> 00:36:34.840]   straightforward one where you have different experts in a mixture of experts model on different gpus
[00:36:35.800 --> 00:36:41.720]   that one's pretty straightforward right so you kind of have a base router you have every gpu have its
[00:36:41.720 --> 00:36:48.440]   own expert in some cases you can have multiple gpu multiple experts on multiple gpus and you kind of
[00:36:48.440 --> 00:36:55.000]   have this efficient expert parallelism so once again now there's this kind of overview summary so
[00:36:55.880 --> 00:37:00.920]   what's data parallelism it's along the batch dimension tensor parallelism is along the hidden
[00:37:00.920 --> 00:37:07.800]   dimension so different layers sequence and context parallelism are if you need to extend context length and
[00:37:07.800 --> 00:37:15.080]   you want to let's say train your model up to 500 000 token context how can we do that on a limited gpu
[00:37:15.080 --> 00:37:21.880]   pipeline parallelism is along model layers and then expert parallelism is around mixture of experts
[00:37:21.880 --> 00:37:28.920]   um then we've also got we can combine these with the zero stages right so zero one is sharding optimizers
[00:37:28.920 --> 00:37:35.880]   zero two is sharding optimizers and gradients zero three is sharding um parameters alongside the other two
[00:37:35.880 --> 00:37:43.480]   so this is kind of the high level if you have multiple gpus here are the things that you can do for
[00:37:43.480 --> 00:37:49.240]   each one they kind of have you know here's how you double click into what you want to do so let's say you're
[00:37:49.240 --> 00:37:54.920]   doing pipeline parallelism and you're sharding everything and you then want to extend your
[00:37:54.920 --> 00:38:00.760]   sequence length right so let's go back into that section um you can come in and find out what are
[00:38:00.760 --> 00:38:07.080]   what are different interleaving stages how do you want to optimize all this um what they go into here is
[00:38:07.080 --> 00:38:12.760]   kind of still all at the you're not really doing research here you're kind of still at the applied
[00:38:12.760 --> 00:38:17.720]   researcher stage right all this stuff is still available in libraries like pytorch so
[00:38:17.720 --> 00:38:24.280]   there are cuda kernels that optimize this stuff like flash attention is made that already uses all of this
[00:38:24.280 --> 00:38:30.280]   these are things that you can just kind of consume as you're doing your training if you're pushing the
[00:38:30.280 --> 00:38:39.480]   bound like um xai now has a 200 800 cluster right or gpt 4.5 was a very chunky model that's where they have to
[00:38:39.480 --> 00:38:49.160]   start to push on these ideas and develop even more novel um training strategies but yeah that's kind of
[00:38:49.160 --> 00:38:57.400]   their high level um what's going on in different parallelization strategies after that we've kind of
[00:38:57.400 --> 00:39:05.080]   got here's a recipe for finding the best um training config right so if you kind of skip everything
[00:39:05.080 --> 00:39:10.200]   the original intro is kind of important right how do we train on one gpu how do we train on two how do
[00:39:10.200 --> 00:39:15.400]   we train on a single node then the middle is kind of okay now your gpu rich you're probably smarter than
[00:39:15.400 --> 00:39:20.680]   me how do you train across nodes um some of the reasons for some of these as well by the way that we
[00:39:20.680 --> 00:39:26.280]   skipped over was if you have multiple nodes and you don't have interconnect some of these different
[00:39:26.280 --> 00:39:32.920]   parallelization strategies will work better they they better optimize for not having that interconnect
[00:39:32.920 --> 00:39:40.840]   between all nodes um so you know there's recipes for that as well but okay high level let's let's sum it
[00:39:40.840 --> 00:39:46.680]   all up here again so if you want to find your best training config how do you do it so step one uh
[00:39:47.240 --> 00:39:53.240]   fitting a training step into memory right let's figure out how we can fit a full model instance
[00:39:53.240 --> 00:40:01.320]   on the gpu there's several use cases whether you're gpu rich or your gpu poor if your gpu poor um you know
[00:40:01.320 --> 00:40:06.840]   there's full activation re-computation there's gradient accumulation there's stuff like that you can train
[00:40:06.840 --> 00:40:13.800]   slower um basically you want to increase your gradient accumulation steps to processor larger brass sizes
[00:40:13.800 --> 00:40:21.400]   and you kind of do what you do for gpu rich stuff if you have models under 10b use single parallelization
[00:40:21.400 --> 00:40:28.360]   stuff so tensor parallel with um zero three across eight gpus this is kind of where you shard those
[00:40:28.360 --> 00:40:34.040]   model weights across eight gpus for stuff between 10 and 100 billion parameters you'll need more than
[00:40:34.040 --> 00:40:40.200]   eight gpus right they keep saying eight gpus because this is basically one node if you have stuff under 10b and
[00:40:40.360 --> 00:40:47.960]   one node use fsdp with zero three if you have 10 to 100b you're going to need multiple nodes so this is
[00:40:47.960 --> 00:40:53.240]   where you're going to start to do tensor parallelism and pipeline parallelism do tensor parallelism with data
[00:40:53.240 --> 00:41:02.920]   parallelism uh only use zero three then when you're rich with with 512 or a thousand gpus um you know you
[00:41:02.920 --> 00:41:08.840]   should not be reading this but there's there's more stuff that you can do here um tpu poor we talked
[00:41:08.840 --> 00:41:16.120]   about it basically gradient accumulation find out what batch size can you support split batches do micro
[00:41:16.120 --> 00:41:23.400]   batches but don't overdo it um yeah step two achieve the target batch size so depending on where step one
[00:41:23.400 --> 00:41:29.640]   left us uh in terms of micro batches and our data parallelism our current batch size might be too small or too big
[00:41:29.640 --> 00:41:35.480]   right so what you want to do is kind of scale up data parallelization or accumulation step so you know
[00:41:35.480 --> 00:41:41.480]   keep doing gradient accumulation until you're no longer running out of memory and if you want to
[00:41:41.480 --> 00:41:47.880]   start to do long context add in context parallelism so this kind of ring attention stuff to decrease our
[00:41:47.880 --> 00:41:54.440]   global batch size we can reduce data parallelism and we can reduce context parallelism if you have more gpus
[00:41:54.920 --> 00:42:03.080]   okay step three optimizing training throughput set up tensor parallelism using interconnect if you have it
[00:42:03.080 --> 00:42:10.760]   then there's uh increased data parallelism so you know if you have more batches if you have more gpus
[00:42:10.760 --> 00:42:17.720]   yeah use data parallelism and throw the whole weight on them keep the target batch size as big as you can
[00:42:17.720 --> 00:42:27.400]   um try scaling up different parallelism parallelisms one by one and just keep experimenting uh benchmarking
[00:42:27.400 --> 00:42:31.960]   they ran a lot of benchmarks i don't know if anyone found anything interesting in any of these that we
[00:42:31.960 --> 00:42:37.560]   want to dive into but i want to leave 10 minutes for questions so um i'm going to skip through a good
[00:42:37.560 --> 00:42:45.080]   bit of this uh diving into gpus fusing threading so what is gpu how does gpu work you know there's
[00:42:45.080 --> 00:42:51.080]   high bandwidth memory there's interconnect there's global stores there's caching there's kv caching
[00:42:51.080 --> 00:42:59.080]   there's cuda kernels and stuff that optimizes all this um i don't think this is as relevant with the high
[00:42:59.080 --> 00:43:06.360]   level of if you want to train models across tpus what do you do so if you're interested read it it's
[00:43:06.360 --> 00:43:14.360]   pretty useful stuff but at a high level i think it's a little too niche for our um here's kind of
[00:43:14.360 --> 00:43:20.600]   how mapmoles happened let's see i think there's a conclusion at the end of this flash attention
[00:43:20.600 --> 00:43:27.080]   is um you know cuda optimizations for all this ring attention is one mixed precision training is another
[00:43:27.080 --> 00:43:33.800]   interesting one um mixed precision training is one thing but mixed precision inference is another we have a
[00:43:33.800 --> 00:43:42.360]   lot more on uh mixed precision inference but for training um they kind of go into accumulation what
[00:43:42.360 --> 00:43:48.040]   to have different precision for different training stuff fpa pre-training is kind of interesting some
[00:43:48.040 --> 00:43:55.480]   people are doing it we want to see if it works um recent research including fpa lm deep seek v3
[00:43:55.480 --> 00:44:02.040]   which is an interesting one um it shows potential that's kind of huge so the the big thing with
[00:44:02.040 --> 00:44:09.480]   precision is basically as you cut your precision in half you also cut the vram needed to train in half so
[00:44:09.480 --> 00:44:16.760]   full precision versus half precision for 600b model means you know i can now cut off 600 billion 600 gigs of
[00:44:16.760 --> 00:44:24.280]   vram so pretty big stuff with precision okay conclusion uh we know we now know how to train
[00:44:24.280 --> 00:44:31.000]   we now know how stuff was efficiently trained like gamma 405b and v3 on multiple gpus uh once again they
[00:44:31.000 --> 00:44:36.840]   kind of have their their cheat sheets if you want cheat sheets i think it's good to go over this again um
[00:44:38.200 --> 00:44:43.480]   there's there's there's a lot of stuff about fpa versus intake and how they're not the same so
[00:44:43.480 --> 00:44:51.960]   quantization yeah um you should look a little bit deeper into stuff like that um llama's 40 parallelism
[00:44:53.320 --> 00:45:02.040]   what else um a lot of papers a lot of references um yeah pretty pretty solid interesting little
[00:45:02.040 --> 00:45:08.760]   high level overview of how to train it i think uh as a quick recap we should just remember that they
[00:45:08.760 --> 00:45:14.760]   have this you know here's how to fit stuff into memory pick your model size pick your gpus
[00:45:14.760 --> 00:45:21.000]   pick your batch size and optimize your training throughput until stuff doesn't crash here are the
[00:45:21.000 --> 00:45:25.400]   different parallelization strategies we talked about right so data parallel everything on one
[00:45:25.400 --> 00:45:31.480]   zero one zero two zero three is where you start sharding the weights tensor parallel across hidden
[00:45:31.480 --> 00:45:39.560]   dimensions pipeline parallel across model layers context parallel for sequence length expert parallel for
[00:45:39.560 --> 00:45:46.920]   mixture of experts um pretty nice overview i think you know for the ai engineer crowd even if you don't
[00:45:46.920 --> 00:45:53.800]   have five hundred or a thousand gpus just kind of familiarizing yourself with what's going on what
[00:45:53.800 --> 00:46:00.920]   training like what parts of model and pre-training takes how much gpu um you know like yeah it's not
[00:46:00.920 --> 00:46:05.880]   all attention there's these speed forward layers there's these active there's these activation states
[00:46:05.880 --> 00:46:10.040]   there's these gradients we have to calculate how those actually take up more than half of your
[00:46:10.040 --> 00:46:16.600]   training in front uh training memory all that stuff is pretty interesting to know um then the one thing
[00:46:16.600 --> 00:46:22.840]   that this blog i might have missed or it didn't do for me was it didn't mention that you know when you
[00:46:22.840 --> 00:46:28.920]   actually do inference and you consume this stuff um you're actually not accumulating a lot of these
[00:46:28.920 --> 00:46:35.240]   gradients let me find this little diagram again so for example if we're doing let's say um
[00:46:35.240 --> 00:46:41.400]   um llama oh that's cool this doesn't want to work
[00:46:41.400 --> 00:46:49.240]   let me refresh so if we're doing
[00:46:49.240 --> 00:46:52.440]   llama
[00:46:56.040 --> 00:47:03.960]   where'd it go there it is if we're doing llama 3 8b at a sequence length of 60 of
[00:47:03.960 --> 00:47:15.800]   a thousand um all these parameters gradients that are taking a hundred gigs of memory this optimization
[00:47:15.800 --> 00:47:20.680]   these optimizers you know 70 gigs of vram we don't do this during inference we don't have to do all this
[00:47:20.680 --> 00:47:27.080]   back prop so the attention is you know some of it but all this other stuff for training is actually a
[00:47:27.080 --> 00:47:32.520]   lot less and we can quantize better so it didn't it didn't hit on that as much but yeah high level
[00:47:32.520 --> 00:47:40.680]   good read to kind of throw this thing in chat gpt or cloud or whatever your lm of choices
[00:47:40.680 --> 00:47:46.120]   stay you're reading this section have a breakdown each section for you spend an hour on it it's useful to
[00:47:46.120 --> 00:47:51.800]   know for the ai engineer um kind of understanding the difference between training and inference is
[00:47:51.800 --> 00:47:59.320]   always useful and i think um you know a good rule of thumb is like if you're hiring a research intern
[00:47:59.320 --> 00:48:07.800]   would they be able to explain all of this to you hopefully pros and cons trade-offs different multi-node
[00:48:07.800 --> 00:48:14.520]   single node single gpu um if they could that's great and then you should be able to do it yourself
[00:48:14.520 --> 00:48:18.760]   too right it's just good general knowledge so pretend you're in an interview be able to learn all this
[00:48:18.760 --> 00:48:25.640]   stuff it's good background knowledge but yeah um that's kind of high level overview of this big big
[00:48:25.640 --> 00:48:32.440]   pre-training blog um questions thoughts comments we have five minutes i'm sure i skipped out a lot of
[00:48:32.440 --> 00:48:39.720]   stuff i'm sure people have a lot to add in uh out of curiosity what precision or state of the art model
[00:48:39.720 --> 00:48:46.600]   is trained in mostly uh higher precision for gradients so there there is mixed precision as of recently
[00:48:46.600 --> 00:48:54.840]   um you know we're cutting that down i think it said that v3 was trained in fpa which is kind of interesting
[00:48:54.840 --> 00:49:08.120]   but there's still a lot a lot of precision um yeah that's that's paper thoughts comments questions
[00:49:08.120 --> 00:49:22.120]   who wants to train 70b from scratch knowing all this are we prepared to blow thousands of dollars an hour
[00:49:22.120 --> 00:49:30.760]   i think it's a good experiment to run like uh realistically h100s you can rent at two dollars
[00:49:30.760 --> 00:49:40.040]   an hour right so rent an h100 train a 7b rent two h100s on different like you know non um non good
[00:49:40.040 --> 00:49:45.560]   interconnect try some of this stuff because it's very approachable from like common libraries to do this
[00:49:45.560 --> 00:49:51.560]   training then rent a node then rent two nodes and like realistically you only have like a few different
[00:49:51.560 --> 00:49:57.800]   parallelization strategies right um a precursor to this blog from hugging face is fine web it goes
[00:49:57.800 --> 00:50:04.200]   over like i think five trillion maybe 15 trillion pre-training tokens so yeah go go learn um very
[00:50:04.200 --> 00:50:09.480]   useful to learn and just try all this stuff and see what's different and burn burn not too much money
[00:50:09.480 --> 00:50:15.160]   right two dollars an hour for h100s eight h100s twenty cents an hour like we can afford this
[00:50:21.000 --> 00:50:29.560]   um papers that can help me do this for non-english languages um the presenter from last time works on
[00:50:29.560 --> 00:50:36.760]   a state-of-the-art german model not german some some multilingual model so go to paper club someone is
[00:50:36.760 --> 00:50:43.240]   apparently an expert in non non um english models cheapest h100 provider on the internet crypto
[00:50:43.240 --> 00:50:49.640]   bullshit the crypto companies are raising a lot of money and subsidizing gpus to be very very cheap deep
[00:50:49.640 --> 00:50:55.640]   info has them for two dollars model will give you money a lot of people will also sponsor compute but
[00:50:55.640 --> 00:51:01.720]   also um hyperbolic is a good one shout out hyperbolic i think uh it's also pretty cheap right like two
[00:51:01.720 --> 00:51:09.640]   dollars an hour three dollars four dollars sf compute is not um serverless i believe sf compute is bigger
[00:51:09.640 --> 00:51:19.000]   cluster at more time i like the guys but um as run pod and stuff adds 32 h100 64 i don't know if we need
[00:51:19.000 --> 00:51:28.440]   but yeah cool um what other questions questions are on where to get gpus
[00:51:28.440 --> 00:51:35.000]   pay money that's not that expensive very subsidized right now like to a point where somewhat more
[00:51:35.000 --> 00:51:36.360]   subsidized than um
[00:51:36.360 --> 00:51:45.160]   than compute people don't like hyperbolic apparently so never mind no hyperbolic we don't like them i guess
[00:51:45.960 --> 00:51:51.400]   um but they are slightly cheaper than than the others but we don't like them i guess okay volunteers for
[00:51:51.400 --> 00:51:59.240]   next week um who wants to cover paper next week there is a cool pre-training uh post-training survey
[00:51:59.240 --> 00:52:05.720]   uh this is uh i don't know what is um i don't know if it's good uh qw32b came out i don't know if it's
[00:52:05.720 --> 00:52:11.240]   thinking the same name oh is is the is the paper good i haven't looked i don't think there's a paper if
[00:52:11.240 --> 00:52:17.720]   the paper comes out that would be cool i don't know no paper at all blog post which was shitty blog post
[00:52:17.720 --> 00:52:27.720]   4496 word blog post you know thought they had a very sick title on this uh embracing the power of rl
[00:52:27.720 --> 00:52:38.760]   700 word blog post that has nothing but here's code on how to use it okay um llm post training there's a
[00:52:38.760 --> 00:52:46.840]   survey paper on post training very cool little chart here um i think it's a good one if someone wants to
[00:52:46.840 --> 00:53:03.000]   cover it okay i'm gonna volunteer this one to someone if someone's down otherwise um yeah if
[00:53:03.000 --> 00:53:10.040]   there's no more questions oh actually this is pretty short so uh 20 page on post training very useful
[00:53:10.040 --> 00:53:14.520]   graph of thoughts wait these do cover mcts
[00:53:14.520 --> 00:53:22.600]   why not mcts is great dude you know how much of a time sink this was you know how much time was wasted
[00:53:22.600 --> 00:53:30.280]   on mcts who remembers strawberry who remembers multi on saying that they are q star strawberry mcts
[00:53:30.280 --> 00:53:39.960]   waste of time but you know pretty good and i think it's good background right so mcts is kind of
[00:53:39.960 --> 00:53:48.040]   tree search throughout potential next tokens can we span out and do um inference time scaling test time
[00:53:48.040 --> 00:53:54.200]   compute instead of rl a bunch of people wasted a bunch of time on this uh some companies said that
[00:53:54.200 --> 00:54:03.400]   they are q star by by doing this but yeah okay another um another paper that someone has recommended
[00:54:03.400 --> 00:54:10.200]   that we don't know if it is credible the fft strikes back an efficient alternative to self-attention
[00:54:10.200 --> 00:54:14.360]   from one guy at usc is he plugging his own paper
[00:54:14.360 --> 00:54:23.960]   i don't know uh alternatives to attention are always interesting but okay um that's that's paper
[00:54:23.960 --> 00:54:31.000]   club this week guys super nicely done thank you so much you covered two days of reading in one hour
[00:54:31.000 --> 00:54:34.040]   always need to cover quick
[00:54:34.040 --> 00:54:42.680]   in general yeah i i feel like there needs to be more good papers like i i feel like we uh paper
[00:54:42.680 --> 00:54:51.800]   i feel like paper velocity has slowed somehow yeah i mean this isn't even a paper on anything of their own
[00:54:51.800 --> 00:55:00.280]   this is just like uh okay this counts this counts okay very very good survey okay well that's paper club
[00:55:00.280 --> 00:55:03.320]   guys all right take care thank you

