
[00:00:00.000 --> 00:00:02.120]   of Intermediate Biblical Counseling.
[00:22:25.160 --> 00:22:28.480]   "Pastor, I haven't felt emotion about Jesus
[00:22:28.480 --> 00:22:33.240]   or about worship or about the Bible or my spiritual life.
[00:22:33.240 --> 00:22:37.420]   I haven't felt emotion in months or even years.
[00:22:37.420 --> 00:22:39.080]   I'm an emotional blank.
[00:22:39.080 --> 00:22:41.640]   I know I should be feeling something
[00:22:41.640 --> 00:22:43.520]   when I read the Bible or when I pray
[00:22:43.520 --> 00:22:46.380]   or when I join in Sunday morning worship service
[00:22:46.380 --> 00:22:49.400]   and sing these songs, but I feel nothing.
[00:22:49.400 --> 00:22:54.060]   Can you help me think through this topic?"
[00:22:54.060 --> 00:22:57.480]   And that is a more common struggle than you might think.
[00:22:57.480 --> 00:23:01.200]   It's a real struggle for people in the church.
[00:23:01.200 --> 00:23:05.960]   And so we just need to wisely think through this topic.
[00:23:05.960 --> 00:23:09.080]   And I think the lack, as Williams calls it,
[00:23:09.080 --> 00:23:13.560]   the lack of a development of a theology of the emotions
[00:23:13.560 --> 00:23:18.560]   is not helpful for us in ministering to real people.
[00:23:18.560 --> 00:23:23.140]   I've also observed that Christians
[00:23:23.140 --> 00:23:26.500]   want to move straight to the emotion of joy.
[00:23:26.500 --> 00:23:29.640]   It's almost as if we're uncomfortable
[00:23:29.640 --> 00:23:33.800]   with sorrow or we're uncomfortable with righteous anger
[00:23:33.800 --> 00:23:36.080]   or even the emotion of jealousy,
[00:23:36.080 --> 00:23:39.280]   the emotion of compassion, mercy,
[00:23:39.280 --> 00:23:41.640]   feeling the pain of others.
[00:23:41.640 --> 00:23:46.000]   We are uncomfortable with these other aspects
[00:23:46.000 --> 00:23:48.840]   of the emotional life of the Christian.
[00:23:48.840 --> 00:23:51.280]   And we want to shortcut that process
[00:23:51.280 --> 00:23:54.160]   and move straight to joy.
[00:23:55.040 --> 00:24:00.040]   And I have even been in situations
[00:24:00.040 --> 00:24:04.800]   where I've thought that it's appropriate
[00:24:04.800 --> 00:24:08.100]   for us to feel a little more complexity of emotions
[00:24:08.100 --> 00:24:10.240]   and just hit the simple note of,
[00:24:10.240 --> 00:24:13.480]   you just need to have pure joy all the time
[00:24:13.480 --> 00:24:16.480]   really doesn't capture the full teaching
[00:24:16.480 --> 00:24:19.540]   of what scripture says on this topic.
[00:24:19.540 --> 00:24:23.880]   David Powelson, as I mentioned,
[00:24:23.880 --> 00:24:26.080]   has called for further reflection on the study.
[00:24:26.080 --> 00:24:28.040]   He says, "There is no fundamental disconnect
[00:24:28.040 --> 00:24:30.840]   "between the emotional life of our Lord
[00:24:30.840 --> 00:24:32.620]   "and the emotional lives of every believer
[00:24:32.620 --> 00:24:34.960]   "and unbeliever in the Lord
[00:24:34.960 --> 00:24:39.320]   "before whom every knee must someday bow."
[00:24:39.320 --> 00:24:42.520]   He's saying there that if God is a person
[00:24:42.520 --> 00:24:44.640]   with genuine emotions, if Jesus Christ,
[00:24:44.640 --> 00:24:49.640]   the perfect man had perfect emotions,
[00:24:49.640 --> 00:24:52.140]   then so we must understand and embrace the fact
[00:24:52.140 --> 00:24:56.320]   that we are emotional beings.
[00:24:56.320 --> 00:24:59.400]   He continues that every careless word is weighed.
[00:24:59.400 --> 00:25:04.240]   Religious affections are a subset of affections in general
[00:25:04.240 --> 00:25:08.440]   and all affections are religious.
[00:25:08.440 --> 00:25:13.440]   All human creatures worship, love, trust, fear,
[00:25:13.440 --> 00:25:16.980]   believe, take refuge, value, hope, and seek
[00:25:16.980 --> 00:25:19.760]   in either the right way or the wrong way.
[00:25:19.760 --> 00:25:23.840]   All human creatures get angry, joyful, sorrowful,
[00:25:23.840 --> 00:25:28.400]   guilty, jealous, fearful, loving, anxious, driven,
[00:25:28.400 --> 00:25:32.200]   confident, despondent, amorous, or hopeful
[00:25:32.200 --> 00:25:35.580]   in either the right way or the wrong way.
[00:25:35.580 --> 00:25:39.120]   Fire and smoke cannot be separated.
[00:25:39.120 --> 00:25:42.200]   The study of wetness and the study of water
[00:25:42.200 --> 00:25:43.360]   cannot be kept apart.
[00:25:43.360 --> 00:25:47.240]   Causes cannot be dismembered from effects.
[00:25:47.240 --> 00:25:49.400]   Human life is about God and Christ
[00:25:49.400 --> 00:25:51.520]   and dare we say the converse,
[00:25:51.520 --> 00:25:55.380]   God and Christ is about human life.
[00:25:55.380 --> 00:25:57.360]   So you get the idea.
[00:25:57.360 --> 00:25:59.560]   When you read Palestine, you get challenged
[00:25:59.560 --> 00:26:04.080]   to think through the fullness of what the Bible says
[00:26:04.080 --> 00:26:04.980]   on a certain subject.
[00:26:04.980 --> 00:26:07.680]   He has a way of poking us and prodding us
[00:26:07.680 --> 00:26:10.840]   into thinking that maybe you haven't thought
[00:26:10.840 --> 00:26:14.360]   through this subject in its full complexity
[00:26:14.360 --> 00:26:18.980]   and that all is a very hopeful and helpful prodding.
[00:26:18.980 --> 00:26:22.920]   What he's saying here is that we must think theologically
[00:26:22.920 --> 00:26:26.080]   about our emotions.
[00:26:26.080 --> 00:26:28.820]   We must understand the incarnation
[00:26:28.820 --> 00:26:31.720]   and the emotional life of Christ
[00:26:31.720 --> 00:26:34.520]   and then tie that understanding
[00:26:34.520 --> 00:26:37.920]   into our own experience of emotion.
[00:26:37.920 --> 00:26:39.560]   And then Brian Borgman says this,
[00:26:39.560 --> 00:26:43.360]   "It is only when we gain a biblical perspective
[00:26:43.360 --> 00:26:45.500]   "on this significant part of our humanity
[00:26:45.500 --> 00:26:48.320]   "that we can begin to grow
[00:26:48.320 --> 00:26:50.040]   "and put the mind and the emotions
[00:26:50.040 --> 00:26:51.920]   "and the will in the right positions.
[00:26:51.920 --> 00:26:53.080]   "As we learn to understand
[00:26:53.080 --> 00:26:56.240]   "and handle our emotions biblically,
[00:26:56.240 --> 00:26:59.700]   "we begin to mature in new ways.
[00:26:59.700 --> 00:27:03.200]   "My pastoral experience has taught me
[00:27:03.200 --> 00:27:05.860]   "that a biblical understanding of the emotions
[00:27:05.860 --> 00:27:07.580]   "and the application of these truths
[00:27:07.580 --> 00:27:12.580]   "can become a virtual greenhouse
[00:27:12.580 --> 00:27:17.680]   "for spiritual growth and maturity."
[00:27:17.680 --> 00:27:19.560]   I love that statement.
[00:27:19.560 --> 00:27:21.560]   And I'm going to get emotional
[00:27:21.560 --> 00:27:24.440]   speaking on this subject of emotions
[00:27:24.440 --> 00:27:28.000]   because I think that is why this topic is so important
[00:27:28.000 --> 00:27:31.820]   and so crucial for biblical counselors
[00:27:31.820 --> 00:27:33.860]   to understand this topic.
[00:27:33.860 --> 00:27:38.560]   When you handle the subject of emotions biblically,
[00:27:38.560 --> 00:27:42.640]   wisely, pastorally, carefully,
[00:27:42.640 --> 00:27:46.440]   and then relate to your counselees with wisdom
[00:27:46.440 --> 00:27:47.740]   and with grace,
[00:27:47.740 --> 00:27:49.880]   what you do is you provide for them
[00:27:49.880 --> 00:27:52.760]   what Borgman calls a spiritual greenhouse
[00:27:52.760 --> 00:27:57.640]   where they can actually begin to grow in ways
[00:27:57.640 --> 00:28:02.600]   that they had not experienced previously
[00:28:02.600 --> 00:28:06.000]   in their Christian life.
[00:28:06.000 --> 00:28:08.240]   I think one work that has helped me so much
[00:28:08.240 --> 00:28:10.160]   to think through the subject of emotions
[00:28:10.160 --> 00:28:14.600]   was the landmark work by John Piper, "Desiring God,"
[00:28:14.600 --> 00:28:18.080]   which is in itself a reflection
[00:28:18.080 --> 00:28:20.320]   on the work of Jonathan Edwards,
[00:28:20.320 --> 00:28:21.520]   "The Religious Affections,"
[00:28:21.520 --> 00:28:24.680]   just talking about the place of affection
[00:28:24.680 --> 00:28:27.440]   or emotion in the Christian life.
[00:28:27.440 --> 00:28:29.000]   And I remember as a new Christian
[00:28:29.000 --> 00:28:32.640]   hearing John Piper preach on the subject
[00:28:32.640 --> 00:28:35.160]   of the religious affections for the very first time,
[00:28:35.160 --> 00:28:38.960]   and I had never heard someone emphasize
[00:28:38.960 --> 00:28:42.000]   the importance of affection and emotion
[00:28:42.000 --> 00:28:46.280]   and desiring the Lord and eating of God's word
[00:28:46.280 --> 00:28:49.120]   in a way where your full heart and affections
[00:28:49.120 --> 00:28:52.080]   and emotions are engaged in that study.
[00:28:52.080 --> 00:28:56.080]   I had never seen that subject emphasized before.
[00:28:56.080 --> 00:28:58.440]   And I do remember growing in ways
[00:28:58.440 --> 00:28:59.700]   that I had not previously
[00:28:59.700 --> 00:29:02.500]   when I began to understand what the Bible said
[00:29:02.500 --> 00:29:07.040]   on this topic, that the joy and grief
[00:29:07.040 --> 00:29:10.480]   and compassion and mercy and even jealousy,
[00:29:10.480 --> 00:29:13.680]   as Paul talks about his jealousy for the church,
[00:29:13.680 --> 00:29:15.880]   that they would be presented to Christ
[00:29:15.880 --> 00:29:18.920]   in purity and in fidelity,
[00:29:18.920 --> 00:29:21.360]   that all of that understanding
[00:29:21.360 --> 00:29:22.880]   of the emotional life of the Christian
[00:29:22.880 --> 00:29:26.200]   did begin to pay dividends in my spiritual life,
[00:29:26.200 --> 00:29:27.960]   and I pray that that would continue.
[00:29:27.960 --> 00:29:30.480]   And I think that's what Borgman's teaching here,
[00:29:30.480 --> 00:29:34.400]   that when you handle the subject wisely and biblically,
[00:29:34.400 --> 00:29:38.520]   you open up new avenues for a counselee
[00:29:38.520 --> 00:29:42.680]   and even your own life for you to grow in Christ.
[00:29:42.680 --> 00:29:47.280]   And I think that's why this topic is so important.
[00:29:47.280 --> 00:29:49.320]   By the way, if you meet Brian Borgman,
[00:29:49.320 --> 00:29:51.500]   he's not what you call a touchy-feely guy.
[00:29:51.500 --> 00:29:52.760]   You might think that, oh, reading that,
[00:29:52.760 --> 00:29:54.760]   he's one of these guys who's always just like
[00:29:54.760 --> 00:29:58.160]   really emotional all the time and touchy-feely.
[00:29:58.160 --> 00:30:00.160]   And you find, this guy's a straight shooter.
[00:30:00.160 --> 00:30:04.840]   He is one of the most faithful biblical expositors
[00:30:04.840 --> 00:30:09.320]   and teachers that I have listened to,
[00:30:09.320 --> 00:30:11.480]   and he just isn't the personality type
[00:30:11.480 --> 00:30:12.840]   that you might think,
[00:30:12.840 --> 00:30:14.920]   but he's just being straight with the word of God
[00:30:14.920 --> 00:30:17.600]   and saying, if we wanna be faithful with the word of God,
[00:30:17.600 --> 00:30:22.600]   we have to understand what the Bible says about emotion.
[00:30:22.600 --> 00:30:25.920]   Moving on here, dear friends,
[00:30:25.920 --> 00:30:28.000]   have you noticed that the Bible is not hesitant
[00:30:28.000 --> 00:30:30.560]   to address our emotional lives?
[00:30:30.560 --> 00:30:33.240]   Christ claims authority over our emotions,
[00:30:33.240 --> 00:30:36.400]   and the Bible has no problems with calling us
[00:30:36.400 --> 00:30:40.720]   to have godly emotions in the Lord.
[00:30:40.720 --> 00:30:42.160]   Psalm 66, verse one.
[00:30:42.160 --> 00:30:44.320]   "Shout for joy to God, all the earth.
[00:30:44.320 --> 00:30:46.780]   "Sing the glory of his name.
[00:30:46.780 --> 00:30:49.340]   "Give to him glorious praise.
[00:30:49.340 --> 00:30:51.200]   "Say to God, how awesome are your deeds.
[00:30:51.200 --> 00:30:53.780]   "So great is your power
[00:30:53.780 --> 00:30:55.820]   "that your enemies come cringing to you.
[00:30:55.820 --> 00:30:59.060]   "All the earth worships you and sings praises to you.
[00:30:59.060 --> 00:31:01.240]   "They sing praises to your name."
[00:31:01.240 --> 00:31:04.260]   This is a call not only to engage in worship,
[00:31:04.260 --> 00:31:06.580]   but to experience the emotions
[00:31:06.580 --> 00:31:08.680]   that are appropriate to worship,
[00:31:08.680 --> 00:31:14.580]   which is the joyful celebration of the greatness of God.
[00:31:14.580 --> 00:31:20.440]   We are to joyfully sing the praises of his name.
[00:31:20.440 --> 00:31:21.880]   We'll talk about this a little bit,
[00:31:21.880 --> 00:31:24.160]   but part of the distortion of sin in our lives
[00:31:24.160 --> 00:31:28.080]   is that we rejoice in things we ought to be sorrowful over.
[00:31:28.080 --> 00:31:31.880]   We are sorrowful things that we ought to rejoice in.
[00:31:31.880 --> 00:31:35.240]   And so our emotional lives are kind of twisted
[00:31:35.240 --> 00:31:39.220]   where we're finding joy in things we ought to grieve over.
[00:31:39.220 --> 00:31:41.800]   And as scripture says in our society,
[00:31:41.800 --> 00:31:44.880]   we glory in our shame.
[00:31:44.880 --> 00:31:47.240]   And another way that you see
[00:31:47.240 --> 00:31:50.480]   that our emotional lives are affected by sin
[00:31:50.480 --> 00:31:53.720]   is that we don't feel the intensity of emotions
[00:31:53.720 --> 00:31:56.480]   that are appropriate to the subject at hand.
[00:31:57.360 --> 00:31:59.800]   We have large emotions about things
[00:31:59.800 --> 00:32:03.500]   we should have small emotion over,
[00:32:03.500 --> 00:32:08.060]   and we have very small emotion over things
[00:32:08.060 --> 00:32:10.560]   that we ought to experience lots of emotion over.
[00:32:10.560 --> 00:32:16.920]   We get so excited about the Super Bowl,
[00:32:16.920 --> 00:32:18.960]   or the NBA finals,
[00:32:18.960 --> 00:32:21.660]   or our team winning a certain championship,
[00:32:21.660 --> 00:32:23.960]   or the Olympics.
[00:32:23.960 --> 00:32:26.240]   And it's fine to rejoice in those things,
[00:32:26.240 --> 00:32:30.840]   but they are limited achievements.
[00:32:30.840 --> 00:32:33.740]   The problem is not that we find joy
[00:32:33.740 --> 00:32:36.160]   in these types of things,
[00:32:36.160 --> 00:32:38.240]   it's that we have so much emotion
[00:32:38.240 --> 00:32:39.920]   over things that are of limited value,
[00:32:39.920 --> 00:32:42.400]   and we have such small emotion
[00:32:42.400 --> 00:32:45.360]   over things that have ultimate value.
[00:32:45.360 --> 00:32:51.440]   And I think the Psalms are calling for the exact reverse.
[00:32:51.440 --> 00:32:54.040]   Shout for joy to God, all the earth.
[00:32:54.920 --> 00:32:56.400]   Sing the glory of his name.
[00:32:56.400 --> 00:32:58.080]   Have you ever been there where sometimes
[00:32:58.080 --> 00:33:00.220]   I'm in a Sunday morning worship service,
[00:33:00.220 --> 00:33:01.060]   and I'm praying,
[00:33:01.060 --> 00:33:06.060]   Lord, help me to experience the appropriate emotions
[00:33:06.060 --> 00:33:07.920]   that would respond to the truth
[00:33:07.920 --> 00:33:09.400]   that we're talking about,
[00:33:09.400 --> 00:33:13.480]   or to engage in the singing of the church.
[00:33:13.480 --> 00:33:15.360]   I ought to feel some emotions.
[00:33:15.360 --> 00:33:18.260]   And I do get concerned in my own spiritual life,
[00:33:18.260 --> 00:33:21.740]   if I can go weeks and Sunday after Sunday,
[00:33:22.840 --> 00:33:27.840]   and come to worship service and not feel any emotion,
[00:33:27.840 --> 00:33:31.660]   then I start to get concerned over the state of my soul.
[00:33:31.660 --> 00:33:37.760]   I don't think that we are emotional experiences
[00:33:37.760 --> 00:33:44.040]   or the end all be all in the Christian life.
[00:33:44.040 --> 00:33:47.440]   I'm not advocating from some point of view
[00:33:47.440 --> 00:33:48.920]   that says you need to whip yourself
[00:33:48.920 --> 00:33:50.200]   into an emotional frenzy
[00:33:50.280 --> 00:33:53.640]   in order to have a genuine worship experience.
[00:33:53.640 --> 00:33:55.780]   We know that that's not true.
[00:33:55.780 --> 00:34:00.380]   But if I can feel zero emotion,
[00:34:00.380 --> 00:34:03.680]   week after week after week,
[00:34:03.680 --> 00:34:07.920]   after the truth of God is being proclaimed in my life,
[00:34:07.920 --> 00:34:10.040]   and the glory of God and the glory of Christ
[00:34:10.040 --> 00:34:13.440]   is being taught and proclaimed and being prayed over,
[00:34:13.440 --> 00:34:15.760]   and I can feel nothing for weeks.
[00:34:15.760 --> 00:34:17.660]   And I get very concerned about
[00:34:17.660 --> 00:34:20.560]   what's going on with my soul.
[00:34:20.560 --> 00:34:26.960]   That there is a place for emotion in life and worship.
[00:34:26.960 --> 00:34:30.920]   And you see that in Psalm 66, verse one.
[00:34:30.920 --> 00:34:34.420]   Psalm 100, verse one,
[00:34:34.420 --> 00:34:36.520]   "Make a joyful noise, the Lord all the earth,
[00:34:36.520 --> 00:34:39.020]   "serve the Lord with gladness,
[00:34:39.020 --> 00:34:40.640]   "come into his presence with singing,
[00:34:40.640 --> 00:34:42.900]   "know that the Lord, he is God.
[00:34:42.900 --> 00:34:45.660]   "It is he who made us and we are his.
[00:34:45.660 --> 00:34:49.260]   "We are his people and the sheep of his pasture.
[00:34:49.260 --> 00:34:50.740]   "Enter his gates with thanksgiving
[00:34:50.740 --> 00:34:53.820]   "and his courts with praise, give thanks to him.
[00:34:53.820 --> 00:34:56.580]   "Bless his name for the Lord is good.
[00:34:56.580 --> 00:34:58.420]   "His steadfast love endures forever
[00:34:58.420 --> 00:35:03.060]   "and his faithfulness to all generations."
[00:35:03.060 --> 00:35:06.800]   It's hard to read that passage
[00:35:06.800 --> 00:35:09.660]   without responding with emotion,
[00:35:09.660 --> 00:35:12.740]   to know that the steadfast love of the Lord endures forever,
[00:35:12.740 --> 00:35:16.220]   to know that you are loved eternally
[00:35:16.220 --> 00:35:21.940]   and that God's loving kindness will never leave you.
[00:35:21.940 --> 00:35:24.100]   And so we're called not only to sing with joy,
[00:35:24.100 --> 00:35:27.440]   we're called to serve with joy.
[00:35:27.440 --> 00:35:31.220]   And then you have in the scriptures,
[00:35:31.220 --> 00:35:35.020]   the emotion of sorrow being demonstrated
[00:35:35.020 --> 00:35:38.460]   by godly men like the prophet Jeremiah,
[00:35:38.460 --> 00:35:41.460]   who ministered in the days before Judah's captivity.
[00:35:42.460 --> 00:35:46.420]   Jerusalem was about to be conquered
[00:35:46.420 --> 00:35:48.700]   by the Babylonian empire
[00:35:48.700 --> 00:35:51.460]   and the people will be taken captive.
[00:35:51.460 --> 00:35:54.060]   The temple will be destroyed.
[00:35:54.060 --> 00:35:56.740]   Jeremiah sees the impending captivity of his people.
[00:35:56.740 --> 00:35:59.220]   And he says in Jeremiah four, verse 19,
[00:35:59.220 --> 00:36:01.840]   "My anguish, my anguish, I writhe in pain
[00:36:01.840 --> 00:36:03.220]   "or the walls of my heart.
[00:36:03.220 --> 00:36:04.720]   "My heart is beating wildly.
[00:36:04.720 --> 00:36:07.280]   "I cannot keep silent for I hear the sound of the trumpet,
[00:36:07.280 --> 00:36:09.460]   "the alarm of war."
[00:36:09.460 --> 00:36:14.460]   Friends, these are emotions
[00:36:14.460 --> 00:36:19.300]   that are appropriate to the circumstances.
[00:36:19.300 --> 00:36:20.420]   Would you agree
[00:36:20.420 --> 00:36:28.260]   that it is wrong to laugh out loud
[00:36:28.260 --> 00:36:32.340]   at the saddest part of a funeral service?
[00:36:32.340 --> 00:36:36.680]   Would you agree that that would be a wrong emotion,
[00:36:36.680 --> 00:36:39.300]   that that would be even sinful
[00:36:39.300 --> 00:36:41.980]   to express that type of emotion
[00:36:41.980 --> 00:36:44.460]   in the context in which you are in?
[00:36:44.460 --> 00:36:47.100]   Would you agree at the same time
[00:36:47.100 --> 00:36:50.300]   that it would be wrong to weep with sorrow
[00:36:50.300 --> 00:36:54.260]   and put ashes over your head at someone's wedding?
[00:36:54.260 --> 00:37:01.140]   It is not that joy is always right or sorrow is always wrong.
[00:37:01.140 --> 00:37:05.460]   It is that our emotions are meant to respond
[00:37:05.460 --> 00:37:08.740]   to the circumstances we find ourselves in.
[00:37:09.580 --> 00:37:13.460]   And Jeremiah would have been wrong
[00:37:13.460 --> 00:37:17.420]   to look at the impending doom of his people,
[00:37:17.420 --> 00:37:20.420]   the exile of his people into Babylon
[00:37:20.420 --> 00:37:24.980]   and to feel no emotion, to feel indifference,
[00:37:24.980 --> 00:37:29.980]   to not weep at the events which were about to take place
[00:37:29.980 --> 00:37:33.300]   would have been wrong for Jeremiah.
[00:37:33.300 --> 00:37:35.620]   So he talks, he has an appropriate emotion
[00:37:36.780 --> 00:37:39.180]   in the context of what he was dealing with
[00:37:39.180 --> 00:37:41.300]   and he feels anguish.
[00:37:41.300 --> 00:37:49.060]   When a counselee is weeping in front of me
[00:37:49.060 --> 00:37:51.820]   because of the burden of his sin
[00:37:51.820 --> 00:37:56.380]   or because of the consequences of his sin,
[00:37:56.380 --> 00:38:00.340]   because of the devastation of what has happened
[00:38:00.340 --> 00:38:01.460]   that due to his sin,
[00:38:01.460 --> 00:38:06.460]   he has lost a number of things that is precious to him
[00:38:06.980 --> 00:38:09.620]   that is not the right time for me to crack a joke.
[00:38:09.620 --> 00:38:13.820]   That is not the right time for me
[00:38:13.820 --> 00:38:16.860]   to make light of the situation.
[00:38:16.860 --> 00:38:24.420]   We need emotions that are appropriate to the circumstances.
[00:38:24.420 --> 00:38:31.380]   And even Paul felt this sorrow in his emotional life
[00:38:31.380 --> 00:38:33.660]   where he said in Romans 9 verse one,
[00:38:33.660 --> 00:38:36.060]   I'm speaking the truth in Christ, I'm not lying.
[00:38:36.060 --> 00:38:37.580]   My conscience bears to be witnessed
[00:38:37.580 --> 00:38:40.740]   in the Holy Spirit that I have great sorrow
[00:38:40.740 --> 00:38:42.780]   and unceasing anguish in my heart.
[00:38:42.780 --> 00:38:47.780]   He lamented over the unbelief of the people of Israel.
[00:38:47.780 --> 00:38:54.300]   I feel this burden and I think I'm justified biblically
[00:38:54.300 --> 00:38:59.300]   to feel this burden of so many beloved church members
[00:38:59.300 --> 00:39:01.540]   who have unsaved family members
[00:39:01.540 --> 00:39:03.460]   or maybe even unsaved children
[00:39:04.380 --> 00:39:06.900]   and even just week after week, they come and they ask,
[00:39:06.900 --> 00:39:09.420]   can you pray for my loved one?
[00:39:09.420 --> 00:39:12.460]   That my loved one would be saved and know Christ.
[00:39:12.460 --> 00:39:20.300]   And I would be wrong as a pastor not to feel that burden,
[00:39:20.300 --> 00:39:24.740]   not to feel indifference or to not respond
[00:39:24.740 --> 00:39:27.380]   with some type of emotion to the burdens
[00:39:27.380 --> 00:39:31.660]   that people are carrying in the church.
[00:39:33.180 --> 00:39:34.940]   And so this was Paul.
[00:39:34.940 --> 00:39:39.060]   I have great sorrow, unceasing anguish in my heart.
[00:39:39.060 --> 00:39:42.060]   This is the same Paul who said to the Philippian church,
[00:39:42.060 --> 00:39:43.380]   rejoice in the Lord always.
[00:39:43.380 --> 00:39:45.460]   And again, I say rejoice.
[00:39:45.460 --> 00:39:51.660]   There was a complexity to even Paul's emotional life
[00:39:51.660 --> 00:39:55.300]   where he could say both things at the same time
[00:39:55.300 --> 00:40:01.260]   that we should exalt in the hope of the glory of God.
[00:40:01.260 --> 00:40:04.500]   At the same time, we feel this great burden
[00:40:04.500 --> 00:40:07.940]   that loved ones we know are saved.
[00:40:07.940 --> 00:40:14.700]   So the Bible has no problems addressing our emotions.
[00:40:14.700 --> 00:40:16.980]   If you look at page three of your handout,
[00:40:16.980 --> 00:40:21.980]   let me walk through a biblical theology of emotions.
[00:40:21.980 --> 00:40:24.820]   And these would just be some points
[00:40:24.820 --> 00:40:27.860]   you will want to highlight.
[00:40:27.860 --> 00:40:31.500]   As you talk through a biblical theology of emotions.
[00:40:31.500 --> 00:40:35.020]   So how do we summarize just the breadth
[00:40:35.020 --> 00:40:38.060]   of what scripture says on this subject?
[00:40:38.060 --> 00:40:41.700]   And let's talk through some theological foundations
[00:40:41.700 --> 00:40:44.460]   for understanding our emotions.
[00:40:44.460 --> 00:40:47.180]   We begin with a simple observation in letter A
[00:40:47.180 --> 00:40:52.180]   that God is a personal being with genuine emotions.
[00:40:52.180 --> 00:40:56.460]   God is a personal being with emotions.
[00:40:56.460 --> 00:41:00.180]   A number of passages clearly demonstrate this.
[00:41:00.180 --> 00:41:02.220]   Genesis six, verse five.
[00:41:02.220 --> 00:41:05.500]   The Lord saw the wickedness of man was great in the earth
[00:41:05.500 --> 00:41:08.800]   and that every intention of the thoughts of his heart
[00:41:08.800 --> 00:41:11.540]   was only evil continually.
[00:41:11.540 --> 00:41:13.860]   And the Lord regretted that he had made man on the earth
[00:41:13.860 --> 00:41:17.780]   and it grieved him to his heart.
[00:41:17.780 --> 00:41:23.060]   You will note here that grief is an appropriate response
[00:41:23.060 --> 00:41:26.500]   to the sinfulness of this world.
[00:41:26.500 --> 00:41:32.660]   The grief of God described in this passage
[00:41:32.660 --> 00:41:37.500]   is absolutely and perfectly holy.
[00:41:37.500 --> 00:41:44.140]   And so we see that grief over people's sin
[00:41:44.140 --> 00:41:48.440]   is an appropriate response
[00:41:48.440 --> 00:41:52.380]   and that God grieved over the sinfulness of man.
[00:41:52.380 --> 00:41:56.180]   Exodus 20, verse five, part of the 10 commandments.
[00:41:56.180 --> 00:41:58.080]   You shall not bow down to them or serve them
[00:41:58.080 --> 00:42:00.220]   for I, the Lord your God, am a jealous God
[00:42:00.220 --> 00:42:03.100]   visiting the iniquity of the fathers on the children
[00:42:03.100 --> 00:42:06.620]   to the third and fourth generation of those who hate me.
[00:42:06.620 --> 00:42:09.460]   You say, well, isn't jealousy bad?
[00:42:09.460 --> 00:42:10.980]   Isn't jealousy wrong?
[00:42:10.980 --> 00:42:13.420]   Well, it depends on the context, doesn't it?
[00:42:13.420 --> 00:42:18.980]   Is it wrong for a husband to be jealous
[00:42:18.980 --> 00:42:22.140]   for his wife's affections?
[00:42:22.140 --> 00:42:26.760]   We would say it's not wrong for a husband to be jealous
[00:42:26.760 --> 00:42:31.260]   that his wife love him and him alone.
[00:42:31.260 --> 00:42:35.540]   If you were to go into a marriage counseling situation,
[00:42:35.540 --> 00:42:37.820]   and let's say in this counseling situation,
[00:42:37.820 --> 00:42:42.020]   the wife is being unfaithful, she is in adultery,
[00:42:42.020 --> 00:42:44.340]   and you're talking in this counseling session
[00:42:44.340 --> 00:42:47.060]   and you find that the husband, he doesn't care,
[00:42:47.060 --> 00:42:50.980]   he has no emotions, he feels no jealousy,
[00:42:50.980 --> 00:42:53.200]   he's indifferent to her unfaithfulness,
[00:42:53.200 --> 00:42:55.280]   you would say there is something wrong
[00:42:55.280 --> 00:42:57.180]   with this husband's response.
[00:42:57.180 --> 00:42:59.700]   He ought to be feeling some kind of emotion
[00:42:59.700 --> 00:43:03.960]   because he ought to be jealous for his wife's affections.
[00:43:03.960 --> 00:43:07.860]   That is an appropriate emotion to be feeling
[00:43:07.860 --> 00:43:12.860]   due to the exclusivity of the marriage relationship.
[00:43:12.860 --> 00:43:15.180]   So jealousy can be appropriate.
[00:43:15.180 --> 00:43:19.420]   And here the Lord says, I am a jealous God,
[00:43:19.420 --> 00:43:22.860]   that God does not tolerate his people
[00:43:22.860 --> 00:43:26.740]   dividing their affections between the true worship
[00:43:26.740 --> 00:43:28.980]   of the Lord and the worship of idols.
[00:43:28.980 --> 00:43:32.300]   And we see that throughout both the Old Testament
[00:43:32.300 --> 00:43:33.800]   and New Testament.
[00:43:33.800 --> 00:43:38.500]   I love Isaiah 49 verse 15.
[00:43:38.500 --> 00:43:41.260]   The Lord says, can a woman forget her nursing child
[00:43:41.260 --> 00:43:46.260]   that she should have no compassion on the son of her womb?
[00:43:47.380 --> 00:43:52.220]   Even these may forget, yet I will not forget you.
[00:43:52.220 --> 00:43:57.420]   What mother does not feel this way towards her children?
[00:43:57.420 --> 00:44:02.900]   When they hurt, she hurts.
[00:44:02.900 --> 00:44:06.240]   When they are in pain, she is in pain.
[00:44:06.240 --> 00:44:11.180]   We have seen this type of motherhood
[00:44:11.180 --> 00:44:14.260]   demonstrated in so many different ways.
[00:44:14.260 --> 00:44:18.220]   And the Lord says, this is what my love is like
[00:44:18.220 --> 00:44:19.280]   for my people.
[00:44:19.280 --> 00:44:26.020]   Can a woman forget her nursing child?
[00:44:26.020 --> 00:44:28.940]   So the Lord has moved with compassion
[00:44:28.940 --> 00:44:33.060]   for those who are his.
[00:44:33.060 --> 00:44:35.300]   Isaiah 62 verse five, for as a young man
[00:44:35.300 --> 00:44:38.100]   marries a young woman, so shall your sons marry you.
