
[00:00:00.040 --> 00:00:09.600]   пять
[00:32:40.720 --> 00:32:40.720]   We're going to be the president of the United States,
[00:32:40.720 --> 00:32:40.720]   We're going to be the president of the United States,
[00:32:40.720 --> 00:32:40.720]   We're going to be the president of the United States,
[00:32:40.720 --> 00:32:40.720]   We're going to be the president of the United States,
[00:32:40.720 --> 00:32:40.720]   We're going to be the president of the United States,
[00:32:40.720 --> 00:32:40.720]   We're going to be the president of the United States,
[00:32:40.720 --> 00:32:40.720]   We're going to be the president of the United States,
[00:32:40.720 --> 00:32:40.720]   We're going to be the president of the United States,
[00:32:40.720 --> 00:32:40.720]   We're going to be the president of the United States,
[00:32:40.720 --> 00:32:40.720]   We're going to be the president of the United States,
[00:32:40.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:10.740]   We're going to be the president of the United States,
[00:33:10.740 --> 00:33:40.760]   We're going to be the president of the United States,
[00:33:40.760 --> 00:33:40.760]   We're going to be the president of the United States,
[00:33:40.760 --> 00:33:40.760]   We're going to be the president of the United States,
[00:33:40.760 --> 00:33:40.760]   We're going to be the president of the United States,
[00:33:40.760 --> 00:33:40.760]   We're going to be the president of the United States,
[00:33:40.760 --> 00:33:40.760]   We're going to be the president of the United States,
[00:33:40.760 --> 00:33:40.760]   We're going to be the president of the United States,
[00:33:40.760 --> 00:33:40.760]   We're going to be the president of the United States,
[00:33:40.760 --> 00:33:40.760]   We're going to be the president of the United States,
[00:33:40.760 --> 00:33:40.760]   We're going to be the president of the United States,
[00:33:40.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:10.780]   We're going to be the president of the United States,
[00:34:10.780 --> 00:34:40.800]   We're going to be the president of the United States,
[00:34:40.800 --> 00:34:40.800]   We're going to be the president of the United States,
[00:34:40.800 --> 00:34:40.800]   We're going to be the president of the United States,
[00:34:40.800 --> 00:34:40.800]   We're going to be the president of the United States,
[00:34:40.800 --> 00:34:40.800]   We're going to be the president of the United States,
[00:34:40.800 --> 00:34:40.800]   We're going to be the president of the United States,
[00:34:40.800 --> 00:34:40.800]   We're going to be the president of the United States,
[00:34:40.800 --> 00:34:40.800]   We're going to be the president of the United States,
[00:34:40.800 --> 00:34:40.800]   We're going to be the president of the United States,
[00:34:40.800 --> 00:34:40.800]   We're going to be the president of the United States,
[00:34:40.800 --> 00:34:40.800]   We're going to be the president of the United States,
[00:34:40.800 --> 00:34:40.800]   We're going to be the president of the United States,
[00:34:40.800 --> 00:34:40.800]   We're going to be the president of the United States,
[00:34:40.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:10.820]   We're going to be the president of the United States,
[00:35:10.820 --> 00:35:40.840]   We're going to be the president of the United States,
[00:35:40.840 --> 00:35:40.840]   We're going to be the president of the United States,
[00:35:40.840 --> 00:35:40.840]   We're going to be the president of the United States,
[00:35:40.840 --> 00:35:40.840]   We're going to be the president of the United States,
[00:35:40.840 --> 00:35:40.840]   We're going to be the president of the United States,
[00:35:40.840 --> 00:35:40.840]   We're going to be the president of the United States,
[00:35:40.840 --> 00:35:40.840]   We're going to be the president of the United States,
[00:35:40.840 --> 00:35:40.840]   We're going to be the president of the United States,
[00:35:40.840 --> 00:35:40.840]   We're going to be the president of the United States,
[00:35:40.840 --> 00:35:40.840]   We're going to be the president of the United States,
[00:35:40.840 --> 00:35:40.840]   We're going to be the president of the United States,
[00:35:40.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:10.860]   We're going to be the president of the United States,
[00:36:10.860 --> 00:36:40.880]   We're going to be the president of the United States,
[00:36:40.880 --> 00:36:40.880]   We're going to be the president of the United States,
[00:36:40.880 --> 00:36:40.880]   We're going to be the president of the United States,
[00:36:40.880 --> 00:36:40.880]   We're going to be the president of the United States,
[00:36:40.880 --> 00:36:40.880]   We're going to be the president of the United States,
[00:36:40.880 --> 00:36:40.880]   We're going to be the president of the United States,
[00:36:40.880 --> 00:36:40.880]   We're going to be the president of the United States,
[00:36:40.880 --> 00:36:40.880]   We're going to be the president of the United States,
[00:36:40.880 --> 00:36:40.880]   We're going to be the president of the United States,
[00:36:40.880 --> 00:36:40.880]   We're going to be the president of the United States,
[00:36:40.880 --> 00:36:40.880]   We're going to be the president of the United States,
[00:36:40.880 --> 00:36:40.880]   We're going to be the president of the United States,
[00:36:40.880 --> 00:36:40.880]   We're going to be the president of the United States,
[00:36:40.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:10.900]   We're going to be the president of the United States,
[00:37:10.900 --> 00:37:40.920]   I'm going to be the president of the United States,
[00:37:40.920 --> 00:37:40.920]   I'm going to be the president of the United States,
[00:37:40.920 --> 00:37:40.920]   I'm going to be the president of the United States,
[00:37:40.920 --> 00:37:40.920]   I'm going to be the president of the United States,
[00:37:40.920 --> 00:37:40.920]   I'm going to be the president of the United States,
[00:37:40.920 --> 00:37:40.920]   I'm going to be the president of the United States,
[00:37:40.920 --> 00:37:40.920]   I'm going to be the president of the United States,
[00:37:40.920 --> 00:37:40.920]   I'm going to be the president of the United States,
[00:37:40.920 --> 00:37:40.920]   I'm going to be the president of the United States,
[00:37:40.920 --> 00:37:40.920]   I'm going to be the president of the United States,
[00:37:40.920 --> 00:37:40.920]   I'm going to be the president of the United States,
[00:37:40.920 --> 00:37:40.920]   I'm going to be the president of the United States,
[00:37:40.940 --> 00:38:10.940]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:10.940 --> 00:38:10.940]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:10.940 --> 00:38:10.940]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:10.940 --> 00:38:10.940]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:10.940 --> 00:38:10.940]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:10.940 --> 00:38:10.940]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:10.940 --> 00:38:10.940]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:10.940 --> 00:38:10.940]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:10.940 --> 00:38:10.940]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:10.940 --> 00:38:10.940]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:10.980 --> 00:38:40.960]  ,
[00:38:40.960 --> 00:38:40.960]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:40.960 --> 00:38:40.960]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:40.960 --> 00:38:40.960]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:40.960 --> 00:38:40.960]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:40.960 --> 00:38:40.960]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:40.960 --> 00:38:40.960]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:40.960 --> 00:38:40.960]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:40.960 --> 00:38:40.960]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:38:40.980 --> 00:39:10.980]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:10.980 --> 00:39:10.980]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:10.980 --> 00:39:10.980]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:10.980 --> 00:39:10.980]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:10.980 --> 00:39:10.980]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:10.980 --> 00:39:10.980]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:10.980 --> 00:39:10.980]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:10.980 --> 00:39:10.980]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:10.980 --> 00:39:10.980]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:10.980 --> 00:39:10.980]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:11.020 --> 00:39:41.000]  ,
[00:39:41.000 --> 00:39:41.000]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:41.000 --> 00:39:41.000]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:41.000 --> 00:39:41.000]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:41.000 --> 00:39:41.000]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:41.000 --> 00:39:41.000]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:41.000 --> 00:39:41.000]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:41.000 --> 00:39:41.000]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:41.000 --> 00:39:41.000]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:41.000 --> 00:39:41.000]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:41.000 --> 00:39:41.000]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:39:41.020 --> 00:40:11.020]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:11.020 --> 00:40:11.020]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:11.020 --> 00:40:11.020]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:11.020 --> 00:40:11.020]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:11.020 --> 00:40:11.020]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:11.020 --> 00:40:11.020]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:11.020 --> 00:40:11.020]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:11.020 --> 00:40:11.020]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:11.020 --> 00:40:11.020]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:11.020 --> 00:40:11.020]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:11.060 --> 00:40:41.040]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:41.040 --> 00:40:41.040]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:41.040 --> 00:40:41.040]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:41.040 --> 00:40:41.040]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:41.040 --> 00:40:41.040]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:41.040 --> 00:40:41.040]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:41.040 --> 00:40:41.040]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:41.040 --> 00:40:41.040]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:41.040 --> 00:40:41.040]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:41.040 --> 00:40:41.040]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:40:41.060 --> 00:41:11.060]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:11.060 --> 00:41:11.060]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:11.060 --> 00:41:11.060]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:11.060 --> 00:41:11.060]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:11.060 --> 00:41:11.060]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:11.060 --> 00:41:11.060]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:11.060 --> 00:41:11.060]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:11.060 --> 00:41:11.060]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:11.060 --> 00:41:11.060]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:11.060 --> 00:41:11.060]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:11.100 --> 00:41:41.080]  ,
[00:41:41.080 --> 00:41:41.080]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:41.080 --> 00:41:41.080]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:41.080 --> 00:41:41.080]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:41.080 --> 00:41:41.080]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:41.080 --> 00:41:41.080]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:41.080 --> 00:41:41.080]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:41.080 --> 00:41:41.080]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:41.080 --> 00:41:41.080]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:41.080 --> 00:41:41.080]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:41:41.100 --> 00:42:11.100]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:11.100 --> 00:42:11.100]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:11.100 --> 00:42:11.100]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:11.100 --> 00:42:11.100]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:11.100 --> 00:42:11.100]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:11.100 --> 00:42:11.100]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:11.100 --> 00:42:11.100]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:11.100 --> 00:42:11.100]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:11.100 --> 00:42:11.100]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:11.100 --> 00:42:11.100]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:11.140 --> 00:42:41.120]  ,
[00:42:41.120 --> 00:42:41.120]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:41.120 --> 00:42:41.120]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:41.120 --> 00:42:41.120]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:41.120 --> 00:42:41.120]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:41.120 --> 00:42:41.120]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:41.120 --> 00:42:41.120]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:41.120 --> 00:42:41.120]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:41.120 --> 00:42:41.120]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:41.120 --> 00:42:41.120]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:41.120 --> 00:42:41.120]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:42:41.140 --> 00:43:11.140]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:11.140 --> 00:43:11.140]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:11.140 --> 00:43:11.140]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:11.140 --> 00:43:11.140]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:11.140 --> 00:43:11.140]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:11.140 --> 00:43:11.140]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:11.140 --> 00:43:11.140]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:11.140 --> 00:43:11.140]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:11.140 --> 00:43:11.140]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:11.140 --> 00:43:11.140]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:11.180 --> 00:43:41.160]  ,
[00:43:41.160 --> 00:43:41.160]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:41.160 --> 00:43:41.160]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:41.160 --> 00:43:41.160]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:41.160 --> 00:43:41.160]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:41.160 --> 00:43:41.160]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:41.160 --> 00:43:41.160]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:41.160 --> 00:43:41.160]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:41.160 --> 00:43:41.160]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:41.160 --> 00:43:41.160]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:41.160 --> 00:43:41.160]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:43:41.180 --> 00:44:11.180]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:11.180 --> 00:44:11.180]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:11.180 --> 00:44:11.180]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:11.180 --> 00:44:11.180]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:11.180 --> 00:44:11.180]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:11.180 --> 00:44:11.180]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:11.180 --> 00:44:11.180]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:11.180 --> 00:44:11.180]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:11.180 --> 00:44:11.180]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:11.180 --> 00:44:11.180]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:11.220 --> 00:44:41.200]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:41.200 --> 00:44:41.200]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:41.200 --> 00:44:41.200]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:41.200 --> 00:44:41.200]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:41.200 --> 00:44:41.200]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:41.200 --> 00:44:41.200]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:41.200 --> 00:44:41.200]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:41.200 --> 00:44:41.200]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:41.200 --> 00:44:41.200]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:41.200 --> 00:44:41.200]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:44:41.220 --> 00:45:11.220]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:11.220 --> 00:45:11.220]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:11.220 --> 00:45:11.220]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:11.220 --> 00:45:11.220]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:11.220 --> 00:45:11.220]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:11.220 --> 00:45:11.220]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:11.220 --> 00:45:11.220]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:11.220 --> 00:45:11.220]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:11.220 --> 00:45:11.220]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:11.240 --> 00:45:41.240]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:41.240 --> 00:45:41.240]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:41.240 --> 00:45:41.240]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:41.240 --> 00:45:41.240]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:41.240 --> 00:45:41.240]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:41.240 --> 00:45:41.240]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:41.240 --> 00:45:41.240]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:41.240 --> 00:45:41.240]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:41.240 --> 00:45:41.240]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:41.240 --> 00:45:41.240]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:45:41.280 --> 00:46:11.260]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:11.260 --> 00:46:11.260]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:11.260 --> 00:46:11.260]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:11.260 --> 00:46:11.260]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:11.260 --> 00:46:11.260]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:11.260 --> 00:46:11.260]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:11.260 --> 00:46:11.260]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:11.260 --> 00:46:11.260]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:11.260 --> 00:46:11.260]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:11.280 --> 00:46:41.280]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:41.280 --> 00:46:41.280]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:41.280 --> 00:46:41.280]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:41.280 --> 00:46:41.280]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:41.280 --> 00:46:41.280]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:41.280 --> 00:46:41.280]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:41.280 --> 00:46:41.280]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:41.280 --> 00:46:41.280]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:41.280 --> 00:46:41.280]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:46:41.320 --> 00:47:11.300]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:11.300 --> 00:47:11.300]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:11.300 --> 00:47:11.300]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:11.300 --> 00:47:11.300]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:11.300 --> 00:47:11.300]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:11.300 --> 00:47:11.300]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:11.300 --> 00:47:11.300]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:11.300 --> 00:47:11.300]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:11.300 --> 00:47:11.300]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:11.300 --> 00:47:11.300]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:11.320 --> 00:47:41.320]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:41.320 --> 00:47:41.320]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:41.320 --> 00:47:41.320]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:41.320 --> 00:47:41.320]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:41.320 --> 00:47:41.320]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:41.320 --> 00:47:41.320]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:41.320 --> 00:47:41.320]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:41.320 --> 00:47:41.320]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:41.320 --> 00:47:41.320]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:47:41.320 --> 00:47:41.320]   The only thing is, it's kind of hard to catch this sort of in the air,
